标题,开发商,房子信息,发布信息,售价/万,单价
金兰小区 3室2厅 南,金兰小区 -罗浮广场,3室2厅 | 134.76平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,3人关注 / 25天以前发布,64.8,"4,809元/平"
莲花湖标准三方双卫、户型方正无浪费面积,中联·莲湖广场 -莲花湖,3室1厅 | 101平米 | 东南 | 毛坯 | 中楼层(共32层)  | 塔楼,10人关注 / 一年前发布,77,"7,624元/平"
清晨御廷苑 3室2厅 东南,清晨御廷苑 -南客站,3室2厅 | 111.6平米 | 东南 | 精装 | 高楼层(共25层)  | 塔楼,0人关注 / 4个月以前发布,75,"6,721元/平"
寰宇华府，楼中楼精装修，空调+新风2套 高档家当,裕丰寰宇华府 -南客站,4室2厅 | 114.85平米 | 东南 | 精装 | 高楼层(共34层)  | 平房,1人关注 / 5个月以前发布,127.6,"11,111元/平"
品质楼盘。楼栋好位置，楼层采光好，带车位出售。,一品南庭 -南客站,3室2厅 | 98.84平米 | 西南 | 精装 | 中楼层(共32层)  | 塔楼,4人关注 / 一年前发布,90,"9,106元/平"
户型好，地段好，价格实惠，适宜居住,廣電花園 -罗浮广场,3室1厅 | 125平米 | 东 | 其他 | 低楼层(共22层)  | 塔楼,0人关注 / 一年前发布,88,"7,040元/平"
+精装3室2厅2卫，户型方正采光好+繁华地段,天悦名居 -西客站,3室2厅 | 119平米 | 南 | 精装 | 低楼层(共13层)  | 塔楼,1人关注 / 一年前发布,78,"6,555元/平"
3房2卫，罗浮广场旁边，精装。。。。。。。。。。。,天府西成 -罗浮广场,3室2厅 | 125平米 | 南 西南 | 精装 | 低楼层(共15层)  | 塔楼,1人关注 / 一年前发布,96,"7,680元/平"
房东自住位置热闹通风效果好光线户型好,侨兴时代广场B区 -南客站,4室2厅 | 114.21平米 | 南 | 简装 | 高楼层(共26层)  | 塔楼,1人关注 / 4个月以前发布,79,"6,918元/平"
朝阳商场电梯房，精装修带家具家电拎包入住,康力首座 -中心广场,3室1厅 | 97平米 | 南 | 精装 | 高楼层(共29层)  | 塔楼,0人关注 / 一年前发布,82,"8,454元/平"
南外红盘二手房出售，花园小区，业主诚心,罗浮南山美庐 -南客站,3室2厅 | 86平米 | 东南 | 精装 | 高楼层(共18层)  | 塔楼,5人关注 / 一年前发布,70.4,"8,187元/平"
南外车站小区，大四房双卫 户型方正，采光好,达县水产站 -南客站,4室2厅 | 137平米 | 东 | 精装 | 中楼层(共8层)  | 板楼,1人关注 / 7个月以前发布,55,"4,015元/平"
二号干道二手车交易市场旁房东诚心出售,吉鑫公寓 -南客站,2室1厅 | 58.5平米 | 东 | 精装 | 高楼层(共21层)  | 塔楼,1人关注 / 一年前发布,30,"5,129元/平"
红旗路141号 3室1厅 东南,红旗路141号 -中心广场,3室1厅 | 84平米 | 东南 | 其他 | 高楼层(共10层)  | 暂无数据,0人关注 / 1个月以前发布,35,"4,167元/平"
南客站 一品南庭 3房2厅2卫 精装修,一品南庭 -南客站,4室2厅 | 110平米 | 南 | 精装 | 低楼层(共27层)  | 塔楼,0人关注 / 10个月以前发布,75.7,"6,882元/平"
房子在市内广场那里， 户型方正，繁华区域。采光充足,陈公祠巷77号 -中心广场,3室2厅 | 88.68平米 | 东南 | 简装 | 高楼层(共10层)  | 板楼,1人关注 / 7个月以前发布,39,"4,398元/平"
精装修 采光好 居住安静 业主诚心卖,东升·教育花园 -南客站,3室2厅 | 116平米 | 东南 | 精装 | 低楼层(共8层)  | 板楼,2人关注 / 8个月以前发布,57,"4,914元/平"
休闲体育广场天益广场等，出行购物，居家,奥韵未来城 -南客站,3室2厅 | 85.8平米 | 南 | 精装 | 低楼层(共34层)  | 塔楼,4人关注 / 8个月以前发布,65.6,"7,646元/平"
南坝路459附3号 2室1厅 东南,南坝路459附3号 -南坝,2室1厅 | 62平米 | 东南 | 简装 | 高楼层(共10层)  | 暂无数据,3人关注 / 8个月以前发布,25.5,"4,113元/平"
罗浮南山美庐 3室2厅 南,罗浮南山美庐 -南客站,3室2厅 | 84.54平米 | 南 | 精装 | 高楼层(共30层)  | 塔楼,0人关注 / 1个月以前发布,58,"6,861元/平"
家具家电齐全，拎包入住，标准户型,丽阳天下 -北客站,3室1厅 | 113平米 | 东南 | 精装 | 高楼层(共24层)  | 塔楼,0人关注 / 2个月以前发布,74,"6,549元/平"
北外优质大三房，采光好，朝向优，宜居好地方,丽江明珠 -北客站,3室2厅 | 109.8平米 | 东南 | 精装 | 低楼层(共17层)  | 板塔结合,0人关注 / 一年前发布,65,"5,920元/平"
南外好房，价格适中！业主好沟通！,一品南庭 -南客站,3室2厅 | 98.6平米 | 东南 | 精装 | 中楼层(共32层)  | 塔楼,6人关注 / 8个月以前发布,78,"7,911元/平"
宏源小区 精装修套四  拎包入住,宏源小区 -万达路,4室3厅 | 148平米 | 东南 | 精装 | 高楼层(共10层)  | 板楼,1人关注 / 一年前发布,68,"4,595元/平"
金山顺街142号 3室2厅 南 北,金山顺街142号 -西客站,3室2厅 | 133.85平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,48,"3,587元/平"
金龙大道三房双卫诚心出售，证件齐全。,天悦名居 -西客站,3室2厅 | 109平米 | 东南 | 精装 | 高楼层(共12层)  | 塔楼,0人关注 / 3个月以前发布,60.8,"5,578元/平"
市内，花园小区，带院停车，小区安静，配套成熟,凰城一号 -老车坝,3室2厅 | 120.41平米 | 东南 南 | 其他 | 中楼层(共33层)  | 塔楼,0人关注 / 7个月以前发布,90,"7,475元/平"
南客站成熟商圈，精装电梯房3房2卫,君欣恒瑞商住小区 -南客站,3室2厅 | 98.5平米 | 东南 | 精装 | 高楼层(共7层)  | 塔楼,6人关注 / 一年前发布,54.2,"5,503元/平"
罗浮南山美庐 3室2厅 东,罗浮南山美庐 -南客站,3室2厅 | 110.74平米 | 东 | 毛坯 | 高楼层(共30层)  | 塔楼,0人关注 / 1个月以前发布,78,"7,044元/平"
户型方正 证满两年 房东价格合适，有平台,罗浮南山美庐 -南客站,2室2厅 | 72.14平米 | 南 | 其他 | 低楼层(共30层)  | 塔楼,3人关注 / 一年前发布,63.9,"8,858元/平"
精装三房双卫，业主自诉装修花了30多万，保持,一品南庭 -南客站,3室2厅 | 90平米 | 北 | 精装 | 低楼层(共27层)  | 塔楼,0人关注 / 11个月以前发布,68,"7,556元/平"
室内带小花园三房，价格实惠，看房方便，诚心出售,建设局家属院 -老车坝,3室2厅 | 98.8平米 | 南 | 简装 | 高楼层(共8层)  | 暂无数据,22人关注 / 一年前发布,29,"2,936元/平"
全运一小区 3室2厅 东南,全运一小区 -南客站,3室2厅 | 97.98平米 | 东南 | 精装 | 中楼层(共9层)  | 板楼,1人关注 / 2个月以前发布,35.3,"3,603元/平"
罗浮南山美庐 3室2厅 北,罗浮南山美庐 -南客站,3室2厅 | 95平米 | 北 | 精装 | 中楼层(共30层)  | 塔楼,0人关注 / 3个月以前发布,72.8,"7,664元/平"
精装修 采光好 居住安静 业主诚心卖,东升·教育花园 -南客站,3室2厅 | 116平米 | 东南 | 精装 | 低楼层(共8层)  | 板楼,2人关注 / 8个月以前发布,57,"4,914元/平"
休闲体育广场天益广场等，出行购物，居家,奥韵未来城 -南客站,3室2厅 | 85.8平米 | 南 | 精装 | 低楼层(共34层)  | 塔楼,4人关注 / 8个月以前发布,65.6,"7,646元/平"
红旗路141号 3室1厅 东南,红旗路141号 -中心广场,3室1厅 | 84平米 | 东南 | 其他 | 高楼层(共10层)  | 暂无数据,0人关注 / 1个月以前发布,35,"4,167元/平"
北外优质大三房，采光好，朝向优，宜居好地方,丽江明珠 -北客站,3室2厅 | 109.8平米 | 东南 | 精装 | 低楼层(共17层)  | 板塔结合,0人关注 / 一年前发布,65,"5,920元/平"
南外好房，价格适中！业主好沟通！,一品南庭 -南客站,3室2厅 | 98.6平米 | 东南 | 精装 | 中楼层(共32层)  | 塔楼,6人关注 / 8个月以前发布,78,"7,911元/平"
朝阳商场电梯房，精装修带家具家电拎包入住,康力首座 -中心广场,3室1厅 | 97平米 | 南 | 精装 | 高楼层(共29层)  | 塔楼,0人关注 / 一年前发布,82,"8,454元/平"
南外红盘二手房出售，花园小区，业主诚心,罗浮南山美庐 -南客站,3室2厅 | 86平米 | 东南 | 精装 | 高楼层(共18层)  | 塔楼,5人关注 / 一年前发布,70.4,"8,187元/平"
南外车站小区，大四房双卫 户型方正，采光好,达县水产站 -南客站,4室2厅 | 137平米 | 东 | 精装 | 中楼层(共8层)  | 板楼,1人关注 / 7个月以前发布,55,"4,015元/平"
二号干道二手车交易市场旁房东诚心出售,吉鑫公寓 -南客站,2室1厅 | 58.5平米 | 东 | 精装 | 高楼层(共21层)  | 塔楼,1人关注 / 一年前发布,30,"5,129元/平"
户型方正 证满两年 房东价格合适，有平台,罗浮南山美庐 -南客站,2室2厅 | 72.14平米 | 南 | 其他 | 低楼层(共30层)  | 塔楼,3人关注 / 一年前发布,63.9,"8,858元/平"
室内带小花园三房，价格实惠，看房方便，诚心出售,建设局家属院 -老车坝,3室2厅 | 98.8平米 | 南 | 简装 | 高楼层(共8层)  | 暂无数据,22人关注 / 一年前发布,29,"2,936元/平"
精装三房双卫，业主自诉装修花了30多万，保持,一品南庭 -南客站,3室2厅 | 90平米 | 北 | 精装 | 低楼层(共27层)  | 塔楼,0人关注 / 11个月以前发布,68,"7,556元/平"
金山顺街142号 3室2厅 南 北,金山顺街142号 -西客站,3室2厅 | 133.85平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,48,"3,587元/平"
金龙大道三房双卫诚心出售，证件齐全。,天悦名居 -西客站,3室2厅 | 109平米 | 东南 | 精装 | 高楼层(共12层)  | 塔楼,0人关注 / 3个月以前发布,60.8,"5,578元/平"
市内，花园小区，带院停车，小区安静，配套成熟,凰城一号 -老车坝,3室2厅 | 120.41平米 | 东南 南 | 其他 | 中楼层(共33层)  | 塔楼,0人关注 / 7个月以前发布,90,"7,475元/平"
南客站成熟商圈，精装电梯房3房2卫,君欣恒瑞商住小区 -南客站,3室2厅 | 98.5平米 | 东南 | 精装 | 高楼层(共7层)  | 塔楼,6人关注 / 一年前发布,54.2,"5,503元/平"
罗浮南山美庐 3室2厅 东,罗浮南山美庐 -南客站,3室2厅 | 110.74平米 | 东 | 毛坯 | 高楼层(共30层)  | 塔楼,0人关注 / 1个月以前发布,78,"7,044元/平"
小红旗桥，供销社带院停车。位置优越。出行便利,李家巷47号 -中心广场,3室2厅 | 99.6平米 | 东北 | 简装 | 中楼层(共10层)  | 板楼,1人关注 / 9个月以前发布,39.8,"3,996元/平"
北外消防大队家属院电梯房126平45万窗外见消防兵,通川北路322号 -北客站,3室1厅 | 126平米 | 东 南 西 北 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 4个月以前发布,45,"3,572元/平"
升华商圈优越地段，车库直达，出行购物读书都方便,万兴世家小区 -南客站,3室2厅 | 98.82平米 | 南 北 | 精装 | 中楼层(共27层)  | 板塔结合,5人关注 / 6个月以前发布,83,"8,400元/平"
电梯大三房，光线户型好。小区停车方便，位置好。,桂楠小区 -南客站,3室2厅 | 148平米 | 东南 | 精装 | 高楼层(共8层)  | 板楼,1人关注 / 一年前发布,70,"4,730元/平"
华南花园精装 视野开阔拎包入住,华南花园 -南客站,3室2厅 | 120.6平米 | 南 | 精装 | 中楼层(共29层)  | 板塔结合,0人关注 / 11个月以前发布,88,"7,297元/平"
仁和苑 3室2厅 东南 北,仁和苑 -西客站,3室2厅 | 118平米 | 东南 北 | 精装 | 高楼层(共20层)  | 塔楼,0人关注 / 1个月以前发布,80,"6,780元/平"
此房采光明亮    适合各种人群居住,御南苑 -南客站,3室1厅 | 95平米 | 东南 | 精装 | 中楼层(共9层)  | 板楼,11人关注 / 一年前发布,51.5,"5,422元/平"
陈公祠巷13号 3室1厅 东 南 西 北,陈公祠巷13号 -中心广场,3室1厅 | 87平米 | 东 南 西 北 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 9个月以前发布,40,"4,598元/平"
立根尚城 精装 两室 证满两年 急售,立根尚城 -南客站,2室2厅 | 84平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,7人关注 / 一年前发布,50,"5,953元/平"
升华广场标准三房，一楼带平台，标准三房，带平台,奥韵未来城 -南客站,3室2厅 | 96平米 | 南 北 | 精装 | 低楼层(共34层)  | 塔楼,1人关注 / 6个月以前发布,67,"6,980元/平"
此房证满二年，户型方正，花园小区环境好,一新国际社区 -南客站,2室1厅 | 78平米 | 东南 | 简装 | 低楼层(共23层)  | 塔楼,0人关注 / 5个月以前发布,57,"7,308元/平"
133平大三房，南外成熟地段，交通便利，,科利达小区 -南客站,3室1厅 | 133平米 | 东南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,50,"3,760元/平"
市内花园小区，楼层中层。房东诚意出售,凰城一号 -老车坝,3室2厅 | 115.96平米 | 东 | 精装 | 中楼层(共33层)  | 塔楼,2人关注 / 8个月以前发布,92,"7,934元/平"
精装房，楼层低，出行方便。读书方便,滩头街4号 -老车坝,3室2厅 | 78平米 | 南 | 精装 | 高楼层(共10层)  | 暂无数据,0人关注 / 1个月以前发布,36,"4,616元/平"
食品公司家属院 2室2厅 东南,食品公司家属院 -老车坝,2室2厅 | 74平米 | 东南 | 精装 | 低楼层(共10层)  | 暂无数据,0人关注 / 6个月以前发布,39,"5,271元/平"
陈公祠巷28号 3室2厅 东 南 西 北,陈公祠巷28号 -中心广场,3室2厅 | 75平米 | 东 南 西 北 | 精装 | 中楼层(共10层)  | 暂无数据,0人关注 / 11个月以前发布,42,"5,600元/平"
升华广场旁  3房2厅1卫   50万,銀都天寓 -南客站,3室2厅 | 86平米 | 西 | 其他 | 中楼层(共32层)  | 塔楼,0人关注 / 1个月以前发布,49.8,"5,791元/平"
精装三房双卫，户型方正，楼层低，拎包入住,桑树巷29号附1号 -中心广场,3室2厅 | 72.62平米 | 南 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 2个月以前发布,42,"5,784元/平"
华南花园精装 视野开阔拎包入住,华南花园 -南客站,3室2厅 | 120.6平米 | 南 | 精装 | 中楼层(共29层)  | 板塔结合,0人关注 / 11个月以前发布,88,"7,297元/平"
仁和苑 3室2厅 东南 北,仁和苑 -西客站,3室2厅 | 118平米 | 东南 北 | 精装 | 高楼层(共20层)  | 塔楼,0人关注 / 1个月以前发布,80,"6,780元/平"
升华广场标准三房，一楼带平台，标准三房，带平台,奥韵未来城 -南客站,3室2厅 | 96平米 | 南 北 | 精装 | 低楼层(共34层)  | 塔楼,1人关注 / 6个月以前发布,67,"6,980元/平"
此房证满二年，户型方正，花园小区环境好,一新国际社区 -南客站,2室1厅 | 78平米 | 东南 | 简装 | 低楼层(共23层)  | 塔楼,0人关注 / 5个月以前发布,57,"7,308元/平"
此房采光明亮    适合各种人群居住,御南苑 -南客站,3室1厅 | 95平米 | 东南 | 精装 | 中楼层(共9层)  | 板楼,11人关注 / 一年前发布,51.5,"5,422元/平"
陈公祠巷13号 3室1厅 东 南 西 北,陈公祠巷13号 -中心广场,3室1厅 | 87平米 | 东 南 西 北 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 9个月以前发布,40,"4,598元/平"
立根尚城 精装 两室 证满两年 急售,立根尚城 -南客站,2室2厅 | 84平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,7人关注 / 一年前发布,50,"5,953元/平"
红旗路141号 3室1厅 东南,红旗路141号 -中心广场,3室1厅 | 84平米 | 东南 | 其他 | 高楼层(共10层)  | 暂无数据,0人关注 / 1个月以前发布,35,"4,167元/平"
二号干道二手车交易市场旁房东诚心出售,吉鑫公寓 -南客站,2室1厅 | 58.5平米 | 东 | 精装 | 高楼层(共21层)  | 塔楼,1人关注 / 一年前发布,30,"5,129元/平"
位置热闹，通风效果好，成熟小区配套成熟,侨兴时代广场B区 -南客站,2室1厅 | 88.38平米 | 南 | 精装 | 中楼层(共26层)  | 塔楼,2人关注 / 一年前发布,62.5,"7,072元/平"
电梯房.办公方便.视野好、光线充沛，交通便利,吉鑫公寓 -南客站,2室1厅 | 43.4平米 | 南 | 精装 | 低楼层(共21层)  | 塔楼,3人关注 / 一年前发布,26.8,"6,176元/平"
西客站大三房，精装，可拎包入住。,金山小区 -西客站,3室2厅 | 115平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,4人关注 / 10个月以前发布,53.5,"4,653元/平"
南外车站小区，大四房双卫 户型方正，采光好,达县水产站 -南客站,4室2厅 | 137平米 | 东 | 精装 | 中楼层(共8层)  | 板楼,1人关注 / 7个月以前发布,55,"4,015元/平"
朝阳商场电梯房，精装修带家具家电拎包入住,康力首座 -中心广场,3室1厅 | 97平米 | 南 | 精装 | 高楼层(共29层)  | 塔楼,0人关注 / 一年前发布,82,"8,454元/平"
宏源小区 精装修套四  拎包入住,宏源小区 -万达路,4室3厅 | 148平米 | 东南 | 精装 | 高楼层(共10层)  | 板楼,1人关注 / 一年前发布,68,"4,595元/平"
北外优质大三房，采光好，朝向优，宜居好地方,丽江明珠 -北客站,3室2厅 | 109.8平米 | 东南 | 精装 | 低楼层(共17层)  | 板塔结合,0人关注 / 一年前发布,65,"5,920元/平"
南外好房，价格适中！业主好沟通！,一品南庭 -南客站,3室2厅 | 98.6平米 | 东南 | 精装 | 中楼层(共32层)  | 塔楼,6人关注 / 8个月以前发布,78,"7,911元/平"
南外红盘二手房出售，花园小区，业主诚心,罗浮南山美庐 -南客站,3室2厅 | 86平米 | 东南 | 精装 | 高楼层(共18层)  | 塔楼,5人关注 / 一年前发布,70.4,"8,187元/平"
利通花园 3室2厅 东南,利通花园 -万达路,3室2厅 | 147平米 | 东南 | 简装 | 高楼层(共11层)  | 暂无数据,0人关注 / 1个月以前发布,70,"4,762元/平"
此房是证件齐全，证满2，房子是西南朝向。,一新国际社区 -南客站,3室2厅 | 102平米 | 东南 | 简装 | 高楼层(共28层)  | 塔楼,7人关注 / 4个月以前发布,64.5,"6,324元/平"
一新国际花园小区，精致三房，拎包入住！,一新国际社区 -南客站,3室2厅 | 86平米 | 东南 | 简装 | 中楼层(共28层)  | 塔楼,4人关注 / 8个月以前发布,60,"6,977元/平"
金龙大道旁，花园小区，正套四，采光好，户型方正,天悦名居 -西客站,4室2厅 | 120平米 | 南 | 精装 | 低楼层(共12层)  | 暂无数据,1人关注 / 8个月以前发布,73,"6,084元/平"
金山大厦 3室2厅 东南,金山大厦 -西客站,3室2厅 | 108平米 | 东南 | 简装 | 中楼层(共11层)  | 板塔结合,3人关注 / 9个月以前发布,45,"4,167元/平"
张家湾急售！急售！价格好商量，三房,吉昌路45号 -老车坝,3室1厅 | 80.04平米 | 东南 南 | 简装 | 高楼层(共6层)  | 暂无数据,7人关注 / 一年前发布,32,"3,999元/平"
房东诚心出售，户型方正，位置优越出行方便,杨柳垭三期 -南客站,2室1厅 | 56平米 | 东南 北 | 精装 | 中楼层(共28层)  | 塔楼,9人关注 / 8个月以前发布,32.5,"5,804元/平"
牌楼路39号3-1-1-1 86.00m² 房东诚信出售！,牌楼路39号 -中心广场,3室1厅 | 86平米 | 南 | 精装 | 中楼层(共8层)  | 暂无数据,5人关注 / 10个月以前发布,35.8,"4,163元/平"
通锦国际嘉园Ⅲ期 3室1厅 北,通锦国际嘉园Ⅲ期 -罗浮广场,3室1厅 | 112平米 | 北 | 毛坯 | 低楼层(共18层)  | 塔楼,2人关注 / 4个月以前发布,84,"7,500元/平"
一新国际花园小区，精致三房，拎包入住！,一新国际社区 -南客站,3室2厅 | 86平米 | 东南 | 简装 | 中楼层(共28层)  | 塔楼,4人关注 / 8个月以前发布,60,"6,977元/平"
西外品质小区，国际新城花园洋房,国际新城 -罗浮广场,3室2厅 | 134.4平米 | 西北 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 一年前发布,66,"4,911元/平"
通川区司法局家属楼 3室2厅 南,通川区司法局家属楼 -未知商圈,3室2厅 | 81平米 | 南 | 精装 | 高楼层(共9层)  | 暂无数据,1人关注 / 10个月以前发布,33,"4,075元/平"
业主自住家装 大三房带屋顶花园 采光巴适 位置优越,英皇广场 -万达路,3室2厅 | 114.07平米 | 东南 | 精装 | 高楼层(共19层)  | 塔楼,0人关注 / 11个月以前发布,75,"6,575元/平"
河景房，户型方正采光通透，房东急卖,锦州国际五区 -三里坪,3室2厅 | 99平米 | 西北 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,61.5,"6,213元/平"
河景房，楼层户型很好，一口价。,水印长滩 -三里坪,3室2厅 | 102平米 | 东南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,68,"6,667元/平"
金兰大桥旁电梯房大三房，装修好，出行方便，急售,伴山名居 -三岔路口,3室2厅 | 114.37平米 | 东南 南 | 精装 | 中楼层(共8层)  | 板塔结合,4人关注 / 一年前发布,43,"3,760元/平"
房东诚心出售。房东自己精装修大四房，装修设计港风，,来凤路30号 -老车坝,4室2厅 | 144.75平米 | 东南 南 | 精装 | 低楼层(共9层)  | 板楼,0人关注 / 1个月以前发布,70,"4,836元/平"
三里x旁电梯房，业主诚心出售，原房东装修，,怡鑫苑 -三里坪,3室2厅 | 102平米 | 南 | 精装 | 高楼层(共30层)  | 板塔结合,0人关注 / 1个月以前发布,63,"6,177元/平"
此房位于南外繁华地段，现浇电梯房，户型通透视野开阔,瑞东大厦 -万达路,3室2厅 | 99平米 | 东南 | 精装 | 中楼层(共21层)  | 暂无数据,0人关注 / 一年前发布,60,"6,061元/平"
房子是电梯房，房子空闲起的，看房方便。,金竹巷88号 -万达路,3室2厅 | 165平米 | 南 | 简装 | 低楼层(共3层)  | 暂无数据,3人关注 / 一年前发布,58,"3,516元/平"
电梯经典三房，拎包入住，家电家具齐全。。。。,经典时代 -三里坪,3室2厅 | 100平米 | 南 | 简装 | 低楼层(共16层)  | 塔楼,4人关注 / 一年前发布,50,"5,000元/平"
天誉誉府 4室6厅 东南,天誉誉府 -莲花湖,4室6厅 | 145平米 | 东南 | 简装 | 低楼层(共5层)  | 暂无数据,0人关注 / 3个月以前发布,168,"11,587元/平"
花园式小区，大平台空间，活动无限,金利多青华园 -金龙大道,3室2厅 | 97.85平米 | 西南 | 精装 | 低楼层(共32层)  | 塔楼,22人关注 / 一年前发布,115,"11,753元/平"
碧天明珠 3室2厅 东南,碧天明珠 -三岔路口,3室2厅 | 92平米 | 东南 | 精装 | 高楼层(共19层)  | 板楼,0人关注 / 1个月以前发布,53,"5,761元/平"
西外莲花湖！              优质房,中梁首府 -莲花湖,4室2厅 | 117平米 | 南 | 毛坯 | 低楼层(共34层)  | 塔楼,1人关注 / 3个月以前发布,81,"6,924元/平"
滨江四季花城二期A区 3室1厅 南,滨江四季花城二期A区 -罗浮广场,3室1厅 | 90平米 | 南 | 其他 | 中楼层(共28层)  | 板楼,1人关注 / 4个月以前发布,75,"8,334元/平"
学府雅苑 3室2厅 南,学府雅苑 -莲花湖,3室2厅 | 123.07平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,2人关注 / 一年前发布,58,"4,713元/平"
市内六十一队防疫站里面，舒适精装三房,通川北路96号 -老车坝,3室2厅 | 105平米 | 东南 | 简装 | 高楼层(共10层)  | 暂无数据,1人关注 / 1个月以前发布,27.5,"2,620元/平"
房东诚心出售，户型方正，位置优越出行方便,杨柳垭三期 -南客站,2室1厅 | 56平米 | 东南 北 | 精装 | 中楼层(共28层)  | 塔楼,9人关注 / 8个月以前发布,32.5,"5,804元/平"
利通花园 3室2厅 东南,利通花园 -万达路,3室2厅 | 147平米 | 东南 | 简装 | 高楼层(共11层)  | 暂无数据,0人关注 / 1个月以前发布,70,"4,762元/平"
此房是证件齐全，证满2，房子是西南朝向。,一新国际社区 -南客站,3室2厅 | 102平米 | 东南 | 简装 | 高楼层(共28层)  | 塔楼,7人关注 / 4个月以前发布,64.5,"6,324元/平"
达一中后门2楼76平精装3房家电齐全阳台见一中校园,文化巷49号 -中心广场,3室2厅 | 76平米 | 东 南 西 北 | 精装 | 低楼层(共7层)  | 暂无数据,8人关注 / 11个月以前发布,36.5,"4,803元/平"
市内花园小区，证满二，小区封闭式管理，配套齐全,洲河花园 -老车坝,2室2厅 | 92平米 | 西 西北 | 精装 | 低楼层(共8层)  | 暂无数据,2人关注 / 一年前发布,48,"5,218元/平"
金龙大道套三，采光充足，交通方便，购物方便,旺角城 -西客站,3室1厅 | 92.04平米 | 东北 | 简装 | 中楼层(共24层)  | 塔楼,0人关注 / 1个月以前发布,55,"5,976元/平"
此房是电梯房，带花园小区，出门交通方便。,天恒花园 -罗浮广场,4室2厅 | 170.11平米 | 东 | 简装 | 中楼层(共12层)  | 塔楼,0人关注 / 一年前发布,110,"6,467元/平"
通达路8楼3房精装三台空调家具齐拎包住39.8万售,通达综合楼 -老车坝,3室2厅 | 103.5平米 | 东 南 西 北 | 精装 | 高楼层(共8层)  | 板塔结合,1人关注 / 8个月以前发布,39.5,"3,817元/平"
盛世小区3-1-1-1房东城心出售,盛世小区 -三岔路口,3室1厅 | 93平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,10人关注 / 一年前发布,33.8,"3,635元/平"
金龙大道上 标准套三 拎包入住 看房方便 业主诚心出售,通川区审计局家属院 -未知商圈,3室2厅 | 83平米 | 东 东南 南 | 精装 | 高楼层(共10层)  | 暂无数据,54人关注 / 一年前发布,30,"3,615元/平"
已经是成熟小区，小区绿化面积大，交通方便.,凤翎关农贸市场综合大楼 -北客站,3室2厅 | 99.8平米 | 东 | 简装 | 中楼层(共12层)  | 暂无数据,1人关注 / 4个月以前发布,29.8,"2,986元/平"
东城派出所5楼113平3房2卫39.8万警察楼临街,东城派出所 -北客站,3室2厅 | 113.25平米 | 东 南 西 北 | 精装 | 低楼层(共9层)  | 板楼,6人关注 / 7个月以前发布,39.8,"3,515元/平"
北外某家属院2楼109平大3房57万出售,通州家属院 -未知商圈,3室2厅 | 109平米 | 东 南 西 北 | 简装 | 低楼层(共22层)  | 平房,0人关注 / 6个月以前发布,57,"5,230元/平"
莲花湖品质楼中楼精装修装带家具家电业主诚心出售,中迪广场 -莲花湖,4室2厅 | 132.37平米 | 东南 | 精装 | 高楼层(共33层)  | 塔楼,39人关注 / 一年前发布,140,"10,577元/平"
"电梯房,证齐，税低,成熟小区，配套齐全。",伴山名居 -三岔路口,3室2厅 | 101平米 | 南 | 简装 | 低楼层(共8层)  | 板塔结合,25人关注 / 一年前发布,43,"4,258元/平"
江湾城二期 3室2厅 南,江湾城二期 -江湾城,3室2厅 | 90平米 | 南 | 精装 | 低楼层(共31层)  | 塔楼,5人关注 / 7个月以前发布,80,"8,889元/平"
江湾城洋房 带2个露台 前后临花园,江湾城一期 -江湾城,5室2厅 | 155平米 | 西 | 毛坯 | 低楼层(共10层)  | 塔楼,20人关注 / 8个月以前发布,133,"8,581元/平"
創世精典 3室1厅 西南 西,創世精典 -金龙大道,3室1厅 | 80平米 | 西南 西 | 精装 | 中楼层(共25层)  | 塔楼,0人关注 / 1个月以前发布,60,"7,500元/平"
幸福世家 3室1厅 东,幸福世家 -罗浮广场,3室1厅 | 91.03平米 | 东 | 精装 | 低楼层(共16层)  | 塔楼,0人关注 / 1个月以前发布,61,"6,702元/平"
南外马上加装电梯108平大三房出售45万，交通出行方便,华仙巷43号 -三里坪,3室2厅 | 108平米 | 南 北 | 简装 | 高楼层(共9层)  | 板楼,0人关注 / 1个月以前发布,45,"4,167元/平"
創世精典 3室1厅 东,創世精典 -金龙大道,3室1厅 | 83.5平米 | 东 | 精装 | 低楼层(共23层)  | 塔楼,0人关注 / 1个月以前发布,65,"7,785元/平"
