标题,开发商,房子信息,发布信息,售价/万,单价
新上优质大四房 高楼层采光好 直望北龙湖 视野好,鑫苑名家 -北站,4室2厅 | 190.77平米 | 南 北 | 简装 | 中楼层(共23层)  | 板塔结合,2人关注 / 9天以前发布,265,"13,892元/平"
航海路，地铁口，多层2楼，看房有钥匙，急售！,航海中路8号院 -鞋城,2室1厅 | 61.81平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 15天以前发布,55,"8,899元/平"
朝南通透户型，中间位置，精装修，拎包入住，随时看房,南熙福邸 -象湖,3室2厅 | 184.09平米 | 西 | 精装 | 中楼层(共17层)  | 板楼,3人关注 / 12天以前发布,249,"13,526元/平"
朝南通透户型，中间位置，精装修，拎包入住，随时看房,南熙福邸 -象湖,3室2厅 | 184.09平米 | 西 | 精装 | 中楼层(共17层)  | 板楼,3人关注 / 12天以前发布,249,"13,526元/平"
满五大三房，三环内，精装修三房，电梯双气,通和盛世东院 -五龙口,3室1厅 | 111.6平米 | 南 北 | 精装 | 18层  | 板塔结合,0人关注 / 9天以前发布,115,"10,305元/平"
双气小户型，电梯房，总价低，位置好。,名门国际 -财富广场,2室1厅 | 51.35平米 | 南 北 | 简装 | 中楼层(共32层)  | 塔楼,0人关注 / 10天以前发布,70,"13,632元/平"
维也纳小镇洋房6楼带10平左右大露台，精装修满五唯一,维也纳小镇 -新郑城区,3室1厅 | 96.35平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 15天以前发布,75,"7,785元/平"
正弘，贾鲁河畔，边户，毛坯，总高11层，83%得房率,正弘澜庭叙A区 -北大学城,3室2厅 | 107.03平米 | 东南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 10天以前发布,198,"18,500元/平"
南区双气步梯四楼，南北通透户型设计采光充足配套齐全,润泰花园 -新郑城区,3室2厅 | 125平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 10天以前发布,62,"4,960元/平"
2号线地铁口  省厅单位家属院  安静高得房率 停车方便,百和苑 -徐寨,5室3厅 | 220.67平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 31天以前发布,390,"17,674元/平"
大平层 一梯一户 户型方正 运河观景房,亚星观邸 -万客来,5室3厅 | 236.28平米 | 南 北 | 精装 | 中楼层(共21层)  | 板塔结合,1人关注 / 28天以前发布,520,"22,008元/平"
房子楼层好，采光好，户型方正，业主诚心出售,瑞景花园 -普罗旺世,3室2厅 | 156.52平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,0人关注 / 15天以前发布,166,"10,606元/平"
金芒果花园大四室精装修电梯双气好楼层成本低,金芒果花苑 -新郑城区,4室2厅 | 185.87平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 17天以前发布,72,"3,874元/平"
多层住宅，采光好， 装修花18万 业主诚心出售，,宋砦小区3号院 -绿茵广场,3室2厅 | 129.63平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 14天以前发布,95,"7,329元/平"
绿云小区，大型成熟社区，四卧室朝阳，全明户型，急售,绿云小区 -市财政局,4室2厅 | 174.99平米 | 东南 | 简装 | 高楼层(共21层)  | 板塔结合,0人关注 / 11天以前发布,159,"9,087元/平"
精装三房 双阳台 诚心出售 随时可看房,居易国际城 -南龙湖商圈,3室2厅 | 105.94平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 6天以前发布,75,"7,080元/平"
京广快速路   二环外  春晖  双气小区 好楼层,春晖小区 -长江一号,2室1厅 | 67.46平米 | 南 北 | 简装 | 低楼层(共7层)  | 塔楼,0人关注 / 4天以前发布,58.5,"8,672元/平"
购物方便   交通方便   精装修   双气,天伦凤凰小区 -凤凰路,2室1厅 | 88.34平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 6天以前发布,90,"10,188元/平"
洞林湖精装三室 诚心在售中 有家具家电 拎包入,新田城书香苑 -荥阳城区,3室2厅 | 132.24平米 | 南 北 | 精装 | 低楼层(共9层)  | 板楼,0人关注 / 3天以前发布,88,"6,655元/平"
"满二,全天采光,经典三房2卫,豪哗装修，可观湖景",恒大翡翠华庭 -高新外国语,3室1厅 | 121.69平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 6天以前发布,185,"15,203元/平"
三环边次新双气电梯房户型方正采光好,瀚海泰苑 -陈寨,2室2厅 | 86.97平米 | 南 | 简装 | 高楼层(共32层)  | 板塔结合,0人关注 / 11天以前发布,138,"15,868元/平"
金水区，电梯洋房大平层，集中供暖均价低,华林都市家园 -南阳路,4室3厅 | 179.2平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 14天以前发布,200,"11,161元/平"
宏莲花园电梯房，业主诚心出售，看房方便！,宏莲花园 -高新梧桐,3室2厅 | 129.18平米 | 东北 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 13天以前发布,129,"9,987元/平"
此房满五年，业主诚心出售，南北通透，精装没怎么住过,吉祥花园 -燕庄,3室2厅 | 131.3平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 10天以前发布,230,"17,518元/平"
高新区 公园道 三开间朝南 大采光面 三房  中间楼层,朗悦公园道1号南苑 -高新公园道,3室1厅 | 89.08平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 6天以前发布,147.5,"16,559元/平"
近地铁，交通便利，配套齐全，精装双气，满两年,祝福红城四期 -高新梧桐,3室1厅 | 113.02平米 | 南 | 精装 | 高楼层(共34层)  | 板塔结合,1人关注 / 13天以前发布,133,"11,768元/平"
南北通透三房 毛坯双气 满两年 不临街不临路 采光好,海马公园5期 -郑州东站,3室2厅 | 155.34平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 板塔结合,0人关注 / 7天以前发布,450,"28,969元/平"
低密小高层社区，精装修园林设计80%得房率,旭辉有园 -万客来,3室2厅 | 116.51平米 | 南 北 | 其他 | 高楼层(共18层)  | 暂无数据,1人关注 / 25天以前发布,125,"10,729元/平"
东区旁，正弘物业，精装大三房，好户型,正弘旗 -枣庄,3室2厅 | 143.05平米 | 南 北 | 其他 | 高楼层(共32层)  | 板楼,0人关注 / 23天以前发布,265,"18,525元/平"
地铁口，产权清晰，不临街不临路,安泰文苑 -索凌路北段,3室2厅 | 124.76平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 31天以前发布,142,"11,382元/平"
满五，而且装修 非 常不错，业主诚心出售，小区好位置,新里卢浮公馆 -郑州东站,4室2厅 | 202.55平米 | 南 北 | 其他 | 高楼层(共25层)  | 板楼,0人关注 / 22天以前发布,480,"23,698元/平"
恒大精装三房 满五唯一  业主诚心卖,恒大名都 -科技市场,3室2厅 | 98.82平米 | 南 | 精装 | 32层  | 板塔结合,0人关注 / 23天以前发布,222,"22,466元/平"
瀚宇天悦二期 4室2厅 南,瀚宇天悦二期 -索凌路北段,4室2厅 | 131.98平米 | 南 | 其他 | 高楼层(共26层)  | 板塔结合,0人关注 / 26天以前发布,270,"20,458元/平"
地铁口 满二唯一人车分流 税费少 产权清晰 使用面积多,五建新街坊5号院 -热电厂,4室2厅 | 130.95平米 | 南 北 | 精装 | 低楼层(共34层)  | 塔楼,0人关注 / 22天以前发布,213,"16,266元/平"
金印阳光城双地铁双气电梯小高层顶楼复式精装修诚心卖,金印阳光城 -汽配大世界,4室2厅 | 161.76平米 | 南 北 | 精装 | 高楼层(共12层)  | 板塔结合,0人关注 / 27天以前发布,209,"12,921元/平"
绿都物业   精装小三房  拎包入住业主诚心出售,绿都温莎城堡 -南龙湖商圈,3室1厅 | 87.61平米 | 南 | 简装 | 低楼层(共30层)  | 板塔结合,0人关注 / 17天以前发布,66,"7,534元/平"
业主诚心出售，看房随时，f房子看上价格可以商量。,朗悦公园道1号玺园 -高新公园道,4室2厅 | 115.03平米 | 南 北 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 31天以前发布,234,"20,343元/平"
2007年 双气 双卫 中建七局房子 近公园 有地铁,中建七局家属院 -紫荆山公园,3室2厅 | 106.98平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 18天以前发布,145,"13,554元/平"
聚源路86 多层双明卫三房 有地下室 有地下车位,中凯华府 -通泰路,3室2厅 | 136.28平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 17天以前发布,296,"21,720元/平"
大三房，楼层好，普罗旁，楼层低。,阳光嘉苑 -普罗旺世,3室2厅 | 122.36平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 29天以前发布,140,"11,442元/平"
19年新装修 地铁4号线 多层3楼3房 急售,安泰文苑 -索凌路北段,3室2厅 | 115.89平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 19天以前发布,136,"11,736元/平"
地铁口南北通透 全明户型 不临街 一梯两户双气小区,珠江荣域 -兴华南街,3室2厅 | 99.52平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 20天以前发布,98,"9,848元/平"
新鑫花园(金水) 3室1厅 南 北,新鑫花园(金水) -燕庄,3室1厅 | 118.27平米 | 南 北 | 其他 | 中楼层(共7层)  | 板塔结合,0人关注 / 18天以前发布,130,"10,992元/平"
次新小区，双气地暖 人车分离 满五唯一,中海锦苑 -省中医院,3室2厅 | 88.74平米 | 南 北 | 其他 | 中楼层(共27层)  | 板楼,1人关注 / 18天以前发布,198,"22,313元/平"
精装三房 满五年 看房方便 通透户型 一楼出行方便,新里卢浮公馆三期 -郑州东站,3室2厅 | 141.24平米 | 南 北 | 其他 | 低楼层(共34层)  | 板楼,0人关注 / 16天以前发布,280,"19,825元/平"
花都港湾 3室2厅 西南,花都港湾 -正商城,3室2厅 | 137.13平米 | 西南 | 精装 | 中楼层(共15层)  | 板楼,0人关注 / 24天以前发布,149,"10,866元/平"
环境好，中间楼层，采光好，装修没怎么住，能当婚房,泰宏建业国际城 -万客来,3室2厅 | 89.44平米 | 南 北 | 其他 | 高楼层(共24层)  | 板楼,0人关注 / 21天以前发布,125,"13,976元/平"
商城东里16号院 2室2厅 南 北,商城东里16号院 -商代遗址,2室2厅 | 89.15平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 17天以前发布,90,"10,096元/平"
万达优质大三房 装修好 楼层好 价格便宜,万千世纪城 -二七万达,3室2厅 | 136.47平米 | 南 | 其他 | 高楼层(共34层)  | 板楼,0人关注 / 18天以前发布,180,"13,190元/平"
曼哈顿 CBD 燕庄地铁口 精装修一天没住 全朝南,曼哈顿 -燕庄,3室2厅 | 141.28平米 | 南 | 其他 | 中楼层(共30层)  | 板塔结合,4人关注 / 18天以前发布,205,"14,511元/平"
市区复式，利用率高，绿荫公园天旺广场，满五唯一,金阳光居易 -轻工业学院,2室2厅 | 52.47平米 | 南 | 简装 | 低楼层(共13层)  | 板塔结合,152人关注 / 一年前发布,83,"15,819元/平"
中原路地铁口、品质小区、洋房社区、税费少看房方便,居易西郡原著 -荥阳城区,3室2厅 | 160.77平米 | 南 北 | 毛坯 | 低楼层(共10层)  | 暂无数据,0人关注 / 4个月以前发布,135,"8,398元/平"
产权清晰随时签，成熟社区品质好,阳光嘉苑 -普罗旺世,5室2厅 | 166.88平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,7人关注 / 一年前发布,142,"8,510元/平"
明鸿新城新上一梯两户大四房，业主诚心出售,明鸿新城 -枣庄,4室2厅 | 182.6平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,3人关注 / 6个月以前发布,182,"9,968元/平"
北龙湖畔 毛坯顶层 带阁楼 带90平大露台 有钥匙诚心卖,民航花园 -天赋路,4室2厅 | 200.06平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板塔结合,26人关注 / 一年前发布,559.9,"27,987元/平"
地铁口 47 文三，东风渠畔 小高层复式 双气 分流社区,锦绣汇城 -徐寨,3室2厅 | 125.24平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,2人关注 / 3个月以前发布,155,"12,377元/平"
东区292平大平层   四开间朝南   配套成熟 地铁,怡景嘉园 -黄河南路,4室2厅 | 292.07平米 | 南 | 毛坯 | 高楼层(共26层)  | 板楼,5人关注 / 11个月以前发布,520,"17,804元/平"
紫荆山南路旁，经典别墅，好品质你值得拥有,绿都温莎城堡 -南龙湖商圈,4室2厅 | 199.6平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,55人关注 / 一年前发布,165,"8,267元/平"
满五唯一 通透格局 出行方便 复式结构 带露台,紫云小区 -世纪欢乐园,6室1厅 | 178.73平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,3人关注 / 6个月以前发布,160,"8,953元/平"
蓝城兰园 小区中间位置大平层 纯毛坯 产权清晰 诚心卖,蓝城兰园 -北龙湖,5室2厅 | 275.74平米 | 南 | 毛坯 | 中楼层(共5层)  | 暂无数据,25人关注 / 一年前发布,1100,"39,893元/平"
秀水苑3/4楼叠加别墅，一梯两户，位置安静,秀水苑 -鸿园片区,6室2厅 | 258.58平米 | 南 北 | 毛坯 | 中楼层(共5层)  | 板楼,34人关注 / 一年前发布,369,"14,271元/平"
帝湖大户型，业主诚心出售，看房方便。,帝湖西王府 -帝湖,4室2厅 | 187.01平米 | 南 北 | 简装 | 中楼层(共31层)  | 塔楼,10人关注 / 一年前发布,182,"9,733元/平"
大石桥双地铁，双气社区，复式，98年，可贷款,中亨花园二号院 -沙口路,6室3厅 | 311.95平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,6人关注 / 一年前发布,255,"8,175元/平"
三环内 近地铁 满五年 复式带楼台 公摊小 采光视野好,江山名居 -热电厂,5室2厅 | 182.52平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,31人关注 / 8个月以前发布,150,"8,219元/平"
此房楼层好，标准大四房，户型好，南北通透，客餐对流,正弘山 -通泰路,4室2厅 | 156平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,16人关注 / 5个月以前发布,238,"15,257元/平"
京广南路绿岛港湾满五唯一顶层带露台急售单价7000,绿岛港湾 -万客来,5室2厅 | 249平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,20人关注 / 一年前发布,170,"6,828元/平"
宏鑫花园 复式四室 小区这个户型少,宏鑫花园 -兴华南街,4室1厅 | 154.26平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,4人关注 / 一年前发布,151,"9,789元/平"
远大复 式带露台，精装修，有阁楼上下三层，急售,远大理想城 -远大理想城,6室2厅 | 200.81平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,23人关注 / 9个月以前发布,248,"12,350元/平"
天福苑小区 南北通透四房 户型方正 低楼层 采光不影响,天福苑小区 -科技市场,4室2厅 | 168.47平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 11个月以前发布,390,"23,150元/平"
毛坯大三房，户型方正通透性好，近地铁口，急售,浩创悦城 -航空港商圈,3室2厅 | 131.7平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板楼,99人关注 / 一年前发布,63,"4,784元/平"
花园洋房 南北花园100平左右 满2年 诚心出售 价格可谈,裕鸿世界港丽宫 -航空港商圈,5室3厅 | 197.23平米 | 南 | 毛坯 | 低楼层(共5层)  | 板楼,15人关注 / 一年前发布,348,"17,645元/平"
有车位，北三环中方园路，电梯复式带露台,江山名典 -省中医院,5室3厅 | 270.79平米 | 南 北 | 精装 | 高楼层(共11层)  | 板塔结合,56人关注 / 一年前发布,290,"10,710元/平"
（急售）电梯洋房，中间楼层，采光好，诚信心出售,居易国际城 -南龙湖商圈,4室2厅 | 145.49平米 | 南 | 毛坯 | 中楼层(共7层)  | 板楼,30人关注 / 一年前发布,100,"6,874元/平"
双地铁口，21世纪社区湖畔，采光无遮挡,21世纪社区湖畔优邸 -汽配大世界,5室2厅 | 194.78平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,15人关注 / 一年前发布,210,"10,782元/平"
北龙湖真正的别墅   地铁4号线龙源一街站  公园搬回家,家和万世花园 -汽配大世界,5室2厅 | 238.97平米 | 南 北 | 简装 | 低楼层(共3层)  | 暂无数据,181人关注 / 一年前发布,368,"15,400元/平"
南龙湖 地铁  口 21世纪国际城 多层3室带露台,21世纪国际城北区 -南龙湖商圈,3室2厅 | 141.5平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,18人关注 / 10个月以前发布,85,"6,008元/平"
富华花苑顶楼复式，价格钜惠，看房方便,富华花苑 -二七万达,3室2厅 | 168.05平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,25人关注 / 一年前发布,145,"8,629元/平"
千亩帝湖；双气大4房，朝阳，采光好！出门地铁口,帝湖西王府 -帝湖,4室2厅 | 187.01平米 | 南 北 | 精装 | 高楼层(共31层)  | 塔楼,23人关注 / 一年前发布,192,"10,267元/平"
中州大道 多层复式六居室   业主诚心卖 看房方便,荣盛花园 -新北站,6室3厅 | 227平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,41人关注 / 一年前发布,159,"7,005元/平"
永威逸阳溪畔边户上叠，带车位 ，有储藏室,永威逸阳溪畔 -荥阳城区,4室2厅 | 175.25平米 | 南 | 毛坯 | 中楼层(共7层)  | 板塔结合,4人关注 / 6个月以前发布,235,"13,410元/平"
秀水苑中叠，五室三厅四卫，格局无改动，有车位,秀水苑 -鸿园片区,5室3厅 | 260平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,57人关注 / 一年前发布,380,"14,616元/平"
临湖观景 两梯1户大平层 相互无干扰 尽享生活品质,金沙湖高尔夫观邸 -金沙湖高尔夫观邸,4室2厅 | 303.86平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,3人关注 / 10个月以前发布,550,"18,101元/平"
双地铁   带8个阳台   视野开阔  一梯一户,财信圣堤亚纳小区 -黄河南路,4室2厅 | 188.31平米 | 南 北 | 其他 | 高楼层(共30层)  | 板楼,15人关注 / 一年前发布,429,"22,782元/平"
CBD旁 双气180度景观房 空中墅院，免费带70平大露台,伟业栖岸 -燕庄,5室1厅 | 215.37平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,7人关注 / 6个月以前发布,335,"15,555元/平"
三环内，低密社区，复式住宅，综合社区，价低房优,橡树玫瑰城 -阳光城,3室2厅 | 126.94平米 | 南 北 | 精装 | 6层  | 板楼,6人关注 / 一年前发布,155,"12,211元/平"
绿都城 中，原路西三环 鸟巢 植物园 地铁10号线 公交,郑州绿都城 -中原万达,4室2厅 | 124.35平米 | 东 北 | 精装 | 高楼层(共6层)  | 板楼,14人关注 / 一年前发布,125,"10,053元/平"
郑州 第 一 高度 云中复式 豪 华 尊贵 53层 视野好,华润悦府 -二七广场,5室3厅 | 355.58平米 | 西南 | 精装 | 高楼层(共53层)  | 塔楼,93人关注 / 一年前发布,760,"21,374元/平"
业主诚售  价位合适 方便看房 不临街不临路 双气,润城时光里 -通泰路,3室2厅 | 144.14平米 | 南 北 | 简装 | 中楼层(共26层)  | 板楼,14人关注 / 7个月以前发布,210,"14,570元/平"
南北通透户型，业主诚心出售 顶楼复式带露台,龙祥苑 -通泰路,7室2厅 | 226.06平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,7人关注 / 一年前发布,360,"15,925元/平"
建业置地广场 地理位置优越  交通方便 购物方便,建业置地广场 -燕庄,4室2厅 | 154.65平米 | 南 北 | 简装 | 低楼层(共30层)  | 板楼,0人关注 / 3个月以前发布,200,"12,933元/平"
满五年，中楼层，采光无遮挡  有钥匙看房方便,财信圣堤亚纳小区 -黄河南路,3室2厅 | 188.31平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,38人关注 / 一年前发布,330,"17,525元/平"
龙祥苑  大复式带50平大露台  实用性强,龙祥苑 -通泰路,6室2厅 | 190.36平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,26人关注 / 一年前发布,330,"17,336元/平"
顶楼复式 有大露台 经开外国语一路之隔,绿地澜庭 -滨河国际新城商圈,5室2厅 | 188.73平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,24人关注 / 一年前发布,448,"23,738元/平"
建业很少有的中间层复式，无遮挡，精装可以拎包入住。,建业城市花园 -燕庄,5室3厅 | 284.06平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,420,"14,786元/平"
永威复式楼 毛坯房 房子里看小区绿化水系,永威翡翠城 -通泰路,4室2厅 | 250.29平米 | 南 北 | 毛坯 | 低楼层(共25层)  | 板楼,30人关注 / 一年前发布,750,"29,966元/平"
精装大平层5房  一个房本 满五年  有俩车位,怡景嘉园 -黄河南路,4室2厅 | 292.07平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,17人关注 / 一年前发布,525,"17,976元/平"
此房干净整洁，一梯两户，位置安静，出入方便。,郑州绿都城 -中原万达,4室3厅 | 91.37平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,4人关注 / 7个月以前发布,116,"12,696元/平"
南北通透四房 采光好 满五年 入住花园,银基王朝4期东南御 -燕庄,4室2厅 | 151.85平米 | 南 北 | 简装 | 低楼层(共30层)  | 塔楼,1人关注 / 一年前发布,300,"19,757元/平"
满五唯一 ，复式洋房，精装修，带露台，看房方便,东郡蓝湾 -远大理想城,5室2厅 | 237.8平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,25人关注 / 11个月以前发布,236,"9,925元/平"
碧桂园开发精装大平层，好楼层视野无遮挡，带空中花园,碧桂园龙城天悦 -荥阳城区,5室2厅 | 273.39平米 | 南 北 | 精装 | 高楼层(共31层)  | 板楼,0人关注 / 2个月以前发布,270,"9,877元/平"
三环内 近地铁 万达商圈 六室 双气 南 北 通透,启福花园西区 -儿童公园,6室3厅 | 238.21平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 5个月以前发布,180,"7,557元/平"
三环内 小高层顶楼复式 南北双露台 房东诚心出售,情景博士园 -绿茵广场,4室3厅 | 178.16平米 | 南 北 | 毛坯 | 17层  | 塔楼,95人关注 / 一年前发布,183.5,"10,300元/平"
一二楼花园洋房 ，东边户带花园，带地下室，看房随时,金沙湖高尔夫观邸六期和谐嘉园 -金沙湖高尔夫观邸,5室3厅 | 262.44平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板楼,35人关注 / 一年前发布,705,"26,864元/平"
航海工人路  电梯挑空复式  带100平露台 两梯两户、,仟禧-金泉国际 -电力新村,5室2厅 | 239.89平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,36人关注 / 8个月以前发布,298,"12,423元/平"
CBD旁  电梯房大四房  诚心出售   看房方便,虹景嘉园 -燕庄,4室2厅 | 154.29平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,178人关注 / 一年前发布,188,"12,185元/平"
托斯卡纳，顶楼3层复式，毛坯可重装,绿洲花园1号院 -五龙口,5室3厅 | 197.28平米 | 南 北 | 毛坯 | 15层  | 塔楼,48人关注 / 11个月以前发布,189,"9,581元/平"
博瑞花园 新上笋盘 大三居 边户 楼层佳 采光好 诚心！,博瑞花园 -燕庄,4室2厅 | 150.06平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,65人关注 / 一年前发布,210,"13,995元/平"
采光佳，总价低，五居室双卫，无贷款，税费低,立体世界 -黄河南路,5室2厅 | 112.63平米 | 西北 | 简装 | 中楼层(共17层)  | 板楼,37人关注 / 一年前发布,248,"22,020元/平"
三环边 精装修 建成年代05年 带大露台,中方园东区 -陈寨,4室2厅 | 197.56平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,14人关注 / 一年前发布,152,"7,694元/平"
一梯两户，采光好 通透好，业主诚心出售,启福花园西区 -儿童公园,6室3厅 | 225.42平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板楼,60人关注 / 一年前发布,168,"7,453元/平"
花园式社区，带60平大露台，全新装修，南北通透视野好,启福花园 -儿童公园,5室2厅 | 211.45平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,2人关注 / 2个月以前发布,188,"8,891元/平"
天擎花园顶层电梯复式楼  宽敞五房改善之选,天擎花园 -橄榄城,5室3厅 | 235.18平米 | 南 北 | 精装 | 高楼层(共18层)  | 塔楼,8人关注 / 一年前发布,285,"12,119元/平"
含67平露台和2个地下室，197平5室245万，随时可以看房,龙鑫苑 -通泰路,5室2厅 | 196.23平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,80人关注 / 一年前发布,235,"11,976元/平"
鑫苑名家多层小复式1梯两户通透,鑫苑名家 -北站,5室2厅 | 201.64平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,49人关注 / 一年前发布,278,"13,787元/平"
绿都城，复式房，使用面积大，得房率高，环境优美,郑州绿都城 -中原万达,7室2厅 | 89.06平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,75人关注 / 一年前发布,135,"15,159元/平"
户型设计合理，动静分离，采光充足，环境好交通便利,原生墅 -中牟城区,5室3厅 | 291.55平米 | 南 北 | 其他 | 3层  | 板楼 | 独栋别墅 ,25人关注 / 一年前发布,290,"9,947元/平"
此房满五唯一，小高层得房率高，有露台,金明路20号 -北站,5室2厅 | 188.14平米 | 南 | 简装 | 高楼层(共11层)  | 板楼,1人关注 / 2个月以前发布,248.5,"13,209元/平"
金沙湖高尔夫观邸 观湖大平层 只有一个点个税绿化高,金沙湖高尔夫观邸 -金沙湖高尔夫观邸,4室2厅 | 275.5平米 | 南 北 | 简装 | 中楼层(共27层)  | 板塔结合,5人关注 / 一年前发布,460,"16,697元/平"
多层复式得房率高，楼顶大露台.,中方园东区 -陈寨,7室2厅 | 297.97平米 | 南 北 | 简装 | 高楼层(共11层)  | 板楼,23人关注 / 一年前发布,260,"8,726元/平"
宏蕊花园 大面积复式 附带大露台 诚心出售,宏蕊花园 -五龙口,5室2厅 | 226.46平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,15人关注 / 一年前发布,220,"9,715元/平"
瀚宇天悦二期，大平层，两梯两户，毛坯现房，看房方便,瀚宇天悦二期 -索凌路北段,5室3厅 | 304.01平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 板楼,20人关注 / 6个月以前发布,600,"19,737元/平"
龙腾盛世 地铁口 精装大三房 未入住 有钥匙随时看,龙腾盛世 -黄河南路,3室2厅 | 151.94平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,29人关注 / 一年前发布,327,"21,522元/平"
别墅区 花园洋房 1梯2户 双气,迎宾路3号 -北大学城,5室2厅 | 224.04平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板塔结合,25人关注 / 一年前发布,505,"22,541元/平"
意墅蓝山双气社区，5-6楼复式居住舒适，小区环境优美,中森意墅蓝山 -荥阳城区,4室3厅 | 178.6平米 | 南 北 | 精装 | 高楼层(共5层)  | 板塔结合,142人关注 / 一年前发布,128,"7,167元/平"
不临街不临路一楼带院户型方正诚心出售,第一大街逸水湾 -天赋路,4室3厅 | 167.74平米 | 南 北 | 简装 | 低楼层(共5层)  | 板塔结合,15人关注 / 7个月以前发布,546,"32,551元/平"
森林湖复式院子 使用面积260平米 一楼诚心卖房,怡丰森林湖南区 -北大学城,6室2厅 | 140.61平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板塔结合,10人关注 / 一年前发布,268,"19,060元/平"
郑东 永威翰林居 满五 顶层复式 带大露台,永威翰林居 -天赋路,4室2厅 | 224.14平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,183人关注 / 一年前发布,568,"25,342元/平"
