标题,开发商,房子信息,发布信息,售价/万,单价
春天花园 中间楼层 纯毛坯 带23朝南车库 看房方便,春天花园 -能达商务区,3室1厅 | 124.86平米 | 南 | 毛坯 | 中楼层(共6层)  | 板塔结合,0人关注 / 6天以前发布,140,"11,213元/平"
诚意出售，随时看房，好楼层，拎包入住，全天采光,朝阳花苑 -小海,2室1厅 | 75.5平米 | 南 北 | 精装 | 中楼层(共17层)  | 塔楼,0人关注 / 21天以前发布,132,"17,484元/平"
万科翡翠 精装洋房 满两年加装中 央 空调业主诚心出售,万科翡翠公园 -能达商务区,3室2厅 | 98.03平米 | 南 | 精装 | 低楼层(共9层)  | 板塔结合,0人关注 / 17天以前发布,178,"18,158元/平"
世茂新界小高层后面 中上楼层 满二,世茂新界 -能达商务区,3室1厅 | 87.95平米 | 南 | 毛坯 | 高楼层(共27层)  | 板塔结合,1人关注 / 24天以前发布,134,"15,236元/平"
幸福天地二期满五中楼层精装修采光视野好诚心出售,幸福天地二期 -能达商务区,2室2厅 | 88.37平米 | 南 | 精装 | 高楼层(共24层)  | 板楼,0人关注 / 26天以前发布,140,"15,843元/平"
房东诚心出售，北街新村57.22平五楼,北街新村 -濠河,2室1厅 | 57.22平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,0人关注 / 19天以前发布,118.8,"20,762元/平"
1号线地铁 永兴佳园 临街商铺 简装 复式 诚售,永兴佳园 -永兴,1室0厅 | 65.88平米 | 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 24天以前发布,73,"11,081元/平"
世伦名郡  两房精装修 诚 心 出 售,帝奥世伦名郡 -观音山,2室1厅 | 94.75平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 30天以前发布,178,"18,787元/平"
毛坯中等户型，主卧大改造方便，房东诚心，看房方便,保利香槟国际 -永兴,3室2厅 | 101.67平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 24天以前发布,158,"15,541元/平"
城东 恒盛豪庭 前排无遮挡 好楼层 采光时间长,恒盛豪庭 -观音山,3室1厅 | 131.74平米 | 南 | 简装 | 高楼层(共24层)  | 板楼,0人关注 / 26天以前发布,203.5,"15,448元/平"
房东急售，有车库，价格可以谈，看房方便,星景花园 -小海,1室1厅 | 59.89平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 17天以前发布,60,"10,019元/平"
永旺东 大四房精装修 视野开阔采光充足,富力半岛花园 -张芝山,4室2厅 | 143平米 | 南 | 其他 | 高楼层(共20层)  | 板楼,0人关注 / 5天以前发布,180,"12,588元/平"
尚贤新村 3室2厅 南 北,尚贤新村 -海门,3室2厅 | 125平米 | 南 北 | 其他 | 高楼层(共22层)  | 板塔结合,0人关注 / 6天以前发布,230.8,"18,464元/平"
新建路新村 2室1厅 南,新建路新村 -任港,2室1厅 | 64.52平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 11天以前发布,129.8,"20,118元/平"
随时看房 朝晖一付启秀 非顶楼全天采光 出租自住皆可,光明南村 -虹桥,3室1厅 | 76.65平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 9天以前发布,145.6,"18,996元/平"
毛坯出售 户型方正，采通风好 交通便利,金科廊桥水岸 -苏通,2室1厅 | 77.97平米 | 南 | 毛坯 | 高楼层(共30层)  | 板塔结合,0人关注 / 12天以前发布,69,"8,850元/平"
学田南苑 4室2厅 南,学田南苑 -城东,4室2厅 | 132.8平米 | 南 | 其他 | 6层  | 板楼,0人关注 / 9天以前发布,260,"19,579元/平"
雅居乐万科中央公园4-2-1-2 洋房好楼层带一个车位,雅居乐万科中央公园 -海门,4室2厅 | 147平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 7天以前发布,349.8,"23,796元/平"
万科城市之光 大四房 业主二次精装修 诚心出售,万科城市之光 -观音山,4室2厅 | 142.78平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 1个月以前发布,350,"24,514元/平"
中央广场A区132平米二室二厅一卫,中央广场A区 -如东县,2室2厅 | 130.15平米 | 南 | 精装 | 高楼层(共18层)  | 塔楼,0人关注 / 31天以前发布,168,"12,909元/平"
白鹭湾 精装3房 家具家电全留 拎包入住  正常首付诚心,万科白鹭湾 -苏通,3室2厅 | 115.03平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,180,"15,649元/平"
幸福新居南区 3室2厅 南,幸福新居南区 -幸福,3室2厅 | 146.52平米 | 南 | 毛坯 | 高楼层(共16层)  | 板楼,0人关注 / 1个月以前发布,158,"10,784元/平"
满二无大税 全屋精装修 朝南车库18平装修过,虹桥新苑东区 -虹桥,3室2厅 | 125.54平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,198.8,"15,836元/平"
北上海 大面积电梯房 南北通风 全天采光,北上海花园B区 -启东市,3室1厅 | 133.04平米 | 南 | 毛坯 | 高楼层(共17层)  | 塔楼,1人关注 / 29天以前发布,194,"14,583元/平"
明珠新村中间楼层  简单装修二朝阳,明珠新村 -启东市,1室1厅 | 59.32平米 | 南 | 简装 | 中楼层(共4层)  | 板楼,0人关注 / 1个月以前发布,100,"16,858元/平"
东晖花园 2室1厅 南,东晖花园 -观音山,2室1厅 | 89.71平米 | 南 | 精装 | 低楼层(共9层)  | 板楼,0人关注 / 1个月以前发布,158,"17,613元/平"
小区环境优美，干净卫生，绿植遍地，居民素质高。,城河新村 -启东市,2室2厅 | 80.9平米 | 南 | 简装 | 5层  | 板楼,0人关注 / 28天以前发布,110,"13,598元/平"
房东精装两房30万，诚心出售.房屋己空出来，看房随时,冠城大通棕榈湾 -观音山,2室1厅 | 88.43平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,238,"26,914元/平"
桃李新村3朝阳户型3室2厅房型方正采光全天,桃李新村 -启东市,3室2厅 | 99.86平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 28天以前发布,295,"29,542元/平"
东邦公寓 户型方正，采光无忧，诚心出售。,东邦公寓 -启东市,2室2厅 | 84.28平米 | 南 | 精装 | 中楼层(共8层)  | 板塔结合,0人关注 / 1个月以前发布,115,"13,645元/平"
底楼带院子两朝阳2室2厅精装房型方正户型通透,长龙二村 -启东市,2室2厅 | 69.7平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 28天以前发布,101.8,"14,606元/平"
竹韵花园 标准3房  满二无大税,竹韵花园 -能达商务区,2室2厅 | 115.32平米 | 南 | 毛坯 | 18层  | 板塔结合,0人关注 / 28天以前发布,120,"10,406元/平"
苏建花园飞机户型大3室，房东自住房保养好，诚心出售,苏建花园城 -城东,3室2厅 | 123.16平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 1个月以前发布,258,"20,949元/平"
。此房3室2厅2卫，通透格局，阳光厅，全天采光,保利香槟国际 -永兴,3室2厅 | 136.29平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,280,"20,545元/平"
满五唯一 采光好 灰尘少 出行方便 交通便利 房东诚售,虹桥西村 -虹桥,3室1厅 | 132.03平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 31天以前发布,180,"13,634元/平"
房东急售158平四室  精装中间楼层,优山美地花园南区 -军山,4室2厅 | 158.62平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,1人关注 / 30天以前发布,275,"17,338元/平"
成熟社区，生活便利，此房户型方正，采光充足。,星源花苑 -金沙,4室2厅 | 148.01平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,126,"8,513元/平"
北大街万象城商圈，满五无大税，拎包入住。。。。。。,怡园北村北区 -永兴,3室2厅 | 151.3平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 31天以前发布,149,"9,848元/平"
出行方便，户型方正，居住方便舒适温馨，宜居,江海清水园 -海安县,3室2厅 | 118.49平米 | 南 北 | 精装 | 中楼层(共10层)  | 板塔结合,0人关注 / 26天以前发布,150.8,"12,727元/平"
万科白鹭郡精装修好楼层 房东诚心,万科白鹭郡 -唐闸,3室2厅 | 123.08平米 | 南 北 | 精装 | 低楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,246,"19,988元/平"
中间楼层，自住装修，全天采光，交通便利，诚心出售,振兴中路 -能达商务区,4室1厅 | 129.62平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 25天以前发布,140,"10,801元/平"
左万象城右圆融 华润悦锦湾 精装3房 拎包入住 诚售,华润悦锦湾 -秦灶,3室2厅 | 116.67平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 24天以前发布,228,"19,543元/平"
四开间朝南，阳光厅，领包入住，采光好，诚心出售,佳期漫 -观音山,4室2厅 | 122.63平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,240,"19,572元/平"
繁华地段  自带人工清水 大四房  可视江景 258万,万科有湖（翡翠心湖） -能达商务区,4室2厅 | 148.27平米 | 南 | 精装 | 高楼层(共34层)  | 板塔结合,0人关注 / 31天以前发布,258,"17,401元/平"
中间楼层，自住装修，全天采光，交通便利，诚心出售,振兴中路 -能达商务区,4室1厅 | 129.62平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 25天以前发布,140,"10,801元/平"
万科白鹭郡精装修好楼层 房东诚心,万科白鹭郡 -唐闸,3室2厅 | 123.08平米 | 南 北 | 精装 | 低楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,246,"19,988元/平"
出行方便，户型方正，居住方便舒适温馨，宜居,江海清水园 -海安县,3室2厅 | 118.49平米 | 南 北 | 精装 | 中楼层(共10层)  | 板塔结合,0人关注 / 26天以前发布,150.8,"12,727元/平"
北大街万象城商圈，满五无大税，拎包入住。。。。。。,怡园北村北区 -永兴,3室2厅 | 151.3平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 31天以前发布,149,"9,848元/平"
盛和九里香堤 小高层 拎包入住,盛和九里香堤一期 -秦灶,4室2厅 | 123.55平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,270,"21,854元/平"
江景苑小区  诚心出售 采光好  户型好,江景苑小区 -虹桥,2室2厅 | 96.31平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,0人关注 / 1个月以前发布,200,"20,767元/平"
浦发满五精装诚心出，价格可谈，无大税,浦发领秀城 -如东县,3室2厅 | 141平米 | 南 | 精装 | 11层  | 板塔结合,0人关注 / 26天以前发布,196,"13,901元/平"
城山花园，三室两厅一厨一卫，采光好，环境优美,城山花园 -新城,3室2厅 | 108平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,238,"22,038元/平"
城港花苑 电梯房 中高楼层视野好 近珑府,城港花苑东区 -任港,3室1厅 | 120.26平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 1个月以前发布,218,"18,128元/平"
电梯房 楼层好 满二 视野佳 交通便捷 房主诚心出售,永怡家园 -永兴,3室2厅 | 132.98平米 | 南 | 毛坯 | 高楼层(共16层)  | 板楼,0人关注 / 23天以前发布,225,"16,920元/平"
精装修LOFT公寓，房东诚心出售！！！,唐人公寓 -永兴,2室1厅 | 53.97平米 | 南 | 精装 | 中楼层(共20层)  | 板楼,0人关注 / 31天以前发布,55,"10,191元/平"
诚心出售户型通透，楼层好·户型方正,金桥人家 -金沙,4室1厅 | 156.06平米 | 南 | 精装 | 高楼层(共11层)  | 板塔结合,0人关注 / 1个月以前发布,186,"11,919元/平"
：房东诚心出售 视野开阔 位置比较好，户型方正,水绘绿源 -如皋市区,3室1厅 | 126.17平米 | 南 | 毛坯 | 高楼层(共17层)  | 板楼,1人关注 / 23天以前发布,110,"8,719元/平"
西欧翡翠苑 精装电梯房  凤凰楼层,西欧翡翠苑 -启东市,3室2厅 | 93.17平米 | 南 | 精装 | 高楼层(共29层)  | 板楼,1人关注 / 29天以前发布,178.8,"19,191元/平"
炜建花苑 满5唯一 看房有钥匙,炜建花苑 -能达商务区,3室2厅 | 116.92平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 22天以前发布,130,"11,119元/平"
此房，两个都是朝南房间，客厅朝东，采光好,果园新村 -三厂,2室2厅 | 72平米 | 南 北 | 精装 | 高楼层(共5层)  | 板塔结合,0人关注 / 31天以前发布,45.8,"6,362元/平"
万科白鹭湾 精装3室 家具家电全留 正常首付 诚心,万科白鹭湾 -苏通,3室2厅 | 113.82平米 | 南 | 精装 | 低楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,138,"12,125元/平"
如皋品质楼盘标杆，精装修50万，拎包入住，满五年,御龙湾 -如皋市区,4室2厅 | 144.48平米 | 东 南 北 | 精装 | 低楼层(共17层)  | 塔楼,0人关注 / 25天以前发布,239,"16,543元/平"
运河边，地铁口，绿化好，采光佳，出入方便，停车方便,尚德城邦 -濠河,3室2厅 | 122.29平米 | 南 北 | 精装 | 中楼层(共10层)  | 板塔结合,0人关注 / 26天以前发布,240,"19,626元/平"
香格花园  三朝阳  大三房  楼层好 拎包入住,香格花园 -启东市,4室2厅 | 141.8平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 23天以前发布,199.8,"14,091元/平"
房东诚心出售，采光好，大三房，带一个朝北大车库,怡居北苑 -永兴,3室2厅 | 133.71平米 | 东南 | 毛坯 | 低楼层(共6层)  | 板楼,0人关注 / 29天以前发布,175,"13,089元/平"
华强城 3室2厅 南,华强城 -秦灶,3室2厅 | 139.08平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 31天以前发布,320,"23,009元/平"
精装修电梯两室 诚心出售 税费个税 采光视野好,新苑华庭 -唐闸,4室2厅 | 187平米 | 南 北 | 精装 | 高楼层(共4层)  | 板楼,0人关注 / 31天以前发布,198,"10,589元/平"
景诚中央公园  125.11平 精装修  3室2厅2卫 120 万,景诚中央公园 -如皋市区,3室2厅 | 125.11平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,120.8,"9,656元/平"
锦城一期 南北通风 中间层次 结婚装修 满两年,中南世纪锦城1期 -海门,3室2厅 | 131.56平米 | 南 | 精装 | 中楼层(共24层)  | 板塔结合,1人关注 / 30天以前发布,248,"18,851元/平"
锦尚名苑经典大三房 全天采光 户型方正 好楼层,锦尚名苑一期 -海门,3室2厅 | 125平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 22天以前发布,275,"22,000元/平"
运杰龙馨园品质物业精装南北通风好楼层满五唯一,运杰龙馨园(海门市) -海门,3室2厅 | 147.83平米 | 南 | 精装 | 中楼层(共36层)  | 板塔结合,0人关注 / 27天以前发布,268.8,"18,184元/平"
精装修电梯两室 诚心出售 税费个税 采光视野好,新苑华庭 -唐闸,4室2厅 | 187平米 | 南 北 | 精装 | 高楼层(共4层)  | 板楼,0人关注 / 31天以前发布,198,"10,589元/平"
星润花园 精装修 三室 采光全天 户型方正,星润花园 -能达商务区,3室1厅 | 115.38平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,120,"10,401元/平"
春天花园 3室1厅 南,春天花园 -能达商务区,3室1厅 | 112.28平米 | 南 | 精装 | 中楼层(共9层)  | 板塔结合,0人关注 / 1个月以前发布,148,"13,182元/平"
五水商圈 电梯房 永和花苑 精装修 好楼层 全天采光,永和花苑 -永兴,3室2厅 | 117.06平米 | 南 | 精装 | 高楼层(共10层)  | 板楼,0人关注 / 23天以前发布,200,"17,086元/平"
城东花园 二房电梯房 南北通风，全天采光,启东城东花园 -启东市,2室2厅 | 102平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,155,"15,197元/平"
三室一厅一厨一卫，房东诚心出售，地理位置好。,八角亭东一区 -金沙,3室1厅 | 82.11平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,85,"10,352元/平"
精装修品牌家具家电全留 地铁口 楼层优 拎包入住,第九园 -先锋,3室2厅 | 103.77平米 | 东 南 | 精装 | 低楼层(共23层)  | 板塔结合,0人关注 / 1个月以前发布,143,"13,781元/平"
1号线航院学院站 世茂新界 大三房 毛坯,世茂新界 -能达商务区,3室2厅 | 119.9平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 31天以前发布,210,"17,515元/平"
满二 小高层精装三房 采光视野很好 出入方便,碧桂园(南通经济技术开发区) -能达商务区,3室2厅 | 96.36平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,1人关注 / 27天以前发布,148,"15,360元/平"
水韵名居三室三厅一厨二卫采光好,水韵名居 -如东县,3室2厅 | 141.94平米 | 南 北 | 精装 | 高楼层(共15层)  | 暂无数据,0人关注 / 1个月以前发布,165,"11,625元/平"
中创南，精装修满两年，中高楼层，视野宽阔，采光充足,碧桂园(南通经济技术开发区) -能达商务区,3室2厅 | 133.52平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 21天以前发布,208,"15,579元/平"
房子精装修，楼层好，视野宽阔 采光充足 配套全,碧桂园(南通经济技术开发区) -能达商务区,3室1厅 | 127.91平米 | 东 东南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 29天以前发布,206,"16,106元/平"
瑞海盛世名门125平老证空飞机户型高楼层采光好视野好,瑞海盛世名门 -海安县,3室2厅 | 124.19平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 31天以前发布,269,"21,661元/平"
御和湾中央公园  纯毛坯   产证清晰  厅里带落地窗,御和湾中央公园 -启东市,3室1厅 | 94.76平米 | 南 | 毛坯 | 低楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,170,"17,941元/平"
万科公园里 原始精装 满两年 地铁站旁 位居北大街,万科公园里二期 -秦灶,3室1厅 | 120.08平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 25天以前发布,230,"19,154元/平"
九里香堤空中花园洋房 户型方正 精装修 拎包入住,盛和九里香堤二期 -秦灶,4室2厅 | 143.07平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 31天以前发布,396,"27,679元/平"
星怡花园 精装修 两室两厅一厨一卫 中间楼层,星怡花园 -能达商务区,2室2厅 | 105.39平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 29天以前发布,124,"11,766元/平"
此房中间楼层，全天采光，有大车位，户型方正诚心出售,明珠花园 -能达商务区,4室2厅 | 164.67平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 20天以前发布,180,"10,931元/平"
世纪新城，交通便利，清爽装修，户型方正,世纪新城 -新城,3室2厅 | 163.74平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,194,"11,849元/平"
万科白鹭郡 双拼别墅 独门独院 带两个车位,万科白鹭郡 -唐闸,4室2厅 | 165.09平米 | 南 | 毛坯 | 3层  | 板楼 | 双拼别墅 ,1人关注 / 29天以前发布,580,"35,133元/平"
皇家花园 3室2厅 南,皇家花园 -启东市,3室2厅 | 140.04平米 | 南 | 精装 | 高楼层(共35层)  | 板塔结合,0人关注 / 1个月以前发布,290.8,"20,766元/平"
专业设计装修，全屋定制，地铁口，交通便利,光明幸福天地 -能达商务区,3室2厅 | 144.53平米 | 南 | 精装 | 低楼层(共28层)  | 板塔结合,0人关注 / 1个月以前发布,255,"17,644元/平"
中高楼层视野好，精装修，满两年，南北通透,龙游御境 -如皋市区,2室2厅 | 99.64平米 | 南 北 | 精装 | 11层  | 板塔结合,0人关注 / 27天以前发布,145,"14,553元/平"
碧桂园 现代装修 中间楼层 精装带有地暖  诚心出售,碧桂园(南通经济技术开发区) -能达商务区,3室2厅 | 97.5平米 | 南 | 精装 | 高楼层(共25层)  | 板塔结合,0人关注 / 29天以前发布,168,"17,231元/平"
南山国际，纯毛坯五室，中山楼层，看房方便，诚心出售,南山国际社区 -秦灶,5室2厅 | 161.15平米 | 南 | 毛坯 | 高楼层(共26层)  | 板楼,0人关注 / 25天以前发布,280,"17,376元/平"
金域蓝湾，精装三室，诚心出售，看房方便！,万科金域蓝湾 -秦灶,3室2厅 | 93.78平米 | 南 | 精装 | 9层  | 板楼,0人关注 / 31天以前发布,188,"20,047元/平"
浦江南苑交通便利 随时可以看房 户型方正 全天阳光,浦江南苑 -海门,3室2厅 | 108平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,134.8,"12,482元/平"
此房业主诚心出售，南北格局，楼层好，视野开阔,碧桂园龙游湖小区 -如皋市区,3室1厅 | 100平米 | 南 | 精装 | 高楼层(共30层)  | 板塔结合,1人关注 / 1个月以前发布,143,"14,300元/平"
：精装修 好楼层 采光充足 诚心出售 看房方便,星源花苑 -金沙,3室1厅 | 157.6平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,131,"8,313元/平"
小资精装修两房朝南地理位置好有储藏室,海宁鑫城 -如皋市区,2室2厅 | 83.54平米 | 南 北 | 精装 | 中楼层(共25层)  | 板楼,0人关注 / 24天以前发布,155,"18,554元/平"
通源新村满五不唯一，户型方正，生活方便 全天采光,通源新村 -海门,3室1厅 | 80.69平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 24天以前发布,152.8,"18,937元/平"
小高层，电梯房，三朝阳户型，本家精装,润福花园 -启东市,3室2厅 | 113.23平米 | 南 | 精装 | 低楼层(共11层)  | 板塔结合,0人关注 / 1个月以前发布,165,"14,573元/平"
小资精装修两房朝南地理位置好有储藏室,海宁鑫城 -如皋市区,2室2厅 | 83.54平米 | 南 北 | 精装 | 中楼层(共25层)  | 板楼,0人关注 / 24天以前发布,155,"18,554元/平"
楼层好 房子新，地段好，交通便利，出行方便,九玺台 -虹桥,4室2厅 | 143.11平米 | 南 | 毛坯 | 低楼层(共17层)  | 板楼,0人关注 / 27天以前发布,418,"29,209元/平"
水韵天城，三室两厅一卫，精装修,水韵天城 -海安县,3室2厅 | 115.58平米 | 南 | 精装 | 高楼层(共23层)  | 塔楼,1人关注 / 29天以前发布,132,"11,421元/平"
明昊和府   114.21平 3室 中层  精装修 老证,明昊和府 -如皋市区,3室2厅 | 114.21平米 | 南 北 | 简装 | 中楼层(共11层)  | 板楼,0人关注 / 30天以前发布,114,"9,982元/平"
房子精装修，品牌家具，南北格局..,南通橡树湾 -能达商务区,4室2厅 | 166.01平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 23天以前发布,260,"15,662元/平"
龙田花苑138平大三房此房满二无大税，中间楼层,龙田花苑二期 -能达商务区,3室2厅 | 138.46平米 | 南 | 精装 | 21层  | 板楼,0人关注 / 21天以前发布,175,"12,640元/平"
城市花苑电梯房，楼层好，户型好，房东诚心出售,城市花苑 -启东市,3室1厅 | 152.68平米 | 南 北 | 精装 | 高楼层(共12层)  | 板塔结合,0人关注 / 22天以前发布,233.8,"15,314元/平"
此房为精装修房。好楼层，采光很好。,金鼎名城 -如皋市区,3室2厅 | 129.66平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 31天以前发布,177.8,"13,713元/平"
罗福宫 2室2厅 南 北,罗福宫 -先锋,2室2厅 | 106平米 | 南 北 | 精装 | 高楼层(共23层)  | 板楼,0人关注 / 22天以前发布,190,"17,925元/平"
碧桂园天悦洋房复式，满二，户型方正，配套齐全,碧桂园天悦 -姜灶,5室2厅 | 196.99平米 | 南 | 简装 | 高楼层(共11层)  | 平房,0人关注 / 22天以前发布,260,"13,199元/平"
诚售星通花园精装三房户型方正采光刺眼带车库,星通花园 -军山,3室1厅 | 94.76平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,137,"14,458元/平"
此房满五 明厨明卫 精装修 得房率高 房东诚心出售,星景花园 -小海,3室1厅 | 137.57平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 20天以前发布,136.8,"9,945元/平"
中高楼层视野好，精装修，满两年，南北通透,龙游御境 -如皋市区,2室2厅 | 99.64平米 | 南 北 | 精装 | 11层  | 板塔结合,0人关注 / 27天以前发布,145,"14,553元/平"
浦江南苑交通便利 随时可以看房 户型方正 全天阳光,浦江南苑 -海门,3室2厅 | 108平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,134.8,"12,482元/平"
城河新村好楼层，精装修房，拎包入住,城河新村 -启东市,2室2厅 | 68.12平米 | 南 北 | 精装 | 4层  | 板楼,0人关注 / 22天以前发布,118,"17,323元/平"
南山湖畔  万达育才旁  精装修好房,湖山源著 -金沙,3室2厅 | 124.57平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 21天以前发布,199,"15,975元/平"
学士府 高层双卫 圆融东 通京大道西 双阳台 阳光厅,学士府 -虹桥,3室2厅 | 142.63平米 | 南 | 毛坯 | 高楼层(共31层)  | 板塔结合,0人关注 / 19天以前发布,260,"18,229元/平"
万科公园里 原始精装 满两年 地铁站旁 位居北大街,万科公园里二期 -秦灶,3室1厅 | 120.08平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 25天以前发布,230,"19,154元/平"
星怡花园 精装修 两室两厅一厨一卫 中间楼层,星怡花园 -能达商务区,2室2厅 | 105.39平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 29天以前发布,124,"11,766元/平"
九里香堤空中花园洋房 户型方正 精装修 拎包入住,盛和九里香堤二期 -秦灶,4室2厅 | 143.07平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 31天以前发布,396,"27,679元/平"
万科白鹭郡 双拼别墅 独门独院 带两个车位,万科白鹭郡 -唐闸,4室2厅 | 165.09平米 | 南 | 毛坯 | 3层  | 板楼 | 双拼别墅 ,1人关注 / 29天以前发布,580,"35,133元/平"
世纪新城，交通便利，清爽装修，户型方正,世纪新城 -新城,3室2厅 | 163.74平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,194,"11,849元/平"
龙田花苑大三房出售 ，通透户型，带储藏室。,龙田花苑一期 -能达商务区,3室1厅 | 136.36平米 | 南 | 毛坯 | 低楼层(共17层)  | 板塔结合,0人关注 / 22天以前发布,120,"8,801元/平"
静海新村2排，现代精装3室1厅，满2年，采光好,静海新村 -海门,3室1厅 | 97.73平米 | 南 北 | 精装 | 高楼层(共7层)  | 塔楼,0人关注 / 27天以前发布,118.8,"12,156元/平"
中层/18层 满两年精装三房随时看房原业主自住,中港翡翠城 -能达商务区,3室2厅 | 98.3平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,1人关注 / 27天以前发布,149,"15,158元/平"
清华苑，高层电梯房，轻爽装修，已满两年,清华苑 -启东市,3室2厅 | 132.51平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 25天以前发布,133,"10,037元/平"
便宜好房 城河新村 轻松楼层 离校近 车库7平米 诚心卖,城河新村 -启东市,3室2厅 | 69.67平米 | 南 北 | 简装 | 5层  | 板楼,0人关注 / 22天以前发布,105,"15,072元/平"
此房满五不唯一，通透格局，楼层佳，采光充足,众和花园 -濠河,4室2厅 | 180.91平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 31天以前发布,546,"30,181元/平"
江景房 精装修 拎包入住 满二,江景国际家园北区 -任港,3室2厅 | 144.68平米 | 南 | 精装 | 中楼层(共22层)  | 板楼,0人关注 / 24天以前发布,310,"21,427元/平"
