标题,开发商,房子信息,发布信息,售价/万,单价
电力湖心路双阳台户型-一期实用高户型-业主保养好,家和城一期 -白藤头,3室2厅 | 113.31平米 | 南 北 | 精装 | 低楼层(共31层)  | 板塔结合,0人关注 / 10天以前发布,180,"15,886元/平"
中海银海湾 精装大三房  高楼层  视野开阔 业主诚售,中海银海湾 -唐家湾镇,3室2厅 | 222.1平米 | 南 | 其他 | 29层  | 板塔结合,3人关注 / 2个月以前发布,823,"37,056元/平"
吉大 景观绿化好 格局方正 格力广场三期,格力广场三期 -吉大,3室2厅 | 164.52平米 | 东南 | 简装 | 低楼层(共37层)  | 板楼,0人关注 / 2个月以前发布,526,"31,972元/平"
吉大精装大四房   白莲洞公园    宜居小区,锦园 -吉大,4室2厅 | 152.09平米 | 南 北 | 精装 | 低楼层(共32层)  | 板塔结合,2人关注 / 3个月以前发布,403,"26,498元/平"
山水华庭顶楼复式，业主诚心出售，小区少有户型,山水华庭 -吉大,4室2厅 | 173.92平米 | 南 北 | 其他 | 高楼层(共11层)  | 板楼,10人关注 / 一年前发布,498,"28,634元/平"
老香洲商圈，生活配套齐*，出行便利,南厦丰泽园 -老香洲,5室2厅 | 173.75平米 | 东南 南 北 | 精装 | 高楼层(共11层)  | 板塔结合,4人关注 / 一年前发布,500,"28,777元/平"
君怡花园七房出售业主诚意出售看房方便,君怡花园 -吉大,7室1厅 | 198.74平米 | 北 | 其他 | 高楼层(共11层)  | 塔楼,0人关注 / 1个月以前发布,540,"27,172元/平"
环宇城商圈 电梯顶楼复式 高档装修 无个税 业主急售,明珠山庄 -前山,5室3厅 | 229.5平米 | 南 | 其他 | 19层  | 板塔结合,9人关注 / 一年前发布,580,"25,273元/平"
鸿泰溪城精装修有个50平米大花园格局方正朝南,鸿泰溪城 -柠溪,4室2厅 | 116平米 | 东南 | 精装 | 低楼层(共11层)  | 板楼,29人关注 / 一年前发布,342,"29,483元/平"
前山河边  电梯四房 封闭式宜居小区,富祥花园 -夏湾,4室2厅 | 119.71平米 | 东北 | 简装 | 中楼层(共7层)  | 板楼,5人关注 / 一年前发布,252,"21,051元/平"
业主急售，精装修保养很好，随时看房,华策岭峰国际 -白蕉镇,3室2厅 | 107.73平米 | 东南 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 3个月以前发布,109,"10,118元/平"
吉大 世邦一水岸名园 大三房  业主诚心出售 户型方正,世邦一水岸名园 -吉大,4室2厅 | 166.2平米 | 东南 | 其他 | 中楼层(共31层)  | 塔楼,1人关注 / 7个月以前发布,521,"31,348元/平"
房子还在卖的  看房方便，通风采光好,富红苑 -红旗镇,4室2厅 | 125平米 | 南 北 | 其他 | 高楼层(共7层)  | 平房,0人关注 / 1个月以前发布,110,"8,800元/平"
本房诚心出售，楼层好，采光充足，大海就在门口，,龙洲湾花园 -吉大,4室2厅 | 201.74平米 | 东南 | 其他 | 中楼层(共32层)  | 板楼,0人关注 / 一年前发布,518,"25,677元/平"
业主急售红旗电梯复式四房130平高层看山景,中珠花园 -红旗镇,5室2厅 | 130.31平米 | 南 | 精装 | 高楼层(共12层)  | 板塔结合,13人关注 / 8个月以前发布,162,"12,432元/平"
此房新精装修，一线海景，户型方正。步行过关,龙园海湾雅苑 -拱北,4室2厅 | 208.51平米 | 东南 | 其他 | 中楼层(共29层)  | 板塔结合,2人关注 / 6个月以前发布,594,"28,488元/平"
湖心路口 世荣名筑 精装大四房 南北通透,世荣名筑 -白藤头,4室2厅 | 132.76平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,1人关注 / 8个月以前发布,210,"15,819元/平"
黄杨明月轩，精装大三房，户型方正，采光通风好,黄杨明月轩 -井岸镇,3室2厅 | 101.06平米 | 东南 | 精装 | 高楼层(共17层)  | 板塔结合,2人关注 / 5个月以前发布,109.5,"10,836元/平"
吉大品质小区 锦园 南向 采光通风好,锦园 -吉大,3室2厅 | 161平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板塔结合,12人关注 / 一年前发布,455,"28,261元/平"
富之岛 精装修 配套成熟  交通方便  近中大五院,富之岛 -老香洲,3室2厅 | 90.49平米 | 东北 | 精装 | 低楼层(共20层)  | 塔楼,6人关注 / 一年前发布,186,"20,555元/平"
白蕉旭日华府电梯高层精装2房 户型方正 业主诚心出售,旭日华府 -白蕉镇,2室2厅 | 80.68平米 | 南 | 其他 | 高楼层(共29层)  | 板塔结合,0人关注 / 14天以前发布,90,"11,156元/平"
百米过关近关口 三层看澳门看海  南向大平台,粤海国际花园 -拱北,5室3厅 | 211.72平米 | 南 | 其他 | 高楼层(共11层)  | 塔楼,1人关注 / 7个月以前发布,480,"22,672元/平"
业主诚心出售 朝阳花园复式5房,朝阳花园 -夏湾,6室2厅 | 158.05平米 | 东南 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 9个月以前发布,345,"21,829元/平"
鸿泰海半山 3室1厅 东南,鸿泰海半山 -红旗镇,3室1厅 | 94平米 | 东南 | 其他 | 高楼层(共32层)  | 板塔结合,0人关注 / 11天以前发布,150,"15,958元/平"
湖心路 白藤二路 湖心水岸一期 业主诚心出售,湖星水岸一期 -白藤头,4室2厅 | 148.46平米 | 东南 | 精装 | 低楼层(共11层)  | 板楼,10人关注 / 一年前发布,160,"10,778元/平"
百米过关近关口 三层看澳门看海  南向大平台,粤海国际花园 -拱北,5室3厅 | 211.72平米 | 南 | 其他 | 高楼层(共11层)  | 塔楼,1人关注 / 7个月以前发布,480,"22,672元/平"
前山河边  电梯四房 封闭式宜居小区,富祥花园 -夏湾,4室2厅 | 119.71平米 | 东北 | 简装 | 中楼层(共7层)  | 板楼,5人关注 / 一年前发布,252,"21,051元/平"
美丽湾四居室，三面环山，环境优雅，不大不小结婚正好,美丽湾 -唐家湾镇,4室2厅 | 141平米 | 东南 | 精装 | 高楼层(共17层)  | 塔楼,10人关注 / 一年前发布,310,"21,986元/平"
鸿泰溪城精装修有个50平米大花园格局方正朝南,鸿泰溪城 -柠溪,4室2厅 | 116平米 | 东南 | 精装 | 低楼层(共11层)  | 板楼,29人关注 / 一年前发布,342,"29,483元/平"
格力必看四房 出价就卖要钱不要房 使用率高达90%以上,格力广场二期 -吉大,4室2厅 | 147.98平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,7人关注 / 7个月以前发布,488,"32,978元/平"
华发山庄 小区中间位置 南北 通透 拧包入住  诚意出售,华发山庄 -前山,4室2厅 | 191.8平米 | 南 | 精装 | 中楼层(共16层)  | 塔楼,25人关注 / 6个月以前发布,668,"34,828元/平"
顺安花园4-2-1-2 179.86m² 150 万,顺安花园 -红旗镇,4室2厅 | 179.86平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,4人关注 / 一年前发布,152,"8,452元/平"
润城实用四房 四十万精装 实木家具 朝小区很安静,润城 -新香洲,4室2厅 | 136.99平米 | 北 | 精装 | 低楼层(共29层)  | 塔楼,15人关注 / 一年前发布,410,"29,930元/平"
金海湾花园  面海大面积三 房  座享生活交通休闲便利,金海湾花园 -老香洲,3室2厅 | 160平米 | 南 | 简装 | 低楼层(共24层)  | 塔楼,3人关注 / 一年前发布,383.5,"23,969元/平"
华发蔚蓝堡一期 电梯洋房 中间楼层 看湖景 景色宜人,华发蔚蓝堡 -唐家湾镇,4室2厅 | 172.4平米 | 东南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,600,"34,803元/平"
权晖花园电梯物业 一线河景 少有出售 税费各付,权晖花园 -夏湾,4室2厅 | 126.36平米 | 西南 | 精装 | 中楼层(共11层)  | 塔楼,12人关注 / 一年前发布,277,"21,922元/平"
迎宾北路住宅： 环境安静，看山景，四房低价出手！,迎宾北路住宅 -新香洲,5室1厅 | 140.01平米 | 东 | 其他 | 中楼层(共8层)  | 暂无数据,2人关注 / 8个月以前发布,193,"13,785元/平"
（带车位）权兴花园 南北通 带阳台 300万,权兴花园 -夏湾,3室2厅 | 128.04平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,11人关注 / 一年前发布,238,"18,588元/平"
远大美域 电梯精装修房 3房2卫300万 急售,远大美域 -唐家湾镇,3室2厅 | 124.66平米 | 南 北 | 精装 | 11层  | 板塔结合,49人关注 / 一年前发布,288,"23,103元/平"
近拱北 富华里 板障山 格力香樟大四房出售,格力香樟 -兰埔,4室2厅 | 186.26平米 | 南 | 其他 | 低楼层(共29层)  | 板楼,4人关注 / 一年前发布,500,"26,845元/平"
拱北大型生活小区【岭秀城125平商品三房,正邦岭秀城 -拱北,3室2厅 | 124.64平米 | 西南 | 精装 | 低楼层(共34层)  | 板楼,5人关注 / 一年前发布,345,"27,680元/平"
银桦新村 电梯4房 南向 诚售375万,银桦新村 -新香洲,4室2厅 | 146.64平米 | 南 | 精装 | 中楼层(共13层)  | 板楼,14人关注 / 一年前发布,370,"25,232元/平"
南村 Hao  苑  邻文园十九小  上学便利  实用4房,南村豪苑 -新香洲,4室2厅 | 145平米 | 南 | 精装 | 高楼层(共7层)  | 塔楼,26人关注 / 一年前发布,380,"26,207元/平"
远大美域 小高层3房2厅 南北朝向保养好 业主诚心出售,远大美域 -唐家湾镇,3室2厅 | 142.12平米 | 南 北 | 其他 | 11层  | 板楼,16人关注 / 9个月以前发布,324,"22,798元/平"
恒峰 4室3厅 南,恒峰 -井岸镇,4室3厅 | 176平米 | 南 | 其他 | 高楼层(共9层)  | 板楼,0人关注 / 16天以前发布,140,"7,955元/平"
前进四街安城大厦  实用四房  高层看海,安城大厦 -老香洲,4室2厅 | 114平米 | 南 | 精装 | 高楼层(共10层)  | 塔楼,11人关注 / 一年前发布,210,"18,422元/平"
老香洲海景房扬名海邑复式电梯四房出售,扬名海邑 -老香洲,4室4厅 | 241.48平米 | 东南 | 精装 | 高楼层(共29层)  | 板塔结合,24人关注 / 一年前发布,937,"38,803元/平"
五洲花城大户型业主诚售、带装修,五洲花城二期 -新香洲,5室2厅 | 225.55平米 | 南 北 | 其他 | 中楼层(共31层)  | 板楼,4人关注 / 8个月以前发布,1000,"44,337元/平"
拱北岭秀城*桂花村电梯三房 *关口物业,桂花村一期 -拱北,3室2厅 | 106.69平米 | 南 | 精装 | 低楼层(共25层)  | 板楼,1人关注 / 一年前发布,270,"25,307元/平"
新加坡花园大型复式 带私家天台花园视野开阔,新加坡花园一期 -新香洲,6室2厅 | 172.81平米 | 东南 | 简装 | 高楼层(共7层)  | 板楼,2人关注 / 一年前发布,443,"25,636元/平"
阳光地带 3室2厅 东 西,阳光地带 -老香洲,3室2厅 | 122.68平米 | 东 西 | 其他 | 中楼层(共11层)  | 塔楼,7人关注 / 一年前发布,330,"26,900元/平"
恒景花园 精装三房 格局方正！,恒景花园 -老香洲,3室2厅 | 146.06平米 | 东 | 其他 | 中楼层(共29层)  | 板塔结合,9人关注 / 一年前发布,323,"22,115元/平"
老香洲 情侣路 海景精装电梯四房二厅 东南,巴黎花园 -老香洲,4室2厅 | 174.07平米 | 东南 | 其他 | 中楼层(共9层)  | 板楼,5人关注 / 一年前发布,475,"27,288元/平"
富华里.玖洲道.对.面.舒适大四房，业主诚心出售,金域廊院 -兰埔,4室2厅 | 168.43平米 | 东南 南 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,430,"25,530元/平"
每一间，看海景，双阳台，带入户花园，精装修四房,每一间 -老香洲,4室1厅 | 160.48平米 | 东南 | 其他 | 29层  | 板塔结合,1人关注 / 2个月以前发布,455,"28,353元/平"
高层无遮挡海景房 看日月贝 小区环境优美  安静舒适,每一间 -老香洲,4室2厅 | 198.2平米 | 东南 | 其他 | 30层  | 板塔结合,2人关注 / 一年前发布,670,"33,805元/平"
每一间，看海景，双阳台，带入户花园，精装修四房,每一间 -老香洲,4室1厅 | 160.48平米 | 东南 | 其他 | 29层  | 板塔结合,1人关注 / 2个月以前发布,455,"28,353元/平"
宁海世纪城 一线河景 电梯房 业主换置,宁海世纪城1期 -白蕉镇,3室2厅 | 127.37平米 | 西南 | 其他 | 中楼层(共19层)  | 板塔结合,0人关注 / 3个月以前发布,137,"10,757元/平"
唐家 大品牌 仁恒滨海半岛居家三房 地段优越 风景独佳,仁恒滨海半岛1期 -唐家湾镇,3室2厅 | 129.67平米 | 南 | 其他 | 36层  | 板塔结合,3人关注 / 一年前发布,395,"30,462元/平"
口岸仁恒滨海蕞靓户型*新未入住，*高尚高层海景房,仁恒滨海中心 -拱北,4室2厅 | 307平米 | 南 北 | 精装 | 33层  | 塔楼,52人关注 / 一年前发布,2143,"69,805元/平"
吉大格力广场 大4房 看园林景 60平米私家平台,格力广场二期 -吉大,4室2厅 | 201.67平米 | 东 | 精装 | 低楼层(共32层)  | 板楼,31人关注 / 一年前发布,498,"24,694元/平"
园林熙郡 3室2厅 南,园林熙郡 -吉大,3室2厅 | 125.31平米 | 南 | 其他 | 高楼层(共11层)  | 塔楼,2人关注 / 3个月以前发布,396,"31,602元/平"
老香洲海景房扬名海邑复式电梯四房出售,扬名海邑 -老香洲,4室4厅 | 241.48平米 | 东南 | 精装 | 高楼层(共29层)  | 板塔结合,24人关注 / 一年前发布,937,"38,803元/平"
前进四街安城大厦  实用四房  高层看海,安城大厦 -老香洲,4室2厅 | 114平米 | 南 | 精装 | 高楼层(共10层)  | 塔楼,11人关注 / 一年前发布,210,"18,422元/平"
房子是小区中间位置，位置安静，户型好，南北通风,每一间 -老香洲,5室2厅 | 181.52平米 | 东 西 | 精装 | 28层  | 板塔结合,23人关注 / 一年前发布,470,"25,893元/平"
香洲云山诗意大平台一中100米邻香山湖公园 采光通风好,云山诗意 -新香洲,4室2厅 | 150.57平米 | 南 | 其他 | 低楼层(共20层)  | 塔楼,15人关注 / 一年前发布,755,"50,143元/平"
香海大桥桥头堡 近香洲 湖心路高品质小区大四房双阳台,时代香海彼岸 -白藤头,4室1厅 | 122.39平米 | 北 南 | 精装 | 低楼层(共34层)  | 板塔结合,2人关注 / 2个月以前发布,173,"14,136元/平"
此房位于黄杨河边，楼层好，户型方正.....,宁海世纪城1期 -白蕉镇,3室2厅 | 116.9平米 | 东南 | 其他 | 低楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,100,"8,555元/平"
阳光地带 3室2厅 东 西,阳光地带 -老香洲,3室2厅 | 122.68平米 | 东 西 | 其他 | 中楼层(共11层)  | 塔楼,7人关注 / 一年前发布,330,"26,900元/平"
富华里.玖洲道.对.面.舒适大四房，业主诚心出售,金域廊院 -兰埔,4室2厅 | 168.43平米 | 东南 南 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,430,"25,530元/平"
南村 Hao  苑  邻文园十九小  上学便利  实用4房,南村豪苑 -新香洲,4室2厅 | 145平米 | 南 | 精装 | 高楼层(共7层)  | 塔楼,26人关注 / 一年前发布,380,"26,207元/平"
迎宾北路住宅： 环境安静，看山景，四房低价出手！,迎宾北路住宅 -新香洲,5室1厅 | 140.01平米 | 东 | 其他 | 中楼层(共8层)  | 暂无数据,2人关注 / 8个月以前发布,193,"13,785元/平"
权晖花园电梯物业 一线河景 少有出售 税费各付,权晖花园 -夏湾,4室2厅 | 126.36平米 | 西南 | 精装 | 中楼层(共11层)  | 塔楼,12人关注 / 一年前发布,277,"21,922元/平"
华发蔚蓝堡一期 电梯洋房 中间楼层 看湖景 景色宜人,华发蔚蓝堡 -唐家湾镇,4室2厅 | 172.4平米 | 东南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,600,"34,803元/平"
拱北岭秀城*桂花村电梯三房 *关口物业,桂花村一期 -拱北,3室2厅 | 106.69平米 | 南 | 精装 | 低楼层(共25层)  | 板楼,1人关注 / 一年前发布,270,"25,307元/平"
银桦新村 电梯4房 南向 诚售375万,银桦新村 -新香洲,4室2厅 | 146.64平米 | 南 | 精装 | 中楼层(共13层)  | 板楼,14人关注 / 一年前发布,370,"25,232元/平"
拱北大型生活小区【岭秀城125平商品三房,正邦岭秀城 -拱北,3室2厅 | 124.64平米 | 西南 | 精装 | 低楼层(共34层)  | 板楼,5人关注 / 一年前发布,345,"27,680元/平"
近拱北 富华里 板障山 格力香樟大四房出售,格力香樟 -兰埔,4室2厅 | 186.26平米 | 南 | 其他 | 低楼层(共29层)  | 板楼,4人关注 / 一年前发布,500,"26,845元/平"
顶楼复式 前看山后看河 带两个大平台 随时可以看房,万科金域缇香 -兰埔,5室3厅 | 213.95平米 | 南 北 | 其他 | 高楼层(共31层)  | 塔楼,0人关注 / 8天以前发布,579,"27,063元/平"
正邦岭秀城 4室2厅 南 北,正邦岭秀城 -拱北,4室2厅 | 149.69平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,398,"26,589元/平"
银石雅园    泳池*顶楼复式 南北对流,银石雅园 -拱北,7室2厅 | 256平米 | 南 北 | 简装 | 高楼层(共11层)  | 板楼,20人关注 / 一年前发布,470,"18,360元/平"
看小区园景， 价格便宜 配套完善 业主诚心出售,华发世纪城四期 -南湾,3室2厅 | 145.86平米 | 东南 | 精装 | 31层  | 板塔结合,2人关注 / 一年前发布,405,"27,767元/平"
家和城学府街 大面积改善自住 装修保养好配套完善,家和城一期 -白藤头,4室2厅 | 153平米 | 南 北 | 其他 | 低楼层(共31层)  | 板塔结合,0人关注 / 13天以前发布,286,"18,693元/平"
房子保养好中间楼层 视野无遮挡 采光好 户型方正,时代香海彼岸 -白藤头,4室2厅 | 122.39平米 | 西南 | 其他 | 高楼层(共34层)  | 板塔结合,0人关注 / 7个月以前发布,175,"14,299元/平"
标准，实用，舒适，格局方正，大阳台！,时代廊桥 -前山,4室2厅 | 133.3平米 | 东南 | 精装 | 低楼层(共18层)  | 塔楼,47人关注 / 一年前发布,280,"21,006元/平"
权兴花园 顶楼复式 业主保养好！,权兴花园 -夏湾,5室2厅 | 149.25平米 | 西北 | 精装 | 高楼层(共6层)  | 板楼,26人关注 / 一年前发布,237,"15,880元/平"
家和城学府街 大面积改善自住 装修保养好配套完善,家和城一期 -白藤头,4室2厅 | 153平米 | 南 北 | 其他 | 低楼层(共31层)  | 板塔结合,0人关注 / 13天以前发布,286,"18,693元/平"
银石雅园    泳池*顶楼复式 南北对流,银石雅园 -拱北,7室2厅 | 256平米 | 南 北 | 简装 | 高楼层(共11层)  | 板楼,20人关注 / 一年前发布,470,"18,360元/平"
房子保养好中间楼层 视野无遮挡 采光好 户型方正,时代香海彼岸 -白藤头,4室2厅 | 122.39平米 | 西南 | 其他 | 高楼层(共34层)  | 板塔结合,0人关注 / 7个月以前发布,175,"14,299元/平"
正邦岭秀城 4室2厅 南 北,正邦岭秀城 -拱北,4室2厅 | 149.69平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,398,"26,589元/平"
葵竹苑，精装一房一厅，业主诚心出售,葵竹苑 -新香洲,1室1厅 | 44平米 | 南 | 其他 | 高楼层(共8层)  | 板楼,0人关注 / 12天以前发布,135,"30,682元/平"
看小区园景， 价格便宜 配套完善 业主诚心出售,华发世纪城四期 -南湾,3室2厅 | 145.86平米 | 东南 | 精装 | 31层  | 板塔结合,2人关注 / 一年前发布,405,"27,767元/平"
此房各付各税，通风采光都好，格局方正，看房方便,锦园 -吉大,3室2厅 | 157.28平米 | 南 | 毛坯 | 高楼层(共31层)  | 板塔结合,20人关注 / 一年前发布,452,"28,739元/平"
红树别院 十三中二十五小 大型市场 出行便利,红树别院 -南湾,3室2厅 | 118.43平米 | 东南 | 精装 | 中楼层(共15层)  | 板塔结合,21人关注 / 一年前发布,380,"32,087元/平"
岭南世家荣景园 4室1厅 南,岭南世家荣景园 -柠溪,4室1厅 | 127平米 | 南 | 其他 | 低楼层(共11层)  | 塔楼,0人关注 / 13天以前发布,358,"28,189元/平"
业主诚心出售朝阳花园 大5房2厅3卫顶楼复式,朝阳花园 -夏湾,3室2厅 | 158.05平米 | 东南 | 其他 | 高楼层(共7层)  | 板楼,1人关注 / 9个月以前发布,345,"21,829元/平"
小区生活方便，100米左右有体育馆，图书馆,新加坡花园一期 -新香洲,3室3厅 | 121.59平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,5人关注 / 10个月以前发布,310,"25,496元/平"
华达花园大三房 满五* 带30平天台 南向 单价17200,华达花园 -夏湾,3室2厅 | 116.02平米 | 西南 | 精装 | 高楼层(共7层)  | 板楼,20人关注 / 一年前发布,199,"17,153元/平"
海愉半岛二期  装修保养好  业主诚心出售  价格可谈,海愉半岛花园 -吉大,4室2厅 | 161.59平米 | 南 | 其他 | 低楼层(共13层)  | 暂无数据,1人关注 / 3个月以前发布,680,"42,082元/平"
云顶澜山北区 大三房 单边258万 南向,云顶澜山 -上冲,3室2厅 | 104.35平米 | 西南 | 其他 | 低楼层(共29层)  | 塔楼,0人关注 / 1个月以前发布,258,"24,725元/平"
小区中间，前看花园会所，后看网球场,仁恒星园 -新香洲,4室2厅 | 198平米 | 南 | 简装 | 高楼层(共22层)  | 板楼,0人关注 / 1个月以前发布,788,"39,798元/平"
拱北过口 国维 岭秀城 精装两房 业主诚心出租208万,正邦岭秀城 -拱北,3室2厅 | 86.02平米 | 北 | 精装 | 中楼层(共23层)  | 板楼,0人关注 / 27天以前发布,210,"24,413元/平"
朝南向高层三房 精装修 随时看 环境管理好,万科城市花园 -三灶镇,3室2厅 | 91.29平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 26天以前发布,155,"16,979元/平"
高楼层，视野开阔可看海，无抵押,鸿泰花园 -航空新城,3室2厅 | 99.75平米 | 东南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,210,"21,053元/平"
急售 中信红树湾  精装3房 实用大 满五年 价格可面谈,中信红树湾二期 -南湾,3室2厅 | 135平米 | 东南 | 精装 | 32层  | 板楼,1人关注 / 27天以前发布,500,"37,038元/平"
满五诚心转手，价格美丽 看房方便不占用,诚丰嘉座 -翠微,1室0厅 | 42.49平米 | 东 | 简装 | 中楼层(共23层)  | 板塔结合,1人关注 / 1个月以前发布,89,"20,947元/平"
唐家半岛 格力海岸三期 南向海景三房 自住保养好,格力海岸三期 -唐家湾镇,3室2厅 | 100.49平米 | 南 | 其他 | 中楼层(共32层)  | 塔楼,0人关注 / 26天以前发布,358,"35,626元/平"
优特汇 文园 香山近在咫尺 诚心出售 装修保养好,富和新城 -新香洲,3室1厅 | 79.86平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 26天以前发布,260,"32,557元/平"
四房二厅二卫南北通透精装修双阳台,黄杨明月轩 -井岸镇,4室1厅 | 143.34平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 22天以前发布,127.5,"8,895元/平"
保利香槟国际精装三房两厅 自住保养好 家私家电,保利香槟国际花园 -航空新城,3室2厅 | 95.43平米 | 北 | 精装 | 中楼层(共36层)  | 塔楼,0人关注 / 25天以前发布,168,"17,605元/平"
吉大大型成熟小区 海湾花园两房 户型方正 通风采光好,海湾花园 -吉大,2室2厅 | 93.93平米 | 西南 | 其他 | 中楼层(共16层)  | 板塔结合,0人关注 / 29天以前发布,211,"22,464元/平"
湖心路口 精装两房 文华苑 两房 仅82万 拎包住入,文华苑 -白藤头,2室2厅 | 82.48平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 31天以前发布,81,"9,821元/平"
湖心路--1室1厅--低总价-出租供不应求-交通便利,西江月 -白藤头,1室1厅 | 45平米 | 东北 | 精装 | 高楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,57.5,"12,778元/平"
珠海老香洲精装两房，业主诚心出售，105万还可刀,为农街住宅 -老香洲,2室1厅 | 65.17平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,1人关注 / 1个月以前发布,105,"16,112元/平"
燕都 次新房 三房两厅 格局方正 精装修  看小区园林,燕都 -前山,3室2厅 | 104.82平米 | 南 北 | 精装 | 低楼层(共30层)  | 板塔结合,0人关注 / 28天以前发布,290,"27,667元/平"
燕都 次新房 三房两厅 格局方正 精装修  看小区园林,燕都 -前山,3室2厅 | 104.82平米 | 南 北 | 精装 | 低楼层(共30层)  | 板塔结合,0人关注 / 28天以前发布,290,"27,667元/平"
吉大2012年小区 莱茵半岛 2房2厅2卫 94平方 出售,莱茵半岛 -吉大,2室2厅 | 93.74平米 | 东南 | 精装 | 低楼层(共33层)  | 塔楼,0人关注 / 19天以前发布,268,"28,590元/平"
业主诚意出售，102平米大2房,格力广场三期 -吉大,2室2厅 | 102平米 | 南 | 精装 | 中楼层(共37层)  | 板楼,0人关注 / 25天以前发布,345,"33,824元/平"
业主自住3房两厅两卫，装修保养好，业主诚心出售。,保利海上五月花 -唐家湾镇,3室2厅 | 116.47平米 | 西南 | 精装 | 高楼层(共26层)  | 板塔结合,0人关注 / 1个月以前发布,370,"31,768元/平"
电梯高层，南北对流户型！户型实用 独门一户，单边位,财富世家三期 -前山,4室2厅 | 152.51平米 | 东南 南 | 精装 | 高楼层(共31层)  | 板塔结合,0人关注 / 25天以前发布,445,"29,179元/平"
精装。电梯小三房，华发物业管理,华发城建未来荟 -上冲,3室1厅 | 79.09平米 | 北 | 精装 | 高楼层(共38层)  | 板塔结合,0人关注 / 27天以前发布,225,"28,449元/平"
佳兆业御金山 3室2厅 南,佳兆业御金山 -斗门镇,3室2厅 | 91.86平米 | 南 | 精装 | 中楼层(共9层)  | 板塔结合,0人关注 / 21天以前发布,93,"10,125元/平"
急售 中信红树湾 实用大4房 南北通透  满五 可面议,中信红树湾一期 -南湾,4室2厅 | 171平米 | 南 北 | 精装 | 32层  | 板楼,0人关注 / 27天以前发布,600,"35,088元/平"
航空新城实用三房  精装修 家私家电齐,鸿泰花园 -航空新城,3室2厅 | 87平米 | 东南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 20天以前发布,162,"18,621元/平"
格局方正，复式大三房，实用面积高。南北对流！,中联国际 -兰埔,3室2厅 | 94.32平米 | 东南 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 25天以前发布,221,"23,431元/平"
云顶澜山北区 南向大三房精装 看园林310万,云顶澜山 -上冲,3室2厅 | 125.42平米 | 南 北 | 精装 | 低楼层(共32层)  | 塔楼,0人关注 / 30天以前发布,310,"24,717元/平"
斗门镇南门峰泽轩3房2卫阳光刚需房,峰泽轩 -斗门镇,3室2厅 | 99.05平米 | 东南 | 精装 | 中楼层(共17层)  | 板塔结合,1人关注 / 26天以前发布,105,"10,601元/平"
江湾西一苑 低楼低楼层 出行方便,江湾西一苑 -井岸镇,3室2厅 | 113平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 31天以前发布,96,"8,496元/平"
正邦岭秀城公寓楼 1室1厅 北,正邦岭秀城公寓楼 -拱北,1室1厅 | 82.04平米 | 北 | 精装 | 高楼层(共30层)  | 板楼,0人关注 / 26天以前发布,175,"21,332元/平"
富华里住宅，中层南向看澳门，格局方正，通风采光佳,富华里 -拱北,2室2厅 | 87.09平米 | 南 | 精装 | 29层  | 板塔结合,0人关注 / 26天以前发布,255,"29,281元/平"
万科商品房，南北通透，精装修，视野开阔，业主诚心卖,万科城市中心 -上冲,3室2厅 | 110.98平米 | 东南 南 北 | 其他 | 中楼层(共24层)  | 板塔结合,0人关注 / 24天以前发布,366,"32,979元/平"
新上好房山景瀑布无遮挡 通透四房 楼层好 带产权车位,恒荣城市溪谷 -老香洲,4室2厅 | 153.19平米 | 南 | 精装 | 16层  | 塔楼,0人关注 / 19天以前发布,554,"36,165元/平"
实用大三房110.6平方  近口岸近情侣路 华发物业,美景花园 -拱北,4室2厅 | 110.6平米 | 东南 | 其他 | 中楼层(共7层)  | 塔楼,0人关注 / 16天以前发布,175,"15,823元/平"
