标题,开发商,房子信息,发布信息,售价/万,单价
观江府4-2-1-2 118.00m² 房东急售 江景房,观江府 -大兴,4室2厅 | 118平米 | 东南 | 毛坯 | 高楼层(共8层)  | 暂无数据,2人关注 / 一年前发布,88,"7,458元/平"
平安小区，楼层好，采光好，拎包入住,平安小区 -名山区,3室2厅 | 132平米 | 东 | 简装 | 中楼层(共4层)  | 暂无数据,2人关注 / 11个月以前发布,51,"3,864元/平"
"东龙山公园旁套二单卫满两年，精装修,带个字母车位",山水茗都 -名山区,2室2厅 | 76平米 | 南 | 精装 | 高楼层(共16层)  | 塔楼,0人关注 / 5个月以前发布,56.8,"7,474元/平"
此房满二， 看房方便 楼层好 采光好 设施齐全,蜀西名苑二期 -河北区域,2室1厅 | 62平米 | 东南 | 精装 | 中楼层(共15层)  | 暂无数据,1人关注 / 一年前发布,40,"6,452元/平"
大兴核  心区高  端小区套三单卫诚心出售,蘭台府3期 -大兴,3室2厅 | 88平米 | 东南 | 毛坯 | 低楼层(共17层)  | 暂无数据,0人关注 / 1个月以前发布,60,"6,819元/平"
领地精装套二，楼层巴适，装修保养新,领地.凯旋帝景1期B1 -姚桥,2室1厅 | 80平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,70,"8,750元/平"
看房方便、看房方便、户型漂亮。,金科天宸雅郡 -大兴,3室2厅 | 87平米 | 东南 | 毛坯 | 低楼层(共21层)  | 塔楼,0人关注 / 9个月以前发布,61,"7,012元/平"
万达商圈，电梯房两房，拎包入住,川航雅郡 -姚桥,2室2厅 | 91.88平米 | 南 | 简装 | 中楼层(共11层)  | 塔楼,0人关注 / 5个月以前发布,55,"5,987元/平"
诚意出售，毛坯三房，随时看房，满两年,沙湾川航小区 -姚桥,3室2厅 | 101.19平米 | 南 | 简装 | 中楼层(共7层)  | 塔楼,2人关注 / 5个月以前发布,48,"4,744元/平"
兴县小 学旁精装2室2厅  诚心出售,金地花园 -西城区域,2室2厅 | 91平米 | 南 | 精装 | 低楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,42,"4,616元/平"
康藏路单位房2室2厅 房型方正 采光好 停车方便,康藏路790号 -康藏路区域,2室1厅 | 88平米 | 东南 | 简装 | 中楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,28,"3,182元/平"
套二精装房，拎包入住......,学府花园 -东城区域,2室2厅 | 90平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,52,"5,778元/平"
水岸书香，套一、采光视野好，房东诚心,水岸书香 -三雅园,1室1厅 | 58.5平米 | 东南 | 简装 | 中楼层(共7层)  | 暂无数据,1人关注 / 4个月以前发布,27,"4,616元/平"
彩虹湾精装套二 小区环境干净舒适 适合居住,彩虹湾 -名山区,2室2厅 | 82平米 | 东南 | 精装 | 中楼层(共25层)  | 暂无数据,0人关注 / 1个月以前发布,49.6,"6,049元/平"
小区优质，套三，楼层好，拎包入住,正黄金域首府一期 -姚桥,3室2厅 | 94平米 | 南 | 简装 | 高楼层(共29层)  | 塔楼,0人关注 / 1个月以前发布,79,"8,405元/平"
此房满二   税费低   2楼   上楼不费力,领地凯旋帝景一期B2 -姚桥,2室2厅 | 83平米 | 东南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,63.6,"7,663元/平"
框架板式结构 ，1梯两户 视野好，270度采光 .南北通透,领地天澜 -城后区域,3室2厅 | 127.54平米 | 东南 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 5个月以前发布,76,"5,959元/平"
碧雅园两室两厅一厨一卫，环境舒适的老小区,碧雅园小区 -康藏路区域,2室2厅 | 70平米 | 东南 | 精装 | 中楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,35,"5,000元/平"
中 央位置 核 心区域 精装修的 视野开阔,恒信上海城 -姚桥,3室1厅 | 104平米 | 东南 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 6个月以前发布,90,"8,654元/平"
房子看外面  环境优美 此房满五,山水豪庭 -三雅园,2室2厅 | 85平米 | 东南 | 简装 | 中楼层(共18层)  | 暂无数据,2人关注 / 5个月以前发布,50,"5,883元/平"
房子看外面  环境优美 此房满五,山水豪庭 -三雅园,2室2厅 | 85平米 | 东南 | 简装 | 中楼层(共18层)  | 暂无数据,2人关注 / 5个月以前发布,50,"5,883元/平"
框架板式结构 ，1梯两户 视野好，270度采光 .南北通透,领地天澜 -城后区域,3室2厅 | 127.54平米 | 东南 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 5个月以前发布,76,"5,959元/平"
碧雅园两室两厅一厨一卫，环境舒适的老小区,碧雅园小区 -康藏路区域,2室2厅 | 70平米 | 东南 | 精装 | 中楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,35,"5,000元/平"
新生路  套二  房东诚心出售,新生路110号 -东城区域,2室2厅 | 82.88平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,39,"4,706元/平"
采光好，户型方正，小户型总价低，出行方便,新生路65号 -东城区域,2室1厅 | 77平米 | 东南 | 简装 | 高楼层(共7层)  | 暂无数据,3人关注 / 一年前发布,26,"3,377元/平"
中大街145号3室2厅1卫  户型方正,中大街145号 -西城区域,3室2厅 | 96.17平米 | 南 | 简装 | 高楼层(共8层)  | 暂无数据,7人关注 / 一年前发布,40,"4,160元/平"
改善需求，低总价，配套设施完善,康藏路10号 -康藏路区域,3室2厅 | 123.01平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,3人关注 / 一年前发布,58.8,"4,781元/平"
西门南路两室一厅户型好，环境干净整洁,西门南路113号 -西城区域,2室1厅 | 55平米 | 东 东南 | 简装 | 高楼层(共4层)  | 暂无数据,1人关注 / 一年前发布,20,"3,637元/平"
健康路 2室1厅1厨1卫 装修 全配,建康路82号 -东城区域,2室1厅 | 71.4平米 | 南 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 一年前发布,38,"5,323元/平"
老城区现浇房 马上按电梯 随时可看,南二路宿舍 -河北区域,2室2厅 | 102平米 | 东南 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 11个月以前发布,45,"4,412元/平"
满五精装房源 户型方正 采光好 配套完善 交通便,幸福家园 -上坝区域,2室2厅 | 89.3平米 | 东 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 一年前发布,46,"5,152元/平"
此房地段好，出行方便，采光好，视野宽阔.,新民街67号 -东城区域,2室1厅 | 60平米 | 南 | 简装 | 高楼层(共8层)  | 暂无数据,0人关注 / 10个月以前发布,25,"4,167元/平"
半岛御景 2室1厅 东南,半岛御景 -上坝区域,2室1厅 | 92.7平米 | 东南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,97,"10,464元/平"
福家苑 2室2厅  房型方正 采光好 停车方便,福家苑 -东城区域,2室2厅 | 92平米 | 南 | 简装 | 高楼层(共6层)  | 平房,0人关注 / 一年前发布,42,"4,566元/平"
果园路19号  楼层好  家具家电齐全 拎包入住,果园路19号 -康藏路区域,2室2厅 | 88平米 | 东南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,37.6,"4,273元/平"
此房满二   税费低  采光好  视野开阔,花间集 -大兴,2室1厅 | 80.45平米 | 东南 | 毛坯 | 高楼层(共18层)  | 塔楼,0人关注 / 4个月以前发布,55,"6,837元/平"
地理位置好有万达 ，正黄，时代天街。,经典阳光家园 -姚桥,3室2厅 | 93.2平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,64.5,"6,921元/平"
：姚桥 好位置.也是热闹的 地方 关键价格很便宜,尚雅滨江名苑小区 -姚桥,2室1厅 | 72平米 | 东南 | 简装 | 低楼层(共27层)  | 塔楼,2人关注 / 5个月以前发布,38,"5,278元/平"
滨江奥斯卡 清水电梯套三 房东诚心出售 随时可看,滨江奥斯卡 -草坝,3室2厅 | 106平米 | 南 | 毛坯 | 中楼层(共11层)  | 塔楼,0人关注 / 一年前发布,48,"4,529元/平"
正黄一期精装套二，中高楼层，视野开阔采光充足,正黄金域首府一期 -姚桥,2室2厅 | 81平米 | 东南 东 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 6个月以前发布,69,"8,519元/平"
恒信上海城 套二 精装修  未入住,恒信上海城 -姚桥,2室2厅 | 88平米 | 东南 | 精装 | 高楼层(共33层)  | 平房,0人关注 / 4个月以前发布,88,"10,000元/平"
恒信上海城 套二 诚心出售 看房方便,恒信上海城 -姚桥,2室2厅 | 78平米 | 东南 | 简装 | 低楼层(共33层)  | 平房,0人关注 / 4个月以前发布,67.8,"8,693元/平"
小区管理严谨，干净整洁，地理位置好，出行方便,大众路86号 -西城区域,3室1厅 | 90平米 | 东南 | 简装 | 高楼层(共7层)  | 暂无数据,2人关注 / 5个月以前发布,31.8,"3,534元/平"
中间楼层，正对中庭，采光好，竖厅户型，小区环境好,翰城1981一期 -姚桥,3室1厅 | 108平米 | 东南 | 毛坯 | 低楼层(共26层)  | 塔楼,0人关注 / 2个月以前发布,68.8,"6,371元/平"
大众路商品房 2室1厅 房型方正 采光好 生活方便,大众路86号 -西城区域,2室2厅 | 86平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,32,"3,721元/平"
正黄金域首府一期 2室1厅 南,正黄金域首府一期 -姚桥,2室1厅 | 94平米 | 南 | 毛坯 | 高楼层(共27层)  | 塔楼,0人关注 / 6个月以前发布,65,"6,915元/平"
凯悦天地一期 现房 小套三 户型方正,凯悦天地 -大兴,3室2厅 | 91平米 | 南 | 毛坯 | 低楼层(共17层)  | 板塔结合,1人关注 / 9个月以前发布,68,"7,473元/平"
老城区外环路。。灯塔雅舍  2室1厅1厨1卫,灯塔雅舍 -康藏路区域,2室1厅 | 83平米 | 东 北 | 简装 | 低楼层(共7层)  | 塔楼,0人关注 / 一年前发布,41,"4,940元/平"
恒信上海城，套3出售，装修温馨，可拎包入住,恒信上海城 -姚桥,3室1厅 | 100平米 | 东南 | 简装 | 中楼层(共33层)  | 平房,1人关注 / 4个月以前发布,84,"8,400元/平"
此房满二 总价便宜 房子总价便宜 拎包入住,滨江奥斯卡 -草坝,2室2厅 | 91.69平米 | 南 | 简装 | 低楼层(共18层)  | 塔楼,1人关注 / 一年前发布,44,"4,799元/平"
万达付近 精装套二 中间楼层 价格可议,川航雅郡 -姚桥,2室1厅 | 88.3平米 | 东南 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 4个月以前发布,47,"5,323元/平"
恒信上海城 2室2厅 南,恒信上海城 -姚桥,2室2厅 | 78.6平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 一年前发布,63,"8,016元/平"
不满2年，简装套三，证已经下来 可以正常 过户,尚雅滨江名苑小区 -姚桥,3室1厅 | 94平米 | 东南 | 简装 | 高楼层(共31层)  | 平房,5人关注 / 6个月以前发布,49,"5,213元/平"
房子户型通透，简单装修，视野开阔，采光充足,新民街67号 -东城区域,2室1厅 | 76平米 | 西南 | 简装 | 低楼层(共2层)  | 暂无数据,1人关注 / 一年前发布,36,"4,737元/平"
春天小区套二带装修 交通便利 干净舒适 适合居住,春天小区 -名山区,2室2厅 | 100平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,0人关注 / 一年前发布,44,"4,400元/平"
名山半岛，套二单卫，临河视野开阔，拎包入住,名山半岛 -名山区,2室2厅 | 84.3平米 | 南 | 简装 | 中楼层(共6层)  | 塔楼,0人关注 / 8个月以前发布,43,"5,101元/平"
正黄金域首府一期 2室2厅 南,正黄金域首府一期 -姚桥,2室2厅 | 81平米 | 南 | 简装 | 低楼层(共33层)  | 塔楼,1人关注 / 4个月以前发布,62,"7,655元/平"
四季名城，精装套二，家具家电齐全，拎包入住,四季名城 -名山区,2室2厅 | 82平米 | 东南 | 精装 | 高楼层(共24层)  | 塔楼,0人关注 / 1个月以前发布,52,"6,342元/平"
青江国际花园 精装套二 89平 66万,青江国际花园 -姚桥,2室2厅 | 89平米 | 东 | 精装 | 低楼层(共11层)  | 平房,2人关注 / 一年前发布,66,"7,416元/平"
此房满二 总价便宜 房子总价便宜 拎包入住,滨江奥斯卡 -草坝,2室2厅 | 91.69平米 | 南 | 简装 | 低楼层(共18层)  | 塔楼,1人关注 / 一年前发布,44,"4,799元/平"
恒信精装套二 装修保养好 拎包入住 诚心出售,恒信上海城 -姚桥,2室2厅 | 86.6平米 | 西南 | 精装 | 高楼层(共33层)  | 板塔结合,4人关注 / 一年前发布,70,"8,084元/平"
四季名城小区 交通便利 小区环境干净舒适 适合居住,四季名城 -名山区,1室1厅 | 46平米 | 南 | 简装 | 高楼层(共21层)  | 塔楼,0人关注 / 一年前发布,33,"7,174元/平"
套二正江景户型方正，没有浪费空间，视野开阔，凤凰层,滨江奥斯卡 -草坝,2室1厅 | 91.53平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 塔楼,0人关注 / 4个月以前发布,37.5,"4,098元/平"
西大街国际套二出行很方便居住舒适,西大街国际中心 -名山区,2室1厅 | 85平米 | 南 | 简装 | 中楼层(共19层)  | 塔楼,0人关注 / 一年前发布,49,"5,765元/平"
柳岸名居，套三满五，采光好，看房方便！,柳岸名居 -名山区,3室2厅 | 108平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,0人关注 / 4个月以前发布,66,"6,112元/平"
此房满两年，出行方便，户型方正，居住方便舒适,名山半岛 -名山区,2室2厅 | 84平米 | 南 | 精装 | 中楼层(共6层)  | 塔楼,1人关注 / 10个月以前发布,42,"5,000元/平"
蒙山大厦，2室2厅 户型方正，出行方便,蒙山大厦小区 -名山区,2室2厅 | 63.75平米 | 北 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,21,"3,295元/平"
此房满2年，出行方便，户型方正，居住方便舒适,七彩雅安 -名山区,3室2厅 | 91平米 | 南 | 毛坯 | 高楼层(共15层)  | 塔楼,0人关注 / 11个月以前发布,45,"4,946元/平"
名山半岛 小区临河 环境优美 交通方便,名山半岛 -名山区,2室2厅 | 90平米 | 东 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,39,"4,334元/平"
新华书店，楼层好，家具家电齐全,新华书店宿舍 -名山区,3室2厅 | 90平米 | 东 | 简装 | 高楼层(共6层)  | 暂无数据,5人关注 / 一年前发布,28,"3,112元/平"
新民街67号 2室1厅 东南,新民街67号 -东城区域,2室1厅 | 61平米 | 东南 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 6个月以前发布,25,"4,099元/平"
七彩雅安 套二 精装修 户型方正 小区环境好,七彩雅安 -名山区,2室2厅 | 98平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 9个月以前发布,53.8,"5,490元/平"
滨河花园 3室2厅 南,滨河花园 -名山区,3室2厅 | 108平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,1人关注 / 4个月以前发布,40.8,"3,778元/平"
西门南路113号 2室2厅 南,西门南路113号 -西城区域,2室2厅 | 80平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,30,"3,750元/平"
领地二期 套二 房子带平台 诚心出售,领地二期 -姚桥,2室1厅 | 83.62平米 | 东南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,75,"8,970元/平"
金科天宸雅郡 3室2厅 东南,金科天宸雅郡 -大兴,3室2厅 | 88平米 | 东南 | 毛坯 | 中楼层(共21层)  | 板塔结合,0人关注 / 5个月以前发布,65,"7,387元/平"
此房户型方正，公摊面积小，房东诚心出售,尚雅滨江名苑小区 -姚桥,3室1厅 | 90平米 | 东南 | 简装 | 高楼层(共31层)  | 平房,4人关注 / 一年前发布,52,"5,778元/平"
房子位置好，户型方正，适合居住，还是奢华电梯洋房，,观江府 -大兴,3室2厅 | 101平米 | 东南 | 毛坯 | 低楼层(共11层)  | 暂无数据,0人关注 / 6个月以前发布,73,"7,228元/平"
此房为万达附 近核 心区域优质房源 简装套二,尚雅怡心苑 -姚桥,2室2厅 | 68.8平米 | 东 南 | 简装 | 中楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,33,"4,797元/平"
雅东丽都 中间楼层采光好 拎包入住 包税急售,雅东丽都一期 -姚桥,2室2厅 | 70平米 | 东南 | 简装 | 中楼层(共24层)  | 板塔结合,0人关注 / 2个月以前发布,38,"5,429元/平"
新城套三双卫  高档小区   品质楼盘,凯悦天地 -大兴,3室2厅 | 91平米 | 南 | 毛坯 | 中楼层(共17层)  | 板塔结合,1人关注 / 一年前发布,69,"7,583元/平"
领地二期精装套二房东诚心出售价格可议,领地二期 -姚桥,2室2厅 | 84平米 | 东南 | 简装 | 高楼层(共18层)  | 塔楼,0人关注 / 9个月以前发布,76,"9,048元/平"
此房户型方正 视野采光楼层好 地理位置好,金科天宸雅郡 -大兴,2室1厅 | 87.75平米 | 东南 | 毛坯 | 中楼层(共21层)  | 板塔结合,0人关注 / 1个月以前发布,60,"6,838元/平"
恒信上海城套二精装，采光足户型好,恒信上海城 -姚桥,2室2厅 | 78平米 | 东南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,63,"8,077元/平"
上海城精品套二，视野开阔，中，央位置，带车位。,恒信上海城 -姚桥,2室1厅 | 75平米 | 东南 | 简装 | 高楼层(共33层)  | 塔楼,5人关注 / 6个月以前发布,61,"8,134元/平"
小区中庭 朝南 满二，户型方正，，装修保养好,正黄金域首府一期 -姚桥,2室2厅 | 85平米 | 南 | 精装 | 低楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,70,"8,236元/平"
南坝西街100号  满五唯一  拎包入住,南坝西街100号 -其他,2室2厅 | 66.7平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,2人关注 / 10个月以前发布,23,"3,449元/平"
此房通透方正，小区配套设施成熟，交通便利,先锋小区 -姚桥,2室2厅 | 56平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,6人关注 / 一年前发布,28,"5,000元/平"
上海城满二，楼层好，视野宽阔，采光充足,恒信上海城 -姚桥,2室2厅 | 75平米 | 北 | 简装 | 高楼层(共33层)  | 塔楼,0人关注 / 5个月以前发布,58,"7,734元/平"
此房南北透通，采光充足。交通便利.,锦城时代小区 -三雅园,2室2厅 | 74平米 | 东南 | 毛坯 | 低楼层(共24层)  | 塔楼,0人关注 / 4个月以前发布,39.5,"5,338元/平"
翰城1981一期套三双卫房东诚心出售 带车位,翰城1981一期 -姚桥,3室2厅 | 98平米 | 东南 | 毛坯 | 高楼层(共24层)  | 塔楼,0人关注 / 一年前发布,70,"7,143元/平"
实验小  学旁电梯房2室2厅  户型好采光好,太雅坊 -康藏路区域,2室2厅 | 78.83平米 | 南 | 毛坯 | 高楼层(共26层)  | 暂无数据,0人关注 / 10个月以前发布,48,"6,090元/平"
此房满5年 精装套2 拎包入住 房东诚心出售,灯塔雅舍 -康藏路区域,2室1厅 | 87.25平米 | 北 南 | 简装 | 中楼层(共6层)  | 板塔结合,1人关注 / 一年前发布,35,"4,012元/平"
套二单卫，停车方便，好充电，交通方便,上坝路220号 -上坝区域,2室1厅 | 55平米 | 东南 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,25.8,"4,691元/平"
清水套二，方便装修，读书方便................,太雅坊 -康藏路区域,2室2厅 | 78.38平米 | 南 | 其他 | 中楼层(共26层)  | 暂无数据,0人关注 / 1个月以前发布,63,"8,038元/平"
张家山路套二精装修出售，采光好。,张家山路200号 -东城区域,2室1厅 | 66.7平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,1人关注 / 3个月以前发布,25.8,"3,869元/平"
新安巷47号精装套二，房子新，采光好，业主精心装修！,新安巷47号 -康藏路区域,2室1厅 | 78.41平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,1人关注 / 3个月以前发布,38,"4,847元/平"
品质小区，套三单卫，户型方正，采光好。,金科天宸雅郡 -大兴,3室1厅 | 87.5平米 | 东南 | 毛坯 | 中楼层(共21层)  | 板塔结合,0人关注 / 4个月以前发布,59,"6,743元/平"
新上房源！江岸精装套二中间楼层看房方便,拓海第一江岸1期 -姚桥,2室1厅 | 69.8平米 | 西北 | 精装 | 高楼层(共17层)  | 板塔结合,0人关注 / 1个月以前发布,65,"9,313元/平"
万达顶楼带花园，位置好，四xiao学qu,领地凯旋帝景一期B2 -姚桥,2室2厅 | 80平米 | 东 | 精装 | 高楼层(共6层)  | 塔楼,1人关注 / 6个月以前发布,58.3,"7,288元/平"
市政府旁大套二，房东诚心出售~,尚雅怡心苑 -姚桥,2室1厅 | 89平米 | 南 | 简装 | 中楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,48,"5,394元/平"
装修很好 楼层视野好 诚心出售 正黄江岸旁,恒信上海城 -姚桥,2室2厅 | 72平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 一年前发布,63.8,"8,862元/平"
领地天澜 套二双卫 户型大 诚心出售,领地天澜 -城后区域,2室2厅 | 111平米 | 西北 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 3个月以前发布,70,"6,307元/平"
大北街单位房 3室2厅1卫 装修 家具家电齐全,大北街53号 -西城区域,3室2厅 | 90平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,6人关注 / 一年前发布,43,"4,778元/平"
富邦名城B区 2室2厅 南,富邦名城B区 -姚桥,2室2厅 | 74.11平米 | 南 | 其他 | 高楼层(共22层)  | 暂无数据,0人关注 / 2个月以前发布,38,"5,128元/平"
两室两厅一厨两卫..........,恒信上海城 -姚桥,2室2厅 | 87平米 | 南 | 精装 | 低楼层(共33层)  | 平房,1人关注 / 4个月以前发布,60,"6,897元/平"
楼层好， 拎包入住，四小旁 ，幼儿园旁.....,川航雅郡 -姚桥,2室2厅 | 84平米 | 南 | 简装 | 中楼层(共6层)  | 塔楼,1人关注 / 7个月以前发布,53.9,"6,417元/平"
正黄精装套三品牌家具家电装修保养新,正黄金域首府一期 -姚桥,3室2厅 | 106平米 | 东南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 2个月以前发布,87.8,"8,284元/平"
金科天宸雅郡  套三  楼层好   视野开阔,金科天宸雅郡 -大兴,3室2厅 | 87.75平米 | 东南 | 毛坯 | 中楼层(共21层)  | 板塔结合,0人关注 / 1个月以前发布,54,"6,154元/平"
恒信上海城 2室1厅 西南,恒信上海城 -姚桥,2室1厅 | 81.45平米 | 西南 | 其他 | 低楼层(共18层)  | 塔楼,0人关注 / 1个月以前发布,64,"7,858元/平"
套二单卫，停车方便，好充电，交通方便,上坝路220号 -上坝区域,2室1厅 | 55平米 | 东南 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,25.8,"4,691元/平"
名邸电梯房，精装修，家具齐全拎包入住,名邸 -名山区,3室2厅 | 109.6平米 | 东南 | 精装 | 中楼层(共17层)  | 暂无数据,0人关注 / 2个月以前发布,58,"5,292元/平"
民生桥段套一，交通便利 小区环境干净舒适 适合居住,民生路206号 -名山区,2室1厅 | 35平米 | 南 | 简装 | 低楼层(共4层)  | 板楼,1人关注 / 一年前发布,15,"4,286元/平"
山水名都，套二装修未入住的房子，家具家电齐全,山水茗都 -名山区,2室2厅 | 86平米 | 东南 | 精装 | 低楼层(共16层)  | 塔楼,0人关注 / 8个月以前发布,52,"6,047元/平"
花香首府 俩室l俩厅一厨一卫 交通便利 小区干净舒适,花香首府 -名山区,2室2厅 | 77平米 | 南 | 精装 | 高楼层(共17层)  | 板塔结合,0人关注 / 4个月以前发布,59.8,"7,767元/平"
名山半岛 2室2厅 户型方正 拎包入住,名山半岛 -名山区,2室2厅 | 81平米 | 东 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,38,"4,692元/平"
民生路125号 2室2厅 东,民生路125号 -名山区,2室2厅 | 78平米 | 东 | 简装 | 中楼层(共5层)  | 暂无数据,2人关注 / 6个月以前发布,34,"4,359元/平"
经典阳光家园 2室2厅 东南,经典阳光家园 -姚桥,2室2厅 | 93平米 | 东南 | 简装 | 低楼层(共16层)  | 塔楼,1人关注 / 4个月以前发布,52,"5,592元/平"
彩虹路电梯高层套三，户型方正通透,彩虹湾 -名山区,3室2厅 | 100平米 | 南 | 毛坯 | 高楼层(共25层)  | 暂无数据,0人关注 / 1个月以前发布,47,"4,700元/平"
电梯独立入户，洋房品质，小区环境好，坐北朝南,观江府 -大兴,3室2厅 | 101平米 | 南 | 毛坯 | 高楼层(共11层)  | 暂无数据,0人关注 / 8天以前发布,72,"7,129元/平"
名城御景 3室2厅 东南,名城御景 -名山区,3室2厅 | 130平米 | 东南 | 精装 | 中楼层(共18层)  | 塔楼,0人关注 / 4天以前发布,75,"5,770元/平"
茂鑫苑套三精装                       出售,西大街社区茂鑫苑居民自治大院 -西城区域,3室1厅 | 77平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 2天以前发布,42,"5,455元/平"
小北街40号套三精装带花园出售,小北街40号 -西城区域,3室2厅 | 76平米 | 南 | 精装 | 低楼层(共7层)  | 暂无数据,0人关注 / 2天以前发布,48.8,"6,422元/平"
众城花香里 套三双卫 跃层 面积150平,众成花香里 -名山区,3室2厅 | 76平米 | 南 | 毛坯 | 高楼层(共15层)  | 板塔结合,0人关注 / 11个月以前发布,52,"6,843元/平"
房屋装修温馨，楼层在2楼，地段好,大北街31号 -西城区域,1室1厅 | 49平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,29,"5,919元/平"
江岸，套一装修房，房东急卖。。。。。。,拓海第一江岸1期 -姚桥,1室1厅 | 60平米 | 东 | 简装 | 低楼层(共31层)  | 板塔结合,2人关注 / 8个月以前发布,41.8,"6,967元/平"
四季名城精装套一户型方正小区环境好交通便利,四季名城 -名山区,1室1厅 | 54平米 | 南 | 精装 | 中楼层(共21层)  | 塔楼,0人关注 / 5个月以前发布,37,"6,852元/平"
尚雅滨江名苑 简装套二 中间楼层 诚心出售,尚雅滨江名苑小区 -姚桥,2室1厅 | 72.7平米 | 东南 | 简装 | 中楼层(共32层)  | 板塔结合,5人关注 / 一年前发布,40,"5,503元/平"
牌坊口电梯，精装电梯套三，诚心出售，随时看房,七彩雅安 -名山区,3室2厅 | 93平米 | 南 | 简装 | 低楼层(共15层)  | 塔楼,0人关注 / 23天以前发布,50,"5,377元/平"
一梯两户 洋房 带车位 诚心出售,凯悦天地 -大兴,3室2厅 | 128平米 | 东 | 毛坯 | 高楼层(共7层)  | 暂无数据,0人关注 / 1天以前发布,105,"8,204元/平"
精装  满两年      带一个车位,正黄金色雅郡 -姚桥,3室2厅 | 105.68平米 | 南 | 精装 | 中楼层(共23层)  | 塔楼,1人关注 / 一年前发布,110,"10,409元/平"
多营车管所旁边鑫雅阁小区精装修套三双卫房屋出售,鑫雅阁 -其他,3室1厅 | 126.25平米 | 东南 | 精装 | 中楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,55,"4,357元/平"
南三路38号大院  一室一厅一厨一卫,南三路38号大院 -河北区域,1室1厅 | 36平米 | 东南 | 简装 | 低楼层(共7层)  | 暂无数据,0人关注 / 8个月以前发布,16,"4,445元/平"
水厂巷单位房，停车方便，无公摊！,水厂巷10号 -西城区域,3室3厅 | 138.73平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,42,"3,028元/平"
地段好，小区环境安静，出入方便。,春天小区 -名山区,2室2厅 | 99.5平米 | 西南 | 其他 | 中楼层(共7层)  | 板塔结合,0人关注 / 24天以前发布,45,"4,523元/平"
