标题,开发商,房子信息,发布信息,售价/万,单价
御龙湾，东上首户型，好楼层，诚心出售。,金鹰御珑湾 -东台市,3室2厅 | 132平米 | 南 北 | 精装 | 低楼层(共26层)  | 塔楼,1人关注 / 15天以前发布,210,"15,910元/平"
采光充足，视野开阔，诚心出售，交通便捷,东达翰林缘 -东台市,3室2厅 | 111.56平米 | 南 北 | 精装 | 中楼层(共17层)  | 板塔结合,1人关注 / 一年前发布,140,"12,550元/平"
：此房屋满五过户便宜，采光好，通风好，好停车,供电局东宿舍 -东台市,3室1厅 | 82.49平米 | 南 | 精装 | 低楼层(共3层)  | 暂无数据,0人关注 / 4个月以前发布,62.8,"7,614元/平"
新上房源 临南附医 您要的四房户型,中南世纪城景城二区 -中南商圈,4室1厅 | 138.5平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 12天以前发布,220,"15,885元/平"
东亭一村 阳光无限好 精装拎包入住,东亭一村 -东台市,3室2厅 | 91平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,86.8,"9,539元/平"
金水湾三区 精装三室 楼层好 满五唯一 拎包入住,金水湾 -东台市,3室2厅 | 123.64平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,156.8,"12,682元/平"
人才公寓 南北朝向 通风性能好 采光充足 设计合理,人才公寓 -东台市,3室2厅 | 127.11平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,87.8,"6,908元/平"
双阳台公摊面积少，去年新装修，阳光不挡,望海西路AB楼 -东台市,3室2厅 | 100.01平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,110,"10,999元/平"
九樾旁 盐中 伟厦三期 前排 假二楼 有车库车位,伟厦花苑三期 -缤纷亚洲商圈,3室1厅 | 106.45平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,195,"18,319元/平"
南工商局宿舍原前进公寓有电梯，满五唯一，有车库。,南工商局宿舍区 -万达商圈,3室2厅 | 144.63平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,158,"10,925元/平"
此房交易资源丰富市口好出行方便,望海小区 -东台市,3室2厅 | 118.15平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,3人关注 / 10个月以前发布,92.6,"7,838元/平"
此房楼层好，采光充足，配套设施齐全，拎包即住,娱乐花园 -缤纷亚洲商圈,3室2厅 | 102.19平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,202,"19,768元/平"
悦达汇文苑  精装小三房  领包入住,悦达汇文苑 -亭湖高中商圈,3室2厅 | 105.6平米 | 南 | 精装 | 高楼层(共14层)  | 板塔结合,1人关注 / 一年前发布,183,"17,330元/平"
精装房 拎包入住 房东置换 诚心出售,金庭苑北区 -缤纷亚洲商圈,5室2厅 | 225.96平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,4人关注 / 一年前发布,500,"22,128元/平"
格局好，楼层好，视野开阔，采光充足，配套全,育才东路 -滨海公园商圈,3室2厅 | 82.9平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,2人关注 / 9个月以前发布,69.9,"8,432元/平"
此房大面积精装修，小区汽车随便停南北通风你拎包入住,光明花苑 -东台市,4室2厅 | 132平米 | 南 北 | 简装 | 高楼层(共4层)  | 暂无数据,0人关注 / 一年前发布,48.8,"3,697元/平"
凯帝京都，精装拎包入住，带地暖，环境优美，满二,凯帝京都 -东台市,3室2厅 | 130.4平米 | 南 | 精装 | 低楼层(共22层)  | 暂无数据,0人关注 / 3个月以前发布,139.8,"10,721元/平"
新坝小区，好楼层，出让证，满5年。阳光不挡,新坝小区 -东台市,3室2厅 | 120.15平米 | 西南 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 8个月以前发布,103,"8,573元/平"
向阳大道东路 3室2厅 南,向阳大道东路 -滨海公园商圈,3室2厅 | 109.53平米 | 南 | 精装 | 中楼层(共4层)  | 暂无数据,0人关注 / 19天以前发布,138,"12,600元/平"
供电小区 3室2厅 南,供电小区 -滨海公园商圈,3室2厅 | 82.9平米 | 南 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 1个月以前发布,82,"9,892元/平"
房东 诚心出售  看房方便  ····,富贵家园 -东台市,3室2厅 | 122.25平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,119,"9,735元/平"
怡和花园有18平朝南车库 房东诚心出售,怡和花园 -东台市,3室2厅 | 128.8平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,159.8,"12,407元/平"
启平旁 满五唯一 阳光无挡 看房方便,新桥小区 -东台市,3室2厅 | 89.8平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 8个月以前发布,68,"7,573元/平"
海德中上层东户 九十万名师精装修 中 央空调 品牌家居,中庚海德公园 -中南商圈,4室2厅 | 163.34平米 | 东 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,2人关注 / 2个月以前发布,290,"17,755元/平"
采光充足，视野开阔，诚心出售，交通便捷,书香名府 -东台市,3室2厅 | 106.02平米 | 南 | 精装 | 高楼层(共16层)  | 板塔结合,0人关注 / 2个月以前发布,118,"11,130元/平"
此房产权清晰，配套好，精装，户型方正，视野宽阔,东河苑 -东台市,3室2厅 | 146.66平米 | 南 | 精装 | 低楼层(共9层)  | 板塔结合,0人关注 / 18天以前发布,185.8,"12,669元/平"
城南景观带丨晶都悦府洋房精装丨满两年带车库车位丨,晶都悦府 -中南商圈,4室2厅 | 142平米 | 南 | 精装 | 高楼层(共11层)  | 暂无数据,7人关注 / 8个月以前发布,355,"25,000元/平"
御龙湾3室，好楼层，精装修，随时拎包入住。。,金鹰御珑湾 -东台市,3室2厅 | 132.92平米 | 南 北 | 精装 | 高楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,239.8,"18,041元/平"
高品质小区，白领上班族理想选择,中庚海德公园 -中南商圈,3室2厅 | 90.82平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 6个月以前发布,128,"14,094元/平"
智博园 3室2厅 南,智博园 -亭湖高中商圈,3室2厅 | 94.59平米 | 南 | 精装 | 低楼层(共10层)  | 板楼,0人关注 / 12天以前发布,112,"11,841元/平"
学府壹号(滨海县) 3室1厅 西南 南,学府壹号(滨海县) -滨海清水湖商圈,3室1厅 | 106平米 | 西南 南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 12天以前发布,81.8,"7,717元/平"
悦达汇文苑3-2-1-1 105.89.00m² 153.6万,悦达汇文苑 -亭湖高中商圈,3室2厅 | 105.89平米 | 南 | 精装 | 高楼层(共14层)  | 板楼,2人关注 / 8个月以前发布,153.6,"14,506元/平"
公园道一号旁 大宇花园 方便看房,大宇花苑 -宝龙商圈,3室2厅 | 84.51平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 11个月以前发布,166,"19,643元/平"
此房南北朝向，小区物业环境好，整齐，清洁。,中亚城市花园 -东台市,3室2厅 | 107.89平米 | 南 北 | 简装 | 中楼层(共12层)  | 暂无数据,4人关注 / 一年前发布,119.8,"11,104元/平"
瓜果市场西105平3房2厅1厨1卫精装修拎包入住,东关综合楼 -东台市,3室2厅 | 104.95平米 | 东 西 | 精装 | 中楼层(共5层)  | 板塔结合,0人关注 / 6个月以前发布,82,"7,814元/平"
东台市区  景范小区  业主诚心出售,景范小区 -东台市,3室2厅 | 89.8平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,86.5,"9,633元/平"
东台高档小区海陵首富三室两厅一厨两卫,海陵首府 -东台市,3室2厅 | 141.97平米 | 南 | 精装 | 高楼层(共18层)  | 塔楼,0人关注 / 1个月以前发布,228.8,"16,117元/平"
学府一号，98.13平米，4室2厅1厨1卫，83.8卫，户型好,学府壹号(滨海县) -滨海清水湖商圈,4室2厅 | 98.13平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,3人关注 / 9个月以前发布,72.8,"7,419元/平"
邻近吾悦广场，润洋一品，三室，精装，拎包入住,润洋壹品(东台市) -东台市,3室1厅 | 118.04平米 | 东 南 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 3个月以前发布,147.8,"12,522元/平"
东园新村 三室两厅 精装 拎包入住,东园新村 -东台市,3室2厅 | 84.49平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,68.8,"8,143元/平"
火车站旁精装修拎包入住，适合养老带24平大车库,金阳东方新城 -东台市,3室1厅 | 119平米 | 南 北 | 精装 | 中楼层(共5层)  | 板塔结合,0人关注 / 5个月以前发布,103,"8,656元/平"
欧堡利亚悦府，3室2厅一厨一卫，137平米，148万,欧堡利亚悦府 -滨海体育中心商圈,3室2厅 | 136.59平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,2人关注 / 5个月以前发布,148,"10,836元/平"
城南 万科翡翠云台 精装三房 品质小区 随时看房,万科悦达翡翠云台 -中南商圈,3室1厅 | 130平米 | 南 | 简装 | 中楼层(共32层)  | 暂无数据,0人关注 / 12天以前发布,220,"16,924元/平"
精装房 拎包入住 房东置换 诚心出售,金庭苑北区 -缤纷亚洲商圈,5室2厅 | 225.96平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,4人关注 / 一年前发布,500,"22,128元/平"
新坝小区，好楼层，出让证，满5年。阳光不挡,新坝小区 -东台市,3室2厅 | 120.15平米 | 西南 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 8个月以前发布,103,"8,573元/平"
格局好，楼层好，视野开阔，采光充足，配套全,育才东路 -滨海公园商圈,3室2厅 | 82.9平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,2人关注 / 9个月以前发布,69.9,"8,432元/平"
此房大面积精装修，小区汽车随便停南北通风你拎包入住,光明花苑 -东台市,4室2厅 | 132平米 | 南 北 | 简装 | 高楼层(共4层)  | 暂无数据,0人关注 / 一年前发布,48.8,"3,697元/平"
悦达汇文苑  精装小三房  领包入住,悦达汇文苑 -亭湖高中商圈,3室2厅 | 105.6平米 | 南 | 精装 | 高楼层(共14层)  | 板塔结合,1人关注 / 一年前发布,183,"17,330元/平"
伯乐达城市御墅 精装  顶楼复式,伯乐达城市御墅 -富康路商圈,3室2厅 | 172.64平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,1人关注 / 3个月以前发布,330,"19,115元/平"
伯乐达城市御墅，精装满五唯一，带一个车库，电梯洋房,伯乐达城市御墅 -富康路商圈,3室2厅 | 125.67平米 | 北 南 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,200,"15,915元/平"
房东诚心出售，随时看房，适合养老,北海花园 -东台市,3室2厅 | 92平米 | 南 北 | 精装 | 低楼层(共5层)  | 板塔结合,0人关注 / 15天以前发布,98.8,"10,740元/平"
城东宝龙北师大附属幼儿园旁京师学院山3-1-1-2 114.9,京师学院山 -亭湖商圈,3室1厅 | 114.97平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 12天以前发布,150,"13,047元/平"
龙晶花园大户型 好楼层 中式精装修 出让满五,龙晶河滨花园 -东台市,3室2厅 | 167.48平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 8个月以前发布,180,"10,748元/平"
学府壹号(滨海县) 3室1厅 西南 南,学府壹号(滨海县) -滨海清水湖商圈,3室1厅 | 106平米 | 西南 南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 12天以前发布,81.8,"7,717元/平"
智博园 3室2厅 南,智博园 -亭湖高中商圈,3室2厅 | 94.59平米 | 南 | 精装 | 低楼层(共10层)  | 板楼,0人关注 / 12天以前发布,112,"11,841元/平"
鑫光公寓三室两厅，精装，满五不唯一,鑫光公寓 -东台市,3室2厅 | 132.5平米 | 东南 | 精装 | 高楼层(共12层)  | 暂无数据,0人关注 / 1个月以前发布,159.8,"12,061元/平"
高品质小区，白领上班族理想选择,中庚海德公园 -中南商圈,3室2厅 | 90.82平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 6个月以前发布,128,"14,094元/平"
海德中上层东户 九十万名师精装修 中 央空调 品牌家居,中庚海德公园 -中南商圈,4室2厅 | 163.34平米 | 东 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,2人关注 / 2个月以前发布,290,"17,755元/平"
采光充足，视野开阔，诚心出售，交通便捷,书香名府 -东台市,3室2厅 | 106.02平米 | 南 | 精装 | 高楼层(共16层)  | 板塔结合,0人关注 / 2个月以前发布,118,"11,130元/平"
复式精装修，房东外地发展，诚心出售,厦门华苑 -东台市,3室2厅 | 98.48平米 | 东 西 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 3个月以前发布,83,"8,429元/平"
城南景观带丨晶都悦府洋房精装丨满两年带车库车位丨,晶都悦府 -中南商圈,4室2厅 | 142平米 | 南 | 精装 | 高楼层(共11层)  | 暂无数据,7人关注 / 8个月以前发布,355,"25,000元/平"
钱江方洲南区，楼层好采光好，品质小区，房东诚心出售,钱江方洲南区 -宝龙商圈,3室2厅 | 113.84平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,270,"23,718元/平"
国土大厦西侧的好楼层，满五唯一交通便利,世纪大厦 -东台市,3室2厅 | 137.72平米 | 南 北 | 精装 | 中楼层(共16层)  | 板塔结合,0人关注 / 11个月以前发布,128,"9,295元/平"
小区环境还不错，24小时安保，居住安全,城中花园(东台市) -东台市,3室2厅 | 117.26平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,1人关注 / 5个月以前发布,92.6,"7,897元/平"
东台何垛桥风光带旁 舒适大三房 户型好 带21平大车库,新宁住宅小区 -东台市,3室2厅 | 115.48平米 | 南 北 | 精装 | 高楼层(共5层)  | 暂无数据,1人关注 / 3个月以前发布,88,"7,621元/平"
此房通透，配套齐全，采光好，业主诚意出售,泰山新村 -东台市,3室1厅 | 100平米 | 南 | 精装 | 中楼层(共5层)  | 板塔结合,0人关注 / 2个月以前发布,96.8,"9,680元/平"
户型方正，飞机户型，小区环境优美,正方上林苑 -东台市,3室1厅 | 116.31平米 | 南 北 | 精装 | 低楼层(共10层)  | 板楼,1人关注 / 6个月以前发布,147.6,"12,691元/平"
欧堡利亚北辰 3室1厅 南,欧堡利亚北辰 -滨海清水湖商圈,3室1厅 | 120平米 | 南 | 其他 | 高楼层(共17层)  | 暂无数据,0人关注 / 12天以前发布,113.8,"9,484元/平"
房子装修清爽，看房方便，诚心出售。,文景花园 -缤纷亚洲商圈,3室2厅 | 97.57平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 一年前发布,203,"20,806元/平"
城东学府地，好楼层，阳光灿烂通风良好,东台桃李天下 -东台市,3室2厅 | 106.14平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,118,"11,118元/平"
东海国际137平景观房，飞机户型靠中南城,信拓东海国际 -东台市,3室2厅 | 137.13平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,6人关注 / 一年前发布,122.8,"8,956元/平"
森活绿郡 楼层好 南北朝向 视野开阔 配套设施齐全,森活绿郡 -东台市,3室2厅 | 123.95平米 | 东 南 北 | 精装 | 低楼层(共17层)  | 板塔结合,0人关注 / 3个月以前发布,161.8,"13,054元/平"
盛世华城南区 中层楼层  带十几平车库  诚心出售,盛世华城南区 -万达商圈,3室2厅 | 96.08平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,3人关注 / 5个月以前发布,103.8,"10,804元/平"
晨光满园3室精装修，拎包入住。房东诚心出售,晨光满园 -东台市,3室2厅 | 121.27平米 | 南 北 | 精装 | 中楼层(共26层)  | 暂无数据,1人关注 / 6个月以前发布,107.8,"8,890元/平"
娱乐花园  满两年 小区中间位置 采光好 有车库,娱乐花园 -缤纷亚洲商圈,4室2厅 | 133.03平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 11个月以前发布,253,"19,019元/平"
采光好，南北通透，出行方便。方便居民生活。,建筑公司宿舍 -东台市,3室1厅 | 70.81平米 | 南 北 | 简装 | 低楼层(共5层)  | 暂无数据,1人关注 / 10个月以前发布,61.8,"8,728元/平"
大城南，中南10期，精装三房，看房方便，诚意出售,中南世纪城景城二区 -中南商圈,3室2厅 | 103.94平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,2人关注 / 一年前发布,160,"15,394元/平"
海德公园拎包入住诚心出售方便看房,中庚海德公园 -中南商圈,3室2厅 | 109.6平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,6人关注 / 一年前发布,159,"14,508元/平"
城西 精装电梯小三房 户型好 总价低 采光好 欢迎看房,青年华都 -万达商圈,3室2厅 | 90平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 17天以前发布,99,"11,000元/平"
新锦苑 3室2厅 南,新锦苑 -新四军纪念馆商圈,3室2厅 | 140.25平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 16天以前发布,150,"10,696元/平"
此房金水湾二期退台洋房，带39平大车库户型方正南北通,金水湾 -东台市,4室2厅 | 162平米 | 南 | 精装 | 中楼层(共4层)  | 板塔结合,1人关注 / 1个月以前发布,268,"16,544元/平"
温馨花园 高楼层 采光好 视野开阔,温馨花园南区 -缤纷亚洲商圈,3室2厅 | 116.34平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,2人关注 / 6个月以前发布,180,"15,472元/平"
润洋壹品  ，三室两厅 ，精装,润洋壹品(东台市) -东台市,3室2厅 | 117.35平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,144.8,"12,340元/平"
润洋壹品  ，三室两厅 ，精装,润洋壹品(东台市) -东台市,3室2厅 | 117.35平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,144.8,"12,340元/平"
万达旁 西城逸品 中高楼层 精装两房,西城逸品 -潘黄商圈,3室2厅 | 114.26平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,2人关注 / 8个月以前发布,141,"12,341元/平"
北港花苑|好户型|有个21平可住人车库|诚意出售,北港花苑 -宝龙商圈,3室2厅 | 131.85平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 14天以前发布,226,"17,141元/平"
腾飞新城 精装三房 拎包入住 房东诚心出售,华兴腾飞新城 -万达商圈,3室2厅 | 97平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 12天以前发布,120,"12,372元/平"
恒大名都精装三房品牌家具家电采光好,恒大名都 -麦德龙商圈,3室2厅 | 121平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,0人关注 / 17天以前发布,141.8,"11,720元/平"
此房满五年 毛坯大三房 次顶楼,金大洋花园 -缤纷亚洲商圈,3室2厅 | 118.44平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 11天以前发布,260,"21,953元/平"
欧堡利亚北辰 3室1厅 南,欧堡利亚北辰 -滨海清水湖商圈,3室1厅 | 120平米 | 南 | 其他 | 高楼层(共17层)  | 暂无数据,0人关注 / 12天以前发布,113.8,"9,484元/平"
朝阳新村养老层 精装三房 两房朝南 采光不挡 拎包入住,朝阳新村 -东台市,3室2厅 | 86平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,88.8,"10,326元/平"
公园旁万水清华，满五唯一，拎包入住，合适可谈,万水清华 -东台市,3室2厅 | 129.22平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 7个月以前发布,209.8,"16,236元/平"
万水清华 楼层好 带地面车库满五唯一税费低,万水清华 -东台市,3室2厅 | 128.23平米 | 南 | 精装 | 中楼层(共17层)  | 板塔结合,2人关注 / 一年前发布,203.8,"15,894元/平"
自住优质房源，多阳台，精装修，满五唯一,西海华庭  -东台市,3室2厅 | 139.6平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 3个月以前发布,128.8,"9,227元/平"
城南版块精装修好房，吾悦商圈旁,金水湾 -东台市,4室2厅 | 171.4平米 | 南 | 精装 | 中楼层(共16层)  | 板塔结合,0人关注 / 14天以前发布,236.8,"13,816元/平"
城中花园新出房源，三开间朝南，精装修，诚心出售,城中花园(东台市) -东台市,4室2厅 | 137.36平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,1人关注 / 8个月以前发布,138,"10,047元/平"
精装修交付，阳台已封，有家具家电，直接拎包入住,恒大翡翠华庭 -东台市,3室2厅 | 100.11平米 | 南 北 | 精装 | 高楼层(共22层)  | 暂无数据,0人关注 / 10个月以前发布,99.8,"9,970元/平"
聚诚文正苑精装三室两厅，小区统一供暖，满五唯一,聚诚文正苑 -东台市,3室2厅 | 92.83平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,120,"12,927元/平"
中间楼层，采光充足，视野开阔，诚心出售，交通便捷,西湖花园南区 -东台市,3室2厅 | 119.9平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,108,"9,008元/平"
金水湾精装3房南北通透，阳光无挡，拎包入住。,金水湾 -东台市,3室2厅 | 120.95平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,11人关注 / 一年前发布,135,"11,162元/平"
有电动车库 高层阳光好 通风良好,信拓东海国际 -东台市,3室1厅 | 108.43平米 | 南 | 毛坯 | 高楼层(共27层)  | 板塔结合,10人关注 / 一年前发布,76.8,"7,083元/平"
金水湾，采光好，有地面车库，拎包入住,金水湾 -东台市,5室3厅 | 165平米 | 南 北 | 精装 | 高楼层(共5层)  | 板塔结合,1人关注 / 4个月以前发布,145,"8,788元/平"
高铁站 高成金水湾 大三房低总价,高成金水湾 -五星车站商圈,3室2厅 | 129.46平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 4个月以前发布,150,"11,587元/平"
此房通透，配套齐全，采光好，业主诚意出售,泰山新村 -东台市,3室1厅 | 100平米 | 南 | 精装 | 中楼层(共5层)  | 板塔结合,0人关注 / 2个月以前发布,96.8,"9,680元/平"
装修考究，中泱空调，地暖，钻石楼层  诚心出售,凤凰汇 -聚龙湖商圈,3室2厅 | 139.78平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,5人关注 / 6个月以前发布,336,"24,038元/平"
南北朝向，户型方正，采光良好，交通方便,东台市食品厂综合楼 -东台市,3室2厅 | 96.73平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,108,"11,166元/平"
聚龙双苑精装大三房 买一层得一层 房东急售 看房方便,聚龙双苑 -东台市,3室1厅 | 76.46平米 | 南 北 | 精装 | 低楼层(共22层)  | 板塔结合,0人关注 / 8个月以前发布,140.8,"18,415元/平"
万科悦达翡翠国际3-2-1-2 121.52m²,万科悦达翡翠国际 -富康路商圈,3室2厅 | 121.52平米 | 南 北 | 精装 | 高楼层(共14层)  | 平房,0人关注 / 3个月以前发布,250,"20,573元/平"
娱乐花园 满五唯一 采光充足 拎包即住,娱乐花园 -缤纷亚洲商圈,3室2厅 | 119.77平米 | 南 | 精装 | 高楼层(共12层)  | 板楼,1人关注 / 一年前发布,240,"20,039元/平"
万科悦达翡翠国际3-2-1-1 99.36m²,万科悦达翡翠国际 -富康路商圈,3室2厅 | 99.32平米 | 南 | 精装 | 低楼层(共13层)  | 暂无数据,0人关注 / 3个月以前发布,193,"19,433元/平"
南北朝向，通风性能良好，采光良好，无浪费,北海花园 -东台市,3室2厅 | 107.21平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,0人关注 / 4个月以前发布,122.8,"11,455元/平"
北海花园，房东诚心出售，看房方便,北海花园南区 -东台市,3室2厅 | 134.81平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,4人关注 / 一年前发布,137.8,"10,222元/平"
市区 招商城 农民街 通榆新村 精装,通榆新村四区 -招商场商圈,3室2厅 | 82.62平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,0人关注 / 6个月以前发布,84,"10,168元/平"
招商场旁 招商新村 3-2-1 98平 房东诚售,招商新村 -招商场商圈,3室2厅 | 97.82平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,80,"8,179元/平"
此房为经典三开间朝南，位置好，视野好，交通便利,德惠尚书府 -白马商圈,3室2厅 | 103.78平米 | 南 | 毛坯 | 中楼层(共11层)  | 塔楼,1人关注 / 一年前发布,105,"10,118元/平"
市区 招商城 农民街 通榆新村 精装,通榆新村四区 -招商场商圈,3室2厅 | 82.62平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,0人关注 / 6个月以前发布,84,"10,168元/平"
采光充足 户型方正，分布合理，交通方便,毓东小区 -新四军纪念馆商圈,3室2厅 | 99.83平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 8个月以前发布,94,"9,417元/平"
东城名苑  精装修四房  拎包入住,东城名苑(东进大道) -东台市,4室2厅 | 142.94平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 3个月以前发布,120,"8,396元/平"
东园新村 三室两厅  精装  拎包入住,东园新村 -东台市,3室2厅 | 80.06平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,78.8,"9,843元/平"
润洋一期，环境优美安逸，居住适宜,润洋壹品(东台市) -东台市,3室2厅 | 121.11平米 | 东南 | 精装 | 低楼层(共24层)  | 板塔结合,1人关注 / 3个月以前发布,154.8,"12,782元/平"
宏都花园，房子有大车库，大车库有窗户，可住人。,宏都花园 -聚龙湖商圈,3室2厅 | 104.76平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 7个月以前发布,157,"14,987元/平"
德润旁  3房精装修  房东诚心卖  价格美丽,兴城国际花园 -东台市,3室2厅 | 125.61平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,1人关注 / 一年前发布,169.8,"13,519元/平"
靠南金鹰品质小区 凤凰汇熙园精装小三房出售,凤凰汇熙园 -聚龙湖商圈,3室2厅 | 90.57平米 | 南 | 精装 | 中楼层(共17层)  | 塔楼,9人关注 / 5个月以前发布,160,"17,666元/平"
招商城|新纪元广场|盛世家苑|,盛世家苑 -招商场商圈,3室2厅 | 115平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,1人关注 / 11个月以前发布,115,"10,000元/平"
东方花园(亭湖区)3-1-1-1 109.34m²,东方花园(亭湖区) -招商场商圈,3室1厅 | 109.45平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,4人关注 / 4个月以前发布,99.8,"9,119元/平"
公园旁  江动东园 3 室   楼层好   采光足  精装修,江动东苑 -人民公园商圈,3室1厅 | 87.92平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,120,"13,649元/平"
精装，采光好，小区品质不错，市区，交通方便,博奥东苑 -永基广场商圈,3室2厅 | 110.83平米 | 南 | 精装 | 中楼层(共12层)  | 板楼,0人关注 / 一年前发布,192,"17,324元/平"
此房空气好，简装修，2房朝南，采光良好，出门方便,棠浦巷 -东台市,3室2厅 | 83.5平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,69.8,"8,360元/平"
老城区 中间楼层 带车库 满5唯1 随时可看,东村 -五星车站商圈,3室1厅 | 66.33平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 14天以前发布,72,"10,855元/平"
