标题,开发商,房子信息,发布信息,售价/万,单价
有大红本    早就满五   户型方正    采光充足,十八中宿舍 -旧省政府,2室1厅 | 66.56平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 26天以前发布,91.8,"13,793元/平"
学府街平阳路新小区中式园林电梯满5年,智诚平阳府第 -学府商圈,3室2厅 | 128.9平米 | 南 北 | 简装 | 低楼层(共30层)  | 板楼,4人关注 / 5个月以前发布,158,"12,258元/平"
南内环 市人大 房龄新 中间层 大红本 格局好,汾河隧道管理所宿舍 -亲贤商圈,2室2厅 | 72.28平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 9个月以前发布,62,"8,578元/平"
急售并州路交通设计院 对大营盘 南北通透双阳台大三居,交通设计院宿舍 -亲贤商圈,3室2厅 | 100.93平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,15人关注 / 一年前发布,94,"9,314元/平"
房东急售。抢房热潮。位置好。教育氛围浓厚,保利东郡 -学府商圈,3室2厅 | 149平米 | 南 | 精装 | 中楼层(共23层)  | 板塔结合,1人关注 / 6个月以前发布,240,"16,108元/平"
赞城 兴华西街 西中环 全新未住 中间层 满2 拎包住,赞城A区 -千峰北路商圈,2室1厅 | 87.96平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,3人关注 / 4个月以前发布,84,"9,550元/平"
太原长风街平阳路大红本阳光房好楼层,文华苑D区 -学府商圈,3室2厅 | 102.66平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,4人关注 / 6个月以前发布,146.5,"14,271元/平"
西华苑三期 西中环 大红本满二 可按揭 两室 总价合适,西华苑三期南区 -西客站商圈,2室1厅 | 86.97平米 | 西 北 | 其他 | 中楼层(共31层)  | 板楼,4人关注 / 4个月以前发布,75,"8,624元/平"
省医 双塔东街 郦苑国际 高层电梯房 有钥匙大红本,郦苑国际小区 -人民医院,3室2厅 | 188.71平米 | 南 北 | 简装 | 低楼层(共22层)  | 板楼,5人关注 / 11个月以前发布,190,"10,069元/平"
迎泽西大街南北三居大红本满五能贷款能,西华苑小区西区 -西客站商圈,3室2厅 | 90.03平米 | 东 南 北 | 简装 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,67,"7,442元/平"
学府街坞城路 铁技校宿舍单位房 省政府旁,铁路机械学校南宿舍区 -学府商圈,3室2厅 | 129.47平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,19人关注 / 一年前发布,158.5,"12,243元/平"
南内环，解放南路，地铁，出行方便。,安监局宿舍 -双西小学,3室1厅 | 89.65平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,5人关注 / 一年前发布,82,"9,147元/平"
此房为西南格局，中间层，采光视野好，近公园，大红本,府东公园6栋 -东客站,3室2厅 | 142.56平米 | 南 北 | 简装 | 中楼层(共19层)  | 板楼,2人关注 / 5个月以前发布,120,"8,418元/平"
柳溪花园  大红本满五  朝南户型  观景房,柳溪花园 -金刚堰商圈,3室2厅 | 154.1平米 | 南 | 简装 | 高楼层(共19层)  | 板楼,17人关注 / 一年前发布,110,"7,139元/平"
此房，采光好，房东一手房，户型方正，朝向舒适,长风商住小区 -亲贤商圈,2室1厅 | 78.21平米 | 东 西 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 8个月以前发布,64,"8,184元/平"
公园美宅 本满二 小高层 公摊小 采光充足 首付30万,十二院城 -和平南路商圈,2室1厅 | 96.73平米 | 南 | 精装 | 中楼层(共23层)  | 板楼,0人关注 / 3个月以前发布,105.3,"10,886元/平"
西岸南区装修不错的房子之一，业主诚心出售！,西岸南区 -千峰南路商圈,3室2厅 | 150.65平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,1人关注 / 3个月以前发布,155,"10,289元/平"
急售，满二，楼层好，视野很好，税费低,星河湾4号园 -龙城商圈,3室2厅 | 134.81平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,3人关注 / 2个月以前发布,214,"15,875元/平"
晋阳街北美N1旁交通小区3居南北低楼层大红本随时看房,交通小区(小店区) -晋阳街商圈,3室2厅 | 139.99平米 | 南 西 北 | 简装 | 低楼层(共12层)  | 板塔结合,0人关注 / 1个月以前发布,142,"10,144元/平"
晋阳湖观景房 精装两居室南北通透 大红本满二钻石楼层,绿地塞纳公馆 -晋阳湖商圈,2室2厅 | 96.99平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,3人关注 / 6个月以前发布,118,"12,167元/平"
长风商务区，产权清晰，大红本满五唯一。过户费用低,太化南小区 -义井商圈,2室2厅 | 104.02平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 6个月以前发布,86,"8,268元/平"
杏花岭 小商品  山化小区 精装两室一厅,山化小区 -小商品商圈,2室1厅 | 69.08平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,43,"6,225元/平"
小店人民南路 单位宿舍公摊小 大红本在手支持按揭！,中铁十二局职工保障房住宅楼 -经济开发区商圈,3室2厅 | 79.78平米 | 东 西 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,65,"8,148元/平"
业主急售 学府街煤炭医院东区 九一 满五唯一,煤炭医院小区 -学府商圈,4室1厅 | 115.84平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,155,"13,381元/平"
晋阳湖汾河 城市级公园 精装两居车位5万 具体面谈,绿地世纪城四期 -晋阳湖商圈,2室1厅 | 91.24平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,0人关注 / 2个月以前发布,110,"12,057元/平"
永康南路 南北大三居 采光好 大红本满二 生活费用低,小店区农行宿舍 -经济开发区商圈,3室2厅 | 110.2平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,12人关注 / 9个月以前发布,92,"8,349元/平"
优山美郡 精装两室 刚需客户可以选择 价格可谈 随时看,辰兴·优山美郡 -三给,2室1厅 | 91.65平米 | 东南 | 精装 | 高楼层(共28层)  | 板楼,7人关注 / 一年前发布,79.5,"8,675元/平"
此房本满二，挑高5米左右， 出行交通方便,新昌公寓 -经济开发区商圈,2室2厅 | 196.92平米 | 南 西 | 精装 | 中楼层(共14层)  | 板塔结合,3人关注 / 一年前发布,125,"6,348元/平"
南内环地铁口  三室一厅  南北通透 餐客一体 采光优佳,菜园小区 -双西小学,3室1厅 | 75.42平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,18人关注 / 一年前发布,78,"10,343元/平"
大红本满二，南北户型大两居（三居）采光视野好,海唐100 -千峰北路商圈,3室2厅 | 127.14平米 | 东 南 北 | 简装 | 中楼层(共27层)  | 板塔结合,9人关注 / 5个月以前发布,94,"7,394元/平"
北中环  解放北路  恒大名都   两室一厅,恒大名都 -小商品商圈,2室1厅 | 94.78平米 | 东南 | 精装 | 高楼层(共29层)  | 板塔结合,1人关注 / 3个月以前发布,91,"9,602元/平"
学府街体育路中辐院东区朝南三居室大红本房出售,中辐院东小区 -学府商圈,3室2厅 | 116.21平米 | 东南 | 简装 | 低楼层(共6层)  | 板塔结合,1人关注 / 6个月以前发布,110,"9,466元/平"
坞城中路 中电科三十三所旁 南北三居 业主诚心出售,二体校宿舍 -学府商圈,3室1厅 | 87.95平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 6个月以前发布,123,"13,986元/平"
拉菲新上109平两居，看房方便低楼层,坤杰·拉菲香榭 -龙城商圈,2室2厅 | 109.59平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,10人关注 / 5个月以前发布,113,"10,312元/平"
南内环解放路二层大红本着急出售,菜园小区 -双西小学,3室2厅 | 82平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,8人关注 / 3个月以前发布,70,"8,537元/平"
小店区 康宁西街 高层电梯房 大红本满二,康宁小区 -经济开发区商圈,3室0厅 | 140.19平米 | 南 北 | 简装 | 高楼层(共16层)  | 板楼,10人关注 / 11个月以前发布,98.1,"6,998元/平"
实验宿舍 大红本满五唯一  有两票 中间楼层 采光好,实验小学宿舍 -经济开发区商圈,3室2厅 | 82.87平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 2个月以前发布,85,"10,258元/平"
香檀一号  属于一期开发 共3期 精装修 房本满2年,香檀一号 -龙城商圈,3室2厅 | 179.33平米 | 南 北 | 精装 | 低楼层(共31层)  | 板楼,34人关注 / 一年前发布,272,"15,168元/平"
并州路体育北街 翰府南北两居 全明格局 业主诚心出售,翰府 -亲贤商圈,2室2厅 | 103.12平米 | 西 北 南 | 精装 | 低楼层(共28层)  | 板楼,4人关注 / 6个月以前发布,107.5,"10,425元/平"
新城街中行宿舍 低层 南北通透大三居 双卧朝阳 采光好,新城西小区 -文庙商圈,3室2厅 | 98.16平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,1人关注 / 5个月以前发布,91.8,"9,353元/平"
长风学府街大红本主.8.1南北通透看房到天和学府苑德佑,怡安公寓 -学府商圈,3室1厅 | 100.91平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,5人关注 / 10个月以前发布,156,"15,460元/平"
大红本   满五年    中间层    采光足,太铁后院小区 -赛马场商圈,2室1厅 | 74.94平米 | 南 北 | 简装 | 中楼层(共5层)  | 板塔结合,0人关注 / 1个月以前发布,56,"7,473元/平"
南北通透，视野开阔，采光充足，配套齐全，交通便利,省体育局体育馆东小区 -双西小学,2室1厅 | 68平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,94,"13,824元/平"
火车站跟前 大红本的房子 浇筑房  房东诚心出售,汽贸苑小区 -朝阳街,3室1厅 | 104.11平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,3人关注 / 7个月以前发布,94,"9,029元/平"
晋阳街云水世纪明珠 上81三卧朝南 落地窗精装修,云水世纪明珠 -晋阳街商圈,3室2厅 | 159.09平米 | 南 北 | 精装 | 低楼层(共28层)  | 板楼,3人关注 / 10个月以前发布,200,"12,572元/平"
双西 中间层 大红本满五年唯一住房 价格可议,水产公司宿舍 -双西小学,3室2厅 | 81.91平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,16人关注 / 9个月以前发布,103,"12,575元/平"
南北通透，视野开阔，采光充足，配套齐全，交通便利,省体育局体育馆东小区 -双西小学,2室1厅 | 68平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,94,"13,824元/平"
大红本满五     中间楼层    户型方正    采光充足,煤场小区 -大东关商圈,3室2厅 | 87.54平米 | 南 北 | 毛坯 | 中楼层(共5层)  | 板楼,4人关注 / 一年前发布,64.7,"7,391元/平"
中正天街 迎泽公园 高层电梯房 低楼层 大红本 可看房,优派对小区 -人民医院,3室2厅 | 163平米 | 东 南 北 | 简装 | 低楼层(共16层)  | 板楼,1人关注 / 4个月以前发布,123,"7,547元/平"
八一电梯房，满二 ，楼层好，视野好，采光好，配套全,上上城小区 -亲贤商圈,2室1厅 | 96.98平米 | 西北 | 精装 | 高楼层(共32层)  | 塔楼,8人关注 / 6个月以前发布,101,"10,415元/平"
房东急售。抢房热潮。位置好。教育氛围浓厚,保利东郡 -学府商圈,3室2厅 | 149平米 | 南 | 精装 | 中楼层(共23层)  | 板塔结合,1人关注 / 6个月以前发布,240,"16,108元/平"
急售并州路交通设计院 对大营盘 南北通透双阳台大三居,交通设计院宿舍 -亲贤商圈,3室2厅 | 100.93平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,15人关注 / 一年前发布,94,"9,314元/平"
A+新上好房，楼层合适，位置合适，价格合适,公路局一公司北张小区 -学府商圈,2室2厅 | 78.61平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 8个月以前发布,85,"10,813元/平"
北大街4层大红本满五年刚需一居室，出行便利,电力环保宿舍 -北大街商圈,1室1厅 | 36.06平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,27.5,"7,627元/平"
南内环 市人大 房龄新 中间层 大红本 格局好,汾河隧道管理所宿舍 -亲贤商圈,2室2厅 | 72.28平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 9个月以前发布,62,"8,578元/平"
前进路公园旁 户型方正 客厅 双卧朝南 大红本 93年,前进路6号院 -千峰北路商圈,2室1厅 | 53.34平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,4人关注 / 4个月以前发布,39.5,"7,406元/平"
学府街平阳路新小区中式园林电梯满5年,智诚平阳府第 -学府商圈,3室2厅 | 128.9平米 | 南 北 | 简装 | 低楼层(共30层)  | 板楼,4人关注 / 5个月以前发布,158,"12,258元/平"
西华苑三期 西中环 大红本满二 可按揭 两室 总价合适,西华苑三期南区 -西客站商圈,2室1厅 | 86.97平米 | 西 北 | 其他 | 中楼层(共31层)  | 板楼,4人关注 / 4个月以前发布,75,"8,624元/平"
太原长风街平阳路大红本阳光房好楼层,文华苑D区 -学府商圈,3室2厅 | 102.66平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,4人关注 / 6个月以前发布,146.5,"14,271元/平"
省医 双塔东街 郦苑国际 高层电梯房 有钥匙大红本,郦苑国际小区 -人民医院,3室2厅 | 188.71平米 | 南 北 | 简装 | 低楼层(共22层)  | 板楼,5人关注 / 11个月以前发布,190,"10,069元/平"
迎泽西大街南北三居大红本满五能贷款能,西华苑小区西区 -西客站商圈,3室2厅 | 90.03平米 | 东 南 北 | 简装 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,67,"7,442元/平"
科大 西中环 万科金域华府 精装修 中间层 满二 拎包住,万科金域华府南区 -千峰北路商圈,3室1厅 | 97.05平米 | 南 北 | 精装 | 高楼层(共24层)  | 板楼,0人关注 / 2个月以前发布,90,"9,274元/平"
赞城 兴华西街 西中环 全新未住 中间层 满2 拎包住,赞城A区 -千峰北路商圈,2室1厅 | 87.96平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,3人关注 / 4个月以前发布,84,"9,550元/平"
裕丰花园 晋阳街体育南路交口 中间楼层 采光好视野好,裕丰花园 -晋阳街商圈,3室2厅 | 153.19平米 | 南 北 | 简装 | 高楼层(共17层)  | 板楼,1人关注 / 一年前发布,160,"10,445元/平"
新上房源 大红本满二  交通便利 过户低,太原奥林匹克花园南区 -西客站商圈,3室2厅 | 62.12平米 | 东北 | 其他 | 中楼层(共12层)  | 板楼,0人关注 / 1个月以前发布,73,"11,752元/平"
南内环，解放南路，地铁，出行方便。,安监局宿舍 -双西小学,3室1厅 | 89.65平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,5人关注 / 一年前发布,82,"9,147元/平"
学府街坞城路 铁技校宿舍单位房 省政府旁,铁路机械学校南宿舍区 -学府商圈,3室2厅 | 129.47平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,19人关注 / 一年前发布,158.5,"12,243元/平"
此房为西南格局，中间层，采光视野好，近公园，大红本,府东公园6栋 -东客站,3室2厅 | 142.56平米 | 南 北 | 简装 | 中楼层(共19层)  | 板楼,2人关注 / 5个月以前发布,120,"8,418元/平"
房本满五不唯一，无贷款，无抵押.8层，采光好,裕丰花园 -晋阳街商圈,4室2厅 | 184.01平米 | 西南 | 精装 | 中楼层(共16层)  | 塔楼,3人关注 / 一年前发布,178,"9,674元/平"
此房，采光好，房东一手房，户型方正，朝向舒适,长风商住小区 -亲贤商圈,2室1厅 | 78.21平米 | 东 西 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 8个月以前发布,64,"8,184元/平"
柳溪花园  大红本满五  朝南户型  观景房,柳溪花园 -金刚堰商圈,3室2厅 | 154.1平米 | 南 | 简装 | 高楼层(共19层)  | 板楼,17人关注 / 一年前发布,110,"7,139元/平"
平阳路长风街电力设计院 南北三居中间楼层大红本,电力设计院小区 -学府商圈,3室2厅 | 112.93平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,132,"11,689元/平"
长风街平阳路 大红本中间层，对太师三  南北三居,电力设计院小区 -学府商圈,3室2厅 | 112.93平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,3人关注 / 8个月以前发布,123,"10,892元/平"
山大二院旁 低楼层  南北通透 有固定车位 配套齐全,市建一公司宿舍 -山大二院商圈,3室2厅 | 89.09平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,18人关注 / 一年前发布,70,"7,858元/平"
业主诚心出售 价格美丽 楼层不错 本已经满二 等有缘人,保利香槟国际 -龙城商圈,3室1厅 | 118.22平米 | 南 北 | 简装 | 高楼层(共34层)  | 板楼,2人关注 / 3个月以前发布,143,"12,097元/平"
南中环街北美N1旁 国际大都会小区 大红本电梯毛坯四居,国际大都会西区 -晋阳街商圈,4室2厅 | 191.25平米 | 西南 | 毛坯 | 高楼层(共29层)  | 板塔结合,19人关注 / 9个月以前发布,167,"8,733元/平"
满五唯一中高楼层南北通透视野开阔有钥匙随时可以看房,上墩化坊小区 -肿瘤医院商圈,3室1厅 | 77.9平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,62.5,"8,024元/平"
2000年浇筑房子，随时看房，大红本可贷款，中间楼层。,太师一附小宿舍 -文庙商圈,3室1厅 | 88.14平米 | 南 西 | 简装 | 中楼层(共7层)  | 塔楼,9人关注 / 一年前发布,153,"17,359元/平"
精装电梯房  小区环境好格局好  采光充足  楼层好,恒大御景湾三期 -森林公园商圈,2室1厅 | 91.6平米 | 南 北 | 精装 | 高楼层(共29层)  | 板塔结合,3人关注 / 5个月以前发布,83,"9,062元/平"
电梯房，大红本，大两居，精装；,北方三角洲 -胜利桥东,2室2厅 | 83.71平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,4人关注 / 6个月以前发布,75,"8,960元/平"
满二 中间楼层 不临街不挨火车道 精装修,太原万科城 -南站机场商圈,2室1厅 | 89.18平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,0人关注 / 1个月以前发布,119,"13,344元/平"
适合年轻人首套置业，追求品质小区的，万科物业,万科蓝山一期 -和平南路商圈,2室1厅 | 92.21平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,2人关注 / 3个月以前发布,98.5,"10,683元/平"
长风西街与和平南路，大红本满五，过户费用低，首付低,省六建小区 -和平南路商圈,2室1厅 | 52.45平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 4个月以前发布,38,"7,245元/平"
大红本满五。南北通透三居室，配套齐全，交通方便,西岸南区 -千峰南路商圈,3室2厅 | 126.96平米 | 南 北 | 其他 | 低楼层(共27层)  | 板楼,0人关注 / 3个月以前发布,118,"9,295元/平"
肿瘤医院宿舍 大红本现房 支持公积金和商贷 业主急售,肿瘤医院宿舍 -肿瘤医院商圈,3室2厅 | 121.85平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 7个月以前发布,89,"7,305元/平"
舒适大三居。诚心出售。精装修 楼层好,龙城天悦 -南站机场商圈,3室2厅 | 122.25平米 | 南 北 | 精装 | 低楼层(共14层)  | 板楼,2人关注 / 7个月以前发布,132,"10,798元/平"
西岸大三居诚心低价出售，楼房位置佳随时可看,西岸南区 -千峰南路商圈,4室2厅 | 161.54平米 | 南 北 | 简装 | 低楼层(共27层)  | 板塔结合,8人关注 / 5个月以前发布,130,"8,048元/平"
布局合理，楼层适中，民水民电，配套完善,海棠家园 -南站机场商圈,2室1厅 | 93.85平米 | 南 北 | 简装 | 中楼层(共17层)  | 板塔结合,1人关注 / 2个月以前发布,97,"10,336元/平"
去年交房 格局好 中上楼层 采光好 出行方便,富力城·八号园 -富力城商圈,3室2厅 | 134.79平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 板楼,8人关注 / 一年前发布,112,"8,310元/平"
1，大红本，可贷款。 2，物业费用低. 3，室内设计合理,上墩化坊小区 -肿瘤医院商圈,2室1厅 | 63.03平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,46,"7,299元/平"
低密三居小高层，舒适度高好楼层,富力城F区 -富力城商圈,3室1厅 | 95.16平米 | 南 北 | 精装 | 中楼层(共12层)  | 板楼,3人关注 / 3个月以前发布,88,"9,248元/平"
府东街 杏花岭电力宿舍3居 电梯房 南北楼 采光好,山西电力杏花岭小区 -文庙商圈,3室2厅 | 143.18平米 | 南 北 | 精装 | 高楼层(共26层)  | 板塔结合,0人关注 / 2个月以前发布,165,"11,524元/平"
府东街五一路繁华地段高层景观新贵南北向三居双卫,景观新贵 -文庙商圈,3室2厅 | 140.61平米 | 南 北 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 3个月以前发布,122,"8,677元/平"
晋阳街，山针小区，65平米三室,山针小区 -南站机场商圈,3室1厅 | 65.31平米 | 南 北 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 一年前发布,49.9,"7,641元/平"
西山大红本   南北通透大两居  房东急售,佳通苑小区 -西山商圈,2室1厅 | 90.66平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,7人关注 / 一年前发布,66,"7,280元/平"
山大二院跟前浇筑房配套好距离孩子即将上学的地方近,精英东二道街30号 -山大二院商圈,2室1厅 | 69.08平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 4个月以前发布,68,"9,844元/平"
朝南户型，楼层好，诚心出售，和平公园,逸宸 · 新境界 -千峰南路商圈,2室1厅 | 82.05平米 | 南 北 | 简装 | 低楼层(共20层)  | 板楼,5人关注 / 9个月以前发布,71,"8,654元/平"
旱西关新建路步行到校二室小户型大红本诚心出售,十二中家属楼 -十二中商圈,2室1厅 | 45.4平米 | 东 | 简装 | 高楼层(共5层)  | 板楼,9人关注 / 9个月以前发布,48,"10,573元/平"
金地公寓还款压力小的经济适用房,金地公寓 -柳巷商圈,1室1厅 | 63.78平米 | 南 | 简装 | 高楼层(共27层)  | 板塔结合,4人关注 / 8个月以前发布,61,"9,565元/平"
解放路大南门职工医院宿舍中间楼层刚需型大红本,商业职工医院住宅 -大南门商圈,2室1厅 | 51.61平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 7个月以前发布,41,"7,945元/平"
西岸小区.精装小两居.南北通透.双卧朝南,西岸北区 -千峰南路商圈,2室1厅 | 93.53平米 | 南 北 | 精装 | 低楼层(共9层)  | 板楼,1人关注 / 5个月以前发布,94,"10,051元/平"
文庙巷铁路宿舍 小户型浇筑房 生活上学出行方便可停车,文庙巷铁路宿舍 -文庙商圈,2室1厅 | 45.57平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,69,"15,142元/平"
山大二院 大红本 小高层 配套齐全 停车方便,怡和熙園 -小东门,3室2厅 | 115.68平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,4人关注 / 10个月以前发布,131,"11,325元/平"
晋阳街坞城路口财大旁电建三小两居诚心出售大红本,省电建三公司机关院小区 -晋阳街商圈,2室2厅 | 73.09平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,69,"9,441元/平"
精装电梯房  小区环境好格局好  采光充足  楼层好,恒大御景湾三期 -森林公园商圈,2室1厅 | 91.6平米 | 南 北 | 精装 | 高楼层(共29层)  | 板塔结合,3人关注 / 5个月以前发布,83,"9,062元/平"
电梯房，大红本，大两居，精装；,北方三角洲 -胜利桥东,2室2厅 | 83.71平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,4人关注 / 6个月以前发布,75,"8,960元/平"
适合年轻人首套置业，追求品质小区的，万科物业,万科蓝山一期 -和平南路商圈,2室1厅 | 92.21平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,2人关注 / 3个月以前发布,98.5,"10,683元/平"
低楼层 通透小三居 有两票 出入方便 交通便利,建设路小学教委宿舍 -文庙商圈,3室1厅 | 54.92平米 | 东 西 | 简装 | 低楼层(共5层)  | 板楼,11人关注 / 一年前发布,40,"7,284元/平"
西岸大三居诚心低价出售，楼房位置佳随时可看,西岸南区 -千峰南路商圈,4室2厅 | 161.54平米 | 南 北 | 简装 | 低楼层(共27层)  | 板塔结合,8人关注 / 5个月以前发布,130,"8,048元/平"
肿瘤医院宿舍 大红本现房 支持公积金和商贷 业主急售,肿瘤医院宿舍 -肿瘤医院商圈,3室2厅 | 121.85平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 7个月以前发布,89,"7,305元/平"
舒适大三居。诚心出售。精装修 楼层好,龙城天悦 -南站机场商圈,3室2厅 | 122.25平米 | 南 北 | 精装 | 低楼层(共14层)  | 板楼,2人关注 / 7个月以前发布,132,"10,798元/平"
东大盛世华庭 三墙路 电梯房 大红本 可按揭,东大盛世华庭 -三墙路,3室2厅 | 144.28平米 | 南 北 | 毛坯 | 中楼层(共19层)  | 板楼,15人关注 / 一年前发布,128,"8,872元/平"
儿童公园东门 南北2居 校尉营 小区可停车,皇华馆住宅小区 -柳巷商圈,2室1厅 | 53.61平米 | 南 北 | 其他 | 高楼层(共5层)  | 塔楼,1人关注 / 1个月以前发布,40,"7,462元/平"
荣兴天顺高层两室产权证满两年有两票看房方便,荣兴天顺 -太钢商圈,2室1厅 | 96.38平米 | 南 北 | 简装 | 高楼层(共28层)  | 塔楼,1人关注 / 4个月以前发布,67.3,"6,983元/平"
三居大红本 户型好 诚心出售 看房方便,中元小区 -敦化坊商圈,4室1厅 | 112.86平米 | 南 西 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 8个月以前发布,95,"8,418元/平"
小东门，建设路，新开南巷，大红本，电梯房,怡和熙園 -小东门,3室2厅 | 133.77平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,2人关注 / 8个月以前发布,158,"11,812元/平"
晋阳街，山针小区，65平米三室,山针小区 -南站机场商圈,3室1厅 | 65.31平米 | 南 北 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 一年前发布,49.9,"7,641元/平"
西山大红本   南北通透大两居  房东急售,佳通苑小区 -西山商圈,2室1厅 | 90.66平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,7人关注 / 一年前发布,66,"7,280元/平"
满五唯一中高楼层南北通透视野开阔有钥匙随时可以看房,上墩化坊小区 -肿瘤医院商圈,3室1厅 | 77.9平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,62.5,"8,024元/平"
国资委南站旁 板正毛坯 大红本 可贷款 业主诚心售卖,晋瑞苑 -南站机场商圈,4室1厅 | 175.94平米 | 南 北 | 毛坯 | 高楼层(共14层)  | 板楼,6人关注 / 6个月以前发布,154,"8,753元/平"
此房采光好，楼口公交站，交通发达，配套齐全！,北河湾铁路小区 -肿瘤医院商圈,2室1厅 | 62.56平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 6个月以前发布,36,"5,755元/平"
长风西街与和平南路，大红本满五，过户费用低，首付低,省六建小区 -和平南路商圈,2室1厅 | 52.45平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 4个月以前发布,38,"7,245元/平"
2000年浇筑房子，随时看房，大红本可贷款，中间楼层。,太师一附小宿舍 -文庙商圈,3室1厅 | 88.14平米 | 南 西 | 简装 | 中楼层(共7层)  | 塔楼,9人关注 / 一年前发布,153,"17,359元/平"
满二 中间楼层 不临街不挨火车道 精装修,太原万科城 -南站机场商圈,2室1厅 | 89.18平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,0人关注 / 1个月以前发布,119,"13,344元/平"
庆云街 唐明路 好楼层 看房方便 价格好,梧桐小区 -南站机场商圈,2室2厅 | 105.51平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,11人关注 / 一年前发布,82,"7,772元/平"
