标题,开发商,房子信息,发布信息,售价/万,单价
11层小高8楼西打头三室两卫 相当于毛坯 满二 随时看房,越秀星汇金沙 -北京中路,3室2厅 | 117.04平米 | 北 西南 | 简装 | 中楼层(共11层)  | 板楼,1人关注 / 7天以前发布,95,"8,117元/平"
电梯洋房 毛坯可随意装修 户型方正,中海国际社区 -科技大道,3室1厅 | 127.21平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,4人关注 / 一年前发布,150,"11,792元/平"
楼层好，视野宽阔，采光没有问题，配套齐全,福地隆城 -科技大道,3室2厅 | 94.57平米 | 南 北 | 其他 | 中楼层(共26层)  | 板楼,0人关注 / 一年前发布,100,"10,575元/平"
金桥澎湖湾，中高楼层，全明户型。,金桥澎湖湾 -北京中路,2室2厅 | 85.2平米 | 南 西 | 其他 | 高楼层(共18层)  | 板楼,0人关注 / 9个月以前发布,98,"11,503元/平"
改善四居室，不临街不靠路，楼层适中视野采光好小高层,碧海云天 -碧海云天,4室2厅 | 178.49平米 | 南 北 | 精装 | 低楼层(共12层)  | 板楼,124人关注 / 11个月以前发布,195,"10,925元/平"
急售府前片，金山小区精装修三室朝阳。,金山小区 -莱阳市,3室2厅 | 132.66平米 | 南 北 | 其他 | 低楼层(共11层)  | 板塔结合,8人关注 / 一年前发布,75.8,"5,714元/平"
满五年，南北通透，采光充足，看房方便,三和星海花园 -碧海云天,3室2厅 | 122.23平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,16人关注 / 一年前发布,160,"13,091元/平"
三室一厅一厨一卫，精装修，拎包入住！,亚泰兰海公馆 -蓬莱市,3室1厅 | 89.59平米 | 南 北 | 精装 | 高楼层(共27层)  | 板楼,3人关注 / 一年前发布,68.9,"7,691元/平"
高楼层 好采光 户型设计动静分离格局很好 位置很好,天马相城四期 -万科城,3室2厅 | 189.34平米 | 南 北 | 其他 | 高楼层(共30层)  | 板楼,15人关注 / 一年前发布,270,"14,261元/平"
天马栈桥旁 豪景苑 大三居 中间楼层 满2 看房方便,天马相城二期 -万科城,3室2厅 | 154.96平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,3人关注 / 一年前发布,225,"14,520元/平"
金海名园精装修户型好大三居随时可看,金海名园 -科技大道,3室2厅 | 117.81平米 | 南 北 | 其他 | 中楼层(共28层)  | 板楼,26人关注 / 一年前发布,152,"12,903元/平"
富豪西苑 三居室 东打头 南北通透 采光充足 多层,富豪西苑 -富豪,4室2厅 | 126.74平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,7人关注 / 一年前发布,105,"8,285元/平"
金海名园3室2厅 1楼 小区楼间距大,金海名园 -科技大道,3室2厅 | 147.6平米 | 南 北 | 其他 | 低楼层(共30层)  | 板楼,1人关注 / 7个月以前发布,150,"10,163元/平"
海晟，机关家属楼，复式楼层，业主诚售,海晟花园 -万科城,5室2厅 | 228.45平米 | 南 北 | 其他 | 高楼层(共22层)  | 板楼,5人关注 / 一年前发布,259,"11,338元/平"
中海国际社区 2室1厅 南 北,中海国际社区 -科技大道,2室1厅 | 95平米 | 南 北 | 其他 | 低楼层(共34层)  | 板楼,0人关注 / 9个月以前发布,90,"9,474元/平"
海景大宅 三室二厅二卫 采光优良 亲海不临海,天和静海苑 -黄河路,3室2厅 | 138.56平米 | 南 北 | 精装 | 高楼层(共29层)  | 板楼,17人关注 / 一年前发布,165,"11,909元/平"
精装修的房子，拎包入住，楼层好采光好可看海,华明星海湾 -黄河路,3室2厅 | 107.47平米 | 南 北 | 其他 | 低楼层(共23层)  | 板楼,21人关注 / 一年前发布,181.5,"16,889元/平"
海滨假日花园捡漏房 可看海 单价一万出头,振华海滨假日花园 -黄河路,3室1厅 | 181.81平米 | 西南 北 | 其他 | 低楼层(共30层)  | 板楼,12人关注 / 一年前发布,185,"10,176元/平"
德尚世家上品 3室1厅 南 北,德尚世家上品 -三滩社区,3室1厅 | 156.3平米 | 南 北 | 其他 | 低楼层(共27层)  | 板楼,11人关注 / 一年前发布,195,"12,477元/平"
鑫发小区带小棚一梯两户通透户型通透,鑫发小区 -刘家台,2室2厅 | 81.34平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,6人关注 / 一年前发布,71,"8,729元/平"
中建海景房，小高层户型格局好，视野好采光好,中建悦海和园 -北京中路,3室3厅 | 138.85平米 | 南 北 | 其他 | 中楼层(共17层)  | 板楼,5人关注 / 9个月以前发布,203,"14,621元/平"
海天雅筑 4室2厅 南 北,海天雅筑 -科技大道,4室2厅 | 159.36平米 | 南 北 | 其他 | 中楼层(共28层)  | 板楼,1人关注 / 6个月以前发布,150,"9,413元/平"
无连廊中海国际锦城高楼层纯南北通透可看海精装修未住,中海国际社区 -科技大道,3室2厅 | 97.81平米 | 南 北 | 精装 | 高楼层(共31层)  | 板楼,20人关注 / 一年前发布,105,"10,736元/平"
中海国际社区 精装未住 全明户型 三居室 带车位,中海国际社区 -科技大道,3室2厅 | 98.62平米 | 南 北 | 其他 | 中楼层(共33层)  | 板楼,5人关注 / 一年前发布,100,"10,140元/平"
晨光小区 多层 一楼 带院 小 学中 学 商场*市,晨光小区(开发区) -德胜,3室2厅 | 104.63平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,28人关注 / 一年前发布,91.6,"8,755元/平"
振华海滨假日 南北通透采光好 一线海景房,振华海滨假日花园 -黄河路,3室1厅 | 216.62平米 | 南 西 北 | 其他 | 低楼层(共27层)  | 板楼,10人关注 / 一年前发布,258,"11,911元/平"
视野开阔，采光好，精装南北通透三居室，看房预约,初家小区 -迎春大街,3室1厅 | 85平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,10人关注 / 一年前发布,80,"9,412元/平"
金桥房源，两居，凤凰楼层拎包入住，看房有钥匙方便,金桥澎湖湾 -北京中路,2室2厅 | 84.05平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,78,"9,281元/平"
打头的户型，精装修全天采光，公 摊低，总高11层的,青桦逸景 -高新区周边,3室1厅 | 125.58平米 | 南 北 | 其他 | 高楼层(共11层)  | 板楼,2人关注 / 6个月以前发布,110,"8,760元/平"
中粮朗云 满二无大税 精装三室,中粮朗云 -高级中学,3室2厅 | 102.54平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,7人关注 / 8个月以前发布,155,"15,117元/平"
电业局低楼层，三居室，精装可拎包入住,电业局住宅楼 -工商大街,3室2厅 | 93.44平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,50,"5,352元/平"
满五 低楼层 南北通透三居  *配套齐全,丹阳小区 -德胜,3室2厅 | 98平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,2人关注 / 一年前发布,105,"10,715元/平"
精装修，多年没住，拎包入住，啥都不动,杰座欧洲城 -工商大街,3室2厅 | 100平米 | 南 | 其他 | 低楼层(共17层)  | 板楼,0人关注 / 7个月以前发布,76.8,"7,680元/平"
业主诚意出售，衡山路万达商圈精选好房！,山水名园 -万达,2室2厅 | 89.67平米 | 南 | 其他 | 低楼层(共29层)  | 塔楼,9人关注 / 一年前发布,82,"9,145元/平"
新大陆花园+出行方便+产权明晰+看房方便+双南卧采光好,新大陆花园 -新桥,3室1厅 | 84.08平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,1人关注 / 3个月以前发布,74,"8,802元/平"
高新区 精装修房子  户型方正满2年 孩子念书自住之选,博源名都 -高新区周边,2室2厅 | 94.89平米 | 南 | 其他 | 中楼层(共28层)  | 板楼,18人关注 / 一年前发布,68,"7,167元/平"
南洪街装修好房，高楼层，视野好，位置好，出行方便,掖平街 -三水,2室1厅 | 65.86平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 7个月以前发布,58.6,"8,898元/平"
精装 地下车位  三居室  满两年  看房方便,中南熙悦 -万科城,3室2厅 | 115.3平米 | 南 北 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,136,"11,796元/平"
仁里街 采光佳，南北通透 出行便利，马赛克,仁里街 -文化路,3室2厅 | 72.65平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 一年前发布,72,"9,911元/平"
富力湾，精装修南向户型，看房方便,富力湾 -北京中路,2室2厅 | 81.68平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,26人关注 / 一年前发布,86,"10,529元/平"
此房是2012年框架房 南北通透 层采光好 市证可贷款,玺萌橘子洲 -只楚,3室2厅 | 146.62平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 塔楼,2人关注 / 一年前发布,115,"7,844元/平"
金海名园 4室2厅 南 北,金海名园 -科技大道,4室2厅 | 204平米 | 南 北 | 其他 | 高楼层(共30层)  | 板楼,2人关注 / 10个月以前发布,330,"16,177元/平"
东打头，三居室 ，全明户型，视野好,海滨花园小区梓林街 -后七夼,3室2厅 | 82.87平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,9人关注 / 一年前发布,110,"13,274元/平"
南山世纪华庭4居室，海景房，落地窗,南山世纪华庭 -大学城,4室2厅 | 220.69平米 | 南 北 | 其他 | 中楼层(共32层)  | 板楼,4人关注 / 11个月以前发布,199,"9,018元/平"
此房是多层的，楼层适中，南北通透，户型好,富豪花园 -富豪,2室2厅 | 73.49平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 一年前发布,73,"9,934元/平"
南北通透，落地窗，三居两卫精装,南山世纪华庭 -大学城,3室1厅 | 130.03平米 | 南 北 | 精装 | 低楼层(共28层)  | 板楼,17人关注 / 一年前发布,119,"9,152元/平"
栖里凤台，经典耳朵户型，南北通厅~,栖里凤台山庄 -万达,3室1厅 | 138.8平米 | 南 北 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 3个月以前发布,178,"12,825元/平"
德尚世家上品 4室2厅 南 北,德尚世家上品 -三滩社区,4室2厅 | 159.99平米 | 南 北 | 其他 | 低楼层(共17层)  | 板楼,3人关注 / 一年前发布,200,"12,501元/平"
万科城二期小高层一梯两户好楼层有钥匙满2年,万科城 -万科城,3室2厅 | 117.8平米 | 南 北 | 简装 | 中楼层(共19层)  | 板楼,23人关注 / 5个月以前发布,125,"10,612元/平"
福鑫家园 精装3室 打头房 南北通透 满五不唯一,福鑫家园 -刘家台,3室1厅 | 74.51平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,3人关注 / 5个月以前发布,74,"9,932元/平"
看海效果很好，南北通透采光好，户型方正,振华海滨假日花园 -黄河路,3室2厅 | 216.1平米 | 南 北 西 | 其他 | 高楼层(共27层)  | 板楼,13人关注 / 一年前发布,280,"12,957元/平"
中海国际一期3室2厅2卫  耳朵户型 中间楼层 豪 华装修,中海国际社区 -科技大道,3室2厅 | 109.72平米 | 南 北 | 其他 | 中楼层(共34层)  | 板楼,1人关注 / 4个月以前发布,129.8,"11,831元/平"
视野宽阔、采光充足、精装修 拎包入住,越秀星汇金沙 -北京中路,4室1厅 | 94.26平米 | 南 北 | 简装 | 低楼层(共34层)  | 板楼,42人关注 / 一年前发布,86,"9,124元/平"
万达商圈，一楼带院，业主自住装修，诚心出售,融科林语 -万达,2室1厅 | 94.54平米 | 南 北 | 其他 | 低楼层(共11层)  | 塔楼,1人关注 / 3个月以前发布,133,"14,069元/平"
融科林语 精装修 三室加书房 小区youhui的一套,融科林语 -万达,4室2厅 | 135.51平米 | 南 北 | 其他 | 低楼层(共28层)  | 板楼,10人关注 / 4个月以前发布,170,"12,546元/平"
急售 急售 融科林语 精装修 三室户型 证满二看房方便,融科林语 -万达,3室1厅 | 87.04平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,5人关注 / 一年前发布,106.3,"12,213元/平"
温馨佳苑 6楼 110平  49万,温馨佳苑 -莱阳市,3室2厅 | 109.01平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,3人关注 / 4个月以前发布,49,"4,496元/平"
电梯洋房采光好，视野宽。楼间距大。环境好,金地格林郡 -莱山周边,3室2厅 | 147.5平米 | 南 北 | 其他 | 低楼层(共5层)  | 板楼,5人关注 / 一年前发布,256,"17,356元/平"
龙湖紫云台2.0下叠拼别墅，好位置 打头大院子采光好,龙湖紫云台2.0 -龙湖,4室2厅 | 142.97平米 | 南 北 西 | 毛坯 | 下叠(共4层)  | 板楼 | 叠拼别墅 ,2人关注 / 一年前发布,198,"13,850元/平"
芝罘南山路+17年精装修一梯两户，卫生间明窗,迎祥路 -厚安,3室1厅 | 86.45平米 | 北 南 | 其他 | 高楼层(共5层)  | 板楼,1人关注 / 3个月以前发布,194,"22,441元/平"
清泉寨，南北通透三居室，四楼，装修可用，大阳台,清泉寨莱山镇机关宿舍楼 -大学城,3室2厅 | 84.44平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,12人关注 / 一年前发布,84.5,"10,008元/平"
葡醍海湾南向独门独院别墅   带花园带双车位,龙湖葡醍海湾 -龙湖,4室2厅 | 175.82平米 | 西南 北 | 其他 | 低楼层(共3层)  | 板楼,10人关注 / 5个月以前发布,280,"15,926元/平"
东上海赋北排一线海景 有车位 高楼层  毛坯改造空间大,鲁花东上海赋 -后七夼,4室1厅 | 235.49平米 | 南 北 | 其他 | 高楼层(共17层)  | 板楼,3人关注 / 7个月以前发布,558,"23,696元/平"
嵛景华城 小高层东打头三室，通透满两年，中间楼层,嵛景华城 -福莱山公园,3室2厅 | 98.77平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,5人关注 / 8个月以前发布,92,"9,315元/平"
交通便利 购物方便 复式结构 采光充足,海天景苑(开发区) -福莱山公园,4室1厅 | 120.1平米 | 南 | 其他 | 中楼层(共19层)  | 塔楼,10人关注 / 一年前发布,110,"9,160元/平"
南向采光好， 长江路佳世客*，地段繁华，交通便利,海天景苑(开发区) -福莱山公园,2室2厅 | 58.29平米 | 南 | 其他 | 高楼层(共17层)  | 塔楼,9人关注 / 一年前发布,49.9,"8,561元/平"
嵛景华城  打头房  中间楼层  采光好,嵛景华城 -福莱山公园,3室2厅 | 102.13平米 | 南 北 | 简装 | 中楼层(共23层)  | 板楼,2人关注 / 一年前发布,120,"11,750元/平"
此房满两年  中间楼层   东打头 南北通透,海信依云小镇 -福莱山公园,3室2厅 | 141.45平米 | 南 北 | 其他 | 中楼层(共22层)  | 板楼,6人关注 / 一年前发布,120,"8,484元/平"
嵛景华城 3室2厅 南 西 北,嵛景华城 -福莱山公园,3室2厅 | 128.18平米 | 南 西 北 | 其他 | 中楼层(共23层)  | 板楼,5人关注 / 一年前发布,118,"9,206元/平"
依云小镇 精装两室 楼层好 视野好 采光充足,海信依云小镇 -福莱山公园,2室2厅 | 102.12平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 9个月以前发布,110,"10,772元/平"
紫金花园电梯房，三南卧，空间很大居住舒适度高,紫金花园 -鱼鸟河,3室2厅 | 135.33平米 | 南 北 | 毛坯 | 低楼层(共12层)  | 板楼,4人关注 / 一年前发布,80,"5,912元/平"
金光小区 毛坯非顶楼 南北通透  采光无遮挡,金光小区西区 -万达,3室1厅 | 85.33平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,75,"8,790元/平"
中粮朗云+精装三居室+打头房+满2+带小棚,中粮朗云 -高级中学,3室2厅 | 103.66平米 | 南 北 | 精装 | 高楼层(共25层)  | 板楼,24人关注 / 一年前发布,149.5,"14,423元/平"
鲁东大学旁 精装三居 拎包入住 视野采光好 有钥匙,上林苑 -世回尧,3室1厅 | 72.44平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,60,"8,283元/平"
凤凰台路与楚凤一街交叉口集中供暖民水民电,世嘉岭秀 -凤凰台,3室2厅 | 129.94平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板塔结合,7人关注 / 一年前发布,129,"9,928元/平"
多层产品，视野好采光好，南北通透。.,惠景文园 -松霞,3室2厅 | 118.69平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,6人关注 / 3个月以前发布,92,"7,752元/平"
养马岛南小区是总高8层的电梯洋房低密度品质三局,华岳西丽海岸 -龙湖,3室2厅 | 139.59平米 | 南 | 其他 | 高楼层(共8层)  | 板楼,3人关注 / 一年前发布,112,"8,024元/平"
融科林语 南北通透 中上层 采光好 全明户型上 学方便,融科林语 -万达,2室1厅 | 97.91平米 | 南 北 | 其他 | 中楼层(共32层)  | 板楼,6人关注 / 一年前发布,125,"12,767元/平"
东单元东户，房产证满五年，交通便利,东盛山庄 -莱阳市,4室2厅 | 140.82平米 | 南 北 | 其他 | 高楼层(共7层)  | 板塔结合,7人关注 / 一年前发布,62,"4,403元/平"
华明星海湾 三开间朝南，中间楼层，毛坯房 采光好,华明星海湾 -黄河路,3室2厅 | 100.66平米 | 南 北 | 其他 | 中楼层(共34层)  | 板楼,54人关注 / 一年前发布,146,"14,505元/平"
臻悦府高楼层，精装修，三室户型，电梯入户,越秀臻悦府 -万科城,3室2厅 | 112.59平米 | 南 北 | 其他 | 高楼层(共18层)  | 板楼,3人关注 / 8个月以前发布,160,"14,211元/平"
怡海翠庭 天然氧吧 多层洋房4加阁 可看海 大露台 毛坯,怡海翠庭 -黄河路,4室2厅 | 254.97平米 | 南 北 | 其他 | 高楼层(共4层)  | 板楼,4人关注 / 一年前发布,380,"14,904元/平"
此房是2009年框架房，南北通透  大三居 市证可贷款,万光希望家园 -只楚,3室2厅 | 91.67平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,80,"8,727元/平"
三站东方巴黎 小区里三楼 不临街  采光好  看房方便,东方巴黎 -三站,3室2厅 | 87.11平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,25人关注 / 一年前发布,93,"10,677元/平"
上海滩花园+装修3居+高楼层+*空调,大华上海滩花园 -三滩社区,3室2厅 | 115.23平米 | 东 南 北 | 精装 | 高楼层(共18层)  | 板楼,31人关注 / 一年前发布,135,"11,716元/平"
小区绿化高，出门就是风景区，适宜居住,中南山海湾 -开发区周边,3室1厅 | 111平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,5人关注 / 一年前发布,110,"9,910元/平"
精装修婚房，格局好，全明三室，交通便利,黄金家园 -北京中路,3室1厅 | 96.26平米 | 南 | 其他 | 低楼层(共27层)  | 塔楼,1人关注 / 8个月以前发布,84,"8,727元/平"
低楼层，采光好，前后无遮挡。四室两厅。,佳隆花园 -世回尧,4室1厅 | 105平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,2人关注 / 11个月以前发布,120,"11,429元/平"
海信慧园西区 多层打头房 公摊小 采光无遮挡 看房方便,海信慧园西区 -高级中学,3室1厅 | 114.19平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,18人关注 / 一年前发布,152,"13,312元/平"
香格里拉，中间楼层，欢迎看房子,香格里拉花园 -万达,3室1厅 | 85平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 一年前发布,95,"11,177元/平"
盛世家园 100平 三居室 精装修 电梯房 价格可议,盛世家园(莱阳) -莱阳市,3室1厅 | 100.05平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 2个月以前发布,52,"5,198元/平"
锦绣新城三期 南北通透 一梯两户 户型方正,锦绣新城三期 -只楚,3室2厅 | 127.45平米 | 南 北 | 其他 | 低楼层(共11层)  | 塔楼,12人关注 / 一年前发布,118,"9,259元/平"
南北通透三阳卧 一梯两户  采光好  看房方便,金晖花园 -新桥,3室2厅 | 130.05平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,2人关注 / 5个月以前发布,95,"7,305元/平"
鼎城2008  南北通透 全明户型 采光好,鼎城2008 -只楚,2室2厅 | 86.24平米 | 南 北 | 其他 | 高楼层(共26层)  | 塔楼,4人关注 / 一年前发布,65,"7,538元/平"
鼎城2008 南北通透 采光好 户型方正 可商贷,鼎城2008 -只楚,3室2厅 | 131.91平米 | 南 北 | 其他 | 低楼层(共26层)  | 塔楼,0人关注 / 1个月以前发布,95,"7,202元/平"
封闭小区，户型格局方正，物业配套好，交通生活便利,万达公馆 -毓璜顶,3室2厅 | 144.09平米 | 南 北 | 精装 | 高楼层(共30层)  | 板楼,40人关注 / 一年前发布,340,"23,597元/平"
此房南北通透，楼层好，视野好，采光好。,阳光首院 -首院,3室2厅 | 103.08平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 4个月以前发布,145,"14,067元/平"
锦绣新城三期 南北通透 一梯两户 户型方正,锦绣新城三期 -只楚,3室2厅 | 127.45平米 | 南 北 | 其他 | 低楼层(共11层)  | 塔楼,12人关注 / 一年前发布,118,"9,259元/平"
满两年无大税精装婚房带地下车位,万达华府 -万达,3室2厅 | 107.02平米 | 南 北 | 其他 | 中楼层(共32层)  | 板楼,11人关注 / 一年前发布,175,"16,353元/平"
开发区中南叠拼复式带阁楼南北通透环境优美,中南山海湾 -开发区周边,3室2厅 | 101.75平米 | 南 北 | 其他 | 高楼层(共4层)  | 板楼,16人关注 / 一年前发布,88,"8,649元/平"
越秀臻悦府 精装修 楼栋位置好 楼层好,越秀臻悦府 -万科城,4室1厅 | 132.05平米 | 南 北 | 其他 | 低楼层(共18层)  | 板楼,3人关注 / 一年前发布,180,"13,632元/平"
鼎城2008 南北通透 采光好 户型方正 可商贷,鼎城2008 -只楚,3室2厅 | 131.91平米 | 南 北 | 其他 | 低楼层(共26层)  | 塔楼,0人关注 / 1个月以前发布,95,"7,202元/平"
奥林峰情 2室2厅 南 北,奥林峰情 -福海路,2室2厅 | 74.05平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,65,"8,778元/平"
河滨小区 2室2厅 南 北,河滨小区 -松霞,2室2厅 | 79.04平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 9个月以前发布,62,"7,845元/平"
绿城诚园 法式洋房顶加阁  小区靠前排  可以看海,祥隆绿城诚园 -迟家,5室3厅 | 277.85平米 | 南 北 | 其他 | 高楼层(共4层)  | 板楼,2人关注 / 9个月以前发布,800,"28,793元/平"
此房公摊小，满五年了，利用面积大,金光小区东区 -万达,2室2厅 | 80平米 | 南 | 其他 | 高楼层(共5层)  | 板楼,7人关注 / 一年前发布,64,"8,000元/平"
德尚世家上品 两梯两户五居室 三南卧南向客厅双卫,德尚世家上品 -三滩社区,5室1厅 | 191.74平米 | 南 北 | 其他 | 中楼层(共26层)  | 板楼,4人关注 / 一年前发布,248,"12,935元/平"
海晟花园，耳朵户型，满五唯一，含车位含小棚，有钥匙,海晟花园 -万科城,3室2厅 | 148平米 | 东 南 北 | 其他 | 低楼层(共11层)  | 板楼,15人关注 / 一年前发布,140,"9,460元/平"
海信慧园西区居家装修三居室，东西打头，中间楼层,海信慧园西区 -高级中学,3室2厅 | 107.17平米 | 南 北 | 其他 | 高楼层(共24层)  | 板塔结合,0人关注 / 8个月以前发布,130,"12,131元/平"
南北通透三阳卧 一梯两户  采光好  看房方便,金晖花园 -新桥,3室2厅 | 130.05平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,2人关注 / 5个月以前发布,95,"7,305元/平"
满两年，好楼层 ，带小棚。南北通透,柳林小区 -万科城,2室2厅 | 76.44平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,6人关注 / 7个月以前发布,64,"8,373元/平"
鼎城2008  南北通透 全明户型 采光好,鼎城2008 -只楚,2室2厅 | 86.24平米 | 南 北 | 其他 | 高楼层(共26层)  | 塔楼,4人关注 / 一年前发布,65,"7,538元/平"
海信慧园西区+居家装修三居室+西打头+中间楼层,海信慧园西区 -高级中学,3室1厅 | 107.75平米 | 南 北 | 精装 | 中楼层(共27层)  | 板塔结合,26人关注 / 一年前发布,121,"11,230元/平"
沿海社区，东打头南北三居室！采光很好,南山世纪华庭 -大学城,3室2厅 | 130.03平米 | 南 北 | 其他 | 低楼层(共28层)  | 板楼,12人关注 / 一年前发布,118,"9,075元/平"
福海路四居室  南北通透  带书房  改善房,东方华府 -福海路,4室2厅 | 137.94平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 塔楼,1人关注 / 2个月以前发布,120,"8,700元/平"
招商.马尔贝拉 墅质洋房 采光好 一线海景房,招商马尔贝拉 -北京中路,3室2厅 | 144.86平米 | 南 北 | 毛坯 | 7层  | 板楼,20人关注 / 7个月以前发布,157,"10,839元/平"
金光小区西区 2室2厅 南 北,金光小区西区 -万达,2室2厅 | 75.2平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,1人关注 / 4个月以前发布,66,"8,777元/平"
银河小区 3室2厅 南 北,银河小区 -松霞,3室2厅 | 92.3平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,68,"7,368元/平"
天马相城四期 2室2厅 南,天马相城四期 -万科城,2室2厅 | 101.49平米 | 南 | 其他 | 中楼层(共30层)  | 板楼,0人关注 / 3个月以前发布,100,"9,854元/平"
新小区 三室两卫 打头房 含家具家电,富力湾 -北京中路,3室2厅 | 118.25平米 | 南 北 | 其他 | 低楼层(共34层)  | 板楼,1人关注 / 一年前发布,110,"9,303元/平"
毓秀小区 中间楼层，东南向采光视野好，无遮挡,毓秀小区 -毓璜顶,4室2厅 | 127.81平米 | 东南 | 其他 | 低楼层(共33层)  | 塔楼,1人关注 / 1个月以前发布,310,"24,255元/平"
北四路富豪西苑 3室打头房 全明户型带阳台 卫生间带窗,富豪西苑 -富豪,3室2厅 | 94.65平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,5人关注 / 一年前发布,76,"8,030元/平"
(诚售)海信慧园 小高层满两年 中间层 看房随时 有钥匙,海信慧园 -高级中学,2室2厅 | 108.39平米 | 南 | 简装 | 中楼层(共18层)  | 板塔结合,25人关注 / 一年前发布,146,"13,470元/平"
新小区 配套成熟 小高层 东打头 宽楼间距,中粮朗云 -高级中学,3室2厅 | 101.83平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,32人关注 / 一年前发布,148,"14,535元/平"
此房满五唯一，税费各付，精装修可贷款,沙家庄村 -工商大街,3室1厅 | 65.35平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,3人关注 / 5个月以前发布,25.5,"3,903元/平"
此房南北通透，楼层好，视野好，采光好。,阳光首院 -首院,3室2厅 | 103.08平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 4个月以前发布,145,"14,067元/平"
富海新城一楼带南向车库 房子前后无遮挡 采光好,富海新城 -牟平振华,3室2厅 | 137.41平米 | 北 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,108,"7,860元/平"
碧桂园二期大平层 五室两厅三卫 毛胚房,蓬莱碧桂园二期 -蓬莱市,5室2厅 | 215平米 | 南 北 | 其他 | 低楼层(共27层)  | 板楼,2人关注 / 10个月以前发布,176,"8,187元/平"
福利莱小区 南北通透 户型方正 出行便利,福利莱小区 -福海路,3室2厅 | 109.1平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 8个月以前发布,75,"6,875元/平"
红果里+05年框架房+南北通透+采光好+双南卧,红果里 -新桥,2室2厅 | 69.42平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,68,"9,796元/平"
毛坯可随意装修满两年，中高楼层，看房有钥匙方便,金桥澎湖湾 -北京中路,3室2厅 | 102.45平米 | 南 北 西 | 其他 | 高楼层(共33层)  | 板楼,14人关注 / 一年前发布,83,"8,102元/平"
小高层，精装修，有车位，业主诚心出售,越秀星汇金沙 -北京中路,3室2厅 | 102.98平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,2人关注 / 6个月以前发布,117,"11,362元/平"
