标题,开发商,房子信息,发布信息,售价/万,单价
三居室，明室明厅 精装修南北通透 观景房,松林亲水湾 -新城区,3室2厅 | 157.78平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,38人关注 / 一年前发布,143,"9,064元/平"
绿园小区，步梯四楼，看房有钥匙，小税,绿源小区 -松山区,3室2厅 | 111.86平米 | 南 西 | 精装 | 7层  | 板楼,3人关注 / 一年前发布,73,"6,527元/平"
新华市委二院93年房三室南北通透楼龄新,市委二院小区 -红山区,3室1厅 | 85.9平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 2个月以前发布,53,"6,170元/平"
盛世嘉园B区 步梯二楼 明厅两室,盛世嘉园B区 -红山区,2室1厅 | 106.3平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,1人关注 / 一年前发布,80,"7,526元/平"
1小家属楼 67平 两室 2楼,一小家属楼（红山区） -红山区,2室1厅 | 67.2平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 一年前发布,53,"7,887元/平"
站前综合楼4楼   楼层好  采光好,站前综合楼 -红山区,2室0厅 | 50平米 | 西 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,19,"3,800元/平"
盛世嘉园B区 步梯二楼 明厅两室,盛世嘉园B区 -红山区,2室1厅 | 106.3平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,1人关注 / 一年前发布,80,"7,526元/平"
玫瑰园小区2006年经典户型，采光好，小税。,玫瑰园小区 -红山区,2室2厅 | 92.81平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 4个月以前发布,61,"6,573元/平"
房子南北通透明室明厅格局采光视野好随意装修看房随时,福润园 -松山区,2室2厅 | 112平米 | 南 北 | 简装 | 中楼层(共17层)  | 板楼,0人关注 / 5个月以前发布,82,"7,322元/平"
首地·红山郡 2室2厅 南,首地·红山郡 -新城区,2室2厅 | 105.24平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,7人关注 / 一年前发布,95,"9,027元/平"
六中家属楼   4楼   有装修   过户小税,六中家属楼 -红山区,2室1厅 | 78.2平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,4人关注 / 一年前发布,53,"6,778元/平"
盛世嘉园A区 电梯7楼 二幼 精装修 随时看房,盛世嘉园A区 -红山区,2室2厅 | 103.48平米 | 南 | 简装 | 低楼层(共24层)  | 板楼,9人关注 / 一年前发布,67,"6,475元/平"
经典两室 精装 宽敞明亮 成熟商圈 赤峰南站200米内,站前小区(红山区) -红山区,2室1厅 | 103.85平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,56,"5,393元/平"
双阳两室  采光好  出行方便,玉龙家园(新城区) -新城区,2室1厅 | 62.64平米 | 南 | 简装 | 低楼层(共13层)  | 板楼,7人关注 / 8个月以前发布,53.2,"8,493元/平"
首付13万 盛世嘉园B区 经典三居室 小税,盛世嘉园B区 -红山区,3室2厅 | 115.69平米 | 南 北 | 简装 | 高楼层(共17层)  | 板楼,5人关注 / 一年前发布,88,"7,607元/平"
五楼 小面积 年限新 南北通透 两室 交通便利,春城商住楼（红山区） -红山区,2室1厅 | 63.1平米 | 南 北 | 简装 | 中楼层(共7层)  | 塔楼,0人关注 / 一年前发布,45.5,"7,211元/平"
此房满五唯一 中间楼层 南北通透 两室格局,北方药厂家属楼 -红山区,2室1厅 | 65.7平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 10个月以前发布,33,"5,023元/平"
小区成规模  楼层好  装修眼缘好,兴隆小区（红山区) -红山区,2室2厅 | 55.4平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 8个月以前发布,38,"6,860元/平"
明室明厅两室 无捆绑 中等装修 落地窗 钥匙看房,馨风雅居 -新城区,2室2厅 | 103.23平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,3人关注 / 一年前发布,82,"7,944元/平"
水榭花都  精装三室婚房 大三阳 落地窗 看房议价,金日怡景 -新城区,3室2厅 | 109.3平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,97,"8,875元/平"
玉龙家园步梯楼3楼，独立两室 中税 随时看房,玉龙家园(新城区) -新城区,2室1厅 | 53.98平米 | 北 | 简装 | 中楼层(共7层)  | 板楼,3人关注 / 一年前发布,48,"8,893元/平"
：王.府花园一期，明厅独立2居室，市值幼儿园，,王府花园一期 -新城区,2室2厅 | 94.03平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,6人关注 / 一年前发布,85,"9,040元/平"
禾勰嘉苑 精装修 明室明厅格局 视野开阔,禾勰嘉苑 -松山区,2室2厅 | 94.2平米 | 南 北 | 简装 | 中楼层(共23层)  | 板楼,14人关注 / 6个月以前发布,65,"6,901元/平"
中昊嘉苑精装2室 汽车站后身 高铁站,中昊嘉苑AB座商住楼 -松山区,2室1厅 | 93.06平米 | 南 北 | 精装 | 高楼层(共24层)  | 板楼,6人关注 / 一年前发布,65,"6,985元/平"
步梯楼 不捆绑  水上公园，交通便利,临河小区 -松山区,2室2厅 | 67.36平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,45,"6,681元/平"
此房2室南北通透  单价低  步梯4楼 设施齐全,水榭花都B区 -新城区,2室2厅 | 78.05平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,4人关注 / 4个月以前发布,48,"6,150元/平"
双阳两室户型 独立卧室 精装修两居室 业主诚信出售,健康家园 -桥北新区,2室2厅 | 70.29平米 | 南 | 简装 | 中楼层(共17层)  | 板楼,1人关注 / 8个月以前发布,52,"7,398元/平"
百合新城 精装修 双阳卧 边户 无捆绑,百合新城北区 -松山区,2室2厅 | 93.65平米 | 南 北 | 精装 | 中楼层(共7层)  | 塔楼,12人关注 / 一年前发布,69.8,"7,454元/平"
步梯三楼中税，看房方便，老人安居，适合陪读,房产小区 -松山区,2室1厅 | 60.38平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,36,"5,963元/平"
大四室 南北通透 毛坯房 无捆绑 视野采光杠杠的,龙腾国际 -桥北新区,4室2厅 | 158.91平米 | 南 北 | 毛坯 | 低楼层(共30层)  | 板塔结合,0人关注 / 一年前发布,140,"8,811元/平"
阳光希望家园三期 3室2厅 南 北,阳光希望家园三期 -桥北新区,3室2厅 | 109.85平米 | 南 北 | 简装 | 高楼层(共11层)  | 板楼,0人关注 / 一年前发布,80,"7,283元/平"
三室明厅格局，采光充足，视野开阔,金石矿业广场（金石明珠） -新城区,3室2厅 | 105.25平米 | 南 北 | 简装 | 高楼层(共28层)  | 板楼,6人关注 / 4个月以前发布,55,"5,226元/平"
盛世嘉园   105平  2室  明厅,盛世嘉园B区 -红山区,2室2厅 | 105.68平米 | 南 北 | 简装 | 中楼层(共7层)  | 塔楼,10人关注 / 一年前发布,77,"7,287元/平"
经 典三室，南北通透，出行购物方便，车位充足。,银河花园二期 -松山区,3室2厅 | 97.7平米 | 南 北 | 简装 | 低楼层(共15层)  | 板楼,6人关注 / 一年前发布,79.8,"8,168元/平"
香格里拉国际城 2室2厅 南,香格里拉国际城 -松山区,2室2厅 | 85.79平米 | 南 | 简装 | 低楼层(共28层)  | 板塔结合,0人关注 / 一年前发布,64.6,"7,531元/平"
08年步梯四楼，南北通透大窗户采光好,运输小区 -红山区,2室2厅 | 85.13平米 | 南 北 | 精装 | 中楼层(共7层)  | 塔楼,0人关注 / 7个月以前发布,77,"9,045元/平"
钢铁街 建材路 南北通透三居室 适合居住 总价不高,建材路建材家属楼 -红山区,3室1厅 | 68.98平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,35,"5,074元/平"
精装修   南北通透    使用面积大  看房提前联系,物资局家属楼 -红山区,2室0厅 | 52.16平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,15人关注 / 一年前发布,28,"5,369元/平"
04年红星组团楼龄新采光刺眼布局合理眼缘好小税无抵押,红星组团 -红山区,2室1厅 | 79.01平米 | 南 北 | 简装 | 中楼层(共7层)  | 塔楼,5人关注 / 8个月以前发布,47.3,"5,987元/平"
前排观景     医院：妇幼保健所 中蒙医院 松山医院,永业广场商住楼 -松山区,2室1厅 | 107.76平米 | 南 北 | 简装 | 中楼层(共33层)  | 塔楼,2人关注 / 一年前发布,69,"6,404元/平"
康居家园 双阳两室  边户  小税 钥匙看房,康居家园 -松山区,2室1厅 | 77.37平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,9人关注 / 10个月以前发布,46,"5,946元/平"
小面积，两室，好楼层，看房方便,阳光丽景小区 -红山区,2室2厅 | 64.74平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,0人关注 / 6个月以前发布,36,"5,561元/平"
单价6800多 非顶楼  双阳卧室 卫生间有窗户  小税,向阳一组团 -松山区,2室1厅 | 71.04平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,2人关注 / 一年前发布,47,"6,616元/平"
双阳格局 采光好 总价低 看房随时,红星小区 -红山区,2室1厅 | 55.54平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 7个月以前发布,22,"3,962元/平"
金宇国际C区 小高层3室 单价6900,金宇国际C区 -桥北新区,3室2厅 | 92.73平米 | 南 北 | 简装 | 高楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,64,"6,902元/平"
小区位置好  南北通透  经典三室   双阳卧,电业清河小区 -红山区,3室2厅 | 95平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,60,"6,316元/平"
长青小区 总价低，位置佳长寿楼层采光好，看房有钥匙,长青小区 -红山区,2室1厅 | 61.45平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,39.8,"6,477元/平"
双阳卧室 中等装修 钻石楼层 采光好 看房提前联系,金宇国际B区 -桥北新区,3室1厅 | 98.7平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,75,"7,599元/平"
中等装修   双阳卧室    随时看房   诚心出售,向阳花园五组 -松山区,2室1厅 | 84.62平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 一年前发布,65,"7,682元/平"
永巨小区一组团  1993年房,永巨小区一组团 -红山区,2室1厅 | 54.92平米 | 东 北 | 简装 | 高楼层(共7层)  | 板楼,4人关注 / 一年前发布,33,"6,009元/平"
新华小区 低楼层 三居室 业主诚心出售 看房方便,新华小区(红山区) -红山区,3室2厅 | 108.18平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 一年前发布,70,"6,471元/平"
精装修 南北通透两居室 视野开阔采光好！,老钟楼小区 -红山区,2室1厅 | 53.14平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,7人关注 / 一年前发布,24,"4,517元/平"
润峰小区 66平 两室 4楼 首2万 南北通透 97年房,润峰小区 -红山区,2室1厅 | 66.19平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 一年前发布,41,"6,195元/平"
小区已改造 适合过度  月供低,铁南A区 -红山区,2室1厅 | 50.96平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,35,"6,869元/平"
宁澜花园 手富 8万 中层 两室格局 南北通透.,宁澜花园 -红山区,2室2厅 | 82.73平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,7人关注 / 6个月以前发布,56,"6,770元/平"
步梯2楼南北通透  经典户型 首付低 总价低,造纸厂家属院（哈达街） -红山区,2室1厅 | 78.29平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,38.5,"4,918元/平"
2000年房子，房主诚心卖房，精装修，眼缘好，出行便利,沈铁清雅小区 -红山区,2室1厅 | 89.1平米 | 南 北 | 精装 | 低楼层(共7层)  | 塔楼,0人关注 / 一年前发布,70,"7,857元/平"
前排采光好 户型方正 精装修 眼缘好,丰泽园小区 -松山区,2室2厅 | 97.12平米 | 南 | 精装 | 中楼层(共24层)  | 塔楼,1人关注 / 9个月以前发布,77.7,"8,001元/平"
4500元 1楼  小区改造 适合老人 挨着带状公园,东安小区 -红山区,2室1厅 | 55.55平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,4人关注 / 一年前发布,25,"4,501元/平"
民族小区  5层 78.92平 可贷款,民族小区(五道街) -红山区,2室1厅 | 78.92平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 3个月以前发布,50,"6,336元/平"
新华小区(红山区) 2室1厅 南 北,新华小区(红山区) -红山区,2室1厅 | 68.97平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,7人关注 / 一年前发布,46,"6,670元/平"
小区位于火花路与长青街交汇处 整体小区已经改造,长青小区 -红山区,2室1厅 | 56.18平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 7个月以前发布,29.5,"5,251元/平"
百合国际，明厅三室，精装，建议实地看房,毅刚·百合国际 -红山区,3室1厅 | 125.84平米 | 南 北 | 精装 | 中楼层(共23层)  | 塔楼,21人关注 / 一年前发布,113.5,"9,020元/平"
新华小区，精装修，三阳格局，拎包入住，适合老人,新华小区(红山区) -红山区,2室1厅 | 50.26平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 一年前发布,27,"5,373元/平"
温馨家园 南北通透 卫生间带窗户 采光好,温馨家园(新城区) -新城区,2室1厅 | 79.87平米 | 南 北 | 简装 | 中楼层(共11层)  | 板楼,8人关注 / 4个月以前发布,69,"8,640元/平"
新华小区 小户型两居室 边户采光好 刚需过度必选,新华小区(红山区) -红山区,2室1厅 | 56.93平米 | 东 南 北 | 简装 | 中楼层(共4层)  | 板楼,1人关注 / 8个月以前发布,35.5,"6,236元/平"
新华小区 低楼层 三居室 业主诚心出售 看房方便,新华小区(红山区) -红山区,3室2厅 | 108.18平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 一年前发布,70,"6,471元/平"
润峰小区 66平 两室 4楼 首2万 南北通透 97年房,润峰小区 -红山区,2室1厅 | 66.19平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 一年前发布,41,"6,195元/平"
皇，家帝苑二期、毛坯房源、三室双卫东边户,皇家帝苑D区 -新城区,3室2厅 | 182.37平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,3人关注 / 一年前发布,175,"9,596元/平"
已经改造了。随时能看房有钥匙....,红星社区 -红山区,2室1厅 | 53.37平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,24,"4,497元/平"
2006年  怡康雅居 两室  过户小税,怡康雅居 -红山区,2室2厅 | 73.75平米 | 南 北 | 简装 | 高楼层(共7层)  | 板塔结合,1人关注 / 8个月以前发布,56,"7,594元/平"
龙福郡110平米九楼复式三室两厅两卫毛坯有车位小棚,龙福郡 -松山区,3室2厅 | 110.67平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板楼,2人关注 / 一年前发布,120,"10,844元/平"
金宇国际    12楼        客厅有窗户,金宇国际C区 -桥北新区,3室1厅 | 92.75平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,4人关注 / 3个月以前发布,65,"7,009元/平"
造纸厂家属楼经典2室，通透户型小税无捆绑,造纸厂家属院（哈达街） -红山区,2室1厅 | 59.02平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,40,"6,778元/平"
钓鱼台A区 南北通透 两室  简单装修  过户小税,钓鱼台A区 -桥北新区,2室2厅 | 94.19平米 | 南 北 | 简装 | 低楼层(共17层)  | 板楼,0人关注 / 一年前发布,71,"7,538元/平"
阳光希望四期  10楼 南北通透明厅出售,阳光希望家园四期 -桥北新区,2室2厅 | 88.37平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,1人关注 / 3个月以前发布,64,"7,243元/平"
经典三室格局，户型方正，精装修，无遮挡,2013旧小区改造工程糖厂家属楼 -松山区,3室1厅 | 66.78平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 5个月以前发布,46,"6,889元/平"
玉龙家园 小税无捆绑 看房随时 价钱可议 阳面采光充足,玉龙家园(新城区) -新城区,2室1厅 | 55.55平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 10个月以前发布,45,"8,101元/平"
高品质装修    3楼     诚心出售,蒙中小区 -红山区,2室2厅 | 64.74平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 3个月以前发布,43,"6,642元/平"
玉龙家园 楼层是4层  两室中间客厅  窗户大采光好,玉龙家园(新城区) -新城区,2室2厅 | 81.31平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,8人关注 / 一年前发布,60,"7,380元/平"
市委二院，三阳格局，小面积，总价低，配套齐全,市委二院小区 -红山区,2室1厅 | 50.82平米 | 南 | 简装 | 高楼层(共5层)  | 板楼,1人关注 / 一年前发布,23,"4,526元/平"
长青五金小区，2000年建成  长寿五楼 中等装修,长青五金小区 -红山区,2室2厅 | 80.39平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 10个月以前发布,53,"6,593元/平"
昭乌达竹园，间装两室，2楼，03年，建议实地看房,昭乌达竹园 -红山区,2室1厅 | 70.85平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 4个月以前发布,42.5,"5,999元/平"
运输小区 小区环境好 精装修 双阳格局 南北通透,运输小区 -红山区,2室2厅 | 85.56平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 一年前发布,61,"7,130元/平"
13年房三室无捆绑，随时看房。拎包入住...,润泰家园 -红山区,3室2厅 | 108.15平米 | 南 北 | 精装 | 中楼层(共14层)  | 塔楼,1人关注 / 9个月以前发布,61,"5,641元/平"
赤铁工务小区 2室1厅 南,赤铁工务小区 -红山区,2室1厅 | 48.81平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 一年前发布,22,"4,508元/平"
滨河家园（北环路） 2室2厅 东 西,滨河家园（北环路） -红山区,2室2厅 | 77.03平米 | 东 西 | 简装 | 中楼层(共7层)  | 板楼,3人关注 / 一年前发布,63,"8,179元/平"
三中家属楼 步梯中层 南北两室 离三中100米内,三中家属楼 -红山区,2室1厅 | 68.16平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,54,"7,923元/平"
二中家属楼 精装两室 南北通透 随时看房 急 售,二中小区 -红山区,2室1厅 | 57.89平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 一年前发布,34,"5,874元/平"
南北通透 步梯3层 视野开阔 交通便利，精装修,老清雅小区 -红山区,2室2厅 | 65.89平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,43,"6,527元/平"
园丁小区 1室0厅 南,园丁小区 -红山区,1室0厅 | 33.3平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 4天以前发布,27,"8,109元/平"
兴隆小区（红山区) 2室2厅 南 北,兴隆小区（红山区) -红山区,2室2厅 | 65.6平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,9人关注 / 一年前发布,47,"7,165元/平"
松北物资城 三居室  诚心出售  生活出行便捷,松北物资城 -松山区,3室1厅 | 108.79平米 | 东 西 | 简装 | 中楼层(共11层)  | 板塔结合,3人关注 / 一年前发布,46,"4,229元/平"
吉祥阳光新城 ，无捆绑，小税，随时看房,吉祥阳光新城I区 -新城区,2室1厅 | 62.94平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,8人关注 / 11个月以前发布,48,"7,627元/平"
富兴嘉城东区出售 电梯7楼   2室格局,富兴嘉城A区 -新城区,2室2厅 | 117平米 | 南 北 | 精装 | 中楼层(共13层)  | 板楼,1人关注 / 6个月以前发布,105,"8,975元/平"
长青五金 低总价两室 单价6开头 市医院附属医院 万悦,长青五金小区 -红山区,2室2厅 | 63.24平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,8人关注 / 8个月以前发布,35.5,"5,614元/平"
房子明室明厅格局，位置好，有简单装修,御景华庭 -松山区,2室1厅 | 96.28平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,0人关注 / 8个月以前发布,63,"6,544元/平"
：此房满二唯一电梯13楼，本小区单价z便宜一套,皇家丽景 -松山区,2室1厅 | 78.86平米 | 南 北 | 简装 | 高楼层(共18层)  | 板塔结合,15人关注 / 一年前发布,56,"7,102元/平"
此房满五唯一 南北通透格局 采光充足 配套设施齐全,虹桥丽景 -松山区,2室1厅 | 90.92平米 | 南 北 | 简装 | 低楼层(共20层)  | 板楼,1人关注 / 一年前发布,75,"8,250元/平"
此房格局方正、 格局、视野都好、无遮挡。,星雨华府一期 -松山区,2室2厅 | 90.29平米 | 南 | 简装 | 高楼层(共31层)  | 板楼,0人关注 / 5个月以前发布,61.2,"6,779元/平"
首附4万 09年房  南北通透 小面积,木兰小区 -松山区,2室2厅 | 74.92平米 | 南 北 | 简装 | 高楼层(共7层)  | 塔楼,0人关注 / 8个月以前发布,47,"6,274元/平"
书香庭苑，书香庭苑，房子是成品房，独立三室，,书香庭苑二期 -松山区,3室1厅 | 131.5平米 | 南 北 | 简装 | 低楼层(共26层)  | 板楼,2人关注 / 一年前发布,85,"6,464元/平"
百合新城 南北通透 好楼层 小税,百合新城北区 -松山区,2室2厅 | 64.15平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,9人关注 / 一年前发布,48.5,"7,561元/平"
前排观景  落地飘窗  南北通透 采光充足,香格里拉国际城 -松山区,3室1厅 | 115.38平米 | 南 北 | 简装 | 低楼层(共15层)  | 板楼,4人关注 / 一年前发布,89,"7,714元/平"
此房南北通透，视野开阔，采光充足，无捆绑，过户小税,木兰小区 -松山区,3室1厅 | 94.66平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,3人关注 / 一年前发布,70,"7,395元/平"
明室明厅   独立两室    楼层好   小区好,松北家园 -松山区,3室1厅 | 98.92平米 | 南 | 简装 | 中楼层(共18层)  | 板塔结合,1人关注 / 一年前发布,80,"8,088元/平"
步梯4楼  南北通透  3居室,农机局住宅楼 -松山区,3室2厅 | 89.34平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,51,"5,709元/平"
两室精装修，有大阳台，房证面积46平能用面积75平,运输小区 -红山区,2室2厅 | 46.03平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,2人关注 / 一年前发布,30,"6,518元/平"
此房诚心出售无遮挡，明厨明卫，南北通透。,向阳小区二组团 -松山区,3室2厅 | 85.92平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,53,"6,169元/平"
首付20万买明室明厅独立三室 无捆绑 采光不遮挡,水岸龙庭 -松山区,3室2厅 | 105.06平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板塔结合,1人关注 / 一年前发布,88,"8,377元/平"
5楼科海明珠 明厅独立2居室毛坯房,科海明珠 -松山区,2室1厅 | 102.87平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,1人关注 / 一年前发布,80,"7,777元/平"
"单价7600,南北通透卫生间眀窗，有钥匙随时看房",银河花园二期 -松山区,2室1厅 | 85.02平米 | 南 北 | 简装 | 低楼层(共18层)  | 板楼,1人关注 / 3个月以前发布,64,"7,528元/平"
低价出售清河花园4楼  格局好  随时可以看房,清河花园商住楼 -红山区,2室2厅 | 78.12平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 3个月以前发布,47,"6,017元/平"
步梯二楼，南北通透，过户小税，随时看房子,蓝山庭院西区 -松山区,2室1厅 | 72平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,56,"7,778元/平"
二中 4楼精装修三室飞机户型楼下停车方便,向阳安居小区 -松山区,3室2厅 | 79.4平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,55.5,"6,990元/平"
明厅三室，西边户，户型方正，采光好,向阳小区二组团 -松山区,3室2厅 | 116.45平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,68,"5,840元/平"
金域华城明厅三室  拎包入住  中税没有捆绑,中天金御华城 -松山区,3室1厅 | 99.6平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,8人关注 / 一年前发布,91,"9,137元/平"
百合新城独立两室 精，装。，。，,百合新城北区 -松山区,2室1厅 | 80.4平米 | 南 北 | 简装 | 高楼层(共7层)  | 塔楼,5人关注 / 一年前发布,56.9,"7,078元/平"
红星小区 采光无遮挡 两室格局 精装修 看房方便,红星小区 -红山区,2室1厅 | 55.46平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 8个月以前发布,28,"5,049元/平"
此房  南北  通透，视野   采光好,在水一方小区 -松山区,2室2厅 | 104.19平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板塔结合,7人关注 / 一年前发布,75,"7,199元/平"
此房南北通透，视野宽阔，采光充足，配套齐全，,农行家属院（昭君宾馆东） -红山区,3室1厅 | 90平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 一年前发布,46,"5,112元/平"
金和家园（四道街） 2室2厅 南 北,金和家园（四道街） -红山区,2室2厅 | 79.12平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,67,"8,469元/平"
无捆绑 楼层好 位置佳 阳面两室 落地大窗 随时看房,阳光希望家园四期 -桥北新区,2室1厅 | 77.46平米 | 南 | 简装 | 中楼层(共18层)  | 板楼,1人关注 / 一年前发布,49,"6,326元/平"
双阳卧室 大落地飘窗 中等装修  看房方便 准婚房,阳光希望家园四期 -桥北新区,2室2厅 | 77.3平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 一年前发布,58,"7,504元/平"
同心园两室，南北通透，步梯，公摊面积小,同心园 -新城区,2室1厅 | 89.22平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,8人关注 / 一年前发布,62.5,"7,006元/平"
春城家园   经典两室 单价7100 看房子钥匙,春城家园 -新城区,2室2厅 | 60.55平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 3个月以前发布,42,"6,937元/平"
中天御园公寓 上下两层  视野好 采光好,御园财富广场 -新城区,2室1厅 | 54.73平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,4人关注 / 一年前发布,39.5,"7,218元/平"
99年房 不临街不把边 小税 南北通透,宏兴小区 -红山区,2室1厅 | 62.06平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,35.5,"5,721元/平"
房子是属于业主闲置产业，可随时看房有钥匙，,滨河房产 -红山区,2室1厅 | 50.3平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,27.5,"5,468元/平"
社保局楼 2室2厅 南 北,社保局楼 -红山区,2室2厅 | 75.42平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,51.5,"6,829元/平"
此房满五唯一 小税，南北通透，楼层好，视野开阔，,长青五金小区 -红山区,2室1厅 | 52平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 5个月以前发布,24,"4,616元/平"
交通便利，步梯楼，，，，，，，，，，，，，，，，，,华睿园 -新城区,2室2厅 | 125.11平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,8人关注 / 一年前发布,68.8,"5,500元/平"
