标题,开发商,房子信息,发布信息,售价/万,单价
保利拉菲公馆东区 体育公园 小高层 南北通透 诚心出售,保利拉菲公馆朗菲园二期 -裕兴,3室2厅 | 148.54平米 | 南 北 | 简装 | 低楼层(共17层)  | 板楼,106人关注 / 9个月以前发布,282,"18,985元/平"
融创品质现房     三阳开泰户型   配套齐全  交通便利,融创中心 -南焦,3室2厅 | 179.38平米 | 南 北 | 毛坯 | 中楼层(共24层)  | 板楼,1人关注 / 7个月以前发布,285,"15,889元/平"
房龄新，户型好，明厨明卫，采光好，简单装修,联强小区安居园 -水上公园,3室1厅 | 88.9平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,21人关注 / 一年前发布,129,"14,511元/平"
此房偏门户型 采光好 配套设施完善,物贸小区 -简良,2室2厅 | 107.88平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,10人关注 / 一年前发布,95,"8,807元/平"
低楼层 小三室   临地铁3号线 水上公园  交通便利,三鹿西区 -北苑,3室1厅 | 75.71平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,7人关注 / 一年前发布,88,"11,624元/平"
红旗大街 精装 南北通透三居室 位于小区中间 带地下室,安联青年城 -宫家庄,3室1厅 | 125.48平米 | 南 北 | 精装 | 中楼层(共29层)  | 板楼,0人关注 / 1个月以前发布,150,"11,955元/平"
部队大院 红星 41 跃层 有20平大露台,君苑花园东区 -西王,5室2厅 | 179.22平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,203,"11,327元/平"
新增通透三居室 全明户型 无大税 新装修 好楼层,瀚唐 -古城村,3室2厅 | 124.88平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,19人关注 / 7个月以前发布,162,"12,973元/平"
诚心诚意要出售 花园社区 精装房,元亨家园 -新乐市,2室2厅 | 111.42平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,68,"6,104元/平"
位置好 交通方便 小区环境舒适方便  停车方便  房龄新,建国南区 -城角,3室1厅 | 91.91平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,16人关注 / 10个月以前发布,111,"12,078元/平"
此房偏门户型 采光好 配套设施完善,物贸小区 -简良,2室2厅 | 107.88平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,10人关注 / 一年前发布,95,"8,807元/平"
房龄新，户型好，明厨明卫，采光好，简单装修,联强小区安居园 -水上公园,3室1厅 | 88.9平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,21人关注 / 一年前发布,129,"14,511元/平"
颐宁苑，138.8平，190万，采光好，单价低,滨河小区颐宁苑南区 -滨河,3室2厅 | 138.8平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,185,"13,329元/平"
观湖位置有入户花园恒大林溪郡  三室  精装  现本,恒大林溪郡 -鹿泉市,3室1厅 | 119.69平米 | 南 | 精装 | 高楼层(共8层)  | 板楼,19人关注 / 11个月以前发布,95,"7,938元/平"
精装修，楼层好，采光充足，交通便利，出行方便...,汇君城 -天苑,3室2厅 | 114.2平米 | 东 东南 北 | 精装 | 高楼层(共18层)  | 板楼,11人关注 / 7个月以前发布,145,"12,698元/平"
精装 看房方便 急售润德 二重  欢乐会商圈 中间楼层,荣盛锦绣学府 -河北科大新校区,3室1厅 | 101.67平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,50人关注 / 8个月以前发布,159,"15,639元/平"
建华大街儿童医院商圈 27 一楼三室带院 个税 诚心卖,东方热电宿舍 -东苑,3室1厅 | 81平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,6人关注 / 4个月以前发布,135,"16,667元/平"
毛坯大两室 地铁口旁 电梯房 环境好 水上公园,健达花苑 -西三庄,2室2厅 | 110.6平米 | 南 北 | 毛坯 | 中楼层(共20层)  | 板楼,11人关注 / 7个月以前发布,176,"15,914元/平"
融创品质现房     三阳开泰户型   配套齐全  交通便利,融创中心 -南焦,3室2厅 | 179.38平米 | 南 北 | 毛坯 | 中楼层(共24层)  | 板楼,1人关注 / 7个月以前发布,285,"15,889元/平"
二环内 洋房业主诚心出售 精装小三室  出行方便,鸿锐花园 -水上公园,2室2厅 | 106.16平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,170,"16,014元/平"
二环内 水上公园 低层 大客厅 通透户型 交通便利,河北包装公司宿舍 -北苑,3室2厅 | 151.48平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,7人关注 / 3个月以前发布,190,"12,543元/平"
户型方正大三室，房龄新2008年，钟旺路友谊大街口，,金苑小区 -北苑,3室2厅 | 161.17平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,269,"16,691元/平"
6层洋房+诚心出售+楼层好汇君城,汇君城2期 -天苑,3室3厅 | 189.93平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,6人关注 / 一年前发布,353,"18,586元/平"
花园洋房，西边全民体育广场，休闲娱乐，居住舒服,凝瑞苑 -藁城市,2室1厅 | 95.8平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,2人关注 / 一年前发布,68,"7,099元/平"
"南北通透格局,采光好,通风好,视野开阔,明厨明卫.",石家庄碧桂园 -元氏县,3室2厅 | 107.87平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,1人关注 / 6个月以前发布,76,"7,046元/平"
新格局 满五年 无大税 户型方正,廉农家园 -藁城市,3室2厅 | 128平米 | 南 北 | 简装 | 6层  | 板楼,0人关注 / 一年前发布,90,"7,032元/平"
水上公园观景房，精装修，前后视野开阔，观景效果好,万信花园A区 -水上公园,3室2厅 | 175.94平米 | 南 北 | 精装 | 中楼层(共19层)  | 板楼,0人关注 / 3个月以前发布,475,"26,998元/平"
南二环边 98平小三室 四楼 满二,旭城花园旭翠园 -西南高校区,3室2厅 | 98.65平米 | 东南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,130,"13,178元/平"
3号线，终点站，出门水上公园，步行500米北国,联盟小区西芩园 -西三庄,3室2厅 | 116平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,134,"11,552元/平"
低楼层 小三室   临地铁3号线 水上公园  交通便利,三鹿西区 -北苑,3室1厅 | 75.71平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,7人关注 / 一年前发布,88,"11,624元/平"
西青公园旁 精装两室两厅 南北通透 41 急售,工农路工会宿舍 -西里,2室2厅 | 98.28平米 | 南 北 | 简装 | 高楼层(共4层)  | 板楼,11人关注 / 5个月以前发布,120,"12,211元/平"
南北通透，双阳卧，楼层好，业主诚心出售,九里庭院西区 -大马村,3室2厅 | 145.81平米 | 南 北 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,236,"16,186元/平"
楼层好，房东诚心出售，我们店留有钥匙，看房方便。,自由之邦 -冶河镇,3室2厅 | 137.36平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板楼,2人关注 / 一年前发布,124,"9,028元/平"
诚心售旁边西王地铁口、客运站，北国chao市，裕西公园,绿荫锦江 -西王,3室2厅 | 138.1平米 | 南 | 毛坯 | 中楼层(共20层)  | 板塔结合,30人关注 / 一年前发布,100,"7,242元/平"
简装三室，看房方便，业主诚心出售,蓝郡名邸 -大马村,3室2厅 | 136.57平米 | 南 北 | 简装 | 低楼层(共24层)  | 板楼,27人关注 / 8个月以前发布,235,"17,208元/平"
二环里交通方便，自住装修好，三大公园，邻地铁口。,碧溪尊苑 -位同,3室2厅 | 126.76平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,8人关注 / 8个月以前发布,199,"15,699元/平"
出门就是中华大街 北国*市旁 小区安静  有地下室,供水公司六水厂 -高柱,2室2厅 | 91.07平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,95,"10,432元/平"
.业主诚心出售.低密度花园入户洋房.实际看房效果好,汇君城2期 -天苑,3室2厅 | 153.01平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,2人关注 / 6个月以前发布,300,"19,607元/平"
燕都花园 4室2厅 南,燕都花园 -胜北,4室2厅 | 172.86平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,279,"16,141元/平"
中山路地铁，南北通透三室！明厨明卫！位置好！户型好,天滋嘉鲤北区 -大经,3室1厅 | 115.89平米 | 南 北 | 简装 | 低楼层(共32层)  | 板楼,19人关注 / 一年前发布,170,"14,670元/平"
水上公园 北苑东区 阳面大客厅的通透户型,北苑小区 -北苑,3室2厅 | 127.83平米 | 北 南 | 简装 | 中楼层(共4层)  | 板楼,0人关注 / 2个月以前发布,165,"12,908元/平"
城* 07年多层 低楼层三室 中开庭户型 有钥匙,翠薇苑 -正定县,3室2厅 | 119平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,12人关注 / 一年前发布,164,"13,782元/平"
中华大街沿线 干净整洁 中间楼层 南北通透,北郡一区 -赵陵铺,2室2厅 | 97.91平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,4人关注 / 4个月以前发布,98,"10,010元/平"
二环里交通方便，自住装修好，三大公园，邻地铁口。,碧溪尊苑 -位同,3室2厅 | 126.76平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,8人关注 / 8个月以前发布,199,"15,699元/平"
一环里洋房，毛坯大三室随心装，有钥匙随时看。,荣盛华府 -建北,3室2厅 | 193.06平米 | 南 北 | 毛坯 | 中楼层(共10层)  | 板楼,26人关注 / 一年前发布,555,"28,748元/平"
中冶满两年  不临街 南北通透 阳面客厅,中冶德贤公馆 -裕兴,3室2厅 | 137.41平米 | 南 北 | 简装 | 中楼层(共29层)  | 板楼,18人关注 / 一年前发布,325,"23,652元/平"
信誉楼* 恒大名都 通透户型 房本满5年 税费低,恒大名都 -裕兴,3室2厅 | 141.39平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,6人关注 / 一年前发布,278,"19,662元/平"
省二院宿舍，通透三室两厅两卫，采光好，可贷款,宁安小区 -二中,3室2厅 | 129.4平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,8人关注 / 4个月以前发布,159,"12,288元/平"
楼层好，采光好，小区环境不错，,燕都金地城 -赵陵铺,3室2厅 | 137.08平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,4人关注 / 5个月以前发布,156,"11,381元/平"
着急出售，大三室，南北通透，看房方便,中基礼域尚城 -南三条,3室1厅 | 139.17平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板楼,52人关注 / 一年前发布,267,"19,186元/平"
双阳卧，带电梯双叠楼层，诚心出售。,心海假日 -天山海世界,6室4厅 | 247.25平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,389,"15,734元/平"
书香苑   一楼大三室    满五唯一,书香苑 -新乐市,3室2厅 | 140.77平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,99,"7,033元/平"
南北通透 带电梯 精装修 视野无遮挡 采光无影响,恒大御景半岛 -高营,4室2厅 | 183.9平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,6人关注 / 5个月以前发布,233.5,"12,698元/平"
裕华壹号业主急售，无大税，精装未住过,融创裕华壹号 -二十里铺,4室2厅 | 162.99平米 | 南 | 精装 | 中楼层(共9层)  | 板楼,4人关注 / 7个月以前发布,445,"27,303元/平"
个税精装，一环边，中高楼层，全天候采光，配套齐全,悦城九区 -翟营,3室2厅 | 110.4平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,6人关注 / 5个月以前发布,175,"15,852元/平"
谈固东街槐中路三室两厅多层通透三居室.方正户型,阳光361 -银通,3室2厅 | 138.68平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,162,"11,682元/平"
此房满五唯一 小区好位置 前后观景 正规三室户型,恒大绿洲 -东开发区,3室2厅 | 104.28平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,2人关注 / 3个月以前发布,109,"10,453元/平"
金鹏花园 三室两厅  带地下室,金鹏花园 -槐北,3室2厅 | 126.13平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 7个月以前发布,175,"13,875元/平"
房本满2，个税，现在再卖170平，没得挑楼层，随时看房,建投十号院 -大马村,3室2厅 | 170.69平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,387,"22,673元/平"
绿都一期  中间位置三室 全天采光 视野开阔 个税,众美凤凰绿都一期 -众美,3室2厅 | 135.66平米 | 南 | 简装 | 低楼层(共33层)  | 板楼,7人关注 / 一年前发布,168,"12,384元/平"
二环旁 地铁口  益庄商圈 双医院保障 全明双阳卧,庄窠白楼 -桃园,2室1厅 | 104.59平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 6个月以前发布,103,"9,848元/平"
裕东印钞厂院内 有钥匙 随时看房 个税,裕东小区 -裕东,2室1厅 | 57.06平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,14人关注 / 一年前发布,65,"11,392元/平"
外贸粮油四室，28Z，带地下室，交通发达，购物方便,友谊北大街345号 -北焦,4室2厅 | 171平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,8人关注 / 8个月以前发布,310,"18,129元/平"
荣景园少有七层到顶电梯房，带一个30平米的露台,阿尔卡迪亚荣景园 -胜北,3室2厅 | 87.02平米 | 东南 | 简装 | 中楼层(共7层)  | 板楼,26人关注 / 7个月以前发布,235,"27,006元/平"
德贤公馆10号楼好位置，中上楼层，毛坯未住，满二年,中冶德贤公馆 -裕兴,3室1厅 | 138.9平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板楼,2人关注 / 4个月以前发布,320,"23,039元/平"
恒大绿洲 精装两室  卧室采光好 业主诚心出售,恒大绿洲 -东开发区,3室2厅 | 100.5平米 | 南 北 | 其他 | 高楼层(共31层)  | 板塔结合,3人关注 / 5个月以前发布,96,"9,553元/平"
此房满五唯一 小区好位置 前后观景 正规三室户型,恒大绿洲 -东开发区,3室2厅 | 104.28平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,2人关注 / 3个月以前发布,109,"10,453元/平"
北二环旁 亲亲小镇精装两居室 已改成三居 诚意出售,亲亲小镇南区 -高营,3室1厅 | 94.2平米 | 南 | 精装 | 中楼层(共12层)  | 板楼,43人关注 / 4个月以前发布,109.5,"11,625元/平"
洋房社区 毛坯房 可塑性强 采光好 看房方便,紫林湾 -兆通,3室2厅 | 161.49平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,21人关注 / 一年前发布,205,"12,695元/平"
盛世华庭 南北通透双阳卧 经典户型 房东急售 价可谈,盛世华庭 -新石,3室2厅 | 137平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,48人关注 / 一年前发布,169,"12,336元/平"
中冶德贤公馆，公园旁，毛坯任意装，视野开阔,中冶德贤公馆 -裕兴,3室2厅 | 137.41平米 | 南 北 | 毛坯 | 高楼层(共29层)  | 板楼,0人关注 / 2个月以前发布,330,"24,016元/平"
8层电梯洋房，跃层，双阳台，全阳户型,龙泉花园东区 -鹿泉市,4室3厅 | 204.95平米 | 南 | 简装 | 高楼层(共8层)  | 板楼,13人关注 / 8个月以前发布,145,"7,075元/平"
恒大绿洲 阳面小三室  三阳开泰户型,恒大绿洲 -东开发区,3室2厅 | 104.09平米 | 南 北 | 精装 | 低楼层(共33层)  | 板塔结合,6人关注 / 7个月以前发布,120,"11,529元/平"
小区环境好，人车分流，地铁2号线义堂地铁口,尚乘源 -沿东,3室2厅 | 129.01平米 | 东南 | 简装 | 高楼层(共22层)  | 板楼,16人关注 / 7个月以前发布,143,"11,085元/平"
2梯3户，底价再次更新，中间好楼层，快来询价、看房,凤凰城梧桐苑南区 -南焦,3室2厅 | 103.7平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,27人关注 / 4个月以前发布,150,"14,465元/平"
精装修 现代化简约风格 家具家电 直接拎包入住,新幸家圆 -新乐市,3室2厅 | 132平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,6人关注 / 一年前发布,68,"5,152元/平"
户型好 格局方正  精装修 拎包入住,恒大御景半岛 -高营,4室2厅 | 165.96平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,9人关注 / 一年前发布,220,"13,257元/平"
房本满2，个税，现在再卖170平，没得挑楼层，随时看房,建投十号院 -大马村,3室2厅 | 170.69平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,387,"22,673元/平"
裕东印钞厂院内 有钥匙 随时看房 个税,裕东小区 -裕东,2室1厅 | 57.06平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,14人关注 / 一年前发布,65,"11,392元/平"
外贸粮油四室，28Z，带地下室，交通发达，购物方便,友谊北大街345号 -北焦,4室2厅 | 171平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,8人关注 / 8个月以前发布,310,"18,129元/平"
金鹏花园 三室两厅  带地下室,金鹏花园 -槐北,3室2厅 | 126.13平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 7个月以前发布,175,"13,875元/平"
绿都一期  中间位置三室 全天采光 视野开阔 个税,众美凤凰绿都一期 -众美,3室2厅 | 135.66平米 | 南 | 简装 | 低楼层(共33层)  | 板楼,7人关注 / 一年前发布,168,"12,384元/平"
荣景园少有七层到顶电梯房，带一个30平米的露台,阿尔卡迪亚荣景园 -胜北,3室2厅 | 87.02平米 | 东南 | 简装 | 中楼层(共7层)  | 板楼,26人关注 / 7个月以前发布,235,"27,006元/平"
一环里洋房，毛坯大三室随心装，有钥匙随时看。,荣盛华府 -建北,3室2厅 | 193.06平米 | 南 北 | 毛坯 | 中楼层(共10层)  | 板楼,26人关注 / 一年前发布,555,"28,748元/平"
中冶满两年  不临街 南北通透 阳面客厅,中冶德贤公馆 -裕兴,3室2厅 | 137.41平米 | 南 北 | 简装 | 中楼层(共29层)  | 板楼,18人关注 / 一年前发布,325,"23,652元/平"
市一中旁 简装三室 公摊少 配套齐全 诚信出售,旧二院宿舍 -新乐市,3室2厅 | 118.24平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,65,"5,498元/平"
德贤公馆10号楼好位置，中上楼层，毛坯未住，满二年,中冶德贤公馆 -裕兴,3室1厅 | 138.9平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板楼,2人关注 / 4个月以前发布,320,"23,039元/平"
拾里洋房 3室2厅 南 北,拾里洋房 -鹿泉市,3室2厅 | 109.68平米 | 南 北 | 精装 | 高楼层(共11层)  | 塔楼,0人关注 / 6个月以前发布,98,"8,936元/平"
恒大绿洲 精装两室  卧室采光好 业主诚心出售,恒大绿洲 -东开发区,3室2厅 | 100.5平米 | 南 北 | 其他 | 高楼层(共31层)  | 板塔结合,3人关注 / 5个月以前发布,96,"9,553元/平"
裕华壹号业主急售，无大税，精装未住过,融创裕华壹号 -二十里铺,4室2厅 | 162.99平米 | 南 | 精装 | 中楼层(共9层)  | 板楼,4人关注 / 7个月以前发布,445,"27,303元/平"
恒大雅苑   一期大院四室  全阳户型  18层小高,恒大雅苑 -众美,4室2厅 | 136.5平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,3人关注 / 5个月以前发布,175,"12,821元/平"
急售，恒大绿洲，阳面小三室，好楼层，保持的好。。。,恒大绿洲 -东开发区,3室2厅 | 104.28平米 | 西南 | 精装 | 中楼层(共33层)  | 板塔结合,16人关注 / 5个月以前发布,103,"9,878元/平"
此房正常出售价格可谈有钥匙随时可以看房子,怡景苑 -新乐市,3室2厅 | 105.38平米 | 南 | 简装 | 高楼层(共7层)  | 板塔结合,15人关注 / 一年前发布,68,"6,453元/平"
翰林观天下红旗大街建国路 三室大客厅采光充足,翰林观天下一期 -振头,3室2厅 | 117.94平米 | 南 西南 | 简装 | 中楼层(共32层)  | 板楼,23人关注 / 9个月以前发布,187,"15,856元/平"
省二院宿舍，通透三室两厅两卫，采光好，可贷款,宁安小区 -二中,3室2厅 | 129.4平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,8人关注 / 4个月以前发布,159,"12,288元/平"
南北通透三室两厅两卫通阳台，五楼采光好没遮挡,滨河小区颐兴园 -红旗,3室2厅 | 135平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,15人关注 / 一年前发布,175,"12,963元/平"
中山路地铁，南北通透三室！明厨明卫！位置好！户型好,天滋嘉鲤北区 -大经,3室1厅 | 115.89平米 | 南 北 | 简装 | 低楼层(共32层)  | 板楼,19人关注 / 一年前发布,170,"14,670元/平"
一环里洋房，毛坯大三室随心装，有钥匙随时看。,荣盛华府 -建北,3室2厅 | 193.06平米 | 南 北 | 毛坯 | 中楼层(共10层)  | 板楼,26人关注 / 一年前发布,555,"28,748元/平"
中冶满两年  不临街 南北通透 阳面客厅,中冶德贤公馆 -裕兴,3室2厅 | 137.41平米 | 南 北 | 简装 | 中楼层(共29层)  | 板楼,18人关注 / 一年前发布,325,"23,652元/平"
省二院宿舍，通透三室两厅两卫，采光好，可贷款,宁安小区 -二中,3室2厅 | 129.4平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,8人关注 / 4个月以前发布,159,"12,288元/平"
市房管局宿舍 3室2厅 南 北,市房管局宿舍 -建北,3室2厅 | 130.89平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,6人关注 / 5个月以前发布,149.5,"11,422元/平"
满五唯一，中间楼层采光好，有钥匙看房方便，诚心卖,联邦东方明珠 -裕兴,3室2厅 | 158.59平米 | 南 | 简装 | 中楼层(共31层)  | 板楼,13人关注 / 5个月以前发布,157,"9,900元/平"
楼层好，采光好，小区环境不错，,燕都金地城 -赵陵铺,3室2厅 | 137.08平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,4人关注 / 5个月以前发布,156,"11,381元/平"
着急出售，大三室，南北通透，看房方便,中基礼域尚城 -南三条,3室1厅 | 139.17平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板楼,52人关注 / 一年前发布,267,"19,186元/平"
急售，恒大绿洲，阳面小三室，好楼层，保持的好。。。,恒大绿洲 -东开发区,3室2厅 | 104.28平米 | 西南 | 精装 | 中楼层(共33层)  | 板塔结合,16人关注 / 5个月以前发布,103,"9,878元/平"
静谧大三居   双阳卧  进出门方便,神州嘉园 -胜北,3室1厅 | 143.42平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,11人关注 / 6个月以前发布,189,"13,179元/平"
此房为中门3居全阳户型，采光好。中间楼层，视野棒。,中冶德贤公馆 -裕兴,3室2厅 | 121.94平米 | 南 | 毛坯 | 低楼层(共29层)  | 板楼,2人关注 / 4个月以前发布,268,"21,979元/平"
东楼头  3室2厅2卫  通透户型  无大税,恒大雅苑 -众美,3室2厅 | 136.62平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,1人关注 / 6个月以前发布,157,"11,492元/平"
A级急售房源，长征街和23，双片，有钥匙随时看！,中基礼域尚城 -南三条,3室2厅 | 130.55平米 | 南 北 | 简装 | 高楼层(共27层)  | 板楼,83人关注 / 一年前发布,209,"16,010元/平"
翰林观天下红旗大街建国路 三室大客厅采光充足,翰林观天下一期 -振头,3室2厅 | 117.94平米 | 南 西南 | 简装 | 中楼层(共32层)  | 板楼,23人关注 / 9个月以前发布,187,"15,856元/平"
此房正常出售价格可谈有钥匙随时可以看房子,怡景苑 -新乐市,3室2厅 | 105.38平米 | 南 | 简装 | 高楼层(共7层)  | 板塔结合,15人关注 / 一年前发布,68,"6,453元/平"
欧景园小区居住素质很高，社区大花园，业主诚心出售，,欧景园 -城角,3室2厅 | 138.93平米 | 南 | 简装 | 低楼层(共29层)  | 板楼,12人关注 / 一年前发布,220,"15,836元/平"
三阳开泰户型，视野好；采光好。诚心出售；看房方便,长荣小区B区 -东苑,3室2厅 | 115.67平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,165,"14,265元/平"
地铁北宋站附 近，通透三室，看房随时有钥匙！,河纺北大院 -跃进,3室1厅 | 78.54平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,71人关注 / 一年前发布,88,"11,205元/平"
经典小3居，方正户型，钻石楼层，着急出手，港式设计,银都花园 -义堂,3室2厅 | 106.3平米 | 南 东南 | 简装 | 中楼层(共7层)  | 板楼,9人关注 / 7个月以前发布,132,"12,418元/平"
沿东小区满五唯一*三楼*地铁三室房子,沿东小区 -沿东,3室1厅 | 82.75平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,22人关注 / 一年前发布,121,"14,623元/平"
奥北公元精装修两居室中间楼层 无遮挡采光好户型方正,奥冠奥北公元 -丰收路,2室2厅 | 77.06平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,1人关注 / 一年前发布,138,"17,909元/平"
恒信家园大三室，简单装修，有钥匙看房方便，可以贷款,恒信家园 -新乐市,3室2厅 | 124.54平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,72,"5,782元/平"
*二楼，交通便利，带地下室，业主诚心出售！,心海假日 -天山海世界,2室1厅 | 87.82平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,11人关注 / 一年前发布,121,"13,779元/平"
盛世长安 中间楼层 中门大两室 采光无遮挡 诚意出售,盛世长安 -翟营,2室2厅 | 95.09平米 | 南 | 精装 | 高楼层(共24层)  | 板楼,6人关注 / 一年前发布,162,"17,037元/平"
东岗路 青园街交口人事局宿舍两室两厅出售,人事局宿舍 -青园,2室2厅 | 99.65平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,8人关注 / 一年前发布,110,"11,039元/平"
融创中心，通透三室，中间楼层，毛坯,融创中心 -南焦,3室2厅 | 179.59平米 | 南 北 | 毛坯 | 高楼层(共24层)  | 板楼,4人关注 / 7个月以前发布,269,"14,979元/平"
秀水名邸，东楼头，全明户型，简单装修,秀水名邸 -植物园,3室2厅 | 128.88平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,8人关注 / 一年前发布,122,"9,467元/平"
裕华壹号新上洋房带三个车位诚心出售，价格能商量,融创裕华壹号 -二十里铺,4室2厅 | 166.39平米 | 南 北 | 精装 | 高楼层(共9层)  | 板楼,19人关注 / 10个月以前发布,450,"27,045元/平"
中华北大街 天山新公爵西区洋房跃层  诚心出售,天山新公爵西区 -九中,5室2厅 | 207.65平米 | 南 | 简装 | 高楼层(共5层)  | 板楼,11人关注 / 一年前发布,565,"27,210元/平"
火车站商圈泰丰观湖小区南北向3室出售,泰丰观湖 -塔谈,3室2厅 | 129.25平米 | 南 北 | 简装 | 低楼层(共33层)  | 板楼,27人关注 / 一年前发布,206.5,"15,977元/平"
奥北公元商品房三室 满2无大税 2梯2户有车位有钥匙,奥冠奥北公元 -丰收路,3室2厅 | 140.58平米 | 南 北 | 毛坯 | 高楼层(共38层)  | 板楼,1人关注 / 3个月以前发布,219,"15,579元/平"
出行方便 采光无遮拦   房东想置换 看房方便,紫林湾 -兆通,2室2厅 | 95.18平米 | 南 | 毛坯 | 中楼层(共34层)  | 板楼,10人关注 / 一年前发布,110,"11,558元/平"
出门秀水公园，临植物园街，环境优美，温度适宜,秀水名邸 -植物园,3室2厅 | 148.44平米 | 南 北 | 毛坯 | 中楼层(共12层)  | 板楼,9人关注 / 8个月以前发布,128,"8,624元/平"
2号线 国瑞园东楼头三居室 白领居家 刚需改善的选择,国瑞园 -义堂,3室2厅 | 129.16平米 | 南 北 | 简装 | 高楼层(共25层)  | 板楼,8人关注 / 一年前发布,147,"11,382元/平"
