标题,开发商,房子信息,发布信息,售价/万,单价
东方明珠三村 中间楼层 精装修 大三房 拎包入住。,东方明珠三村 -江东,3室2厅 | 128.62平米 | 南 | 精装 | 中楼层(共6层)  | 塔楼,0人关注 / 6天以前发布,198,"15,395元/平"
大华锦绣国际 中上楼层 视野开阔 房东诚心出售,大华锦绣国际 -雨山,1室0厅 | 69.14平米 | 东南 | 其他 | 高楼层(共30层)  | 板塔结合,0人关注 / 7天以前发布,43,"6,220元/平"
此房装修房，单价低，房东很诚心,江南御花园 -佳山,3室2厅 | 141.01平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,136,"9,645元/平"
此房拎包入住，满五不唯一，有大型便利店，出行方便,大治村 -雨山,2室1厅 | 57.29平米 | 南 | 其他 | 高楼层(共5层)  | 板楼,1人关注 / 一年前发布,26,"4,539元/平"
婚房装修，保养好，视野宽阔，采光充足，可拎包入住,东湖瑞景 -佳山,2室2厅 | 96.97平米 | 南 | 其他 | 高楼层(共33层)  | 板塔结合,3人关注 / 一年前发布,123,"12,685元/平"
此房满五唯一，看房方便，物业优良,康嘉花园 -桃园,6室2厅 | 228.85平米 | 南 北 | 其他 | 高楼层(共11层)  | 板楼,2人关注 / 一年前发布,290,"12,673元/平"
奥园/誉湖湾 3室2厅 南,奥园/誉湖湾 -江东,3室2厅 | 116.54平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,1人关注 / 8个月以前发布,100,"8,581元/平"
秀山湖大三房，采光好，视野好，小区环优美，,秀山湖壹號 -霍里,3室2厅 | 106.48平米 | 南 | 其他 | 低楼层(共27层)  | 板塔结合,3人关注 / 一年前发布,125,"11,740元/平"
东方明珠六村两室一厅，新空毛坯，,东方明珠六村 -江东,2室2厅 | 79.1平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 塔楼,0人关注 / 一年前发布,137,"17,320元/平"
融邦领秀国际，中上楼层，好房。,融邦领秀国际 -霍里,3室2厅 | 93.22平米 | 南 | 其他 | 高楼层(共31层)  | 板楼,4人关注 / 一年前发布,73,"7,831元/平"
中上楼层 采光好 精装修 小区环境优美 交通方便,万嘉南苑二村 -佳山,2室1厅 | 75.42平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,3人关注 / 6个月以前发布,58,"7,691元/平"
鸳鸯小区一村 2室1厅 南 北,鸳鸯小区一村 -安民,2室1厅 | 68.77平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,2人关注 / 8个月以前发布,35,"5,090元/平"
奥体旁领秀国际精装修小三房，南北朝向，拎包入住,融邦领秀国际 -霍里,3室1厅 | 88.91平米 | 南 北 | 其他 | 低楼层(共34层)  | 板楼,1人关注 / 6个月以前发布,79,"8,886元/平"
融邦领秀国际 3室2厅 南,融邦领秀国际 -霍里,3室2厅 | 85.9平米 | 南 | 其他 | 低楼层(共33层)  | 板塔结合,0人关注 / 8个月以前发布,60,"6,985元/平"
恒大绿洲 玖璋台旁 金碧物业，环境好，小区中间位置,恒大绿洲 -霍里,4室2厅 | 138.44平米 | 南 北 | 其他 | 高楼层(共17层)  | 塔楼,11人关注 / 一年前发布,200,"14,447元/平"
东方明珠六村，小高层的房子，精装修，房东诚心卖,东方明珠六村 -江东,2室2厅 | 91.47平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,2人关注 / 一年前发布,115,"12,573元/平"
小区环境优美。楼层好，采光好，生活方便。。。。。。,长江金源豪庭 -当涂县,3室2厅 | 154.5平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,109.8,"7,107元/平"
此房业主诚心出售 今年6月份满两年,金瑞新城四村 -江东,3室1厅 | 92.33平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,9人关注 / 11个月以前发布,49.6,"5,373元/平"
金悦府  价格低 看房方便  诚心出售,新宸金悦府 -当涂县,1室2厅 | 84.82平米 | 南 | 其他 | 低楼层(共11层)  | 板楼,4人关注 / 一年前发布,39.8,"4,693元/平"
珍珠园，纯毛坯，小区中间，楼下就是小区小河，,珍珠园二村 -雨山,2室1厅 | 62.36平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,6人关注 / 7个月以前发布,82.6,"13,246元/平"
珍珠园二村 2房朝南采光好 位置好（离南湖近）,珍珠园二村 -雨山,2室1厅 | 75.98平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,95,"12,504元/平"
桃花村好房再卖。采光充足，交通便利。配套齐全。,桃花村 -桃园,3室1厅 | 63.26平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,58,"9,169元/平"
荷西嘉园 十七冶医院 大润发便利店 生活交通便利,荷西嘉园 -雨山,6室3厅 | 264.26平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,7人关注 / 一年前发布,145,"5,488元/平"
伟星蓝山雅筑北区 3室2厅 南 北,伟星蓝山雅筑北区 -佳山,3室2厅 | 106.26平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,6人关注 / 9个月以前发布,130,"12,235元/平"
智能化品质社区 精装温馨两居 全新一天未住 采光充足,新宸金悦府 -当涂县,2室2厅 | 95.75平米 | 南 北 | 其他 | 高楼层(共5层)  | 板楼,0人关注 / 8个月以前发布,67.8,"7,081元/平"
临湖精装大三房 景观好 采光充足 看房方便 房间大,襄城明珠碧水豪苑 -当涂县,3室2厅 | 112.54平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 10个月以前发布,66,"5,865元/平"
绿洲茗苑 2室2厅 南,绿洲茗苑 -塘西,2室2厅 | 94.93平米 | 南 | 其他 | 低楼层(共17层)  | 板塔结合,2人关注 / 一年前发布,92,"9,692元/平"
此房满二，东苑和八中西。。。。,东苑小区 -解放路,2室1厅 | 70.46平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,40人关注 / 一年前发布,60.8,"8,630元/平"
荷塘月色轻轨站    两房朝南 采光不挡  南北通透,荷塘月色园一区 -未知商圈,2室1厅 | 89.7平米 | 南 北 | 其他 | 高楼层(共18层)  | 板塔结合,3人关注 / 一年前发布,60,"6,689元/平"
荷塘月色4楼的电梯房，房东诚心出售，急卖,荷塘月色园一区 -未知商圈,3室1厅 | 104.8平米 | 南 北 | 其他 | 中楼层(共11层)  | 板塔结合,5人关注 / 一年前发布,66,"6,298元/平"
格局方正，采光充足 视野无遮拦、业主诚心出售,滨江郡 -采石,3室2厅 | 85.14平米 | 南 | 其他 | 高楼层(共11层)  | 暂无数据,0人关注 / 9个月以前发布,49,"5,756元/平"
金山嘉苑 两室朝南毛坯房 看房方便,金山嘉苑 -未知商圈,2室1厅 | 65.45平米 | 南 | 其他 | 中楼层(共11层)  | 平房,7人关注 / 一年前发布,44,"6,723元/平"
轻轨总站旁，阳湖塘城市门厅，满五唯一,东湖瑞景 -佳山,2室1厅 | 98.02平米 | 南 | 其他 | 中楼层(共31层)  | 板塔结合,4人关注 / 5个月以前发布,112,"11,427元/平"
颐园世家     满五唯一    业主诚意出售,颐园世家 -佳山,3室2厅 | 93.89平米 | 南 | 毛坯 | 低楼层(共31层)  | 板塔结合,3人关注 / 一年前发布,125,"13,314元/平"
伟星蓝山雅筑  三室两厅一厨一卫  精装修 诚心出售,伟星蓝山雅筑南区 -佳山,3室2厅 | 112.69平米 | 南 | 精装 | 高楼层(共28层)  | 板楼,5人关注 / 8个月以前发布,113,"10,028元/平"
学府里满两年，中上楼层，采光视野无遮挡，房东诚心卖,达观天下学府里 -佳山,3室2厅 | 97.6平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,12人关注 / 8个月以前发布,104,"10,656元/平"
御景园新空联排别墅，满五唯一，位置好采光好，诚售！,御景園▪香山美墅 -佳山,4室3厅 | 165.59平米 | 南 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 2个月以前发布,240,"14,494元/平"
满两年，采光通风好，视野开阔，,金汇香郡 -当涂县,3室1厅 | 130.71平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板塔结合,0人关注 / 4个月以前发布,78.4,"5,999元/平"
城东毛坯大两房 面积大 楼层好 在家就能看到湖景公园,东誉城 -当涂县,2室1厅 | 111.69平米 | 南 | 毛坯 | 低楼层(共29层)  | 板塔结合,9人关注 / 一年前发布,56,"5,014元/平"
好房出售，配套齐全，出行交通方便。,颐园世家 -佳山,3室2厅 | 93.89平米 | 南 | 其他 | 高楼层(共31层)  | 板塔结合,17人关注 / 一年前发布,130,"13,846元/平"
5室2厅复式，南北两个大露台，领包入住， 南北通透,碧溪丽景 -佳山,4室2厅 | 191.78平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,19人关注 / 一年前发布,120,"6,258元/平"
此房满五唯一精装修，三楼中间楼层，全天采光，房间大,春晖家园西区 -佳山,3室2厅 | 104.96平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,14人关注 / 一年前发布,132,"12,577元/平"
窗户大，家里明亮，毛坯好装修，格局很正。,达观天下悦城 -佳山,3室1厅 | 65.65平米 | 南 北 | 其他 | 低楼层(共19层)  | 板楼,0人关注 / 4个月以前发布,52,"7,921元/平"
五联小区   前排1楼  毛坯三房,五联小区 -当涂县,3室2厅 | 116.92平米 | 南 北 | 其他 | 低楼层(共11层)  | 暂无数据,2人关注 / 一年前发布,48,"4,106元/平"
此房满五不唯一， 楼层采光不受影响.,襄河湾 -当涂县,4室2厅 | 220平米 | 南 北 | 其他 | 高楼层(共5层)  | 暂无数据,2人关注 / 一年前发布,55,"2,500元/平"
春晖悦府电梯洋房，满二中上楼层，采光无遮挡！,春晖悦府 -安民,2室1厅 | 88.7平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,12人关注 / 9个月以前发布,167,"18,828元/平"
五联排  独门独户 带80平大院子,伟星蓝山半山墅 -佳山,4室2厅 | 138.54平米 | 南 | 毛坯 | 低楼层(共3层)  | 塔楼,0人关注 / 2个月以前发布,350,"25,264元/平"
映翠花园三村 2室1厅 南 北,映翠花园三村 -安民,2室1厅 | 73.84平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,52,"7,043元/平"
才改造 环境不错，小区内有便利店，有菜场,晨光花园 -佳山,2室1厅 | 69.97平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,43.9,"6,275元/平"
城中位置姑孰名邸 顶楼复式 采光炸眼 带露台 诚心出售,姑孰茗邸 -当涂县,4室3厅 | 174.64平米 | 南 北 | 其他 | 高楼层(共34层)  | 板楼,1人关注 / 一年前发布,96.8,"5,543元/平"
毛坯四房·满五年···高楼层采光不挡,安粮秀山城市广场一期 -霍里,4室2厅 | 121.7平米 | 南 北 | 其他 | 高楼层(共25层)  | 板塔结合,45人关注 / 一年前发布,126,"10,354元/平"
伟星蓝山北区 3楼好楼层 全屋藻泥 可拎包入住,伟星蓝山雅筑北区 -佳山,2室1厅 | 83.32平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,6人关注 / 4个月以前发布,96,"11,522元/平"
东方城 小高层 满五唯一 有车位,东方城 -霍里,3室2厅 | 125.05平米 | 南 | 其他 | 低楼层(共18层)  | 板塔结合,6人关注 / 一年前发布,150,"11,996元/平"
领秀国际 新空毛坯 可塑性较强  户型全南，采光无遮挡,融邦领秀国际 -霍里,3室2厅 | 105.24平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,27人关注 / 一年前发布,73,"6,937元/平"
楼层方便优秀格局好 此房新空毛坯生活方便,融邦领秀国际 -霍里,2室1厅 | 84.78平米 | 南 | 其他 | 低楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,65,"7,667元/平"
万达中央华城，高楼层视野采光很好,万达中央华城 -安民,3室2厅 | 90平米 | 南 | 其他 | 高楼层(共33层)  | 板塔结合,4人关注 / 一年前发布,116,"12,889元/平"
恒大绿洲 满2年 好楼层全天采光 可看秀山湖和奥体,恒大绿洲 -霍里,3室1厅 | 121.69平米 | 南 | 精装 | 高楼层(共22层)  | 板塔结合,9人关注 / 一年前发布,159,"13,066元/平"
此房适用于任何年龄段的人群，安静，配套齐全,九华万家花园 -佳山,2室2厅 | 71.76平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,3人关注 / 一年前发布,41.8,"5,825元/平"
生化新村顶复，北露台，满五唯一，无户口可上,生化新村 -桃园,5室2厅 | 207.24平米 | 北 南 | 其他 | 高楼层(共7层)  | 平房,0人关注 / 12天以前发布,170,"8,204元/平"
贵都西苑多层4楼，采光好，生活方便,贵都西苑 -佳山,2室1厅 | 77.95平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,58.5,"7,505元/平"
恒大御景湾 3室2厅 南,恒大御景湾 -霍里,3室2厅 | 118.14平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 11天以前发布,132,"11,174元/平"
绿洲茗都 2室1厅 南,绿洲茗都 -塘西,2室1厅 | 87.82平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,7人关注 / 一年前发布,72,"8,199元/平"
此房满两年，精装修，楼层好，采光好，可看奥体。,恒大绿洲 -霍里,3室2厅 | 121.72平米 | 南 | 精装 | 中楼层(共24层)  | 板塔结合,13人关注 / 一年前发布,160,"13,145元/平"
凡尔赛公馆毛坯二房，城南的国企房产，改善房,凡尔赛公馆 -佳山,2室1厅 | 88.79平米 | 南 | 其他 | 低楼层(共18层)  | 板塔结合,2人关注 / 一年前发布,80,"9,011元/平"
此房满二年 业主诚心出售，小区配套设完善，生活便利,万达中央华城 -安民,2室2厅 | 89.78平米 | 南 | 其他 | 中楼层(共32层)  | 板塔结合,1人关注 / 一年前发布,93.9,"10,459元/平"
房子正在出售，户型很好，看房提前联系,东方明珠六村 -江东,3室1厅 | 118.13平米 | 南 | 其他 | 低楼层(共6层)  | 塔楼,2人关注 / 一年前发布,150,"12,698元/平"
伟星蓝山联排别墅毛坯户型无改动，位置好，房东诚心卖,伟星蓝山半山墅 -佳山,3室1厅 | 128.83平米 | 南 北 | 毛坯 | 低楼层(共1层)  | 板楼,11人关注 / 7个月以前发布,249,"19,328元/平"
深业华府 精装 大四房 三卧室朝南 大客厅 满五唯一,深业华府 -安民,4室2厅 | 155.02平米 | 南 北 | 其他 | 高楼层(共33层)  | 板楼,26人关注 / 一年前发布,245,"15,805元/平"
大城坊一村价格实惠，实用面积大。生活便捷,大城坊一村 -当涂县,2室2厅 | 68.63平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,27.9,"4,066元/平"
好房出售，业主诚心出售，价格美丽，看房方便。,凡尔赛公馆 -佳山,2室2厅 | 87.7平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,3人关注 / 一年前发布,93,"10,605元/平"
店长推荐，采光户型好，诚心出售。,映翠景苑 -安民,3室2厅 | 113.99平米 | 南 | 其他 | 中楼层(共24层)  | 板塔结合,0人关注 / 4个月以前发布,92,"8,071元/平"
店长推荐！宝龙华庭 精装两房  满二 随时看房,宝龙华庭 -桃园,2室1厅 | 93平米 | 南 北 | 精装 | 低楼层(共31层)  | 板楼,3人关注 / 5个月以前发布,135,"14,517元/平"
品质精装修，全屋大金中  央空调，房屋保养较新,格林花园 -佳山,3室2厅 | 139.18平米 | 南 | 其他 | 中楼层(共6层)  | 塔楼,3人关注 / 8个月以前发布,165,"11,856元/平"
梅花园 重阳路成熟居家板块 朝南二室便宜出售,梅花园 -桃园,2室1厅 | 60.72平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,34.8,"5,732元/平"
两房朝南 明厨明卫 采光通风好 房东急售,珍珠园一村 -雨山,2室1厅 | 64.95平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,5人关注 / 7个月以前发布,67,"10,316元/平"
房子采光好无遮挡，两室朝南，诚心出售看房方便,鹊桥小区 -安民,2室1厅 | 57.42平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 6个月以前发布,39.5,"6,880元/平"
绿地三期 全新毛坯三房 视野采光好,新里西斯莱公馆 -霍里,3室1厅 | 109.41平米 | 南 北 | 其他 | 中楼层(共30层)  | 板塔结合,10人关注 / 6个月以前发布,128,"11,700元/平"
此房满五年唯一，房主全款买的，纯毛坯，,秀山湖壹號 -霍里,3室2厅 | 114.12平米 | 南 | 其他 | 低楼层(共33层)  | 板塔结合,4人关注 / 一年前发布,123,"10,779元/平"
昕源佳苑两室 户型很好 采光耀眼 生活便利,昕源佳苑 -安民,2室2厅 | 84.5平米 | 南 | 毛坯 | 高楼层(共6层)  | 板塔结合,12人关注 / 一年前发布,67.5,"7,989元/平"
深业华府 高楼层 视野开阔 满两年 新空毛坯,深业华府 -安民,2室2厅 | 91.08平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,2人关注 / 6个月以前发布,101,"11,090元/平"
好房不可错过看房提前联系我。。。,梧桐雅苑东区 -解放路,2室1厅 | 75.87平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,4人关注 / 一年前发布,29.8,"3,928元/平"
此房低楼层、满二唯一房东诚心出售,玲珑苑 -塘西,3室2厅 | 86.76平米 | 南 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,43,"4,957元/平"
此房满两年 采光很好 小区中间位置 房型方正 看房方便,华林雅筑 -解放路,2室2厅 | 78.97平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 4个月以前发布,37,"4,686元/平"
牡丹园 三房朝南 双阳台 满两年 采光视野好,牡丹园 -桃园,3室2厅 | 126.85平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,116.8,"9,208元/平"
轻轨总站旁，阳湖塘城市门厅，满五唯一,东湖瑞景 -佳山,2室1厅 | 98.02平米 | 南 | 其他 | 中楼层(共31层)  | 板塔结合,4人关注 / 5个月以前发布,112,"11,427元/平"
荷塘月色4楼的电梯房，房东诚心出售，急卖,荷塘月色园一区 -未知商圈,3室1厅 | 104.8平米 | 南 北 | 其他 | 中楼层(共11层)  | 板塔结合,5人关注 / 一年前发布,66,"6,298元/平"
荷塘月色轻轨站    两房朝南 采光不挡  南北通透,荷塘月色园一区 -未知商圈,2室1厅 | 89.7平米 | 南 北 | 其他 | 高楼层(共18层)  | 板塔结合,3人关注 / 一年前发布,60,"6,689元/平"
凡尔赛好房推荐，满五唯一，房源产权清晰，经典三房,凡尔赛公馆 -佳山,3室2厅 | 86.51平米 | 南 北 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,105,"12,138元/平"
达观天下，三室两厅，纯毛坯，带露台。,达观天下悦城 -佳山,3室2厅 | 69.78平米 | 南 | 其他 | 低楼层(共19层)  | 塔楼,1人关注 / 5个月以前发布,53,"7,596元/平"
金色里程毛坯三房 一楼带院子 楼层好,金色里程 -当涂县,3室2厅 | 96.33平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 11个月以前发布,57,"5,918元/平"
店长推荐！西塘名苑 中上楼层 大三房 满二 诚心出售,西塘名苑 -佳山,3室2厅 | 112平米 | 南 北 | 其他 | 高楼层(共32层)  | 板楼,1人关注 / 4个月以前发布,98,"8,750元/平"
春晖悦府电梯洋房，满二中上楼层，采光无遮挡！,春晖悦府 -安民,2室1厅 | 88.7平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,12人关注 / 9个月以前发布,167,"18,828元/平"
此房满五不唯一， 楼层采光不受影响.,襄河湾 -当涂县,4室2厅 | 220平米 | 南 北 | 其他 | 高楼层(共5层)  | 暂无数据,2人关注 / 一年前发布,55,"2,500元/平"
格局方正，采光充足 视野无遮拦、业主诚心出售,滨江郡 -采石,3室2厅 | 85.14平米 | 南 | 其他 | 高楼层(共11层)  | 暂无数据,0人关注 / 9个月以前发布,49,"5,756元/平"
此房满五唯一精装修，三楼中间楼层，全天采光，房间大,春晖家园西区 -佳山,3室2厅 | 104.96平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,14人关注 / 一年前发布,132,"12,577元/平"
学府里满两年，中上楼层，采光视野无遮挡，房东诚心卖,达观天下学府里 -佳山,3室2厅 | 97.6平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,12人关注 / 8个月以前发布,104,"10,656元/平"
伟星蓝山雅筑  三室两厅一厨一卫  精装修 诚心出售,伟星蓝山雅筑南区 -佳山,3室2厅 | 112.69平米 | 南 | 精装 | 高楼层(共28层)  | 板楼,5人关注 / 8个月以前发布,113,"10,028元/平"
：此房户型方正，每个房间都很大，三开间朝南,春晖家园东区 -佳山,3室2厅 | 124.35平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,21人关注 / 一年前发布,160,"12,867元/平"
满两年，采光通风好，视野开阔，,金汇香郡 -当涂县,3室1厅 | 130.71平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板塔结合,0人关注 / 4个月以前发布,78.4,"5,999元/平"
御景园新空联排别墅，满五唯一，位置好采光好，诚售！,御景園▪香山美墅 -佳山,4室3厅 | 165.59平米 | 南 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 2个月以前发布,240,"14,494元/平"
好房出售，配套齐全，出行交通方便。,颐园世家 -佳山,3室2厅 | 93.89平米 | 南 | 其他 | 高楼层(共31层)  | 板塔结合,17人关注 / 一年前发布,130,"13,846元/平"
此房满五年格局好采光不挡户型好,东苑小区 -解放路,3室1厅 | 83.69平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,4人关注 / 一年前发布,87,"10,396元/平"
尚海城毛坯大三房 户型通透 楼层好 业主诚意出售,尚海城 -当涂县,3室2厅 | 99.79平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 5个月以前发布,49.5,"4,961元/平"
此房满五唯一，中间楼层，采光无遮挡,同济花园 -解放路,3室2厅 | 122.31平米 | 东南 | 其他 | 中楼层(共6层)  | 板楼,3人关注 / 5个月以前发布,110,"8,994元/平"
5室2厅复式，南北两个大露台，领包入住， 南北通透,碧溪丽景 -佳山,4室2厅 | 191.78平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,19人关注 / 一年前发布,120,"6,258元/平"
五联排  独门独户 带80平大院子,伟星蓝山半山墅 -佳山,4室2厅 | 138.54平米 | 南 | 毛坯 | 低楼层(共3层)  | 塔楼,0人关注 / 2个月以前发布,350,"25,264元/平"
西边套 毛坯三房 通风好 位置佳 看房方便,金汇康郡东区 -当涂县,3室2厅 | 127.57平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板塔结合,7人关注 / 一年前发布,68.5,"5,370元/平"
城东毛坯大两房 面积大 楼层好 在家就能看到湖景公园,东誉城 -当涂县,2室1厅 | 111.69平米 | 南 | 毛坯 | 低楼层(共29层)  | 板塔结合,9人关注 / 一年前发布,56,"5,014元/平"
御景园别墅 联排边户 L型大院子 满两年 诚心卖,御景園▪香山美墅 -佳山,4室1厅 | 220.89平米 | 南 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 5个月以前发布,375,"16,977元/平"
窗户大，家里明亮，毛坯好装修，格局很正。,达观天下悦城 -佳山,3室1厅 | 65.65平米 | 南 北 | 其他 | 低楼层(共19层)  | 板楼,0人关注 / 4个月以前发布,52,"7,921元/平"
伟星蓝山雅筑  三室两厅一厨一卫  精装修 诚心出售,伟星蓝山雅筑南区 -佳山,3室2厅 | 112.69平米 | 南 | 精装 | 高楼层(共28层)  | 板楼,5人关注 / 8个月以前发布,113,"10,028元/平"
学府里满两年，中上楼层，采光视野无遮挡，房东诚心卖,达观天下学府里 -佳山,3室2厅 | 97.6平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,12人关注 / 8个月以前发布,104,"10,656元/平"
满两年，采光通风好，视野开阔，,金汇香郡 -当涂县,3室1厅 | 130.71平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板塔结合,0人关注 / 4个月以前发布,78.4,"5,999元/平"
御景园新空联排别墅，满五唯一，位置好采光好，诚售！,御景園▪香山美墅 -佳山,4室3厅 | 165.59平米 | 南 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 2个月以前发布,240,"14,494元/平"
马军寨三房   采光好    养老过度,马军寨一村 -当涂县,3室1厅 | 74.21平米 | 南 北 | 简装 | 高楼层(共4层)  | 暂无数据,0人关注 / 2个月以前发布,23,"3,100元/平"
君盛桃源毛坯三房，全明户型，边户，中间楼层,君盛桃源 -当涂县,3室2厅 | 101.7平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 4个月以前发布,73,"7,178元/平"
此房满五唯一，中间楼层，采光无遮挡,同济花园 -解放路,3室2厅 | 122.31平米 | 东南 | 其他 | 中楼层(共6层)  | 板楼,3人关注 / 5个月以前发布,110,"8,994元/平"
东营一村   价格便宜   采光好,东营小区一村 -当涂县,2室2厅 | 81.82平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,26.8,"3,276元/平"
双岗新村简装两房，保养好，采光优。,双岗新村 -安民,2室1厅 | 58.72平米 | 东南 | 简装 | 中楼层(共7层)  | 暂无数据,4人关注 / 6个月以前发布,38,"6,472元/平"
满两年税费低，飞机户型，采光好无遮挡！,东方丽景 -佳山,3室2厅 | 115.51平米 | 南 北 | 精装 | 高楼层(共8层)  | 板楼,0人关注 / 31天以前发布,159.5,"13,809元/平"
领秀国际 全新毛坯  中间楼层采光好,融邦领秀国际 -霍里,3室1厅 | 84.73平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,1人关注 / 2个月以前发布,53,"6,256元/平"
此房毛坯 小区配套齐全 小区环境好 空气清新,安粮城市广场三期 -霍里,3室2厅 | 91.3平米 | 南 | 其他 | 低楼层(共28层)  | 板塔结合,0人关注 / 8个月以前发布,114,"12,487元/平"
楼层视野好，采光充足，大三房，居住惬意。,豪邦君悦华庭 -当涂县,3室2厅 | 127平米 | 南 北 | 其他 | 高楼层(共32层)  | 暂无数据,0人关注 / 8个月以前发布,76,"5,985元/平"
金悦府  智能小区 环境好 带大露台,新宸金悦府 -当涂县,3室2厅 | 107.28平米 | 南 | 毛坯 | 低楼层(共11层)  | 板楼,0人关注 / 9个月以前发布,75,"6,992元/平"
平山新村 两室朝南 户型好 装修好 拎包入住,平山新村 -桃园,2室1厅 | 58.24平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,8人关注 / 10个月以前发布,48.5,"8,328元/平"
东方丽景 中上好楼层 采光好 毛坯三房 双阳台户型,东方丽景 -佳山,3室1厅 | 105.09平米 | 南 | 其他 | 高楼层(共26层)  | 板楼,4人关注 / 10个月以前发布,110,"10,468元/平"
多层五楼，采光无遮挡，视野好，,东城水岸 -当涂县,2室2厅 | 82平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,1人关注 / 一年前发布,48,"5,854元/平"
采光充足，视野宽阔，配套设施齐全，交通便利,襄河湾 -当涂县,3室2厅 | 143.68平米 | 南 | 毛坯 | 中楼层(共5层)  | 暂无数据,2人关注 / 一年前发布,58,"4,037元/平"
毛坯大三房  低楼层   满五不唯一,东方明珠一村 -霍里,3室2厅 | 113.87平米 | 东南 | 其他 | 中楼层(共7层)  | 塔楼,6人关注 / 一年前发布,155,"13,613元/平"
好地段，好楼层，好户型。业主诚心出售。,中央花园 -雨山,3室2厅 | 106.33平米 | 南 | 简装 | 高楼层(共18层)  | 塔楼,6人关注 / 一年前发布,108,"10,158元/平"
绿洲茗苑 2室1厅 南,绿洲茗苑 -塘西,2室1厅 | 83.27平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,60,"7,206元/平"
