标题,开发商,房子信息,发布信息,售价/万,单价
人民路南华康城 中 央公馆精装两室小区内价格合适一套,中央公馆三期 -立交桥,2室2厅 | 93平米 | 南 | 其他 | 低楼层(共28层)  | 板楼,5人关注 / 8个月以前发布,68,"7,312元/平"
经典三室户型，南北通透，采光好。适宜居住,赵王河新村 -牡丹园,3室2厅 | 125平米 | 南 北 | 其他 | 低楼层(共6层)  | 板塔结合,5人关注 / 一年前发布,57,"4,560元/平"
公摊地 过户费低 精装修 户型方正 客户诚心出售,天华交通家园 -广州路,3室2厅 | 135平米 | 东南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 10个月以前发布,90,"6,667元/平"
水岸嘉园 全款 精装 诚心出售带车位储藏室看房方便,水岸嘉苑 -立交桥,4室2厅 | 207平米 | 南 北 | 其他 | 中楼层(共24层)  | 板塔结合,1人关注 / 一年前发布,170,"8,213元/平"
丹阳路天华领秀城 小高层中间楼层 老证带车库 储藏室,天华·领秀城 -广州路,3室2厅 | 125平米 | 南 东南 | 其他 | 中楼层(共18层)  | 板楼,1人关注 / 一年前发布,85,"6,800元/平"
三希堂 小洋房 老证  可按揭 三室,三希堂 -广州路,3室2厅 | 138平米 | 南 | 其他 | 低楼层(共9层)  | 板楼,2人关注 / 一年前发布,86.5,"6,269元/平"
小高层电梯洋房，老证公摊少，采光好，小区密度小,天华·领秀城 -广州路,3室2厅 | 88平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 一年前发布,60,"6,819元/平"
天华领秀城139平大东边户！带车库一间储藏室一间！,天华·领秀城 -广州路,3室2厅 | 139.45平米 | 南 北 | 其他 | 中楼层(共16层)  | 板楼,3人关注 / 一年前发布,88.1,"6,318元/平"
房东诚心出售3室2厅2卫价格合适一楼。带储藏室,天华·领秀城 -广州路,3室2厅 | 130平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,1人关注 / 一年前发布,81.8,"6,293元/平"
赵王河新村  金典三室 采光好  储藏室,赵王河新村 -牡丹园,3室2厅 | 123平米 | 南 | 简装 | 高楼层(共28层)  | 板塔结合,12人关注 / 一年前发布,48,"3,903元/平"
赵王河景观房 舒适大三室 高档装修,公园一号 -立交桥,3室2厅 | 137平米 | 南 | 其他 | 中楼层(共32层)  | 板塔结合,2人关注 / 一年前发布,90,"6,570元/平"
豪联金御华府 两室一厅一厨一卫 简单装修,豪联金御华府 -东关小学,2室1厅 | 80平米 | 南 北 | 简装 | 低楼层(共27层)  | 板楼,4人关注 / 一年前发布,42,"5,250元/平"
八一路交通家园精装修两室带车位，老证急售,天华交通家园 -广州路,2室2厅 | 98平米 | 南 | 其他 | 低楼层(共17层)  | 板楼,1人关注 / 10个月以前发布,64.8,"6,613元/平"
南华康城 西边户凤凰层户型方正老证可贷款。南北通,南华康城 -立交桥,3室2厅 | 146平米 | 南 北 | 其他 | 高楼层(共11层)  | 板楼,1人关注 / 一年前发布,125,"8,562元/平"
小区环境优美，漫步其中，悠然自得，是居家生活的选择,帝都花园 -立交桥,3室2厅 | 134.2平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,114,"8,495元/平"
鹏远华府 大两室急售 明厨明卫,鹏远华府 -广州路,2室2厅 | 99平米 | 南 北 | 其他 | 高楼层(共28层)  | 板楼,1人关注 / 8个月以前发布,60,"6,061元/平"
牡丹公馆 2室1厅 南,牡丹公馆 -牡丹园,2室1厅 | 86平米 | 南 | 其他 | 中楼层(共24层)  | 板楼,0人关注 / 2个月以前发布,51,"5,931元/平"
赵王河畔经典两居室低楼层，出行方便,鲁商凤凰城 -牡丹园,2室2厅 | 99平米 | 南 北 | 其他 | 低楼层(共34层)  | 板楼,0人关注 / 一年前发布,65,"6,566元/平"
老证满五，小高层楼层佳，户型通透,天华交通家园 -广州路,3室2厅 | 123平米 | 南 北 | 其他 | 高楼层(共17层)  | 板楼,0人关注 / 一年前发布,80,"6,505元/平"
小高层洋房带车库带储藏室  房东赔钱出售,天华·领秀城 -广州路,3室2厅 | 141.02平米 | 南 北 | 其他 | 中楼层(共12层)  | 板楼,2人关注 / 一年前发布,91.5,"6,489元/平"
公园一号小区中间位置134平大三、16楼、带车位储藏室,公园一号 -立交桥,3室1厅 | 134.05平米 | 东南 | 其他 | 中楼层(共27层)  | 板塔结合,9人关注 / 一年前发布,109.99,"8,206元/平"
小高层电梯洋房，老证公摊少，采光好，小区密度小,天华·领秀城 -广州路,3室2厅 | 88平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 一年前发布,60,"6,819元/平"
牡丹新城南区，大两居，带储藏室，老证,牡丹新城南区 -牡丹园,2室2厅 | 91平米 | 南 | 其他 | 低楼层(共18层)  | 板塔结合,2人关注 / 一年前发布,55,"6,044元/平"
老证，可以按揭，靠谱出售，随时可以签约,将军苑 -三院,2室1厅 | 101平米 | 北 南 | 其他 | 高楼层(共25层)  | 板楼,2人关注 / 11个月以前发布,70,"6,931元/平"
中行家属院 3室1厅 南,中行家属院 -丹阳桥,3室1厅 | 90平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,50,"5,556元/平"
此房两室 一楼带院 精装修 户型好 诚心出售 方便看房,龙田府邸 -牡丹园,2室2厅 | 99.98平米 | 南 北 | 其他 | 低楼层(共33层)  | 板楼,2人关注 / 一年前发布,97,"9,702元/平"
图书馆大剧院复式加阁楼 小区中间位置采光视野良好,金都华庭 -图书馆,4室2厅 | 159.22平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,28人关注 / 一年前发布,81.8,"5,138元/平"
长城路中南世纪锦城有证可以贷款,中南世纪锦城 -牡丹园,3室2厅 | 100平米 | 南 | 其他 | 高楼层(共31层)  | 板楼,5人关注 / 10个月以前发布,59,"5,900元/平"
两室朝阳户型好  全天采光 好楼层,中南世纪锦城 -牡丹园,2室1厅 | 86.44平米 | 南 | 其他 | 高楼层(共29层)  | 板楼,1人关注 / 一年前发布,59.5,"6,884元/平"
天香公园 大剧院 三室两厅带车位储藏室 看房方便,菏泽市规划展览馆安置房 -中医院,3室2厅 | 99平米 | 南 | 其他 | 中楼层(共26层)  | 暂无数据,1人关注 / 一年前发布,72,"7,273元/平"
万达奥林花园 房产证满两年 采光通风良好 方正朝阳,奥林花园 -和平南路,3室2厅 | 117平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 一年前发布,90.2,"7,710元/平"
房屋  是多层  小区，环境好 采光好  适合居住,华西嘉苑 -区委,2室1厅 | 75平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,36,"4,800元/平"
二室二厅采光充足交通便利楼层好,长涛新世纪 -区委,2室2厅 | 97平米 | 南 | 其他 | 中楼层(共24层)  | 板塔结合,1人关注 / 11个月以前发布,51.8,"5,341元/平"
曹州牡丹园旁，经典两室，适宜居住,牡丹公馆 -牡丹园,2室2厅 | 83.24平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,1人关注 / 一年前发布,47,"5,647元/平"
南华小区，房东急售简装两室，顶楼，老证可按揭贷款,南华小区 -青年湖,2室2厅 | 35平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,22人关注 / 一年前发布,19,"5,429元/平"
楼层好 精装修 拎包入住 户型方正 采光好 诚心出售,龙田府邸 -牡丹园,2室1厅 | 90平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,64,"7,112元/平"
牡丹园旁 经典两室带储藏室 精装修楼间距大,牡丹新城南区 -牡丹园,2室2厅 | 91平米 | 南 北 | 其他 | 高楼层(共17层)  | 板塔结合,0人关注 / 一年前发布,61.5,"6,759元/平"
河畔清华 小两居室 诚心出售 急售,和谐家园 -牡丹园,2室1厅 | 82平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,0人关注 / 一年前发布,44.7,"5,452元/平"
此房中间楼层 户型好 眼睛房 精装 采光好,港湾新城 -牡丹园,3室2厅 | 138.25平米 | 南 北 | 其他 | 低楼层(共24层)  | 板楼,2人关注 / 一年前发布,115.1,"8,326元/平"
此房业主诚心出售  全明式两居，古园出色户型,古园小区 -牡丹园,2室2厅 | 101平米 | 南 | 其他 | 低楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,52.9,"5,238元/平"
匹克国际花园两室两厅一厨一卫简单装修南北通风采光好,匹克国际花园 -北关医院,2室2厅 | 95平米 | 东 | 简装 | 中楼层(共31层)  | 板楼,6人关注 / 一年前发布,52.5,"5,527元/平"
精装修 拎包入住 大三室 全明户型 带储藏室,龙田府邸 -牡丹园,3室2厅 | 144平米 | 南 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 一年前发布,109,"7,570元/平"
万达南，华侨城一期多层洋房，老证，过户费低有储藏室,时代·华侨城一期 -和平南路,2室2厅 | 82平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,58,"7,074元/平"
人民路牡丹公馆，邻鲁商凤凰城御河丹城,牡丹公馆 -牡丹园,2室2厅 | 84平米 | 南 | 其他 | 低楼层(共23层)  | 板楼,0人关注 / 一年前发布,60,"7,143元/平"
中华路多层三楼 带车库 诚心出售,华西嘉苑 -区委,2室1厅 | 65平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,1人关注 / 7个月以前发布,35,"5,385元/平"
一楼带院，精装修，诚心出售。....,龙田府邸 -牡丹园,2室1厅 | 101.52平米 | 南 北 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 11个月以前发布,77,"7,585元/平"
两室两厅朝阳 房东诚心出售 楼层好 采光好,紫金国际 -火车站,2室2厅 | 93平米 | 南 | 其他 | 高楼层(共34层)  | 板楼,6人关注 / 11个月以前发布,46.5,"5,000元/平"
河畔清华， 经典两室 ，诚心出售,和谐家园 -牡丹园,2室1厅 | 87.9平米 | 东 西 | 其他 | 低楼层(共11层)  | 塔楼,0人关注 / 一年前发布,50.8,"5,780元/平"
曹州牡丹园旁，牡丹公馆，经典两居室,牡丹公馆 -牡丹园,2室2厅 | 85平米 | 南 北 | 简装 | 中楼层(共24层)  | 板楼,0人关注 / 一年前发布,46.5,"5,471元/平"
业主真实在售，看房方便提前联系。。。,中南世纪锦城 -牡丹园,2室1厅 | 76平米 | 南 北 | 其他 | 中楼层(共31层)  | 板楼,0人关注 / 8个月以前发布,54.5,"7,172元/平"
中华世纪城小三室，位于火车站繁荣地带,中华世纪城 -火车站,3室2厅 | 108平米 | 南 北 | 其他 | 低楼层(共23层)  | 板楼,8人关注 / 一年前发布,68.1,"6,306元/平"
匹克国际花园两室两厅一厨一卫简单装修南北通风采光好,匹克国际花园 -北关医院,2室2厅 | 95平米 | 东 | 简装 | 中楼层(共31层)  | 板楼,6人关注 / 一年前发布,52.5,"5,527元/平"
此房中间楼层 户型好 眼睛房 精装 采光好,港湾新城 -牡丹园,3室2厅 | 138.25平米 | 南 北 | 其他 | 低楼层(共24层)  | 板楼,2人关注 / 一年前发布,115.1,"8,326元/平"
万达南华侨城一期多层花园洋房，经典两室南北通透,时代·华侨城一期 -和平南路,2室2厅 | 72平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,51,"7,084元/平"
配套齐全、有菜市场、公园、带电梯、人车分流、,赵王河新村 -牡丹园,2室2厅 | 99.54平米 | 南 | 简装 | 中楼层(共28层)  | 板塔结合,3人关注 / 一年前发布,44.7,"4,491元/平"
此房 业主诚心出售 带车位 看房提前联系,鲁商凤凰城 -牡丹园,2室2厅 | 87.6平米 | 南 北 | 其他 | 高楼层(共34层)  | 板楼,0人关注 / 一年前发布,60,"6,850元/平"
两室两厅一卫 精装修 市中位置,万家新城 -香格里拉,2室2厅 | 74.8平米 | 南 | 其他 | 低楼层(共11层)  | 板楼,6人关注 / 11个月以前发布,47,"6,284元/平"
万达奥林花园 房产证满两年 采光通风良好 方正朝阳,奥林花园 -和平南路,3室2厅 | 117平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 一年前发布,90.2,"7,710元/平"
房屋  是多层  小区，环境好 采光好  适合居住,华西嘉苑 -区委,2室1厅 | 75平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,36,"4,800元/平"
曹州牡丹园旁，经典两室，适宜居住,牡丹公馆 -牡丹园,2室2厅 | 83.24平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,1人关注 / 一年前发布,47,"5,647元/平"
南华小区，房东急售简装两室，顶楼，老证可按揭贷款,南华小区 -青年湖,2室2厅 | 35平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,22人关注 / 一年前发布,19,"5,429元/平"
二室二厅采光充足交通便利楼层好,长涛新世纪 -区委,2室2厅 | 97平米 | 南 | 其他 | 中楼层(共24层)  | 板塔结合,1人关注 / 11个月以前发布,51.8,"5,341元/平"
万家新城  经典三居室   房东诚心出售   看房方便,万家新城 -香格里拉,3室1厅 | 110.6平米 | 南 | 其他 | 高楼层(共30层)  | 板楼,10人关注 / 一年前发布,69,"6,239元/平"
楼层好，带露台，视野宽阔，采光充足，配套设施齐全,和顺王府大街 -一中,2室1厅 | 53.38平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 11个月以前发布,38,"7,119元/平"
满二年，配套齐全，好楼层，无遮挡户型，双南户型,龙田府邸 -牡丹园,3室2厅 | 144平米 | 南 北 | 其他 | 中楼层(共33层)  | 板楼,0人关注 / 一年前发布,90,"6,250元/平"
精装两室   带车储    业主诚心出售,时代·华侨城一期 -和平南路,2室2厅 | 70.69平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 10个月以前发布,45,"6,366元/平"
经典两室，公园旁，学近。户型方正，采光好,国花嘉苑 -牡丹园,2室2厅 | 85平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,2人关注 / 11个月以前发布,39,"4,589元/平"
天华小商品城三室两厅一卫 精装修  好楼层 采光好,天华花都小商品城 -西客站,3室2厅 | 125平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,77,"6,160元/平"
区委旁，全明户型，简装小三室看房方便,颐和家园 -区委,3室2厅 | 110平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,3人关注 / 一年前发布,65,"5,910元/平"
花园洋房，稀有多层，公摊面积小，采光充足,时代·华侨城一期 -和平南路,2室2厅 | 71平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,9人关注 / 一年前发布,48,"6,761元/平"
两室朝阳户型好  全天采光 好楼层,中南世纪锦城 -牡丹园,2室1厅 | 86.44平米 | 南 | 其他 | 高楼层(共29层)  | 板楼,1人关注 / 一年前发布,59.5,"6,884元/平"
长城路中南世纪锦城有证可以贷款,中南世纪锦城 -牡丹园,3室2厅 | 100平米 | 南 | 其他 | 高楼层(共31层)  | 板楼,5人关注 / 10个月以前发布,59,"5,900元/平"
此房两室 一楼带院 精装修 户型好 诚心出售 方便看房,龙田府邸 -牡丹园,2室2厅 | 99.98平米 | 南 北 | 其他 | 低楼层(共33层)  | 板楼,2人关注 / 一年前发布,97,"9,702元/平"
图书馆大剧院复式加阁楼 小区中间位置采光视野良好,金都华庭 -图书馆,4室2厅 | 159.22平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,28人关注 / 一年前发布,81.8,"5,138元/平"
天香公园 大剧院 三室两厅带车位储藏室 看房方便,菏泽市规划展览馆安置房 -中医院,3室2厅 | 99平米 | 南 | 其他 | 中楼层(共26层)  | 暂无数据,1人关注 / 一年前发布,72,"7,273元/平"
房东急出售 带小院清新小风格大三室全明户型 户型方正,龙田府邸 -牡丹园,3室2厅 | 134平米 | 南 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 一年前发布,143,"10,672元/平"
地理位置佳，出行方便，配套齐全，人流聚集,龙田府邸 -牡丹园,2室2厅 | 101平米 | 南 | 其他 | 高楼层(共33层)  | 板楼,1人关注 / 一年前发布,67,"6,634元/平"
多层两室小区 房东诚心出售 看房提前联系,民泰·和谐苑 -区委,2室2厅 | 99.9平米 | 南 | 其他 | 高楼层(共5层)  | 板楼,2人关注 / 一年前发布,45.9,"4,595元/平"
人民路牡丹园旁牡丹公馆，老证，带储藏室,牡丹公馆 -牡丹园,2室2厅 | 85平米 | 南 | 其他 | 中楼层(共28层)  | 板楼,3人关注 / 一年前发布,46.2,"5,436元/平"
区委旁 奥斯卡春城2室2厅   老证  低楼层,中富奥斯卡春城 -区委,2室2厅 | 119平米 | 南 北 | 简装 | 低楼层(共9层)  | 板楼,4人关注 / 一年前发布,73,"6,135元/平"
中富奥斯卡 三室两厅两卫 老证 精装修 老证能按揭贷款,中富奥斯卡春城 -区委,3室2厅 | 135平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,97,"7,186元/平"
好房推荐！赵王河畔，经典两室，环境优美，配套齐全，,赵王河新村 -牡丹园,2室2厅 | 86平米 | 东 东南 | 其他 | 中楼层(共6层)  | 板塔结合,11人关注 / 一年前发布,38,"4,419元/平"
人民路精装两室 带储藏室 拎包入住采光好 老证,鲁商凤凰城 -牡丹园,2室2厅 | 84.63平米 | 南 | 其他 | 高楼层(共34层)  | 板楼,2人关注 / 一年前发布,63,"7,445元/平"
鲁商凤凰城一手房 两室 前排观景房,鲁商凤凰城 -牡丹园,2室2厅 | 101平米 | 南 北 | 其他 | 高楼层(共34层)  | 板楼,1人关注 / 一年前发布,72.6,"7,189元/平"
精装修 看房提前预约 带车位 储藏室,菏泽市规划展览馆安置房 -中医院,3室2厅 | 90平米 | 东南 | 其他 | 高楼层(共33层)  | 暂无数据,0人关注 / 一年前发布,70,"7,778元/平"
房主诚心出售  户型方正   楼层好,菏泽市规划展览馆安置房 -中医院,4室2厅 | 144平米 | 南 北 | 其他 | 高楼层(共24层)  | 暂无数据,2人关注 / 一年前发布,119,"8,264元/平"
小商品城上下复式诚心出售，老证可按揭，看房方便,天华花都小商品城 -西客站,3室2厅 | 210平米 | 南 | 其他 | 高楼层(共5层)  | 板楼,2人关注 / 一年前发布,93.8,"4,467元/平"
河畔清华介绍，户型还经典两室，价格合适，,和谐家园 -牡丹园,2室2厅 | 84平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 一年前发布,43,"5,120元/平"
御河丹城两室好楼层，采光足，交通便利，适合居住,御河丹城 -牡丹园,2室1厅 | 92平米 | 南 北 | 其他 | 高楼层(共34层)  | 板楼,1人关注 / 一年前发布,52,"5,653元/平"
牡丹园旁 经典两室带储藏室 精装修楼间距大,牡丹新城南区 -牡丹园,2室2厅 | 91平米 | 南 北 | 其他 | 高楼层(共17层)  | 板塔结合,0人关注 / 一年前发布,61.5,"6,759元/平"
佳   合  花   园   优质房,佳合花园 -图书馆,3室2厅 | 148.3平米 | 南 北 | 其他 | 高楼层(共16层)  | 板塔结合,4人关注 / 一年前发布,93,"6,272元/平"
温馨两室 带储藏室 利用率高 朝阳通透,和谐家园 -牡丹园,2室2厅 | 82平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,1人关注 / 一年前发布,41.5,"5,061元/平"
客厅朝南 采光好 有电梯 无遮挡,金域澜湾 -牡丹园,2室2厅 | 90平米 | 南 北 | 简装 | 低楼层(共33层)  | 暂无数据,0人关注 / 一年前发布,55.7,"6,189元/平"
人民路商圈，银座和谐旁 赵王河 鲁商凤凰城 看房方便,鲁商凤凰城 -牡丹园,2室2厅 | 100.6平米 | 南 | 其他 | 中楼层(共34层)  | 板楼,0人关注 / 一年前发布,65,"6,462元/平"
金河湾 多层大两室 老证公摊小通便利生活方便,中达金河湾 -二十一中,2室2厅 | 78平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,76,"9,744元/平"
三室两厅一卫·精致小三室·采光充足·南北通透,国贸中心A区 -银座,3室2厅 | 107平米 | 南 北 | 其他 | 高楼层(共32层)  | 板楼,3人关注 / 11个月以前发布,55,"5,141元/平"
中达尚城三室两厅两卫精装修带车位储藏室老证可贷款,中达尚城 -和平南路,3室2厅 | 133平米 | 南 北 | 其他 | 高楼层(共17层)  | 板楼,4人关注 / 一年前发布,100,"7,519元/平"
房子是多层，户型好，老证，车储都有，小高层,中央公馆 -立交桥,3室1厅 | 96.8平米 | 南 北 | 其他 | 低楼层(共11层)  | 板楼,9人关注 / 6个月以前发布,68,"7,025元/平"
中南花城小区环境优美 适合居住,中南花城 -大学城,3室1厅 | 102平米 | 南 北 | 其他 | 低楼层(共34层)  | 板楼,3人关注 / 一年前发布,71,"6,961元/平"
老证 带储藏室 采光好 交通四通八达,天华交通家园 -广州路,3室2厅 | 122平米 | 南 | 其他 | 中楼层(共17层)  | 板楼,1人关注 / 一年前发布,70,"5,738元/平"
此房户型方正，房东急售，采光好,天阔逸城 -立交桥,2室2厅 | 98平米 | 南 | 其他 | 低楼层(共32层)  | 板楼,0人关注 / 一年前发布,58,"5,919元/平"
天化新天地 简单装修 南北通透,天华新天地 -区委,2室1厅 | 68.5平米 | 北 南 | 其他 | 高楼层(共27层)  | 板楼,2人关注 / 11个月以前发布,41,"5,986元/平"
房型正气 业主诚心出售 价格可谈 看房方便 繁华地带,怡景蓝湾 -大剧院,3室2厅 | 141平米 | 南 北 | 其他 | 低楼层(共24层)  | 板楼,0人关注 / 一年前发布,122,"8,653元/平"
房方正的格局，楼层好，视野开阔，采光好！！.,水榭花都 -三院,3室2厅 | 99.63平米 | 南 北 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 一年前发布,71,"7,127元/平"
大剧院东南华康城小高层144平米精装大3居！诚售！,南华康城 -立交桥,3室2厅 | 144平米 | 南 北 | 其他 | 低楼层(共11层)  | 板楼,2人关注 / 一年前发布,103,"7,153元/平"
温馨小三室，精装修可直接拎包入住，采光好,陶然美地 -广州路,3室2厅 | 114平米 | 东南 | 其他 | 中楼层(共11层)  | 板楼,2人关注 / 一年前发布,72,"6,316元/平"
小区.配套齐全 交通十分便利 出行方便。,亨通园 -银座,3室2厅 | 127平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,90,"7,087元/平"
三居室 交通方便 配套齐全多层,市委三区 -天香公园,3室2厅 | 110平米 | 南 | 其他 | 高楼层(共5层)  | 板楼,14人关注 / 一年前发布,78,"7,091元/平"
花城小区多层 老证 可按揭 *低公摊,花城小区 -广州南路,2室2厅 | 74平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,39.5,"5,338元/平"
中达金河湾 两室两厅一厨一卫  老证,中达金河湾 -二十一中,2室2厅 | 77.9平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,1人关注 / 一年前发布,70.2,"9,012元/平"
三室两厅两卫交通便利。视野宽阔，采光充足,陶然美地 -广州路,3室2厅 | 144.76平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,1人关注 / 一年前发布,84,"5,803元/平"
公馆东邻畅志园，精致三室，带车库，满二老证,畅志园 -立交桥,3室2厅 | 125平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,3人关注 / 一年前发布,92,"7,360元/平"
房子有车位储藏室交通便利精装修,陶然美地 -广州路,3室2厅 | 115平米 | 南 | 其他 | 高楼层(共11层)  | 板楼,8人关注 / 一年前发布,69.6,"6,053元/平"
疫情急售 中央公馆老证 带车位 西边户南北通 随时看房,中央公馆 -立交桥,3室1厅 | 130平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,2人关注 / 7个月以前发布,115,"8,847元/平"
牡丹嘉园多层老证 带楼台 多层两户 公用车位,牡丹嘉园 -图书馆,4室2厅 | 208平米 | 南 | 其他 | 高楼层(共4层)  | 板楼,7人关注 / 一年前发布,140,"6,731元/平"
大剧院商圈，经典两室户型 交通方便！房东急售,菏泽市规划展览馆安置房 -中医院,2室1厅 | 75平米 | 南 北 | 其他 | 中楼层(共30层)  | 暂无数据,1人关注 / 一年前发布,63.3,"8,440元/平"
109万给你一个125平大三房精装修的家,鲁商凤凰城 -牡丹园,3室2厅 | 125平米 | 南 北 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 一年前发布,109,"8,720元/平"
典藏两居室双飘窗 人文宜居地 市区居中好位置 生活..,菏泽当代城MOMA -大剧院,2室2厅 | 80平米 | 南 | 其他 | 低楼层(共30层)  | 暂无数据,2人关注 / 一年前发布,67,"8,375元/平"
东边户采光无遮挡，温馨三房带储藏室,天华·领秀城 -广州路,3室1厅 | 128平米 | 东 | 其他 | 低楼层(共18层)  | 板楼,1人关注 / 10个月以前发布,72.5,"5,665元/平"
三室两厅一厨两卫，带露台，包改名带车储。,陶然美地 -广州路,3室2厅 | 114平米 | 南 北 | 其他 | 低楼层(共9层)  | 板楼,26人关注 / 一年前发布,59,"5,176元/平"
房子三室两厅二卫 户型方正，视野开阔，出行便利,中华世纪城 -火车站,3室2厅 | 127.12平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,3人关注 / 一年前发布,70,"5,507元/平"
公摊少；适合老年人住，户型好，全天无遮挡,开发区黄河路公路局家属苑 -立交桥,3室1厅 | 85平米 | 南 北 | 其他 | 中楼层(共5层)  | 板塔结合,2人关注 / 一年前发布,47,"5,530元/平"
房子老证，业主诚心出售，看房方便,都庄新村 -大剧院,3室2厅 | 110平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 一年前发布,79.5,"7,228元/平"
大剧院  中医院 旁 三室 户型方正 有证可按揭,菏泽市规划展览馆安置房 -中医院,3室2厅 | 130平米 | 南 北 | 其他 | 低楼层(共24层)  | 板塔结合,0人关注 / 一年前发布,88,"6,770元/平"
国贸B区，大三室，采光好，通风效果好，诚心出售,国贸中心B区 -银座,3室2厅 | 153.47平米 | 南 | 其他 | 高楼层(共30层)  | 板楼,17人关注 / 一年前发布,80,"5,213元/平"
电厂家属院 多层公摊小 楼层低适合老人居住,电厂家属院西区 -东电厂,2室2厅 | 78平米 | 南 | 其他 | 中楼层(共4层)  | 板楼,7人关注 / 一年前发布,36,"4,616元/平"
丹阳桥广州路学 陶然美地 三室 诚心出售,陶然美地 -广州路,3室2厅 | 148平米 | 南 北 | 其他 | 高楼层(共11层)  | 板楼,3人关注 / 一年前发布,91.7,"6,196元/平"
此房通透 采光充足 无浪费面积 格局好 公摊少,永和嘉园 -西客站,2室2厅 | 78.93平米 | 南 | 其他 | 低楼层(共27层)  | 板楼,0人关注 / 一年前发布,42,"5,322元/平"
交通家园，装修很好，西边户，诚心出售,天华交通家园 -广州路,3室1厅 | 127平米 | 南 北 | 其他 | 高楼层(共17层)  | 板楼,3人关注 / 9个月以前发布,77,"6,063元/平"
赵王河西边户 三面采光有证可按揭 带车位储藏室,菏泽市规划展览馆安置房 -中医院,3室2厅 | 125平米 | 南 北 | 其他 | 高楼层(共33层)  | 暂无数据,1人关注 / 一年前发布,92.8,"7,424元/平"
水岸嘉苑精装2室 位置优越 交通便利 低于小区成交价,水岸嘉苑 -立交桥,2室2厅 | 91平米 | 南 北 | 其他 | 中楼层(共24层)  | 板塔结合,11人关注 / 一年前发布,54.8,"6,022元/平"
天润和平小区  三室两厅  老证 带储藏室  诚心出售,天润和平小区 -银座,3室1厅 | 72.26平米 | 南 | 其他 | 中楼层(共5层)  | 板楼,1人关注 / 一年前发布,66.5,"9,203元/平"
小高层公摊少，中上楼层，通透性好，二室朝阳,陶然美地 -广州路,2室1厅 | 103平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,1人关注 / 一年前发布,61,"5,923元/平"
房子是小高层带电梯，全明户型老证可按揭，公摊小,南华康城 -立交桥,3室2厅 | 150.4平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,3人关注 / 一年前发布,105,"6,982元/平"
