标题,开发商,房子信息,发布信息,售价/万,单价
宝龙城江南墅边，交通便利。小区环境佳,瑞景名苑 -轮渡路,1室1厅 | 34平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 27天以前发布,75,"22,059元/平"
台州一号 新都会  好户型  小区环境优美,台州中梁阳光城台州一号 -市府,3室2厅 | 129平米 | 南 | 毛坯 | 中楼层(共26层)  | 塔楼,0人关注 / 3个月以前发布,322.8,"25,024元/平"
阳光新景三室好位置143平143万看房方便房东诚心卖,阳光新景小区 -市府,3室1厅 | 143.21平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,143,"9,986元/平"
户型方正，全明格局，视野好，无遮挡,德加公馆 -轮渡路,3室2厅 | 117.1平米 | 南 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 1个月以前发布,310,"26,474元/平"
博雅苑 3室 次新小区 视野好 配套完善,博雅苑 -温岭市,3室2厅 | 88平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 10个月以前发布,195,"22,160元/平"
景隆公馆环境好，三房南，大主卧，业主诚心卖。,景隆公馆 -体育场,3室2厅 | 141.1平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 4个月以前发布,380,"26,932元/平"
名都锦绣花园满两年双朝南楼梯好楼层自住装修保养好,名都·锦绣花园 -机场北路,3室1厅 | 95平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,155.8,"16,400元/平"
翼文苑两室采光好交通便利临中盛百货,翼文苑 -路桥街道,3室2厅 | 68.08平米 | 南 | 简装 | 高楼层(共5层)  | 板楼,12人关注 / 一年前发布,69,"10,136元/平"
好楼层好楼栋。大小区，配套齐全。采光很好,云樾观岭 -温岭市,3室2厅 | 99.79平米 | 南 | 毛坯 | 低楼层(共25层)  | 暂无数据,0人关注 / 4个月以前发布,218,"21,846元/平"
湖悦华庭  电梯高层  边套  视野采光好,湖悦华庭 -温岭市,3室2厅 | 143平米 | 南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,179,"12,518元/平"
海尚望府4室2厅1厨2卫138.8平米,海尚望府 -洪家,4室2厅 | 138.8平米 | 南 | 简装 | 低楼层(共16层)  | 暂无数据,0人关注 / 8个月以前发布,290,"20,894元/平"
蓝庭花园蓝庭花园 小区环境优美，居住舒心,蓝庭花园 -体育场,4室2厅 | 159.6平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,36人关注 / 一年前发布,248,"15,539元/平"
明和雅园  出行方便 ，有一个产权车位。,明和雅苑 -市府,4室2厅 | 143平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 板楼,10人关注 / 9个月以前发布,274.8,"19,217元/平"
东灿 好楼层  精装修  物业好 精装修 房东诚心出售,万科城东苑 -洪家,4室2厅 | 124平米 | 南 | 精装 | 高楼层(共25层)  | 板塔结合,1人关注 / 10个月以前发布,238,"19,194元/平"
精装三朝南，楼层采光好。房东诚心出售。,城市港湾B区 -洪家,3室2厅 | 136.32平米 | 南 | 精装 | 中楼层(共13层)  | 板楼,1人关注 / 一年前发布,155,"11,371元/平"
天韵水岸 南北通，采光充足，配套齐，交通方便,天韵水岸 -市府,3室1厅 | 136平米 | 南 | 毛坯 | 高楼层(共15层)  | 板楼,0人关注 / 一年前发布,450,"33,089元/平"
高层 全新开发商精装修，采光透亮，好户型,万科城东苑 -洪家,3室2厅 | 124平米 | 南 | 精装 | 高楼层(共25层)  | 暂无数据,0人关注 / 4个月以前发布,238,"19,194元/平"
此房满二，楼层好，视野宽阔，采光充足，配套设施齐全,飞霞港湾 -轮渡路,4室3厅 | 147平米 | 南 | 简装 | 中楼层(共11层)  | 板楼,0人关注 / 一年前发布,218,"14,830元/平"
格局好，楼层好，视野开阔，采光充足，配套设施齐全,华荣名筑 -轮渡路,3室2厅 | 120平米 | 南 | 简装 | 高楼层(共14层)  | 板楼,5人关注 / 4个月以前发布,158,"13,167元/平"
采光充足，配套齐，交通方便，环境优美 视野开阔.,熙苑小区 -轮渡路,2室2厅 | 85平米 | 南 | 精装 | 高楼层(共21层)  | 板塔结合,1人关注 / 6个月以前发布,153.8,"18,095元/平"
康平中.心怡园122平小区停车方便离菜场万达近房东诚心,康平▪中心怡苑 -市府,3室2厅 | 122平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,180,"14,755元/平"
美宸园（小洋房公摊小）户型方正 南北通透,华鸿美的美宸园 -路北,4室2厅 | 123.8平米 | 南 北 | 其他 | 中楼层(共11层)  | 板塔结合,0人关注 / 5个月以前发布,204,"16,479元/平"
星光耀（3朝南 户型方正） 接地气 位置好 广场边,星光耀 -路北,3室2厅 | 142平米 | 东 南 | 毛坯 | 低楼层(共27层)  | 板塔结合,7人关注 / 一年前发布,190,"13,381元/平"
品质小区 双白云 前面绿化优美 户型方正通透包车位,天韵水岸 -市府,3室2厅 | 138平米 | 南 | 精装 | 低楼层(共15层)  | 板塔结合,2人关注 / 7个月以前发布,390,"28,261元/平"
万达广场，户型方正 通透 楼层好 采光好 交通方便,万达广场 -市府,3室2厅 | 109.37平米 | 南 | 毛坯 | 低楼层(共31层)  | 板塔结合,0人关注 / 一年前发布,228,"20,847元/平"
海棠花苑 精装修 低层  前后花园,绿城海棠花苑 -体育场,1室1厅 | 118平米 | 南 | 精装 | 低楼层(共16层)  | 板塔结合,4人关注 / 7个月以前发布,278,"23,560元/平"
小户型总价低，配套成熟，读书方便，交通方便,东升大厦 -轮渡路,1室1厅 | 62.43平米 | 南 | 简装 | 中楼层(共18层)  | 板楼,0人关注 / 10个月以前发布,140,"22,426元/平"
老少皆宜 人文环境好  配套齐 居民素质,东升花园南区 -轮渡路,3室2厅 | 133.87平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,1人关注 / 7个月以前发布,160,"11,952元/平"
海尚望府4室2厅1厨2卫138.8平米,海尚望府 -洪家,4室2厅 | 138.8平米 | 南 | 简装 | 低楼层(共16层)  | 暂无数据,0人关注 / 8个月以前发布,290,"20,894元/平"
房子户型方正，楼层好，视野好，房子格局好,福泰苑 -轮渡路,3室2厅 | 179.1平米 | 南 | 精装 | 中楼层(共11层)  | 暂无数据,1人关注 / 一年前发布,290,"16,193元/平"
朝南，精装修，采光充足，交通方便，高楼层视野开阔,天天阳光海岸 -轮渡路,3室2厅 | 130平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,1人关注 / 一年前发布,258,"19,847元/平"
离宝龙广场和银泰城之间小区很大小区里有会所各种游玩,云樾观岭 -温岭市,3室2厅 | 98平米 | 南 | 毛坯 | 高楼层(共27层)  | 暂无数据,0人关注 / 4个月以前发布,228,"23,266元/平"
优质单身公寓 小区环境优雅 自带游乐园 交通便利,天岭春江花苑 -温岭市,1室1厅 | 48.33平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,1人关注 / 一年前发布,120,"24,830元/平"
全明户型三朝南冬暖夏凉很开阳主卧次卧客厅,半岛名苑二期 -温岭市,2室1厅 | 55平米 | 南 | 毛坯 | 低楼层(共13层)  | 暂无数据,5人关注 / 8个月以前发布,118,"21,455元/平"
位置好，好楼层，双九龙区，采光视线好,尚品豪庭 -温岭市,2室2厅 | 158平米 | 东南 | 简装 | 中楼层(共29层)  | 暂无数据,0人关注 / 5个月以前发布,450,"28,482元/平"
高层采光充足，视野开阔，出入方便,坊巷里 -温岭市,2室2厅 | 87.87平米 | 南 | 精装 | 中楼层(共32层)  | 暂无数据,1人关注 / 4个月以前发布,216,"24,582元/平"
横峰鞋材城 楼层佳 采光好 精装 价格实惠,横峰鞋材城 -温岭市,2室2厅 | 88平米 | 南 | 精装 | 中楼层(共30层)  | 塔楼,2人关注 / 7个月以前发布,105,"11,932元/平"
望族学府，配套齐全，出行方便，电梯房，采光好,中梁望族学府 -温岭市,2室1厅 | 70.1平米 | 南 | 毛坯 | 高楼层(共30层)  | 板楼,1人关注 / 9个月以前发布,181,"25,821元/平"
解决孩子问题的好选择，下楼就到，总价低可以陪读,豪成·轩宇公寓 -温岭市,2室2厅 | 64.18平米 | 东南 | 精装 | 高楼层(共13层)  | 板楼,0人关注 / 8个月以前发布,220,"34,279元/平"
金鼎苑小套 总价低 户型方正 配套设施齐全,曙光金鼎苑 -温岭市,2室1厅 | 71.71平米 | 东南 | 简装 | 高楼层(共25层)  | 板楼,0人关注 / 一年前发布,162,"22,591元/平"
云樾观岭25幢大型小区 前排无遮挡视野好 好楼层诚心卖,云樾观岭 -温岭市,3室2厅 | 110平米 | 南 | 毛坯 | 中楼层(共27层)  | 暂无数据,0人关注 / 1个月以前发布,275,"25,000元/平"
户型方正，采光透亮，出行便利，银泰商圈,万科城西苑 -洪家,3室2厅 | 126平米 | 南 | 毛坯 | 中楼层(共25层)  | 板楼,1人关注 / 2个月以前发布,188,"14,921元/平"
京都御府位于温岭新城区，银泰城旁,京都御府 -温岭市,4室2厅 | 156平米 | 南 | 毛坯 | 高楼层(共30层)  | 板楼,0人关注 / 3个月以前发布,465,"29,808元/平"
位于温岭新城区银泰城旁地理位置佳配套全,京都御府 -温岭市,3室2厅 | 133平米 | 东 | 毛坯 | 高楼层(共28层)  | 板楼,0人关注 / 2个月以前发布,345.8,"26,000元/平"
此小区只有6幢房子，楼间距宽，楼栋分布散，互不遮挡,弘峰华庭 -温岭市,4室2厅 | 143平米 | 南 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 2个月以前发布,158,"11,049元/平"
金鼎苑小套 总价低 户型方正 配套设施齐全,曙光金鼎苑 -温岭市,2室1厅 | 71.71平米 | 东南 | 简装 | 高楼层(共25层)  | 板楼,0人关注 / 一年前发布,162,"22,591元/平"
望族学府，配套齐全，出行方便，电梯房，采光好,中梁望族学府 -温岭市,2室1厅 | 70.1平米 | 南 | 毛坯 | 高楼层(共30层)  | 板楼,1人关注 / 9个月以前发布,181,"25,821元/平"
全明户型三朝南冬暖夏凉很开阳主卧次卧客厅,半岛名苑二期 -温岭市,2室1厅 | 55平米 | 南 | 毛坯 | 低楼层(共13层)  | 暂无数据,5人关注 / 8个月以前发布,118,"21,455元/平"
优质单身公寓 小区环境优雅 自带游乐园 交通便利,天岭春江花苑 -温岭市,1室1厅 | 48.33平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,1人关注 / 一年前发布,120,"24,830元/平"
横峰鞋材城 楼层佳 采光好 精装 价格实惠,横峰鞋材城 -温岭市,2室2厅 | 88平米 | 南 | 精装 | 中楼层(共30层)  | 塔楼,2人关注 / 7个月以前发布,105,"11,932元/平"
位置好，好楼层，双九龙区，采光视线好,尚品豪庭 -温岭市,2室2厅 | 158平米 | 东南 | 简装 | 中楼层(共29层)  | 暂无数据,0人关注 / 5个月以前发布,450,"28,482元/平"
高层采光充足，视野开阔，出入方便,坊巷里 -温岭市,2室2厅 | 87.87平米 | 南 | 精装 | 中楼层(共32层)  | 暂无数据,1人关注 / 4个月以前发布,216,"24,582元/平"
京都御府位于温岭新城区，银泰城旁,京都御府 -温岭市,4室2厅 | 156平米 | 南 | 毛坯 | 高楼层(共30层)  | 板楼,0人关注 / 3个月以前发布,465,"29,808元/平"
横峰鞋材城   采光好   小区管理好,横峰鞋材城 -温岭市,2室1厅 | 88平米 | 南 | 毛坯 | 高楼层(共30层)  | 板楼,1人关注 / 一年前发布,102,"11,591元/平"
温岭城西开发区域好房源不等人！！,置信原墅 -温岭市,4室1厅 | 134平米 | 南 | 毛坯 | 中楼层(共23层)  | 板塔结合,2人关注 / 一年前发布,300,"22,389元/平"
李家小区一期沿街高层婚房精装带品牌家电，采光好停车,李家小区一期 -玉环城区,3室2厅 | 160平米 | 东 东南 南 西南 西 | 精装 | 中楼层(共18层)  | 暂无数据,6人关注 / 9个月以前发布,268,"16,750元/平"
房东诚心出售吾悦广场180平毛坯。。。。。。,吾悦广场 -黄岩区,3室1厅 | 180平米 | 南 | 毛坯 | 低楼层(共41层)  | 板楼,2人关注 / 一年前发布,351,"19,500元/平"
新小区环境优美，居住舒适，物业管理严格，人车分流,碧桂园·翰林府 -温岭市,3室2厅 | 89平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 暂无数据,0人关注 / 6个月以前发布,175,"19,663元/平"
此小区只有6幢房子，楼间距宽，楼栋分布散，互不遮挡,弘峰华庭 -温岭市,4室2厅 | 143平米 | 南 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 2个月以前发布,158,"11,049元/平"
户型方正，采光透亮，出行便利，银泰商圈,万科城西苑 -洪家,3室2厅 | 126平米 | 南 | 毛坯 | 中楼层(共25层)  | 板楼,1人关注 / 2个月以前发布,188,"14,921元/平"
云樾观岭25幢大型小区 前排无遮挡视野好 好楼层诚心卖,云樾观岭 -温岭市,3室2厅 | 110平米 | 南 | 毛坯 | 中楼层(共27层)  | 暂无数据,0人关注 / 1个月以前发布,275,"25,000元/平"
解决孩子问题的好选择，下楼就到，总价低可以陪读,豪成·轩宇公寓 -温岭市,2室2厅 | 64.18平米 | 东南 | 精装 | 高楼层(共13层)  | 板楼,0人关注 / 8个月以前发布,220,"34,279元/平"
配套齐全，采光好，小区绿化面积高，交通方便.,杰特大厦 -温岭市,2室1厅 | 77平米 | 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,2人关注 / 一年前发布,169.4,"22,000元/平"
新湖滨江·玖珑春晓，品质住宅，临湖而居,新湖滨江·玖珑春晓 -温岭市,4室2厅 | 147平米 | 西南 | 精装 | 低楼层(共22层)  | 暂无数据,1人关注 / 10个月以前发布,555,"37,756元/平"
城西神童门西子社区楼层佳毛坯房,梦泽苑 -温岭市,3室2厅 | 133.72平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 暂无数据,0人关注 / 7个月以前发布,200,"14,957元/平"
电梯房  高层   朝南户型，采光充足，已满两年,万昌大厦 -温岭市,3室2厅 | 155平米 | 南 | 简装 | 高楼层(共21层)  | 板塔结合,2人关注 / 一年前发布,252,"16,259元/平"
海湾浪琴 138平 3室2厅 带百平独立大露台私家空中花园,海湾浪琴花园 -市府,3室1厅 | 138.62平米 | 南 | 简装 | 中楼层(共4层)  | 板楼,1人关注 / 2个月以前发布,238,"17,170元/平"
位置好，采光足，全新交付小区，房东诚心出售。,沁悦府 -体育场,3室2厅 | 120平米 | 南 | 毛坯 | 中楼层(共7层)  | 暂无数据,1人关注 / 3个月以前发布,300,"25,000元/平"
小区价格便宜一套，位置好，三菱空调,中南远洋樾府 -体育场,3室2厅 | 145平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,5人关注 / 5个月以前发布,298,"20,552元/平"
好的房子不是用来欣赏的是用来享受的,沁悦府 -体育场,3室2厅 | 114平米 | 南 | 毛坯 | 低楼层(共13层)  | 暂无数据,3人关注 / 8个月以前发布,250.2,"21,948元/平"
精致四房，东灿， 楼间距较好，万达商圈,海尚望府 -洪家,4室2厅 | 118.72平米 | 南 | 简装 | 低楼层(共26层)  | 塔楼,3人关注 / 8个月以前发布,203.8,"17,167元/平"
出售 悦城水岸3室2厅2卫，采光号，小区环境好生活方便,悦城水岸 -轮渡路,3室2厅 | 118平米 | 南 | 精装 | 高楼层(共33层)  | 暂无数据,0人关注 / 一年前发布,300,"25,424元/平"
房子户型方正，三朝南，采光无遮挡,星光园小区 -路北,3室2厅 | 120平米 | 南 | 毛坯 | 低楼层(共27层)  | 板塔结合,0人关注 / 1个月以前发布,210,"17,500元/平"
此房满二，楼层好，视野宽阔，采光充足，配套设施齐全,飞霞港湾 -轮渡路,4室3厅 | 147平米 | 南 | 简装 | 中楼层(共11层)  | 板楼,0人关注 / 一年前发布,218,"14,830元/平"
洋洪小区 3室2厅 南,洋洪小区 -路北,3室2厅 | 120.3平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,1人关注 / 一年前发布,160,"13,301元/平"
刚泰一品 小区中间位置 好楼层视野佳 双阳台,刚泰一品花园 -路北,4室2厅 | 213.76平米 | 南 | 毛坯 | 高楼层(共23层)  | 板楼,0人关注 / 一年前发布,480.96,"22,500元/平"
天阳·文昌邸 3室2厅 南,天阳·文昌邸 -路北,3室2厅 | 108.47平米 | 南 | 其他 | 中楼层(共10层)  | 暂无数据,2人关注 / 8个月以前发布,180.5,"16,641元/平"
星光耀广场旁美的美宸园高楼层优选地段,华鸿美的美宸园 -路北,3室1厅 | 99平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 4个月以前发布,160,"16,162元/平"
华鸿美的美宸园三室两厅一厨两卫好位置好户型,华鸿美的美宸园 -路北,3室2厅 | 116平米 | 南 | 简装 | 高楼层(共18层)  | 暂无数据,0人关注 / 5个月以前发布,200,"17,242元/平"
台州一号叠墅，价格实惠 南北通 采光很好，全新小区,台州中梁阳光城台州一号 -市府,4室2厅 | 170平米 | 南 | 毛坯 | 低楼层(共4层)  | 暂无数据,6人关注 / 5个月以前发布,635,"37,353元/平"
海湾浪琴花园4室171.00m² 白云近有车库 精装看房方便,海湾浪琴花园 -市府,4室2厅 | 171平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,257,"15,030元/平"
格局好，交通便利，轻轨旁，私密性强,碧桂园·保利玖樟台 -体育场,4室2厅 | 197平米 | 南 北 | 简装 | 中楼层(共25层)  | 暂无数据,1人关注 / 5个月以前发布,560,"28,427元/平"
碧桂园·都荟华庭3-2-1-2 89.00m²,碧桂园·都荟华庭 -体育场,3室2厅 | 89平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,230,"25,843元/平"
万达边上  台州一号，129平方带车位 看房有密码,台州中梁阳光城台州一号 -市府,4室2厅 | 129平米 | 南 | 毛坯 | 高楼层(共26层)  | 板楼,1人关注 / 一年前发布,325,"25,194元/平"
户型方正，全明格局，视野好，楼间距大，无遮挡,学府水岸小区 -轮渡路,3室2厅 | 137.41平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 板塔结合,0人关注 / 3个月以前发布,320,"23,288元/平"
好的房子不是用来欣赏的是用来享受的,沁悦府 -体育场,3室2厅 | 114平米 | 南 | 毛坯 | 低楼层(共13层)  | 暂无数据,3人关注 / 8个月以前发布,250.2,"21,948元/平"
小区价格便宜一套，位置好，三菱空调,中南远洋樾府 -体育场,3室2厅 | 145平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,5人关注 / 5个月以前发布,298,"20,552元/平"
精致四房，东灿， 楼间距较好，万达商圈,海尚望府 -洪家,4室2厅 | 118.72平米 | 南 | 简装 | 低楼层(共26层)  | 塔楼,3人关注 / 8个月以前发布,203.8,"17,167元/平"
房东诚心出售吾悦广场180平毛坯。。。。。。,吾悦广场 -黄岩区,3室1厅 | 180平米 | 南 | 毛坯 | 低楼层(共41层)  | 板楼,2人关注 / 一年前发布,351,"19,500元/平"
新小区，采光好，价格适中，入住率高。,川安华庭 -温岭市,1室1厅 | 57.88平米 | 南 | 毛坯 | 高楼层(共27层)  | 暂无数据,5人关注 / 一年前发布,79,"13,649元/平"
房东诚心出售，四朝南，采光无遮挡,德信江山一品 -黄岩区,4室2厅 | 143平米 | 南 | 毛坯 | 中楼层(共17层)  | 暂无数据,1人关注 / 一年前发布,232,"16,224元/平"
好楼层好楼栋。大小区，配套齐全。采光很好,云樾观岭 -温岭市,2室2厅 | 98平米 | 南 | 毛坯 | 低楼层(共27层)  | 暂无数据,1人关注 / 4个月以前发布,200,"20,409元/平"
小区新，绿色植物众多，环境秀丽，小区也很幽静,万象国际 -大洋,4室2厅 | 137平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,6人关注 / 7个月以前发布,200.8,"14,657元/平"
学府水岸小区 3室2厅 南,学府水岸小区 -轮渡路,3室2厅 | 138平米 | 南 | 毛坯 | 高楼层(共20层)  | 暂无数据,0人关注 / 1个月以前发布,296,"21,450元/平"
好楼层，小区环境优美，看房方便,万科城东苑 -洪家,3室1厅 | 89平米 | 南 | 简装 | 高楼层(共23层)  | 板楼,2人关注 / 6个月以前发布,169.1,"19,000元/平"
冠郡铭苑 3室2厅 南,冠郡铭苑 -洪家,3室2厅 | 126平米 | 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,0人关注 / 7个月以前发布,200,"15,874元/平"
四室楼层好 位置好 视野开阔 小区绿化环境好,城市家园 -洪家,4室2厅 | 143.5平米 | 南 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 9个月以前发布,218,"15,192元/平"
高层 诚心出售 采光很好 全新小区，四叶草户型,台州中梁阳光城台州一号 -市府,4室2厅 | 129平米 | 南 | 毛坯 | 低楼层(共26层)  | 暂无数据,0人关注 / 一年前发布,308,"23,876元/平"
户型方正 带大阳台 采光较佳 配套丰富 交通便捷,华鸿美的美宸园 -路北,3室2厅 | 99平米 | 南 | 其他 | 高楼层(共17层)  | 板楼,2人关注 / 6个月以前发布,158,"15,960元/平"
降价30万学府水岸靠红星美凯龙，新明国际商场，青悦城,学府水岸小区 -轮渡路,4室2厅 | 140平米 | 南 北 | 毛坯 | 中楼层(共25层)  | 暂无数据,0人关注 / 2个月以前发布,322,"23,000元/平"
南北格局，楼层好，视野开阔，采光充足。,中西花园 -轮渡路,3室1厅 | 90.93平米 | 南 | 毛坯 | 中楼层(共7层)  | 板塔结合,6人关注 / 一年前发布,90,"9,898元/平"
万象国际小区三室两厅一厨一卫。。。。。。。。。,万象国际 -大洋,3室2厅 | 83平米 | 南 | 精装 | 高楼层(共18层)  | 暂无数据,1人关注 / 3个月以前发布,148.8,"17,928元/平"
封闭式小区，人车分离，水系景观丰富,祥生国宾府 -路北,4室2厅 | 123.41平米 | 南 | 简装 | 低楼层(共11层)  | 板楼,7人关注 / 一年前发布,185,"14,991元/平"
台州一号新都会  无需等待入住新房 视野开阔,台州中梁阳光城台州一号 -市府,3室2厅 | 109平米 | 南 | 毛坯 | 高楼层(共26层)  | 板楼,0人关注 / 一年前发布,260.5,"23,900元/平"
冠郡铭苑坐落椒江洪家一级公路边上,冠郡铭苑 -洪家,3室2厅 | 107.67平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 板楼,2人关注 / 一年前发布,183,"16,997元/平"
好楼层好楼栋。大小区，配套齐全。采光很好,云樾观岭 -温岭市,2室2厅 | 98平米 | 南 | 毛坯 | 低楼层(共27层)  | 暂无数据,1人关注 / 4个月以前发布,200,"20,409元/平"
好楼层好楼栋。大小区，配套齐全。采光很好,云樾观岭 -温岭市,3室2厅 | 110平米 | 南 | 毛坯 | 高楼层(共27层)  | 暂无数据,0人关注 / 4个月以前发布,249,"22,637元/平"
万达广场 文渊 大三室 生活配套齐全 降价15万,万达广场 -市府,3室2厅 | 133平米 | 南 | 毛坯 | 中楼层(共31层)  | 板塔结合,0人关注 / 2个月以前发布,278,"20,903元/平"
小区新，绿色植物众多，环境秀丽，小区也很幽静,万象国际 -大洋,4室2厅 | 137平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,6人关注 / 7个月以前发布,200.8,"14,657元/平"
学府水岸小区 3室2厅 南,学府水岸小区 -轮渡路,3室2厅 | 138平米 | 南 | 毛坯 | 高楼层(共20层)  | 暂无数据,0人关注 / 1个月以前发布,296,"21,450元/平"
南北格局，楼层好，视野开阔，采光充足。,中西花园 -轮渡路,3室1厅 | 90.93平米 | 南 | 毛坯 | 中楼层(共7层)  | 板塔结合,6人关注 / 一年前发布,90,"9,898元/平"
美宸园| 用心打造，加倍美感！,华鸿美的美宸园 -路北,3室2厅 | 98平米 | 南 | 毛坯 | 中楼层(共17层)  | 暂无数据,0人关注 / 3个月以前发布,180,"18,368元/平"
本房户型方正，朝南边套，南北通风好，明厨明卫,恒大城市天地 -洪家,4室1厅 | 134.21平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,0人关注 / 5个月以前发布,235,"17,510元/平"
洪家万科城全新精装修三室两厅两卫,万科城东苑 -洪家,3室2厅 | 98平米 | 南 | 精装 | 中楼层(共24层)  | 板塔结合,12人关注 / 10个月以前发布,205.8,"21,000元/平"
滨江金科·锦湖园 4室2厅 南,滨江金科·锦湖园 -温岭市,4室2厅 | 124平米 | 南 | 毛坯 | 高楼层(共16层)  | 暂无数据,0人关注 / 2个月以前发布,338,"27,259元/平"
冠郡铭苑 品质小区 绿城物业  交通方便,冠郡铭苑 -洪家,3室2厅 | 133平米 | 南 北 | 简装 | 低楼层(共26层)  | 板塔结合,0人关注 / 4个月以前发布,187,"14,061元/平"
采光充足，楼层好，视野开阔，户型方正 配套成熟,方远·天辰誉府 -机场北路,4室2厅 | 137.5平米 | 南 | 毛坯 | 低楼层(共17层)  | 暂无数据,0人关注 / 5个月以前发布,293,"21,310元/平"
精品小区，楼层采光好，交通便捷,海尚望府 -洪家,4室2厅 | 128平米 | 南 | 毛坯 | 低楼层(共16层)  | 暂无数据,2人关注 / 8个月以前发布,225,"17,579元/平"
全新精装修，采光透亮，出行方便，银泰商圈购物便利,万科城南苑 -洪家,3室1厅 | 98平米 | 南 | 精装 | 高楼层(共25层)  | 板楼,0人关注 / 4个月以前发布,215.6,"22,000元/平"
万科城南苑 毛坯好楼层 交通方便,万科城南苑 -洪家,3室2厅 | 126平米 | 南 | 毛坯 | 中楼层(共24层)  | 板楼,1人关注 / 3个月以前发布,214,"16,985元/平"
采光透亮，出行方便，银泰商圈购物便利，轻轨边,万科城南苑 -洪家,4室2厅 | 124平米 | 南 | 精装 | 高楼层(共25层)  | 板楼,0人关注 / 1个月以前发布,248,"20,000元/平"
珑悦136平毛坯高层，视野好，采光无遮挡,珑悦名苑 -东平路,3室2厅 | 136平米 | 南 | 毛坯 | 高楼层(共32层)  | 板楼,3人关注 / 9个月以前发布,280,"20,589元/平"
东京湾小区  业主诚心出售，54平只要98.8万,东京湾自由城 -东平路,1室1厅 | 54平米 | 西 | 精装 | 低楼层(共17层)  | 板塔结合,8人关注 / 8个月以前发布,98.8,"18,297元/平"
采光充足，配套齐，交通方便，环境优美 视野开阔,中央花园 -东平路,4室2厅 | 255平米 | 南 | 毛坯 | 中楼层(共21层)  | 板楼,0人关注 / 2个月以前发布,820,"32,157元/平"
一公里范围内，银泰百货，宝龙广场 温岭人民医院,弘峰华庭 -温岭市,3室2厅 | 143平米 | 南 | 毛坯 | 低楼层(共32层)  | 暂无数据,0人关注 / 2个月以前发布,154.6,"10,812元/平"
全国地产品牌十强、精品物业，适宜成功人士,玉兰广场商务大厦 -东平路,3室2厅 | 169.99平米 | 北 | 精装 | 低楼层(共16层)  | 暂无数据,0人关注 / 3个月以前发布,338,"19,884元/平"
位置好，价格包车位，   看房方便,荣安华府 -东平路,3室2厅 | 142.47平米 | 南 | 简装 | 中楼层(共13层)  | 板楼,2人关注 / 一年前发布,346,"24,286元/平"
碧水豪庭朝南好 房，房子 通透，位置好，光线好,银都碧水豪庭 -桐屿,3室2厅 | 138平米 | 南 | 毛坯 | 低楼层(共14层)  | 板楼,1人关注 / 一年前发布,207,"15,000元/平"
万科城东苑 精装修 中  央空调已装好,万科城东苑 -洪家,4室2厅 | 124.04平米 | 南 | 精装 | 高楼层(共25层)  | 板塔结合,0人关注 / 7个月以前发布,248,"19,994元/平"
城市港湾三室毛坯 高层采光好临云健近轻轨站,城市港湾B区 -洪家,3室2厅 | 142.05平米 | 南 | 毛坯 | 高楼层(共22层)  | 板楼,8人关注 / 一年前发布,170.46,"12,000元/平"
好楼层好楼栋。大小区，配套齐全。采光很好,云樾观岭 -温岭市,3室2厅 | 143平米 | 南 | 毛坯 | 低楼层(共27层)  | 暂无数据,0人关注 / 4个月以前发布,371.8,"26,000元/平"
