标题,开发商,房子信息,发布信息,售价/万,单价
金属材料公司家属院，精装好房，配套齐全,金属材料公司家属院 -驿城区,3室2厅 | 125.02平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 30天以前发布,46,"3,680元/平"
雪松路西段全新毛坯六室三厅一厨三卫有证可按揭,皇家一里二期 -驿城区,6室3厅 | 355平米 | 南 北 | 毛坯 | 5层  | 塔楼,0人关注 / 2个月以前发布,280,"7,888元/平"
楼层好，视野宽阔，采光充足，配套设施齐全，交通..,银丰清水园 -驿城区,3室2厅 | 133.68平米 | 南 | 毛坯 | 9层  | 塔楼,0人关注 / 3个月以前发布,86,"6,434元/平"
通达小区 3室2厅 南,通达小区 -驿城区,3室2厅 | 152平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,170,"11,185元/平"
：此房满五，户型方正，通厅通透，全天采光无遮挡,谷邢庄小区东区 -驿城区,3室2厅 | 138.89平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 3个月以前发布,77.8,"5,602元/平"
三开间朝南，视野开阔，采光充足，配套设施齐全，,鼎盛新城 -驿城区,4室2厅 | 141平米 | 南 | 毛坯 | 中楼层(共26层)  | 塔楼,0人关注 / 4个月以前发布,78,"5,532元/平"
证件齐全  该房格局好，视野宽阔，采光充足，配套齐全,驿城碧桂园 -驿城区,3室2厅 | 119平米 | 南 | 简装 | 27层  | 塔楼,0人关注 / 2个月以前发布,73,"6,135元/平"
鹏宇天下城 户型方正 采光好 空间感强,鹏宇天下城 -驿城区,3室2厅 | 113平米 | 南 | 简装 | 低楼层(共26层)  | 板塔结合,0人关注 / 6个月以前发布,80,"7,080元/平"
体育场旁美域美家 温馨三室洋房 随时看房采光佳,美域美家 -驿城区,3室1厅 | 90.95平米 | 南 | 毛坯 | 中楼层(共10层)  | 塔楼,2人关注 / 6个月以前发布,58,"6,378元/平"
房东急卖婚房  一天没住  随时可以过户,同信滨江1号 -驿城区,3室2厅 | 123平米 | 南 北 | 精装 | 中楼层(共18层)  | 塔楼,0人关注 / 2个月以前发布,98.8,"8,033元/平"
真实在售。看房方便。出行便利。配套齐全。,市商务局第二家属院 -驿城区,2室1厅 | 86平米 | 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,43.5,"5,059元/平"
此房采光好，老证，精装修，没怎么入住过，视野开阔,惠邦联盟新城 -驿城区,3室2厅 | 118.96平米 | 南 北 | 精装 | 33层  | 塔楼,0人关注 / 1个月以前发布,96.8,"8,138元/平"
小区环境优美，房间楼层好，户型别具一格，,碧桂园清月湾 -驿城区,4室2厅 | 163平米 | 南 | 简装 | 中楼层(共8层)  | 塔楼,0人关注 / 3个月以前发布,230,"14,111元/平"
外贸轻工家属院 简装三室 三卧朝阳 老证,外贸轻工家属院 -驿城区,3室2厅 | 107.82平米 | 南 | 简装 | 中楼层(共5层)  | 板塔结合,0人关注 / 3个月以前发布,42,"3,896元/平"
体育场西班牙小镇.电梯洋房.有证可按揭.看房方便,天中上境I期 -驿城区,3室2厅 | 140平米 | 南 | 毛坯 | 8层  | 板楼,0人关注 / 3个月以前发布,114.8,"8,200元/平"
凤凰城，有证，双气，中间楼层好，采光无遮挡,东申凤凰城 -驿城区,3室2厅 | 142.5平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 6个月以前发布,136,"9,544元/平"
楼层好格局好，视野开阔，采光充足，配套设施齐全,弘佳花园 -驿城区,5室3厅 | 286.22平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,135,"4,717元/平"
上海滩花园4-2-1-2 142.81m²,上海滩花园 -驿城区,4室2厅 | 142.81平米 | 南 | 毛坯 | 低楼层(共28层)  | 板楼,0人关注 / 2个月以前发布,77,"5,392元/平"
西班牙小镇二期 3室2厅 南,西班牙小镇二期 -驿城区,3室2厅 | 114平米 | 南 | 精装 | 33层  | 塔楼,0人关注 / 1个月以前发布,73,"6,404元/平"
风光城市广场 3室2厅 东南,风光城市广场 -驿城区,3室2厅 | 105平米 | 东南 | 简装 | 高楼层(共30层)  | 板楼,0人关注 / 3个月以前发布,55,"5,239元/平"
：旁边有菜市场.小区西边有小游园，天中书苑。,都市易居 -驿城区,2室2厅 | 102.56平米 | 南 | 精装 | 7层  | 板楼,0人关注 / 1个月以前发布,75,"7,313元/平"
欣悦苑精装三房，，中间楼层，可按揭,欣悦苑 -驿城区,3室2厅 | 120平米 | 西 | 精装 | 31层  | 塔楼,0人关注 / 1个月以前发布,105,"8,750元/平"
欣悦苑精装三房，，中间楼层，可按揭,欣悦苑 -驿城区,3室2厅 | 120平米 | 西 | 精装 | 31层  | 塔楼,0人关注 / 1个月以前发布,105,"8,750元/平"
翡翠城翡苑 4室2厅 南,翡翠城翡苑 -驿城区,4室2厅 | 172.36平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,110,"6,382元/平"
楼层好格局好，视野开阔，采光充足，配套设施齐全,弘佳花园 -驿城区,5室3厅 | 286.22平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,135,"4,717元/平"
全新精装修两房 一天未入住，市中    心位置老证,时代春天 -驿城区,2室2厅 | 83平米 | 南 东南 | 精装 | 中楼层(共26层)  | 暂无数据,1人关注 / 5个月以前发布,70,"8,434元/平"
该房格局好，三楼，视野宽阔，采光充足，配套设施齐全,驿城碧桂园 -驿城区,4室2厅 | 139.01平米 | 南 | 简装 | 低楼层(共27层)  | 塔楼,5人关注 / 4个月以前发布,78,"5,612元/平"
实中旁，锦桂苑，毛坯三房，户型方正，双气，看房方便,锦桂苑 -驿城区,3室2厅 | 122.75平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 塔楼,5人关注 / 4个月以前发布,51.8,"4,220元/平"
体育场旁户型方正、环境优美通厅通透,天中上境I期 -驿城区,3室2厅 | 156.64平米 | 南 | 毛坯 | 34层  | 塔楼,0人关注 / 2个月以前发布,86.6,"5,529元/平"
蓝天洋房高档小区，两卧朝南，楼间距宽全天采光,蓝天尚品 -驿城区,3室2厅 | 139平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,10人关注 / 4个月以前发布,74,"5,324元/平"
南区洋房社区，金水湾，户型方正，看房提前联系,金水湾 -驿城区,3室2厅 | 134.5平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 塔楼,0人关注 / 5个月以前发布,97,"7,212元/平"
该房格局好，楼层好，视野宽阔，采光充足，配套齐全,驿城碧桂园 -驿城区,3室2厅 | 119平米 | 南 | 简装 | 中楼层(共27层)  | 暂无数据,1人关注 / 3个月以前发布,70,"5,883元/平"
爱克A区装修顶层复式，房东诚心出售，看房方便，老证,CBD爱克·首府 -驿城区,6室2厅 | 237.65平米 | 南 | 简装 | 高楼层(共12层)  | 板塔结合,16人关注 / 一年前发布,140,"5,892元/平"
纬二路金河绿城小区 毛坯大三房  有证可按揭,金河绿城小区 -驿城区,3室2厅 | 136平米 | 南 西 | 毛坯 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,66.6,"4,898元/平"
格局好，通厅通透，视野开阔，配套设施齐全，,开源小区 -驿城区,3室2厅 | 126.06平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,75,"5,950元/平"
"中乐国际公馆全新毛坯,户型方正,有证可按揭",中乐国际公馆 -驿城区,3室2厅 | 149.5平米 | 南 | 毛坯 | 低楼层(共27层)  | 板楼,0人关注 / 1个月以前发布,120,"8,027元/平"
建业十八城 精装未入住 业主诚心售房 随时可看房,建业十八城四期 -驿城区,3室2厅 | 111.2平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 5个月以前发布,113.5,"10,207元/平"
锦桂苑，交通便利，购物方便，停车方便。,锦桂苑 -驿城区,3室1厅 | 114.75平米 | 南 | 毛坯 | 高楼层(共11层)  | 板塔结合,0人关注 / 7个月以前发布,76.8,"6,693元/平"
乐山路置地花园精装修3房.有证可按揭.看房方便,置地花园 -驿城区,3室2厅 | 128平米 | 南 | 精装 | 高楼层(共26层)  | 塔楼,1人关注 / 3个月以前发布,89.9,"7,024元/平"
蓝天尚品 3室2厅 南,蓝天尚品 -驿城区,3室2厅 | 139平米 | 南 | 毛坯 | 低楼层(共32层)  | 塔楼,1人关注 / 4个月以前发布,82,"5,900元/平"
户型方正 采光好 交通便利 配套设施齐全,锦桂苑 -驿城区,3室2厅 | 105平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板塔结合,2人关注 / 5个月以前发布,61,"5,810元/平"
高铁商务区，品质小区，环境优美，居住舒适出行方便,置地弘润山 -驿城区,3室2厅 | 125平米 | 东 | 简装 | 高楼层(共27层)  | 塔楼,0人关注 / 2个月以前发布,88.9,"7,112元/平"
本房在楼层好   洋房三楼 全天采光，视野开阔,天中上境I期 -驿城区,2室2厅 | 90.69平米 | 南 | 毛坯 | 8层  | 塔楼,0人关注 / 2个月以前发布,70.2,"7,741元/平"
带地下车位，西班牙小镇二期，精装四室老证，随时看房,西班牙小镇二期 -驿城区,4室2厅 | 149.87平米 | 东 | 精装 | 33层  | 塔楼,0人关注 / 1个月以前发布,110,"7,340元/平"
（驿城碧桂园4-2-1-2 142.41m² 143 万）,驿城碧桂园 -驿城区,4室2厅 | 142.41平米 | 西 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,143,"10,042元/平"
该房格局好，视野宽阔，采光充足，配套设施齐全。,驿城碧桂园 -驿城区,4室2厅 | 138.99平米 | 南 | 精装 | 中楼层(共27层)  | 暂无数据,0人关注 / 4个月以前发布,85,"6,116元/平"
森林公园旁，碧水芳庭，毛坯房，电梯阔绰3室2厅2卫,碧水芳庭小区 -驿城区,3室2厅 | 140.5平米 | 南 | 毛坯 | 高楼层(共13层)  | 板塔结合,0人关注 / 1个月以前发布,69,"4,912元/平"
凤凰城中间层 三房两卫 全天采光 双气 老证税费低,东申凤凰城 -驿城区,3室2厅 | 140.5平米 | 东南 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,116,"8,257元/平"
（同信江屿洲3-2-1-1 87.00m² 50 万）,同信江屿洲 -驿城区,3室2厅 | 87平米 | 西南 | 毛坯 | 高楼层(共18层)  | 板楼,1人关注 / 1个月以前发布,49.8,"5,725元/平"
步梯二楼，户型可以，。。。。。,驿安小区 -驿城区,3室1厅 | 96.01平米 | 南 北 | 简装 | 中楼层(共5层)  | 板塔结合,0人关注 / 2个月以前发布,43,"4,479元/平"
中大舒绮苑 电梯洋房 通透户型 双气小区,中大舒绮苑 -驿城区,4室2厅 | 157.59平米 | 南 | 毛坯 | 高楼层(共8层)  | 板塔结合,1人关注 / 1个月以前发布,88,"5,585元/平"
此房户型方正，格局合理，采光好，目前空置,飞龙小区西区 -驿城区,3室2厅 | 101平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,1人关注 / 5个月以前发布,68,"6,733元/平"
置地北苑3-2-1-2 139.17m² 108 万,置地·天中第一城北苑 -驿城区,3室2厅 | 139.17平米 | 南 | 其他 | 低楼层(共26层)  | 板塔结合,0人关注 / 2个月以前发布,108,"7,761元/平"
建业城3-2-1-2 144.02m² 130 万,建业城 -驿城区,3室2厅 | 144.02平米 | 南 | 毛坯 | 低楼层(共20层)  | 板楼,0人关注 / 3个月以前发布,130,"9,027元/平"
福華御苑B区3-2-1-2 125.15m²,福華御苑B区 -驿城区,3室2厅 | 125.15平米 | 南 | 毛坯 | 10层  | 塔楼,1人关注 / 4个月以前发布,76,"6,073元/平"
九粮店小区 两室老证可按揭 户型方正 采光佳,九粮店小区 -驿城区,2室1厅 | 65平米 | 南 | 简装 | 6层  | 板楼,0人关注 / 2个月以前发布,26.8,"4,124元/平"
北区毛坯边户大三房，户型方正，采光好,富華名门小区 -驿城区,3室2厅 | 142.38平米 | 南 | 毛坯 | 高楼层(共28层)  | 塔楼,0人关注 / 3个月以前发布,82.7,"5,809元/平"
此房格局好，视野开阔，采光充足，配套设施齐全,海云世纪城 -驿城区,3室2厅 | 168平米 | 南 北 | 精装 | 低楼层(共17层)  | 塔楼,0人关注 / 2个月以前发布,119,"7,084元/平"
恒大名都 精装三房 户型方正 交通方便,驻马店恒大名都 -驿城区,3室2厅 | 112平米 | 南 北 | 精装 | 33层  | 板楼,0人关注 / 5个月以前发布,90,"8,036元/平"
华源名城   三房两厅两卫  毛坯  户型方正  看房方便,华源名城 -驿城区,3室2厅 | 126平米 | 南 | 毛坯 | 高楼层(共20层)  | 暂无数据,0人关注 / 3个月以前发布,88,"6,985元/平"
民生美庐印象 5室2厅 南,民生美庐印象 -驿城区,5室2厅 | 221.31平米 | 南 | 其他 | 6层  | 板楼,1人关注 / 2个月以前发布,150,"6,778元/平"
万隆小区 三房 野开阔 采光好 有证可按揭,万隆小区 -驿城区,3室2厅 | 110平米 | 南 | 精装 | 6层  | 板楼,2人关注 / 一年前发布,47,"4,273元/平"
碧桂园清月湾3-1-1-2 135.67m² 107 万,碧桂园清月湾 -驿城区,3室1厅 | 135.67平米 | 南 | 简装 | 中楼层(共33层)  | 塔楼,0人关注 / 2个月以前发布,107,"7,887元/平"
民生天都星城北区 3室2厅 南 西南,民生天都星城北区 -驿城区,3室2厅 | 126平米 | 南 西南 | 简装 | 5层  | 板楼,0人关注 / 1个月以前发布,82,"6,508元/平"
爱家紫薇苑简装修小3房带家具家电老证可按揭,爱家紫薇苑小区 -驿城区,3室1厅 | 83平米 | 南 | 简装 | 高楼层(共27层)  | 板楼,0人关注 / 3个月以前发布,66,"7,952元/平"
碧桂园清月湾 温馨三房 楼层好 看房方便,碧桂园清月湾 -驿城区,3室2厅 | 115平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 4个月以前发布,97,"8,435元/平"
飞龙西区，3楼西户，精装修，楼层佳，采光好,飞龙小区西区 -驿城区,3室1厅 | 90平米 | 南 | 精装 | 中楼层(共5层)  | 板塔结合,1人关注 / 1个月以前发布,53,"5,889元/平"
天中名苑电梯洋房，毛坯 老证过户便宜,天中茗苑 -驿城区,3室1厅 | 125平米 | 南 | 毛坯 | 中楼层(共8层)  | 暂无数据,0人关注 / 2个月以前发布,59,"4,720元/平"
上海滩花园4-2-1-2 142.81m²,上海滩花园 -驿城区,4室2厅 | 142.81平米 | 南 | 毛坯 | 高楼层(共28层)  | 板楼,0人关注 / 2个月以前发布,71,"4,972元/平"
森林公园隔壁 福华御苑 电梯洋房,福華御苑A区 -驿城区,3室1厅 | 132平米 | 南 | 精装 | 低楼层(共19层)  | 塔楼,0人关注 / 10个月以前发布,89.8,"6,804元/平"
电梯入户 ，楼层格局都好，，环境优美.,驿城碧桂园 -驿城区,5室2厅 | 267.29平米 | 南 | 毛坯 | 中楼层(共25层)  | 塔楼,5人关注 / 一年前发布,140,"5,238元/平"
位置好、配套齐、得房率高、老证、看房方便,古城电厂家属院 -驿城区,3室1厅 | 82平米 | 南 | 简装 | 高楼层(共5层)  | 塔楼,0人关注 / 5个月以前发布,30,"3,659元/平"
中间楼层 115平三房  诚心出售,皇家一里二期 -驿城区,3室2厅 | 114.21平米 | 南 | 毛坯 | 27层  | 塔楼,0人关注 / 3个月以前发布,69.8,"6,112元/平"
高铁商务区，品质小区，居住环境舒适，出行方便,同信缤纷之窗 -驿城区,3室2厅 | 88.08平米 | 南 | 简装 | 高楼层(共25层)  | 板楼,0人关注 / 2个月以前发布,72.6,"8,243元/平"
买房s车位 配房 楼栋位置挺好的 前排是别墅 有房产证,同信滨江1号 -驿城区,4室2厅 | 161.45平米 | 南 | 毛坯 | 中楼层(共6层)  | 塔楼,0人关注 / 4个月以前发布,125,"7,743元/平"
置地天中第 一城北苑三室两厅两卫精装修可以按揭,置地·天中第一城北苑 -驿城区,3室2厅 | 135平米 | 南 | 精装 | 中楼层(共26层)  | 塔楼,0人关注 / 4个月以前发布,125,"9,260元/平"
置地弘润山，毛坯三室，有证，两卧朝阳，客厅朝南,置地弘润山 -驿城区,3室2厅 | 107平米 | 南 | 毛坯 | 中楼层(共25层)  | 塔楼,1人关注 / 4个月以前发布,70,"6,543元/平"
凤凰城 毛坯大三室 采光好 带储藏室 老证,东申凤凰城 -驿城区,3室2厅 | 141平米 | 南 | 毛坯 | 高楼层(共32层)  | 板楼,0人关注 / 4个月以前发布,158,"11,206元/平"
爱克首 府B区一楼带大院，毛坯双气，老证！,CBD爱克首府B区 -驿城区,4室2厅 | 155.79平米 | 东 西 | 毛坯 | 低楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,230,"14,764元/平"
驿城新村，2楼，双气小区，看房方便有钥匙,驿城新村 -驿城区,3室1厅 | 80.26平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,3人关注 / 2个月以前发布,39.8,"4,959元/平"
恒基名都 4-2-1-2  151.2平方   100万,恒基名都 -驿城区,4室2厅 | 151.2平米 | 西 | 毛坯 | 高楼层(共25层)  | 板楼,0人关注 / 6个月以前发布,99.8,"6,601元/平"
欣悦苑有证可按揭，户型好交通便利，实小二中旁。,欣悦苑 -驿城区,3室2厅 | 154.08平米 | 南 | 毛坯 | 30层  | 板楼,1人关注 / 4个月以前发布,125,"8,113元/平"
民生美庐印象 5室2厅 南,民生美庐印象 -驿城区,5室2厅 | 221.31平米 | 南 | 其他 | 6层  | 板楼,1人关注 / 2个月以前发布,150,"6,778元/平"
万隆小区 三房 野开阔 采光好 有证可按揭,万隆小区 -驿城区,3室2厅 | 110平米 | 南 | 精装 | 6层  | 板楼,2人关注 / 一年前发布,47,"4,273元/平"
森林公园隔壁 福华御苑 电梯洋房,福華御苑A区 -驿城区,3室1厅 | 132平米 | 南 | 精装 | 低楼层(共19层)  | 塔楼,0人关注 / 10个月以前发布,89.8,"6,804元/平"
高铁商务区，品质小区，居住环境舒适，出行方便,同信缤纷之窗 -驿城区,3室2厅 | 88.08平米 | 南 | 简装 | 高楼层(共25层)  | 板楼,0人关注 / 2个月以前发布,72.6,"8,243元/平"
买房s车位 配房 楼栋位置挺好的 前排是别墅 有房产证,同信滨江1号 -驿城区,4室2厅 | 161.45平米 | 南 | 毛坯 | 中楼层(共6层)  | 塔楼,0人关注 / 4个月以前发布,125,"7,743元/平"
电梯入户 ，楼层格局都好，，环境优美.,驿城碧桂园 -驿城区,5室2厅 | 267.29平米 | 南 | 毛坯 | 中楼层(共25层)  | 塔楼,5人关注 / 一年前发布,140,"5,238元/平"
位置好、配套齐、得房率高、老证、看房方便,古城电厂家属院 -驿城区,3室1厅 | 82平米 | 南 | 简装 | 高楼层(共5层)  | 塔楼,0人关注 / 5个月以前发布,30,"3,659元/平"
置地天中第 一城北苑三室两厅两卫精装修可以按揭,置地·天中第一城北苑 -驿城区,3室2厅 | 135平米 | 南 | 精装 | 中楼层(共26层)  | 塔楼,0人关注 / 4个月以前发布,125,"9,260元/平"
中间楼层 115平三房  诚心出售,皇家一里二期 -驿城区,3室2厅 | 114.21平米 | 南 | 毛坯 | 27层  | 塔楼,0人关注 / 3个月以前发布,69.8,"6,112元/平"
湖景现房小高层3-2-1-2 137.39m²,嘉和苑 -驿城区,3室2厅 | 137.39平米 | 南 | 毛坯 | 高楼层(共12层)  | 暂无数据,0人关注 / 5个月以前发布,75.8,"5,518元/平"
茵悦世家4-2-1-2 141.00m²,茵悦世家 -驿城区,4室2厅 | 141平米 | 南 | 毛坯 | 11层  | 板楼,0人关注 / 2个月以前发布,80,"5,674元/平"
建业十八城四期，南北通厅通透，户型方正，有证可按揭,建业十八城四期 -驿城区,5室3厅 | 241平米 | 南 | 毛坯 | 高楼层(共31层)  | 板楼,3人关注 / 一年前发布,200,"8,299元/平"
置地弘润山，毛坯三室，有证，两卧朝阳，客厅朝南,置地弘润山 -驿城区,3室2厅 | 107平米 | 南 | 毛坯 | 中楼层(共25层)  | 塔楼,1人关注 / 4个月以前发布,70,"6,543元/平"
爱克首 府B区一楼带大院，毛坯双气，老证！,CBD爱克首府B区 -驿城区,4室2厅 | 155.79平米 | 东 西 | 毛坯 | 低楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,230,"14,764元/平"
凤凰城 毛坯大三室 采光好 带储藏室 老证,东申凤凰城 -驿城区,3室2厅 | 141平米 | 南 | 毛坯 | 高楼层(共32层)  | 板楼,0人关注 / 4个月以前发布,158,"11,206元/平"
碧桂园清月湾3-1-1-2 135.67m² 107 万,碧桂园清月湾 -驿城区,3室1厅 | 135.67平米 | 南 | 简装 | 中楼层(共33层)  | 塔楼,0人关注 / 2个月以前发布,107,"7,887元/平"
该房格局好，楼层好，视野宽阔，采光充足，配套设..,驿城碧桂园 -驿城区,3室2厅 | 119平米 | 南 | 简装 | 27层  | 塔楼,1人关注 / 2个月以前发布,73,"6,135元/平"
爱克首  府四房，毛坯可随意装修，双气可按揭,CBD爱克首府B区 -驿城区,4室2厅 | 140平米 | 南 | 毛坯 | 高楼层(共26层)  | 平房,0人关注 / 一年前发布,103,"7,358元/平"
同信世博院，全新毛坯，无遮挡，看房提前联系,同信世博院 -驿城区,2室1厅 | 82.33平米 | 南 | 毛坯 | 高楼层(共27层)  | 板塔结合,0人关注 / 4个月以前发布,45,"5,466元/平"
蓝天集团家属院（雪松大道）2-1-1-1 78.00m² 38 万）,蓝天集团家属院（雪松大道） -驿城区,2室1厅 | 78平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 3个月以前发布,32,"4,103元/平"
置地品牌楼盘3-2-1-2 133.75m² 129 万）,置地·天中第一城 -驿城区,3室2厅 | 133.75平米 | 南 | 毛坯 | 低楼层(共5层)  | 板塔结合,0人关注 / 3个月以前发布,118,"8,823元/平"
此房楼层好，户型方正，格局好，视野开阔。采光充足。,驿城碧桂园 -驿城区,5室2厅 | 267.29平米 | 南 | 毛坯 | 中楼层(共25层)  | 塔楼,3人关注 / 一年前发布,131.8,"4,931元/平"
同信滨江一号，洋房社区，采光好，看房方便,同信滨江1号 -驿城区,3室2厅 | 136.61平米 | 南 | 毛坯 | 低楼层(共6层)  | 塔楼,0人关注 / 1个月以前发布,93.8,"6,867元/平"
此房无抵押，无贷款 您可以按照您的喜好自己装饰,金盾花园 -驿城区,3室2厅 | 142.5平米 | 南 | 毛坯 | 中楼层(共34层)  | 板楼,0人关注 / 6个月以前发布,75,"5,264元/平"
乐山路北段，小三房，已装修，可随时看房,伟恒·枫叶城 -驿城区,3室2厅 | 103平米 | 南 | 简装 | 低楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,50,"4,855元/平"
建业春天里，采光佳，毛坯有证，三房两卫,建业春天里 -驿城区,3室2厅 | 115.69平米 | 南 | 毛坯 | 高楼层(共27层)  | 塔楼,2人关注 / 3个月以前发布,73.9,"6,388元/平"
该房格局好，楼层好，视野宽阔，采光充足，配套设施..,驿城碧桂园 -驿城区,4室2厅 | 139.1平米 | 南 | 精装 | 27层  | 塔楼,0人关注 / 1个月以前发布,86,"6,183元/平"
全天采光，两卧朝南，视野开阔。,通达小区 -驿城区,3室2厅 | 135.18平米 | 南 | 毛坯 | 高楼层(共31层)  | 板楼,0人关注 / 3个月以前发布,126,"9,321元/平"
电梯洋房一梯两户精装修带地暖交通便利环境优美,民生 · 天都星城南区 -驿城区,3室2厅 | 131平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,92.8,"7,084元/平"
置地公园旁 森林氧吧  大三房毛坯房有证可按揭,福華御苑A区 -驿城区,3室2厅 | 153.06平米 | 南 | 毛坯 | 低楼层(共11层)  | 板塔结合,0人关注 / 5个月以前发布,91.8,"5,998元/平"
建业十八城四期，南北通厅通透，户型方正，有证可按揭,建业十八城四期 -驿城区,5室3厅 | 241平米 | 南 | 毛坯 | 高楼层(共31层)  | 板楼,3人关注 / 一年前发布,200,"8,299元/平"
（时代春天3-2-1-2 136.00m² 99 万,时代春天 -驿城区,3室2厅 | 136平米 | 西 东 | 毛坯 | 高楼层(共9层)  | 板塔结合,0人关注 / 2个月以前发布,99,"7,280元/平"
（美域美家3-2-1-2 142.20m² 125 万）,美域美家 -驿城区,3室2厅 | 142.2平米 | 南 北 | 精装 | 中楼层(共8层)  | 塔楼,0人关注 / 3个月以前发布,122.5,"8,615元/平"
此房精装修，老证 格局合理，采光好 ，交通方便,福華御苑B区 -驿城区,3室2厅 | 126平米 | 南 | 精装 | 11层  | 塔楼,0人关注 / 2个月以前发布,83,"6,588元/平"
该房格局好，南北通透   出行方便 两卧客厅朝南,驿城碧桂园 -驿城区,3室2厅 | 119平米 | 南 北 | 简装 | 高楼层(共27层)  | 塔楼,0人关注 / 4个月以前发布,72,"6,051元/平"
天腾盛世，电梯10楼，全天采光，户型方正，有证可按揭,天腾盛世 -驿城区,3室2厅 | 116.61平米 | 南 | 毛坯 | 中楼层(共23层)  | 板楼,0人关注 / 1个月以前发布,65.8,"5,643元/平"
此房楼层好，格局好，视野开阔，采光充足配套设施齐全,锦桂苑 -驿城区,3室2厅 | 105.79平米 | 南 | 毛坯 | 中楼层(共26层)  | 板塔结合,0人关注 / 2个月以前发布,60.6,"5,729元/平"
大平层，15楼好楼层，视野开阔。,碧桂园清月湾 -驿城区,5室2厅 | 263.5平米 | 东 南 | 精装 | 高楼层(共16层)  | 塔楼,3人关注 / 6个月以前发布,290,"11,006元/平"
爱克b区7楼边户 带配房老子房东诚心卖 老证 看房方便,CBD爱克首府B区 -驿城区,3室2厅 | 118平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,81,"6,865元/平"
该房格局好，楼层好，视野宽阔，配套设施齐全。,驿城碧桂园 -驿城区,3室1厅 | 118.77平米 | 南 | 精装 | 中楼层(共25层)  | 暂无数据,0人关注 / 1个月以前发布,74.7,"6,290元/平"
同信江屿洲，毛坯三房，通厅户型，采光好，看房方便,同信江屿洲 -驿城区,3室2厅 | 86.88平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,58,"6,676元/平"
（同信滨江1号4-2-1-2 157.00m² 120 万）,同信滨江1号 -驿城区,4室2厅 | 157平米 | 南 | 毛坯 | 中楼层(共10层)  | 塔楼,0人关注 / 1个月以前发布,117,"7,453元/平"
同信滨江1号4-2-1-2 132.38m²,同信滨江1号 -驿城区,4室2厅 | 132.38平米 | 南 | 毛坯 | 高楼层(共6层)  | 塔楼,0人关注 / 1个月以前发布,105,"7,932元/平"
同信世博院3-2-1-1 108.00m²,同信世博院 -驿城区,3室2厅 | 100.08平米 | 西南 | 毛坯 | 中楼层(共27层)  | 板楼,1人关注 / 3个月以前发布,58.2,"5,816元/平"
天中第1城西苑精装修顶楼复式有证可按揭,置地天中第一城西苑 -驿城区,5室3厅 | 216.16平米 | 南 | 精装 | 高楼层(共18层)  | 塔楼,5人关注 / 一年前发布,169,"7,819元/平"
此房户型方正.通厅通透.采光充足.紧挨爱家百货环境好,大修厂家属院 -驿城区,2室2厅 | 80.9平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 5个月以前发布,40,"4,945元/平"
莱茵湖 买一层得两层 五楼六楼复式 带大平台,民生 · 天都星城南区 -驿城区,5室3厅 | 104平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,28人关注 / 一年前发布,65,"6,250元/平"
昌建誉峰 成熟小区环境优美 采光好,昌建誉峰 -驿城区,3室2厅 | 122.34平米 | 南 北 | 精装 | 低楼层(共26层)  | 塔楼,0人关注 / 2个月以前发布,82,"6,703元/平"
建业森林半岛，环境优美，交通便利，购物方便,驻马店建业森林半岛 -驿城区,3室2厅 | 127.96平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,18人关注 / 9个月以前发布,79.8,"6,237元/平"
