标题,开发商,房子信息,发布信息,售价/万,单价
龙湖澜岸小区三室两厅两卫，户型方正，适合居住,龙湖澜岸 -华龙区,3室2厅 | 126.36平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板塔结合,0人关注 / 1个月以前发布,77,"6,094元/平"
此房8月份满五唯一，房子干净整洁，随时看房,金庆小区 -华龙区,3室2厅 | 120平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,58,"4,834元/平"
林海花园三室两厅两卫满五唯一，,林海花园 -南乐县,3室2厅 | 130平米 | 西 | 简装 | 中楼层(共7层)  | 暂无数据,2人关注 / 8个月以前发布,66,"5,077元/平"
瑞景新城3室2厅，小区环境好，交通便利。,瑞景新城 -华龙区,3室2厅 | 132平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,93,"7,046元/平"
新城福苑三室两厅两卫，交通便利，小区环境干净舒适,中力中央新城福苑 -南乐县,3室2厅 | 125.39平米 | 东 | 毛坯 | 高楼层(共22层)  | 暂无数据,1人关注 / 6个月以前发布,58,"4,626元/平"
棕榈泉  三室两厅两卫看房方便,棕榈泉东区 -华龙区,3室2厅 | 132平米 | 南 北 | 其他 | 高楼层(共30层)  | 暂无数据,0人关注 / 11个月以前发布,104,"7,879元/平"
南乐林海花园 四室两厅两卫一厨,林海花园 -南乐县,4室2厅 | 180平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 5个月以前发布,75,"4,167元/平"
海斯顿  毛坯房  业主支持贷款  看房子方便,汇丰·海斯顿公园 -华龙区,4室2厅 | 140平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 板塔结合,1人关注 / 5个月以前发布,115,"8,215元/平"
冶都中央公园三室两厅两卫刚装好没人住看房方便,冶都中央公园 -清丰县,3室2厅 | 123平米 | 南 | 简装 | 中楼层(共18层)  | 暂无数据,0人关注 / 11个月以前发布,71,"5,773元/平"
房子是四室两厅两卫，交通便利，小区环境舒适，适合居,泰和新城 -南乐县,4室2厅 | 152平米 | 东 | 精装 | 高楼层(共12层)  | 暂无数据,1人关注 / 8个月以前发布,87,"5,724元/平"
中原都市花园东区 三室两厅两卫 中间楼层 采光很好,中原都市花園东区 -华龙区,3室2厅 | 128平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 3个月以前发布,105,"8,204元/平"
南江一期四室两厅一厨一卫 业主诚心出售。,南江小区一期 -华龙区,4室2厅 | 126.13平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,3人关注 / 10个月以前发布,85,"6,740元/平"
九天城户型方正采光充足居住舒适,九天城 -华龙区,6室2厅 | 330平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 6个月以前发布,350,"10,607元/平"
公园一品电梯房、3室2谈2卫、交通便利,公园一品 -濮阳县,3室2厅 | 124平米 | 南 北 | 简装 | 低楼层(共26层)  | 暂无数据,1人关注 / 7个月以前发布,68,"5,484元/平"
一楼一楼，精装三室，带120平左右的院子，随时可看，,荣域小区 -华龙区,3室2厅 | 110平米 | 南 北 | 精装 | 低楼层(共22层)  | 暂无数据,2人关注 / 4个月以前发布,126,"11,455元/平"
越绣樟园小区 3室2厅交通便利 小区环境干净舒适,华信越绣樟园 -华龙区,3室2厅 | 137平米 | 西 | 毛坯 | 高楼层(共28层)  | 暂无数据,0人关注 / 一年前发布,90,"6,570元/平"
铁三局职工家属院 3室2厅 南,铁三局职工家属院 -华龙区,3室2厅 | 98平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 6个月以前发布,88,"8,980元/平"
盟城小区北区三楼楼层好业主诚心出售,盟东小区北院 -华龙区,3室2厅 | 107平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 6个月以前发布,87,"8,131元/平"
铁三局职工家属院 3室2厅 南,铁三局职工家属院 -华龙区,3室2厅 | 98平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 6个月以前发布,88,"8,980元/平"
此房精装修南北通透，户型好楼层好不影响采光配套齐全,四季果岭 -华龙区,4室2厅 | 147.03平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,135,"9,182元/平"
阳光花园南区 4室2厅 南,阳光花园南区 -南乐县,4室2厅 | 189平米 | 南 | 精装 | 高楼层(共11层)  | 暂无数据,0人关注 / 一年前发布,95,"5,027元/平"
兴龙湾毛坯现房，带电梯南北通透格局，到手后随意装修,兴龙湾三期 -华龙区,3室2厅 | 135平米 | 南 北 | 其他 | 低楼层(共30层)  | 塔楼,0人关注 / 7个月以前发布,73,"5,408元/平"
建业新城三室两厅交通便利小区环境干净舒适适合居住,建业新城三期 -华龙区,3室2厅 | 142平米 | 南 北 | 精装 | 高楼层(共25层)  | 暂无数据,0人关注 / 5个月以前发布,100,"7,043元/平"
鑫瑞花园小区三室两厅交通便利环境干净舒适适合居住,文武苑 -濮阳县,3室2厅 | 110平米 | 西 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 9个月以前发布,65,"5,910元/平"
翰林苑二期，四室两厅两卫，楼层好户型方正采光充足。,翰林苑 -华龙区,4室2厅 | 145平米 | 南 | 毛坯 | 低楼层(共22层)  | 暂无数据,0人关注 / 4个月以前发布,110,"7,587元/平"
此房是华清御园小区，六室两厅两卫一厨，小区环境干净,华清御园 -华龙区,6室2厅 | 172平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 塔楼,0人关注 / 3个月以前发布,148,"8,605元/平"
创优小区两室一厅，家里干净适合居住,创优小区 -华龙区,2室1厅 | 93平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,58,"6,237元/平"
鑫雅花园大面积户型诚心出售看房提前联系,馨雅花园 -华龙区,6室2厅 | 168.9平米 | 南 北 | 简装 | 高楼层(共4层)  | 暂无数据,0人关注 / 2个月以前发布,140,"8,289元/平"
林海花园三室两厅两卫  出行方便 适合居住,林海花园 -南乐县,3室2厅 | 113平米 | 西 | 简装 | 中楼层(共18层)  | 暂无数据,1人关注 / 5个月以前发布,74,"6,549元/平"
林海花园三室两厅两卫123平方,林海花园 -南乐县,3室2厅 | 121平米 | 西 | 精装 | 中楼层(共18层)  | 暂无数据,2人关注 / 6个月以前发布,78,"6,447元/平"
昆吾花园南北通透简单装修看房方便,昆吾花园一期 -华龙区,3室2厅 | 102平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,82,"8,040元/平"
学府大道小区 2室2厅 南 北,学府大道小区 -清丰县,2室2厅 | 83平米 | 南 北 | 精装 | 高楼层(共18层)  | 暂无数据,0人关注 / 10个月以前发布,45,"5,422元/平"
凯旋城壹号   毛坯房    三室两厅两卫   边户,凯旋城壹号 -华龙区,3室2厅 | 140平米 | 南 北 | 其他 | 低楼层(共26层)  | 暂无数据,0人关注 / 4个月以前发布,117,"8,358元/平"
不夜城社区全款可以走一手房手续,不夜城新区 -南乐县,3室2厅 | 110.7平米 | 西 | 简装 | 高楼层(共6层)  | 暂无数据,2人关注 / 11个月以前发布,60,"5,421元/平"
庆建小区 三室两厅一卫 精装修满五不唯一，看房方便,庆建南区 -华龙区,3室2厅 | 114平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,1人关注 / 11个月以前发布,71,"6,229元/平"
昌盛园三室两厅两卫，家电齐全，精装修拎包入住,昌盛园 -南乐县,3室2厅 | 121平米 | 东 | 精装 | 高楼层(共17层)  | 暂无数据,0人关注 / 3个月以前发布,82,"6,777元/平"
房子是三室朝阳的户型还带院子，没有遮挡采光无不错,四季果岭 -华龙区,3室2厅 | 104平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,105,"10,097元/平"
小区环境好，南北通透，满五唯一,世纪景苑北区 -华龙区,3室2厅 | 124平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,149,"12,017元/平"
农商银行家属院三室交通便利 小区环境干净舒适,农村信用社家属院 -濮阳县,3室2厅 | 133平米 | 西 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,63,"4,737元/平"
中房锦绣花园 交通便利 小区环境干净舒适 适合居住,中房锦绣花园 -华龙区,3室2厅 | 133平米 | 西 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,212,"15,940元/平"
中间楼层南北通的，采光充足。年轻的业主，住的不错,中原都市花园西区 -华龙区,3室2厅 | 98.38平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 8个月以前发布,95,"9,657元/平"
小区交通便利，配套成熟，干净舒适，适合居住,康平小区 -华龙区,3室2厅 | 84.36平米 | 南 北 | 精装 | 高楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,61,"7,231元/平"
出售 温莎尚郡四室两厅两卫 精装修复式楼,温莎尚郡 -南乐县,4室2厅 | 195平米 | 南 北 | 精装 | 高楼层(共11层)  | 暂无数据,2人关注 / 7个月以前发布,125,"6,411元/平"
瑞祥文苑 三室两厅两卫 交通便利 适合居住 随时签约,瑞祥文苑 -华龙区,3室2厅 | 133.76平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,109,"8,149元/平"
此房3室2厅一厨一卫，交通便利，小区环境干净舒适，,绿景花园 -华龙区,3室2厅 | 106平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 8个月以前发布,108,"10,189元/平"
房子精装修，四室两厅两卫，房屋空间大,富育小区 -濮阳县,4室2厅 | 144平米 | 东 | 精装 | 中楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,78,"5,417元/平"
未来城 精装四室两厅两卫 视野开阔,未来城一期 -濮阳县,4室2厅 | 165.69平米 | 南 | 精装 | 中楼层(共26层)  | 暂无数据,0人关注 / 2个月以前发布,110,"6,639元/平"
此房3室2厅一厨一卫，交通便利，小区环境干净舒适，,绿景花园 -华龙区,3室2厅 | 106平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 8个月以前发布,108,"10,189元/平"
出售 温莎尚郡四室两厅两卫 精装修复式楼,温莎尚郡 -南乐县,4室2厅 | 195平米 | 南 北 | 精装 | 高楼层(共11层)  | 暂无数据,2人关注 / 7个月以前发布,125,"6,411元/平"
丽景上品一期，电梯房总层高9层，一梯两户，公摊小。,丽景上品上品坊 -华龙区,3室2厅 | 183平米 | 南 北 | 毛坯 | 中楼层(共9层)  | 板楼,0人关注 / 3个月以前发布,145,"7,924元/平"
林海花园 3室朝阳 精装修 可以拎包入住 看房方便,林海花园 -华龙区,3室2厅 | 108平米 | 南 北 | 精装 | 高楼层(共11层)  | 暂无数据,1人关注 / 10个月以前发布,58,"5,371元/平"
房子是满五唯一，采光好，两室客厅朝阳,碧水云天 -华龙区,3室2厅 | 92平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,75,"8,153元/平"
华府山水小区3室2厅。交通便利，小区环境干净舒适。,华府山水 -华龙区,3室2厅 | 100平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,2人关注 / 8个月以前发布,88.5,"8,850元/平"
房子是四室两厅两卫一阳台支持贷款,书香门地 -华龙区,4室2厅 | 158.67平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,132,"8,320元/平"
中央公园精装修拎包入住四室两厅两卫诚心出售,中央公园 -华龙区,4室2厅 | 165.32平米 | 南 北 | 精装 | 中楼层(共26层)  | 暂无数据,0人关注 / 3个月以前发布,135,"8,166元/平"
温泉花园一楼带院诚心出售看房方便,温泉花园 -华龙区,3室2厅 | 120平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,0人关注 / 5个月以前发布,136,"11,334元/平"
海薇苑三室两厅一卫诚心出售户型方正,海薇苑 -华龙区,3室1厅 | 110.19平米 | 南 | 其他 | 高楼层(共4层)  | 暂无数据,1人关注 / 5个月以前发布,70,"6,353元/平"
业主诚意出售南江三期南北通透采光通透，看房方便,南江小区三期 -华龙区,3室2厅 | 105平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,3人关注 / 9个月以前发布,64.8,"6,172元/平"
盟城新区三室大暖房带一间地下室,盟城新区 -华龙区,3室2厅 | 96平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,95,"9,896元/平"
昆吾花园一期  三室简单装修 看房方便,昆吾花园一期 -华龙区,3室2厅 | 115.94平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,82,"7,073元/平"
行政南小区 3室1厅 南 北,行政南小区 -华龙区,3室1厅 | 100平米 | 南 北 | 其他 | 中楼层(共4层)  | 暂无数据,0人关注 / 8个月以前发布,138,"13,800元/平"
交通便利 小区环境 干净舒适 适合居住；,龙之光 -华龙区,3室2厅 | 123.7平米 | 南 | 毛坯 | 低楼层(共30层)  | 暂无数据,1人关注 / 7个月以前发布,110,"8,893元/平"
城区，位置好；南北通透，格局好；,熙龙湾 -清丰县,3室2厅 | 114.94平米 | 南 北 | 毛坯 | 低楼层(共19层)  | 暂无数据,0人关注 / 3个月以前发布,46,"4,003元/平"
兴粮嘉苑三室两厅一卫交通便利小区环境干净舒适适合居,兴粮嘉苑 -南乐县,3室2厅 | 104平米 | 南 | 精装 | 低楼层(共17层)  | 暂无数据,1人关注 / 11个月以前发布,62,"5,962元/平"
南江三期北边(黄河路与和谐路南）三室两厅两卫精装修,南江小区三期 -华龙区,3室2厅 | 149.5平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,1人关注 / 9个月以前发布,92.6,"6,194元/平"
三室两厅 小区环境好 交通便利 住着舒适,世纪景苑北区 -华龙区,3室2厅 | 107平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,105,"9,814元/平"
建业新城四期，三室两厅两卫，毛坯房，次顶楼,建业新城四期 -华龙区,3室2厅 | 124.38平米 | 西 | 毛坯 | 高楼层(共27层)  | 暂无数据,0人关注 / 5个月以前发布,66,"5,307元/平"
翰林苑一期毛坯房中间楼层业主诚心出售,翰林苑 -华龙区,3室2厅 | 129.5平米 | 南 | 其他 | 高楼层(共18层)  | 暂无数据,1人关注 / 一年前发布,108,"8,340元/平"
城中城大三室此房教育资源齐全，业主诚心出售,城中城 -华龙区,3室2厅 | 119平米 | 南 北 | 简装 | 中楼层(共26层)  | 板楼,0人关注 / 8个月以前发布,170,"14,286元/平"
紫竹苑精装修，三室两厅两卫，步梯四楼，业主诚心出售,紫竹苑小区 -清丰县,3室2厅 | 131.5平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,53,"4,031元/平"
出售泰和新城   电梯中间楼层  3/2/1,泰和新城 -南乐县,3室2厅 | 109平米 | 南 北 | 精装 | 中楼层(共12层)  | 暂无数据,1人关注 / 3个月以前发布,70,"6,423元/平"
玉都时代小区业主诚心出售，户型好，采光好，视野宽阔,玉都时代 -清丰县,3室2厅 | 128.72平米 | 南 北 | 其他 | 中楼层(共18层)  | 暂无数据,1人关注 / 一年前发布,55,"4,273元/平"
天成美景    三室两厅   99平,天成美景 -清丰县,3室2厅 | 99平米 | 东南 西北 | 毛坯 | 低楼层(共17层)  | 暂无数据,1人关注 / 11个月以前发布,52,"5,253元/平"
公园一品，交通便利，小区环境干净舒适,公园一品 -濮阳县,3室2厅 | 126平米 | 南 北 | 其他 | 低楼层(共26层)  | 暂无数据,0人关注 / 7个月以前发布,75,"5,953元/平"
房子急售、满五户型方正、四室两厅,学府世家 -华龙区,4室2厅 | 153.3平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,105,"6,850元/平"
学府世家四室两厅一厨两卫交通便利适合居住,学府世家 -华龙区,4室2厅 | 153.8平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,120,"7,803元/平"
汇丰东湖湾 3室2厅2卫 毛坯房 可随意装修,汇丰东湖湾 -华龙区,3室2厅 | 135平米 | 西 | 毛坯 | 高楼层(共26层)  | 暂无数据,2人关注 / 一年前发布,81,"6,000元/平"
东湖湾小区  交通便利 小区环境干净舒适 适合居住,汇丰东湖湾 -华龙区,4室2厅 | 135平米 | 南 北 | 精装 | 低楼层(共26层)  | 暂无数据,0人关注 / 2个月以前发布,96,"7,112元/平"
谢东小区  两室一厅一卫 交通方便,谢东小区 -华龙区,3室2厅 | 88平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 11个月以前发布,65,"7,387元/平"
房子三室朝阳经典户型，五楼非顶层业主诚心出售,金辉小区 -华龙区,3室2厅 | 100平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,3人关注 / 7个月以前发布,66,"6,600元/平"
出售瑜达苑三室两厅两卫有地暖很暖和,翰林府苑 -南乐县,3室2厅 | 129.82平米 | 南 北 | 精装 | 高楼层(共18层)  | 暂无数据,2人关注 / 10个月以前发布,65,"5,007元/平"
业主诚意出售精装好房香榭丽素质住户三室两厅,香榭里 -华龙区,3室2厅 | 102平米 | 南 北 | 精装 | 低楼层(共26层)  | 板楼,0人关注 / 11个月以前发布,102,"10,000元/平"
盟东新区，步梯五楼，三室朝阳结构，南北通透采光充足,盟东新区 -华龙区,3室2厅 | 94.56平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,70,"7,403元/平"
温馨花园步梯三层，三室两厅两卫，家具齐全,温馨花园 -南乐县,3室2厅 | 125平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,2人关注 / 8个月以前发布,65,"5,200元/平"
交通便利 小区环境干净舒适 适合居住,绿洲风景 -华龙区,3室2厅 | 132.47平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,107,"8,078元/平"
出售 兴乐花园三室两厅两卫 户型方正 交通便利,兴乐花园 -南乐县,3室2厅 | 134平米 | 南 北 | 简装 | 中楼层(共11层)  | 暂无数据,2人关注 / 3个月以前发布,69,"5,150元/平"
电梯房位置好，上学方便，出行方便，交通便利。户型好,近水樓臺 -华龙区,3室2厅 | 106平米 | 南 | 精装 | 高楼层(共16层)  | 板楼,1人关注 / 一年前发布,95,"8,963元/平"
建行生活区  一楼带院看房方便,开发区建行生活区东院 -华龙区,3室2厅 | 95平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,2人关注 / 11个月以前发布,95,"10,000元/平"
物华国际城二期 3室2厅 南 北,物华国际城二期 -华龙区,3室2厅 | 113.5平米 | 南 北 | 简装 | 中楼层(共27层)  | 塔楼,0人关注 / 4个月以前发布,92,"8,106元/平"
此房三室两厅一厨一卫，经典户型南北通透，户型好,四季果岭 -华龙区,3室2厅 | 110平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,79,"7,182元/平"
瑞泰花园三室两厅两卫一厨，交通便利，小区环境干净。,瑞泰花园 -华龙区,3室2厅 | 128平米 | 南 | 精装 | 高楼层(共26层)  | 暂无数据,0人关注 / 8个月以前发布,97,"7,579元/平"
龙城国际小区交通便利，小区环境干净舒适，适合居住，,龙城国际西区 -华龙区,3室2厅 | 118平米 | 南 北 | 简装 | 高楼层(共33层)  | 暂无数据,2人关注 / 8个月以前发布,64,"5,424元/平"
昆吾花园二期 3室2厅 南 北,昆吾花园二期 -华龙区,3室2厅 | 126.5平米 | 南 北 | 简装 | 低楼层(共12层)  | 板楼,0人关注 / 7个月以前发布,110,"8,696元/平"
三室两厅 三室朝南户型 小区环境干净 交通方便,康乐小区 -华龙区,3室2厅 | 104.15平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,96,"9,218元/平"
凯帝国际公馆三室两厅两卫户型方正,凯帝国际公馆 -华龙区,3室2厅 | 140.09平米 | 南 | 精装 | 中楼层(共25层)  | 暂无数据,0人关注 / 7个月以前发布,138,"9,851元/平"
此房满五年，楼层好，视野宽阔，采光充足,联通佳苑 -华龙区,3室2厅 | 121.15平米 | 南 北 | 毛坯 | 高楼层(共16层)  | 暂无数据,0人关注 / 2个月以前发布,92,"7,594元/平"
水景弯三室两厅两卫 满五唯一 带地下室,水景湾 -华龙区,3室2厅 | 114平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 11个月以前发布,92,"8,071元/平"
房子精装修，三室两厅两卫，户型方正 ，交通方便，，,公园一品 -濮阳县,3室2厅 | 127平米 | 西 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 9个月以前发布,70,"5,512元/平"
房子三室两厅两卫，中间楼层，通风效果好,城投花园 -濮阳县,3室2厅 | 113.27平米 | 东南 | 毛坯 | 低楼层(共17层)  | 暂无数据,0人关注 / 11个月以前发布,56,"4,944元/平"
龙溪地小区，小区配套成熟，出行方便！,龙溪地 -濮阳县,3室1厅 | 100.84平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 9个月以前发布,52,"5,157元/平"
龙溪地小区 3室2厅  交通便利 小区环境干净舒适,龙溪地 -濮阳县,3室2厅 | 117平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,60,"5,129元/平"
建业城凤凰层，三开间朝南精装修,建业城4期 -濮阳县,3室2厅 | 129平米 | 南 | 精装 | 高楼层(共18层)  | 暂无数据,1人关注 / 8个月以前发布,73,"5,659元/平"
建业城市花园3.4楼支持贷款看房方便,建业城市花园 -华龙区,6室3厅 | 242平米 | 西 | 毛坯 | 中楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,216,"8,926元/平"
学府世家步梯三楼公摊小两室一厅朝阳户型方正南北通透,学府世家 -华龙区,3室2厅 | 122.55平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,109.5,"8,936元/平"
燕园洋房  精装修  三室两厅两卫    四楼  仅售60万,燕园洋房 -华龙区,3室2厅 | 133.46平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,60,"4,496元/平"
添运小区 三室两厅一卫 简单装修,添运小区(南海路) -华龙区,3室2厅 | 92平米 | 东 | 其他 | 低楼层(共5层)  | 暂无数据,3人关注 / 一年前发布,67.8,"7,370元/平"
华府山水精装修三室两厅两卫，户型方正,华府山水 -华龙区,3室2厅 | 128平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 10个月以前发布,98,"7,657元/平"
华府山水精装修三室两厅两卫，户型方正,华府山水 -华龙区,3室2厅 | 128平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 10个月以前发布,98,"7,657元/平"
海斯顿，三室两厅 一卫  现代简约风格清新系，精装修,汇丰·海斯顿公园 -华龙区,3室2厅 | 117平米 | 南 北 | 精装 | 中楼层(共30层)  | 暂无数据,0人关注 / 2个月以前发布,103,"8,804元/平"
建业新城业主包税交通便利小区环境干净舒适,建业新城四期 -华龙区,3室2厅 | 92平米 | 西南 | 毛坯 | 高楼层(共23层)  | 暂无数据,2人关注 / 6个月以前发布,55,"5,979元/平"
添运小区 三室两厅一卫 简单装修,添运小区(南海路) -华龙区,3室2厅 | 92平米 | 东 | 其他 | 低楼层(共5层)  | 暂无数据,3人关注 / 一年前发布,67.8,"7,370元/平"
此房学府世家小区，交通便利小区环境干净舒适适合居住,学府世家 -华龙区,3室2厅 | 114.6平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,90,"7,854元/平"
一楼不带院，带一间小平房，有意向可以看房,区三中家属院 -华龙区,3室2厅 | 86.32平米 | 南 北 | 其他 | 低楼层(共5层)  | 暂无数据,3人关注 / 7个月以前发布,64,"7,415元/平"
恒昌花园小区交通便利购物方便，干净舒适适合居住，,恒昌花园 -南乐县,3室2厅 | 133平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,73,"5,489元/平"
房子是一楼两室朝阳户型好，楼层好光线充足，设施齐全,玉兰花园 -华龙区,3室2厅 | 108平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,120,"11,112元/平"
一实小旁三室拎包入住，满五唯一支持贷款,龙城新村 -濮阳县,3室2厅 | 95.21平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,49.6,"5,210元/平"
君恒悦海棠房子是四室两厅一厨两卫的房子,君恒悦海棠 -华龙区,4室2厅 | 153.8平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 暂无数据,1人关注 / 一年前发布,108,"7,023元/平"
龙城国际西区，三室两厅，交通便利，小区环境舒适。,龙城国际西区 -华龙区,3室2厅 | 120平米 | 南 北 | 精装 | 低楼层(共33层)  | 暂无数据,3人关注 / 一年前发布,83,"6,917元/平"
阳光丁香园3室2厅交通便利小区环境干净舒适适合居住,阳光丁香园 -华龙区,3室2厅 | 110平米 | 南 北 | 简装 | 高楼层(共18层)  | 暂无数据,1人关注 / 11个月以前发布,83,"7,546元/平"
滨南小区三室两厅一卫交通便利   小区环境干净舒适,滨南小区 -华龙区,3室2厅 | 97平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 3个月以前发布,106,"10,928元/平"
三室两厅两卫精装修婚房业主诚心出售,中央公园 -华龙区,3室2厅 | 118.49平米 | 南 | 精装 | 高楼层(共26层)  | 暂无数据,4人关注 / 10个月以前发布,90,"7,596元/平"
此房步梯五楼满五不唯一，一个点税，看房有钥匙随时看,中银小区 -华龙区,3室2厅 | 97平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 11个月以前发布,60,"6,186元/平"
越秀国际小区业主，诚心出售，小区位置好。,越秀国际 -清丰县,3室2厅 | 114平米 | 南 北 | 其他 | 中楼层(共19层)  | 暂无数据,0人关注 / 一年前发布,56,"4,913元/平"
房子是精装房，此房是西边户，业主诚意出售此房。,冶都世外桃源 -清丰县,3室2厅 | 122平米 | 南 北 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,65,"5,328元/平"
房屋户型好，采光好，空间大，南北通透,华清文苑一期 -华龙区,3室2厅 | 110平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,75,"6,819元/平"
鑫海花园小区，户型方正，采光好，南北通透，适合居住,鑫海花园 -华龙区,3室2厅 | 115平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 5个月以前发布,86,"7,479元/平"
铁三局家属院  好楼层  房子干净整洁  全明通透户型,铁三局职工家属院 -华龙区,2室1厅 | 72平米 | 南 | 精装 | 低楼层(共5层)  | 暂无数据,0人关注 / 7个月以前发布,100,"13,889元/平"
10年契税票，油田十七中十七小，三室两厅,鑫海花园 -华龙区,3室2厅 | 114平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,97,"8,509元/平"
建业璟园新交房三室两厅两卫，小区环境干净美观舒适，,建业璟园 -濮阳县,3室2厅 | 108.64平米 | 南 | 毛坯 | 高楼层(共27层)  | 暂无数据,1人关注 / 一年前发布,56,"5,155元/平"
一楼带院新装修  干净舒适 带大地下室,龙升佳苑 -濮阳县,3室2厅 | 120平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,1人关注 / 8个月以前发布,71.8,"5,984元/平"
南乐泰隆新村  上下两层  八室四厅四卫,泰隆新村 -南乐县,8室4厅 | 140平米 | 南 | 简装 | 低楼层(共15层)  | 暂无数据,0人关注 / 4个月以前发布,120,"8,572元/平"
