标题,开发商,房子信息,发布信息,售价/万,单价
自在澜湾空中别墅，西面看湖，东面观海。,自在澜湾 -荣成市,4室3厅 | 205.8平米 | 南 北 | 毛坯 | 高楼层(共15层)  | 塔楼,104人关注 / 一年前发布,110,"5,345元/平"
华发往东 信泰龙润 小区环境好 房子新 毛坯房，好楼层,信泰龙润 -九龙湾,3室2厅 | 149平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 一年前发布,149,"10,000元/平"
华发九龙湾四期  人车分流 品质小区,华发九龙湾四期 -九龙湾,3室2厅 | 139平米 | 南 北 | 简装 | 低楼层(共32层)  | 塔楼,0人关注 / 2个月以前发布,212,"15,252元/平"
临港区尚书院 实验旁 一楼带院 毛坯三室 满二 带车储,启润尚书院 -临港区,3室2厅 | 120平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 一年前发布,117.98,"9,832元/平"
长青温泉明珠花园洋房102.95平三室装修带地上车位,温泉明珠 -温泉,3室1厅 | 102.95平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,3人关注 / 一年前发布,92,"8,937元/平"
电梯房东边户  全明户型三室精装电梯单独入户拎包入住,华夏山海城向阳花园水岸公馆 -华夏,3室2厅 | 123.5平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,120,"9,717元/平"
天泽府别墅230平带基础设备装修3个地下车位598万出售,祥泰天泽府 -九龙湾,5室2厅 | 230平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 板楼,1人关注 / 一年前发布,538,"23,392元/平"
商圈成熟 位置好 南向 一室一厅 离海近,银滩之心福海苑 -银滩旅游度假区,1室1厅 | 60平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,5人关注 / 4个月以前发布,15.5,"2,584元/平"
温泉明珠电梯花园洋房3楼 三室两厅两卫 多30平阳台,温泉明珠 -温泉,3室2厅 | 124平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,3人关注 / 一年前发布,95.8,"7,726元/平"
温泉山水城电梯小高层三室两卫南北通透,威海山水城 -温泉,3室2厅 | 123.87平米 | 东 南 北 | 毛坯 | 高楼层(共11层)  | 板楼,2人关注 / 1个月以前发布,69.8,"5,635元/平"
一期 看海东边户 恒大海上帝景 高楼层,威海恒大海上帝景 -望岛,4室2厅 | 152.7平米 | 南 北 | 精装 | 中楼层(共31层)  | 板楼,1人关注 / 10个月以前发布,297.5,"19,483元/平"
华发三期 位置好 一线看海 好楼层 精装未住人 海景,华发九龙湾三期 -九龙湾,3室2厅 | 142平米 | 南 北 | 精装 | 中楼层(共30层)  | 板塔结合,17人关注 / 一年前发布,320,"22,536元/平"
户型方正 采光通风效果好 配套齐全,天山水榭花都 -文登市区,3室2厅 | 130平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,2人关注 / 一年前发布,73,"5,616元/平"
环翠区西门北环翠楼南海城巷带储藏室出售,海城巷 -环翠楼,2室2厅 | 75平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,63.6,"8,480元/平"
恒大海上帝景 精装128.35平 好楼层品牌家电车草另算,威海恒大海上帝景 -望岛,3室2厅 | 128.35平米 | 南 北 | 精装 | 低楼层(共31层)  | 板楼,5人关注 / 一年前发布,215.5,"16,791元/平"
步梯二楼 精装三居配套成熟购物方便,银滩假日 -银滩旅游度假区,3室2厅 | 120平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,2人关注 / 3个月以前发布,39.6,"3,300元/平"
恒大海上帝景150平东边户，精装修四室两卫可看海,威海恒大海上帝景 -望岛,4室2厅 | 153.8平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,248,"16,125元/平"
蓝天广场 顶加阁 大露台 装修不错  房东回外地急售,蓝天广场 -海水浴场,4室2厅 | 208平米 | 东 南 北 | 简装 | 高楼层(共6层)  | 板楼,28人关注 / 一年前发布,158,"7,597元/平"
湾九里一线海景 精装修 南北通透 看房方便,华润威海湾九里 -竹岛,3室2厅 | 140平米 | 南 北 | 精装 | 低楼层(共41层)  | 板楼,0人关注 / 1个月以前发布,265,"18,929元/平"
电梯小高层，公摊小，东边户南北通透。,山水家园 -望岛,3室2厅 | 154.34平米 | 东 南 北 | 精装 | 中楼层(共11层)  | 板楼,13人关注 / 一年前发布,276,"17,883元/平"
大拇指广场 集中供暖 中 央空调 家用电梯 精装拎包,颐和花园 -银滩旅游度假区,5室2厅 | 274平米 | 南 北 | 精装 | 低楼层(共3层)  | 板楼,16人关注 / 7个月以前发布,255,"9,307元/平"
盛德世纪家园，顶层复式242平6室2卫大平台,盛德世纪家园 -海水浴场,6室2厅 | 242平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,5人关注 / 5个月以前发布,209,"8,637元/平"
经区小城故事多层4楼三室一卫毛坯房无附属,天东家园小城故事 -天东&南曲阜,3室1厅 | 89.18平米 | 南 北 | 毛坯 | 中楼层(共5层)  | 板楼,6人关注 / 一年前发布,73.8,"8,276元/平"
九龙湾商圈 杨家滩 森威花园 多层 三室 好楼层,森威花园 -皇冠,3室2厅 | 110.5平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,5人关注 / 一年前发布,149,"13,485元/平"
银河海景御花园3+4+5花园洋房诚意出售！,银河海景御花园 -银滩旅游度假区,5室2厅 | 272平米 | 南 北 | 精装 | 4层  | 板楼,4人关注 / 3个月以前发布,90,"3,309元/平"
颐顺园 春风里北面 顶加阁  5室4卫,颐顺园 -田村（田和）,5室3厅 | 188平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,4人关注 / 3个月以前发布,113.8,"6,054元/平"
东骏阅山一楼带院，南北通透，户型好，带储藏室,东骏阅山 -天东&南曲阜,3室2厅 | 78.99平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,4人关注 / 一年前发布,82,"10,382元/平"
寨子大润发南边，大岚寺好地角。楼下有停车场,大岚寺生活小区 -寨子,3室2厅 | 80平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 6个月以前发布,59,"7,375元/平"
经区滨海龙城多层顶加阁楼层好采光好视野好带大露台,滨海龙城 -蒿泊,3室2厅 | 139平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,8人关注 / 一年前发布,100,"7,195元/平"
温州商厦9层电梯房，三室两厅精装未住，前后无遮挡。,温州商厦 -文登市区,3室2厅 | 116平米 | 南 | 精装 | 中楼层(共21层)  | 板塔结合,0人关注 / 7个月以前发布,59,"5,087元/平"
市中 南大桥 尚城国际二期 近海不靠海 一楼带大院子,尚城国际南区 -环翠楼,3室2厅 | 140平米 | 南 北 | 精装 | 低楼层(共12层)  | 板楼,2人关注 / 2个月以前发布,187.8,"13,415元/平"
多层顶加阁，前后无遮挡，南北通透，生活基础设施齐全,工友城莱茵小镇 -温泉,3室2厅 | 123平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,92,"7,480元/平"
九龙湾毛坯现房三室两卫边户好楼层带储藏室,阳光海上城 -九龙湾,3室1厅 | 128平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 板楼,4人关注 / 7个月以前发布,145,"11,329元/平"
经区九龙明珠花园东边户带一储藏室,九龙明珠花园 -九龙湾,3室2厅 | 148平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,6人关注 / 一年前发布,186,"12,568元/平"
九龙城商圈 龙跃国际二期 楼前无遮挡 采光好南北通透,龙跃国际二期 -九龙湾,3室2厅 | 148平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,1人关注 / 7个月以前发布,230.3,"15,561元/平"
店长推荐向阳叠拼 三层别墅 70年大产权带两个地下车位,向阳花园 -华夏,5室3厅 | 280.87平米 | 南 北 | 毛坯 | 低楼层(共4层)  | 平房,2人关注 / 一年前发布,430.8,"15,339元/平"
望海园 永康里6楼东边户 带储藏室 简单装修 看房方便,望海园永康里 -望岛,3室2厅 | 86.43平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,79.8,"9,233元/平"
建东悦海湾 高档封闭小区 有车位靠电梯 带25平储藏室,建东悦海湾 -悦海,3室2厅 | 123.38平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,1人关注 / 9个月以前发布,255.8,"20,733元/平"
威高七彩城林溪院     249平   5室,威高七彩城林溪院 -海水浴场,5室2厅 | 249.22平米 | 北 南 | 毛坯 | 3层  | 板楼 | 联排别墅 ,1人关注 / 一年前发布,688,"27,607元/平"
香湖彼岸小区，三室，精装。采光好，南北通透。。,香湖彼岸 -文登市区,3室2厅 | 94平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,1人关注 / 一年前发布,58.8,"6,256元/平"
户型反正 采光通风效果好 配套齐全,嘉和花园 -文登市区,3室2厅 | 130平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,53.8,"4,139元/平"
望海学永康里得房率高，出行购物医疗便利恒大万达商圈,望海园永康里 -望岛,5室2厅 | 158.62平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,16人关注 / 一年前发布,102,"6,431元/平"
兴业茗居3室2厅1厨2卫，精装视野好,兴业茗居 -文登市区,3室2厅 | 136平米 | 南 北 | 精装 | 低楼层(共12层)  | 板楼,3人关注 / 5个月以前发布,118,"8,677元/平"
竹岛陶家夼小区四方路市场四方路小区带储藏室,四方社区 -竹岛,2室2厅 | 73.5平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 7个月以前发布,53.8,"7,320元/平"
户型南北朝向的 无遮挡 采光好 视野开阔，看房方便,天福阳光花园小区 -文登市区,3室2厅 | 121平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,3人关注 / 一年前发布,71.8,"5,934元/平"
德红世纪华府电梯房3室2厅1厨1卫，精装修，视野采光好,德红世纪华府 -文登市区,3室2厅 | 108平米 | 东 南 北 | 精装 | 高楼层(共26层)  | 板楼,1人关注 / 一年前发布,66,"6,112元/平"
乐天世纪城 3室2厅 南 北,乐天世纪城 -皇冠,3室2厅 | 161平米 | 南 北 | 精装 | 中楼层(共18层)  | 塔楼,0人关注 / 2个月以前发布,175,"10,870元/平"
华发三期中间位置舒适小三居，楼层不高，居住舒适,华发九龙湾三期 -九龙湾,3室3厅 | 99.23平米 | 南 北 | 精装 | 低楼层(共32层)  | 板塔结合,3人关注 / 一年前发布,149.9,"15,107元/平"
青岛路 大润发 三室全明 侨乡一期,侨乡城市广场一期 -竹岛,3室2厅 | 146平米 | 西北 | 简装 | 低楼层(共28层)  | 暂无数据,1人关注 / 一年前发布,145,"9,932元/平"
竹岛 四方社区 简单装修 3室 南北通透 东边户 采光好,四方社区 -竹岛,3室2厅 | 87平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,3人关注 / 一年前发布,59.8,"6,874元/平"
望海园 永康里6楼东边户 带储藏室 简单装修 看房方便,望海园永康里 -望岛,3室2厅 | 86.43平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,79.8,"9,233元/平"
建东悦海湾 高档封闭小区 有车位靠电梯 带25平储藏室,建东悦海湾 -悦海,3室2厅 | 123.38平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,1人关注 / 9个月以前发布,255.8,"20,733元/平"
塔山校区低楼层三室无坡通透可贷款,戚家夼社区 -竹岛,3室2厅 | 89.92平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 一年前发布,78,"8,675元/平"
华润湾九里 精装 带家电家具  125.8平仅售225万,华润威海湾九里 -竹岛,3室2厅 | 125.85平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,32人关注 / 一年前发布,185,"14,701元/平"
：好位置 好楼层 房东诚心出售 可以包大税,中南华夏熙悦 -华夏,4室2厅 | 128平米 | 南 北 | 精装 | 中楼层(共10层)  | 板楼,3人关注 / 10个月以前发布,200,"15,625元/平"
毛坯三室两厅两卫 看海效果不错  看房方便 带地下车位,华润威海湾九里 -竹岛,3室2厅 | 142平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板楼,2人关注 / 11个月以前发布,245,"17,254元/平"
威海汽车站南青岛路温泉农贸市场温泉明珠小高层 三室,温泉明珠 -温泉,3室2厅 | 112.97平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,7人关注 / 一年前发布,87,"7,702元/平"
威海乳山银滩，二线好位置，三室带阳台。,忆海苑 -银滩旅游度假区,3室2厅 | 118平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 2个月以前发布,39.6,"3,356元/平"
青岛路水岸名居144三居精装仅180万带车位,水岸明居 -竹岛,3室2厅 | 144平米 | 南 | 精装 | 低楼层(共15层)  | 塔楼,9人关注 / 10个月以前发布,165,"11,459元/平"
南山社区   统一路南  精装修出售,南山社区 -环翠楼,3室1厅 | 76平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,32人关注 / 一年前发布,46.8,"6,158元/平"
恒大万达商圈望岛望海园 南北通透 全明户型  有储藏室,青岛中路 -望岛,3室2厅 | 115平米 | 南 北 | 简装 | 高楼层(共4层)  | 暂无数据,4人关注 / 一年前发布,127,"11,044元/平"
银滩好位置，电梯七楼，屋里全新装修，空间大。,忆海苑 -银滩旅游度假区,3室1厅 | 109平米 | 南 | 精装 | 中楼层(共13层)  | 板楼,0人关注 / 3个月以前发布,39.7,"3,643元/平"
温泉明珠小高层精装修南北通透带车位,温泉明珠 -温泉,3室2厅 | 105.93平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 一年前发布,80.5,"7,600元/平"
此房户型是南北朝向采光以及通风好，看房方便,大众路 -环翠楼,3室2厅 | 92平米 | 南 北 | 精装 | 高楼层(共7层)  | 平房,2人关注 / 10个月以前发布,75,"8,153元/平"
南竹岛陶家夼顶楼精装修三室边户 免费停车位充足,陶家夼社区 -竹岛,3室1厅 | 66.04平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,56.6,"8,571元/平"
文明社区 陶家夼 位置优越 采光好,陶家夼社区 -竹岛,2室2厅 | 83平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,75.8,"9,133元/平"
保利凯旋公馆 大面积毛坯房 有车位 随时看房,保利凯旋公馆 -戚家庄,3室2厅 | 149平米 | 南 北 | 精装 | 低楼层(共27层)  | 板楼,12人关注 / 一年前发布,223.5,"15,000元/平"
西边户 无坡矮楼层 房子精装修 南北通透 三居室,戚家夼社区 -竹岛,3室1厅 | 79.8平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 一年前发布,78,"9,775元/平"
青岛路边侨乡大润发电梯三室两卫精装修海景房,侨乡城市广场一期 -竹岛,3室2厅 | 161平米 | 东南 | 精装 | 高楼层(共30层)  | 暂无数据,1人关注 / 一年前发布,185,"11,491元/平"
威海荣成樱花湖旁.天然氧吧.大天鹅的故乡,华发樱花湖 -荣成市,4室2厅 | 152平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 暂无数据,16人关注 / 10个月以前发布,180,"11,843元/平"
玉兰 洋房3室 带车位 储藏室,玉兰花园 -华夏,3室2厅 | 109平米 | 南 北 | 毛坯 | 高楼层(共10层)  | 塔楼,2人关注 / 11个月以前发布,116,"10,643元/平"
西北山路住人四楼三室朝阳小区西,西北山路 -市政府,3室1厅 | 79.3平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 一年前发布,69.8,"8,803元/平"
经区五洲天鹤园三室带车储112.5平90万,五洲太阳城天鹤园 -九龙湾,3室2厅 | 112.5平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 一年前发布,90,"8,000元/平"
房主急售，希望全款，看房方便。,戚家夼社区 -竹岛,3室2厅 | 67平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,33人关注 / 一年前发布,48,"7,165元/平"
宅库花园多层四楼东边户，三室两厅一卫，简单装修，,宅库花园小区 -华夏,3室2厅 | 78.28平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,63.8,"8,151元/平"
杨家滩花园电梯复式带空中花园4室2厅2卫 167平 192 万,杨家滩花园 -九龙湾,4室2厅 | 167平米 | 南 北 | 其他 | 高楼层(共11层)  | 塔楼,0人关注 / 1个月以前发布,191,"11,438元/平"
北竹岛大润发 中医院旁 南北通透 精装修带储藏室,竹岛路小区 -竹岛,3室1厅 | 82.35平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,4人关注 / 4个月以前发布,66.8,"8,112元/平"
华新家园顶加阁 毛坯   带储藏室,华新家园 -凤林&宋家洼,4室2厅 | 134.06平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板楼,7人关注 / 一年前发布,87.3,"6,513元/平"
青岛路边侨乡大润发电梯三室两卫精装修海景房,侨乡城市广场一期 -竹岛,3室2厅 | 161平米 | 东南 | 精装 | 高楼层(共30层)  | 暂无数据,1人关注 / 一年前发布,185,"11,491元/平"
西边户 无坡矮楼层 房子精装修 南北通透 三居室,戚家夼社区 -竹岛,3室1厅 | 79.8平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 一年前发布,78,"9,775元/平"
此房户型是南北朝向采光以及通风好，看房方便,大众路 -环翠楼,3室2厅 | 92平米 | 南 北 | 精装 | 高楼层(共7层)  | 平房,2人关注 / 10个月以前发布,75,"8,153元/平"
南竹岛陶家夼顶楼精装修三室边户 免费停车位充足,陶家夼社区 -竹岛,3室1厅 | 66.04平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,56.6,"8,571元/平"
文明社区 陶家夼 位置优越 采光好,陶家夼社区 -竹岛,2室2厅 | 83平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,75.8,"9,133元/平"
保利凯旋公馆 大面积毛坯房 有车位 随时看房,保利凯旋公馆 -戚家庄,3室2厅 | 149平米 | 南 北 | 精装 | 低楼层(共27层)  | 板楼,12人关注 / 一年前发布,223.5,"15,000元/平"
西北山路住人四楼三室朝阳小区西,西北山路 -市政府,3室1厅 | 79.3平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 一年前发布,69.8,"8,803元/平"
经区五洲天鹤园三室带车储112.5平90万,五洲太阳城天鹤园 -九龙湾,3室2厅 | 112.5平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 一年前发布,90,"8,000元/平"
房主急售，希望全款，看房方便。,戚家夼社区 -竹岛,3室2厅 | 67平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,33人关注 / 一年前发布,48,"7,165元/平"
竹岛四方路塔山东路小区好位置好楼层带储藏室出售,塔山东路 -环翠楼,2室2厅 | 60平米 | 南 北 | 简装 | 中楼层(共5层)  | 塔楼,1人关注 / 8个月以前发布,45,"7,500元/平"
阳光东海岸 东蒲湾房车营地 环境幽美，气候宜人,阳光东海岸 -东部滨海新城,3室4厅 | 214.76平米 | 南 北 | 毛坯 | 3层  | 板楼 | 联排别墅 ,0人关注 / 9个月以前发布,294.8,"13,727元/平"
万达商圈望府大院70年产权联排别墅 共四层大院子露台,望府大院 -望岛,5室2厅 | 270平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 暂无数据,0人关注 / 5个月以前发布,768,"28,445元/平"
万达商圈望岛望府大院70年四联排别墅 院子 车库 露台,望府大院 -望岛,6室3厅 | 244.71平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 板楼,2人关注 / 11个月以前发布,830,"33,918元/平"
万达商圈望岛名郡洋房 有地下车位和储藏室 基础精装修,望岛名郡 -望岛,3室2厅 | 112平米 | 南 北 | 简装 | 高楼层(共12层)  | 板楼,6人关注 / 一年前发布,165,"14,733元/平"
青岛路大润发竹岛路小区配套齐全交通便利,竹岛路小区 -竹岛,2室2厅 | 81.62平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,11人关注 / 一年前发布,55,"6,739元/平"
新威附路 采光好 看海效果好  可直看刘公岛,新威附路 -竹岛,3室1厅 | 67.19平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,61.8,"9,198元/平"
陶家夼四方路住人二楼三居精装低楼层,陶家夼社区 -竹岛,3室1厅 | 64.76平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,32人关注 / 一年前发布,53.9,"8,324元/平"
看房方便 提前联系  精装修  可直接领包入住,望海园华能电厂小区 -望岛,3室2厅 | 156.92平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 一年前发布,186,"11,854元/平"
青岛路旁 蓝山小镇 多层顶加阁精装修 交通生活方便,蓝山小镇 -凤林&宋家洼,4室2厅 | 125.78平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,7人关注 / 一年前发布,63,"5,009元/平"
菁华园 楼层低  户型好  公摊小 看房方便 106万,新都花园二区 -凤林&宋家洼,3室2厅 | 109平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,5人关注 / 一年前发布,97,"8,900元/平"
保利名著       毛坯房 带储藏室,财信保利名著 -凤林&宋家洼,3室2厅 | 123平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,1人关注 / 一年前发布,165,"13,415元/平"
财信保利名著 十楼西边户 带储藏室,财信保利名著 -凤林&宋家洼,3室2厅 | 124平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,0人关注 / 5个月以前发布,163,"13,146元/平"
户型方正 采光通风效果好 配套齐全,昆嵛新城 -文登市区,3室2厅 | 101.93平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,5人关注 / 一年前发布,52.3,"5,131元/平"
东边户全明户型 敞亮通透 采光较好 保利物业 绿化好,财信保利名著 -凤林&宋家洼,3室2厅 | 121.59平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 一年前发布,139.8,"11,498元/平"
近塔山校园宜家花园小区框架房中楼层四室免费停车位,宜家花园 -竹岛,4室2厅 | 132.37平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 10个月以前发布,135.8,"10,260元/平"
保利名著 洋房楼带160平大露台  带储藏室 急售,财信保利名著 -凤林&宋家洼,3室2厅 | 146.8平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板楼,5人关注 / 5个月以前发布,188,"12,807元/平"
华发新天地商圈，五洲太阳城好楼层，精装修，带储藏室,五洲太阳城天琴园 -九龙湾,3室2厅 | 121平米 | 南 北 | 简装 | 低楼层(共6层)  | 塔楼,4人关注 / 一年前发布,92,"7,604元/平"
大润发商圈  寨子四周  潍坊路 顶二 出售,潍坊路社区 -寨子,3室1厅 | 71.6平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,2人关注 / 一年前发布,48,"6,704元/平"
龙祥国际 3室2厅 南 北,龙祥国际 -凤林&宋家洼,3室2厅 | 133平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,229,"17,219元/平"
威海   福湾小区  两室一厅  ，，，,威海福湾 -文登市区,2室1厅 | 96.4平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 5个月以前发布,42.8,"4,440元/平"
菁华园 楼层低  户型好  公摊小 看房方便 106万,新都花园二区 -凤林&宋家洼,3室2厅 | 109平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,5人关注 / 一年前发布,97,"8,900元/平"
青岛路旁 蓝山小镇 多层顶加阁精装修 交通生活方便,蓝山小镇 -凤林&宋家洼,4室2厅 | 125.78平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,7人关注 / 一年前发布,63,"5,009元/平"
看房方便 提前联系  精装修  可直接领包入住,望海园华能电厂小区 -望岛,3室2厅 | 156.92平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 一年前发布,186,"11,854元/平"
大润发商圈  寨子四周  潍坊路 顶二 出售,潍坊路社区 -寨子,3室1厅 | 71.6平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,2人关注 / 一年前发布,48,"6,704元/平"
威海   福湾小区  两室一厅  ，，，,威海福湾 -文登市区,2室1厅 | 96.4平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 5个月以前发布,42.8,"4,440元/平"
龙祥国际 3室2厅 南 北,龙祥国际 -凤林&宋家洼,3室2厅 | 133平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,229,"17,219元/平"
河右路小区高楼层低价位，三室精装户型拎包入住,河右路小区 -文登市区,3室1厅 | 92.09平米 | 南 北 | 精装 | 高楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,26.8,"2,911元/平"
竹岛 陶家夼社区 顶楼半框架 南北通透 采光视野好,陶家夼社区 -竹岛,3室2厅 | 88.71平米 | 南 北 | 简装 | 高楼层(共7层)  | 板塔结合,7人关注 / 一年前发布,58.8,"6,629元/平"
恒大 悦澜庭 花园洋房 三室两厅 全明户型 精装修,威海恒大悦澜庭 -凤林&宋家洼,3室2厅 | 114平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 5个月以前发布,180,"15,790元/平"
经区好位置，新小区龙祥国际，居住舒适，交通便利,龙祥国际 -凤林&宋家洼,3室2厅 | 130平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 一年前发布,220,"16,924元/平"
恒大悦澜庭 三室两厅一卫 精装修交付 拎包入住,威海恒大悦澜庭 -凤林&宋家洼,3室2厅 | 110平米 | 南 北 | 精装 | 低楼层(共16层)  | 板楼,0人关注 / 1个月以前发布,150,"13,637元/平"
华发109平三居室看房有钥匙好楼层看好价格可以商量,华发九龙湾一期 -九龙湾,3室1厅 | 109.47平米 | 南 北 | 精装 | 高楼层(共31层)  | 板塔结合,0人关注 / 1个月以前发布,165,"15,073元/平"
华发九龙湾三期 精装 4室2卫 前排看海 边户 视野开阔,华发九龙湾三期 -九龙湾,4室2厅 | 162平米 | 南 北 | 精装 | 低楼层(共32层)  | 板塔结合,2人关注 / 8个月以前发布,298,"18,396元/平"
万达商圈迪尚旁悦海花园急 售 单 价 1万多点 还可再谈,悦海花园二期 -悦海,3室2厅 | 169.3平米 | 南 北 | 毛坯 | 低楼层(共30层)  | 板楼,6人关注 / 5个月以前发布,185,"10,928元/平"
全明户型 新都，生活便利。交通八达,新都花园一区 -凤林&宋家洼,3室1厅 | 98平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,102.8,"10,490元/平"
华发九龙湾商圈海港城3室精装修 封闭小区 人车分流,海港城 -九龙湾,3室1厅 | 88平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,3人关注 / 一年前发布,77,"8,750元/平"
一线海景房  出门就是荷花塘  大拇指广场,海都花苑 -银滩旅游度假区,2室2厅 | 80平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,12人关注 / 1个月以前发布,12.3,"1,538元/平"
海港城3-2-1-1 110.00m² 装修 120 万,海港城 -九龙湾,3室2厅 | 93平米 | 南 北 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 一年前发布,118.8,"12,775元/平"
皇冠南区顶楼复式，无斜顶，有80多平的大露台。,皇冠花园南区 -皇冠,6室3厅 | 343.32平米 | 东 南 北 | 精装 | 高楼层(共7层)  | 板楼,5人关注 / 一年前发布,328,"9,554元/平"
凤林工人新村 五室两卫，带露台 户型方正，利用空间大,凤林工人新村 -凤林&宋家洼,5室2厅 | 151平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,4人关注 / 一年前发布,75,"4,967元/平"
