标题,开发商,房子信息,发布信息,售价/万,单价
三开间朝南双阳台纯边套居住舒适,水岸家园 -义乌市,3室2厅 | 142平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,15人关注 / 5个月以前发布,157.9,"11,120元/平"
庆云二区，边套，带双车位，小区中间位置，远离马路,义务壹号院庆云二区 -稠城,4室2厅 | 150平米 | 南 北 | 毛坯 | 低楼层(共24层)  | 暂无数据,0人关注 / 2个月以前发布,720,"48,000元/平"
路公交车可以直达本小区，有高速路口，客运站,国贸大厦 -稠城,1室1厅 | 49.5平米 | 南 | 简装 | 低楼层(共25层)  | 板塔结合,0人关注 / 4个月以前发布,150,"30,304元/平"
幽香庭苑，独栋，双拼，联排别墅，环境优雅,幽香庭苑 -城西,6室2厅 | 540平米 | 南 | 毛坯 | 低楼层(共4层)  | 暂无数据,1人关注 / 一年前发布,559,"10,352元/平"
精装修拎包入住，楼间距大采光好，业主诚意卖。,塘桥雅苑 -城西,3室2厅 | 121平米 | 南 北 东 | 精装 | 高楼层(共18层)  | 暂无数据,0人关注 / 5个月以前发布,220,"18,182元/平"
龙山雅苑 满两年 带车位 精装修房东自住 户型方正,龙山雅苑 -城西,3室2厅 | 147平米 | 南 | 精装 | 低楼层(共15层)  | 暂无数据,0人关注 / 一年前发布,242,"16,463元/平"
幽香庭苑，独栋，双拼，联排别墅，大花园,幽香庭苑 -城西,6室2厅 | 552.06平米 | 南 | 精装 | 低楼层(共4层)  | 暂无数据,2人关注 / 一年前发布,680,"12,318元/平"
城西 众安.宝龙广场 高楼层 带车位,众安·宝龙广场 -城西,4室2厅 | 118平米 | 南 | 毛坯 | 高楼层(共14层)  | 暂无数据,1人关注 / 一年前发布,250,"21,187元/平"
国际商贸城   福田大厦B  电梯房 办公自住,福田大厦B座 -稠城,1室1厅 | 60平米 | 南 | 简装 | 高楼层(共8层)  | 暂无数据,2人关注 / 一年前发布,129,"21,500元/平"
义乌壹号院庆云一区楼层好户型好,义乌壹号院庆云一区 -稠城,2室2厅 | 78平米 | 南 | 毛坯 | 低楼层(共24层)  | 暂无数据,0人关注 / 一年前发布,430,"55,129元/平"
带100平露台，带车位，位置好，急卖，带大阳台，毛坯,滨江锦绣之城 -稠城,3室2厅 | 96平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 暂无数据,1人关注 / 6个月以前发布,395,"41,146元/平"
工人北路垂直房 满二 总6层 1楼是门面 租金20W,工人北路 -稠城,9室9厅 | 310.41平米 | 南 北 | 简装 | 低楼层(共1层)  | 暂无数据,6人关注 / 一年前发布,651.84,"21,000元/平"
美的宝龙世家 美的宝龙世家 美的宝龙世家,美的·宝龙世家 -佛堂,4室2厅 | 135平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 9个月以前发布,340,"25,186元/平"
宾王 福田 租金好 位置好 垂直房,长春八街 -稠城,9室9厅 | 630平米 | 南 北 | 简装 | 低楼层(共1层)  | 暂无数据,1人关注 / 一年前发布,1080,"17,143元/平"
中厦国际装修大面积1房的房诚心出售,中厦国际广场 -稠城,1室1厅 | 45平米 | 南 | 其他 | 低楼层(共15层)  | 暂无数据,2人关注 / 一年前发布,110,"24,445元/平"
美的楼层好的一套有车位房东诚心,美的·宝龙世家 -佛堂,4室2厅 | 119平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 5个月以前发布,240,"20,169元/平"
江东 宾王  吾悦cbd 交通便利,宾王广场 -江东,4室2厅 | 170平米 | 南 北 | 精装 | 中楼层(共30层)  | 暂无数据,0人关注 / 一年前发布,330,"19,412元/平"
苏溪大三房，交通方便，新建楼盘,商城•苏溪印象 -苏溪,3室2厅 | 125平米 | 东南 | 毛坯 | 高楼层(共24层)  | 塔楼,1人关注 / 一年前发布,263,"21,040元/平"
万家风华，位置好，南北通透，房东诚心出售，大阳台,滨江金地·万家风华 -稠城,2室1厅 | 79平米 | 南 北 | 毛坯 | 低楼层(共23层)  | 暂无数据,0人关注 / 2个月以前发布,290,"36,709元/平"
北苑醉美小区，和聚园105三房，两室朝南，高层采光好,和聚园 -北苑,3室2厅 | 105平米 | 南 | 精装 | 高楼层(共15层)  | 暂无数据,0人关注 / 4个月以前发布,315,"30,000元/平"
万达金街商铺，真实房源。预约可看。,万达金街 -稠江,1室0厅 | 80平米 | 南 | 简装 | 低楼层(共2层)  | 暂无数据,0人关注 / 一年前发布,189,"23,625元/平"
稠江花园小区、邻近江滨儿童公园、高层无挡俯,中梁金地西江悦府 -稠江,3室2厅 | 99平米 | 南 北 西 | 毛坯 | 高楼层(共27层)  | 暂无数据,0人关注 / 6个月以前发布,269,"27,172元/平"
真实房源在售，精装，领包可入住。,天钲铭座 -后宅,3室2厅 | 138平米 | 南 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 6个月以前发布,300,"21,740元/平"
万达写字楼，高楼层，江景房，精装修，诚心出售，急卖,万达写字楼 -稠江,1室2厅 | 214平米 | 南 北 | 简装 | 高楼层(共36层)  | 暂无数据,0人关注 / 一年前发布,321,"15,000元/平"
全新装修 带双车位 出让金已交 小区价位全义乌醉低,水岸家园 -义乌市,2室2厅 | 80平米 | 南 | 简装 | 低楼层(共18层)  | 暂无数据,2人关注 / 一年前发布,110,"13,750元/平"
西景悦府 房东诚心出售 小区环境优美,西景悦府 -义乌市,3室1厅 | 89平米 | 南 | 毛坯 | 高楼层(共20层)  | 暂无数据,0人关注 / 一年前发布,213,"23,933元/平"
经贝家园，楼中楼，精装修，东边套，远离马路，急卖,经贝家园东区 -稠江,3室1厅 | 119.23平米 | 南 北 | 精装 | 高楼层(共11层)  | 暂无数据,0人关注 / 4个月以前发布,335,"28,097元/平"
万达公寓 精装两房 采光好 安保森严 拎包入住,万达SOHO公寓 -稠江,2室1厅 | 61.51平米 | 南 | 精装 | 高楼层(共33层)  | 平房,1人关注 / 一年前发布,93,"15,120元/平"
后宅金城高尔夫二区百变毛坯房，采光好，满二,金城高尔夫二区 -后宅,5室2厅 | 220平米 | 南 | 毛坯 | 高楼层(共14层)  | 暂无数据,0人关注 / 7个月以前发布,480,"21,819元/平"
江东国有沿街垂直房，一手房东诚心出售，看房随时。,经发大道 -江东,8室5厅 | 509平米 | 南 | 简装 | 低楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,929.5,"18,262元/平"
卿悦府东区，精装修，带车位，位置好，没占用，诚心卖,卿悦府东区 -稠城,2室2厅 | 90平米 | 南 北 | 精装 | 低楼层(共17层)  | 暂无数据,0人关注 / 4个月以前发布,450,"50,000元/平"
九州百合 绿城物业 162平 百变毛坯房,九洲百合 -义乌市,4室2厅 | 162平米 | 南 | 毛坯 | 高楼层(共19层)  | 暂无数据,0人关注 / 一年前发布,300,"18,519元/平"
楼层好， 采光很好。 交通方便.....................,东望文华 -廿三里,3室1厅 | 108平米 | 南 | 毛坯 | 低楼层(共27层)  | 暂无数据,0人关注 / 5个月以前发布,225,"20,834元/平"
后宅好地段，楼中楼，上下两层，自住装修改善诚心卖。,天钲铭座 -后宅,4室2厅 | 350平米 | 南 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 5个月以前发布,396,"11,315元/平"
边套，精装修，三房，位置好，采光没影响，诚心出售,城北商业中心 -后宅,3室2厅 | 90平米 | 南 | 精装 | 低楼层(共14层)  | 暂无数据,0人关注 / 6个月以前发布,250,"27,778元/平"
视野好低总价，适合办公居住，过渡用,雪峰银座 -稠城,1室0厅 | 38.72平米 | 南 | 精装 | 中楼层(共27层)  | 暂无数据,4人关注 / 一年前发布,56.5,"14,592元/平"
绣湖湖景房，精装修，带车库，高楼层，没占用，急卖,都市公寓 -稠城,4室2厅 | 171平米 | 南 北 | 精装 | 中楼层(共25层)  | 暂无数据,0人关注 / 4个月以前发布,600,"35,088元/平"
锦绣之城，边套，带车位，不靠马路，南北通透，急卖,滨江锦绣之城 -稠城,4室2厅 | 144平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 暂无数据,0人关注 / 3个月以前发布,590,"40,973元/平"
精装修，带车位，中间楼层，满二年，采光好,西景园 -义乌市,3室2厅 | 127平米 | 南 北 | 精装 | 中楼层(共20层)  | 暂无数据,1人关注 / 一年前发布,248,"19,528元/平"
福田公寓，无占用，楼层高，朝南户型急卖，看房随时,福田商务公寓 -稠城,1室1厅 | 34平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,160,"47,059元/平"
房屋为有天有地房子 两间 位置好 租金好,长春六街255号 -稠城,2室1厅 | 42.53平米 | 南 | 其他 | 低楼层(共1层)  | 暂无数据,0人关注 / 28天以前发布,136,"31,978元/平"
滨江壹品五房大户型双泳池品质小区,滨江壹品 -福田,5室2厅 | 162平米 | 南 | 其他 | 中楼层(共36层)  | 暂无数据,0人关注 / 1个月以前发布,660,"40,741元/平"
香山小区，复式两层使用面积，自住装修，,香山小区(义乌市) -稠城,3室2厅 | 99平米 | 南 北 | 其他 | 高楼层(共5层)  | 暂无数据,0人关注 / 25天以前发布,280,"28,283元/平"
出售东洲眺雨苑精装楼中楼户型小区有大花园,东洲眺雨苑 -江东,3室2厅 | 118平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 25天以前发布,280,"23,729元/平"
户型方正 通风采光都很好 配套齐全,富港花园 -稠江,2室1厅 | 61平米 | 东南 | 其他 | 中楼层(共26层)  | 暂无数据,0人关注 / 31天以前发布,126,"20,656元/平"
北苑三房，楼层好，采光好，生活便利,现代花园 -北苑,3室2厅 | 97.58平米 | 东南 南 | 精装 | 中楼层(共16层)  | 板楼,1人关注 / 28天以前发布,298,"30,540元/平"
绣湖公园边高品质楼盘绣川府不靠国贸高楼层四房边套,建投•绣川府 -稠城,4室2厅 | 158.85平米 | 南 北 | 其他 | 高楼层(共15层)  | 暂无数据,0人关注 / 30天以前发布,690,"43,438元/平"
江东新村小面积户型清爽装修两居室80平加储藏室4平,江东新村 -江东,2室1厅 | 79.94平米 | 南 北 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 25天以前发布,192,"24,019元/平"
采光好，稠城，老城南。边套。..,卿悦府东区 -稠城,3室2厅 | 131平米 | 南 | 其他 | 低楼层(共24层)  | 暂无数据,0人关注 / 6个月以前发布,660,"50,382元/平"
汇金大厦好房源在卖的房东出国比较诚心,汇金大厦 -稠城,2室1厅 | 58平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,168,"28,966元/平"
大面积。毛坯，高楼层，诚心出售,塘桥雅苑 -城西,4室2厅 | 142.8平米 | 南 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,208,"14,566元/平"
楼层好 交通方便 自带商圈原始毛坯房,众安·宝龙广场 -城西,4室2厅 | 118平米 | 南 | 其他 | 高楼层(共16层)  | 暂无数据,0人关注 / 一年前发布,236,"20,000元/平"
房子真实在卖的边套带车位三房两厅,众安·宝龙广场 -城西,3室2厅 | 106平米 | 南 | 其他 | 中楼层(共16层)  | 暂无数据,0人关注 / 6个月以前发布,255,"24,057元/平"
有车位边套 户型通透 新小区楼层好毛坯房,众安·宝龙广场 -城西,3室2厅 | 106平米 | 南 | 其他 | 中楼层(共16层)  | 暂无数据,0人关注 / 一年前发布,243.8,"23,000元/平"
带一个车位，满二年，没有占用简单装修看房提前联系，,上城家园 -城西,2室2厅 | 90平米 | 南 北 | 其他 | 高楼层(共27层)  | 暂无数据,1人关注 / 11个月以前发布,165,"18,334元/平"
中间楼层 小区环境优美 生活方便 房子无遮挡,万商华府 -城西,4室2厅 | 154平米 | 南 | 简装 | 中楼层(共20层)  | 暂无数据,0人关注 / 一年前发布,280,"18,182元/平"
碧桂园77平 精装修 未入住 带车位  看房提前联系,碧桂园·星荟 -北苑,2室1厅 | 77平米 | 东南 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,235,"30,520元/平"
诚信一区91平小3房简装满2年190万,诚信一区 -稠城,2室2厅 | 91平米 | 东南 | 简装 | 高楼层(共7层)  | 暂无数据,7人关注 / 一年前发布,218,"23,957元/平"
林进吾悦广场，配套设施齐全，有利于居住。,新城吾悦广场 -江东,3室2厅 | 139.61平米 | 南 北 | 其他 | 低楼层(共29层)  | 板楼,0人关注 / 一年前发布,496.6,"35,571元/平"
大三房采光视野好边套独立大车位可以停两辆车,吴溪里 -佛堂,3室2厅 | 108平米 | 南 | 其他 | 中楼层(共15层)  | 平房,1人关注 / 8个月以前发布,215,"19,908元/平"
江东城市风景159平大平层，实际使用190多平。满两年。,城市风景 -江东,4室2厅 | 159平米 | 南 | 其他 | 高楼层(共23层)  | 暂无数据,1人关注 / 一年前发布,380,"23,900元/平"
兰园不能错过的房子错过拍大腿...,兰园兰馨苑 -北苑,4室2厅 | 129.75平米 | 南 | 毛坯 | 中楼层(共21层)  | 暂无数据,0人关注 / 5个月以前发布,555,"42,775元/平"
此房是交付的新房，中低楼层，户型漂亮。一梯两户得房,吴溪里 -佛堂,4室2厅 | 125.36平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 9个月以前发布,253,"20,182元/平"
兰园不能错过的房子错过拍大腿...,兰园兰馨苑 -北苑,4室2厅 | 129.75平米 | 南 | 毛坯 | 中楼层(共21层)  | 暂无数据,0人关注 / 5个月以前发布,555,"42,775元/平"
毛坯房 带车位 带花园 诚心出售 看房有钥匙看房方便,金地中梁西江雅苑 -稠江,3室2厅 | 115.5平米 | 南 西 | 毛坯 | 低楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,390,"33,767元/平"
北苑大面积 精装修 带空中花园的房子,北苑商贸区东区 -北苑,3室1厅 | 178平米 | 南 | 其他 | 中楼层(共12层)  | 板楼,0人关注 / 4个月以前发布,388,"21,798元/平"
苏溪丽景湾毛坯大面积全新小区湖景，3房的房诚心出售,丽景湾 -苏溪,3室2厅 | 95平米 | 南 | 其他 | 低楼层(共25层)  | 暂无数据,1人关注 / 一年前发布,180,"18,948元/平"
锦都豪苑配套齐全，房子位置采光好，装修风格不错,锦都豪苑 -义乌市,4室2厅 | 192平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,430,"22,396元/平"
世贸中心 1室0厅 南,世贸中心 -福田,1室0厅 | 168平米 | 南 | 其他 | 中楼层(共55层)  | 暂无数据,0人关注 / 1个月以前发布,400,"23,810元/平"
准交付小区楼层位置好有车位毛坯房户型通透,众安·宝龙广场 -城西,3室2厅 | 106平米 | 南 | 其他 | 高楼层(共16层)  | 暂无数据,0人关注 / 一年前发布,286,"26,982元/平"
户型方正 小区带湖 拎包入住 南北透通,塘桥雅苑 -城西,2室1厅 | 82.02平米 | 南 | 其他 | 低楼层(共18层)  | 暂无数据,3人关注 / 8个月以前发布,119.9,"14,619元/平"
城市之心庆云板块即将交付老城南390万,义乌壹号院庆云一区 -稠城,2室1厅 | 78.34平米 | 南 | 其他 | 中楼层(共24层)  | 暂无数据,0人关注 / 一年前发布,405,"51,698元/平"
九联公寓地段好，配套齐全，户型好,九联公寓 -义乌市,1室1厅 | 26平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,120,"46,154元/平"
万达江景房，精装修，带车位，房满二,万达华府 -稠江,2室2厅 | 105平米 | 南 北 | 精装 | 中楼层(共22层)  | 塔楼,1人关注 / 一年前发布,330,"31,429元/平"
买排屋别墅找我就对啦，熟悉个个房源，匹配精准,金城高尔夫二区 -后宅,5室3厅 | 460平米 | 南 北 | 其他 | 3层  | 暂无数据 | 独栋别墅 ,1人关注 / 一年前发布,1400,"30,435元/平"
万达公寓 精装修 房东诚心出售 ！,万达SOHO公寓 -稠江,1室1厅 | 41平米 | 南 | 其他 | 高楼层(共35层)  | 暂无数据,1人关注 / 一年前发布,70,"17,074元/平"
城西宝龙广场旁　香溪裕园，精装修，有车位,香溪裕园 -义乌市,3室2厅 | 142平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 一年前发布,263,"18,522元/平"
西江雅苑联排位置好价格实惠房东诚意出售,金地中梁西江雅苑 -稠江,5室2厅 | 200平米 | 南 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 5个月以前发布,1200,"60,000元/平"
豪.华装修带车位 房东置换大房子诚心卖 看房提前约,香溪裕园 -义乌市,3室2厅 | 144平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 5个月以前发布,280,"19,445元/平"
望湖公馆  楼层好 小区环境好,杨一村望湖公馆 -稠江,3室2厅 | 108平米 | 南 | 简装 | 高楼层(共20层)  | 暂无数据,1人关注 / 一年前发布,210,"19,445元/平"
万达广场旁万达公寓 40平 边套 小面积 精装修拎包入住,万达SOHO公寓 -稠江,1室1厅 | 42平米 | 南 | 其他 | 低楼层(共33层)  | 平房,3人关注 / 一年前发布,65,"15,477元/平"
嘉和公寓 2室1厅 南,嘉和公寓 -北苑,2室1厅 | 74平米 | 南 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 1个月以前发布,280,"37,838元/平"
宝龙在卖的诚心的房子好楼层价格可以谈,众安·宝龙广场 -城西,3室2厅 | 99平米 | 南 | 其他 | 高楼层(共16层)  | 暂无数据,0人关注 / 5个月以前发布,233,"23,536元/平"
"使用面积399平 花园140平  带三个车位,私密性比较好",绿城桃花源 -江东,5室2厅 | 399平米 | 南 | 毛坯 | 低楼层(共2层)  | 暂无数据,0人关注 / 4个月以前发布,1888.88,"47,341元/平"
江东吾悦广场，宾王广场，江南四区，城市风景大平层。,城市风景 -江东,3室2厅 | 159平米 | 南 | 简装 | 高楼层(共23层)  | 板楼,0人关注 / 一年前发布,390,"24,529元/平"
商苑两房户型，位置好，拎包入住,商苑 -江东,2室2厅 | 89平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 8个月以前发布,248,"27,866元/平"
面积164平  使用面积高达190平方米 精装修  楼层好,宾王广场 -江东,4室2厅 | 164平米 | 南 | 精装 | 中楼层(共30层)  | 暂无数据,0人关注 / 一年前发布,360,"21,952元/平"
此房满2年，属于中高楼层 视野开阔，采光好,东方国际村 -北苑,3室2厅 | 140平米 | 南 | 精装 | 中楼层(共11层)  | 暂无数据,0人关注 / 6个月以前发布,335,"23,929元/平"
精品装修房，拎包入住，空间巨大。,贝村路 -稠城,6室2厅 | 218平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,498,"22,845元/平"
上溪小区住宅，112平精装三室，房东诚心，随时可看。,云溪桃源 -城西,3室2厅 | 112平米 | 南 | 精装 | 中楼层(共27层)  | 暂无数据,1人关注 / 6个月以前发布,210,"18,750元/平"
大都公寓精装修五室三厅一厨三卫,大都国际名苑 -稠城,5室3厅 | 220平米 | 南 | 精装 | 高楼层(共11层)  | 暂无数据,1人关注 / 一年前发布,700,"31,819元/平"
稠江核芯，一代经典，贝村小区。诚心出售，纯边户两房,贝村小区 -稠城,2室1厅 | 85.7平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,215,"25,088元/平"
新福路给您幸福的家。可du绣湖，价格实惠，诚心可小刀,幸福路14-7号 -北苑,3室2厅 | 91.9平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,345,"37,541元/平"
江东小面积户型，位置好，带大面积车库,商苑 -江东,2室2厅 | 88.94平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,252,"28,334元/平"
稠江核芯，一代经典，贝村小区。诚心出售，纯边户两房,贝村小区 -稠城,2室1厅 | 85.7平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,215,"25,088元/平"
绣湖边，市区房，现代公寓，买一层得两层，巨划算。,现代公寓 -稠城,2室2厅 | 58平米 | 南 | 精装 | 高楼层(共10层)  | 暂无数据,0人关注 / 8个月以前发布,217,"37,414元/平"
户型方正，采光视野开阔，诚意出售,现代公寓 -稠城,1室2厅 | 54平米 | 南 | 简装 | 中楼层(共10层)  | 暂无数据,0人关注 / 7个月以前发布,184,"34,075元/平"
万达公寓 房东诚心 价格可谈  精装 电梯房,万达SOHO公寓 -稠江,1室1厅 | 41平米 | 南 | 精装 | 高楼层(共35层)  | 暂无数据,0人关注 / 一年前发布,73,"17,805元/平"
城西龙山雅苑精装修三房未满两年,龙山雅苑 -城西,3室2厅 | 124平米 | 南 北 | 精装 | 中楼层(共17层)  | 暂无数据,0人关注 / 一年前发布,240,"19,355元/平"
房子是刚交付的，小区环境好 绿化高 无遮挡,众安.蒲荷花苑 -城西,3室1厅 | 89平米 | 南 北 | 精装 | 中楼层(共14层)  | 暂无数据,0人关注 / 2个月以前发布,235,"26,405元/平"
上溪塘桥雅苑102平精装三房带车位，满两年价格实惠。,塘桥雅苑 -城西,3室2厅 | 102.5平米 | 南 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 5个月以前发布,169,"16,488元/平"
三宾王，学可上，出让金已经交了，看房方便,南陈小区 -稠城,3室2厅 | 107平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,1人关注 / 一年前发布,368,"34,393元/平"
绿城兰园 绣湖中小 大三房 边套 带车位,兰园兰馨苑 -北苑,4室2厅 | 129平米 | 南 | 毛坯 | 低楼层(共15层)  | 暂无数据,0人关注 / 6个月以前发布,517,"40,078元/平"
户型好，房间大，居住舒适，客厅房间都很宽敞,现代花园 -北苑,3室2厅 | 138.35平米 | 南 | 简装 | 低楼层(共16层)  | 暂无数据,0人关注 / 2个月以前发布,338,"24,431元/平"
万达商圈，新科花园，159平大三室，350万带装修有车位,新科花园B区 -稠江,3室2厅 | 159平米 | 南 | 精装 | 低楼层(共16层)  | 暂无数据,0人关注 / 6个月以前发布,330,"20,755元/平"
低密度小区，次顶楼采光好，原始户型，看中还能谈。,和聚园 -北苑,2室2厅 | 73平米 | 南 | 简装 | 高楼层(共15层)  | 暂无数据,0人关注 / 3个月以前发布,229,"31,370元/平"
金麟花园精装三房，，精装修-中楼层，采光好,金麟花园 -廿三里,3室2厅 | 140平米 | 南 | 精装 | 中楼层(共33层)  | 暂无数据,0人关注 / 8个月以前发布,356,"25,429元/平"
走一走看一看，江东好房伊美望族大平层，壕华装修。,伊美望族 -江东,3室2厅 | 150.5平米 | 南 | 精装 | 中楼层(共32层)  | 暂无数据,0人关注 / 一年前发布,417.8,"27,761元/平"
户型好，房间大，居住舒适，客厅房间都很宽敞,现代花园 -北苑,3室2厅 | 138平米 | 南 | 简装 | 低楼层(共16层)  | 暂无数据,1人关注 / 2个月以前发布,298,"21,595元/平"
精装 不靠路 价格可谈 满二 房东诚心 看房方便,比佛利商务公寓 -稠城,1室1厅 | 48平米 | 南 | 精装 | 中楼层(共30层)  | 暂无数据,1人关注 / 一年前发布,200,"41,667元/平"
和聚园，纯边套，户型方正通透，环境好，房东诚心出售,和聚园 -北苑,4室2厅 | 175平米 | 南 | 简装 | 中楼层(共15层)  | 暂无数据,0人关注 / 3个月以前发布,475,"27,143元/平"
大户型的房子，高楼层视野开阔，采光无遮挡，精装修,现代城市花园四季五区 -北苑,4室2厅 | 202平米 | 南 北 | 精装 | 中楼层(共14层)  | 暂无数据,0人关注 / 一年前发布,448,"22,179元/平"
新上北苑三间大卧室，带大露台，小区环境,和聚园 -北苑,3室2厅 | 105平米 | 南 | 精装 | 低楼层(共15层)  | 平房,0人关注 / 2个月以前发布,309,"29,429元/平"
北苑刚交付小洋房翰文府毛坯2居室,翰文府 -北苑,2室2厅 | 80平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 暂无数据,0人关注 / 1个月以前发布,205,"25,625元/平"
毛坯，带车位，洋房，采光好，环境优美,森山半岛 -义亭,3室2厅 | 124平米 | 东南 南 | 毛坯 | 低楼层(共9层)  | 暂无数据,0人关注 / 6个月以前发布,224,"18,065元/平"
精纂修，小区环境优美，满二带车位,锦都豪苑 -义乌市,3室1厅 | 143平米 | 东南 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 10个月以前发布,385,"26,924元/平"
房子位置佳，生活便利，交通便利，未满二,汇金大厦 -稠城,2室1厅 | 60.84平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,158,"25,970元/平"
义乌市区，曾经的辉煌，大都置业，小区环境好带泳池。,大都国际名苑 -稠城,1室1厅 | 75平米 | 南 | 精装 | 高楼层(共12层)  | 板塔结合,0人关注 / 7个月以前发布,259.9,"34,654元/平"
金绣家园生活方便配套齐全诚心出售，交通便利出行方便,金绣家园 -北苑,1室1厅 | 40平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 8个月以前发布,201.9,"50,475元/平"
市区小面积，89平两室次新房，诚心带车位出售，价可谈,香悦府 -稠城,2室2厅 | 88.73平米 | 东南 | 毛坯 | 中楼层(共25层)  | 暂无数据,1人关注 / 一年前发布,339,"38,206元/平"
义乌CBD，世贸中心写字楼，40年产权,世贸中心 -福田,3室1厅 | 180平米 | 南 | 精装 | 中楼层(共55层)  | 暂无数据,1人关注 / 11个月以前发布,470,"26,112元/平"
单价13000/平，毛坯房，高楼层，采光好，大阳台,碧桂园柏悦华府 -义乌市,3室2厅 | 120平米 | 南 | 毛坯 | 中楼层(共26层)  | 暂无数据,0人关注 / 2个月以前发布,155,"12,917元/平"
后宅金城高尔夫二区百变毛坯房，采光好，满二,金城高尔夫二区 -后宅,5室3厅 | 218.88平米 | 南 北 | 毛坯 | 高楼层(共14层)  | 暂无数据,0人关注 / 8个月以前发布,432,"19,737元/平"
坐拥别墅群体，不一样的城市风景，舒适,西景悦府 -义乌市,3室2厅 | 140平米 | 南 北 | 其他 | 低楼层(共20层)  | 暂无数据,0人关注 / 一年前发布,315,"22,500元/平"
市场高楼舒适，还在等what，万达华府,万达华府 -稠江,2室2厅 | 104.48平米 | 南 北 | 其他 | 高楼层(共22层)  | 塔楼,0人关注 / 一年前发布,370,"35,414元/平"
小区环境好，格局通透电梯房，交通便捷婴孕老幼,新科花园A区 -稠江,3室2厅 | 156平米 | 南 | 简装 | 低楼层(共17层)  | 暂无数据,0人关注 / 2个月以前发布,310,"19,872元/平"
新科花园 环境好  好房源 价格合适,新科花园A区 -稠江,3室2厅 | 158平米 | 南 | 精装 | 低楼层(共17层)  | 暂无数据,0人关注 / 一年前发布,310,"19,621元/平"
单价13000/平，毛坯房，高楼层，采光好，大阳台,碧桂园柏悦华府 -义乌市,3室2厅 | 120平米 | 南 | 毛坯 | 中楼层(共26层)  | 暂无数据,0人关注 / 2个月以前发布,155,"12,917元/平"
业主诚意出售，付款好还能谈，拎包入住满2年税费低。,荷塘月色 -义乌市,4室2厅 | 175平米 | 南 | 精装 | 低楼层(共35层)  | 板楼,0人关注 / 8个月以前发布,485,"27,715元/平"
小户型，低总价，首付无压力，上车好盘。,月湖公寓 -城西,1室1厅 | 38平米 | 南 | 精装 | 低楼层(共13层)  | 暂无数据,0人关注 / 5个月以前发布,63,"16,579元/平"
出售上溪之心综合体旁云溪桃源三室两厅纯毛坯景观房,云溪桃源 -城西,3室2厅 | 99平米 | 南 | 毛坯 | 中楼层(共28层)  | 暂无数据,0人关注 / 1个月以前发布,160,"16,162元/平"
万家风华高品质花园小区精品两居室,滨江金地·万家风华 -稠城,2室1厅 | 79.12平米 | 南 北 | 毛坯 | 中楼层(共16层)  | 暂无数据,0人关注 / 2个月以前发布,260,"32,862元/平"
出售北苑现代城市花园四季五区49平小户型,现代城市花园四季五区 -北苑,1室1厅 | 49平米 | 南 | 简装 | 低楼层(共14层)  | 暂无数据,0人关注 / 1个月以前发布,125,"25,511元/平"
