标题,开发商,房子信息,发布信息,售价/万,单价
四季园著经典小两房格局好，配套设施齐..,荣成四季园著 -一七五,2室1厅 | 48.66平米 | 西 北 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 17天以前发布,68.6,"14,098元/平"
漳州港永鸿厦门湾南岸朝南 精装修 可直接拎包入住,永鸿·厦门湾南岸 -南滨大道,3室2厅 | 89平米 | 西南 | 其他 | 中楼层(共32层)  | 板楼,0人关注 / 一年前发布,97,"10,899元/平"
厦门西，角美中骏四季阳光大4房，楼中楼，带花园,中骏四季阳光二期 -角美台商投资区,4室2厅 | 118平米 | 南 | 毛坯 | 低楼层(共26层)  | 板楼,36人关注 / 一年前发布,183,"15,509元/平"
风景优美  天然氧吧  空气宜人  交通便利,招商卡达凯斯 -南滨大道,3室2厅 | 118.5平米 | 东南 | 毛坯 | 30层  | 板塔结合,0人关注 / 一年前发布,130,"10,971元/平"
房子是毛坯房自己装修户型好楼层高视线好,长福裕景 -人民广场,4室2厅 | 124平米 | 南 | 毛坯 | 高楼层(共30层)  | 板楼,32人关注 / 一年前发布,134,"10,807元/平"
永鸿厦门南岸，南北通透，配套齐全,永鸿·厦门湾南岸 -南滨大道,3室2厅 | 85.69平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板楼,4人关注 / 一年前发布,86,"10,037元/平"
中闽百汇入驻的永鸿广场装修带租3房。,永鸿商业广场 -南滨大道,3室2厅 | 93平米 | 南 北 | 精装 | 中楼层(共31层)  | 板塔结合,0人关注 / 一年前发布,135,"14,517元/平"
漳州港好品质洋房，带50左右花园带一层面积,翔烨澎湖湾 -南滨大道,5室2厅 | 177.34平米 | 南 北 | 毛坯 | 低楼层(共5层)  | 板楼,3人关注 / 一年前发布,253,"14,267元/平"
漳州港，永鸿南岸看湖景大四房，视野开阔,永鸿·厦门湾南岸 -南滨大道,4室2厅 | 136.9平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 板楼,1人关注 / 一年前发布,160,"11,688元/平"
漳州港 招商花园城 高层看海3房出售,招商花园城 -招商大道,3室2厅 | 114.56平米 | 北 南 | 毛坯 | 高楼层(共18层)  | 板楼,3人关注 / 一年前发布,120,"10,475元/平"
闽南水乡 中海上湾 毛坯三房  三面采光 使用面积大,中海·上湾 -闽南水乡,3室2厅 | 105.79平米 | 东南 | 毛坯 | 低楼层(共29层)  | 板楼,2人关注 / 一年前发布,160,"15,125元/平"
厦门湾南岸 大社区 交通方便 生活便利 户型方正,永鸿·厦门湾南岸 -南滨大道,3室2厅 | 101平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板楼,3人关注 / 一年前发布,80,"7,921元/平"
满五唯一，高层看湖，业主置换诚意出售,永鸿·厦门湾南岸 -南滨大道,3室2厅 | 116平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板楼,2人关注 / 一年前发布,104.5,"9,009元/平"
海沧圣-地亚哥、楼中楼、带挑高。南北向，格局好。,圣地亚哥 -龙池开发区,3室2厅 | 115.31平米 | 南 北 | 毛坯 | 6层  | 板楼,0人关注 / 2个月以前发布,129,"11,188元/平"
兰溪谷的环境绿化有一种下班就想回家的心,招商兰溪谷 -南滨大道,4室3厅 | 140.08平米 | 南 北 | 毛坯 | 中楼层(共4层)  | 板楼,0人关注 / 6个月以前发布,235,"16,777元/平"
漳州港南滨大道永鸿南岸看湖看海大三房边套毛坯出售中,永鸿·厦门湾南岸 -南滨大道,3室2厅 | 120.43平米 | 东南 | 毛坯 | 高楼层(共32层)  | 板楼,1人关注 / 6个月以前发布,112,"9,301元/平"
漳州港永鸿御珑湾大户型好房诚心出售中,永鸿御珑湾 -南滨大道,3室2厅 | 127平米 | 南 | 毛坯 | 中楼层(共26层)  | 板楼,2人关注 / 一年前发布,147,"11,575元/平"
自住装修.朝南。精装房， 拎包入住,永鸿·厦门湾南岸 -南滨大道,3室2厅 | 101平米 | 西南 | 其他 | 低楼层(共32层)  | 板楼,3人关注 / 10个月以前发布,96,"9,505元/平"
龙勋花园  楼中楼  精装四房  户型方正  采光好,龙勋花园 -龙池开发区,4室2厅 | 135.44平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,120,"8,861元/平"
漳州港 厦门湾南岸  三房看中庭,永鸿·厦门湾南岸 -南滨大道,3室2厅 | 101.09平米 | 南 | 毛坯 | 低楼层(共32层)  | 板楼,50人关注 / 一年前发布,67,"6,628元/平"
中联锦江御景小三房出售，看房方便。,中联锦江御景 -石码镇,3室2厅 | 108平米 | 南 | 毛坯 | 低楼层(共32层)  | 暂无数据,7人关注 / 一年前发布,158,"14,630元/平"
此房满五唯一.采光充足.楼层好.视野宽阔.景观美,永鸿尚海湾 -南滨大道,3室2厅 | 165.23平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 塔楼,10人关注 / 一年前发布,129,"7,808元/平"
海沧圣-地亚哥、楼中楼、带挑高。南北向，格局好。,圣地亚哥 -龙池开发区,3室2厅 | 115.31平米 | 南 北 | 毛坯 | 6层  | 板楼,0人关注 / 2个月以前发布,129,"11,188元/平"
宝龙云景里     小三房 出售          视野好,宝龙云景里（漳州宝龙广场） -蓝田宝龙商圈,3室2厅 | 87.07平米 | 南 北 | 简装 | 高楼层(共29层)  | 板楼,0人关注 / 一年前发布,130.6,"15,000元/平"
对望双鱼岛 好楼层 招商兰溪谷标准三房,招商兰溪谷 -南滨大道,3室2厅 | 100.92平米 | 南 | 毛坯 | 高楼层(共13层)  | 板楼,13人关注 / 一年前发布,91,"9,018元/平"
带入户花园，户型方正，采光通风好，业主诚心出售。,招商卡达凯斯 -南滨大道,3室2厅 | 141.55平米 | 东南 | 毛坯 | 30层  | 板塔结合,12人关注 / 11个月以前发布,130,"9,185元/平"
文昌好房 诚意出售  看房提前联系,文昌森邻 -石码镇,3室2厅 | 120平米 | 东南 | 毛坯 | 低楼层(共15层)  | 板塔结合,0人关注 / 10个月以前发布,156,"13,000元/平"
吉祥小高层南北通透毛坯好房出售,润丰吉祥福邸 -漳浦城东,3室2厅 | 122平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 10个月以前发布,79.95,"6,554元/平"
一品江山二期  11499/平 高层 采光充足 视野宽阔,一品江山二期 -湘桥湖周边,3室1厅 | 128.88平米 | 南 | 毛坯 | 高楼层(共40层)  | 板楼,0人关注 / 5个月以前发布,135.4,"10,506元/平"
君临天下 3房2厅 朝南 大阳台 阳光充足,君临天下 -沃尔玛,3室2厅 | 123.52平米 | 南 | 简装 | 低楼层(共22层)  | 板楼,0人关注 / 一年前发布,176,"14,249元/平"
新都广场，看西湖景观，契税满二,新都中央华庭 -漳浦城西,3室2厅 | 129.79平米 | 南 | 毛坯 | 中楼层(共31层)  | 平房,2人关注 / 一年前发布,93,"7,166元/平"
漳州开发区 招商花园城 3房出售 近码头 靠公园,招商花园城 -招商大道,3室2厅 | 113.75平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,9人关注 / 一年前发布,108,"9,495元/平"
金绿欧洲城，建发中医院旁，好楼层，采光好,金绿欧洲城 -漳浦城东,3室2厅 | 133平米 | 南 | 毛坯 | 中楼层(共32层)  | 暂无数据,15人关注 / 一年前发布,102.41,"7,700元/平"
采光好，格局分明。小区绿化环境好,永鸿·厦门湾南岸 -南滨大道,3室2厅 | 123平米 | 东南 | 毛坯 | 低楼层(共31层)  | 板楼,4人关注 / 一年前发布,135,"10,976元/平"
荣昌公馆3-2-1-1 118.00m² 150 万,荣昌公馆 -石码镇,3室2厅 | 118平米 | 西南 | 简装 | 高楼层(共18层)  | 暂无数据,2人关注 / 一年前发布,130,"11,017元/平"
漳州港厦门湾南岸一期，86平，3房诚意出售,永鸿·厦门湾南岸 -南滨大道,3室2厅 | 86平米 | 南 | 毛坯 | 低楼层(共32层)  | 板楼,2人关注 / 一年前发布,80,"9,303元/平"
单价10000中楼层满五唯一可正常首付 双阳台  视野好,美福一品 -角美台商投资区,3室2厅 | 128.33平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板楼,3人关注 / 一年前发布,129.5,"10,092元/平"
小区内东边套3房，前排无遮挡，看西湖和半个漳浦,新都中央华庭 -漳浦城西,3室2厅 | 129.79平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 平房,2人关注 / 一年前发布,94.75,"7,301元/平"
厦门西，角美中骏四季阳光大4房，楼中楼，带花园,中骏四季阳光二期 -角美台商投资区,4室2厅 | 118平米 | 南 | 毛坯 | 低楼层(共26层)  | 板楼,36人关注 / 一年前发布,183,"15,509元/平"
漳州港厦门湾南岸 大三房 采光充足,永鸿·厦门湾南岸 -南滨大道,3室2厅 | 132平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,3人关注 / 一年前发布,115,"8,713元/平"
漳州港永鸿厦门湾南岸朝南 精装修 可直接拎包入住,永鸿·厦门湾南岸 -南滨大道,3室2厅 | 89平米 | 西南 | 其他 | 中楼层(共32层)  | 板楼,0人关注 / 一年前发布,97,"10,899元/平"
环境优美，采光性好，可以看双鱼岛，交通便利,招商兰溪谷 -南滨大道,3室1厅 | 100平米 | 南 北 | 毛坯 | 中楼层(共13层)  | 板楼,0人关注 / 8个月以前发布,120,"12,000元/平"
永鸿南岸一期 满五唯一 毛坯高层三房业主诚售,永鸿·厦门湾南岸 -南滨大道,3室1厅 | 112平米 | 南 | 毛坯 | 高楼层(共32层)  | 板楼,0人关注 / 一年前发布,103,"9,197元/平"
漳州港假日365.90平复式3房出售朝南价格便宜,招商假日365 -南滨大道,3室2厅 | 90.48平米 | 南 | 毛坯 | 低楼层(共18层)  | 塔楼,23人关注 / 一年前发布,98,"10,832元/平"
此房满二漳州港 高速出口 湿地公园 格局方正,永鸿澜悦城 -南滨大道,3室2厅 | 91平米 | 东南 | 其他 | 高楼层(共9层)  | 板塔结合,3人关注 / 一年前发布,78,"8,572元/平"
厦门湾1号直视双鱼岛小区交通方便,永鸿·厦门湾1号 -南滨大道,3室1厅 | 82.7平米 | 南 北 | 精装 | 中楼层(共31层)  | 板楼,0人关注 / 3个月以前发布,110,"13,302元/平"
锦绣一方 小洋房 精装修4房5阳台,锦绣一方 -人民广场,4室1厅 | 152平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,5人关注 / 8个月以前发布,205,"13,487元/平"
新城海世界，正规三房，高层看海,新城海世界 -招商大道,3室2厅 | 135平米 | 南 北 | 毛坯 | 低楼层(共30层)  | 板楼,0人关注 / 一年前发布,150,"11,112元/平"
万达1期  高层99平  看房方便 更有同户型低价格房源,万达中央华城1期 -角美台商投资区,3室2厅 | 99.24平米 | 东南 | 毛坯 | 高楼层(共17层)  | 板楼,0人关注 / 一年前发布,140,"14,108元/平"
中联锦江御景 一线江景 栋距宽 园林绿化优美,中联锦江御景 -石码镇,3室2厅 | 105.5平米 | 东南 | 精装 | 高楼层(共31层)  | 暂无数据,0人关注 / 6个月以前发布,180,"17,062元/平"
永鸿厦门湾南岸 通透大三房 高层海景房,永鸿·厦门湾南岸 -南滨大道,3室2厅 | 120平米 | 东南 | 毛坯 | 高楼层(共31层)  | 板楼,3人关注 / 4个月以前发布,99.6,"8,300元/平"
满5唯一.房东诚意出售.小区环境优美,永鸿·厦门湾南岸 -南滨大道,3室2厅 | 112.9平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板楼,4人关注 / 一年前发布,92,"8,149元/平"
漳州港好品质洋房，带50左右花园带一层面积,翔烨澎湖湾 -南滨大道,5室2厅 | 177.34平米 | 南 北 | 毛坯 | 低楼层(共5层)  | 板楼,3人关注 / 一年前发布,253,"14,267元/平"
中闽百汇入驻的永鸿广场装修带租3房。,永鸿商业广场 -南滨大道,3室2厅 | 93平米 | 南 北 | 精装 | 中楼层(共31层)  | 板塔结合,0人关注 / 一年前发布,135,"14,517元/平"
阳光城一期，低楼层，3室2厅1卫，可售可租,阳光城凡尔赛宫一期 -角美台商投资区,3室2厅 | 76平米 | 南 | 毛坯 | 33层  | 板塔结合,1人关注 / 一年前发布,105,"13,816元/平"
风景优美  天然氧吧  空气宜人  交通便利,招商卡达凯斯 -南滨大道,3室2厅 | 118.5平米 | 东南 | 毛坯 | 30层  | 板塔结合,0人关注 / 一年前发布,130,"10,971元/平"
永鸿厦门南岸，南北通透，配套齐全,永鸿·厦门湾南岸 -南滨大道,3室2厅 | 85.69平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板楼,4人关注 / 一年前发布,86,"10,037元/平"
永鸿厦门湾南岸 好销的小三房 位置配套集中 随时看,永鸿·厦门湾南岸 -南滨大道,3室2厅 | 86平米 | 东南 | 毛坯 | 中楼层(共25层)  | 板楼,1人关注 / 一年前发布,80,"9,303元/平"
明发121平三房两厅出售，看房预约,明发中央城 -石码镇,3室2厅 | 121平米 | 南 西北 | 毛坯 | 中楼层(共31层)  | 暂无数据,3人关注 / 一年前发布,123,"10,166元/平"
房子是毛坯房自己装修户型好楼层高视线好,长福裕景 -人民广场,4室2厅 | 124平米 | 南 | 毛坯 | 高楼层(共30层)  | 板楼,32人关注 / 一年前发布,134,"10,807元/平"
阳光城旁 正规三房 动静分离 业主诚售,永鸿·厦门湾南岸 -南滨大道,3室2厅 | 114平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,1人关注 / 3个月以前发布,96.5,"8,465元/平"
漳州港，永鸿南岸看湖景大四房，视野开阔,永鸿·厦门湾南岸 -南滨大道,4室2厅 | 136.9平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 板楼,1人关注 / 一年前发布,160,"11,688元/平"
房东诚意出售， 忍痛割爱。。。,瑞景城 -蓝田宝龙商圈,3室1厅 | 120.37平米 | 西 | 精装 | 低楼层(共17层)  | 板楼,1人关注 / 3个月以前发布,142,"11,797元/平"
海湾新城3房2厅生活方便交通便利,福泰海湾新城 -招商大道,4室2厅 | 143平米 | 南 | 毛坯 | 中楼层(共32层)  | 塔楼,0人关注 / 11个月以前发布,205,"14,336元/平"
朝南正规三房 户型周正 小区人车分流,永鸿御珑湾 -南滨大道,3室2厅 | 117平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 板塔结合,0人关注 / 10个月以前发布,105.8,"9,043元/平"
通北无在校 延安北路原旧夜市边鸿宝大厦 2带4层楼中楼,鸿宝大厦 -女排大润发,4室3厅 | 183.95平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 板楼,22人关注 / 一年前发布,160.8,"8,742元/平"
漳州港大唐世家一期 边套 四室两厅一厨一卫 高楼层,大唐世家一期 -南滨大道,4室2厅 | 91.5平米 | 南 北 | 毛坯 | 高楼层(共16层)  | 板塔结合,1人关注 / 一年前发布,83,"9,072元/平"
视野开阔              诚心出售,永大星城 -人民广场,4室2厅 | 191平米 | 南 北 | 简装 | 低楼层(共33层)  | 板楼,0人关注 / 一年前发布,257.85,"13,500元/平"
融信观山海 精装3房，品质小区，一级物业  看房方便,融信观山海 -南滨大道,3室2厅 | 89.87平米 | 南 | 精装 | 中楼层(共30层)  | 板塔结合,6人关注 / 7个月以前发布,90,"10,015元/平"
漳州港永鸿御珑湾 大三房 南北朝向 格局好 生活便利,永鸿御珑湾 -南滨大道,3室2厅 | 115.7平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,1人关注 / 一年前发布,105,"9,076元/平"
融信观山海正规三房 带车位 口碑好的物业满五唯一,融信观山海 -南滨大道,3室2厅 | 116平米 | 南 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 一年前发布,102,"8,794元/平"
中间楼层户型方正可看两侧湖景 业主诚意出售,永鸿南岸二期 -南滨大道,3室1厅 | 90平米 | 南 北 | 其他 | 高楼层(共32层)  | 塔楼,0人关注 / 5个月以前发布,87,"9,667元/平"
入厦高速头站，标致三房，户型比较通透，随时看房,永鸿澜悦城 -南滨大道,3室2厅 | 86平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 一年前发布,71,"8,256元/平"
融信壹号府，优美湖景尽收眼底，品质小区出门就是公园,融信壹号府 -人民广场,4室2厅 | 141平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,211.5,"15,000元/平"
福隆城北区 五房两厅 精装修，好楼层,福隆城北区 -福隆城商圈,5室2厅 | 192.6平米 | 南 北 | 精装 | 高楼层(共30层)  | 板楼,4人关注 / 一年前发布,230,"11,942元/平"
四季园著 精装大3房 好楼层 户口无占用,荣成四季园著 -一七五,3室1厅 | 119.5平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 4个月以前发布,155.35,"13,000元/平"
厦门湾南岸 大社区 交通方便 生活便利 户型方正,永鸿南岸二期 -南滨大道,3室2厅 | 100.5平米 | 东南 | 精装 | 中楼层(共32层)  | 板楼,1人关注 / 5个月以前发布,150,"14,926元/平"
三房两厅小区 环境好 采光好 明厨明卫 看房方便,永鸿·厦门湾南岸 -南滨大道,3室2厅 | 113平米 | 南 | 毛坯 | 高楼层(共31层)  | 板楼,0人关注 / 10个月以前发布,115,"10,177元/平"
中骏三期高层正规4房，中庭视野，过户只需契税,中骏四季阳光三期 -角美台商投资区,4室2厅 | 106.8平米 | 南 北 | 其他 | 高楼层(共33层)  | 板塔结合,6人关注 / 一年前发布,163,"15,263元/平"
中骏四季阳光三期 3室2厅 西南,中骏四季阳光三期 -角美台商投资区,3室2厅 | 97.6平米 | 西南 | 毛坯 | 中楼层(共33层)  | 板塔结合,4人关注 / 一年前发布,148,"15,164元/平"
厦门西  交通方便  视野好 采光好,御盛花园 -龙池开发区,3室2厅 | 99平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,44人关注 / 一年前发布,83,"8,384元/平"
顶楼复式，带两个露台，一个入户花园，使用空间大,东方明珠花园 -沃尔玛,5室2厅 | 241平米 | 南 北 | 精装 | 高楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,187.9,"7,797元/平"
此房到6月满2年，中高楼层，户型方正，采光好,阳光城凡尔赛宫一期 -角美台商投资区,3室2厅 | 89平米 | 东南 南 | 毛坯 | 33层  | 板塔结合,3人关注 / 一年前发布,129,"14,495元/平"
中骏品质  不靠路很安静   视野好,中骏四季阳光三期 -角美台商投资区,3室2厅 | 99.51平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,156,"15,677元/平"
中骏三期高层正规4房，中庭视野，过户只需契税,中骏四季阳光三期 -角美台商投资区,4室2厅 | 106.8平米 | 南 北 | 其他 | 高楼层(共33层)  | 板塔结合,6人关注 / 一年前发布,163,"15,263元/平"
此房满五多套，西边套三面采光，楼层好，采光充足,钱隆首府 -一七五,3室2厅 | 146平米 | 南 北 | 简装 | 高楼层(共20层)  | 板楼,4人关注 / 一年前发布,233,"15,959元/平"
卡达凯斯小区大四房 看海景 环境优美,招商卡达凯斯 -南滨大道,4室2厅 | 158平米 | 东南 | 毛坯 | 28层  | 板塔结合,4人关注 / 一年前发布,213,"13,482元/平"
角美中骏四季阳光三期高层采光视野好,中骏四季阳光三期 -角美台商投资区,3室2厅 | 77.5平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,10人关注 / 一年前发布,124,"16,000元/平"
开发区医院。高尔夫球场旁。南北朝向，户型通透,永鸿御景湾 -南滨大道,3室2厅 | 114平米 | 南 北 | 简装 | 中楼层(共11层)  | 板楼,6人关注 / 一年前发布,126,"11,053元/平"
御龙湾三房户型方正采光充足，业主急售,永鸿御珑湾 -南滨大道,3室2厅 | 117.5平米 | 东南 | 其他 | 中楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,100,"8,511元/平"
龙勋花园  中层  小三房  户型方正  采光好,龙勋花园 -龙池开发区,3室1厅 | 67.78平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,77,"11,361元/平"
中高楼层，视野开阔，看湿地公园，看房方便有钥匙,中骏四季阳光三期 -角美台商投资区,3室1厅 | 77平米 | 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,4人关注 / 一年前发布,135,"17,533元/平"
福隆城北区 五房两厅 精装修，好楼层,福隆城北区 -福隆城商圈,5室2厅 | 192.6平米 | 南 北 | 精装 | 高楼层(共30层)  | 板楼,4人关注 / 一年前发布,230,"11,942元/平"
中间楼层户型方正可看两侧湖景 业主诚意出售,永鸿南岸二期 -南滨大道,3室1厅 | 90平米 | 南 北 | 其他 | 高楼层(共32层)  | 塔楼,0人关注 / 5个月以前发布,87,"9,667元/平"
厦门湾南岸 大社区 交通方便 生活便利 户型方正,永鸿南岸二期 -南滨大道,3室2厅 | 100.5平米 | 东南 | 精装 | 中楼层(共32层)  | 板楼,1人关注 / 5个月以前发布,150,"14,926元/平"
三房两厅小区 环境好 采光好 明厨明卫 看房方便,永鸿·厦门湾南岸 -南滨大道,3室2厅 | 113平米 | 南 | 毛坯 | 高楼层(共31层)  | 板楼,0人关注 / 10个月以前发布,115,"10,177元/平"
四季园著 精装大3房 好楼层 户口无占用,荣成四季园著 -一七五,3室1厅 | 119.5平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 4个月以前发布,155.35,"13,000元/平"
九龙好房， 提前预约，  随时可看,九龙新城 -石码镇,6室2厅 | 251平米 | 南 | 毛坯 | 高楼层(共23层)  | 塔楼,2人关注 / 一年前发布,301.2,"12,000元/平"
厦门西   中骏品质  正规三房  客厅带阳台  业主急售,中骏四季阳光三期 -角美台商投资区,3室2厅 | 77.11平米 | 西南 | 毛坯 | 中楼层(共33层)  | 板塔结合,3人关注 / 一年前发布,131.8,"17,093元/平"
厦门西 中骏品质小区 户型格局佳 采光楼层好 诚售,中骏四季阳光三期 -角美台商投资区,3室2厅 | 87.91平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,155,"17,632元/平"
荣昌公馆 小区适宜住人 安静，园林绿化优美,荣昌公馆 -石码镇,3室2厅 | 102.3平米 | 东南 | 毛坯 | 高楼层(共17层)  | 板楼,2人关注 / 11个月以前发布,113,"11,046元/平"
户型方正，采光好，双阳台，一级物业 ，养老宜居,融信观山海 -南滨大道,4室2厅 | 143平米 | 西 | 毛坯 | 高楼层(共33层)  | 板楼,1人关注 / 2个月以前发布,128,"8,952元/平"
龙泉华庭南北朝向标准三房看中庭视野好小区环境好,龙泉华庭三期 -角美台商投资区,3室2厅 | 131平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 一年前发布,160,"12,214元/平"
正兴医院，绿洲富城大三房，两卫，三个阳台,绿洲富城 -北斗工业区,3室2厅 | 132.42平米 | 南 北 | 简装 | 高楼层(共15层)  | 塔楼,0人关注 / 4个月以前发布,112,"8,458元/平"
漳州港，永鸿厦门湾南岸二期，边套三房,永鸿南岸二期 -南滨大道,3室2厅 | 102.45平米 | 东南 | 毛坯 | 中楼层(共32层)  | 板楼,3人关注 / 4个月以前发布,89,"8,688元/平"
学府花园  正规三房 户型方正 采光佳,万益学府花园一期 -角美台商投资区,3室2厅 | 116.8平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板塔结合,0人关注 / 一年前发布,160,"13,699元/平"
位于锦江道  风景好楼层佳 提前预约 随时可看,泉舜锦江上城 -石码镇,3室2厅 | 118平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,1人关注 / 一年前发布,206.8,"17,526元/平"
厦门西 中骏品质  视野很好 可以看景观  业主急售,中骏四季阳光三期 -角美台商投资区,3室2厅 | 87.68平米 | 南 西南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,150,"17,108元/平"
卡达凯斯，奢阔4房，户型方正，餐客厅对流，漳州港,招商卡达凯斯 -南滨大道,4室2厅 | 176平米 | 东南 | 毛坯 | 26层  | 板塔结合,27人关注 / 一年前发布,175,"9,944元/平"
厦门西   中骏品质  正规三房  客厅带阳台  业主急售,中骏四季阳光三期 -角美台商投资区,3室2厅 | 77.11平米 | 西南 | 毛坯 | 中楼层(共33层)  | 板塔结合,3人关注 / 一年前发布,131.8,"17,093元/平"
融信壹号府，优美湖景尽收眼底，品质小区出门就是公园,融信壹号府 -人民广场,4室2厅 | 141平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,211.5,"15,000元/平"
中骏蓝湾一期三期，产权满二，诚意出售！,中骏蓝湾香郡一期 -湘桥湖周边,3室2厅 | 120平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,1人关注 / 一年前发布,153,"12,750元/平"
永鸿·厦门湾南岸 3室2厅 南,永鸿·厦门湾南岸 -南滨大道,3室2厅 | 121.43平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,6人关注 / 8个月以前发布,107,"8,812元/平"
漳州开发区怡心天地精装修大三房出售,怡心天地 -招商大道,3室2厅 | 103平米 | 东 南 北 | 精装 | 低楼层(共11层)  | 板楼,1人关注 / 4个月以前发布,116,"11,263元/平"
碧湖板块碧湖天骄 高层无遮挡 房东诚意出售,碧桂园·碧湖天骄 -碧湖万达,3室1厅 | 111平米 | 南 | 毛坯 | 低楼层(共31层)  | 板楼,0人关注 / 9个月以前发布,178,"16,037元/平"
融信公园式住宅区 改善小区 配套齐全,融信澜园 -碧湖万达,4室1厅 | 240平米 | 南 北 | 毛坯 | 高楼层(共43层)  | 板楼,2人关注 / 一年前发布,475,"19,792元/平"
御江府大四房视野开阔，诚意出售看房方便，生活便利,碧桂园御江府 -漳浦江滨,4室1厅 | 141.09平米 | 南 北 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,119.5,"8,470元/平"
海滨门口融信半山云顶三室两厅两,融信半山云顶 -招商大道,3室2厅 | 93.67平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,5人关注 / 10个月以前发布,92,"9,822元/平"
此房满五不唯一，自住精装修，价格带300平露台,明发商业广场 -闽南水乡,3室1厅 | 117.7平米 | 南 | 其他 | 低楼层(共25层)  | 板塔结合,0人关注 / 2个月以前发布,217,"18,437元/平"
漳州港御龙湾业主诚意出售大三房,永鸿御珑湾 -南滨大道,3室2厅 | 112平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 板塔结合,3人关注 / 一年前发布,102,"9,108元/平"
永鸿南岸  湖景3房 业主诚意出售,永鸿·厦门湾南岸 -南滨大道,3室2厅 | 101平米 | 南 | 毛坯 | 高楼层(共32层)  | 板楼,0人关注 / 一年前发布,92.5,"9,159元/平"
海湾新城 边套三房两卫 三面采光 校门口 自带底商,福泰海湾新城 -招商大道,3室2厅 | 112.5平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板楼,3人关注 / 一年前发布,153,"13,600元/平"
中海·上湾 电梯房 高楼层视野好,中海·上湾 -闽南水乡,6室3厅 | 129.61平米 | 南 北 | 毛坯 | 高楼层(共29层)  | 板楼,25人关注 / 一年前发布,230.99,"17,822元/平"
一品江山二期3-1-1-2 124.56m² 169 万,一品江山二期 -湘桥湖周边,3室1厅 | 124.56平米 | 南 | 毛坯 | 中楼层(共40层)  | 板楼,2人关注 / 一年前发布,168,"13,488元/平"
城关小旁3房两厅双卫毛坯好房出售,御景山庄 -漳浦城东,3室2厅 | 121.54平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板楼,0人关注 / 一年前发布,72.91,"5,999元/平"
全明户型，中楼层，花园小区大3房,漳浦碧桂园 -漳浦城东,3室2厅 | 139.5平米 | 西南 北 | 毛坯 | 中楼层(共30层)  | 板楼,0人关注 / 一年前发布,95.56,"6,851元/平"
漳州港永鸿御珑湾三房业主诚意出售,永鸿御珑湾 -南滨大道,3室2厅 | 116平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 一年前发布,99,"8,535元/平"
