标题,开发商,房子信息,发布信息,售价/万,单价
名仕康城.小区绿化好.楼层好.采光好.户型南北通透,名仕康城 -大市场商圈,4室2厅 | 143.82平米 | 南 北 | 毛坯 | 高楼层(共19层)  | 板塔结合,14人关注 / 一年前发布,81,"5,633元/平"
此房满五 停车方便 户型好 产证在手 满五年 看房方便,中航城·波西塔诺 -商贸城商圈,4室2厅 | 121平米 | 西南 | 精装 | 低楼层(共10层)  | 板楼,0人关注 / 5个月以前发布,121,"10,000元/平"
新小区读书方便，出行便利，毛坯好装修。,德信碧桂园君宸府 -七六路商圈,3室2厅 | 114.3平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,100,"8,749元/平"
业主诚心出售 毛坯房可随意按自己喜欢风格去装修,友邦壹号公馆 -十一小商圈,3室2厅 | 96.65平米 | 南 北 | 毛坯 | 低楼层(共29层)  | 板塔结合,2人关注 / 一年前发布,112,"11,589元/平"
户型方正，空间感好，交通便利居住舒适，通风好。,绿野星城 -旭日商圈,4室2厅 | 189平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板塔结合,1人关注 / 一年前发布,151,"7,990元/平"
金叶名庭小区 南北向三开间 户型方正 精装修,金叶名庭 -经开区商圈,3室2厅 | 118平米 | 东南 | 精装 | 高楼层(共9层)  | 板楼,0人关注 / 一年前发布,101.7,"8,619元/平"
电梯中楼层 精装修 采光充足 户型方正 家具配套齐全,东晨佳园 -万力商圈,3室2厅 | 151.77平米 | 西南 西 | 精装 | 中楼层(共12层)  | 板楼,0人关注 / 1个月以前发布,129,"8,500元/平"
楼层采光好，视野开阔，诚心出售，价格还有空间,和锦園 -行政中心商圈,4室2厅 | 142.66平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,4人关注 / 10个月以前发布,121,"8,482元/平"
视野好 前方没遮挡 环境好  看房方便 产权清晰 好成交,十里风荷 -旭日商圈,3室2厅 | 129.13平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 暂无数据,2人关注 / 11个月以前发布,73,"5,654元/平"
邻近志敏公园，小区环境优美，产证在手，无户，无押,中房青蓝国际 -行政中心商圈,3室2厅 | 106平米 | 南 | 毛坯 | 中楼层(共21层)  | 板楼,1人关注 / 10个月以前发布,85,"8,019元/平"
信江河边洋房带地下室和花园 业主急售,碧桂园信州府 -大市场商圈,4室2厅 | 164.89平米 | 东南 | 毛坯 | 低楼层(共6层)  | 板楼,3人关注 / 一年前发布,220,"13,343元/平"
龙潭湖公园旁环境优美距万达吾悦近生活舒适,友邦玫瑰公馆 -行政中心商圈,4室2厅 | 133平米 | 南 | 毛坯 | 中楼层(共33层)  | 平房,3人关注 / 一年前发布,116,"8,722元/平"
业主诚心出售 业主本人随时过来开门,信江西路57号 -亿升商圈,3室2厅 | 104.67平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,8人关注 / 4个月以前发布,51,"4,873元/平"
新上房源、看房方便、诚心售、生活便利、交通便捷,碧桂园天樾 -商贸城商圈,4室2厅 | 139.63平米 | 南 | 简装 | 低楼层(共34层)  | 板楼,1人关注 / 4个月以前发布,107,"7,664元/平"
步梯好楼层 ，小薛近在咫尺，圆您小孩成才梦..,丰光苑 -十一小商圈,3室2厅 | 104.34平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,6人关注 / 一年前发布,83,"7,955元/平"
装修3居室 中山路 闹中取静 舒适实惠,箭道巷45号 -亿升商圈,4室2厅 | 133.8平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 5个月以前发布,109,"8,147元/平"
信江府大别墅两百平大院子，前排一线江景房,博能信江府 -七六路商圈,6室2厅 | 420.23平米 | 东南 | 毛坯 | 3层  | 暂无数据 | 联排别墅 ,0人关注 / 1个月以前发布,800,"19,038元/平"
4房两厅户型方正格局好 一线江景,江山里 -水南街商圈,4室2厅 | 123平米 | 东南 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 3个月以前发布,91,"7,399元/平"
电梯房，适合老人小孩居住，小区环境优美,江山里 -水南街商圈,4室2厅 | 123.44平米 | 南 | 毛坯 | 中楼层(共34层)  | 暂无数据,1人关注 / 一年前发布,90,"7,291元/平"
楼层好，视野佳，采光充足，有车位,新城吾悦广场 -旭日商圈,3室2厅 | 111.53平米 | 东南 | 毛坯 | 高楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,110,"9,863元/平"
新上房源市政板块品质小区环境优美，房东诚信出售,友邦壹号院 -行政中心商圈,4室2厅 | 132平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,1人关注 / 4个月以前发布,147,"11,137元/平"
新上房源、产权清晰、楼层好、生活便利、交通便捷,晶科滨江1号 -上饶高铁站商圈,3室2厅 | 107平米 | 南 | 毛坯 | 中楼层(共10层)  | 暂无数据,2人关注 / 4个月以前发布,114,"10,655元/平"
此房满两年，户型好，厅室布局方正 空间感好 采光充足,中航城·波西塔诺 -商贸城商圈,4室2厅 | 143平米 | 东南 | 精装 | 低楼层(共17层)  | 板楼,3人关注 / 一年前发布,141,"9,861元/平"
别墅 100平花园 不靠马路 空间使用面积大,润丰拉菲庄园 -商贸城商圈,6室2厅 | 358平米 | 南 | 毛坯 | 3层  | 板楼 | 双拼别墅 ,2人关注 / 一年前发布,590,"16,481元/平"
舒适洋房，电梯房，精装修，拎包即可入住！,阳光福邸 -七六路商圈,3室2厅 | 159平米 | 南 | 精装 | 高楼层(共8层)  | 板塔结合,2人关注 / 一年前发布,115,"7,233元/平"
审计局宿舍 房东诚心出售 全明户型 交通便利,审计局宿舍 -十一小商圈,3室2厅 | 150平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,22人关注 / 8个月以前发布,88,"5,867元/平"
蓝山国际 四房两厅一厨两卫 诚心出售,蓝山国际 -行政中心商圈,4室2厅 | 121平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,14人关注 / 一年前发布,95,"7,852元/平"
交通便利，出门就是公交站，有1路.21路等公交车。,大学春城 -大市场商圈,3室2厅 | 137.6平米 | 南 | 毛坯 | 高楼层(共10层)  | 平房,1人关注 / 一年前发布,108,"7,849元/平"
信水滨城 电梯房 好楼层 看房方便交通便利,信水滨城 -七六路商圈,3室2厅 | 142平米 | 南 北 | 毛坯 | 中楼层(共12层)  | 塔楼,0人关注 / 一年前发布,100,"7,043元/平"
云峰雅苑，电梯高层江景房，精装修房源。,云峰雅苑 -万力商圈,4室2厅 | 155.16平米 | 南 东南 | 精装 | 高楼层(共13层)  | 板楼,6人关注 / 一年前发布,135,"8,701元/平"
上饶丽城满五唯一电梯房户型好诚心出售可按揭,上饶丽城 -十一小商圈,3室2厅 | 125平米 | 南 | 简装 | 中楼层(共16层)  | 板楼,9人关注 / 6个月以前发布,104,"8,320元/平"
和锦园纯东边套 房东诚心出售 看房有钥匙,和锦園 -行政中心商圈,3室2厅 | 116.27平米 | 南 北 | 其他 | 中楼层(共11层)  | 板塔结合,0人关注 / 6个月以前发布,110,"9,461元/平"
市政府区域 高档小区 和锦园 买6含7尖顶 诚心出售!,和锦園 -行政中心商圈,3室2厅 | 99.22平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,7人关注 / 一年前发布,88,"8,870元/平"
云峰雅苑，电梯高层江景房，精装修房源。,云峰雅苑 -万力商圈,4室2厅 | 155.16平米 | 南 东南 | 精装 | 高楼层(共13层)  | 板楼,6人关注 / 一年前发布,135,"8,701元/平"
金河湾 中装 满二年税费低 出行方便 户型好,金河湾 -旭日商圈,2室2厅 | 88平米 | 西南 | 简装 | 高楼层(共17层)  | 板楼,0人关注 / 5个月以前发布,105,"11,932元/平"
审计局宿舍 房东诚心出售 全明户型 交通便利,审计局宿舍 -十一小商圈,3室2厅 | 150平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,22人关注 / 8个月以前发布,88,"5,867元/平"
舒适洋房，电梯房，精装修，拎包即可入住！,阳光福邸 -七六路商圈,3室2厅 | 159平米 | 南 | 精装 | 高楼层(共8层)  | 板塔结合,2人关注 / 一年前发布,115,"7,233元/平"
和锦园纯东边套 房东诚心出售 看房有钥匙,和锦園 -行政中心商圈,3室2厅 | 116.27平米 | 南 北 | 其他 | 中楼层(共11层)  | 板塔结合,0人关注 / 6个月以前发布,110,"9,461元/平"
上饶丽城满五唯一电梯房户型好诚心出售可按揭,上饶丽城 -十一小商圈,3室2厅 | 125平米 | 南 | 简装 | 中楼层(共16层)  | 板楼,9人关注 / 6个月以前发布,104,"8,320元/平"
槠溪·碧水香邻 4室2厅 南,槠溪·碧水香邻 -旭日商圈,4室2厅 | 125平米 | 南 | 其他 | 高楼层(共14层)  | 板楼,0人关注 / 1个月以前发布,107,"8,560元/平"
特色小镇，宽景洋房，城市综合体,十里风荷 -旭日商圈,3室2厅 | 129.92平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,2人关注 / 一年前发布,84,"6,466元/平"
广信区地段东边套毛坯 大三房 业主诚心出售,新城吾悦广场 -旭日商圈,3室2厅 | 128.15平米 | 南 | 毛坯 | 中楼层(共30层)  | 板楼,0人关注 / 2个月以前发布,140,"10,925元/平"
凤凰大道旁安家公园旁南北通透大4房！,云彩城 -经开区商圈,4室2厅 | 129.63平米 | 南 北 | 其他 | 高楼层(共26层)  | 板塔结合,0人关注 / 2个月以前发布,83.8,"6,465元/平"
尚锦名都，学，校红盘，出行方便，,尚锦名都 -旭日商圈,2室2厅 | 85.16平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,70,"8,220元/平"
尚锦名都3-2-1-2 128.69m,尚锦名都 -旭日商圈,3室2厅 | 128.69平米 | 南 | 毛坯 | 高楼层(共23层)  | 板塔结合,0人关注 / 9个月以前发布,82,"6,372元/平"
胜利路43号 中装3房、视野开阔，温馨舒适 拎包即入住,胜利路43号 -亿升商圈,3室2厅 | 110.32平米 | 南 | 精装 | 中楼层(共8层)  | 塔楼,0人关注 / 一年前发布,78,"7,071元/平"
南北通透  户型好  三房两厅  采光好,金科奥园铂悦都会 -经开区商圈,3室2厅 | 104平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 塔楼,0人关注 / 4个月以前发布,69.9,"6,722元/平"
和锦园 毛坯大四房 户型 带大阳台,和锦園 -行政中心商圈,4室2厅 | 168.25平米 | 南 | 毛坯 | 低楼层(共22层)  | 板楼,4人关注 / 一年前发布,152.6,"9,070元/平"
恒大名都，万达商圈，全方面成熟社区房源出售.,恒大名都 -万达商圈,3室2厅 | 115平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,19人关注 / 一年前发布,148,"12,870元/平"
双达小区 复式楼出售，买一层得二层,双达胜利小区 -亿升商圈,4室2厅 | 92.26平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,4人关注 / 8个月以前发布,55,"5,962元/平"
产证满二 看房随时 诚心出售 急卖 急卖 急卖,奥林至尊 -行政中心商圈,5室2厅 | 190.52平米 | 南 | 毛坯 | 高楼层(共31层)  | 板楼,1人关注 / 5个月以前发布,152,"7,979元/平"
友邦壹号院本土开发商友邦物业小区环境优雅,友邦壹号院 -行政中心商圈,4室2厅 | 135.5平米 | 南 | 毛坯 | 高楼层(共32层)  | 暂无数据,0人关注 / 3个月以前发布,147,"10,849元/平"
信江河畔，国家一级资质物业管理，江南水乡园林风格,荣盛云溪府 -水南街商圈,3室2厅 | 97.66平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 3个月以前发布,59,"6,042元/平"
龙潭湖公园旁，御景天下中高楼层,御景天下 -行政中心商圈,3室2厅 | 130.99平米 | 南 | 毛坯 | 高楼层(共17层)  | 塔楼,0人关注 / 6个月以前发布,145,"11,070元/平"
位置好，购物方便，环境优美，适宜居住。,御景天下 -行政中心商圈,3室2厅 | 138.11平米 | 南 | 毛坯 | 高楼层(共28层)  | 板楼,1人关注 / 一年前发布,155,"11,223元/平"
采光好，视野宽阔，地段好，有院子停车。,天河楼苑 -亿升商圈,3室2厅 | 123.53平米 | 东南 西南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,70,"5,667元/平"
此房为刚需三房，毛坯，易于改造装修，采光充足,中房青蓝国际 -行政中心商圈,3室2厅 | 131.27平米 | 南 | 毛坯 | 低楼层(共27层)  | 板塔结合,71人关注 / 一年前发布,86,"6,552元/平"
龙潭湖公园旁 御景天下复式 业主诚心出售,御景天下 -行政中心商圈,3室2厅 | 138.11平米 | 东 | 毛坯 | 高楼层(共28层)  | 板楼,0人关注 / 4个月以前发布,207,"14,989元/平"
奥林至 尊两房带大露台，可以随时看房,奥林至尊 -行政中心商圈,2室2厅 | 109.04平米 | 南 | 毛坯 | 低楼层(共17层)  | 板楼,1人关注 / 一年前发布,85,"7,796元/平"
北星小区 简装5房 复式楼  买五六  大露阳台 支持贷款,北星小区 -十一小商圈,5室3厅 | 171平米 | 东南 | 简装 | 高楼层(共5层)  | 板楼,2人关注 / 一年前发布,116.88,"6,836元/平"
此房产证在手，可直接过户，朝南格局方正,颐景园 -大市场商圈,5室2厅 | 223.43平米 | 南 | 毛坯 | 1层  | 暂无数据,0人关注 / 一年前发布,230,"10,295元/平"
七六路名江丽景小区位置好，生活方便，配套好。,名江丽景花园B区 -旭日商圈,3室2厅 | 114平米 | 南 | 毛坯 | 高楼层(共6层)  | 塔楼,0人关注 / 3个月以前发布,81,"7,106元/平"
洪客隆 电梯房 自住装修 采光充足 产证满二,润丰广场 -亿升商圈,4室2厅 | 187.66平米 | 东南 | 精装 | 中楼层(共27层)  | 板楼,0人关注 / 3个月以前发布,140,"7,461元/平"
师院旁 小区环境优美 此房是大两房，户型方正格局好。,明阳大学公馆 -大市场商圈,2室2厅 | 95.98平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 板楼,1人关注 / 一年前发布,75.6,"7,877元/平"
万景名苑三房满五唯一毛坯出售采光好,万景名苑 -大市场商圈,3室2厅 | 126.9平米 | 南 | 毛坯 | 高楼层(共17层)  | 板楼,1人关注 / 一年前发布,88,"6,935元/平"
惟义路110号房源的简单介绍的呢,惟义路110号 -七六路商圈,3室2厅 | 125平米 | 南 | 简装 | 中楼层(共5层)  | 板塔结合,0人关注 / 2个月以前发布,69,"5,520元/平"
边套那边通透 户型好 位置好 上学距离也近十五 铁中,融晖城 -商贸城商圈,3室2厅 | 131平米 | 南 | 毛坯 | 高楼层(共27层)  | 暂无数据,0人关注 / 4个月以前发布,153,"11,680元/平"
房东诚心出售，小区环境优美，户型端正,龙图·天骄华府 -经开区商圈,3室2厅 | 109平米 | 南 | 毛坯 | 高楼层(共25层)  | 板楼,0人关注 / 4个月以前发布,81.5,"7,478元/平"
小区交通便利，房子毛坯状态可随意装修,槠溪·碧水香邻 -旭日商圈,8室3厅 | 246.49平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板楼,7人关注 / 一年前发布,190,"7,709元/平"
实用的四房，西城一品，房子房型正，采光好,西城一品 -七六路商圈,4室2厅 | 119.53平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 3个月以前发布,82,"6,861元/平"
4A景区徽派四合院大别墅 南北带大院子的 环境优美..,十里风荷 -旭日商圈,5室2厅 | 218.78平米 | 东南 | 毛坯 | 低楼层(共2层)  | 暂无数据,3人关注 / 5个月以前发布,380,"17,370元/平"
配套完善，楼层视野好，房东诚心出售,中骏云景台 -经开区商圈,3室2厅 | 98.2平米 | 南 | 毛坯 | 高楼层(共34层)  | 塔楼,0人关注 / 3个月以前发布,71,"7,231元/平"
中骏雍景府 3室2厅 南,中骏雍景府 -七六路商圈,3室2厅 | 115.25平米 | 南 | 毛坯 | 中楼层(共34层)  | 板楼,0人关注 / 4个月以前发布,106,"9,198元/平"
碧桂园天越，小高层，四开间朝南的户型，看中可小刀,碧桂园天樾 -商贸城商圈,4室2厅 | 142平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,127,"8,944元/平"
友邦玫瑰公馆大三房通透户型 房东诚心卖 可按揭带车位,友邦玫瑰公馆 -行政中心商圈,4室2厅 | 132.3平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,1人关注 / 一年前发布,123,"9,298元/平"
中房青蓝国际 2室2厅 南,中房青蓝国际 -行政中心商圈,2室2厅 | 87.48平米 | 南 | 精装 | 中楼层(共25层)  | 暂无数据,3人关注 / 3个月以前发布,61.8,"7,065元/平"
此房是刚交房的新小区，信美旁，天虹楼上，交通便利,新力·新天地 -商贸城商圈,3室2厅 | 103.19平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 3个月以前发布,102,"9,885元/平"
毛坯简装， 任意装修 ，户型端正，绿地率达百分之48。,汇仁阳光花园 -经开区商圈,5室2厅 | 122.04平米 | 南 | 简装 | 高楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,100,"8,195元/平"
此房是边套户型采光充足，视野开阔，交通十分便利,东投长安府 -行政中心商圈,3室2厅 | 133平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 塔楼,1人关注 / 一年前发布,140,"10,527元/平"
急售！龙华世纪城 大四房户型 中高楼层,龙华世纪城 -行政中心商圈,4室2厅 | 138平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,3人关注 / 10个月以前发布,122,"8,841元/平"
采光通风好 带复式面积多 楼间距高,格林雅郡 -旭日商圈,3室2厅 | 120平米 | 南 | 毛坯 | 高楼层(共6层)  | 板塔结合,0人关注 / 7个月以前发布,83.8,"6,984元/平"
大润发旁龙华世纪城  户型方正 通透好楼层看房方便,龙华世纪城 -行政中心商圈,3室2厅 | 124平米 | 南 | 毛坯 | 低楼层(共31层)  | 板楼,7人关注 / 一年前发布,102,"8,226元/平"
此房是市政府板块的房子，配套设施齐全,东投长安府 -行政中心商圈,4室2厅 | 130.69平米 | 南 | 毛坯 | 低楼层(共32层)  | 板塔结合,2人关注 / 一年前发布,122,"9,336元/平"
和锦园小区稀有四房 毛坯南北通透户型 阳台五个公摊低,和锦園 -行政中心商圈,4室2厅 | 165平米 | 南 北 | 毛坯 | 低楼层(共22层)  | 板楼,3人关注 / 一年前发布,142,"8,607元/平"
户型方正.视野开阔.看时光景观................,亿豪星城 -旭日商圈,4室2厅 | 135.2平米 | 南 | 毛坯 | 中楼层(共28层)  | 板楼,0人关注 / 9个月以前发布,160,"11,835元/平"
小区环境优雅，交通便利，配套齐全，3+1户型,亿豪星城 -旭日商圈,4室2厅 | 122.3平米 | 南 北 | 毛坯 | 中楼层(共25层)  | 板楼,0人关注 / 7个月以前发布,136,"11,121元/平"
成熟小区精装拎包入住，户型端正，环境采光好,阳光花园北区 -旭日商圈,3室2厅 | 124.2平米 | 东南 | 简装 | 6层  | 板楼,1人关注 / 5个月以前发布,78,"6,281元/平"
东投长安府小区，边套户型4房，中间楼层采光充足,东投长安府 -行政中心商圈,3室2厅 | 131.94平米 | 南 | 毛坯 | 中楼层(共32层)  | 塔楼,1人关注 / 11个月以前发布,128,"9,702元/平"
城市8号 五房 大家庭之选 房子精装修，户型方正，,城市8号 -旭日商圈,5室2厅 | 128.65平米 | 南 | 毛坯 | 低楼层(共11层)  | 塔楼,6人关注 / 5个月以前发布,103.8,"8,069元/平"
市政府板块，龙潭湖公园旁，周   边配套齐全,汇成观邸 -行政中心商圈,3室2厅 | 92.54平米 | 南 | 毛坯 | 中楼层(共30层)  | 板楼,1人关注 / 4个月以前发布,95,"10,266元/平"
急售龙华世纪城毛坯3房，朝南楼层好，采光好,龙华世纪城 -行政中心商圈,3室2厅 | 126平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,3人关注 / 一年前发布,110,"8,731元/平"
龙华世纪城小区 中间楼层毛坯边户 采光好景观佳,龙华世纪城 -行政中心商圈,3室2厅 | 123平米 | 南 | 毛坯 | 中楼层(共31层)  | 板塔结合,0人关注 / 一年前发布,106,"8,618元/平"
长安府毛坯大四房中式园林户型好得房率高,东投长安府 -行政中心商圈,4室2厅 | 131平米 | 南 | 毛坯 | 低楼层(共32层)  | 板塔结合,0人关注 / 8个月以前发布,135,"10,306元/平"
天然氧吧 离广场步行  交通便利,格林雅郡 -旭日商圈,3室2厅 | 119.52平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板塔结合,1人关注 / 一年前发布,78,"6,527元/平"
龙华世纪城小区 中间楼层毛坯边户 采光好景观佳,龙华世纪城 -行政中心商圈,3室2厅 | 123平米 | 南 | 毛坯 | 中楼层(共31层)  | 板塔结合,0人关注 / 一年前发布,106,"8,618元/平"
长安府毛坯大四房中式园林户型好得房率高,东投长安府 -行政中心商圈,4室2厅 | 131平米 | 南 | 毛坯 | 低楼层(共32层)  | 板塔结合,0人关注 / 8个月以前发布,135,"10,306元/平"
市 中 心  配 套 设 施 成 熟,龙华世纪城 -行政中心商圈,3室2厅 | 125平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,4人关注 / 一年前发布,120,"9,600元/平"
急售！龙华世纪城 大四房户型 中高楼层,龙华世纪城 -行政中心商圈,4室2厅 | 138平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,3人关注 / 10个月以前发布,122,"8,841元/平"
此房是边套户型采光充足，视野开阔，交通十分便利,东投长安府 -行政中心商圈,3室2厅 | 133平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 塔楼,1人关注 / 一年前发布,140,"10,527元/平"
大润发旁龙华世纪城  户型方正 通透好楼层看房方便,龙华世纪城 -行政中心商圈,3室2厅 | 124平米 | 南 | 毛坯 | 低楼层(共31层)  | 板楼,7人关注 / 一年前发布,102,"8,226元/平"
采光通风好 带复式面积多 楼间距高,格林雅郡 -旭日商圈,3室2厅 | 120平米 | 南 | 毛坯 | 高楼层(共6层)  | 板塔结合,0人关注 / 7个月以前发布,83.8,"6,984元/平"
信州区大润发旁 好楼层边套大三房 采光好,龙华世纪城 -行政中心商圈,3室2厅 | 126平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,129.8,"10,302元/平"
楼层好，采光充足，交通便利，购物方便,中房青蓝国际 -行政中心商圈,3室2厅 | 136平米 | 南 北 | 其他 | 中楼层(共25层)  | 板塔结合,0人关注 / 一年前发布,100,"7,353元/平"
出门就是餐饮，购物。广场，生活方便,灵山路 -亿升商圈,3室2厅 | 91.5平米 | 西南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,82,"8,962元/平"
位置好，适合陪读，配套齐全，生活便利。,江湾丽城 -万达商圈,4室2厅 | 143平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,1人关注 / 一年前发布,110,"7,693元/平"
凤凰大道西主干道翡翠城户型好通透位置好,翡翠城 -经开区商圈,4室2厅 | 127平米 | 东南 | 毛坯 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,81,"6,378元/平"
融晖城大四房，小区中芯位置，看湖景，前后楼间距宽阔,融晖城 -商贸城商圈,4室2厅 | 143.9平米 | 南 | 毛坯 | 中楼层(共31层)  | 暂无数据,3人关注 / 4个月以前发布,158,"10,980元/平"
市政府龙潭湖公园 公园道尊品 电梯房 品质小区,公园道1号尊品 -行政中心商圈,3室2厅 | 103.11平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,10人关注 / 一年前发布,100,"9,699元/平"
一线江景房。楼层好。户型好。采光通透。,瀚林印象 -大市场商圈,3室2厅 | 122.13平米 | 南 | 毛坯 | 低楼层(共23层)  | 板楼,4人关注 / 一年前发布,90,"7,370元/平"
越都公寓 4室2厅 南 西南,越都公寓 -商贸城商圈,4室2厅 | 149.37平米 | 南 西南 | 其他 | 高楼层(共12层)  | 板楼,0人关注 / 1个月以前发布,104,"6,963元/平"
御景天下精装修 ，龙潭湖公园，南北双阳台 ！,御景天下 -行政中心商圈,4室2厅 | 142.55平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,11人关注 / 一年前发布,168,"11,786元/平"
一线江景、山公园围绕、带大阳台。,帝泊湾 -经开区商圈,3室2厅 | 117平米 | 南 北 | 毛坯 | 中楼层(共8层)  | 板楼,0人关注 / 4个月以前发布,99,"8,462元/平"
此房满两年，生活便利，楼层光线阳光好.市里交通方便,紫阳华庭 -紫阳商圈,4室2厅 | 210平米 | 南 | 简装 | 高楼层(共11层)  | 板楼,5人关注 / 一年前发布,180,"8,572元/平"
万达华府，万达商圈，江景房可看江景,万达华府 -万达商圈,4室2厅 | 124.33平米 | 北 南 | 简装 | 高楼层(共33层)  | 板楼,1人关注 / 一年前发布,155,"12,467元/平"
毛坯大四房  视线开阔  配套成熟,尚锦名都 -旭日商圈,4室2厅 | 139.84平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 一年前发布,92,"6,579元/平"
嘉禾雅居 房主诚心出售 步梯好楼层 公摊小,嘉禾雅居 -旭日商圈,3室2厅 | 130平米 | 南 北 | 简装 | 低楼层(共7层)  | 板塔结合,5人关注 / 一年前发布,82,"6,308元/平"
此房满二年，南北朝向格局好，采光充足，交通便利。,中航城·波西塔诺 -商贸城商圈,4室2厅 | 159平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,19人关注 / 一年前发布,135,"8,491元/平"
瀚林印象 业主诚心出售 看房有钥匙,瀚林印象 -大市场商圈,2室2厅 | 99.65平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,3人关注 / 一年前发布,70,"7,025元/平"
纯别墅区 香域半山 环境优雅 带车位,香域半山 -经开区商圈,5室2厅 | 154.84平米 | 南 | 毛坯 | 中楼层(共4层)  | 板楼,0人关注 / 2个月以前发布,155,"10,011元/平"
四开间朝南户型，两梯两户，可看江景,名仕康城二期 -大市场商圈,4室2厅 | 136.13平米 | 南 | 毛坯 | 高楼层(共28层)  | 暂无数据,0人关注 / 一年前发布,105,"7,714元/平"
精装修  满两年  税费低  品质小区,建亨上东城 -商贸城商圈,3室2厅 | 117.56平米 | 南 北 | 精装 | 中楼层(共17层)  | 板塔结合,2人关注 / 3个月以前发布,96,"8,167元/平"
一线江景，边户大三房，视野好，环境舒适。,帝泊湾 -经开区商圈,3室2厅 | 113平米 | 南 北 | 毛坯 | 高楼层(共21层)  | 板楼,0人关注 / 3个月以前发布,99,"8,762元/平"
瀚林印象靠江房子北面可以看到丰溪河,瀚林印象 -大市场商圈,3室2厅 | 143.93平米 | 南 | 简装 | 低楼层(共27层)  | 板楼,0人关注 / 2个月以前发布,120,"8,338元/平"
一线江景，边户大三房，视野好，环境舒适。,帝泊湾 -经开区商圈,3室2厅 | 113平米 | 南 北 | 毛坯 | 高楼层(共21层)  | 板楼,0人关注 / 3个月以前发布,99,"8,762元/平"
瀚林印象靠江房子北面可以看到丰溪河,瀚林印象 -大市场商圈,3室2厅 | 143.93平米 | 南 | 简装 | 低楼层(共27层)  | 板楼,0人关注 / 2个月以前发布,120,"8,338元/平"
房子自住保养到位可拎包入住  ，两房产证,兴业豪苑 -亿升商圈,3室2厅 | 149.3平米 | 南 | 简装 | 低楼层(共25层)  | 板塔结合,0人关注 / 8个月以前发布,95,"6,364元/平"
电梯四房，公摊少，满五年不唯一，配套成熟。,天湖家园 -大市场商圈,3室2厅 | 138.67平米 | 南 | 毛坯 | 高楼层(共13层)  | 塔楼,0人关注 / 一年前发布,103,"7,428元/平"
楼层好。视野开阔，采光充足，配套设施齐全，,永隆米兰春天 -商贸城商圈,4室2厅 | 143平米 | 南 | 简装 | 中楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,123,"8,602元/平"
离上学、步行街菜场等等都近在迟尺 出入很方便。,相府路13号 -亿升商圈,3室2厅 | 97.56平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,1人关注 / 6个月以前发布,62,"6,356元/平"
