标题,开发商,房子信息,发布信息,售价/万,单价
采光好，阳光充足，六房二卫有露台.诚心出售,星西兰花园 -红湾大道以北,6室2厅 | 207平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 6天以前发布,120,"5,798元/平"
绳金塔东街 2室1厅 南 北,绳金塔东街 -十字街,2室1厅 | 67.34平米 | 南 北 | 其他 | 高楼层(共4层)  | 暂无数据,0人关注 / 26天以前发布,68,"10,099元/平"
小区改造完成 一楼有院子 生活配套齐全,麻纺二区 -江铃,2室2厅 | 67.15平米 | 东南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 27天以前发布,63,"9,382元/平"
箭道巷 1室1厅 南 北,箭道巷 -墩子塘,1室1厅 | 47.8平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 20天以前发布,40,"8,369元/平"
房东诚心出售精装复式两房满五唯一,联泰香域尚城 -岭口路,2室1厅 | 56.1平米 | 南 | 简装 | 中楼层(共22层)  | 板楼,0人关注 / 29天以前发布,110,"19,608元/平"
上凤凰坡 2室1厅 南,上凤凰坡 -滕王阁,2室1厅 | 52.84平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 21天以前发布,52.8,"9,993元/平"
小两房，采光太阳好，装修干净温馨，视野开阔,关马祠 -滕王阁,2室1厅 | 41.19平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 22天以前发布,42,"10,197元/平"
业主想换房诚心出售，近一号地铁，瑶湖公园旁,绿地未来城 -瑶湖东,2室1厅 | 86.97平米 | 南 | 精装 | 低楼层(共15层)  | 板楼,0人关注 / 21天以前发布,72,"8,279元/平"
此房满5年，减轻你的购房成本，一梯两户，通透户型,康桥绿城 -洪城大市场,2室2厅 | 65.95平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 23天以前发布,78.8,"11,949元/平"
此房满5年，减轻你的购房成本，一梯两户，通透户型,康桥绿城 -洪城大市场,2室2厅 | 65.95平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 23天以前发布,78.8,"11,949元/平"
金桂花园 近地铁 精装修 拎包入住,金桂花园小区 -莲塘,2室2厅 | 88.39平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 24天以前发布,70,"7,920元/平"
西站锐瑞都通透户型三房两卫诚意出售,西站瑞都 -红谷滩,3室2厅 | 114.44平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 21天以前发布,118,"10,312元/平"
九龙湖西  采光不错，视野开阔，户型好。配套齐全,保利蓝海嘉居 -红谷滩,2室2厅 | 90.32平米 | 东南 南 | 毛坯 | 高楼层(共6层)  | 板楼,0人关注 / 31天以前发布,70,"7,751元/平"
拎包入住，有车位，业主诚心出售，育新旁，地铁口,万达文化旅游城D区 -九龙湖,3室2厅 | 110.88平米 | 南 | 精装 | 31层  | 板楼,0人关注 / 25天以前发布,148,"13,348元/平"
红谷滩，房东急售。品质小三房生活便利,联泰天悦 -学府大道,2室1厅 | 96.54平米 | 南 | 毛坯 | 低楼层(共32层)  | 板楼,0人关注 / 17天以前发布,205,"21,235元/平"
满庭春  近四号线精装两房    房东急售,满庭春MOMA -塘山广场,2室2厅 | 98.67平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 19天以前发布,117,"11,858元/平"
精装修，采光好，房东诚心出售，,二七北路 -文教路,3室1厅 | 76.37平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 21天以前发布,69,"9,035元/平"
家门口育新 2号地铁 旁边生活便利 舒适2房,万达文化旅游城A2区 -九龙湖,2室2厅 | 87.52平米 | 南 北 | 毛坯 | 16层  | 板楼,0人关注 / 26天以前发布,115,"13,140元/平"
自带30平米院子 阳光通风好 精装修 小资风格,南昌大学北区家属宿舍 -塘山广场,2室2厅 | 64.46平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 28天以前发布,102,"15,824元/平"
广场北路社区 2室2厅 南,广场北路社区 -人民公园,2室2厅 | 70.25平米 | 南 | 其他 | 低楼层(共4层)  | 板楼,0人关注 / 28天以前发布,82.8,"11,787元/平"
电梯1-5 实际四楼 省江西银行宿舍 正规南北,阳明路 -墩子塘,2室1厅 | 74.8平米 | 南 北 | 精装 | 高楼层(共9层)  | 板楼,0人关注 / 27天以前发布,80,"10,696元/平"
绿源小区 2室1厅 南,绿源小区 -朝阳洲,2室1厅 | 79.41平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 18天以前发布,69,"8,690元/平"
楼层好 大2房2厅 使用面积大 诚信出售,景城名郡 -象湖,2室1厅 | 54.64平米 | 南 | 毛坯 | 中楼层(共19层)  | 板楼,0人关注 / 29天以前发布,62,"11,347元/平"
房东诚心出售价格看中可谈位置很好,桃源丰景小区 -莲塘,2室1厅 | 51.02平米 | 东北 | 精装 | 高楼层(共20层)  | 塔楼,0人关注 / 22天以前发布,45,"8,821元/平"
嘉园小区 3室2厅 南 北,嘉园小区 -莲塘,3室2厅 | 89.34平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 7天以前发布,71,"7,948元/平"
封闭式花园小区 小区配套齐全 户型方正 通透格局！,保集半岛御河湾二期 -象湖,3室1厅 | 89平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 4天以前发布,130,"14,607元/平"
此房满两年的，通透户型，房东诚心出售。,保利春天里 -莲塘,3室1厅 | 102.25平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 8天以前发布,109,"10,661元/平"
省府旁2号线国体站公务员房 带车位东端户 不靠高铁,绿地悦城A区 -九龙湖,3室2厅 | 142.72平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 4天以前发布,330,"23,123元/平"
力高澜湖御景 4室2厅 南,力高澜湖御景 -象湖,4室2厅 | 117平米 | 南 | 精装 | 中楼层(共8层)  | 塔楼,0人关注 / 2天以前发布,148,"12,650元/平"
万科物业，通透户型，楼层好，采光充足，配套设施齐全,万科璞悦里 -天宁路,3室2厅 | 88.57平米 | 东南 | 精装 | 低楼层(共17层)  | 塔楼,0人关注 / 5天以前发布,80,"9,033元/平"
新力龙湾二期 3室2厅 南,新力龙湾二期 -红谷滩,3室2厅 | 90平米 | 南 | 精装 | 中楼层(共29层)  | 板楼,0人关注 / 3天以前发布,105,"11,667元/平"
地铁口精装修三房 中间楼层 拎包入住,银河城春晓苑 -银三角,3室1厅 | 89平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 5天以前发布,85,"9,551元/平"
金沙二路 幸福时光二期 花园小区 出行方便,幸福时光二期 -象湖,3室2厅 | 85平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 7天以前发布,89,"10,471元/平"
城泰江来通透三居室 户型方正 可看江景 万科品牌物业,城泰江来 -朝阳新城,3室1厅 | 122.66平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 板楼,0人关注 / 6天以前发布,232,"18,915元/平"
地铁口通透三房，户型好，得房率高，楼间距远,中国铁建青秀城 -蛟桥,3室2厅 | 100.26平米 | 南 | 毛坯 | 高楼层(共30层)  | 板楼,0人关注 / 4天以前发布,95,"9,476元/平"
楼层好，视野宽阔，采光充足，配套设施齐全。,江中御墅 -天宁路,3室1厅 | 114.49平米 | 南 | 毛坯 | 中楼层(共16层)  | 暂无数据,0人关注 / 7天以前发布,90,"7,861元/平"
洋房、洋房、正荣府品质，真正人车分流小区,经开正荣府 -紫荆路,4室2厅 | 117.96平米 | 南 | 精装 | 中楼层(共9层)  | 板楼,0人关注 / 7天以前发布,170,"14,412元/平"
总价的，楼层中间，万科物业万科开发，急卖,鸿海万科天空之城 -银三角,3室2厅 | 122平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 7天以前发布,150,"12,296元/平"
全湖景高层，视野好，户型好，正南北通透,新力愉景湾 -象湖,3室2厅 | 93平米 | 南 北 | 精装 | 中楼层(共29层)  | 塔楼,0人关注 / 3天以前发布,130,"13,979元/平"
毕加索花园 3室2厅 南,毕加索花园 -莲塘,3室2厅 | 89平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 6天以前发布,112,"12,585元/平"
全湖景高层，视野好，户型好，正南北通透,新力愉景湾 -象湖,3室2厅 | 93平米 | 南 北 | 精装 | 中楼层(共29层)  | 塔楼,0人关注 / 3天以前发布,130,"13,979元/平"
总价的，楼层中间，万科物业万科开发，急卖,鸿海万科天空之城 -银三角,3室2厅 | 122平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 7天以前发布,150,"12,296元/平"
次新小区，通透户型，单价低，出行方便,春和景明 -象湖,3室2厅 | 126平米 | 南 | 毛坯 | 中楼层(共6层)  | 板塔结合,0人关注 / 2天以前发布,92,"7,302元/平"
近地铁口，位置好。新洪城大市场隔壁,洪大赣江城 -象湖,3室2厅 | 115平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 3天以前发布,161,"14,000元/平"
封闭式花园小区 小区配套齐全 户型方正 通透格局！,保集半岛御河湾二期 -象湖,4室1厅 | 122.41平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 4天以前发布,140,"11,437元/平"
户型方正 精装通透户型 全天太阳采光充足 交通便捷,平海观澜九里象湖城 -象湖,3室2厅 | 89平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 5天以前发布,110,"12,360元/平"
新力物业 人车分流 带个车位 结婚装修。,新力金沙湾 -象湖,3室1厅 | 106.44平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 1天以前发布,180,"16,911元/平"
保利东湾 自住精装小三房 两卫户型 领包入住,保利东湾国际 -新城吾悦,3室2厅 | 88.64平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,0人关注 / 5天以前发布,132,"14,892元/平"
白沙地精装三房，房东诚心出售，密码锁，看房方便！,白沙地 -银三角,3室2厅 | 84.94平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,0人关注 / 5天以前发布,85,"10,008元/平"
精装三房，成熟小区，配套设施齐全，生活方便,九仰梧桐公寓 -高新管委会,3室2厅 | 98.71平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,0人关注 / 5天以前发布,132,"13,373元/平"
近学府大道东地铁 世茂APM 山姆会员商店 摩天轮,绿地启航社 -岭口路,1室1厅 | 57.11平米 | 北 | 精装 | 中楼层(共19层)  | 塔楼,10人关注 / 一年前发布,42,"7,355元/平"
房东诚心出售 2号地铁口 天虹商城 华润*市 世茂广场,联发广场 -秋水广场,1室1厅 | 52.89平米 | 北 | 精装 | 高楼层(共30层)  | 塔楼,1人关注 / 一年前发布,83,"15,693元/平"
户型方正格局好，楼层佳全天采光，设计合理得房率高,红谷凯旋 -秋水广场,3室2厅 | 127.68平米 | 南 北 | 其他 | 高楼层(共31层)  | 塔楼,0人关注 / 1个月以前发布,260,"20,364元/平"
九里坊九里象湖城 3室2厅 南 北,九里坊九里象湖城 -象湖,3室2厅 | 131.94平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,160,"12,127元/平"
恒大华府精装高标，带地暖 看房方便,南昌恒大华府 -朝阳新城,4室2厅 | 140.76平米 | 南 北 | 精装 | 低楼层(共31层)  | 板楼,0人关注 / 1个月以前发布,300,"21,313元/平"
站南（巷）街 4室2厅 南 北,站南（巷）街 -西湖区,4室2厅 | 134.15平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,135,"10,064元/平"
洪都新村  顺外路地铁口2号线 两房一厅,洪都新村 -青山湖区,2室2厅 | 89.66平米 | 南 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 29天以前发布,78,"8,700元/平"
保利中航城  经典小三房 采光充足 户型通透！,保利中航城 -洪都,3室2厅 | 88.45平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 27天以前发布,112,"12,663元/平"
精装修，中间楼层，小区得房率高,世纪乐活·公元城 -黄家湖,3室2厅 | 93.68平米 | 南 北 | 精装 | 高楼层(共23层)  | 板楼,0人关注 / 28天以前发布,95,"10,141元/平"
梵顿公馆二期小高层 现代装修 拎包入住 价格美丽,新里梵顿公馆凡尔赛区 -岭口路,3室2厅 | 119.59平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,220,"18,397元/平"
苏圃路外办宿舍 中间楼层有院子停车方便看房随时,苏圃路187号、177号、171号)外办宿舍 -叠山路,3室2厅 | 85.77平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 22天以前发布,95,"11,077元/平"
小桥流水.锦鲤嘻戏.幸福人家.大庭院.休闲居家,江西奥林匹克花园 -象湖,3室1厅 | 88.06平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 25天以前发布,119.8,"13,605元/平"
万达文化旅游城N区 一线江景房 精装修 看房方便 诚售,万达文化旅游城N1区 -九龙湖,3室2厅 | 113.31平米 | 南 | 精装 | 高楼层(共34层)  | 塔楼,0人关注 / 28天以前发布,138,"12,179元/平"
一附院旁 复式有露台 全天太阳 有院子门卫方便停车,隆兴民居 -文教路,5室2厅 | 148.74平米 | 南 | 精装 | 高楼层(共6层)  | 塔楼,0人关注 / 28天以前发布,140,"9,413元/平"
新出好房 真正的拎包入住 业主诚售自费20多万软装,地铁万科时代广场 -庐山南大道,3室2厅 | 108.9平米 | 南 | 精装 | 低楼层(共40层)  | 塔楼,1人关注 / 1个月以前发布,255,"23,416元/平"
恒茂城市花园 3室2厅 南 北,恒茂城市花园 -文教路,3室2厅 | 63.95平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,0人关注 / 27天以前发布,103,"16,107元/平"
城泰凡尔赛宫 3室2厅 南,城泰凡尔赛宫 -瑶湖师大,3室2厅 | 119.83平米 | 南 | 精装 | 32层  | 板楼,0人关注 / 21天以前发布,155,"12,935元/平"
梦里水乡 3室2厅 南 北,梦里水乡 -莲塘,3室2厅 | 133.02平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 20天以前发布,137,"10,300元/平"
二梯两户尽享舒适环境，楼层好光线充足！,波尔多联邦美树堡小区 -莲塘,3室2厅 | 98.04平米 | 南 | 精装 | 高楼层(共28层)  | 塔楼,0人关注 / 28天以前发布,126,"12,852元/平"
二梯两户尽享舒适环境，楼层好光线充足！,波尔多联邦美树堡小区 -莲塘,3室2厅 | 98.04平米 | 南 | 精装 | 高楼层(共28层)  | 塔楼,0人关注 / 28天以前发布,126,"12,852元/平"
这套在6楼精装修全新未入住电梯洋房,万科润园 -江铃,3室2厅 | 120.54平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 21天以前发布,150,"12,445元/平"
右营街社区 3室2厅 南 北,右营街社区 -墩子塘,3室2厅 | 110平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 19天以前发布,99,"9,000元/平"
户型方正，通透，房东诚心出售，近地铁，配套齐全,洪都新村 -青山湖区,3室2厅 | 107平米 | 南 北 | 简装 | 低楼层(共8层)  | 板楼,0人关注 / 23天以前发布,110,"10,281元/平"
艾溪湖南万科精装三房业主诚心出售,万科公园里（月坊金色小区） -青山湖区,3室2厅 | 99.31平米 | 东南 | 精装 | 高楼层(共22层)  | 板楼,0人关注 / 20天以前发布,140,"14,098元/平"
精装通透三房 户型方正 诚心卖 业主有车位和车库,名门世家 -秋水广场,3室1厅 | 125.08平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,250,"19,988元/平"
万科粹叠园 四房 带车位 地铁口旁 交通便利,万科粹叠园 -九龙湖,4室2厅 | 140.44平米 | 南 北 | 其他 | 低楼层(共33层)  | 板楼,1人关注 / 1个月以前发布,318,"22,644元/平"
贵都国际花城小区 6室2厅 南,贵都国际花城小区 -银三角,6室2厅 | 204.3平米 | 南 | 精装 | 低楼层(共4层)  | 板楼,0人关注 / 24天以前发布,370,"18,111元/平"
出门地铁，菜市场，小区可停车，,德内谌家巷 -墩子塘,3室2厅 | 140.47平米 | 南 北 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 28天以前发布,140,"9,967元/平"
百花洲路 3室1厅 南 北,百花洲路 -八一公园,3室1厅 | 92.22平米 | 南 北 | 简装 | 高楼层(共4层)  | 暂无数据,0人关注 / 20天以前发布,110,"11,928元/平"
红谷滩地铁口小3房，一梯一户，采光好，户型好.,万达星城西区 -翠苑路,3室1厅 | 91.61平米 | 南 | 精装 | 低楼层(共10层)  | 塔楼,0人关注 / 21天以前发布,130,"14,191元/平"
京门小区 3室2厅 南,京门小区 -滕王阁,3室2厅 | 122.67平米 | 南 | 简装 | 中楼层(共9层)  | 平房,0人关注 / 18天以前发布,135,"11,006元/平"
高楼层 装修好 诚心卖 交通便利,中骏蓝湾香郡 -高新区,3室2厅 | 105.06平米 | 南 | 精装 | 高楼层(共26层)  | 塔楼,0人关注 / 26天以前发布,145,"13,802元/平"
上水巷 3室1厅 南 北,上水巷 -八一公园,3室1厅 | 91.49平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 25天以前发布,103,"11,259元/平"
航空城单位宿舍 保利瑶湖郡 通透三房毛坯 看房方便,保利瑶湖郡 -高新区,3室2厅 | 110.93平米 | 南 北 | 毛坯 | 中楼层(共16层)  | 板楼,0人关注 / 22天以前发布,85,"7,663元/平"
婚房装修大三房 楼层好视野宽阔 家具家电全带,绿地新都会 -太子殿,3室2厅 | 125.82平米 | 东 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 21天以前发布,230,"18,281元/平"
精装三房 次新楼盘 环境好 绿地率高,众森红谷一品 -黄家湖,3室2厅 | 99.72平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 24天以前发布,145,"14,541元/平"
业主诚心出售小区环境优美配套成熟,中骏蓝湾香郡 -高新区,3室2厅 | 98.9平米 | 南 | 精装 | 低楼层(共30层)  | 塔楼,0人关注 / 19天以前发布,125,"12,640元/平"
业主诚心出售、装修很好。中间楼层 先到先得,红谷·新城 -红湾大道以南,3室2厅 | 86平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 21天以前发布,128,"14,884元/平"
桃苑外国语旁 桃苑三区 精装四房 南北通透,桃苑三区 -朝阳洲,4室2厅 | 138.54平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 25天以前发布,155,"11,189元/平"
地铁口天虹南面精装修大三房 房东置换急售,华鹏东岸小区 -太子殿,3室2厅 | 118.53平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 26天以前发布,155,"13,077元/平"
户型端正，好，全景视野，便利，房东诚心出售,兴华公寓 -红湾大道以南,3室1厅 | 108.48平米 | 南 北 | 毛坯 | 低楼层(共1层)  | 暂无数据,0人关注 / 26天以前发布,100,"9,219元/平"
桃苑外国语旁 近公园地铁人车分流小区 通透三房,世纪名族园 -朝阳洲,3室2厅 | 148.17平米 | 南 北 | 简装 | 低楼层(共20层)  | 板楼,0人关注 / 22天以前发布,195,"13,161元/平"
万科 三房两厅  大三房 好户型   房东诚心出售,万科金域传奇 -红湾大道以北,3室2厅 | 113.89平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 24天以前发布,118,"10,361元/平"
瑶湖东 朗贤奥特莱斯小镇 毛坯三房 业主诚心卖,朗贤·奥特莱斯小镇 -瑶湖东,3室2厅 | 114.78平米 | 南 北 | 毛坯 | 低楼层(共15层)  | 板楼,0人关注 / 22天以前发布,96,"8,364元/平"
揭家巷 3室2厅 南 北,揭家巷 -莲塘,3室2厅 | 124.8平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 23天以前发布,73,"5,850元/平"
整个小区唯一一套复式楼、先到先得全天阳光,新建中心 -红湾大道以南,4室2厅 | 143.3平米 | 南 北 | 精装 | 低楼层(共33层)  | 塔楼,0人关注 / 21天以前发布,150,"10,468元/平"
视野无挡 全天太阳 110平3室品质装修,万科金域国际 -紫荆路,3室2厅 | 110平米 | 南 | 精装 | 高楼层(共34层)  | 板塔结合,0人关注 / 19天以前发布,145,"13,182元/平"
万科精装修四房洋房，改善必看，高品质社区,万科金域国际 -紫荆路,4室2厅 | 130.06平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 28天以前发布,205,"15,762元/平"
急售，急售，有一个车位，看中好商量,天工御邸 -江铃,3室2厅 | 108.48平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 30天以前发布,140,"12,906元/平"
南北格局，视野宽阔，采光充足，设施齐全,博泰魏玛峰尚一期 -洪都航空工业园,3室2厅 | 109.4平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 24天以前发布,109,"9,964元/平"
天悦地铁口，精装大三房拎包入住，采光好，诚心出售,联泰天悦 -学府大道,3室2厅 | 135.1平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 26天以前发布,315,"23,317元/平"
房屋格局好，户型方正，配套齐全,艾水清园 -新城吾悦,3室2厅 | 129.81平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 21天以前发布,280,"21,570元/平"
这套在13楼2019年全新装修拎包入住电梯2房,万科洪坊1951 -洪都,2室1厅 | 85.5平米 | 南 北 | 精装 | 中楼层(共20层)  | 板楼,0人关注 / 27天以前发布,110,"12,866元/平"
整个小区唯一一套复式楼、先到先得全天阳光,新建中心 -红湾大道以南,4室2厅 | 143.3平米 | 南 北 | 精装 | 低楼层(共33层)  | 塔楼,0人关注 / 21天以前发布,150,"10,468元/平"
九龙湖西  采光性好，户型方正 前后开阔,九龍▪帝景湾（九龙帝景湾） -红谷滩,3室2厅 | 102.05平米 | 南 | 毛坯 | 中楼层(共18层)  | 平房,0人关注 / 25天以前发布,72,"7,056元/平"
江景房 保利东湾精装      四房二卫   房东诚心出售,保利东湾国际 -新城吾悦,4室2厅 | 116平米 | 南 | 精装 | 低楼层(共35层)  | 板楼,0人关注 / 27天以前发布,168,"14,483元/平"
万科精装修四房洋房，改善必看，高品质社区,万科金域国际 -紫荆路,4室2厅 | 130.06平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 28天以前发布,205,"15,762元/平"
梧桐小区 2室2厅 南,梧桐小区 -樟树林,2室2厅 | 105.39平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 30天以前发布,110,"10,438元/平"
小区位置好 视野无挡  88平双阳台装修高档,万科金域国际 -紫荆路,3室2厅 | 87.74平米 | 南 | 精装 | 高楼层(共34层)  | 板塔结合,0人关注 / 18天以前发布,115,"13,107元/平"
绿都丹石街  精装两房  家具家电全齐 诚心出售！,绿都丹石街区 -青山湖区,2室2厅 | 79.49平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 18天以前发布,64,"8,052元/平"
朱家湖住宅小区 精装修三房 交通方便,朱家湖住宅小区 -滨江中心,3室2厅 | 112.56平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 19天以前发布,100,"8,885元/平"
交通便利门口就是直达市区公交站毛坯可以自由设计户型,绿地未来城 -瑶湖东,3室2厅 | 124.74平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 25天以前发布,125,"10,021元/平"
天骥俊园 2室2厅 南,天骥俊园 -李家庄,2室2厅 | 85.73平米 | 南 | 简装 | 中楼层(共18层)  | 板楼,0人关注 / 19天以前发布,111.5,"13,006元/平"
有地铁一号线青山湖大道站跟地铁三号线,庐山花园 -青山湖区,3室2厅 | 136.31平米 | 东南 南 | 精装 | 低楼层(共12层)  | 板楼,0人关注 / 28天以前发布,139,"10,198元/平"
通透户型三房两厅两卫两阳台 ，业主诚意出售,西站瑞都 -红谷滩,3室2厅 | 106.42平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 24天以前发布,98,"9,209元/平"
业主诚心出售      看房随时可约,博泰魏玛峰尚一期 -洪都航空工业园,2室2厅 | 84.36平米 | 北 东 | 精装 | 中楼层(共12层)  | 板楼,0人关注 / 19天以前发布,75,"8,891元/平"
房东诚心出售 楼层好视野好 光线好 格局分明,何坊西路京山小区（京山新村） -江铃,3室1厅 | 90.74平米 | 南 北 | 简装 | 低楼层(共7层)  | 平房,0人关注 / 24天以前发布,89,"9,809元/平"
房东诚心出售，户型端正通透，交通出入方便,江联小区南区 -江铃,3室2厅 | 109.51平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 26天以前发布,90,"8,219元/平"
桃苑外国语旁 近公园地铁人车分流小区 通透三房,世纪名族园 -朝阳洲,3室2厅 | 148.17平米 | 南 北 | 简装 | 低楼层(共20层)  | 板楼,0人关注 / 22天以前发布,195,"13,161元/平"
万科四季花城南区，精装自住，带大露台，约看房,万科四季花城南区 -新城吾悦,3室2厅 | 134.8平米 | 南 | 精装 | 中楼层(共4层)  | 板楼,0人关注 / 23天以前发布,245,"18,176元/平"
力高滨江国际 挨沿江快速路 出入方便  实际面积更大,滨江国际 -朝阳新城,3室2厅 | 103.61平米 | 南 北 | 精装 | 低楼层(共29层)  | 板楼,0人关注 / 23天以前发布,192,"18,532元/平"
华联公寓 3室2厅 东南,华联公寓 -高新区,3室2厅 | 139.69平米 | 东南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 19天以前发布,138,"9,880元/平"
桃苑大街南昌外国语旁开放式小区通透两房间间有窗,振中小区 -朝阳洲,2室2厅 | 72.29平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 21天以前发布,78,"10,790元/平"
3号地铁线旁300米联发时代天阶毛坯三房,联发时代天阶 -高新区,3室2厅 | 96.57平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 23天以前发布,170,"17,604元/平"
高新开发区联发时代天境精装三房  采光很好 近地铁口,联发时代天境 -高新管委会,3室2厅 | 98.93平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 16天以前发布,197,"19,914元/平"
全天太阳，前后无挡正规三室一厅，带储藏间，停车方便,青山湖北大道 -江坊,3室1厅 | 83.48平米 | 南 | 简装 | 低楼层(共3层)  | 暂无数据,0人关注 / 20天以前发布,78,"9,344元/平"
路通沁园  精装中间楼层 拎包入住 交通便利,路通沁园 -艾溪湖东,2室2厅 | 84平米 | 南 北 | 精装 | 中楼层(共24层)  | 板塔结合,0人关注 / 25天以前发布,130,"15,477元/平"
博文。全屋定制家具，实木地板，正南朝向，看房随时，,保利中航城 -洪都,3室2厅 | 95.23平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 17天以前发布,150,"15,752元/平"
梅湖香榭丽 小区环境好 出行方便 房东诚心出售,梅湖香榭丽 -江铃,3室2厅 | 106.28平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 19天以前发布,132,"12,421元/平"
博文。全屋定制家具，实木地板，正南朝向，看房随时，,保利中航城 -洪都,3室2厅 | 95.23平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 17天以前发布,150,"15,752元/平"
复式，带前后2个小型露台，实际使用空间大，随时看房,恒茂英伦国际 -洪都航空工业园,3室2厅 | 81.34平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 21天以前发布,80,"9,836元/平"
朝阳新城，国贸天琴湾，地铁口，出行方便，户型方正,国贸天琴湾东区 -朝阳新城,3室2厅 | 105.97平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 17天以前发布,195,"18,402元/平"
