标题,开发商,房子信息,发布信息,售价/万,单价
二楼户型方正，通风采光好，生活便利,民族里(环城西二路) -象山区,1室1厅 | 46.03平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 5天以前发布,15.8,"3,433元/平"
新区繁华路段兴荣郡三房出售！小区新环境好人车分流,兴荣郡 -临桂区,3室1厅 | 99平米 | 北 | 毛坯 | 低楼层(共34层)  | 塔楼,0人关注 / 4个月以前发布,55,"5,556元/平"
真龙.电梯小高层3房朝南中间楼层,真龙茗苑 -临桂区,3室2厅 | 114.03平米 | 北 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 8个月以前发布,42,"3,684元/平"
户型很方正，有一个车库30平方,全兴小区 -临桂区,3室2厅 | 140.33平米 | 东南 | 其他 | 中楼层(共8层)  | 板楼,0人关注 / 一年前发布,57,"4,062元/平"
主卧宽大，家具可任意摆设，空气流通，对身体健朗有益,国际西苑 -临桂区,4室2厅 | 150平米 | 南 | 简装 | 中楼层(共11层)  | 板楼,0人关注 / 一年前发布,73,"4,867元/平"
成熟小区，金霖园二期平层4房2厅，带装修低价出售,金霖园二期 -灵川,4室2厅 | 134平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,53,"3,956元/平"
临桂区金水路，都市丽景118平，南北双阳台 ， 大三房,都市丽景 -临桂区,3室2厅 | 118.32平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 一年前发布,51,"4,311元/平"
临桂区 金水公园 西城新天地 152平4房两卫 大入户花园,西城新天地 -临桂区,4室2厅 | 152.08平米 | 北 | 毛坯 | 高楼层(共28层)  | 板塔结合,2人关注 / 一年前发布,67,"4,406元/平"
户型方正 采光好 华为产业园旁 配套设施齐全,桂林•天悦城 -临桂区,3室2厅 | 105平米 | 东南 | 毛坯 | 低楼层(共18层)  | 塔楼,1人关注 / 一年前发布,45,"4,286元/平"
吾悦华府B区11层洋房，户型方正，采光好通风好,新城吾悦华府 -临桂区,3室3厅 | 132平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 暂无数据,3人关注 / 10个月以前发布,86.4,"6,546元/平"
临桂CBD山水公园旁彰泰城市1号4房含车位中间好楼层,彰泰城市一号 -临桂区,4室2厅 | 126平米 | 北 | 毛坯 | 中楼层(共31层)  | 塔楼,6人关注 / 一年前发布,85,"6,747元/平"
临桂新区 彰泰城市一号毛坯小三房88平,彰泰城市一号 -临桂区,3室2厅 | 88平米 | 南 | 毛坯 | 高楼层(共32层)  | 塔楼,0人关注 / 一年前发布,63,"7,160元/平"
金色嘉苑，顶层复式4房带大露台，种花种菜养宠物,金色嘉苑 -灵川,4室2厅 | 142平米 | 东 西 | 简装 | 高楼层(共7层)  | 板楼,4人关注 / 10个月以前发布,52,"3,662元/平"
彰泰品质小区 3房2厅1卫 户型方正 中高楼层,彰泰城市一号 -临桂区,3室2厅 | 88.43平米 | 南 | 毛坯 | 高楼层(共32层)  | 塔楼,1人关注 / 一年前发布,55.3,"6,254元/平"
华为深科技旁民鑫飞虎邻居三房两厅两卫,民鑫飞虎林居 -临桂区,3室2厅 | 130.41平米 | 北 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,58.8,"4,509元/平"
业主急售  房子带大阳台   户型方正 采光好,汇荣•桂林桂林 -临桂区,4室2厅 | 127.29平米 | 北 | 毛坯 | 低楼层(共34层)  | 暂无数据,1人关注 / 3个月以前发布,70,"5,500元/平"
房东急售彰泰新城中间楼层户型方正,彰泰新城 -临桂区,3室2厅 | 129.4平米 | 东南 | 毛坯 | 中楼层(共18层)  | 塔楼,0人关注 / 一年前发布,70,"5,410元/平"
客厅主卧朝南，房子户型好，采光通风很好,慧佳城 -临桂区,3室2厅 | 100.79平米 | 北 | 毛坯 | 低楼层(共31层)  | 暂无数据,0人关注 / 7个月以前发布,67,"6,648元/平"
麓湖国际品牌小区一线湖景房值得拥有,花样年•麓湖国际 -临桂区,3室2厅 | 125平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,4人关注 / 一年前发布,88,"7,040元/平"
急售，有证，视野开阔，楼层好，采光好，,时代枫林（时代枫林商贸城） -临桂区,3室2厅 | 119平米 | 南 北 | 毛坯 | 中楼层(共29层)  | 暂无数据,2人关注 / 一年前发布,60,"5,043元/平"
房源户型好，楼层好，采光好，交通方便,时代枫林（时代枫林商贸城） -临桂区,3室2厅 | 105平米 | 西南 | 其他 | 高楼层(共29层)  | 暂无数据,1人关注 / 一年前发布,56,"5,334元/平"
房子顶楼，视野好，能看水系的景观房,时代枫林（时代枫林商贸城） -临桂区,3室1厅 | 99平米 | 南 | 简装 | 高楼层(共29层)  | 暂无数据,0人关注 / 一年前发布,49,"4,950元/平"
房子顶楼，视野好，能看水系的景观房,时代枫林（时代枫林商贸城） -临桂区,3室1厅 | 99平米 | 南 | 简装 | 高楼层(共29层)  | 暂无数据,0人关注 / 一年前发布,49,"4,950元/平"
高品质小区，生活居住舒适，配套齐全,栖霞府南苑 -七星区,3室2厅 | 118平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 板塔结合,0人关注 / 一年前发布,115,"9,746元/平"
大三房，七米二大阳台，还带80平露台,栖霞府南苑 -七星区,3室2厅 | 118平米 | 南 | 毛坯 | 低楼层(共15层)  | 暂无数据,7人关注 / 一年前发布,115,"9,746元/平"
小区位置佳，出行方便，配套成熟，此房是中楼层,时代枫林（时代枫林商贸城） -临桂区,3室2厅 | 98平米 | 北 | 毛坯 | 中楼层(共30层)  | 板塔结合,0人关注 / 一年前发布,68,"6,939元/平"
精装朝南3房，拎包入住，家具家电齐全，有证随时过户,精通伊顿国际 -临桂区,3室2厅 | 108平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 5个月以前发布,71,"6,575元/平"
吾悦广场商圈 汇荣桂林桂林 三房 产权清晰 户型好,汇荣•桂林桂林 -临桂区,3室2厅 | 109平米 | 南 | 毛坯 | 高楼层(共34层)  | 板楼,1人关注 / 一年前发布,62,"5,689元/平"
时代花园舒适已装修大三房诚心出售,时代花园 -临桂区,3室2厅 | 136.57平米 | 北 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,50,"3,662元/平"
滨江八号南北通透大四房，两面采光，,滨江8号公馆 -临桂区,4室2厅 | 140平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 塔楼,6人关注 / 一年前发布,56,"4,000元/平"
万达品牌小区，楼层好，物业管理规范，有车位,万达九著 -临桂区,3室2厅 | 102平米 | 南 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 8个月以前发布,60,"5,883元/平"
大三房，动静分离！布局合理，采光通风效果好！环境好,花样年花样城 -临桂区,3室2厅 | 124平米 | 北 | 毛坯 | 低楼层(共32层)  | 板楼,0人关注 / 一年前发布,72,"5,807元/平"
城市1号 南北透四房有证无贷 带车位带杂物间仅售85W,彰泰城市一号 -临桂区,4室2厅 | 121平米 | 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,2人关注 / 8个月以前发布,84,"6,943元/平"
临桂新区新装修未入住大三房诚心出售配套齐全出行方便,慧佳顺和苑 -临桂区,3室2厅 | 133.18平米 | 南 | 精装 | 中楼层(共23层)  | 板塔结合,0人关注 / 一年前发布,81,"6,082元/平"
汇荣桂林桂林尚玺洋房豪壮出售    拎包入住,汇荣•桂林桂林 -临桂区,4室2厅 | 136平米 | 东南 | 精装 | 中楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,148,"10,883元/平"
繁华地段 汇荣桂林桂林  视野好 配套齐全,汇荣•桂林桂林 -临桂区,3室2厅 | 114.4平米 | 东南 | 毛坯 | 高楼层(共34层)  | 暂无数据,1人关注 / 一年前发布,80.5,"7,037元/平"
有证，户型方正，采光好，交通便利，随时可签,奥林匹克花园雅典阳光 -临桂区,3室2厅 | 132平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,70,"5,304元/平"
急售！！外地发展，带车位，视野开阔，主卧带衣帽间,兴荣郡 -临桂区,3室1厅 | 108平米 | 北 | 毛坯 | 中楼层(共34层)  | 塔楼,1人关注 / 5个月以前发布,62,"5,741元/平"
花样年花样城1期  三个阳台，户型奇好,花样年花样城 -临桂区,3室2厅 | 128.6平米 | 东南 | 毛坯 | 中楼层(共32层)  | 板楼,7人关注 / 一年前发布,67.5,"5,249元/平"
花样年.花样城  大三房视野开阔可看水系  58万！可谈,花样年花样城 -临桂区,3室2厅 | 123平米 | 西北 | 毛坯 | 高楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,57,"4,635元/平"
花样城一期两房，高层采光好，出则繁华入则宁静,花样年花样城 -临桂区,2室2厅 | 89平米 | 南 | 毛坯 | 高楼层(共16层)  | 塔楼,0人关注 / 一年前发布,49.7,"5,585元/平"
彰泰城市一号 景观大四房 大横厅设计 通透明亮,彰泰城市一号 -临桂区,4室2厅 | 137.77平米 | 北 | 毛坯 | 高楼层(共32层)  | 塔楼,1人关注 / 4个月以前发布,95,"6,896元/平"
小区四面环山，夏天进了小区就不想出来标准的冬暖夏凉,兴盛天鹅堡 -临桂区,3室2厅 | 111.77平米 | 东 南 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 3个月以前发布,52.5,"4,698元/平"
带入户，经典三房，房毛坯，，，，,和公馆 -临桂区,3室2厅 | 100平米 | 南 | 毛坯 | 低楼层(共26层)  | 塔楼,0人关注 / 7个月以前发布,66,"6,600元/平"
此房户型方正，视野开阔，证件齐全，有贷款，精装修。,花样年花样城二期 -临桂区,4室2厅 | 129.57平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,1人关注 / 一年前发布,78,"6,020元/平"
彰泰城市一号业主诚心出售，三房两厅两卫,彰泰城市一号 -临桂区,3室2厅 | 90.84平米 | 南 | 毛坯 | 低楼层(共32层)  | 塔楼,2人关注 / 7个月以前发布,65,"7,156元/平"
联发欣悦朝南电梯复式97平方产权112万,联发欣悦 -叠彩区,3室2厅 | 97平米 | 东南 南 | 毛坯 | 高楼层(共12层)  | 板楼,3人关注 / 一年前发布,109,"11,238元/平"
此房源户型方正，三房，房子带车位。,彰泰城市一号 -临桂区,3室2厅 | 102.07平米 | 南 | 毛坯 | 高楼层(共32层)  | 塔楼,23人关注 / 一年前发布,57,"5,585元/平"
机场路旁 慧佳城清水大三房 中间楼层76万,慧佳城 -临桂区,4室2厅 | 120.61平米 | 北 | 毛坯 | 中楼层(共31层)  | 塔楼,2人关注 / 一年前发布,70,"5,804元/平"
房子户型方正，中高楼层，小区24小时安保，可看江景,花样年花样城二期 -临桂区,3室1厅 | 114.65平米 | 南 | 毛坯 | 低楼层(共32层)  | 板楼,0人关注 / 一年前发布,70,"6,106元/平"
楼层好。好视野，釆光较好，看房方便，业主诚意出售,奥林匹克花园雅典阳光 -临桂区,2室2厅 | 97平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,46,"4,743元/平"
湖边的大四房，居家号地方，小区环境到位,花样年花样城二期 -临桂区,4室2厅 | 127平米 | 东南 | 毛坯 | 中楼层(共32层)  | 塔楼,6人关注 / 一年前发布,62,"4,882元/平"
房子户型方正，采光好，交通便利,精通伊顿国际 -临桂区,3室2厅 | 104平米 | 南 | 毛坯 | 中楼层(共33层)  | 塔楼,1人关注 / 一年前发布,69,"6,635元/平"
精通伊顿国际 大三房 朝南 户型方正 带车位,精通伊顿国际 -临桂区,3室2厅 | 108平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,1人关注 / 一年前发布,66,"6,112元/平"
新小区，顺祥城电梯4房，南北通透格局，不临街！,顺祥城 -灵川,4室2厅 | 109.36平米 | 南 北 | 毛坯 | 低楼层(共21层)  | 暂无数据,1人关注 / 一年前发布,55,"5,030元/平"
真龙茗苑 3室2厅 南,真龙茗苑 -临桂区,3室2厅 | 113.27平米 | 南 | 毛坯 | 中楼层(共7层)  | 板楼,1人关注 / 7个月以前发布,41,"3,620元/平"
时代枫林配套成熟地段毛坯三房出售,时代枫林（时代枫林商贸城） -临桂区,3室2厅 | 99.11平米 | 南 | 毛坯 | 低楼层(共29层)  | 暂无数据,0人关注 / 一年前发布,64,"6,458元/平"
机场路上华骊茗城南北朝向双阳台，三房两厅两卫视野好,碧园华骊茗城 -临桂区,3室2厅 | 120.42平米 | 北 | 毛坯 | 中楼层(共18层)  | 板塔结合,1人关注 / 一年前发布,55.6,"4,618元/平"
灵川大道，电梯大三房，毛坯房给您更多的自由装修空间,雅云尚城 -灵川,3室2厅 | 123.86平米 | 北 | 毛坯 | 中楼层(共22层)  | 暂无数据,4人关注 / 一年前发布,45,"3,634元/平"
高新万达广场 棠棣之华四房 小区中间电梯高层带车位,信昌•棠棣之华 -七星区,4室2厅 | 117平米 | 南 | 毛坯 | 高楼层(共17层)  | 板塔结合,0人关注 / 一年前发布,128.2,"10,958元/平"
花样年二期 清水三房 一线江景房 南北向,花样年花样城二期 -临桂区,3室2厅 | 128平米 | 北 | 毛坯 | 高楼层(共17层)  | 板楼,1人关注 / 一年前发布,70,"5,469元/平"
融创南溪府南苑中间景观电梯高层4房2厅2卫,栖霞府南苑 -七星区,4室2厅 | 127.5平米 | 南 北 | 毛坯 | 高楼层(共15层)  | 暂无数据,1人关注 / 8个月以前发布,131.8,"10,338元/平"
中南湘雅二院旁，一梯四户小高层洋房，产权清晰,真龙茗苑 -临桂区,3室2厅 | 118.74平米 | 南 | 毛坯 | 中楼层(共7层)  | 暂无数据,1人关注 / 8个月以前发布,43.5,"3,664元/平"
此方产权清晰，无贷款，房东诚意出售，随时可签.,真龙茗苑 -临桂区,3室2厅 | 118.04平米 | 北 | 毛坯 | 中楼层(共7层)  | 暂无数据,0人关注 / 8个月以前发布,42,"3,559元/平"
红本在手，采光充足，视野好，户型方正，双阳台,冠信幸福美地 -临桂区,3室2厅 | 130平米 | 东南 | 毛坯 | 中楼层(共11层)  | 板楼,2人关注 / 一年前发布,55,"4,231元/平"
鸿通世纪华庭，经典三房，大阳台，好楼层,鸿通世纪华庭 -临桂区,3室2厅 | 111.54平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,0人关注 / 3个月以前发布,55,"4,931元/平"
冠信幸福美地 4室2厅2卫 毛坯,冠信幸福美地 -临桂区,4室2厅 | 142平米 | 南 | 毛坯 | 低楼层(共11层)  | 板楼,2人关注 / 一年前发布,62,"4,367元/平"
万达广场旁，幸福美地两梯两户板楼大4房,冠信幸福美地 -临桂区,4室2厅 | 138.1平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 4个月以前发布,69,"4,997元/平"
：南北朝向，楼层好，视野开阔，采光充足,时代花园 -临桂区,3室2厅 | 104.3平米 | 东 | 简装 | 低楼层(共16层)  | 板楼,0人关注 / 2个月以前发布,50,"4,794元/平"
电梯高层，视野采光很好业主诚心出售,时代枫林（时代枫林商贸城） -临桂区,3室2厅 | 121.72平米 | 北 | 毛坯 | 高楼层(共29层)  | 暂无数据,1人关注 / 一年前发布,56,"4,601元/平"
联发欣悦电梯复式楼102平方急售   带阁楼,联发欣悦 -叠彩区,5室2厅 | 101平米 | 北 | 毛坯 | 高楼层(共11层)  | 板楼,4人关注 / 一年前发布,100,"9,901元/平"
总层高7层小洋房，户型通透方正，房东诚意出售,耀辉美好家园 -临桂区,3室2厅 | 115平米 | 南 | 其他 | 低楼层(共6层)  | 板塔结合,1人关注 / 一年前发布,56,"4,870元/平"
国际西苑136.76平3房2卫，有证无贷，方便看房,国际西苑 -临桂区,3室2厅 | 136.76平米 | 北 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 一年前发布,65,"4,753元/平"
便宜大三房 急售急售 随时过户 有钥匙看房,冠信幸福美地 -临桂区,3室2厅 | 119平米 | 南 北 | 毛坯 | 高楼层(共21层)  | 板楼,0人关注 / 一年前发布,56,"4,706元/平"
老城区 143平 4 房 诚意出售,时代花园 -临桂区,4室1厅 | 143平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,5人关注 / 一年前发布,49.6,"3,469元/平"
时代枫林楼层居中适合有老人孩子的家庭,时代枫林（时代枫林商贸城） -临桂区,3室2厅 | 128平米 | 南 | 毛坯 | 中楼层(共29层)  | 暂无数据,0人关注 / 6个月以前发布,65.8,"5,141元/平"
简装3房拎包入住，看上可谈西城新天地,西城新天地 -临桂区,3室2厅 | 123平米 | 东南 南 | 简装 | 中楼层(共27层)  | 板楼,0人关注 / 7个月以前发布,56,"4,553元/平"
花样年4房两厅两卫 双阳台中间楼层,花样年花样城 -临桂区,4室2厅 | 143平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 一年前发布,78,"5,455元/平"
临桂老城区大三房，户型方正 中高楼层 采光充足,鑫府家园 -临桂区,3室2厅 | 129平米 | 东南 | 毛坯 | 中楼层(共25层)  | 暂无数据,0人关注 / 一年前发布,62,"4,807元/平"
机场路旁三房两卫急售，业主诚心出售，价格可谈！,雍王府 -临桂区,3室2厅 | 120平米 | 北 | 其他 | 中楼层(共29层)  | 板塔结合,0人关注 / 一年前发布,55,"4,584元/平"
小区入住人均率底，环境好，小区安静，毛胚房,桂林日报社小区 -灵川,3室2厅 | 120平米 | 北 | 毛坯 | 高楼层(共28层)  | 暂无数据,1人关注 / 7个月以前发布,47.8,"3,984元/平"
户型方正，大三房，双阳台，采光视野好！,七彩小康城 -灵川,3室2厅 | 115平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,2人关注 / 10个月以前发布,38.8,"3,374元/平"
单价2980元，三楼大三房毛坯房，可省装修拆除费用,万佳豪庭 -灵川,3室2厅 | 134.2平米 | 北 | 毛坯 | 中楼层(共7层)  | 板楼,10人关注 / 一年前发布,40,"2,981元/平"
富华园3-1-1-2 110.00m² 34.8 万,富华园 -灵川,3室1厅 | 110平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,9人关注 / 一年前发布,34,"3,091元/平"
临桂新区 万达广场  华润广场 麒麟湾畔 3房 带车位,安厦麒麟湾畔 -临桂区,3室2厅 | 87.61平米 | 东南 | 毛坯 | 高楼层(共34层)  | 板楼,0人关注 / 5个月以前发布,50,"5,708元/平"
香滨小镇 通透三房 户型好 采光好 动静分离 婚房,碧园•香槟小镇 -临桂区,3室2厅 | 100平米 | 东南 | 毛坯 | 低楼层(共6层)  | 板楼,0人关注 / 一年前发布,50,"5,000元/平"
机场路边 出行便利 电梯三房 户型方正实用 好楼层,雍王府 -临桂区,3室2厅 | 118平米 | 南 | 其他 | 中楼层(共29层)  | 板塔结合,0人关注 / 一年前发布,58,"4,916元/平"
彰泰城市1号 品质小区，地段好，一院两馆旁,彰泰城市一号 -临桂区,3室2厅 | 89平米 | 东南 | 其他 | 中楼层(共32层)  | 塔楼,1人关注 / 9个月以前发布,54,"6,068元/平"
文化宫内步梯四楼通风采光都好三房一厅的房子.南,正阳北社公巷 -秀峰区,3室1厅 | 72.49平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,108,"14,899元/平"
真龙茗苑3-2-1-2 118.39m² 44 万,真龙茗苑 -临桂区,3室2厅 | 118.39平米 | 南 | 毛坯 | 中楼层(共7层)  | 暂无数据,0人关注 / 8个月以前发布,43,"3,633元/平"
天下步行街步梯简装大两房采光通风好,天下桂林步行街 -临桂区,2室2厅 | 86.14平米 | 南 北 | 简装 | 高楼层(共4层)  | 板楼,4人关注 / 一年前发布,32,"3,715元/平"
大三房 单价低  飞虎公园旁  小高层,民鑫飞虎林居 -临桂区,3室2厅 | 123.83平米 | 北 | 毛坯 | 高楼层(共16层)  | 板塔结合,15人关注 / 一年前发布,45,"3,635元/平"
保利花园大三房，一梯两户南北通透，拎包入住,保利花园 -临桂区,3室2厅 | 141平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,3人关注 / 一年前发布,50.5,"3,582元/平"
花样年二期主卧景观阳台看水系大黄山,花样年花样城二期 -临桂区,4室2厅 | 126平米 | 东北 | 毛坯 | 低楼层(共32层)  | 塔楼,0人关注 / 一年前发布,63,"5,000元/平"
鲁山水泥厂生活区大院 3室2厅 南 北,鲁山水泥厂生活区大院 -临桂区,3室2厅 | 132平米 | 南 北 | 毛坯 | 中楼层(共15层)  | 板楼,2人关注 / 一年前发布,46,"3,485元/平"
精通伊顿 社区花园 人车分流 3房户型通透,精通伊顿国际 -临桂区,3室2厅 | 105平米 | 南 | 毛坯 | 高楼层(共27层)  | 板塔结合,0人关注 / 一年前发布,62.5,"5,953元/平"
宜和云天2房两厅一卫拎包入住，,宜和云天 -临桂区,2室2厅 | 91.66平米 | 东南 南 | 简装 | 中楼层(共11层)  | 塔楼,1人关注 / 一年前发布,40,"4,364元/平"
奥林匹克花园悉尼蓝湾3-2-1-2 121.00m² 68 万,奥林匹克花园悉尼蓝湾 -临桂区,3室2厅 | 121平米 | 南 | 毛坯 | 低楼层(共33层)  | 塔楼,1人关注 / 8个月以前发布,67.3,"5,562元/平"
临桂万达旁三房两厅两卫  证件齐全   配套成熟,鑫隆公园大地 -临桂区,3室2厅 | 119.52平米 | 东南 | 毛坯 | 中楼层(共24层)  | 板塔结合,0人关注 / 9个月以前发布,65,"5,439元/平"
彰泰城市一号带2个车位买一层得一层买到就赚到,彰泰城市一号 -临桂区,4室2厅 | 129平米 | 东北 | 毛坯 | 高楼层(共31层)  | 塔楼,4人关注 / 一年前发布,135,"10,466元/平"
急售   吾悦 万达 小高层 三房两厅两卫,鑫隆公园大地 -临桂区,2室2厅 | 106.54平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板塔结合,0人关注 / 11个月以前发布,65,"6,101元/平"
中隐路延长线，养生谷，荷塘公园，电梯房！,瑞锦欣城 -临桂区,3室2厅 | 107平米 | 南 | 毛坯 | 高楼层(共27层)  | 暂无数据,3人关注 / 一年前发布,39.5,"3,692元/平"
户型方正，视野开阔，顶层复式楼,民鑫飞虎林居 -临桂区,3室2厅 | 124平米 | 北 | 毛坯 | 高楼层(共16层)  | 暂无数据,0人关注 / 一年前发布,57.5,"4,638元/平"
市政府旁 花生唐 商场 精装公寓 急售！！！,花样年花样城 -临桂区,1室1厅 | 50平米 | 南 | 精装 | 高楼层(共19层)  | 板楼,0人关注 / 一年前发布,32,"6,400元/平"
栖霞府南苑2梯2户127四房5楼事业开阔,栖霞府南苑 -七星区,4室2厅 | 127平米 | 南 | 毛坯 | 低楼层(共15层)  | 暂无数据,5人关注 / 11个月以前发布,130,"10,237元/平"
万象芭提雅优势三房带入户花园看房方便,万象•芭堤雅 -临桂区,3室2厅 | 90平米 | 西南 | 毛坯 | 中楼层(共24层)  | 板楼,5人关注 / 一年前发布,40,"4,445元/平"
公园大地3房2厅1厨2卫，毛坯，两个大阳台，空间大,鑫隆公园大地 -临桂区,3室2厅 | 150.94平米 | 南 | 毛坯 | 低楼层(共25层)  | 板塔结合,0人关注 / 一年前发布,63,"4,174元/平"
临桂新区 总高9层洋房 129平4房 69万,金科·集美东方 -临桂区,4室2厅 | 129.4平米 | 南 | 毛坯 | 中楼层(共9层)  | 板塔结合,1人关注 / 6个月以前发布,68,"5,256元/平"
临桂医学院旁120平毛坯3房63万中间楼层随时看房,桂医熙境 -临桂区,3室2厅 | 120平米 | 西北 | 其他 | 中楼层(共24层)  | 暂无数据,4人关注 / 一年前发布,60,"5,000元/平"
此房户型方正，采光充足，生活配套成熟，小区环境好，,和谐康城 -灵川,3室2厅 | 117平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,40.8,"3,488元/平"
师大隔壁  绿化高   适合居家的成熟小区,玉柴•博望园 -灵川,3室1厅 | 128平米 | 南 | 毛坯 | 中楼层(共11层)  | 板塔结合,0人关注 / 3个月以前发布,70,"5,469元/平"
交通方便 大三房 南北户型 绿化好 法式风,宜和云天 -临桂区,3室2厅 | 124.59平米 | 南 北 | 毛坯 | 高楼层(共23层)  | 板塔结合,0人关注 / 一年前发布,57,"4,576元/平"
正三房，毛坯清水房省拆装费，随心装修。楼层好！,水岸新城 -灵川,3室2厅 | 103.68平米 | 南 | 毛坯 | 高楼层(共27层)  | 板塔结合,0人关注 / 一年前发布,46,"4,437元/平"
视野开阔 阳光充足 证件齐全 彰泰中央城 带车位,彰泰中央城 -临桂区,4室2厅 | 126.89平米 | 东南 | 毛坯 | 中楼层(共27层)  | 板塔结合,1人关注 / 7个月以前发布,95,"7,487元/平"
新会展旁联发·悦溪府，南北通透板楼大三房带车位,联发•悦溪府 -临桂区,3室2厅 | 118平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 塔楼,0人关注 / 2个月以前发布,70,"5,933元/平"
成熟社区 美好家园 三房二厅 户型方正,耀辉美好家园 -临桂区,3室2厅 | 116.74平米 | 北 南 | 毛坯 | 高楼层(共27层)  | 板塔结合,0人关注 / 6个月以前发布,60,"5,140元/平"
彰泰城市1号，水系江景四房 一院两馆旁，含车位90万,彰泰城市一号 -临桂区,4室2厅 | 130平米 | 北 | 毛坯 | 低楼层(共33层)  | 塔楼,25人关注 / 一年前发布,92.8,"7,139元/平"
：此房格局好，通风好，采光佳， 视野开阔,欧洲小镇四区 -灵川,3室2厅 | 109.98平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 一年前发布,55,"5,001元/平"
桂林市临桂新区花样年花样城4房,花样年花样城 -临桂区,4室2厅 | 141.96平米 | 北 | 其他 | 中楼层(共16层)  | 板楼,0人关注 / 10个月以前发布,70.5,"4,967元/平"
临桂鑫隆公园大地房屋出售 配套成熟 物业服务好,鑫隆公园大地 -临桂区,4室2厅 | 156平米 | 南 | 毛坯 | 高楼层(共25层)  | 板塔结合,0人关注 / 一年前发布,90,"5,770元/平"
时代枫林精致三房，地处繁华。房东诚心出售。,时代枫林（时代枫林商贸城） -临桂区,3室1厅 | 110平米 | 南 | 毛坯 | 高楼层(共29层)  | 塔楼,0人关注 / 2个月以前发布,59,"5,364元/平"
花样年花样城三期 3室2厅 南,花样年花样城三期 -临桂区,3室2厅 | 113平米 | 南 | 毛坯 | 高楼层(共32层)  | 板楼,1人关注 / 一年前发布,53,"4,691元/平"
八里街彰泰峰誉漓江边江景房，户型方正92平3房2厅2卫,彰泰峰誉 -灵川,3室1厅 | 92平米 | 南 北 | 毛坯 | 中楼层(共40层)  | 板塔结合,1人关注 / 10个月以前发布,56,"6,087元/平"
精通伊顿 带露台 两江四户江景房,精通伊顿国际 -临桂区,3室1厅 | 103平米 | 南 | 简装 | 低楼层(共18层)  | 板塔结合,2人关注 / 一年前发布,57,"5,534元/平"
电梯洋房总高7层，采光通风好，视野开阔,真龙茗苑 -临桂区,3室2厅 | 114.12平米 | 南 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 8个月以前发布,41.8,"3,663元/平"
长岛16区  南北通透好户型，,桂林长岛16区 -临桂区,3室2厅 | 130.8平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板楼,6人关注 / 一年前发布,52,"3,976元/平"
交通大厦 小跃层 3房2厅3卫 双证齐全  有证无贷68万！,交通大厦 -临桂区,3室2厅 | 147.12平米 | 北 | 毛坯 | 高楼层(共16层)  | 板楼,0人关注 / 一年前发布,60,"4,079元/平"
彰泰新城130平毛坯大三房 证件齐全 适合改善客户,彰泰新城 -临桂区,3室2厅 | 130平米 | 西北 | 毛坯 | 中楼层(共18层)  | 塔楼,3人关注 / 一年前发布,60,"4,616元/平"
时代枫林福祥里好户型64.5万西城大道地段好,时代枫林（时代枫林商贸城） -临桂区,3室2厅 | 121.72平米 | 南 北 | 其他 | 中楼层(共29层)  | 暂无数据,2人关注 / 7个月以前发布,56.8,"4,667元/平"
