标题,开发商,房子信息,发布信息,售价/万,单价
豪庭御都 3室2厅 南 北,豪庭御都 -北湖区,3室2厅 | 158平米 | 南 北 | 精装 | 低楼层(共17层)  | 板塔结合,0人关注 / 7天以前发布,126,"7,975元/平"
此房楼间距大 无遮挡 3室2厅 楼层好 采光好  通风好,薛口育德家园 -济北区,3室2厅 | 101.17平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 板塔结合,2人关注 / 10个月以前发布,116,"11,466元/平"
凤凰城C区三室两厅东户毛坯带储藏室诚心出售随时看房,鳳凰城C区 -南池区,3室2厅 | 119平米 | 南 北 | 毛坯 | 中楼层(共22层)  | 板塔结合,0人关注 / 3个月以前发布,130,"10,925元/平"
吾悦首府 3室2厅 南 北,吾悦首府 -北湖区,3室2厅 | 122平米 | 南 北 | 其他 | 低楼层(共27层)  | 暂无数据,0人关注 / 1个月以前发布,140,"11,476元/平"
越河街道古路沟小区 3室1厅 南,越河街道古路沟小区 -南池区,3室1厅 | 86平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,75,"8,721元/平"
南池水景园 简装三室 三室朝阳全明户型 采光通风好,南池水景园C区 -南池区,3室2厅 | 108平米 | 南 | 简装 | 高楼层(共22层)  | 板塔结合,10人关注 / 一年前发布,125,"11,575元/平"
城投鹿港一楼带下沉，带院子 170平 420万 可贷款,城投鹿港 -北湖区,5室3厅 | 170平米 | 西南 | 毛坯 | 低楼层(共6层)  | 板楼,4人关注 / 一年前发布,385,"22,648元/平"
绿地国际城、洋房.有钥匙看房方便户型方正,绿地公馆二期 -万达区,3室2厅 | 168平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,276,"16,429元/平"
中南瑞马樾府 高档洋房，小区环境优美,中南瑞马樾府 -南池区,4室2厅 | 170平米 | 南 北 | 毛坯 | 高楼层(共8层)  | 板塔结合,0人关注 / 一年前发布,256,"15,059元/平"
东门十五中，鲁商运河公馆3室好房急售,鲁商运河公馆 -南池区,3室1厅 | 115.19平米 | 南 | 毛坯 | 中楼层(共34层)  | 板楼,2人关注 / 10个月以前发布,122,"10,592元/平"
华盛苑6层电梯洋房，中间楼层，采光好，视野好，有证,华盛苑 -南池区,4室1厅 | 134.44平米 | 南 | 毛坯 | 中楼层(共6层)  | 板塔结合,0人关注 / 5个月以前发布,171,"12,720元/平"
济宁恒大名都  户型很好 有钥匙看房方便 有证可贷款,济宁恒大名都 -北湖区,3室2厅 | 136平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,10人关注 / 一年前发布,137,"10,074元/平"
瑞马名门  小区环境优美  交通便利   出行方便,瑞马名门 -济北区,2室2厅 | 92平米 | 北 | 精装 | 高楼层(共28层)  | 板塔结合,9人关注 / 8个月以前发布,58,"6,305元/平"
绿地国际城洋房一楼带大院子带下沉，精装修，采光好,绿地国际城三期 -万达区,3室2厅 | 134平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,11人关注 / 8个月以前发布,273,"20,374元/平"
此房楼间距大 无遮挡 3室2厅 楼层好 采光好  通风好,薛口育德家园 -济北区,3室2厅 | 101.17平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 板塔结合,2人关注 / 10个月以前发布,116,"11,466元/平"
多层  包括南向车库   得房率高  全明间  采光通风好,南刘庄小区（B区） -济北区,3室2厅 | 105平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板楼,12人关注 / 8个月以前发布,93,"8,858元/平"
中南·珑悦 4室2厅 南 北,中南·珑悦 -北湖区,4室2厅 | 155平米 | 南 北 | 毛坯 | 中楼层(共9层)  | 板楼,4人关注 / 一年前发布,200,"12,904元/平"
共青团路武装部宿舍一楼2室1厅  带院 有配房  有钥匙,中区武装部宿舍 -西城区,2室1厅 | 92.9平米 | 南 | 简装 | 低楼层(共4层)  | 暂无数据,2人关注 / 一年前发布,185,"19,914元/平"
鸿顺观邸 2室2厅 南,鸿顺观邸 -北湖区,2室2厅 | 89平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,5人关注 / 10个月以前发布,91,"10,225元/平"
高档小区环境优美精装现房南北通透,中海城 -西城区,3室2厅 | 130平米 | 南 北 | 精装 | 高楼层(共18层)  | 暂无数据,1人关注 / 5个月以前发布,144,"11,077元/平"
两室一厅   两室向阳    采光好,新刘庄社区 -万达区,2室1厅 | 70平米 | 南 北 | 简装 | 低楼层(共3层)  | 暂无数据,2人关注 / 6个月以前发布,66,"9,429元/平"
全明设计，舒适人性化标准设计 ，布局合理。,济宁恒大名都 -北湖区,3室2厅 | 145平米 | 南 北 | 其他 | 高楼层(共33层)  | 塔楼,0人关注 / 4个月以前发布,170,"11,725元/平"
无遮挡 带车位储  价格可议 有钥匙 急售,济宁孝养城 -南池区,3室2厅 | 108平米 | 南 | 毛坯 | 低楼层(共32层)  | 板楼,6人关注 / 8个月以前发布,100,"9,260元/平"
碧桂园小区公园  看房方便  中间楼层  观景,城投碧桂园中央公园 -北湖区,3室2厅 | 122.36平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 8个月以前发布,190,"15,528元/平"
保利·时光印象 3室2厅 南,保利·时光印象 -南池区,3室2厅 | 139.35平米 | 南 | 毛坯 | 中楼层(共8层)  | 板楼,1人关注 / 4个月以前发布,187.5,"13,456元/平"
融创·济宁府 3室2厅 南,融创·济宁府 -兖州区,3室2厅 | 138平米 | 南 | 其他 | 中楼层(共25层)  | 板塔结合,0人关注 / 6个月以前发布,135,"9,783元/平"
南池春晓，无遮挡视野开阔，采光充足，交通便利,南池春晓 -南池区,3室2厅 | 92.77平米 | 南 | 毛坯 | 高楼层(共24层)  | 暂无数据,2人关注 / 8个月以前发布,109,"11,750元/平"
南池御都 3室2厅 南 北,南池御都 -南池区,3室2厅 | 146平米 | 南 北 | 毛坯 | 低楼层(共30层)  | 暂无数据,5人关注 / 6个月以前发布,145,"9,932元/平"
鸿顺观邸精装修房可贷款价格可议,鸿顺观邸 -北湖区,3室2厅 | 152平米 | 南 北 | 精装 | 低楼层(共25层)  | 板塔结合,1人关注 / 3个月以前发布,150,"9,869元/平"
北湖区吾悦首府三室两厅两卫毛坯房,吾悦首府 -北湖区,3室2厅 | 114平米 | 南 | 毛坯 | 高楼层(共27层)  | 板楼,0人关注 / 5个月以前发布,130,"11,404元/平"
济宁的上等房源.交通便利的优质房,枣店阁小区 -南池区,3室1厅 | 75平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 11个月以前发布,65,"8,667元/平"
位置优越，两室朝阳，三室两厅两卫。,吾悦首府 -北湖区,3室2厅 | 111.3平米 | 南 | 毛坯 | 高楼层(共27层)  | 塔楼,1人关注 / 5个月以前发布,118,"10,602元/平"
新出房源 瑞马意墅3室2厅2卫  132.94平方阳光房,瑞马意墅 -济北区,3室2厅 | 132.94平米 | 南 | 毛坯 | 高楼层(共17层)  | 板楼,8人关注 / 4个月以前发布,166,"12,487元/平"
房龄新正常贷款　三室向阳双阳台 好楼层 带南向车库,齐鑫花园 -万达区,3室2厅 | 134平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,3人关注 / 一年前发布,136,"10,150元/平"
城投碧桂园，4室2厅，户型实用，居住舒适,城投碧桂园中央公园 -北湖区,4室2厅 | 147平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 一年前发布,238,"16,191元/平"
吾悦首府 新交付小区 物业好 环境佳 三室户型 有钥匙,吾悦首府 -北湖区,3室2厅 | 104平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 暂无数据,1人关注 / 10个月以前发布,130,"12,500元/平"
精装大面积户型 环境优美家门口有商铺北湖湿地公园,城投碧桂园中央公园 -北湖区,4室2厅 | 192平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,5人关注 / 一年前发布,280,"14,584元/平"
枣店阁—首推好房源 满五唯一可上学 诚心急售,枣店阁小区 -南池区,2室2厅 | 80平米 | 北 南 | 简装 | 高楼层(共6层)  | 板楼,4人关注 / 10个月以前发布,75,"9,375元/平"
太白路 融创滨江壹号 电梯洋房 户型方正,融创滨江壹号 -西城区,3室2厅 | 164平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,1人关注 / 9个月以前发布,165,"10,061元/平"
领秀庄园 精装修 采光好 三室 十三中,领秀庄园 -济北区,3室1厅 | 120平米 | 南 | 精装 | 中楼层(共16层)  | 板塔结合,2人关注 / 7个月以前发布,150,"12,500元/平"
北湖区 吾悦首府 真实在售  手慢无,吾悦首府 -北湖区,3室2厅 | 104平米 | 南 | 毛坯 | 高楼层(共27层)  | 暂无数据,0人关注 / 4个月以前发布,118,"11,347元/平"
供水集团宿舍 4室2厅 南 北,供水集团宿舍 -西城区,4室2厅 | 138.74平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,110,"7,929元/平"
樱花园三室一厅  两室向阳  户型好,樱花园小区 -西城区,3室1厅 | 74.5平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,2人关注 / 5个月以前发布,62,"8,323元/平"
7吉祥小区 单价7300 附属医院  价格可议,吉祥小区 -西城区,3室2厅 | 127平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,17人关注 / 一年前发布,92,"7,245元/平"
德建雅居中间楼层，精装修，房龄新，环境优美。,德建雅居 -济北区,2室2厅 | 99平米 | 南 北 | 简装 | 低楼层(共33层)  | 板楼,1人关注 / 3个月以前发布,110,"11,112元/平"
两室朝阳，配套齐全，交通便利，成熟商圈,九巨龙·华欣苑 -南池区,3室2厅 | 119.98平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,4人关注 / 5个月以前发布,116,"9,669元/平"
翡翠名郡  带车位 好楼层 四室两厅两卫  随心装,翡翠名郡 -邹城市,4室2厅 | 133平米 | 南 | 毛坯 | 高楼层(共9层)  | 暂无数据,1人关注 / 一年前发布,139,"10,452元/平"
小区内环境优美绿化漂亮适合老人上班族和孩子居住,鲁商运河公馆 -南池区,3室2厅 | 110平米 | 南 北 | 精装 | 中楼层(共34层)  | 板塔结合,4人关注 / 一年前发布,126,"11,455元/平"
此房满五不唯一，2室朝阳，采光好，视野开阔,开泰花园 -西城区,3室2厅 | 101.4平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,89,"8,778元/平"
长泰百合花园 4室2厅 南 北,长泰百合花园 -西城区,4室2厅 | 157.77平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,200,"12,677元/平"
电业局宿舍 2室2厅 南 北,电业局宿舍 -西城区,2室2厅 | 98平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,90,"9,184元/平"
盘龙嘉苑 满五唯一  有储藏室,盘龙嘉苑 -邹城市,3室2厅 | 94.32平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,4人关注 / 一年前发布,49,"5,196元/平"
罗马假日 3室2厅精装修 不沿街不靠路 带车位储藏室,罗马假日 -西城区,3室2厅 | 113平米 | 南 | 精装 | 低楼层(共11层)  | 暂无数据,18人关注 / 一年前发布,136,"12,036元/平"
此房证满五年，采光通透性好，三室朝阳,鲁通家园宿舍 -济北区,3室2厅 | 135平米 | 南 北 | 精装 | 高楼层(共7层)  | 塔楼,4人关注 / 一年前发布,114.7,"8,497元/平"
盘龙嘉园 三室 107平 售价56万 带阁楼 可贷款,盘龙嘉苑 -邹城市,3室2厅 | 107平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 塔楼,2人关注 / 一年前发布,54,"5,047元/平"
好楼层，毛坯房，看房方便，三室，南北通透，诚意卖,燕京花园东区 -邹城市,3室2厅 | 111平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,82,"7,388元/平"
金宇路新贵和佳世客商圈大地都市春天三室两厅精装修,大地•都市春天 -济北区,3室2厅 | 134平米 | 南 北 | 精装 | 高楼层(共12层)  | 板楼,2人关注 / 一年前发布,168,"12,538元/平"
单位宿舍 电梯小高层 带车位 毛坯新房,金厦御园 -西城区,3室2厅 | 131平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 塔楼,0人关注 / 5个月以前发布,132,"10,077元/平"
急售农坛北区三楼 有储藏室 有钥匙随时看房,农坛北区 -邹城市,3室1厅 | 82平米 | 南 | 简装 | 中楼层(共4层)  | 暂无数据,0人关注 / 1个月以前发布,55,"6,708元/平"
太白路 融创滨江壹号 电梯房 户型方正 交通便利,融创滨江壹号 -西城区,3室2厅 | 121平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,1人关注 / 9个月以前发布,111.1,"9,182元/平"
东门十五中，华盛苑好房源，业主诚心出售,华盛苑 -南池区,3室2厅 | 106平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,3人关注 / 8个月以前发布,112,"10,567元/平"
水景园C区边户三居室两室朝阳随时看房,南池水景园C区 -南池区,3室2厅 | 130平米 | 南 | 精装 | 高楼层(共22层)  | 暂无数据,0人关注 / 8个月以前发布,145,"11,154元/平"
冠亚星城，三室两厅好房子，户型好，看房方便,冠亚星城 -济北区,3室2厅 | 113平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 8个月以前发布,111,"9,824元/平"
房屋产权清晰，看房方便，普通住宅商品房,永鑫社区 -西城区,3室1厅 | 79.31平米 | 南 | 简装 | 高楼层(共5层)  | 暂无数据,2人关注 / 一年前发布,48,"6,053元/平"
有证可贷款！价格可浮动附带车位另算，业主诚心出售。,城投新元里 -济北区,3室2厅 | 108平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,15人关注 / 10个月以前发布,105,"9,723元/平"
昌平小区  简单装修  三室两厅2楼 70.9万,昌平小区 -邹城市,3室2厅 | 103平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 10个月以前发布,69.6,"6,758元/平"
三室两厅两个卧室朝阳，楼层好采光好，满五,中区教育局宿舍（环城西路58号） -西城区,3室2厅 | 86平米 | 南 | 简装 | 中楼层(共4层)  | 平房,1人关注 / 11个月以前发布,73,"8,489元/平"
济宁孝养城 3室1厅 南 北,济宁孝养城 -南池区,3室1厅 | 108.99平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板楼,0人关注 / 8个月以前发布,97.8,"8,974元/平"
新出，北城国际，毛坯，复式房，带一个露台！,北城国际 -济北区,4室2厅 | 164.5平米 | 北 南 | 毛坯 | 高楼层(共11层)  | 板楼,21人关注 / 一年前发布,140,"8,511元/平"
西岸华府霍家街小新房毛坯户型好好装修,西岸华府 -西城区,3室1厅 | 123平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,1人关注 / 6个月以前发布,100,"8,131元/平"
刚需低价三室，采光好，通风好，出行方便，购物便利,益民西区 -西城区,3室2厅 | 114平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,10人关注 / 一年前发布,82,"7,193元/平"
新华小区 3室1厅 南,新华小区 -南池区,3室1厅 | 104平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,92,"8,847元/平"
龙玺云顶复式别墅，有车位，看房方便,龙玺·香醍溪谷 -兖州区,3室2厅 | 121.63平米 | 南 北 | 毛坯 | 中楼层(共5层)  | 板楼,5人关注 / 一年前发布,91,"7,482元/平"
此满五不唯一，视野宽阔，两室向阳。采光充足,祥和园西区 -万达区,2室1厅 | 72.04平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,61,"8,468元/平"
睿湖印象 3室1厅 南,睿湖印象 -济北区,3室1厅 | 116平米 | 南 | 毛坯 | 低楼层(共16层)  | 板楼,0人关注 / 3个月以前发布,170,"14,656元/平"
碧桂园云地天启144平40万精装带家具家电,碧桂园云地天启 -邹城市,4室2厅 | 144平米 | 南 | 精装 | 中楼层(共18层)  | 暂无数据,3人关注 / 6个月以前发布,170,"11,806元/平"
此房满五唯一，。三室一厅，两室向阳，配套齐全。。。,鼓手营小区 -西城区,3室1厅 | 85平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,75.8,"8,918元/平"
此房精装修，户型方正，房东诚心出售，得房率高,济宁孝养城 -南池区,4室2厅 | 134.61平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,3人关注 / 6个月以前发布,131,"9,732元/平"
全明户型，两室朝阳，精装修，带家具家电。,九巨龙·华欣苑 -南池区,3室1厅 | 102平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,5人关注 / 4个月以前发布,98,"9,608元/平"
青年城三期华锦苑 3室2厅 南 北,青年城三期华锦苑 -南池区,3室2厅 | 130平米 | 南 北 | 毛坯 | 高楼层(共21层)  | 暂无数据,2人关注 / 7个月以前发布,150.6,"11,585元/平"
凤凰城凤鸣区 3室2厅 南 北,凤凰城凤鸣区 -南池区,3室2厅 | 111平米 | 南 北 | 精装 | 高楼层(共12层)  | 暂无数据,1人关注 / 9个月以前发布,139,"12,523元/平"
急售！！东方骏景，毛坯2室，包费用，随时看房可贷款,东方骏景 -邹城市,2室2厅 | 75.88平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,2人关注 / 5个月以前发布,49.8,"6,563元/平"
一楼带院双开门 院面积很大 房子位置佳 配套齐全,城中建筑公司宿舍 -西城区,4室2厅 | 96平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,24人关注 / 一年前发布,98,"10,209元/平"
别墅区，泗河湖畔，有田有地有庭院，环境优美,龙玺·香醍溪谷 -兖州区,3室2厅 | 131.25平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板楼,0人关注 / 一年前发布,122,"9,296元/平"
东闸社区  三室一厅  不沿街 成意出售,高新区东闸居委宿舍 -济北区,3室1厅 | 85.34平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,75,"8,789元/平"
急售！户型好，楼层好，有钥匙随时看房,望月湾 -南池区,3室2厅 | 118平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,2人关注 / 7个月以前发布,102,"8,645元/平"
党校西临单位宿舍二楼 79平 3室1厅 户型合理 停车方便,三神庙小区 -西城区,3室1厅 | 78.13平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,0人关注 / 3个月以前发布,64,"8,192元/平"
开泰花园精装小高层，业主诚心出售！,开泰花园 -西城区,3室2厅 | 117.22平米 | 南 北 | 精装 | 高楼层(共12层)  | 板楼,6人关注 / 一年前发布,108,"9,214元/平"
九九花园电梯房 精装修 3室 诚心出售,九九花园 -西城区,3室1厅 | 100.4平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,3人关注 / 5个月以前发布,87,"8,666元/平"
鲁商运河公馆好楼层3室2厅1卫有储毛坯花园小区,鲁商运河公馆 -南池区,3室2厅 | 102.69平米 | 南 | 毛坯 | 低楼层(共34层)  | 塔楼,0人关注 / 2个月以前发布,108.7,"10,586元/平"
西岸华府116平 3室2厅 全明户型 采光好 霍家街,西岸华府 -西城区,3室1厅 | 115.66平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板塔结合,1人关注 / 3个月以前发布,96,"8,301元/平"
碧桂圆房主过户两室两厅精装修楼层好能贷款,邹城碧桂园 -邹城市,2室2厅 | 89平米 | 南 | 精装 | 高楼层(共30层)  | 塔楼,1人关注 / 1个月以前发布,66,"7,416元/平"
满五，有车位，精装，价格很合适，无抵押,華宸金水湾 -南池区,3室2厅 | 161平米 | 南 | 精装 | 低楼层(共29层)  | 板塔结合,0人关注 / 1个月以前发布,145,"9,007元/平"
淮河工程局宿舍3-2-1-1 110.00m² 99 万,淮河工程局宿舍 -西城区,3室2厅 | 110平米 | 南 | 精装 | 高楼层(共5层)  | 板塔结合,1人关注 / 4个月以前发布,95,"8,637元/平"
依圣苑三室两厅一厨一卫满五唯一带储藏室，价格可议。,依圣苑 -邹城市,3室2厅 | 83平米 | 南 | 简装 | 中楼层(共5层)  | 板塔结合,6人关注 / 一年前发布,33,"3,976元/平"
山推一区65平，两室全阳台，中等装修，地上储藏室,山推一区 -万达区,2室1厅 | 65.88平米 | 南 北 | 简装 | 中楼层(共4层)  | 暂无数据,9人关注 / 一年前发布,56,"8,501元/平"
太白路精装三室，税少，户型方正绿化好,中海城 -西城区,3室2厅 | 125平米 | 南 北 | 简装 | 高楼层(共33层)  | 板塔结合,1人关注 / 10个月以前发布,136,"10,880元/平"
房子位置好， 采光充足，配套设施齐全，有钥匙,瑞马名门 -济北区,4室2厅 | 164平米 | 南 | 毛坯 | 低楼层(共28层)  | 板塔结合,3人关注 / 7个月以前发布,240,"14,635元/平"
大市证上学方便，交通便利，配套成熟，三室可贷款,安阜街小区 -西城区,3室1厅 | 72平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 8个月以前发布,129,"17,917元/平"
济宁恒大名都  户型很好 有钥匙看房方便 有证可贷款,济宁恒大名都 -北湖区,3室2厅 | 136平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,10人关注 / 一年前发布,137,"10,074元/平"
涌泰澜湾 3室2厅 南 北,涌泰澜湾 -北湖区,3室2厅 | 138平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,1人关注 / 4个月以前发布,193,"13,986元/平"
昌平小区  简单装修  三室两厅2楼 70.9万,昌平小区 -邹城市,3室2厅 | 103平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 10个月以前发布,69.6,"6,758元/平"
三室两厅两个卧室朝阳，楼层好采光好，满五,中区教育局宿舍（环城西路58号） -西城区,3室2厅 | 86平米 | 南 | 简装 | 中楼层(共4层)  | 平房,1人关注 / 11个月以前发布,73,"8,489元/平"
西岸华府霍家街小新房毛坯户型好好装修,西岸华府 -西城区,3室1厅 | 123平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,1人关注 / 6个月以前发布,100,"8,131元/平"
新华小区 3室1厅 南,新华小区 -南池区,3室1厅 | 104平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,92,"8,847元/平"
冠亚星城，三室两厅好房子，户型好，看房方便,冠亚星城 -济北区,3室2厅 | 113平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 8个月以前发布,111,"9,824元/平"
济宁孝养城 3室1厅 南 北,济宁孝养城 -南池区,3室1厅 | 108.99平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板楼,0人关注 / 8个月以前发布,97.8,"8,974元/平"
新出，北城国际，毛坯，复式房，带一个露台！,北城国际 -济北区,4室2厅 | 164.5平米 | 北 南 | 毛坯 | 高楼层(共11层)  | 板楼,21人关注 / 一年前发布,140,"8,511元/平"
刚需低价三室，采光好，通风好，出行方便，购物便利,益民西区 -西城区,3室2厅 | 114平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,10人关注 / 一年前发布,82,"7,193元/平"
新房未入住，毛坯，好楼层，带储藏室，看房方便随时约,学府壹号院 -邹城市,3室2厅 | 136.15平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 暂无数据,1人关注 / 3个月以前发布,119,"8,741元/平"
济宁任城区  高楼层  视野好  价格低  精装修  十五中,济宁孝养城 -南池区,3室1厅 | 100.72平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,1人关注 / 9个月以前发布,118,"11,716元/平"
低楼层 有储藏室 养老 上学方便,金山花园 -邹城市,2室2厅 | 95平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,3人关注 / 10个月以前发布,87,"9,158元/平"
东门15华锦苑4室南北向通透看房方便,青年城三期华锦苑 -南池区,4室2厅 | 134.91平米 | 南 北 | 毛坯 | 高楼层(共9层)  | 暂无数据,1人关注 / 5个月以前发布,175,"12,972元/平"
华锦苑 4室2厅 户型方正  配套设施齐全,青年城三期华锦苑 -南池区,4室2厅 | 138.32平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板塔结合,3人关注 / 一年前发布,169,"12,219元/平"
4楼好楼层，房子南北方向通透，看房方便有钥匙,外塘子街居民宿舍 -南池区,3室1厅 | 76平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,4人关注 / 8个月以前发布,69,"9,079元/平"
外塘子街居民宿舍 3室1厅 南,外塘子街居民宿舍 -南池区,3室1厅 | 75.7平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 5个月以前发布,72,"9,512元/平"
三室一厅，户型方正，满五唯一，单位宿舍，没有公摊。,新华小区 -南池区,3室1厅 | 75平米 | 南 北 | 简装 | 高楼层(共5层)  | 板塔结合,0人关注 / 3个月以前发布,52,"6,934元/平"
格局合理，采光好，居住舒适，配套齐全，,济宁孝养城 -南池区,4室2厅 | 137平米 | 南 | 毛坯 | 低楼层(共34层)  | 板楼,0人关注 / 6个月以前发布,126,"9,198元/平"
祥生东方樾经典四室四叶草户型带车位储藏室毛坯可贷款,祥生东方樾 -邹城市,4室2厅 | 128平米 | 南 | 毛坯 | 中楼层(共11层)  | 暂无数据,0人关注 / 2个月以前发布,95,"7,422元/平"
急售南池御都132平南北通透交通方便配套成熟,南池御都 -南池区,3室1厅 | 132.08平米 | 南 北 | 毛坯 | 高楼层(共28层)  | 板楼,0人关注 / 9个月以前发布,151,"11,433元/平"
学府花园洋房 带储128平 诚意出售 支持贷款,学府花园 -邹城市,3室2厅 | 126.93平米 | 南 | 毛坯 | 低楼层(共11层)  | 暂无数据,4人关注 / 10个月以前发布,79,"6,224元/平"
青年城三期华锦苑 4室2厅 南,青年城三期华锦苑 -南池区,4室2厅 | 137平米 | 南 | 简装 | 高楼层(共9层)  | 暂无数据,0人关注 / 2个月以前发布,159,"11,606元/平"
怡新苑 2室1厅 南 北,怡新苑 -邹城市,2室1厅 | 76.22平米 | 南 北 | 简装 | 低楼层(共5层)  | 暂无数据,0人关注 / 3个月以前发布,60,"7,872元/平"
枣店阁小区三室低楼层好户型出售,枣店阁小区 -南池区,3室1厅 | 71.63平米 | 南 | 简装 | 中楼层(共4层)  | 板楼,9人关注 / 一年前发布,65,"9,075元/平"
房子观景房，户型很合理，根据情况中间楼层,南池御都 -南池区,4室1厅 | 136.17平米 | 南 | 毛坯 | 中楼层(共28层)  | 暂无数据,0人关注 / 6个月以前发布,142.9,"10,495元/平"
望月湾 墅境洋房  户型方正  看房方便,望月湾 -南池区,4室2厅 | 130平米 | 南 北 | 毛坯 | 低楼层(共10层)  | 板楼,0人关注 / 10个月以前发布,149,"11,462元/平"
旁边配套丰富，饭店、医院、等生活设施一应俱全,鳳凰城C区 -南池区,3室1厅 | 99平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 暂无数据,5人关注 / 9个月以前发布,102,"10,304元/平"
电业局宿舍 2室2厅 南 北,电业局宿舍 -西城区,2室2厅 | 98平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,90,"9,184元/平"
两室朝阳，配套齐全，交通便利，成熟商圈,九巨龙·华欣苑 -南池区,3室2厅 | 119.98平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,4人关注 / 5个月以前发布,116,"9,669元/平"
德建雅居中间楼层，精装修，房龄新，环境优美。,德建雅居 -济北区,2室2厅 | 99平米 | 南 北 | 简装 | 低楼层(共33层)  | 板楼,1人关注 / 3个月以前发布,110,"11,112元/平"
翡翠名郡  带车位 好楼层 四室两厅两卫  随心装,翡翠名郡 -邹城市,4室2厅 | 133平米 | 南 | 毛坯 | 高楼层(共9层)  | 暂无数据,1人关注 / 一年前发布,139,"10,452元/平"
小区内环境优美绿化漂亮适合老人上班族和孩子居住,鲁商运河公馆 -南池区,3室2厅 | 110平米 | 南 北 | 精装 | 中楼层(共34层)  | 板塔结合,4人关注 / 一年前发布,126,"11,455元/平"
