标题,开发商,房子信息,发布信息,售价/万,单价
绿地二期 好房出售 中间楼层 产证满二 可按揭价格便宜,智慧金融城H区 -兰州新区,3室2厅 | 105.75平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 板楼,0人关注 / 17天以前发布,62,"5,863元/平"
民族花苑小区 4室2厅 东 西,民族花苑小区 -五泉广场,4室2厅 | 152.12平米 | 东 西 | 简装 | 低楼层(共13层)  | 暂无数据,1人关注 / 一年前发布,199.8,"13,135元/平"
火车站南北通透三室两厅两卫中等楼层 待装电梯,甘肃省国防公办家属院 -兰大盘旋路,3室2厅 | 87.25平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,1人关注 / 3个月以前发布,132,"15,129元/平"
全朝南格局，电梯房，小区环境好，楼层好,百合苑 -西固城,2室2厅 | 107.05平米 | 南 | 简装 | 中楼层(共29层)  | 板楼,0人关注 / 6个月以前发布,106,"9,902元/平"
金城公园门口 框架结构 临街地段 可按揭 闹中取静,天华院家属院 -西固城,2室2厅 | 61.08平米 | 南 北 | 其他 | 中楼层(共8层)  | 暂无数据,0人关注 / 一年前发布,70,"11,461元/平"
中海兰庭 四室两厅 南北通透 精装修 随时看房,中海兰庭 -安宁高新区,4室2厅 | 142平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,210,"14,789元/平"
精装修 ，落地窗 ，正规三室 ，拎包入住，有衣帽间，,梅园小区 -五泉广场,3室2厅 | 124.81平米 | 西南 | 精装 | 低楼层(共18层)  | 板塔结合,11人关注 / 9个月以前发布,98,"7,852元/平"
此房是精装修的，三室两厅一厨两卫，光线充足,保利领秀山一区 -十里店,3室2厅 | 137.26平米 | 南 北 | 精装 | 中楼层(共25层)  | 板楼,4人关注 / 一年前发布,103,"7,505元/平"
桃园小区三室两厅两卫 南北通透 168平155万,桃园小区(西固区) -西固城,3室2厅 | 162.38平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,3人关注 / 一年前发布,130,"8,006元/平"
西关 南关 电梯房 三房两卫 采光好 南北通透,浩森银座（白银路） -五泉广场,3室2厅 | 162.04平米 | 南 北 | 精装 | 高楼层(共15层)  | 板楼,0人关注 / 4个月以前发布,210,"12,960元/平"
北岸公馆 3室2厅 南 北,北岸公馆 -安宁庭院,3室2厅 | 136平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,175,"12,868元/平"
南厂小区 中间楼层，户型正规 采光好,铁路南场小区（建西西路） -西站,2室2厅 | 67平米 | 东 西 | 简装 | 中楼层(共8层)  | 板塔结合,13人关注 / 一年前发布,69.8,"10,418元/平"
出售 绿地智慧金融城H区 三室两厅  可按揭可全款,智慧金融城H区 -兰州新区,3室2厅 | 102.52平米 | 南 北 | 简装 | 中楼层(共28层)  | 板楼,1人关注 / 一年前发布,70,"6,828元/平"
户型方正，诚心出售，看房子比较方便,中国科学院兰州分院范家湾住宅小区 -东部,3室2厅 | 141.78平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,120,"8,464元/平"
看房方便，视野采光好，看房方便，有产权可按揭,幸福家园(安宁区) -莫高大道,2室1厅 | 87.27平米 | 南 | 简装 | 中楼层(共28层)  | 板楼,0人关注 / 一年前发布,109.9,"12,594元/平"
小区成熟 交通便利 看房方便  业主急售,长风东苑小区 -安宁高新区,2室1厅 | 63.12平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,4人关注 / 一年前发布,55,"8,714元/平"
五里铺 三室一厅 全明户型 电梯房 小区配套设施齐全,甘肃省化工研究院家属院 -兰大盘旋路,3室1厅 | 85平米 | 西北 | 简装 | 低楼层(共16层)  | 暂无数据,2人关注 / 8个月以前发布,144,"16,942元/平"
户型方正，南北通透，小区带人公湖。,金河丽园 -交大,3室1厅 | 118.39平米 | 南 北 | 简装 | 中楼层(共26层)  | 板楼,7人关注 / 一年前发布,159,"13,431元/平"
南关西关 省政府 地铁站 老年公园 南北通透 可按揭,兰州城投水岸茗苑 -西关南关,3室2厅 | 128平米 | 南 北 | 精装 | 低楼层(共12层)  | 暂无数据,25人关注 / 一年前发布,198,"15,469元/平"
欣欣嘉园西区，花园式小区，三室拎包入户好房急售,欣欣嘉园（西区） -东部,3室2厅 | 132.97平米 | 南 北 | 精装 | 高楼层(共31层)  | 板楼,7人关注 / 10个月以前发布,189,"14,214元/平"
安宁区万欣家园中间楼层精装修拎包入住店长推荐,万欣家园 -费家营,3室2厅 | 105.46平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,6人关注 / 8个月以前发布,105,"9,957元/平"
仁恒·晶城住宅小区 3室2厅 东南,仁恒·晶城住宅小区 -西关南关,3室2厅 | 127.67平米 | 东南 | 简装 | 中楼层(共33层)  | 塔楼,2人关注 / 6个月以前发布,245,"19,191元/平"
中海河山郡毛坯高层 南北朝向  采光好,中海·河山郡 -莫高大道,3室2厅 | 112.82平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板楼,3人关注 / 10个月以前发布,124,"10,991元/平"
马滩蓝岸丽舍 兰州老街旁 地铁口 环境优美交通便利,蓝岸丽舍 -金港城,3室2厅 | 133.13平米 | 南 北 | 毛坯 | 低楼层(共31层)  | 板楼,3人关注 / 一年前发布,165,"12,394元/平"
万达旁 天庆国际新城 三室 精装 光好 交通便利,天庆国际新城 -深沟桥,3室2厅 | 123.69平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,4人关注 / 一年前发布,139,"11,238元/平"
中鹏佳园  正规3室1厅 客厅卧室朝南 家具家电都有了,中鹏佳园 -天鹅湖,3室1厅 | 99.9平米 | 南 北 | 其他 | 中楼层(共8层)  | 板楼,3人关注 / 一年前发布,94.5,"9,460元/平"
出售 绿地智慧金融城H区 三室两厅  可按揭可全款,智慧金融城H区 -兰州新区,3室2厅 | 102.52平米 | 南 北 | 简装 | 中楼层(共28层)  | 板楼,1人关注 / 一年前发布,70,"6,828元/平"
北岸公馆 3室2厅 南 北,北岸公馆 -安宁庭院,3室2厅 | 136平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,175,"12,868元/平"
五里铺 三室一厅 全明户型 电梯房 小区配套设施齐全,甘肃省化工研究院家属院 -兰大盘旋路,3室1厅 | 85平米 | 西北 | 简装 | 低楼层(共16层)  | 暂无数据,2人关注 / 8个月以前发布,144,"16,942元/平"
户型方正，诚心出售，看房子比较方便,中国科学院兰州分院范家湾住宅小区 -东部,3室2厅 | 141.78平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,120,"8,464元/平"
户型方正，南北通透，小区带人公湖。,金河丽园 -交大,3室1厅 | 118.39平米 | 南 北 | 简装 | 中楼层(共26层)  | 板楼,7人关注 / 一年前发布,159,"13,431元/平"
看房方便，视野采光好，看房方便，有产权可按揭,幸福家园(安宁区) -莫高大道,2室1厅 | 87.27平米 | 南 | 简装 | 中楼层(共28层)  | 板楼,0人关注 / 一年前发布,109.9,"12,594元/平"
西关 南关 电梯房 三房两卫 采光好 南北通透,浩森银座（白银路） -五泉广场,3室2厅 | 162.04平米 | 南 北 | 精装 | 高楼层(共15层)  | 板楼,0人关注 / 4个月以前发布,210,"12,960元/平"
小区成熟 交通便利 看房方便  业主急售,长风东苑小区 -安宁高新区,2室1厅 | 63.12平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,4人关注 / 一年前发布,55,"8,714元/平"
雁滩鸿运润园精装修3室 交通方便 环境优美,鸿运润园 -北面滩,3室2厅 | 148.34平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,7人关注 / 一年前发布,270,"18,202元/平"
南关西关 省政府 地铁站 老年公园 南北通透 可按揭,兰州城投水岸茗苑 -西关南关,3室2厅 | 128平米 | 南 北 | 精装 | 低楼层(共12层)  | 暂无数据,25人关注 / 一年前发布,198,"15,469元/平"
仁恒·晶城住宅小区 3室2厅 东南,仁恒·晶城住宅小区 -西关南关,3室2厅 | 127.67平米 | 东南 | 简装 | 中楼层(共33层)  | 塔楼,2人关注 / 6个月以前发布,245,"19,191元/平"
鸿运润园  150.79平电梯3房 产证在手 之前自住房,鸿运润园 -北面滩,4室2厅 | 150.79平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,14人关注 / 一年前发布,245,"16,248元/平"
正规两室两厅 精装修 中间楼层 采光充足,三毛小区 -兰炼十字,3室2厅 | 70.09平米 | 东 西 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,73.5,"10,487元/平"
西站地铁口中天健旁兰石小区产权清晰可按揭,兰石小区(柳家营) -仁恒美林郡,3室2厅 | 139.06平米 | 南 西 北 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 8个月以前发布,177,"12,729元/平"
碧桂园 剑桥郡 精装修 三室两厅 南北通透 采光好,剑桥郡 -碧桂园,3室2厅 | 135.17平米 | 南 北 | 精装 | 低楼层(共30层)  | 板楼,2人关注 / 9个月以前发布,119,"8,804元/平"
庆阳路   广场西口电梯房     三室两厅,招银大厦 -东方红广场,4室2厅 | 169.39平米 | 南 北 | 简装 | 高楼层(共25层)  | 塔楼,1人关注 / 一年前发布,250,"14,759元/平"
兰公馆 2室2厅 南,兰公馆 -西关南关,2室2厅 | 109平米 | 南 | 精装 | 低楼层(共42层)  | 板楼,2人关注 / 一年前发布,218,"20,000元/平"
荣华小区 50平米大平台 东西朝向 精装修,荣华小区 -仁恒美林郡,3室2厅 | 106.57平米 | 东 西 | 精装 | 低楼层(共9层)  | 暂无数据,1人关注 / 10个月以前发布,150,"14,076元/平"
七里河  地铁口   3室2厅  电梯房 东南朝向 单价低,七里河水电小区 -建工局,3室2厅 | 143.35平米 | 东南 | 精装 | 低楼层(共33层)  | 板塔结合,29人关注 / 一年前发布,155,"10,813元/平"
房东诚心出售···甘肃省水电设计院家属院,甘肃省水电设计院家属院 -东方红广场,3室1厅 | 71.53平米 | 东 南 西 | 简装 | 低楼层(共7层)  | 板楼,8人关注 / 7个月以前发布,123,"17,196元/平"
品质小区 环境优美 业主诚心出售 精装修 户型方正,欣欣嘉园（东区） -东部,4室2厅 | 172.2平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 5个月以前发布,230,"13,357元/平"
建工局    电力多经局2室2厅  朝东简装,电力多经局小区 -建工局,2室2厅 | 82.74平米 | 东 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,93,"11,241元/平"
保利现房 可按揭，中间楼层 南北通透,保利领秀山一区 -十里店,3室2厅 | 134.33平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板楼,5人关注 / 一年前发布,80,"5,956元/平"
新港城 精装修 南北通透 附带85平顶层露台,新港城 -北面滩,4室2厅 | 170.11平米 | 北 南 | 简装 | 高楼层(共6层)  | 暂无数据,3人关注 / 11个月以前发布,256,"15,050元/平"
西站 中天健 荣华小区 电梯低价出售,荣华小区 -仁恒美林郡,3室2厅 | 128.74平米 | 东 | 精装 | 高楼层(共9层)  | 暂无数据,2人关注 / 3个月以前发布,133,"10,331元/平"
繁华地段，交通便利 ，商圈成熟。,环卫小区 -天鹅湖,3室1厅 | 107.77平米 | 南 北 | 其他 | 中楼层(共8层)  | 板楼,0人关注 / 一年前发布,93,"8,630元/平"
新港城E区  大平层 南北通透 中间楼层 随时可看,新港城E区 -北面滩,4室2厅 | 184.17平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,10人关注 / 一年前发布,230,"12,489元/平"
精装修 中间楼层 南北通透 视野开阔 采光无遮挡,金川•聚金雅园 -北面滩,3室2厅 | 128.73平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 10个月以前发布,160,"12,430元/平"
合水嘉园 3室2厅 南,合水嘉园 -西固城,3室2厅 | 101.78平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,5人关注 / 8个月以前发布,93,"9,138元/平"
电梯房  朝向好  通风透气   交通便利,东苑小区 -西固城,2室2厅 | 93平米 | 东 南 | 其他 | 高楼层(共24层)  | 板楼,1人关注 / 6个月以前发布,95,"10,216元/平"
地段好房，南北通透，格局方正 配套成熟  精装修,粮食局家属院（吴家园） -吴家园,3室2厅 | 144平米 | 南 北 | 精装 | 低楼层(共9层)  | 板楼,5人关注 / 一年前发布,150,"10,417元/平"
安宁 科教城东区 四室 电梯房 南北通透,科教城東苑 -交大,4室2厅 | 178.97平米 | 南 北 | 简装 | 高楼层(共11层)  | 板楼,7人关注 / 8个月以前发布,230,"12,852元/平"
出售碧桂园城市花园 三室两厅 毛坯房  设施齐全。,碧桂园城市花园 -兰州新区,3室2厅 | 109.84平米 | 南 北 | 简装 | 高楼层(共32层)  | 板楼,2人关注 / 一年前发布,70,"6,373元/平"
出售碧桂园城市花园 四室两厅一厨两卫 毛坯 中间楼层,碧桂园城市花园 -兰州新区,4室2厅 | 128.76平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 板楼,1人关注 / 一年前发布,79,"6,136元/平"
段家滩住宅小区 电梯三室  精装修 看房方便 可按揭,省七建集团段家滩住宅小区 -段家滩,3室2厅 | 170.64平米 | 南 | 简装 | 中楼层(共20层)  | 板楼,4人关注 / 一年前发布,158,"9,260元/平"
安宁 保利 现房 产权清晰可按揭 高档小区山景房,保利领秀山一区 -十里店,3室2厅 | 137.26平米 | 南 北 | 毛坯 | 低楼层(共25层)  | 板楼,3人关注 / 一年前发布,88,"6,412元/平"
此房格局好，全朝南的户型，中低楼层，采光好,兰州车辆厂家属院 -十里店,3室2厅 | 127.7平米 | 南 北 | 简装 | 高楼层(共6层)  | 平房,0人关注 / 2个月以前发布,100,"7,831元/平"
满五不唯一  户型好  没有浪费面积  采光好  交通便利,潭园小区西院 -西关南关,3室2厅 | 131.68平米 | 东南 西 | 简装 | 高楼层(共9层)  | 板楼,2人关注 / 11个月以前发布,141.2,"10,723元/平"
十里店 电梯小两室 有客厅 看房提前预约 采光好,实创现代城 -安宁庭院,2室1厅 | 63.3平米 | 南 西北 | 简装 | 低楼层(共16层)  | 板楼,14人关注 / 一年前发布,78,"12,323元/平"
出售碧桂园城市花园 四室两厅两卫 中间楼层 采光好。,碧桂园城市花园 -兰州新区,4室2厅 | 128.76平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 板楼,0人关注 / 一年前发布,76,"5,903元/平"
十里店成熟地段，户型方正，采光佳，可按揭,康宁家园 -师大,2室1厅 | 84.3平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,1人关注 / 一年前发布,91,"10,795元/平"
广武门十字 秦安路 华富小区 电梯房 产权按揭,华富小区（秦安路） -东方红广场,3室2厅 | 126平米 | 东 | 精装 | 高楼层(共19层)  | 塔楼,5人关注 / 6个月以前发布,188,"14,921元/平"
财大家属院 环境书香氛围 小区环境舒适,兰州财经大学家属院东区 -段家滩,1室1厅 | 52.22平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,1人关注 / 10个月以前发布,64.3,"12,314元/平"
房子采光没有影响，带平台，配套齐全,中集青春里 -莫高大道,2室2厅 | 99.35平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 7个月以前发布,129.9,"13,075元/平"
正规三室一厅，适宜老人孩子居住,合水嘉园 -西固城,3室1厅 | 101.78平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,3人关注 / 一年前发布,98,"9,629元/平"
碧桂园一期小三居  中间楼层  视野好,剑桥郡 -碧桂园,3室1厅 | 99.27平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,1人关注 / 7个月以前发布,85,"8,563元/平"
凯悦酒店旁 金色堤岸 两室一厅 水车园 35  精装修,金色堤岸 -东方红广场,2室1厅 | 64.25平米 | 东 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 1个月以前发布,175,"27,238元/平"
世纪新村D区 3室1厅 东 西,世纪新村D区 -东部,3室1厅 | 113.75平米 | 东 西 | 简装 | 中楼层(共16层)  | 板塔结合,0人关注 / 2个月以前发布,90,"7,913元/平"
城关区 黄河北 九州花坛 精装修 南北通透,阳光家园西区 -九州,2室2厅 | 83.59平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,25人关注 / 一年前发布,66.8,"7,992元/平"
临洮街小区  精装两室一厅 明厨明卫可拎包入住,临洮街小区 -西固城,2室2厅 | 52.02平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,0人关注 / 3个月以前发布,54,"10,381元/平"
正规两室两厅，户型方正  采光好 楼层好  满五唯一,学生城住宅 -师大,2室2厅 | 109.72平米 | 东 西 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,93,"8,477元/平"
西固城   位置精装电梯好房出售,合水嘉园 -西固城,3室1厅 | 99.83平米 | 南 北 | 其他 | 中楼层(共9层)  | 板楼,0人关注 / 2个月以前发布,95,"9,517元/平"
采光好     南北通透      环境好      生活便利,南山小区 -西固城,2室2厅 | 105.09平米 | 南 北 | 简装 | 低楼层(共7层)  | 暂无数据,0人关注 / 5个月以前发布,115,"10,944元/平"
雁滩新港城三室出售给楼顶花园可自住可出租,新港城 -北面滩,3室2厅 | 144.66平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,2人关注 / 5个月以前发布,223,"15,416元/平"
西关解放门翠英门小区电梯房 急售 三室两厅产权清晰,萃英门小区 -文化宫,3室2厅 | 158.91平米 | 西 | 精装 | 低楼层(共28层)  | 板塔结合,4人关注 / 一年前发布,210,"13,216元/平"
东苑小区，电梯房，朝南，中高楼层,东苑小区 -西固城,2室1厅 | 94平米 | 南 | 简装 | 高楼层(共24层)  | 板楼,0人关注 / 6个月以前发布,101,"10,745元/平"
新上兰州老街好房，你肯定喜欢，赞！,惠苑小区（西津西路） -郑家庄,3室2厅 | 111.41平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,5人关注 / 9个月以前发布,103,"9,246元/平"
南关十字电梯3室，全新高档装修，拎包入住，近地铁，,澳兰名门 -西关南关,3室2厅 | 138.64平米 | 西南 | 精装 | 低楼层(共30层)  | 塔楼,1人关注 / 3个月以前发布,198,"14,282元/平"
桃园小区精装三室两卫南北通透二胎必选,桃园小区(西固区) -西固城,3室2厅 | 161.37平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 一年前发布,158,"9,792元/平"
兰州城关区碧桂园二期大三居业主二次装修拎包入住,伊顿郡 -碧桂园,3室2厅 | 133.27平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,4人关注 / 一年前发布,118,"8,855元/平"
广武门 金昌北路和南滨河东路交叉口 南北通透,金色堤岸 -东方红广场,4室2厅 | 126.17平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,1人关注 / 2个月以前发布,466,"36,935元/平"
通渭路 十九 两室南北 精装婚房 电梯房！准电梯房！,中信小区(通渭路) -西关南关,2室2厅 | 126.47平米 | 南 北 | 简装 | 高楼层(共9层)  | 板楼,11人关注 / 10个月以前发布,185,"14,628元/平"
绿地三期学府大境   南北通透  毛坯,绿地智慧金融城学府大境 -兰州新区,3室2厅 | 107.65平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 一年前发布,61.8,"5,741元/平"
福临小区     两室 采光充足房子干净整齐,福临小区 -西固城,2室1厅 | 64平米 | 东 | 简装 | 高楼层(共4层)  | 板楼,4人关注 / 一年前发布,75,"11,719元/平"
兰州城关区碧桂园二期大三居业主二次装修拎包入住,伊顿郡 -碧桂园,3室2厅 | 133.27平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,4人关注 / 一年前发布,118,"8,855元/平"
秦安路 电梯小高层  三室两厅  南北朝向  可按揭,宜静园 -东方红广场,3室2厅 | 161.35平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,2人关注 / 6个月以前发布,329,"20,391元/平"
悦欣小区 电梯房 精装修  3室2厅2卫,兰州石化悦欣小区 -西固城,3室2厅 | 169.21平米 | 南 北 | 其他 | 高楼层(共30层)  | 暂无数据,1人关注 / 一年前发布,185,"10,934元/平"
BRT主干道 CBD旁 单位缩水房 精装修三室 产权清晰,安宁地税局家属院 -刘家堡,3室2厅 | 92.7平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,115,"12,406元/平"
南关十字电梯3室，全新高档装修，拎包入住，近地铁，,澳兰名门 -西关南关,3室2厅 | 138.64平米 | 西南 | 精装 | 低楼层(共30层)  | 塔楼,1人关注 / 3个月以前发布,198,"14,282元/平"
新上兰州老街好房，你肯定喜欢，赞！,惠苑小区（西津西路） -郑家庄,3室2厅 | 111.41平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,5人关注 / 9个月以前发布,103,"9,246元/平"
新区 鹏博风情广场 南北通透 户型正规,鹏博·风情广场 -兰州新区,3室2厅 | 112.71平米 | 南 北 | 精装 | 高楼层(共16层)  | 板楼,0人关注 / 3个月以前发布,84,"7,453元/平"
雁滩高新区  国泰嘉园三居室出售,国泰嘉园 -雁滩高新区,3室2厅 | 135.05平米 | 南 北 | 简装 | 高楼层(共26层)  | 板楼,0人关注 / 4个月以前发布,162,"11,996元/平"
东岗地铁口 精装婚房 产权清晰 可按揭,世纪新村A区 -东部,3室2厅 | 124.95平米 | 南 北 | 精装 | 高楼层(共11层)  | 板塔结合,4人关注 / 一年前发布,120,"9,604元/平"
桃园小区精装三室两卫南北通透二胎必选,桃园小区(西固区) -西固城,3室2厅 | 161.37平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 一年前发布,158,"9,792元/平"
兰石润安 两室两厅  南北通透 视野开阔 交通便利,兰石润安小区 -仁恒美林郡,2室2厅 | 94.23平米 | 南 北 | 简装 | 低楼层(共8层)  | 板楼,2人关注 / 9个月以前发布,115,"12,205元/平"
正规三室一厅，适宜老人孩子居住,合水嘉园 -西固城,3室1厅 | 101.78平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,3人关注 / 一年前发布,98,"9,629元/平"
碧桂园一期小三居  中间楼层  视野好,剑桥郡 -碧桂园,3室1厅 | 99.27平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,1人关注 / 7个月以前发布,85,"8,563元/平"
南北通透 户型方正产权清晰透明精装修拎包入住,金利花园五号区 -九州,3室2厅 | 95.96平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,11人关注 / 一年前发布,72,"7,504元/平"
植物园旁，南北通透，精装修，看房方便,丰宁德尚 -安宁高新区,3室2厅 | 160.59平米 | 南 北 | 简装 | 低楼层(共22层)  | 板楼,0人关注 / 9个月以前发布,170,"10,586元/平"
房子精装修，采光好，中高楼层，有意者联系,智慧金融城F区 -兰州新区,3室2厅 | 140平米 | 南 北 | 精装 | 中楼层(共29层)  | 板楼,4人关注 / 一年前发布,119,"8,500元/平"
南关 省保育院 静宁路 框架高层 户型方正,华玺花园 -西关南关,3室1厅 | 125.45平米 | 东 南 西 | 简装 | 高楼层(共10层)  | 板楼,5人关注 / 7个月以前发布,168,"13,392元/平"
东部市场 地铁沿线 房子方正H户型 产权清晰,甘肃省疾病预防控制中心家属院 -段家滩,2室1厅 | 104.76平米 | 东 西 | 简装 | 中楼层(共8层)  | 塔楼,0人关注 / 一年前发布,115,"10,978元/平"
旧大路 省政府家属院 电梯 有院子能停车,甘肃省政府家属院(旧大路) -兰大盘旋路,2室2厅 | 89平米 | 西南 | 简装 | 高楼层(共8层)  | 板塔结合,2人关注 / 一年前发布,143,"16,068元/平"
房子南北通透，采光好，交通方便。,阳光家园一区 -九州,3室2厅 | 107.88平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 10个月以前发布,76,"7,045元/平"
急售瑞玲雅苑简装两室南北通透，采光充足，交通便利,瑞岭雅苑 -兰州新区,2室2厅 | 95.26平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,2人关注 / 8个月以前发布,62,"6,509元/平"
大润发档案局家属院 南北通透中间楼层 户型方正可按揭,档案局家属院 -万达大润发,2室2厅 | 78.79平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,110,"13,962元/平"
二热  阳光大三居 带小区停车位,佳裕小区东区 -二热,3室2厅 | 127.95平米 | 东南 西 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 2个月以前发布,110,"8,598元/平"
环卫小区 可按揭 产权清晰 电梯房 交通便利,环卫小区 -天鹅湖,3室2厅 | 144.01平米 | 东 西 | 简装 | 中楼层(共8层)  | 板楼,1人关注 / 一年前发布,146,"10,139元/平"
北滩油库家属院   低楼层   适合 老人住住  小孩上学,北滩油库家属院(西固区) -深沟桥,3室2厅 | 44.66平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,49,"10,972元/平"
南北通透 采光好 看房方便 生活便利,南山小区 -西固城,2室2厅 | 80.55平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,114,"14,153元/平"
西固城4室2厅 中间楼层 可按揭 生活便利,金桥小区 -西固城,3室2厅 | 147.09平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,122,"8,295元/平"
房子简单装修，房子满五不唯一，采光视野无遮挡,新康花园 -海关,2室2厅 | 101.62平米 | 南 | 精装 | 高楼层(共21层)  | 板楼,0人关注 / 一年前发布,128,"12,596元/平"
海关旁边，价格优惠，户型方正，交通便利,银滩花园 -海关,3室2厅 | 123.75平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,7人关注 / 一年前发布,134,"10,829元/平"
房子精装修，可以拎包入住，业主保养到位，产权清晰,瑞南▪紫郡 -师大,3室2厅 | 121.97平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,16人关注 / 一年前发布,149.9,"12,290元/平"
地铁口  阳光小 学离您只有一步之遥   朝南,陽光怡园 -海关,2室2厅 | 91.02平米 | 南 | 简装 | 低楼层(共33层)  | 板楼,5人关注 / 一年前发布,108,"11,866元/平"
兴兰阳光里  南北通透 精装修 户型方正,兴兰阳光里 -海关,2室2厅 | 108.12平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,120,"11,099元/平"
户型方正，南北通透，配套齐全。业主诚心出售,陽光怡园 -海关,2室2厅 | 114.69平米 | 南 北 | 简装 | 低楼层(共33层)  | 板楼,3人关注 / 10个月以前发布,132,"11,510元/平"
景观优美，配套齐全，高品质的人文成熟社区。,瑞岭雅苑 -兰州新区,3室2厅 | 124.07平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 暂无数据,1人关注 / 6个月以前发布,83,"6,690元/平"
安宁海关天居金和丹堤精装修2居室,天居锦河丹堤 -海关,2室1厅 | 81.3平米 | 南 | 精装 | 低楼层(共13层)  | 板楼,1人关注 / 5个月以前发布,106,"13,039元/平"
佛慈商圈大沙坪电梯3室 精修保护完好 交通便利,甘南花园（五一山新村） -大沙坪,3室2厅 | 126.67平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,116,"9,158元/平"
此房产权满五唯一，南北户型，精装修，中间楼层。,天居锦河丹堤 -海关,3室2厅 | 100.07平米 | 东 西 | 精装 | 低楼层(共34层)  | 板楼,1人关注 / 3个月以前发布,148,"14,790元/平"
临洮街小区 电梯房 正规3室1厅  中间楼层 采光好,临洮街小区 -西固城,3室1厅 | 73.89平米 | 东 南 西 | 简装 | 中楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,69,"9,339元/平"
三室南北  高层 近地铁  商务区,中海凯旋门 -海关,3室2厅 | 87.13平米 | 南 北 | 简装 | 高楼层(共34层)  | 板楼,5人关注 / 7个月以前发布,135,"15,495元/平"
