标题,开发商,房子信息,发布信息,售价/万,单价
碧桂园  洋房5楼  通透格局 中等装修,通辽碧桂园 -经济技术开发区,3室1厅 | 101.75平米 | 南 北 | 其他 | 高楼层(共5层)  | 暂无数据,6人关注 / 一年前发布,66,"6,487元/平"
金龙苑视野宽阔，采光好成熟社区配套齐全,金龙苑 -老城区,2室1厅 | 48平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,23,"4,792元/平"
东方世纪城 步梯四楼 中等装修 三室拎包入住,东方世纪城 -老城区,3室1厅 | 96平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,69,"7,188元/平"
水域蓝湾电梯楼房，配套齐全，南北对流通透,水域蓝湾A区B区 -经济技术开发区,2室2厅 | 118平米 | 南 | 其他 | 低楼层(共11层)  | 暂无数据,1人关注 / 一年前发布,85,"7,204元/平"
弘扬南区，不是顶层，明仁南二。南北通透,弘扬南区 -老城区,2室1厅 | 72.6平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,53,"7,301元/平"
嘉和汇景湾电梯楼配套齐全采光充足诚心出售,嘉和汇景湾A区 -河西,2室1厅 | 84.07平米 | 南 北 | 其他 | 低楼层(共17层)  | 暂无数据,2人关注 / 一年前发布,59,"7,018元/平"
该房屋南北通透格局，配套设施齐全，交通便利,阿卡笛亚 -老城区,3室1厅 | 127平米 | 南 北 | 其他 | 低楼层(共27层)  | 塔楼,0人关注 / 一年前发布,87,"6,851元/平"
格局好   业主诚心售卖   地理位置优越,泽信水岸春城 -老城区,3室2厅 | 140平米 | 南 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,120,"8,572元/平"
利农小区步梯楼双校区简单装修三室看房随时,利农小区 -老城区,3室1厅 | 75.53平米 | 南 | 其他 | 高楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,43,"5,694元/平"
沈铁步梯2楼毛坯房 可随意装修 阔绰三室 房证满二,河畔花园C区 -经济技术开发区,3室1厅 | 140平米 | 南 | 其他 | 低楼层(共7层)  | 板楼,1人关注 / 一年前发布,82,"5,858元/平"
毛坯     大三居室    一楼,诚达龙庭国际C区 -老城区,3室2厅 | 133.4平米 | 南 北 | 其他 | 低楼层(共24层)  | 暂无数据,0人关注 / 一年前发布,118,"8,846元/平"
两室一厅一厨一卫，简单装修，可随时入住,世纪园小区西区 -铁南,2室1厅 | 79.8平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,22.5,"2,820元/平"
l楼层好   采光好   户型好,平安小区(科尔沁区) -老城区,2室1厅 | 135平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,72,"5,334元/平"
红星新城，步梯四楼，三室两卫，拎包入住,泽信·红星新城 -老城区,3室1厅 | 130平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,100,"7,693元/平"
该房屋视野宽阔 交通便利，电梯洋房,万华上都 -铁南,3室1厅 | 167平米 | 南 | 其他 | 高楼层(共11层)  | 暂无数据,0人关注 / 一年前发布,120,"7,186元/平"
婚房装修，品牌家具家电，适合陪读,京汉叫来河畔 -经济技术开发区,3室2厅 | 139.73平米 | 南 | 其他 | 中楼层(共23层)  | 暂无数据,1人关注 / 一年前发布,100,"7,157元/平"
嘉和汇景湾电梯楼配套齐全采光充足诚心出售,嘉和汇景湾A区 -河西,2室1厅 | 84.07平米 | 南 北 | 其他 | 低楼层(共17层)  | 暂无数据,2人关注 / 一年前发布,59,"7,018元/平"
小区环境不错 视野开阔 成熟社区 配套成熟 交通便利,世纪园小区东区 -铁南,2室1厅 | 78平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,45,"5,770元/平"
市中 心位置 交通生活便利 通透户型 拎包入住,永清二号 -老城区,2室1厅 | 104平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,55,"5,289元/平"
满五年 采光好 好楼层 无遮挡 实际面积大,林业家属楼 -老城区,2室1厅 | 50平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,24,"4,800元/平"
该房屋业主诚心出售  视野开阔 采光充足,附小家属小区 -老城区,3室1厅 | 69.54平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,56,"8,053元/平"
东方世纪城 3室2厅 南,东方世纪城 -老城区,3室2厅 | 138.8平米 | 南 | 其他 | 低楼层(共15层)  | 暂无数据,0人关注 / 一年前发布,97,"6,989元/平"
"两室一厅,通透格局,交通方便,配套设施齐全",世纪明珠 -老城区,2室1厅 | 90.5平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,49,"5,415元/平"
民主路南区 3室1厅 南,民主路南区 -铁南,3室1厅 | 94平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,50,"5,320元/平"
通透格局电厂大热 室内保持良好拎包入住,东顺路电厂小区 -老城区,2室1厅 | 93.69平米 | 东 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,46,"4,910元/平"
十五栋    南北通透   35   能贷款,十五栋 -铁南,2室1厅 | 51平米 | 南 北 | 其他 | 中楼层(共7层)  | 板塔结合,0人关注 / 一年前发布,35,"6,863元/平"
大型小区，小区干净整洁，配套齐全,民大住宅园区 -老城区,2室1厅 | 89.9平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,52,"5,785元/平"
采光好    楼层好    户型好,泽信希望小区 -老城区,2室1厅 | 96.28平米 | 北 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,60,"6,232元/平"
有故事的房子，花心思的家   永安五区双校区 看房随时,永安五区东 -铁南,2室1厅 | 64平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,38,"5,938元/平"
（京汉馨家3-1-1-1 112.03m² 95 万）,京汉馨家 -经济技术开发区,3室1厅 | 112.03平米 | 南 | 其他 | 中楼层(共17层)  | 暂无数据,1人关注 / 10个月以前发布,95,"8,480元/平"
京汉一期一楼带院 简单装修 拎包入住 房证过两年,京汉新城一期 -经济技术开发区,2室1厅 | 93平米 | 南 北 | 其他 | 低楼层(共5层)  | 暂无数据,2人关注 / 8个月以前发布,62.5,"6,721元/平"
温州花园 2室1厅 南,温州花园 -老城区,2室1厅 | 89.12平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,53,"5,948元/平"
翠堤城市花园西区 2室2厅 南,翠堤城市花园西区 -老城区,2室2厅 | 70平米 | 南 | 其他 | 高楼层(共7层)  | 板塔结合,3人关注 / 一年前发布,32.5,"4,643元/平"
交通便利  振兴村两室一厅 配套齐全,振兴商业村 -老城区,2室1厅 | 64平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,42,"6,563元/平"
楼层好，采光好，三室格局，视野宽阔。,鸿雁楼（交通路） -老城区,3室2厅 | 116.85平米 | 东 西 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,75.5,"6,462元/平"
平安北区  市中 心位置 房本过二 可贷款,平安北区 -老城区,2室1厅 | 103平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,62.5,"6,068元/平"
全明户型 采光充足  婚房装修 家具家电齐全 拎包入住,平安北区 -老城区,2室1厅 | 79.8平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,55,"6,893元/平"
业主诚心出售，小区环境好，位置好，视野开阔业,平安北区 -老城区,2室1厅 | 100平米 | 南 | 其他 | 低楼层(共17层)  | 暂无数据,1人关注 / 11个月以前发布,60,"6,000元/平"
泽信   旭园      两室一厅,泽信·旭园 -经济技术开发区,2室1厅 | 98平米 | 南 | 其他 | 高楼层(共26层)  | 暂无数据,1人关注 / 一年前发布,66,"6,735元/平"
创业家园 通透 带车库 带仓房 82平 52万,创业家园 -河西,2室1厅 | 82.27平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,51,"6,200元/平"
低于市场价优质物美价廉优质好房,振兴商业村 -老城区,2室1厅 | 63.75平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,40.5,"6,353元/平"
西苑一区 小户型 没落户口 中等装修,通辽市委西苑1区 -老城区,2室1厅 | 66平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 10个月以前发布,49,"7,425元/平"
天赐良缘步梯3楼 精装房证过二 通透户型采光好,天赐良园 -老城区,2室1厅 | 90.3平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,64,"7,088元/平"
房证过二  普通装修南北朝向，2室1厅1卫，全天采光。,党校北小区 -铁南,2室1厅 | 60平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,27.5,"4,584元/平"
十九局小区 2室1厅 东,十九局小区 -老城区,2室1厅 | 91.75平米 | 东 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,41,"4,469元/平"
业主诚心出售，小区环境好，视野开阔业主诚心出售，,惠利家园 -老城区,1室1厅 | 72.4平米 | 南 北 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,48,"6,630元/平"
富景华庭步梯5楼63.36平2居室采光好交通便利,富景华庭一期 -老城区,2室1厅 | 63.36平米 | 南 北 | 其他 | 高楼层(共5层)  | 暂无数据,2人关注 / 一年前发布,42,"6,629元/平"
福园小区北区 2室1厅 南,福园小区北区 -老城区,2室1厅 | 78平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,38,"4,872元/平"
沈铁城南新居2-1-1-1 100.51m² 60 万,沈铁城南新居 -铁南,2室1厅 | 100.51平米 | 南 | 其他 | 高楼层(共17层)  | 暂无数据,1人关注 / 一年前发布,60,"5,970元/平"
此房格局好，楼层适中，视野宽阔，采光好,龙兴世纪城(科尔沁区) -经济技术开发区,3室2厅 | 158.71平米 | 南 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,132,"8,318元/平"
小区环境不错，视野开阔，成熟社区，交通便利，,泽信水岸春城 -老城区,3室2厅 | 143平米 | 南 | 其他 | 中楼层(共5层)  | 暂无数据,2人关注 / 一年前发布,110,"7,693元/平"
两室一厅·房证满两年·简单装修,桃源居 -老城区,2室1厅 | 72.64平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 9个月以前发布,41,"5,645元/平"
泽信水岸春城 3室1厅 南,泽信水岸春城 -老城区,3室1厅 | 130平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,110,"8,462元/平"
亲水富苑 户型通透 生活设施齐全 简单装修 采光充足,亲水富苑 -河西,3室2厅 | 116平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,6人关注 / 一年前发布,46,"3,966元/平"
北京·观筑 2室1厅 南,北京·观筑 -老城区,2室1厅 | 77.55平米 | 南 | 其他 | 低楼层(共33层)  | 暂无数据,2人关注 / 一年前发布,58,"7,480元/平"
精装修步梯二楼 单价低 通透格局 诚心出售看房随时,泰安家园 -河西,3室1厅 | 117平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 一年前发布,69,"5,898元/平"
六托七复式楼，电梯中层，采光好，视野宽阔。,富景华城 -铁南,2室1厅 | 56平米 | 南 北 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 一年前发布,52,"9,286元/平"
低于市场价且物美价廉的优质好房,附属医院家属楼 -老城区,2室1厅 | 76.41平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,40,"5,235元/平"
该房屋业主诚心出售  精装修 拎包入住,檀香湾 -经济技术开发区,3室2厅 | 168平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,166.8,"9,929元/平"
泽信水岸春城 希望物业 临 近辽河公园,泽信水岸春城 -老城区,3室1厅 | 122平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,90,"7,378元/平"
水岸春城 中间楼层 南北通透诚心出售,泽信水岸春城 -老城区,3室2厅 | 133.52平米 | 南 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 一年前发布,112,"8,389元/平"
配套设施齐全，视野开阔交通便利，出行方便,东岳家园 -老城区,2室1厅 | 75.25平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 8个月以前发布,39,"5,183元/平"
泽信 旭园 2室1卫 户型合理 采光充足,泽信·旭园 -经济技术开发区,2室2厅 | 98平米 | 南 | 其他 | 低楼层(共26层)  | 暂无数据,1人关注 / 一年前发布,67,"6,837元/平"
京汉一期 步梯4楼 南北通透两室 带车位 看房随时,京汉新城一期 -经济技术开发区,2室1厅 | 92平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 7个月以前发布,63,"6,848元/平"
可贷款  总价低 新小区 看房方便 可贷款,河畔花园A区 -经济技术开发区,1室1厅 | 65平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,3人关注 / 一年前发布,39.5,"6,077元/平"
成熟小区  交通便利  出行方便,科尔沁花园西区 -老城区,3室1厅 | 75平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,55.5,"7,400元/平"
附属医院 电梯高层 精装修南北通透 好楼层,天骄城 -老城区,2室1厅 | 100.5平米 | 南 北 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,68,"6,767元/平"
成熟小区  交通便利  出行方便,科尔沁花园西区 -老城区,3室1厅 | 75平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,55.5,"7,400元/平"
同鑫小区    小区环境不错  视野开阔  配套成熟,同鑫小区 -老城区,2室1厅 | 70.2平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,38.5,"5,485元/平"
楼层好，采光充足，配套设施齐全，视野宽阔,璟苑A区 -经济技术开发区,3室1厅 | 125.17平米 | 南 北 | 其他 | 高楼层(共6层)  | 塔楼,1人关注 / 一年前发布,96,"7,670元/平"
桥北高档小区 成熟商圈 交通方便,碧桂园·御珑湾南区 -经济技术开发区,4室2厅 | 188.6平米 | 南 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 一年前发布,117,"6,204元/平"
惠利家园步梯1楼业主诚心出售，82平,惠利家园 -老城区,2室1厅 | 80平米 | 南 | 其他 | 低楼层(共4层)  | 暂无数据,0人关注 / 一年前发布,52,"6,500元/平"
楼层好，采光充足，配套设施齐全，视野宽阔,水域蓝湾C区D区 -经济技术开发区,2室1厅 | 99.57平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 11个月以前发布,78,"7,834元/平"
东隆小区 2室1厅 南,东隆小区 -老城区,2室1厅 | 68.75平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,40,"5,819元/平"
万达广场 辽河公园 成熟小区  交通便利  看房方便,翠堤城市花园西区 -老城区,2室1厅 | 83平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,51,"6,145元/平"
通辽碧桂园    四室两厅  视野开阔  采光充足,通辽碧桂园 -经济技术开发区,4室2厅 | 151平米 | 南 | 其他 | 高楼层(共11层)  | 暂无数据,1人关注 / 一年前发布,95,"6,292元/平"
金龙苑 3室2厅 南,金龙苑 -老城区,3室2厅 | 133.12平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,92,"6,912元/平"
地矿花园，一楼带院，红军四中。,地矿花园 -经济技术开发区,3室1厅 | 139.41平米 | 南 北 | 其他 | 低楼层(共17层)  | 暂无数据,0人关注 / 一年前发布,140,"10,043元/平"
天骄城步梯5楼97平带出库继续出售,天骄城 -老城区,2室1厅 | 98平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 8个月以前发布,70,"7,143元/平"
市区两居室 那北通透  拎包入住 随时看房子,纸厂小区 -老城区,2室1厅 | 49.62平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,26.5,"5,341元/平"
楼层好，采光充足，配套设施齐全，视野宽阔,京汉新城一期 -经济技术开发区,2室1厅 | 92平米 | 南 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 8个月以前发布,63,"6,848元/平"
（京汉新城一期2-1-1-1 96.88m² 64 万）,京汉新城一期 -经济技术开发区,2室1厅 | 96.88平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 10个月以前发布,59,"6,091元/平"
中兴小区   2-1-1-1 70.00m²,中兴小区 -老城区,2室1厅 | 70平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 9个月以前发布,38,"5,429元/平"
北城一号好房出售 看房方便 随时能看,北城一号 -经济技术开发区,3室1厅 | 128平米 | 南 北 | 其他 | 中楼层(共16层)  | 暂无数据,1人关注 / 一年前发布,68,"5,313元/平"
天泽附  近华夏丽园124平南北通透三室有房证,华夏俪园 -老城区,3室2厅 | 124.3平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,70,"5,632元/平"
桥北 电梯中高层 两居室通透格局全新婚房装修拎包入住,京汉君庭 -经济技术开发区,2室1厅 | 85.3平米 | 南 北 | 其他 | 高楼层(共11层)  | 暂无数据,1人关注 / 一年前发布,68,"7,972元/平"
安居家园步梯4楼87.3平55万出售,安居佳园 -老城区,2室1厅 | 87.3平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,54,"6,186元/平"
惠利家园 2室1厅 南,惠利家园 -老城区,2室1厅 | 84平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,48,"5,715元/平"
步梯5楼精装修 2是采光好供热好,通华小区 -老城区,2室1厅 | 78.12平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,44,"5,633元/平"
龙庭国际B区 2楼 楼层好 大三居,诚达龙庭国际B区 -老城区,3室1厅 | 129平米 | 南 | 其他 | 低楼层(共24层)  | 暂无数据,0人关注 / 一年前发布,126,"9,768元/平"
采光好 使用面积大   步梯楼   中等装修   拎包入住,北城一号 -经济技术开发区,2室1厅 | 95平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,49,"5,158元/平"
视野开阔 配套设施齐全，交通便利，出行方便,中信亚龙湾 -经济技术开发区,3室1厅 | 126平米 | 南 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,103,"8,175元/平"
南北通透，生活设施齐全，简单装修，采光好， 楼层好,平安北区 -老城区,2室1厅 | 90平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,58.5,"6,500元/平"
金源郦都 3室2厅 南,金源郦都 -经济技术开发区,3室2厅 | 140平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,3人关注 / 一年前发布,95,"6,786元/平"
成熟小区  交通便利  出行方便,新雅馨园 -河西,2室1厅 | 94.7平米 | 南 | 其他 | 低楼层(共17层)  | 暂无数据,0人关注 / 一年前发布,55,"5,808元/平"
泽信·红星新城 3室1厅 南,泽信·红星新城 -老城区,3室1厅 | 141.27平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,126,"8,920元/平"
北岸华庭大三居室格局 中等装修 拎包入住 可贷款,北岸华庭 -经济技术开发区,3室1厅 | 143平米 | 南 | 其他 | 高楼层(共4层)  | 暂无数据,1人关注 / 一年前发布,81,"5,665元/平"
万达华府楼层好，采光充足，配套设施齐全，,万达华府 -老城区,3室1厅 | 139.36平米 | 南 北 | 其他 | 高楼层(共33层)  | 暂无数据,0人关注 / 一年前发布,86,"6,172元/平"
村和新居  复式格局  南北户型 看房方便,村和新居 -老城区,3室2厅 | 91.93平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,45,"4,896元/平"
桥北一.流的存在，花园洋房，高举架，尊享奢华,泰丰·悦熙台 -经济技术开发区,2室1厅 | 116平米 | 南 | 其他 | 低楼层(共10层)  | 暂无数据,0人关注 / 9个月以前发布,100,"8,621元/平"
楼层好，视野开阔，不挡光，东方购物西侧,邮电小区 -老城区,3室1厅 | 88平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,56,"6,364元/平"
军分区小区 步梯楼  73.34平  43万,军分区小区 -老城区,2室1厅 | 73.34平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,43,"5,864元/平"
此房南北通透格局 .楼层好 采光强 供暖好,温州花园 -老城区,2室1厅 | 91.7平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,63,"6,871元/平"
该房屋周 边配套齐全大润发 西拉木伦公园等,民大住宅园区 -老城区,2室1厅 | 76平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,48,"6,316元/平"
市中  没有公摊 简单装修 家电齐全,计委楼 -老城区,2室1厅 | 64.64平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,31,"4,796元/平"
该房屋格局好，配套设施齐全，交通便利 看房 方便,西湖名都 -经济技术开发区,3室1厅 | 127.45平米 | 南 | 其他 | 低楼层(共28层)  | 暂无数据,3人关注 / 10个月以前发布,78,"6,121元/平"
户型板正， 楼层好， 价位合适,平安西区 -老城区,2室2厅 | 90.24平米 | 南 北 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,56.5,"6,262元/平"
泽信水岸春城 希望物业 临 近辽河公园,泽信水岸春城 -老城区,3室1厅 | 120平米 | 南 | 其他 | 高楼层(共5层)  | 暂无数据,1人关注 / 一年前发布,70,"5,834元/平"
西游园步梯5楼拎包入住  采光好 户型好,西游园 -老城区,2室1厅 | 87.46平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 6个月以前发布,52,"5,946元/平"
此房满五唯一，楼层好，采光好，视野宽阔,碧桂园·上河郡 -经济技术开发区,3室2厅 | 126平米 | 南 北 | 其他 | 中楼层(共17层)  | 暂无数据,6人关注 / 一年前发布,80,"6,350元/平"
小区幽静，临河，格局方正，阳光充足。出行方便,辽河一号院 -经济技术开发区,3室1厅 | 137平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,77,"5,621元/平"
京汉新城一期，南北向1楼，总楼层不高6楼顶,京汉新城一期 -经济技术开发区,2室1厅 | 93平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,73,"7,850元/平"
哲一建小区 2室1厅 南,哲一建小区 -老城区,2室1厅 | 88平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,48.5,"5,512元/平"
楼层好，采光充足，配套设施齐全，视野宽阔,美瑞龙源 -经济技术开发区,3室2厅 | 132.8平米 | 南 | 其他 | 高楼层(共32层)  | 暂无数据,1人关注 / 8个月以前发布,100,"7,531元/平"
盛世江南 3室2厅 南,盛世江南 -铁南,3室2厅 | 125平米 | 南 | 其他 | 中楼层(共5层)  | 暂无数据,1人关注 / 一年前发布,96,"7,680元/平"
税兴小区4楼71平44.5万精装修,税兴综合楼 -老城区,2室1厅 | 71平米 | 南 北 | 其他 | 高楼层(共6层)  | 塔楼,0人关注 / 一年前发布,44.5,"6,268元/平"
十五栋步梯4楼 简单装修 看房方便,十五栋 -铁南,2室1厅 | 61.8平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,38,"6,149元/平"
吉地华府 2室1厅 南 北,吉地华府 -老城区,2室1厅 | 97.56平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,81,"8,303元/平"
璟苑B区三室  一厅  一厨 两卫,璟苑B区 -经济技术开发区,3室1厅 | 152.95平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,92,"6,016元/平"
精装修实木家具电梯洋房带两个停车位,泰丰·悦熙台 -经济技术开发区,3室2厅 | 150平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,210,"14,000元/平"
楼层好，采光充足，配套设施齐全，视野宽阔,美域华府 -河西,2室1厅 | 85.53平米 | 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,49,"5,729元/平"
富力尚悦局 电梯  精装修 基本没住人  家具家电全带,富力·尚悦居 -经济技术开发区,2室1厅 | 92.22平米 | 南 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,85,"9,218元/平"
教印厂小区1楼 通透地热  新装修 房证满二 养 老首 选,教印厂小区 -老城区,2室1厅 | 63平米 | 南 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,42.5,"6,747元/平"
西辽河 亲水人家 通辽市 骨科医院 三居室 客厅开间6.6,亲水人家 -河西,3室2厅 | 124平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,50,"4,033元/平"
璟苑C区 步梯4楼 102平 中装 房证满二年,璟苑C区 -经济技术开发区,2室1厅 | 102平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,85,"8,334元/平"
京汉八期12楼 精装两室两卫 拎包入住 采光无遮挡,京汉馨家 -经济技术开发区,2室1厅 | 121平米 | 南 北 | 其他 | 中楼层(共17层)  | 暂无数据,2人关注 / 9个月以前发布,95,"7,852元/平"
交通嘉园 采光充足 配套成熟 邻近医院,交通嘉园 -老城区,2室1厅 | 89.5平米 | 南 | 其他 | 高楼层(共4层)  | 暂无数据,0人关注 / 一年前发布,58,"6,481元/平"
二中教师楼 3楼 南北通透 距二中几百米 看房方便,二中教师楼 -老城区,2室1厅 | 67平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,51,"7,612元/平"
市中间繁华地段  新装修 拎包入,惠利家园 -老城区,2室1厅 | 84平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,52.5,"6,250元/平"
平安小区步梯4楼 简单装修 拎包入住,平安小区(科尔沁区) -老城区,2室1厅 | 66平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 10个月以前发布,41,"6,213元/平"
铁中學区 铁路學区 出门欧亚砖石广场,十五栋 -铁南,2室1厅 | 59.85平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,39,"6,517元/平"
馨园小区，价格美丽，欲购从速。,馨园小区 -老城区,3室1厅 | 139平米 | 南 北 | 其他 | 中楼层(共6层)  | 塔楼,0人关注 / 一年前发布,82,"5,900元/平"
步梯5楼首付10万东西都带房证过2年79平附属医院附 近,工商小区 -老城区,3室1厅 | 78平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,45,"5,770元/平"
出售桥北水域蓝湾精装房 拎包入住,水域蓝湾C区D区 -经济技术开发区,3室2厅 | 142平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,7人关注 / 一年前发布,83,"5,846元/平"
水域蓝湾一楼带院  红军四中房  三室两卫户型,水域蓝湾A区B区 -经济技术开发区,3室2厅 | 144平米 | 南 北 | 其他 | 低楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,130,"9,028元/平"
