标题,开发商,房子信息,发布信息,售价/万,单价
北京一号院，精装双卧朝南，有钥匙看房方便,北京壹号院 -张北县,2室1厅 | 91.33平米 | 南 | 精装 | 低楼层(共6层)  | 塔楼,9人关注 / 7个月以前发布,46,"5,037元/平"
交通便利，小区生活便利，看房方便,启城 -下花园,3室1厅 | 119.85平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板楼,1人关注 / 一年前发布,75,"6,258元/平"
户型方正，购物方便，交通便利。,电厂住宅楼 -下花园,2室2厅 | 74平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,30,"4,055元/平"
山水逸下跃带花园，全明户型，次新小区环境好，,山水逸 -下花园,3室2厅 | 122.11平米 | 南 北 | 毛坯 | 11层  | 板楼,7人关注 / 一年前发布,110,"9,009元/平"
碧桂园伴山悦精装三居室 低楼层 南北通透户型,碧桂园伴山悦 -下花园,3室2厅 | 126平米 | 南 北 | 精装 | 低楼层(共13层)  | 板楼,9人关注 / 一年前发布,108,"8,572元/平"
东辰御园 3室1厅 南 北,东辰御园 -下花园,3室1厅 | 122平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,75,"6,148元/平"
○○○○店长推荐○○○高品质一跃三有意的小伙伴快来,启城建筑 -下花园,4室3厅 | 191平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,9人关注 / 一年前发布,173,"9,058元/平"
富祥园跃层，南北通透，户型房子没有浪费,富祥园 -下花园,5室2厅 | 160平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,130,"8,125元/平"
南北通透，户型方正，采光好，环境优美,城市之光 -下花园,2室2厅 | 99.2平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,48,"4,839元/平"
"鹿鸣首座跃层，简单装修，配套齐全,带阁楼",麓鸣首座 -下花园,3室2厅 | 165平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,65,"3,940元/平"
捡漏房源，精装修，成本价出售，五居，南北通通,瑞士公馆 -下花园,5室2厅 | 283平米 | 南 | 精装 | 3层  | 板楼,3人关注 / 一年前发布,295,"10,425元/平"
瑞士公馆新房未入住 全新装修 随时看房！,瑞士公馆 -下花园,4室3厅 | 235.9平米 | 南 北 | 精装 | 3层  | 板楼,2人关注 / 一年前发布,280,"11,870元/平"
下花园3楼，面积大总价低，有房证，随时过户,电厂住宅楼 -下花园,3室2厅 | 93平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,5人关注 / 一年前发布,38,"4,087元/平"
碧桂园小区好位置精装修房，带有小院露台,碧桂园北京郡 -下花园,3室2厅 | 137平米 | 南 北 | 精装 | 低楼层(共2层)  | 板楼,5人关注 / 一年前发布,260,"18,979元/平"
距离高铁600米 瑞士公馆大三居 宽敞明亮位置优越,瑞士公馆 -下花园,3室2厅 | 133.38平米 | 南 北 | 毛坯 | 13层  | 板楼,3人关注 / 10个月以前发布,95,"7,123元/平"
大三居，，采光好无遮挡 业主诚心出售,名爵滨河花园 -下花园,3室2厅 | 138平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,137,"9,928元/平"
瑞士公馆南北通透三居室 近高铁 毛坯房 可随意装修,瑞士公馆 -下花园,3室2厅 | 128平米 | 南 北 | 毛坯 | 13层  | 板楼,1人关注 / 9个月以前发布,85,"6,641元/平"
经典H户型，小区环境好，交通便利,河西小区 -下花园,3室2厅 | 130平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,50,"3,847元/平"
交通便利，小区生活便利，看房方便,启城 -下花园,3室1厅 | 119.85平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板楼,1人关注 / 一年前发布,75,"6,258元/平"
碧桂园小区好位置精装修房，带有小院露台,碧桂园北京郡 -下花园,3室2厅 | 137平米 | 南 北 | 精装 | 低楼层(共2层)  | 板楼,5人关注 / 一年前发布,260,"18,979元/平"
房本满两年，税费低，可贷款，户型好,富祥园 -下花园,3室2厅 | 103平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,71,"6,894元/平"
此房 采光好 小区环境优美 可根据自己喜好装修,河西小区 -下花园,3室2厅 | 130平米 | 北 南 | 其他 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,56,"4,308元/平"
距离高铁600米 瑞士公馆大三居 宽敞明亮位置优越,瑞士公馆 -下花园,3室2厅 | 133.38平米 | 南 北 | 毛坯 | 13层  | 板楼,3人关注 / 10个月以前发布,95,"7,123元/平"
房屋南北通透视野无遮挡全明户型，三居室钥匙在手,碧桂园北京郡 -下花园,3室2厅 | 111.88平米 | 南 北 | 精装 | 2层  | 板楼 | 联排别墅 ,10人关注 / 一年前发布,151,"13,497元/平"
"户型方正,设计合理 中间楼层 采光好 无遮挡临街",朝阳西苑 -桥西区,3室2厅 | 112.86平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,70,"6,203元/平"
此房建于2012年，房屋质量好，当地口碑好的开发商。,富祥园 -下花园,3室2厅 | 140平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,19人关注 / 一年前发布,80,"5,715元/平"
房子是精装修 房本满二 可贷款,枫墅小镇 -桥西区,3室2厅 | 118.7平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,112,"9,436元/平"
美居东区电梯楼 楼层好 采光充足,美居丽景园东区 -桥西区,2室2厅 | 106.9平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,0人关注 / 一年前发布,90,"8,420元/平"
房源*好 通风好 商圈 购房不二选择,博杨小区(桥西区) -桥西区,3室2厅 | 154平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,109,"7,078元/平"
阳面客厅 通厅通卧 户型好  电梯房,中央大道 -张北县,4室4厅 | 196平米 | 南 | 精装 | 高楼层(共18层)  | 塔楼,3人关注 / 一年前发布,109,"5,562元/平"
福安北苑小区适合有念书的孩子买，,福安北苑 -张北县,3室2厅 | 104平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,46,"4,424元/平"
小区一出门就是市场，就是校园。还有商场,万兴社区新景园小区 -张北县,3室2厅 | 96平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,38,"3,959元/平"
房子干净利落，屋里明亮，户型好住！,峰海小区 -张北县,3室2厅 | 97平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 一年前发布,45,"4,640元/平"
永春家园103平米三居室精装修业主诚心出售价格可议,永春家园 -张北县,3室2厅 | 103平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,0人关注 / 一年前发布,40,"3,884元/平"
经典户型，简单装修，业主急售，价格可以商量。,桃源小区 -下花园,3室1厅 | 94平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,38,"4,043元/平"
急售 急售 名爵滨河花园 配套齐全 价格可谈,名爵滨河花园 -下花园,3室2厅 | 129平米 | 南 北 | 毛坯 | 中楼层(共9层)  | 板楼,10人关注 / 一年前发布,78,"6,047元/平"
新村新民居点评，新村新民居点评,新村新民居东区 -张北县,3室1厅 | 93平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,1人关注 / 一年前发布,34,"3,656元/平"
楼层高 视野宽阔，客厅宽敞阳光充足，适合居住,交通局家属楼 -张北县,3室2厅 | 101平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,0人关注 / 5个月以前发布,33,"3,268元/平"
出售 桃园 五楼 三居 拎包入住,桃源小区 -下花园,3室2厅 | 96.37平米 | 南 北 | 简装 | 高楼层(共5层)  | 暂无数据,4人关注 / 9个月以前发布,36,"3,736元/平"
精装修没怎么住，户型好，格局好，没有浪费面积,金鼎花园 -张北县,3室2厅 | 94平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,3人关注 / 一年前发布,44,"4,681元/平"
中都时代花园3-2-1-1 101.00m² 46 万,中都时代花园 -张北县,3室2厅 | 101平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,3人关注 / 一年前发布,45,"4,456元/平"
当地ZM开发商，房屋建筑质量好，小区环境好,富祥园 -下花园,3室2厅 | 106.65平米 | 南 | 毛坯 | 中楼层(共5层)  | 暂无数据,1人关注 / 一年前发布,80,"7,502元/平"
急售   满五唯一 采光充足 南北通透 可贷款,桃源小区 -下花园,2室1厅 | 96.12平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,35,"3,642元/平"
"地理位置优越,好楼层三居，居住舒适，精装入住",东辰杏花 -张北县,3室2厅 | 103平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,49,"4,758元/平"
房子明亮干净，好住。看房方便，,峰海小区 -张北县,3室2厅 | 94.7平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 一年前发布,42,"4,436元/平"
兴和佳苑3-2-1-1 102.00m² 51 万,兴和佳苑 -张北县,3室2厅 | 102平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 10个月以前发布,49,"4,804元/平"
满五唯一，精装修，看房方便，地理位置优越。,仁爱住宅小区 -张北县,2室2厅 | 97平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 一年前发布,40,"4,124元/平"
南北通透格局，视野宽阔，采光充足，配套设施齐全,新世纪小区 -张北县,3室2厅 | 110平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,51,"4,637元/平"
雅菊小区  首套房需要30%首付 9万元左右,雅菊小区 -张北县,2室2厅 | 79平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,26,"3,292元/平"
满五唯一，看房方便，精装修，大两居室。,宏怡嘉苑A区 -张北县,3室1厅 | 88.8平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 7个月以前发布,40,"4,505元/平"
碧桂园北京郡 精装新房 未住过,碧桂园北京郡 -下花园,3室2厅 | 125平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 一年前发布,125,"10,000元/平"
碧桂园北京郡房源 精装修三居室 视野开阔,碧桂园北京郡 -下花园,3室2厅 | 132平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 一年前发布,123,"9,319元/平"
电梯小高层，南北通透，采光好，价格便宜,惠民花园 -桥西区,3室1厅 | 115平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 暂无数据,0人关注 / 7个月以前发布,81,"7,044元/平"
精装修现房三居室 三阳开泰户型 地势高！,碧桂园北京郡 -下花园,3室2厅 | 97平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,5人关注 / 一年前发布,100,"10,310元/平"
碧桂园精装三居室 全明格局 随时看房,碧桂园北京郡 -下花园,3室2厅 | 135平米 | 南 北 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 一年前发布,125,"9,260元/平"
碧桂园三期精装现房单价8300,碧桂园北京郡 -下花园,3室2厅 | 120平米 | 南 北 | 精装 | 高楼层(共11层)  | 板塔结合,6人关注 / 一年前发布,100,"8,334元/平"
碧桂园北京郡京御山水 下叠别墅 带花园 南北通透！,碧桂园北京郡 -下花园,3室2厅 | 105平米 | 南 北 | 其他 | 4层  | 板楼 | 联排别墅 ,18人关注 / 一年前发布,126,"12,000元/平"
碧桂园精装三居室，中间楼层，前后无遮挡,碧桂园北京郡 -下花园,3室2厅 | 125平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 一年前发布,105,"8,400元/平"
高铁旁大产权房子，精装修停车位,碧桂园北京郡 -下花园,3室2厅 | 135平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,2人关注 / 一年前发布,110,"8,149元/平"
碧桂园 精装修 三室 南北通透 户型方正 看房随时,碧桂园北京郡 -下花园,3室2厅 | 97平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,7人关注 / 一年前发布,99,"10,207元/平"
富达园二区好楼层三居室双证齐全可贷款随时可以看房75,富达园二区 -沙城,3室2厅 | 109平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,2人关注 / 10个月以前发布,66,"6,056元/平"
成熟社区 环境优美 地段繁华 首付不高,富达园住宅小区 -沙城,3室2厅 | 127.8平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,1人关注 / 5个月以前发布,87.5,"6,847元/平"
富达园一区4楼双证齐全可贷款随时看房98平米地下室,富达园住宅小区 -沙城,3室2厅 | 98平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,62,"6,327元/平"
房子价格合理，看房方便，户型好住,锦源建材城 -张北县,2室1厅 | 85.3平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,38,"4,455元/平"
北欧花园2-1-1-1 85.00m² 37 万,北欧花园 -张北县,2室1厅 | 85平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 10个月以前发布,36,"4,236元/平"
房本满五年了，看房方便，提前打电话联系房东,永泰嘉园 -张北县,3室1厅 | 86平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,40,"4,652元/平"
此房采光充足，配套齐全，交通房便,警官住宅小区 -张北县,3室2厅 | 110平米 | 南 北 | 简装 | 高楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,36,"3,273元/平"
此房户型方正，采光好，地理位置优越，配套设施齐全,弘丰城 -张北县,2室2厅 | 85.99平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 8个月以前发布,36,"4,187元/平"
房子是一楼下跃，房间多，适合家中有老人的居住,桃源小区 -下花园,3室2厅 | 130.87平米 | 南 | 简装 | 低楼层(共5层)  | 暂无数据,7人关注 / 一年前发布,70,"5,349元/平"
此房户型设计合理，采光好，视野广，小区环境好，,兴华家园南区 -张北县,2室1厅 | 96.6平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,33,"3,417元/平"
揽胜楼社区     张北县    看房方便,揽胜楼社区 -张北县,2室1厅 | 92.56平米 | 南 北 | 精装 | 中楼层(共4层)  | 暂无数据,1人关注 / 一年前发布,43,"4,646元/平"
急售 商务街好房 是您陪读自住优选住房,张家口市宝善小区 -桥东区,3室1厅 | 86平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,7人关注 / 一年前发布,65,"7,559元/平"
官厅水库北岸精装修loft，南北通透，价格合适使用率高,京北恒大国际文化城 -东花园,3室2厅 | 76平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,2人关注 / 一年前发布,75,"9,869元/平"
宝善小区90平大三居诚心出售，*棒户型，,张家口市宝善小区 -桥东区,3室1厅 | 90平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 一年前发布,61,"6,778元/平"
房本满五，采光好，小区环境好，户型方正,土尔沟小区 -桥东区,2室2厅 | 108平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,1人关注 / 一年前发布,75,"6,945元/平"
龙腾花园采光充足精装修价格可议 看房提前联系,龙腾花园 -桥东区,2室1厅 | 106平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,9人关注 / 一年前发布,59,"5,567元/平"
，大3居，户型方正，房本满五唯一，可贷款，,商务街小区 -桥东区,3室2厅 | 135平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,80,"5,926元/平"
碧桂园北京郡 一楼带花园精装修  近高铁 交通便利,碧桂园北京郡 -下花园,3室2厅 | 124.14平米 | 北 南 | 精装 | 低楼层(共18层)  | 板楼,10人关注 / 一年前发布,118,"9,506元/平"
逸景苑电梯花园洋房，户型三向阳户型，适合各人群居住,逸景苑 -桥东区,3室2厅 | 139平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,76,"5,468元/平"
低价出售，金典小两居，门口就是幼儿园,电厂住宅楼 -下花园,2室1厅 | 55平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,4人关注 / 一年前发布,12,"2,182元/平"
采光充溢，户型正气，购物方便，物业尽心尽责,新五一广场2区 -桥东区,3室1厅 | 126.98平米 | 南 北 | 其他 | 高楼层(共33层)  | 塔楼,4人关注 / 8个月以前发布,105,"8,270元/平"
满五唯一，南北通透，楼层好（一楼）,公安局住宅楼 -下花园,2室2厅 | 92.4平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,2人关注 / 一年前发布,48,"5,195元/平"
此房为房本满5.过户费低.此房采光好.,汇商国际住宅 -张北县,3室2厅 | 120平米 | 南 北 | 精装 | 低楼层(共3层)  | 板楼,0人关注 / 一年前发布,50,"4,167元/平"
南北通透楼层好，视野宽阔，采光充足，交通便利,顺诚小区 -张北县,2室2厅 | 80.3平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,39,"4,857元/平"
新村新民居东区3-2-1-1 94.00m² 36 万,新村新民居东区 -张北县,3室2厅 | 94平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,1人关注 / 一年前发布,36,"3,830元/平"
给您一个不一样的生活环境，不一样的家,八达岭孔雀城3期 -东花园,4室2厅 | 155平米 | 南 北 | 精装 | 低楼层(共3层)  | 暂无数据,0人关注 / 一年前发布,270,"17,420元/平"
南北通透格局，楼层好，视野宽阔，采光充足,雅竹小区 -张北县,3室2厅 | 99平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 7个月以前发布,32,"3,233元/平"
客卧向阳，户型六带七带露台。三室两厅一卫,北国小镇 -张北县,3室2厅 | 97平米 | 南 | 毛坯 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,48,"4,949元/平"
：大产权，房本满二，户型方正，视野宽阔，采光充足,花园小区 -张北县,3室2厅 | 110.16平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,0人关注 / 6个月以前发布,39,"3,541元/平"
拉斐水岸双拼别墅，本满税低可贷款，走路可到湖边,拉斐水岸 -东花园,6室2厅 | 305平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 暂无数据,2人关注 / 一年前发布,490,"16,066元/平"
柒中隔壁。有房本，能贷款，正常过户交易,世纪家园 -桥东区,3室2厅 | 93平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,65,"6,990元/平"
红旗楼乐享城里边城市花园小区新楼盘新小区,新東亚·城市花园 -桥东区,3室1厅 | 140平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 暂无数据,0人关注 / 6个月以前发布,105,"7,500元/平"
"桥东红旗楼房子满五唯一 采光好,视野广",吉安苑 -桥东区,2室1厅 | 75平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,52,"6,934元/平"
此房满五，能过户，朝南好户型，楼层好，视野开阔,胜利公园小区 -桥东区,3室2厅 | 131.52平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,82,"6,235元/平"
供电局家属楼，诚心出售 房本满五 看房方便,供电局家属楼 -桥东区,2室2厅 | 75平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,8人关注 / 一年前发布,43,"5,734元/平"
桥东 东风*  正3楼 有房本 能贷款 精装修,商业银行家属院 -桥东区,2室2厅 | 93平米 | 南 东北 | 简装 | 中楼层(共6层)  | 板楼,4人关注 / 一年前发布,72,"7,742元/平"
此房为满五住房。看房提前预约。可以正常贷款。毛坯房,张家口市宝善小区 -桥东区,2室2厅 | 85平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,3人关注 / 一年前发布,41,"4,824元/平"
价格合适，走过路过千万不要错过!,广电小区 -桥东区,2室1厅 | 63.7平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,5人关注 / 一年前发布,35,"5,495元/平"
房子户型方正，充分利用空间，采光充盈.,胜利小区 -桥东区,3室2厅 | 143平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,105,"7,343元/平"
东麓苑精装2居可拎包入住有本可随时过户,东麓苑 -桥东区,2室1厅 | 85.43平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,70,"8,194元/平"
急售！急售！房本满五，可贷款，交通便利，,万和家苑 -万全区,3室2厅 | 125平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,5人关注 / 一年前发布,60,"4,800元/平"
此房户型格局合理，没有浪费面积，房本满五年，税少,土地局家属楼 -桥东区,3室2厅 | 97平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 一年前发布,75,"7,732元/平"
建设东街15号132.00m² 90 对，口，宝，善，,建设东街15号 -桥东区,3室2厅 | 132平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,5人关注 / 一年前发布,70,"5,304元/平"
格局楼层好，视野宽阔采光充足，配套设施齐全交通便利,锦绣花园东区 -桥东区,5室3厅 | 248平米 | 南 北 | 精装 | 中楼层(共4层)  | 板楼,3人关注 / 一年前发布,210,"8,468元/平"
此房满五，能过户，南北通透好户型，楼层好，视野开阔,阳光·锦園 -桥东区,4室2厅 | 126.57平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,85,"6,716元/平"
出售新天地板楼6跃7 有房本 看房方便,前屯新天地小区 -桥东区,3室2厅 | 149平米 | 南 | 简装 | 高楼层(共6层)  | 塔楼,2人关注 / 4个月以前发布,90,"6,041元/平"
天伦嘉园5楼   日照时间长，采光充足,天伦嘉苑 -桥东区,3室2厅 | 168平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 6个月以前发布,119,"7,084元/平"
桥东区——五一路后街小区、板楼三楼、诚心出售。,五一路后街 -桥东区,2室1厅 | 61.8平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 一年前发布,43,"6,958元/平"
新日祥园 低楼层 户型方正 通风采光充足,新日祥园 -桥东区,2室2厅 | 87平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 一年前发布,71.8,"8,253元/平"
177㎡联排边户别墅视野开阔花园150精装随时看房致电,八达岭孔雀城2.1期 -东花园,5室3厅 | 177平米 | 西北 东 | 精装 | 低楼层(共3层)  | 暂无数据,0人关注 / 3个月以前发布,390,"22,034元/平"
畅想真正的浪漫花园洋房生活，回家就是一种度假,锦绣园东区 -桥东区,3室2厅 | 153平米 | 南 北 | 精装 | 低楼层(共12层)  | 塔楼,5人关注 / 一年前发布,129,"8,432元/平"
五一店长推荐，东安大街五条，价格合理。不挡光,东安大街五条 -桥东区,2室2厅 | 66.85平米 | 东 西 | 简装 | 高楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,36,"5,386元/平"
此房是毛坯房，觉对的好楼层，好户型。,晨光花城 -桥东区,3室2厅 | 142平米 | 南 北 | 毛坯 | 中楼层(共16层)  | 塔楼,0人关注 / 4个月以前发布,113,"7,958元/平"
新五一广场 电梯顶楼 价格可以商量 毛坯房  急售！,新五一广场2区 -桥东区,3室2厅 | 136.8平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,1人关注 / 一年前发布,120,"8,772元/平"
纬二路 福源里 一楼跃地下，有房本 全款贷款均可。,福源里 -桥东区,4室1厅 | 135平米 | 南 北 | 简装 | 低楼层(共6层)  | 塔楼,5人关注 / 一年前发布,98,"7,260元/平"
博扬小区，房子好住  公摊小    出行方便,博杨小区(桥西区) -桥西区,4室2厅 | 199平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,6人关注 / 一年前发布,109,"5,478元/平"
五一店长推荐，小区地段好，价格便宜，配套设施齐全,粮食局家属楼 -桥东区,3室2厅 | 98.3平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,55,"5,596元/平"
逸景苑  居住环境舒适，适合全龄段居住。,逸景苑 -桥东区,3室2厅 | 139平米 | 南 | 毛坯 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,69,"4,965元/平"
南口市委家属楼 3室2厅 东 西,南口市委家属楼 -桥东区,3室2厅 | 118平米 | 东 西 | 简装 | 高楼层(共6层)  | 平房,1人关注 / 一年前发布,72,"6,102元/平"
全屋装修都留下！！！精装修，价格还能谈，看房方便,清林雅筑 -桥东区,2室2厅 | 80平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,10人关注 / 一年前发布,60,"7,500元/平"
馨苑家园西区交通购物都比较方便的小区,馨苑家园西区 -桥东区,3室1厅 | 104平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,79,"7,597元/平"
本房满五唯一，地理位置优越，小区物业好,盛华小区 -桥东区,3室2厅 | 120.6平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 8个月以前发布,95,"7,878元/平"
卫华， 五中 小区与校园 不足百米 适合家长陪读,南口市委家属楼 -桥东区,3室1厅 | 116.6平米 | 东 西 | 简装 | 高楼层(共6层)  | 暂无数据,2人关注 / 10个月以前发布,68,"5,832元/平"
精装修别墅，位置佳，配套齐全！,八达岭孔雀城八期 -东花园,3室2厅 | 135平米 | 南 北 | 精装 | 低楼层(共3层)  | 平房,6人关注 / 9个月以前发布,190,"14,075元/平"
高铁500米 精装修三居 户型方正 价格可议,碧桂园京御山水 -下花园,3室2厅 | 125平米 | 南 北 | 精装 | 中楼层(共28层)  | 暂无数据,1人关注 / 8个月以前发布,97,"7,760元/平"
红旗楼商圈，乐享城，交通便利，,丽花苑小区 -桥东区,2室2厅 | 122平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,90,"7,378元/平"
东花园拉斐独栋别墅，400平花园  官厅水库一线临湖，,拉斐水岸 -东花园,4室2厅 | 386平米 | 南 北 | 毛坯 | 低楼层(共2层)  | 平房,5人关注 / 一年前发布,580,"15,026元/平"
拉斐水岸 下叠院，有花园！房本满两年！,拉斐水岸 -东花园,3室2厅 | 165平米 | 南 北 | 毛坯 | 低楼层(共4层)  | 暂无数据,0人关注 / 一年前发布,280,"16,970元/平"
联排中户，带花园，带精装，面积适中，总价低,碧桂园官厅湖 -东花园,3室2厅 | 114平米 | 南 北 | 精装 | 低楼层(共3层)  | 暂无数据,7人关注 / 一年前发布,185,"16,229元/平"
业主急售！！！拉斐水岸类独栋别墅,拉斐水岸 -东花园,4室2厅 | 300平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 暂无数据,6人关注 / 一年前发布,445,"14,834元/平"
一线临湖 精装修上叠院，每个房间都可观湖！,拉斐水岸 -东花园,3室2厅 | 148.5平米 | 南 北 | 精装 | 中楼层(共4层)  | 暂无数据,3人关注 / 一年前发布,285,"19,192元/平"
翡翠城叠拼带小院，户型好，观景效果好,鸿威翡翠城 -东花园,3室2厅 | 130平米 | 南 北 | 毛坯 | 低楼层(共4层)  | 板楼,3人关注 / 一年前发布,160,"12,308元/平"
精装修，两室一厅一厨一卫，户型好住。,博苑小区 -张北县,2室1厅 | 94.7平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,33.6,"3,549元/平"
红旗楼商圈容辰庄园 业主诚心出售 拎包入住,容辰庄园 -桥东区,2室2厅 | 114平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,9人关注 / 一年前发布,74,"6,492元/平"
此房满五不唯一，采光充足，格局好,检验检疫局职工住宅楼 -桥西区,4室3厅 | 124.5平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,90,"7,229元/平"
