标题,开发商,房子信息,发布信息,售价/万,单价
香榭丽舍新上精装三房 三开间朝南 基本未入住,香榭丽舍 -南环,3室2厅 | 141平米 | 南 北 | 精装 | 中楼层(共18层)  | 暂无数据,7人关注 / 一年前发布,76,"5,391元/平"
东区 建业森林半岛 大三居 视野宽阔  户型通透,建业森林半岛 -周师商圈,3室2厅 | 135平米 | 南 | 毛坯 | 高楼层(共30层)  | 板塔结合,1人关注 / 一年前发布,105,"7,778元/平"
广电精装修 客厅朝阳 两卧朝阳,广電欣苑 -周师商圈,3室2厅 | 120.16平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,71,"5,909元/平"
建业城一期，三室两厅两卫，南北朝向，有证可按揭,建业城东区 -沈丘县,3室2厅 | 134平米 | 南 | 毛坯 | 中楼层(共9层)  | 板塔结合,5人关注 / 一年前发布,80,"5,971元/平"
此房位于河北，环境优美，小区配套设施齐全，随时看房,君邻府 -沈丘县,3室2厅 | 122.25平米 | 南 | 毛坯 | 低楼层(共9层)  | 板塔结合,0人关注 / 一年前发布,72,"5,890元/平"
九龙府现房，边户，中间楼层，证在手随时过户,大唐九龙府 -沈丘县,3室2厅 | 137.51平米 | 南 | 毛坯 | 中楼层(共9层)  | 暂无数据,8人关注 / 9个月以前发布,84,"6,109元/平"
世纪豪庭，步梯房，六和七，可做5个卧室，房产证在手,世纪豪庭 -沈丘县,3室2厅 | 138平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,43,"3,116元/平"
诚心出售   价格优惠   拎包入住,外贸家属院 -西华县,3室2厅 | 131平米 | 南 | 简装 | 高楼层(共5层)  | 板楼,3人关注 / 一年前发布,29,"2,214元/平"
此房楼层好视野开阔 采光效果好户型端正 小区环境优美,建业春天里(周口） -南广场万达商圈,3室2厅 | 115平米 | 东 | 毛坯 | 中楼层(共17层)  | 塔楼,0人关注 / 一年前发布,70,"6,087元/平"
此房格局方正、利用率高、适合居住,西华现代城小区 -西华县,3室2厅 | 130平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,48,"3,693元/平"
天泰花园箕城路南段交通便利生活设施齐全,天泰花园 -西华县,3室2厅 | 143.56平米 | 南 | 毛坯 | 高楼层(共6层)  | 板塔结合,27人关注 / 一年前发布,24,"1,672元/平"
江南水乡。3房2厅1厨2卫，急售；,江南水乡 -西华县,3室2厅 | 130平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,37.9,"2,916元/平"
幸福花开三室，证满可按揭，中间楼层，毛坯房随意装,幸福花开文苑 -川汇区政府商圈,3室2厅 | 127平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 塔楼,0人关注 / 一年前发布,70,"5,512元/平"
离县城近 家门口上学 经典大三室 旁边多公园,城中花园 -西华县,3室2厅 | 131.18平米 | 南 北 | 毛坯 | 23层  | 板楼,1人关注 / 一年前发布,50,"3,812元/平"
幸福花开文苑 全新装修 首 次入住 带南北双阳台有证,幸福花开文苑 -川汇区政府商圈,3室2厅 | 122.17平米 | 东南 | 简装 | 低楼层(共18层)  | 板塔结合,2人关注 / 一年前发布,75,"6,139元/平"
交通便利楼层好，地段热闹人流量大,东方国际 -西华县,3室2厅 | 135.57平米 | 南 | 毛坯 | 高楼层(共22层)  | 板塔结合,0人关注 / 一年前发布,55.9,"4,124元/平"
交通便利   出行方便    证件在手    随时过户·,鑫丰苑 -沈丘县,4室2厅 | 148.92平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板塔结合,2人关注 / 一年前发布,48,"3,224元/平"
急售佳和园大三居，户型方正采光好，有证可按揭,佳和园小区 -沈丘县,3室2厅 | 132平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,38,"2,879元/平"
得房率高，视野好， 无遮挡， 采光好， 房型正,温馨家园 -西华县,3室2厅 | 115平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,28.5,"2,479元/平"
祥和家园道路宽广。适合老中青三代人居住。,祥和家园 -西华县,4室2厅 | 147平米 | 南 北 | 毛坯 | 中楼层(共5层)  | 板塔结合,0人关注 / 一年前发布,34,"2,313元/平"
建业森林半岛简装三房 南北通风  楼层适中看房方便,建业森林半岛 -周师商圈,3室2厅 | 138平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,4人关注 / 一年前发布,87,"6,305元/平"
好楼层，南北通风好户型，品质小区,景园盛世华都 -周师商圈,3室2厅 | 140.42平米 | 南 | 毛坯 | 中楼层(共20层)  | 板塔结合,0人关注 / 一年前发布,120,"8,546元/平"
出门方便有证可以按揭 随时过户,富都小区 -沈丘县,3室2厅 | 130.78平米 | 南 | 毛坯 | 低楼层(共6层)  | 板塔结合,5人关注 / 11个月以前发布,40,"3,059元/平"
此房户型方正，采光好，交通便利。,天泰花园 -西华县,4室2厅 | 138平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,1人关注 / 9个月以前发布,48,"3,479元/平"
康馨澜悦府，联排别墅，上下三层，带南院，毛坯现房,康馨澜悦府 -沈丘县,5室2厅 | 317.9平米 | 东南 南 | 毛坯 | 低楼层(共3层)  | 暂无数据,1人关注 / 8个月以前发布,177,"5,568元/平"
大唐帝湖前后无遮挡采光很好 四居室东边户,天龙郡帝湖 -沈丘县,4室2厅 | 137平米 | 南 | 毛坯 | 高楼层(共9层)  | 暂无数据,0人关注 / 7个月以前发布,99,"7,227元/平"
小区环境好 ，出行方便，户型方正。,睿园 -沈丘县,5室2厅 | 214平米 | 南 | 毛坯 | 高楼层(共7层)  | 板塔结合,0人关注 / 10个月以前发布,119,"5,561元/平"
此房采光充足 卧室朝阳南边无遮挡价格合适,明盛家园 -西华县,3室2厅 | 149.5平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,40,"2,676元/平"
天龙郡帝湖3-2-1-2 128.00m² 84 万,天龙郡帝湖 -沈丘县,3室2厅 | 128平米 | 南 | 毛坯 | 高楼层(共9层)  | 暂无数据,1人关注 / 8个月以前发布,84,"6,563元/平"
开元 路建业春天里，毛坯三房，130平方,建业春天里(周口） -南广场万达商圈,3室2厅 | 130平米 | 南 | 毛坯 | 高楼层(共9层)  | 塔楼,0人关注 / 一年前发布,92,"7,077元/平"
大富城；3房2厅1厨2卫，急售，,大富城 -西华县,3室2厅 | 126平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,8人关注 / 一年前发布,50.9,"4,040元/平"
城中花园 诚心出售   价位可谈 3室2厅2卫,城中花园 -西华县,3室2厅 | 123.83平米 | 南 北 | 毛坯 | 22层  | 暂无数据,0人关注 / 4个月以前发布,47,"3,796元/平"
东边户！体育馆旁，中间楼层，采光无遮挡，可实地看房,建业森林半岛 -周师商圈,3室2厅 | 130平米 | 南 | 简装 | 中楼层(共26层)  | 板塔结合,0人关注 / 5个月以前发布,82,"6,308元/平"
此房有证满两年，坐北朝南，南北对流,阳光花园 -现代城商圈,3室2厅 | 136.6平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,1人关注 / 4个月以前发布,65,"4,759元/平"
此房位置好 户型设计合理  采光通风良好,警苑小区 -西华县,3室2厅 | 141.49平米 | 南 | 毛坯 | 中楼层(共11层)  | 暂无数据,0人关注 / 6个月以前发布,43,"3,040元/平"
此房是一楼带院的 户型好 东边户 采光好 前后无遮挡,尚书壹号院 -沈丘县,3室2厅 | 132.4平米 | 南 | 毛坯 | 低楼层(共9层)  | 塔楼,0人关注 / 5个月以前发布,123,"9,291元/平"
世纪豪庭，本地实力开发商，物业管理完善，房本在手..,世纪豪庭 -沈丘县,3室2厅 | 125.72平米 | 南 | 简装 | 高楼层(共4层)  | 板塔结合,1人关注 / 6个月以前发布,55,"4,375元/平"
建业桂圆，一楼带院136平，大三居，随时可看房,建业桂园 -沈丘县,3室2厅 | 136.58平米 | 南 | 毛坯 | 低楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,94,"6,883元/平"
此房为南关新区房，建业的品质，做工精良，人车分流。,理想城 -西华县,3室2厅 | 145平米 | 南 | 毛坯 | 中楼层(共27层)  | 板楼,0人关注 / 4个月以前发布,70,"4,828元/平"
城中花园 4室2厅 南,城中花园 -西华县,4室2厅 | 147.58平米 | 南 | 毛坯 | 中楼层(共22层)  | 板塔结合,0人关注 / 2个月以前发布,50,"3,388元/平"
中 心繁华地段 买东西近很全 位置好 孩子上学方便,育龙鑫城 -西华县,3室2厅 | 124.79平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,38,"3,046元/平"
交通方便，设施齐全。房型方正，得房率高。,农行家属院 -西华县,3室2厅 | 145平米 | 南 | 简装 | 高楼层(共4层)  | 暂无数据,1人关注 / 一年前发布,28,"1,932元/平"
天鹅职专   家属院毛坯三房，位置佳，户型好,天鹅职专教师家属楼 -东新区商圈,3室2厅 | 135平米 | 东南 南 | 毛坯 | 高楼层(共13层)  | 暂无数据,0人关注 / 8个月以前发布,64,"4,741元/平"
颍滨上城 户型方正 出行方便，视野宽阔,颍滨上城 -沈丘县,3室2厅 | 136平米 | 南 | 毛坯 | 高楼层(共17层)  | 暂无数据,1人关注 / 7个月以前发布,61,"4,486元/平"
沈丘大小区，户型好，楼层好，采光好。,中瑞家天下 -沈丘县,3室2厅 | 116平米 | 南 | 简装 | 低楼层(共25层)  | 塔楼,2人关注 / 3个月以前发布,56,"4,828元/平"
印刷厂家属院 3室2厅 南,印刷厂家属院 -西华县,3室2厅 | 116平米 | 南 | 简装 | 中楼层(共4层)  | 板楼,0人关注 / 5个月以前发布,42,"3,621元/平"
此房格局好楼层好视野宽阔采光充足配套齐全交通便利,亿豪花园 -沈丘县,3室2厅 | 132.21平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板塔结合,0人关注 / 4个月以前发布,56,"4,236元/平"
观澜国际  温馨两室 有钥匙随时看房 诚心出售,观澜国际 -周师商圈,2室2厅 | 89平米 | 南 | 精装 | 中楼层(共27层)  | 板塔结合,0人关注 / 2个月以前发布,65,"7,304元/平"
山水家园一期3-2-1-1 101.00m² 38 万）,山水家园一期 -西华县,3室2厅 | 101平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,4人关注 / 一年前发布,34,"3,367元/平"
奥兰天和精装2室，全新未入住，带地暖，全屋硅藻泥。,奧蘭天和家園 -周师商圈,2室2厅 | 91.56平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,13人关注 / 一年前发布,65,"7,100元/平"
精装大两房，房子很干净，满五唯一，支持按揭,建业森林半岛 -周师商圈,2室2厅 | 100.61平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,3人关注 / 一年前发布,65,"6,461元/平"
乾和家园 3室2厅 南,乾和家园 -周师商圈,3室2厅 | 125平米 | 南 | 毛坯 | 中楼层(共22层)  | 暂无数据,0人关注 / 3个月以前发布,42,"3,360元/平"
康馨佳园挨着是中英文，出行方便，环境很好,康馨佳园 -沈丘县,3室2厅 | 126.9平米 | 南 | 毛坯 | 高楼层(共7层)  | 塔楼,0人关注 / 2个月以前发布,61,"4,807元/平"
房子楼层好，采光无遮挡，房子户型方正,建业城一期 -淮阳县,3室2厅 | 116平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板楼,2人关注 / 3个月以前发布,72,"6,207元/平"
景枫嘉苑  小三居简装 纯南户型随时看房,景峰嘉苑 -沈丘县,3室2厅 | 129.66平米 | 南 | 简装 | 中楼层(共21层)  | 塔楼,0人关注 / 4个月以前发布,58,"4,474元/平"
小区绿化 率高达50％.小区环境优雅.高 端小区,强达第一城 -西华县,3室2厅 | 127平米 | 东南 | 毛坯 | 高楼层(共12层)  | 板塔结合,0人关注 / 一年前发布,50,"3,938元/平"
世纪家园成熟小区  ，即买即装修。,世纪家园 -沈丘县,3室1厅 | 102平米 | 南 北 | 毛坯 | 高楼层(共5层)  | 暂无数据,11人关注 / 一年前发布,26,"2,550元/平"
此房地理位置优越，出行方便，紧靠体育场,皇家花园 -沈丘县,2室2厅 | 91.64平米 | 南 | 毛坯 | 低楼层(共18层)  | 塔楼,6人关注 / 一年前发布,36,"3,929元/平"
业主诚心出售 有证税满简装三室，含阁楼 露台 储藏室,昌隆·御景苑 -文昌大道佳丽商圈,3室2厅 | 122平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,55,"4,509元/平"
南关新区好房出售，精装修，业主诚心出售,盛弘朗庭 -西华县,3室2厅 | 129.44平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,1人关注 / 11个月以前发布,70,"5,408元/平"
锦华杰座简单装修可按揭有钥匙可看房,华信锦华杰座 -沈丘县,3室2厅 | 146平米 | 西 | 简装 | 高楼层(共22层)  | 暂无数据,3人关注 / 8个月以前发布,62,"4,247元/平"
三房两厅，一卫，毛坯，现房，有证,大唐升龙城 -沈丘县,3室2厅 | 104.5平米 | 南 | 毛坯 | 低楼层(共7层)  | 暂无数据,0人关注 / 8个月以前发布,75,"7,178元/平"
建业三期君临府，小区环境优美，出行方便配套齐全,君邻府 -沈丘县,4室2厅 | 168平米 | 南 | 毛坯 | 低楼层(共9层)  | 暂无数据,0人关注 / 8个月以前发布,104,"6,191元/平"
一楼带院 精装修未入住 全屋品牌家私,建业春天里(周口） -南广场万达商圈,3室2厅 | 135平米 | 南 | 精装 | 低楼层(共6层)  | 塔楼,8人关注 / 一年前发布,118,"8,741元/平"
房东诚心卖，物业好，购物方便，有证，,亿豪花园 -沈丘县,5室2厅 | 186平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,6人关注 / 一年前发布,53,"2,850元/平"
精装现房，保护完好，三卧朝阳，南北通风，采光佳，,欧洲花园 -沈丘县,3室2厅 | 135.51平米 | 南 | 简装 | 高楼层(共6层)  | 平房,1人关注 / 一年前发布,59,"4,354元/平"
成熟社区，楼层好，采光无遮拦，户型合理,建业森林半岛 -周师商圈,3室2厅 | 108平米 | 南 | 毛坯 | 低楼层(共26层)  | 板塔结合,5人关注 / 10个月以前发布,66,"6,112元/平"
九层电梯洋房   配套设施齐全   交通便利,君邻府 -沈丘县,3室2厅 | 120平米 | 南 北 | 毛坯 | 中楼层(共9层)  | 板塔结合,0人关注 / 一年前发布,78,"6,500元/平"
此房证在手，采光刺眼，证在手，可随时看房,君邻府 -沈丘县,3室2厅 | 141平米 | 南 北 | 毛坯 | 高楼层(共9层)  | 暂无数据,0人关注 / 一年前发布,92,"6,525元/平"
建业春天里以春天为名，一年四季绿树成荫，带车位,建业春天里(周口） -南广场万达商圈,3室2厅 | 134平米 | 南 | 毛坯 | 中楼层(共9层)  | 塔楼,0人关注 / 一年前发布,85,"6,344元/平"
建业城东区，大4居，有证可以按揭，毛坯新房，电梯房,建业城东区 -沈丘县,4室2厅 | 155平米 | 南 | 毛坯 | 低楼层(共9层)  | 暂无数据,5人关注 / 5个月以前发布,86,"5,549元/平"
芙蓉园西区，三楼带四楼，五居室，采光充足,芙蓉园西区 -沈丘县,5室3厅 | 230平米 | 南 | 毛坯 | 中楼层(共4层)  | 暂无数据,3人关注 / 一年前发布,71,"3,087元/平"
中悦上尊，毛坯三房，任意装修，采光好，户型方正！,中悦·上尊 -中原国际商贸城商圈,3室2厅 | 109.49平米 | 南 | 毛坯 | 高楼层(共27层)  | 塔楼,0人关注 / 一年前发布,64,"5,846元/平"
建业后海街区，两室两厅一卫，带大平台，看房有钥匙,建业森林半岛 -周师商圈,2室2厅 | 110平米 | 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,7人关注 / 一年前发布,70,"6,364元/平"
天明城名仕公馆 3室2厅 东 东南,天明城名仕公馆 -东新区商圈,3室2厅 | 130平米 | 东 东南 | 毛坯 | 低楼层(共28层)  | 板塔结合,0人关注 / 一年前发布,70,"5,385元/平"
景峰嘉苑三居室   证在手 即买即可以装修入住,景峰嘉苑 -沈丘县,3室2厅 | 109平米 | 南 北 | 毛坯 | 低楼层(共22层)  | 塔楼,0人关注 / 11个月以前发布,43,"3,945元/平"
房子是毛坯房，户型方正，采光好，随意装修,观澜国际 -周师商圈,3室2厅 | 89.5平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 板塔结合,2人关注 / 一年前发布,69,"7,710元/平"
楼层好，视野开阔，采光充足，配套齐全，交通便利,建业置地广场 -泰和城商圈,3室2厅 | 131平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 暂无数据,3人关注 / 一年前发布,77,"5,878元/平"
南北格局，通透户型！全明户型，简单装修，房产证在手,世纪豪庭 -沈丘县,3室2厅 | 111平米 | 东 | 简装 | 中楼层(共5层)  | 板楼,2人关注 / 5个月以前发布,45,"4,055元/平"
万顺达广场3-2-1-2 110.00m² 65 万,万顺达广场 -西华县,3室2厅 | 110平米 | 南 | 简装 | 中楼层(共24层)  | 暂无数据,1人关注 / 5个月以前发布,64.5,"5,864元/平"
电梯洋房 小区环境好绿化好 物业管理完善,建业箕城上院 -西华县,3室2厅 | 139平米 | 南 北 | 毛坯 | 高楼层(共9层)  | 暂无数据,0人关注 / 4个月以前发布,79.9,"5,749元/平"
房子是毛坯房，户型方正，采光好，随意装修,观澜国际 -周师商圈,3室2厅 | 89.5平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 板塔结合,2人关注 / 一年前发布,69,"7,710元/平"
尚书府 3室2厅 南,尚书府 -沈丘县,3室2厅 | 115.76平米 | 南 | 毛坯 | 高楼层(共9层)  | 暂无数据,0人关注 / 6个月以前发布,80,"6,911元/平"
碧桂园中央公园四室两厅两卫中间位置观景房出售,碧桂园中央公园 -万基城商圈,4室2厅 | 143.5平米 | 南 | 毛坯 | 高楼层(共15层)  | 暂无数据,0人关注 / 8个月以前发布,89.2,"6,217元/平"
佳利金色东方佳苑 精装修大三房 看房有钥匙,佳利金色东方信苑 -文昌大道佳丽商圈,3室2厅 | 122平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,3人关注 / 一年前发布,77,"6,312元/平"
美好家园 4室2厅 南,美好家园 -万基城商圈,4室2厅 | 140平米 | 南 | 毛坯 | 高楼层(共11层)  | 板塔结合,1人关注 / 8个月以前发布,48,"3,429元/平"
丗和府毛坯四房视野开阔，全天采光,建业世和府 -东新区商圈,4室2厅 | 167平米 | 南 | 毛坯 | 高楼层(共8层)  | 板楼,1人关注 / 一年前发布,130,"7,785元/平"
此房南北通透楼层好视野宽阔采光充足交通便利,天龙郡帝湖 -沈丘县,3室2厅 | 125平米 | 南 北 | 毛坯 | 高楼层(共9层)  | 塔楼,0人关注 / 4个月以前发布,80,"6,400元/平"
周口建业城二期 户型方正 采光充足 连廊设计 随时看房,周口建业城 -南环,3室2厅 | 118平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 暂无数据,3人关注 / 一年前发布,66,"5,594元/平"
东来尚城 户型方正 一楼方便孩子老人居住 环境优美,中国铁建·东来尚城 -维也纳商圈,3室2厅 | 128平米 | 南 | 毛坯 | 低楼层(共20层)  | 暂无数据,2人关注 / 一年前发布,72,"5,625元/平"
乾和家园 3室2厅 南,乾和家园 -周师商圈,3室2厅 | 125平米 | 南 | 毛坯 | 中楼层(共22层)  | 暂无数据,0人关注 / 3个月以前发布,42,"3,360元/平"
建业城东区，大4居，有证可以按揭，毛坯新房，电梯房,建业城东区 -沈丘县,4室2厅 | 155平米 | 南 | 毛坯 | 低楼层(共9层)  | 暂无数据,5人关注 / 5个月以前发布,86,"5,549元/平"
三房两厅，一卫，毛坯，现房，有证,大唐升龙城 -沈丘县,3室2厅 | 104.5平米 | 南 | 毛坯 | 低楼层(共7层)  | 暂无数据,0人关注 / 8个月以前发布,75,"7,178元/平"
建业三期君临府，小区环境优美，出行方便配套齐全,君邻府 -沈丘县,4室2厅 | 168平米 | 南 | 毛坯 | 低楼层(共9层)  | 暂无数据,0人关注 / 8个月以前发布,104,"6,191元/平"
一楼带院 精装修未入住 全屋品牌家私,建业春天里(周口） -南广场万达商圈,3室2厅 | 135平米 | 南 | 精装 | 低楼层(共6层)  | 塔楼,8人关注 / 一年前发布,118,"8,741元/平"
房东诚心卖，物业好，购物方便，有证，,亿豪花园 -沈丘县,5室2厅 | 186平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,6人关注 / 一年前发布,53,"2,850元/平"
精装现房，保护完好，三卧朝阳，南北通风，采光佳，,欧洲花园 -沈丘县,3室2厅 | 135.51平米 | 南 | 简装 | 高楼层(共6层)  | 平房,1人关注 / 一年前发布,59,"4,354元/平"
小区绿化 率高达50％.小区环境优雅.高 端小区,强达第一城 -西华县,3室2厅 | 127平米 | 东南 | 毛坯 | 高楼层(共12层)  | 板塔结合,0人关注 / 一年前发布,50,"3,938元/平"
成熟社区，楼层好，采光无遮拦，户型合理,建业森林半岛 -周师商圈,3室2厅 | 108平米 | 南 | 毛坯 | 低楼层(共26层)  | 板塔结合,5人关注 / 10个月以前发布,66,"6,112元/平"
九层电梯洋房   配套设施齐全   交通便利,君邻府 -沈丘县,3室2厅 | 120平米 | 南 北 | 毛坯 | 中楼层(共9层)  | 板塔结合,0人关注 / 一年前发布,78,"6,500元/平"
此房地理位置优越，出行方便，紧靠体育场,皇家花园 -沈丘县,2室2厅 | 91.64平米 | 南 | 毛坯 | 低楼层(共18层)  | 塔楼,6人关注 / 一年前发布,36,"3,929元/平"
业主诚心出售 有证税满简装三室，含阁楼 露台 储藏室,昌隆·御景苑 -文昌大道佳丽商圈,3室2厅 | 122平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,55,"4,509元/平"
建业春天里以春天为名，一年四季绿树成荫，带车位,建业春天里(周口） -南广场万达商圈,3室2厅 | 134平米 | 南 | 毛坯 | 中楼层(共9层)  | 塔楼,0人关注 / 一年前发布,85,"6,344元/平"
南关新区好房出售，精装修，业主诚心出售,盛弘朗庭 -西华县,3室2厅 | 129.44平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,1人关注 / 11个月以前发布,70,"5,408元/平"
景枫嘉苑  小三居简装 纯南户型随时看房,景峰嘉苑 -沈丘县,3室2厅 | 129.66平米 | 南 | 简装 | 中楼层(共21层)  | 塔楼,0人关注 / 4个月以前发布,58,"4,474元/平"
康馨佳园挨着是中英文，出行方便，环境很好,康馨佳园 -沈丘县,3室2厅 | 126.9平米 | 南 | 毛坯 | 高楼层(共7层)  | 塔楼,0人关注 / 2个月以前发布,61,"4,807元/平"
房子楼层好，采光无遮挡，房子户型方正,建业城一期 -淮阳县,3室2厅 | 116平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板楼,2人关注 / 3个月以前发布,72,"6,207元/平"
此房证在手，采光刺眼，证在手，可随时看房,君邻府 -沈丘县,3室2厅 | 141平米 | 南 北 | 毛坯 | 高楼层(共9层)  | 暂无数据,0人关注 / 一年前发布,92,"6,525元/平"
世纪家园成熟小区  ，即买即装修。,世纪家园 -沈丘县,3室1厅 | 102平米 | 南 北 | 毛坯 | 高楼层(共5层)  | 暂无数据,11人关注 / 一年前发布,26,"2,550元/平"
南关新区好房出售，精装修，业主诚心出售,盛弘朗庭 -西华县,3室2厅 | 129.44平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,1人关注 / 11个月以前发布,70,"5,408元/平"
建业城东区，大4居，有证可以按揭，毛坯新房，电梯房,建业城东区 -沈丘县,4室2厅 | 155平米 | 南 | 毛坯 | 低楼层(共9层)  | 暂无数据,5人关注 / 5个月以前发布,86,"5,549元/平"
三房两厅，一卫，毛坯，现房，有证,大唐升龙城 -沈丘县,3室2厅 | 104.5平米 | 南 | 毛坯 | 低楼层(共7层)  | 暂无数据,0人关注 / 8个月以前发布,75,"7,178元/平"
建业三期君临府，小区环境优美，出行方便配套齐全,君邻府 -沈丘县,4室2厅 | 168平米 | 南 | 毛坯 | 低楼层(共9层)  | 暂无数据,0人关注 / 8个月以前发布,104,"6,191元/平"
山水家园一期3-2-1-1 101.00m² 38 万）,山水家园一期 -西华县,3室2厅 | 101平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,4人关注 / 一年前发布,34,"3,367元/平"
房子是南背童透的毛坯三室，采光充足 中间好楼层,玖号院 -周师商圈,3室2厅 | 115.9平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,31人关注 / 一年前发布,69,"5,954元/平"
锦华杰座简单装修可按揭有钥匙可看房,华信锦华杰座 -沈丘县,3室2厅 | 146平米 | 西 | 简装 | 高楼层(共22层)  | 暂无数据,3人关注 / 8个月以前发布,62,"4,247元/平"
此房地理位置优越，出行方便，紧靠体育场,皇家花园 -沈丘县,2室2厅 | 91.64平米 | 南 | 毛坯 | 低楼层(共18层)  | 塔楼,6人关注 / 一年前发布,36,"3,929元/平"
业主诚心出售 有证税满简装三室，含阁楼 露台 储藏室,昌隆·御景苑 -文昌大道佳丽商圈,3室2厅 | 122平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,55,"4,509元/平"
建业春天里以春天为名，一年四季绿树成荫，带车位,建业春天里(周口） -南广场万达商圈,3室2厅 | 134平米 | 南 | 毛坯 | 中楼层(共9层)  | 塔楼,0人关注 / 一年前发布,85,"6,344元/平"
芙蓉园西区，三楼带四楼，五居室，采光充足,芙蓉园西区 -沈丘县,5室3厅 | 230平米 | 南 | 毛坯 | 中楼层(共4层)  | 暂无数据,3人关注 / 一年前发布,71,"3,087元/平"
中悦上尊，毛坯三房，任意装修，采光好，户型方正！,中悦·上尊 -中原国际商贸城商圈,3室2厅 | 109.49平米 | 南 | 毛坯 | 高楼层(共27层)  | 塔楼,0人关注 / 一年前发布,64,"5,846元/平"
建业后海街区，两室两厅一卫，带大平台，看房有钥匙,建业森林半岛 -周师商圈,2室2厅 | 110平米 | 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,7人关注 / 一年前发布,70,"6,364元/平"
此房视野开阔，采光充足，配套齐全，绿化好，居住舒适,上海世家 -沈丘县,3室2厅 | 150平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,4人关注 / 一年前发布,59,"3,934元/平"
房子是毛坯房，户型方正，采光好，随意装修,观澜国际 -周师商圈,3室2厅 | 89.5平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 板塔结合,2人关注 / 一年前发布,69,"7,710元/平"
楼层好，视野开阔，采光充足，配套齐全，交通便利,建业置地广场 -泰和城商圈,3室2厅 | 131平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 暂无数据,3人关注 / 一年前发布,77,"5,878元/平"
精装大两房，房子很干净，满五唯一，支持按揭,建业森林半岛 -周师商圈,2室2厅 | 100.61平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,3人关注 / 一年前发布,65,"6,461元/平"
奥兰天和精装2室，全新未入住，带地暖，全屋硅藻泥。,奧蘭天和家園 -周师商圈,2室2厅 | 91.56平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,13人关注 / 一年前发布,65,"7,100元/平"
三室两厅带小院散步方便环境好，精装修,元亨华庭 -淮阳县,3室2厅 | 122.92平米 | 南 | 精装 | 低楼层(共16层)  | 板楼,3人关注 / 4个月以前发布,68,"5,533元/平"
电视台住宅楼经典三居室，采光好。,周口电视台住宅楼 -现代城商圈,3室1厅 | 130平米 | 东南 | 简装 | 高楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,38,"2,924元/平"
该房源是下沉式复式房，毛坯，有证满二,阳光花墅 -南环,5室2厅 | 168平米 | 南 | 毛坯 | 低楼层(共7层)  | 板塔结合,4人关注 / 一年前发布,260,"15,477元/平"
阳光花墅毛坯三房 有证可分期 户型好 随时可看,阳光花墅 -南环,3室2厅 | 124平米 | 北 南 | 毛坯 | 低楼层(共19层)  | 暂无数据,20人关注 / 一年前发布,65,"5,242元/平"
