标题,开发商,房子信息,发布信息,售价/万,单价
世纪城五区 好楼层 南北通透 精装修 可贷款,世纪城▪五区 -市区商圈,3室2厅 | 127平米 | 南 北 | 其他 | 高楼层(共26层)  | 板楼,0人关注 / 15天以前发布,186,"14,646元/平"
佟王 府小区三室两厅双卫中间楼层业主诚意出售价可谈,佟王府小区 -市区商圈,3室2厅 | 141平米 | 南 北 | 其他 | 中楼层(共8层)  | 暂无数据,0人关注 / 一年前发布,155,"10,993元/平"
诚心出售阳光四季城椿林苑187平四居室毛坯现房,椿林苑 -开发区商圈,4室2厅 | 187平米 | 南 北 | 其他 | 高楼层(共21层)  | 板塔结合,0人关注 / 一年前发布,156,"8,343元/平"
兴隆县隆城国际三室，业主诚心出售,隆城国际 -兴隆县,3室1厅 | 113.57平米 | 南 北 | 其他 | 低楼层(共17层)  | 暂无数据,0人关注 / 5个月以前发布,105,"9,246元/平"
兴隆县城三室好房，业主诚心出售,玉兴花园小区 -兴隆县,3室1厅 | 92.75平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,53,"5,715元/平"
此房自住看房随时可以看，配套齐全。户型不错,佳兴花园 -兴隆县,3室2厅 | 118平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,120,"10,170元/平"
急售御龙瀚府经典三居室南北通透无遮挡采光好,御龍瀚府 -开发区商圈,3室2厅 | 133平米 | 南 北 | 其他 | 中楼层(共27层)  | 板塔结合,0人关注 / 1个月以前发布,130,"9,775元/平"
凤凰御景洋房不上坡，南北通透三居室，精准修，有小院,凤凰御景 -开发区商圈,3室2厅 | 158平米 | 南 北 | 其他 | 低楼层(共9层)  | 暂无数据,0人关注 / 1个月以前发布,170,"10,760元/平"
海棠苑大三居全天采光无遮挡，简单装修本二年。,阳光四季城海棠苑 -开发区商圈,3室2厅 | 123平米 | 南 北 | 简装 | 高楼层(共27层)  | 暂无数据,1人关注 / 7个月以前发布,110,"8,944元/平"
新居宅 火车站商圈 平地不上坡 配套成熟 交通便利,新居宅小区 -市区商圈,2室1厅 | 61平米 | 东南 西北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,46,"7,541元/平"
御龙湾 全南两居室 次顶层 采光好,御龙湾小区 -开发区商圈,2室2厅 | 87平米 | 南 | 其他 | 高楼层(共33层)  | 板塔结合,0人关注 / 7个月以前发布,66,"7,587元/平"
急售御龙瀚府经典三居室南北通透无遮挡采光好,御龍瀚府 -开发区商圈,3室2厅 | 133平米 | 南 北 | 其他 | 中楼层(共27层)  | 板塔结合,0人关注 / 1个月以前发布,130,"9,775元/平"
凤凰御景洋房不上坡，南北通透三居室，精准修，有小院,凤凰御景 -开发区商圈,3室2厅 | 158平米 | 南 北 | 其他 | 低楼层(共9层)  | 暂无数据,0人关注 / 1个月以前发布,170,"10,760元/平"
西大街万华小区精装三室两厅业主诚意出售价可议,万华小区D区 -市区商圈,3室2厅 | 138平米 | 南 北 | 精装 | 低楼层(共16层)  | 暂无数据,1人关注 / 一年前发布,180,"13,044元/平"
此房满五唯一 税点低 南北通透 正房,粮市北山小区 -市区商圈,2室1厅 | 62平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 7个月以前发布,68,"10,968元/平"
本房满二年住房，.看房方便.采光好.无遮挡.视野好！,紫晶花園 -市区商圈,3室1厅 | 95.9平米 | 南 北 | 其他 | 高楼层(共13层)  | 暂无数据,0人关注 / 一年前发布,145,"15,120元/平"
户型方正 前后无遮挡 使用面积很大,邮电小区 -市区商圈,3室2厅 | 101平米 | 东 西 | 其他 | 中楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,85,"8,416元/平"
此房正规70年产权，业主诚心出售 ，没有浪费面积。,景泰静雅山庄 -市区商圈,2室2厅 | 88.78平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 一年前发布,85,"9,575元/平"
出售天马华庭南北通透的房子，采光好，视野开阔。,天马华庭 -兴隆县,3室1厅 | 137平米 | 南 北 | 其他 | 高楼层(共18层)  | 板塔结合,0人关注 / 5个月以前发布,113,"8,249元/平"
避暑山庄 小溪沟 南区  精装修 两室一厅  交通便利,小溪沟小区南区 -市区商圈,2室1厅 | 67平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,65,"9,702元/平"
长安小区二期  一楼适合老人居住  位置好 采光无遮挡,长安小区二期 -市区商圈,3室2厅 | 91平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,0人关注 / 一年前发布,90,"9,891元/平"
繁华地势，70年大产权房本在手无抵押，随时过户。,玉宇明珠 -平泉市,3室1厅 | 121平米 | 南 北 | 其他 | 低楼层(共18层)  | 暂无数据,1人关注 / 10个月以前发布,86,"7,108元/平"
房子精装修 带车位地下室 带家具家电,承德·天山水榭花都 -市区商圈,4室3厅 | 200平米 | 南 北 | 精装 | 低楼层(共4层)  | 暂无数据,2人关注 / 7个月以前发布,380,"19,000元/平"
天都嘉城又出好房，此房南北通透。前排全天采光没有遮,天都嘉成小区西区 -开发区商圈,3室2厅 | 146平米 | 北 南 | 其他 | 高楼层(共24层)  | 暂无数据,0人关注 / 4个月以前发布,120,"8,220元/平"
避暑山庄旁小区万树园三居室三楼房本满5年可贷款,萬樹園小區 -市区商圈,3室2厅 | 120平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 4个月以前发布,105,"8,750元/平"
露露花园小区交通便利配套设施齐全,露露花园 -市区商圈,3室2厅 | 141平米 | 南 北 | 其他 | 高楼层(共24层)  | 暂无数据,1人关注 / 一年前发布,290,"20,568元/平"
采光好 小区仅 此一套  产权清晰,世纪城二区 -市区商圈,3室2厅 | 130平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,160,"12,308元/平"
白云小区 南北通透 户型方正 全天采光,白云小区 -市区商圈,3室2厅 | 125平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 7个月以前发布,105,"8,400元/平"
泽州华府前排高层中间楼层精装修三室两卫,泽州华府 -平泉市,3室2厅 | 135.74平米 | 南 北 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,100,"7,368元/平"
石洞沟富华山庄配套齐全交通便利,富华山庄二期 -市区商圈,3室2厅 | 101平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,2人关注 / 一年前发布,96,"9,505元/平"
火神庙 西大街 万华小区 简单装修两居室,万华·新世界 -市区商圈,3室1厅 | 85.6平米 | 南 北 | 简装 | 低楼层(共18层)  | 暂无数据,3人关注 / 一年前发布,80,"9,346元/平"
诚心出售凤凰豪庭122平毛坯三室132万,凤凰豪庭 -开发区商圈,3室2厅 | 122.1平米 | 南 北 | 其他 | 低楼层(共17层)  | 暂无数据,2人关注 / 一年前发布,132,"10,811元/平"
离山庄通透户型 采光好 位置佳  价钱可议,小溪沟小区南区 -市区商圈,2室1厅 | 62平米 | 东 西 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 4个月以前发布,60,"9,678元/平"
水岸龙庭大三居南北通透好楼层全天采光,水岸龙庭 -市区商圈,3室2厅 | 178平米 | 北 南 | 精装 | 高楼层(共23层)  | 暂无数据,0人关注 / 一年前发布,230,"12,922元/平"
翠桥体育场简单装修天山水榭花都四室两厅业主诚心出售,承德·天山水榭花都 -市区商圈,4室2厅 | 220平米 | 南 北 | 简装 | 低楼层(共3层)  | 暂无数据,3人关注 / 一年前发布,305,"13,864元/平"
魁福园小区交通便利，配套设施齐全,魁福园 -市区商圈,2室2厅 | 79.6平米 | 南 北 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 11个月以前发布,86,"10,805元/平"
承德市 双桥区 西大街 全明户型三居室,地矿局家属楼 -市区商圈,3室1厅 | 93.5平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,78,"8,343元/平"
万华小区D区 通透三居室 户型方正 精装修,万华小区D区 -市区商圈,3室1厅 | 86平米 | 南 北 | 其他 | 高楼层(共16层)  | 暂无数据,2人关注 / 7个月以前发布,72,"8,373元/平"
此房南北通透格局楼层好视野开阔采光充足没有遮挡,御龍瀚府 -开发区商圈,3室2厅 | 144平米 | 南 北 | 其他 | 低楼层(共27层)  | 板塔结合,0人关注 / 1个月以前发布,125,"8,681元/平"
急售大石庙迎宾佳苑通透大三居采光充足,迎宾佳苑A区 -市区商圈,3室2厅 | 146平米 | 南 北 | 其他 | 中楼层(共34层)  | 暂无数据,0人关注 / 2个月以前发布,110,"7,535元/平"
鹿栅子沟小区 可以走公积金贷款 诚心出售,鹿栅子沟居住小区 -市区商圈,3室2厅 | 118平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 6个月以前发布,102,"8,645元/平"
此房自住看房随时可以看，配套齐全。户型不错,佳兴花园 -兴隆县,3室2厅 | 118平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,120,"10,170元/平"
万华小区.三阳开泰户型.随时看房,万华小区D区 -市区商圈,3室2厅 | 146平米 | 南 北 | 其他 | 低楼层(共20层)  | 板楼,0人关注 / 9个月以前发布,185,"12,672元/平"
凤凰御景叠拼别墅本二年税费低，简单装修全天采光无遮,凤凰御景 -开发区商圈,4室2厅 | 223平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 1个月以前发布,290,"13,005元/平"
隆城国际 2室1厅 东南,隆城国际 -兴隆县,2室1厅 | 91平米 | 东南 | 其他 | 中楼层(共5层)  | 暂无数据,1人关注 / 7个月以前发布,72,"7,913元/平"
佟山南小区南北通透户型，采光好 视野开阔,佟山南小区 -市区商圈,3室2厅 | 101平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 6个月以前发布,80,"7,921元/平"
迎宾路冀东花园南北正房采光好一家三代居住的好地方,冀东花园 -市区商圈,3室2厅 | 137.55平米 | 东 南 北 | 其他 | 中楼层(共27层)  | 暂无数据,1人关注 / 8个月以前发布,150,"10,906元/平"
御龙颐景简装两居 全天采光 格局视野好 电梯房好楼层,御龙颐景 -市区商圈,2室2厅 | 83.5平米 | 南 北 | 其他 | 低楼层(共16层)  | 板楼,0人关注 / 一年前发布,70,"8,384元/平"
石洞沟富华山庄配套齐全交通便利,富华山庄二期 -市区商圈,3室2厅 | 101平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,2人关注 / 一年前发布,96,"9,505元/平"
精装小三居 南北通透 采光充足 视野开阔 无遮挡,富丽花园 -市区商圈,3室2厅 | 81.45平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 8个月以前发布,79,"9,700元/平"
石洞子沟 中泰自然城  精装两室 一厅一卫  电梯中层,中泰·自然城 -市区商圈,2室1厅 | 76.04平米 | 南 | 其他 | 中楼层(共24层)  | 塔楼,0人关注 / 8个月以前发布,75,"9,864元/平"
公摊小 通透性好 居住舒适 采光无遮挡,万华小区D区 -市区商圈,2室2厅 | 81平米 | 东南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 9个月以前发布,72,"8,889元/平"
诚心出售阳光四季城椿林苑187平四居室毛坯现房,椿林苑 -开发区商圈,4室2厅 | 187平米 | 南 北 | 其他 | 高楼层(共21层)  | 板塔结合,0人关注 / 一年前发布,156,"8,343元/平"
牛圈子沟教育局住宅楼精装三居室业主诚意出售,承德市教育局住宅楼 -市区商圈,3室2厅 | 95平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 一年前发布,95,"10,000元/平"
天山别墅  家具家电全 贷款方式不限,承德·天山水榭花都 -市区商圈,5室4厅 | 280平米 | 南 北 | 其他 | 低楼层(共4层)  | 暂无数据,10人关注 / 一年前发布,680,"24,286元/平"
北 区多层毛坯三室两厅双卫 南北通透 可贷款,玉萍岛 -市区商圈,3室2厅 | 123.71平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,88,"7,114元/平"
此房为老本，简单装修 南北 通透户型三室两厅两卫,帝景园大厦 -市区商圈,3室2厅 | 171.52平米 | 南 北 | 其他 | 低楼层(共33层)  | 暂无数据,2人关注 / 一年前发布,170,"9,912元/平"
大老虎沟出售大两居室 采光充足四楼,妇幼家属楼 -市区商圈,2室2厅 | 90.08平米 | 南 西 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,80,"8,881元/平"
小区安逸舒适，让您居住在这里享受品质生活,佟王府小区 -市区商圈,3室2厅 | 93.4平米 | 南 | 简装 | 中楼层(共8层)  | 暂无数据,1人关注 / 一年前发布,102,"10,921元/平"
天山水榭花都 双卫采光好 可贷款,承德·天山水榭花都 -市区商圈,3室2厅 | 150平米 | 南 北 | 其他 | 高楼层(共12层)  | 暂无数据,0人关注 / 8个月以前发布,230,"15,334元/平"
牛圈子沟出售两居室，南北通透，平地不上坡,税务局家属楼 -市区商圈,2室1厅 | 60.3平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 9个月以前发布,39,"6,468元/平"
石洞子沟 静雅山庄 前排 不上坡 南北通透 两居室,景泰静雅山庄 -市区商圈,2室2厅 | 88.4平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,1人关注 / 7个月以前发布,105,"11,878元/平"
长安小区  单价低 两居室 67平 49万,长安小区一期 -市区商圈,2室1厅 | 67平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,1人关注 / 2个月以前发布,48,"7,165元/平"
万华前排精装修两居 采光好 位置佳  商品房,万华小区D区 -市区商圈,2室1厅 | 90平米 | 南 | 其他 | 高楼层(共24层)  | 板塔结合,0人关注 / 2个月以前发布,118,"13,112元/平"
市区次新房会龙山小区三居室带有同等阁楼房本2年,会龙山小区 -市区商圈,3室2厅 | 84平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,70,"8,334元/平"
银杏苑南北通透两居室 101.5平75万 中间楼层,阳光四季城银杏苑 -开发区商圈,2室2厅 | 101.5平米 | 南 北 | 其他 | 中楼层(共24层)  | 板塔结合,0人关注 / 1个月以前发布,75,"7,390元/平"
万华D   平地无陂  视野开拓 业主诚心出售,万华小区D区 -市区商圈,3室2厅 | 130平米 | 北 南 | 其他 | 高楼层(共28层)  | 暂无数据,2人关注 / 11个月以前发布,145,"11,154元/平"
世纪城三区 南北通透 有车位 户型方正 全天采光,世纪城三区 -市区商圈,4室2厅 | 165平米 | 南 北 | 其他 | 高楼层(共24层)  | 塔楼,3人关注 / 一年前发布,266,"16,122元/平"
世纪城五期前排3居室精装修未入住全新房房本5年,世纪城▪五区 -市区商圈,3室2厅 | 132平米 | 南 北 | 其他 | 中楼层(共11层)  | 塔楼,0人关注 / 4个月以前发布,245,"18,561元/平"
裕华临街电梯房 业主诚心出售 贷款方式不限,裕华商贸中心宿舍 -市区商圈,2室2厅 | 130.5平米 | 南 北 | 简装 | 高楼层(共13层)  | 暂无数据,0人关注 / 5个月以前发布,180,"13,794元/平"
富华二期前排户型楼  户型通透 无遮挡 采光好,富华山庄二期 -市区商圈,3室2厅 | 127平米 | 南 北 | 其他 | 低楼层(共16层)  | 板楼,0人关注 / 1个月以前发布,143,"11,260元/平"
市区次新房会龙山小区三居室带有同等阁楼房本2年,会龙山小区 -市区商圈,3室2厅 | 84平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,70,"8,334元/平"
银杏苑南北通透两居室 101.5平75万 中间楼层,阳光四季城银杏苑 -开发区商圈,2室2厅 | 101.5平米 | 南 北 | 其他 | 中楼层(共24层)  | 板塔结合,0人关注 / 1个月以前发布,75,"7,390元/平"
万华前排精装修两居 采光好 位置佳  商品房,万华小区D区 -市区商圈,2室1厅 | 90平米 | 南 | 其他 | 高楼层(共24层)  | 板塔结合,0人关注 / 2个月以前发布,118,"13,112元/平"
鹿栅子沟小区 可以走公积金贷款 诚心出售,鹿栅子沟居住小区 -市区商圈,3室2厅 | 118平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 6个月以前发布,102,"8,645元/平"
魁福园小区交通便利，配套设施齐全,魁福园 -市区商圈,2室2厅 | 79.6平米 | 南 北 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 11个月以前发布,86,"10,805元/平"
承德市 双桥区 西大街 全明户型三居室,地矿局家属楼 -市区商圈,3室1厅 | 93.5平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,78,"8,343元/平"
万华小区D区 通透三居室 户型方正 精装修,万华小区D区 -市区商圈,3室1厅 | 86平米 | 南 北 | 其他 | 高楼层(共16层)  | 暂无数据,2人关注 / 7个月以前发布,72,"8,373元/平"
水岸龙庭大三居南北通透好楼层全天采光,水岸龙庭 -市区商圈,3室2厅 | 178平米 | 北 南 | 精装 | 高楼层(共23层)  | 暂无数据,0人关注 / 一年前发布,230,"12,922元/平"
翠桥体育场简单装修天山水榭花都四室两厅业主诚心出售,承德·天山水榭花都 -市区商圈,4室2厅 | 220平米 | 南 北 | 简装 | 低楼层(共3层)  | 暂无数据,3人关注 / 一年前发布,305,"13,864元/平"
此房南北通透格局楼层好视野开阔采光充足没有遮挡,御龍瀚府 -开发区商圈,3室2厅 | 144平米 | 南 北 | 其他 | 低楼层(共27层)  | 板塔结合,0人关注 / 1个月以前发布,125,"8,681元/平"
急售大石庙迎宾佳苑通透大三居采光充足,迎宾佳苑A区 -市区商圈,3室2厅 | 146平米 | 南 北 | 其他 | 中楼层(共34层)  | 暂无数据,0人关注 / 2个月以前发布,110,"7,535元/平"
平地不上坡 临街 简装三居 南北通透 能商量,天泽嘉园 -市区商圈,3室2厅 | 141平米 | 南 北 | 其他 | 中楼层(共20层)  | 塔楼,2人关注 / 一年前发布,155,"10,993元/平"
诚心出售和润三居室精装修中间层采光充足房本满二年,和润新城 -开发区商圈,3室2厅 | 127.38平米 | 南 北 | 简装 | 低楼层(共28层)  | 暂无数据,9人关注 / 一年前发布,88,"6,909元/平"
全天采光无遮挡 给您一个家 不需要太大的地方,和润新城 -开发区商圈,3室2厅 | 106平米 | 南 北 | 其他 | 高楼层(共28层)  | 板塔结合,3人关注 / 一年前发布,85,"8,019元/平"
云中院 7室2厅 南 北,云中院 -开发区商圈,7室2厅 | 294平米 | 南 北 | 其他 | 低楼层(共27层)  | 板楼,7人关注 / 一年前发布,255,"8,674元/平"
精装小三居 南北通透 采光充足 视野开阔 无遮挡,富丽花园 -市区商圈,3室2厅 | 81.45平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 8个月以前发布,79,"9,700元/平"
石洞子沟 中泰自然城  精装两室 一厅一卫  电梯中层,中泰·自然城 -市区商圈,2室1厅 | 76.04平米 | 南 | 其他 | 中楼层(共24层)  | 塔楼,0人关注 / 8个月以前发布,75,"9,864元/平"
公摊小 通透性好 居住舒适 采光无遮挡,万华小区D区 -市区商圈,2室2厅 | 81平米 | 东南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 9个月以前发布,72,"8,889元/平"
房子是简单装修南北通透户型小区环境好,和润新城 -开发区商圈,3室1厅 | 104平米 | 北 南 | 其他 | 高楼层(共28层)  | 暂无数据,2人关注 / 一年前发布,95,"9,135元/平"
此房为老本，简单装修 南北 通透户型三室两厅两卫,帝景园大厦 -市区商圈,3室2厅 | 171.52平米 | 南 北 | 其他 | 低楼层(共33层)  | 暂无数据,2人关注 / 一年前发布,170,"9,912元/平"
大老虎沟出售大两居室 采光充足四楼,妇幼家属楼 -市区商圈,2室2厅 | 90.08平米 | 南 西 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,80,"8,881元/平"
小区安逸舒适，让您居住在这里享受品质生活,佟王府小区 -市区商圈,3室2厅 | 93.4平米 | 南 | 简装 | 中楼层(共8层)  | 暂无数据,1人关注 / 一年前发布,102,"10,921元/平"
天山水榭花都 双卫采光好 可贷款,承德·天山水榭花都 -市区商圈,3室2厅 | 150平米 | 南 北 | 其他 | 高楼层(共12层)  | 暂无数据,0人关注 / 8个月以前发布,230,"15,334元/平"
万华D   平地无陂  视野开拓 业主诚心出售,万华小区D区 -市区商圈,3室2厅 | 130平米 | 北 南 | 其他 | 高楼层(共28层)  | 暂无数据,2人关注 / 11个月以前发布,145,"11,154元/平"
牛圈子沟出售两居室，南北通透，平地不上坡,税务局家属楼 -市区商圈,2室1厅 | 60.3平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 9个月以前发布,39,"6,468元/平"
石洞子沟 静雅山庄 前排 不上坡 南北通透 两居室,景泰静雅山庄 -市区商圈,2室2厅 | 88.4平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,1人关注 / 7个月以前发布,105,"11,878元/平"
长安小区  单价低 两居室 67平 49万,长安小区一期 -市区商圈,2室1厅 | 67平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,1人关注 / 2个月以前发布,48,"7,165元/平"
世纪城三区 南北通透 有车位 户型方正 全天采光,世纪城三区 -市区商圈,4室2厅 | 165平米 | 南 北 | 其他 | 高楼层(共24层)  | 塔楼,3人关注 / 一年前发布,266,"16,122元/平"
北 区多层毛坯三室两厅双卫 南北通透 可贷款,玉萍岛 -市区商圈,3室2厅 | 123.71平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,88,"7,114元/平"
铂悦山三居室135平南北通透房，精装修，带地下室车位,承德·铂悦山 -开发区商圈,3室2厅 | 135平米 | 南 北 | 其他 | 高楼层(共16层)  | 暂无数据,0人关注 / 5个月以前发布,200,"14,815元/平"
三岔口九和玫瑰湾电梯房南北通透大二室有本可贷款,玫瑰湾 -双滦区,2室2厅 | 96.18平米 | 南 北 | 其他 | 中楼层(共27层)  | 塔楼,1人关注 / 7个月以前发布,63,"6,551元/平"
比华利别墅上下共四层 带地下室 花园 露太 本两年,東方比華利莊園 -双滦区,5室2厅 | 262平米 | 南 北 | 其他 | 低楼层(共3层)  | 暂无数据,2人关注 / 8个月以前发布,249,"9,504元/平"
此房户型南北通透格局楼层好，视野开阔，采光充足,和润朗园 -开发区商圈,3室2厅 | 131平米 | 南 北 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 10个月以前发布,130,"9,924元/平"
凤凰御景 电梯洋房 大三居 户型方正,凤凰御景 -开发区商圈,3室2厅 | 182平米 | 南 北 | 毛坯 | 低楼层(共9层)  | 暂无数据,3人关注 / 一年前发布,165,"9,066元/平"
铂悦山三居室135平南北通透房，精装修，带地下室车位,承德·铂悦山 -开发区商圈,3室2厅 | 135平米 | 南 北 | 其他 | 高楼层(共16层)  | 暂无数据,0人关注 / 5个月以前发布,200,"14,815元/平"
南北通透大三居，电梯洋房，看房方便，随意装修,凤凰御景 -开发区商圈,3室2厅 | 158平米 | 南 北 | 其他 | 低楼层(共9层)  | 暂无数据,1人关注 / 一年前发布,158,"10,000元/平"
天都嘉城前排大三居，全明户型，本二年全天采光无遮挡,天都嘉成小区西区 -开发区商圈,3室2厅 | 146平米 | 南 北 | 其他 | 高楼层(共24层)  | 暂无数据,1人关注 / 4个月以前发布,130,"8,905元/平"
五小旁大三居毛坯随意装，好楼层，落地窗带阳台，本够,生态家园 -双滦区,3室2厅 | 124.48平米 | 南 北 | 其他 | 低楼层(共22层)  | 暂无数据,1人关注 / 一年前发布,77,"6,186元/平"
业主诚心出售，看房方便，提前联系,龙祥源 -兴隆县,3室1厅 | 103.46平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,70,"6,766元/平"
凤凰御景叠拼别墅毛坯现房随时看房,凤凰御景 -开发区商圈,4室2厅 | 280平米 | 南 北 | 其他 | 低楼层(共4层)  | 暂无数据,1人关注 / 10个月以前发布,330,"11,786元/平"
银杏苑又出好房，南北通透格局，采光七小时价格美丽,阳光四季城银杏苑 -开发区商圈,3室2厅 | 130平米 | 南 北 | 简装 | 低楼层(共24层)  | 板楼,12人关注 / 7个月以前发布,90,"6,924元/平"
诚心出售御龙瀚府南向两居室中间层采光好,御龍瀚府 -开发区商圈,2室2厅 | 103平米 | 南 | 其他 | 中楼层(共27层)  | 板塔结合,0人关注 / 一年前发布,98,"9,515元/平"
前排采光好，视野好，户型方正，平地不上坡。,云中院 -开发区商圈,3室2厅 | 165平米 | 南 北 | 其他 | 低楼层(共27层)  | 暂无数据,0人关注 / 1个月以前发布,160,"9,697元/平"
万华B区 三室 本五年 可贷款  明室明厅 南北通透,万华小区B区 -市区商圈,3室2厅 | 114平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,150,"13,158元/平"
广仁大街简单装修三居室低楼层适合养老,万华·新世界 -市区商圈,3室1厅 | 85.6平米 | 南 北 | 简装 | 低楼层(共18层)  | 板塔结合,3人关注 / 一年前发布,88,"10,281元/平"
车站旁精装三室.全明户型.采光视野都很棒,至尊门第 -兴隆县,3室2厅 | 134.9平米 | 南 北 | 其他 | 中楼层(共22层)  | 暂无数据,1人关注 / 9个月以前发布,105,"7,784元/平"
业主诚心出售 ，户型合理，没有浪费面积,佟山南小区 -市区商圈,3室2厅 | 105.68平米 | 南 北 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,105,"9,936元/平"
双滦区大两居精装修家具齐全，拎包入住,顺发·鑫顺家园二期 -双滦区,2室2厅 | 103平米 | 南 | 其他 | 中楼层(共17层)  | 板塔结合,0人关注 / 8个月以前发布,80,"7,767元/平"
此房精装修，电梯房中间楼层，采光好,龙祥源 -兴隆县,3室1厅 | 124平米 | 南 | 精装 | 中楼层(共13层)  | 暂无数据,2人关注 / 6个月以前发布,75,"6,049元/平"
五 小旁三室毛坯随意装，好楼层南北通透，有大露台,生态家园 -双滦区,3室2厅 | 131平米 | 南 北 | 其他 | 低楼层(共24层)  | 塔楼,1人关注 / 7个月以前发布,75,"5,726元/平"
三居室  高楼层 视野好 无遮挡 户型方正,万和城C区 -双滦区,3室2厅 | 107平米 | 南 | 其他 | 中楼层(共25层)  | 暂无数据,0人关注 / 一年前发布,76,"7,103元/平"
急售凤凰金庭214平空中花园精装修采光好,凤凰御景 -开发区商圈,5室2厅 | 214平米 | 南 北 | 其他 | 高楼层(共17层)  | 板塔结合,0人关注 / 1个月以前发布,198,"9,253元/平"
急售凤凰御景大三居154平中间层采光好随时看房,凤凰御景 -开发区商圈,3室2厅 | 154.13平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,188,"12,198元/平"
凤凰御庭三居室南北通透。视野开阔。全天采光。,凤凰御庭 -开发区商圈,3室2厅 | 150平米 | 南 北 | 其他 | 中楼层(共26层)  | 板塔结合,0人关注 / 5个月以前发布,165,"11,000元/平"
南北通透格局好，楼层好，视野宽阔，采光充足,兴隆融创城朗园 -兴隆县,3室2厅 | 125.78平米 | 南 北 | 其他 | 低楼层(共15层)  | 暂无数据,0人关注 / 1个月以前发布,100,"7,951元/平"
鹏鸣好楼层电梯房三居两卫.价钱可商量,鹏鸣 -兴隆县,3室2厅 | 124.98平米 | 南 西 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 2个月以前发布,82,"6,562元/平"
滨河佳苑大根据南北通透户型方正，采光好视野开阔,滨河佳苑 -开发区商圈,3室2厅 | 140平米 | 南 北 | 其他 | 低楼层(共34层)  | 板塔结合,2人关注 / 一年前发布,125,"8,929元/平"
