标题,开发商,房子信息,发布信息,售价/万,单价
景苑花园 5室2厅 南 北,景苑花园 -一号公馆,5室2厅 | 239.92平米 | 南 北 | 精装 | 低楼层(共11层)  | 板塔结合,0人关注 / 10天以前发布,145,"6,044元/平"
配套成熟  采光好  交通便利  购物方便。。。。,二化小区 -包头站,2室2厅 | 80平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 7个月以前发布,50.5,"6,313元/平"
锦绣嘉园   3楼   中间楼层   标准H 户型,锦绣嘉园 -广汇,2室1厅 | 70平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,9人关注 / 一年前发布,53,"7,572元/平"
优质毛坯房，交通便利，配套设施齐全,金泰花园 -广汇,3室1厅 | 134平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 板楼,52人关注 / 一年前发布,68,"5,075元/平"
房主看房随时 满五 价格合适 毛坯房婚房可随意装修,宁鹿水岸佳苑 -环城路,3室2厅 | 167.54平米 | 南 北 | 毛坯 | 高楼层(共12层)  | 板楼,2人关注 / 一年前发布,89.5,"5,343元/平"
不吃差价不收返费 东亚二期三居室好房出售,东亚世纪城文雅苑 -东亚,3室2厅 | 130平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,0人关注 / 3个月以前发布,113,"8,693元/平"
万达五一市场 青云一段 二楼侧户 精装俩室 客厅有窗,青云一段 -五一市场,2室2厅 | 70平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 一年前发布,57,"8,143元/平"
青年路18号街坊 紧挨实验二 小 包百商圈 户型方正,青年路18号街坊 -包百,2室1厅 | 75平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,61.5,"8,200元/平"
新上两房 业主诚心出售，近万达商圈,口岸花苑 -口岸花园,2室2厅 | 109.96平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 9个月以前发布,89,"8,094元/平"
业主诚意出售，小区绿化好，停车方便，看房方便。,民馨家园一区 -民馨家园,2室1厅 | 68平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,30,"4,412元/平"
番茄小区，小区环境干净整洁，出行方便,番茄小区一区 -甲尔坝,2室2厅 | 95平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,9人关注 / 一年前发布,55,"5,790元/平"
南北通透，采光充足，房主诚心出售,胜源滨河新城 -民馨家园,3室2厅 | 139平米 | 南 北 | 精装 | 高楼层(共18层)  | 暂无数据,2人关注 / 一年前发布,76,"5,468元/平"
南北通透格局，楼层好，视野宽阔，婚房,桐荷嘉苑 -九原万达,3室2厅 | 129.94平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,82,"6,311元/平"
青苑小区 紧挨包百 七中 南北通透 经典大三居户型,青苑小区 -恰特,3室2厅 | 136.67平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,96,"7,025元/平"
富力城一期全新精装出售 无大税 价格可议,富力城 -九原区,3室2厅 | 117平米 | 南 北 | 精装 | 高楼层(共24层)  | 板楼,4人关注 / 6个月以前发布,92,"7,864元/平"
一楼带小院 红星九曲花街 有凉房 可以贷 款,食品宿舍楼 -人民公园,2室2厅 | 66平米 | 南 北 | 精装 | 低楼层(共5层)  | 板塔结合,33人关注 / 一年前发布,32,"4,849元/平"
万郡三居 毛坯房 视野好 看房方便,万郡大都城 -万郡,3室2厅 | 134.48平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,103,"7,660元/平"
赛罕塔拉公园 阳面大客厅 毛坯三居室 中间楼层 急售,当代左岸绿洲 -大连新型居住区,3室2厅 | 121.68平米 | 南 北 | 毛坯 | 中楼层(共19层)  | 板楼,44人关注 / 一年前发布,92,"7,561元/平"
九原富贵家园 钥匙房 无大税可贷款 紧挨49中,富贵佳园 -沙河街,2室2厅 | 86平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,53,"6,163元/平"
帝景三期中高楼层好房  吾悦商圈 复式结构,京奥港花园 -东亚,3室2厅 | 99平米 | 南 北 | 简装 | 中楼层(共34层)  | 板楼,10人关注 / 一年前发布,69,"6,970元/平"
滨海名都二期，顶账好房诚心出售,滨海名都二期 -南开小学,3室2厅 | 118.35平米 | 南 | 毛坯 | 高楼层(共30层)  | 板楼,0人关注 / 3个月以前发布,91,"7,690元/平"
此房地处蒙中医院商圈满五唯一可贷款成熟社区配套完善,锦绣香格里拉花园 -蒙中医院,2室2厅 | 91平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 2个月以前发布,52,"5,715元/平"
育华小区  交通便利   包百商圈,育华小区(少先路) -包百,3室2厅 | 99.79平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,55,"5,512元/平"
真实房源 不吃差价 不收返费 4楼 不临街不把边,横泰佳苑 -包钢设计院,2室2厅 | 103平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,78.5,"7,622元/平"
友谊嘉园 步梯三居室 南开小 学 交通便利,友谊嘉园 -南开小学,3室2厅 | 106.68平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,23人关注 / 一年前发布,90,"8,437元/平"
房子刚领钥匙，新小区，环境优美，典型格局,保利心语 -中建御澜世家,3室2厅 | 120.16平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,113.3,"9,430元/平"
【不吃差价，不收返费】精装修，全套家具家电,富力城 -九原区,4室2厅 | 171.5平米 | 南 北 | 精装 | 高楼层(共24层)  | 板楼,0人关注 / 一年前发布,124,"7,231元/平"
日月豪庭中间位置南北通透采光好，有房本无大税可贷款,日月豪庭 -鹿港小镇,3室2厅 | 140.8平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,0人关注 / 一年前发布,130,"9,233元/平"
经典户型 采光*好 楼下就是草原 每天都呼吸新鲜空气,中国中铁诺德国际花园 -南开小学,3室3厅 | 188平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,7人关注 / 一年前发布,193,"10,266元/平"
凡尔赛 小区环境好  安静整洁,凡尔赛 -南开小学,3室2厅 | 123平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,4人关注 / 一年前发布,110,"8,944元/平"
此套房，宽敞明亮，无遮挡，物业人员责任心强,幸福南路一号街坊 -鹿港小镇,2室2厅 | 102.45平米 | 东 西 | 简装 | 中楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,53,"5,174元/平"
滨海名都二期，采光好，楼层好，业主诚心出售好房,滨海名都二期 -南开小学,3室2厅 | 134.74平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,116,"8,610元/平"
环西商圈，金典户型，看房方便，，，，，,环西工贸楼 -通顺,2室1厅 | 78.12平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,36,"4,609元/平"
街芯位置 正翔国际 枫景苑 中间楼层 纯毛坯 三居室,正翔国际 -青山区,3室2厅 | 124平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 板塔结合,26人关注 / 一年前发布,140,"11,291元/平"
西脑包 人民公园 3楼 格局好 有本  吾悦广场,康乐小区(东河区) -西脑包,2室2厅 | 80平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 7个月以前发布,36,"4,500元/平"
【不吃差价，不收返费】精装修，全套家具家电,富力城 -九原区,4室2厅 | 171.5平米 | 南 北 | 精装 | 高楼层(共24层)  | 板楼,0人关注 / 一年前发布,124,"7,231元/平"
日月豪庭中间位置南北通透采光好，有房本无大税可贷款,日月豪庭 -鹿港小镇,3室2厅 | 140.8平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,0人关注 / 一年前发布,130,"9,233元/平"
高楼层，采光好，视野无遮挡！未来电梯洋房！,汇金小区 -包钢设计院,2室2厅 | 91平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,6人关注 / 一年前发布,55,"6,044元/平"
健康阳光城 精装修 采光充足 配套齐全,健康阳光城 -保利,2室2厅 | 103.33平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,7人关注 / 9个月以前发布,81,"7,839元/平"
滨海名都二期，顶账好房诚心出售,滨海名都二期 -南开小学,3室2厅 | 118.35平米 | 南 | 毛坯 | 高楼层(共30层)  | 板楼,0人关注 / 3个月以前发布,91,"7,690元/平"
此房地处蒙中医院商圈满五唯一可贷款成熟社区配套完善,锦绣香格里拉花园 -蒙中医院,2室2厅 | 91平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 2个月以前发布,52,"5,715元/平"
此套房，户型好，无遮挡，楼层好，配套设施完善，,滨海名都二期 -南开小学,3室2厅 | 133.62平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 板楼,10人关注 / 一年前发布,118,"8,832元/平"
龙苑小区出行方便 价格合适 生活便利,龙苑A区 -龙苑,2室2厅 | 91平米 | 南 北 | 精装 | 低楼层(共14层)  | 板楼,4人关注 / 9个月以前发布,47.5,"5,220元/平"
户型设计合理，没有浪面积。房子温馨，小区成熟,东海花园 -鹿港小镇,2室2厅 | 97平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,6人关注 / 一年前发布,82,"8,454元/平"
和平路东四区步梯四楼金一 小 24中 五证齐全 商圈丰富,和平路东四区 -南圪洞,2室1厅 | 74.31平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,35,"4,710元/平"
菁英国际，电梯十三层，不临街，不把边，前后无遮挡,当代菁英国际 -万郡,3室2厅 | 166平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 板楼,1人关注 / 一年前发布,125.9,"7,585元/平"
赛罕塔拉公园 阳面大客厅 毛坯三居室 中间楼层 急售,当代左岸绿洲 -大连新型居住区,3室2厅 | 121.68平米 | 南 北 | 毛坯 | 中楼层(共19层)  | 板楼,44人关注 / 一年前发布,92,"7,561元/平"
富力城一期全新精装出售 无大税 价格可议,富力城 -九原区,3室2厅 | 117平米 | 南 北 | 精装 | 高楼层(共24层)  | 板楼,4人关注 / 6个月以前发布,92,"7,864元/平"
九原富贵家园 钥匙房 无大税可贷款 紧挨49中,富贵佳园 -沙河街,2室2厅 | 86平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,53,"6,163元/平"
帝景三期中高楼层好房  吾悦商圈 复式结构,京奥港花园 -东亚,3室2厅 | 99平米 | 南 北 | 简装 | 中楼层(共34层)  | 板楼,10人关注 / 一年前发布,69,"6,970元/平"
法院园 一号公馆旁 二楼 四室两厅随时能看房带车库,法苑园 -一号公馆,4室2厅 | 158平米 | 南 | 毛坯 | 中楼层(共5层)  | 板楼,22人关注 / 一年前发布,145,"9,178元/平"
江南文殊院 精装一楼 南北通透 繁华位置 看房方便,江南文枢苑叠韵 -包钢设计院,3室2厅 | 68平米 | 南 北 | 精装 | 低楼层(共30层)  | 板楼,32人关注 / 一年前发布,86,"12,648元/平"
凡尔赛 小区环境好  干净整洁,凡尔赛 -南开小学,2室2厅 | 120.88平米 | 南 北 | 精装 | 低楼层(共26层)  | 板楼,0人关注 / 11个月以前发布,110,"9,100元/平"
九星商圈，鹿景苑正房三楼，随时可以看房,鹿景苑 -九星,3室2厅 | 127平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,6人关注 / 11个月以前发布,105,"8,268元/平"
御澜世家  精装修 房本满二，业主诚心出售，看房方便,中建御澜世家 -中建御澜世家,3室2厅 | 135平米 | 南 北 | 简装 | 中楼层(共32层)  | 板楼,6人关注 / 10个月以前发布,101,"7,482元/平"
滨海名都二期，顶账好房诚心出售,滨海名都二期 -南开小学,3室2厅 | 118.35平米 | 南 | 毛坯 | 高楼层(共30层)  | 板楼,2人关注 / 3个月以前发布,89,"7,521元/平"
房子户型好，精装修，可做婚房，价格可议,恒大帝景 -恒大,4室2厅 | 206平米 | 南 北 | 精装 | 高楼层(共28层)  | 板楼,0人关注 / 一年前发布,171,"8,301元/平"
一楼带小院。精装俩室 朝阳客厅,友谊嘉园 -南开小学,2室2厅 | 103平米 | 北 南 | 简装 | 低楼层(共15层)  | 板楼,3人关注 / 一年前发布,104,"10,098元/平"
滨海名都二期，采光好，楼层好，业主诚心出售好房,滨海名都二期 -南开小学,3室2厅 | 134.74平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,116,"8,610元/平"
街芯位置 正翔国际 枫景苑 中间楼层 纯毛坯 三居室,正翔国际 -青山区,3室2厅 | 124平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 板塔结合,26人关注 / 一年前发布,140,"11,291元/平"
西脑包 人民公园 3楼 格局好 有本  吾悦广场,康乐小区(东河区) -西脑包,2室2厅 | 80平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 7个月以前发布,36,"4,500元/平"
新都市区恒大华府，四室，无大税，可贷款，二楼。,恒大华府A区 -恒大,4室2厅 | 199.5平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,7人关注 / 一年前发布,155,"7,770元/平"
植物园西门 向阳家园  标准格局 精装修 35,向阳家园 -包三十五中,3室3厅 | 141.59平米 | 南 北 | 精装 | 高楼层(共10层)  | 暂无数据,11人关注 / 11个月以前发布,169,"11,936元/平"
万郡大都城 毛坯三居室 南北通透 采光好 出门奥体公园,万郡大都城 -万郡,3室2厅 | 133平米 | 南 北 | 毛坯 | 低楼层(共30层)  | 板楼,3人关注 / 一年前发布,103,"7,745元/平"
精装修 户型方正 拎包入住 交通便利,景苑花园 -一号公馆,3室2厅 | 130.14平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,110.8,"8,514元/平"
南圪洞一区 2楼 南北通透 92平 全天彩光 配套齐全,南一区 -南圪洞,2室2厅 | 92.17平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,5人关注 / 一年前发布,47,"5,100元/平"
吾悦广场，高楼层，采光好，视野好，标准户型,包头昆区吾悦华府 -内蒙古科技大学,3室2厅 | 118平米 | 南 | 毛坯 | 高楼层(共32层)  | 板楼,0人关注 / 一年前发布,106.2,"9,000元/平"
此房为中冶地产开发，小区物业好，环境好，诚心出售,中冶世家荣园 -内蒙古科技大学,2室2厅 | 117平米 | 南 北 | 简装 | 低楼层(共27层)  | 板楼,0人关注 / 一年前发布,117,"10,000元/平"
吾悦广场旁  高档小区  标准户型 南北通透,包头昆区吾悦华府 -内蒙古科技大学,3室2厅 | 108平米 | 南 北 | 毛坯 | 低楼层(共34层)  | 板楼,5人关注 / 一年前发布,90,"8,334元/平"
傲北上城，毛坯有本可贷款，户型好中间楼层，可议价,傲北上城 -甲尔坝,3室2厅 | 137.6平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 塔楼,3人关注 / 一年前发布,98,"7,123元/平"
不吃差价，不收返费，看房方便有钥匙，南北通透简单装,青年17 -恰特,2室1厅 | 58平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,40,"6,897元/平"
包头市东河区西脑包住建风景。。,住建风景 -西脑包,3室2厅 | 107.73平米 | 南 北 | 毛坯 | 中楼层(共14层)  | 暂无数据,2人关注 / 11个月以前发布,70,"6,498元/平"
不吃差价不收返费，采光也没有问题.周 边配套齐全,方兴府 -内蒙古科技大学,3室2厅 | 145.56平米 | 东 | 毛坯 | 低楼层(共26层)  | 板楼,2人关注 / 一年前发布,160,"10,993元/平"
经典户型精装修，停车位充足，采光好,通顺西二区 -通顺,3室2厅 | 113平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,8人关注 / 一年前发布,45.5,"4,027元/平"
不吃差价，不收返费此房满五唯一，采光充足，交通便利,青年路15号街坊 -恰特,2室1厅 | 74平米 | 东 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,45,"6,082元/平"
通顺东二区 楼层好 采光好 有大晒台  房东诚意出售,通顺东二区 -通顺,2室1厅 | 75平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 一年前发布,43,"5,734元/平"
步梯三楼，南北通透，前后无遮挡，阳光交易，不吃差价,都兰小区 -保利,2室1厅 | 65平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 5个月以前发布,53,"8,154元/平"
红星九曲花街，步梯4楼，南北通透，格局方正,鹿鸣苑东区 -人民公园,2室2厅 | 80平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 11个月以前发布,42,"5,250元/平"
适合年轻人首套住房 精装婚房 首付少 月供少,居然新城 -甲尔坝,2室1厅 | 85.01平米 | 南 | 精装 | 高楼层(共27层)  | 暂无数据,6人关注 / 10个月以前发布,66.5,"7,823元/平"
理想城，中楼层，价格合适，吾悦广场。,裕民新城理想城 -和平村,2室2厅 | 74平米 | 南 | 简装 | 中楼层(共20层)  | 板楼,5人关注 / 一年前发布,67,"9,055元/平"
不吃差价，不收反拥，国际新城3楼3楼，72平米50万，,国际新城 -团结大街,2室2厅 | 72平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,5人关注 / 6个月以前发布,49,"6,806元/平"
内科大西南角吾悦广场旁吾悦华府毛坯房。。。。。。。,包头昆区吾悦华府 -内蒙古科技大学,3室2厅 | 118平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,3人关注 / 一年前发布,102,"8,645元/平"
精装修，位置好，公园多，出行方便,华龙苑 -阿尔丁植物园,2室1厅 | 64.5平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,47,"7,287元/平"
此房采光充足，配套设施齐全，赛汗塔拉公园一览,保利钻石小区 -保利,3室2厅 | 131.73平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板楼,5人关注 / 一年前发布,100,"7,592元/平"
此房满五不唯一，南北格局，标准户型 采光充足,幸福路7号街坊 -劳动公园,3室2厅 | 131.76平米 | 东 南 | 精装 | 高楼层(共6层)  | 板楼,10人关注 / 一年前发布,78.5,"5,958元/平"
精装修拎包入住看房方便后期费用低,友谊大街东22号街坊 -包头乐园,2室1厅 | 78平米 | 西 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,55,"7,052元/平"
业主诚意出售，小区绿化好，停车方便，看房方便。,贵发山庄 -西脑包,2室2厅 | 99.03平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,39.5,"3,989元/平"
看房方便 交通方便 业主诚意出售此房,公园路统建楼 -大红门,2室1厅 | 77平米 | 南 | 简装 | 高楼层(共5层)  | 板楼,2人关注 / 一年前发布,32,"4,156元/平"
理想城，中楼层，价格合适，吾悦广场。,裕民新城理想城 -和平村,2室2厅 | 74平米 | 南 | 简装 | 中楼层(共20层)  | 板楼,5人关注 / 一年前发布,67,"9,055元/平"
好房    急售     二楼南北通透    可更名,奥宇新城C1区 -北梁新区,3室2厅 | 116.5平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 暂无数据,8人关注 / 一年前发布,42,"3,606元/平"
不吃差价不收返费，采光也没有问题.周 边配套齐全,方兴府 -内蒙古科技大学,3室2厅 | 145.56平米 | 东 | 毛坯 | 低楼层(共26层)  | 板楼,2人关注 / 一年前发布,160,"10,993元/平"
吾悦广场，高楼层，采光好，视野好，标准户型,包头昆区吾悦华府 -内蒙古科技大学,3室2厅 | 118平米 | 南 | 毛坯 | 高楼层(共32层)  | 板楼,0人关注 / 一年前发布,106.2,"9,000元/平"
经典户型精装修，停车位充足，采光好,通顺西二区 -通顺,3室2厅 | 113平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,8人关注 / 一年前发布,45.5,"4,027元/平"
看房方便 交通方便 业主诚意出售此房,公园路统建楼 -大红门,2室1厅 | 77平米 | 南 | 简装 | 高楼层(共5层)  | 板楼,2人关注 / 一年前发布,32,"4,156元/平"
红星九曲花街，步梯4楼，南北通透，格局方正,鹿鸣苑东区 -人民公园,2室2厅 | 80平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 11个月以前发布,42,"5,250元/平"
适合年轻人首套住房 精装婚房 首付少 月供少,居然新城 -甲尔坝,2室1厅 | 85.01平米 | 南 | 精装 | 高楼层(共27层)  | 暂无数据,6人关注 / 10个月以前发布,66.5,"7,823元/平"
友谊16号街坊  3楼  好楼层  侧户,友谊大街16号街坊 -昆区华联,2室2厅 | 77.25平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,76,"9,839元/平"
翡丽湾 36小。36中赛罕塔拉天然大氧吧,翡丽湾 -万郡,4室2厅 | 160平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,13人关注 / 一年前发布,113,"7,063元/平"
九原区 兰溪花园 大落地窗  小区已有装电梯 沙河二,兰溪花园 -沙河街,3室2厅 | 122平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,16人关注 / 一年前发布,66,"5,410元/平"
青年路9号街坊 看房方便  南北通透,青年路9号街坊 -钢四小,2室2厅 | 72平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,103,"14,306元/平"
不吃差价 不收返费 采光充足，视野宽阔，环境优美,包头昆区吾悦华府 -内蒙古科技大学,3室2厅 | 129平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 一年前发布,138,"10,698元/平"
友谊21，一梯两户双阳卧，封闭小区，环境好采光足,友谊二十一社区 -昆区华联,2室1厅 | 81平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,6人关注 / 一年前发布,57,"7,038元/平"
鹿港小镇三室两卫两卫南北通透拎包入住看房方便,鹿港小镇 -鹿港小镇,3室2厅 | 136平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,98,"7,206元/平"
日月豪庭六楼带阁楼拎包入住看房方便,日月豪庭 -鹿港小镇,2室2厅 | 106.6平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,2人关注 / 7个月以前发布,80,"7,505元/平"
当代菁英国际3-2-1-2 142.00m² 114 万,当代菁英国际 -万郡,3室2厅 | 142平米 | 南 北 | 毛坯 | 高楼层(共28层)  | 板楼,1人关注 / 一年前发布,103,"7,254元/平"
当代菁英国际前排景观 双阳卧 独立厨房 城市绿肺,当代菁英国际 -万郡,4室2厅 | 190平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 板楼,15人关注 / 一年前发布,120,"6,316元/平"
不吃差价 不收返费 健康新城电梯房，此价包含地下车位,健康新城 -民主路,3室2厅 | 175.4平米 | 南 北 | 精装 | 高楼层(共14层)  | 板楼,8人关注 / 一年前发布,155,"8,837元/平"
291东河商住城 采光好 精装 拎包入住 交通方便,东河商住城 -北梁新区,2室2厅 | 94.77平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,9人关注 / 一年前发布,44,"4,643元/平"
房主一手好房，好楼层，手续齐全，户型好,瑞春园南区 -五一市场,3室2厅 | 119.24平米 | 南 北 | 精装 | 低楼层(共27层)  | 板楼,4人关注 / 11个月以前发布,105,"8,806元/平"
小区交通便利，采光好，无遮挡，业主诚意出售。,通顺西二区 -通顺,2室1厅 | 60平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,25.8,"4,300元/平"
高新区 鹿港小镇 有本配带 看房方便 南北通透,鹿港小镇 -鹿港小镇,3室2厅 | 140.71平米 | 南 北 | 简装 | 低楼层(共20层)  | 板楼,1人关注 / 一年前发布,97,"6,894元/平"
黄河小区    3楼  经典侧户 乐园商圈,黄河小区 -包头乐园,2室1厅 | 76.25平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,1人关注 / 7个月以前发布,56,"7,345元/平"
南北通透  简单装修  好楼层  交通便利 区域商圈,少先路21号街坊 -106小商品城,2室1厅 | 62.75平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,48,"7,650元/平"
业主诚意出售，地段繁华，购物便捷，停车方便。,福瑞花苑 -东河区,2室1厅 | 70.58平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 3个月以前发布,33,"4,676元/平"
广汇商圈 毛坯 小平米三室户型 楼层好,闽辉禧瑞都三期 -广汇,3室1厅 | 103平米 | 南 | 毛坯 | 中楼层(共28层)  | 暂无数据,5人关注 / 8个月以前发布,75,"7,282元/平"
包头市东河区北工小区  采光好,北工小区 -环城路,2室1厅 | 110平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,49,"4,455元/平"
看房方便  配套设施完善   交通便利,阳光小区(阿尔丁大街) -一号公馆,2室2厅 | 74平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,54.4,"7,352元/平"
东亚三期 简装八楼 双阳三居室 有钥匙 看房议价,东亚世纪城文馨苑 -东亚,3室2厅 | 141平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,2人关注 / 7个月以前发布,116,"8,227元/平"
东亚三期 简装八楼 双阳三居室 有钥匙 看房议价,东亚世纪城文馨苑 -东亚,3室2厅 | 141平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,2人关注 / 7个月以前发布,116,"8,227元/平"
家诚小区 新精装修 南北通透 视野开阔,家诚小区 -北梁新区,2室2厅 | 98.34平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,2人关注 / 5个月以前发布,38,"3,865元/平"
滨海名都二期，业主诚心出售好房，好位置好楼层,滨海名都二期 -南开小学,3室2厅 | 133.46平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 板楼,0人关注 / 2个月以前发布,115,"8,617元/平"
新都市区  富力城五期高档小区 视野好 楼层好,富力城 -九原区,4室2厅 | 169平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板塔结合,1人关注 / 一年前发布,145,"8,580元/平"
口岸花园小区，封闭式小区，出行方便，配套齐全,口岸花苑 -口岸花园,3室2厅 | 151平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,15人关注 / 一年前发布,120,"7,948元/平"
客厅主卧朝阳 带落地飘窗 采光充足，环境优美,加州郡府 -中建御澜世家,6室3厅 | 303平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板塔结合,1人关注 / 一年前发布,219.1,"7,232元/平"
不吃差价，不收返费，低楼层，标准侧户,迎宾小区 -万达,2室1厅 | 62平米 | 南 北 | 简装 | 低楼层(共6层)  | 塔楼,0人关注 / 一年前发布,47.8,"7,710元/平"
友谊大街东22号街坊 3室2厅 西,友谊大街东22号街坊 -包头乐园,3室2厅 | 78平米 | 西 | 精装 | 高楼层(共8层)  | 暂无数据,4人关注 / 11个月以前发布,50,"6,411元/平"
大连逸民园，小区绿化环境好，物业配套设施齐全,逸民园 -大连新型居住区,2室2厅 | 106平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,87,"8,208元/平"
不吃差价，不收返费，保利精装三室双阳卧婚房,保利拉菲公馆 -东亚,3室2厅 | 123平米 | 南 北 | 精装 | 低楼层(共14层)  | 塔楼,0人关注 / 4个月以前发布,112,"9,106元/平"
次新小区，停车方便， 出入便利，配套成熟，面积适中,东方嘉园 -蒙中医院,2室2厅 | 90.78平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 一年前发布,53,"5,839元/平"
东门大街西小区，好房出售，环境好，位置好,东门大街西小区 -南圪洞,2室1厅 | 83平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,48,"5,784元/平"
