标题,开发商,房子信息,发布信息,售价/万,单价
格局好，楼层好，视野宽阔，采光充足,光华佳苑 -大中大,3室2厅 | 132.55平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 29天以前发布,77.8,"5,870元/平"
双峰旁极地盛世名都 大院子 拎包入住,极地·盛世名都 -南山,3室2厅 | 146平米 | 南 | 毛坯 | 低楼层(共11层)  | 板楼,0人关注 / 一年前发布,180,"12,329元/平"
：八里湖位置一线湖景房让你享受全湖景,观澜盛世 -开发区,4室2厅 | 164平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 板塔结合,3人关注 / 一年前发布,206,"12,561元/平"
南山公园 盛世名都 毛坯 四房 房东急售 急售,极地·盛世名都 -南山,4室2厅 | 130.05平米 | 南 北 | 毛坯 | 低楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,127,"9,766元/平"
万达商圈 新湖庐山国际 三房两厅两卫  采光好  大阳台,新湖庐山国际 -万达,3室2厅 | 119.82平米 | 南 北 | 毛坯 | 高楼层(共24层)  | 暂无数据,4人关注 / 5个月以前发布,117.5,"9,807元/平"
"庐山国际四房户型,带车位出售,目前小区总价很优质一套",新湖庐山国际 -万达,4室2厅 | 136平米 | 南 北 | 毛坯 | 低楼层(共24层)  | 暂无数据,2人关注 / 3个月以前发布,141,"10,368元/平"
南山公园 南山雅苑 盛世名都 毛坯大平层 带2个车位,极地·盛世名都 -南山,5室2厅 | 172.66平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,5人关注 / 一年前发布,175,"10,136元/平"
联泰一期大平层 无遮挡 观景大阳台,联泰·万泰城一期 -快乐城,4室2厅 | 217.91平米 | 南 | 毛坯 | 31层  | 板楼,0人关注 / 2个月以前发布,258.5,"11,863元/平"
联泰四期 毛坯四居室 户型方正,联泰·万泰城御湾 -快乐城,4室2厅 | 143.16平米 | 南 | 毛坯 | 高楼层(共32层)  | 暂无数据,0人关注 / 3个月以前发布,142.5,"9,954元/平"
联泰三期大平层 一梯一户  房东急置换,联泰·万泰城天颂 -快乐城,4室2厅 | 183.99平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,3人关注 / 11个月以前发布,183.5,"9,974元/平"
顶楼复式，采光好，居住舒适，幼儿园到高中走路即可,湖滨小区南区 -湖滨,3室2厅 | 124平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 4个月以前发布,181,"14,597元/平"
4房2厅1厨2卫全明户型，楼层好，风景无遮挡。,碧桂园联发浔阳府 -八里湖,4室2厅 | 143.04平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,2人关注 / 4个月以前发布,130,"9,089元/平"
八里湖新区 碧桂园浔阳府 配套齐 毛坯,碧桂园联发浔阳府 -八里湖,4室2厅 | 143.51平米 | 南 | 毛坯 | 高楼层(共31层)  | 板塔结合,0人关注 / 6个月以前发布,156,"10,871元/平"
万达商圈 南山公园 九江学院 南山雅苑 盛世名都,极地·盛世名都 -南山,4室1厅 | 140平米 | 南 北 | 毛坯 | 高楼层(共24层)  | 塔楼,2人关注 / 4个月以前发布,112,"8,000元/平"
南山名苑 三面采光 四室毛坯 钥匙在手 随时看房,南山名苑 -南山,4室2厅 | 141.22平米 | 南 | 毛坯 | 高楼层(共24层)  | 板塔结合,0人关注 / 一年前发布,128,"9,064元/平"
万达华府 F区 东端户 南北通 带车位 房东诚心出手,万达华府F区 -万达,3室2厅 | 129平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板塔结合,2人关注 / 4个月以前发布,118,"9,148元/平"
户型方正通透，中间楼层阳光灿烂，院内好停车,鼎鑫苑 -大中大,3室2厅 | 146.28平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,2人关注 / 6个月以前发布,107.8,"7,370元/平"
柘电东区满五唯一 交通便利 房东急售,柘电社区东区 -白水湖,3室2厅 | 121平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,76,"6,281元/平"
浔阳区，公园1号，复式楼，利用率好,公园1号 -白水湖,3室2厅 | 117平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,5人关注 / 一年前发布,105,"8,975元/平"
御江一品 3室2厅 南,御江一品 -白水湖,3室2厅 | 121平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,50人关注 / 一年前发布,92.8,"7,670元/平"
小区好，楼层佳，带花园，朝南阳光好，看房提,九江富力浔阳公馆 -白水湖,4室2厅 | 143平米 | 南 北 | 毛坯 | 低楼层(共28层)  | 暂无数据,0人关注 / 5个月以前发布,126,"8,812元/平"
恒大商圈     好楼层 小洋楼,恒大江湾 -开发区,3室2厅 | 135平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,205,"15,186元/平"
万达商圈旁 房源业主诚心售 欢迎来电咨询,新湖庐山国际 -万达,6室2厅 | 285.24平米 | 南 | 精装 | 3层  | 板楼 | 联排别墅 ,3人关注 / 9个月以前发布,548,"19,212元/平"
精装房，户型好，采光好，地段好，出行方便，直接入住,中体奥城国际 -万达,4室3厅 | 103平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,139,"13,496元/平"
中梁大平层，大四房带双阳台，视野无遮挡,中梁首府 -八里湖,4室2厅 | 161.32平米 | 南 | 毛坯 | 高楼层(共32层)  | 板楼,2人关注 / 8个月以前发布,205,"12,708元/平"
万达商圈，高档小区，楼层好，视野宽阔，采光充足,新湖庐山国际 -万达,4室2厅 | 166.59平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 一年前发布,160,"9,605元/平"
行署大院三室两厅空置房，看中可随时联系,行署大院中区 -和中广场,3室2厅 | 99.04平米 | 南 | 简装 | 低楼层(共7层)  | 暂无数据,3人关注 / 一年前发布,218,"22,012元/平"
此房南北通，户型好，边户采光足，单价便宜！,望江天悦Ⅲ期 -开发区,4室2厅 | 162.75平米 | 南 | 毛坯 | 低楼层(共34层)  | 板楼,0人关注 / 一年前发布,114.5,"7,036元/平"
恒大商圈     好楼层 小洋楼,恒大江湾 -开发区,3室2厅 | 135平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,205,"15,186元/平"
万达商圈旁 房源业主诚心售 欢迎来电咨询,新湖庐山国际 -万达,6室2厅 | 285.24平米 | 南 | 精装 | 3层  | 板楼 | 联排别墅 ,3人关注 / 9个月以前发布,548,"19,212元/平"
精装房，户型好，采光好，地段好，出行方便，直接入住,中体奥城国际 -万达,4室3厅 | 103平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,139,"13,496元/平"
贤母园旁 四房两厅两卫 通透户型 房东诚心出售,锦绣江南 -柴桑区,4室2厅 | 124平米 | 南 | 毛坯 | 低楼层(共9层)  | 暂无数据,0人关注 / 3个月以前发布,74.8,"6,033元/平"
房子通透，阳光充足，视野无遮挡。产权清晰,恒盛上花园 -开发区,6室2厅 | 205平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 5个月以前发布,141,"6,879元/平"
全天采光，交通便利，户型方正，拎包入住,香榭丽舍 -和中广场,3室2厅 | 147.63平米 | 南 北 | 简装 | 中楼层(共11层)  | 暂无数据,6人关注 / 一年前发布,89.8,"6,083元/平"
通透格局 中间好楼层 阳光好 房东诚心出售,东方俊园 -万达,4室2厅 | 198平米 | 南 北 | 简装 | 低楼层(共27层)  | 板楼,5人关注 / 8个月以前发布,107,"5,405元/平"
此房可以看湖看江上下三层   带大露台  原房东装修,金三角公寓 -四码头,3室3厅 | 233平米 | 南 北 | 简装 | 高楼层(共12层)  | 塔楼,7人关注 / 一年前发布,178,"7,640元/平"
房东自住装修 保养好 电梯小洋房 三房两卫 公摊面积少,美日阳光花园 -万达,3室2厅 | 132平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,2人关注 / 8个月以前发布,98,"7,425元/平"
四房两卫入户阳台户型好142平米,天翼景城 -开发区,4室2厅 | 142平米 | 南 | 简装 | 低楼层(共32层)  | 板塔结合,2人关注 / 11个月以前发布,118,"8,310元/平"
柴桑区 一中旁高档小区中高楼层三房带车位诚意出售,学府壹号 -柴桑区,3室2厅 | 113平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 塔楼,0人关注 / 一年前发布,70,"6,195元/平"
小区好，楼层佳，带花园，朝南阳光好，看房提,九江富力浔阳公馆 -白水湖,4室2厅 | 143平米 | 南 北 | 毛坯 | 低楼层(共28层)  | 暂无数据,0人关注 / 5个月以前发布,126,"8,812元/平"
户型方正通透，中间楼层阳光灿烂，院内好停车,鼎鑫苑 -大中大,3室2厅 | 146.28平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,2人关注 / 6个月以前发布,107.8,"7,370元/平"
柘电东区满五唯一 交通便利 房东急售,柘电社区东区 -白水湖,3室2厅 | 121平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,76,"6,281元/平"
浔阳区，公园1号，复式楼，利用率好,公园1号 -白水湖,3室2厅 | 117平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,5人关注 / 一年前发布,105,"8,975元/平"
御江一品 3室2厅 南,御江一品 -白水湖,3室2厅 | 121平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,50人关注 / 一年前发布,92.8,"7,670元/平"
人车分流 采光好 户型方正 南北通透 楼层好,美的天铂湾 -大中大,3室2厅 | 120平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板楼,1人关注 / 6个月以前发布,118,"9,834元/平"
八里湖半山溪谷别墅诚心出售。。。。。。。。。。,半山溪谷 -莲花,5室3厅 | 215平米 | 南 | 毛坯 | 低楼层(共4层)  | 板塔结合,17人关注 / 一年前发布,255,"11,861元/平"
此房纯毛坯，可装修自己喜欢的风格，位置相当好,极地·盛世名都 -南山,4室2厅 | 126.53平米 | 南 | 毛坯 | 中楼层(共8层)  | 板楼,10人关注 / 一年前发布,120,"9,484元/平"
万达商圈中茂铂宫 户型方正 配套齐全 诚心出售 可看房,中茂铂宫 -万达,3室2厅 | 114.34平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板塔结合,0人关注 / 4个月以前发布,98.5,"8,615元/平"
采光好 环境好 离江近 空气好 居住挺合适..,九江豪庭 -大中大,3室2厅 | 127平米 | 南 | 精装 | 低楼层(共24层)  | 板塔结合,6人关注 / 一年前发布,74.5,"5,867元/平"
业主诚意出售，钥匙已交付给贝壳找房，看房方便,御江一品 -白水湖,4室2厅 | 127平米 | 南 北 | 毛坯 | 中楼层(共29层)  | 板楼,19人关注 / 一年前发布,106,"8,347元/平"
房屋三开朝南 阳光撒到客厅里 户型正,浔阳江畔 -白水湖,3室2厅 | 138平米 | 南 | 毛坯 | 高楼层(共12层)  | 板楼,6人关注 / 一年前发布,87,"6,305元/平"
白水湖二电厂旁 精装修四房 阳光好 价格低 随时看房,磷肥厂 -莲花,4室2厅 | 106平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,6人关注 / 5个月以前发布,52,"4,906元/平"
滨江学府 两梯两户 江景好房 随时看房,广隆·滨江学府 -白水湖,3室2厅 | 113.49平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板塔结合,4人关注 / 一年前发布,102,"8,988元/平"
八里湖九小正面 视野好采光好 户型方正 小区环境优美,中梁首府 -八里湖,4室2厅 | 130.14平米 | 南 | 毛坯 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,180,"13,832元/平"
户型方正，楼层好，采光充足，八里湖新区，配套齐全,碧桂园联发浔阳府 -八里湖,4室2厅 | 142.75平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,4人关注 / 一年前发布,142,"9,948元/平"
万达商圈，房东诚心出售，户型方正，视野好,国豪山景城 -万达,3室2厅 | 127平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板塔结合,0人关注 / 4个月以前发布,103,"8,111元/平"
满五唯一精装修领包入住中航物业宜小孩上学老人养老,保利中航城二期 -八里湖,4室2厅 | 89.03平米 | 南 | 精装 | 高楼层(共10层)  | 板楼,4人关注 / 6个月以前发布,85.5,"9,604元/平"
八里湖市政府旁好房好户型真诚 出售 求有缘人,碧桂园联发浔阳府 -八里湖,4室2厅 | 143平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,4人关注 / 一年前发布,150,"10,490元/平"
房东定居外地 诚心卖房变现 首套房不容错过,万达华府E区 -万达,3室2厅 | 98平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板楼,0人关注 / 7个月以前发布,92,"9,388元/平"
八里湖市政府旁好房好户型大四房真心出售,碧桂园联发浔阳府 -八里湖,5室2厅 | 227平米 | 南 | 毛坯 | 低楼层(共30层)  | 板塔结合,0人关注 / 一年前发布,221,"9,736元/平"
八里湖碧桂园浔阳府好房诚心出售,碧桂园联发浔阳府 -八里湖,4室2厅 | 142.57平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,150,"10,522元/平"
八里湖 九江金鹏城 全明户型 大四房 一线湖景,九江金鹏城 -八里湖,4室2厅 | 161.34平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 一年前发布,190,"11,777元/平"
碧桂园高品质小区，改善舒适户型，适合三代同居大平层,碧桂园联发浔阳府 -八里湖,5室2厅 | 194平米 | 南 | 毛坯 | 低楼层(共30层)  | 板塔结合,5人关注 / 一年前发布,190,"9,794元/平"
八里湖畔 高档小区 湖景房 环境好 人车分流 配套完善,九江金鹏城 -八里湖,4室2厅 | 141平米 | 北 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,138,"9,788元/平"
九小正面位置好 采阳好 布局合理 方正好用 正规四室,中梁首府 -八里湖,4室2厅 | 134平米 | 南 | 毛坯 | 中楼层(共5层)  | 板楼,2人关注 / 一年前发布,179.8,"13,418元/平"
万达，浔南xue校旁，浔南花谷公园边浔南悦都毛坯三房,浔南悦都 -万达,3室2厅 | 115平米 | 南 北 | 毛坯 | 低楼层(共23层)  | 板楼,0人关注 / 5个月以前发布,104.8,"9,114元/平"
八里湖金鹏城 环境清优 居住舒适,九江金鹏城 -八里湖,4室2厅 | 143.82平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板塔结合,3人关注 / 一年前发布,157,"10,917元/平"
八里湖市政府旁旁大五房 真心出售  多度推荐,碧桂园江州府 -八里湖,5室3厅 | 268.39平米 | 南 | 毛坯 | 低楼层(共31层)  | 板楼,1人关注 / 一年前发布,298,"11,104元/平"
八里湖一线湖景大平层  景观好价格好,九江金鹏城 -八里湖,4室2厅 | 139平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 一年前发布,159,"11,439元/平"
万达华府 精装修好房出售 急售 拎包入住 看房随时方便,万达华府c区 -万达,3室1厅 | 117.44平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 2个月以前发布,120,"10,218元/平"
房东诚心出售，比同户型都要优惠。户型方正。,新湖庐山国际 -万达,3室1厅 | 128平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,150,"11,719元/平"
八里湖 市政圈 中奥 洋房 湖景,中奥广场 -八里湖,3室2厅 | 142平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板楼,9人关注 / 一年前发布,200.5,"14,120元/平"
中梁带露台的顶楼复式，采光好，视线好,中梁首府 -八里湖,5室3厅 | 194平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 板楼,1人关注 / 4个月以前发布,236.5,"12,191元/平"
八里湖新区中梁首 府，学府环伺，市府旁，地段好,中梁首府 -八里湖,4室2厅 | 136.2平米 | 南 | 毛坯 | 中楼层(共8层)  | 板楼,7人关注 / 5个月以前发布,190,"13,951元/平"
此房 精装修 楼层好 采光充足。大四房！精装修哦！,联泰·万泰城一期 -快乐城,4室2厅 | 117平米 | 南 | 精装 | 32层  | 板楼,0人关注 / 4个月以前发布,138,"11,795元/平"
毛坯可随意改动 好楼层 采光充足  新楼盘小区环境好,美的金科创大华府一期 -万达,3室2厅 | 116平米 | 东南 | 毛坯 | 中楼层(共18层)  | 暂无数据,1人关注 / 6个月以前发布,95.5,"8,233元/平"
八里湖大三房真心  出售 出售,联发新旅君悦江山 -八里湖,3室2厅 | 118平米 | 南 | 毛坯 | 中楼层(共34层)  | 板塔结合,0人关注 / 4个月以前发布,125,"10,594元/平"
碧桂园高品质小区，改善舒适户型，四室高楼层视野好,碧桂园联发浔阳府 -八里湖,4室2厅 | 143平米 | 南 | 毛坯 | 高楼层(共31层)  | 板楼,0人关注 / 11个月以前发布,156.2,"10,924元/平"
八里湖  九江金鹏程  楼层好，视野开阔，改善型,九江金鹏城 -八里湖,4室2厅 | 141平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,2人关注 / 一年前发布,139,"9,859元/平"
段好交通便利，房型方正，公摊少得房率高，自住..,龙鑫花园A区 -万达,3室2厅 | 120平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 一年前发布,73,"6,084元/平"
八里湖一线湖景大平层大落地大窗景观好诚意出售,九江金鹏城 -八里湖,3室2厅 | 139平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板塔结合,3人关注 / 一年前发布,155,"11,152元/平"
八里湖旁奥林匹克花园，花园小洋房，满五唯一,中体奥林匹克花园 -八里湖,4室2厅 | 136平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,1人关注 / 一年前发布,233,"17,133元/平"
房子真实在售 庐山御府毛坯大四房，户型方正，随时看,俊怡庐山御府 -南山,4室2厅 | 128.84平米 | 南 | 毛坯 | 中楼层(共26层)  | 暂无数据,0人关注 / 1个月以前发布,91,"7,064元/平"
九江八里湖一品湖景房，中间楼层，保姆房,九江金鹏城 -八里湖,4室2厅 | 141平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板塔结合,2人关注 / 一年前发布,150,"10,639元/平"
开发商精装4房，客厅带阳台朝南，高层视野无遮挡,绿地ICC大都会 -八里湖,4室2厅 | 138平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 7个月以前发布,123,"8,914元/平"
奥林匹克原房东豪 装 上下两层 洋房中 心位置,中体奥林匹克花园 -八里湖,3室2厅 | 146.43平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,8人关注 / 一年前发布,275,"18,781元/平"
市政府旁优质大四房 多多推荐 多多推荐,碧桂园联发浔阳府 -八里湖,4室2厅 | 143平米 | 南 | 毛坯 | 低楼层(共18层)  | 板塔结合,1人关注 / 一年前发布,160,"11,189元/平"
八里湖碧桂园浔阳府 转梯入户 4开间朝南 大4房好楼层,碧桂园联发浔阳府 -八里湖,4室2厅 | 143平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,165,"11,539元/平"
八里湖大四房小高层 房东  真心急售,碧桂园联发浔阳府 -八里湖,4室2厅 | 143平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,6人关注 / 10个月以前发布,165,"11,539元/平"
八里湖中梁首府161平四开间朝南，户型方正，诚心出售,中梁首府 -八里湖,4室2厅 | 161平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,200,"12,423元/平"
万达华府 通透精装三房  拎包入住,万达华府c区 -万达,3室2厅 | 118.62平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,108.8,"9,173元/平"
人车分流，光线无遮挡，九方快乐城中间，交通便利,联泰·万泰城御湾 -快乐城,5室2厅 | 200.97平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,220,"10,947元/平"
八里湖市政府旁 真心求售 好房好户型,碧桂园联发浔阳府 -八里湖,4室2厅 | 144平米 | 东南 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 一年前发布,147.9,"10,271元/平"
中航城三期124平双阳台、三房两厅两卫、业主诚心出售,保利中航城三期 -八里湖,3室2厅 | 124平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,16人关注 / 一年前发布,115,"9,275元/平"
万达华府 房东急售 税费少 看房方便 地段好,万达华府c区 -万达,4室2厅 | 120平米 | 南 | 毛坯 | 低楼层(共34层)  | 板楼,0人关注 / 2个月以前发布,99.8,"8,317元/平"
碧桂园浔阳府 四开间朝南 户型好 采光好,碧桂园联发浔阳府 -八里湖,4室2厅 | 142平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 暂无数据,6人关注 / 10个月以前发布,156,"10,986元/平"
万达商圈 中医院旁 中茂铂宫 较新小区 毛坯三房,中茂铂宫 -万达,3室2厅 | 121.88平米 | 南 | 毛坯 | 中楼层(共26层)  | 板塔结合,4人关注 / 8个月以前发布,95,"7,795元/平"
九江金鹏城电梯高层可看湖带车位,九江金鹏城 -八里湖,4室1厅 | 145平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 8个月以前发布,183,"12,621元/平"
业主自行装修  接孩子方便 光线充足,红桥里154号 -和中广场,2室2厅 | 120平米 | 南 | 精装 | 高楼层(共8层)  | 板塔结合,0人关注 / 一年前发布,157,"13,084元/平"
中梁首 府 小高层 四房两卫 公摊小。,中梁首府 -八里湖,4室2厅 | 140平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 板楼,7人关注 / 一年前发布,150,"10,715元/平"
八里湖碧桂园江州府200平大平层诚意出售,碧桂园江州府 -八里湖,5室2厅 | 200.06平米 | 南 北 | 毛坯 | 低楼层(共31层)  | 板楼,0人关注 / 7个月以前发布,280,"13,996元/平"
采光充足 户型方正 三室两厅 可利用空间大,行署大院中区 -和中广场,3室2厅 | 83平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,179.8,"21,663元/平"
八里湖金鹏城一线湖景大宅，中间楼层带车位急售,九江金鹏城 -八里湖,4室1厅 | 161.25平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,177,"10,977元/平"
南北朝向 看房提前预约 小孩上学方便 出行方便,东方紫薇城 -万达,3室2厅 | 121平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,1人关注 / 7个月以前发布,97,"8,017元/平"
快乐城九方商圈，小区绿化高达30%以上，居住舒适,联泰·万泰城天颂 -快乐城,4室2厅 | 183.99平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 5个月以前发布,185,"10,055元/平"
九小二中，小区环境好。好停车，到公园也不到五百米,日报社教育局宿舍 -和中广场,3室2厅 | 114平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,146,"12,808元/平"
九江金鹏城 环境优美 绿城物业 户型方正,九江金鹏城 -八里湖,4室2厅 | 161平米 | 东南 | 毛坯 | 高楼层(共32层)  | 板塔结合,2人关注 / 一年前发布,185,"11,491元/平"
碧桂园浔阳府，大平层，车位，房东急售,碧桂园联发浔阳府 -八里湖,5室2厅 | 228平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 板塔结合,0人关注 / 1个月以前发布,248,"10,878元/平"
金鹏城 大四房 看湖无遮挡上学小区家门口八里湖一.小,九江金鹏城 -八里湖,4室2厅 | 143.38平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板塔结合,11人关注 / 一年前发布,128,"8,928元/平"
湖景房 绿化面积多 刷脸入户 小区自带幼儿园,九江金鹏城 -八里湖,4室2厅 | 143平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,1人关注 / 一年前发布,171.8,"12,014元/平"
中体奥林匹克花园四室二厅二卫一厨,中体奥林匹克花园 -八里湖,4室2厅 | 146.52平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 一年前发布,319,"21,772元/平"
万达边，毛坯好房。楼层好，诚心出售，看房随时,浔安小区二期 -万达,4室2厅 | 124平米 | 南 | 毛坯 | 中楼层(共15层)  | 板楼,0人关注 / 4个月以前发布,80,"6,452元/平"
八里湖市政府旁！四开间朝南！小高层！视野开阔！急售,碧桂园联发浔阳府 -八里湖,4室2厅 | 143平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 一年前发布,155,"10,840元/平"
中梁，大四房，房东诚心出售看房方便，,中梁首府 -八里湖,4室2厅 | 140平米 | 南 | 毛坯 | 低楼层(共17层)  | 板楼,4人关注 / 一年前发布,180,"12,858元/平"
八里湖市政府旁旁大五房 真心出售  多度推荐,碧桂园江州府 -八里湖,5室3厅 | 268.39平米 | 南 | 毛坯 | 低楼层(共31层)  | 板楼,1人关注 / 一年前发布,298,"11,104元/平"
八里湖一线湖景大平层  景观好价格好,九江金鹏城 -八里湖,4室2厅 | 139平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 一年前发布,159,"11,439元/平"
八里湖大三房真心  出售 出售,联发新旅君悦江山 -八里湖,3室2厅 | 118平米 | 南 | 毛坯 | 中楼层(共34层)  | 板塔结合,0人关注 / 4个月以前发布,125,"10,594元/平"
万达，浔南xue校旁，浔南花谷公园边浔南悦都毛坯三房,浔南悦都 -万达,3室2厅 | 115平米 | 南 北 | 毛坯 | 低楼层(共23层)  | 板楼,0人关注 / 5个月以前发布,104.8,"9,114元/平"
万达商圈，房东诚心出售，户型方正，视野好,国豪山景城 -万达,3室2厅 | 127平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板塔结合,0人关注 / 4个月以前发布,103,"8,111元/平"
满五唯一精装修领包入住中航物业宜小孩上学老人养老,保利中航城二期 -八里湖,4室2厅 | 89.03平米 | 南 | 精装 | 高楼层(共10层)  | 板楼,4人关注 / 6个月以前发布,85.5,"9,604元/平"
万达华府 精装修好房出售 急售 拎包入住 看房随时方便,万达华府c区 -万达,3室1厅 | 117.44平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 2个月以前发布,120,"10,218元/平"
中梁带露台的顶楼复式，采光好，视线好,中梁首府 -八里湖,5室3厅 | 194平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 板楼,1人关注 / 4个月以前发布,236.5,"12,191元/平"
八里湖 市政圈 中奥 洋房 湖景,中奥广场 -八里湖,3室2厅 | 142平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板楼,9人关注 / 一年前发布,200.5,"14,120元/平"
房东定居外地 诚心卖房变现 首套房不容错过,万达华府E区 -万达,3室2厅 | 98平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板楼,0人关注 / 7个月以前发布,92,"9,388元/平"
房东诚心出售，比同户型都要优惠。户型方正。,新湖庐山国际 -万达,3室1厅 | 128平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,150,"11,719元/平"
白水湖二电厂旁 精装修四房 阳光好 价格低 随时看房,磷肥厂 -莲花,4室2厅 | 106平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,6人关注 / 5个月以前发布,52,"4,906元/平"
八里湖九小正面 视野好采光好 户型方正 小区环境优美,中梁首府 -八里湖,4室2厅 | 135平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,3人关注 / 一年前发布,160,"11,852元/平"
国企开发商，九江金鹏城、绿城物业刷脸入户，,九江金鹏城 -八里湖,4室2厅 | 143平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,165,"11,539元/平"
毛坯房三房，大平层，近可看湖，远可观山，采光好,中奥广场 -八里湖,3室2厅 | 130平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板塔结合,2人关注 / 一年前发布,221,"17,000元/平"
