标题,开发商,房子信息,发布信息,售价/万,单价
天下名筑毛坯三房 满两年 中高层 全明户型 随时看房,天下名筑 -老峰镇,3室2厅 | 110.48平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板楼,0人关注 / 4天以前发布,66,"5,974元/平"
绿地一期卡莎公馆 2室2厅 南,绿地一期卡莎公馆 -龙狮桥乡,2室2厅 | 85平米 | 南 | 毛坯 | 24层  | 板楼,0人关注 / 1个月以前发布,74,"8,706元/平"
万达广场旁，精装三房，满五，税低，多层三楼,碧桂园山水云间 -龙狮桥乡,3室2厅 | 89.9平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,78,"8,677元/平"
七届成熟小区 热闹街道  出行方便,嘉禾园 -大桥,3室2厅 | 182平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 24天以前发布,150.8,"8,286元/平"
碧桂园精装三房，拎包入住，楼层好 采光好 一线江景房,安庆碧桂园钻石郡 -龙狮桥乡,3室1厅 | 108.9平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,0人关注 / 20天以前发布,110,"10,102元/平"
小区边上有绿地紫峰大厦恒大影城配套,绿地四期卢浮公馆 -龙狮桥乡,2室1厅 | 78平米 | 东北 | 其他 | 中楼层(共29层)  | 板楼,0人关注 / 21天以前发布,30,"3,847元/平"
5000多的单价是买精装大三房，业主诚心卖，看房方便,碧桂园1号公园 -龙狮桥乡,3室2厅 | 131平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 18天以前发布,75,"5,726元/平"
大发宜景城二期 精装修 东边户 满五唯一 看房方便,大发宜景城二期 -龙狮桥乡,3室2厅 | 103平米 | 南 北 | 精装 | 高楼层(共29层)  | 板楼,0人关注 / 18天以前发布,75,"7,282元/平"
房子保养的很好，次顶楼视野开阔，一线江景房.,百蕊宜城水岸 -玉琳路,4室2厅 | 147.16平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 29天以前发布,122,"8,291元/平"
精装修，满五唯一，家具家电全丢！拎包即住,碧桂园1号公园 -龙狮桥乡,3室2厅 | 96.11平米 | 南 | 精装 | 中楼层(共30层)  | 板塔结合,0人关注 / 31天以前发布,70,"7,284元/平"
阳光好。视野宽阔采光充足配套设施齐全交通便利。,龙山景苑 -菱北,5室2厅 | 171.2平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 23天以前发布,56,"3,272元/平"
安庆苏宁悦城，中间楼层，全新毛坯，环境优美,安庆苏宁悦城 -龙狮桥乡,3室2厅 | 101平米 | 南 北 | 毛坯 | 中楼层(共21层)  | 暂无数据,0人关注 / 17天以前发布,110,"10,892元/平"
绿地三期 简装的房子，简单搞搞打理下即可入住爱家,绿地三期西斯莱公馆 -龙狮桥乡,2室1厅 | 86平米 | 南 | 简装 | 低楼层(共23层)  | 板楼,0人关注 / 20天以前发布,70,"8,140元/平"
大发宜景城二期 中间楼层 精装修 满二 家具家电齐全,大发宜景城二期 -龙狮桥乡,2室2厅 | 94.73平米 | 南 | 其他 | 低楼层(共29层)  | 板塔结合,0人关注 / 一年前发布,77,"8,129元/平"
"此房满二年，视野开阔，采光充足,中间楼层",碧桂园山水云间 -龙狮桥乡,3室2厅 | 114平米 | 南 | 精装 | 高楼层(共20层)  | 板楼,3人关注 / 一年前发布,98,"8,597元/平"
精装5室  多人口居住  满五唯一  拎包入住,景泰南苑一期 -新河,5室2厅 | 193.77平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,144,"7,432元/平"
碧桂园1号公园 3室2厅 北 南,碧桂园1号公园 -龙狮桥乡,3室2厅 | 111.34平米 | 北 南 | 其他 | 高楼层(共28层)  | 板楼,0人关注 / 2个月以前发布,90,"8,084元/平"
此房中高楼层 户型周正 视野采光无遮挡 区内设施齐全,凯旋尊邸 -大桥,3室2厅 | 123.55平米 | 南 北 | 其他 | 31层  | 板楼,0人关注 / 一年前发布,118,"9,551元/平"
万达旁精装三房采光好阳台前无遮挡,碧桂园1号公园 -龙狮桥乡,3室2厅 | 95.81平米 | 南 | 精装 | 低楼层(共28层)  | 板楼,2人关注 / 10个月以前发布,76,"7,933元/平"
格林镇 精装修三房 户型方正 业主诚售 看房随时,宜海格林镇B区 -龙狮桥乡,3室2厅 | 117.23平米 | 南 | 其他 | 中楼层(共17层)  | 板塔结合,3人关注 / 一年前发布,134,"11,431元/平"
碧桂园1号公园小区复式精装修 江景房 满两年税费少,碧桂园1号公园 -龙狮桥乡,3室2厅 | 115.51平米 | 南 北 | 其他 | 高楼层(共30层)  | 板楼,4人关注 / 一年前发布,79.9,"6,918元/平"
昭忠祠巷，高琦肆中，中间楼层，采光好。,昭忠祠巷 -龙山路,2室1厅 | 63.67平米 | 南 | 其他 | 中楼层(共7层)  | 板塔结合,3人关注 / 一年前发布,89,"13,979元/平"
房屋毛坯房，四室两厅，视线很好，南边是多层，低税费,林语棠一期 -龙狮桥乡,4室2厅 | 172平米 | 南 北 | 其他 | 低楼层(共6层)  | 板塔结合,3人关注 / 一年前发布,150,"8,721元/平"
龙井二期 稀有五六小复式带露台，配套设施齐全,龙井小区 -德宽路,4室2厅 | 126.87平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,7人关注 / 一年前发布,72,"5,676元/平"
通和别苑    鸟瞻视野 怡人采光 含家具家电,通和别院 -菱北,3室2厅 | 120.34平米 | 南 北 | 其他 | 高楼层(共11层)  | 板楼,0人关注 / 一年前发布,93,"7,729元/平"
此房朝南户型，通风好，业主诚心出售,万豪逸景 -宜城路,4室2厅 | 216平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,210,"9,723元/平"
中南世纪城 3室2厅 南,中南世纪城 -菱北,3室2厅 | 107.81平米 | 南 | 其他 | 高楼层(共13层)  | 板楼,1人关注 / 11个月以前发布,90,"8,349元/平"
东部新城 万达旁 碧桂园1号公园业主精装三房 拎包入住,碧桂园1号公园 -龙狮桥乡,3室2厅 | 112.63平米 | 南 | 其他 | 低楼层(共30层)  | 板楼,0人关注 / 5个月以前发布,88.8,"7,885元/平"
精装大四房，家具齐全，拎包入住。,迎春颐和城 -大桥,4室1厅 | 148.9平米 | 东北 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 7个月以前发布,165,"11,082元/平"
次顶楼，采光视野好，户型方正，精装修拎包入住,大发宜景城二期 -龙狮桥乡,3室2厅 | 118.87平米 | 南 北 | 其他 | 高楼层(共18层)  | 板塔结合,2人关注 / 9个月以前发布,80,"6,731元/平"
安庆东部新城成熟商圈.配套齐全.交通方便,绿地二期巴赫公馆 -龙狮桥乡,2室2厅 | 92.5平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,1人关注 / 9个月以前发布,77,"8,325元/平"
此房满五不唯一 毛坯，可以自行装修！,雨润中央新城 -龙狮桥乡,5室2厅 | 241.42平米 | 南 | 其他 | 3层  | 暂无数据 | 联排别墅 ,8人关注 / 一年前发布,539,"22,327元/平"
户型端正，中间楼层，采光充足。,碧桂园山水云间 -龙狮桥乡,3室2厅 | 113.93平米 | 南 | 其他 | 低楼层(共20层)  | 板楼,1人关注 / 一年前发布,96,"8,427元/平"
此房装修好 保养也不错 正规小区环境很好 闹中取静,百蕊宜城水岸 -玉琳路,4室2厅 | 146.65平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,4人关注 / 一年前发布,128.8,"8,783元/平"
雨润香水百合 3室2厅 南,雨润香水百合 -龙狮桥乡,3室2厅 | 107平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 17天以前发布,110,"10,281元/平"
天宝新苑4-2-1-2 167.32m² 85 万） 满二,天宝新苑 -菱北,4室2厅 | 167.32平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,75,"4,483元/平"
凯旋复式楼，露天阳台，满二，人车分流,凯旋尊邸 -大桥,7室2厅 | 206.53平米 | 南 | 其他 | 27层  | 板楼,0人关注 / 16天以前发布,176,"8,522元/平"
环境优美 居住舒适 交通便利 管理规范 户型方正,碧桂园1号公园 -龙狮桥乡,3室2厅 | 111.13平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,4人关注 / 一年前发布,90,"8,099元/平"
碧桂园 满二 精装 前后通透 中上楼层,碧桂园1号公园 -龙狮桥乡,3室2厅 | 111.23平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,2人关注 / 一年前发布,80,"7,193元/平"
双井街二百四十四号2-1-1-1 66.96m² 45 万,双井街二百四十四号 -孝肃路,2室1厅 | 66.96平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,45,"6,721元/平"
动静分区户型，全天采光无遮挡，装修好了，拎包入住,融创时代宜城 -大桥,3室1厅 | 99平米 | 南 北 | 其他 | 高楼层(共11层)  | 板楼,0人关注 / 6天以前发布,98,"9,899元/平"
精装阔景四房三室朝南全屋地暖！,绿地二期巴赫公馆 -龙狮桥乡,4室2厅 | 142.38平米 | 南 | 其他 | 低楼层(共33层)  | 板楼,1人关注 / 一年前发布,134.6,"9,454元/平"
此房有4间房间，适合祖孙三代居住上下两层，动静分离,月亮城小区 -玉琳路,3室1厅 | 122.92平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,1人关注 / 一年前发布,96,"7,810元/平"
大发四期 中上楼层 满二 采光充足 诚心出售,大发宜景城四期 -龙狮桥乡,2室1厅 | 83.79平米 | 南 | 简装 | 高楼层(共34层)  | 板塔结合,8人关注 / 5个月以前发布,54.6,"6,517元/平"
大发四期精装两房 户型正 交通便利 业主诚售,大发宜景城四期 -龙狮桥乡,2室1厅 | 83.87平米 | 南 | 其他 | 低楼层(共34层)  | 板楼,0人关注 / 一年前发布,70.8,"8,442元/平"
证满两年  低税费  小高层 低公摊 精装拎包入住,迎江御墅 -龙狮桥乡,3室2厅 | 91.57平米 | 南 北 | 其他 | 中楼层(共11层)  | 平房,5人关注 / 一年前发布,71.5,"7,809元/平"
秦潭凤舞精装两房 一楼带花园 满两年 全天日照 诚售,秦潭凤舞小区 -龙狮桥乡,2室2厅 | 72.03平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,11人关注 / 6个月以前发布,62,"8,608元/平"
此房 业主精装 交通便利 成熟配套 业主诚意售,碧桂园1号公园 -龙狮桥乡,3室1厅 | 97平米 | 南 | 其他 | 高楼层(共30层)  | 板楼,3人关注 / 一年前发布,66,"6,805元/平"
碧桂园开发小区业主自装，南北通透，户型方正,碧桂园1号公园 -龙狮桥乡,3室2厅 | 111.13平米 | 南 北 | 其他 | 低楼层(共32层)  | 板楼,5人关注 / 一年前发布,77.8,"7,001元/平"
大发三期，诚心出售，满两年，拎包入住,大发宜景城三期 -龙狮桥乡,2室2厅 | 95.18平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,9人关注 / 一年前发布,65,"6,830元/平"
户型方正 家具家电齐全  装修花了50w,光彩商务花园 -大桥,3室2厅 | 186平米 | 南 北 | 其他 | 3层  | 板楼 | 联排别墅 ,0人关注 / 8天以前发布,150,"8,065元/平"
成熟社区 七街三房精装修拎包入住,嘉禾至尊 -大桥,3室2厅 | 118.6平米 | 南 | 精装 | 低楼层(共16层)  | 板楼,0人关注 / 一年前发布,115,"9,697元/平"
市区精装修，满五唯一好房源，南北通透，全天采光,雨润香水百合 -龙狮桥乡,3室2厅 | 118.41平米 | 南 北 | 其他 | 低楼层(共17层)  | 板塔结合,0人关注 / 7个月以前发布,130,"10,979元/平"
此房满二，税费很少，中上楼层采光很好，精装修,恒大绿洲 -龙狮桥乡,2室2厅 | 84.66平米 | 南 北 | 其他 | 21层  | 板塔结合,2人关注 / 一年前发布,84,"9,923元/平"
大发宜景城 中上楼层满二税费低 可看江景 全新毛坯,大发宜景城四期 -龙狮桥乡,3室2厅 | 127平米 | 南 北 | 其他 | 中楼层(共34层)  | 板楼,0人关注 / 一年前发布,110,"8,662元/平"
大发二期精装三房拎包就住户型方正 采光好,大发宜景城二期 -龙狮桥乡,3室2厅 | 109.88平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,6人关注 / 一年前发布,91.8,"8,355元/平"
精装三居好房 楼层好 地段优越,海棠花园 -龙狮桥乡,3室2厅 | 101.47平米 | 南 北 | 精装 | 高楼层(共11层)  | 板塔结合,4人关注 / 7个月以前发布,97.8,"9,639元/平"
恒大绿洲2室2厅1厨1卫 精装,恒大绿洲 -龙狮桥乡,2室2厅 | 79.43平米 | 南 北 | 其他 | 33层  | 板塔结合,0人关注 / 2个月以前发布,64.8,"8,159元/平"
房东自住重新装修，品牌家具家电保养好，阳台朝南,恒大绿洲 -龙狮桥乡,3室2厅 | 98.64平米 | 南 | 其他 | 33层  | 板塔结合,2人关注 / 7个月以前发布,88,"8,922元/平"
学府花园 3室1厅 南,学府花园 -大桥,3室1厅 | 202平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 7天以前发布,129,"6,387元/平"
肆中，视野开阔，采光充足，全新装潢,孝肃路(迎江区) -孝肃路,2室2厅 | 40.74平米 | 南 | 其他 | 高楼层(共7层)  | 板塔结合,0人关注 / 8天以前发布,40,"9,819元/平"
菱南公寓 3室1厅 南,菱南公寓 -华中路,3室1厅 | 82.84平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 6天以前发布,68,"8,209元/平"
此房精装，楼层好，采光充足，房东诚心出售，满五唯一,绿地二期巴赫公馆 -龙狮桥乡,2室2厅 | 91.17平米 | 南 | 其他 | 高楼层(共26层)  | 板楼,0人关注 / 一年前发布,81.8,"8,973元/平"
碧桂园 边户 大三房 满二 园林小区 精装 未住过,碧桂园1号公园 -龙狮桥乡,3室2厅 | 130.62平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,1人关注 / 一年前发布,81.8,"6,263元/平"
此房源房东诚心出售，证已经满五唯一，采光好，看中,大发宜景城三期 -龙狮桥乡,3室2厅 | 107.59平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 11个月以前发布,93,"8,644元/平"
房子是限量版多层，户型好，居住舒适。,雨润香水百合 -龙狮桥乡,3室2厅 | 123平米 | 南 | 其他 | 中楼层(共5层)  | 板塔结合,0人关注 / 17天以前发布,135,"10,976元/平"
大发四期满两年好房，户型方正采光佳拎包入住诚心出售,大发宜景城四期 -龙狮桥乡,3室2厅 | 126.65平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,1人关注 / 6个月以前发布,113,"8,923元/平"
吾悦商圈   华丰公寓 三房满五年 出让土地,华丰公寓 -龙狮桥乡,3室1厅 | 97.89平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,1人关注 / 9个月以前发布,70,"7,151元/平"
华中路—中间楼层优质房源（南迎江景，北迎莲湖公园）,华中西路一百二十二号 -华中路,3室2厅 | 106.81平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,2人关注 / 一年前发布,79.8,"7,472元/平"
此房朝南户型，通风好，简单装修，业主诚心出售,人民路154号 -人民路,6室1厅 | 158.45平米 | 南 北 | 简装 | 低楼层(共2层)  | 暂无数据,19人关注 / 一年前发布,200,"12,623元/平"
康居里 顶楼复式简单装修 证满五,康居里 -华中路,3室2厅 | 159.98平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,1人关注 / 6个月以前发布,78,"4,876元/平"
凯旋尊邸 3室1厅 南,凯旋尊邸 -大桥,3室1厅 | 123.87平米 | 南 | 其他 | 31层  | 板楼,0人关注 / 6天以前发布,108,"8,719元/平"
绿地一期，户型好精装修三房二厅,绿地一期卡莎公馆 -龙狮桥乡,3室2厅 | 142.54平米 | 南 北 | 精装 | 24层  | 板楼,0人关注 / 3个月以前发布,123,"8,630元/平"
此房满五唯一，税费低，简装装修，面积大，户型好,银馨花园 -菱北,4室2厅 | 135.81平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,110,"8,100元/平"
七街 凯旋尊邸  精装三房 满五唯一 诚售,凯旋尊邸 -大桥,3室1厅 | 138平米 | 南 | 其他 | 29层  | 板楼,1人关注 / 6天以前发布,100,"7,247元/平"
少有的电梯复式，精装修，空间充足，视线开阔，,菱建小区 -菱北,5室3厅 | 277.45平米 | 南 | 简装 | 高楼层(共12层)  | 板楼,1人关注 / 一年前发布,169.8,"6,121元/平"
宜海格林镇A区 看房方便 价格可谈,宜海格林镇A区 -龙狮桥乡,2室1厅 | 81.86平米 | 南 | 其他 | 中楼层(共17层)  | 板塔结合,0人关注 / 10个月以前发布,85,"10,384元/平"
房主诚心出售 中间楼层 采光无遮挡证满税费低,宜海格林镇A区 -龙狮桥乡,3室2厅 | 120.78平米 | 南 北 | 其他 | 中楼层(共11层)  | 板塔结合,1人关注 / 6个月以前发布,115,"9,522元/平"
房东诚心出售，户型方正，简装三房,碧桂园1号公园 -龙狮桥乡,3室2厅 | 110.89平米 | 南 | 其他 | 低楼层(共28层)  | 板楼,0人关注 / 10个月以前发布,81,"7,305元/平"
大发四期精装两房 满二  拎包入住,大发宜景城四期 -龙狮桥乡,2室1厅 | 85.46平米 | 南 北 | 其他 | 高楼层(共34层)  | 板塔结合,1人关注 / 一年前发布,57,"6,670元/平"
绿地一期卡莎公馆，装修60万，三个阳台，楼层好，诚售,绿地一期卡莎公馆 -龙狮桥乡,4室2厅 | 164.63平米 | 南 | 精装 | 24层  | 板楼,37人关注 / 一年前发布,143,"8,687元/平"
绿地四期满两年税低 带大平台。,绿地四期卢浮公馆 -龙狮桥乡,2室2厅 | 87.78平米 | 南 | 其他 | 低楼层(共33层)  | 板楼,3人关注 / 7个月以前发布,92,"10,481元/平"
房主诚心出售 证满税费低 中间楼层采光无遮挡,置地康熙左岸 -龙狮桥乡,3室1厅 | 118.11平米 | 南 北 | 其他 | 中楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,128,"10,838元/平"
碧桂园山水云间 业主自己精装家具家电齐全,碧桂园山水云间 -龙狮桥乡,3室2厅 | 137.93平米 | 南 | 精装 | 中楼层(共20层)  | 板楼,6人关注 / 一年前发布,110.8,"8,034元/平"
恒大绿洲旁苏宁悦城毛坯大三房楼层好,安庆苏宁悦城 -龙狮桥乡,3室2厅 | 126平米 | 南 | 毛坯 | 高楼层(共27层)  | 暂无数据,0人关注 / 14天以前发布,120,"9,524元/平"
香水百合 双莲寺  地段 房东诚心出售,雨润香水百合 -龙狮桥乡,3室2厅 | 113.18平米 | 南 | 其他 | 低楼层(共17层)  | 板塔结合,5人关注 / 一年前发布,113,"9,985元/平"
绿地二期两室，业主精装修，家电家具齐全，低税,绿地二期巴赫公馆 -龙狮桥乡,2室2厅 | 86.41平米 | 南 | 简装 | 低楼层(共33层)  | 板楼,6人关注 / 一年前发布,79,"9,143元/平"
安庆东部新城配套成熟，生活方便,绿地二期巴赫公馆 -龙狮桥乡,2室2厅 | 89.1平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,5人关注 / 一年前发布,80,"8,979元/平"
西湖绿洲城二期      三室       采光好    视野开阔,西湖绿洲城二期 -菱北,3室2厅 | 125.92平米 | 南 | 其他 | 中楼层(共14层)  | 板楼,0人关注 / 一年前发布,102,"8,101元/平"
房龄新，楼间距大，环境优雅，配套设施齐全,绿地一期卡莎公馆 -龙狮桥乡,3室2厅 | 138.63平米 | 南 北 | 其他 | 24层  | 板楼,1人关注 / 一年前发布,143.8,"10,373元/平"
绿地一期卡莎公馆，装修60万，三个阳台，楼层好，诚售,绿地一期卡莎公馆 -龙狮桥乡,4室2厅 | 164.63平米 | 南 | 精装 | 24层  | 板楼,37人关注 / 一年前发布,143,"8,687元/平"
此房户型方正，房东自住装修，品牌家具家电，拎包即住,碧桂园1号公园 -龙狮桥乡,3室2厅 | 96.11平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,4人关注 / 一年前发布,71,"7,388元/平"
业主诚心出售，家具家电齐全，拎包即住,碧桂园1号公园 -龙狮桥乡,3室2厅 | 95.72平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,13人关注 / 一年前发布,62,"6,478元/平"
碧桂园1号公园 2室2厅 南,碧桂园1号公园 -龙狮桥乡,2室2厅 | 82.9平米 | 南 | 其他 | 高楼层(共30层)  | 板楼,0人关注 / 2个月以前发布,52,"6,273元/平"
一楼  低楼层 满 五 采光好,花亭北村 -花亭,4室2厅 | 80.24平米 | 南 | 简装 | 低楼层(共5层)  | 暂无数据,2人关注 / 4个月以前发布,68,"8,475元/平"
房主诚心出售 中间楼层 采光无遮挡证满税费低,宜海格林镇A区 -龙狮桥乡,3室2厅 | 120.78平米 | 南 北 | 其他 | 中楼层(共11层)  | 板塔结合,1人关注 / 6个月以前发布,115,"9,522元/平"
嘉禾园 3室2厅 南 北,嘉禾园 -大桥,3室2厅 | 124.92平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 8天以前发布,99,"7,926元/平"
恒大绿洲中间好楼层2房2厅全明户型证满税少,恒大绿洲 -龙狮桥乡,2室2厅 | 88.89平米 | 南 | 精装 | 30层  | 塔楼,2人关注 / 一年前发布,68,"7,650元/平"
高档小区，人车分流，中楼层，经典户型，视野开阔,置地康熙左岸 -龙狮桥乡,3室2厅 | 118.33平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,13人关注 / 8个月以前发布,142,"12,001元/平"
房龄新，4.5层复式，户型好，大平台，阳光房，精装修,千江月名居 -玉琳路,4室2厅 | 137.34平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,150,"10,922元/平"
山水云间联排别墅精装修 满五唯一 前后大花园全天日照,碧桂园山水云间 -龙狮桥乡,4室2厅 | 189.96平米 | 南 北 | 精装 | 3层  | 板楼 | 联排别墅 ,9人关注 / 一年前发布,182,"9,581元/平"
婚房品牌家电，因工作调动到合肥，诚心出售,恒禾东尚 -大桥,3室2厅 | 138.83平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,1人关注 / 5天以前发布,149.8,"10,791元/平"
老城小区  大户型居多  龙眠山南路   成熟商圈,牡丹园 -新河,5室2厅 | 188.4平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 一年前发布,129.8,"6,890元/平"
绿地四期卢浮公馆 2室1厅 东南,绿地四期卢浮公馆 -龙狮桥乡,2室1厅 | 78平米 | 东南 | 其他 | 中楼层(共29层)  | 板楼,0人关注 / 4天以前发布,35,"4,488元/平"
开发区简装3房，楼层采光好，业主诚心出售,舒乐小区 -菱北,3室1厅 | 80.32平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 1天以前发布,39.8,"4,956元/平"
华茂1958A区 2室2厅 南,华茂1958A区 -菱湖,2室2厅 | 90.36平米 | 南 | 精装 | 高楼层(共21层)  | 板楼,0人关注 / 6天以前发布,109.8,"12,152元/平"
绿地二期证满，全屋品牌定制，地暖，中  央空调,绿地二期巴赫公馆 -龙狮桥乡,5室2厅 | 189.62平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,18人关注 / 一年前发布,175,"9,229元/平"
此房户型方正采光充足，配套设施齐全,金穗商城 -怀宁县,3室2厅 | 122.16平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,63,"5,158元/平"
恒大一期小区中间 湖景小三房 中间层视野开阔 税少,恒大绿洲 -龙狮桥乡,3室2厅 | 102.58平米 | 南 | 精装 | 32层  | 板塔结合,2人关注 / 一年前发布,113,"11,016元/平"
简装复式楼 临 近 长江地理位置优越,锦江花园 -人民路,4室3厅 | 169.53平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,2人关注 / 一年前发布,115,"6,784元/平"
此房满二 七街地段 中间楼层 全新精装 采光好 诚心卖,凯旋尊邸 -大桥,3室2厅 | 132.2平米 | 南 北 | 精装 | 31层  | 板楼,0人关注 / 1天以前发布,132,"9,985元/平"
新世纪花园 3室2厅 南,新世纪花园 -新河,3室2厅 | 131平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 4天以前发布,108,"8,245元/平"
双井街二百四十四号 3室2厅 南,双井街二百四十四号 -孝肃路,3室2厅 | 92.6平米 | 南 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 5天以前发布,58,"6,264元/平"
叶祠南苑 4室2厅 南,叶祠南苑 -大桥,4室2厅 | 159.14平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 11天以前发布,65.8,"4,135元/平"
置地百悦府 3室2厅 南,置地百悦府 -大桥,3室2厅 | 107.27平米 | 南 | 其他 | 高楼层(共34层)  | 板楼,0人关注 / 2天以前发布,102,"9,509元/平"
七街迎春颐和城电梯复式楼四房 精装证满两年房东出售,迎春颐和城 -大桥,5室2厅 | 206.33平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,3人关注 / 一年前发布,142,"6,883元/平"
万达商圈  满五唯一 税费低 一线江景 拎包入住,碧桂园1号公园 -龙狮桥乡,2室1厅 | 83.2平米 | 南 | 其他 | 高楼层(共24层)  | 板楼,0人关注 / 10个月以前发布,54.9,"6,599元/平"
德宽路 2室2厅 南 北,德宽路 -龙山路,2室2厅 | 78.27平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 6天以前发布,52,"6,644元/平"
万达隔壁  天下名筑  四室飞机户  精装  证满,天下名筑 -老峰镇,4室2厅 | 135.74平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,2人关注 / 5个月以前发布,129.8,"9,563元/平"
阳光花园 3室2厅 南 北,阳光花园 -人民路,3室2厅 | 127.9平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 6天以前发布,154,"12,041元/平"
置地百悦府 3室2厅 南,置地百悦府 -大桥,3室2厅 | 107.27平米 | 南 | 其他 | 高楼层(共34层)  | 板楼,0人关注 / 2天以前发布,102,"9,509元/平"
万达商圈  满五唯一 税费低 一线江景 拎包入住,碧桂园1号公园 -龙狮桥乡,2室1厅 | 83.2平米 | 南 | 其他 | 高楼层(共24层)  | 板楼,0人关注 / 10个月以前发布,54.9,"6,599元/平"
房东诚心出售华茂A区湖景房，三房精装修。视野开阔。,华茂1958A区 -菱湖,3室2厅 | 125平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 1天以前发布,128,"10,240元/平"
新世纪花园顶楼复式 婚房装修价格美丽,新世纪花园 -新河,4室2厅 | 131.3平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,12人关注 / 11个月以前发布,82,"6,246元/平"
七街迎春颐和城电梯复式楼四房 精装证满两年房东出售,迎春颐和城 -大桥,5室2厅 | 206.33平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,3人关注 / 一年前发布,142,"6,883元/平"
叶祠南苑 4室2厅 南,叶祠南苑 -大桥,4室2厅 | 159.14平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 11天以前发布,65.8,"4,135元/平"
阳光花园 3室2厅 南 北,阳光花园 -人民路,3室2厅 | 127.9平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 6天以前发布,154,"12,041元/平"
德宽路 2室2厅 南 北,德宽路 -龙山路,2室2厅 | 78.27平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 6天以前发布,52,"6,644元/平"
业主自住精装房  拎包入住 带大露台 采光24小时充足！,西湖绿洲城五期 -菱北,4室2厅 | 131.9平米 | 南 北 | 其他 | 高楼层(共14层)  | 板楼,7人关注 / 一年前发布,110,"8,340元/平"
此房户型通透方正，舒适优雅，采光明亮，小区环境怡人,三环御景 -怀宁县,3室2厅 | 131.1平米 | 东南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 2天以前发布,78,"5,950元/平"
