标题,开发商,房子信息,发布信息,售价/万,单价
东站旁 梧桐邑满二税低 双阳双卫全明通透户型,华鹏梧桐邑 -东站,4室2厅 | 117.07平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 5天以前发布,68,"5,809元/平"
中南路商圈 凡尔赛花园经典户型三房 中间楼层随时看房,弘洋凡尔赛花园 -中南路,3室2厅 | 100平米 | 南 | 毛坯 | 高楼层(共32层)  | 板楼,0人关注 / 16天以前发布,88,"8,800元/平"
夷陵万达旁，128平中层精装洋房,鸿坤花语墅 -夷陵区,4室2厅 | 128.24平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 12天以前发布,150,"11,697元/平"
婚房精装修 东山大道江景房 好楼层 采光好,东辰心语 -中南路,3室2厅 | 93.61平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 16天以前发布,98,"10,469元/平"
中南路兴发广场精装修三房拎包入住,兴发广场 -中南路,3室2厅 | 97.77平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 13天以前发布,105,"10,740元/平"
东辰壹号御景 2室2厅 东南,东辰壹号御景 -杨岔路,2室2厅 | 94.39平米 | 东南 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 10天以前发布,88,"9,324元/平"
美岸观邸 4室2厅 西南,美岸观邸 -CBD,4室2厅 | 163.41平米 | 西南 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 7天以前发布,258,"15,789元/平"
中南路依山郡精装修三房 拎包入住户型方正,宏信依山郡 -中南路,4室2厅 | 118平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 16天以前发布,115,"9,746元/平"
香山凤凰城107平三房精装60万带30平院子,香山凤凰城 -夷陵区,3室2厅 | 108平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 14天以前发布,58,"5,371元/平"
长江市场精装三房，户型方正，采光好,碧水蓝天 -夷陵区,3室2厅 | 126平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 9天以前发布,63,"5,000元/平"
南苑小区 精装修2房 拎包入住  楼层好 看房方便,城东大道55号 -东山开发区,2室1厅 | 59.66平米 | 东南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 14天以前发布,46.6,"7,811元/平"
香城尚都 2室2厅 东南,香城尚都 -五一广场,2室2厅 | 89平米 | 东南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 13天以前发布,75,"8,427元/平"
精装修‘电梯房’楼层好‘拎包入住...,机电花苑 -葛洲坝,3室1厅 | 131平米 | 东南 | 简装 | 中楼层(共11层)  | 板楼,0人关注 / 3天以前发布,92,"7,023元/平"
带车位洋房南北河景正中位大三房入户花园储藏室,星湖湾 -夷陵区,3室2厅 | 168平米 | 南 北 | 精装 | 中楼层(共10层)  | 板楼,0人关注 / 8天以前发布,145,"8,631元/平"
万富景苑精装95平3房带个公用露台,万富景苑 -夷陵区,3室2厅 | 93.75平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 7天以前发布,55,"5,867元/平"
吾悦广场夷陵万达双商圈精装修房东诚心出售,国宾一号A区 -夷陵区,3室2厅 | 106平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 2天以前发布,82,"7,736元/平"
中南路 宜化山语城一期 小三房 带装修 看房方便,宜化山语城 -中南路,3室2厅 | 93平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,0人关注 / 9天以前发布,89,"9,570元/平"
九安城精装两房，直接拎包入住！,九安城 -中南路,2室1厅 | 83.95平米 | 南 | 精装 | 高楼层(共29层)  | 板楼,0人关注 / 7天以前发布,72,"8,577元/平"
欧阳修公园旁 精装修拎包入住 配套成熟,献福苑 -CBD,3室2厅 | 108平米 | 西 | 精装 | 低楼层(共33层)  | 塔楼,0人关注 / 4天以前发布,160,"14,815元/平"
联创馨居 2室2厅 南,联创馨居 -东山开发区,2室2厅 | 79.88平米 | 南 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 6天以前发布,55,"6,886元/平"
一楼 可以做门面 独立大门 大三房 东方花园 出行方便,东方花园 -东山开发区,3室2厅 | 128平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 15天以前发布,85,"6,641元/平"
CBD华祥天玺精装四房，视野开阔，税费低，可拎包住,天玺 -华祥,4室2厅 | 138.2平米 | 东南 南 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 10天以前发布,145,"10,493元/平"
依山郡毛坯三房带大露台 看房方便,宏信依山郡 -中南路,4室2厅 | 119平米 | 南 | 毛坯 | 低楼层(共32层)  | 板塔结合,0人关注 / 11天以前发布,150,"12,606元/平"
胜利四路 步梯三楼 带异型 价钱可商议 业主急售,白龙岗小区1区 -体育场,2室1厅 | 76.47平米 | 东南 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 6天以前发布,46,"6,016元/平"
吾悦广场旁沙河湿地公园房东诚心出售,弘洋拉菲小镇 -东山开发区,3室2厅 | 104平米 | 南 | 毛坯 | 高楼层(共31层)  | 塔楼,0人关注 / 3天以前发布,67,"6,443元/平"
市区江边电梯房，采光通风好，视野好，绿植覆盖高！,美岸长堤 -CBD,3室2厅 | 153平米 | 东南 南 | 精装 | 中楼层(共29层)  | 塔楼,0人关注 / 14天以前发布,190,"12,419元/平"
西陵区，水悦城旁边，物美价廉，业主急售，有需要联系,江峡苑 -东山开发区,3室2厅 | 102平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 11天以前发布,57,"5,589元/平"
卓悦广场 4室1厅 南 北,卓悦广场 -体育场,4室1厅 | 158平米 | 南 北 | 简装 | 高楼层(共20层)  | 塔楼,0人关注 / 14天以前发布,79.8,"5,051元/平"
水悦城商圈 半岛花园 精装三房 诚心出售,半岛花园 -东山开发区,3室2厅 | 106平米 | 东南 南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 9天以前发布,112,"10,567元/平"
中南商圈，醉美园林，装修好，楼层好，居住舒适,恒大帝景 -杨岔路,3室2厅 | 117平米 | 东南 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 12天以前发布,105,"8,975元/平"
胜利四路北山*市一街之隔 正规两房 带露台 满五,胜利四路38号 -未知商圈,2室1厅 | 66.98平米 | 南 | 简装 | 中楼层(共8层)  | 暂无数据,3人关注 / 一年前发布,46,"6,868元/平"
桃花岭小区优质大户型 交通便利 通风采光好 闹中取静,桃花岭 -解放路,3室2厅 | 116平米 | 南 西南 | 简装 | 高楼层(共4层)  | 板楼,0人关注 / 10个月以前发布,108,"9,311元/平"
城昌怡园正规大两房生活便利出行方便,城昌怡园 -万达,2室2厅 | 93.69平米 | 南 | 简装 | 高楼层(共8层)  | 平房,2人关注 / 一年前发布,85,"9,073元/平"
白龙岗三电梯三房，精装修拎包入住,白龙岗小区1区 -体育场,3室2厅 | 124.52平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 6个月以前发布,115,"9,236元/平"
运河公园旁，装修好，价格便宜，南北通透，拎包入住,运河佳苑 -体育场,3室2厅 | 125.49平米 | 南 北 | 精装 | 低楼层(共24层)  | 板塔结合,5人关注 / 7个月以前发布,119,"9,483元/平"
港窑路旁 快乐家园小区 婚房装修未入住 交通便利,快乐家园小区 -中南路,3室2厅 | 97.29平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,12人关注 / 一年前发布,80,"8,223元/平"
准现房可以直接入住，生活配套设施及出行都是很便利,中建·宜城春晓 -东站,4室2厅 | 131.2平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,1人关注 / 一年前发布,83.5,"6,365元/平"
五一广场商圈 东山大道BRT 山水华庭 经典边户3房,山水华庭 -东站,3室2厅 | 98.99平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,4人关注 / 一年前发布,106,"10,709元/平"
东辰心语。两房精装修，户型好随时看房!,东辰心语 -中南路,2室2厅 | 77.48平米 | 东南 | 简装 | 中楼层(共33层)  | 板楼,2人关注 / 一年前发布,65,"8,390元/平"
东辰心语  精装两房  房东诚心出售,东辰心语 -中南路,2室2厅 | 82.95平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 一年前发布,79.8,"9,621元/平"
绿洲新城精装三室  业主诚心出售,宜化绿洲新城 -宜都市,3室2厅 | 111.38平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 一年前发布,65,"5,836元/平"
大户型四房，无公摊，精装修，拎包入住,纺织路 -宜都市,4室3厅 | 147.54平米 | 南 | 精装 | 中楼层(共5层)  | 暂无数据,8人关注 / 一年前发布,49.8,"3,376元/平"
正规大三房，由两个阳台两个卫生间，野开阔，三面采光,南北天城 -万达,3室2厅 | 128.09平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 7个月以前发布,160,"12,492元/平"
杨岔路 精装复式 带双露台 采光通风好 拎包入住,碧翠苑小区 -杨岔路,5室3厅 | 159.12平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,128,"8,045元/平"
铁 十六  精装三房 拎包入住,山庄路社区 -体育场,3室2厅 | 82.95平米 | 南 | 精装 | 中楼层(共8层)  | 暂无数据,7人关注 / 一年前发布,80,"9,645元/平"
卓悦广场 地理位置优越 看房方便,卓悦广场 -体育场,3室2厅 | 121.8平米 | 南 | 毛坯 | 低楼层(共29层)  | 塔楼,0人关注 / 7个月以前发布,112,"9,196元/平"
华祥商圈小区环境优美精装修没有怎么入住欢迎实地看房,天玺 -华祥,2室2厅 | 90平米 | 北 南 | 精装 | 低楼层(共32层)  | 板楼,5人关注 / 一年前发布,92,"10,223元/平"
三峡日报 东山大道119号 电梯三房 急售,山庄路社区 -体育场,3室2厅 | 128平米 | 南 | 精装 | 高楼层(共14层)  | 板楼,0人关注 / 7个月以前发布,120,"9,375元/平"
江山多娇东区 2室2厅 南,江山多娇东区 -五一广场,2室2厅 | 90.49平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,76,"8,399元/平"
江山多娇三期 精装两居室 产证满两年 诚意出售,江山多娇三期 -五一广场,2室2厅 | 89.24平米 | 南 | 精装 | 低楼层(共24层)  | 板楼,10人关注 / 一年前发布,83,"9,301元/平"
伍一广场旁  精装修二房  得房率高,夷陵大道410-1号 -五一广场,2室2厅 | 74.26平米 | 西南 南 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 8个月以前发布,51.5,"6,936元/平"
刚需三房 低于 周 边 价格，业主诚心出售,万豪公园里 -五一广场,3室2厅 | 104平米 | 南 | 毛坯 | 低楼层(共17层)  | 塔楼,18人关注 / 一年前发布,93,"8,943元/平"
百兴苑小区 2室1厅 南,百兴苑小区 -解放路,2室1厅 | 59.81平米 | 南 | 精装 | 低楼层(共9层)  | 板楼,0人关注 / 4个月以前发布,60,"10,032元/平"
东山大道127号 两室一厅 十六中 简装出售,果园路社区 -解放路,2室1厅 | 43.88平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 6个月以前发布,41,"9,344元/平"
隆中后岭 2室2厅 南,隆中后岭 -解放路,2室2厅 | 62.02平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,50.88,"8,204元/平"
合益路 镜虹山庄 精装两房 采光好 户型周正,镜虹山庄 -中南路,2室1厅 | 63.3平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,0人关注 / 8个月以前发布,56,"8,847元/平"
房子满二税费低精装修业主自住保养好南北户型,江山多娇三期 -五一广场,3室2厅 | 138平米 | 南 | 精装 | 高楼层(共12层)  | 板楼,2人关注 / 一年前发布,198,"14,348元/平"
小区环境好，户型好采光好。紧靠万达商圈,南北天城 -万达,3室2厅 | 146.27平米 | 东南 | 精装 | 低楼层(共10层)  | 板楼,0人关注 / 2个月以前发布,175,"11,965元/平"
江山多娇三期 2房 拎包入住 满二税费低,江山多娇三期 -五一广场,2室1厅 | 87.81平米 | 南 | 精装 | 低楼层(共12层)  | 板楼,9人关注 / 一年前发布,78,"8,883元/平"
伍临小区56平二房 边户 双阳台拎包入住,伍临小区 -五一广场,2室1厅 | 56.27平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,46.5,"8,264元/平"
民益家园 精装两房 民宿风格 中间楼层,民益家园小区 -中南路,2室2厅 | 71.34平米 | 东南 | 精装 | 中楼层(共11层)  | 板楼,6人关注 / 一年前发布,59,"8,271元/平"
江山多娇 精装三房 公摊小低楼层,江山多娇西区 -五一广场,3室1厅 | 104.41平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 6个月以前发布,98,"9,387元/平"
夷陵万达旁 山水国际  精装3房 装修好 拎包入住,山水国际 -夷陵区,3室2厅 | 125.25平米 | 南 | 精装 | 低楼层(共31层)  | 塔楼,3人关注 / 6个月以前发布,89,"7,106元/平"
伍家岗小区精装两房领包入住满五唯一,伍家岗小区 -五一广场,2室1厅 | 68.5平米 | 东南 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 6个月以前发布,52,"7,592元/平"
此房满五年，交易税费低，户型好，南北朝向，,清江润城四期 -夷陵区,3室2厅 | 131.77平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 一年前发布,99,"7,514元/平"
精致装修大4房360度江景房东诚心出售看房方便,中核半岛城邦 -夷陵区,4室2厅 | 130.57平米 | 南 | 精装 | 低楼层(共30层)  | 塔楼,0人关注 / 6个月以前发布,120,"9,191元/平"
神仙湾安旺花园精装三房 高楼层视野好,安旺花园 -夷陵区,3室2厅 | 126.54平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 6个月以前发布,63,"4,979元/平"
阳光后花园还有地下室 环境很好，交通方便,夷兴大道223 -夷陵区,3室2厅 | 77.39平米 | 东南 | 精装 | 低楼层(共5层)  | 板楼,0人关注 / 一年前发布,82,"10,596元/平"
嘉豪城 3室1厅 西北,嘉豪城 -夷陵区,3室1厅 | 129.61平米 | 西北 | 精装 | 低楼层(共11层)  | 板塔结合,0人关注 / 4个月以前发布,82,"6,327元/平"
长江市场 电梯三房精装修  拎包入住 证在手,万富佳苑 -夷陵区,3室2厅 | 145.88平米 | 东南 | 精装 | 高楼层(共13层)  | 板楼,0人关注 / 一年前发布,89.8,"6,156元/平"
湖景花园精装房，拎包入住，配套设施完善,湖锦花园 -夷陵区,7室2厅 | 312.24平米 | 南 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,288,"9,224元/平"
发展大道 清江润城四期 精装三房 老人居住 做生意皆可,清江润城四期 -夷陵区,3室2厅 | 88平米 | 南 北 | 精装 | 低楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,65,"7,387元/平"
房子精装大3房.装修后没怎么住保持的好，环境空气好,平湖天下四期 -夷陵区,3室2厅 | 122.79平米 | 南 | 精装 | 中楼层(共30层)  | 平房,0人关注 / 4个月以前发布,100,"8,144元/平"
大四房，满五唯一，税费低，出行方便,人寿桥路54号 -夷陵区,4室2厅 | 160.27平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 9个月以前发布,70,"4,368元/平"
夷兴大道疾控ZHONGXIN宿舍88平49万,疾控中心宿舍 -夷陵区,2室2厅 | 87.4平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,49,"5,607元/平"
精装大三房  68万  满五唯一,黄金路45号 -夷陵区,3室2厅 | 108.93平米 | 南 东 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 一年前发布,68,"6,243元/平"
神仙湾正规三房，仅售46.8万,峡洲路10号 -夷陵区,3室1厅 | 84平米 | 东南 | 简装 | 高楼层(共8层)  | 板楼,2人关注 / 一年前发布,46,"5,477元/平"
谭家榜125平精装大三房，中间层拎包入住。,谭家榜社区 -夷陵区,3室2厅 | 124.59平米 | 南 | 精装 | 中楼层(共7层)  | 塔楼,0人关注 / 6个月以前发布,60,"4,816元/平"
恒大绿洲 精装三房 全屋订制，满五唯一,恒大绿洲 -夷陵区,3室2厅 | 92.07平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,7人关注 / 一年前发布,71,"7,712元/平"
安旺花园162㎡精装湖景房95万到手,安旺花园 -夷陵区,4室2厅 | 162.25平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,86,"5,301元/平"
此房边栋边户，税费低，户型方正，四面采光，大阳台,人寿桥路50号 -夷陵区,2室2厅 | 81.5平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,11人关注 / 一年前发布,42,"5,154元/平"
大四房，满五唯一，税费低，出行方便,人寿桥路54号 -夷陵区,4室2厅 | 160.27平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 9个月以前发布,70,"4,368元/平"
阳光后花园还有地下室 环境很好，交通方便,夷兴大道223 -夷陵区,3室2厅 | 77.39平米 | 东南 | 精装 | 低楼层(共5层)  | 板楼,0人关注 / 一年前发布,82,"10,596元/平"
神仙湾安旺花园精装三房 高楼层视野好,安旺花园 -夷陵区,3室2厅 | 126.54平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 6个月以前发布,63,"4,979元/平"
兰花苑精装3房拎包入住 满五唯一税费低 心动不如行动,兰花苑 -夷陵区,3室2厅 | 111.38平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,19人关注 / 一年前发布,65.4,"5,872元/平"
长江市场 电梯三房精装修  拎包入住 证在手,万富佳苑 -夷陵区,3室2厅 | 145.88平米 | 东南 | 精装 | 高楼层(共13层)  | 板楼,0人关注 / 一年前发布,89.8,"6,156元/平"
嘉豪城 3室1厅 西北,嘉豪城 -夷陵区,3室1厅 | 129.61平米 | 西北 | 精装 | 低楼层(共11层)  | 板塔结合,0人关注 / 4个月以前发布,82,"6,327元/平"
发展大道 清江润城四期 精装三房 老人居住 做生意皆可,清江润城四期 -夷陵区,3室2厅 | 88平米 | 南 北 | 精装 | 低楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,65,"7,387元/平"
湖景花园精装房，拎包入住，配套设施完善,湖锦花园 -夷陵区,7室2厅 | 312.24平米 | 南 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,288,"9,224元/平"
精致装修大4房360度江景房东诚心出售看房方便,中核半岛城邦 -夷陵区,4室2厅 | 130.57平米 | 南 | 精装 | 低楼层(共30层)  | 塔楼,0人关注 / 6个月以前发布,120,"9,191元/平"
此房满五年，交易税费低，户型好，南北朝向，,清江润城四期 -夷陵区,3室2厅 | 131.77平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 一年前发布,99,"7,514元/平"
标准三房，公摊小，小区环境优美,君临山水 -夷陵区,3室2厅 | 116.87平米 | 东 东南 南 | 精装 | 中楼层(共12层)  | 板楼,0人关注 / 8个月以前发布,68,"5,819元/平"
峡州大道 新街坊豪 装四房 拎包入住,新街坊小区 -未知商圈,4室2厅 | 138.47平米 | 南 | 精装 | 低楼层(共26层)  | 塔楼,1人关注 / 9个月以前发布,135,"9,750元/平"
发展大道夷陵万达旁通透户型全款房诚意出售,恒大绿洲 -夷陵区,3室2厅 | 127.69平米 | 东南 | 精装 | 中楼层(共30层)  | 板楼,0人关注 / 9个月以前发布,90,"7,049元/平"
星城花园精装三房两厅出售院内有停车场,星城花园 -夷陵区,3室2厅 | 140.9平米 | 西北 | 精装 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,68,"4,827元/平"
此房位于万达港务新村，满五不唯一,港务新村 -万达,2室1厅 | 55.45平米 | 南 | 简装 | 中楼层(共7层)  | 平房,3人关注 / 9个月以前发布,50,"9,018元/平"
养老，简装三房 居间楼层 家电家具齐全，拎包入住,江山多娇三期 -五一广场,3室2厅 | 98.42平米 | 南 北 | 简装 | 中楼层(共24层)  | 板楼,3人关注 / 6个月以前发布,104,"10,567元/平"
地理位置优越  门口公交 简装 业主诚心出售,夷陵大道 -中南路,2室2厅 | 51.66平米 | 西南 | 简装 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,29,"5,614元/平"
江山多娇二期精装2房，全屋暖气，品牌家电,江山多娇二期 -五一广场,2室2厅 | 87.01平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,6人关注 / 6个月以前发布,72,"8,275元/平"
全明房型，大大的阳台，三房一厅。,胜利四路15号 -解放路,3室2厅 | 60.74平米 | 南 | 简装 | 高楼层(共6层)  | 平房,1人关注 / 7个月以前发布,58,"9,549元/平"
改善好房，单价低，采光好，配套方便 ，万达商圈,碧翠苑小区 -杨岔路,4室2厅 | 156.02平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,3人关注 / 6个月以前发布,90,"5,769元/平"
阳光水岸 152㎡精装 满五年 户型采光好,陽光水岸 -夷陵区,4室2厅 | 152.29平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,2人关注 / 10个月以前发布,98,"6,436元/平"
双虹路71平 二室二厅 42万诚心出售,双虹路6号 -夷陵区,2室2厅 | 71.18平米 | 东南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,38.8,"5,451元/平"
金都御林精装修大三房，满五拎包入住,金都御林 -夷陵区,3室2厅 | 131.03平米 | 西南 | 精装 | 高楼层(共12层)  | 板楼,0人关注 / 11个月以前发布,89,"6,793元/平"
精装四室，满五唯一，江景房，免费停车,安旺花园 -夷陵区,4室2厅 | 188.46平米 | 东南 | 精装 | 高楼层(共6层)  | 板楼,10人关注 / 一年前发布,80,"4,245元/平"
权属满五唯一税费低，精装拎包入住,清江润城三期 -夷陵区,3室2厅 | 101.93平米 | 南 北 | 精装 | 高楼层(共30层)  | 板楼,0人关注 / 一年前发布,85,"8,340元/平"
此房是整栋别墅 三层 有院子  有车库,三峡别墅山庄 -夷陵区,5室2厅 | 227.19平米 | 南 | 精装 | 低楼层(共3层)  | 板塔结合,5人关注 / 一年前发布,200,"8,804元/平"
五一广场  伍家岗小区  采光通风好 生活方便,伍家岗小区 -五一广场,2室2厅 | 48.86平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,0人关注 / 8个月以前发布,42,"8,596元/平"
阳光水岸江景房，满五唯一，精装修四个房间,陽光水岸 -夷陵区,3室2厅 | 151.93平米 | 东南 | 精装 | 中楼层(共17层)  | 板楼,8人关注 / 一年前发布,85,"5,595元/平"
至上未来城精装三房 中间楼层 全新装修未入住,至上未来城 -夷陵区,3室2厅 | 96.61平米 | 南 | 精装 | 中楼层(共29层)  | 塔楼,4人关注 / 10个月以前发布,75,"7,764元/平"
清江润城三期精装大三房 中间楼层 满五唯一税费低,清江润城三期 -夷陵区,3室2厅 | 120.12平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,2人关注 / 7个月以前发布,80.6,"6,710元/平"
发展大道精装全新三房128平米急售,恒大绿洲 -夷陵区,3室2厅 | 127.95平米 | 东南 | 精装 | 高楼层(共31层)  | 板楼,1人关注 / 一年前发布,85,"6,644元/平"
湖景花园1+2楼叠拼别墅带院子精装拎包入住,湖锦花园 -夷陵区,4室2厅 | 332平米 | 南 | 精装 | 低楼层(共4层)  | 暂无数据,8人关注 / 一年前发布,258,"7,772元/平"
茗都国际大三房二卫精装修可拎包入住,茗都国际 -夷陵区,3室2厅 | 123.68平米 | 南 | 精装 | 中楼层(共24层)  | 板楼,3人关注 / 7个月以前发布,88,"7,116元/平"
临江好房，格局好，出行方便，居住好房,御景名宅 -万达,3室2厅 | 122.17平米 | 南 | 简装 | 低楼层(共32层)  | 板塔结合,3人关注 / 一年前发布,175,"14,325元/平"
成熟高档社区，环境优雅，全明格局，户型方正,兴润·秋语台 -东站,4室2厅 | 114.06平米 | 南 北 | 简装 | 高楼层(共31层)  | 板塔结合,0人关注 / 7个月以前发布,84,"7,365元/平"
此房地段好，格局好，视野绝开阔没有遮挡，一线正江景,虹桥国际公寓 -中南路,4室2厅 | 135.2平米 | 东南 | 精装 | 中楼层(共29层)  | 板楼,0人关注 / 3个月以前发布,170,"12,574元/平"
平云三路113平三房 二楼 单价五千多,平云三路二巷 -夷陵区,3室2厅 | 112.99平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 6个月以前发布,60,"5,311元/平"
区政府 二房 拎包入住 51万,夷兴大道90号 -夷陵区,2室2厅 | 83.33平米 | 东南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,51,"6,121元/平"
锦绣星城精装大三房拎包入住105万,锦绣星城 -夷陵区,3室2厅 | 137.35平米 | 南 | 精装 | 中楼层(共22层)  | 板楼,0人关注 / 8个月以前发布,96.8,"7,048元/平"
发展大道清江润城精装三房，品牌家具家电，89万,清江润城三期 -夷陵区,3室2厅 | 101.96平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,2人关注 / 一年前发布,86,"8,435元/平"
无石山庄 连体别墅 精装大三房 全屋暖气，拎包入住,无石山庄 -夷陵区,3室2厅 | 222.68平米 | 东南 | 精装 | 高楼层(共6层)  | 板楼,9人关注 / 一年前发布,154.8,"6,952元/平"
湖景高层130平大3房房东诚心出售,国宾一号A区 -夷陵区,3室2厅 | 130.37平米 | 南 | 毛坯 | 高楼层(共33层)  | 暂无数据,3人关注 / 8个月以前发布,85,"6,520元/平"
急售 馨港 精装大三房 满五唯一采光好,馨港 -夷陵区,3室2厅 | 126.28平米 | 东南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 7个月以前发布,81.8,"6,478元/平"
馨港三小复式楼，买一层得两层，满五唯一,馨港 -夷陵区,3室2厅 | 125.68平米 | 东南 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 一年前发布,85,"6,764元/平"
山水华庭旁 精装修 二期 楼栋位置好 高层 视野好,宜化新天地 -中南路,2室2厅 | 84.05平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,0人关注 / 7个月以前发布,73.2,"8,710元/平"
夷陵万达旁  湖景花园小区  天然氧吧,钓鱼台壹号 -夷陵区,3室2厅 | 137.59平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,3人关注 / 一年前发布,89.7,"6,520元/平"
业主成心出售长江市场精装大三房，带车库,香山凤凰城 -夷陵区,3室2厅 | 148.48平米 | 南 | 精装 | 中楼层(共12层)  | 板塔结合,0人关注 / 5个月以前发布,100,"6,735元/平"
平云二路精装大三房，拎包入住！,富华苑 -夷陵区,3室2厅 | 133.53平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,4人关注 / 6个月以前发布,65,"4,868元/平"
幸福家园 错层结构 精装四室 中层 拎包入住,幸福家园 -夷陵区,4室2厅 | 209.71平米 | 东南 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 一年前发布,95,"4,531元/平"
国宾一号A区.毛坯.可装正规六室....,国宾一号A区 -夷陵区,6室2厅 | 340.85平米 | 南 | 毛坯 | 低楼层(共5层)  | 板楼,3人关注 / 一年前发布,358,"10,504元/平"
地段好，满五唯一 精装，诚心出售。,鑫怡翠园B区 -东山开发区,2室2厅 | 95.29平米 | 南 | 简装 | 高楼层(共12层)  | 板楼,2人关注 / 一年前发布,74,"7,766元/平"
水悦城商圈 泰富广场 五室大户型 带家电家具,泰富广场 -东山开发区,5室2厅 | 162.65平米 | 南 | 精装 | 中楼层(共30层)  | 板塔结合,1人关注 / 7个月以前发布,145,"8,915元/平"
此房满五年，低价好房源，看房方便,西湖路6号 -东山开发区,3室2厅 | 95.36平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,63,"6,607元/平"
