标题,开发商,房子信息,发布信息,售价/万,单价
高品质生活金品时代值得拥有。房本满二年,金品时代 -涿州,4室2厅 | 170平米 | 南 北 | 毛坯 | 17层  | 板塔结合,0人关注 / 15天以前发布,200,"11,765元/平"
华阳路旁，南北通透两居室，采光视野佳。,联合七号院 -涿州,2室1厅 | 83平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板塔结合,10人关注 / 5个月以前发布,47,"5,663元/平"
全明格局的朝南两居  高层采光好 大阳台,联合七号院 -涿州,2室1厅 | 92.7平米 | 南 | 毛坯 | 中楼层(共21层)  | 板楼,2人关注 / 一年前发布,75,"8,091元/平"
此房南北通透，户型好，配套成熟,翔天万和城 -涿州,2室2厅 | 88平米 | 南 北 | 精装 | 21层  | 板塔结合,1人关注 / 一年前发布,80,"9,091元/平"
开发区优质地段配套完善交通便利,名流美域 -涿州,2室1厅 | 68.68平米 | 西北 | 毛坯 | 高楼层(共15层)  | 板塔结合,2人关注 / 一年前发布,55,"8,009元/平"
华阳路，二康旁，朝南两居，随时看房本满税低,北京理想城 -涿州,2室1厅 | 82平米 | 南 北 | 简装 | 低楼层(共21层)  | 塔楼,0人关注 / 一年前发布,70,"8,537元/平"
全阳两居，中高楼层，环境好，采光好,高铁新干线 -涿州,2室1厅 | 86.6平米 | 南 | 毛坯 | 中楼层(共26层)  | 板塔结合,0人关注 / 一年前发布,100,"11,548元/平"
长空路 全南两居 明厨明卫 好楼层,云景城 -涿州,2室2厅 | 93.11平米 | 南 | 简装 | 中楼层(共18层)  | 板楼,2人关注 / 一年前发布,69,"7,411元/平"
涿州东站旁 高铁新干线南向两居 全天采光 简单装修,高铁新干线 -涿州,2室1厅 | 86.87平米 | 南 | 简装 | 中楼层(共26层)  | 板塔结合,1人关注 / 11个月以前发布,75,"8,634元/平"
水岸花城南向大一居，房本满二，看房方便！,水岸花城 -涿州,1室1厅 | 74平米 | 南 | 简装 | 高楼层(共34层)  | 板塔结合,5人关注 / 一年前发布,52,"7,028元/平"
惠友万悦城   南向两居 视野好 无浪费面积,惠友万悦城(涿州) -涿州,2室1厅 | 82平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼,4人关注 / 一年前发布,78,"9,513元/平"
南北通透两居  范阳路沿线   证满两年,物资局小区 -涿州,2室2厅 | 80平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,84,"10,500元/平"
此房全天无遮挡，居住舒适，地面人车分流，,鹏渤印象城牛津花园 -涿州,2室1厅 | 76平米 | 南 | 精装 | 23层  | 板塔结合,2人关注 / 一年前发布,69,"9,079元/平"
宜居风格 高素质板块 人文社区 出行无拥堵,嵘御航城 -涿州,2室2厅 | 96平米 | 南 北 | 精装 | 中楼层(共8层)  | 板塔结合,5人关注 / 一年前发布,85,"8,855元/平"
靠谱出售~~K2狮子城南向二居室,K2狮子城北区 -涿州,2室1厅 | 85平米 | 南 | 毛坯 | 24层  | 板塔结合,0人关注 / 一年前发布,86,"10,118元/平"
香邑溪谷全南两居，高楼层 采光视野好,香邑溪谷 -涿州,2室1厅 | 89平米 | 南 | 简装 | 高楼层(共32层)  | 板塔结合,1人关注 / 一年前发布,68,"7,641元/平"
香邑溪谷南北通透两居室 客厅主卧双阳台 次顶层,香邑溪谷 -涿州,2室2厅 | 81.43平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 一年前发布,63,"7,737元/平"
中高楼层，精装修，拎包入住，配套齐全，交通便利,弘德缘 -涿州,1室1厅 | 53.79平米 | 西 | 简装 | 中楼层(共19层)  | 板塔结合,11人关注 / 一年前发布,33,"6,135元/平"
靠谱出售~~K2狮子城南向二居室,K2狮子城北区 -涿州,2室1厅 | 85平米 | 南 | 毛坯 | 24层  | 板塔结合,0人关注 / 一年前发布,86,"10,118元/平"
人车分流 配套齐全，出行方便，就医也方便,强舜铭城 -涿州,2室2厅 | 97.72平米 | 西 | 毛坯 | 中楼层(共21层)  | 板塔结合,0人关注 / 3个月以前发布,57,"5,833元/平"
惠友万悦城   南向两居 视野好 无浪费面积,惠友万悦城(涿州) -涿州,2室1厅 | 82平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼,4人关注 / 一年前发布,78,"9,513元/平"
南北通透两居  范阳路沿线   证满两年,物资局小区 -涿州,2室2厅 | 80平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,84,"10,500元/平"
水岸花城南向大一居，房本满二，看房方便！,水岸花城 -涿州,1室1厅 | 74平米 | 南 | 简装 | 高楼层(共34层)  | 板塔结合,5人关注 / 一年前发布,52,"7,028元/平"
华阳路，二康旁，朝南两居，随时看房本满税低,北京理想城 -涿州,2室1厅 | 82平米 | 南 北 | 简装 | 低楼层(共21层)  | 塔楼,0人关注 / 一年前发布,70,"8,537元/平"
开发区 天地新城  精装 南北 两居,天地新城 -涿州,2室2厅 | 84.36平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,112,"13,277元/平"
涿州开发区全南大两居，看房随时,名流美域 -涿州,2室1厅 | 91.57平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 板塔结合,0人关注 / 一年前发布,85,"9,283元/平"
大产权优质社区 南北通透 德信公园,翡翠城 -涿州,2室2厅 | 94.32平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 板塔结合,0人关注 / 5个月以前发布,59.5,"6,309元/平"
正规一居室 中高楼层 采光充足 大社区,鸿盛凯旋门 -涿州,1室1厅 | 56平米 | 西北 | 毛坯 | 中楼层(共29层)  | 板塔结合,0人关注 / 一年前发布,36,"6,429元/平"
正规一居室 采光好 中高楼层 价格可议,鸿盛凯旋门 -涿州,1室1厅 | 56平米 | 西北 | 毛坯 | 中楼层(共29层)  | 塔楼,2人关注 / 一年前发布,36,"6,429元/平"
香邑溪谷 大两居室 高楼层 满两年 急售 有钥匙,香邑溪谷 -涿州,2室2厅 | 91.21平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,9人关注 / 一年前发布,70,"7,675元/平"
户型方正，采光充足，交通便利 生活配套齐全,大北京未来城 -涿州,2室1厅 | 86平米 | 南 北 | 毛坯 | 低楼层(共20层)  | 塔楼,0人关注 / 一年前发布,70,"8,140元/平"
南北通透，采光充足，产权清晰随时过户,翡翠滨江 -涿州,2室1厅 | 86平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板塔结合,2人关注 / 8个月以前发布,55,"6,396元/平"
凯旋门 全阳户型  房本满二  贷款,鸿盛凯旋门 -涿州,1室1厅 | 57.31平米 | 南 | 简装 | 中楼层(共18层)  | 板塔结合,3人关注 / 一年前发布,65,"11,342元/平"
名流美域北向一居室，临京港澳高速口,名流美域 -涿州,1室1厅 | 45平米 | 北 | 简装 | 高楼层(共15层)  | 板塔结合,0人关注 / 一年前发布,35,"7,778元/平"
房子是南北通透，户型方正，，，，，，，,惠友万悦城(涿州) -涿州,1室1厅 | 45平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 板楼,0人关注 / 10个月以前发布,45,"10,000元/平"
紫晨小区 两居的优选 家的港湾,紫晨小区 -涿州,2室1厅 | 72平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,11人关注 / 一年前发布,58,"8,056元/平"
理想湾南区  采光好  视野开阔  看房方便,高铁新干线 -涿州,2室2厅 | 77平米 | 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,1人关注 / 一年前发布,75,"9,741元/平"
天保郦景 南北通透两居 房本满二 位于华阳主路,天保郦景 -涿州,2室2厅 | 88.06平米 | 南 北 | 毛坯 | 低楼层(共21层)  | 板塔结合,2人关注 / 一年前发布,70,"7,950元/平"
70年大产权 房子户型方正，总价低，刚需置房,同善园银座 -涿州,1室1厅 | 38平米 | 北 | 简装 | 20层  | 塔楼,7人关注 / 一年前发布,30,"7,895元/平"
香邑溪谷 全阳两居室 看房方便,香邑溪谷 -涿州,2室2厅 | 90.64平米 | 南 | 简装 | 中楼层(共32层)  | 板塔结合,0人关注 / 11个月以前发布,90,"9,930元/平"
惠友万悦城·一居朝南·采光冲足·视野宽阔,惠友万悦城(涿州) -涿州,1室1厅 | 44.4平米 | 南 | 毛坯 | 高楼层(共17层)  | 板楼,2人关注 / 一年前发布,64,"14,415元/平"
花园社区南向正规一居全明格局随意装修,鹏渤新加坡花园 -涿州,1室1厅 | 52.8平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,26人关注 / 一年前发布,33,"6,250元/平"
此房为毛坯状态随意装修，房本已下交易安全方便,高铁新干线 -涿州,2室2厅 | 89平米 | 南 | 毛坯 | 低楼层(共26层)  | 板塔结合,1人关注 / 5个月以前发布,80,"8,989元/平"
高楼层 全南向两居室 户型方正采光好视野开阔诚意出售,K2狮子城北区 -涿州,2室1厅 | 85平米 | 南 | 毛坯 | 24层  | 板塔结合,2人关注 / 一年前发布,75,"8,824元/平"
广场旁 有好房 楼层低  配套齐,名流枫景五期 -涿州,1室1厅 | 60平米 | 南 | 毛坯 | 低楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,48,"8,000元/平"
朝南两句 户型方正 采光好   楼层好,高铁新干线 -涿州,2室1厅 | 89平米 | 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,1人关注 / 一年前发布,66,"7,416元/平"
范阳主路钻石东名流美域 一居 采光通风良好,名流美域 -涿州,1室0厅 | 45.68平米 | 北 | 毛坯 | 高楼层(共15层)  | 板塔结合,1人关注 / 一年前发布,29,"6,349元/平"
此房位于狮子城南区，中高楼层，视野开阔，房本不满二,K2狮子城南区 -涿州,2室1厅 | 83.93平米 | 南 | 精装 | 24层  | 板塔结合,0人关注 / 一年前发布,110,"13,107元/平"
经典一居室，70年产权，精装修。,K2狮子城南区 -涿州,1室1厅 | 57.22平米 | 东 北 | 精装 | 24层  | 板塔结合,0人关注 / 9个月以前发布,75,"13,108元/平"
水岸花城南北两居室 看房随时 诚心出事,水岸花城 -涿州,2室1厅 | 91.97平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板楼,1人关注 / 一年前发布,70,"7,612元/平"
高铁旁，狮子城小区，南向两居，诚意出售,K2狮子城南区 -涿州,2室2厅 | 82平米 | 南 | 毛坯 | 11层  | 板塔结合,1人关注 / 一年前发布,70,"8,537元/平"
狮子城一居 东北向 户型方正 毛坯 采光充足,K2狮子城南区 -涿州,1室1厅 | 64.5平米 | 东 北 | 毛坯 | 24层  | 板塔结合,0人关注 / 一年前发布,62,"9,613元/平"
涿州高铁新城小区牛津花园有要的速度,鹏渤印象城牛津花园 -涿州,2室1厅 | 75平米 | 南 | 毛坯 | 23层  | 板塔结合,1人关注 / 一年前发布,72,"9,600元/平"
"玫瑰家园  毗,邻范阳路 精装修 *地面独立车库",玫瑰嘉园 -涿州,2室2厅 | 85平米 | 东 西 | 精装 | 中楼层(共5层)  | 板楼,5人关注 / 一年前发布,62,"7,295元/平"
南向两居，中高楼层采光视野好，业主诚心出售,K2狮子城南区 -涿州,2室1厅 | 84平米 | 南 | 毛坯 | 24层  | 板塔结合,0人关注 / 一年前发布,85,"10,120元/平"
北新家园精装一居室，年轻小两口，老人佳选,北新家园 -涿州,1室1厅 | 50平米 | 西 | 精装 | 高楼层(共17层)  | 板塔结合,2人关注 / 一年前发布,55,"11,000元/平"
中高楼层，南向两局，采光好，户型方正,K2狮子城南区 -涿州,2室1厅 | 84.5平米 | 南 | 精装 | 22层  | 板塔结合,0人关注 / 一年前发布,84,"9,941元/平"
K2狮子城南区 2室1厅 南,K2狮子城南区 -涿州,2室1厅 | 84.19平米 | 南 | 毛坯 | 22层  | 板塔结合,0人关注 / 一年前发布,85,"10,097元/平"
此房位于狮子城南区，中高楼层，视野开阔，房本不满二,K2狮子城南区 -涿州,2室1厅 | 83.93平米 | 南 | 精装 | 24层  | 板塔结合,0人关注 / 一年前发布,110,"13,107元/平"
狮子城朝南两居，高楼层，采光好，视野无遮挡。,K2狮子城南区 -涿州,2室1厅 | 85平米 | 南 | 毛坯 | 24层  | 板塔结合,0人关注 / 一年前发布,70,"8,236元/平"
南向全阳两居 70年产权 看房方便 业主诚心卖,K2狮子城南区 -涿州,2室1厅 | 83.92平米 | 南 | 毛坯 | 24层  | 板塔结合,0人关注 / 一年前发布,65,"7,746元/平"
本房有房本.朝南户型采光好.随时过户靠谱卖,名流一品 -涿州,2室1厅 | 85平米 | 南 | 精装 | 中楼层(共20层)  | 板塔结合,0人关注 / 8个月以前发布,85,"10,000元/平"
狮子城  南向两居 无遮挡采光好 落地窗内置阳台,K2狮子城南区 -涿州,2室1厅 | 85平米 | 南 | 毛坯 | 24层  | 板塔结合,0人关注 / 一年前发布,83,"9,765元/平"
此房楼层好 视野宽阔 采光充足 小区景色尽收眼底,K2狮子城南区 -涿州,2室1厅 | 83平米 | 南 | 毛坯 | 24层  | 板塔结合,7人关注 / 8个月以前发布,61,"7,350元/平"
高铁片区，K2狮子城房子已装修，小区环境优美,K2狮子城南区 -涿州,2室2厅 | 87平米 | 南 | 精装 | 24层  | 板塔结合,45人关注 / 一年前发布,65,"7,472元/平"
K2狮子城南区 2室2厅 南,K2狮子城南区 -涿州,2室2厅 | 85平米 | 南 | 简装 | 5层  | 板塔结合,0人关注 / 一年前发布,98,"11,530元/平"
鸿德缘 一居户型 易租易售 可以办公,弘德缘 -涿州,1室1厅 | 53.79平米 | 西 | 简装 | 中楼层(共19层)  | 板塔结合,0人关注 / 一年前发布,35,"6,507元/平"
狮子城  中间楼层 两居室  可拎包入住,K2狮子城南区 -涿州,2室2厅 | 85平米 | 南 | 简装 | 24层  | 板塔结合,3人关注 / 一年前发布,85,"10,000元/平"
德信公园旁 简装两室 南北通透 好楼层业主急售,名流枫景五期 -涿州,2室1厅 | 86平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,75,"8,721元/平"
82.02平。纯南2居，采光很棒，无遮挡,K2狮子城南区 -涿州,2室1厅 | 82.02平米 | 南 | 毛坯 | 24层  | 板塔结合,13人关注 / 一年前发布,82,"9,998元/平"
K2狮子城，好楼层，正规两居室,K2狮子城南区 -涿州,2室2厅 | 85平米 | 南 | 毛坯 | 24层  | 板塔结合,3人关注 / 一年前发布,82,"9,648元/平"
K2 狮子城 新社区 环境好 绿化高 全南两居 中高层,K2狮子城南区 -涿州,2室2厅 | 85平米 | 南 | 毛坯 | 24层  | 板塔结合,0人关注 / 一年前发布,80,"9,412元/平"
交通便利，双朝南，采光好，视野开阔，随时过户,K2狮子城南区 -涿州,2室2厅 | 85平米 | 南 | 毛坯 | 23层  | 板塔结合,0人关注 / 一年前发布,75,"8,824元/平"
涿州市高新区满五唯一的一居出售,汇元国际 -涿州,1室0厅 | 48平米 | 北 | 简装 | 中楼层(共17层)  | 塔楼,0人关注 / 1个月以前发布,32,"6,667元/平"
御景园南北通透两居室，客厅和主卧朝南，次卧朝北。,君临天下御景园 -涿州,2室2厅 | 105平米 | 南 | 毛坯 | 低楼层(共20层)  | 板塔结合,0人关注 / 1个月以前发布,123,"11,715元/平"
精装一居室 房本满二 中间楼层 价格可议,钻石广场 -涿州,1室1厅 | 44平米 | 北 | 精装 | 中楼层(共15层)  | 板塔结合,5人关注 / 一年前发布,48,"10,910元/平"
满二南向两居，毛坯可以随意装修，业主诚意出售,K2狮子城南区 -涿州,2室1厅 | 83.93平米 | 南 | 简装 | 24层  | 板塔结合,0人关注 / 一年前发布,90,"10,724元/平"
满二南向两居，毛坯，产权清晰，诚意出售,K2狮子城南区 -涿州,2室1厅 | 84平米 | 南 | 毛坯 | 24层  | 板塔结合,0人关注 / 6个月以前发布,78,"9,286元/平"
高铁狮子城  南向两居 中高楼层 无遮挡 价格可议,K2狮子城南区 -涿州,2室2厅 | 85平米 | 南 | 毛坯 | 24层  | 板塔结合,0人关注 / 一年前发布,85,"10,000元/平"
出售名流美域，  社区环境好，有老人活动场所,名流美域 -涿州,1室0厅 | 45平米 | 北 | 简装 | 高楼层(共15层)  | 板塔结合,0人关注 / 一年前发布,42,"9,334元/平"
名流美域 朝南两居室 精装修  拎包入住,名流美域 -涿州,2室1厅 | 89.23平米 | 南 | 精装 | 低楼层(共15层)  | 板塔结合,6人关注 / 一年前发布,76,"8,518元/平"
涿州开发区 惠友万悦城 环境优美 交通便利,惠友万悦城(涿州) -涿州,1室0厅 | 45平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 一年前发布,53,"11,778元/平"
南北大两居 毛坯随意装  小区安静又安全、电梯洋房,军怡家园 -涿州,2室2厅 | 104平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板楼,3人关注 / 一年前发布,68,"6,539元/平"
高新区技校家园 正规南向一居室 房本满二税费低,技校家园 -涿州,1室1厅 | 63.17平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,1人关注 / 一年前发布,66,"10,448元/平"
凯旋门园林式建筑环境好，封闭式管理，物业好,鸿盛凯旋门 -涿州,2室2厅 | 83平米 | 西北 | 精装 | 低楼层(共29层)  | 塔楼,4人关注 / 一年前发布,68,"8,193元/平"
涿州高铁东站旁 k2狮子城南向两居出售有房本 业主急售,K2狮子城北区 -涿州,2室1厅 | 85平米 | 南 | 简装 | 24层  | 板塔结合,42人关注 / 一年前发布,68,"8,000元/平"
南院中高层朝阳两居 首付25万 东户 视野开阔 毛坯,K2狮子城南区 -涿州,2室1厅 | 84.13平米 | 南 | 毛坯 | 24层  | 板塔结合,1人关注 / 一年前发布,83,"9,866元/平"
70年大产权 精装修 随时看房,鸿坤理想湾北区 -涿州,1室1厅 | 65平米 | 西北 | 简装 | 低楼层(共25层)  | 板塔结合,10人关注 / 一年前发布,65,"10,000元/平"
经典一居室，70年产权，精装修。,K2狮子城南区 -涿州,1室1厅 | 57.22平米 | 东 北 | 精装 | 24层  | 板塔结合,0人关注 / 9个月以前发布,75,"13,108元/平"
高铁旁，狮子城小区，南向两居，诚意出售,K2狮子城南区 -涿州,2室2厅 | 82平米 | 南 | 毛坯 | 11层  | 板塔结合,1人关注 / 一年前发布,70,"8,537元/平"
狮子城一居 东北向 户型方正 毛坯 采光充足,K2狮子城南区 -涿州,1室1厅 | 64.5平米 | 东 北 | 毛坯 | 24层  | 板塔结合,0人关注 / 一年前发布,62,"9,613元/平"
名流枫景五期，中间楼层无遮挡，精装修,名流枫景五期 -涿州,2室2厅 | 86.31平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,3人关注 / 一年前发布,65,"7,531元/平"
南向两居，中高楼层采光视野好，业主诚心出售,K2狮子城南区 -涿州,2室1厅 | 84平米 | 南 | 毛坯 | 24层  | 板塔结合,0人关注 / 一年前发布,85,"10,120元/平"
北新家园精装一居室，年轻小两口，老人佳选,北新家园 -涿州,1室1厅 | 50平米 | 西 | 精装 | 高楼层(共17层)  | 板塔结合,2人关注 / 一年前发布,55,"11,000元/平"
中高楼层，南向两局，采光好，户型方正,K2狮子城南区 -涿州,2室1厅 | 84.5平米 | 南 | 精装 | 22层  | 板塔结合,0人关注 / 一年前发布,84,"9,941元/平"
水岸花城南北两居室 看房随时 诚心出事,水岸花城 -涿州,2室1厅 | 91.97平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板楼,1人关注 / 一年前发布,70,"7,612元/平"
涿州高铁新城小区牛津花园有要的速度,鹏渤印象城牛津花园 -涿州,2室1厅 | 75平米 | 南 | 毛坯 | 23层  | 板塔结合,1人关注 / 一年前发布,72,"9,600元/平"
"玫瑰家园  毗,邻范阳路 精装修 *地面独立车库",玫瑰嘉园 -涿州,2室2厅 | 85平米 | 东 西 | 精装 | 中楼层(共5层)  | 板楼,5人关注 / 一年前发布,62,"7,295元/平"
板楼洋房社区 一梯两户  免费停车 车位充足 公摊小,名流枫景洋房 -涿州,2室1厅 | 95平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,92,"9,685元/平"
南北通透双卧朝阳自住标准装修未住看房有钥匙,物探嘉园 -涿州,2室2厅 | 97平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,45人关注 / 一年前发布,66,"6,805元/平"
狮子城北区两居82平全南户型中高楼层,K2狮子城南区 -涿州,2室1厅 | 82.02平米 | 南 | 毛坯 | 24层  | 板塔结合,3人关注 / 一年前发布,88,"10,730元/平"
毛坯 急售 正规大两居  中间楼层,K2狮子城南区 -涿州,2室2厅 | 84平米 | 南 | 毛坯 | 24层  | 板塔结合,0人关注 / 9个月以前发布,72,"8,572元/平"
此房 楼位置好 采光视野无遮挡 中高楼层,K2狮子城南区 -涿州,2室2厅 | 86平米 | 南 | 毛坯 | 24层  | 板塔结合,1人关注 / 一年前发布,80,"9,303元/平"
业主急售2居，中间楼层，采光好，校园近,K2狮子城南区 -涿州,2室1厅 | 82.02平米 | 南 | 简装 | 24层  | 板塔结合,3人关注 / 7个月以前发布,74,"9,023元/平"
涿州市高新区满五唯一的一居出售,汇元国际 -涿州,1室0厅 | 48平米 | 北 | 简装 | 中楼层(共17层)  | 塔楼,0人关注 / 1个月以前发布,32,"6,667元/平"
高铁新城狮子城正规一居室，厅室分离，户型方正,K2狮子城南区 -涿州,1室1厅 | 58平米 | 东北 | 毛坯 | 23层  | 板塔结合,1人关注 / 一年前发布,56,"9,656元/平"
急售朝南两居，高档社会，价格美丽,K2狮子城南区 -涿州,2室1厅 | 84平米 | 南 | 简装 | 24层  | 板塔结合,1人关注 / 一年前发布,80,"9,524元/平"
狮子城+全阳两居室+好位置+满二+无尾款+无遮挡,K2狮子城南区 -涿州,2室2厅 | 85.01平米 | 南 | 简装 | 23层  | 板塔结合,2人关注 / 4个月以前发布,73,"8,588元/平"
满二南向两居，毛坯可以随意装修，诚意出售,K2狮子城南区 -涿州,2室1厅 | 84平米 | 南 | 毛坯 | 24层  | 板塔结合,0人关注 / 6个月以前发布,70,"8,334元/平"
业主急售 狮子城南区精装南向两居 采光好 出行便利,K2狮子城南区 -涿州,2室1厅 | 84平米 | 南 | 精装 | 24层  | 板塔结合,22人关注 / 一年前发布,65,"7,739元/平"
此房全南户型，精装修，业主一天未住,名流美域 -涿州,2室1厅 | 93.3平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,4人关注 / 一年前发布,73,"7,825元/平"
全南大两居，毛坯随意装修，中间楼层，采光好,翡翠城 -涿州,2室2厅 | 100.31平米 | 南 | 毛坯 | 中楼层(共27层)  | 板塔结合,0人关注 / 一年前发布,85,"8,474元/平"
此房朝向南，中高楼层，无遮挡，视野好,翡翠城 -涿州,2室2厅 | 94.77平米 | 南 | 简装 | 高楼层(共28层)  | 塔楼,0人关注 / 一年前发布,70,"7,387元/平"
全南两居 中高楼层 位置好 品质社区,香邑溪谷 -涿州,2室2厅 | 91平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 一年前发布,100,"10,990元/平"
狮子城  毛坯两居   南向  户型方正没有浪费空间,K2狮子城北区 -涿州,2室1厅 | 85平米 | 南 | 毛坯 | 24层  | 板塔结合,25人关注 / 一年前发布,73,"8,589元/平"
朝北，户型方正，明亮一居室明厨暗卫户型,名流美域 -涿州,1室0厅 | 45.68平米 | 北 | 简装 | 低楼层(共15层)  | 板塔结合,0人关注 / 一年前发布,36,"7,881元/平"
南北通透格局中间楼层 停车位充足 交通便利 房本在手,银都花园 -涿州,2室1厅 | 89.49平米 | 南 北 | 简装 | 低楼层(共3层)  | 板楼,1人关注 / 2个月以前发布,75,"8,381元/平"
金竹花园 东南全明2居 满五唯一 精装  低楼层,金竹花园 -涿州,2室2厅 | 104.27平米 | 东 南 | 精装 | 低楼层(共17层)  | 板塔结合,4人关注 / 一年前发布,115,"11,030元/平"
香邑溪谷玫瑰园 花园社区 人车分流,香邑溪谷玫瑰园 -涿州,2室2厅 | 88.74平米 | 南 | 毛坯 | 高楼层(共30层)  | 板楼,0人关注 / 一年前发布,68,"7,663元/平"
此房为南北通透两居，无遮挡，一梯两户,香邑溪谷悦都小区 -涿州,2室1厅 | 89.54平米 | 南 北 | 毛坯 | 低楼层(共31层)  | 板楼,2人关注 / 6个月以前发布,65,"7,260元/平"
德信公园旁，精装南北两居，南侧楼位采光好。,翡翠滨江 -涿州,2室1厅 | 96平米 | 南 北 | 精装 | 高楼层(共25层)  | 板塔结合,0人关注 / 9个月以前发布,110,"11,459元/平"
K2狮子城6号楼朝南2居，前无遮挡,K2狮子城北区 -涿州,2室1厅 | 84平米 | 南 | 精装 | 23层  | 板塔结合,0人关注 / 一年前发布,120,"14,286元/平"
户型方正无浪费面积，毛坯房可按照喜欢的风格装修，,鸿坤新维港 -涿州,1室1厅 | 47平米 | 南 | 毛坯 | 中楼层(共20层)  | 板塔结合,4人关注 / 11个月以前发布,30,"6,383元/平"
诚心出售采光好，户型好，朝南好房。,K2狮子城北区 -涿州,2室2厅 | 85平米 | 南 | 毛坯 | 23层  | 板塔结合,31人关注 / 一年前发布,95,"11,177元/平"
涿州高铁旁 一层带小院 经典两居 花园社区,鹏渤印象城牛津花园 -涿州,2室2厅 | 76平米 | 南 | 毛坯 | 23层  | 板塔结合,14人关注 / 一年前发布,87,"11,448元/平"
出小区门口有北京-涿州838公共汽车,钻石广场 -涿州,2室2厅 | 95平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板塔结合,3人关注 / 一年前发布,115,"12,106元/平"
南北通透大两居  明厨明卫  视野开阔 采光无遮挡,高铁新干线 -涿州,2室1厅 | 83平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板塔结合,5人关注 / 一年前发布,110,"13,254元/平"
北京界 三利中和城 全南2居 无尾款 随时看房 急售,三利中和城二期 -涿州,2室1厅 | 85平米 | 南 | 毛坯 | 低楼层(共15层)  | 板楼,0人关注 / 11个月以前发布,75,"8,824元/平"
钻石广场 南北通透 2居室 低楼层 无电梯压力 看房随时,钻石广场 -涿州,2室1厅 | 95平米 | 南 北 | 简装 | 低楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,100,"10,527元/平"
公园社区  户型方正 采光充足,翡翠滨江 -涿州,2室1厅 | 95.63平米 | 南 | 精装 | 低楼层(共26层)  | 板塔结合,0人关注 / 一年前发布,73,"7,634元/平"
房子属于中间楼层，没有遮挡。朝南两居,联合七号院 -涿州,2室2厅 | 89.39平米 | 南 | 毛坯 | 中楼层(共26层)  | 板塔结合,0人关注 / 一年前发布,85,"9,509元/平"
出门交通方便，小区位置好，视野也不错,名流一品 -涿州,2室1厅 | 99平米 | 南 | 毛坯 | 高楼层(共20层)  | 板塔结合,0人关注 / 一年前发布,78,"7,879元/平"
纯南两居居，花园社区，高楼层采光好,香邑溪谷悦都小区 -涿州,2室2厅 | 89.67平米 | 南 | 毛坯 | 高楼层(共31层)  | 板楼,3人关注 / 一年前发布,65,"7,249元/平"
狮子城北区中间楼层 精装两居 朝南户型,K2狮子城北区 -涿州,2室2厅 | 85平米 | 南 | 精装 | 24层  | 板塔结合,0人关注 / 10个月以前发布,72,"8,471元/平"
范阳路 南北通透2居 无公摊，总价35万，拎包入住。,研制厂小区 -涿州,2室1厅 | 50平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,5人关注 / 5个月以前发布,35,"7,000元/平"
名流美域 朝南两居两居室 采光好 持续强,名流美域 -涿州,2室2厅 | 89平米 | 南 | 简装 | 中楼层(共25层)  | 板塔结合,13人关注 / 一年前发布,67,"7,529元/平"
全南2居 明厨明卫 集中供暖 北京保利物业,润卓天伦湾 -涿州,2室2厅 | 75平米 | 南 | 毛坯 | 低楼层(共28层)  | 板塔结合,2人关注 / 一年前发布,65,"8,667元/平"
