标题,开发商,房子信息,发布信息,售价/万,单价
市海景两房，东南朝向，户型方正，观小区园林,龍正中央海洋公園 -港口区,2室1厅 | 89平米 | 东南 | 毛坯 | 低楼层(共18层)  | 塔楼,1人关注 / 5个月以前发布,34.8,"3,911元/平"
西湾馨园，两房两厅一卫，户型方正，采光好，通风好,西湾馨园 -港口区,2室1厅 | 69.63平米 | 东南 | 毛坯 | 高楼层(共18层)  | 暂无数据,1人关注 / 一年前发布,39.5,"5,673元/平"
精装修中间楼层， 朝南通风，看园林景观 视野开阔,防城港恒大悦珑湾 -港口区,1室1厅 | 50.74平米 | 南 | 精装 | 中楼层(共22层)  | 塔楼,1人关注 / 2个月以前发布,26,"5,125元/平"
湖海世家单间看湖看海49平，精装修，拎包入住！,湖海世家 -港口区,1室1厅 | 47.27平米 | 西南 | 精装 | 高楼层(共13层)  | 板楼,0人关注 / 9个月以前发布,21,"4,443元/平"
幸福里，价格划算高铁商圈交通配套齐全，生活便利！,泰城幸福里 -港口区,2室1厅 | 88.38平米 | 南 | 简装 | 低楼层(共24层)  | 暂无数据,0人关注 / 3个月以前发布,48.6,"5,499元/平"
有天然气 有证税满。南向阳台正规二房,中央第一街 -港口区,2室2厅 | 86.54平米 | 东南 | 毛坯 | 低楼层(共17层)  | 板塔结合,1人关注 / 10个月以前发布,35,"4,045元/平"
小面积海景配套完善带燃气独立卫生间,晨华·红林海湾 -港口区,1室1厅 | 47.92平米 | 东 | 毛坯 | 高楼层(共31层)  | 板塔结合,1人关注 / 一年前发布,23,"4,800元/平"
近海，红林海湾一房带装修拎包入住,晨华·红林海湾 -港口区,1室1厅 | 47.93平米 | 东 | 简装 | 中楼层(共31层)  | 板塔结合,0人关注 / 7个月以前发布,28.6,"5,968元/平"
阳光海岸三期单间配套 中间楼层朝南 拎包入住,龙光阳光海岸三期 -港口区,1室0厅 | 25.04平米 | 南 | 简装 | 高楼层(共19层)  | 板塔结合,0人关注 / 2个月以前发布,13.5,"5,392元/平"
高楼层.户型方正.采光充足.视野宽阔,晨华·红林海湾 -港口区,1室1厅 | 48.21平米 | 西南 | 精装 | 中楼层(共31层)  | 板塔结合,2人关注 / 一年前发布,21.5,"4,460元/平"
瑞海尚都 1室1厅 西南,瑞海尚都 -港口区,1室1厅 | 45.41平米 | 西南 | 简装 | 高楼层(共21层)  | 板塔结合,3人关注 / 一年前发布,29,"6,387元/平"
"防城港市,视线宽阔,海湾海滩海景房带阳台",海湾1号 -港口区,1室0厅 | 38.1平米 | 西 | 简装 | 中楼层(共32层)  | 塔楼,0人关注 / 8个月以前发布,24.5,"6,431元/平"
四通八达大两房朝南户型好楼层好户型价格合理,四通八达国际广场A区 -港口区,2室1厅 | 92.41平米 | 西 南 | 毛坯 | 高楼层(共28层)  | 板塔结合,1人关注 / 10个月以前发布,33,"3,572元/平"
北部湾财经 中 心 中 央商务区CBD,北部湾财经中心中央商务区CBD西 -港口区,1室0厅 | 62.42平米 | 南 | 毛坯 | 中楼层(共25层)  | 暂无数据,2人关注 / 8个月以前发布,19.5,"3,124元/平"
朝南户型，产证满二，小区环境绿化很好,埠上桃源 -港口区,2室2厅 | 89.95平米 | 南 | 毛坯 | 低楼层(共28层)  | 塔楼,5人关注 / 一年前发布,42.3,"4,703元/平"
"防城港市,视线宽阔,海湾海滩海景湖景房",龙光阳光海岸三期 -港口区,2室2厅 | 76.92平米 | 东北 | 简装 | 中楼层(共21层)  | 板塔结合,1人关注 / 一年前发布,33,"4,291元/平"
中高层二房，海景房，房本满二年，看房方便，业主急售,龙光·阳光海岸一期 -港口区,2室2厅 | 75.36平米 | 北 南 | 毛坯 | 中楼层(共27层)  | 塔楼,2人关注 / 一年前发布,54,"7,166元/平"
桂海塞纳庄园  一房一厅  采光好 配套齐全 拎包入住,桂海·塞纳庄园 -港口区,1室1厅 | 58.73平米 | 东 | 简装 | 中楼层(共29层)  | 板塔结合,10人关注 / 一年前发布,24.9,"4,240元/平"
有证。带装修。配套齐全。低楼层。,海湾1号 -港口区,1室2厅 | 38.11平米 | 西 | 其他 | 低楼层(共30层)  | 平房,0人关注 / 一年前发布,27,"7,085元/平"
此房户型方正，毛坯房，可以按照自己的风格装修！,翡翠园 -港口区,2室2厅 | 82.63平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,38.9,"4,708元/平"
龙光阳光海岸五期 3室2厅 西,龙光阳光海岸五期 -港口区,3室2厅 | 98平米 | 西 | 精装 | 中楼层(共33层)  | 暂无数据,1人关注 / 2个月以前发布,120,"12,245元/平"
此房契税已满2年，距离高铁500米，出行便利,泰城幸福里 -港口区,2室2厅 | 88.88平米 | 南 | 其他 | 低楼层(共26层)  | 板塔结合,0人关注 / 4个月以前发布,40,"4,501元/平"
碧桂园梵高的海 1室大开间 户型方正,碧桂园梵高的海 -防城区,1室0厅 | 46.23平米 | 西 | 毛坯 | 低楼层(共11层)  | 板塔结合,0人关注 / 7个月以前发布,22.8,"4,932元/平"
此房已经满二。户型方正。楼层好，新装修。,领袖壹方 -港口区,2室2厅 | 76.08平米 | 南 | 简装 | 高楼层(共28层)  | 暂无数据,7人关注 / 一年前发布,38,"4,995元/平"
北部湾财经 中 心 中 央商务区CBD,北部湾财经中心中央商务区CBD西 -港口区,1室0厅 | 62.42平米 | 南 | 毛坯 | 中楼层(共25层)  | 暂无数据,2人关注 / 8个月以前发布,19.5,"3,124元/平"
朝南户型，产证满二，小区环境绿化很好,埠上桃源 -港口区,2室2厅 | 89.95平米 | 南 | 毛坯 | 低楼层(共28层)  | 塔楼,5人关注 / 一年前发布,42.3,"4,703元/平"
"防城港市,视线宽阔,海湾海滩海景湖景房",龙光阳光海岸三期 -港口区,2室2厅 | 76.92平米 | 东北 | 简装 | 中楼层(共21层)  | 板塔结合,1人关注 / 一年前发布,33,"4,291元/平"
龙光阳光海岸三期 2室1厅 北,龙光阳光海岸三期 -港口区,2室1厅 | 60平米 | 北 | 其他 | 低楼层(共21层)  | 板塔结合,0人关注 / 9个月以前发布,31.9,"5,317元/平"
西湾上城 2室2厅 东,西湾上城 -港口区,2室2厅 | 85.2平米 | 东 | 简装 | 中楼层(共17层)  | 暂无数据,3人关注 / 一年前发布,36,"4,226元/平"
出售阳光海岸三期59.6平小两房,龙光阳光海岸三期 -港口区,2室1厅 | 59.6平米 | 北 | 简装 | 高楼层(共21层)  | 板塔结合,9人关注 / 一年前发布,33.4,"5,605元/平"
龙光·阳光海岸二期 2室2厅 南,龙光·阳光海岸二期 -港口区,2室2厅 | 88.74平米 | 南 | 毛坯 | 高楼层(共17层)  | 板塔结合,1人关注 / 一年前发布,50.3,"5,669元/平"
此房契税满2，可以贷款，还可以看海，一线海景房,博古东海岸 -港口区,2室2厅 | 87.96平米 | 南 | 毛坯 | 中楼层(共23层)  | 塔楼,9人关注 / 一年前发布,35,"3,980元/平"
广西防城港龙光阳光海岸三期海景房.,龙光阳光海岸三期 -港口区,1室1厅 | 60平米 | 南 | 简装 | 低楼层(共28层)  | 塔楼,4人关注 / 一年前发布,20,"3,334元/平"
双湾国际  精装一房急急急售 新房未入住  价格可谈,博鑫双湾国际 -港口区,1室1厅 | 30.75平米 | 北 | 简装 | 高楼层(共31层)  | 板楼,5人关注 / 一年前发布,13.5,"4,391元/平"
西湾上城 楼中楼 一线湖景 四房3卫,西湾上城 -港口区,4室2厅 | 167平米 | 东南 南 | 毛坯 | 高楼层(共17层)  | 暂无数据,3人关注 / 7个月以前发布,73.8,"4,420元/平"
中间楼层，户型方正，离海边近。,美满家园 -港口区,1室1厅 | 54.08平米 | 东北 | 简装 | 高楼层(共15层)  | 暂无数据,8人关注 / 一年前发布,22,"4,069元/平"
碧宸西海岸  大三房  毛坯  采光好,碧宸西海岸 -港口区,3室2厅 | 110平米 | 南 | 毛坯 | 高楼层(共32层)  | 塔楼,0人关注 / 一年前发布,48,"4,364元/平"
距离海边近，出入方便，高层，视野好,阳光海岸蔚蓝假日三期 -港口区,1室0厅 | 31.48平米 | 东 | 精装 | 高楼层(共28层)  | 板塔结合,0人关注 / 一年前发布,23,"7,307元/平"
户型好，小面积，视野好，配套设施齐全,美满家园 -港口区,1室1厅 | 53.33平米 | 北 | 精装 | 高楼层(共15层)  | 暂无数据,4人关注 / 一年前发布,19.7,"3,694元/平"
夏威夷豪庭纯正版一房一厅急售！,夏威夷豪庭 -港口区,1室1厅 | 50.49平米 | 南 | 毛坯 | 低楼层(共25层)  | 塔楼,1人关注 / 一年前发布,30,"5,942元/平"
旁边公园红树林户型方正 无遮挡简装修小区优美,龍正中央海洋公園 -港口区,2室1厅 | 85.32平米 | 东南 | 精装 | 中楼层(共11层)  | 塔楼,2人关注 / 一年前发布,50,"5,861元/平"
阳光海岸 一房 精装修  采光好  价格优惠,龙光阳光海岸三期 -港口区,1室1厅 | 60.2平米 | 西北 | 其他 | 低楼层(共28层)  | 塔楼,1人关注 / 一年前发布,22,"3,655元/平"
海景房，中间楼层，可以看海，户型方正,晨华·红林海湾 -港口区,2室2厅 | 77.98平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,2人关注 / 一年前发布,43.5,"5,579元/平"
配套设施齐全交通便利， 出门休闲散.,龙光阳光海岸四期 -港口区,2室1厅 | 70.39平米 | 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,32,"4,547元/平"
此房户型方正，视野开阔，交通便利，采光充足,金石雅筑 -港口区,2室2厅 | 99.01平米 | 西 | 毛坯 | 中楼层(共26层)  | 板塔结合,0人关注 / 一年前发布,32.5,"3,283元/平"
阳光海岸四期 两房  前海后湖  千亩大盘,龙光阳光海岸四期 -港口区,2室1厅 | 71平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,2人关注 / 一年前发布,44.6,"6,282元/平"
双湾国际 两房两厅 一厨一卫 简装 楼层居中,博鑫双湾国际 -港口区,2室2厅 | 83.73平米 | 东 南 | 简装 | 高楼层(共31层)  | 板楼,0人关注 / 2个月以前发布,38,"4,539元/平"
此房视野开阔，光线充足，交通便利，楼层好,龙光阳光海岸四期 -港口区,2室1厅 | 70.39平米 | 东南 | 精装 | 中楼层(共33层)  | 板塔结合,1人关注 / 3个月以前发布,43,"6,109元/平"
毛坯，看西海湾，户型方正，即买装修，采光好,晨华·红林海湾 -港口区,2室2厅 | 77.98平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 一年前发布,46,"5,899元/平"
埠上桃源 4栋 2房 急售价50万,埠上桃源 -港口区,2室2厅 | 82平米 | 西北 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 一年前发布,49,"5,976元/平"
双湾国际两房，南向，冬暖夏凉，,博鑫双湾国际 -港口区,2室2厅 | 62平米 | 南 | 其他 | 中楼层(共31层)  | 板楼,0人关注 / 9个月以前发布,32,"5,162元/平"
海景房，中间楼层，可以看海，户型方正,晨华·红林海湾 -港口区,2室2厅 | 77.98平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,2人关注 / 一年前发布,43.5,"5,579元/平"
阳光海岸 一房 精装修  采光好  价格优惠,龙光阳光海岸三期 -港口区,1室1厅 | 60.2平米 | 西北 | 其他 | 低楼层(共28层)  | 塔楼,1人关注 / 一年前发布,22,"3,655元/平"
此房户型方正，视野开阔，交通便利，采光充足,金石雅筑 -港口区,2室2厅 | 99.01平米 | 西 | 毛坯 | 中楼层(共26层)  | 板塔结合,0人关注 / 一年前发布,32.5,"3,283元/平"
双湾国际 两房两厅 一厨一卫 简装 楼层居中,博鑫双湾国际 -港口区,2室2厅 | 83.73平米 | 东 南 | 简装 | 高楼层(共31层)  | 板楼,0人关注 / 2个月以前发布,38,"4,539元/平"
配套设施齐全交通便利， 出门休闲散.,龙光阳光海岸四期 -港口区,2室1厅 | 70.39平米 | 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,32,"4,547元/平"
阳光海岸四期 两房  前海后湖  千亩大盘,龙光阳光海岸四期 -港口区,2室1厅 | 71平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,2人关注 / 一年前发布,44.6,"6,282元/平"
桂海世贸广场  高层为主  视野开阔 交通便利,桂海世贸广场 -港口区,1室1厅 | 40.4平米 | 南 | 简装 | 高楼层(共27层)  | 板楼,0人关注 / 8个月以前发布,20,"4,951元/平"
业主急售双湾国际毛坯两房需全款,博鑫双湾国际 -港口区,2室2厅 | 59.21平米 | 南 | 毛坯 | 低楼层(共31层)  | 板楼,9人关注 / 一年前发布,29,"4,898元/平"
海港城两房毛坯现房，有证产权清晰,海港城 -港口区,2室2厅 | 91平米 | 南 | 毛坯 | 中楼层(共17层)  | 板塔结合,0人关注 / 2个月以前发布,38,"4,176元/平"
.高楼层.户型方正.采光充足.视野宽阔,晨华·红林海湾 -港口区,1室0厅 | 48.21平米 | 北 | 毛坯 | 中楼层(共31层)  | 板塔结合,0人关注 / 一年前发布,21,"4,356元/平"
此房满五唯一。户型方正，交通便利，位置优越。,博鑫双湾国际 -港口区,2室2厅 | 60.3平米 | 南 | 简装 | 低楼层(共31层)  | 板楼,1人关注 / 一年前发布,27,"4,478元/平"
博鑫双湾国际 2室1厅 南,博鑫双湾国际 -港口区,2室1厅 | 60.29平米 | 南 | 简装 | 低楼层(共31层)  | 板楼,0人关注 / 3个月以前发布,28,"4,645元/平"
此房视野开阔，光线充足，交通便利，楼层好,龙光阳光海岸四期 -港口区,2室1厅 | 70.39平米 | 东南 | 精装 | 中楼层(共33层)  | 板塔结合,1人关注 / 3个月以前发布,43,"6,109元/平"
户型方正，通透小区宽敞，出行方便,麒胤·西湾华庭 -港口区,3室2厅 | 236平米 | 南 | 其他 | 高楼层(共24层)  | 板塔结合,1人关注 / 一年前发布,102,"4,323元/平"
独立式卫生间，户型方正，采光充足,晨华·红林海湾 -港口区,1室1厅 | 47.93平米 | 北 | 毛坯 | 中楼层(共31层)  | 板塔结合,0人关注 / 7个月以前发布,23.5,"4,903元/平"
高楼层视野广阔，可看海景，采光充足，配套完善成熟。,三生天海观邸 -港口区,1室1厅 | 45.07平米 | 南 | 简装 | 中楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,24.8,"5,503元/平"
CBD明珠园朝南大2房带车位-房证在手-可按揭-地段优越,明珠园 -港口区,2室2厅 | 92.66平米 | 南 | 毛坯 | 高楼层(共31层)  | 塔楼,0人关注 / 一年前发布,57,"6,152元/平"
装修2房，可以贷款，房间里面有家具家电，楼下有市场,铜锣湾 -港口区,2室2厅 | 85平米 | 东 北 | 简装 | 低楼层(共34层)  | 塔楼,1人关注 / 一年前发布,42,"4,942元/平"
cbd商圈 生活配套齐全 环境优美 地理位置优越,海港城 -港口区,1室1厅 | 43.6平米 | 东南 | 毛坯 | 中楼层(共31层)  | 板塔结合,0人关注 / 3个月以前发布,23,"5,276元/平"
碧桂园滨海城 1室0厅 南,碧桂园滨海城 -港口区,1室0厅 | 48.79平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,1人关注 / 一年前发布,28,"5,739元/平"
户型方正，采光好，配套齐全，满足你的购物需求！,海湾1号 -港口区,2室2厅 | 82.86平米 | 西南 | 精装 | 中楼层(共32层)  | 板塔结合,1人关注 / 一年前发布,42,"5,069元/平"
龙光阳光海岸五期 2室2厅 东北,龙光阳光海岸五期 -港口区,2室2厅 | 79.08平米 | 东北 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 3个月以前发布,40.3,"5,097元/平"
户型方正.采光充足.视野宽阔.交通便利.适合.养生,龙光阳光海岸五期 -港口区,2室1厅 | 88.19平米 | 南 | 毛坯 | 低楼层(共32层)  | 板塔结合,0人关注 / 3个月以前发布,46,"5,217元/平"
西湾上城 2室2厅 北,西湾上城 -港口区,2室2厅 | 90.54平米 | 北 | 毛坯 | 低楼层(共26层)  | 暂无数据,0人关注 / 8个月以前发布,33,"3,645元/平"
交通便利，晚上可散步去海边，有沙潭江，白鹭公园，,防城港凤景湾 -港口区,3室2厅 | 98.7平米 | 西 西北 | 其他 | 低楼层(共31层)  | 板塔结合,1人关注 / 6个月以前发布,48.4,"4,904元/平"
碧桂园滨海城 3室2厅 西南,碧桂园滨海城 -港口区,3室2厅 | 93.81平米 | 西南 | 精装 | 低楼层(共33层)  | 板塔结合,1人关注 / 6个月以前发布,56.3,"6,002元/平"
面积大，价格便宜，少有的两房两卫,桂海东盟新城 -港口区,2室2厅 | 98平米 | 东 北 | 简装 | 低楼层(共18层)  | 暂无数据,13人关注 / 一年前发布,38,"3,878元/平"
户型方正.采光充足.视野宽阔.交通便利.适合.养生,龙光阳光海岸五期 -港口区,2室1厅 | 88.19平米 | 南 | 毛坯 | 低楼层(共32层)  | 板塔结合,0人关注 / 3个月以前发布,46,"5,217元/平"
交通便利，晚上可散步去海边，有沙潭江，白鹭公园，,防城港凤景湾 -港口区,3室2厅 | 98.7平米 | 西 西北 | 其他 | 低楼层(共31层)  | 板塔结合,1人关注 / 6个月以前发布,48.4,"4,904元/平"
西湾上城 2室2厅 北,西湾上城 -港口区,2室2厅 | 90.54平米 | 北 | 毛坯 | 低楼层(共26层)  | 暂无数据,0人关注 / 8个月以前发布,33,"3,645元/平"
桂海东盟新城 2室2厅 西,桂海东盟新城 -港口区,2室2厅 | 99平米 | 西 | 简装 | 低楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,37.5,"3,788元/平"
和德国际两房简装出售 单价仅3字头,和德国际 -港口区,2室2厅 | 79.35平米 | 北 | 简装 | 中楼层(共20层)  | 板塔结合,1人关注 / 1个月以前发布,27,"3,403元/平"
西湾上城 大两房 湖景房 楼层居中 采光充足 大阳台,西湾上城 -港口区,2室2厅 | 93.6平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 塔楼,0人关注 / 一年前发布,40,"4,274元/平"
商务区，配套全，楼下万茂广场，旁边四中,翡翠国际 -港口区,1室0厅 | 59.54平米 | 南 | 毛坯 | 低楼层(共28层)  | 暂无数据,0人关注 / 7个月以前发布,20,"3,360元/平"
广西防城港市海湾1号海湾海滩海景房,海湾1号 -港口区,2室2厅 | 77.36平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,1人关注 / 一年前发布,38,"4,913元/平"
业主急售2房2厅1卫生间，户型方正，可以贷款税满2年,铜锣湾 -港口区,2室2厅 | 79.74平米 | 东 | 毛坯 | 高楼层(共34层)  | 板塔结合,0人关注 / 9个月以前发布,31,"3,888元/平"
铜锣湾 2室1厅 北,铜锣湾 -港口区,2室1厅 | 94平米 | 北 | 简装 | 高楼层(共34层)  | 板塔结合,0人关注 / 8个月以前发布,43,"4,575元/平"
此房证税满二，采光充足，楼层好，视野开,正茂·顶秀港湾 -港口区,2室2厅 | 75.39平米 | 南 | 毛坯 | 中楼层(共30层)  | 塔楼,0人关注 / 1个月以前发布,32,"4,245元/平"
房子户型方正，明厨明卫，通风采光好，出行方便。,博古东海岸 -港口区,2室2厅 | 88平米 | 南 | 简装 | 低楼层(共23层)  | 塔楼,0人关注 / 一年前发布,42,"4,773元/平"
恒大御景湾 两房 采光好  户型方正 朝南,恒大御景湾 -港口区,2室1厅 | 80平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,1人关注 / 4个月以前发布,45,"5,625元/平"
瑞海尚都经典两房，有证，税满，简装,瑞海尚都 -港口区,2室1厅 | 87.87平米 | 西北 | 简装 | 中楼层(共29层)  | 板塔结合,1人关注 / 一年前发布,49.6,"5,645元/平"
塞纳庄园小区，一房一厅，有证，税满，简装修。,桂海·塞纳庄园 -港口区,1室1厅 | 64.3平米 | 东南 | 精装 | 中楼层(共29层)  | 板塔结合,5人关注 / 一年前发布,29,"4,511元/平"
瑞海尚都两房一厅一卫，有证，税满两年，毛坯房,瑞海尚都 -港口区,2室1厅 | 92.44平米 | 南 | 毛坯 | 中楼层(共21层)  | 板塔结合,0人关注 / 一年前发布,46.3,"5,009元/平"
瑞海尚都海景两房，有证，税满，简装。,瑞海尚都 -港口区,2室1厅 | 72平米 | 南 | 简装 | 高楼层(共21层)  | 板塔结合,2人关注 / 一年前发布,45,"6,250元/平"
瑞海尚都两房，简装带家具家电，有证，税满两年,瑞海尚都 -港口区,2室1厅 | 88平米 | 南 | 简装 | 高楼层(共29层)  | 板塔结合,0人关注 / 一年前发布,56.5,"6,421元/平"
同德·金港国际 3室2厅 南 北,同德·金港国际 -港口区,3室2厅 | 135.01平米 | 南 北 | 简装 | 高楼层(共11层)  | 塔楼,0人关注 / 一年前发布,62,"4,593元/平"
"配套齐全,交通便利,采光充足.",和德国际 -港口区,1室1厅 | 57平米 | 南 | 简装 | 高楼层(共20层)  | 塔楼,0人关注 / 一年前发布,21,"3,685元/平"
阳光海岸二期海景房，有证，税满五年，简装。,龙光·阳光海岸二期 -港口区,3室2厅 | 135平米 | 西南 | 简装 | 低楼层(共17层)  | 板塔结合,1人关注 / 一年前发布,76,"5,630元/平"
主干道上，出入方便，视野开阔，电梯有空调,埠上桃源 -港口区,2室2厅 | 74.49平米 | 南 | 毛坯 | 高楼层(共28层)  | 塔楼,3人关注 / 一年前发布,60,"8,055元/平"
电梯房，外网已呈现，新上房源，,晨华·红林海湾 -港口区,1室1厅 | 48.21平米 | 北 | 毛坯 | 低楼层(共31层)  | 板塔结合,0人关注 / 7个月以前发布,27.5,"5,705元/平"
阳光海岸四期 朝南两房 价格便宜 房东急售,龙光阳光海岸四期 -港口区,2室2厅 | 78.8平米 | 南 | 其他 | 低楼层(共31层)  | 塔楼,1人关注 / 9个月以前发布,36,"4,569元/平"
夏威夷城市广场91.35平大两房全新精装未住,夏威夷.城市广场 -港口区,2室2厅 | 91.35平米 | 南 | 精装 | 低楼层(共12层)  | 暂无数据,4人关注 / 一年前发布,45.5,"4,981元/平"
阳光海岸四期70.5平毛坯2房1卫,龙光阳光海岸四期 -港口区,2室1厅 | 70.5平米 | 东南 | 毛坯 | 中楼层(共33层)  | 塔楼,0人关注 / 10个月以前发布,49,"6,951元/平"
海湾一号，纯一线临海优质小区，经典两房朝南户型,海湾1号 -港口区,2室2厅 | 82.86平米 | 东南 | 简装 | 中楼层(共32层)  | 板塔结合,2人关注 / 一年前发布,40,"4,828元/平"
碧桂园滨海城1室1厅1卫 户型方正 采光充足,碧桂园滨海城 -港口区,1室1厅 | 49.67平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,27,"5,436元/平"
桂海.塞纳庄园  采光充足  视野宽阔,桂海·塞纳庄园 -港口区,1室1厅 | 37.55平米 | 南 西南 | 简装 | 高楼层(共29层)  | 板塔结合,0人关注 / 4个月以前发布,17,"4,528元/平"
晟大海湾城毛坯三房  户型好 采光好 急售,晟大海湾城 -港口区,2室2厅 | 94.54平米 | 东 | 毛坯 | 中楼层(共31层)  | 板塔结合,2人关注 / 一年前发布,39,"4,126元/平"
碧桂园滨海城3房2厅1卫 低楼层 出行方便,碧桂园滨海城 -港口区,3室2厅 | 93.39平米 | 东南 | 精装 | 低楼层(共33层)  | 塔楼,0人关注 / 2个月以前发布,55.6,"5,954元/平"
龍正中央海洋公園 2室2厅 南,龍正中央海洋公園 -港口区,2室2厅 | 77.68平米 | 南 | 简装 | 低楼层(共18层)  | 塔楼,0人关注 / 3个月以前发布,34,"4,377元/平"
房子不错  湖海双景 两房两厅的 好房子,龙光阳光海岸四期 -港口区,2室2厅 | 78.48平米 | 东南 | 毛坯 | 高楼层(共31层)  | 塔楼,0人关注 / 一年前发布,39.5,"5,034元/平"
小区距离红树林仅几百米，税满两年，有房产证。,博古东海岸 -港口区,2室2厅 | 88.82平米 | 南 | 毛坯 | 高楼层(共25层)  | 塔楼,0人关注 / 一年前发布,38,"4,279元/平"
价格便宜，配套设施齐全，交通便..,瑞海尚都 -港口区,2室2厅 | 87.87平米 | 西南 北 | 精装 | 中楼层(共29层)  | 板塔结合,0人关注 / 一年前发布,41,"4,666元/平"
双湾国际大两房，全明，光线充足，,博鑫双湾国际 -港口区,2室2厅 | 79.02平米 | 西 | 精装 | 低楼层(共31层)  | 板楼,1人关注 / 10个月以前发布,32.2,"4,075元/平"
急售博古东海岸118.57平毛坯3房2卫,博古东海岸 -港口区,3室2厅 | 118.57平米 | 南 北 | 毛坯 | 低楼层(共25层)  | 塔楼,1人关注 / 一年前发布,46,"3,880元/平"
晟大海湾城毛坯三房  户型好 采光好 急售,晟大海湾城 -港口区,2室2厅 | 94.54平米 | 东 | 毛坯 | 中楼层(共31层)  | 板塔结合,2人关注 / 一年前发布,39,"4,126元/平"
阳光海岸前海后湖  实力物业 有保障  方正小两房,龙光·阳光海岸一期 -港口区,2室1厅 | 70平米 | 南 | 毛坯 | 低楼层(共27层)  | 塔楼,1人关注 / 一年前发布,35,"5,000元/平"
配套设施齐全交通便利， 出门休闲散,龙光阳光海岸五期 -港口区,3室2厅 | 98平米 | 南 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 2个月以前发布,50,"5,103元/平"
楼层好，视野宽阔，采光充足，交通便利,龙光阳光海岸三期 -港口区,1室0厅 | 32.13平米 | 东 | 其他 | 低楼层(共19层)  | 板塔结合,0人关注 / 6个月以前发布,15.3,"4,762元/平"
"市政府旁中冶金海都2+1室,近园博园可看海,生活配套齐",中冶●金海都 -港口区,3室1厅 | 91.71平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 暂无数据,6人关注 / 一年前发布,49.5,"5,398元/平"
西湾滨海区——北部湾大道中段，交通便利，配套完备，,中冶兴港华府 -港口区,2室2厅 | 88.93平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,2人关注 / 7个月以前发布,35,"3,936元/平"
此房满二唯一，楼层好，采光充足，通风效果很好,台湾城 -港口区,2室1厅 | 52平米 | 南 | 精装 | 高楼层(共17层)  | 板塔结合,1人关注 / 4个月以前发布,25,"4,808元/平"
"理想楼层,上下方便.不再担心出行问题,配套齐全,小区环",龙光·阳光海岸一期 -港口区,2室2厅 | 62.63平米 | 南 北 | 简装 | 低楼层(共27层)  | 塔楼,6人关注 / 一年前发布,29.8,"4,759元/平"
碧海紫金城76.05平毛坯2房1卫,碧海紫金城 -港口区,2室2厅 | 76.05平米 | 北 | 毛坯 | 低楼层(共28层)  | 暂无数据,0人关注 / 11个月以前发布,39.3,"5,168元/平"
桂海.塞纳庄园  采光充足  视野宽阔,桂海·塞纳庄园 -港口区,1室1厅 | 37.55平米 | 南 西南 | 简装 | 高楼层(共29层)  | 板塔结合,0人关注 / 4个月以前发布,17,"4,528元/平"
户型方正、宽敞，采光充足，配套齐全，此房产满5年。,西湾上城 -港口区,2室1厅 | 94.73平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,32,"3,379元/平"
广 西防城港恒大御景湾小区园林茂盛,恒大御景湾 -港口区,2室2厅 | 69.85平米 | 南 | 精装 | 高楼层(共29层)  | 板塔结合,3人关注 / 一年前发布,53,"7,588元/平"
碧玉天宁海公馆房子格局好，位置佳，方便，便捷,碧园&天宁·海公馆 -港口区,2室2厅 | 74.5平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 7个月以前发布,53,"7,115元/平"
通透格局，楼层好，视野宽阔，采光充足，户型方正,翡翠园 -港口区,1室1厅 | 72平米 | 南 | 毛坯 | 低楼层(共31层)  | 板楼,2人关注 / 一年前发布,25.95,"3,605元/平"
金地时代广场 一房公寓 采光好,金地时代广场 -港口区,1室0厅 | 52.33平米 | 南 | 简装 | 中楼层(共25层)  | 暂无数据,0人关注 / 4个月以前发布,21.5,"4,109元/平"
