标题,开发商,房子信息,发布信息,售价/万,单价
此房为毛坯4房 看小区园林 户型很好 楼层好,珠江·云锦 -雁峰区,4室2厅 | 128.22平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 5天以前发布,68.8,"5,366元/平"
蒸湘南路 楼间距宽 小区环境好  红本在手,湘粤名城 -未知商圈,3室2厅 | 119平米 | 南 | 精装 | 高楼层(共28层)  | 暂无数据,0人关注 / 4个月以前发布,58.8,"4,942元/平"
莲湖公园边的精装三房，南北通透采光好，散步方便,解放路 -石鼓区,3室1厅 | 61平米 | 北 南 | 精装 | 中楼层(共6层)  | 暂无数据,2人关注 / 2个月以前发布,26.8,"4,394元/平"
立新精致4房2厅2卫 南边朝向 步梯中层 三面采光,立新1社区 -蒸湘区,4室2厅 | 136平米 | 南 北 | 精装 | 中楼层(共8层)  | 暂无数据,3人关注 / 4个月以前发布,47.8,"3,515元/平"
格局好，采光佳，房龄新，楼梯7楼，共8，楼下停,解放西路48号 -蒸湘区,3室2厅 | 107平米 | 南 | 简装 | 高楼层(共7层)  | 板塔结合,4人关注 / 3个月以前发布,17.8,"1,664元/平"
金河湾1881毛坯房，三房两厅两卫视野开阔南北通透,金河湾·1881 -蒸湘区,3室2厅 | 118平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 暂无数据,0人关注 / 3个月以前发布,69.8,"5,916元/平"
新上房源 精装两房 拎包入住 产权满二 视野宽阔,恒大绿洲 -蒸湘区,2室2厅 | 80.22平米 | 南 | 简装 | 中楼层(共32层)  | 暂无数据,1人关注 / 3个月以前发布,50.8,"6,333元/平"
衡阳钢管厂住宅小区，健康步梯，闹中取静，环境优美。,衡阳钢管厂住宅小区 -蒸湘区,2室2厅 | 62平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,4人关注 / 一年前发布,17.6,"2,839元/平"
M国际住家精装电梯2房2厅 97.35平 43.8,M国际 -蒸湘区,2室2厅 | 97.35平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,7人关注 / 7个月以前发布,43.8,"4,500元/平"
难得的南北通透二房  带双阳台 户型格局好,丽佳花苑 -蒸湘区,2室2厅 | 92平米 | 南 北 | 毛坯 | 低楼层(共28层)  | 暂无数据,1人关注 / 3个月以前发布,48,"5,218元/平"
蒸湘万达旁 小区环境好 停车方便,水泥厂家属区 -蒸湘区,2室1厅 | 53平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,1人关注 / 3个月以前发布,19.8,"3,736元/平"
先锋电脑城旁精装2房。。。。。,爱民路8号 -雁峰区,2室1厅 | 51平米 | 南 | 精装 | 中楼层(共8层)  | 暂无数据,2人关注 / 2个月以前发布,23.88,"4,683元/平"
晶珠广场商圈、带产权车位、楼梯三房、单价便宜、,桂茗苑小区(立新大道) -蒸湘区,3室2厅 | 112.75平米 | 南 | 精装 | 高楼层(共8层)  | 暂无数据,9人关注 / 7个月以前发布,32,"2,839元/平"
石鼓商圈，银汉苑，电梯板房，3房2厅2卫，满两年,银汉苑 -石鼓区,3室2厅 | 127平米 | 南 北 | 简装 | 高楼层(共9层)  | 板楼,2人关注 / 8个月以前发布,49.75,"3,918元/平"
弘扬广场，立新 133平方。三改4房。产权清晰。,立新二社区 -蒸湘区,3室2厅 | 133平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,6人关注 / 8个月以前发布,33,"2,482元/平"
立新大道。蒸湘世纪城。精装两房，坐北朝南，满五唯一,蒸湘世纪城 -蒸湘区,2室2厅 | 98平米 | 南 北 | 精装 | 低楼层(共31层)  | 暂无数据,4人关注 / 一年前发布,48,"4,898元/平"
房东急售，珠江愉景南苑，小三房，可按揭贷款,珠江愉景南苑 -蒸湘区,3室2厅 | 86.83平米 | 南 | 毛坯 | 中楼层(共31层)  | 暂无数据,1人关注 / 一年前发布,55.8,"6,427元/平"
莲湖公园边的精装三房，南北通透采光好，散步方便,解放路 -石鼓区,3室1厅 | 61平米 | 北 南 | 精装 | 中楼层(共6层)  | 暂无数据,2人关注 / 2个月以前发布,26.8,"4,394元/平"
船山路 晶珠商圈 三室二厅一厨一卫,船山路66号 -石鼓区,3室2厅 | 131.15平米 | 南 | 简装 | 中楼层(共10层)  | 暂无数据,2人关注 / 一年前发布,38.8,"2,959元/平"
珠江帝景山庄，4房2厅2卫，房东诚心出售,珠江帝景山莊 -石鼓区,4室2厅 | 146平米 | 南 | 毛坯 | 低楼层(共30层)  | 板塔结合,0人关注 / 一年前发布,65.8,"4,507元/平"
愉景新城  电梯高层  房东诚心出售,愉景新城 -蒸湘区,3室2厅 | 102.58平米 | 南 | 精装 | 高楼层(共32层)  | 暂无数据,1人关注 / 3个月以前发布,57,"5,557元/平"
石鼓商圈，银汉苑，电梯板房，3房2厅2卫，满两年,银汉苑 -石鼓区,3室2厅 | 127平米 | 南 北 | 简装 | 高楼层(共9层)  | 板楼,2人关注 / 8个月以前发布,49.75,"3,918元/平"
难得的南北通透二房  带双阳台 户型格局好,丽佳花苑 -蒸湘区,2室2厅 | 92平米 | 南 北 | 毛坯 | 低楼层(共28层)  | 暂无数据,1人关注 / 3个月以前发布,48,"5,218元/平"
先锋电脑城旁精装2房。。。。。,爱民路8号 -雁峰区,2室1厅 | 51平米 | 南 | 精装 | 中楼层(共8层)  | 暂无数据,2人关注 / 2个月以前发布,23.88,"4,683元/平"
蒸湘万达旁 小区环境好 停车方便,水泥厂家属区 -蒸湘区,2室1厅 | 53平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,1人关注 / 3个月以前发布,19.8,"3,736元/平"
晶珠广场商圈、带产权车位、楼梯三房、单价便宜、,桂茗苑小区(立新大道) -蒸湘区,3室2厅 | 112.75平米 | 南 | 精装 | 高楼层(共8层)  | 暂无数据,9人关注 / 7个月以前发布,32,"2,839元/平"
雅士林欣城 毛胚3室2厅 户型方正 证满二税少,雅士林欣城 -石鼓区,3室2厅 | 102平米 | 东 | 毛坯 | 低楼层(共28层)  | 暂无数据,0人关注 / 30天以前发布,53,"5,197元/平"
人民路小XUE电梯房 房龄新  4室2厅2卫,中山北路6号 -石鼓区,3室2厅 | 148平米 | 南 | 简装 | 中楼层(共10层)  | 暂无数据,1人关注 / 2个月以前发布,49.8,"3,365元/平"
华光小区 太阳广场旁 3房2厅1卫 步梯房 简装,华光小区 -蒸湘区,3室2厅 | 98平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,30,"3,062元/平"
雁能领秀天地  精装二房业主自住  现诚意出让,雁能领秀天地 -蒸湘区,2室2厅 | 101.9平米 | 南 | 精装 | 高楼层(共30层)  | 暂无数据,0人关注 / 5个月以前发布,73.6,"7,223元/平"
雁峰区张飞支巷精装修带全套新家具步梯5楼出售,左家台社区06组 -雁峰区,3室2厅 | 105平米 | 南 | 精装 | 中楼层(共9层)  | 板塔结合,42人关注 / 一年前发布,36.8,"3,505元/平"
弘阳广场旁 立新3房2厅 单价2千多 楼层不高,立新二社区 -蒸湘区,3室2厅 | 137.9平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,3人关注 / 7个月以前发布,35,"2,539元/平"
帝景山庄4房2厅2卫，看房方便，诚意出售,珠江帝景山莊 -石鼓区,4室2厅 | 104平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,1人关注 / 11个月以前发布,58.5,"5,625元/平"
老城区地段繁华，宽敞2居室，价格实惠，生活配套齐。,湘核林语 -雁峰区,2室2厅 | 62平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,26人关注 / 一年前发布,11.8,"1,904元/平"
蒸水湾三房两厅 5字头单价 证满两年 成熟地段,华鑫.蒸水湾 -蒸湘区,3室2厅 | 114.7平米 | 南 | 毛坯 | 低楼层(共28层)  | 暂无数据,1人关注 / 9个月以前发布,61.8,"5,388元/平"
弘扬广场，立新 133平方。三改4房。产权清晰。,立新二社区 -蒸湘区,3室2厅 | 133平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,6人关注 / 8个月以前发布,33,"2,482元/平"
平湖公园旁 电梯毛坯3室2厅2卫 户型格局佳,西环湘城 -蒸湘区,3室2厅 | 136.5平米 | 南 | 毛坯 | 中楼层(共30层)  | 暂无数据,0人关注 / 2个月以前发布,55,"4,030元/平"
老城区地段繁华，宽敞3居室，价格实惠,爱民苑 -雁峰区,3室2厅 | 118.77平米 | 东南 | 精装 | 低楼层(共17层)  | 暂无数据,3人关注 / 10个月以前发布,58.8,"4,951元/平"
蒸湘区，好位置，精装修冠都房子49万三房,冠都现代城A1区 -蒸湘区,3室2厅 | 102平米 | 北 | 毛坯 | 低楼层(共26层)  | 板塔结合,0人关注 / 2个月以前发布,49.8,"4,883元/平"
弘阳广场，立新开发区，带平台，3房2厅1卫，,立新二社区 -蒸湘区,3室2厅 | 113平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,7人关注 / 7个月以前发布,22.8,"2,018元/平"
锦绣湘城一套2房2厅2阳台房子,锦绣湘城 -蒸湘区,2室2厅 | 86平米 | 东南 | 精装 | 低楼层(共29层)  | 塔楼,7人关注 / 一年前发布,50,"5,814元/平"
房东急售！精典好户型，满足高档小区居住需求！,星悦湾 -蒸湘区,3室2厅 | 109.8平米 | 南 | 毛坯 | 中楼层(共28层)  | 板塔结合,2人关注 / 一年前发布,65,"5,920元/平"
房东诚意售房，房子户型好，交通方便,中央香榭 -蒸湘区,3室2厅 | 111平米 | 东南 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 8个月以前发布,68,"6,127元/平"
环城南路29号 1室1厅 东南,环城南路29号 -雁峰区,1室1厅 | 33平米 | 东南 | 简装 | 中楼层(共8层)  | 暂无数据,1人关注 / 22天以前发布,9.8,"2,970元/平"
石鼓区青山街 一室一厅 证满两年 国土出让,青山街 -石鼓区,1室1厅 | 37平米 | 北 | 简装 | 低楼层(共9层)  | 暂无数据,0人关注 / 17天以前发布,12.8,"3,460元/平"
融冠亲城 三房房东精装九九成新 电梯中层,融冠亲城 -蒸湘区,3室2厅 | 93平米 | 南 | 精装 | 中楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,69.8,"7,506元/平"
高铁站旁 单位家属小区 不动产满两年 带车位,幸福香颂 -珠晖区,2室2厅 | 102平米 | 南 | 毛坯 | 中楼层(共26层)  | 暂无数据,0人关注 / 5个月以前发布,50.8,"4,981元/平"
华新 恒大绿洲 精装1室1厅 拎包入住 保养新,恒大绿洲 -蒸湘区,1室1厅 | 52平米 | 南 | 精装 | 高楼层(共29层)  | 平房,4人关注 / 一年前发布,33.8,"6,500元/平"
M国际 1室1厅 南,M国际 -蒸湘区,1室1厅 | 56平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,2人关注 / 5个月以前发布,28.8,"5,143元/平"
冠都精装修一房一厅，采光好视野宽阔 户型方正,冠都现代城A1区 -蒸湘区,1室1厅 | 33.49平米 | 南 | 精装 | 中楼层(共16层)  | 板塔结合,3人关注 / 一年前发布,20,"5,972元/平"
恒大绿洲 1室1厅 北,恒大绿洲 -蒸湘区,1室1厅 | 52平米 | 北 | 精装 | 高楼层(共29层)  | 平房,3人关注 / 一年前发布,35,"6,731元/平"
三得利旁，3房2厅，房东成心出售，拎包入住,衡阳市水果批发市场家属楼 -珠晖区,2室1厅 | 70平米 | 南 北 | 精装 | 中楼层(共8层)  | 暂无数据,1人关注 / 4个月以前发布,28.6,"4,086元/平"
两房一厅一卫，可做门面，之前一直发租，位置很好,长铁广西路 -珠晖区,2室1厅 | 70平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,29.8,"4,258元/平"
金星湘江苑，现房，大三居室，随时可以看。,金星湘江苑 -珠晖区,3室2厅 | 109平米 | 南 | 毛坯 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,58,"5,322元/平"
珠晖区荷花新城小区，电梯标准三房，可按揭，全款,荷花新城 -珠晖区,3室2厅 | 120.49平米 | 西北 | 毛坯 | 中楼层(共18层)  | 塔楼,4人关注 / 一年前发布,58.8,"4,881元/平"
此房为小户型住宅公寓，楼层好，视野开阔，采光充足，,锦绣贤苑 -蒸湘区,1室1厅 | 48.6平米 | 南 | 毛坯 | 中楼层(共20层)  | 暂无数据,2人关注 / 10个月以前发布,40,"8,231元/平"
房子位于华新开发区，配套成熟，交通便利，出行方便。,名仕华府 -蒸湘区,1室1厅 | 48平米 | 南 | 精装 | 低楼层(共25层)  | 暂无数据,2人关注 / 8个月以前发布,33.8,"7,042元/平"
非凡品质的住宅，品质精心，价格实惠装修自由发挥,金星湘江苑 -珠晖区,3室2厅 | 110平米 | 南 | 毛坯 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,52.5,"4,773元/平"
东方巴黎电梯小高层毛坯3房可自由装修住售80万,东方巴黎 -珠晖区,3室2厅 | 137平米 | 南 | 毛坯 | 高楼层(共32层)  | 暂无数据,3人关注 / 一年前发布,78,"5,694元/平"
金星湘江苑底层，小区配套完善。,金星湘江苑 -珠晖区,3室2厅 | 109平米 | 南 | 毛坯 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,52.8,"4,845元/平"
和平小区 5楼 一室配套，带厨房卫生间,和平小区 -珠晖区,1室0厅 | 27.4平米 | 南 | 简装 | 中楼层(共8层)  | 暂无数据,5人关注 / 一年前发布,12,"4,380元/平"
船山大道星海湾毛坯公寓住宅产权 随时可以看房,英伦星海湾 -蒸湘区,1室1厅 | 38.69平米 | 北 | 毛坯 | 中楼层(共15层)  | 暂无数据,0人关注 / 3个月以前发布,26,"6,721元/平"
愉景新城江景公寓 一室配套 带天然气,愉景新城 -蒸湘区,1室1厅 | 48平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,1人关注 / 4个月以前发布,31,"6,459元/平"
一线江景房 楼层好户型方正 采光*赞,康新花园 -雁峰区,4室2厅 | 160平米 | 南 | 毛坯 | 中楼层(共23层)  | 塔楼,5人关注 / 一年前发布,69,"4,313元/平"
华新愉景新城 精装公寓 房子装修好 拎包入住,愉景新城 -蒸湘区,1室1厅 | 37平米 | 南 | 精装 | 高楼层(共31层)  | 板塔结合,2人关注 / 一年前发布,27.8,"7,514元/平"
70年产权公寓，一室一厅，毛胚现房已满两年通天然气,英伦星海湾 -蒸湘区,1室1厅 | 39平米 | 北 | 毛坯 | 高楼层(共15层)  | 暂无数据,4人关注 / 一年前发布,26.8,"6,872元/平"
万达旁 精装2房1厅35万元 拎包入住,华晨汇景 -蒸湘区,2室1厅 | 63.26平米 | 东南 | 精装 | 中楼层(共30层)  | 暂无数据,0人关注 / 1个月以前发布,35,"5,533元/平"
中建衡阳中心 2室1厅 南 北,中建衡阳中心 -石鼓区,2室1厅 | 55平米 | 南 北 | 精装 | 中楼层(共31层)  | 塔楼,3人关注 / 5个月以前发布,39.6,"7,200元/平"
华瑞园 3室2厅 南,华瑞园 -石鼓区,3室2厅 | 92平米 | 南 | 毛坯 | 低楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,45.8,"4,979元/平"
冠都现代城 70年产权 带天燃气 2梯四户 满两年,冠都现代城A1区 -蒸湘区,1室1厅 | 33.42平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,2人关注 / 一年前发布,17.9,"5,357元/平"
愉景新城公寓楼 南向两房 家电齐全 拎包入住,愉景新城 -蒸湘区,2室1厅 | 50.18平米 | 南 | 精装 | 高楼层(共31层)  | 板塔结合,8人关注 / 一年前发布,36,"7,175元/平"
雁峰区 江景公寓 一室一厅 户型好 视野好 采光佳,江岸公館 -雁峰区,1室1厅 | 50.52平米 | 东南 | 毛坯 | 中楼层(共31层)  | 暂无数据,0人关注 / 4个月以前发布,30,"5,939元/平"
恒大绿洲精装房 拎包入住 证满两年,恒大绿洲 -蒸湘区,1室0厅 | 52平米 | 南 北 | 精装 | 中楼层(共29层)  | 平房,0人关注 / 2个月以前发布,31.8,"6,116元/平"
蒸水1号 精装一房 总价低 可随时看房,三和蒸水1号 -石鼓区,1室1厅 | 30.43平米 | 南 北 | 精装 | 中楼层(共27层)  | 塔楼,0人关注 / 3个月以前发布,15.8,"5,193元/平"
急售 单位家属房 人大兴和花苑 南北通透 精装四房,人大兴和花苑 -蒸湘区,4室2厅 | 165平米 | 南 北 | 精装 | 低楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,86.8,"5,261元/平"
商银家园，四房两厅两卫，毛坯房。,商银家园 -蒸湘区,4室2厅 | 162平米 | 南 | 毛坯 | 低楼层(共17层)  | 暂无数据,2人关注 / 8个月以前发布,80,"4,939元/平"
司前街2-1-1-1 79.54m² 32 万,司前街 -石鼓区,2室1厅 | 79.54平米 | 南 北 | 精装 | 中楼层(共9层)  | 暂无数据,11人关注 / 一年前发布,22.5,"2,829元/平"
火车站鑫都旁，衡洲福居，三房两厅，中间楼层，随时看,衡洲福居 -珠晖区,3室2厅 | 130.29平米 | 东南 | 精装 | 低楼层(共20层)  | 暂无数据,0人关注 / 一年前发布,69,"5,296元/平"
华新优质地段，配套齐全，一室两厅一卫，清水毛,御璟花苑 -蒸湘区,3室2厅 | 150.72平米 | 东南 | 毛坯 | 高楼层(共31层)  | 板塔结合,1人关注 / 一年前发布,66.8,"4,433元/平"
万达广场 红湘大第 毛坯3房2厅 62万元,红湘大第 -蒸湘区,3室2厅 | 120平米 | 南 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 2个月以前发布,63,"5,250元/平"
蒸湘区立新市场旁 丽佳花苑 精装9成新3房2厅2卫中高层,丽佳花苑 -蒸湘区,3室2厅 | 120.17平米 | 南 | 精装 | 高楼层(共28层)  | 暂无数据,2人关注 / 8个月以前发布,73,"6,075元/平"
新上房源 红湘大地 还未办证 诚意出售 户型方正,红湘大第 -蒸湘区,3室2厅 | 121平米 | 北 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 一年前发布,75.8,"6,265元/平"
此房适合居住，房子户型好，环境好，空气好,创发城1938 -蒸湘区,4室2厅 | 126平米 | 南 北 | 精装 | 低楼层(共31层)  | 暂无数据,0人关注 / 3个月以前发布,83.8,"6,651元/平"
太阳广场 润泽上邸 精装3房 电梯中高层 证满五,润泽上邸 -蒸湘区,3室2厅 | 128平米 | 南 | 精装 | 高楼层(共30层)  | 暂无数据,0人关注 / 一年前发布,73.8,"5,766元/平"
房子是一手买来的，很好的楼层和户型，看房方便,雁城世家 -蒸湘区,3室2厅 | 158平米 | 南 | 毛坯 | 中楼层(共30层)  | 塔楼,3人关注 / 一年前发布,60,"3,798元/平"
万过广场旁 精装修带全套家具家电 拎包入住,香榭丽舍 -蒸湘区,4室2厅 | 140平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,72,"5,143元/平"
市政府旁精装3房，带家具家电，可以拎包入住。,雁城世家 -蒸湘区,3室2厅 | 162.06平米 | 南 北 | 精装 | 高楼层(共30层)  | 塔楼,1人关注 / 4个月以前发布,72,"4,443元/平"
珠晖区美的梧桐庄园 小三房户型朝南 可按揭,美的梧桐庄园 -珠晖区,3室2厅 | 91.21平米 | 南 | 毛坯 | 高楼层(共33层)  | 暂无数据,10人关注 / 一年前发布,56.8,"6,228元/平"
都市村庄错层4房，装修精致，品牌公司设计。,衡陽中房都市村荘 -蒸湘区,4室2厅 | 180平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,108,"6,000元/平"
此房是电梯房，有证可按揭贷款 采光视野好户型方正。,外环路16号小区 -蒸湘区,3室2厅 | 93.5平米 | 南 | 毛坯 | 中楼层(共22层)  | 塔楼,1人关注 / 6个月以前发布,40.8,"4,364元/平"
宇元万向城   精品装修  品牌家具家电,宇元·万向城 -雁峰区,3室2厅 | 128平米 | 南 北 | 精装 | 低楼层(共30层)  | 暂无数据,1人关注 / 一年前发布,98.8,"7,719元/平"
湘桂碧苑  电梯房  十三楼 可领包入住,湘桂碧苑 -雁峰区,3室2厅 | 135平米 | 南 北 | 精装 | 中楼层(共22层)  | 暂无数据,1人关注 / 一年前发布,59.68,"4,421元/平"
愉景新城 电梯中层 精装修 紧凑三房房东诚意出售,愉景新城 -蒸湘区,3室2厅 | 89平米 | 南 | 毛坯 | 低楼层(共32层)  | 暂无数据,0人关注 / 3个月以前发布,65.8,"7,394元/平"
华新生态丽景 南北通透板房设计 出门有生态公园,生态丽景二期 -蒸湘区,3室2厅 | 106平米 | 南 北 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 2个月以前发布,56,"5,284元/平"
西合路菜场  小区带院子 方便停车 步梯三楼 户型通透,全球印刷厂家属房  -蒸湘区,2室1厅 | 62平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,28.6,"4,613元/平"
耀江花园文鼎苑，160平方的大平层。三面采光,耀江花园·文鼎苑 -石鼓区,4室2厅 | 160平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,3人关注 / 一年前发布,125,"7,813元/平"
火车站鑫都旁，衡洲福居，三房两厅，随时看,衡洲福居 -珠晖区,3室2厅 | 129.96平米 | 南 北 | 毛坯 | 高楼层(共20层)  | 暂无数据,1人关注 / 5个月以前发布,52,"4,002元/平"
亚银大厦3房2厅，价格优惠，拎包入住,亚银大厦 -未知商圈,3室2厅 | 129.8平米 | 南 北 | 精装 | 中楼层(共9层)  | 暂无数据,0人关注 / 7个月以前发布,48.8,"3,760元/平"
清泉市场民主里83号业主九成新装修楼下有煤房,民主里 -珠晖区,3室2厅 | 81平米 | 南 北 | 精装 | 低楼层(共7层)  | 暂无数据,1人关注 / 2个月以前发布,32.8,"4,050元/平"
华耀碧桂园十里江湾 4室2厅 南,华耀碧桂园十里江湾 -石鼓区,4室2厅 | 143平米 | 南 | 精装 | 高楼层(共18层)  | 塔楼,1人关注 / 一年前发布,103,"7,203元/平"
星美新外滩 正南正北 视野好 房屋格局好 大客厅大阳台,星美新外滩 -蒸湘区,3室2厅 | 113.84平米 | 南 | 毛坯 | 低楼层(共32层)  | 暂无数据,0人关注 / 一年前发布,69.99,"6,149元/平"
公园里的小区，精装修带全屋家具家电，可以拎包入住。,珠江帝景山莊 -石鼓区,4室2厅 | 144.05平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,1人关注 / 6个月以前发布,100,"6,943元/平"
石鼓商圈，耀江花园文鼎苑，采光充足，产权清晰。,耀江花园·文鼎苑 -石鼓区,3室2厅 | 95.5平米 | 南 | 毛坯 | 高楼层(共27层)  | 板塔结合,2人关注 / 一年前发布,51.8,"5,425元/平"
华耀碧桂园十里江湾 3室2厅 南 北,华耀碧桂园十里江湾 -石鼓区,3室2厅 | 114.88平米 | 南 北 | 精装 | 中楼层(共30层)  | 暂无数据,0人关注 / 一年前发布,73,"6,355元/平"
华新 金星小区成熟地段 简装四房 南北通透满按揭,金星小区 -蒸湘区,4室2厅 | 178.83平米 | 南 | 简装 | 高楼层(共8层)  | 暂无数据,4人关注 / 一年前发布,51,"2,852元/平"
祝融路天酬尚都毛坯2房，小高层，户型方正视野开阔,天酬 · 尚都 -蒸湘区,2室2厅 | 100.6平米 | 东 北 | 毛坯 | 高楼层(共28层)  | 暂无数据,0人关注 / 7个月以前发布,68,"6,760元/平"
中天花园 日鑫建材市场旁 精装4房 拎包入住,中天花园 -蒸湘区,4室2厅 | 165.7平米 | 南 北 | 精装 | 中楼层(共7层)  | 暂无数据,1人关注 / 7个月以前发布,65.8,"3,972元/平"
愉景湾东域紧凑型小三房二厅精装修电梯房出售,愉景湾东域 -蒸湘区,2室2厅 | 93.4平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,4人关注 / 一年前发布,63,"6,746元/平"
文昌雅居 3室2厅 西,文昌雅居 -蒸湘区,3室2厅 | 93平米 | 西 | 精装 | 高楼层(共8层)  | 板楼,8人关注 / 一年前发布,42.8,"4,603元/平"
全明户型 视野开阔 房东诚意售房 随时看房,创发城1938 -蒸湘区,4室2厅 | 139.36平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 板塔结合,0人关注 / 一年前发布,78,"5,598元/平"
英伦首府 3室2厅 南,英伦首府 -蒸湘区,3室2厅 | 110平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,1人关注 / 一年前发布,75.8,"6,891元/平"
恒大绿洲 2室2厅 西南,恒大绿洲 -蒸湘区,2室2厅 | 80平米 | 西南 | 精装 | 低楼层(共32层)  | 暂无数据,4人关注 / 一年前发布,55.8,"6,975元/平"
愉景新城 精装大三房 装修好房龄新 满两年,愉景新城 -蒸湘区,3室2厅 | 124平米 | 南 | 精装 | 低楼层(共32层)  | 暂无数据,2人关注 / 一年前发布,85,"6,855元/平"
金钟大雁城 4室2厅 南,金钟大雁城 -蒸湘区,4室2厅 | 126.37平米 | 南 | 毛坯 | 低楼层(共30层)  | 暂无数据,0人关注 / 一年前发布,78,"6,173元/平"
三泰小区 3室2厅 南 北,三泰小区 -蒸湘区,3室2厅 | 132.83平米 | 南 北 | 精装 | 中楼层(共7层)  | 暂无数据,1人关注 / 9个月以前发布,54.8,"4,126元/平"
此房位置好，交通方便，配套齐全 生活便利,鸿菱大厦 -蒸湘区,3室2厅 | 117平米 | 西南 | 精装 | 中楼层(共13层)  | 塔楼,0人关注 / 2个月以前发布,60.8,"5,197元/平"
利安雅颂居 4室2厅 南,利安雅颂居 -蒸湘区,4室2厅 | 140平米 | 南 | 毛坯 | 高楼层(共28层)  | 板塔结合,0人关注 / 3个月以前发布,94.8,"6,772元/平"
锦绣雁城精装3房，家具家电齐全，看房方便。,锦绣雁城 -蒸湘区,3室2厅 | 128平米 | 南 北 | 精装 | 中楼层(共7层)  | 暂无数据,1人关注 / 8个月以前发布,72,"5,625元/平"
雅士林湘苑 简装两房 可以满足刚需,雅士林湘苑 -蒸湘区,2室2厅 | 88.8平米 | 南 北 | 精装 | 低楼层(共17层)  | 板塔结合,0人关注 / 5个月以前发布,63.8,"7,185元/平"
大型社区。上市公司开发，品质好房，人文氛围好，,特变·水木融城 -蒸湘区,2室2厅 | 97平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,104.9,"10,815元/平"
恒大绿洲 精装三房 视野开阔 全新未入住,恒大绿洲 -蒸湘区,3室2厅 | 108平米 | 北 | 简装 | 中楼层(共32层)  | 板塔结合,1人关注 / 一年前发布,75.8,"7,019元/平"
房子采光好，户型方正。全明户型，视野开阔。,金雁翔龙花苑 -蒸湘区,2室2厅 | 97平米 | 南 | 毛坯 | 高楼层(共27层)  | 暂无数据,2人关注 / 一年前发布,43.8,"4,516元/平"
明兴花苑大4房，白云路旁，看房方便,明兴花苑 -蒸湘区,4室2厅 | 153.22平米 | 南 | 毛坯 | 中楼层(共8层)  | 暂无数据,0人关注 / 11个月以前发布,92,"6,005元/平"
阳光美城 3房2厅 高楼层，视野宽阔 带车位,阳光美城 -蒸湘区,3室2厅 | 118.26平米 | 南 | 毛坯 | 高楼层(共31层)  | 暂无数据,0人关注 / 一年前发布,82.8,"7,002元/平"
愉景新城江景房 大三房  格局方正,愉景新城 -蒸湘区,3室2厅 | 124.3平米 | 东南 | 毛坯 | 高楼层(共32层)  | 暂无数据,0人关注 / 一年前发布,72.8,"5,857元/平"
金钟大雁城 四房2厅 血亏 房东急卖,金钟大雁城 -蒸湘区,3室2厅 | 128平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,2人关注 / 一年前发布,85,"6,641元/平"
南华大学西门精装修四房，华新小 学旁边,恒丰嘉和苑 -蒸湘区,4室2厅 | 158.26平米 | 南 北 | 精装 | 中楼层(共15层)  | 暂无数据,7人关注 / 一年前发布,74.8,"4,727元/平"
