标题,开发商,房子信息,发布信息,售价/万,单价
建发品质 新中式风格小区  温馨三房两厅两卫,建发中泱天成 -洛江区,3室2厅 | 89.94平米 | 南 北 | 简装 | 中楼层(共26层)  | 暂无数据,3人关注 / 8个月以前发布,160,"17,790元/平"
华洲苑户型方正，采光充足，视野很好,华洲苑 -泉港区,2室1厅 | 87平米 | 南 | 简装 | 高楼层(共8层)  | 暂无数据,29人关注 / 一年前发布,22,"2,529元/平"
海上海推荐：高层朝南 海景房 正看中庭 证满省税,海上海领海苑 -东海,3室2厅 | 114.99平米 | 南 | 毛坯 | 低楼层(共40层)  | 板楼,5人关注 / 一年前发布,310,"26,959元/平"
四小旁小区，好楼层，精装大三房，业主诚意出售,双水湾小区 -晋江万达,3室1厅 | 135.6平米 | 南 北 | 精装 | 中楼层(共31层)  | 板楼,3人关注 / 10个月以前发布,185,"13,644元/平"
晋江高铁城 离厦门近 单价便宜 户型方正,晋江高铁城 -磁灶镇,3室2厅 | 133.02平米 | 南 | 毛坯 | 高楼层(共31层)  | 暂无数据,4人关注 / 一年前发布,83,"6,240元/平"
交通便利，配套成熟，左右公园，户型方正,卓辉汇景城 -晋江万达,4室1厅 | 148.11平米 | 南 | 毛坯 | 高楼层(共24层)  | 板楼,4人关注 / 10个月以前发布,195.5,"13,200元/平"
永辉旁金帝花园精装3房、南北朝向,金帝花园 -泉秀街,3室2厅 | 130.07平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,19人关注 / 一年前发布,220,"16,914元/平"
保养好很少入住 户型方正 采光好 看房方便拎包入住,世茂御龙湾满堂红 -晋江万达,4室1厅 | 148.67平米 | 南 | 精装 | 低楼层(共37层)  | 板楼,1人关注 / 4个月以前发布,237.8,"15,996元/平"
十二宴一期 精装3房 花园小区 诚意出售。,东海湾·十二宴 -东海,3室2厅 | 88.06平米 | 南 | 精装 | 高楼层(共28层)  | 塔楼,0人关注 / 5个月以前发布,255,"28,958元/平"
安海恒隆国际花园三房房东诚意出售！,恒隆国际花园 -安海镇,3室2厅 | 90.48平米 | 南 | 毛坯 | 高楼层(共30层)  | 板塔结合,0人关注 / 4个月以前发布,100,"11,053元/平"
世茂湖心岛，毛胚四房，稳定出售，中高楼层。,世茂御龙湾湖心岛 -晋江万达,3室2厅 | 162.5平米 | 东南 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 3个月以前发布,245,"15,077元/平"
万达旁边新小区，地段很好，房东诚意出售,刺桐壹号 -万达,3室2厅 | 116.49平米 | 南 | 毛坯 | 低楼层(共45层)  | 塔楼,3人关注 / 4个月以前发布,335,"28,758元/平"
边套洋房，精品装修，品质住宅。,中航城天悦 -宝龙广场,4室2厅 | 130.73平米 | 南 | 精装 | 低楼层(共7层)  | 板塔结合,1人关注 / 3个月以前发布,249.5,"19,086元/平"
明发金域国际上市品牌值得信赖高楼层 户型方正通风好,明发商业城 -南安水头镇,3室2厅 | 123.39平米 | 南 北 | 毛坯 | 中楼层(共24层)  | 板楼,0人关注 / 2个月以前发布,72,"5,836元/平"
领第第一广场 3室2厅 东南,领第第一广场 -泉港区,3室2厅 | 116平米 | 东南 | 精装 | 低楼层(共18层)  | 板塔结合,1人关注 / 8个月以前发布,78,"6,725元/平"
城东海峡体育馆旁 精装3房 带车位,中骏雍景台 -城东,3室2厅 | 88.44平米 | 南 | 精装 | 高楼层(共31层)  | 板塔结合,8人关注 / 一年前发布,266,"30,077元/平"
108平精装修，没住过，低层无遮挡，视野采光很好,建发珑玥湾二期 -站前大道,3室2厅 | 108平米 | 东南 | 精装 | 低楼层(共40层)  | 塔楼,0人关注 / 12天以前发布,230,"21,297元/平"
丰盛假日城堡 1室1厅 南,丰盛假日城堡 -泉秀街,1室1厅 | 32.72平米 | 南 | 简装 | 高楼层(共17层)  | 塔楼,0人关注 / 3天以前发布,70,"21,394元/平"
配套齐全，拎包入住，户型方正，采光好，全新装修未住,金山南路 -泉港区,3室2厅 | 118.43平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,8人关注 / 9个月以前发布,48,"4,054元/平"
一中锦绣湖旁 田润清华苑 大三房 正满  可拎包入住,田润清华苑 -泉港区,4室2厅 | 129.57平米 | 南 | 精装 | 高楼层(共17层)  | 暂无数据,3人关注 / 7个月以前发布,98.8,"7,626元/平"
泉港区后龙镇东方伟业广场小区配套齐全环境优美交通好,东方伟业城市广场 -泉港区,3室2厅 | 126.6平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,11人关注 / 10个月以前发布,44,"3,476元/平"
东美花苑  3房2厅  南北朝向,东美花苑 -泉秀街,3室2厅 | 102.94平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,3人关注 / 9个月以前发布,190,"18,458元/平"
此房源电梯四房户型方正视野开拓采光足房东诚意出售。,毅达商厦小区 -泉秀街,4室2厅 | 145.57平米 | 南 北 | 精装 | 高楼层(共9层)  | 板塔结合,1人关注 / 1个月以前发布,293,"20,128元/平"
十二宴二期，花园式小区，高楼层，看房方便,十二宴二期 -东海,3室2厅 | 112平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,1人关注 / 4个月以前发布,319,"28,483元/平"
带花园  堪比别墅  你心动了吗？,华泰国际新城 -SM广场,3室2厅 | 125.86平米 | 东南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,148,"11,760元/平"
溜霞花园 自住精装修大4房 产权满 看房方便 拎包入住,晋江溜霞花园 -泉州桥南,4室2厅 | 164.65平米 | 东南 | 精装 | 中楼层(共20层)  | 板塔结合,4人关注 / 9个月以前发布,212,"12,876元/平"
业主诚意出售，套内面积120平，户型方正 适合刚需人群,中奥名雅居 -宝龙广场,4室2厅 | 125.08平米 | 南 | 毛坯 | 27层  | 板塔结合,0人关注 / 4个月以前发布,213,"17,030元/平"
坐南朝北；户型方正；采光充足；交通便利.19年8月交房,美亚芳邻 -洛江区,3室1厅 | 114.97平米 | 南 北 | 毛坯 | 中楼层(共29层)  | 暂无数据,0人关注 / 1个月以前发布,138,"12,004元/平"
小区绿化好，配套实施齐全，两面采光，视野无遮挡,中航城天骏 -宝龙广场,3室2厅 | 112.95平米 | 东南 | 毛坯 | 低楼层(共32层)  | 板楼,2人关注 / 7个月以前发布,200,"17,707元/平"
很好的户型  视野开阔，  欢迎来电咨询,中航城天悦 -宝龙广场,3室1厅 | 91.5平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,15人关注 / 一年前发布,150,"16,394元/平"
世茂御龙湾 湖心岛4室3卫1厅1厨,世茂御龙湾湖心岛 -晋江万达,4室1厅 | 170.39平米 | 南 | 简装 | 低楼层(共47层)  | 板塔结合,11人关注 / 一年前发布,265,"15,553元/平"
大江盛世B区， 新装修大三房，带大露台,大江盛世B区 -洛江区,3室2厅 | 127.72平米 | 东南 | 毛坯 | 低楼层(共18层)  | 板楼,1人关注 / 10个月以前发布,229,"17,930元/平"
东方银座，正规三房，电梯中层。,东方银座 -丰泽街,3室2厅 | 122.22平米 | 南 | 简装 | 中楼层(共12层)  | 塔楼,4人关注 / 10个月以前发布,315,"25,774元/平"
旧百汇 新华都  国电小区封闭式 高楼层好视野,国电小区 -泉港区,4室2厅 | 133平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,7人关注 / 一年前发布,46,"3,459元/平"
福鑫星城 3室2厅 中间楼层视野好 南北朝向,福鑫星城 -泉港区,3室2厅 | 124.11平米 | 南 | 毛坯 | 中楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,43,"3,465元/平"
泉州桥南百信品质，精装大四房，全屋艺术漆,百信御江帝景三期 -泉州桥南,4室2厅 | 127.96平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,4人关注 / 一年前发布,288,"22,508元/平"
华泰八期  成熟小区 配套齐全  中高楼层  两梯两户,华泰国际新城八期 -SM广场,4室2厅 | 142.62平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,235,"16,478元/平"
阳光苑~~~三房两梯，业主诚意出售,五里阳光苑 -晋江周边,3室2厅 | 132.91平米 | 南 | 精装 | 低楼层(共12层)  | 暂无数据,3人关注 / 4个月以前发布,116,"8,728元/平"
业主诚意出售精装3房高层边套看房方便证在手,嘉龙尚都 -清濛开发区,3室2厅 | 100.4平米 | 南 西南 北 | 精装 | 中楼层(共26层)  | 塔楼,8人关注 / 11个月以前发布,89,"8,865元/平"
业主诚心出售 就在动车站口 出差方便,晋江高铁城 -磁灶镇,3室1厅 | 115平米 | 南 | 毛坯 | 高楼层(共31层)  | 暂无数据,1人关注 / 一年前发布,75,"6,522元/平"
龙湖观宸三期中高楼层，精装修，正看九十九溪。,龙湖嘉天下观宸Ⅲ -池店南,4室1厅 | 140.2平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,5人关注 / 7个月以前发布,262,"18,688元/平"
客运站旁温陵新城二期，正规3房，好楼层，诚意卖,温陵新城二期 -泉秀街,3室2厅 | 107.85平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,13人关注 / 10个月以前发布,138,"12,796元/平"
聚龙小镇东篱新村，中庭景观，中间楼层，舒适3房,东篱新村 -惠安县,3室2厅 | 113.18平米 | 南 | 毛坯 | 中楼层(共32层)  | 暂无数据,3人关注 / 一年前发布,135,"11,928元/平"
万科城市之光二期 3室1厅 南,万科城市之光二期 -东海,3室1厅 | 99平米 | 南 | 毛坯 | 高楼层(共34层)  | 暂无数据,0人关注 / 10天以前发布,290,"29,293元/平"
东海湾 海上海领海苑 出行方便 环境优雅,海上海领海苑 -东海,3室2厅 | 96平米 | 东南 | 毛坯 | 中楼层(共40层)  | 板楼,7人关注 / 一年前发布,280,"29,167元/平"
宏毅大厦 3室2厅 东南,宏毅大厦 -泉秀街,3室2厅 | 132.79平米 | 东南 | 精装 | 高楼层(共15层)  | 板塔结合,0人关注 / 2个月以前发布,272,"20,484元/平"
御花园142平 4房毛坯 证满 诚意出售,东海湾御花园 -东海,4室2厅 | 141.34平米 | 东北 | 毛坯 | 低楼层(共37层)  | 板塔结合,1人关注 / 6个月以前发布,450,"31,839元/平"
希尔顿酒店旁，配套完善，环境好，适应居住。,泉商公馆 -泉州桥南,3室2厅 | 83.1平米 | 南 北 | 精装 | 高楼层(共31层)  | 板楼,0人关注 / 3个月以前发布,163.99,"19,735元/平"
浦西万达旁看江小三房，边套南北动静分离，精装修30万,卓辉海港城 -泉州桥南,3室2厅 | 89.98平米 | 东南 | 精装 | 高楼层(共18层)  | 塔楼,0人关注 / 1个月以前发布,202,"22,450元/平"
十二宴二期，花园式小区，高楼层，看房方便,十二宴二期 -东海,3室2厅 | 112平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,1人关注 / 4个月以前发布,319,"28,483元/平"
厦门外国语 泰亨新城 大三房 南北通透 证满 免出让金,钞坑泰亨新城南区 -服装城,3室2厅 | 135.24平米 | 南 北 | 简装 | 低楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,122,"9,021元/平"
联发君悦湾 3室2厅 南,联发君悦湾 -南安水头镇,3室2厅 | 99平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 11天以前发布,135,"13,637元/平"
嘉琳173平四居室 高层视野 诚意价格出售,嘉琳广场 -洛江区,4室2厅 | 172.29平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板楼,4人关注 / 5个月以前发布,205,"11,899元/平"
宝龙广场旁中骏云景台边套4房，带小区，诚意出售,中骏云景台 -宝龙广场,4室2厅 | 127.15平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,6人关注 / 8个月以前发布,235.3,"18,506元/平"
中航城天骏  160平  复式大四房,中航城天骏 -宝龙广场,4室2厅 | 160.54平米 | 东南 | 毛坯 | 高楼层(共33层)  | 板楼,3人关注 / 5个月以前发布,281,"17,504元/平"
高层视野开阔，前后没有遮挡，全景视野,中央公园首府 -泉州桥南,3室2厅 | 135平米 | 南 | 毛坯 | 中楼层(共32层)  | 塔楼,8人关注 / 一年前发布,222,"16,445元/平"
坐南朝北；户型方正；采光充足；交通便利.19年8月交房,美亚芳邻 -洛江区,3室1厅 | 114.97平米 | 南 北 | 毛坯 | 中楼层(共29层)  | 暂无数据,0人关注 / 1个月以前发布,138,"12,004元/平"
小区绿化好，配套实施齐全，两面采光，视野无遮挡,中航城天骏 -宝龙广场,3室2厅 | 112.95平米 | 东南 | 毛坯 | 低楼层(共32层)  | 板楼,2人关注 / 7个月以前发布,200,"17,707元/平"
带花园  堪比别墅  你心动了吗？,华泰国际新城 -SM广场,3室2厅 | 125.86平米 | 东南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,148,"11,760元/平"
溜霞花园 自住精装修大4房 产权满 看房方便 拎包入住,晋江溜霞花园 -泉州桥南,4室2厅 | 164.65平米 | 东南 | 精装 | 中楼层(共20层)  | 板塔结合,4人关注 / 9个月以前发布,212,"12,876元/平"
业主诚意出售，套内面积120平，户型方正 适合刚需人群,中奥名雅居 -宝龙广场,4室2厅 | 125.08平米 | 南 | 毛坯 | 27层  | 板塔结合,0人关注 / 4个月以前发布,213,"17,030元/平"
诚意出售边套3房带一个露台 采光好 户型好 视野好,海丝景城 -泉州桥南,3室2厅 | 137.26平米 | 东南 | 精装 | 低楼层(共32层)  | 板塔结合,1人关注 / 一年前发布,171,"12,459元/平"
采光很好全明结构南北朝向 交通便利视野开阔无遮挡,泉港莊園明珠 -泉港区,3室2厅 | 135平米 | 南 | 毛坯 | 中楼层(共15层)  | 板塔结合,0人关注 / 5个月以前发布,82,"6,075元/平"
滨江国际4-2-1-2 152.96m²,滨江国际 -惠安县,4室2厅 | 152.96平米 | 东南 | 毛坯 | 低楼层(共19层)  | 平房,0人关注 / 31天以前发布,125,"8,173元/平"
领第广场  3室2厅 高层视野好 南北朝向,领第第一广场 -泉港区,3室2厅 | 99.16平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,4人关注 / 一年前发布,65,"6,556元/平"
泉港区后龙镇东方伟业广场小区配套齐全环境优美交通好,东方伟业城市广场 -泉港区,3室2厅 | 126.6平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,11人关注 / 10个月以前发布,44,"3,476元/平"
领第广场，155.02平，南北朝向，采光充足。,领第第一广场 -泉港区,4室2厅 | 155.02平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,4人关注 / 一年前发布,85,"5,484元/平"
领第第一广场 3室2厅 东南,领第第一广场 -泉港区,3室2厅 | 116平米 | 东南 | 精装 | 低楼层(共18层)  | 板塔结合,1人关注 / 8个月以前发布,78,"6,725元/平"
源昌锦绣壹号一期毛坯带露台东边套4房采光视野好,源昌锦绣壹号 -泉港区,4室2厅 | 140.77平米 | 东南 | 毛坯 | 低楼层(共17层)  | 板塔结合,2人关注 / 11个月以前发布,115,"8,170元/平"
聚龙小镇东篱新村，中庭景观，中间楼层，舒适3房,东篱新村 -惠安县,3室2厅 | 113.18平米 | 南 | 毛坯 | 中楼层(共32层)  | 暂无数据,3人关注 / 一年前发布,135,"11,928元/平"
一中锦绣湖旁 田润清华苑 大三房 正满  可拎包入住,田润清华苑 -泉港区,4室2厅 | 129.57平米 | 南 | 精装 | 高楼层(共17层)  | 暂无数据,3人关注 / 7个月以前发布,98.8,"7,626元/平"
配套齐全，拎包入住，户型方正，采光好，全新装修未住,金山南路 -泉港区,3室2厅 | 118.43平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,8人关注 / 9个月以前发布,48,"4,054元/平"
此房就在益海旁边，地段很好，是居家的好地方,聚福三期 -泉港区,3室2厅 | 132.14平米 | 西南 | 毛坯 | 高楼层(共28层)  | 板塔结合,13人关注 / 一年前发布,57.8,"4,375元/平"
交通出行，购物方便，动静分离，,力标吉源雅苑 -洛江区,3室2厅 | 84.74平米 | 北 东北 | 简装 | 中楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,158,"18,646元/平"
莲花万盛凤凰城 3室1厅 东南,莲花万盛凤凰城 -洛江区,3室1厅 | 134平米 | 东南 | 其他 | 高楼层(共27层)  | 板塔结合,0人关注 / 15天以前发布,188,"14,030元/平"
泰亨南区 中高层 精装 大三房 多套出售,钞坑泰亨新城南区 -服装城,3室2厅 | 161.14平米 | 南 | 简装 | 中楼层(共32层)  | 板塔结合,0人关注 / 5个月以前发布,155,"9,619元/平"
蓝郡国际江景房 147平 毛坯四居室 自由装修,蓝郡国际 -台商投资区,4室2厅 | 147平米 | 东 南 | 毛坯 | 中楼层(共32层)  | 塔楼,3人关注 / 10个月以前发布,144,"9,796元/平"
格局好，楼层好，视野宽阔，采光充足，配套设施齐全,高阳华庭 -宝龙广场,3室1厅 | 137.97平米 | 东南 | 毛坯 | 高楼层(共21层)  | 板楼,0人关注 / 3个月以前发布,212,"15,366元/平"
露台 低楼层 闽南红砖房 3房2厅2卫2阳台,拓改工程南区6-7号 -城西路,3室2厅 | 124平米 | 南 北 | 简装 | 中楼层(共4层)  | 板楼,5人关注 / 一年前发布,265,"21,371元/平"
有钥匙 70年产权诚意出售 视野好小区环境好,晋江保利上城 -晋江万达,4室2厅 | 191.77平米 | 东南 | 毛坯 | 中楼层(共6层)  | 暂无数据,0人关注 / 11天以前发布,340,"17,730元/平"
一线江景 世茂璀璨天城3+1 电梯高层 看房方便,世茂璀璨天城 -洛江区,4室2厅 | 89.12平米 | 东南 | 毛坯 | 中楼层(共30层)  | 板塔结合,0人关注 / 4个月以前发布,235,"26,369元/平"
世茂御龙湾满堂红 高层视野好赞 置换好房,世茂御龙湾满堂红 -晋江万达,5室2厅 | 228.31平米 | 东南 | 毛坯 | 高楼层(共42层)  | 板楼,0人关注 / 15天以前发布,400,"17,521元/平"
低楼层，大露台，边套，价格比同小区报价低。,嘉琳广场 -洛江区,3室2厅 | 150.72平米 | 东南 | 简装 | 低楼层(共33层)  | 板楼,15人关注 / 一年前发布,172,"11,412元/平"
品质小区，高层正规三房看中庭、毛坯自由装修！,浔兴格林春天 -晋江万达,3室2厅 | 101平米 | 南 | 毛坯 | 高楼层(共34层)  | 板楼,0人关注 / 2个月以前发布,177.8,"17,604元/平"
泉州南紫帽别墅区，中楼层  户型好,世茂紫云轩 -紫帽镇,4室2厅 | 115.04平米 | 南 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,121,"10,519元/平"
世茂三房户型方正业主诚意出售价格可谈,世茂御龙府 -池店南,4室1厅 | 114.3平米 | 东南 南 | 毛坯 | 低楼层(共51层)  | 板楼,1人关注 / 5个月以前发布,180,"15,749元/平"
桥南紫帽大三房，采光好，*高绿化，格局好，环境优美,金丘紫金城 -紫帽镇,3室2厅 | 131.1平米 | 东南 南 | 毛坯 | 中楼层(共28层)  | 板塔结合,4人关注 / 一年前发布,106.98,"8,161元/平"
嘉琳广场 高层视野佳 62小两居 诚意出售,嘉琳广场 -洛江区,2室1厅 | 62.04平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板楼,1人关注 / 2个月以前发布,88,"14,185元/平"
美誉蓝山墅 正规三房两卫 房东诚意出售,美裕蓝山墅 -洛江区,3室2厅 | 116平米 | 东南 | 毛坯 | 中楼层(共20层)  | 板塔结合,0人关注 / 6个月以前发布,116,"10,000元/平"
建发正规4房，新中式风格小区 毛坯省税证满,建发中泱天成 -洛江区,4室2厅 | 138.94平米 | 南 | 毛坯 | 低楼层(共29层)  | 板塔结合,0人关注 / 6个月以前发布,260,"18,714元/平"
泉州晋江市安海镇恒隆国际花园房东诚意出售,恒隆国际花园 -安海镇,4室2厅 | 127.45平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 板塔结合,11人关注 / 一年前发布,145,"11,378元/平"
此房楼龄新，红砖外墙，好楼层户型格局好，房东诚意卖,绿榕苑 -泉秀街,3室2厅 | 167.05平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,285,"17,061元/平"
逸涛城市广场3房133.2平94万,逸涛城市广场 -泉港区,3室2厅 | 133.2平米 | 南 | 简装 | 低楼层(共25层)  | 板塔结合,3人关注 / 一年前发布,94,"7,058元/平"
富临华庭3房2厅1厨房，大三房出售,富临华庭 -泉港区,3室2厅 | 128.67平米 | 南 | 毛坯 | 低楼层(共12层)  | 暂无数据,4人关注 / 一年前发布,53,"4,120元/平"
卓辉.海港城四房带装修出售。。。,卓辉海港城 -泉州桥南,4室2厅 | 133.19平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,0人关注 / 2个月以前发布,260,"19,521元/平"
阳光国际 三室两厅 精装 拎包入住,阳光国际广场 -洛江区,3室2厅 | 118.47平米 | 西南 | 简装 | 中楼层(共27层)  | 板楼,1人关注 / 一年前发布,208,"17,558元/平"
世茂紫溪苑 联排别墅 有天有地独门独户 依山傍水,世茂紫茂城紫溪苑 -紫帽镇,4室2厅 | 133.47平米 | 南 | 毛坯 | 低楼层(共3层)  | 板塔结合,2人关注 / 6个月以前发布,315,"23,601元/平"
华泉盛世豪庭 3室1厅 南 北,华泉盛世豪庭 -泉港区,3室1厅 | 92.63平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,45,"4,859元/平"
田润御园 4室2厅 南,田润御园 -泉港区,4室2厅 | 126.9平米 | 南 | 毛坯 | 中楼层(共25层)  | 暂无数据,0人关注 / 3个月以前发布,105,"8,275元/平"
景观视野好，采光很棒，业主诚意随时可签,建发珑璟湾 -站前大道,4室2厅 | 142.56平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板塔结合,3人关注 / 10个月以前发布,280,"19,641元/平"
晋江保利上城 4室2厅 东南,晋江保利上城 -晋江万达,4室2厅 | 165平米 | 东南 | 毛坯 | 高楼层(共24层)  | 暂无数据,3人关注 / 4个月以前发布,317,"19,213元/平"
华泰国际新城，房东多年前购置，现在置换，诚意出售,华泰国际新城 -SM广场,3室2厅 | 127.38平米 | 东南 | 精装 | 中楼层(共6层)  | 板楼,10人关注 / 一年前发布,160,"12,561元/平"
世纪大道旁，世纪雅苑，大三房，户型方正,世纪雅苑 -SM广场,3室2厅 | 146.08平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,139,"9,516元/平"
景观视野好，采光很棒，业主诚意随时可签,建发珑璟湾 -站前大道,4室2厅 | 142.56平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板塔结合,3人关注 / 10个月以前发布,280,"19,641元/平"
建德花园二期4-2-1-3 184.84m²,建德花园二期 -石狮中心,4室2厅 | 184.84平米 | 东南 | 精装 | 中楼层(共11层)  | 板楼,7人关注 / 一年前发布,163,"8,819元/平"
世茂紫溪苑 联排别墅 有天有地独门独户 依山傍水,世茂紫茂城紫溪苑 -紫帽镇,4室2厅 | 133.47平米 | 南 | 毛坯 | 低楼层(共3层)  | 板塔结合,2人关注 / 6个月以前发布,315,"23,601元/平"
体育馆旁楼中楼毛坯 景观炸裂 享受视觉冲击,瑞璟香榭花都 -宝龙广场,6室3厅 | 275.82平米 | 南 | 毛坯 | 高楼层(共23层)  | 板楼,1人关注 / 4个月以前发布,391,"14,176元/平"
华泰国际新城六期，小三房，精装修,华泰国际新城六期 -SM广场,3室2厅 | 89.89平米 | 南 | 精装 | 低楼层(共11层)  | 板塔结合,1人关注 / 2个月以前发布,135,"15,019元/平"
晋江保利上城 4室2厅 东南,晋江保利上城 -晋江万达,4室2厅 | 165平米 | 东南 | 毛坯 | 高楼层(共24层)  | 暂无数据,3人关注 / 4个月以前发布,317,"19,213元/平"
泉州晋江市安海镇恒隆国际花园房东诚意出售,恒隆国际花园 -安海镇,4室2厅 | 127.45平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 板塔结合,11人关注 / 一年前发布,145,"11,378元/平"
华泰国际新城，房东多年前购置，现在置换，诚意出售,华泰国际新城 -SM广场,3室2厅 | 127.38平米 | 东南 | 精装 | 中楼层(共6层)  | 板楼,10人关注 / 一年前发布,160,"12,561元/平"
世茂璀璨天城 三房实用103 户型通透采光 视野好,世茂璀璨天城 -洛江区,3室2厅 | 87.93平米 | 东南 | 毛坯 | 中楼层(共30层)  | 板塔结合,0人关注 / 5个月以前发布,220,"25,020元/平"
世纪大道旁，世纪雅苑，大三房，户型方正,世纪雅苑 -SM广场,3室2厅 | 146.08平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,139,"9,516元/平"
泉商投资大厦 3室1厅 南,泉商投资大厦 -泉州桥南,3室1厅 | 308平米 | 南 | 简装 | 中楼层(共28层)  | 板楼,0人关注 / 12天以前发布,450,"14,611元/平"
绿创山语城，南北通透3房2厅，户型方正,绿创山语城 -城东,3室1厅 | 108.5平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 暂无数据,0人关注 / 1个月以前发布,218,"20,093元/平"
福隆星城大5房带大露台 诚意出售,福隆星城东区 -浮桥,5室2厅 | 165.3平米 | 东南 | 简装 | 低楼层(共30层)  | 板塔结合,0人关注 / 21天以前发布,292,"17,665元/平"
冠亚东方星城 大三房 低楼层 精装南北朝向,冠亚东方星城 -洛江区,3室2厅 | 121.6平米 | 东北 | 简装 | 低楼层(共12层)  | 板楼,0人关注 / 1个月以前发布,172,"14,145元/平"
标准三房！小户型，大生活！！！,中骏雍景台 -城东,3室2厅 | 88.32平米 | 南 | 精装 | 中楼层(共25层)  | 板塔结合,0人关注 / 28天以前发布,265,"30,005元/平"
冠亚城市花园 5室1厅 南 北,冠亚城市花园 -丰泽街,5室1厅 | 192平米 | 南 北 | 简装 | 高楼层(共11层)  | 塔楼,0人关注 / 21天以前发布,358,"18,646元/平"
润邦华庭 3室2厅 南,润邦华庭 -泉港区,3室2厅 | 90.7平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 24天以前发布,48,"5,293元/平"
城东繁华地段经典大三房户型交通便利配套齐全好房推荐,学府上城 -城东,4室2厅 | 137.86平米 | 东南 | 简装 | 低楼层(共30层)  | 板楼,0人关注 / 18天以前发布,206,"14,943元/平"
户型方正 通风性好 采光好 太古广场商圈 生活配套齐全,东海湾和园 -东海,4室1厅 | 180.52平米 | 南 | 简装 | 中楼层(共32层)  | 板塔结合,0人关注 / 28天以前发布,397,"21,993元/平"
逸涛学府新城 4室2厅 南,逸涛学府新城 -泉港区,4室2厅 | 130平米 | 南 | 毛坯 | 中楼层(共16层)  | 暂无数据,0人关注 / 22天以前发布,76,"5,847元/平"
丰泽城东金凤屿花苑  小三房带 精装修  出售,金凤屿花苑西区 -城东,3室1厅 | 107.83平米 | 南 北 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 28天以前发布,159,"14,746元/平"
禹洲伊顿公馆 3室2厅 东南,禹洲伊顿公馆 -惠安县,3室2厅 | 89平米 | 东南 | 精装 | 中楼层(共33层)  | 暂无数据,0人关注 / 24天以前发布,93,"10,450元/平"
此房证满，动静分离，楼层好采光好，户型方正，出售中,盛世锦都 -惠安县,2室2厅 | 74平米 | 南 | 精装 | 中楼层(共18层)  | 平房,1人关注 / 24天以前发布,76,"10,271元/平"
封闭式小区，南北朝向，采光充足，配套齐全。,禹洲·海德堡 -惠安县,3室2厅 | 88平米 | 南 | 精装 | 中楼层(共31层)  | 暂无数据,0人关注 / 19天以前发布,107.5,"12,216元/平"
宝龙金色家园 5室2厅 南,宝龙金色家园 -晋江万达,5室2厅 | 262.62平米 | 南 | 精装 | 高楼层(共15层)  | 板楼,4人关注 / 一年前发布,335,"12,757元/平"
茂城皇江御景 3房2厅  楼层好，视野宽阔，两面采光,茂诚皇江御景 -浮桥,3室2厅 | 89.17平米 | 南 北 | 毛坯 | 低楼层(共31层)  | 暂无数据,8人关注 / 一年前发布,172,"19,289元/平"
