标题,开发商,房子信息,发布信息,售价/万,单价
世纪花园竹园 3室2厅 南 北,世纪花园竹园 -张店区,3室2厅 | 188.59平米 | 南 北 | 精装 | 中楼层(共10层)  | 板楼,4人关注 / 13天以前发布,163,"8,644元/平"
嘉亿国际 精装修 中间楼层，诚意出售 看房方便,嘉亿国际 -张店区,2室2厅 | 89.65平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,70,"7,809元/平"
书香景园3楼好楼层客卧朝阳87万另有31平大车库,書香景園 -张店区,3室2厅 | 110.4平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,35人关注 / 一年前发布,85,"7,700元/平"
三室朝阳 宽敞明亮 空间充分利用 简精装修 有车库,锦绣花苑百合苑 -淄川区,3室2厅 | 145.85平米 | 南 北 | 简装 | 高楼层(共11层)  | 板塔结合,0人关注 / 一年前发布,91,"6,240元/平"
五里桥生活区 3室2厅 南 北,五里桥生活区 -张店区,3室2厅 | 90平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,76,"8,445元/平"
精装中层五楼，两卧一客朝阳，绿杉园科技苑，有钥匙,瑞丰苑南区 -张店区,3室2厅 | 133平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,3人关注 / 一年前发布,89,"6,692元/平"
蒲泉佳园，内置复式，五室三厅，带大露台，满五年,蒲泉佳园 -淄川区,5室3厅 | 150.84平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,2人关注 / 10个月以前发布,96,"6,365元/平"
五里桥生活区 3室2厅 南 北,五里桥生活区 -张店区,3室2厅 | 90平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,76,"8,445元/平"
急售！ 2015新建 电梯洋房 精装方正户 带储  看房方便,世纪花园兰花园 -张店区,3室2厅 | 177.9平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,22人关注 / 一年前发布,188,"10,568元/平"
精装 未住 好楼层 采光好 看房方便,碧桂园中房·天玺 -张店区,3室2厅 | 129.47平米 | 南 北 | 精装 | 高楼层(共18层)  | 暂无数据,0人关注 / 6个月以前发布,126,"9,732元/平"
名尚国际精装好房三室两厅两卫看房方便,名尚国际 -张店区,3室2厅 | 148平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,1人关注 / 7个月以前发布,177,"11,960元/平"
东方之珠 独立卫生间 适合单身或过渡  看房方便,东方之珠 -张店区,1室0厅 | 23.06平米 | 南 北 | 简装 | 高楼层(共4层)  | 板塔结合,1人关注 / 1个月以前发布,12.5,"5,421元/平"
东方之珠 西向公寓 采光好 楼层好 位置好,东方之珠 -张店区,1室0厅 | 42平米 | 南 北 | 其他 | 中楼层(共4层)  | 板塔结合,0人关注 / 30天以前发布,22,"5,239元/平"
尚文苑   小房子  首付几万  39平  18万,尚文苑 -张店区,1室1厅 | 39平米 | 北 | 其他 | 高楼层(共15层)  | 塔楼,0人关注 / 29天以前发布,18,"4,616元/平"
莲池公园旁 经典2室朝阳 小区安静 停车方便,淄博技师学院教工生活区 -张店区,2室1厅 | 66.27平米 | 南 北 | 其他 | 高楼层(共5层)  | 板楼,0人关注 / 22天以前发布,41,"6,187元/平"
鑫盛嘉园 过渡两居 精装修 拎包入住 随时可交易,鑫盛嘉园社区 -张店区,2室2厅 | 78平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 27天以前发布,60,"7,693元/平"
大型社区 精装修 拎包入住 带露台 满五省税,世纪花园菊香园 -张店区,1室1厅 | 63.73平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 26天以前发布,48,"7,532元/平"
位置好  楼层好 采光好  精装修,宏程国际广场 -张店区,1室0厅 | 42平米 | 北 | 其他 | 中楼层(共29层)  | 暂无数据,0人关注 / 30天以前发布,34,"8,096元/平"
房子坐落在繁华城区，生活方便，离万像汇美食街200米,金晶大道44甲21号院 -张店区,1室1厅 | 49平米 | 北 | 其他 | 中楼层(共16层)  | 板塔结合,1人关注 / 21天以前发布,35,"7,143元/平"
鑫盛阳光丽舍 2室2厅 南,鑫盛阳光丽舍 -张店区,2室2厅 | 80平米 | 南 | 其他 | 低楼层(共10层)  | 塔楼,0人关注 / 25天以前发布,66,"8,250元/平"
宏程誉园 2室2厅 南,宏程誉园 -张店区,2室2厅 | 87.91平米 | 南 | 其他 | 高楼层(共33层)  | 板楼,0人关注 / 18天以前发布,103,"11,717元/平"
颐和花园，两室一厅，楼层好，采光充足,颐和花园 -张店区,2室1厅 | 66.86平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 27天以前发布,51,"7,628元/平"
学府花园 一手房东 诚意出售 看房方便,创业学府花园 -张店区,2室2厅 | 91.95平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 19天以前发布,66,"7,178元/平"
上湖御园 精装 大三室观景阳台 带车位储藏室,上湖御园 -淄川区,3室2厅 | 154.2平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,10人关注 / 一年前发布,215,"13,943元/平"
淄博新区五室两厅两卫带电梯的独立小洋房带两个车位,淄博碧桂园 -周村区,4室2厅 | 170平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,180,"10,589元/平"
淄博碧桂园流苏园 4室2厅 南 北,淄博碧桂园流苏园 -周村区,4室2厅 | 147平米 | 南 北 | 精装 | 低楼层(共16层)  | 板塔结合,3人关注 / 一年前发布,105,"7,143元/平"
碧桂园翡丽公馆 5楼 精装4室 三卧一客朝阳 户型方正,碧桂园·翡丽公馆 -张店区,4室2厅 | 144平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,185,"12,848元/平"
蒲泉佳园 大三室 客卧朝阳，带车库 满五过户费用低,蒲泉佳园 -淄川区,3室2厅 | 170平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,92,"5,412元/平"
康桥名郡 三室两厅 带车库 毛坯房,康桥名郡 -淄川区,3室2厅 | 115.89平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,3人关注 / 一年前发布,85,"7,335元/平"
凯瑞碧园  精装 经典户 南北通透,凯瑞碧园 -张店区,2室2厅 | 94平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,45人关注 / 一年前发布,60.5,"6,437元/平"
龙凤苑精装大三室，方正户型，带车位储藏室！,民泰龙凤苑 -张店区,3室2厅 | 168平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,16人关注 / 一年前发布,182,"10,834元/平"
般阳西区复式，精装修，带南向车库,般阳生活区西区 -淄川区,3室2厅 | 162.48平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,2人关注 / 8个月以前发布,109,"6,709元/平"
泰坤东区，三室，带车库，满两年，精装修！,泰坤城东区 -淄川区,3室2厅 | 139.82平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,7人关注 / 一年前发布,140,"10,013元/平"
电梯 宽敞三室 舒适好住 配套齐全 精装修带大露台,东苑小区 -淄川区,3室2厅 | 145平米 | 南 北 | 精装 | 低楼层(共15层)  | 板楼,0人关注 / 一年前发布,135,"9,311元/平"
一楼带院，有门头！三代同住！采光好！！,药材公司 -淄川区,3室1厅 | 98.6平米 | 南 北 | 简装 | 低楼层(共5层)  | 板楼,7人关注 / 一年前发布,76,"7,708元/平"
精装好房  三室客卧朝阳的户型带车库,颐泽花园芙蓉苑 -淄川区,3室2厅 | 137平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,10人关注 / 一年前发布,112,"8,176元/平"
欧景华城 客卧朝阳  三室两厅 带储藏室,欧景华城 -淄川区,3室2厅 | 108平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,7人关注 / 一年前发布,50,"4,630元/平"
奥都别墅  前后院 带车库 毛坯房可随意装修,奥都庄园 -淄川区,5室2厅 | 343平米 | 南 北 | 毛坯 | 3层  | 板楼 | 联排别墅 ,1人关注 / 一年前发布,235,"6,852元/平"
电梯 宽敞三室 舒适好住 配套齐全 生活便利,东苑小区 -淄川区,3室2厅 | 121平米 | 南 北 | 精装 | 中楼层(共15层)  | 板楼,10人关注 / 一年前发布,76,"6,281元/平"
上学方便  阔达四室  便捷二楼  适合三代人居住,祥和小区 -淄川区,4室2厅 | 136.26平米 | 南 北 | 简装 | 中楼层(共4层)  | 板楼,8人关注 / 一年前发布,75,"5,505元/平"
山水缘一期，精装复式，南北通透!,颐中山水缘一期 -淄川区,4室2厅 | 137平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,1人关注 / 一年前发布,147,"10,730元/平"
电梯阳房，内复式，带大露台，进门阳光房经典户型,橄榄城 -张店区,5室3厅 | 190平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,318,"16,737元/平"
齐盛湖旁，精装短住，带储带家具家电，证满二,绿城紫薇园 -张店区,4室2厅 | 177.23平米 | 南 | 其他 | 低楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,227,"12,809元/平"
名尚国际  220平 四叠  带车库 带储 随时看房,名尚国际 -张店区,5室3厅 | 220.88平米 | 南 | 毛坯 | 高楼层(共5层)  | 板楼,7人关注 / 一年前发布,200,"9,055元/平"
带车储低楼层全明户型南北通透有电梯,世纪花园文星园 -张店区,4室2厅 | 184.68平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,13人关注 / 一年前发布,175,"9,476元/平"
吾悦广场南 南苑绿洲 元宝三室  有车库  中间楼层,孙家南苑绿洲小区一区 -张店区,3室2厅 | 108.8平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,11人关注 / 一年前发布,85,"7,813元/平"
鲁兴家园 4室2厅 南 北,鲁兴家园 -张店区,4室2厅 | 186平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,2人关注 / 5个月以前发布,155,"8,334元/平"
龙喜北苑大元宝 172平 三室  带*大车库,龙喜花苑北区 -张店区,3室2厅 | 172平米 | 南 | 毛坯 | 中楼层(共7层)  | 板塔结合,8人关注 / 一年前发布,226,"13,140元/平"
南北通透，多层二楼，车库可以单卖，精装！,怡祥园 -张店区,3室2厅 | 100平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,17人关注 / 一年前发布,99,"9,900元/平"
方正户型五室两厅三卫带车储，适合两代客户房源,碧桂园·翡丽公馆 -张店区,5室2厅 | 273平米 | 南 北 | 精装 | 中楼层(共16层)  | 暂无数据,0人关注 / 4个月以前发布,430,"15,751元/平"
金润香榭居精装修四室两厅两卫电梯中层拎包入住,金润香榭居 -张店区,4室2厅 | 168.75平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,2人关注 / 9个月以前发布,165,"9,778元/平"
世纪花园文星园，小高层，精装修复式带双层大露台！,世纪花园文星园 -张店区,5室3厅 | 234平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,15人关注 / 一年前发布,220,"9,402元/平"
鑫盛嘉园 此房满五年唯一，税费低 ，看房方便,鑫盛嘉园社区 -张店区,2室1厅 | 79平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,20人关注 / 一年前发布,46,"5,823元/平"
金润香榭居，挑空复式，品质装修。,金润香榭居 -张店区,5室1厅 | 218.9平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,9人关注 / 10个月以前发布,195,"8,909元/平"
恒生小区环境好 义乌旁 证满省税 户型好 低公摊,恒生城市花园 -张店区,6室3厅 | 244.33平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,12人关注 / 一年前发布,179,"7,327元/平"
齐盛湖旁 财政局单位房 电梯洋房 平层四室 带车位储,颐丰花园颐臻园 -张店区,4室2厅 | 201.26平米 | 南 北 | 精装 | 低楼层(共10层)  | 板楼,15人关注 / 6个月以前发布,268,"13,317元/平"
电梯洋房 有车位 经开区 随时可看房 满五唯一无个税！,盛世康城一期 -张店区,4室2厅 | 138平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,7人关注 / 一年前发布,105,"7,609元/平"
恒生花园 内复 带阳光房 带露台 五室 精装全明户型,恒生城市花园 -张店区,5室3厅 | 183平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,19人关注 / 一年前发布,120,"6,558元/平"
美达华庭，三证满五，封闭式管理，安保严格，南北通透,美达华庭 -张店区,3室2厅 | 112.3平米 | 北 南 | 简装 | 高楼层(共7层)  | 板楼,14人关注 / 一年前发布,70,"6,234元/平"
急急急！满五不唯一！带储！！！,阳光花园 -张店区,4室2厅 | 157平米 | 北 | 其他 | 中楼层(共16层)  | 板楼,0人关注 / 一年前发布,180,"11,465元/平"
房子毛坯三室，客观齐盛湖齐盛湖全景，视野好！,绿城·百合花园 -张店区,3室2厅 | 137平米 | 南 北 | 毛坯 | 高楼层(共22层)  | 板楼,8人关注 / 一年前发布,186,"13,577元/平"
上湖御园观景洋房 电梯入户 上下三层 复式 带露台车库,上湖御园 -淄川区,4室4厅 | 393平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,4人关注 / 10个月以前发布,580,"14,759元/平"
此房齐盛湖畔，证满五，电梯好楼层 带储 车位另算,颐丰花园颐臻园 -张店区,5室2厅 | 220平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,26人关注 / 一年前发布,277,"12,591元/平"
"急售！！精装三室，南北通透，采光好,带车库。",恒兴花园 -张店区,3室2厅 | 118平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,18人关注 / 一年前发布,115,"9,746元/平"
植物园旁建业城市花园证满五 带储 大三居室俯瞰植物园,建业城市花园 -张店区,3室2厅 | 152.84平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,6人关注 / 一年前发布,114,"7,459元/平"
恒大帝景二期！俯瞰张店公园 精装四室 下证过户,恒大帝景 -张店区,4室2厅 | 165平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,2人关注 / 一年前发布,220,"13,334元/平"
上湖御园观景洋房 电梯入户 上下三层 复式 带露台车库,上湖御园 -淄川区,4室4厅 | 393平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,4人关注 / 10个月以前发布,580,"14,759元/平"
龙凤苑       精致小户型,民泰龙凤苑 -张店区,3室2厅 | 88平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,93人关注 / 一年前发布,60,"6,819元/平"
电梯方正户型！三室两卫通透全明 怡海世家采光好,怡海世家 -张店区,3室2厅 | 164平米 | 南 北 | 精装 | 高楼层(共11层)  | 板塔结合,6人关注 / 一年前发布,175,"10,671元/平"
恒大帝景二期！俯瞰张店公园 精装四室 下证过户,恒大帝景 -张店区,4室2厅 | 165平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,2人关注 / 一年前发布,220,"13,334元/平"
4+1户型，无车储，毛坯，14年建成 两梯两户,华茂观邸 -张店区,4室2厅 | 174.36平米 | 东南 西北 | 精装 | 高楼层(共32层)  | 板楼,3人关注 / 8个月以前发布,149,"8,546元/平"
远景花园 多层4楼 精装 双卧一客朝阳 低公摊,远景花园滋欣苑 -张店区,3室2厅 | 145平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,24人关注 / 一年前发布,135,"9,311元/平"
四室好房，采光好，证件满5年，孩子上学近,橙香村 -张店区,4室2厅 | 135.88平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 一年前发布,80,"5,888元/平"
带下沉式院子，四室两厅两卫方正户型,碧桂园·翡丽公馆 -张店区,4室2厅 | 187.5平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,1人关注 / 4个月以前发布,329,"17,547元/平"
山水缘一期：复式带露台、精装大产权。,颐中山水缘一期 -淄川区,3室2厅 | 280平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,7人关注 / 一年前发布,110,"3,929元/平"
吾悦盛世康城 嘉亿国际精装四室两厅 好楼层 拎包入住,嘉亿国际 -张店区,4室2厅 | 122平米 | 南 北 | 精装 | 低楼层(共27层)  | 板楼,1人关注 / 2个月以前发布,122,"10,000元/平"
"急售！！精装三室，南北通透，采光好,带车库。",恒兴花园 -张店区,3室2厅 | 118平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,18人关注 / 一年前发布,115,"9,746元/平"
植物园旁建业城市花园证满五 带储 大三居室俯瞰植物园,建业城市花园 -张店区,3室2厅 | 152.84平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,6人关注 / 一年前发布,114,"7,459元/平"
绿城平层大四居，落地窗！挑高客厅！,绿城紫薇园 -张店区,4室2厅 | 203平米 | 南 | 简装 | 高楼层(共33层)  | 板楼,6人关注 / 一年前发布,270,"13,301元/平"
紫园联排别墅，带院子，带露台，带车库，实用面积大,紫园 -张店区,5室3厅 | 395平米 | 南 北 | 精装 | 3层  | 板楼 | 联排别墅 ,5人关注 / 9个月以前发布,720,"18,228元/平"
名尚国际 3室2厅 南 北,名尚国际 -张店区,3室2厅 | 170平米 | 南 北 | 毛坯 | 低楼层(共8层)  | 板楼,1人关注 / 9个月以前发布,265,"15,589元/平"
湿地公园旁 电梯好楼层 采光充足,圣联福悦名苑 -张店区,2室2厅 | 89.5平米 | 南 | 简装 | 中楼层(共26层)  | 板楼,1人关注 / 一年前发布,81,"9,051元/平"
户型周正，采光充足，客卧朝阳。通透好。,民泰 · 龙泰苑A区 -张店区,3室2厅 | 106.8平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,31人关注 / 一年前发布,120,"11,236元/平"
大学城  精装现房 四室 诚意出售,新城·悦隽江山 -周村区,4室2厅 | 142平米 | 南 北 | 精装 | 高楼层(共14层)  | 板楼,4人关注 / 一年前发布,130,"9,155元/平"
世纪花园 经典两室两厅户型 客卧朝阳 户型方正,世纪花园五星园 -张店区,2室2厅 | 111平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,12人关注 / 一年前发布,112,"10,091元/平"
房子带车库带阁楼 看房方便 随时可以看房 福林小区,福林小区 -张店区,2室2厅 | 99.62平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,3人关注 / 一年前发布,67,"6,726元/平"
福林小区 满五唯一 三室好户型 看房方便 随时过户,福林小区 -张店区,3室2厅 | 98.9平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,20人关注 / 11个月以前发布,58,"5,865元/平"
新区别墅 齐盛湖万达旁 带125平院子 带2车库5室急卖,远景玉城 -张店区,4室2厅 | 333平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 暂无数据,1人关注 / 5个月以前发布,700,"21,022元/平"
世纪花园多层带电梯大四室带车库，房主诚意出售,世纪花园春趣园 -张店区,4室2厅 | 204平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,13人关注 / 一年前发布,210,"10,295元/平"
此房证件满二 户型时尚，隔壁商圈*市齐全学习,名尚国际 -张店区,5室3厅 | 215平米 | 南 | 精装 | 高楼层(共8层)  | 板楼,26人关注 / 一年前发布,240,"11,163元/平"
阳光花园 4室2厅 南 北,阳光花园 -张店区,4室2厅 | 176.5平米 | 南 北 | 精装 | 低楼层(共16层)  | 板楼,2人关注 / 9个月以前发布,149,"8,442元/平"
精装三室   全天后采光  环境优美,民泰 · 龙泰苑A区 -张店区,3室2厅 | 121.89平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,3人关注 / 一年前发布,163,"13,373元/平"
2015年交房凯瑞景园 复式带大露台 带车位 储,凯瑞景园 -张店区,5室3厅 | 342平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,11人关注 / 一年前发布,299,"8,743元/平"
阳光花园 4室2厅2卫 元宝户型 精装中层,阳光花园 -张店区,4室2厅 | 173.59平米 | 南 北 | 简装 | 中楼层(共16层)  | 板楼,5人关注 / 一年前发布,165,"9,506元/平"
鲁兴家园 多层三楼 中 央 空 调 精装短住 有车库,鲁兴家园 -张店区,4室2厅 | 186平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,150,"8,065元/平"
阳光花园大四室元宝户型精装带车位储采光充足,阳光花园 -张店区,4室2厅 | 180.56平米 | 南 北 | 精装 | 中楼层(共16层)  | 板楼,0人关注 / 2个月以前发布,150,"8,308元/平"
鸿泰吉祥苑 带车位 元宝三室 毛坯便于装修,鸿泰吉祥苑 -张店区,3室2厅 | 143.25平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板楼,13人关注 / 一年前发布,123,"8,587元/平"
龙泰国际 大三室两卫 满两年 带车位 储藏室 装修好,龙泰国际 -张店区,3室2厅 | 197平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,12人关注 / 一年前发布,295,"14,975元/平"
中式风格装修，带车库，带大露台，挑高客厅,远景玉城 -张店区,5室3厅 | 249平米 | 南 北 | 精装 | 6层  | 暂无数据 | 联排别墅 ,7人关注 / 一年前发布,550,"22,089元/平"
楼层好  .采光好 多层公摊小,美达华庭 -张店区,3室2厅 | 134.76平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,103,"7,644元/平"
齐盛花园，多层两楼，南北通透，全明户型,齊盛花園 -张店区,2室2厅 | 77平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,7人关注 / 一年前发布,63,"8,182元/平"
幸福逸家 总价低大两室 刚需过渡,幸福逸家 -张店区,2室2厅 | 98平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,4人关注 / 一年前发布,32,"3,266元/平"
凯瑞安园，四室两厅，一厨，一卫。,凯瑞安园 -张店区,3室2厅 | 142平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,6人关注 / 10个月以前发布,99,"6,972元/平"
嘉亿国际精装大四室中间好楼层客卧朝阳户型好住,嘉亿国际 -张店区,4室2厅 | 123平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,1人关注 / 7个月以前发布,115,"9,350元/平"
此房内复式，证件齐全，户型通透，拎包入住,中润 · 华侨城二组团 -张店区,7室3厅 | 252平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,32人关注 / 一年前发布,190,"7,540元/平"
植物园旁！吾悦旁！多层地上储！两卧一客朝阳经典户型,福特尔嘉园 -张店区,2室2厅 | 105平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,8人关注 / 一年前发布,67,"6,381元/平"
世纪花园文星园 185.49平精装四室元宝户 带储有车位,世纪花园文星园 -张店区,4室2厅 | 185.49平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,49人关注 / 一年前发布,185,"9,974元/平"
美达华庭四室带露台，上下一样大。,美达华庭 -张店区,4室3厅 | 214.7平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,8人关注 / 一年前发布,208,"9,688元/平"
急售阳光花园南区电梯房！精装大四居元宝户带储！,阳光花园 -张店区,4室2厅 | 186平米 | 南 北 | 精装 | 中楼层(共16层)  | 板楼,1人关注 / 一年前发布,169,"9,087元/平"
世纪花园（多层电梯）201平元宝四居室！落地窗,世纪花园春趣园 -张店区,4室2厅 | 203.08平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 2个月以前发布,186,"9,159元/平"
急售带车储！满五不唯一顶层内复式！电梯房！,阳光花园 -张店区,5室2厅 | 157平米 | 南 北 | 精装 | 高楼层(共16层)  | 板楼,19人关注 / 一年前发布,180,"11,465元/平"
银泰城旁 名尚国际 精装内复式 四室 带车位 阳光房,名尚国际 -张店区,4室3厅 | 160平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,7人关注 / 一年前发布,170,"10,625元/平"
齐盛湖万达旁 有车储！颐丰花园 176平 双卫生间,颐丰花园颐臻园 -张店区,3室2厅 | 176平米 | 南 | 毛坯 | 低楼层(共21层)  | 板楼,11人关注 / 一年前发布,223,"12,671元/平"
西苑小区 多层三室 随时看房 带储急售,西苑小区 -张店区,3室2厅 | 127.7平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,81.8,"6,406元/平"
世纪花园 两室两厅 精装 闲置 房主诚心出售,世纪花园菊香园 -张店区,2室2厅 | 102.5平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,25人关注 / 一年前发布,98,"9,561元/平"
华瑞园，多层三楼，共四层，停车方便,华瑞园南区 -张店区,3室2厅 | 149平米 | 东 | 精装 | 中楼层(共4层)  | 板楼,5人关注 / 一年前发布,100,"6,712元/平"
美达华庭 精装两室 南北通透 视野开阔 采光好 带储,美达华庭 -张店区,2室2厅 | 86.01平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,3人关注 / 一年前发布,59.5,"6,918元/平"
好户型精装修 南北通透诚意出售,福林小区 -张店区,3室2厅 | 98.9平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,6人关注 / 一年前发布,53,"5,359元/平"
祥瑞低楼层南北通透全明户型采光好对流风,世纪花园竹园 -张店区,3室2厅 | 152.08平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,9人关注 / 一年前发布,170,"11,179元/平"
三证满五，户型方正，电梯大平层,世纪花园竹园 -张店区,4室2厅 | 227.55平米 | 南 北 | 精装 | 低楼层(共9层)  | 板楼,2人关注 / 3个月以前发布,238,"10,460元/平"
带储，电梯房，精装修，好楼层。,世纪花园文星园 -张店区,4室2厅 | 244平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,7人关注 / 10个月以前发布,248,"10,164元/平"
优质好房源，凤凰层，精装修，房主急售,盛世康城五期 -张店区,4室2厅 | 146.03平米 | 南 | 精装 | 高楼层(共17层)  | 塔楼,0人关注 / 1个月以前发布,125,"8,560元/平"
带储藏室车位精装修 ，小区环境好，配套齐全,奥都庄园 -淄川区,3室2厅 | 212.25平米 | 东南 | 简装 | 下叠(共5层)  | 板楼 | 叠拼别墅 ,1人关注 / 一年前发布,185,"8,717元/平"
华侨城八组团 四室两厅 带储带车位 满五可贷款,中润 · 华侨城八组团 -张店区,4室2厅 | 197.87平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,2人关注 / 11个月以前发布,191.5,"9,679元/平"
凯瑞景园 多层两室 户型好 采光好,凯瑞景园 -张店区,3室2厅 | 98平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,78人关注 / 一年前发布,58,"5,919元/平"
多层大四居室 带储带车库 精装急售,紫荆园 -张店区,4室2厅 | 154平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,11人关注 / 一年前发布,150,"9,741元/平"
华侨城大四室，房主诚售，看房方便,中润·华侨城一组团 -张店区,4室2厅 | 199.14平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,1人关注 / 一年前发布,210,"10,546元/平"
曦园 4室2厅 南,曦园 -张店区,4室2厅 | 108.25平米 | 南 | 其他 | 高楼层(共16层)  | 板楼,6人关注 / 一年前发布,358,"33,072元/平"
嘉亿国际南，精装三室带储，总价低，随时看房,齊盛花園 -张店区,3室2厅 | 72平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,23人关注 / 一年前发布,32,"4,445元/平"
黄 金国际小高层 平层大四室 毛坯带36平大车库,黄金国际 -张店区,4室2厅 | 214平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板楼,8人关注 / 一年前发布,300,"14,019元/平"
世纪花园 电梯中间楼层  大平层四室  看房方便 带储,世纪花园文星园 -张店区,4室2厅 | 194.2平米 | 南 北 | 简装 | 中楼层(共17层)  | 板楼,23人关注 / 一年前发布,189,"9,733元/平"
世纪花园元宝户型精装大四室拎包入住！,世纪花园文星园 -张店区,4室2厅 | 184.6平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,11人关注 / 11个月以前发布,183,"9,914元/平"
