标题,开发商,房子信息,发布信息,售价/万,单价
特警支队宿舍 宽敞的3房2厅诚心出售,海口特警支队宿舍 -海甸岛,3室2厅 | 88.45平米 | 南 北 | 精装 | 中楼层(共9层)  | 暂无数据,1人关注 / 15天以前发布,146,"16,507元/平"
西海岸  五源河公寓  位置好,五源河公寓B区 -远大,3室2厅 | 125.97平米 | 南 北 | 毛坯 | 32层  | 板塔结合,21人关注 / 一年前发布,225,"17,862元/平"
滨海大道，精装房，户型房子，通风通透,金章华府 -秀英,3室1厅 | 141.09平米 | 南 | 其他 | 低楼层(共25层)  | 塔楼,0人关注 / 5个月以前发布,160,"11,341元/平"
视野开阔 楼层高 业主诚意出售,海域阳光 -远大,1室0厅 | 37.29平米 | 南 | 其他 | 高楼层(共32层)  | 板塔结合,0人关注 / 4个月以前发布,79,"21,186元/平"
此房满五多套，户型分布合理，小面积户型分布合理 ！,泉水山庄 -龙昆南,3室2厅 | 103.08平米 | 南 | 精装 | 8层  | 板塔结合,1人关注 / 9个月以前发布,136,"13,194元/平"
业主急售！拣  漏滨江大型社区，税费少，中间好楼层,广物滨江帝景Ⅱ期 -滨江,3室2厅 | 139.67平米 | 南 | 其他 | 17层  | 板塔结合,5人关注 / 6个月以前发布,270,"19,332元/平"
文博府B二期大三房，毛坯  南北通透  采光通风好,文博府B区 -万达,3室2厅 | 128.41平米 | 南 北 | 其他 | 25层  | 板楼,6人关注 / 一年前发布,244.8,"19,064元/平"
绿地文化城毛坯三房，户型方正，环境及交通好，带车位,绿地文化城 -西海岸南片区,3室2厅 | 122.83平米 | 南 北 | 其他 | 低楼层(共26层)  | 板塔结合,1人关注 / 一年前发布,200,"16,283元/平"
绿地海长流一期  远大购物中   心  精装3房 满二,绿地海长流 -远大,3室2厅 | 127.31平米 | 南 | 精装 | 12层  | 板塔结合,26人关注 / 一年前发布,251,"19,716元/平"
毛坯大三房，满二年无大税，配套设施齐全。,绿地海长流三期 -远大,3室2厅 | 117.27平米 | 北 | 其他 | 24层  | 板塔结合,4人关注 / 9个月以前发布,225,"19,187元/平"
此房满五唯一，采光好，交通便利，价格便宜,海秀苑（秀英） -秀英,3室2厅 | 107.25平米 | 西南 | 其他 | 低楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,139,"12,961元/平"
福隆广场 正规4房，大户型，家里人口多的家庭,福隆广场 -秀英,4室2厅 | 155.55平米 | 北 南 | 其他 | 低楼层(共18层)  | 塔楼,0人关注 / 10天以前发布,230,"14,787元/平"
次新小区第5大道49.5平95万,第5大道 -明珠,1室1厅 | 49.5平米 | 东 | 简装 | 21层  | 板楼,0人关注 / 10个月以前发布,88,"17,778元/平"
海口湾百方广场滨海幸福里精装三房出售,滨海·幸福里 -海口湾,3室2厅 | 127.78平米 | 东南 | 精装 | 31层  | 板塔结合,1人关注 / 2个月以前发布,345,"27,000元/平"
少有小户型住宅，交通便利，户型方正。,海运小区 -海口湾,1室2厅 | 43.07平米 | 南 | 毛坯 | 中楼层(共5层)  | 板塔结合,1人关注 / 2个月以前发布,56.5,"13,119元/平"
绿地海长流一期  远大购物中   心  精装3房 满二,绿地海长流 -远大,3室2厅 | 127.31平米 | 南 | 精装 | 12层  | 板塔结合,26人关注 / 一年前发布,251,"19,716元/平"
中房青年公寓，满五唯一，封闭式小区，带电梯,中房青年公寓 -国贸,1室1厅 | 51平米 | 南 | 其他 | 低楼层(共9层)  | 塔楼,0人关注 / 1天以前发布,65,"12,746元/平"
正规2房户型方正朝南人车分流地理位置好出行方便,枫林雅郡小区 -椰海大道,2室2厅 | 88.11平米 | 南 | 其他 | 17层  | 板塔结合,0人关注 / 3天以前发布,175,"19,862元/平"
海口湾百方广场滨海幸福里精装三房出售,滨海·幸福里 -海口湾,3室2厅 | 127.78平米 | 东南 | 精装 | 31层  | 板塔结合,1人关注 / 2个月以前发布,345,"27,000元/平"
此房满五唯一，采光好，交通便利，价格便宜,海秀苑（秀英） -秀英,3室2厅 | 107.25平米 | 西南 | 其他 | 低楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,139,"12,961元/平"
满五唯一正规一房一厅，保养得当业主有素养，诚心出,秀山观海苑 -紫园片区,1室1厅 | 51.34平米 | 南 北 | 精装 | 高楼层(共10层)  | 塔楼,12人关注 / 5个月以前发布,81,"15,778元/平"
农垦商圈 金山小区 电梯大四房 看房方便 交通便利,金山小区 -海垦,4室2厅 | 131.1平米 | 东南 | 简装 | 中楼层(共20层)  | 塔楼,2人关注 / 5个月以前发布,155,"11,824元/平"
高楼层精装正规两房，视野好朝南，小区环境好,星华海岸城 -远大,2室2厅 | 87.67平米 | 南 | 精装 | 26层  | 板塔结合,23人关注 / 5个月以前发布,166,"18,935元/平"
少有小户型住宅，交通便利，户型方正。,海运小区 -海口湾,1室2厅 | 43.07平米 | 南 | 毛坯 | 中楼层(共5层)  | 板塔结合,1人关注 / 2个月以前发布,56.5,"13,119元/平"
毛坯大三房，满二年无大税，配套设施齐全。,绿地海长流三期 -远大,3室2厅 | 117.27平米 | 北 | 其他 | 24层  | 板塔结合,4人关注 / 9个月以前发布,225,"19,187元/平"
福隆广场 正规4房，大户型，家里人口多的家庭,福隆广场 -秀英,4室2厅 | 155.55平米 | 北 南 | 其他 | 低楼层(共18层)  | 塔楼,0人关注 / 10天以前发布,230,"14,787元/平"
次新小区第5大道49.5平95万,第5大道 -明珠,1室1厅 | 49.5平米 | 东 | 简装 | 21层  | 板楼,0人关注 / 10个月以前发布,88,"17,778元/平"
世贸华宝雅苑全明户型东南朝向两房,华宝雅苑 -世贸,2室1厅 | 82平米 | 东南 | 简装 | 27层  | 板塔结合,22人关注 / 11个月以前发布,137,"16,708元/平"
世贸《祥阁深蓝湾》  满五唯一   高楼层    视野好,祥阁深蓝湾 -世贸,2室2厅 | 92.01平米 | 西北 | 精装 | 中楼层(共31层)  | 板塔结合,0人关注 / 2个月以前发布,142,"15,434元/平"
国贸富豪花园两房，满五唯一，诚意出售,富豪花园 -国贸,2室2厅 | 79.94平米 | 南 北 | 简装 | 中楼层(共22层)  | 塔楼,3人关注 / 1个月以前发布,107,"13,386元/平"
江东新区 北师大 天鹅湾 精装2房 通风采光好 看江景,海南天鹅湾 -江东,2室2厅 | 89.65平米 | 西南 | 其他 | 低楼层(共25层)  | 板塔结合,0人关注 / 2个月以前发布,215,"23,983元/平"
一线海景 央企大盘 保利中央海岸 业主诚心出售,保利中央海岸 -海口湾,3室2厅 | 108.24平米 | 南 | 精装 | 30层  | 板塔结合,1人关注 / 2个月以前发布,280,"25,869元/平"
景业广场 满五唯一证在手 电梯高层 天然气入户,景业广场 -海甸岛,1室1厅 | 42.59平米 | 南 | 精装 | 高楼层(共18层)  | 塔楼,17人关注 / 5个月以前发布,72,"16,906元/平"
产证满五年唯一两梯两户，客厅阳台朝南，视野开阔。,亚洲豪苑北区 -金盘,4室2厅 | 152平米 | 南 | 精装 | 14层  | 板塔结合,0人关注 / 30天以前发布,285,"18,750元/平"
海甸岛白沙门公园旁 高楼层正规一房一厅,海岸尚城 -海甸岛,1室1厅 | 58.6平米 | 南 | 简装 | 高楼层(共12层)  | 板塔结合,0人关注 / 1个月以前发布,80,"13,652元/平"
此房满五电梯视野开阔，采光充足，配套设施齐.,农行小区 -龙昆南,2室2厅 | 92平米 | 南 | 简装 | 中楼层(共10层)  | 暂无数据,0人关注 / 23天以前发布,140,"15,218元/平"
满五唯一   楼层好，户型好，一梯两户  两房,兆南和园北区 -紫园片区,2室2厅 | 89平米 | 南 北 | 精装 | 13层  | 板楼,0人关注 / 1个月以前发布,250,"28,090元/平"
满五多套，南北朝向，中楼层，采光充足，配套设施齐全,万福新村 -海甸岛,2室2厅 | 73平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 26天以前发布,102,"13,973元/平"
世贸 蔚兰天成·国际公馆 泳池小区 三房带阳台,蔚蓝天成·国际公馆 -世贸,3室1厅 | 114.64平米 | 南 | 精装 | 低楼层(共25层)  | 塔楼,0人关注 / 25天以前发布,205,"17,883元/平"
海口恒大美丽沙 1室2厅 西南,海口恒大美丽沙 -海甸岛,1室2厅 | 72.21平米 | 西南 | 简装 | 中楼层(共24层)  | 塔楼,0人关注 / 22天以前发布,165,"22,851元/平"
家乐福旁小两房2008年小区业主诚意出售,蓝海银座 -海甸岛,2室1厅 | 77.61平米 | 东南 | 精装 | 高楼层(共20层)  | 塔楼,0人关注 / 27天以前发布,115,"14,818元/平"
满二，华润 精装修 正规2房2厅2卫，高层朝南，好房。,海口华润中心 -国贸,2室2厅 | 100.09平米 | 南 | 精装 | 中楼层(共35层)  | 板塔结合,2人关注 / 19天以前发布,279,"27,875元/平"
碧桂园花园社区，南北双阳台边户，中高楼层。,碧桂园·中央首府 -椰海大道,3室2厅 | 111.08平米 | 南 | 简装 | 高楼层(共24层)  | 板塔结合,0人关注 / 23天以前发布,218,"19,626元/平"
滨江带露台花园户型通透，中高楼层，视野好，采光充足,广物滨江帝景Ⅱ期 -滨江,3室2厅 | 124平米 | 东 北 | 其他 | 26层  | 板塔结合,0人关注 / 28天以前发布,248,"20,000元/平"
国贸繁华地段 电梯房 易出租 满五多套,深发展大厦 -国贸,2室1厅 | 128平米 | 南 | 精装 | 高楼层(共26层)  | 塔楼,0人关注 / 21天以前发布,165,"12,891元/平"
国贸繁华地段 电梯房 易出租 满五多套,深发展大厦 -国贸,2室1厅 | 128平米 | 南 | 精装 | 高楼层(共26层)  | 塔楼,0人关注 / 21天以前发布,165,"12,891元/平"
业主诚心出售，置换房源，看房方便，提前预约,滨江新苑A区 -白龙,2室1厅 | 71平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 21天以前发布,133,"18,733元/平"
满二 大阳台 业主诚心出售  看房方便,绿地海长流三期 -远大,3室2厅 | 117平米 | 北 | 精装 | 25层  | 板塔结合,0人关注 / 20天以前发布,260,"22,223元/平"
业主诚心出售，明珠旁电梯3房，看房方便,富骅大厦 -明珠,3室2厅 | 114平米 | 南 | 简装 | 高楼层(共17层)  | 塔楼,0人关注 / 27天以前发布,128,"11,229元/平"
绿地海森林 经典小3房 交通便利 价格优美,绿地文化城 -西海岸南片区,3室2厅 | 89平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,0人关注 / 29天以前发布,146,"16,405元/平"
绿地文化城 毛坯3房 业主诚心出售 随时看房,绿地文化城 -西海岸南片区,3室2厅 | 121平米 | 北 | 其他 | 中楼层(共26层)  | 板塔结合,0人关注 / 20天以前发布,210,"17,356元/平"
星茂广场 ，业主从未住过，全新三房，12月份满二,星华海岸城 -远大,3室2厅 | 137.59平米 | 西南 | 精装 | 26层  | 板塔结合,0人关注 / 28天以前发布,356,"25,874元/平"
国兴商圈 华林广场 交通便利 配套齐全,华林广场 -明珠,2室1厅 | 36.19平米 | 南 | 精装 | 17层  | 板塔结合,0人关注 / 19天以前发布,97,"26,803元/平"
海岛国际名城 3室2厅 南 北,海岛国际名城 -万达,3室2厅 | 133.58平米 | 南 北 | 精装 | 低楼层(共17层)  | 塔楼,0人关注 / 25天以前发布,255,"19,090元/平"
世贸路段 精装大三房 交通出行方便,新宏基大厦 -世贸,3室2厅 | 151.78平米 | 南 | 精装 | 低楼层(共21层)  | 塔楼,0人关注 / 21天以前发布,185,"12,189元/平"
2020年次新小区 外地人可买 可贷款 滨江海岸三期,碧桂园·滨江海岸（三期） -海甸岛,2室2厅 | 58.47平米 | 南 | 其他 | 中楼层(共25层)  | 塔楼,0人关注 / 16天以前发布,90,"15,393元/平"
金牛岭公园门口的电梯房 三个大阳台,金牛生态小区 -海垦,5室1厅 | 178.94平米 | 北 南 | 简装 | 22层  | 板楼,0人关注 / 23天以前发布,325,"18,163元/平"
天福新村 3室2厅 南,天福新村 -明珠,3室2厅 | 90平米 | 南 | 简装 | 低楼层(共7层)  | 板塔结合,0人关注 / 16天以前发布,115,"12,778元/平"
现代花园三期  精装四房 含红木家具 适合一大家子住,现代花园三期 -龙昆南,3室2厅 | 142.75平米 | 南 | 其他 | 中楼层(共28层)  | 板楼,0人关注 / 8个月以前发布,310,"21,717元/平"
楼层好，南北通三房两厅配套齐全,恒大海口文化旅游城 -椰海大道,3室2厅 | 124.6平米 | 南 | 其他 | 中楼层(共18层)  | 板塔结合,4人关注 / 一年前发布,245,"19,663元/平"
锦地翰城二期 精心装4+1房 业主诚心出售 小区环境优美,锦地翰城 -万达,4室2厅 | 149.33平米 | 南 | 精装 | 高楼层(共16层)  | 塔楼,12人关注 / 一年前发布,348,"23,305元/平"
三房，产证无抵押，东北朝向，高楼层视野好业主诚心卖,海口恒大美丽沙 -海甸岛,3室2厅 | 130.24平米 | 东北 | 其他 | 9层  | 板楼,1人关注 / 一年前发布,398,"30,559元/平"
龙昆南 宏昌楼 满五年适合刚需首套,宏昌楼 -明珠,2室1厅 | 107.12平米 | 东 | 简装 | 14层  | 塔楼,0人关注 / 7个月以前发布,149,"13,910元/平"
单价低！繁华市区精装三房双阳，三面采光通透全明户型,国托公寓 -龙昆南,3室2厅 | 150.33平米 | 南 北 | 精装 | 26层  | 板楼,4人关注 / 一年前发布,175,"11,642元/平"
滨海幸福里二房高层采光充足配套齐全可看泳池出行便,滨海·幸福里 -海口湾,2室1厅 | 94.08平米 | 南 | 毛坯 | 31层  | 板塔结合,27人关注 / 一年前发布,238,"25,298元/平"
世贸雅苑 电梯房 产证满五年 看房方便,世贸中心 -世贸,3室2厅 | 165.38平米 | 南 | 精装 | 中楼层(共22层)  | 板塔结合,4人关注 / 一年前发布,215,"13,001元/平"
国兴江东，三房带车位，马上满五唯一，精装修,琥珀悠澜 -江东,3室2厅 | 100.71平米 | 南 北 | 精装 | 18层  | 板塔结合,1人关注 / 4个月以前发布,225,"22,342元/平"
文明东滨江路210万108平两房,滨江温泉花园 -白龙,2室1厅 | 108.68平米 | 东 | 简装 | 中楼层(共8层)  | 板楼,2人关注 / 10个月以前发布,198,"18,219元/平"
金城大厦 两梯两户 通透四房 高楼层采光通风好,金城大厦 -龙昆南,4室2厅 | 205.88平米 | 南 | 简装 | 高楼层(共24层)  | 塔楼,0人关注 / 一年前发布,238,"11,561元/平"
此房精装，大三房，采光好，通透性好，业主诚心出售,兆南西海豪园 -远大,3室2厅 | 149.18平米 | 南 | 精装 | 高楼层(共15层)  | 塔楼,3人关注 / 一年前发布,285,"19,105元/平"
南北通透 户型方正 视野开阔 采光充足,鲁能海蓝椰风 -江东,3室2厅 | 100.87平米 | 南 北 | 精装 | 高楼层(共10层)  | 暂无数据,1人关注 / 11个月以前发布,233,"23,100元/平"
恒大文化城，精装三房，次顶楼视野好，大型小区,恒大海口文化旅游城 -椰海大道,3室2厅 | 79.72平米 | 北 | 简装 | 高楼层(共24层)  | 板塔结合,2人关注 / 10个月以前发布,110,"13,799元/平"
地段好，户型方正，一梯两户，南北通透,鸿兴公寓 -龙昆南,2室2厅 | 102.52平米 | 南 北 | 其他 | 高楼层(共9层)  | 板楼,0人关注 / 5个月以前发布,199,"19,411元/平"
绿地文化城精装修4房，楼层及户型好，小区环境优美,绿地文化城 -西海岸南片区,4室2厅 | 151.16平米 | 南 北 | 其他 | 中楼层(共26层)  | 板塔结合,2人关注 / 11个月以前发布,305,"20,178元/平"
房子自住，装修好保养好，看房方便,海口新城吾悦广场 -椰海大道,3室2厅 | 92.38平米 | 南 | 精装 | 25层  | 板楼,0人关注 / 2个月以前发布,215,"23,274元/平"
保利海岸高楼层，看海口湾海景视野开阔装修新，满二,保利中央海岸 -海口湾,3室2厅 | 108.24平米 | 南 | 其他 | 30层  | 板楼,0人关注 / 11个月以前发布,324,"29,934元/平"
银谷苑 2室2厅 南 北,银谷苑 -海甸岛,2室2厅 | 108平米 | 南 北 | 其他 | 高楼层(共19层)  | 塔楼,0人关注 / 1个月以前发布,158,"14,630元/平"
海甸岛 万恒城市花园 正规朝南两房 随时看房,万恒城市花园 -海甸岛,2室2厅 | 77.57平米 | 南 | 精装 | 中楼层(共14层)  | 板楼,14人关注 / 7个月以前发布,144,"18,564元/平"
正规2房2卫，满五唯一，中高楼层，采光足,昌炜玉园 -海口湾,2室2厅 | 107.8平米 | 北 | 简装 | 高楼层(共14层)  | 板塔结合,1人关注 / 8个月以前发布,288,"26,717元/平"
诚心出售，南北朝向、 交通便利 ，配套齐全，楼梯三楼,海景花园 -海甸岛,3室2厅 | 135.67平米 | 南 北 | 其他 | 9层  | 板楼,2人关注 / 10个月以前发布,205,"15,111元/平"
国兴商圈，正规两房带阳台，采光通风好，生活方便,海晟瑞景 -明珠,2室1厅 | 85.85平米 | 东南 | 简装 | 中楼层(共16层)  | 塔楼,12人关注 / 8个月以前发布,110,"12,814元/平"
户型方正，采光通风，精装修，配套齐全，交通便利,海岸豪庭 -紫园片区,3室2厅 | 89.48平米 | 南 北 | 精装 | 低楼层(共25层)  | 塔楼,2人关注 / 5个月以前发布,251,"28,051元/平"
海口湾大社区滨海幸福里环形阳台视野开阔,滨海·幸福里 -海口湾,4室2厅 | 131.2平米 | 南 北 | 精装 | 31层  | 板塔结合,0人关注 / 2个月以前发布,391,"29,802元/平"
繁华市区，大型绿化小区，生活娱乐一应俱全，交通便利,昌茂花园 -龙昆南,3室2厅 | 85.55平米 | 南 | 简装 | 9层  | 板塔结合,5人关注 / 一年前发布,130,"15,196元/平"
此房满五唯一 全新精装 可看海 两房两卫 南北对流,中弘·西岸首府 -远大,2室2厅 | 116.25平米 | 南 北 | 精装 | 24层  | 板塔结合,7人关注 / 10个月以前发布,222,"19,097元/平"
产证满5税费少楼层比较好 采光很棒，房子设计合理。,金华苑 -秀英,3室2厅 | 130.32平米 | 南 北 | 精装 | 中楼层(共20层)  | 板塔结合,2人关注 / 7个月以前发布,162,"12,431元/平"
秀英海玻路 宝源花园小区 精装三房小高层 满五唯一,宝源花园 -秀英,3室2厅 | 91.36平米 | 南 | 精装 | 11层  | 板塔结合,0人关注 / 2个月以前发布,183,"20,031元/平"
地处带状公园中间，环境优美，气候宜人，亲海不近海,阳光西海岸 -远大,3室2厅 | 99.96平米 | 东南 | 精装 | 11层  | 塔楼,38人关注 / 一年前发布,199,"19,908元/平"
绿地海长流，2+1房，户型方正，钥匙在手，看房方便,绿地海长流 -远大,2室2厅 | 86.7平米 | 南 | 毛坯 | 22层  | 板塔结合,1人关注 / 2个月以前发布,200,"23,069元/平"
07年老小区，绿化高，小区占地面积大,阳光西海岸 -远大,2室2厅 | 109.36平米 | 东北 | 毛坯 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,203,"18,563元/平"
大华二期 看海 精装小三房 满二 楼层佳,大华·锦绣海岸 -远大,3室2厅 | 94.77平米 | 南 | 其他 | 中楼层(共20层)  | 板塔结合,1人关注 / 3个月以前发布,230,"24,270元/平"
吾悦广场  椰海雅苑带产权车位 满五唯一 大三房,椰海雅苑 -椰海大道,3室2厅 | 125.33平米 | 南 北 | 精装 | 17层  | 板塔结合,0人关注 / 3个月以前发布,275,"21,943元/平"
满二税少，2+1小三房两卫，高楼层采光好，视野佳。,爱琴海 -紫园片区,3室2厅 | 85.27平米 | 东北 | 其他 | 22层  | 板塔结合,0人关注 / 2个月以前发布,255,"29,906元/平"
海甸二东路，水岸听涛，3房2厅，南北通透。,水岸听涛 -海甸岛,3室2厅 | 90.33平米 | 南 北 | 简装 | 低楼层(共25层)  | 板楼,56人关注 / 11个月以前发布,135,"14,946元/平"
业主诚心出售。价格比同小区同户型低..............,椰岛广场 -国贸,4室2厅 | 151.59平米 | 南 北 | 其他 | 低楼层(共31层)  | 板塔结合,5人关注 / 一年前发布,354,"23,353元/平"
温馨一房一厅，中间楼层，业主自己住的，房子很新！,金隅大成西溪里 -海甸岛,1室1厅 | 42.62平米 | 东南 | 简装 | 21层  | 板塔结合,2人关注 / 5个月以前发布,103.8,"24,355元/平"
凤翔东路，172平跃层，大露台，通风采光好,中豪花园 -府城,5室3厅 | 172.94平米 | 南 北 | 精装 | 6层  | 板塔结合,17人关注 / 8个月以前发布,230,"13,300元/平"
龙昆北路，茶叶大院，满五年，楼梯房，公摊小，有环境,茶叶大院 -国贸,3室2厅 | 97.29平米 | 南 | 其他 | 中楼层(共9层)  | 暂无数据,0人关注 / 3个月以前发布,150,"15,418元/平"
鲁能海蓝椰风，五期洋房，一梯两户，满五唯一,鲁能海蓝椰风 -江东,2室1厅 | 81.16平米 | 南 北 | 精装 | 高楼层(共10层)  | 暂无数据,0人关注 / 1个月以前发布,172,"21,193元/平"
美丽沙正规两房，产证满二在手！,海口恒大美丽沙 -海甸岛,2室1厅 | 67.91平米 | 南 | 精装 | 9层  | 板塔结合,7人关注 / 8个月以前发布,185,"27,242元/平"
西海岸，一线海景小区，精装两房，拎包入住。,阳光西海岸 -远大,2室2厅 | 100平米 | 南 | 其他 | 低楼层(共16层)  | 暂无数据,1人关注 / 7个月以前发布,210,"21,000元/平"
带独立花园，温泉小区，精装3房可拎包入住,信达·海天下 -江东,3室1厅 | 85.49平米 | 西南 | 简装 | 低楼层(共6层)  | 板楼,27人关注 / 10个月以前发布,188,"21,991元/平"
满五税费少，出入便捷，车位充足、小区干净整洁。,新港小区 -海口湾,3室2厅 | 83.27平米 | 北 南 | 其他 | 低楼层(共8层)  | 暂无数据,4人关注 / 一年前发布,132,"15,853元/平"
西海岸紫园片区102平 板楼 南北通透 海景房仅售290W,柏斯观海台1号 -紫园片区,2室2厅 | 102.55平米 | 南 北 | 精装 | 13层  | 板塔结合,20人关注 / 11个月以前发布,290,"28,279元/平"
海甸岛白沙门公园旁精装两房拎包入住,珍珠裕苑一期 -海甸岛,2室2厅 | 83.99平米 | 南 | 精装 | 高楼层(共9层)  | 板塔结合,9人关注 / 5个月以前发布,126,"15,002元/平"
西海岸紫园片区102平 板楼 南北通透 海景房仅售290W,柏斯观海台1号 -紫园片区,2室2厅 | 102.55平米 | 南 北 | 精装 | 13层  | 板塔结合,20人关注 / 11个月以前发布,290,"28,279元/平"
海口湾 宝安滨海豪庭 精装修 三房 户型方正 朝小区,宝安滨海豪庭 -海口湾,3室2厅 | 140平米 | 北 | 其他 | 低楼层(共32层)  | 板塔结合,3人关注 / 10个月以前发布,330,"23,572元/平"
红泥月亮湾 俩房户型 来电看房,红泥月亮湾花园 -海甸岛,2室2厅 | 81.24平米 | 南 | 其他 | 低楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,155,"19,080元/平"
此房满五年，产证在手，无抵押，看房方便业主诚心出售,兆南和园北区 -紫园片区,2室1厅 | 87.8平米 | 南 | 其他 | 13层  | 板楼,0人关注 / 1个月以前发布,251,"28,588元/平"
恒大美丽沙天颐湾一线海景无遮挡精装两房满二拎包入住,海口恒大美丽沙 -海甸岛,2室2厅 | 84.61平米 | 北 | 其他 | 11层  | 板塔结合,5人关注 / 5个月以前发布,225,"26,593元/平"
房子位于龙昆南大润发旁，背靠龙湖光年 ；购物方便,虹冠大厦 -龙昆南,3室2厅 | 134.67平米 | 南 | 简装 | 17层  | 板塔结合,1人关注 / 一年前发布,156,"11,584元/平"
观澜湖新城配套片区公园三房满二均价1.8万精装高层,观澜湖·中央公园区 -观澜湖,3室2厅 | 122.27平米 | 北 东北 | 精装 | 高楼层(共21层)  | 板塔结合,4人关注 / 6个月以前发布,230,"18,811元/平"
华丰大厦 龙昆南繁华地段精装出售,华丰大厦 -龙昆南,2室2厅 | 87.7平米 | 南 | 其他 | 20层  | 板楼,1人关注 / 11个月以前发布,151,"17,218元/平"
海天一舍 2室2厅 北,海天一舍 -海甸岛,2室2厅 | 83.24平米 | 北 | 其他 | 低楼层(共17层)  | 塔楼,4人关注 / 3个月以前发布,150,"18,021元/平"
龙华路龙华商城2房2厅一卫一阳.,龙华商城 -解放西,2室2厅 | 109.87平米 | 东 | 简装 | 低楼层(共24层)  | 暂无数据,3人关注 / 6个月以前发布,156,"14,199元/平"
海囗湾商圈海景房 御景湾三室 视野宽阔,御景湾 -海口湾,3室2厅 | 106.67平米 | 北 | 简装 | 低楼层(共29层)  | 板塔结合,2人关注 / 4个月以前发布,270,"25,312元/平"
急售  满五唯一、精装3房2厅、好楼层、南北通透户型,琥珀悠澜 -江东,3室2厅 | 100.71平米 | 南 北 | 精装 | 18层  | 板塔结合,3人关注 / 6个月以前发布,185,"18,370元/平"
恒大文化旅游城3房2厅精装2梯3户有车位住宅性质,恒大海口文化旅游城 -椰海大道,3室2厅 | 124.61平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,14人关注 / 一年前发布,225,"18,057元/平"
龙昆南 新城吾悦后面 中海锦城,中海锦城 -椰海大道,3室2厅 | 97.03平米 | 南 | 精装 | 27层  | 板楼,24人关注 / 一年前发布,235,"24,220元/平"
满五唯一，通风采光好，小区环境优美,佳元天上人间 -滨江,4室2厅 | 109.5平米 | 南 北 | 其他 | 9层  | 板楼,0人关注 / 19天以前发布,210,"19,179元/平"
海甸岛家乐福旁电梯中装2房朝南诚意出售！,世博大厦 -海甸岛,2室2厅 | 72.86平米 | 南 | 其他 | 中楼层(共23层)  | 板楼,2人关注 / 5个月以前发布,103,"14,137元/平"
满五唯一，市中，心大三房，出门就是商场,江南大厦铸造厂宿舍 -解放西,3室2厅 | 117.86平米 | 南 | 其他 | 高楼层(共9层)  | 板塔结合,2人关注 / 7个月以前发布,148,"12,558元/平"
满五唯一  诚心出售  大2房 小区环境优美 有泳池,海南之心彼岸 -新埠岛,2室1厅 | 95.54平米 | 北 | 其他 | 14层  | 板塔结合,4人关注 / 4个月以前发布,195,"20,411元/平"
海甸四东路 颐和花园 楼梯一楼 两房,颐和花园 -海甸岛,2室2厅 | 99.77平米 | 南 北 | 其他 | 6层  | 板塔结合,4人关注 / 7个月以前发布,125,"12,529元/平"
此房满五多套，跃层小洋房，九小对门。,城市海岸 -紫园片区,2室2厅 | 70.88平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,255,"35,977元/平"
龙昆南 新城吾悦商圈  恒大文化旅游城精装大3房,恒大海口文化旅游城 -椰海大道,3室2厅 | 140平米 | 南 北 | 其他 | 高楼层(共25层)  | 板塔结合,8人关注 / 一年前发布,170,"12,143元/平"
房子中高楼层，东南朝向采光好，户型方正。,香榭花园 -椰海大道,3室2厅 | 115.25平米 | 南 | 精装 | 中楼层(共23层)  | 板楼,7人关注 / 6个月以前发布,230,"19,957元/平"
首付60W买凤翔17年小区 椰海新城 通透三房 满五唯一,椰海新城 -凤翔,3室2厅 | 91平米 | 南 | 精装 | 25层  | 板楼,5人关注 / 5个月以前发布,192,"21,099元/平"
精装两房 诚意出售 此房满五，楼层视野好，,中景花园 -凤翔,2室2厅 | 83.05平米 | 北 | 精装 | 24层  | 板塔结合,5人关注 / 7个月以前发布,152,"18,303元/平"
此房产证满二了，户型方正，南朝向、采光好，精装,长信蓝郡 -紫园片区,2室2厅 | 73.37平米 | 东南 南 | 精装 | 中楼层(共14层)  | 板塔结合,4人关注 / 4个月以前发布,267,"36,391元/平"
拎包入住、小高层房、满五低税、通风采光好、南北朝向,紫园 -紫园片区,3室2厅 | 103.69平米 | 南 北 | 精装 | 11层  | 板楼,14人关注 / 9个月以前发布,380,"36,648元/平"
满五唯一、一梯两户、中间楼层、户型方正、南北朝向,紫园 -紫园片区,2室2厅 | 95.44平米 | 南 北 | 精装 | 11层  | 板塔结合,8人关注 / 8个月以前发布,305,"31,958元/平"
观澜公寓2-2-1-1 130.25m² 346 万,观澜公寓 -紫园片区,2室2厅 | 130.25平米 | 南 北 | 其他 | 7层  | 板楼,1人关注 / 9个月以前发布,346,"26,565元/平"
