标题,开发商,房子信息,发布信息,售价/万,单价
金地檀境 前排 视野开阔 采光充足 诚心出售,金地檀境 -前关,3室2厅 | 104.15平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 8天以前发布,136,"13,059元/平"
小窑湾乾豪新界旁港湾观海小区 电梯中间楼层 南向两室,港湾观海 -金湾新城,2室1厅 | 58.58平米 | 南 | 简装 | 中楼层(共25层)  | 板楼,12人关注 / 5个月以前发布,52,"8,877元/平"
民寿里，楼层好，采光充足，南北向，地脚好,民寿里 -二七,2室1厅 | 54.4平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,15人关注 / 8个月以前发布,87,"15,993元/平"
泉水家年华小区南向落地窗精装修好楼层不挡光,泉水家年华 -泉水美域盛景,2室1厅 | 97.45平米 | 南 北 | 精装 | 低楼层(共22层)  | 板楼,36人关注 / 7个月以前发布,124,"12,725元/平"
小户型 好出租 住宅 有燃气 风景好 视野好 交通便利,古耕国际酒店公寓 -红梅翠竹,1室1厅 | 33.58平米 | 东 | 精装 | 中楼层(共26层)  | 塔楼,1人关注 / 1个月以前发布,54,"16,082元/平"
两室一厅 装修好 楼层好 交通便利 配套设施完善,倚山花园 -倚山里,2室1厅 | 91.51平米 | 西南 | 简装 | 低楼层(共18层)  | 塔楼,5人关注 / 9个月以前发布,73,"7,978元/平"
急售 精装修 两室一厅 采光好  看房随时,万瑞达国际公馆 -倚山里,2室1厅 | 60.25平米 | 西 | 精装 | 低楼层(共27层)  | 塔楼,4人关注 / 4个月以前发布,51.8,"8,598元/平"
嘉和广场 一室精装 西向 高层 采光好,嘉和广场 -三八南,1室1厅 | 44.21平米 | 西 | 精装 | 中楼层(共51层)  | 塔楼,4人关注 / 6个月以前发布,75,"16,965元/平"
倚山里小区 东南向两室，低楼层，采光好,倚山里小区 -倚山里,2室1厅 | 66.42平米 | 东南 | 精装 | 低楼层(共7层)  | 板楼,7人关注 / 9个月以前发布,53,"7,980元/平"
葵英市场旁边 地处无坡地段 南北两室,爱华巷 -青云街,2室1厅 | 53平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,5人关注 / 10个月以前发布,49.9,"9,416元/平"
看房随时，房子保持很好，欢迎咨询,星加坡花园 -周水子,2室2厅 | 85.06平米 | 南 北 | 精装 | 高楼层(共12层)  | 板楼,17人关注 / 3个月以前发布,156.9,"18,446元/平"
中体奥林匹克花园四期 精装修 两居室 房款低 业主诚售,中体奥林匹克花园四期公寓 -溪之谷,2室1厅 | 86.69平米 | 南 | 精装 | 13层  | 板楼,3人关注 / 3个月以前发布,56,"6,460元/平"
近地铁泉水D3区两室小高层户型方正 房款低,锦泉源D3区 -泉水锦泉源,2室1厅 | 64.58平米 | 南 | 简装 | 高楼层(共11层)  | 板楼,10人关注 / 4个月以前发布,87.8,"13,596元/平"
鲁迅路（寺儿沟商圈） 2室1厅 东南,鲁迅路（寺儿沟商圈） -寺儿沟,2室1厅 | 45.84平米 | 东南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,73,"15,925元/平"
亿锋广场一期 文艺青年之选 前排采光温暖视野开阔,亿锋广场一期 -亿锋,1室1厅 | 44.77平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 3个月以前发布,69.5,"15,524元/平"
大华一期 位置好 安静  不临道  采光好,大华锦绣华城一期 -庙岭,3室2厅 | 95.79平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,26人关注 / 8个月以前发布,259,"27,039元/平"
古城丙区，采光好，生活配套齐全，南北通透，有外仓,古城丙区 -古城汇金,2室1厅 | 65.66平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 4个月以前发布,51.3,"7,813元/平"
新增电梯洋房，地热，精装修，五明户，人车分流，急售,连海金源 -叠翠,2室2厅 | 84.09平米 | 南 北 | 精装 | 中楼层(共9层)  | 板楼,2人关注 / 1个月以前发布,145,"17,244元/平"
79二室房主急售中看房方便 南北向采光好,79中广电中心 -中山公园,2室1厅 | 54.45平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,12人关注 / 3个月以前发布,146,"26,814元/平"
诚心出售 看房方便 80 南北两室 中间楼层,王家桥 -促进路,2室1厅 | 47.87平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,1人关注 / 1个月以前发布,71,"14,832元/平"
此房是南向格局，采光充足，小区配套成熟，交通便利,乾豪新界 -金湾新城,2室2厅 | 80.68平米 | 南 北 | 精装 | 中楼层(共30层)  | 板楼,1人关注 / 3个月以前发布,88,"10,908元/平"
颐和星海 一室一厅 精装修 高楼层 采光好,颐和星海 -孙家沟,1室1厅 | 64平米 | 西 | 精装 | 中楼层(共38层)  | 板楼,36人关注 / 6个月以前发布,116,"18,125元/平"
精装修，采光好，视野好，交通生活配套便利,青松南里 -红梅翠竹,1室1厅 | 74.22平米 | 东 西 | 精装 | 低楼层(共29层)  | 板楼,2人关注 / 5个月以前发布,61.9,"8,341元/平"
房子诚心出售，东向视野好，单价合适~,国合锦里 -华府,1室1厅 | 54.91平米 | 东 | 精装 | 高楼层(共29层)  | 板塔结合,18人关注 / 一年前发布,159,"28,957元/平"
鹿港小镇好楼层精装修南北通楼落地窗,鹿港小镇 -大连湾,2室1厅 | 76.7平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,1人关注 / 1个月以前发布,95.8,"12,491元/平"
昆明街 延安小区 南北向 2楼房子 户型地脚好,延安小区 -南山,1室1厅 | 38.74平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,19人关注 / 8个月以前发布,79.8,"20,599元/平"
枫丹丽城多层洋房，南北通厅大两室婚房，房主换房急售,枫丹丽城 -泉水美域盛景,2室2厅 | 91.07平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,1人关注 / 3个月以前发布,169,"18,558元/平"
百年港湾精装修视野朝向佳品牌装修,百年港湾B区 -香炉礁,1室1厅 | 62.75平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,11人关注 / 5个月以前发布,105,"16,734元/平"
采光充足，位置好，交通方便，产权清晰,金润小区A区 -金润,1室1厅 | 49.78平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,4人关注 / 11个月以前发布,42.5,"8,538元/平"
前排海景两室，采光充足，视野好,大连海湾城一期 -华润海中国,2室2厅 | 88.13平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,17人关注 / 9个月以前发布,117,"13,276元/平"
电梯房，高楼层，南北通透格局，视野开阔，采光充足,新新园二期 -庙岭,2室1厅 | 71.76平米 | 南 北 | 简装 | 高楼层(共12层)  | 板楼,3人关注 / 3个月以前发布,131,"18,256元/平"
近华联，楼层采光好，装修保持好，看房方便,东城天下 -东城,2室1厅 | 68.52平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,66,"9,633元/平"
金乾公馆  两室精装修   采光好,金乾公馆 -南棉,2室2厅 | 82.2平米 | 北 东南 | 精装 | 高楼层(共26层)  | 板楼,1人关注 / 9个月以前发布,82,"9,976元/平"
《店长推荐》运达诺维溪谷一期，楼层好，装修好,运达诺维溪谷一期 -生态新城,2室1厅 | 90.45平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,126,"13,931元/平"
中间层 南北通透 使用面积大 采光足 近鹏辉小xue,鹏辉新世纪三期北园 -鹏辉,2室2厅 | 78.04平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 3个月以前发布,129.8,"16,633元/平"
万科精品双南小户型，有**房主诚心出售价格可议,万科莫亚小镇 -普兰店,2室1厅 | 74.62平米 | 南 | 精装 | 低楼层(共31层)  | 板楼,3人关注 / 4个月以前发布,36,"4,825元/平"
泡崖市场，南向一室一厅，中间楼层，产权清晰，,泡崖七区 -泡崖市场,1室1厅 | 40.63平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,11人关注 / 7个月以前发布,46,"11,322元/平"
近欧尚  近地铁口 近市场 近公交 南向采光好视野好,泉水P1区 -泉水龙畔金泉,2室1厅 | 51.98平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,7人关注 / 8个月以前发布,51.5,"9,908元/平"
泉水多层两室南北向，精装修保持好。,锦泉源D2区 -泉水锦泉源,2室1厅 | 67.08平米 | 东南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,99.8,"14,878元/平"
：房子位置好 落下就是公交 看房方便户型好,海景园 -华乐,2室2厅 | 71.7平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,48人关注 / 8个月以前发布,115,"16,040元/平"
09年精装知行2楼采光好 房主诚心卖,枫林绿洲 -绿波,2室1厅 | 65平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,6人关注 / 1个月以前发布,94.8,"14,585元/平"
洋房有电梯，浅色精装修地热，南北通厅全明户型,万棵树 -辽师,2室2厅 | 96.29平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,10人关注 / 3个月以前发布,209,"21,706元/平"
园区精装刚需俩室 近车站 南向视野采光好,谷歌里 -七贤岭,2室1厅 | 65.24平米 | 东南 | 精装 | 中楼层(共15层)  | 板楼,5人关注 / 一年前发布,113,"17,321元/平"
安盛花园住宅一室阳台童牛岭装修保持好近轻轨好租,安盛花园 -安盛,1室0厅 | 39.56平米 | 东 | 精装 | 16层  | 板塔结合,0人关注 / 1个月以前发布,43,"10,870元/平"
西安路罗斯福后身，南北向2室一厅 精装 低楼层,北昌平小区 -西安路,2室1厅 | 71.62平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,2人关注 / 1个月以前发布,123,"17,174元/平"
高新园区沿线，多层电梯洋房，户型好，楼层，采光充足,我爱我家 -叠翠,1室1厅 | 47.82平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,4人关注 / 2个月以前发布,86,"17,985元/平"
体育新城精装修两室前排采光好视野佳,中航华府 -体育新城,2室1厅 | 73.22平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,22人关注 / 11个月以前发布,115,"15,707元/平"
金二76金一街近轻轨三楼中间层采光视野好近公园近商,金一街 -金三角,1室1厅 | 31.31平米 | 南 北 | 精装 | 中楼层(共4层)  | 板楼,3人关注 / 6个月以前发布,66,"21,080元/平"
房子满五唯一 南北通透户型 格局好 中间楼层 精装现房,高城花园 -高城山,2室1厅 | 56.37平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 2个月以前发布,52.5,"9,314元/平"
左岸经典五明户型 视野采光好诚心卖,左岸经典 -红梅翠竹,1室0厅 | 48平米 | 西 北 | 简装 | 高楼层(共33层)  | 塔楼,1人关注 / 2个月以前发布,32.8,"6,834元/平"
机场新上 两室一厅 南北通透 中间楼层 汇文,迎客路（机场商圈） -机场,2室1厅 | 61平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,52人关注 / 一年前发布,74,"12,132元/平"
两室两厅南北通透，全明户型，小区中间位置,岭秀滨城悦和中园 -生态新城,2室2厅 | 84.2平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,123,"14,609元/平"
简单装修 拎包入住 无遮挡 视野好 证件齐全 随时签约,泉水N3区 -泉水龙畔金泉,1室1厅 | 59.4平米 | 南 | 简装 | 中楼层(共28层)  | 板楼,3人关注 / 11个月以前发布,67.5,"11,364元/平"
星海会展和平双南向2楼婚房出售拎包入住,星海街 -星海人家商圈,2室1厅 | 56.55平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,4人关注 / 1个月以前发布,76.5,"13,528元/平"
泉水多层两室南北向，精装修保持好。,锦泉源D2区 -泉水锦泉源,2室1厅 | 67.08平米 | 东南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,99.8,"14,878元/平"
近欧尚  近地铁口 近市场 近公交 南向采光好视野好,泉水P1区 -泉水龙畔金泉,2室1厅 | 51.98平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,7人关注 / 8个月以前发布,51.5,"9,908元/平"
此房满五年，配套好，格局好，近市场，近公园,侯一小区 -侯家沟,1室1厅 | 40.59平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,10人关注 / 3个月以前发布,48.8,"12,023元/平"
星海绿山城 2室1厅 南 北,星海绿山城 -唐山街,2室1厅 | 82.41平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,9人关注 / 1个月以前发布,259,"31,429元/平"
天泉小镇南北向 两室五明户型好,恒峰天泉小镇 -泡崖四区,2室2厅 | 67.07平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,1人关注 / 3个月以前发布,130,"19,383元/平"
海景，楼间距102米，阳台做了玻璃房，直通地下停车场,万科樱花园 -龙王塘,2室1厅 | 77.15平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,34人关注 / 5个月以前发布,116,"15,036元/平"
马栏北街好位置 两室一厅中间楼层 采光好视野好,马栏北街（甘井子区） -马栏,2室1厅 | 60.5平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,5人关注 / 1个月以前发布,77,"12,728元/平"
元宝园小区 两室 南北通透 中间楼层 小区环境优美,元宝园小区 -旅顺老城区,2室1厅 | 57.24平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 10个月以前发布,35.5,"6,202元/平"
万科精品双南小户型，有**房主诚心出售价格可议,万科莫亚小镇 -普兰店,2室1厅 | 74.62平米 | 南 | 精装 | 低楼层(共31层)  | 板楼,3人关注 / 4个月以前发布,36,"4,825元/平"
泡崖市场，南向一室一厅，中间楼层，产权清晰，,泡崖七区 -泡崖市场,1室1厅 | 40.63平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,11人关注 / 7个月以前发布,46,"11,322元/平"
文体街 一楼 规矩俩室 精装修  优质好房,文体街 -甘井子,2室1厅 | 64.97平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,39人关注 / 8个月以前发布,69.8,"10,744元/平"
中间层 南北通透 使用面积大 采光足 近鹏辉小xue,鹏辉新世纪三期北园 -鹏辉,2室2厅 | 78.04平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 3个月以前发布,129.8,"16,633元/平"
面积大，总房款低，商圈成熟，看房方便,美域盛景 -泉水美域盛景,2室1厅 | 82.29平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,12人关注 / 1个月以前发布,74,"8,993元/平"
百年港湾住宅 楼层好 近海边 诚心卖,百年港湾B区 -香炉礁,1室1厅 | 59.53平米 | 南 | 精装 | 中楼层(共20层)  | 板楼,11人关注 / 一年前发布,85,"14,279元/平"
高新园区万达商圈精装两室，大落地窗采光好,雯君庭 -高新园区,2室1厅 | 56.14平米 | 南 | 精装 | 低楼层(共30层)  | 板塔结合,3人关注 / 1个月以前发布,142,"25,294元/平"
依云伴山，精装两室一厅，中间楼层，实验好，光线好。,恒力依云伴山 -瓦房店,2室1厅 | 68.17平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,5人关注 / 9个月以前发布,53.6,"7,863元/平"
两室双南向，中间楼层看房方便，手续清晰！,实验小学同庆街 -英华街,2室1厅 | 50.26平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,110,"21,887元/平"
店长推荐 南向一室一厅 三八39 中间楼层采光好 急售,嘉和花样年华一期 -三八南,1室1厅 | 55.49平米 | 南 | 简装 | 中楼层(共29层)  | 板楼,7人关注 / 4个月以前发布,93,"16,760元/平"
绿洲半岛北岸西北标准一室，可间隔保持干净诚售,绿洲半岛北岸 -海富,1室1厅 | 51.33平米 | 西北 | 精装 | 低楼层(共28层)  | 塔楼,28人关注 / 一年前发布,39.9,"7,774元/平"
小户型，位置好，来呀朋友。。。。。。。。。,绿地香树花城 -金石滩,1室1厅 | 51平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,1人关注 / 3个月以前发布,41.5,"8,138元/平"
周一汇文 近鼎山公园 近市场车站 户型好 房主急售,周山街 -周水子,2室1厅 | 45.39平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,18人关注 / 一年前发布,81.6,"17,978元/平"
经理推荐，北欧假日精装一室，东向观山,北欧假日 -松峪,1室1厅 | 56.32平米 | 东 | 精装 | 低楼层(共35层)  | 塔楼,0人关注 / 6个月以前发布,75,"13,317元/平"
华南商圈地铁 动力院景 南北通透小高层落地窗 1梯两户,动力院景三期汇善园 -华南,2室2厅 | 106.07平米 | 南 北 | 精装 | 高楼层(共16层)  | 板楼,131人关注 / 一年前发布,149,"14,048元/平"
大黑山脚下 一室小户型  空气好 适合居住,名城和顺人家 -杏花里,2室0厅 | 27.94平米 | 北 | 简装 | 中楼层(共22层)  | 板楼,0人关注 / 4个月以前发布,18,"6,443元/平"
此房视野开阔，无坡，楼下就是大湾市场近公交站近地铁,山东路 -山东路,2室1厅 | 44.77平米 | 南 西 | 简装 | 高楼层(共7层)  | 板楼,10人关注 / 9个月以前发布,46,"10,275元/平"
永乐金庭南北通厅通透户型电梯楼,永乐金庭 -连大,2室1厅 | 96.05平米 | 南 北 | 简装 | 低楼层(共12层)  | 板楼,48人关注 / 一年前发布,88,"9,162元/平"
非天兴花园 中山路和21 南北两室 精装修采光好,天兴花园一期 -中山公园,2室1厅 | 71.42平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,12人关注 / 4个月以前发布,156,"21,843元/平"
户型好 南北通 采光视野好 大落地窗,千山心城 -山东路,2室2厅 | 98.7平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,77人关注 / 一年前发布,135,"13,678元/平"
伊景华园 采光好 看劳动公园 方正户型 拎包入住,伊景华园 -南山,1室0厅 | 54.85平米 | 西北 | 精装 | 高楼层(共32层)  | 塔楼,2人关注 / 11个月以前发布,140,"25,525元/平"
金源南里带10平地下室，南北通透保持好适合居住,金源南里 -金源,2室1厅 | 63.02平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 1个月以前发布,67.3,"10,680元/平"
会展星海和平三楼南北通透得房率高,星海街 -星海人家商圈,2室1厅 | 54.05平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 1个月以前发布,64,"11,841元/平"
四区 中间楼层 明厅落地窗 带阳台 位置好,泡崖四区 -泡崖四区,2室1厅 | 78.36平米 | 南 西 北 | 精装 | 中楼层(共4层)  | 板楼,18人关注 / 6个月以前发布,89,"11,358元/平"
孙家沟 2室1厅 南 北,孙家沟 -孙家沟,2室1厅 | 52.47平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,3人关注 / 1个月以前发布,76,"14,485元/平"
泉水近轻轨站博伦旁精装修婚房拎包入住南北通厅大阳台,龙畔金泉五期K1区 -泉水龙畔金泉,2室2厅 | 89.13平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,9人关注 / 9个月以前发布,145,"16,269元/平"
金一街金二76学府地段南北向近公园近车站近市场诚出售,金一街 -金三角,1室1厅 | 34.6平米 | 南 | 简装 | 低楼层(共3层)  | 板楼,0人关注 / 4个月以前发布,66,"19,076元/平"
大华六期中间楼层精装修南向小两室 房主诚心出售,大华锦绣华城六期 -庙岭,2室1厅 | 68.69平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,2人关注 / 一年前发布,175,"25,477元/平"
房主自己 精装修 下楼地铁  手里有钥匙,山东路 -山东路,2室1厅 | 50.52平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,54人关注 / 10个月以前发布,55,"10,887元/平"
辽师幸福小区精装修两室，中间楼层，近地铁,幸福小区(沙河口) -辽师,2室1厅 | 73.63平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,16人关注 / 3个月以前发布,99.8,"13,555元/平"
桃山小区新上2楼 中等装修保持好可拎包即住,桃山小区 -南沙,2室2厅 | 87.29平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,16人关注 / 3个月以前发布,90,"10,311元/平"
一室一厅精装修  南向采光充足 全封闭小区,海脉未来城 -城润,1室1厅 | 40.83平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,15人关注 / 一年前发布,38,"9,307元/平"
园区精装多层俩室 得房率高 配套全 好出租,谷歌里 -七贤岭,2室1厅 | 56.49平米 | 东 西 | 精装 | 高楼层(共5层)  | 板楼,60人关注 / 一年前发布,94,"16,641元/平"
华润四期 南北通透 楼层好 视野开阔,华润海中国四期 -华润海中国,2室2厅 | 96.21平米 | 南 北 | 精装 | 高楼层(共31层)  | 板楼,26人关注 / 一年前发布,138,"14,344元/平"
华通一期两室南北通厅通透全明户型拎包即住位置好,华通和平海岸一期 -旅顺开发区,2室2厅 | 90.51平米 | 南 北 | 简装 | 中楼层(共9层)  | 板楼,5人关注 / 6个月以前发布,51,"5,635元/平"
中铁b区双南两室中高楼层视野好采光好,中铁诺德滨海花园B区 -七贤岭,2室1厅 | 78.49平米 | 南 | 简装 | 中楼层(共18层)  | 板楼,36人关注 / 5个月以前发布,176,"22,424元/平"
满五唯一，南北通透格局，楼层视野不挡光，价格合适,宜宁里 -金湾新城,2室1厅 | 70平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板楼,0人关注 / 6个月以前发布,40,"5,715元/平"
锦泉源D1区 多层 南北通透 近车站 市场 近地铁,锦泉源D1区 -泉水锦泉源,2室2厅 | 85平米 | 南 北 | 简装 | 低楼层(共5层)  | 板楼,30人关注 / 10个月以前发布,110,"12,942元/平"
园区精装刚需俩室 近车站 南向视野采光好,谷歌里 -七贤岭,2室1厅 | 65.24平米 | 东南 | 精装 | 中楼层(共15层)  | 板楼,5人关注 / 一年前发布,113,"17,321元/平"
马栏2000年 南北通透，2楼 无坡,西苑新区 -马栏,2室1厅 | 82.93平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,3人关注 / 1个月以前发布,125.5,"15,134元/平"
高新园区龙王塘精装两室出门轻轨中楼层视野采光好,国宝星月湾 -龙王塘,2室1厅 | 91.01平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,135.8,"14,922元/平"
鸿玮澜山 公路集团建造 小高层中间楼层 精装拎包入住,鸿玮澜山二期 -桃园,1室1厅 | 62.3平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 1个月以前发布,66,"10,594元/平"
金石滩海边小区琴海园装修两室拎包入住,鲁能胜地琴海园 -金石滩,2室2厅 | 96.75平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,2人关注 / 1个月以前发布,68,"7,029元/平"
高楼层 采光好 视野开阔 标准一室,名城和顺人家 -杏花里,1室1厅 | 30.97平米 | 北 | 简装 | 高楼层(共22层)  | 板楼,0人关注 / 6个月以前发布,20,"6,458元/平"
孙家沟 2室1厅 南 北,孙家沟 -孙家沟,2室1厅 | 52.47平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,3人关注 / 1个月以前发布,76,"14,485元/平"
会展星海和平三楼南北通透得房率高,星海街 -星海人家商圈,2室1厅 | 54.05平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 1个月以前发布,64,"11,841元/平"
金源南里带10平地下室，南北通透保持好适合居住,金源南里 -金源,2室1厅 | 63.02平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 1个月以前发布,67.3,"10,680元/平"
泉水近轻轨站博伦旁精装修婚房拎包入住南北通厅大阳台,龙畔金泉五期K1区 -泉水龙畔金泉,2室2厅 | 89.13平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,9人关注 / 9个月以前发布,145,"16,269元/平"
满五唯一，南北通透格局，楼层视野不挡光，价格合适,宜宁里 -金湾新城,2室1厅 | 70平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板楼,0人关注 / 6个月以前发布,40,"5,715元/平"
红旗小地铁口 交通便利 早市 总价低 年轻过渡,兴达福山居 -西山水库,2室1厅 | 45.29平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,23人关注 / 9个月以前发布,69,"15,236元/平"
店长推荐 南向一室一厅 三八39 中间楼层采光好 急售,嘉和花样年华一期 -三八南,1室1厅 | 55.49平米 | 南 | 简装 | 中楼层(共29层)  | 板楼,7人关注 / 4个月以前发布,93,"16,760元/平"
阳光馨苑店主推房源。经理维护 手续清晰 住宅七中,开建阳光馨苑 -开发区万达,2室2厅 | 78.8平米 | 南 | 简装 | 高楼层(共32层)  | 塔楼,15人关注 / 一年前发布,72.8,"9,239元/平"
大华六期中间楼层精装修南向小两室 房主诚心出售,大华锦绣华城六期 -庙岭,2室1厅 | 68.69平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,2人关注 / 一年前发布,175,"25,477元/平"
房主自己 精装修 下楼地铁  手里有钥匙,山东路 -山东路,2室1厅 | 50.52平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,54人关注 / 10个月以前发布,55,"10,887元/平"
辽师幸福小区精装修两室，中间楼层，近地铁,幸福小区(沙河口) -辽师,2室1厅 | 73.63平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,16人关注 / 3个月以前发布,99.8,"13,555元/平"
金一街金二76学府地段南北向近公园近车站近市场诚出售,金一街 -金三角,1室1厅 | 34.6平米 | 南 | 简装 | 低楼层(共3层)  | 板楼,0人关注 / 4个月以前发布,66,"19,076元/平"
华丽园 户型好 采光好 楼层好近地铁公交车,名贵山庄华丽园 -名贵,2室2厅 | 97.55平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,16人关注 / 11个月以前发布,136,"13,942元/平"
房子户型比较规矩，标准一室一厅户型，楼层好，采光好,帝欧花园 -绿波,1室1厅 | 59.49平米 | 南 | 精装 | 高楼层(共12层)  | 板楼,17人关注 / 5个月以前发布,118,"19,836元/平"
软件园亿达软景 亿达物业，高楼层 采光好视野好,软景E居 -软件园,1室1厅 | 46.86平米 | 东 北 | 精装 | 中楼层(共31层)  | 板楼,0人关注 / 2个月以前发布,118,"25,182元/平"
近欧尚  近地铁口 近市场 近公交 南向采光好视野好,泉水P1区 -泉水龙畔金泉,2室1厅 | 51.98平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,7人关注 / 8个月以前发布,51.5,"9,908元/平"
泉水多层两室南北向，精装修保持好。,锦泉源D2区 -泉水锦泉源,2室1厅 | 67.08平米 | 东南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,99.8,"14,878元/平"
央企开发品质物业精装修 南北通透两居室 景观楼层,中海御湖熙谷 -溪之谷,2室1厅 | 92.17平米 | 南 北 | 精装 | 低楼层(共30层)  | 板楼,1人关注 / 1个月以前发布,124,"13,454元/平"
此房满五年，配套好，格局好，近市场，近公园,侯一小区 -侯家沟,1室1厅 | 40.59平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,10人关注 / 3个月以前发布,48.8,"12,023元/平"
新增锦虹北园4楼 南向采光好 拎包入住 近车站市场急售,锦虹北园 -锦绣,1室1厅 | 48.98平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,63,"12,863元/平"
锦华中园+南北通透+带10平阁楼+2001年房+地铁1000米,锦华中园 -锦绣,2室1厅 | 61.65平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,5人关注 / 1个月以前发布,68,"11,031元/平"
近市场 精装修 2015年房子 近快轨站 采光好 拎包入住,正源吉祥e家祥福园 -城润,2室1厅 | 75.21平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,89.7,"11,927元/平"
万成御园两室一厅南北朝向中间楼层精装修好房诚意卖,万成御园 -甘井子,2室2厅 | 85.97平米 | 南 北 | 精装 | 中楼层(共30层)  | 板楼,9人关注 / 4个月以前发布,127.5,"14,831元/平"
