标题,开发商,房子信息,发布信息,售价/万,单价
适合老年人居住。一楼带花园不潮湿,广信四季家园 -贵阳北站,3室1厅 | 90.6平米 | 南 | 其他 | 低楼层(共7层)  | 板塔结合,0人关注 / 21天以前发布,58.8,"6,491元/平"
坐拥观山湖公园  观湖大户型 带车位 诚心出售,金元国际新城北区 -观山湖公园,3室2厅 | 139.52平米 | 东南 | 简装 | 高楼层(共11层)  | 板塔结合,8人关注 / 7个月以前发布,173,"12,400元/平"
产权清晰   交通便利   配套设施齐全,龙宇苑 -世纪城,3室2厅 | 111.26平米 | 东南 | 毛坯 | 中楼层(共30层)  | 塔楼,2人关注 / 7个月以前发布,89,"8,000元/平"
恒大帝景3房2厅精装修出售，可正常首付,恒大帝景 -贵阳北站,3室2厅 | 117.25平米 | 南 北 | 精装 | 中楼层(共47层)  | 暂无数据,2人关注 / 6个月以前发布,96.8,"8,256元/平"
山水黔城七组团，视野开阔，拎包入住，关门出售,山水黔城七组团 -小河山水黔城,3室1厅 | 162平米 | 东南 | 精装 | 低楼层(共16层)  | 板塔结合,0人关注 / 10个月以前发布,125,"7,717元/平"
精装修，拎包入住，大四房，带入户花园，无抵押,奥林花园 -奥体中心,4室2厅 | 152.18平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 3个月以前发布,135,"8,872元/平"
买一得二 盐务街北京华联标准三室三室,盐务街27号 -市北,3室1厅 | 79.13平米 | 西南 | 简装 | 高楼层(共8层)  | 暂无数据,4人关注 / 9个月以前发布,70,"8,847元/平"
金融城，品质住房，更有品味的家居，值得拥有点看必发,中天长岭阳光 -会展城,3室2厅 | 132平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,127人关注 / 一年前发布,128,"9,697元/平"
产权满5唯一 没有贷款 关门卖 看房有钥匙,林峰苑 -振华广场,3室1厅 | 128.87平米 | 东南 | 简装 | 高楼层(共6层)  | 板塔结合,1人关注 / 6个月以前发布,73,"5,665元/平"
产权满二 新空毛坯 户型方正 采光好 三室 有钥匙,地矿新庄 -振华广场,3室2厅 | 113.68平米 | 南 | 毛坯 | 中楼层(共14层)  | 板塔结合,0人关注 / 6个月以前发布,72,"6,334元/平"
保利公园紫薇郡毛坯4房产权满二带顶楼露台低价出售,保利·紫薇郡 -振华广场,4室2厅 | 132.56平米 | 南 | 毛坯 | 高楼层(共34层)  | 板塔结合,4人关注 / 一年前发布,83,"6,262元/平"
产权满二，顶层两层，有露台！采光好，,金锐花园 -振华广场,4室2厅 | 150.79平米 | 东 | 精装 | 高楼层(共6层)  | 板塔结合,18人关注 / 一年前发布,90,"5,969元/平"
中高楼层，视野开阔，随时看房。,世纪城龙昌苑 -世纪城,3室2厅 | 110.47平米 | 东南 | 简装 | 高楼层(共30层)  | 板塔结合,13人关注 / 8个月以前发布,87.8,"7,948元/平"
喷水池 龙港百盛 4室2厅2卫带双阳台 户型方正产权清晰,龙港百盛 -喷水池,4室2厅 | 166.92平米 | 东南 | 精装 | 中楼层(共29层)  | 板楼,8人关注 / 一年前发布,142,"8,508元/平"
师大旁临街电梯房佳苑福邸小区3室2厅1厨1卫观东山方向,佳苑福邸 -喷水池,3室2厅 | 124.82平米 | 东 | 简装 | 高楼层(共30层)  | 塔楼,8人关注 / 一年前发布,110,"8,813元/平"
小石城北湖洋房 正看湖 带顶楼大花园露台 随时看房,小石城·北湖 -市北,5室3厅 | 225.33平米 | 东 | 毛坯 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,155,"6,879元/平"
优质房源 无抵押 无尾款   随时签约,商房高第 -观山湖公园,3室2厅 | 145平米 | 东南 | 简装 | 中楼层(共25层)  | 板楼,3人关注 / 一年前发布,110,"7,587元/平"
【国际城】顶楼跃层，产权满五唯一，有20平露台,国际城B组团 -太慈桥,4室1厅 | 266.67平米 | 南 | 毛坯 | 高楼层(共32层)  | 塔楼,3人关注 / 一年前发布,200,"7,500元/平"
广大城+奥特莱斯旁+观山湖旁+新小区现房,广大城青山映水上城 -清镇,4室2厅 | 154.96平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 3个月以前发布,80,"5,163元/平"
急售联排边套前后大花园别墅三层+地下室,保利春天大道 -保利温泉,5室2厅 | 263.57平米 | 东南 | 毛坯 | 3层  | 板塔结合 | 联排别墅 ,11人关注 / 6个月以前发布,226.8,"8,605元/平"
中铁逸都A区洋房璔鎹20平 精装全齐关门卖 带暖气,中铁逸都国际A区 -奥体中心,3室2厅 | 109.7平米 | 东南 | 精装 | 中楼层(共5层)  | 板塔结合,14人关注 / 一年前发布,116.8,"10,648元/平"
伊顿公馆经典户型成交火热，户型通透中间楼层采光好,绿地伊顿公馆 -南湖,4室2厅 | 126.91平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,12人关注 / 一年前发布,65,"5,122元/平"
精装房 看房方便 产证在手 产权证满年,优品道.现代城 -南湖,4室2厅 | 109.68平米 | 西 | 精装 | 高楼层(共32层)  | 塔楼,1人关注 / 1个月以前发布,93,"8,480元/平"
花溪老城区花溪公园十里河滩旁别墅,梦溪笔谈 -花溪公园,4室2厅 | 137.62平米 | 南 北 | 简装 | 低楼层(共3层)  | 暂无数据,20人关注 / 6个月以前发布,160,"11,627元/平"
贵大北区   顶楼一览无际  带地暖,贵大北区 -花溪公园,4室2厅 | 106.97平米 | 东南 | 简装 | 高楼层(共8层)  | 板塔结合,6人关注 / 11个月以前发布,80,"7,479元/平"
精装复式楼 带20平左右大阳台 产权满两年无尾款关门卖,碧园花城 -小河转盘,5室2厅 | 201.29平米 | 东 东南 | 精装 | 高楼层(共24层)  | 塔楼,14人关注 / 一年前发布,144,"7,154元/平"
观山湖区    地铁口旁    教育资源丰富,中天山水园 -观山湖公园,3室2厅 | 120.8平米 | 东 西 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,88,"7,285元/平"
出售贵阳市观山湖区碧海社区阳光香榭88平2房精装,阳光香榭 -观山湖公园,2室2厅 | 87.91平米 | 东南 | 精装 | 低楼层(共7层)  | 板楼,39人关注 / 一年前发布,76,"8,646元/平"
北大资源梦想城精装3房2厅1卫诚心出售,北大资源梦想城 -贵阳北站,3室2厅 | 99.57平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 4个月以前发布,81,"8,135元/平"
坐拥观山湖公园  观湖大户型 带车位 诚心出售,金元国际新城北区 -观山湖公园,3室2厅 | 139.52平米 | 东南 | 简装 | 高楼层(共11层)  | 板塔结合,8人关注 / 7个月以前发布,173,"12,400元/平"
师大商圈宝山北路 电梯房 书香门第 精装3室 满5年,书香门第 -师大,3室2厅 | 107平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,14人关注 / 一年前发布,82,"7,664元/平"
此房地理位置优越，采光充足，购物方便，出行便利。,北新区路149号 -大西门,3室2厅 | 124.88平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,10人关注 / 一年前发布,114.8,"9,193元/平"
普天中 央国家三室精装修无尾款随时过户,中央国际智苑  -贵阳普天,3室1厅 | 85.78平米 | 东 | 精装 | 中楼层(共34层)  | 板塔结合,0人关注 / 一年前发布,71,"8,277元/平"
优质房源 无抵押 无尾款   随时签约,商房高第 -观山湖公园,3室2厅 | 145平米 | 东南 | 简装 | 中楼层(共25层)  | 板楼,3人关注 / 一年前发布,110,"7,587元/平"
出售贵阳市观山湖区碧海社区阳光香榭88平2房精装,阳光香榭 -观山湖公园,2室2厅 | 87.91平米 | 东南 | 精装 | 低楼层(共7层)  | 板楼,39人关注 / 一年前发布,76,"8,646元/平"
中天花园，桃花园。复式楼 户型方正 3室2厅2卫,中天花园.桃花园 -中天花园,4室2厅 | 157平米 | 南 | 简装 | 高楼层(共8层)  | 板塔结合,48人关注 / 一年前发布,95,"6,051元/平"
上洲中庭洋房精装修 楼层好视野好 产权满二 随时看房,美的林城时代北区 -会展城,3室2厅 | 126.99平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,205,"16,144元/平"
9号公馆环境好配套齐全观山湖公园，业主诚心出售。,中天会展城A区 -会展城,5室1厅 | 182.83平米 | 南 北 | 简装 | 低楼层(共32层)  | 板塔结合,6人关注 / 3个月以前发布,222,"12,143元/平"
恒大中央公园D区 3室2厅 东北,恒大中央公园D区 -会展城,3室2厅 | 120.1平米 | 东北 | 简装 | 高楼层(共32层)  | 板塔结合,0人关注 / 3个月以前发布,121,"10,075元/平"
观山湖区 会展城 120㎡ 三房诚心出售,中天会展城A区 -会展城,3室1厅 | 120.14平米 | 南 北 | 简装 | 低楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,100,"8,324元/平"
房子采光充足 视野开阔 毛坯 可自行改造,观云 -中天花园,3室2厅 | 133.71平米 | 东 | 毛坯 | 高楼层(共24层)  | 板塔结合,14人关注 / 一年前发布,70,"5,236元/平"
本房小区环境好，人车分流，户型格局方正，视野开阔,优品道·优品城邦 -南湖,3室2厅 | 109.29平米 | 南 | 精装 | 低楼层(共6层)  | 塔楼,5人关注 / 一年前发布,87.6,"8,016元/平"
房屋是目前整个小区唯一一低价的房子！,恒大城 -南湖,3室2厅 | 106.66平米 | 西南 西北 | 精装 | 高楼层(共31层)  | 塔楼,2人关注 / 2个月以前发布,73.8,"6,920元/平"
兴隆城市花园单价便宜，业主诚心卖，看房方便有钥匙。,兴隆城市花園碧波居 -小河山水黔城,3室2厅 | 132.75平米 | 南 | 简装 | 中楼层(共11层)  | 塔楼,14人关注 / 7个月以前发布,73,"5,500元/平"
精装空中别墅   挑空客厅自带豪气  多媒体厅还带车位,观府壹号四组团 -新世界,4室2厅 | 193.06平米 | 东南 南 | 精装 | 高楼层(共32层)  | 板塔结合,48人关注 / 5个月以前发布,258,"13,364元/平"
采光充足，户型方正，环境优美，诚心出售,金阳新世界山临境 -新世界,4室2厅 | 139.07平米 | 西南 | 精装 | 低楼层(共22层)  | 板塔结合,12人关注 / 10个月以前发布,136,"9,780元/平"
在碧海社区位置好，出门就是市政主干道，交通方便。,碧海社区听涛园小区 -观山湖公园,3室2厅 | 112.8平米 | 东南 | 精装 | 低楼层(共6层)  | 板塔结合,3人关注 / 一年前发布,80,"7,093元/平"
俊发城精装3室，产权满2年，可看湖，一湖三公园,俊发城 -会展城,3室2厅 | 96平米 | 南 | 简装 | 高楼层(共32层)  | 板楼,1人关注 / 1个月以前发布,78,"8,125元/平"
房子户型通透，电梯高层，小区绿化高，车位充足。,观云 -中天花园,3室2厅 | 121.14平米 | 东南 | 毛坯 | 中楼层(共24层)  | 板塔结合,0人关注 / 一年前发布,92,"7,595元/平"
转盘经典小跃层，带楼顶花园，满两年,碧园花城 -小河转盘,4室3厅 | 56.95平米 | 南 北 | 简装 | 高楼层(共26层)  | 塔楼,9人关注 / 一年前发布,78,"13,697元/平"
新装修未入住，直接出售，到手后直接入住,中铁逸都国际A区 -奥体中心,3室2厅 | 115.47平米 | 西南 | 精装 | 中楼层(共5层)  | 板塔结合,34人关注 / 一年前发布,125,"10,826元/平"
省政府市北路《保利-云山国际》大户型阳台＋保姆房,保利·云山国际 -鹿冲关,5室2厅 | 235平米 | 南 | 毛坯 | 中楼层(共33层)  | 塔楼,14人关注 / 一年前发布,238,"10,128元/平"
二改三户型 有车位 带装修 高楼层 视野广,龙凯苑 -世纪城,2室1厅 | 100.11平米 | 东南 | 精装 | 高楼层(共25层)  | 塔楼,3人关注 / 一年前发布,80,"7,992元/平"
纯毛坯 房屋视野很好 采光充足 房东诚心出售 产权满二,万科新都荟 -贵阳普天,4室2厅 | 139.46平米 | 南 | 毛坯 | 中楼层(共8层)  | 板塔结合,8人关注 / 6个月以前发布,150,"10,756元/平"
小石城 6室2厅 南 北,小石城 -市北,6室2厅 | 205平米 | 南 北 | 精装 | 高楼层(共8层)  | 板塔结合,0人关注 / 5个月以前发布,126,"6,147元/平"
小高层洋房复式，精装修产权满二，无贷款,江南苑(花溪区) -小河转盘,4室2厅 | 197.04平米 | 东南 | 精装 | 高楼层(共6层)  | 塔楼,0人关注 / 3个月以前发布,120,"6,091元/平"
业主诚心出售，看房方便标准三房两厅两卫,中铁逸都国际B区 -奥体中心,3室2厅 | 117.49平米 | 东南 | 精装 | 高楼层(共30层)  | 板楼,2人关注 / 一年前发布,121,"10,299元/平"
产权清晰，随时过户，价格好商议,观府壹号四组团 -新世界,3室2厅 | 134.99平米 | 南 | 毛坯 | 低楼层(共18层)  | 板塔结合,14人关注 / 一年前发布,143,"10,594元/平"
中大国际优质方正大四房 看房有钥匙 产权清晰 环境好,中大国际广场 -市北,4室2厅 | 144.35平米 | 南 北 | 其他 | 高楼层(共42层)  | 塔楼,0人关注 / 1个月以前发布,155,"10,738元/平"
地铁好房，装修好 交通便利产权清晰，随时签,美树阳光 -望城坡,3室2厅 | 134.16平米 | 南 | 其他 | 低楼层(共11层)  | 板塔结合,0人关注 / 29天以前发布,94.8,"7,067元/平"
碧园溪林 5室2厅 西,碧园溪林 -师大,5室2厅 | 170.52平米 | 西 | 其他 | 中楼层(共8层)  | 板楼,0人关注 / 24天以前发布,115,"6,745元/平"
龚家寨方正小三室  可正常首付  业主诚心出售,龚西路 -大山洞,3室1厅 | 65.49平米 | 南 | 其他 | 高楼层(共8层)  | 板楼,0人关注 / 25天以前发布,32,"4,887元/平"
银海元隆广场 5室2厅 南,银海元隆广场 -市北,5室2厅 | 157.43平米 | 南 | 其他 | 高楼层(共35层)  | 板楼,0人关注 / 20天以前发布,282,"17,913元/平"
花果园R1区 3室2厅 西,花果园R1区 -花果园,3室2厅 | 123.02平米 | 西 | 其他 | 中楼层(共42层)  | 塔楼,0人关注 / 17天以前发布,85,"6,910元/平"
佳园小区 2室1厅 东南,佳园小区 -蟠桃宫,2室1厅 | 63.29平米 | 东南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 29天以前发布,48.8,"7,711元/平"
全新精装 家具家电全齐 关门卖 满二,世纪城龙祺苑 -世纪城,3室2厅 | 115.48平米 | 南 北 | 其他 | 高楼层(共33层)  | 塔楼,0人关注 / 26天以前发布,106,"9,180元/平"
兴隆城市花园桃源居保养好精装三房,兴隆城市花园 -小河山水黔城,3室2厅 | 118.58平米 | 东南 | 其他 | 低楼层(共6层)  | 暂无数据,1人关注 / 29天以前发布,72,"6,072元/平"
阅山公馆 3室2厅 西南 东北,阅山公馆 -阅山湖,3室2厅 | 119.43平米 | 西南 东北 | 毛坯 | 高楼层(共33层)  | 板塔结合,1人关注 / 5天以前发布,120,"10,048元/平"
美的林城时代南区 看梧桐大道产权满二 户型方正采光好,美的林城时代南区 -会展城,4室2厅 | 131平米 | 南 | 简装 | 高楼层(共32层)  | 板楼,0人关注 / 7天以前发布,184,"14,046元/平"
翡翠湾 5室3厅 南,翡翠湾 -振华广场,5室3厅 | 258.36平米 | 南 | 精装 | 低楼层(共1层)  | 暂无数据,0人关注 / 8天以前发布,318,"12,309元/平"
未来方舟F11组团 3室1厅 南,未来方舟F11组团 -大营坡,3室1厅 | 110.63平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 6天以前发布,81,"7,322元/平"
优质地段精装房源、采光好、拎包入住。,中天花园茶花园 -中天花园,4室2厅 | 173平米 | 西南 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 8天以前发布,130,"7,515元/平"
贵阳北站旁   产权满二   房东诚心出售,俊发城 -会展城,3室2厅 | 86平米 | 东 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 6天以前发布,73,"8,489元/平"
精装满二带车位，装修没有入住过，领包入住,中天富茂轩 -会展城,4室2厅 | 184平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 6天以前发布,250,"13,587元/平"
蛮坡欣歆园步梯 精装3房 产权清晰可按揭 随时过户,欣歆园 -市北,4室1厅 | 135平米 | 东南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 6天以前发布,88,"6,519元/平"
春暉苑小区 4室1厅 东南 南,春暉苑小区 -阿哈湖,4室1厅 | 138平米 | 东南 南 | 毛坯 | 中楼层(共30层)  | 板塔结合,0人关注 / 2天以前发布,70,"5,073元/平"
火车站区域品质电梯房产权满二房子户型方正视野开阔,花香南城 -火车站,3室2厅 | 110平米 | 东南 | 其他 | 高楼层(共12层)  | 板塔结合,0人关注 / 5天以前发布,78,"7,091元/平"
中天学海轩 3室2厅 南,中天学海轩 -会展城,3室2厅 | 130平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 2天以前发布,117,"9,000元/平"
真正生活在公园旁边的房子，天然氧吧适合居家养老,远大生态风景 -高新区,3室2厅 | 129平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 7天以前发布,128,"9,923元/平"
精装三房，步梯四楼，小区绿化好，空气清新，看房方便,兴隆城市花园 -小河山水黔城,3室1厅 | 103.33平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 2天以前发布,70,"6,775元/平"
优品精装四房两厅两卫，家电齐全配套设施齐全交通便利,优品道.现代城 -南湖,4室2厅 | 109平米 | 东南 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 7天以前发布,100,"9,175元/平"
龙门大厦 4室2厅 东南,龙门大厦 -大西门,4室2厅 | 167.75平米 | 东南 | 简装 | 高楼层(共25层)  | 板塔结合,0人关注 / 5天以前发布,96,"5,723元/平"
花果园U区 精装修三房 产权满二无尾款 诚心出售,花果园U区 -花果园,3室2厅 | 101.34平米 | 东南 | 精装 | 中楼层(共45层)  | 板塔结合,0人关注 / 6天以前发布,70,"6,908元/平"
急售中铁逸都一楼带大花园洋房，看房提前联系,中铁逸都国际F区 -奥体中心,3室2厅 | 135.63平米 | 南 | 毛坯 | 低楼层(共7层)  | 板楼,0人关注 / 6天以前发布,245,"18,064元/平"
龙凯苑小三房80万接受贷款诚心出售随时看房正常首付,龙凯苑 -世纪城,3室2厅 | 111.18平米 | 南 | 简装 | 中楼层(共33层)  | 塔楼,0人关注 / 3天以前发布,80,"7,196元/平"
龙慧苑景观带阳光房 中间楼层 诚心出售,龙慧苑 -世纪城,3室1厅 | 139平米 | 南 北 | 简装 | 中楼层(共25层)  | 板塔结合,0人关注 / 3天以前发布,106,"7,626元/平"
优品道·优品城邦 3室2厅 西,优品道·优品城邦 -南湖,3室2厅 | 124平米 | 西 | 精装 | 中楼层(共29层)  | 板楼,0人关注 / 7天以前发布,85.8,"6,920元/平"
群升大智汇思雅郡C组团5-2-1-3 187.00m²,群升大智汇思雅郡C组团 -花溪大学城,5室2厅 | 187平米 | 南 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 2天以前发布,145,"7,755元/平"
世纪城 小湾河 南北朝向 带车位,龙凯苑 -世纪城,3室2厅 | 108平米 | 南 北 | 简装 | 低楼层(共33层)  | 塔楼,0人关注 / 3天以前发布,90,"8,334元/平"
简单装修，满五不唯一，无尾款，楼层低，适合老人居住,中天帝景传说A区 -奥体中心,3室2厅 | 128.12平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 2天以前发布,106,"8,274元/平"
万科新都荟 4室2厅 南,万科新都荟 -贵阳普天,4室2厅 | 104.31平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 2天以前发布,115,"11,025元/平"
地铁口大四房，简装小高层，带个车位，诚心出售,碧海乾图花园 -观山湖公园,4室2厅 | 149.19平米 | 东南 | 简装 | 中楼层(共12层)  | 板楼,0人关注 / 5天以前发布,115,"7,709元/平"
碧海花园观山西路站精装修大3室拎包入住,金海苑 -观山湖公园,3室1厅 | 144.84平米 | 南 | 精装 | 低楼层(共11层)  | 塔楼,1人关注 / 刚刚发布,95,"6,559元/平"
房东急售  满二 毛坯3房  中间楼层,广大城青山映水上城 -清镇,3室2厅 | 107.81平米 | 东南 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 3天以前发布,58,"5,380元/平"
筑新巷13号 3室1厅 南 北,筑新巷13号 -大营坡,3室1厅 | 74.5平米 | 南 北 | 简装 | 中楼层(共7层)  | 塔楼,0人关注 / 3天以前发布,56,"7,517元/平"
花果园一期，精装三房，产权满五，地铁口，景观房,花果园一期 -花果园,3室2厅 | 100平米 | 东南 | 其他 | 低楼层(共37层)  | 塔楼,0人关注 / 3天以前发布,118,"11,800元/平"
康家楠荞苑 5室2厅 南 北,康家楠荞苑 -花果园,5室2厅 | 160平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 6天以前发布,98,"6,125元/平"
龙泉苑；大四房，带车位，价格合理，接受贷款,世纪城龙泉苑西区 -世纪城,4室1厅 | 149.8平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,0人关注 / 2天以前发布,112,"7,477元/平"
广大丽城耀镜+新小区+奥特莱斯+观山湖旁,广大丽城耀境 -清镇,3室2厅 | 107平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 暂无数据,0人关注 / 4天以前发布,61.8,"5,776元/平"
产权不满二房东诚心出售精装修带地暖万科物业品质好,万科理想城 -阅山湖,3室2厅 | 99平米 | 东南 | 精装 | 低楼层(共34层)  | 板塔结合,0人关注 / 1天以前发布,95,"9,596元/平"
美的林城时代北区 3室2厅 南 北,美的林城时代北区 -会展城,3室2厅 | 135平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 4天以前发布,310,"22,963元/平"
出售中天会展城A区121平米3房精装产权满二年,中天会展城A区 -会展城,3室2厅 | 121平米 | 东南 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 3天以前发布,112,"9,257元/平"
观山湖区远大二期观景房，朝观山湖公园,远大生态风景 -高新区,3室1厅 | 117平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,0人关注 / 4天以前发布,140,"11,966元/平"
万科新都荟 精装洋房带30平米露台  诚心出售,万科新都荟 -贵阳普天,3室2厅 | 124.83平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 3天以前发布,166,"13,299元/平"
满五唯一，精装带暖气4房，实木装修，带车位，关门卖,中天会展城A区 -会展城,4室2厅 | 169平米 | 东南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 3天以前发布,195,"11,539元/平"
广  大  丽   城  耀  境  19 地,广大丽城耀境 -清镇,3室2厅 | 113.77平米 | 南 北 | 其他 | 中楼层(共26层)  | 暂无数据,0人关注 / 22天以前发布,71.5,"6,285元/平"
远大三房关门出售中，满五唯一，下楼就是观山湖公园,远大生态风景 -高新区,3室2厅 | 122.04平米 | 南 | 其他 | 低楼层(共33层)  | 板塔结合,0人关注 / 27天以前发布,130,"10,653元/平"
碧海花园 中天山水园 简装3室两厅两卫  诚心出售,中天山水园 -观山湖公园,3室1厅 | 131.15平米 | 东南 | 其他 | 低楼层(共6层)  | 板塔结合,0人关注 / 22天以前发布,97,"7,397元/平"
天誉城 精装修 顶楼复式房 y空中花园,天誉城 -鹿冲关,5室2厅 | 172.6平米 | 南 北 | 其他 | 高楼层(共32层)  | 塔楼,0人关注 / 25天以前发布,223,"12,921元/平"
房子精装修 产权满二采光好 前后视野无遮挡  产权清晰,绿地伊顿公馆 -南湖,4室2厅 | 126.91平米 | 南 | 其他 | 低楼层(共33层)  | 板塔结合,1人关注 / 23天以前发布,80,"6,304元/平"
产权满二   户型布局合理    清爽装修   房东急售,中环国际 -清镇,3室2厅 | 104.49平米 | 东南 | 其他 | 低楼层(共32层)  | 塔楼,0人关注 / 23天以前发布,53.6,"5,130元/平"
白云区步行街泰和花园大户型大花园房出售,泰和花园(建设南路) -白云公园,5室2厅 | 210平米 | 东 东南 | 简装 | 高楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,150,"7,143元/平"
中天托斯卡纳 24组团联排别墅有花园车位 产权满5年,中天 · 托斯卡纳24组团 -南湖,4室2厅 | 170平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 板塔结合,0人关注 / 28天以前发布,180,"10,589元/平"
房子是中天花园的独栋别墅，满二，诚心卖,中天花园御熙谷 -中天花园,5室2厅 | 345平米 | 东南 西北 | 简装 | 低楼层(共2层)  | 暂无数据,0人关注 / 20天以前发布,1035,"30,000元/平"
运营官推荐， 金融城的·边户别墅,中天君廷 -会展城,5室3厅 | 317.99平米 | 南 | 毛坯 | 低楼层(共3层)  | 暂无数据,0人关注 / 29天以前发布,750,"23,586元/平"
蟠桃宫精装大两室 产权清晰 可贷款,佳园小区 -蟠桃宫,2室1厅 | 60.75平米 | 东南 | 精装 | 低楼层(共7层)  | 板楼,1人关注 / 4个月以前发布,39.8,"6,552元/平"
精装修，采光充足，还带衣帽间，适合美丽漂亮的你。,花果园T1区 -花果园,3室1厅 | 99.97平米 | 东南 | 精装 | 中楼层(共45层)  | 塔楼,2人关注 / 7个月以前发布,70,"7,003元/平"
地铁二号线丽水铭苑联排别墅车位车库花园产权满五年,丽水铭苑别墅区 -南湖,7室3厅 | 321.75平米 | 南 北 | 毛坯 | 3层  | 板塔结合 | 联排别墅 ,0人关注 / 22天以前发布,486,"15,105元/平"
威清路延安北巷地铁口2室1厅出售,延安北巷15号 -大西门,2室1厅 | 70.48平米 | 南 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,49.8,"7,066元/平"
沐风园精装温馨两室，拎包去住，带空调,兴隆城市花园沐风园 -小河山水黔城,2室1厅 | 86.84平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,0人关注 / 30天以前发布,65,"7,486元/平"
带2个花园55平，业主诚心出售，有钥匙，看房方便。,花果园B北区 -花果园,2室2厅 | 95.72平米 | 东南 | 精装 | 低楼层(共43层)  | 板塔结合,0人关注 / 26天以前发布,86,"8,985元/平"
精品小跃层，精装修，拎包入住，生活无忧,南湖郡一期 -南湖,2室1厅 | 102.92平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,0人关注 / 26天以前发布,84,"8,162元/平"
南明河视野河景房 S一号线锦江路站 万达广场 小河转盘,兴隆城市花园沐风园 -小河山水黔城,2室1厅 | 80.02平米 | 东 | 精装 | 高楼层(共18层)  | 塔楼,0人关注 / 27天以前发布,68,"8,498元/平"
南明河旁电建一公司简装两房可贷款可租可售随时看,电建一公司四方河小区 -小河转盘,2室2厅 | 76.3平米 | 东南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 23天以前发布,38,"4,981元/平"
出售泉天下·泉城首 府2-2-1 68.00m²精装修,泉天下·泉城首府 -振华广场,2室1厅 | 67.83平米 | 南 | 精装 | 低楼层(共34层)  | 板塔结合,0人关注 / 20天以前发布,59.98,"8,843元/平"
美的林城时代，精装两房诚意出售,美的林城时代南区 -会展城,2室1厅 | 88.9平米 | 东南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 26天以前发布,92,"10,349元/平"
省医亨特国际蟠桃宫大两房诚心出售！,圣沣8.9号温馨家园 -蟠桃宫,2室1厅 | 84.93平米 | 南 北 | 简装 | 高楼层(共8层)  | 塔楼,0人关注 / 24天以前发布,52,"6,123元/平"
花溪公园门口、花二 小旁：平安小区步梯二楼急卖,花溪公园平安小区 -花溪公园,2室1厅 | 82.22平米 | 南 北 | 简装 | 中楼层(共5层)  | 板塔结合,0人关注 / 27天以前发布,49.8,"6,057元/平"
急售 北京路贵阳医学院门口 步梯3楼 税费低,贵医附院宿舍楼 -喷水池,2室1厅 | 80.14平米 | 东南 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 22天以前发布,70,"8,735元/平"
此房满二 无抵押 产权清晰无纠纷 看房方便,大将院落 -花溪公园,2室2厅 | 82.28平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 24天以前发布,45,"5,470元/平"
