标题,开发商,房子信息,发布信息,售价/万,单价
清江嘉园 4室2厅 南,清江嘉园 -钱清,4室2厅 | 188.49平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 16天以前发布,355,"18,834元/平"
百盛街三居室出售 房东诚意出售,百盛街 -斗门,3室2厅 | 143.5平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,168,"11,708元/平"
毛坯房顶带阁，按照自己喜好装修，大五房，阳台可种花,鸿通金都公寓 -两湖,5室2厅 | 146平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,112,"7,672元/平"
头排全天太阳，中上楼层，视野开阔，采光充足,中海·世纪公館 -斗门,3室2厅 | 87.52平米 | 南 | 简装 | 低楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,155,"17,711元/平"
"永和锦绣四明独栋别墅,风景秀丽交通便利",锦绣四明 -未知商圈,6室2厅 | 482.95平米 | 南 | 毛坯 | 低楼层(共2层)  | 暂无数据,0人关注 / 7个月以前发布,1138,"23,564元/平"
凤鸣山庄 5室2厅 南,凤鸣山庄 -上虞城南,5室2厅 | 197.56平米 | 南 | 精装 | 高楼层(共4层)  | 板楼,3人关注 / 5个月以前发布,198,"10,023元/平"
美地馨园排屋，双拼大花园，实用面积很大,美地馨园 -未知商圈,5室2厅 | 270平米 | 南 | 其他 | 4层  | 板楼 | 双拼别墅 ,1人关注 / 5个月以前发布,318,"11,778元/平"
西边套，3开间朝南，间间带窗，视线开阔，小区品质高,中海·世纪公館 -斗门,3室2厅 | 97平米 | 南 | 毛坯 | 高楼层(共27层)  | 板楼,0人关注 / 4个月以前发布,162,"16,702元/平"
视野开阔阳光充足。真正的地铁口，交通便利,海樾府西区 -镜湖,5室2厅 | 259.74平米 | 南 东 | 毛坯 | 3层  | 暂无数据 | 联排别墅 ,0人关注 / 2个月以前发布,2100,"80,851元/平"
东昌公寓  大平方 单价低  实用面积大 房东诚心出售,东昌公寓 -两湖,3室2厅 | 180.82平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,167,"9,236元/平"
双层沿河大面积，采光好。视野广，无遮挡，拎包入住,后墅坊 -镜湖,5室2厅 | 241平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,368,"15,270元/平"
小区物业好，环境好，户型好，南北敞亮 视野好,亲亲家园南区 -斗门,3室2厅 | 142.8平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 9个月以前发布,280,"19,608元/平"
东昌公寓 精装修顶楼带阁楼的 房东诚心出售,东昌公寓 -两湖,4室2厅 | 190平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,14人关注 / 一年前发布,145,"7,632元/平"
柯桥金融商务区，宝龙万达广场边，自带4万方商场,祥生群贤府御园 -柯北,4室2厅 | 122.58平米 | 南 | 毛坯 | 中楼层(共27层)  | 板楼,2人关注 / 3个月以前发布,258,"21,048元/平"
位于城南繁华地段，交通方便、楼层好 视野好 采光,金昌白鹭金湾 -嵊州城南,4室2厅 | 186.29平米 | 南 | 毛坯 | 高楼层(共33层)  | 暂无数据,5人关注 / 8个月以前发布,245,"13,152元/平"
翡翠御府，毛坯，户型好，采光好,翡翠御府 -城北新区,4室2厅 | 160平米 | 南 | 毛坯 | 高楼层(共25层)  | 暂无数据,3人关注 / 6个月以前发布,410,"25,625元/平"
小区绿化环境优美，物业管理好，视野宽阔，采光充..,金昌白鹭金湾 -嵊州城南,4室2厅 | 221平米 | 南 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 2个月以前发布,360,"16,290元/平"
稽山翡翠园 5室2厅 南,稽山翡翠园 -城南,5室2厅 | 309.43平米 | 南 | 毛坯 | 2层  | 板塔结合 | 联排别墅 ,0人关注 / 3个月以前发布,825,"26,662元/平"
边套户型，楼层号，采光好，诚心出售,绿姿公寓 -孙端,3室1厅 | 135平米 | 南 北 | 毛坯 | 高楼层(共15层)  | 板楼,0人关注 / 1个月以前发布,130,"9,630元/平"
越中新天地 3室2厅 东 南 北,越中新天地 -两湖,3室2厅 | 182平米 | 东 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,6人关注 / 4个月以前发布,122,"6,704元/平"
看房方便有钥匙，诚意出售，带双层地下室,亚厦江与城 -城北新区,5室3厅 | 245平米 | 南 | 毛坯 | 3层  | 板楼 | 联排别墅 ,0人关注 / 3个月以前发布,878,"35,837元/平"
城东君悦龙山，采光好，配套齐全,阳光城君悦龙山 -上虞城南,5室2厅 | 256平米 | 南 | 毛坯 | 3层  | 暂无数据 | 联排别墅 ,7人关注 / 一年前发布,818,"31,954元/平"
金地艺境  地铁口 大4房  位置好， 采光好,绍兴艺境 -斗门,4室2厅 | 128平米 | 西南 | 毛坯 | 低楼层(共11层)  | 板楼,0人关注 / 3个月以前发布,218,"17,032元/平"
绍兴艺境 3室2厅 南 北,绍兴艺境 -斗门,3室2厅 | 89平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,145,"16,293元/平"
环境优美，交通便利，物业管理好，精装修，户型好遮拦,宏大文汇园 -斗门,2室2厅 | 115平米 | 东南 | 简装 | 中楼层(共6层)  | 平房,0人关注 / 3个月以前发布,127,"11,044元/平"
袍江百合花园采光充足，户型方正，可拎包入住,益泉·世纪广场百合花园 -斗门,3室2厅 | 129.76平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,0人关注 / 3个月以前发布,188,"14,489元/平"
两湖高品质小区，排屋前后带花园，全新毛坯位置好,中冶梧桐园 -两湖,6室2厅 | 223.2平米 | 南 | 毛坯 | 3层  | 板塔结合 | 联排别墅 ,0人关注 / 2个月以前发布,660,"29,570元/平"
此房满五唯一，格局好，视野好。。。。,盛世名苑 -迪荡,4室2厅 | 174.5平米 | 南 | 毛坯 | 高楼层(共24层)  | 板塔结合,11人关注 / 一年前发布,370,"21,204元/平"
房子盖在公园里 背后就是攀岩管 边套产证面积大户型正,金玉园 -齐贤,4室2厅 | 247平米 | 南 | 毛坯 | 3层  | 平房 | 联排别墅 ,2人关注 / 9个月以前发布,750,"30,365元/平"
绿城玫瑰园，环境优美，小区绿化高，适合养老,绿城玫瑰园 -新昌县,4室3厅 | 321.91平米 | 南 北 | 毛坯 | 低楼层(共2层)  | 暂无数据,5人关注 / 一年前发布,325,"10,096元/平"
独立别墅，带大花园，小区环境幽雅，空气清新,绿城玫瑰园 -新昌县,4室2厅 | 490平米 | 南 | 毛坯 | 3层  | 暂无数据 | 独栋别墅 ,6人关注 / 一年前发布,800,"16,327元/平"
绿城桂花苑，面积大，户型周正，采光充足，装修好,绿城桂花园 -上虞城北,4室2厅 | 206.7平米 | 南 | 精装 | 中楼层(共5层)  | 板塔结合,29人关注 / 一年前发布,355,"17,175元/平"
兴越西区地铁口视野宽阔，采光充足，配套设施齐全。,兴越西区 -蓝天,5室2厅 | 161.94平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,7人关注 / 一年前发布,218,"13,462元/平"
此房为排屋，小区闹中取静，采光充足视野开阔,润和天地小区 -迪荡,5室2厅 | 245平米 | 东南 南 | 简装 | 4层  | 板楼 | 联排别墅 ,1人关注 / 4个月以前发布,880,"35,919元/平"
毛坯跃层，随意装修，看房方便有钥匙，满两年诚心卖,御景华庭五期北区 -迪荡,5室2厅 | 251.01平米 | 南 北 | 毛坯 | 高楼层(共40层)  | 板塔结合,0人关注 / 4个月以前发布,550,"21,912元/平"
海德景园优质大面积房，业主诚意出售,建屋海德景园 -上虞北其他,4室2厅 | 134.24平米 | 南 | 毛坯 | 中楼层(共26层)  | 塔楼,1人关注 / 7个月以前发布,183,"13,633元/平"
玫瑰园全新装修，带阁楼露台，带车棚,玫瑰園 -城东,5室2厅 | 137.78平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,4人关注 / 一年前发布,235,"17,057元/平"
房子盖在公园里 背后就是攀岩管 边套产证面积大户型正,金玉园 -齐贤,4室2厅 | 247平米 | 南 | 毛坯 | 3层  | 平房 | 联排别墅 ,2人关注 / 9个月以前发布,750,"30,365元/平"
搞端小区，配套齐全，环境优美。有大花园,绿城龙山玫瑰园 -上虞城南,6室3厅 | 496.79平米 | 南 | 毛坯 | 低楼层(共2层)  | 暂无数据,4人关注 / 一年前发布,1930,"38,850元/平"
两湖高品质小区，排屋前后带花园，全新毛坯位置好,中冶梧桐园 -两湖,6室2厅 | 223.2平米 | 南 | 毛坯 | 3层  | 板塔结合 | 联排别墅 ,0人关注 / 2个月以前发布,660,"29,570元/平"
此房采光好，楼层好，结构合理，成熟小区，交通便利。,万达水岸一号 -上虞万达,4室2厅 | 139平米 | 南 | 毛坯 | 低楼层(共25层)  | 板塔结合,1人关注 / 4个月以前发布,298,"21,439元/平"
楼层好，采光足，精装修，足不出户就找到好房。。。。,天际府 -镜湖,3室2厅 | 121.01平米 | 南 | 精装 | 中楼层(共24层)  | 暂无数据,0人关注 / 1个月以前发布,378,"31,238元/平"
房东诚心出售，小区环境优美，双花园，,龙山望府 -上虞城南,4室2厅 | 303.98平米 | 南 | 毛坯 | 3层  | 暂无数据 | 联排别墅 ,3人关注 / 一年前发布,698,"22,963元/平"
房屋是精装修，本幢位置好，出行便利，随时看房,鉴湖景园 -万达,5室2厅 | 265.67平米 | 南 | 精装 | 3层  | 板楼 | 联排别墅 ,4人关注 / 一年前发布,719,"27,064元/平"
西边套带大花园，诚心出售，看房有钥匙。,万晟悦府 -平水,5室2厅 | 362平米 | 南 西 | 毛坯 | 低楼层(共3层)  | 暂无数据,5人关注 / 一年前发布,520,"14,365元/平"
山水名家  大平层4房  有车位  配套齐全采光充足,山水名家 -城北,4室2厅 | 170平米 | 南 | 毛坯 | 高楼层(共32层)  | 板楼,3人关注 / 9个月以前发布,442,"26,000元/平"
城北江与城联排急卖  全新毛坯 大花园 交通便利,亚厦江与城 -城北新区,4室2厅 | 199.5平米 | 南 北 | 毛坯 | 3层  | 板楼 | 联排别墅 ,1人关注 / 6个月以前发布,690,"34,587元/平"
桃花源山庄大平方双拼别墅。。。。。。。,桃花源山庄 -越城,5室3厅 | 235平米 | 南 | 毛坯 | 3层  | 板楼 | 双拼别墅 ,2人关注 / 一年前发布,425,"18,086元/平"
舜杰公寓，装修干净，采光很好，电梯房。。。。。,舜杰公寓 -开发区,4室2厅 | 241.56平米 | 南 | 简装 | 高楼层(共9层)  | 板楼,2人关注 / 一年前发布,240,"9,936元/平"
中间楼层，采光好，双阳台，使用面积大,永成天御湾 -两湖,3室2厅 | 89平米 | 南 | 毛坯 | 中楼层(共28层)  | 板塔结合,0人关注 / 1个月以前发布,175,"19,663元/平"
户型设计合理，使用率高，浪费空间小，采光充足,九城御两湖 -两湖,4室2厅 | 205平米 | 南 | 毛坯 | 高楼层(共7层)  | 板楼,1人关注 / 4个月以前发布,350,"17,074元/平"
锦江半岛排屋毛坯，房东诚心出售，带车位！,锦江半岛 -斗门,5室2厅 | 262平米 | 南 | 毛坯 | 4层  | 板楼 | 联排别墅 ,6人关注 / 一年前发布,490,"18,703元/平"
梧桐园 大平层湖景 边套 视野采光好 居住舒适,中冶梧桐园 -两湖,4室2厅 | 191.66平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,5人关注 / 5个月以前发布,345,"18,001元/平"
此房采光无影响！头牌房次顶楼！,中海·世纪公館 -斗门,3室2厅 | 98平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 一年前发布,160,"16,327元/平"
中冶梧桐园 毛坯排屋 东边套 毛坯交付,中冶梧桐园 -两湖,5室2厅 | 244平米 | 南 | 毛坯 | 3层  | 板塔结合 | 联排别墅 ,7人关注 / 一年前发布,800,"32,787元/平"
越秀花园 总高三层 带屋顶有露台 临河精装修,越秀花园 -城东,5室2厅 | 251平米 | 南 北 | 精装 | 高楼层(共4层)  | 暂无数据,4人关注 / 9个月以前发布,355,"14,144元/平"
满五唯一，不靠马路，利用率高，有露台  有车棚,越中新天地 -两湖,4室2厅 | 155平米 | 东 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,2人关注 / 5个月以前发布,120,"7,742元/平"
采光好，户型方正，配套齐全，生活便利,银河湾 -上虞城南,4室2厅 | 212平米 | 南 | 毛坯 | 3层  | 板塔结合 | 联排别墅 ,8人关注 / 一年前发布,628,"29,623元/平"
诚心出售  双联排  采光好 位置佳,山水名家 -城北,5室2厅 | 298.53平米 | 南 | 毛坯 | 3层  | 暂无数据,3人关注 / 9个月以前发布,1050,"35,173元/平"
南岸花园东区 毛坯 高层 楼梯房,星元南岸花园东区 -斗门,3室2厅 | 115.26平米 | 南 | 毛坯 | 高楼层(共6层)  | 板塔结合,0人关注 / 3个月以前发布,172,"14,923元/平"
西湖湿地和万达商场旁边，刚交付新小区,祥生西湖公馆 -诸暨城东,5室3厅 | 197平米 | 南 | 毛坯 | 低楼层(共3层)  | 板塔结合,0人关注 / 1个月以前发布,690,"35,026元/平"
楼层好，阳光充足，小区无物业费,宏大美安居 -两湖,3室2厅 | 100平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板塔结合,1人关注 / 1个月以前发布,90,"9,000元/平"
此房朝南，采光好，四室二厅四卫一厨，花园大,宝华海滨庄园 -上虞北其他,4室2厅 | 353.31平米 | 南 | 精装 | 低楼层(共2层)  | 暂无数据,0人关注 / 9个月以前发布,1030,"29,153元/平"
袍江繁华地段，中间楼层， 小户型 。总价低 。小三房,绍兴艺境 -斗门,3室2厅 | 87.12平米 | 东南 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 3个月以前发布,170,"19,514元/平"
名城阳光园顶楼，采光好，交通方便，125万,名城阳光园 -斗门,3室2厅 | 114平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,119,"10,439元/平"
城站国际全新毛坯带车位，诚心出售，随时看房,城站国际广场 -上虞北其他,4室2厅 | 246平米 | 南 | 毛坯 | 3层  | 板塔结合 | 联排别墅 ,5人关注 / 一年前发布,508,"20,651元/平"
松下镇汇丰花园复式好房出售，五年外唯一,汇丰花园 -上虞北其他,5室3厅 | 142平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,30人关注 / 一年前发布,145,"10,212元/平"
此小区为别墅小区，小区内环境优美，绿化覆盖率高,澜海半岛庄园度假酒店 -上虞北其他,6室3厅 | 356.18平米 | 南 北 | 毛坯 | 低楼层(共2层)  | 暂无数据,4人关注 / 一年前发布,473.8,"13,303元/平"
檀宫.地段佳.采光好.花香鸟语.............,檀宫 -开发区,4室2厅 | 221平米 | 南 | 精装 | 2层  | 暂无数据 | 联排别墅 ,5人关注 / 一年前发布,468.8,"21,213元/平"
御和圆，大平层，中上楼层，东边套，看房方便,御和园 -镜湖,4室2厅 | 254平米 | 南 | 毛坯 | 中楼层(共8层)  | 板楼,17人关注 / 一年前发布,760,"29,922元/平"
金昌新小区  复式 五室二厅三卫      280,金昌白鹭金湾 -嵊州城南,5室2厅 | 215平米 | 南 | 毛坯 | 高楼层(共32层)  | 暂无数据,5人关注 / 5个月以前发布,280,"13,024元/平"
好房出售 户型方正  阳光好 楼间距宽,绍兴艺境 -斗门,4室2厅 | 128平米 | 南 | 毛坯 | 低楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,200,"15,625元/平"
全新装修一天未住，三房两卫，房东诚心出售,蔚兰星城 -斗门,3室2厅 | 100.66平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,199.8,"19,849元/平"
锦江花园跃层 房子方正  交通便利  采光好,锦江花园 -柯桥市区,4室2厅 | 172平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 10个月以前发布,590,"34,303元/平"
标准地铁口，小区环境佳，交通便利,润和庄园 -城南,5室2厅 | 199.26平米 | 南 | 精装 | 低楼层(共3层)  | 暂无数据,9人关注 / 一年前发布,460,"23,086元/平"
城西新小区 一楼花园小洋房 带地下室,世纪江湾 -诸暨城西,4室2厅 | 133平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,300,"22,557元/平"
全新毛坯，楼层好，交通方便配套齐全。,华秦铂湾 -斗门,3室2厅 | 123平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,1人关注 / 一年前发布,245,"19,919元/平"
房东保养很好，可以直接拎包入住的,亲亲家园南区 -斗门,3室1厅 | 104.7平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 3个月以前发布,162,"15,473元/平"
房子地处城南新兴小区，环境优美，交通便利,金昌白鹭金湾 -嵊州城南,4室2厅 | 143平米 | 南 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 一年前发布,180,"12,588元/平"
百合花园精装湖景房   业主急售,百合花园 -镜湖,4室2厅 | 210平米 | 南 | 精装 | 中楼层(共27层)  | 板塔结合,14人关注 / 4个月以前发布,650,"30,953元/平"
此房地理位置好，小区环境好，视野开阔，得房率高,塗山花園 -城东,6室1厅 | 285.86平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 暂无数据,4人关注 / 10个月以前发布,380,"13,294元/平"
视野开阔，全新毛坯，交通便利，配套齐全,翡翠御府 -城北新区,3室2厅 | 138.94平米 | 南 | 毛坯 | 低楼层(共26层)  | 暂无数据,0人关注 / 5个月以前发布,347,"24,975元/平"
名爵府排屋满2年全新毛坯采光好房东诚心出售,远声名爵府 -皋埠,5室2厅 | 345平米 | 南 北 | 毛坯 | 低楼层(共4层)  | 暂无数据,6人关注 / 7个月以前发布,290,"8,406元/平"
文昌雅苑三房两卫中上楼层有车位另算 房东诚心出售,文昌雅苑 -斗门,3室1厅 | 168平米 | 南 北 | 简装 | 高楼层(共11层)  | 板楼,0人关注 / 3个月以前发布,197,"11,727元/平"
亲亲家园南区 三室两厅 精装修 拎包入住,亲亲家园南区 -斗门,3室2厅 | 106平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,186,"17,548元/平"
九城公园里 3室2厅 南,九城公园里 -两湖,3室2厅 | 89平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 2个月以前发布,176,"19,776元/平"
北面头景房 毛坯 楼层好 含税 价格可谈,鸿通金都公寓 -两湖,5室2厅 | 183.12平米 | 南 | 毛坯 | 中楼层(共11层)  | 暂无数据,1人关注 / 一年前发布,165,"9,011元/平"
双联排 东边套  花园大 面积大,香江名邸 -两湖,5室3厅 | 284.47平米 | 南 | 毛坯 | 3层  | 板楼 | 双拼别墅 ,2人关注 / 一年前发布,760,"26,717元/平"
房东诚心出售，法式双排联排，全新毛坯西边套,鹭鸣山庄 -兰亭,4室3厅 | 371.25平米 | 东南 南 | 毛坯 | 低楼层(共3层)  | 暂无数据,2人关注 / 9个月以前发布,430,"11,583元/平"
环境好，地理位置好，配套齐全，房东诚心出售。,枫林华庭 -城南,5室2厅 | 206.8平米 | 南 | 毛坯 | 中楼层(共16层)  | 板塔结合,5人关注 / 一年前发布,300,"14,507元/平"
房子楼层好，采光不错，得房率高,绍兴艺境 -斗门,3室2厅 | 89平米 | 南 | 毛坯 | 中楼层(共9层)  | 板楼,0人关注 / 11个月以前发布,149,"16,742元/平"
边房，前面无遮挡无抵押，房东诚心出售,天际海悦 -上虞城北,4室2厅 | 121.58平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,53人关注 / 一年前发布,272.8,"22,438元/平"
玉兰前排湖景 房东人好 楼层好 视野棒 装修好拎包入住,玉兰花园二期 -瓜渚湖北,4室2厅 | 281.97平米 | 南 西 北 | 精装 | 中楼层(共28层)  | 板楼,4人关注 / 8个月以前发布,1500,"53,198元/平"
镜湖时代，地铁站旁，下叠西边套，全新毛坯,镜湖时代 -东浦,5室3厅 | 238.82平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,10人关注 / 11个月以前发布,442,"18,508元/平"
中高楼层采光好，视野广阔，新小区内部设施齐全,学府新城·星云园 -杨汛桥,3室2厅 | 87.89平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 5个月以前发布,145,"16,498元/平"
香湖郡二期  一线湖景房 225平 户型好,金昌香湖郡 -柯东,4室2厅 | 225平米 | 东南 | 毛坯 | 高楼层(共15层)  | 板楼,0人关注 / 2个月以前发布,920,"40,889元/平"
檀宫.地段佳.采光好.花香鸟语.............,檀宫 -开发区,4室2厅 | 221平米 | 南 | 精装 | 2层  | 暂无数据 | 联排别墅 ,5人关注 / 一年前发布,468.8,"21,213元/平"
九城公园里 3室2厅 南,九城公园里 -两湖,3室2厅 | 89平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 2个月以前发布,176,"19,776元/平"
双联排 东边套  花园大 面积大,香江名邸 -两湖,5室3厅 | 284.47平米 | 南 | 毛坯 | 3层  | 板楼 | 双拼别墅 ,2人关注 / 一年前发布,760,"26,717元/平"
北面头景房 毛坯 楼层好 含税 价格可谈,鸿通金都公寓 -两湖,5室2厅 | 183.12平米 | 南 | 毛坯 | 中楼层(共11层)  | 暂无数据,1人关注 / 一年前发布,165,"9,011元/平"
城站国际全新毛坯带车位，诚心出售，随时看房,城站国际广场 -上虞北其他,4室2厅 | 246平米 | 南 | 毛坯 | 3层  | 板塔结合 | 联排别墅 ,5人关注 / 一年前发布,508,"20,651元/平"
全新毛坯，楼层好，交通方便配套齐全。,华秦铂湾 -斗门,3室2厅 | 123平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,1人关注 / 一年前发布,245,"19,919元/平"
城西新小区 一楼花园小洋房 带地下室,世纪江湾 -诸暨城西,4室2厅 | 133平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,300,"22,557元/平"
配套设施齐全，交通便利，小区管理好,华秦铂湾 -斗门,3室1厅 | 90平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,0人关注 / 3个月以前发布,160,"17,778元/平"
万兴庄园 9室2厅 南,万兴庄园 -杨汛桥,9室2厅 | 388.71平米 | 南 | 毛坯 | 4层  | 暂无数据 | 双拼别墅 ,0人关注 / 2个月以前发布,960,"24,698元/平"
金地艺境 全新毛坯 看房方便 诚心出售,绍兴艺境 -斗门,3室2厅 | 88.59平米 | 南 | 简装 | 高楼层(共9层)  | 板楼,0人关注 / 1个月以前发布,140,"15,804元/平"
房东诚心出售，看房方便有钥匙。,永利天桥府 -杨汛桥,3室2厅 | 111平米 | 南 | 其他 | 中楼层(共14层)  | 板楼,0人关注 / 5个月以前发布,220,"19,820元/平"
唯美品格东区 排屋中间套 全新毛坯 诚心出售,柏盛唯美品格东区 -柯岩,4室2厅 | 353.8平米 | 南 | 毛坯 | 3层  | 板塔结合,0人关注 / 2个月以前发布,1005,"28,406元/平"
精装修头排小高层洋房  采光好无遮挡  随时看房,亲亲家园南区 -斗门,3室2厅 | 88平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,168,"19,091元/平"
此房楼层好，采光好。楼栋间距大，有电梯,绍兴艺境 -斗门,3室2厅 | 89平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,160,"17,978元/平"
此房满五 精装修 省时省力 品质小区,恒大·颐东华庭 -迪荡,5室2厅 | 293.21平米 | 南 | 精装 | 高楼层(共15层)  | 暂无数据,21人关注 / 一年前发布,1200,"40,927元/平"
越东小区毛坯房，顶带阁带露台，实用面积大。房东诚心,越东小区 -斗门,3室2厅 | 102平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,128,"12,550元/平"
袍江繁华地段  诚心出售  看房方便,绍兴艺境 -斗门,3室2厅 | 89平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 6个月以前发布,142,"15,956元/平"
亲亲家园 精装3房2卫  使用120方，采光充足，看房方便,亲亲家园南区 -斗门,3室2厅 | 107平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,183,"17,103元/平"
顶楼复式，视野好，房东诚心，看房方便。,展城滨江左岸 -诸暨城西,5室2厅 | 250平米 | 西 | 精装 | 高楼层(共16层)  | 板楼,1人关注 / 4个月以前发布,398,"15,920元/平"
边房，前面无遮挡无抵押，房东诚心出售,天际海悦 -上虞城北,4室2厅 | 121.58平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,53人关注 / 一年前发布,272.8,"22,438元/平"
此房楼层好，采光好。楼栋间距大，有电梯,绍兴艺境 -斗门,4室2厅 | 127平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,0人关注 / 31天以前发布,228,"17,953元/平"
祥生明玥府复式楼，户型方正，采光充足,祥生明玥府 -上虞城北,3室2厅 | 140.31平米 | 南 | 毛坯 | 高楼层(共17层)  | 暂无数据,7人关注 / 6个月以前发布,378,"26,941元/平"
出售，沥海唯一的别墅区，环境优美，空气清晰，,宝华海滨庄园 -上虞北其他,5室3厅 | 419.65平米 | 南 | 毛坯 | 低楼层(共2层)  | 暂无数据,3人关注 / 9个月以前发布,1008,"24,021元/平"
结婚装修花费30多万，全屋品牌电器，拎包入住,亲亲家园南区 -斗门,3室1厅 | 83.83平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 7个月以前发布,150,"17,894元/平"
群贤府和园叠墅东边套，自带花园位置好采光佳！,群贤府和园 -柯北,4室2厅 | 143.7平米 | 南 | 毛坯 | 低楼层(共3层)  | 暂无数据,0人关注 / 2个月以前发布,650,"45,234元/平"
香江名邸全新精装修3室2卫好楼层好采光房东诚心出售,香江名邸 -两湖,3室2厅 | 115.13平米 | 南 | 精装 | 中楼层(共16层)  | 板楼,0人关注 / 2个月以前发布,208,"18,067元/平"
城北一线江景房 楼层好全新毛坯可根据自己喜欢装修,金通黄金海岸 -城北新区,5室2厅 | 189平米 | 南 | 毛坯 | 低楼层(共32层)  | 板塔结合,6人关注 / 一年前发布,478,"25,292元/平"
房子是顶楼复式结构，有前后大露台，利用率高,新世纪花园 -上虞城北,5室2厅 | 211.01平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,2人关注 / 4个月以前发布,308,"14,597元/平"
金湖湾好房推荐，三房两卫精装修，拎包入住，采光好,金湖湾小区 -斗门,3室2厅 | 125.43平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,198,"15,786元/平"
亚厦江与城 1室1厅 西,亚厦江与城 -城北新区,1室1厅 | 51.37平米 | 西 | 毛坯 | 低楼层(共3层)  | 板塔结合,0人关注 / 14天以前发布,103.8,"20,207元/平"
华宇兰园 2室1厅 南,华宇兰园 -城西,2室1厅 | 120.69平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,1人关注 / 8天以前发布,215,"17,815元/平"
三房二卫 ，毛坯全新边套，视野和户型都不错 未出租过,景瑞曦之湖 -城西,3室1厅 | 111平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 7天以前发布,190,"17,118元/平"
新城棠樾 4室2厅 南,新城棠樾 -未知商圈,4室2厅 | 117平米 | 南 | 毛坯 | 低楼层(共3层)  | 暂无数据,0人关注 / 8天以前发布,360,"30,770元/平"
华城四季花园 3室2厅 南,华城四季花园 -诸暨城西,3室2厅 | 106平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,0人关注 / 8天以前发布,180,"16,982元/平"
使用面积多，前后无遮挡，南北通,祥生东方樾东福春晓 -诸暨城东,3室1厅 | 130平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 8天以前发布,270,"20,770元/平"
