标题,开发商,房子信息,发布信息,售价/万,单价
团城山优质好房拎包入住，交通生活便利,扬子玉龙湾 -团城山,3室2厅 | 133.59平米 | 南 北 | 精装 | 高楼层(共31层)  | 塔楼,3人关注 / 6个月以前发布,105,"7,860元/平"
《东贝佳苑 3000多每平》产证满两年 通透户型 有钥匙,东贝佳苑 -黄金山,3室2厅 | 126.77平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板塔结合,1人关注 / 5个月以前发布,50,"3,945元/平"
《供电小区 怡康花园》大5房 18平米大阳台 诚心急卖,怡康花园(下陆区) -团城山,5室2厅 | 165平米 | 南 | 毛坯 | 高楼层(共27层)  | 板塔结合,1人关注 / 1个月以前发布,119,"7,213元/平"
新城明昱小区 前后无遮挡户型 正规四房 130平,新城明昱 -团城山,4室2厅 | 130平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,82,"6,308元/平"
《供电小区 怡康花园》大5房 18平米大阳台 诚心急卖,怡康花园(下陆区) -团城山,5室2厅 | 165平米 | 南 | 毛坯 | 高楼层(共27层)  | 板塔结合,1人关注 / 1个月以前发布,119,"7,213元/平"
品质小区，带院子通透户型，配套成熟，交通便利。,百事威·尊邸二期 -团城山,4室2厅 | 179平米 | 南 | 简装 | 低楼层(共17层)  | 板楼,5人关注 / 一年前发布,120,"6,704元/平"
此房是简装修房 采光好 户型佳,太乙假日云天 -花湖,3室2厅 | 123.56平米 | 南 | 毛坯 | 高楼层(共17层)  | 板楼,1人关注 / 一年前发布,50,"4,047元/平"
聚龙世纪嘉园满五唯一精装东边户拎包入住,聚龙世纪嘉园 -花湖,3室2厅 | 108.88平米 | 南 | 精装 | 高楼层(共8层)  | 板塔结合,2人关注 / 10个月以前发布,45,"4,133元/平"
一品园 地源热泵 四季恒温 居家舒适,黄石大桥一品園 -花湖,3室2厅 | 97平米 | 南 | 毛坯 | 低楼层(共32层)  | 板塔结合,6人关注 / 一年前发布,59,"6,083元/平"
四季恒温大桥一品园，毛坯小三房，低价诚心出售,黄石大桥一品園 -花湖,3室2厅 | 97.18平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 3个月以前发布,62,"6,380元/平"
东蕴春城楼低4楼，精装修3房，天园气小区，户型端正。,东润春城 -花湖,3室1厅 | 112.56平米 | 东南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 7个月以前发布,42,"3,732元/平"
房源详情介绍，为你解决房产问题。,五洲庄园 -花湖,3室2厅 | 94.3平米 | 东北 | 简装 | 7层  | 板楼 | 独栋别墅 ,16人关注 / 一年前发布,24,"2,546元/平"
黄石港 江岸名城电梯高层精装三房 满二税费低视野好,江岸名城 -万达,3室2厅 | 128平米 | 南 | 简装 | 高楼层(共32层)  | 板楼,3人关注 / 一年前发布,112,"8,750元/平"
天方百花園 5室1厅 东南,天方百花園 -万达,5室1厅 | 139平米 | 东南 | 简装 | 低楼层(共12层)  | 板楼,2人关注 / 10个月以前发布,83.5,"6,008元/平"
壹方公馆 毛坯大三房 。。。。。。。,碧桂园壹方公馆 -万达,3室2厅 | 125平米 | 南 | 毛坯 | 中楼层(共34层)  | 平房,1人关注 / 一年前发布,120,"9,600元/平"
杭州西路主干道三房两厅一厨两卫双阳台两梯两户毛坯房,百事威·尊邸二期 -团城山,3室2厅 | 136平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板楼,6人关注 / 一年前发布,73,"5,368元/平"
江景电梯房视野宽阔采光充足，配套设施齐全，交通便利,扬子吉龙湾 -上窑,3室2厅 | 129.3平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 6个月以前发布,90,"6,961元/平"
毛坯大两房 带40平米大露台 小区环境优美 诚心出售,蕴福里锦城 -花湖,2室2厅 | 87平米 | 南 | 毛坯 | 低楼层(共8层)  | 板楼,6人关注 / 一年前发布,46,"5,288元/平"
南鑫花园二期高层毛坯大三房123平米,南鑫花园二期 -黄金山,3室2厅 | 123.58平米 | 南 | 毛坯 | 高楼层(共17层)  | 塔楼,1人关注 / 10个月以前发布,36,"2,914元/平"
万达商圈，配套成熟，交通便利，税费低,天虹小区 -万达,3室2厅 | 100平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,4人关注 / 一年前发布,62,"6,200元/平"
华森国际公馆.毛坯大四房.140平.4房2厅2卫.户型方正,华森国际公馆 -万达,4室2厅 | 139.92平米 | 南 | 毛坯 | 中楼层(共27层)  | 板楼,4人关注 / 10个月以前发布,91.8,"6,561元/平"
财富广场南北朝向，正规三房双卫生间，业主诚心出售。,财富广场 -武商,3室2厅 | 104.6平米 | 南 | 精装 | 高楼层(共8层)  | 板楼,0人关注 / 6个月以前发布,53,"5,067元/平"
华中旁边大三房，好楼层，产权满五费用低,靓景名城 -新城区,3室2厅 | 133平米 | 东南 | 毛坯 | 高楼层(共26层)  | 板塔结合,0人关注 / 7个月以前发布,68,"5,113元/平"
满两年   户型方正   采光通风   视野开阔   明厨明卫,江泰春岸 -花湖,3室2厅 | 136平米 | 南 | 毛坯 | 低楼层(共33层)  | 塔楼,5人关注 / 11个月以前发布,81,"5,956元/平"
金源小区精装修三房直接拎包入住,金源小区 -花湖,3室2厅 | 104.39平米 | 南 北 | 精装 | 低楼层(共7层)  | 板塔结合,0人关注 / 3个月以前发布,45,"4,311元/平"
小区环景优美，户型端正，配套实施完整。,阳光星都 -花湖,5室3厅 | 110平米 | 东南 | 毛坯 | 高楼层(共13层)  | 平房,1人关注 / 一年前发布,58.8,"5,346元/平"
江泰春岸 3室2厅 西南,江泰春岸 -花湖,3室2厅 | 135平米 | 西南 | 毛坯 | 高楼层(共33层)  | 塔楼,0人关注 / 一年前发布,80,"5,926元/平"
黄石港斋公山路9号 3房2厅 南北通透,斋公山路9号 -沈家营,3室2厅 | 114.62平米 | 南 北 | 简装 | 中楼层(共8层)  | 板塔结合,8人关注 / 一年前发布,49,"4,275元/平"
《奥山星城 毛坯大3房》户型南北通透 高层电梯房,奥山星城 -黄金山,3室2厅 | 122平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 暂无数据,0人关注 / 一年前发布,50,"4,099元/平"
房子满二税费低，楼梯房的中楼层，采光好。,纺机家属区 -老下陆,3室2厅 | 77.63平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,3人关注 / 4个月以前发布,16,"2,062元/平"
此房满了两年，户型方正。朝南的。,两宜園 -万达,3室2厅 | 104平米 | 北 | 毛坯 | 高楼层(共22层)  | 塔楼,11人关注 / 一年前发布,76,"7,308元/平"
此房户型方正，交通出行方便，生活便利,公园华府 -老下陆,3室1厅 | 116.58平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 暂无数据,0人关注 / 1个月以前发布,53,"4,547元/平"
"团城山青龙大厦,此房光线通透,位于杭州路主干道",青龙大厦 -团城山,4室2厅 | 166平米 | 东南 | 毛坯 | 低楼层(共7层)  | 板楼,0人关注 / 5个月以前发布,85,"5,121元/平"
93平2室2厅1厨1卫，采光充足，户型方正带阁楼还带露台,明秀山庄 -团城山,2室2厅 | 93平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,33人关注 / 一年前发布,60,"6,452元/平"
江泰春岸江景项级无挡视野纯毛坯电梯房,江泰春岸 -花湖,3室2厅 | 109.7平米 | 南 | 毛坯 | 高楼层(共47层)  | 塔楼,3人关注 / 11个月以前发布,67,"6,108元/平"
小区环境好山水园林设计 景观电梯 一期一梯两户,百事威·尊邸二期 -团城山,3室2厅 | 134.76平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板楼,16人关注 / 一年前发布,73,"5,418元/平"
佳美星城电梯高层3室2厅2卫满五年税费低,佳美星城 -万达,3室2厅 | 126平米 | 西南 | 精装 | 高楼层(共18层)  | 塔楼,6人关注 / 一年前发布,80,"6,350元/平"
纺机家属区低楼层住宅，南北通透户型，适合养老,西康苑 -老下陆,2室2厅 | 70平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,19,"2,715元/平"
地源热泵 四季恒温 居家舒适. 电梯房 毛坯3房,黄石大桥一品園 -花湖,3室2厅 | 136.36平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,5人关注 / 4个月以前发布,85,"6,234元/平"
房子满二年，人车分流，湿地公园旁,怡康花园(下陆区) -团城山,3室2厅 | 121.71平米 | 北 南 | 毛坯 | 中楼层(共27层)  | 板塔结合,15人关注 / 8个月以前发布,77,"6,327元/平"
《东贝佳苑 3000多每平》产证满两年 通透户型 有钥匙,东贝佳苑 -黄金山,3室2厅 | 126.77平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板塔结合,1人关注 / 5个月以前发布,50,"3,945元/平"
天新花园精装修大三房 带露台 诚心出售 拎包入住,天新花园 -团城山,3室2厅 | 124.9平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,3人关注 / 一年前发布,127,"10,169元/平"
新下陆正信花园精装修3房2厅1厨1卫,正信花园 -新下陆,3室2厅 | 98平米 | 南 北 | 精装 | 低楼层(共32层)  | 板塔结合,6人关注 / 一年前发布,38,"3,878元/平"
房子朝南户型 采光好 电梯低层 装修全部用的是品牌,江天金水湾 -万达,3室2厅 | 126.8平米 | 南 | 简装 | 低楼层(共11层)  | 板楼,11人关注 / 一年前发布,107,"8,439元/平"
华新小区装修两房，拎包入住，交通便利,华新小区 -团城山,2室1厅 | 76.69平米 | 东南 | 简装 | 高楼层(共7层)  | 暂无数据,3人关注 / 7个月以前发布,32,"4,173元/平"
绿城玉兰花园 电梯高层精装复式 带三个露台,黄石绿城玉兰花园 -万达,4室2厅 | 220平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,4人关注 / 5个月以前发布,199,"9,046元/平"
仁智山水一期，复式楼带70平花园，花园洋房,航宇仁智山水 -楠竹林,4室3厅 | 180平米 | 东南 北 | 毛坯 | 中楼层(共5层)  | 板楼,14人关注 / 一年前发布,158,"8,778元/平"
此房满五唯一，带院子，阳光房，低楼层，保养好。,花园小区 -八卦嘴,3室2厅 | 73.04平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,62,"8,489元/平"
楼层好，全明户型，税费低，交通便利。,新西南国际花园 -团城山,3室2厅 | 108平米 | 东南 | 毛坯 | 中楼层(共34层)  | 板塔结合,3人关注 / 一年前发布,58,"5,371元/平"
碧桂园壹方公馆  电梯中高层  楼间距开阔 房东急售,碧桂园壹方公馆 -万达,3室2厅 | 122.68平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 暂无数据,0人关注 / 4个月以前发布,119,"9,701元/平"
三江共和城 九成精装修 双阳台三房 价格美丽,三江共和城 -万达,3室2厅 | 122平米 | 南 | 精装 | 高楼层(共28层)  | 板塔结合,5人关注 / 7个月以前发布,79,"6,476元/平"
人信假日威尼斯电梯毛坯三房全明户型满二税费低,人信假日威尼斯 -花湖,3室2厅 | 95.04平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板塔结合,1人关注 / 5个月以前发布,43,"4,525元/平"
一品园 对kou十四中毛坯经典小户 自带空调冬暖夏凉,黄石大桥一品園 -花湖,2室2厅 | 88.14平米 | 南 | 毛坯 | 高楼层(共32层)  | 板楼,0人关注 / 7个月以前发布,62.6,"7,103元/平"
精装小三房户型房东诚心出售随时看房,奥山星城 -黄金山,3室2厅 | 90.7平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,40,"4,411元/平"
满二江景房，正规大三房，小区人车分离，人文环境好。,大华江桂园 -上窑,3室2厅 | 126平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 暂无数据,0人关注 / 1个月以前发布,80,"6,350元/平"
此房户型方正地处老下陆街地段交通出行方便，生活便利,公园华府 -老下陆,3室2厅 | 127.49平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 暂无数据,0人关注 / 4个月以前发布,58,"4,550元/平"
此房是八卦嘴毛坯复Shi，带大露台，采光好,牧羊诗苑 -八卦嘴,5室2厅 | 174.84平米 | 南 | 毛坯 | 高楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,85,"4,862元/平"
对口14中，万达旁精装大3房 ，满五唯一3房朝南太阳好,天虹小区 -万达,3室2厅 | 124.36平米 | 南 | 精装 | 高楼层(共7层)  | 平房,4人关注 / 一年前发布,65.5,"5,267元/平"
万达广场旁 博雅怡景花城楼梯中层装修大两房满五唯一,博雅怡景花城 -万达,2室2厅 | 107.5平米 | 东南 | 简装 | 中楼层(共7层)  | 板楼,16人关注 / 一年前发布,53,"4,931元/平"
花湖滨都丽园  电梯中层大三房！户型通透，明厨明卫,滨都丽园 -花湖,3室2厅 | 103.05平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,10人关注 / 一年前发布,45,"4,367元/平"
万达商圈 大桥一品园高档品质小区,黄石大桥一品園 -花湖,3室2厅 | 137平米 | 东南 | 毛坯 | 中楼层(共33层)  | 板楼,1人关注 / 一年前发布,102,"7,446元/平"
该房子出行便利，花湖大道，湖滨大道，黄石大道,迎宾御园 -万达,2室2厅 | 92平米 | 南 | 毛坯 | 高楼层(共27层)  | 板塔结合,3人关注 / 一年前发布,46,"5,000元/平"
此房子空间大，出行方便，适合一家四口居住。,紫竹花园 -老下陆,3室2厅 | 113.77平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,9人关注 / 一年前发布,33,"2,901元/平"
位置优越，楼层好，户型好！电梯高层，全日照明厨明卫,花湖开发区香槟印象 -万达,3室2厅 | 115平米 | 南 | 毛坯 | 高楼层(共16层)  | 板楼,7人关注 / 一年前发布,60,"5,218元/平"
小区配套齐全，交通生活方便，100米内有商场，银行,竹林苑 -团城山,3室1厅 | 108.78平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,8人关注 / 一年前发布,56,"5,149元/平"
万达商圈 天行御景庄园三期 毛坯两房,御景庄园3期 -花湖,2室2厅 | 82.03平米 | 南 | 毛坯 | 低楼层(共35层)  | 板楼,4人关注 / 一年前发布,38.9,"4,743元/平"
人信假日威尼斯电梯2房，2014年12月份交的房两证齐全,人信假日威尼斯 -花湖,2室2厅 | 81平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,41,"5,062元/平"
嘉谷区毛坯大三房   户型好两卫看房随时！,航宇香格里拉-嘉谷区 -花湖,3室2厅 | 116.06平米 | 北 | 毛坯 | 高楼层(共7层)  | 板楼,4人关注 / 一年前发布,53,"4,567元/平"
团城山万达旁，急售二手房，大三房,城发·香山枫景 -老下陆,3室2厅 | 121.86平米 | 南 北 | 毛坯 | 低楼层(共31层)  | 板楼,0人关注 / 2个月以前发布,53,"4,350元/平"
居然毛坯小三房，配套成熟，采光通风好,居然悦隽大都会 -团城山,3室2厅 | 110.65平米 | 南 东 | 毛坯 | 低楼层(共33层)  | 板塔结合,1人关注 / 2个月以前发布,57.2,"5,170元/平"
金桥水岸毛坯大三房，电梯高层，满二税低,金桥水岸 -花湖,3室2厅 | 127平米 | 东南 | 毛坯 | 高楼层(共24层)  | 板楼,0人关注 / 一年前发布,81,"6,378元/平"
二中旁 翰林居 经典小户型， 满二税费低 电梯中间楼层,鸿儒翰林居 -团城山,2室2厅 | 89.69平米 | 南 | 简装 | 中楼层(共29层)  | 板塔结合,6人关注 / 一年前发布,72,"8,028元/平"
万达旁 配套齐全 朝南户型 采光充足通风好,金港明珠小区 -万达,3室2厅 | 111.85平米 | 南 | 简装 | 低楼层(共22层)  | 板楼,2人关注 / 7个月以前发布,77,"6,885元/平"
大型小区，生活设施齐全。天然气入户。,天方百花園 -万达,3室2厅 | 131平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 9个月以前发布,65,"4,962元/平"
高档品质小区  毛坯大三房  带入户花园,黄石绿城玉兰花园 -万达,3室2厅 | 137.98平米 | 南 | 毛坯 | 高楼层(共22层)  | 板楼,5人关注 / 11个月以前发布,118,"8,552元/平"
新城明昱小区 前后无遮挡户型 正规四房 130平,新城明昱 -团城山,4室2厅 | 130平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,82,"6,308元/平"
品质楼盘，四季恒温  三房有一书房的好户型,黄石大桥一品園 -花湖,4室2厅 | 138.21平米 | 东南 | 毛坯 | 中楼层(共18层)  | 板楼,5人关注 / 一年前发布,88,"6,368元/平"
老下陆临街南北通透，阳光充足大两房,老下陆街4号 -老下陆,2室2厅 | 100平米 | 南 北 | 简装 | 高楼层(共10层)  | 板楼,2人关注 / 一年前发布,35,"3,500元/平"
宏维天地（降10万卖）南北边户！双阳台,宏维天地 -团城山,3室2厅 | 128平米 | 东南 | 毛坯 | 高楼层(共34层)  | 暂无数据,33人关注 / 11个月以前发布,97.8,"7,641元/平"
假日威尼斯毛坯大三房 电梯高层 视野开阔,人信假日威尼斯 -花湖,3室2厅 | 113平米 | 南 | 毛坯 | 低楼层(共18层)  | 板塔结合,1人关注 / 一年前发布,64,"5,664元/平"
大桥一品园 毛坯大三房 楼层好,黄石大桥一品園 -花湖,3室2厅 | 134.2平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,3人关注 / 一年前发布,94,"7,005元/平"
三江共和村崭新装修，从没住过。实木好砖装修很好。,三江共和城 -万达,3室2厅 | 122.7平米 | 东南 南 | 精装 | 低楼层(共28层)  | 板塔结合,0人关注 / 一年前发布,88,"7,172元/平"
碧桂园壹方公馆  电梯中高层  楼间距开阔 房东急售,碧桂园壹方公馆 -万达,3室2厅 | 122.68平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 暂无数据,0人关注 / 4个月以前发布,119,"9,701元/平"
楼层好，全明户型，税费低，交通便利。,新西南国际花园 -团城山,3室2厅 | 108平米 | 东南 | 毛坯 | 中楼层(共34层)  | 板塔结合,3人关注 / 一年前发布,58,"5,371元/平"
金源小区精装修三房直接拎包入住,金源小区 -花湖,3室2厅 | 104.39平米 | 南 北 | 精装 | 低楼层(共7层)  | 板塔结合,0人关注 / 3个月以前发布,45,"4,311元/平"
龙城山庄大三房明厨明卫视野开阔采光好,龙城山庄 -万达,3室2厅 | 116.7平米 | 南 北 | 精装 | 中楼层(共7层)  | 平房,0人关注 / 一年前发布,65,"5,570元/平"
房东诚心出售，小区环境优美，湿地公园旁,宏维天地 -团城山,3室2厅 | 118平米 | 南 | 毛坯 | 中楼层(共34层)  | 暂无数据,0人关注 / 1个月以前发布,94,"7,967元/平"
黄石公园三室。户型方正，采光很好，前后无遮挡,中冶黄石公园 -楠竹林,3室2厅 | 131.67平米 | 南 | 毛坯 | 中楼层(共8层)  | 板塔结合,0人关注 / 6个月以前发布,130,"9,874元/平"
"此房证已办好，采光好，朝南户型方正，楼层很好,",一品华府 -新城区,3室2厅 | 123平米 | 东南 | 毛坯 | 高楼层(共31层)  | 板塔结合,5人关注 / 4个月以前发布,63,"5,122元/平"
此房是通透格局，明厨明卫，无暗房，中间楼层，,和风朗苑 -花湖,3室2厅 | 116平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 暂无数据,1人关注 / 一年前发布,65,"5,604元/平"
花湖成熟的 大小区，配套齐全，交通便利,东方太阳城 -花湖,3室2厅 | 93.2平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 一年前发布,54,"5,794元/平"
万达商圈 一品园毛坯小三房 采光无遮挡 集中供暖,黄石大桥一品園 -花湖,3室2厅 | 100.47平米 | 南 | 毛坯 | 中楼层(共30层)  | 板楼,0人关注 / 一年前发布,73,"7,266元/平"
团城山万达旁 新城明昱三房 潜排视野 电梯高层 采光号,新城明昱 -团城山,3室2厅 | 108.32平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,65,"6,001元/平"
步梯精装复式楼，自带30平大露台，,航宇香格里拉-嘉谷区 -花湖,3室2厅 | 140平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 7个月以前发布,99,"7,072元/平"
大型园林景观社区 采光好 户型好,人信假日威尼斯 -花湖,3室2厅 | 81.47平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 一年前发布,38,"4,665元/平"
香格里拉天然气小区毛坯电梯三居室小区环境优美。,航宇香格里拉太阳谷 -花湖,3室2厅 | 126.2平米 | 东 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,1人关注 / 一年前发布,60,"4,755元/平"
居然大都会，配套成熟，现房毛坯,居然悦隽大都会 -团城山,3室2厅 | 110.25平米 | 南 | 毛坯 | 高楼层(共27层)  | 板塔结合,0人关注 / 1个月以前发布,74.3,"6,740元/平"
阳光花城新领地3-2-1-2 119.87m² 67 万,阳光花城新领地 -万达,3室2厅 | 119.87平米 | 南 北 | 毛坯 | 低楼层(共21层)  | 板楼,0人关注 / 2个月以前发布,67,"5,590元/平"
万达华府 电梯高层大三房 户型好 采光好,万达华府 -万达,3室2厅 | 137.95平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,115,"8,337元/平"
紫金花城电梯高层大三房 户型通透双阳台 可随时看房,紫金花城 -花湖,3室2厅 | 133.56平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 一年前发布,82,"6,140元/平"
房东诚心出售，小区环境优美，湿地公园旁,宏维天地 -团城山,3室2厅 | 118平米 | 南 | 毛坯 | 中楼层(共34层)  | 暂无数据,0人关注 / 1个月以前发布,94,"7,967元/平"
二医院，两房，楼梯六楼，仅30万,斋公山路7号 -沈家营,2室1厅 | 71.38平米 | 南 | 简装 | 高楼层(共7层)  | 塔楼,2人关注 / 10个月以前发布,25,"3,503元/平"
团城山万达旁 新城明昱三房 潜排视野 电梯高层 采光号,新城明昱 -团城山,3室2厅 | 108.32平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,65,"6,001元/平"
加泰金海岸毛坯大三房，户型好，格局好，户型通透。,加泰金海岸 -新城区,3室2厅 | 128平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 板塔结合,9人关注 / 一年前发布,68,"5,313元/平"
万达商圈 一品园毛坯小三房 采光无遮挡 集中供暖,黄石大桥一品園 -花湖,3室2厅 | 100.47平米 | 南 | 毛坯 | 中楼层(共30层)  | 板楼,0人关注 / 一年前发布,73,"7,266元/平"
地段不错，，交通便捷，购物方便,怡馨小区 -老城区,3室2厅 | 104平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 一年前发布,42,"4,039元/平"
壹方公馆精装修三房婚房小区环境优，房东诚心出售,碧桂园壹方公馆 -万达,3室1厅 | 122.5平米 | 东南 | 精装 | 低楼层(共34层)  | 平房,0人关注 / 1个月以前发布,103,"8,409元/平"
公滩少，交通方便，户型通透，格局方正，小区环境好，,瑞鑫花园 -新城区,4室2厅 | 167平米 | 东南 | 毛坯 | 中楼层(共31层)  | 板楼,1人关注 / 一年前发布,106,"6,348元/平"
宏维山水名城 三期的毛坯房 没满二 户型通透 有钥匙,宏维山水明城 -团城山,3室2厅 | 132.98平米 | 南 北 | 毛坯 | 中楼层(共12层)  | 板楼,33人关注 / 一年前发布,91.5,"6,881元/平"
"此房证已办好，采光好，朝南户型方正，楼层很好,",一品华府 -新城区,3室2厅 | 123平米 | 东南 | 毛坯 | 高楼层(共31层)  | 板塔结合,5人关注 / 4个月以前发布,63,"5,122元/平"
采光很好，大三房，交通便利，地段繁华,农机公司 -老城区,3室2厅 | 83.8平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,5人关注 / 一年前发布,29,"3,461元/平"
大桥一品园2期 电梯高层三房 全明户型,黄石大桥一品園 -花湖,3室2厅 | 120.85平米 | 南 | 毛坯 | 中楼层(共30层)  | 板楼,3人关注 / 10个月以前发布,83,"6,869元/平"
房子位置很好，出行 方便‘适合每个人,华烨·龙腾山庄 -老城区,3室2厅 | 139.6平米 | 东南 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,56,"4,012元/平"
此房满两年 房型方正 采光好 业主诚心出售 看房有钥匙,万达华府 -万达,3室2厅 | 138.18平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,3人关注 / 一年前发布,115,"8,323元/平"
金水湾中间位置，光线好，电梯低层 可做花园，满二,江天金水湾 -万达,4室2厅 | 139.6平米 | 东 南 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,100,"7,164元/平"
此房户型通透，可看湖景，高楼层，环境好，读书方便,锦绣花园 -新城区,4室2厅 | 180平米 | 东南 | 毛坯 | 高楼层(共29层)  | 板塔结合,8人关注 / 一年前发布,105,"5,834元/平"
靓景名居大户型，双阳台，装修新直接拎包入住,靓景名居 -新城区,3室2厅 | 157.33平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,86,"5,467元/平"
瑞苑小区 中高层 全新毛坯房 房东诚心出售 寻找有缘人,瑞苑小区 -黄金山,4室2厅 | 144.43平米 | 南 | 毛坯 | 中楼层(共29层)  | 板塔结合,0人关注 / 2个月以前发布,58.8,"4,072元/平"
万达商圈，装修保养好，满二年户型通透,爱佳雅苑 -万达,3室2厅 | 138.44平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,15人关注 / 7个月以前发布,60,"4,335元/平"
满两年 银湖月色小区大三房 临湖风景好 诚心售,银湖月色 -八卦嘴,3室2厅 | 116平米 | 南 | 简装 | 中楼层(共17层)  | 板楼,8人关注 / 7个月以前发布,60,"5,173元/平"
万达商圈楼梯大三房，户型方正，公摊系数,黄石市运管局宿舍 -万达,3室1厅 | 117平米 | 东南 | 精装 | 中楼层(共9层)  | 板楼,0人关注 / 2个月以前发布,65,"5,556元/平"
橄榄家园 电梯高层 朝向南 采光好 生活交通方便,橄榄家园小区 -万达,2室2厅 | 110.9平米 | 南 | 毛坯 | 高楼层(共30层)  | 板塔结合,11人关注 / 一年前发布,72,"6,493元/平"
此房户型方正，采光好，税费低，出行方便,公园路 -黄石港区,3室2厅 | 92平米 | 南 北 | 简装 | 中楼层(共14层)  | 板塔结合,12人关注 / 8个月以前发布,45,"4,892元/平"
黄石绿地城 4室2厅 南,黄石绿地城 -新城区,4室2厅 | 140.78平米 | 南 | 毛坯 | 中楼层(共8层)  | 暂无数据,0人关注 / 4个月以前发布,85,"6,038元/平"
人民广场旁边，交通便利，生活方便，大两房，诚心售,青龙大厦 -团城山,2室2厅 | 110.95平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,12人关注 / 一年前发布,52,"4,687元/平"
此房满二年，湿地公园旁，纯毛坯房子,龙湾一品 -团城山,3室2厅 | 132平米 | 南 北 | 毛坯 | 中楼层(共24层)  | 板塔结合,1人关注 / 一年前发布,91.6,"6,940元/平"
三医院家属院  3室2厅  朝向好   交通便利,中心医院家属区 -市中心,3室2厅 | 124.79平米 | 东南 | 简装 | 高楼层(共9层)  | 暂无数据,9人关注 / 一年前发布,71,"5,690元/平"
毛坯大三房，全屋空调，证在手满两年，是单位福利房,东楚文苑 -团城山,3室2厅 | 138平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 板楼,2人关注 / 一年前发布,93.8,"6,798元/平"
一中大三房，三个阳台，好安逸哦，户型棒棒哒！,梦湖书苑 -老城区,3室2厅 | 120平米 | 东南 | 简装 | 低楼层(共8层)  | 板楼,4人关注 / 4个月以前发布,55,"4,584元/平"
此房满5多套，通透户型，采光充足，户型方正,东楚名居 -市中心,3室2厅 | 117平米 | 东 南 北 | 精装 | 低楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,80,"6,838元/平"
中山小 学旁，精装 电梯四房，急售,博雅丽都 -万达,4室2厅 | 141.13平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,140,"9,920元/平"
