标题,开发商,房子信息,发布信息,售价/万,单价
了封闭小区龙城帝景 两室业主重新装修了 钥匙在手,龙城帝景 -中海,2室1厅 | 89.71平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 23天以前发布,59.5,"6,633元/平"
幸福家园精装修 拎包入住随时看房,幸福家园 -和平街,2室1厅 | 54平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 30天以前发布,35.8,"6,630元/平"
业主急售家庭装修急售 ）店长推荐业主急,幸福家园 -和平街,2室1厅 | 55平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 30天以前发布,27.8,"5,055元/平"
首创国际电梯小高层 精装修拎包入住,首创国际广场 -大润发四店,2室1厅 | 87平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 23天以前发布,49.8,"5,725元/平"
幸福茗苑二期2-1-1-1 95.00m² 65 万,幸福茗苑二期 -十一中,2室1厅 | 95平米 | 南 北 | 其他 | 中楼层(共7层)  | 板塔结合,0人关注 / 25天以前发布,65,"6,843元/平"
首付不高 精装修 南北通透 多层四楼 不把不临,卢浮公馆 -雾凇中路,2室2厅 | 78.55平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 16天以前发布,59.8,"7,613元/平"
卢浮公馆 2室1厅 南 北,卢浮公馆 -雾凇中路,2室1厅 | 91.5平米 | 南 北 | 其他 | 中楼层(共18层)  | 板塔结合,0人关注 / 24天以前发布,59.8,"6,536元/平"
沈铁幸福里 中间楼层 毛坯随意装修 视野好采光足,沈铁·幸福里 -果窖,2室1厅 | 86.11平米 | 东南 | 毛坯 | 中楼层(共24层)  | 板塔结合,0人关注 / 23天以前发布,53.5,"6,213元/平"
业主急售家庭装修急售 ）店长推荐业主急,铁安里小区 -新建北,2室1厅 | 67平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 24天以前发布,26.5,"3,956元/平"
紫金江尚 电梯三室 南北通 精装修 看房方便,紫金江尚 -八一,3室1厅 | 111.6平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,2人关注 / 一年前发布,107,"9,588元/平"
紫金江尚 格局好 视野好 采光好,紫金江尚 -八一,3室1厅 | 111平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,5人关注 / 一年前发布,108,"9,730元/平"
中东 恒大华府 高档小区 全天采光 业主诚心出售,恒大华府 -中东,3室2厅 | 116.5平米 | 南 北 | 精装 | 低楼层(共19层)  | 板楼,0人关注 / 3个月以前发布,109,"9,357元/平"
小高层，使用面积大，南北通透，配套齐全，交通便利,万科城D区 -万科城,3室2厅 | 122平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,10人关注 / 一年前发布,118,"9,673元/平"
南北通透格局，得房率高，毛坯交付，业主诚心出售。,金澜悦府 -二手车市场,3室2厅 | 107平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 暂无数据,0人关注 / 2个月以前发布,88,"8,225元/平"
枫兰香谷两室两厅两卫，精装修，拎包入住前有大花园,枫兰香谷 -黄旗屯,2室2厅 | 129.24平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,90,"6,964元/平"
南北通透格局，得房率高，毛坯交付，业主诚心出售。,金澜悦府 -二手车市场,3室2厅 | 108平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 暂无数据,1人关注 / 一年前发布,99,"9,167元/平"
枫兰香谷 诚心出售 随时可看 采光好 视野好,枫兰香谷 -黄旗屯,3室2厅 | 126平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 5个月以前发布,99,"7,858元/平"
小区配套设施齐全，坐车方便，此房户型好,红大领域 -雾凇中路,2室2厅 | 85.63平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 3个月以前发布,75,"8,759元/平"
紫金江尚  电梯洋房 精装修 拎包入住  户型方正,紫金江尚 -八一,3室2厅 | 145平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,4人关注 / 一年前发布,200,"13,794元/平"
大三居 拎包入住 带装修 楼层好,御龙湾 -欧亚综合体,3室2厅 | 112平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,8人关注 / 一年前发布,80,"7,143元/平"
房子格局好  南北通透   拎包入住封闭小区，设施齐全,丰安家园 -二手车市场,2室2厅 | 119.5平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 一年前发布,93,"7,783元/平"
紫金江尚 5室挑空跃层 装修好 户型好 适合多人居住,紫金江尚 -八一,5室1厅 | 133平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,6人关注 / 一年前发布,310,"23,309元/平"
南北通透格局 楼层好 视野宽阔 采光充足 头排望江，,万科城D区 -万科城,3室2厅 | 162.55平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 一年前发布,199,"12,243元/平"
万科C区精装修，诚新出售，价格可议,万科城C区 -万科城,2室2厅 | 93平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,2人关注 / 一年前发布,108,"11,613元/平"
天鸿水岸馨都，江边小区 ，空气新鲜湿润，,天鸿•水岸馨都 -万科城,2室2厅 | 105平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,2人关注 / 一年前发布,90,"8,572元/平"
天鸿水岸馨都 两室两厅南北通透 望江带车位,天鸿•水岸馨都 -万科城,2室2厅 | 105平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,1人关注 / 一年前发布,99,"9,429元/平"
天鸿水岸馨都  两室一厅 电梯中间楼层  正望江 精装修,天鸿•水岸馨都 -万科城,2室1厅 | 105平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,5人关注 / 一年前发布,95,"9,048元/平"
头排望江，精品装修，松花江，高品质小区,逸水湾 -万科城,3室1厅 | 126平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,2人关注 / 一年前发布,195,"15,477元/平"
户型方正 采光好 配套设施齐全 交通便利,天鸿•水岸馨都 -万科城,2室2厅 | 104平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,1人关注 / 一年前发布,89,"8,558元/平"
逸水湾，品质小区，松花江，交通出行便利。,逸水湾 -万科城,3室2厅 | 136平米 | 南 北 | 精装 | 高楼层(共28层)  | 板楼,5人关注 / 一年前发布,225,"16,545元/平"
头排望江 22楼 好楼层 毛坯随意装,逸水湾 -万科城,4室1厅 | 160.5平米 | 南 北 | 精装 | 中楼层(共32层)  | 塔楼,4人关注 / 一年前发布,200,"12,462元/平"
高档封闭式小区，采光好，无遮挡,锦绣江南 -松花江中学,3室1厅 | 129.29平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,1人关注 / 一年前发布,98,"7,580元/平"
户型好，楼层好，视野开阔，无遮挡。,天鸿•水岸馨都 -万科城,3室2厅 | 125平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,1人关注 / 一年前发布,125,"10,000元/平"
多层四楼 好楼层 万科封闭式小区 24小时安保系统,万科上东区 -万科城,4室2厅 | 143平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 5个月以前发布,165,"11,539元/平"
江南好盘园区绿化好，大高，采光充足，,金域豪庭 -松花江中学,3室2厅 | 138.4平米 | 南 北 | 毛坯 | 低楼层(共34层)  | 板楼,1人关注 / 一年前发布,84.8,"6,128元/平"
万科上东区小区环境好交通方便适合居住,万科上东区 -万科城,4室2厅 | 143.88平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,6人关注 / 一年前发布,200,"13,901元/平"
交通便利 小区环境干净舒适 适合居,西山林语 -雾凇中路,2室1厅 | 88.3平米 | 南 | 简装 | 高楼层(共17层)  | 塔楼,0人关注 / 3个月以前发布,63,"7,135元/平"
万科城旁 荣光花园 正5楼 采光好 大户型,荣光花园 -二手车市场,2室2厅 | 95.28平米 | 北 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,60,"6,298元/平"
户型方正 不遮不挡 采光好 配套设施齐全 交通便利,天鸿•水岸馨都 -万科城,2室1厅 | 105平米 | 南 北 | 精装 | 高楼层(共28层)  | 板楼,1人关注 / 9个月以前发布,86.8,"8,267元/平"
万科上东区3室2厅交通方便小区环境干净适宜居住,万科上东区 -万科城,3室2厅 | 103平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,3人关注 / 一年前发布,80,"7,767元/平"
此房户型方正 供暖好 位置好 适合老人孩子家庭居住,东方伟业公园道一号 -雾凇中路,3室1厅 | 100.17平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,85,"8,486元/平"
天鸿水岸馨都 全屋品牌装修 随时看房南北通透大H格局,天鸿•水岸馨都 -万科城,2室2厅 | 105平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,2人关注 / 一年前发布,90,"8,572元/平"
小区配套设施齐全，乘车方便，花园式小区,东方伟业公园道一号 -雾凇中路,3室2厅 | 121.7平米 | 北 南 | 其他 | 中楼层(共16层)  | 板塔结合,0人关注 / 10个月以前发布,98,"8,053元/平"
一梯一户带地下车位，头排望江三居室,万科城D区 -万科城,3室2厅 | 140.76平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,4人关注 / 一年前发布,162,"11,509元/平"
万科上东区南北三居室，诚意出售,万科上东区 -万科城,3室1厅 | 140平米 | 南 北 | 简装 | 中楼层(共33层)  | 板楼,7人关注 / 一年前发布,115,"8,215元/平"
封闭式小区24小时安保邻里和谐居住环境舒适,胜亚·东方红 -二手车市场,2室1厅 | 94平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 板塔结合,8人关注 / 一年前发布,38,"4,043元/平"
松花江智慧新城  1楼带70平HY   格局板正  随时看房,筑石云 -星光江城,3室2厅 | 107平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 8个月以前发布,73,"6,823元/平"
逸水湾 头牌望江 高档装修品牌家具 业主诚意出售,逸水湾 -万科城,3室2厅 | 127平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,2人关注 / 一年前发布,168,"13,229元/平"
卢瓦尔小镇 南北通透 可贷款 采光好 视野佳 电梯房,卢瓦尔小镇 -雾凇中路,2室2厅 | 115.18平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,86,"7,467元/平"
封闭式小区 小户型坐北朝南  紫金江尚小区,紫金江尚 -八一,2室2厅 | 90平米 | 南 北 | 简装 | 低楼层(共18层)  | 板楼,1人关注 / 一年前发布,83.8,"9,312元/平"
毛坯房 小区为新小区 设施齐全 环境优美 交通便利,泽信依山郡 -桃源路,3室2厅 | 113平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 3个月以前发布,84,"7,434元/平"
中东商圈 小区配套设施齐全，坐车方便，园区中间位置,恒大华府 -中东,3室2厅 | 114平米 | 南 北 | 精装 | 中楼层(共19层)  | 板楼,0人关注 / 4个月以前发布,93,"8,158元/平"
南北通透格局 视野开阔 采光充足 交通方便 配套齐全,万科上东区 -万科城,3室2厅 | 111平米 | 南 北 | 精装 | 高楼层(共34层)  | 暂无数据,3人关注 / 一年前发布,95,"8,559元/平"
泊林小镇 多层3楼 三室 H户型 可贷款,泊林小镇 -大润发四店,3室2厅 | 115平米 | 南 北 | 精装 | 中楼层(共6层)  | 塔楼,2人关注 / 一年前发布,62,"5,392元/平"
和谐里 多层一楼 ，南北通透，大H户型,和谐里 -火车站东广场,2室1厅 | 88.12平米 | 南 北 | 简装 | 低楼层(共6层)  | 塔楼,0人关注 / 3个月以前发布,65,"7,377元/平"
宋配电小区2室2厅1厨1卫优质房源,送配电小区 -烽火丰满一实验,2室2厅 | 110.7平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,3人关注 / 一年前发布,73,"6,595元/平"
如一坊中央公园东山户型98平精装三室采光无遮挡,如一坊中央公园 -世纪广场,3室2厅 | 98.76平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,2人关注 / 6个月以前发布,117,"11,847元/平"
盈胜毓园  江滨公园 出行方便,盈胜毓园 -厦门街,3室2厅 | 142.94平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,9人关注 / 一年前发布,96,"6,717元/平"
精装未住，中间楼层，诚意出售，花园式园林小区,剑桥郡 -中海,2室1厅 | 106平米 | 南 北 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 2个月以前发布,95,"8,963元/平"
头牌望江，欧式精装，户型方正，视野开阔，花园式小区,中环·滨江花园 -世纪广场,3室2厅 | 156平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,10人关注 / 一年前发布,200,"12,821元/平"
中环好房！优质地段！望江，世纪广场,中环·滨江花园 -世纪广场,3室2厅 | 126平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,120,"9,524元/平"
嘉业名铸小区 交通便利 小区环境干净舒适 适合居住,嘉业名铸 -江湾路,2室2厅 | 126.5平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 一年前发布,126,"9,961元/平"
楼下就是公园 封闭小区 公园免费 楼下早市,如一坊中央公园 -世纪广场,3室1厅 | 130平米 | 南 北 | 其他 | 高楼层(共32层)  | 板楼,2人关注 / 5个月以前发布,168,"12,924元/平"
中海，紫御东郡，江南，世纪广场,中海紫御东郡 -世纪广场,2室2厅 | 129.7平米 | 南 北 | 精装 | 低楼层(共31层)  | 板塔结合,0人关注 / 一年前发布,142,"10,949元/平"
紫光绅苑一期采光好南北通透一楼带花园,瀚星紫光绅苑一期 -松花江中学,2室2厅 | 119平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,3人关注 / 一年前发布,92,"7,732元/平"
乐园一区 多层三楼 南北通透 可贷款,乐园小区一区 -西安路,2室2厅 | 139.7平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 5个月以前发布,74,"5,298元/平"
中环滨江花园多层二楼三居室 南北通透 拎包即住,中环·滨江花园 -世纪广场,3室2厅 | 121.12平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,6人关注 / 一年前发布,126,"10,403元/平"
万科D区 三室两厅两卫 南北通透 拎包入住 可贷款,万科城D区 -万科城,3室2厅 | 152.85平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 4个月以前发布,155,"10,141元/平"
金汇嘉园 交通便利出行方便 户型好  。,金汇嘉园 -八一,2室1厅 | 117平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 一年前发布,115,"9,830元/平"
龙城帝景  电梯洋房带花园 业主诚意出售,龙城帝景 -中海,3室1厅 | 110.66平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,1人关注 / 一年前发布,118,"10,664元/平"
此房户型 大H格局 ，精装修 小区配套齐全，交通,桃源山庄 -雾凇中路,2室4厅 | 155.35平米 | 南 北 | 简装 | 高楼层(共5层)  | 板塔结合,0人关注 / 4个月以前发布,79,"5,086元/平"
中海新都会 精装修 三室两厅 拎包即住 支持贷款,中海新都会 -红星美凯龙,3室2厅 | 106.6平米 | 南 北 | 精装 | 中楼层(共18层)  | 暂无数据,1人关注 / 2个月以前发布,88.5,"8,303元/平"
恒大华府 电梯8楼 四室三卫 南北通透 毛坯房,恒大华府 -中东,4室2厅 | 337.64平米 | 南 北 | 毛坯 | 中楼层(共13层)  | 板楼,0人关注 / 2个月以前发布,220,"6,516元/平"
中东 恒大华府 正望湖 高档花园式小区 精装修,恒大华府 -中东,4室3厅 | 338平米 | 南 北 | 精装 | 低楼层(共13层)  | 板楼,1人关注 / 3个月以前发布,312,"9,231元/平"
枫叶山庄 精装修 南北通透 封闭小区,枫叶山庄 -中东,3室2厅 | 121.36平米 | 南 北 | 精装 | 低楼层(共11层)  | 塔楼,0人关注 / 3个月以前发布,78,"6,428元/平"
多层二楼 南北通透带车位 江边 465 欧亚 花园小区,中环·滨江花园 -世纪广场,3室2厅 | 125平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,7人关注 / 一年前发布,126,"10,080元/平"
户型方正 交通便利 精装修 有露台,锦绣花园(船营区) -农林街,3室2厅 | 126.65平米 | 南 北 | 精装 | 高楼层(共6层)  | 塔楼,3人关注 / 10个月以前发布,69,"5,449元/平"
此房楼层好，视野宽阔，采光充足，小区配套设施齐全,中海世家 -松花江中学,3室2厅 | 119.86平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 5个月以前发布,120,"10,012元/平"
中间楼层 精装修 一天未住 拎包入住,逸水湾 -万科城,3室1厅 | 123平米 | 南 北 | 精装 | 高楼层(共20层)  | 板楼,24人关注 / 一年前发布,120,"9,757元/平"
上东区，后排，楼层好，采光好，望江效果好。,万科上东区 -万科城,3室2厅 | 103平米 | 南 北 | 简装 | 中楼层(共33层)  | 板楼,14人关注 / 一年前发布,80,"7,767元/平"
恒山花园多层4楼南北通透毛坯亚桥,恒山花园小区 -厦门街,3室2厅 | 143.21平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,7人关注 / 一年前发布,62,"4,330元/平"
紫金江尚南北通透两室两厅拎包入住,紫金江尚 -八一,2室2厅 | 91平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 8个月以前发布,85.5,"9,396元/平"
望江，南北通透格局，采光充足，绿色环保家具随时看房,瀚星紫光绅苑2期 -松花江中学,3室2厅 | 158平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 一年前发布,160,"10,127元/平"
紫金江尚南北通透两室两厅拎包入住,紫金江尚 -八一,2室2厅 | 91平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 8个月以前发布,85.5,"9,396元/平"
中间楼层 精装修 一天未住 拎包入住,逸水湾 -万科城,3室1厅 | 123平米 | 南 北 | 精装 | 高楼层(共20层)  | 板楼,24人关注 / 一年前发布,120,"9,757元/平"
中海地产，紫御东郡，南北通透，户型好；满五年，唯一,中海紫御东郡 -世纪广场,2室2厅 | 123平米 | 南 北 | 简装 | 高楼层(共33层)  | 板塔结合,0人关注 / 7个月以前发布,106,"8,618元/平"
中环滨江花园 头牌望江 四居室 精装修 可双贷,中环·滨江花园 -世纪广场,4室2厅 | 174.4平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 5个月以前发布,166,"9,519元/平"
松北二区  私产大照  位置好 两室一厅,松北二区 -松北,2室1厅 | 61.2平米 | 东 西 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 2个月以前发布,39,"6,373元/平"
隆泰碧水山城B区3-2-1-1 120.06m² 68 万 业主急售,隆泰碧水山城B区 -铁东,3室2厅 | 123.06平米 | 南 北 | 简装 | 中楼层(共25层)  | 板楼,0人关注 / 5个月以前发布,65,"5,282元/平"
松北二区 三室 简单装修 私产大照,松北二区 -松北,3室1厅 | 72.4平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,55,"7,597元/平"
如一坊中央公园东山望公园三室两卫户型,如一坊中央公园 -世纪广场,3室2厅 | 97.6平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 6个月以前发布,120,"12,296元/平"
房主急售.龙城帝景头排望江.同小区价格低,龙城帝景 -中海,3室2厅 | 131平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,13人关注 / 一年前发布,87,"6,642元/平"
此房中档装修 屋里干净整洁 看房提前打电话,中环·滨江花园 -世纪广场,4室2厅 | 175平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,24人关注 / 一年前发布,185,"10,572元/平"
荣光花园 3室2厅 南 北,荣光花园 -二手车市场,3室2厅 | 136平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 10个月以前发布,75,"5,515元/平"
一楼带花园，重新装修，140万买的二手，现赔钱出售,万科城D区 -万科城,3室2厅 | 146平米 | 南 西 北 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 2个月以前发布,150,"10,274元/平"
地段好，交通便利，出行方便，环境优美,万科上东区 -万科城,3室2厅 | 103平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 一年前发布,104,"10,098元/平"
此房楼层好 南北通透 采光充足 配套设施齐全 交通便利,中海紫御东郡 -世纪广场,3室2厅 | 143平米 | 南 北 | 精装 | 低楼层(共30层)  | 板塔结合,0人关注 / 一年前发布,170,"11,889元/平"
万科城D区 带正地下车位 小高 重新装修 家具家电全带,万科城D区 -万科城,3室2厅 | 152.85平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,3人关注 / 一年前发布,155,"10,141元/平"
经典三室两厅两卫，采光，格局都好,金汇嘉园 -八一,3室2厅 | 139.6平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,105,"7,522元/平"
鸿博•温馨花园 3室1厅 南 北,鸿博•温馨花园 -苏宁,3室1厅 | 87.75平米 | 南 北 | 精装 | 中楼层(共11层)  | 塔楼,1人关注 / 5个月以前发布,78,"8,889元/平"
封闭小区，前边是别墅，采光好，无遮挡 精装修,中海国际社区原山二期 -中海,2室2厅 | 115平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,1人关注 / 8个月以前发布,75.5,"6,566元/平"
南北通透 采光充足 视野开 配套齐全交通便利成熟商圈,中海国际社区原山二期 -中海,4室1厅 | 141.93平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,2人关注 / 一年前发布,128,"9,019元/平"
此房一天未住 采光非好 望江效果也不错 随时看房,万科上东区 -万科城,3室2厅 | 110平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,1人关注 / 一年前发布,125,"11,364元/平"
绿地福林 三室两厅 精装修 南北通透 多层二楼 采光好,绿地福林 -雾凇中路,3室2厅 | 100平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,85.8,"8,580元/平"
头牌望江 三室两卫 另有车位出售,万科城D区 -万科城,3室2厅 | 141平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,147,"10,426元/平"
采光充足 园区中间位置 多层好楼层 南北通透 3室2卫,东方伟业公园道一号 -雾凇中路,3室1厅 | 110.27平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 6个月以前发布,96,"8,706元/平"
头排望江两室 看房方便 诚心出售,万科上东区 -万科城,3室2厅 | 110平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,104,"9,455元/平"
此房 户型方正，格局好，中间楼层，采光好,金域豪庭 -松花江中学,3室2厅 | 139平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,6人关注 / 一年前发布,105,"7,554元/平"
楼层好，视野好，大三室，装修好,万科城B区 -万科城,3室2厅 | 136平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,3人关注 / 一年前发布,145,"10,662元/平"
万科滨江九里 15层 3室 精装 视野开阔 采光好,万科滨江九里 -万科城,3室2厅 | 140平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,1人关注 / 11个月以前发布,152,"10,858元/平"
东昌花园 3室2厅 南 北,东昌花园 -天津街,3室2厅 | 160平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,31人关注 / 一年前发布,79,"4,938元/平"
红大领域优质房源1楼带花园带车库,红大领域 -雾凇中路,4室2厅 | 108平米 | 南 北 | 精装 | 低楼层(共11层)  | 板塔结合,3人关注 / 一年前发布,124.8,"11,556元/平"
恒大华府19楼 3室精装修 南北通透 拎包即,恒大华府 -中东,3室1厅 | 99平米 | 南 北 | 精装 | 高楼层(共19层)  | 板楼,0人关注 / 1个月以前发布,72,"7,273元/平"
大三居  楼层好  能望江   商圈配套齐全,龙城帝景 -中海,3室2厅 | 132平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,86,"6,516元/平"
万科上东区 电梯中层 南北通透好户型,万科上东区 -万科城,3室2厅 | 138.94平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,2人关注 / 一年前发布,130,"9,357元/平"
通地下车库南北通透格局得房率高毛坯交付业主诚心出售,金澜悦府 -二手车市场,3室2厅 | 127平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 板楼,0人关注 / 2个月以前发布,115,"9,056元/平"
南北通透3居室望江房 视野开宽,瀚星紫光绅苑一期 -松花江中学,3室2厅 | 180平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,3人关注 / 一年前发布,149,"8,278元/平"
龙湾公馆，望江望公园装修考究楼层好采光好视野好,龍湾雅苑 -世纪广场,4室2厅 | 236平米 | 南 北 | 精装 | 中楼层(共45层)  | 板楼,1人关注 / 5个月以前发布,395,"16,738元/平"
高档小区  物业规范  精装修  配套齐全,中海紫御江城 -世纪广场,4室3厅 | 243平米 | 南 北 | 精装 | 中楼层(共31层)  | 板楼,0人关注 / 2个月以前发布,380,"15,638元/平"
江边小区 ，空气新鲜湿润，此房为简装，看房方便,天鸿•水岸馨都 -万科城,3室1厅 | 110.28平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,7人关注 / 一年前发布,99,"8,978元/平"
户型方正 位置好 采光好 配套设施齐全 交通好,天鸿•水岸馨都 -万科城,3室1厅 | 116平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,2人关注 / 一年前发布,143,"12,328元/平"
品牌家具家电 全景望江 楼下就是音乐喷泉 视野开阔,红大明珠 -烽火丰满一实验,3室2厅 | 203平米 | 南 北 西 | 精装 | 低楼层(共39层)  | 板楼,3人关注 / 一年前发布,269,"13,252元/平"
电院小区 多层一楼 带花园  格局好,电院小区 -东北电力,2室2厅 | 99平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,43.5,"4,394元/平"
万科城 南北通透 看房方便 小区舒适 松花江边 空气好,万科城B区 -万科城,3室2厅 | 166平米 | 南 北 | 简装 | 低楼层(共34层)  | 板楼,1人关注 / 一年前发布,155,"9,338元/平"
万科滨江九里望江效果好，两室，大开间，视野开阔，,万科滨江九里 -万科城,3室2厅 | 160平米 | 南 北 | 简装 | 低楼层(共32层)  | 板楼,2人关注 / 一年前发布,185,"11,563元/平"
二排望江，客厅面宽8米7，马可、方太等品牌装修,万科滨江九里 -万科城,3室2厅 | 165平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,12人关注 / 一年前发布,202,"12,243元/平"
广泽紫晶城二期，南北通透，高层精装修，房主诚心出售,广泽紫晶城二期 -吉林一中,3室2厅 | 108平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,3人关注 / 4个月以前发布,88,"8,149元/平"
头排望江，一天没住。客厅面宽7米5,万科城 -万科城,4室2厅 | 212平米 | 南 北 | 简装 | 低楼层(共22层)  | 板楼,6人关注 / 一年前发布,235,"11,085元/平"
万科滨江九里.一梯一户.三室两卫.拎包入住,万科滨江九里 -万科城,3室2厅 | 136平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,5人关注 / 一年前发布,137,"10,074元/平"
隆鑫花园 户型方正 交通便利 配套齐全,隆鑫花园 -烽火丰满一实验,3室2厅 | 136.4平米 | 南 北 | 其他 | 中楼层(共17层)  | 板楼,7人关注 / 一年前发布,118,"8,652元/平"
万科B区  头排望江166平  中层  3室2卫 随时看房,万科城B区 -万科城,3室2厅 | 166平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,1人关注 / 5个月以前发布,168,"10,121元/平"
电梯洋房  头排望江 业主诚意出售,万科城B区 -万科城,3室2厅 | 156平米 | 东 西 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,159,"10,193元/平"
