标题,开发商,房子信息,发布信息,售价/万,单价
神农城，华晨御园毛坯大三房，中间楼层，价格可刀,华晨御园 -奥园城市广场,3室2厅 | 133.88平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 板塔结合,0人关注 / 8天以前发布,83.8,"6,260元/平"
此房户型好，电梯中层，市场价出手,城市风景（株洲） -庐山路,4室2厅 | 142平米 | 南 | 毛坯 | 高楼层(共18层)  | 塔楼,1人关注 / 4个月以前发布,72,"5,071元/平"
中建江湾一号121平方3房2厅诚心出售,中建江湾壹号 -湖南工业大学,3室2厅 | 121平米 | 东南 | 毛坯 | 中楼层(共20层)  | 塔楼,1人关注 / 10个月以前发布,101,"8,348元/平"
春藤小镇  采光通风充足  看房方便 交通便利,春藤小镇 -株洲西站,3室2厅 | 105平米 | 南 北 | 毛坯 | 低楼层(共31层)  | 暂无数据,2人关注 / 10个月以前发布,88.8,"8,458元/平"
全新小区，环境宜人，户型周正，采光视野好，无遮挡,亿都时光 -株洲西站,3室2厅 | 118.96平米 | 南 | 毛坯 | 中楼层(共21层)  | 暂无数据,0人关注 / 8个月以前发布,100,"8,407元/平"
华晨·山水洲城 3室2厅 东南,华晨·山水洲城 -株洲西站,3室2厅 | 134平米 | 东南 | 毛坯 | 高楼层(共32层)  | 板塔结合,1人关注 / 4个月以前发布,80,"5,971元/平"
此房满二，采光通风佳，视野开阔,创信中央皇庭 -向阳广场,4室2厅 | 160平米 | 南 | 精装 | 高楼层(共30层)  | 板塔结合,0人关注 / 7个月以前发布,96,"6,000元/平"
德政花苑精装大3房，满2年，长江广场，单位房,德政花苑 -庐山路,3室2厅 | 137平米 | 东 南 | 精装 | 高楼层(共8层)  | 板楼,0人关注 / 4个月以前发布,65,"4,745元/平"
人车分流 楼间距宽 视野开阔 绿化高 自带游泳池,金轮津桥华府 -株洲西站,4室1厅 | 113.76平米 | 东南 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,92,"8,088元/平"
精装三房 楼层好 采光充足 设施齐全,春藤小镇 -株洲西站,3室2厅 | 112.8平米 | 南 | 精装 | 低楼层(共26层)  | 板塔结合,0人关注 / 5个月以前发布,115,"10,196元/平"
万达广场 全新装修 三房两厅 电梯中层 拎包入住,株洲恒大林溪郡 -向阳广场,3室2厅 | 106.97平米 | 东南 | 精装 | 高楼层(共33层)  | 暂无数据,1人关注 / 4个月以前发布,79.8,"7,461元/平"
醴泉路精装电梯大三房 圆弧形餐厅 视野开阔 首付2成,星海明筑 -醴陵市,3室2厅 | 147平米 | 南 北 | 精装 | 中楼层(共33层)  | 塔楼,2人关注 / 4个月以前发布,86.8,"5,905元/平"
单价低，主城临江地段，居家精装，保养良好，拎包入住,群建宿舍 -滨江广场,3室2厅 | 100平米 | 南 | 简装 | 高楼层(共7层)  | 板塔结合,20人关注 / 一年前发布,31.8,"3,180元/平"
美的翰城 4室2厅 东,美的翰城 -株洲西站,4室2厅 | 140.8平米 | 东 | 精装 | 低楼层(共32层)  | 暂无数据,1人关注 / 8个月以前发布,168,"11,932元/平"
天元区泰山路交接武广片区，全新精装修复式楼,壹品熙园 -株洲西站,4室2厅 | 146平米 | 东南 | 精装 | 低楼层(共32层)  | 暂无数据,3人关注 / 4个月以前发布,114.88,"7,869元/平"
泰山路 山水豪庭全新毛坯三房 两梯三户 急售........,华晨山水豪庭 -株洲西站,3室2厅 | 110.7平米 | 南 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 7个月以前发布,68.8,"6,215元/平"
工大株百 康桥美郡 精装三房 拎包入住 诚心出售,康桥美郡 -湖南工业大学,3室2厅 | 123平米 | 南 北 | 精装 | 中楼层(共26层)  | 板塔结合,7人关注 / 一年前发布,78.8,"6,407元/平"
城市风景（株洲） 4室2厅 南 北,城市风景（株洲） -庐山路,4室2厅 | 141.88平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 塔楼,4人关注 / 一年前发布,90,"6,344元/平"
春藤小镇  采光通风充足  交通便利 看房方便,春藤小镇 -株洲西站,4室2厅 | 123平米 | 南 | 毛坯 | 低楼层(共29层)  | 暂无数据,2人关注 / 一年前发布,100.8,"8,196元/平"
满两年 电梯中高层 园林式小区 家具家电齐全,大江观邸 -株洲大道（体育馆）,3室2厅 | 87平米 | 南 北 | 简装 | 高楼层(共33层)  | 塔楼,4人关注 / 9个月以前发布,57.8,"6,644元/平"
武广片区优质**位房，户型南北通透,春藤小镇 -株洲西站,4室2厅 | 124平米 | 南 北 | 精装 | 高楼层(共26层)  | 暂无数据,0人关注 / 3个月以前发布,130,"10,484元/平"
栗雨湖畔，精装大3房，9成新拎包入住,佳兆业金域天下西区 -栗雨（美的城）,3室2厅 | 115.75平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 6个月以前发布,88,"7,603元/平"
响石广场旁精装三房两厅两卫出售,轩竹楼 -响石广场,3室2厅 | 115平米 | 东南 | 精装 | 中楼层(共18层)  | 暂无数据,2人关注 / 7个月以前发布,51,"4,435元/平"
方正户型 采光视野良好 满两年 旁边设施 交通 齐全,庆云小区 -庐山路,3室2厅 | 128平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 一年前发布,54.6,"4,266元/平"
春藤小镇 3室2厅 南,春藤小镇 -株洲西站,3室2厅 | 82.31平米 | 南 | 毛坯 | 中楼层(共31层)  | 暂无数据,11人关注 / 11个月以前发布,69,"8,383元/平"
业主长沙购房诚心出售佳兆业简装四房,佳兆业金域天下西区 -栗雨（美的城）,4室2厅 | 136平米 | 南 北 | 简装 | 中楼层(共33层)  | 板塔结合,0人关注 / 8个月以前发布,79.6,"5,853元/平"
山水洲城 4室2厅 东南,山水洲城 -株洲西站,4室2厅 | 172平米 | 东南 | 毛坯 | 高楼层(共31层)  | 板塔结合,0人关注 / 10个月以前发布,110,"6,396元/平"
江景 中建江湾一号 毛坯大四房户型周正 双阳台,中建江湾壹号 -湖南工业大学,3室2厅 | 121.8平米 | 南 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,88,"7,225元/平"
春藤小镇 4室2厅 南 北,春藤小镇 -株洲西站,4室2厅 | 125平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板楼,0人关注 / 7个月以前发布,108,"8,640元/平"
山水洲城 正规三房两厅 户型周正 采光好,华晨·山水洲城 -株洲西站,3室2厅 | 137.56平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板塔结合,1人关注 / 一年前发布,90.8,"6,601元/平"
中建江湾一号 170平大4房 一梯一户,中建江湾壹号 -湖南工业大学,4室2厅 | 170.8平米 | 南 | 毛坯 | 低楼层(共20层)  | 暂无数据,2人关注 / 2个月以前发布,111.8,"6,546元/平"
桂花城 户型周正大四房楼层好有钥匙随时看房 诚心出售,日盛·桂花城 -株洲西站,4室2厅 | 134平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,79.6,"5,941元/平"
小区环境好 湘江边上 空气好，正规三房,湘江四季花园 -庆云山,3室2厅 | 137平米 | 南 北 | 简装 | 低楼层(共13层)  | 塔楼,4人关注 / 一年前发布,62.8,"4,584元/平"
看神农湖 奥园湖畔一号，毛坯大三房132平米单价7500,奥园湖畔一号 -湖南工业大学,3室2厅 | 132.69平米 | 南 | 毛坯 | 高楼层(共31层)  | 板楼,8人关注 / 一年前发布,101,"7,612元/平"
万达商圈清水毛坯大三房环境优美随时看房,歌雅郡 -向阳广场,3室2厅 | 135平米 | 南 | 毛坯 | 中楼层(共28层)  | 板楼,0人关注 / 5个月以前发布,72.8,"5,393元/平"
炎帝广场 龙腾国际 大三房 视野开阔 采光充足,龙腾国际 -湖南工业大学,3室2厅 | 130平米 | 东 东南 | 毛坯 | 高楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,82,"6,308元/平"
房子三室一厅可用面积是房子的2贝！！阁楼！价格合理,玫瑰名城百合苑 -大润发,3室1厅 | 53.72平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,3人关注 / 一年前发布,36,"6,702元/平"
春藤小镇 4室2厅 南,春藤小镇 -株洲西站,4室2厅 | 126.95平米 | 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,0人关注 / 3个月以前发布,112,"8,823元/平"
人车分流 楼间距宽 视野开阔 绿化高 自带游泳池,金轮津桥华府 -株洲西站,3室2厅 | 95平米 | 东南 | 精装 | 高楼层(共27层)  | 暂无数据,0人关注 / 5个月以前发布,92,"9,685元/平"
此房是精装修.用的全部是品牌材料.房东用心爱护,天顺锦楼 -向阳广场,2室2厅 | 78.31平米 | 南 | 精装 | 中楼层(共27层)  | 暂无数据,1人关注 / 一年前发布,55,"7,024元/平"
山水洲城 4室2厅 南,山水洲城 -株洲西站,4室2厅 | 140.29平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 一年前发布,88,"6,273元/平"
独梯独户，坐北朝南动静分离，视野采光好， 户型周正,株洲奥园养生城 -湖南工业大学,5室2厅 | 236平米 | 东 东南 南 | 毛坯 | 中楼层(共25层)  | 板塔结合,0人关注 / 一年前发布,237.8,"10,077元/平"
天鹅花园3室2厅1卫，带车库。价格可谈！诚心出售！,天鹅花园 -天鹅湖公园,3室2厅 | 103平米 | 西南 | 精装 | 低楼层(共8层)  | 板塔结合,5人关注 / 一年前发布,47,"4,564元/平"
国土局旁 位置好 适合刚需 改善 看房方便,益民小苑 -庐山路,3室2厅 | 147平米 | 东南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 11个月以前发布,75,"5,103元/平"
天玺湾户型格局好 公摊少 带入户花园 居家户型,中房天玺湾 -株洲西站,5室2厅 | 130平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 暂无数据,3人关注 / 一年前发布,89.8,"6,908元/平"
美的蓝溪谷 4室2厅 东南,美的蓝溪谷 -栗雨（美的城）,4室2厅 | 135平米 | 东南 | 毛坯 | 中楼层(共26层)  | 暂无数据,9人关注 / 6个月以前发布,80.8,"5,986元/平"
公务员小区泰山西路九八缔景城毛坯大四房诚心出售,九八缔景城 -株洲西站,4室2厅 | 139平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 板塔结合,5人关注 / 8个月以前发布,77.7,"5,590元/平"
山水豪庭大三房，户型周正，采光好,华晨山水豪庭 -株洲西站,3室2厅 | 119平米 | 南 | 毛坯 | 高楼层(共32层)  | 暂无数据,0人关注 / 9个月以前发布,88,"7,395元/平"
华晨山水豪庭 3室2厅 东南,华晨山水豪庭 -株洲西站,3室2厅 | 127平米 | 东南 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 4个月以前发布,84.8,"6,678元/平"
金轮翡翠名园    交通便利 采光充足,金轮·翡翠名园 -株洲西站,4室2厅 | 126平米 | 东 东南 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 一年前发布,102,"8,096元/平"
河西 国土局 益民小苑 精装三房 价格美丽,益民小苑 -庐山路,3室2厅 | 120平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,17人关注 / 一年前发布,45,"3,750元/平"
户型很好 周正 采光很好 电梯楼 交通方便,泰山一号 -株洲西站,3室2厅 | 124平米 | 南 | 毛坯 | 低楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,63,"5,081元/平"
华晨山水州城正规大三房，户型周正，采光好,华晨·山水洲城 -株洲西站,3室2厅 | 138平米 | 南 | 毛坯 | 低楼层(共32层)  | 板塔结合,5人关注 / 一年前发布,80.8,"5,856元/平"
湖电科技公寓（渌水怡园） 三房，钥匙在手，看房方便,湖电科技公寓 -醴陵市,3室2厅 | 111平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,9人关注 / 一年前发布,39.8,"3,586元/平"
中房天玺湾竖院 4室2厅 南,中房天玺湾竖院 -株洲西站,4室2厅 | 130.38平米 | 南 | 毛坯 | 低楼层(共33层)  | 暂无数据,14人关注 / 一年前发布,79.8,"6,121元/平"
神农城旁出门散步方便，工业大学，炎帝广场，,碧海家园 -湖南工业大学,4室2厅 | 173.09平米 | 南 | 精装 | 高楼层(共30层)  | 板塔结合,1人关注 / 5个月以前发布,86.5,"4,998元/平"
绿地城际空间站 4室2厅 南 北,绿地城际空间站 -株洲西站,4室2厅 | 126.36平米 | 南 北 | 精装 | 低楼层(共33层)  | 暂无数据,0人关注 / 8个月以前发布,106,"8,389元/平"
栗雨湖佳兆业西区毛坯大四房视野开阔南北通透电梯中层,佳兆业金域天下西区 -栗雨（美的城）,4室2厅 | 139平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,5人关注 / 7个月以前发布,82,"5,900元/平"
白鹤凌溪，精装四房，从未入住，诚心出售,中房天玺湾 -株洲西站,4室2厅 | 132平米 | 南 | 精装 | 中楼层(共33层)  | 暂无数据,7人关注 / 一年前发布,97.8,"7,410元/平"
长江北路 47万 精装大三房 带杂物间,富绅花园 -庐山路,3室2厅 | 122平米 | 东南 | 精装 | 高楼层(共7层)  | 板塔结合,3人关注 / 11个月以前发布,43.8,"3,591元/平"
当代上品湾4-2-1-2 143.00m² 95 万,当代上品湾MOMΛ（当代尚品苑） -湖南工业大学,4室2厅 | 143平米 | 东南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 2个月以前发布,94.98,"6,642元/平"
白鹤菱溪 带入户花园 户型通透带双阳台 满两年,日盛·桂花城 -株洲西站,3室2厅 | 113平米 | 南 北 | 简装 | 低楼层(共35层)  | 塔楼,0人关注 / 6个月以前发布,73.5,"6,505元/平"
该房屋满两年，富人成熟小区，业主诚心出售,晋合湘水湾三期 -神农城,3室2厅 | 115.15平米 | 南 | 其他 | 低楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,105,"9,119元/平"
华晨·山水洲城 3室2厅 南,华晨·山水洲城 -株洲西站,3室2厅 | 117.88平米 | 南 | 毛坯 | 高楼层(共31层)  | 板塔结合,0人关注 / 一年前发布,62.6,"5,311元/平"
庐山路 位置好  交通方便 旁边就是大姆指,庐山恋 -庐山路,4室2厅 | 165平米 | 南 北 | 精装 | 低楼层(共18层)  | 塔楼,17人关注 / 一年前发布,91.5,"5,546元/平"
山水洲城全新毛坯三房白鹤菱溪满两年低税费户型周正,华晨·山水洲城 -株洲西站,3室2厅 | 111平米 | 东南 | 毛坯 | 中楼层(共31层)  | 板塔结合,15人关注 / 一年前发布,61.8,"5,568元/平"
栗雨湖畔 金域天下二期 南北通透毛坯三房,佳兆业金域天下西区 -栗雨（美的城）,3室2厅 | 115.33平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,30人关注 / 一年前发布,67.8,"5,879元/平"
金包入住三居室好楼层，出门就逛苏宁,天元机关小区 -庐山路,3室2厅 | 124平米 | 东南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 一年前发布,68,"5,484元/平"
华晨出品 毛坯大3房 诚意出售,山水洲城 -株洲西站,3室2厅 | 142平米 | 东南 | 毛坯 | 中楼层(共31层)  | 板塔结合,4人关注 / 8个月以前发布,78.8,"5,550元/平"
二中正门口 春藤小镇 南北双阳台四房 随时可以看房,春藤小镇 -株洲西站,4室2厅 | 133.72平米 | 东 | 毛坯 | 高楼层(共32层)  | 板楼,0人关注 / 9个月以前发布,120.5,"9,012元/平"
恒大华府 全新精装大四房 拎包就可入住 随时看房,株洲恒大华府 -湖南工业大学,4室2厅 | 141.93平米 | 东南 | 精装 | 高楼层(共33层)  | 板塔结合,2人关注 / 4个月以前发布,105,"7,399元/平"
楼层好，17楼 小区中间位置 视野宽阔，配套设施齐全,春藤小镇 -株洲西站,3室2厅 | 94.04平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 6个月以前发布,88,"9,358元/平"
佳兆业，精装大三房，满两年，价格可以谈。,佳兆业金域天下西区 -栗雨（美的城）,3室2厅 | 125平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,73,"5,840元/平"
此房满五不唯一，首付低总价低  户型周正 采光好,嘉天紫东苑 -向阳广场,4室2厅 | 135.5平米 | 南 | 精装 | 中楼层(共17层)  | 板塔结合,0人关注 / 3个月以前发布,67.8,"5,004元/平"
5字头！山水洲城毛坯3房 急售！急售！,华晨·山水洲城 -株洲西站,3室2厅 | 117.88平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 板塔结合,2人关注 / 3个月以前发布,65,"5,515元/平"
都市兰亭毛坯三房，高楼层，视野开阔，采光通风好,都市兰亭 -响石广场,3室2厅 | 103平米 | 南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 6个月以前发布,62.8,"6,098元/平"
首付15万买，天鹅湖公园，毛坯电梯三房,天鹅花园 -天鹅湖公园,3室2厅 | 128平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,62,"4,844元/平"
经世龙城 精装3房 业主诚心出售,经世龙城 -栗雨（美的城）,3室2厅 | 125平米 | 南 | 精装 | 低楼层(共30层)  | 板塔结合,4人关注 / 6个月以前发布,83.8,"6,704元/平"
正红旗广场步梯一楼大四房业主诚心出售,119小区 -红旗广场,4室2厅 | 150平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,76,"5,067元/平"
栗雨湖景观 金域天下洋房 诚意出售,金域天下东区 -栗雨（美的城）,4室2厅 | 172平米 | 东 | 毛坯 | 中楼层(共11层)  | 平房,1人关注 / 一年前发布,109.8,"6,384元/平"
华府龙苑 3室2厅 南,华府龙苑 -株洲大道（体育馆）,3室2厅 | 139.74平米 | 南 | 精装 | 高楼层(共17层)  | 板塔结合,1人关注 / 一年前发布,92,"6,584元/平"
万达旁 全新精装3房2厅2卫  有钥匙诚心卖,东部美的城二期 -向阳广场,3室2厅 | 111.1平米 | 南 北 | 精装 | 高楼层(共33层)  | 暂无数据,0人关注 / 3个月以前发布,80,"7,201元/平"
神农城，湖畔一号 看湖景，二梯二户大四房，东边户,奥园湖畔一号 -湖南工业大学,4室2厅 | 151平米 | 南 | 毛坯 | 高楼层(共31层)  | 平房,0人关注 / 3个月以前发布,120,"7,948元/平"
丽景滨江一期 平层非错层 大四房 大江景阳台,丽景滨江一期 -滨江广场,4室2厅 | 170平米 | 东南 | 毛坯 | 低楼层(共30层)  | 板塔结合,2人关注 / 10个月以前发布,134,"7,883元/平"
天元大桥 蓝盾景园二期 三加一房 自住精装 带租约出售,中信蓝盾景园二期 -滨江广场,4室2厅 | 183平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,1人关注 / 一年前发布,138,"7,541元/平"
万达商圈 精装大两房 小区环境好 新小区,御景龙湾 -汽车城,2室2厅 | 86.13平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,56,"6,502元/平"
恒大华府 全新精装大四房 拎包就可入住 随时看房,株洲恒大华府 -湖南工业大学,4室2厅 | 141.93平米 | 东南 | 精装 | 高楼层(共33层)  | 板塔结合,2人关注 / 4个月以前发布,105,"7,399元/平"
楼层好，17楼 小区中间位置 视野宽阔，配套设施齐全,春藤小镇 -株洲西站,3室2厅 | 94.04平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 6个月以前发布,88,"9,358元/平"
佳兆业，精装大三房，满两年，价格可以谈。,佳兆业金域天下西区 -栗雨（美的城）,3室2厅 | 125平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,73,"5,840元/平"
都市兰亭毛坯三房，高楼层，视野开阔，采光通风好,都市兰亭 -响石广场,3室2厅 | 103平米 | 南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 6个月以前发布,62.8,"6,098元/平"
格局好。楼层好，采光充足，配套设施齐全，交通便利,绿地城际空间站 -株洲西站,4室2厅 | 126.31平米 | 南 西 | 精装 | 中楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,106,"8,393元/平"
此房满五不唯一，首付低总价低  户型周正 采光好,嘉天紫东苑 -向阳广场,4室2厅 | 135.5平米 | 南 | 精装 | 中楼层(共17层)  | 板塔结合,0人关注 / 3个月以前发布,67.8,"5,004元/平"
5字头！山水洲城毛坯3房 急售！急售！,华晨·山水洲城 -株洲西站,3室2厅 | 117.88平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 板塔结合,2人关注 / 3个月以前发布,65,"5,515元/平"
栗雨湖畔 金域天下二期 南北通透毛坯三房,佳兆业金域天下西区 -栗雨（美的城）,3室2厅 | 115.33平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,30人关注 / 一年前发布,67.8,"5,879元/平"
二中正门口 春藤小镇 南北双阳台四房 随时可以看房,春藤小镇 -株洲西站,4室2厅 | 133.72平米 | 东 | 毛坯 | 高楼层(共32层)  | 板楼,0人关注 / 9个月以前发布,120.5,"9,012元/平"
首付15万买，天鹅湖公园，毛坯电梯三房,天鹅花园 -天鹅湖公园,3室2厅 | 128平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,62,"4,844元/平"
金包入住三居室好楼层，出门就逛苏宁,天元机关小区 -庐山路,3室2厅 | 124平米 | 东南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 一年前发布,68,"5,484元/平"
华晨出品 毛坯大3房 诚意出售,山水洲城 -株洲西站,3室2厅 | 142平米 | 东南 | 毛坯 | 中楼层(共31层)  | 板塔结合,4人关注 / 8个月以前发布,78.8,"5,550元/平"
华晨·山水洲城 3室2厅 南,华晨·山水洲城 -株洲西站,3室2厅 | 117.88平米 | 南 | 毛坯 | 高楼层(共31层)  | 板塔结合,0人关注 / 一年前发布,62.6,"5,311元/平"
庐山路 位置好  交通方便 旁边就是大姆指,庐山恋 -庐山路,4室2厅 | 165平米 | 南 北 | 精装 | 低楼层(共18层)  | 塔楼,17人关注 / 一年前发布,91.5,"5,546元/平"
山水洲城全新毛坯三房白鹤菱溪满两年低税费户型周正,华晨·山水洲城 -株洲西站,3室2厅 | 111平米 | 东南 | 毛坯 | 中楼层(共31层)  | 板塔结合,15人关注 / 一年前发布,61.8,"5,568元/平"
奥园养生城  毛坯三房  诚意出售,株洲奥园养生城 -湖南工业大学,3室2厅 | 120平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,3人关注 / 一年前发布,75.8,"6,317元/平"
庐山恋 精装错层大四房  诚心出售,庐山恋 -庐山路,4室2厅 | 163.3平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 一年前发布,105,"6,430元/平"
株洲天元区山水洲城毛坯大三房，满2年,山水洲城 -株洲西站,3室2厅 | 120.18平米 | 南 | 毛坯 | 中楼层(共30层)  | 板塔结合,4人关注 / 一年前发布,74.68,"6,215元/平"
户型周正，标准三房，视野好，采光充足，主卧大,亿都时光 -株洲西站,3室2厅 | 97.84平米 | 南 | 毛坯 | 高楼层(共21层)  | 暂无数据,0人关注 / 8个月以前发布,76.9,"7,860元/平"
春藤小镇正规大四房，户型周正，采光好,春藤小镇 -株洲西站,4室2厅 | 125平米 | 东南 | 毛坯 | 高楼层(共29层)  | 塔楼,0人关注 / 5个月以前发布,99.8,"7,984元/平"
栗雨湖佳兆业二期独梯独户大三房精装修,佳兆业金域天下西区 -栗雨（美的城）,3室2厅 | 115平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,1人关注 / 7个月以前发布,65.8,"5,722元/平"
未来城 3室2厅 南,未来城 -湖南工业大学,3室2厅 | 106平米 | 南 | 毛坯 | 高楼层(共20层)  | 板塔结合,0人关注 / 一年前发布,65,"6,133元/平"
中建御山和苑 3室2厅 东南,中建御山和苑 -庐山路,3室2厅 | 114.7平米 | 东南 | 毛坯 | 高楼层(共32层)  | 板塔结合,3人关注 / 一年前发布,90,"7,847元/平"
天玺湾 自带 270°观景大飘窗 宜居家,中房天玺湾 -株洲西站,4室2厅 | 143.6平米 | 南 | 毛坯 | 高楼层(共33层)  | 暂无数据,5人关注 / 一年前发布,99,"6,895元/平"
春藤小镇采光充足看房方便 交通便利,春藤小镇 -株洲西站,3室2厅 | 99.98平米 | 南 | 毛坯 | 高楼层(共30层)  | 暂无数据,14人关注 / 一年前发布,82.8,"8,282元/平"
红旗广场商圈，金钩山路，大众家园全新毛坯复式楼,大众家园 -红旗广场,6室2厅 | 233平米 | 西南 | 毛坯 | 高楼层(共7层)  | 暂无数据,6人关注 / 一年前发布,66,"2,833元/平"
武广片区，使用面积近300平米洋房出售带院子,壹品熙园 -株洲西站,3室2厅 | 116平米 | 东南 | 毛坯 | 低楼层(共8层)  | 暂无数据,7人关注 / 一年前发布,105,"9,052元/平"
万达商圈清水毛坯大三房环境优美随时看房,歌雅郡 -向阳广场,3室2厅 | 135平米 | 南 | 毛坯 | 中楼层(共28层)  | 板楼,0人关注 / 5个月以前发布,72.8,"5,393元/平"
看神农湖 奥园湖畔一号，毛坯大三房132平米单价7500,奥园湖畔一号 -湖南工业大学,3室2厅 | 132.69平米 | 南 | 毛坯 | 高楼层(共31层)  | 板楼,8人关注 / 一年前发布,101,"7,612元/平"
炎帝广场 龙腾国际 大三房 视野开阔 采光充足,龙腾国际 -湖南工业大学,3室2厅 | 130平米 | 东 东南 | 毛坯 | 高楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,82,"6,308元/平"
小区环境好 湘江边上 空气好，正规三房,湘江四季花园 -庆云山,3室2厅 | 137平米 | 南 北 | 简装 | 低楼层(共13层)  | 塔楼,4人关注 / 一年前发布,62.8,"4,584元/平"
佳兆业金域天下西区 4室2厅 南,佳兆业金域天下西区 -栗雨（美的城）,4室2厅 | 174.4平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 5个月以前发布,92,"5,276元/平"
山水洲城173平大平层，毛坯未做任何改动，随时看房！,山水洲城 -株洲西站,4室1厅 | 172.7平米 | 南 | 毛坯 | 中楼层(共31层)  | 板塔结合,0人关注 / 4个月以前发布,103,"5,965元/平"
湘银一梯两户板房，精装电梯大四房房，拎包  入住,湘银小区世纪花园 -滨江广场,4室2厅 | 159.72平米 | 南 | 精装 | 低楼层(共15层)  | 板楼,1人关注 / 3个月以前发布,78,"4,884元/平"
天鹅湖公园 荷塘嘉苑 毛坯三房 还有个杂物间,天鹅花园 -天鹅湖公园,3室2厅 | 142.54平米 | 东 | 毛坯 | 低楼层(共19层)  | 塔楼,2人关注 / 一年前发布,66,"4,631元/平"
日盛·桂花城3-2-1-1 90.81m² 65 万 满两年 环境优美,日盛·桂花城 -株洲西站,3室2厅 | 90.81平米 | 南 | 毛坯 | 中楼层(共30层)  | 板塔结合,1人关注 / 一年前发布,60.8,"6,696元/平"
壹品熙园 4室2厅 南,壹品熙园 -株洲西站,4室2厅 | 146.45平米 | 南 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 3个月以前发布,96,"6,556元/平"
美的置业 园林小区 通透三房 是一期,美的·紫云台 -向阳广场,3室2厅 | 116平米 | 南 东南 | 毛坯 | 低楼层(共31层)  | 暂无数据,1人关注 / 4个月以前发布,62,"5,345元/平"
九八缔景城 4室2厅 南,九八缔景城 -株洲西站,4室2厅 | 106平米 | 南 | 毛坯 | 中楼层(共31层)  | 板塔结合,2人关注 / 4个月以前发布,68,"6,416元/平"
满两年 万达商圈 精装大三房  采光充足 交通便利,凯风龙城 -田心,3室2厅 | 126.05平米 | 南 | 精装 | 低楼层(共29层)  | 暂无数据,2人关注 / 8个月以前发布,84.6,"6,712元/平"
白鹤菱溪 带入户花园 户型通透带双阳台 满两年,日盛·桂花城 -株洲西站,3室2厅 | 113平米 | 南 北 | 简装 | 低楼层(共35层)  | 塔楼,0人关注 / 6个月以前发布,73.5,"6,505元/平"
