标题,开发商,房子信息,发布信息,售价/万,单价
此房精装修拎包入住，楼层好 视野开阔，生活便利。。,凯旋中央城 -吉州区,2室2厅 | 84.28平米 | 南 北 | 精装 | 高楼层(共29层)  | 板塔结合,0人关注 / 22天以前发布,75.8,"8,994元/平"
南北通透，采光充足，房子新装修过，大三房。有柴间。,翰文苑小区 -吉水县,3室2厅 | 154.75平米 | 南 北 | 精装 | 高楼层(共7层)  | 平房,0人关注 / 一年前发布,85,"5,493元/平"
森林公园旁边精装四房中间楼层产证在手直接拎包入住。,恒荣月亮湾 -吉安县,4室2厅 | 150.16平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 5个月以前发布,104,"6,926元/平"
港龙上宾道  毛坯房 采光好 满两年,港龙·上宾道 -吉州区,3室2厅 | 122.46平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,1人关注 / 一年前发布,85,"6,942元/平"
交通便利，小区规范，居住适宜，,鑫瑞城市花园 -吉安县,3室2厅 | 113.9平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 4个月以前发布,120,"10,536元/平"
南海名都.中间楼层三室二厅一厨二卫,南海名都 -永丰县,3室2厅 | 128.6平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,1人关注 / 8个月以前发布,88,"6,843元/平"
城北新上房源，大面积4房，业主诚心出售。,嘉禾新城 -永新县,4室2厅 | 136.07平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 一年前发布,126.6,"9,305元/平"
吉安好地段，户型通透，大三房，可观江景采光好。,滨江三期 -吉州区,3室2厅 | 134.57平米 | 东 | 精装 | 高楼层(共10层)  | 平房,0人关注 / 一年前发布,89.9,"6,681元/平"
城北精装房，可拎包入住，省去了装修的烦恼,滨江盛景 -永新县,3室2厅 | 107平米 | 东南 | 精装 | 高楼层(共18层)  | 板楼,2人关注 / 一年前发布,108,"10,094元/平"
城南 水韵蓝湾 满两年 精装三房 直接拎包入住,水韵蓝湾 -吉州区,3室2厅 | 96.32平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,12人关注 / 一年前发布,84.8,"8,804元/平"
明珠佳苑小区 采光好 实际更大 通透，带大露台,明珠佳苑小区 -吉州区,5室3厅 | 203.03平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,9人关注 / 一年前发布,150,"7,389元/平"
此房为业主诚心卖，买一层有2层,恒兴华府 -永新县,3室2厅 | 134平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,75,"5,598元/平"
莱茵河畔东区大露台复式楼，南北通透,莱茵河畔东区 -吉州区,5室2厅 | 270.49平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,3人关注 / 一年前发布,225,"8,319元/平"
满五唯一城南复式楼，诚信出售，预约看房,恒源泰水岸绿洲 -吉州区,4室2厅 | 223.48平米 | 南 | 精装 | 高楼层(共7层)  | 塔楼,2人关注 / 一年前发布,160,"7,160元/平"
此房是精装房，格局方正，东西朝向，即买即住,万家太阳城 -吉州区,3室2厅 | 116.99平米 | 东 | 精装 | 中楼层(共30层)  | 塔楼,1人关注 / 一年前发布,109,"9,318元/平"
国兴新世纪新小区，房子户型好采光足。,国兴新世纪 -泰和县,3室2厅 | 123.23平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 板塔结合,0人关注 / 7个月以前发布,92.6,"7,515元/平"
帝景湾四期 精装修 三房 有子母车位,康居帝景湾四期 -吉州区,3室2厅 | 105.6平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,120,"11,364元/平"
房子建于2012年，年代新，毛坯房，可自由装修，,水岸鑫城 -吉水县,3室2厅 | 123平米 | 南 | 毛坯 | 低楼层(共24层)  | 板楼,2人关注 / 9个月以前发布,52.8,"4,293元/平"
房子满五唯一，中间楼层，出入方便带一个9平方的柴间,文峰中大道 -吉水县,3室2厅 | 92.72平米 | 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,60,"6,472元/平"
交通方便，环境优美，业主诚心出售,茶博园 -遂川县,2室1厅 | 82.5平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,1人关注 / 7个月以前发布,61.5,"7,455元/平"
拎包入住，离思源近，南北双阳台，东边户，中间楼层,滨江华庭 -青原区,3室2厅 | 130.19平米 | 南 | 精装 | 中楼层(共7层)  | 平房,0人关注 / 3个月以前发布,95,"7,298元/平"
业主诚心出售，改善换房子，价格实惠,龍景豪庭 -青原区,3室2厅 | 130.67平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 7个月以前发布,80,"6,123元/平"
文峰东大道 9室4厅 南,文峰东大道 -吉水县,9室4厅 | 556.85平米 | 南 | 简装 | 低楼层(共4层)  | 板楼,0人关注 / 8个月以前发布,260,"4,670元/平"
文明南路三房两厅一卫，带一个柴间9.34平，南北走向。,文明南路 -吉水县,3室2厅 | 139.94平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,6人关注 / 一年前发布,56,"4,002元/平"
户型好，采光宽阔，5房4厅1厨4卫的户型。,港龙·上宾道 -吉州区,5室4厅 | 378.14平米 | 南 | 毛坯 | 3层  | 塔楼 | 联排别墅 ,2人关注 / 一年前发布,268,"7,088元/平"
房子在跃进西路那里鑫欣苑，交通便捷买卖方便,鑫欣苑 -永丰县,3室2厅 | 126.79平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,2人关注 / 一年前发布,79,"6,231元/平"
位置好，小孩子上学方便，旁边就有医院和*市很方便,恩江北大道68号 -永丰县,3室1厅 | 118.15平米 | 东 西 | 简装 | 低楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,74.5,"6,306元/平"
位置好，小孩子上学方便，旁边就有医院和*市很方便,恩江北大道68号 -永丰县,3室1厅 | 118.15平米 | 东 西 | 简装 | 低楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,74.5,"6,306元/平"
业主诚心卖 城南品质小区 精装修  拎包入住,恒大帝景 -吉州区,3室2厅 | 120.58平米 | 北 | 精装 | 低楼层(共28层)  | 板楼,0人关注 / 1个月以前发布,116,"9,621元/平"
业主急卖  古南蓝湾 城南园林式小区 精装修大三房,六合盛世古南蓝湾 -吉州区,3室2厅 | 134.45平米 | 南 | 精装 | 高楼层(共24层)  | 板楼,0人关注 / 4个月以前发布,126.8,"9,432元/平"
城南恒大帝景大三房，园林景观，天然氧吧,恒大帝景 -吉州区,3室2厅 | 127.98平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,1人关注 / 7个月以前发布,119,"9,299元/平"
此房是顶楼复式，位置好，采光好，房东诚心卖！,滨江学府豪园 -青原区,5室2厅 | 250.44平米 | 南 北 | 毛坯 | 高楼层(共23层)  | 塔楼,0人关注 / 11个月以前发布,149,"5,950元/平"
井大阳光城户型方正采光充足配套齐全交通便利。,井大阳光城 -青原区,4室2厅 | 128.8平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 3个月以前发布,93.8,"7,283元/平"
大三房，户型方正，空气对流性好,岭下路新村 -吉水县,3室2厅 | 137.92平米 | 北 南 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,75,"5,438元/平"
县中芯三房，满五年税少，中间好楼层,卫生巷小区 -泰和县,3室2厅 | 88.07平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,65,"7,381元/平"
阳光新城小区6、7复式，过户费低,阳光新城小区 -青原区,5室3厅 | 200平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,3人关注 / 一年前发布,110,"5,500元/平"
位置好，南北通透格局，视野宽阔，采光充足,华兴新村 -吉水县,3室2厅 | 133.35平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,1人关注 / 一年前发布,62,"4,650元/平"
房子满五年，一楼，一梯两户，南北通透，公摊低。,光彩桂香园 -吉水县,3室2厅 | 127.48平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,2人关注 / 一年前发布,85,"6,668元/平"
拎包入住大三房，位置好，文峰。,北门巷一路 -吉水县,3室2厅 | 126.32平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,4人关注 / 一年前发布,68,"5,384元/平"
光线好，是边户，小区环境好，人车分流。,财富广场(吉水县) -吉水县,3室2厅 | 107.5平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 8个月以前发布,75,"6,977元/平"
电梯房 面积大 总价低 压力小 地段好,阳光新城小区 -青原区,3室2厅 | 141.99平米 | 东 西 | 简装 | 中楼层(共11层)  | 板楼,5人关注 / 一年前发布,69.8,"4,916元/平"
户型方正，中间楼层，精装修，房子保养的很干净,天立盛世华庭 -青原区,3室2厅 | 123.93平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,5人关注 / 一年前发布,94.5,"7,626元/平"
产证满两年，装修保养很好，楼层好视野开阔。,鸿翔江誉 -青原区,3室2厅 | 123.25平米 | 南 | 精装 | 中楼层(共27层)  | 平房,0人关注 / 2个月以前发布,98,"7,952元/平"
天安家园电梯房，三房两厅两卫一厨,天安家园 -安福县,3室2厅 | 123.53平米 | 南 北 | 精装 | 高楼层(共19层)  | 板楼,0人关注 / 一年前发布,98,"7,934元/平"
今日购物楼上，装修保养好，房东诚心卖,今日购物广场 -泰和县,3室2厅 | 117.38平米 | 东北 | 精装 | 中楼层(共12层)  | 板楼,1人关注 / 8个月以前发布,89.8,"7,651元/平"
：业主装修保养好，可以直接拎包入住，,柏景湾 -永新县,3室2厅 | 98平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,0人关注 / 6个月以前发布,138,"14,082元/平"
城北新出复式楼，带装修，可拎包入住,柏景湾 -永新县,3室2厅 | 67平米 | 东南 | 简装 | 低楼层(共17层)  | 板楼,3人关注 / 一年前发布,81,"12,090元/平"
沿江路正3房 中间楼层 全线江景 拎包入住 精装房,沿江路 -吉州区,3室2厅 | 83.73平米 | 东南 | 简装 | 中楼层(共7层)  | 平房,16人关注 / 一年前发布,101,"12,063元/平"
城西装修好的房子在2楼比较廉价,鸿福楼 -永新县,3室2厅 | 101.5平米 | 南 | 简装 | 中楼层(共9层)  | 板楼,0人关注 / 8个月以前发布,65,"6,404元/平"
房子满五唯一，楼层好，采光充足，配套齐全,永新县住房和城乡建设局 -永新县,3室2厅 | 105.44平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,10人关注 / 一年前发布,49,"4,648元/平"
中 央福邸 精装修3房可拎包入住,中央福邸 -吉州区,3室2厅 | 128.67平米 | 南 | 精装 | 中楼层(共29层)  | 板塔结合,1人关注 / 一年前发布,95,"7,384元/平"
六合盛世东方塞纳，精装修顶层复式，业主诚心出售。,东方赛纳南区 -吉州区,3室1厅 | 47.98平米 | 南 | 精装 | 高楼层(共14层)  | 板楼,2人关注 / 4个月以前发布,73,"15,215元/平"
城中复式楼 大五房 户型方正 带柴间,庐陵直巷 -吉州区,4室3厅 | 210.48平米 | 南 北 | 精装 | 中楼层(共8层)  | 板塔结合,1人关注 / 1个月以前发布,150,"7,127元/平"
印刷大厦，好楼层，装修保养好，配套齐全,印刷大厦 -泰和县,3室2厅 | 97.48平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,2人关注 / 5个月以前发布,58,"5,950元/平"
附 小旁边，精装修，格局大方，视野宽阔采光读书近,北门街2号 -吉州区,3室2厅 | 148平米 | 东 | 精装 | 高楼层(共7层)  | 板楼,2人关注 / 5个月以前发布,158,"10,676元/平"
满5唯一税费低，中楼层，采光好，南北通透双阳台，,玖隆城市花园 -吉州区,3室2厅 | 135.19平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,7人关注 / 一年前发布,122,"9,025元/平"
金色水岸的三房，精装的，格局方正，楼层好，采光好,金色水岸 -吉州区,3室2厅 | 121.72平米 | 东南 | 简装 | 低楼层(共6层)  | 塔楼,2人关注 / 一年前发布,86,"7,066元/平"
吉州区小年轻自己住也诚心出售先看房后谈价,恒大帝景 -吉州区,3室2厅 | 122.16平米 | 南 北 | 精装 | 低楼层(共22层)  | 板楼,0人关注 / 1个月以前发布,117.8,"9,644元/平"
滨江盛京精装三房，证满2年 ，房东诚心出售！,滨江盛景 -永新县,3室2厅 | 94.37平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 4个月以前发布,88.5,"9,378元/平"
满五唯一出行方便生活便利拎包入住,嘉禾新城 -永新县,3室2厅 | 125.16平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,88,"7,032元/平"
滨江壹号     三房两厅    南北通透户型,滨江壹号 -泰和县,3室2厅 | 127.48平米 | 南 北 | 精装 | 低楼层(共26层)  | 板楼,0人关注 / 2个月以前发布,122,"9,571元/平"
房东急售，精装修，坐北朝南，产证满4年。,长旺人家 -吉州区,5室1厅 | 295.9平米 | 南 北 | 精装 | 3层  | 暂无数据 | 联排别墅 ,3人关注 / 一年前发布,290,"9,801元/平"
小区环境优美，人车分流，生活交通方便,鳳山蓝湾 -吉州区,3室2厅 | 127.43平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,3人关注 / 一年前发布,92,"7,220元/平"
房型方正，通透，小区环境好，交通便利。,水岸名都 -吉州区,3室2厅 | 96.61平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,5人关注 / 一年前发布,93,"9,627元/平"
大校场国税局大3房，有个无证柴间,大校场2号国税局宿舍 -吉州区,3室2厅 | 136.99平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,3人关注 / 一年前发布,128,"9,344元/平"
毛胚房，楼梯房好楼层，小区环境好，小区配套完善.,港龙·上宾道 -吉州区,3室2厅 | 113.56平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 塔楼,0人关注 / 6个月以前发布,75,"6,605元/平"
柏景湾精装复式楼，，，，。。。,柏景湾 -永新县,2室2厅 | 55.78平米 | 东北 | 精装 | 中楼层(共14层)  | 板楼,1人关注 / 7个月以前发布,66,"11,833元/平"
三房，中间层，价格低，过户费低，地段也好，,北门街 -吉州区,3室2厅 | 114平米 | 西 | 简装 | 中楼层(共7层)  | 塔楼,0人关注 / 5个月以前发布,112,"9,825元/平"
国兴新世纪；三房两厅两卫；精装修；带车位,国兴新世纪 -泰和县,3室2厅 | 129.09平米 | 南 北 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 4个月以前发布,104.5,"8,096元/平"
文山步行街，位置   好，四  房，一家三代同享,文山步行街 -吉州区,3室2厅 | 129平米 | 南 | 简装 | 低楼层(共8层)  | 塔楼,0人关注 / 8个月以前发布,100,"7,752元/平"
城西一路之隔 2房改3房，简单装修,锦绣湾 -永新县,3室2厅 | 86.2平米 | 南 | 简装 | 中楼层(共11层)  | 板楼,2人关注 / 9个月以前发布,62,"7,193元/平"
城西简装三房满二101.46㎡西南。,鸿福楼 -永新县,3室2厅 | 101.46平米 | 西南 | 简装 | 中楼层(共9层)  | 板楼,0人关注 / 4个月以前发布,61.5,"6,062元/平"
此房满五唯一，业主诚心卖出售，南北通透格局,穗华名郡 -吉州区,4室2厅 | 138.51平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,1人关注 / 11个月以前发布,145,"10,469元/平"
城中吉州大道，鼎盛时代广场大三房,鼎盛時代廣場 -吉州区,3室2厅 | 138平米 | 南 北 | 精装 | 低楼层(共16层)  | 板塔结合,1人关注 / 1个月以前发布,113,"8,189元/平"
城北骡子山公园复式楼，带很大的院子,聚源西区 -吉州区,5室3厅 | 209平米 | 南 北 | 精装 | 低楼层(共4层)  | 板楼,11人关注 / 一年前发布,217,"10,383元/平"
恒大帝景 房子好物业佳 小区绿化高 配套齐全,恒大帝景 -吉州区,3室2厅 | 129.66平米 | 北 | 精装 | 低楼层(共30层)  | 板楼,1人关注 / 3个月以前发布,118,"9,101元/平"
城中地段好，采光好，楼层好，房东诚心出售,吉福苑 -吉州区,3室2厅 | 134.04平米 | 南 | 精装 | 低楼层(共7层)  | 板塔结合,2人关注 / 一年前发布,90,"6,715元/平"
城南成熟小区南方园精装温馨两房业主诚心出售,南方园小区 -吉州区,2室2厅 | 96.19平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,58,"6,030元/平"
老八中旁边  精装三房  拎包入住  户型南北对流,恒源泰·雅居 -吉州区,3室2厅 | 134.14平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,145,"10,810元/平"
未来城大三房精装修未入住，直接拎包入住,未来城 -永新县,3室2厅 | 122.38平米 | 东南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 一年前发布,86,"7,028元/平"
吉州区西门口3房两厅一卫中间楼层在米西大厦这里,西门口小区 -吉州区,3室2厅 | 105.21平米 | 南 | 简装 | 中楼层(共8层)  | 塔楼,3人关注 / 一年前发布,120,"11,406元/平"
老城区，学习购物都近，低楼层，老人小孩都方便,梭萝巷 -永丰县,4室2厅 | 109.41平米 | 南 | 简装 | 中楼层(共4层)  | 暂无数据,1人关注 / 一年前发布,66,"6,033元/平"
光彩桂香园 3室2厅 南,光彩桂香园 -吉水县,3室2厅 | 128平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 5个月以前发布,86,"6,719元/平"
毛坯三房自由装修 南北通透 业主诚心出售,万家御文府 -吉州区,3室2厅 | 117平米 | 南 北 | 毛坯 | 高楼层(共28层)  | 暂无数据,0人关注 / 20天以前发布,101.7,"8,693元/平"
此房坐北朝南 采光好 ，实际面积 大，小区环境好,凯旋金融中心 -吉州区,4室2厅 | 124.11平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,0人关注 / 1个月以前发布,136.5,"10,999元/平"
房子采光好，精装修拎包入住，楼层好位置好,名人东方巴黎 -吉州区,2室2厅 | 98.83平米 | 南 | 精装 | 高楼层(共19层)  | 塔楼,8人关注 / 一年前发布,70,"7,083元/平"
满二，低楼层东边户，楼层好，精装修，,龙湾华庭 -永新县,4室2厅 | 143.77平米 | 南 | 精装 | 低楼层(共12层)  | 板楼,1人关注 / 一年前发布,107,"7,443元/平"
"小区在吉福路和吉州大道，主干道旁边，精装修,税费低",华夏新村 -吉州区,4室2厅 | 110.54平米 | 南 | 精装 | 高楼层(共6层)  | 塔楼,22人关注 / 一年前发布,80,"7,238元/平"
三房两厅两卫一厨的大户型，采光好,益民苑 -吉州区,3室2厅 | 142.2平米 | 南 | 简装 | 高楼层(共8层)  | 板楼,4人关注 / 11个月以前发布,86,"6,048元/平"
城北复式，证满两年，过户费低！,柏景湾 -永新县,3室2厅 | 62.21平米 | 南 | 精装 | 低楼层(共14层)  | 板楼,2人关注 / 10个月以前发布,75,"12,056元/平"
精装修，出门就是教育园区，采光好复式楼,新城壹号 -吉水县,3室2厅 | 144.44平米 | 南 北 | 精装 | 高楼层(共8层)  | 板楼,3人关注 / 一年前发布,99,"6,855元/平"
位置好 户型南 北对流，楼层好精装修大三房。,大校场2号国税局宿舍 -吉州区,3室2厅 | 89.9平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,95,"10,568元/平"
市委大院隔壁沿江路一线江景房户型方正,沿江路 -吉州区,3室2厅 | 107.72平米 | 东 西 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,190,"17,639元/平"
"翰文苑小区  ,新上优质好房 父母居家养老好住出",翰文苑小区 -吉水县,3室2厅 | 105.26平米 | 南 | 简装 | 低楼层(共7层)  | 平房,0人关注 / 一年前发布,74.9,"7,116元/平"
东头金麟府隔壁大四房一读书方便,佳和大厦 -吉州区,3室2厅 | 154.76平米 | 南 北 | 简装 | 中楼层(共8层)  | 平房,0人关注 / 1个月以前发布,199,"12,859元/平"
金碧物业，公园小区，恒大小区，户型方正,恒大帝景 -吉州区,3室2厅 | 120.56平米 | 南 北 | 精装 | 中楼层(共29层)  | 板楼,0人关注 / 3个月以前发布,123,"10,203元/平"
天一园大三房精装修满5年唯一业主诚心卖,天一园 -吉州区,3室2厅 | 147.43平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,140,"9,497元/平"
地段好，通透，楼层好，视野开阔，采光充足，配套齐全,万家太阳城 -吉州区,3室2厅 | 143.48平米 | 南 | 精装 | 高楼层(共18层)  | 塔楼,0人关注 / 7个月以前发布,115,"8,016元/平"
吉州区城南品质物业及绿化小区业主诚心出售,恒大帝景 -吉州区,3室2厅 | 129.76平米 | 南 北 | 精装 | 高楼层(共30层)  | 板楼,3人关注 / 一年前发布,118,"9,094元/平"
精装三房 交通便利 采光好  价格美丽,天骄学府 -永新县,3室2厅 | 106平米 | 东南 | 精装 | 低楼层(共27层)  | 板楼,1人关注 / 一年前发布,77,"7,265元/平"
城南天然氧吧小区，恒大1.2楼复式天虹旁边,恒大帝景 -吉州区,4室2厅 | 137.15平米 | 南 北 | 毛坯 | 低楼层(共25层)  | 板楼,10人关注 / 一年前发布,129.6,"9,450元/平"
城南119平方精装三房业主诚意出售,恒盛花园·江尚 -吉州区,3室2厅 | 118.53平米 | 南 | 简装 | 高楼层(共18层)  | 塔楼,0人关注 / 18天以前发布,86,"7,256元/平"
凤山蓝湾精装大3房满2年，房东外地发展，诚心出售,鳳山蓝湾 -吉州区,3室2厅 | 127.6平米 | 南 | 精装 | 高楼层(共22层)  | 板楼,3人关注 / 一年前发布,98,"7,681元/平"
高档的别墅区，绿化好，不出小区即有逛公园的感觉,庐陵一品 -吉州区,7室2厅 | 600平米 | 南 | 毛坯 | 4层  | 板楼 | 联排别墅 ,1人关注 / 一年前发布,840,"14,000元/平"
房子满五唯一，房东诚心出售，户型方正采光好。,金鹭花园 -吉州区,3室2厅 | 130.09平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 8个月以前发布,123,"9,455元/平"
出门就有站台，多条公交车经过 水岸名都,水岸名都 -吉州区,3室2厅 | 110.92平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 6个月以前发布,125,"11,270元/平"
户型好，公推小，阳光充足，楼层好，小区新改造,星港澳园 -吉州区,3室2厅 | 96.75平米 | 南 北 | 简装 | 中楼层(共7层)  | 塔楼,5人关注 / 4个月以前发布,105,"10,853元/平"
韶山西路 世纪花苑 八中就在楼下 文澜府胖,世纪花苑 -吉州区,3室2厅 | 138.58平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,28人关注 / 一年前发布,88,"6,351元/平"
吉安好地段，户型通透，大三房，采光好,滨江三期 -吉州区,3室2厅 | 140.42平米 | 南 北 | 简装 | 高楼层(共9层)  | 平房,11人关注 / 8个月以前发布,75,"5,342元/平"
房东户型好，很大面积实用，南北通透。,泰洋花苑 -泰和县,3室2厅 | 143.62平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,83,"5,780元/平"
此房业主诚心卖可随时过户，满两年购房成本低中间位,玖隆城市花园 -吉州区,3室2厅 | 92.53平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,88,"9,511元/平"
井冈山大学旁，学府嘉园，毛坯5房，复式楼结构,学府嘉园 -青原区,5室2厅 | 145.98平米 | 西南 | 毛坯 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,83,"5,686元/平"
欧洲城简装3房  下区全人车分流 环境绿化好,欧洲城 -永新县,3室2厅 | 105.83平米 | 南 | 其他 | 中楼层(共18层)  | 塔楼,0人关注 / 19天以前发布,78,"7,371元/平"
城北芯，菜场 近，读书近。配套齐全,汇丰御园 -吉州区,3室2厅 | 103平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 18天以前发布,70,"6,797元/平"
鸿翔江誉3房2厅2卫1厨，大三房,鸿翔江誉 -青原区,3室2厅 | 128.9平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 一年前发布,110,"8,534元/平"
通透，户型方正采光好，生活教育工作都方便。,红商诺贝尔国际 -吉安县,4室2厅 | 143.49平米 | 南 | 毛坯 | 低楼层(共16层)  | 暂无数据,0人关注 / 2个月以前发布,125,"8,712元/平"
山水国际满五唯一，精装三房大阳台阳光充足小区舒适,山水国际 -遂川县,3室2厅 | 116.48平米 | 南 | 精装 | 低楼层(共19层)  | 板楼,0人关注 / 6个月以前发布,88.8,"7,624元/平"
此房满五唯一，采光充足，有一个斜顶和露台,山水豪城 -吉水县,3室2厅 | 103.42平米 | 南 | 精装 | 高楼层(共8层)  | 板楼,0人关注 / 3个月以前发布,75,"7,252元/平"
此房满五唯一，保养的干净，带个露台20平，南北户型,博士苑 -吉水县,3室2厅 | 117平米 | 东南 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,86,"7,351元/平"
地段好，楼层采光好，大面积，有柴间16平,龙华中大道 -吉水县,3室2厅 | 124.66平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,68,"5,455元/平"
凤山蓝湾花园洋房四房精装修满二年业主诚心卖,鳳山蓝湾 -吉州区,4室2厅 | 143.74平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,141.8,"9,866元/平"
前面无遮档 阳光充足，交通方便，配套齐.小区有幼儿园,锦江星城 -吉州区,3室2厅 | 133.24平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 4个月以前发布,105,"7,881元/平"
博胜苑  电梯房  三房二厅二卫,博胜苑 -泰和县,3室2厅 | 116.78平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 4个月以前发布,85,"7,279元/平"
市委大院3房小区环境好房东诚心出售。,市委大院 -吉州区,3室2厅 | 94.55平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 4个月以前发布,145,"15,336元/平"
此房电梯房，户型方正，可随时看房。,泰发茗苑 -泰和县,3室2厅 | 127平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 16天以前发布,88,"6,930元/平"
满五多套，过户低，单价实惠，好地段.出行买菜方便,世纪豪苑 -吉州区,4室2厅 | 156.23平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,4人关注 / 一年前发布,133,"8,514元/平"
滨江外滩 3+1房 前排江景 精装修,滨江外滩 -泰和县,3室2厅 | 128.07平米 | 南 北 | 精装 | 高楼层(共23层)  | 板楼,0人关注 / 3个月以前发布,125,"9,761元/平"
大三房，户型方正，精装修拎包入住。,水岸名都 -吉州区,3室2厅 | 131平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 15天以前发布,120,"9,161元/平"
恒大帝景好环境 ，好物业好楼层，好位置带车位出售。,恒大帝景 -吉州区,4室2厅 | 143.91平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 16天以前发布,138,"9,590元/平"
鹏华国际总价低三房，对望石阳二部，上学近,鹏華·国際華城 -吉州区,3室2厅 | 90.01平米 | 南 | 简装 | 低楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,81,"9,000元/平"
青原区机关小区精装4房，房东诚心出售，拎包入住,青原区机关住宅小区 -青原区,4室2厅 | 166平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,6人关注 / 一年前发布,103,"6,205元/平"
一梯一户满五年正4房南北通户型，房东诚心出售,安居小区(青原区) -青原区,4室2厅 | 163.15平米 | 南 | 精装 | 高楼层(共6层)  | 平房,1人关注 / 一年前发布,92,"5,639元/平"
城芯位置阳明天成，电梯中间楼层自由装修,阳明天宸 -吉州区,3室2厅 | 116.32平米 | 南 | 毛坯 | 低楼层(共25层)  | 暂无数据,0人关注 / 17天以前发布,127,"10,919元/平"
