标题,开发商,房子信息,发布信息,售价/万,单价
西咸新区秦创园低密度墅区叠拼诚意出售,阳光城壹号蔷薇溪谷 -秦都区,3室1厅 | 167.75平米 | 南 | 精装 | 上叠(共4层)  | 板楼 | 叠拼别墅 ,0人关注 / 6天以前发布,350,"20,865元/平"
南北通透2居室，满二临地铁 一梯两户小高层,怡水花园 -秦都区,2室2厅 | 82.27平米 | 南 北 | 简装 | 中楼层(共15层)  | 板楼,0人关注 / 5天以前发布,93,"11,305元/平"
七厂十字精装修一室房子业主诚心出售看房子方便有钥匙,第一大道小区 -秦都区,1室1厅 | 51.76平米 | 南 | 简装 | 中楼层(共28层)  | 板楼,1人关注 / 2个月以前发布,51,"9,854元/平"
地铁口，湖景房，业主诚意出售，带车位，,亿龙金河湾 -秦都区,2室2厅 | 93.15平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,3人关注 / 一年前发布,120,"12,883元/平"
高速口不到500米99平毛坯大两室业主诚心出售看房方便,金悦城 -秦都区,2室2厅 | 99.05平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,4人关注 / 一年前发布,118,"11,914元/平"
世纪大道中段 帝 都花园 临启迪 纯南户型 可按揭,帝都温泉花园 -秦都区,2室1厅 | 83.3平米 | 南 北 | 简装 | 中楼层(共21层)  | 板塔结合,0人关注 / 5个月以前发布,100,"12,005元/平"
楼位好，全明户型，采光充足，产权清晰，满二无大税,安谷苑小区 -秦都区,2室2厅 | 96.61平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,5人关注 / 7个月以前发布,90,"9,316元/平"
房子证在手，满五年，南北通透，采光很好,金泰丝路花城沁园 -秦都区,2室2厅 | 97.9平米 | 北 南 | 精装 | 高楼层(共6层)  | 板塔结合,20人关注 / 一年前发布,113,"11,543元/平"
loft公寓，上下两层，户型方正，满二,上品loft公寓 -秦都区,1室2厅 | 47.47平米 | 南 | 简装 | 高楼层(共15层)  | 板楼,26人关注 / 一年前发布,67.5,"14,220元/平"
湿地公园  简装两室带露台 业主诚心售,博尚新都 -渭城区,2室2厅 | 78.71平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,43,"5,464元/平"
满五年，位置好，精装修，无大税，地铁口，高速口,华宇蓝郡小区 -秦都区,2室2厅 | 88.62平米 | 南 北 | 精装 | 高楼层(共24层)  | 板塔结合,0人关注 / 一年前发布,99.5,"11,228元/平"
双渔湾大三室毛坯，中间楼层，不满两年，成熟小区,双鱼湾 -秦都区,3室2厅 | 131.49平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,22人关注 / 一年前发布,110,"8,366元/平"
百特城市小区位于渭阳西路，小区环境好，交通便利,百特城市 -秦都区,2室1厅 | 89.02平米 | 西南 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,5人关注 / 一年前发布,85,"9,549元/平"
世纪大道  地铁口 启迪旁 两室 可按揭,帝都温泉花园 -秦都区,2室1厅 | 83.3平米 | 南 | 精装 | 高楼层(共21层)  | 板塔结合,3人关注 / 5个月以前发布,86,"10,325元/平"
成熟社区 准地铁口，采光好.也算湖景房，教育社区齐全,枫景苑 -秦都区,2室2厅 | 95.3平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 一年前发布,97,"10,179元/平"
地铁口，优质两室，户型方正，中间楼层！,佳龙大沃城 -秦都区,2室1厅 | 77.31平米 | 北 南 | 毛坯 | 高楼层(共18层)  | 板楼,2人关注 / 一年前发布,125,"16,169元/平"
地铁口，优质两室，户型方正，中间楼层！,佳龙大沃城 -秦都区,2室1厅 | 77.31平米 | 北 南 | 毛坯 | 高楼层(共18层)  | 板楼,2人关注 / 一年前发布,125,"16,169元/平"
世纪大道海泉湾旁 满五唯一 电梯房 业主诚心出售,佳境天城 -秦都区,2室2厅 | 90.35平米 | 南 | 精装 | 低楼层(共17层)  | 板塔结合,50人关注 / 一年前发布,103.5,"11,456元/平"
精装两居室，临湖环境优美，配套设施完善,聆水居 -秦都区,2室2厅 | 98.56平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,5人关注 / 一年前发布,108,"10,958元/平"
北门口永大观邸一居室单身狗的乐园，小情侣的安乐窝。,永大观邸 -渭城区,1室1厅 | 42.97平米 | 南 | 简装 | 低楼层(共30层)  | 板塔结合,0人关注 / 2个月以前发布,48,"11,171元/平"
文林路【三丰四季阳光】电梯两室 一梯两户 支持公积金,三丰四季阳光 -渭城区,2室2厅 | 97.88平米 | 南 北 | 简装 | 高楼层(共11层)  | 板楼,2人关注 / 6个月以前发布,70,"7,152元/平"
七九五小区，民院跟前，采光充足，看房方便,七九五厂小区 -渭城区,2室1厅 | 54.25平米 | 南 北 | 简装 | 高楼层(共4层)  | 板塔结合,16人关注 / 一年前发布,28,"5,162元/平"
本小区位于毕塬路十字西南角，小区出门就是世纪金花,咸阳新北小区 -渭城区,2室1厅 | 61.94平米 | 东南 | 简装 | 中楼层(共7层)  | 塔楼,14人关注 / 8个月以前发布,37.8,"6,103元/平"
出行方便 往南500米就是咸阳湖 小区门口就是菜市场。,先河国际公馆 -渭城区,2室1厅 | 68.62平米 | 北 | 简装 | 高楼层(共31层)  | 塔楼,2人关注 / 3个月以前发布,65,"9,473元/平"
金泰丝路花城  两居室   纯南户 大社区 品质,金泰丝路花城荣庭 -秦都区,2室1厅 | 90.35平米 | 南 | 简装 | 低楼层(共27层)  | 板塔结合,10人关注 / 一年前发布,99,"10,958元/平"
咸阳湖畔简装一室一厅 中层南北通采光好户型方正,学道门小区 -渭城区,1室1厅 | 48.23平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,9人关注 / 一年前发布,29,"6,013元/平"
金旭路，精装两室，出行便利，业主诚心卖,西铁金旭花园 -渭城区,2室2厅 | 93.69平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,7人关注 / 一年前发布,61.5,"6,565元/平"
大两室，采光足，年轻家居好房，生活方便,秦建苑东区 -渭城区,2室1厅 | 70.91平米 | 南 西南 北 | 精装 | 高楼层(共6层)  | 板楼,10人关注 / 一年前发布,41,"5,782元/平"
产权清晰 房本在手无抵押 交易无大税  纯南全明户型。,凤凰世家 -渭城区,2室2厅 | 88.83平米 | 南 北 | 简装 | 高楼层(共31层)  | 塔楼,1人关注 / 4个月以前发布,83,"9,344元/平"
文林路华宇豪庭一室简装中间楼层看房便利房产证在手,华宇豪庭 -渭城区,1室1厅 | 47.79平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,2人关注 / 5个月以前发布,38.5,"8,057元/平"
地铁口精装小两居，低总价，只要15万置业地铁口,名城国际 -秦都区,2室1厅 | 85.44平米 | 南 北 | 简装 | 高楼层(共27层)  | 板楼,4人关注 / 3个月以前发布,75,"8,779元/平"
一梯两户小高层 带装修 诚心卖 看房方便,博尚新都 -渭城区,2室2厅 | 101.95平米 | 南 | 简装 | 高楼层(共13层)  | 板塔结合,3人关注 / 4个月以前发布,80,"7,847元/平"
渭城区金旭路渭柳湿地尚东朝阳两室,鑫苑尚东朝阳 -渭城区,2室1厅 | 91.64平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,4人关注 / 9个月以前发布,75,"8,185元/平"
地铁口，电梯房简装大一室，中间楼层，家具家电全带。,英伦沣景 -秦都区,1室1厅 | 65.27平米 | 西 | 简装 | 高楼层(共12层)  | 板塔结合,5人关注 / 3个月以前发布,58,"8,887元/平"
北门口   简装两室    采光好    居家办公均可,秦峰大厦 -渭城区,2室2厅 | 126.57平米 | 西南 | 简装 | 高楼层(共16层)  | 板塔结合,5人关注 / 一年前发布,81,"6,400元/平"
紫韵东城天韵，二室二厅，生活成本低，采光充足,紫韵东城天韵小区 -渭城区,2室2厅 | 88.9平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,1人关注 / 8个月以前发布,67.5,"7,593元/平"
世纪大道两室好房，位置优越，宜出租，交通便利。,华宇双子星 -秦都区,2室1厅 | 70.51平米 | 东北 | 简装 | 中楼层(共33层)  | 板塔结合,4人关注 / 一年前发布,75,"10,637元/平"
世纪大道启迪小区精装两室，业主诚心出售,启迪国际城逸居 -秦都区,2室2厅 | 97.77平米 | 南 北 | 精装 | 高楼层(共16层)  | 板塔结合,0人关注 / 8个月以前发布,150,"15,343元/平"
德祐+优选好楼层 适合老人 业主急售,中铁七局三公司咸阳基地 -渭城区,2室1厅 | 55.97平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,5人关注 / 5个月以前发布,38,"6,790元/平"
世纪大道安谷苑小区，精装大两室，装修好未入住过。,安谷苑小区 -秦都区,2室2厅 | 90.72平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,26人关注 / 一年前发布,110,"12,126元/平"
双地铁口 精装两室 中间楼层 满二 无大税 带车位 急售,奥林匹克花园五期 -秦都区,2室2厅 | 83.43平米 | 东 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,121,"14,504元/平"
准地铁口，采光好。通风好。一室急售,宝瑞阳光 -秦都区,1室1厅 | 51.78平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,5人关注 / 7个月以前发布,49,"9,464元/平"
咸阳湖畔 低楼层 适合老人小孩居住,湖岸嘉园 -渭城区,2室2厅 | 78.06平米 | 南 北 | 简装 | 低楼层(共7层)  | 板塔结合,8人关注 / 一年前发布,65.8,"8,430元/平"
二毛金茂泰苑 2室1厅 南,二毛金茂泰苑 -秦都区,2室1厅 | 32.73平米 | 南 | 简装 | 中楼层(共6层)  | 平房,1人关注 / 一年前发布,26.5,"8,097元/平"
户型方正全明户型，南北通透经典户型,和润天地 -秦都区,2室2厅 | 97.47平米 | 南 北 | 精装 | 高楼层(共12层)  | 板楼,0人关注 / 一年前发布,96,"9,850元/平"
此房满五，小区成熟 小区地理位置优越，教育方便,中铁二十一局家属院 -渭城区,2室1厅 | 49.39平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,73人关注 / 一年前发布,27,"5,467元/平"
世纪大道宇宏健康花城精装两室 高层湖景房 看房方便,宇宏健康花城 -秦都区,2室2厅 | 84.7平米 | 北 | 精装 | 中楼层(共32层)  | 板塔结合,8人关注 / 一年前发布,120,"14,168元/平"
咸阳湖畔 低楼层 适合老人小孩居住,湖岸嘉园 -渭城区,2室2厅 | 78.06平米 | 南 北 | 简装 | 低楼层(共7层)  | 板塔结合,8人关注 / 一年前发布,65.8,"8,430元/平"
双地铁口，配套齐全拎包入住，业主诚心出售,奥林匹克花园三期北京奥运村 -秦都区,2室1厅 | 47.23平米 | 南 | 精装 | 高楼层(共20层)  | 板楼,7人关注 / 一年前发布,80,"16,939元/平"
世纪大道地铁口，单价8千多的中间楼层，满二全明户,滨湖花园 -秦都区,2室2厅 | 108.75平米 | 南 北 | 简装 | 中楼层(共15层)  | 板楼,0人关注 / 4个月以前发布,87,"8,000元/平"
湖景房 观景效果好   顶复   诚心出售,外滩一号 -秦都区,4室2厅 | 231.43平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 板塔结合,6人关注 / 8个月以前发布,348,"15,037元/平"
店长推荐，大型社区南北通透两室，拎包入住,华泰世纪华苑 -秦都区,2室2厅 | 90.18平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,6人关注 / 一年前发布,95,"10,535元/平"
沣东新城能源金茂区优质房源出售,奥林匹克花园三期北京奥运村 -秦都区,2室1厅 | 47.28平米 | 南 北 | 精装 | 低楼层(共20层)  | 板塔结合,4人关注 / 一年前发布,85,"17,979元/平"
一号线地铁口 市政小区 渭滨苑两梯两户南北全明户型,渭滨苑 -秦都区,2室2厅 | 115.62平米 | 南 北 | 简装 | 中楼层(共23层)  | 板楼,0人关注 / 8个月以前发布,145,"12,542元/平"
业主诚心出售，看房方便，装修好，采光无限,丽彩金寓良苑 -秦都区,2室2厅 | 96.68平米 | 南 | 精装 | 中楼层(共31层)  | 板塔结合,0人关注 / 2个月以前发布,90,"9,310元/平"
沣东地铁口 采光好 毛坯房 英伦沣景,英伦沣景 -秦都区,2室2厅 | 92.65平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板塔结合,19人关注 / 一年前发布,93,"10,038元/平"
秦皇路地铁口百米楼间距，优质两室房源，全明户型，,林凯城 -秦都区,2室2厅 | 77.8平米 | 南 | 毛坯 | 低楼层(共33层)  | 塔楼,0人关注 / 一年前发布,106,"13,625元/平"
西安-能源金茂区 奥林匹克花园 精装修 70年住宅复式,奥林匹克花园四期伦敦奥运村 -秦都区,2室2厅 | 51.45平米 | 南 | 精装 | 中楼层(共20层)  | 板塔结合,27人关注 / 一年前发布,80,"15,550元/平"
南北通透，户型方正，视野宽阔，采光充足,安谷苑小区 -秦都区,2室2厅 | 93.3平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,9人关注 / 一年前发布,75,"8,039元/平"
此房满五，视野采光好，配套齐全，交通便利。,金泰丝路花城荣庭 -秦都区,2室2厅 | 93.04平米 | 南 北 | 简装 | 高楼层(共25层)  | 板塔结合,11人关注 / 7个月以前发布,103,"11,071元/平"
上林路地铁口全明小两居随时能看,国润城 -秦都区,2室1厅 | 67.58平米 | 西南 | 简装 | 中楼层(共33层)  | 板塔结合,4人关注 / 7个月以前发布,128,"18,941元/平"
经典两室  南北朝向 地铁口 业主诚心出售,金山佳苑 -秦都区,2室2厅 | 89.94平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,42人关注 / 一年前发布,53,"5,893元/平"
世纪大道西段、地铁口、精装两室,和润天地 -秦都区,2室2厅 | 97.47平米 | 北 南 | 简装 | 中楼层(共12层)  | 板楼,6人关注 / 一年前发布,94,"9,644元/平"
世纪大道 精装两室 一天未住过 急售,金泰丝路花城荣庭 -秦都区,2室2厅 | 93.04平米 | 南 | 简装 | 高楼层(共25层)  | 板塔结合,10人关注 / 7个月以前发布,106,"11,393元/平"
名城国际 刚需两室 拎包入住  随时看房,名城国际 -秦都区,2室1厅 | 85.44平米 | 南 | 简装 | 低楼层(共27层)  | 板楼,1人关注 / 3个月以前发布,79,"9,247元/平"
世纪大道、经典两室、户型好，楼层好，采光好,平湖秋月 -秦都区,2室2厅 | 94.48平米 | 东南 | 毛坯 | 低楼层(共27层)  | 板塔结合,4人关注 / 一年前发布,100,"10,585元/平"
"业主诚心出售，交通便利，房子满二，户型方正,",华府御园 -秦都区,2室1厅 | 89.87平米 | 西南 | 毛坯 | 中楼层(共18层)  | 板楼,1人关注 / 一年前发布,114,"12,685元/平"
地铁口 业主诚心出售 首付低 70年产权,奥林匹克花园三期北京奥运村 -秦都区,2室2厅 | 47.23平米 | 南 北 | 简装 | 低楼层(共20层)  | 板塔结合,5人关注 / 8个月以前发布,82,"17,362元/平"
温馨大两室，带了一个阁楼，生活便利，出行方便,紫韵东城天韵小区 -渭城区,2室2厅 | 87.6平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,51人关注 / 一年前发布,63.8,"7,284元/平"
中铁单位中间楼层好房急售。。。,中铁七局三公司咸阳基地 -渭城区,3室1厅 | 67.5平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,7人关注 / 一年前发布,36,"5,334元/平"
万达旁边  两室好房 配套设施齐全  生活便利,玉珠楼小区 -秦都区,2室1厅 | 72.83平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,21人关注 / 一年前发布,41,"5,630元/平"
此房位于市中，永绥街，小区很新,中央领域 -渭城区,2室2厅 | 92.2平米 | 南 | 其他 | 高楼层(共32层)  | 板塔结合,14人关注 / 一年前发布,92,"9,979元/平"
毕塬路十字西南角，交通便利，配套齐全,咸阳新北小区 -渭城区,2室2厅 | 61.29平米 | 南 北 | 简装 | 高楼层(共7层)  | 塔楼,13人关注 / 6个月以前发布,32,"5,222元/平"
世纪大道 金泰 经典两室 南北通透 拎包入住,金泰丝路花城兰园 -秦都区,2室2厅 | 88.54平米 | 北 南 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 8个月以前发布,116,"13,102元/平"
世纪大道白马河地铁口高品质社区 精装修,怡水花园 -秦都区,2室2厅 | 77.57平米 | 南 | 精装 | 中楼层(共29层)  | 板塔结合,3人关注 / 8个月以前发布,109.5,"14,117元/平"
西咸新区 沣西板块 精装修 近西安 临地铁 满五年,金泰丝路花城荣庭 -秦都区,2室2厅 | 90.35平米 | 西南 | 精装 | 中楼层(共27层)  | 板塔结合,9人关注 / 一年前发布,94.5,"10,460元/平"
万达商圈 成熟社区 经典两室 电梯好房,丽彩·珠泉新城 -秦都区,2室2厅 | 88.34平米 | 南 | 毛坯 | 低楼层(共32层)  | 塔楼,12人关注 / 8个月以前发布,71.5,"8,094元/平"
上林路地铁口全明小两居随时能看,国润城 -秦都区,2室2厅 | 67.58平米 | 东南 | 简装 | 低楼层(共33层)  | 板塔结合,5人关注 / 4个月以前发布,109,"16,130元/平"
地铁口，交通便利，上学便利，总价低。,偏转一区 -秦都区,2室1厅 | 56.07平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,38,"6,778元/平"
人民路七厂十字优质一室一厅未来地铁口,第一大道小区 -秦都区,1室1厅 | 51.76平米 | 南 | 毛坯 | 低楼层(共28层)  | 板楼,14人关注 / 一年前发布,47.5,"9,177元/平"
高品质住宅小区，小区有高层、洋房，人车分流,国润城 -秦都区,2室2厅 | 67.29平米 | 南 北 | 其他 | 高楼层(共33层)  | 板塔结合,1人关注 / 3个月以前发布,125,"18,577元/平"
汇通十字，电梯房，大三室，配套齐全，出行方便,华林大厦 -秦都区,3室2厅 | 143.23平米 | 南 北 | 简装 | 高楼层(共12层)  | 板楼,11人关注 / 一年前发布,87.5,"6,110元/平"
德祐优选+人民东路 纯南户型  中间楼层 一室,陕建六建集团六号楼小区 -渭城区,1室1厅 | 37.22平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,15人关注 / 一年前发布,26.5,"7,120元/平"
世纪大道精装修两室精典新房诚心出售,先河国际西区 -秦都区,2室1厅 | 69.04平米 | 东 南 | 简装 | 低楼层(共26层)  | 板塔结合,9人关注 / 8个月以前发布,80,"11,588元/平"
世纪大道中段  地铁口 经典两室,金泰丝路花城荣庭 -秦都区,2室2厅 | 90.35平米 | 南 | 简装 | 低楼层(共27层)  | 板塔结合,0人关注 / 9个月以前发布,128,"14,168元/平"
西咸新区金泰荣庭 纯南向两居 中层无遮挡 可按揭,金泰丝路花城荣庭 -秦都区,2室2厅 | 91.22平米 | 南 | 简装 | 中楼层(共25层)  | 板塔结合,8人关注 / 一年前发布,115,"12,607元/平"
世纪大道 地铁口 配套齐全 业主诚心出售,世纪优盘 -秦都区,2室2厅 | 90.31平米 | 东南 | 简装 | 中楼层(共28层)  | 板塔结合,12人关注 / 3个月以前发布,103,"11,406元/平"
复式  奥林匹克花园 两室 急售 世纪大道,奥林匹克花园四期伦敦奥运村 -秦都区,2室2厅 | 40.11平米 | 南 | 精装 | 高楼层(共20层)  | 板塔结合,4人关注 / 一年前发布,54,"13,463元/平"
金山佳苑 2室2厅 南,金山佳苑 -秦都区,2室2厅 | 75.51平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,13人关注 / 一年前发布,56.8,"7,523元/平"
枫景苑小三室南北通透看房方便......,枫景苑 -秦都区,3室2厅 | 54.2平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,37人关注 / 一年前发布,43.5,"8,026元/平"
经典大三居室房子，电梯房，采光好，视野广,华林大厦 -秦都区,3室2厅 | 148.08平米 | 南 | 简装 | 中楼层(共12层)  | 板楼,7人关注 / 一年前发布,95,"6,416元/平"
诚售！热！世纪大道中段韩非路地铁口 毛坯两室,世纪金叶 -秦都区,2室2厅 | 107.25平米 | 南 东 | 毛坯 | 高楼层(共27层)  | 板楼,7人关注 / 一年前发布,117,"10,910元/平"
此房满二 精装修 采光充足 适合居住,鑫苑尚东朝阳 -渭城区,1室1厅 | 66.03平米 | 东南 | 简装 | 中楼层(共9层)  | 塔楼,20人关注 / 一年前发布,43,"6,513元/平"
华泰小区26-27号楼两室简单装修,华泰小区26-27号楼 -渭城区,2室2厅 | 77.97平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,13人关注 / 一年前发布,46,"5,900元/平"
实验旁边，咸阳湖，经典两室值得拥有,聆水居 -秦都区,2室1厅 | 76.78平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,5人关注 / 7个月以前发布,93,"12,113元/平"
文林佳苑大1室毛坯可自主装修业主诚心出售看房方便,文林佳苑 -秦都区,1室1厅 | 71.63平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 塔楼,15人关注 / 11个月以前发布,48,"6,702元/平"
房子中间楼层，小区配套成熟 ，房子保持的良好,华泰世纪华苑 -秦都区,2室1厅 | 99.08平米 | 南 | 简装 | 中楼层(共25层)  | 板塔结合,4人关注 / 一年前发布,102,"10,295元/平"
世纪大道咸阳湖风景区畔地铁口南北通透纯板式小高层,华宇碧水茗居 -秦都区,2室2厅 | 91.38平米 | 南 北 | 简装 | 中楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,96,"10,506元/平"
秦都区 精装两房 领包入住 业主诚心出售 产证清晰,城投时代 -秦都区,2室2厅 | 96.21平米 | 东 西 | 精装 | 高楼层(共34层)  | 板塔结合,9人关注 / 一年前发布,95,"9,875元/平"
世纪大道沣西新城 近地铁口两室，毛坯， 电梯房,安谷苑小区 -秦都区,2室2厅 | 91.04平米 | 西南 | 毛坯 | 中楼层(共26层)  | 板塔结合,5人关注 / 一年前发布,86,"9,447元/平"
房子配套齐全，交通方便，房子装修过的。。。。。。。,石油公司联建楼 -秦都区,1室1厅 | 45平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,24人关注 / 一年前发布,30,"6,667元/平"
小区临湖 咸阳湖尽收眼底，精装修，拎包入住,外滩一号 -秦都区,2室2厅 | 91.51平米 | 南 | 精装 | 低楼层(共31层)  | 板塔结合,1人关注 / 5个月以前发布,135,"14,753元/平"
世纪大道沣西新城 近地铁口两室，没住过， 电梯房,安谷苑小区 -秦都区,2室2厅 | 96.61平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 板塔结合,1人关注 / 一年前发布,80,"8,281元/平"
彩虹南区带厅 业主自住 房子翻新过,彩虹老区 -秦都区,2室1厅 | 68.31平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,5人关注 / 3个月以前发布,46,"6,735元/平"
本房 全明户型 视野宽阔 采光充足 设施配套齐全,宇宏健康花城 -秦都区,2室2厅 | 85.84平米 | 北 | 精装 | 中楼层(共32层)  | 板塔结合,6人关注 / 一年前发布,116,"13,514元/平"
摩登3米阳光地铁口现房 低楼层诚心出售,摩登3米阳光 -秦都区,2室1厅 | 74.94平米 | 南 西 | 毛坯 | 地下室(共17层)  | 板塔结合,18人关注 / 一年前发布,19.8,"2,643元/平"
摩登3米阳光地铁口现房 低楼层诚心出售,摩登3米阳光 -秦都区,2室1厅 | 74.94平米 | 南 西 | 毛坯 | 地下室(共17层)  | 板塔结合,18人关注 / 一年前发布,19.8,"2,643元/平"
渭水华庭，地铁口，经典2室，诚心出售,渭水华庭 -秦都区,2室2厅 | 93.61平米 | 南 北 | 简装 | 高楼层(共11层)  | 暂无数据,7人关注 / 5个月以前发布,96,"10,256元/平"
大两室户型方正，南北通透，二楼，地铁近。,枫景苑 -秦都区,2室2厅 | 87.59平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,20人关注 / 一年前发布,80,"9,134元/平"
碧水茗居两室一梯两户电梯房 地铁口,华宇碧水茗居 -秦都区,2室1厅 | 92.75平米 | 东 西 | 简装 | 高楼层(共18层)  | 板塔结合,67人关注 / 5个月以前发布,98,"10,567元/平"
财富中心两居室满二年 简装全明户型 中间楼层 诚心卖,财富中心 -秦都区,2室1厅 | 77.92平米 | 南 | 简装 | 高楼层(共30层)  | 板塔结合,7人关注 / 7个月以前发布,79.5,"10,203元/平"
功能行住宅 【彩虹楼区】  两室,彩虹老区 -秦都区,2室1厅 | 40.19平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,2人关注 / 5个月以前发布,29,"7,216元/平"
世纪大道地铁口，全明两室，诚意出售,先河国际社区东区 -秦都区,2室2厅 | 90.27平米 | 南 | 精装 | 中楼层(共24层)  | 板塔结合,10人关注 / 10个月以前发布,99,"10,968元/平"
枫景苑地铁口精装2室高层，,枫景苑 -秦都区,2室2厅 | 90.35平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,9人关注 / 一年前发布,90,"9,962元/平"
南北通透，户型方正，楼层低，，，,阳光小区 -秦都区,2室2厅 | 86.53平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,6人关注 / 7个月以前发布,79,"9,130元/平"
户型方正，交通便利，生活方便采光好,工行小区 -秦都区,2室1厅 | 54.11平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,4人关注 / 一年前发布,35,"6,469元/平"
此房在四楼，简单装修，可拎包入住，业主实心出售,沈家小区 -秦都区,2室1厅 | 49.68平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,7人关注 / 7个月以前发布,36.5,"7,348元/平"
世纪大道 南海家缘  近地铁 可按揭,南海家缘 -秦都区,2室2厅 | 88.83平米 | 南 | 简装 | 低楼层(共12层)  | 板楼,5人关注 / 7个月以前发布,93,"10,470元/平"
地铁口 经典两室，精装未住，业主诚心出售,沁园茗居 -秦都区,2室1厅 | 78.54平米 | 南 | 精装 | 低楼层(共31层)  | 塔楼,23人关注 / 6个月以前发布,76.8,"9,779元/平"
商圈配套成熟 教育资源丰富 产权清晰,沣馨苑小区 -秦都区,3室2厅 | 110.8平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 板楼,45人关注 / 一年前发布,78,"7,040元/平"
精装两室朝南户型园林社区交通方便满二无大税，,旭光光明城 -秦都区,2室2厅 | 84.65平米 | 南 北 | 精装 | 高楼层(共24层)  | 板塔结合,0人关注 / 2个月以前发布,92,"10,869元/平"
外滩壹号 顶层复式结构 观湖房,外滩一号 -秦都区,4室2厅 | 192.56平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 板塔结合,1人关注 / 5个月以前发布,229,"11,893元/平"
小区环境优美 距离湖边近 顶跃大楼台楼层优越.采光好,外滩一号 -秦都区,3室2厅 | 180.56平米 | 北 南 | 毛坯 | 高楼层(共31层)  | 板塔结合,5人关注 / 5个月以前发布,233,"12,905元/平"
经典两室户型，采光无遮挡，业主诚心卖,先河国际西区 -秦都区,2室1厅 | 85.2平米 | 南 | 精装 | 低楼层(共26层)  | 板塔结合,0人关注 / 4个月以前发布,86,"10,094元/平"
力高御景湾精装两室  中间楼层 业主诚心出售,力高御景湾 -秦都区,2室2厅 | 91平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,91,"10,000元/平"
世纪大道地铁口经典小高层，精装两室,滨湖花园 -秦都区,2室2厅 | 98.63平米 | 南 西 | 精装 | 高楼层(共15层)  | 板楼,22人关注 / 一年前发布,80,"8,112元/平"
准地铁口，业主诚心出售。价格美丽,宝瑞阳光 -秦都区,1室1厅 | 51.78平米 | 北 | 精装 | 低楼层(共33层)  | 板楼,2人关注 / 6个月以前发布,49,"9,464元/平"
业主急售配套齐全、彩虹老区房屋一套，,彩虹老区 -秦都区,2室1厅 | 44.62平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,10人关注 / 一年前发布,33.5,"7,508元/平"
房子满五不唯一 采光楼层号.设施齐全 2楼低楼层,秦源小区 -秦都区,2室2厅 | 90.09平米 | 东 西 | 简装 | 低楼层(共6层)  | 板楼,38人关注 / 一年前发布,60.5,"6,716元/平"
