标题,开发商,房子信息,发布信息,售价/万,单价
恒大名都 精三室 124平 南北向 看房方便,恒大名都 -银海区,3室2厅 | 124.28平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,5人关注 / 7个月以前发布,67,"5,392元/平"
北部湾一号高层180度海景，躺着沐浴看海身临其境。,北部湾壹号 -海城区,1室1厅 | 65.51平米 | 北 | 简装 | 高楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,70,"10,686元/平"
碧桂园北纬21度南向精装修两居室出售,碧桂园北纬21° -银海区,2室1厅 | 79.19平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 2个月以前发布,100,"12,628元/平"
正规1+1房，朝南户型，采光很好，,国际新城 -海城区,2室1厅 | 62.52平米 | 南 | 精装 | 中楼层(共21层)  | 板塔结合,2人关注 / 9个月以前发布,39,"6,239元/平"
碧桂园  南北通透 ，楼层高，瞰海效果好,碧桂园北纬21° -银海区,2室1厅 | 90.79平米 | 南 北 | 精装 | 高楼层(共33层)  | 塔楼,4人关注 / 7个月以前发布,56.8,"6,257元/平"
户型方正，适合老年人和单身居住。,嘉福夏日海湾 -银海区,1室0厅 | 40.16平米 | 北 | 简装 | 高楼层(共26层)  | 板楼,2人关注 / 一年前发布,23.6,"5,877元/平"
宁春城，海尚巴黎，电梯朝南，一房带装修,海尚巴黎酒店公寓 -海城区,1室1厅 | 46.5平米 | 南 | 精装 | 中楼层(共29层)  | 塔楼,0人关注 / 一年前发布,23,"4,947元/平"
繁华地段，购物便利，采光*好可看海,大润发 -海城区,1室1厅 | 60.62平米 | 东 | 精装 | 高楼层(共28层)  | 板塔结合,2人关注 / 一年前发布,24.8,"4,092元/平"
房屋适合养老，环境优越，位置好。。。。,禧悦湾 -银海区,2室1厅 | 53平米 | 东 西 | 简装 | 低楼层(共25层)  | 板塔结合,1人关注 / 一年前发布,45.5,"8,585元/平"
此房满二，中高楼层采光充足，视野宽阔配套设施齐全,金缘世家 -海城区,2室1厅 | 71.48平米 | 东 南 | 精装 | 中楼层(共28层)  | 板塔结合,0人关注 / 2个月以前发布,30,"4,197元/平"
侨港风情街旁蓝色国际电梯海景一房仅售24万,蓝色国际 -银海区,1室0厅 | 56.3平米 | 南 | 简装 | 中楼层(共13层)  | 板塔结合,6人关注 / 一年前发布,24,"4,263元/平"
茶亭路 阳光海岸精装海景二房 拎包入住,阳光海岸 -海城区,2室1厅 | 74平米 | 西北 | 精装 | 低楼层(共31层)  | 板塔结合,0人关注 / 一年前发布,72,"9,730元/平"
云南路 碧雅苑步梯一楼 正规的2房1厅,碧雅苑 -银海区,2室1厅 | 56.4平米 | 北 | 简装 | 7层  | 平房,20人关注 / 一年前发布,25,"4,433元/平"
店长强烈推荐。。。。。。。。。,东峰广场 -海城区,2室1厅 | 85.87平米 | 南 | 简装 | 中楼层(共29层)  | 板塔结合,1人关注 / 一年前发布,39.9,"4,647元/平"
北部湾东路海语城两房，精装修，拎包入住,碧园海语城 -海城区,2室2厅 | 78平米 | 北 | 精装 | 高楼层(共18层)  | 塔楼,0人关注 / 5个月以前发布,49,"6,283元/平"
俯瞰廉州湾，楼层好，空间大，采光足，配套齐交通便利,汇福蔚蓝豪廷 -海城区,2室1厅 | 85.52平米 | 北 | 精装 | 高楼层(共21层)  | 板塔结合,0人关注 / 一年前发布,40,"4,678元/平"
海城区高品质，海江南高层前无遮挡简装大两房,海江南花园 -海城区,2室2厅 | 88.72平米 | 东南 | 简装 | 高楼层(共22层)  | 板塔结合,7人关注 / 一年前发布,39.9,"4,498元/平"
南北阳台，采光充足，通风透气，步梯4楼,和枫雅居书香园 -海城区,2室2厅 | 87.75平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,2人关注 / 一年前发布,40,"4,559元/平"
北部湾一号高层180度海景，躺着沐浴看海身临其境。,北部湾壹号 -海城区,1室1厅 | 65.51平米 | 北 | 简装 | 高楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,70,"10,686元/平"
北部湾广场  天赐碧园电梯高层朝南方正两房,越亚天赐碧园 -海城区,2室2厅 | 90.34平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,6人关注 / 7个月以前发布,46,"5,092元/平"
碧桂园北纬21度南向精装修两居室出售,碧桂园北纬21° -银海区,2室1厅 | 79.19平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 2个月以前发布,100,"12,628元/平"
侨港风情街旁蓝色国际电梯海景一房仅售24万,蓝色国际 -银海区,1室0厅 | 56.3平米 | 南 | 简装 | 中楼层(共13层)  | 板塔结合,6人关注 / 一年前发布,24,"4,263元/平"
此房高楼层，精装修，视野宽阔，采光充足配套齐全,金缘世家 -海城区,1室1厅 | 47.62平米 | 东 | 精装 | 高楼层(共28层)  | 板塔结合,0人关注 / 1个月以前发布,20,"4,200元/平"
房屋适合养老，环境优越，位置好。。。。,禧悦湾 -银海区,2室1厅 | 53平米 | 东 西 | 简装 | 低楼层(共25层)  | 板塔结合,1人关注 / 一年前发布,45.5,"8,585元/平"
小区环境好，人文素质高，出行方便，适合养老,森海豪庭三期 -银海区,2室2厅 | 90.84平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,59,"6,495元/平"
房子精装修，中楼层，采光好，市场近生活便利，,金缘世家 -海城区,1室0厅 | 47.62平米 | 东 | 简装 | 低楼层(共28层)  | 板塔结合,4人关注 / 一年前发布,19.5,"4,095元/平"
广东路与西南大道 海天瑶小区 3房吉售,海天瑶 -海城区,3室2厅 | 85.56平米 | 南 | 精装 | 高楼层(共28层)  | 板塔结合,1人关注 / 一年前发布,55,"6,429元/平"
新大润发旁，品质小区，精装修，南北通透两房！,白金瀚宫二期 -银海区,2室1厅 | 82.22平米 | 南 北 | 精装 | 中楼层(共16层)  | 板塔结合,2人关注 / 一年前发布,38,"4,622元/平"
小区环境幽静，交通便利，户型方正，视野宽阔,兴凯花园 -海城区,1室1厅 | 53.69平米 | 南 | 精装 | 低楼层(共16层)  | 板塔结合,17人关注 / 一年前发布,16.2,"3,018元/平"
高德生活区，比邻景区坐享百年历史古韵,汇福蔚蓝豪廷 -海城区,2室2厅 | 81.47平米 | 南 北 | 简装 | 中楼层(共21层)  | 板塔结合,1人关注 / 一年前发布,43,"5,279元/平"
碧园海语城 品质小区 步梯2楼 南北通透,碧园海语城 -海城区,2室2厅 | 72.54平米 | 南 北 | 简装 | 低楼层(共6层)  | 塔楼,18人关注 / 9个月以前发布,41,"5,653元/平"
湖南路 朝南大2房  电梯高层 业主急售,泰来大厦 -海城区,2室2厅 | 89.78平米 | 南 西 | 简装 | 高楼层(共18层)  | 塔楼,1人关注 / 一年前发布,37,"4,122元/平"
业主急售 木林森大厦 正规1房1厅,木林森大厦 -海城区,1室1厅 | 63.61平米 | 北 | 简装 | 高楼层(共12层)  | 塔楼,6人关注 / 一年前发布,19.5,"3,066元/平"
广东路 万达商圈 嘉盛名都  2房 价格便宜,嘉盛名都 -银海区,2室2厅 | 81平米 | 东南 | 简装 | 低楼层(共32层)  | 板塔结合,2人关注 / 4个月以前发布,48,"5,926元/平"
意创大厦 大一房一厅 配套齐全 业主诚售,意创大厦 -海城区,1室1厅 | 68.21平米 | 西 | 简装 | 中楼层(共16层)  | 板塔结合,0人关注 / 一年前发布,27.5,"4,032元/平"
视野开阔 户型方正，拎包入住，高楼层,明苑花园 -海城区,2室2厅 | 61.17平米 | 南 北 | 精装 | 高楼层(共32层)  | 板塔结合,4人关注 / 7个月以前发布,33,"5,395元/平"
北海市大润发商圈.金滩旅游景点,越亚天赐碧园 -海城区,2室1厅 | 85.2平米 | 南 | 精装 | 低楼层(共31层)  | 板塔结合,31人关注 / 一年前发布,42,"4,930元/平"
沃尔玛、贵州路市场、大开间便宜出售,银晖公寓 -海城区,1室1厅 | 35.61平米 | 南 | 简装 | 中楼层(共20层)  | 塔楼,47人关注 / 一年前发布,13.8,"3,876元/平"
此房满二，中高楼层采光充足，视野宽阔配套设施齐全,金缘世家 -海城区,2室1厅 | 71.48平米 | 东 南 | 精装 | 中楼层(共28层)  | 板塔结合,0人关注 / 2个月以前发布,30,"4,197元/平"
此房高楼层，视野宽阔，采光充足，配套齐全，出入方便,鼎鑫小区 -海城区,2室2厅 | 78.45平米 | 东 | 简装 | 高楼层(共20层)  | 板塔结合,2人关注 / 6个月以前发布,30,"3,825元/平"
东辉·翰林鑫苑 电梯两房  出售,东辉·翰林鑫苑 -银海区,2室2厅 | 79.36平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,5人关注 / 一年前发布,37,"4,663元/平"
东都商圈 精装一房一厅朝南 采光好无遮挡,阳光东海岸 -海城区,1室1厅 | 66平米 | 南 | 简装 | 高楼层(共21层)  | 板塔结合,10人关注 / 8个月以前发布,25.8,"3,910元/平"
业主诚心出售此房，适合老人居住！万达、吾悦广场商圈,森海豪庭三期 -银海区,1室1厅 | 63.88平米 | 南 | 简装 | 低楼层(共33层)  | 板塔结合,1人关注 / 11个月以前发布,43,"6,732元/平"
茶亭路 阳光海岸精装海景二房 拎包入住,阳光海岸 -海城区,2室1厅 | 74平米 | 西北 | 精装 | 低楼层(共31层)  | 板塔结合,0人关注 / 一年前发布,72,"9,730元/平"
房子户型方正，，楼层好，，采光好,兆信铂悦湾 -银海区,1室1厅 | 39.61平米 | 南 | 精装 | 高楼层(共19层)  | 板楼,0人关注 / 2个月以前发布,30,"7,574元/平"
小区环境干净整洁，交通方便，房间中楼层，,东辉·翰林鑫苑 -银海区,2室1厅 | 83.15平米 | 南 | 简装 | 低楼层(共26层)  | 板塔结合,4人关注 / 一年前发布,39,"4,691元/平"
新大润发贵兴市场西侧 朝南一房一厨一卫一阳台通燃气,宏瑞大厦 -银海区,1室0厅 | 35.07平米 | 南 | 简装 | 中楼层(共15层)  | 板塔结合,4人关注 / 一年前发布,20,"5,703元/平"
万达小两房，拎包入住，旅居过冬,中南锦绣花园 -银海区,2室1厅 | 49.87平米 | 北 | 精装 | 中楼层(共26层)  | 板塔结合,6人关注 / 一年前发布,23.6,"4,733元/平"
满五唯一，房屋宽敞，小区环境好,赫尔馨居 -银海区,2室2厅 | 87.48平米 | 西 | 精装 | 中楼层(共16层)  | 板塔结合,0人关注 / 一年前发布,52.5,"6,002元/平"
一线海景房，现房，未装修，可以按自己需求设计,壹海江山 -银海区,3室2厅 | 76.38平米 | 南 | 毛坯 | 32层  | 板楼,0人关注 / 5个月以前发布,107,"14,009元/平"
"房子满5唯一，经济实惠,单身和老人居住。",嘉逸花园 -海城区,1室1厅 | 37.87平米 | 西北 | 简装 | 低楼层(共9层)  | 板塔结合,9人关注 / 一年前发布,13.9,"3,671元/平"
急售北海大道  东峰锦绣城  电梯两房 证在手,东峰锦绣城 -海城区,2室2厅 | 81.55平米 | 北 | 简装 | 高楼层(共23层)  | 板塔结合,5人关注 / 一年前发布,29.8,"3,655元/平"
上海路 金葵市场旁 金缘世家 精装2房 拎包入住,金缘世家 -海城区,1室2厅 | 86.49平米 | 南 | 精装 | 低楼层(共28层)  | 板塔结合,20人关注 / 8个月以前发布,37.5,"4,336元/平"
正规一房，户型方正，全新装修，拎包住，换房吉售。,嘉盛名都 -银海区,1室1厅 | 59.8平米 | 北 | 精装 | 高楼层(共25层)  | 板塔结合,0人关注 / 10个月以前发布,43,"7,191元/平"
北海性建筑，离海边50米，精装修,北部湾壹号 -海城区,1室1厅 | 63.91平米 | 北 | 精装 | 低楼层(共33层)  | 板楼,2人关注 / 一年前发布,46,"7,198元/平"
嘉禾冠山海一线海景、户型方正、采光*高看房方便。,嘉和冠山海 -海城区,1室1厅 | 49.22平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,1人关注 / 一年前发布,36,"7,315元/平"
万达旁同和水岸  两房两厅  拎包入住,同和水岸香堤 -银海区,2室2厅 | 88.57平米 | 南 | 简装 | 中楼层(共11层)  | 板楼,20人关注 / 一年前发布,49.3,"5,567元/平"
北海大道西边【长和大厦】中层干净装修两房两厅,长和大厦 -海城区,2室2厅 | 88.62平米 | 南 | 简装 | 中楼层(共32层)  | 板塔结合,0人关注 / 一年前发布,35.8,"4,040元/平"
此房满二唯一，格局好，楼层好，视野宽阔，采光充足,长富大厦 -银海区,2室2厅 | 86.83平米 | 东 | 精装 | 高楼层(共25层)  | 板塔结合,0人关注 / 一年前发布,50,"5,759元/平"
此房楼层好11楼，视野宽阔，采光充足，配套设施齐全,在海一方 -银海区,1室1厅 | 45.83平米 | 东 | 简装 | 中楼层(共18层)  | 板塔结合,12人关注 / 一年前发布,20.6,"4,495元/平"
沃尔玛商圈，中楼层，两房，价格便宜，仅需38.6,南洋国际金融公寓 -海城区,2室1厅 | 57.62平米 | 南 | 简装 | 低楼层(共30层)  | 板塔结合,5人关注 / 一年前发布,25,"4,339元/平"
业主急售 河南路湿地公园 东峰锦绣城 电梯中层两房,东峰锦绣城 -海城区,2室2厅 | 90.9平米 | 东南 | 精装 | 高楼层(共25层)  | 板塔结合,31人关注 / 一年前发布,32.8,"3,609元/平"
沃尔玛商圈，北海大厦好地段房东急售,北海大厦 -海城区,2室0厅 | 57.87平米 | 南 | 简装 | 高楼层(共24层)  | 塔楼,0人关注 / 一年前发布,27.9,"4,822元/平"
房子满二唯一，采光充足，视野开阔，一线海景,壹海江山 -银海区,3室2厅 | 67.87平米 | 南 北 | 精装 | 31层  | 板楼,1人关注 / 一年前发布,75,"11,051元/平"
沃尔玛商圈，生活配套成熟，正规大两房,鹏海公寓 -海城区,2室2厅 | 77.65平米 | 东 | 简装 | 高楼层(共8层)  | 板楼,2人关注 / 一年前发布,26.6,"3,426元/平"
明苑花园精装两房，房子装修漂亮,明苑花园 -海城区,2室1厅 | 69.35平米 | 东 | 精装 | 中楼层(共32层)  | 板塔结合,2人关注 / 6个月以前发布,34.5,"4,975元/平"
北部湾东路  两房两厅   带有1个12平的车  库,海东小区 -海城区,2室2厅 | 71.46平米 | 南 北 | 简装 | 中楼层(共8层)  | 板塔结合,32人关注 / 一年前发布,22,"3,079元/平"
万达对过港鹏公园印象纯 南北通透双阳台大两房,港鹏公园印象 -银海区,2室1厅 | 84.67平米 | 南 北 | 简装 | 高楼层(共16层)  | 板塔结合,10人关注 / 一年前发布,48,"5,670元/平"
旁边就是万达广场吾悦广场杭州路市场配套齐全,北海盈馨花园 -银海区,2室1厅 | 77.9平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,1人关注 / 2个月以前发布,33,"4,237元/平"
海城区 云海小区正规三房 带大杂物间 配套成熟,雲海小區 -海城区,3室1厅 | 82.57平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,8人关注 / 5个月以前发布,21.5,"2,604元/平"
金滩板块 正规中低楼层两房出售 配套齐全,海辰国际公寓 -海城区,2室2厅 | 79.04平米 | 南 | 简装 | 低楼层(共30层)  | 板塔结合,0人关注 / 一年前发布,50.6,"6,402元/平"
品质园林小区休闲优雅人车分流。,穗丰金湾 -银海区,2室2厅 | 82.98平米 | 南 北 | 简装 | 低楼层(共30层)  | 板塔结合,0人关注 / 5个月以前发布,58,"6,990元/平"
九洲家园北区  2房两厅 户型好.,九州家园北区 -银海区,2室2厅 | 68.9平米 | 南 北 | 简装 | 低楼层(共11层)  | 板塔结合,0人关注 / 4个月以前发布,41,"5,951元/平"
金滩商圈，一室一厅，中层看海，干净亮堂。,木林森大厦 -海城区,1室1厅 | 63.61平米 | 南 | 简装 | 高楼层(共12层)  | 塔楼,0人关注 / 一年前发布,24.6,"3,868元/平"
北海大道德正市场旁，步梯南北朝向2房2厅2阳台,悦发花园 -海城区,2室2厅 | 91.49平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,4人关注 / 7个月以前发布,33.9,"3,706元/平"
碧桂园 高层海景房 楼层好 朝南格局 精装修,碧桂园北纬21° -银海区,1室2厅 | 52平米 | 东南 | 精装 | 高楼层(共21层)  | 塔楼,7人关注 / 一年前发布,36,"6,924元/平"
业主急售 临街商铺 好出租 价格好谈,文明路19号 -海城区,1室1厅 | 46.47平米 | 东 | 简装 | 低楼层(共5层)  | 板楼,3人关注 / 一年前发布,75,"16,140元/平"
此房满二唯一，户型方正。楼层好,东峰广场 -海城区,2室1厅 | 86.3平米 | 南 | 精装 | 中楼层(共28层)  | 板塔结合,1人关注 / 4个月以前发布,35,"4,056元/平"
两大公园环抱品质小区，北海名座电梯高层，朝南2房2厅,北海名座 -海城区,2室2厅 | 88.69平米 | 南 | 其他 | 高楼层(共32层)  | 板塔结合,0人关注 / 9个月以前发布,58.8,"6,630元/平"
冠山海精装修 一房54平 拎包入住,嘉和冠山海 -海城区,1室1厅 | 54平米 | 南 东南 | 精装 | 低楼层(共32层)  | 板塔结合,13人关注 / 一年前发布,29.2,"5,408元/平"
金滩商圈 海景 独立卫浴 采光好,木林森大厦 -海城区,1室0厅 | 44.52平米 | 北 | 简装 | 中楼层(共12层)  | 塔楼,68人关注 / 一年前发布,12.8,"2,876元/平"
精装旁边就有几个市场，小区配套齐全，通透户型，,东辉·翰林鑫苑 -银海区,1室1厅 | 56.56平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,26,"4,597元/平"
楼层好，视野宽阔，采光充足，配套设施齐全！,东方之珠花园 -海城区,1室1厅 | 52.71平米 | 北 | 精装 | 中楼层(共19层)  | 板塔结合,1人关注 / 5个月以前发布,25,"4,743元/平"
新大润发商圈，朝北正规两房，明厨明卫，通透采光好！,怡康春城 -银海区,2室2厅 | 89.49平米 | 北 | 简装 | 高楼层(共25层)  | 板塔结合,0人关注 / 一年前发布,51,"5,699元/平"
海甸花园1房1卫1厨 52.9平米 22.8万 随时看房,海甸花园 -银海区,1室0厅 | 52.9平米 | 南 | 简装 | 高楼层(共12层)  | 塔楼,1人关注 / 11个月以前发布,19.6,"3,706元/平"
银滩一线朝南海景高层正规两房，无遮挡,桐洋国际大厦 -银海区,2室1厅 | 71平米 | 南 西南 北 | 精装 | 中楼层(共28层)  | 塔楼,6人关注 / 一年前发布,40,"5,634元/平"
户型格局好，每个房间都比较大，南北对流，通风好,银州南寨小区 -银海区,2室1厅 | 90.91平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,13人关注 / 一年前发布,33,"3,630元/平"
红树林区域，正规一室一厅阳台上看海看白鹭,中信国安北海第一城 -银海区,1室1厅 | 67.48平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,2人关注 / 5个月以前发布,44.8,"6,640元/平"
华一红树林 正规两房 精装 拎包入住,华一·红树林 -银海区,2室2厅 | 88.17平米 | 南 北 | 精装 | 低楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,57,"6,465元/平"
北海大道德正市场旁，步梯南北朝向2房2厅2阳台,悦发花园 -海城区,2室2厅 | 91.49平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,4人关注 / 7个月以前发布,33.9,"3,706元/平"
近银滩大润发商圈正规两房朝南无遮挡,怡康春城 -银海区,2室1厅 | 77.67平米 | 南 | 简装 | 低楼层(共24层)  | 板塔结合,6人关注 / 一年前发布,34.5,"4,442元/平"
海湾公馆2房2卫3阳台 中间楼层，视野开阔无遮挡,皇家海湾公馆 -银海区,2室2厅 | 86.7平米 | 东 西 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,78,"8,997元/平"
户型方正，朝南采光好，装修也可以，证在手,碧雅苑 -银海区,1室1厅 | 42.28平米 | 南 | 简装 | 7层  | 平房,42人关注 / 一年前发布,16.8,"3,974元/平"
新小区桐洋新城电梯三房宁春城商圈 高铁站 出行方便,桐洋新城 -海城区,3室2厅 | 87.02平米 | 南 北 | 精装 | 高楼层(共28层)  | 板塔结合,2人关注 / 7个月以前发布,44,"5,057元/平"
金滩靓房，东南亚风情园林南向2室2厅90平仅售55万,候鳥灣 -海城区,2室2厅 | 90.67平米 | 南 北 | 简装 | 中楼层(共31层)  | 板塔结合,11人关注 / 一年前发布,60,"6,618元/平"
侨港商圈 高层看海两房 近海而不亲海 拎包入住！,蓝色之都 -银海区,2室2厅 | 85.37平米 | 南 | 简装 | 中楼层(共26层)  | 板楼,4人关注 / 一年前发布,40,"4,686元/平"
万达对过港鹏公园印象纯 南北通透双阳台大两房,港鹏公园印象 -银海区,2室1厅 | 84.67平米 | 南 北 | 简装 | 高楼层(共16层)  | 板塔结合,10人关注 / 一年前发布,48,"5,670元/平"
旁边就是万达广场吾悦广场杭州路市场配套齐全,北海盈馨花园 -银海区,2室1厅 | 77.9平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,1人关注 / 2个月以前发布,33,"4,237元/平"
金滩商圈，一室一厅，中层看海，干净亮堂。,木林森大厦 -海城区,1室1厅 | 63.61平米 | 南 | 简装 | 高楼层(共12层)  | 塔楼,0人关注 / 一年前发布,24.6,"3,868元/平"
品质园林小区休闲优雅人车分流。,穗丰金湾 -银海区,2室2厅 | 82.98平米 | 南 北 | 简装 | 低楼层(共30层)  | 板塔结合,0人关注 / 5个月以前发布,58,"6,990元/平"
九洲家园北区  2房两厅 户型好.,九州家园北区 -银海区,2室2厅 | 68.9平米 | 南 北 | 简装 | 低楼层(共11层)  | 板塔结合,0人关注 / 4个月以前发布,41,"5,951元/平"
海城区 云海小区正规三房 带大杂物间 配套成熟,雲海小區 -海城区,3室1厅 | 82.57平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,8人关注 / 5个月以前发布,21.5,"2,604元/平"
金滩板块 正规中低楼层两房出售 配套齐全,海辰国际公寓 -海城区,2室2厅 | 79.04平米 | 南 | 简装 | 低楼层(共30层)  | 板塔结合,0人关注 / 一年前发布,50.6,"6,402元/平"
四川南路和佳广场后面是新大润发交通便利逛街游玩很,白金瀚宫二期 -银海区,2室2厅 | 89平米 | 东南 | 简装 | 高楼层(共16层)  | 板塔结合,5人关注 / 一年前发布,40,"4,495元/平"
一线海景房，57万，精装修，大露台，拎包入住,壹海江山 -银海区,2室2厅 | 70.91平米 | 南 | 精装 | 32层  | 板塔结合,6人关注 / 5个月以前发布,56,"7,898元/平"
装修漂亮的房子，规规整整，方方正正，采光明亮。。,君临西海岸 -海城区,2室1厅 | 59.15平米 | 东 | 简装 | 中楼层(共31层)  | 塔楼,1人关注 / 11个月以前发布,26,"4,396元/平"
房子位置好，出行方便，适合养老度假,通海景苑 -银海区,2室2厅 | 86.39平米 | 南 | 简装 | 低楼层(共18层)  | 板塔结合,0人关注 / 9个月以前发布,49,"5,672元/平"
小区位置好，适合度假养老，住着舒服,银滩海尊 -银海区,1室0厅 | 47.59平米 | 南 | 简装 | 高楼层(共29层)  | 板塔结合,1人关注 / 8个月以前发布,24,"5,044元/平"
距离海边168米的房子：壹海江山,壹海江山 -银海区,2室1厅 | 67.41平米 | 南 | 精装 | 31层  | 板塔结合,8人关注 / 10个月以前发布,57,"8,456元/平"
新大润发商圈贵兴市场旁家安花园东西通透二房出售,家安花园 -银海区,2室2厅 | 87.07平米 | 东 西 北 | 其他 | 19层  | 板塔结合,0人关注 / 12天以前发布,36.5,"4,193元/平"
海滨公园富丽华酒店旁 大三房 可以看海,碧海云天 -海城区,3室2厅 | 181平米 | 北 | 简装 | 中楼层(共18层)  | 板塔结合,4人关注 / 一年前发布,88,"4,862元/平"
出售 晏锋建材商城 三房两厅 拎包入住,晏锋建材商城 -海城区,3室2厅 | 103.02平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,55,"5,339元/平"
北部湾广场旁 出入方便 交通方便,新力广厦 -海城区,3室2厅 | 129平米 | 东 南 | 简装 | 高楼层(共25层)  | 板塔结合,2人关注 / 一年前发布,61.9,"4,799元/平"
好房子不愁卖，成熟社区，交通便利，步梯房无公摊。,广海小区 -海城区,3室2厅 | 138.8平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 一年前发布,56,"4,035元/平"
海湾新城 大三房  户型方正 南北通透,汇联海湾明珠 -海城区,3室2厅 | 105平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 暂无数据,1人关注 / 一年前发布,55,"5,239元/平"
正规大三房南北格局，光线明亮，装修干净,一品湾 -银海区,3室1厅 | 88平米 | 南 | 其他 | 高楼层(共20层)  | 板塔结合,1人关注 / 一年前发布,50.5,"5,739元/平"
新大润发商圈，买一得两层，性价 比高，适合投 资,宏海花园 -银海区,3室2厅 | 89.75平米 | 南 | 简装 | 低楼层(共24层)  | 塔楼,3人关注 / 一年前发布,75,"8,357元/平"
此房满五唯一，万达商圈，配套完善，出行便利,弘业海景广场 -银海区,2室1厅 | 90.71平米 | 南 | 毛坯 | 低楼层(共28层)  | 塔楼,2人关注 / 一年前发布,46,"5,072元/平"
银滩万达商圈，森海豪庭高层一线海景，南北3面光3房！,金昌森海豪庭观邸 -银海区,3室1厅 | 85.8平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,79,"9,208元/平"
滨海阳光 2室2厅 北,滨海阳光 -银海区,2室2厅 | 89.89平米 | 北 | 毛坯 | 高楼层(共31层)  | 板塔结合,0人关注 / 一年前发布,50,"5,563元/平"
房子户型很好的，三百米就是菜市场。,华厦金工园 -海城区,3室2厅 | 120.9平米 | 南 北 东 | 精装 | 中楼层(共16层)  | 塔楼,1人关注 / 一年前发布,60.45,"5,000元/平"
北海金滩北部湾一号朝北毛坯大三房出售,北部湾壹号 -海城区,3室2厅 | 130.42平米 | 北 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 一年前发布,105,"8,051元/平"
城东东方之珠花园，业主诚心出售,东方之珠花园 -海城区,2室2厅 | 84.1平米 | 南 | 简装 | 高楼层(共22层)  | 塔楼,0人关注 / 一年前发布,53,"6,303元/平"
海城区，东珠华庭，精装修三室。,东珠华庭 -海城区,3室2厅 | 102平米 | 南 北 | 简装 | 中楼层(共12层)  | 塔楼,5人关注 / 一年前发布,50,"4,902元/平"
宁春城商圈 三房二厅 115平方业主急售,大成公寓 -海城区,3室2厅 | 115.66平米 | 南 北 | 其他 | 中楼层(共8层)  | 板楼,0人关注 / 一年前发布,47.9,"4,142元/平"
第九湾蓝山上湾高层精装大四房，可看部分海景,第九湾蓝山上湾 -银海区,4室2厅 | 142.45平米 | 南 北 | 精装 | 高楼层(共23层)  | 板塔结合,0人关注 / 4个月以前发布,95,"6,670元/平"
东头高档小区，碧水半岛，三房两厅,碧水半岛 -海城区,3室2厅 | 107.85平米 | 南 | 精装 | 高楼层(共30层)  | 板塔结合,0人关注 / 一年前发布,91,"8,438元/平"
"距银滩,万达广场各1.5公里,距菜市场800米",桐洋国际大厦 -银海区,3室2厅 | 88.1平米 | 北 | 简装 | 高楼层(共28层)  | 塔楼,1人关注 / 一年前发布,49,"5,562元/平"
此房是无抵押证件在手的，户型方正，采光充足的,观海一品 -海城区,3室1厅 | 90平米 | 南 北 | 精装 | 高楼层(共33层)  | 塔楼,2人关注 / 一年前发布,51,"5,667元/平"
侨港蓝色经典 高层看海 南北通透两房 毛坯,蓝色经典 -银海区,2室2厅 | 88平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 板塔结合,7人关注 / 一年前发布,51,"5,796元/平"
观海一品 随时可以看房 有钥匙 朝西南,观海一品 -海城区,3室2厅 | 89平米 | 西南 | 毛坯 | 低楼层(共33层)  | 塔楼,1人关注 / 一年前发布,48.8,"5,484元/平"
房子户型方正 ，采光好，交通生活便利,长和大厦 -海城区,3室2厅 | 117平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 一年前发布,58.5,"5,000元/平"
