标题,开发商,房子信息,发布信息,售价/万,单价
格局宽阔，采光充足好，楼层好，视野好 满五唯颐,颐景雅苑 -延安东路,3室2厅 | 128.45平米 | 南 | 精装 | 高楼层(共5层)  | 板塔结合,0人关注 / 18天以前发布,138,"10,744元/平"
旺旺家缘 电梯小高层 精装大三房 中间楼层 满五唯一,旺旺家缘 -水渡口大道,3室2厅 | 139.52平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 5个月以前发布,120,"8,601元/平"
金榜花园 3室2厅 南,金榜花园 -大学城商圈,3室2厅 | 117.29平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 16天以前发布,96,"8,185元/平"
梁红玉路亚特蓝郡 精装电梯三房 随时看,亚特蓝郡 -新城市广场,3室2厅 | 121.35平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 5个月以前发布,125,"10,301元/平"
清江人家 精装四室 家具家电齐全 楼层好采光佳,清江人家 -延安东路,4室2厅 | 124.25平米 | 南 | 精装 | 高楼层(共28层)  | 板塔结合,0人关注 / 2个月以前发布,142,"11,429元/平"
和平小区 3室2厅 南,和平小区 -周恩来纪念馆,3室2厅 | 96.52平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 11天以前发布,70,"7,253元/平"
鸿基雅园 3室精装  采光刺眼 楼层好  拎包入住,鸿基雅园 -上海西路,3室2厅 | 107.63平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,92.8,"8,623元/平"
近淮中，好出租，南北中等装修，拎包入住，有车库,丽正花苑 -新城市广场,3室2厅 | 123.68平米 | 南 | 精装 | 低楼层(共7层)  | 板塔结合,3人关注 / 一年前发布,116.8,"9,444元/平"
蓝庭印象精装四房 满五唯一 诚心出售,蓝庭印象花园 -长征小学,4室2厅 | 133.4平米 | 南 | 其他 | 中楼层(共25层)  | 板塔结合,0人关注 / 14天以前发布,143,"10,720元/平"
中南2期 精装修满两年 房东诚心出售,中南世纪城2期 -中南商圈,4室2厅 | 118.09平米 | 南 北 | 其他 | 高楼层(共32层)  | 塔楼,1人关注 / 11个月以前发布,150,"12,703元/平"
中南大四室，景观房，含车位，满五唯一,中南世纪城2期 -中南商圈,4室2厅 | 142.62平米 | 南 北 | 其他 | 中楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,191,"13,393元/平"
翔宇大道边，红豆美墅精装好房，业主诚意出售,红豆美墅 -迎宾大道,3室2厅 | 126.09平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,4人关注 / 10个月以前发布,150,"11,897元/平"
三室两厅精装大三房看房方便楼层适中,恒大名都三期 -恒大名都,3室2厅 | 128.47平米 | 南 北 | 其他 | 低楼层(共32层)  | 塔楼,0人关注 / 2个月以前发布,112,"8,718元/平"
日月星城西区 2室2厅 南,日月星城西区 -延安东路,2室2厅 | 96.43平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,92,"9,541元/平"
万达广场二期住宅 2室1厅 南,万达广场二期住宅 -万达,2室1厅 | 95平米 | 南 | 其他 | 高楼层(共28层)  | 塔楼,0人关注 / 4天以前发布,110,"11,579元/平"
此房房东诚心出售 价格可谈 采光好 户型好 大家多推推,富源尚城 -大学城商圈,3室1厅 | 105.4平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,19人关注 / 一年前发布,92,"8,729元/平"
此房格局大方，楼层好，适合老人，夫妻，带孩子上学,海洲朗郡 -延安东路,3室2厅 | 122.82平米 | 南 北 | 精装 | 低楼层(共23层)  | 板楼,0人关注 / 9个月以前发布,132,"10,748元/平"
新上！恒大精装三室保养如新，全天采光。,淮安恒大名都 -恒大名都,3室2厅 | 125.47平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,110,"8,768元/平"
急售速抢 书香门第 小淮中陪读 单价6开头不心动,书香门第 -金地商业广场,3室2厅 | 149.71平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,14人关注 / 一年前发布,98,"6,546元/平"
爱琴海花园86.22平2室2厅1厨1卫,爱琴海花园 -长征小学,2室2厅 | 86.22平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 6天以前发布,95,"11,019元/平"
中南世纪锦城 2室2厅 东南 南,中南世纪锦城 -生态新城,2室2厅 | 85.47平米 | 东南 南 | 其他 | 高楼层(共34层)  | 板塔结合,0人关注 / 1天以前发布,135,"15,796元/平"
翔宇大道金地大润发 荷湖星城 精装电梯洋房 储藏室,荷湖星城 -金地商业广场,3室2厅 | 130.13平米 | 南 | 精装 | 中楼层(共9层)  | 板楼,0人关注 / 7个月以前发布,148,"11,374元/平"
天山华庭 小高层 带电梯 三房朝南 精装修 设施齐全,天山华庭 -东大院,4室2厅 | 146.81平米 | 南 | 精装 | 高楼层(共10层)  | 板楼,0人关注 / 11个月以前发布,240,"16,348元/平"
出行方便，户型方正，居住方便舒适,融侨悦城 -水渡口大道,3室2厅 | 120平米 | 南 | 其他 | 低楼层(共14层)  | 板楼,0人关注 / 6天以前发布,132,"11,000元/平"
东方丽景 3室1厅 南,东方丽景 -水渡口大道,3室1厅 | 107平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 1天以前发布,99,"9,253元/平"
西大院满五唯一 中间楼层 实用四房 简单装修,淮安市市级机关西院生活区 -外国语,4室1厅 | 109.43平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,230,"21,019元/平"
此房格局好，楼层好，感受度强，视野宽阔，采光充足,亿力未来城二期 -翔宇大道,3室1厅 | 139平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 9天以前发布,210,"15,108元/平"
桃源名府精装修三室两厅电梯房，家具家电齐全,桃源名府 -迎宾大道,3室2厅 | 110.8平米 | 南 | 其他 | 高楼层(共30层)  | 板塔结合,0人关注 / 2天以前发布,99.8,"9,008元/平"
钵池小区。有产证，在四楼，诚意出售。,钵池小区 -迎宾大道,2室2厅 | 84.28平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,7人关注 / 一年前发布,63,"7,476元/平"
采光好    视野广阔    交通方便      小区环境优雅,新晨佳苑北区 -小营,4室2厅 | 125.53平米 | 南 北 | 精装 | 高楼层(共6层)  | 塔楼,3人关注 / 8个月以前发布,107,"8,524元/平"
万达商圈  健康新村  两室一厅  一楼,教工新村 -万达,2室1厅 | 75平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 1天以前发布,85,"11,334元/平"
商圈配套齐全  户型方正  房东诚心出售,翰香美地 -白鹭湖,2室2厅 | 85平米 | 南 | 精装 | 中楼层(共22层)  | 板塔结合,0人关注 / 5天以前发布,98,"11,530元/平"
东方丽景 3室1厅 南,东方丽景 -水渡口大道,3室1厅 | 107平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 1天以前发布,99,"9,253元/平"
出行方便，户型方正，居住方便舒适,融侨悦城 -水渡口大道,3室2厅 | 120平米 | 南 | 其他 | 低楼层(共14层)  | 板楼,0人关注 / 6天以前发布,132,"11,000元/平"
新上清江华府 三室二厅一卫 精装修 楼层好 采光佳,清江华府 -楚秀园,3室2厅 | 110.89平米 | 南 | 精装 | 中楼层(共39层)  | 板楼,0人关注 / 2个月以前发布,122,"11,002元/平"
富春花园多层1楼 边户精装 带车库 诚心出售,富春花园 -楚秀园,3室2厅 | 125.26平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,3人关注 / 8个月以前发布,145,"11,576元/平"
新上！主城区精装四房户型，看房方便价格好聊,浦东花园 -楚秀园,4室2厅 | 139平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 9天以前发布,172,"12,375元/平"
飞机户型  老开明    邮政局宿舍南院   随时看房,邮政局宿舍南院 -清晏园,3室1厅 | 128.58平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,230,"17,888元/平"
小区环境优美，户型美丽，采光戴墨镜。。,富春花园 -楚秀园,3室2厅 | 126.68平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,7人关注 / 一年前发布,110,"8,684元/平"
鸿基雅园  3室精装  采光充足  交通便利,鸿基雅园 -上海西路,3室1厅 | 118.48平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,1人关注 / 一年前发布,105,"8,863元/平"
城西花园 2室1厅 南 北,城西花园 -上海西路,2室1厅 | 71.33平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 1天以前发布,55,"7,711元/平"
两室一厅  楼层好 采光好 视野开阔,韩侯花园 -上海西路,2室2厅 | 87.81平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,5人关注 / 一年前发布,64,"7,289元/平"
巨一首府 3室2厅 南,巨一首府 -上海东路,3室2厅 | 111.66平米 | 南 | 其他 | 中楼层(共26层)  | 板楼,0人关注 / 8天以前发布,152,"13,613元/平"
房东诚心出售，看好房子可议价，户型方正，看房方便,锦绣新港湾 -上海西路,3室1厅 | 103平米 | 南 | 其他 | 低楼层(共25层)  | 暂无数据,0人关注 / 9天以前发布,60,"5,826元/平"
富丽花园  多层公摊小  干净整洁  拎包入住,富丽花园 -外国语,3室2厅 | 115.06平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,2人关注 / 8个月以前发布,102,"8,865元/平"
房东诚心出售，看好房子可议价，户型方正，光线明亮.,锦绣新港湾 -上海西路,3室1厅 | 103平米 | 南 | 其他 | 高楼层(共25层)  | 暂无数据,0人关注 / 9天以前发布,60,"5,826元/平"
金辉城悦府 3室2厅 南 北,金辉城悦府 -白鹭湖,3室2厅 | 115平米 | 南 北 | 其他 | 中楼层(共32层)  | 板楼,0人关注 / 14天以前发布,115,"10,000元/平"
满5唯一，全屋地暖，品牌家装，壁挂炉，集中供暖,星雨华府(淮安区) -生态新城,3室1厅 | 116.74平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,3人关注 / 一年前发布,169,"14,477元/平"
银河湾花园 3室2厅 南,银河湾花园 -淮阴区大润发,3室2厅 | 137平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 12天以前发布,119,"8,687元/平"
英伦华府 3室1厅 南,英伦华府 -迎宾大道,3室1厅 | 121平米 | 南 | 其他 | 中楼层(共18层)  | 板塔结合,0人关注 / 3天以前发布,100,"8,265元/平"
幸福城 3室1厅 南,幸福城 -淮阴区大润发,3室1厅 | 114.93平米 | 南 | 其他 | 中楼层(共28层)  | 塔楼,0人关注 / 6天以前发布,143,"12,443元/平"
樱花小区三期 精致三房 拎包入住 看房方便 急售,樱花小区 -淮阴区大润发,3室2厅 | 99.87平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,7人关注 / 3个月以前发布,95,"9,513元/平"
弘辉首馥126平4室2厅1厨2卫,弘辉首馥 -水渡口大道,4室2厅 | 126平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 9天以前发布,202,"16,032元/平"
华厦家园  三室 一厅 一厨 一卫,华厦家园 -万达,3室1厅 | 118.35平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 11天以前发布,103,"8,703元/平"
万达广场一期住宅 2室2厅 东南,万达广场一期住宅 -万达,2室2厅 | 90平米 | 东南 | 其他 | 高楼层(共39层)  | 板塔结合,0人关注 / 10天以前发布,108,"12,000元/平"
鸿基雅园 3室精装  采光刺眼 楼层好  拎包入住,鸿基雅园 -上海西路,3室2厅 | 107.63平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,92.8,"8,623元/平"
近淮中，好出租，南北中等装修，拎包入住，有车库,丽正花苑 -新城市广场,3室2厅 | 123.68平米 | 南 | 精装 | 低楼层(共7层)  | 板塔结合,3人关注 / 一年前发布,116.8,"9,444元/平"
交通便利。周 边生活配套齐全，环境好，新小区,七星水岸 -水渡口大道,3室2厅 | 132平米 | 南 | 其他 | 低楼层(共24层)  | 暂无数据,0人关注 / 12天以前发布,118,"8,940元/平"
旺旺家缘 电梯小高层 精装大三房 中间楼层 满五唯一,旺旺家缘 -水渡口大道,3室2厅 | 139.52平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 5个月以前发布,120,"8,601元/平"
金榜花园 3室2厅 南,金榜花园 -大学城商圈,3室2厅 | 117.29平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 16天以前发布,96,"8,185元/平"
钵池小区。有产证，在四楼，诚意出售。,钵池小区 -迎宾大道,2室2厅 | 84.28平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,7人关注 / 一年前发布,63,"7,476元/平"
此房格局好，楼层好，感受度强，视野宽阔，采光充足,亿力未来城二期 -翔宇大道,3室1厅 | 139平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 9天以前发布,210,"15,108元/平"
采光全天无遮挡。户型，装修，自由随心。物业尽心..,建滔裕花园 -翔宇大道,3室2厅 | 113.5平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,0人关注 / 刚刚发布,113,"9,956元/平"
此房是精装修，中间楼层，全新装好的拎包即住,金域华府 -翔宇大道,3室2厅 | 117.24平米 | 南 北 | 其他 | 中楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,168,"14,330元/平"
桃源名府精装修三室两厅电梯房，家具家电齐全,桃源名府 -迎宾大道,3室2厅 | 110.8平米 | 南 | 其他 | 高楼层(共30层)  | 板塔结合,0人关注 / 2天以前发布,99.8,"9,008元/平"
采光好    视野广阔    交通方便      小区环境优雅,新晨佳苑北区 -小营,4室2厅 | 125.53平米 | 南 北 | 精装 | 高楼层(共6层)  | 塔楼,3人关注 / 8个月以前发布,107,"8,524元/平"
楼层好、户型好、交通配套齐全、双阳台从早晒到晚,绿地世纪城四期 -生态新城,2室2厅 | 90.23平米 | 南 北 | 其他 | 低楼层(共33层)  | 塔楼,0人关注 / 4天以前发布,158,"17,511元/平"
亿力未来城 2室2厅 南,亿力未来城 -翔宇大道,2室2厅 | 90平米 | 南 | 其他 | 中楼层(共18层)  | 板塔结合,0人关注 / 1天以前发布,138,"15,334元/平"
中南珑悦 御景星城 金夏学府 文锦城翰林府 精装修三房,中南珑悦 -新城市广场,3室2厅 | 108.63平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,139.8,"12,870元/平"
急售楚州大道盛世豪庭 精装多层三房 随时看车库,盛世豪庭(楚州区) -新城市广场,3室2厅 | 123.68平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,5人关注 / 10个月以前发布,102.8,"8,312元/平"
富春花园多层1楼 边户精装 带车库 诚心出售,富春花园 -楚秀园,3室2厅 | 125.26平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,3人关注 / 8个月以前发布,145,"11,576元/平"
小区环境优美，户型美丽，采光戴墨镜。。,富春花园 -楚秀园,3室2厅 | 126.68平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,7人关注 / 一年前发布,110,"8,684元/平"
新上！主城区精装四房户型，看房方便价格好聊,浦东花园 -楚秀园,4室2厅 | 139平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 9天以前发布,172,"12,375元/平"
飞机户型  老开明    邮政局宿舍南院   随时看房,邮政局宿舍南院 -清晏园,3室1厅 | 128.58平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,230,"17,888元/平"
新上清江华府 三室二厅一卫 精装修 楼层好 采光佳,清江华府 -楚秀园,3室2厅 | 110.89平米 | 南 | 精装 | 中楼层(共39层)  | 板楼,0人关注 / 2个月以前发布,122,"11,002元/平"
金辉城悦府 3室2厅 南 北,金辉城悦府 -白鹭湖,3室2厅 | 115平米 | 南 北 | 其他 | 中楼层(共32层)  | 板楼,0人关注 / 14天以前发布,115,"10,000元/平"
满5唯一，全屋地暖，品牌家装，壁挂炉，集中供暖,星雨华府(淮安区) -生态新城,3室1厅 | 116.74平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,3人关注 / 一年前发布,169,"14,477元/平"
国华御翠园  精装三房  诚意出售,国华御翠园 -长征小学,3室2厅 | 141.82平米 | 南 | 其他 | 高楼层(共11层)  | 板楼,1人关注 / 2个月以前发布,160,"11,282元/平"
鸿基雅园  3室精装  采光充足  交通便利,鸿基雅园 -上海西路,3室1厅 | 118.48平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,1人关注 / 一年前发布,105,"8,863元/平"
房东诚心出售，看好房子可议价，户型方正，看房方便,锦绣新港湾 -上海西路,3室1厅 | 103平米 | 南 | 其他 | 低楼层(共25层)  | 暂无数据,0人关注 / 9天以前发布,60,"5,826元/平"
两室一厅  楼层好 采光好 视野开阔,韩侯花园 -上海西路,2室2厅 | 87.81平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,5人关注 / 一年前发布,64,"7,289元/平"
巨一首府 3室2厅 南,巨一首府 -上海东路,3室2厅 | 111.66平米 | 南 | 其他 | 中楼层(共26层)  | 板楼,0人关注 / 8天以前发布,152,"13,613元/平"
房东诚心出售，看好房子可议价，户型方正，光线明亮.,锦绣新港湾 -上海西路,3室1厅 | 103平米 | 南 | 其他 | 高楼层(共25层)  | 暂无数据,0人关注 / 9天以前发布,60,"5,826元/平"
城西花园 2室1厅 南 北,城西花园 -上海西路,2室1厅 | 71.33平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 1天以前发布,55,"7,711元/平"
樱花小区三期 精致三房 拎包入住 看房方便 急售,樱花小区 -淮阴区大润发,3室2厅 | 99.87平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,7人关注 / 3个月以前发布,95,"9,513元/平"
弘辉首馥126平4室2厅1厨2卫,弘辉首馥 -水渡口大道,4室2厅 | 126平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 9天以前发布,202,"16,032元/平"
幸福城 3室1厅 南,幸福城 -淮阴区大润发,3室1厅 | 114.93平米 | 南 | 其他 | 中楼层(共28层)  | 塔楼,0人关注 / 6天以前发布,143,"12,443元/平"
房东诚心卖房，价格可谈，简单装修可拎包入住,富源尚城 -大学城商圈,3室2厅 | 116.23平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,2人关注 / 4个月以前发布,92,"7,916元/平"
浦东花园   精装修   拎包入住,浦东花园 -楚秀园,3室1厅 | 120.84平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,140,"11,586元/平"
精装三房带阁楼 三开间朝南 加入户花园,海洲朗郡 -延安东路,3室2厅 | 118.62平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,160,"13,489元/平"
康浦食品城 3室2厅 南,康浦食品城 -外国语,3室2厅 | 114.66平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 10天以前发布,116,"10,117元/平"
弘辉首馥126平4室2厅1厨2卫,弘辉首馥 -水渡口大道,4室2厅 | 126平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 9天以前发布,202,"16,032元/平"
富丽花园三房    多层二楼    看房方便,富丽花园 -外国语,3室1厅 | 101.97平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 7个月以前发布,96,"9,415元/平"
此房满两年 格局宽阔，采光充足好，楼层好，视野好,亿力未来城二期 -翔宇大道,3室2厅 | 134平米 | 南 | 其他 | 高楼层(共27层)  | 板塔结合,0人关注 / 8天以前发布,190,"14,180元/平"
精装三房带阁楼 三开间朝南 加入户花园,海洲朗郡 -延安东路,3室2厅 | 118.62平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,160,"13,489元/平"
浦东花园   精装修   拎包入住,浦东花园 -楚秀园,3室1厅 | 120.84平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,140,"11,586元/平"
房东诚心卖房，价格可谈，简单装修可拎包入住,富源尚城 -大学城商圈,3室2厅 | 116.23平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,2人关注 / 4个月以前发布,92,"7,916元/平"
大淮中旁 海洲朗郡 三房两厅 楼层好 装修好 视野好,海洲朗郡 -延安东路,3室2厅 | 144.9平米 | 南 | 其他 | 中楼层(共24层)  | 板塔结合,1人关注 / 8个月以前发布,168,"11,595元/平"
房子满二唯一，实用性强，装修保养可以 实用面积大,温州花苑(清江浦区) -万达,3室2厅 | 117.93平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,5人关注 / 一年前发布,132,"11,194元/平"
此房满二，南 北 通 透 采 光 充 足 无 遮 挡。,丰球和园 -白鹭湖,3室2厅 | 149.56平米 | 东南 | 毛坯 | 低楼层(共6层)  | 板楼,0人关注 / 一年前发布,160,"10,699元/平"
格局方正，楼层好，视野宽阔，采光充足，配套设施齐全,香缇豪庭 -迎宾大道,3室2厅 | 134.91平米 | 南 北 | 其他 | 中楼层(共17层)  | 板塔结合,0人关注 / 一年前发布,119,"8,821元/平"
急售 文景君庭 精装修四房 前排无遮挡有钥匙随时看,文景君庭 -深圳路,4室2厅 | 114.15平米 | 南 | 精装 | 低楼层(共26层)  | 板塔结合,0人关注 / 4天以前发布,117,"10,250元/平"
天鹅湾 三房两厅 精装修 有钥匙看房方便,金辉天鹅湾 -淮阴区大润发,3室2厅 | 88.8平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 一年前发布,109.9,"12,377元/平"
皇冠国际电梯三房 帝王楼层 采光刺眼 诚心出售！,皇冠国际 -金地商业广场,3室2厅 | 113.49平米 | 南 北 | 其他 | 高楼层(共27层)  | 板塔结合,3人关注 / 8个月以前发布,131,"11,543元/平"
文华名邸 2室2厅 南,文华名邸 -长征小学,2室2厅 | 75.74平米 | 南 | 其他 | 中楼层(共33层)  | 板楼,0人关注 / 6天以前发布,95,"12,543元/平"
颐景雅苑 精装修   采光好  出行方便,颐景雅苑 -延安东路,3室2厅 | 115.19平米 | 南 | 其他 | 中楼层(共9层)  | 板塔结合,0人关注 / 7个月以前发布,129,"11,199元/平"
此房满两年 精装修 拎包入住 电梯楼层好 采光充足,瑞元经典 -新城市广场,3室2厅 | 130.84平米 | 南 北 | 其他 | 低楼层(共17层)  | 板塔结合,0人关注 / 9个月以前发布,130,"9,936元/平"
此房出行方便，户型方正，居住方便舒适,香格里拉D区 -水渡口大道,2室1厅 | 91.98平米 | 南 | 其他 | 中楼层(共27层)  | 板塔结合,0人关注 / 1天以前发布,118,"12,829元/平"
此房满五唯一，6层多层得房率高。,众城名府 -淮阴卷烟厂,2室1厅 | 68平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 4天以前发布,62,"9,118元/平"
丹桂苑金鹰商圈 多层低楼层生活交通便利诚售,丹桂苑 -东大院,3室2厅 | 122.76平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,2人关注 / 9个月以前发布,152,"12,382元/平"
地理位置好，户型方正，楼层好采光明亮，交通便利，,恒大名都三期 -恒大名都,3室2厅 | 113.46平米 | 南 | 其他 | 低楼层(共32层)  | 塔楼,0人关注 / 1个月以前发布,107,"9,431元/平"
淮汽宿舍 2室2厅 南,淮汽宿舍 -外国语,2室2厅 | 61.86平米 | 南 | 其他 | 高楼层(共4层)  | 暂无数据,0人关注 / 11天以前发布,95,"15,358元/平"
全新装修 拎包入住 实木家具 老证税少 欢迎来实地看房,玖珑湾 -生态新城,4室2厅 | 142.4平米 | 南 | 其他 | 高楼层(共33层)  | 板塔结合,0人关注 / 4个月以前发布,178,"12,500元/平"
楼层好，视野宽阔，采光充足，配套齐全,中天翡丽湾 -生态新城,3室2厅 | 103平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,13人关注 / 一年前发布,130,"12,622元/平"
此房格局方正 房东诚心出售 全明户型 采光好,中交香槟国际 -中南商圈,4室1厅 | 139.49平米 | 南 | 毛坯 | 中楼层(共33层)  | 塔楼,0人关注 / 4个月以前发布,175,"12,546元/平"
天和豪庭  4室2厅  280万,天和豪庭 -淮阴区大润发,4室2厅 | 187.9平米 | 南 | 精装 | 中楼层(共4层)  | 塔楼,3人关注 / 一年前发布,280,"14,902元/平"
建华观园   毛坯    环境好,建华观园 -生态新城,4室2厅 | 143平米 | 东南 | 毛坯 | 低楼层(共33层)  | 塔楼,3人关注 / 一年前发布,189,"13,217元/平"
建设小区着急卖，楼层好，采光好，户型方正,建设小区 -外国语,3室1厅 | 126.08平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 10个月以前发布,120,"9,518元/平"
北京花园生活设施配套齐全，交通便捷,北京花园 -外国语,4室2厅 | 149.85平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,165,"11,012元/平"
交通便利，购物方便，餐饮娱乐多,淮航路航道处宿舍 -外国语,3室2厅 | 113平米 | 南 | 简装 | 低楼层(共3层)  | 暂无数据,0人关注 / 10个月以前发布,256,"22,655元/平"
三室朝南，采光好，楼层好，商圈好,華能小區 -上海东路,4室2厅 | 134平米 | 东南 北 | 简装 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,130,"9,702元/平"
一个单元三室互通 一楼 大平层 毛坯房,丰球璟园 -白鹭湖,9室3厅 | 295平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板塔结合,29人关注 / 一年前发布,280,"9,492元/平"
精装修 采光好 生活便利 楼层好,淮海第一城 -东大院,5室2厅 | 270平米 | 南 | 精装 | 上叠(共5层)  | 板塔结合 | 叠拼别墅 ,2人关注 / 一年前发布,450,"16,667元/平"
此房满五年，视野宽阔，采光充足，配套设施齐全,北京花园 -外国语,4室2厅 | 145平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,160,"11,035元/平"
采光好，户型方正。交通出行便捷。,万达广场二期住宅 -万达,3室2厅 | 137.13平米 | 南 | 简装 | 高楼层(共26层)  | 板楼,6人关注 / 一年前发布,159,"11,595元/平"
鸿基雅园4室2厅2卫顶复，户型方正，房东急售。,鸿基雅园 -上海西路,4室2厅 | 153.33平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板塔结合,14人关注 / 一年前发布,105,"6,848元/平"
金鼎御庭电梯房三开朝南双阳台采光无遮挡,金鼎御庭 -上海西路,3室2厅 | 133.9平米 | 南 北 | 精装 | 低楼层(共17层)  | 塔楼,1人关注 / 一年前发布,120,"8,962元/平"
淮师文华苑五室两厅，格局好，采光好，拎包入住,淮师文华苑 -外国语,5室2厅 | 185.79平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,2人关注 / 8个月以前发布,255,"13,726元/平"
建设小区多层4楼四室两厅两卫精装修设施齐全拎包入住,建设小区 -外国语,4室2厅 | 126平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,125,"9,921元/平"
盛世名    门6楼 位置好  采光好,盛世名门 -延安东路,3室2厅 | 120平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,132,"11,000元/平"
中南三期电梯洋房，中间楼层，全天候采光，满两年,中南世纪城三期玺园 -中南商圈,4室2厅 | 134平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,4人关注 / 一年前发布,265,"19,777元/平"
中南世纪城二期   采光充足  视野宽阔  毛坯房源,中南世纪城2期 -中南商圈,4室2厅 | 118平米 | 南 | 毛坯 | 低楼层(共32层)  | 塔楼,2人关注 / 一年前发布,150,"12,712元/平"
交通便利，周 边购物餐饮娱乐多 小区环境优雅,中茵春天里翰林花园III-IV期 -大学城商圈,6室1厅 | 145.44平米 | 南 | 简装 | 高楼层(共5层)  | 暂无数据,4人关注 / 一年前发布,126,"8,664元/平"
