标题,开发商,房子信息,发布信息,售价/万,单价
公馆贰号 2室1厅 西北,公馆贰号 -南岸西区,2室1厅 | 41.43平米 | 西北 | 其他 | 高楼层(共16层)  | 塔楼,0人关注 / 5天以前发布,32.8,"7,917元/平"
带车位出售，地段成熟，东城标准4房,凯悦金沙-东城 -城北新区,4室2厅 | 120平米 | 东南 | 其他 | 低楼层(共33层)  | 塔楼,0人关注 / 一年前发布,95,"7,917元/平"
户型方正 采光通透  低楼层 ...,滨江花园 -柏溪镇,3室2厅 | 144.74平米 | 东南 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 11个月以前发布,81.8,"5,652元/平"
此房为清水房，可根据自己喜好装修,半岛大院一期 -新村,3室2厅 | 110平米 | 北 | 其他 | 高楼层(共26层)  | 板塔结合,0人关注 / 一年前发布,76.8,"6,982元/平"
碧水长滩 清水3房  智能小区 密码锁 看房方便,阳光碧水长滩 -新村,3室2厅 | 77.72平米 | 东南 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 一年前发布,55.8,"7,180元/平"
此房户型方正，楼层好，采光充足。,文化苑小区 -柏溪镇,3室2厅 | 85平米 | 南 | 精装 | 低楼层(共2层)  | 暂无数据,3人关注 / 一年前发布,56,"6,589元/平"
金沙尚品 精装三室两厅双卫 户型方正,华富金沙尚品 -柏溪镇,3室2厅 | 100.2平米 | 东南 | 其他 | 中楼层(共18层)  | 板塔结合,3人关注 / 一年前发布,70.8,"7,066元/平"
欢乐颂三房带大露台   适合做生意,欢乐颂豪庭 -柏溪镇,3室2厅 | 90平米 | 东南 | 其他 | 低楼层(共20层)  | 板塔结合,1人关注 / 一年前发布,89.8,"9,978元/平"
经典北新公馆3室2厅1厨2卫，稀有的横厅，学   校  近,经典北新公馆 -城北新区,3室2厅 | 92.52平米 | 东南 | 毛坯 | 中楼层(共31层)  | 暂无数据,1人关注 / 7个月以前发布,57.8,"6,248元/平"
城北新区，毛坯三房，给你无限的想象空间,拉菲-左岸公馆 -城北新区,3室2厅 | 68平米 | 东南 | 其他 | 高楼层(共33层)  | 塔楼,1人关注 / 一年前发布,65.8,"9,677元/平"
此房为正临江户型，户型方正采光好，好房必卖,锦宏金沙明珠 -柏溪镇,3室2厅 | 107平米 | 东南 | 其他 | 低楼层(共31层)  | 平房,0人关注 / 一年前发布,72,"6,729元/平"
实得高丨新区大盘丨公园旁丨邻教育丨近医院,远达鹭湖宫二期 -城北新区,3室2厅 | 94平米 | 东南 | 其他 | 高楼层(共33层)  | 暂无数据,0人关注 / 3个月以前发布,68,"7,235元/平"
此房面积宽，视野开阔，属于要层,远达香榭里四期 -城北新区,5室2厅 | 137平米 | 东南 | 其他 | 高楼层(共26层)  | 暂无数据,0人关注 / 3个月以前发布,100,"7,300元/平"
碧水长滩优质小三房...........,阳光碧水长滩 -新村,3室2厅 | 72平米 | 东南 | 其他 | 中楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,48,"6,667元/平"
全新精装大三房 户型方正 一楼开茶馆自主两相宜,远达未来城 -城北新区,3室2厅 | 87平米 | 东 | 其他 | 低楼层(共32层)  | 暂无数据,0人关注 / 4个月以前发布,61.8,"7,104元/平"
中汇城三室两卫，单价6000，中间楼层。,中汇城 -柏溪镇,3室2厅 | 110平米 | 南 | 毛坯 | 中楼层(共39层)  | 板塔结合,0人关注 / 9个月以前发布,63,"5,728元/平"
拉菲香颂花园精装四房  房东急卖,拉菲-香颂花园 -城北新区,4室2厅 | 81平米 | 东南 | 其他 | 高楼层(共30层)  | 暂无数据,0人关注 / 10个月以前发布,69.8,"8,618元/平"
跃层房，装修新颖，花园房，买房包括车位,加州阳光 -柏溪镇,3室2厅 | 135平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,1人关注 / 7个月以前发布,78,"5,778元/平"
城北新区，毛坯三房，给你无限的想象空间,拉菲-左岸公馆 -城北新区,3室2厅 | 68平米 | 东南 | 其他 | 高楼层(共33层)  | 塔楼,1人关注 / 一年前发布,65.8,"9,677元/平"
此房为正临江户型，户型方正采光好，好房必卖,锦宏金沙明珠 -柏溪镇,3室2厅 | 107平米 | 东南 | 其他 | 低楼层(共31层)  | 平房,0人关注 / 一年前发布,72,"6,729元/平"
已满五年，视野开阔，户型方正，中装修，拎包入住。,南山星城南区 -城北新区,3室2厅 | 106平米 | 西南 | 其他 | 高楼层(共25层)  | 塔楼,0人关注 / 2个月以前发布,95,"8,963元/平"
中间楼层。标准四房双卫诚意出售.,远达鹭湖宫二期 -城北新区,4室2厅 | 109.5平米 | 东北 | 其他 | 中楼层(共32层)  | 塔楼,1人关注 / 6个月以前发布,80,"7,306元/平"
拉菲香颂花园精装四房  房东急卖,拉菲-香颂花园 -城北新区,4室2厅 | 81平米 | 东南 | 其他 | 高楼层(共30层)  | 暂无数据,0人关注 / 10个月以前发布,69.8,"8,618元/平"
中汇城三室两卫，单价6000，中间楼层。,中汇城 -柏溪镇,3室2厅 | 110平米 | 南 | 毛坯 | 中楼层(共39层)  | 板塔结合,0人关注 / 9个月以前发布,63,"5,728元/平"
清水4室 朝向采光好 户型方正 随时可看房,远达鹭湖宫一期 -城北新区,4室2厅 | 115.78平米 | 东 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 一年前发布,85.8,"7,411元/平"
证上面积78平米，实际使用面积约118平米的现浇房,加州阳光 -柏溪镇,3室2厅 | 77.8平米 | 东 | 简装 | 高楼层(共7层)  | 暂无数据,1人关注 / 10个月以前发布,60.8,"7,815元/平"
三房两厅双卫，户型方正，视野好,半岛大院二期 -新村,3室2厅 | 101.5平米 | 东 | 其他 | 高楼层(共32层)  | 暂无数据,0人关注 / 一年前发布,78,"7,685元/平"
全新住家装修，房东因工作调动急卖，家具家电齐全,经典北新公馆 -城北新区,3室2厅 | 95平米 | 西南 | 其他 | 中楼层(共32层)  | 暂无数据,2人关注 / 一年前发布,80,"8,422元/平"
中汇城 精装四室 家电齐全 拎包入住,中汇城 -柏溪镇,4室2厅 | 107平米 | 南 | 其他 | 中楼层(共39层)  | 暂无数据,1人关注 / 3个月以前发布,86.8,"8,113元/平"
"此房带一个车位出售,房东急卖 !!",树高金沙首座A区 -柏溪镇,5室2厅 | 130.5平米 | 南 | 精装 | 低楼层(共23层)  | 暂无数据,0人关注 / 3个月以前发布,125,"9,579元/平"
江景房 正临江 大客厅 大阳台 无遮挡采光好！,天工凯滨郦景 -柏溪镇,4室2厅 | 126平米 | 东南 西南 | 其他 | 低楼层(共31层)  | 塔楼,0人关注 / 5个月以前发布,85,"6,747元/平"
房东诚心出售，户型方正，采光好，正四房。,鼎仁叙乐名庭 -城北新区,4室2厅 | 95.28平米 | 东南 | 其他 | 高楼层(共33层)  | 暂无数据,0人关注 / 4个月以前发布,68.8,"7,221元/平"
南山星城南区 3室2厅 东南,南山星城南区 -城北新区,3室2厅 | 113.82平米 | 东南 | 其他 | 地下室(共25层)  | 塔楼,0人关注 / 一年前发布,57.6,"5,061元/平"
远达鹭湖宫一期 清水跃层出售 带露台,远达鹭湖宫一期 -城北新区,4室2厅 | 118.97平米 | 东南 | 其他 | 高楼层(共33层)  | 板塔结合,2人关注 / 一年前发布,104.9,"8,818元/平"
现房 户型好 视野开阔 看房议价,德福名城 -城北新区,3室2厅 | 101平米 | 南 | 其他 | 高楼层(共25层)  | 塔楼,0人关注 / 一年前发布,62.8,"6,218元/平"
半岛大院二期 3室2厅 东南,半岛大院二期 -新村,3室2厅 | 89.72平米 | 东南 | 毛坯 | 中楼层(共30层)  | 板楼,1人关注 / 一年前发布,65,"7,245元/平"
北新公馆位于城北新区 城 中 央,经典北新公馆 -城北新区,3室2厅 | 94平米 | 东南 | 其他 | 高楼层(共32层)  | 暂无数据,0人关注 / 8个月以前发布,56,"5,958元/平"
此房户型方正，采光好，三室两厅,金江丽景 -柏溪镇,3室2厅 | 120平米 | 西南 | 其他 | 低楼层(共21层)  | 暂无数据,2人关注 / 一年前发布,62,"5,167元/平"
柏溪简装修三房出售，楼梯房，低总价。,福园社区二生活区 -柏溪镇,3室2厅 | 89平米 | 东南 | 其他 | 中楼层(共7层)  | 暂无数据,1人关注 / 5个月以前发布,46,"5,169元/平"
江景房，户型方正，房东诚心出售。,阳光碧水长滩 -新村,4室2厅 | 97平米 | 东南 | 其他 | 低楼层(共25层)  | 暂无数据,0人关注 / 8个月以前发布,76,"7,836元/平"
户型通透性好，采光好，小区人车分流，人文素养好,欢乐颂豪庭 -柏溪镇,3室2厅 | 104平米 | 南 | 其他 | 高楼层(共21层)  | 平房,1人关注 / 一年前发布,68.8,"6,616元/平"
清水3房，房 东 诚 意 出 售,远达鹭湖宫一期 -城北新区,3室2厅 | 92平米 | 东南 | 其他 | 高楼层(共33层)  | 暂无数据,2人关注 / 10个月以前发布,61,"6,631元/平"
德福公园精装二室二厅一厨双卫；出行方便；居住舒适；,德福公元 -城北新区,2室2厅 | 54.3平米 | 东南 | 其他 | 中楼层(共20层)  | 塔楼,1人关注 / 一年前发布,42.8,"7,883元/平"
户型方正，采光好视野好，楼层好，交通方便,中汇城 -柏溪镇,3室2厅 | 106.77平米 | 南 | 其他 | 高楼层(共39层)  | 暂无数据,0人关注 / 3个月以前发布,76.8,"7,194元/平"
毛胚房  毛坯价 这里圆你设计梦 中楼层  此房带车位,凯悦金沙-东城 -城北新区,4室2厅 | 120平米 | 南 | 其他 | 低楼层(共33层)  | 塔楼,2人关注 / 一年前发布,95,"7,917元/平"
此房为楼梯房，房间采光好，出行方便，离学 校近。,俊圆小区 -柏溪镇,3室2厅 | 117平米 | 西南 | 其他 | 中楼层(共8层)  | 暂无数据,2人关注 / 4个月以前发布,58.8,"5,026元/平"
罗马假日精装3室  带楼顶露台,罗马假日 -柏溪镇,3室2厅 | 105.9平米 | 西南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,60.8,"5,742元/平"
鹭湖宫正看球场三室，户型方正采光好,远达鹭湖宫二期 -城北新区,3室2厅 | 79.7平米 | 西南 | 其他 | 高楼层(共32层)  | 暂无数据,1人关注 / 一年前发布,54.8,"6,876元/平"
香榭里 清水四房 中间楼层 对中庭 安静不临街,远达香榭里六期 -城北新区,4室2厅 | 115平米 | 南 | 其他 | 中楼层(共28层)  | 板塔结合,0人关注 / 3个月以前发布,87.5,"7,609元/平"
远达鹭湖宫二期 3室2厅 东南,远达鹭湖宫二期 -城北新区,3室2厅 | 89.34平米 | 东南 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 3个月以前发布,58.5,"6,549元/平"
香榭里精装三房出售 全新装修 只住了十多天,远达香榭里五期 -城北新区,3室1厅 | 89.47平米 | 西 | 其他 | 低楼层(共33层)  | 塔楼,1人关注 / 2个月以前发布,77.8,"8,696元/平"
北新公馆5房  清水大户型跃层带3个露台，视野好,经典北新公馆 -城北新区,3室2厅 | 134.65平米 | 东北 | 其他 | 高楼层(共33层)  | 暂无数据,0人关注 / 11个月以前发布,96.9,"7,197元/平"
半岛大院清水三防，正看中庭，户型方正，证满两年,半岛大院二期 -新村,3室2厅 | 90平米 | 东南 | 其他 | 中楼层(共30层)  | 暂无数据,0人关注 / 一年前发布,70,"7,778元/平"
3房双卫清水房 户型方正采光好  小区环境好,城中央-培根小镇 -城北新区,3室2厅 | 96平米 | 南 | 其他 | 中楼层(共32层)  | 暂无数据,0人关注 / 一年前发布,70.8,"7,375元/平"
阳光北园跃层大四房，金装修，县二中旁边,阳光北苑 -城北新区,4室2厅 | 130平米 | 东南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,69,"5,308元/平"
户型方正的清水房，装修设计简单，视野开阔,华盛佳苑 -柏溪镇,3室2厅 | 93平米 | 西南 | 其他 | 中楼层(共26层)  | 暂无数据,2人关注 / 6个月以前发布,51.8,"5,570元/平"
标准大三房，采光好，单价便宜，配套完善,柏溪花园三期 -柏溪镇,3室2厅 | 125平米 | 东南 | 其他 | 高楼层(共7层)  | 暂无数据,2人关注 / 6个月以前发布,49,"3,920元/平"
中间楼层 精装修，家具家电齐全 业主诚心出售,远达香榭里四期 -城北新区,3室2厅 | 98平米 | 东南 | 其他 | 高楼层(共33层)  | 塔楼,1人关注 / 6个月以前发布,87.8,"8,960元/平"
鹭湖宫 清水三房双卫  中间楼层 看中庭,远达鹭湖宫二期 -城北新区,3室2厅 | 93.53平米 | 东南 | 其他 | 中楼层(共32层)  | 板塔结合,0人关注 / 7个月以前发布,71,"7,592元/平"
此房户型方正，彩光好，楼层好，,城中央南城 -柏溪镇,3室2厅 | 87.2平米 | 北 东北 | 其他 | 低楼层(共32层)  | 暂无数据,0人关注 / 6个月以前发布,55,"6,308元/平"
房东诚心出售，中间楼层  ，户型方正,远达鹭湖宫一期 -城北新区,3室2厅 | 92平米 | 东 | 其他 | 中楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,66.8,"7,261元/平"
此户型方正，每个房间采光都好，,远达鹭湖宫二期 -城北新区,3室2厅 | 82.32平米 | 西 | 毛坯 | 中楼层(共33层)  | 暂无数据,1人关注 / 一年前发布,62,"7,532元/平"
哇撒单价才五千多买城北新区 大三房 确定不来了解一下,德福公元 -城北新区,3室2厅 | 129.84平米 | 南 | 毛坯 | 中楼层(共22层)  | 暂无数据,7人关注 / 一年前发布,64.8,"4,991元/平"
清水3室 户型方正 楼层巴适 业主置换，诚意出售,远达鹭湖宫一期 -城北新区,3室2厅 | 94平米 | 南 | 其他 | 低楼层(共33层)  | 暂无数据,3人关注 / 一年前发布,60,"6,383元/平"
此房户型方正，采光好。交通出行方便。,欢乐颂豪庭 -柏溪镇,3室2厅 | 108.26平米 | 东南 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,70,"6,466元/平"
此房已满两年，带家具家电，可拎包入住。,树高金沙首座A区 -柏溪镇,3室2厅 | 115.8平米 | 南 | 其他 | 低楼层(共22层)  | 塔楼,0人关注 / 4个月以前发布,88,"7,600元/平"
鹭湖宫清水房四室两厅两卫旁边清水房,远达鹭湖宫一期 -城北新区,4室2厅 | 113平米 | 东南 | 其他 | 低楼层(共33层)  | 暂无数据,3人关注 / 一年前发布,74.6,"6,602元/平"
房主诚信卖说话很礼貌 装修材料好房屋干净,北新国际 -城北新区,3室2厅 | 92平米 | 南 | 其他 | 高楼层(共30层)  | 暂无数据,5人关注 / 一年前发布,105,"11,414元/平"
房东诚心出售二二四华福商 业城清水大三房带车位出售,华富商业城 -柏溪镇,3室2厅 | 109.21平米 | 南 北 | 其他 | 低楼层(共28层)  | 板塔结合,7人关注 / 一年前发布,60.8,"5,568元/平"
楼层好，视野开阔，小区环境好，出门有公交车,巴黎春天 -柏溪镇,3室2厅 | 146.83平米 | 南 | 其他 | 低楼层(共17层)  | 塔楼,0人关注 / 一年前发布,108.6,"7,397元/平"
此房是清水，户型方正，视野开阔，适宜居住,阳光碧水长滩 -新村,3室2厅 | 82平米 | 西南 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 一年前发布,64,"7,805元/平"
正看叙州初中·操场  采光视野开阔,远达鹭湖宫一期 -城北新区,3室2厅 | 79.7平米 | 东 | 其他 | 中楼层(共33层)  | 暂无数据,0人关注 / 一年前发布,57.8,"7,253元/平"
金江外滩A区 3室2厅 南 东南,金江外滩A区 -柏溪镇,3室2厅 | 92平米 | 南 东南 | 其他 | 高楼层(共26层)  | 暂无数据,14人关注 / 一年前发布,72,"7,827元/平"
碧水长滩  清水三房  户型方正  看房方便,阳光碧水长滩 -新村,3室2厅 | 78平米 | 东南 | 其他 | 高楼层(共33层)  | 塔楼,0人关注 / 8个月以前发布,57,"7,308元/平"
视野开阔，出行方便，清水装自己喜欢的风格。,金江外滩A区 -柏溪镇,3室2厅 | 91.3平米 | 西南 | 其他 | 低楼层(共34层)  | 暂无数据,0人关注 / 5个月以前发布,66.8,"7,317元/平"
一线江景房，空气好，视线好，适合老少居住,锦宏金沙明珠 -柏溪镇,4室2厅 | 118.02平米 | 东南 南 | 其他 | 中楼层(共31层)  | 板塔结合,0人关注 / 4个月以前发布,76.8,"6,508元/平"
塞纳国际3期清水3房，诚心出售,塞纳国际三期 -新村,3室2厅 | 97平米 | 东 | 其他 | 中楼层(共31层)  | 暂无数据,0人关注 / 3个月以前发布,62,"6,392元/平"
拉菲-香颂花园 4室2厅 东南,拉菲-香颂花园 -城北新区,4室2厅 | 130平米 | 东南 | 其他 | 低楼层(共33层)  | 平房,0人关注 / 4个月以前发布,91,"7,000元/平"
叙州区低总价大三房，采光好，地段好，户型方正,福乐苑 -城北新区,3室2厅 | 129平米 | 东南 | 其他 | 高楼层(共7层)  | 暂无数据,1人关注 / 8个月以前发布,57.5,"4,458元/平"
德福公元精装两室双卫，采光好房东诚心出售,德福公元 -城北新区,2室2厅 | 54.2平米 | 东南 西南 | 其他 | 中楼层(共20层)  | 塔楼,3人关注 / 4个月以前发布,38.8,"7,159元/平"
首付20万买城北新区大四房。。。。,南山星城北区 -城北新区,4室2厅 | 135平米 | 北 | 其他 | 高楼层(共19层)  | 暂无数据,2人关注 / 一年前发布,78.8,"5,838元/平"
此房采光好通风好，居住舒适，交通方便,保龄街3 -柏溪镇,3室2厅 | 102平米 | 东北 | 其他 | 中楼层(共8层)  | 暂无数据,15人关注 / 一年前发布,43,"4,216元/平"
凯越金沙-东城 清水三房 通风采光好。,凯悦金沙-东城 -城北新区,3室2厅 | 99.75平米 | 东南 | 其他 | 低楼层(共33层)  | 塔楼,0人关注 / 6个月以前发布,76.8,"7,700元/平"
房东急售，急售，急售，户型方正，采光好。,阳光碧水长滩 -新村,4室2厅 | 97平米 | 东南 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 7个月以前发布,72.8,"7,506元/平"
高.端别墅带五个独立产权车位.位于城中.央湿地公园旁,鹭湖宫三期 -城北新区,5室2厅 | 232平米 | 南 | 毛坯 | 低楼层(共3层)  | 暂无数据,2人关注 / 4个月以前发布,165,"7,113元/平"
中汇城清水四房房东急售原价出售,中汇城 -柏溪镇,4室2厅 | 134平米 | 东南 | 其他 | 高楼层(共39层)  | 暂无数据,0人关注 / 2个月以前发布,70,"5,224元/平"
柏溪花园二期 3室2厅 东,柏溪花园二期 -柏溪镇,3室2厅 | 102平米 | 东 | 其他 | 高楼层(共7层)  | 暂无数据,1人关注 / 1个月以前发布,53,"5,197元/平"
拉菲塞纳阳光 清水房 小区环境好 位置好 地段好,拉菲-塞纳阳光 -城北新区,3室2厅 | 121平米 | 东 | 其他 | 高楼层(共32层)  | 暂无数据,0人关注 / 1个月以前发布,88,"7,273元/平"
户型方正，小区内不临街，环境优雅适合老人儿童居住,福乐苑 -城北新区,4室3厅 | 124平米 | 北 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 5个月以前发布,70,"5,646元/平"
翠屏区。阳光碧水长滩。3房双卫。,阳光碧水长滩 -新村,3室2厅 | 72平米 | 西北 | 其他 | 低楼层(共25层)  | 暂无数据,0人关注 / 11个月以前发布,56,"7,778元/平"
此房 ，朝向好，采光好.配套设施齐全,拉菲-塞纳阳光 -城北新区,4室2厅 | 121.55平米 | 东南 | 其他 | 高楼层(共29层)  | 暂无数据,0人关注 / 一年前发布,88.8,"7,306元/平"
此房，出行方便，户型方正，居住方便舒适，环境优美；,德福名城 -城北新区,3室2厅 | 101平米 | 南 | 其他 | 低楼层(共23层)  | 塔楼,0人关注 / 8个月以前发布,70,"6,931元/平"
毕加索 精装 家具家电齐全 三室 拧包入住,城中央-毕加索庄园 -城北新区,3室2厅 | 91平米 | 东南 | 其他 | 高楼层(共33层)  | 塔楼,1人关注 / 8个月以前发布,69.8,"7,671元/平"
欢乐颂3室诚心出售，带车位，产权清晰。,欢乐颂豪庭 -柏溪镇,3室2厅 | 90平米 | 东南 | 其他 | 高楼层(共18层)  | 板塔结合,3人关注 / 5个月以前发布,62.8,"6,978元/平"
鹭湖宫套三双卫，毛坯房，给你装修不一样的想像空间,远达鹭湖宫一期 -城北新区,3室2厅 | 94平米 | 南 东南 | 其他 | 高楼层(共33层)  | 暂无数据,0人关注 / 6个月以前发布,70,"7,447元/平"
标准四房，明厨明卫，出行方便，随意装修。,拉菲-左岸公馆 -城北新区,4室2厅 | 116.7平米 | 东南 | 毛坯 | 低楼层(共33层)  | 暂无数据,1人关注 / 一年前发布,88.8,"7,610元/平"
大房间，出行方便，户型方正，居住方便舒适,街心花园商住小区 -柏溪镇,3室2厅 | 131.28平米 | 东南 | 其他 | 中楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,62.8,"4,784元/平"
朝向采光好 户型方正 管理成熟 小区自带商圈设施等,德福公元 -城北新区,3室2厅 | 117平米 | 东南 | 其他 | 低楼层(共22层)  | 板楼,7人关注 / 一年前发布,52.8,"4,513元/平"
精装是3房  交通便利   中间楼层,金城印象 -柏溪镇,3室2厅 | 89平米 | 南 | 其他 | 中楼层(共30层)  | 暂无数据,0人关注 / 8个月以前发布,63.8,"7,169元/平"
交通方便，设施齐全，欢迎优美，。。,蓝天花园 -柏溪镇,3室2厅 | 124平米 | 南 | 其他 | 中楼层(共11层)  | 平房,0人关注 / 6个月以前发布,71.8,"5,791元/平"
小区环境好 户型方正  正4房面积看体育馆,拉菲-左岸公馆 -城北新区,4室2厅 | 117平米 | 东南 | 其他 | 高楼层(共33层)  | 暂无数据,8人关注 / 一年前发布,78.8,"6,736元/平"
二二四旁，跃层带露台，面积大，价格低。,春和花园 -柏溪镇,4室2厅 | 155平米 | 东 | 其他 | 高楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,81,"5,226元/平"
房子方正  采光好   楼层好,欢乐颂豪庭 -柏溪镇,3室2厅 | 91.26平米 | 东南 | 其他 | 高楼层(共20层)  | 板塔结合,0人关注 / 11个月以前发布,58.8,"6,444元/平"
大两房，视野好，露台花园，可种花种果树。,保龄街3 -柏溪镇,2室2厅 | 101平米 | 西北 | 简装 | 高楼层(共8层)  | 暂无数据,2人关注 / 7个月以前发布,39.6,"3,921元/平"
清水3室双卫带产权车位 户型方正 可以做生意,远达未来城 -城北新区,3室2厅 | 95平米 | 西南 | 其他 | 低楼层(共25层)  | 暂无数据,0人关注 / 6个月以前发布,70,"7,369元/平"
地段成熟，出行方便，南成清水3房,城中央南城 -柏溪镇,3室2厅 | 102平米 | 东南 | 其他 | 高楼层(共32层)  | 暂无数据,2人关注 / 10个月以前发布,63.8,"6,255元/平"
成熟地带新小区 全中庭采光通透,中汇城 -柏溪镇,4室2厅 | 129.8平米 | 东南 | 其他 | 高楼层(共39层)  | 暂无数据,0人关注 / 一年前发布,72,"5,547元/平"
房东诚心出售，证已满两年，带露台房,天工凯宾上院二期 -柏溪镇,3室2厅 | 108平米 | 西北 | 其他 | 低楼层(共29层)  | 暂无数据,0人关注 / 一年前发布,71,"6,575元/平"
此房满2年，出行方便，户型方正，居住方便舒适,华泓华彩城 -上江北,4室2厅 | 109平米 | 东南 | 其他 | 中楼层(共13层)  | 暂无数据,3人关注 / 一年前发布,125,"11,468元/平"
地中海蓝湾小区 3室2厅  环境干净舒适 适合居住,地中海蓝湾 -临港,3室2厅 | 120.5平米 | 东南 | 其他 | 高楼层(共26层)  | 板塔结合,0人关注 / 1个月以前发布,98.8,"8,200元/平"
户型方正，采光通透、动静分区、格局分布合理、,白沙翡翠城 -临港,4室2厅 | 121平米 | 东南 | 其他 | 高楼层(共31层)  | 暂无数据,0人关注 / 7个月以前发布,108,"8,926元/平"
临港三江新区白沙翡翠城103平米带车位出售,白沙翡翠城 -临港,3室2厅 | 103平米 | 东南 | 其他 | 高楼层(共30层)  | 暂无数据,0人关注 / 6个月以前发布,98,"9,515元/平"
正看江，大套三，中间楼层，户型好，房东诚心出售,叙州世纪城 -叙州区,3室2厅 | 101.5平米 | 西北 东北 | 其他 | 高楼层(共32层)  | 暂无数据,0人关注 / 4个月以前发布,65,"6,404元/平"
全新小区精装三室两厅一出两卫诚意出售,远达鹭湖宫二期 -城北新区,3室2厅 | 89平米 | 东北 | 其他 | 中楼层(共32层)  | 暂无数据,0人关注 / 31天以前发布,73.8,"8,293元/平"
清水急售，户型方正，采光好，楼层适中,锦悦府 -上江北,3室2厅 | 88.12平米 | 东南 | 其他 | 中楼层(共14层)  | 暂无数据,0人关注 / 2个月以前发布,73.8,"8,375元/平"
全中庭房子，视野宽阔，房子没有装修可随自己爱好装修,远达第一城 -上江北,3室2厅 | 75.4平米 | 东南 | 其他 | 高楼层(共22层)  | 板塔结合,0人关注 / 5个月以前发布,58,"7,693元/平"
中坝片区精装三房、很优质的三室两厅,正和金帝庄园B区 -中坝,3室2厅 | 91.27平米 | 东南 | 其他 | 低楼层(共27层)  | 暂无数据,7人关注 / 10个月以前发布,78.8,"8,634元/平"
塞纳国际  清水三房   看房有钥匙,塞纳国际三期 -新村,3室2厅 | 90.44平米 | 东南 | 其他 | 低楼层(共32层)  | 暂无数据,0人关注 / 10个月以前发布,59.88,"6,621元/平"
房东诚心出售，大三室，户型方正，采光通透!,华泓华彩城 -上江北,3室2厅 | 91.3平米 | 东 | 其他 | 中楼层(共34层)  | 暂无数据,0人关注 / 3个月以前发布,76.6,"8,390元/平"
华泓华彩城 3室2厅 东南,华泓华彩城 -上江北,3室2厅 | 91.41平米 | 东南 | 毛坯 | 中楼层(共34层)  | 暂无数据,2人关注 / 4个月以前发布,68,"7,440元/平"
三江新区临港太阳岛清水3房122平业主诚心出售84.8万,太阳岛 -临港,3室2厅 | 122平米 | 西南 | 其他 | 低楼层(共30层)  | 暂无数据,4人关注 / 一年前发布,70,"5,738元/平"
锦悦府 出行方便，户型方正，居住方便舒适,锦悦府 -上江北,3室2厅 | 97.31平米 | 东南 | 其他 | 低楼层(共14层)  | 暂无数据,5人关注 / 一年前发布,83.8,"8,612元/平"
三房双卫，户型方正，清水，看房有钥匙,远达第一城 -上江北,3室2厅 | 86平米 | 东南 | 其他 | 中楼层(共22层)  | 暂无数据,0人关注 / 5个月以前发布,62.8,"7,303元/平"
远达第一城 5室2厅 东南,远达第一城 -上江北,5室2厅 | 82.3平米 | 东南 | 其他 | 低楼层(共23层)  | 板塔结合,0人关注 / 9个月以前发布,73.8,"8,968元/平"
视野开阔，采光优良，中间楼层，小区环境优美。,白沙翡翠城 -临港,3室2厅 | 89.73平米 | 东南 | 其他 | 高楼层(共17层)  | 塔楼,0人关注 / 2个月以前发布,77.8,"8,671元/平"
房内布局好，楼层好，视野宽阔采光充足配套设施齐全,白沙翡翠城 -临港,3室2厅 | 89平米 | 东 | 其他 | 高楼层(共17层)  | 塔楼,5人关注 / 6个月以前发布,79,"8,877元/平"
白沙鹭岛清水大三房 带车位出售,邦泰白沙鹭岛 -临港,3室2厅 | 103平米 | 东南 | 其他 | 低楼层(共22层)  | 塔楼,0人关注 / 3个月以前发布,92,"8,933元/平"
城区大观楼旁 人民路 精装三室双卫 拎包入住,水电局宿舍楼 -老城区,3室2厅 | 76平米 | 东 | 其他 | 高楼层(共4层)  | 暂无数据,5人关注 / 6个月以前发布,55.8,"7,343元/平"
华润  看中庭现房   急售  随时可看房,华润公园九里 -临港,3室2厅 | 113平米 | 东南 | 其他 | 低楼层(共31层)  | 暂无数据,0人关注 / 10个月以前发布,99.6,"8,815元/平"
此房三室两厅双卫，精装修，业主诚心出售,远达第一城 -上江北,3室2厅 | 83.41平米 | 南 | 其他 | 高楼层(共23层)  | 塔楼,1人关注 / 1个月以前发布,77.7,"9,316元/平"
金帝庄园，清水三室，价格还可以谈，诚意出售,正和金帝庄园B区 -中坝,3室2厅 | 123平米 | 东 | 其他 | 中楼层(共28层)  | 塔楼,5人关注 / 一年前发布,112,"9,106元/平"
