标题,开发商,房子信息,发布信息,售价/万,单价
清河庄园精装修全屋暖气拎包入住中间楼层税费低,清河庄园 -樊城东区,3室2厅 | 108.53平米 | 南 北 | 精装 | 高楼层(共17层)  | 塔楼,0人关注 / 14天以前发布,99,"9,122元/平"
长虹路 万达广场 小区前排 视野无遮挡 前广场后公园,万达住宅区南区 -樊城西区,2室2厅 | 98.78平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,110,"11,136元/平"
业主诚心出售顶楼复式阳光充足视野开阔出行方便,东津世纪城11区观澜郡 -东津区,2室2厅 | 88.19平米 | 南 | 简装 | 高楼层(共33层)  | 板塔结合,15人关注 / 一年前发布,62.5,"7,087元/平"
毛纺小区 两室好楼层 带阳光露台,毛纺小区道路运输管理二所家属院 -樊城西区,2室1厅 | 74.22平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,4人关注 / 7个月以前发布,66,"8,893元/平"
绿地三期香庭公馆毛坯两房中间楼层,绿地中央广场香庭公馆 -樊城西区,2室1厅 | 89.13平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,9人关注 / 7个月以前发布,86.5,"9,705元/平"
小区南边一排  中间楼层  无遮挡视野好 看房方便,东津世纪城12区花漫里 -东津区,2室2厅 | 79.97平米 | 南 北 | 毛坯 | 中楼层(共23层)  | 板塔结合,0人关注 / 4个月以前发布,53.5,"6,691元/平"
小区环境美  楼层好  视野佳 满两年  精装修拎包入住,东津世纪城13区瀚林院 -东津区,2室2厅 | 88.22平米 | 南 北 | 精装 | 中楼层(共26层)  | 板塔结合,1人关注 / 2个月以前发布,68,"7,709元/平"
人民路沃尔玛 长虹路供电局 精装两室,长虹路供电公司家属院 -樊城西区,2室2厅 | 78.35平米 | 南 北 | 简装 | 低楼层(共8层)  | 板楼,9人关注 / 6个月以前发布,79,"10,083元/平"
房主诚心出售，装修考究，品牌家私家电。,东津世纪城14区崇文府 -东津区,2室2厅 | 88.01平米 | 东南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,72,"8,181元/平"
内环路满二大两室，采光好无遮挡楼层好,襄轴家园 -樊城西区,2室2厅 | 94.84平米 | 南 | 毛坯 | 高楼层(共32层)  | 暂无数据,6人关注 / 一年前发布,78,"8,225元/平"
长虹路万达紫贞公旁单位家属院首付10万起安家市区,地矿天地 -樊城西区,2室1厅 | 59.9平米 | 南 北 | 简装 | 低楼层(共8层)  | 板塔结合,0人关注 / 3个月以前发布,51,"8,515元/平"
东津世纪城88平大两房，两房朝南，满二，高楼层,东津世纪城15区上和院 -东津区,2室2厅 | 88.16平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 4个月以前发布,61,"6,920元/平"
经典两房，满五唯一.学 校商场旁，随时看房,东津世纪城13区瀚林院 -东津区,2室2厅 | 88.22平米 | 南 | 毛坯 | 低楼层(共26层)  | 板塔结合,0人关注 / 3个月以前发布,56.8,"6,439元/平"
樊城区长虹路民发盛特区旁，2房楼层好视野开阔！！,毛纺小区绒线厂家属院 -樊城西区,2室1厅 | 68.76平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,4人关注 / 一年前发布,56,"8,145元/平"
高层经典两房，学 校商场旁，随时看房,东津世纪城13区瀚林院 -东津区,2室2厅 | 88.01平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,10人关注 / 7个月以前发布,60,"6,818元/平"
证件齐全，满五唯一，视野开阔，交通便利。,欣欣佳园 -襄州区,1室1厅 | 37.85平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,2人关注 / 11个月以前发布,32,"8,455元/平"
华洋堂商圈丹江路璞金公寓大三室毛坯出售,璞金公寓 -樊城东区,3室1厅 | 136.8平米 | 南 北 | 其他 | 中楼层(共20层)  | 塔楼,0人关注 / 2个月以前发布,95.6,"6,989元/平"
万达商圈，长虹路主干道 刚需小两房，总价低,晖月小区 -樊城东区,2室1厅 | 78.87平米 | 南 | 简装 | 高楼层(共8层)  | 板楼,6人关注 / 11个月以前发布,50,"6,340元/平"
民广场天元四季城人民路 单位家属院 停车方便,益民小区 -樊城东区,2室2厅 | 90.97平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,83,"9,124元/平"
此房高楼层，视野宽阔，采光充足，交通便利,汇景园 -襄州区,4室2厅 | 143.31平米 | 南 | 简装 | 高楼层(共29层)  | 板塔结合,0人关注 / 一年前发布,110,"7,676元/平"
荆州街上  33中   二楼   出门50米可到校,荆州街102号 -襄城区,2室1厅 | 63.41平米 | 东 西 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,80,"12,617元/平"
人民广场天元四季城易租易住一室出售,天元四季城 -樊城东区,1室1厅 | 49.89平米 | 东 | 精装 | 高楼层(共27层)  | 板塔结合,17人关注 / 一年前发布,42,"8,419元/平"
364医院家属院 3室2厅 南,364医院家属院 -襄城区,3室2厅 | 74.56平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 3个月以前发布,50,"6,707元/平"
此房精装修，证件齐全满两年，背靠民发广场，,民发·都会山世界城三期 -襄州区,2室2厅 | 82平米 | 东南 | 精装 | 高楼层(共28层)  | 板塔结合,0人关注 / 4个月以前发布,91,"11,098元/平"
时代天街，可拎包入住，也可出租,商贸城社区 -襄州区,4室3厅 | 231.01平米 | 南 | 简装 | 低楼层(共4层)  | 暂无数据,4人关注 / 一年前发布,136,"5,888元/平"
长虹路+万达沃尔玛泛悦商圈+职工街五一棉二生区两室,五一棉纺厂二生活区 -樊城东区,2室1厅 | 50.27平米 | 南 | 简装 | 高楼层(共5层)  | 板楼,21人关注 / 一年前发布,34,"6,764元/平"
满五唯一，精装修，停车充足，可拎包入住,市经信委冯家巷生活区 -襄城区,2室2厅 | 84.14平米 | 南 | 精装 | 高楼层(共4层)  | 板楼,4人关注 / 5个月以前发布,100,"11,885元/平"
火车站商圈 次新小区 电梯房楼层好 装修不错拎包入住,泰禾新景 -樊城东区,1室1厅 | 52.87平米 | 南 | 简装 | 高楼层(共26层)  | 板塔结合,2人关注 / 一年前发布,51.9,"9,817元/平"
房子较新户型方正，小区绿化好间距宽适宜居住 可停车,汉水映江南 -襄城区,2室2厅 | 73.53平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,42,"5,712元/平"
江华小区 2室1厅 西南,江华小区 -襄城区,2室1厅 | 53平米 | 西南 | 简装 | 低楼层(共7层)  | 暂无数据,3人关注 / 7个月以前发布,47,"8,868元/平"
民发商圈精装两室 看江效果好 采光充足，中间楼层,百洋欧典北区 -襄州区,2室1厅 | 69.43平米 | 东南 | 简装 | 中楼层(共28层)  | 板塔结合,24人关注 / 一年前发布,56,"8,066元/平"
人民广场商圈，襄遇精装，看房方便,城馨嘉园·襄遇 -樊城东区,1室1厅 | 41.94平米 | 东南 | 精装 | 低楼层(共33层)  | 塔楼,6人关注 / 一年前发布,46,"10,969元/平"
位置好，天元商圈，出行方便 四通八达,湖北空压机场生活区 -樊城东区,2室2厅 | 83.92平米 | 南 北 | 精装 | 高楼层(共8层)  | 板楼,3人关注 / 6个月以前发布,53,"6,316元/平"
此房满五唯一，格局好，楼层好视野楼层宽阔,人民路5710号 -樊城东区,2室1厅 | 71.52平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,11人关注 / 一年前发布,50,"6,992元/平"
房子是精装小公寓，业主 房子用不上了 诚售,红星国际 -樊城东区,2室2厅 | 49.26平米 | 东南 | 毛坯 | 高楼层(共23层)  | 板楼,4人关注 / 一年前发布,31.5,"6,395元/平"
小清河边，左岸春天，单价8000多,左岸春天 -樊城东区,2室2厅 | 91.42平米 | 南 北 | 精装 | 高楼层(共24层)  | 板楼,3人关注 / 6个月以前发布,71,"7,767元/平"
家乐福   董台烟厂  一楼带小院   南北朝向,董台小区烟厂家属院 -樊城东区,2室1厅 | 66.43平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,9人关注 / 一年前发布,57,"8,581元/平"
火车站 前进路 铁三院新三院 精装修两房 中间好楼层,铁路三院新三院 -樊城东区,2室1厅 | 55.52平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,47人关注 / 一年前发布,41,"7,385元/平"
紫贞居住小区大两居室看房有钥匙,紫贞居住小区 -樊城东区,2室2厅 | 88.23平米 | 东南 | 简装 | 中楼层(共8层)  | 板塔结合,4人关注 / 一年前发布,106,"12,015元/平"
满二纯毛坯随心装修，中高楼层，小区南排，视野采光好,东津世纪城14区崇文府 -东津区,2室2厅 | 88.01平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,3人关注 / 一年前发布,62,"7,045元/平"
人民路和华风路交叉口，单价7000两室业主诚意出售！,渣土家属院 -樊城东区,2室1厅 | 89.51平米 | 东 西 | 简装 | 高楼层(共7层)  | 板塔结合,15人关注 / 一年前发布,49.6,"5,542元/平"
房东诚心出售松鹤路 32 菜场，*市都方便，生活便利,毛纺小区 -樊城东区,2室2厅 | 63.72平米 | 东南 | 简装 | 高楼层(共6层)  | 板楼,29人关注 / 一年前发布,59,"9,260元/平"
一克拉江景视野无限好落地飘窗1室1厨1卫南 阳光洒满家,一克拉公寓 -襄州区,1室1厅 | 32.14平米 | 南 | 精装 | 高楼层(共21层)  | 板塔结合,4人关注 / 7个月以前发布,22.5,"7,001元/平"
民发世界城学院派毛坯两房，业主诚心售卖。,民发世界城学院派 -襄州区,2室2厅 | 89.32平米 | 东南 | 毛坯 | 中楼层(共32层)  | 板塔结合,2人关注 / 9个月以前发布,82,"9,181元/平"
此房格局方正，楼层好，视野开阔，精装修没怎么住,恒大名都 -襄城区,2室2厅 | 91.69平米 | 南 | 精装 | 高楼层(共23层)  | 板塔结合,10人关注 / 一年前发布,109,"11,888元/平"
火车站 前锦小区 住宅 电梯房 满2年 价格空间很大,前锦公寓 -樊城东区,2室2厅 | 75.71平米 | 南 | 毛坯 | 低楼层(共18层)  | 塔楼,11人关注 / 一年前发布,59,"7,793元/平"
满五唯一大三房，采光好，可拎包入住,襄州区烟草专卖局家属院 -襄州区,2室2厅 | 98.2平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,2人关注 / 7个月以前发布,73,"7,434元/平"
房子满五二套单位家属院院子大停车方便民发商圈。,中铁十一局集团第一工程有限公司 -襄州区,2室1厅 | 71.92平米 | 南 | 简装 | 低楼层(共5层)  | 板楼,1人关注 / 4个月以前发布,49,"6,814元/平"
新华路房管局 中间楼层二室停车方便（地下停车位）,新华路房管局家属院 -樊城东区,2室1厅 | 84.09平米 | 南 | 简装 | 中楼层(共5层)  | 板塔结合,2人关注 / 5个月以前发布,63,"7,492元/平"
商圈主推 独门独院 私家花园 长虹路主干道 别墅群小区,长虹观邸 -樊城东区,5室2厅 | 214.1平米 | 南 | 毛坯 | 3层  | 板楼 | 独栋别墅 ,3人关注 / 6个月以前发布,340,"15,881元/平"
沃尔玛 泛悦 天元四季城多商圈 均价低 2室一厅,木材公司家属院 -樊城东区,2室1厅 | 70.71平米 | 南 | 简装 | 高楼层(共9层)  | 板楼,0人关注 / 6个月以前发布,40,"5,657元/平"
人民广场天元四季城沃尔玛三商圈优质两室出售,人民路五金厂家属院 -樊城东区,2室1厅 | 100.74平米 | 东南 | 精装 | 低楼层(共8层)  | 板塔结合,4人关注 / 一年前发布,78,"7,743元/平"
人民广场天元四季城商圈，精装修，可直接入住,中房永安商住楼 -樊城东区,1室1厅 | 41.02平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,1人关注 / 6个月以前发布,40,"9,752元/平"
低楼层，易出行， 配套设施齐全，交通便利,东津世纪城16区天境台 -东津区,2室2厅 | 88平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 3个月以前发布,68,"7,728元/平"
近长虹路 江边 米公路大庆西路 一医院单位院优质二房,原襄阳市火柴厂家属院 -樊城东区,2室1厅 | 68.96平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,1人关注 / 4个月以前发布,43,"6,236元/平"
此房产权清晰，满五唯，户型方正，采光好精装修,铜版纸厂宿舍 -樊城东区,2室1厅 | 95.69平米 | 南 西南 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,82.5,"8,622元/平"
楼层采光好刚装修拎包入住民发商圈绿化好交通便利,中铁十一局集团第一工程有限公司 -襄州区,2室2厅 | 62平米 | 南 | 精装 | 高楼层(共4层)  | 板楼,5人关注 / 一年前发布,47,"7,581元/平"
户型方正，采光好。经典大2房。,东津世纪城14区崇文府 -东津区,2室2厅 | 88.22平米 | 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,0人关注 / 11个月以前发布,65,"7,368元/平"
人车分流小区户型方正楼间距大房本满两年,东津世纪城16区天境台 -东津区,2室1厅 | 88.4平米 | 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,0人关注 / 3个月以前发布,59.5,"6,731元/平"
房本满二 ，小区门口，楼层好，看房方便。急售,东津世纪城15区上和院 -东津区,2室2厅 | 85.86平米 | 东南 | 精装 | 低楼层(共33层)  | 板塔结合,1人关注 / 2个月以前发布,71,"8,270元/平"
精装，满二年，带装修，价可谈.,东津世纪城16区天境台 -东津区,2室2厅 | 86.35平米 | 南 | 精装 | 低楼层(共33层)  | 暂无数据,2人关注 / 4个月以前发布,72,"8,339元/平"
楼层采光好刚装修拎包入住民发商圈绿化好交通便利,中铁十一局集团第一工程有限公司 -襄州区,2室2厅 | 62平米 | 南 | 精装 | 高楼层(共4层)  | 板楼,5人关注 / 一年前发布,47,"7,581元/平"
人民广场天元四季城商圈，精装修，可直接入住,中房永安商住楼 -樊城东区,1室1厅 | 41.02平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,1人关注 / 6个月以前发布,40,"9,752元/平"
吾悦商圈 毛坯两室随心装修此房朝南配套齐全 出行方便,中建状元府 -樊城西区,2室2厅 | 93.35平米 | 南 | 毛坯 | 低楼层(共32层)  | 塔楼,0人关注 / 4个月以前发布,79,"8,463元/平"
人民路沃尔玛 长虹路供电局 精装两室,长虹路供电公司家属院 -樊城西区,2室2厅 | 78.35平米 | 南 北 | 简装 | 低楼层(共8层)  | 板楼,9人关注 / 6个月以前发布,79,"10,083元/平"
经典两房，满五唯一.学 校商场旁，随时看房,东津世纪城13区瀚林院 -东津区,2室2厅 | 88.22平米 | 南 | 毛坯 | 低楼层(共26层)  | 板塔结合,0人关注 / 3个月以前发布,56.8,"6,439元/平"
樊城区长虹路民发盛特区旁，2房楼层好视野开阔！！,毛纺小区绒线厂家属院 -樊城西区,2室1厅 | 68.76平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,4人关注 / 一年前发布,56,"8,145元/平"
小区南边一排  中间楼层  无遮挡视野好 看房方便,东津世纪城12区花漫里 -东津区,2室2厅 | 79.97平米 | 南 北 | 毛坯 | 中楼层(共23层)  | 板塔结合,0人关注 / 4个月以前发布,53.5,"6,691元/平"
高层经典两房，学 校商场旁，随时看房,东津世纪城13区瀚林院 -东津区,2室2厅 | 88.01平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,10人关注 / 7个月以前发布,60,"6,818元/平"
万达一站路，朝南，毛坯两房中间楼层价格实惠,工建小区 -樊城西区,2室2厅 | 74.57平米 | 南 | 毛坯 | 中楼层(共17层)  | 板塔结合,17人关注 / 一年前发布,70,"9,388元/平"
户型方正，采光佳看房方便..，楼间居好，适合居住,铁路分局二院住宅二区 -樊城东区,2室2厅 | 51.2平米 | 东南 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 一年前发布,40,"7,813元/平"
小区改造好了，户型方正 精装修 ，结构紧凑,天海公寓 -樊城东区,2室2厅 | 96.14平米 | 南 北 | 简装 | 中楼层(共8层)  | 板塔结合,0人关注 / 8个月以前发布,67,"6,970元/平"
满五唯一，长虹路繁华地段，小区大停车方便,电信小区(建华路) -樊城东区,2室1厅 | 77.47平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,58,"7,487元/平"
此房证件已满两年 南北户型 户型方正 前后无遮挡,冠通梧桐湾 -襄城区,2室2厅 | 97.21平米 | 东南 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 3个月以前发布,122.5,"12,602元/平"
此房满五南北朝向松鹤路和32中，中间楼层采光好。,毛纺小区 -樊城东区,2室1厅 | 76.63平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,80,"10,440元/平"
民发世界城三期学院派：户型方正紧促 光优良清爽简装,民发世界城学院派 -襄州区,2室2厅 | 88.5平米 | 西南 | 简装 | 低楼层(共29层)  | 板塔结合,0人关注 / 7个月以前发布,77,"8,701元/平"
民发商圈旁，都会山旁，民发学院派，视野采光好,民发世界城学院派 -襄州区,2室1厅 | 88.14平米 | 南 北 | 简装 | 低楼层(共32层)  | 板塔结合,2人关注 / 3个月以前发布,79,"8,964元/平"
长虹路主干道上，小区环境好停车方便户型方正采光好。,海润名都 -樊城东区,4室2厅 | 147.79平米 | 南 | 精装 | 高楼层(共24层)  | 塔楼,9人关注 / 一年前发布,132.9,"8,993元/平"
房子是精装修的，拎包入住。。。,海容骧龙国际 -襄城区,2室2厅 | 94.73平米 | 南 | 精装 | 低楼层(共26层)  | 板塔结合,12人关注 / 一年前发布,107,"11,296元/平"
幸福小区 两室格局好  日照时间长  宜室宜家,幸福社区 -樊城东区,2室2厅 | 56.42平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,5人关注 / 一年前发布,48,"8,508元/平"
看房子有钥匙，家乐福商圈拎包入住,领秀中原公寓 -樊城东区,1室1厅 | 47.26平米 | 南 | 简装 | 中楼层(共22层)  | 塔楼,1人关注 / 9个月以前发布,33,"6,983元/平"
户型方正，采光好。经典大2房。,东津世纪城14区崇文府 -东津区,2室2厅 | 88.22平米 | 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,0人关注 / 11个月以前发布,65,"7,368元/平"
万山轴承厂65平经典两室  带装修 南北向 税少可贷款,襄阳轴承厂八街坊 -襄城区,2室1厅 | 65.49平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,9人关注 / 一年前发布,37,"5,650元/平"
房东诚意出售，家具家电齐全，还有个车棚，看房方便,铁四院清风园 -襄州区,2室1厅 | 88平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,5人关注 / 一年前发布,53,"6,023元/平"
毛坯两房，可随意装修，视野采光充足，,东津世纪城16区天境台 -东津区,2室2厅 | 88.4平米 | 南 | 毛坯 | 中楼层(共26层)  | 板塔结合,0人关注 / 一年前发布,59,"6,675元/平"
公园一号 满五精装自住 诚心出售,公园一号 -襄州区,2室2厅 | 90.43平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,5人关注 / 一年前发布,40,"4,424元/平"
人民广场天元四季城商圈普装三室一厅出售,桥北西路22号税务局 -樊城东区,3室1厅 | 104.58平米 | 东南 | 简装 | 中楼层(共5层)  | 暂无数据,53人关注 / 一年前发布,61,"5,833元/平"
天元四季城商圈人民广场商圈 ，生活配套齐全,焦家台供销社 -樊城东区,3室2厅 | 107.84平米 | 南 | 简装 | 低楼层(共8层)  | 板楼,0人关注 / 10个月以前发布,79,"7,326元/平"
万达商圈 毛纺花园 地龙公寓 单价低,地龙公寓 -樊城东区,3室1厅 | 85.37平米 | 南 北 | 简装 | 高楼层(共8层)  | 暂无数据,2人关注 / 6个月以前发布,54.5,"6,384元/平"
前进路和人民路交叉口 一室一厅毛坯 总价低 地段好,襄烟金城区家属院 -樊城东区,1室1厅 | 47.04平米 | 南 | 毛坯 | 中楼层(共5层)  | 板楼,0人关注 / 5个月以前发布,35,"7,441元/平"
单位家属院，万达广场，停车方便，集中供暖，满五唯一,610航宇家属院 -樊城东区,2室1厅 | 73.68平米 | 南 北 | 简装 | 高楼层(共8层)  | 板塔结合,0人关注 / 2个月以前发布,82,"11,130元/平"
急售万达白马商圈长虹盛景全明户型交通便利拎包入住,长虹盛景 -樊城东区,2室2厅 | 94.89平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,17人关注 / 一年前发布,119,"12,541元/平"
乐福天下精致装修稀有小户型好房出售,君典乐福天下 -樊城东区,1室1厅 | 46.5平米 | 南 北 | 精装 | 中楼层(共30层)  | 板塔结合,1人关注 / 4个月以前发布,45.5,"9,785元/平"
襄城 恒大名都 精装三房 可随时看房 中层,恒大名都二期 -襄城区,3室1厅 | 109.89平米 | 南 北 | 精装 | 高楼层(共30层)  | 板塔结合,17人关注 / 一年前发布,122,"11,103元/平"
紧凑小两居 火车站商圈 出行方便 拎包入住,领秀中原公寓 -樊城东区,2室1厅 | 65.87平米 | 南 北 | 精装 | 中楼层(共22层)  | 塔楼,10人关注 / 一年前发布,44.5,"6,756元/平"
人民广场华洋堂商圈 长征路 普鑫上东郡 精装一室 朝南,普鑫 · 上東郡 -樊城东区,1室1厅 | 46.04平米 | 南 | 精装 | 低楼层(共30层)  | 板塔结合,3人关注 / 9个月以前发布,49.5,"10,752元/平"
前进路与建华路交汇高层电梯 天元四季城和泛悦多商圈,广锦乐居广场 -樊城东区,2室2厅 | 90.99平米 | 东南 | 毛坯 | 中楼层(共31层)  | 板塔结合,0人关注 / 5个月以前发布,85,"9,342元/平"
满五唯一，产权清晰，无查封，无抵押，随时可过户交房,晖月小区 -樊城东区,2室1厅 | 92.77平米 | 东 西 | 简装 | 中楼层(共8层)  | 板楼,3人关注 / 9个月以前发布,73,"7,869元/平"
乐居广场2室，中间楼层，采光好,广锦乐居广场 -樊城东区,2室1厅 | 67.4平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,1人关注 / 4个月以前发布,67,"9,941元/平"
诚卖三元小区步梯中层大两房，户型方正采光好拎包入住,三元小区二院 -樊城东区,2室1厅 | 86.16平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 5个月以前发布,81.9,"9,506元/平"
急售！！！长征路 普鑫上东郡 精装两室 拎包入住,普鑫 · 上東郡 -樊城东区,2室1厅 | 67.38平米 | 南 | 精装 | 低楼层(共30层)  | 板塔结合,13人关注 / 11个月以前发布,72,"10,686元/平"
人民广场商圈，中间楼层，采光充足，配套设施齐,钉丝厂家属院 -樊城东区,2室1厅 | 74.34平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,60,"8,072元/平"
长虹路主干道 小高层 东边是小广场 无遮挡装修未入住,长虹观邸 -樊城东区,2室2厅 | 97.23平米 | 南 | 简装 | 中楼层(共26层)  | 板楼,1人关注 / 6个月以前发布,103,"10,594元/平"
楼层好，采光充足，视野开阔 配套设施齐全，交通便利,东津世纪城10区御华苑 -东津区,2室2厅 | 85.35平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,1人关注 / 2个月以前发布,68.5,"8,026元/平"
岘山文化广场文理学院 单位家属院中间楼层,364医院家属院 -襄城区,2室1厅 | 49.94平米 | 东南 | 简装 | 中楼层(共4层)  | 暂无数据,0人关注 / 1个月以前发布,35,"7,009元/平"
前进路武商飯饮食服务公司家属院2室2厅1厨1卫,饮食服务公司家属院(樊城东区) -樊城东区,2室1厅 | 85平米 | 南 北 | 精装 | 高楼层(共9层)  | 板楼,0人关注 / 11个月以前发布,74,"8,706元/平"
房子 满五唯一，房子是边户采光好，做成两卧总价少。,普鑫 · 上東郡 -樊城东区,1室1厅 | 46.72平米 | 东 | 精装 | 低楼层(共30层)  | 板塔结合,4人关注 / 一年前发布,53,"11,345元/平"
铁四院精品两房，满五唯一，全明户型户型,铁四院清河园 -襄州区,2室1厅 | 89.66平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 一年前发布,59.9,"6,681元/平"
春园路董台烟厂家属院精致两室好房出售,董台小区烟厂家属院 -樊城东区,2室1厅 | 79.13平米 | 南 | 简装 | 高楼层(共8层)  | 暂无数据,1人关注 / 一年前发布,56,"7,077元/平"
是集“产品交易、产品设计，运营管理、。,襄阳五洲国际工业博览城 -襄州区,2室1厅 | 43.95平米 | 南 | 毛坯 | 中楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,27,"6,144元/平"
中清路可做门面的低楼层房源！房主诚心出售,中清路农行家属院 -樊城东区,3室1厅 | 94.7平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 8个月以前发布,85.5,"9,029元/平"
广场  华洋堂 天元世纪城商圈。。。。。,实英小区 -樊城东区,1室1厅 | 42.68平米 | 东 南 | 简装 | 中楼层(共4层)  | 暂无数据,0人关注 / 8个月以前发布,40,"9,373元/平"
东津世纪城12区花漫里:精装2房+中间楼层+满二,东津世纪城12区花漫里 -东津区,2室2厅 | 79.88平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,4人关注 / 10个月以前发布,65.5,"8,200元/平"
户型方正，南北通透，视野好，无遮挡,卧龙山庄 -襄城区,2室2厅 | 85.52平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,2人关注 / 7个月以前发布,63,"7,367元/平"
此房地理位置优越位于长征路主干道华洋堂商圈出行方便,襄阳市五金交电仓库家属院 -樊城东区,2室2厅 | 101.81平米 | 南 | 简装 | 高楼层(共9层)  | 暂无数据,0人关注 / 一年前发布,76.1,"7,475元/平"
人民广场  人民公园武商旁  小面积住宅 电梯房 有钥匙,豪门新天地 -樊城东区,1室1厅 | 54.24平米 | 南 | 精装 | 高楼层(共25层)  | 塔楼,4人关注 / 一年前发布,45,"8,297元/平"
2楼，2室半，拎包入住，诚心卖,江华小区 -襄城区,2室1厅 | 72.32平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,5人关注 / 一年前发布,62.2,"8,601元/平"
东津13区 毛坯两室 即买即装 满二税少 看房方便,东津世纪城13区瀚林院 -东津区,2室2厅 | 88.22平米 | 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,1人关注 / 7个月以前发布,63,"7,142元/平"
东门口简装复式楼大四房，另有50平阳光房！,油脂小区 -襄城区,4室2厅 | 105.44平米 | 南 | 简装 | 高楼层(共7层)  | 板塔结合,2人关注 / 一年前发布,108,"10,243元/平"
此房满五唯一住房经典二楼小两室地理位置好总价低,长征路襄江商场家属院 -樊城东区,2室1厅 | 49平米 | 南 北 | 简装 | 中楼层(共4层)  | 板楼,0人关注 / 3个月以前发布,35.8,"7,307元/平"
四中  省一建新房 户型方正 合理采光好 上学近,省一建家属院 -襄城区,2室2厅 | 87.37平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,107,"12,247元/平"
医院家属院，满五不唯一，交通便利，位置好,中心医院家属院 -襄城区,3室2厅 | 110.14平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,31人关注 / 一年前发布,92,"8,354元/平"
此房产权清晰，满五唯，户型方正，采光好精装修,铜版纸厂宿舍 -樊城东区,2室1厅 | 95.69平米 | 南 西南 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,82.5,"8,622元/平"
长虹路万达商圈 低楼层标准精装两室拎包入住,紫贞居住小区 -樊城东区,2室2厅 | 88.23平米 | 东 | 精装 | 低楼层(共8层)  | 板塔结合,9人关注 / 一年前发布,99,"11,221元/平"
天元四季城 沃尔玛旁 中昱万年城 精装修2室 保养很好,中昱万年城 -樊城东区,2室2厅 | 93.41平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,3人关注 / 一年前发布,110,"11,777元/平"
长虹路沃尔玛泛悦万达单位家属院,刘埂社区毛纺新院 -樊城东区,2室1厅 | 78.86平米 | 南 北 | 其他 | 中楼层(共8层)  | 板楼,1人关注 / 7个月以前发布,50,"6,341元/平"
