标题,开发商,房子信息,发布信息,售价/万,单价
高铁站  绿地云水谣  四室 带车位 带储藏室 南北通透,绿地云水谣 -高铁新区,4室2厅 | 151.67平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 塔楼,0人关注 / 7天以前发布,159,"10,484元/平"
泮河景区 好房好户型 南北通透 全明户型,大展鸿府 -泮河景区,3室2厅 | 123平米 | 南 北 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 18天以前发布,190,"15,448元/平"
北上高新家园 金质两室 带配房 南北通透 停车方便,北上高新家园 -宝龙城,2室2厅 | 75平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 25天以前发布,63,"8,400元/平"
财源街 车站小区 带配房 好停车 火车站 中百 校场街,车站小区 -火车站,2室1厅 | 58平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 24天以前发布,58,"10,000元/平"
五矿·万境水岸 3室2厅 南 北,五矿·万境水岸 -南开发区,3室2厅 | 127平米 | 南 北 | 其他 | 中楼层(共11层)  | 板塔结合,0人关注 / 27天以前发布,162,"12,756元/平"
区政府 开元小区 泰山大街 鲁商 集体供暖,开元小区 -泮河景区,3室2厅 | 132平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 26天以前发布,116,"8,788元/平"
化工局宿舍东临虎山路，北临岱庙北街，地理位置优越。,化工局宿舍 -岱庙,3室1厅 | 87平米 | 南 北 | 其他 | 中楼层(共4层)  | 暂无数据,0人关注 / 18天以前发布,170,"19,541元/平"
山东省泰安第二中学第二宿舍 2室1厅 南 北,山东省泰安第二中学第二宿舍 -红门,2室1厅 | 59.85平米 | 南 北 | 其他 | 低楼层(共4层)  | 板楼,0人关注 / 17天以前发布,164,"27,402元/平"
时代佳苑 泰山区 三室两厅 好楼层 停车方便 物业费低,时代佳苑 -国际会展中心,3室2厅 | 103平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 28天以前发布,120,"11,651元/平"
嘉和新城 3室2厅 南 北,嘉和新城 -南开发区,3室2厅 | 120平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 27天以前发布,90,"7,500元/平"
粥店办事处 精装三室 满五唯一,粥店街道办事处 -泮河景区,3室2厅 | 106.5平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 17天以前发布,92,"8,639元/平"
恒发公司宿舍 精装拎包入住 集暖 金质楼层 临东湖公园,恒发公司宿舍 -东湖公园,2室2厅 | 108平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 17天以前发布,118,"10,926元/平"
泺亨国际 3室2厅 南 北,泺亨国际 -南开发区,3室2厅 | 141平米 | 南 北 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 21天以前发布,110,"7,802元/平"
泰山御府苑 2室1厅 南,泰山御府苑 -高铁新区,2室1厅 | 96.15平米 | 南 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 26天以前发布,70,"7,281元/平"
中达 · 山城国际 3室2厅 北 南,中达 · 山城国际 -泮河景区,3室2厅 | 128平米 | 北 南 | 其他 | 中楼层(共14层)  | 板楼,0人关注 / 30天以前发布,150,"11,719元/平"
吾悦华府 有车位2个 16楼 房产证四月满两年,吾悦华府 -宝龙城,3室2厅 | 128平米 | 南 | 简装 | 中楼层(共29层)  | 平房,0人关注 / 27天以前发布,188,"14,688元/平"
丽景花园 上好楼层 精致装修 可观山 带车位,丽景花园 -岱庙,3室2厅 | 137平米 | 南 北 | 其他 | 高楼层(共17层)  | 板塔结合,0人关注 / 26天以前发布,320,"23,358元/平"
鲁商中心 别墅 带院子70平 地下60平  带两个车位,鲁商中心 -泮河景区,3室2厅 | 137平米 | 南 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 17天以前发布,360,"26,278元/平"
环山路南，小区外部环境优美，设计院宿舍,金山南小区 -红门,2室1厅 | 57.64平米 | 南 | 其他 | 低楼层(共4层)  | 板楼,0人关注 / 18天以前发布,139,"24,116元/平"
华城丽景湾 南北通透 免大税 带大储藏室,华城·丽景湾 -宝龙城,3室2厅 | 92.38平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 28天以前发布,130,"14,073元/平"
带储藏室 证满五唯一 电梯房小高层 6楼 户型好 龙潭路,奥源时代C区 -南开发区,2室2厅 | 93平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 26天以前发布,78,"8,388元/平"
环山路 落地窗 带车位配房 好楼层 看房方便有钥匙,泰实·学府春天 -方特大区,4室2厅 | 140平米 | 南 北 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 20天以前发布,179,"12,786元/平"
福佳斯•天悦府 3室2厅 南 北,福佳斯•天悦府 -南湖公园,3室2厅 | 123.5平米 | 南 北 | 其他 | 中楼层(共31层)  | 板楼,0人关注 / 20天以前发布,140,"11,337元/平"
政务大厅东 澎湖湾精装 户型方正 采光好 好楼层,澎湖湾 -岱岳区,2室2厅 | 88.48平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 22天以前发布,56,"6,330元/平"
东岳鑫城好房，有平面大车位，21平的大储藏室，配套全,东岳鑫城 -高铁新区,2室2厅 | 91平米 | 南 | 精装 | 中楼层(共28层)  | 塔楼,0人关注 / 18天以前发布,88,"9,671元/平"
普照寺路单位宿舍5楼，有阁楼，有露台，拎包入住,普照寺路20号 -红门,3室2厅 | 134平米 | 南 北 | 其他 | 高楼层(共5层)  | 暂无数据,0人关注 / 19天以前发布,350,"26,120元/平"
鲁郡嘉源 精装 楼层好 户型好,鲁郡嘉源 -东湖公园,2室2厅 | 92平米 | 南 北 | 其他 | 低楼层(共11层)  | 板塔结合,0人关注 / 17天以前发布,154,"16,740元/平"
向阳东区 3室1厅 南 北,向阳东区 -宝龙城,3室1厅 | 75平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 19天以前发布,86,"11,467元/平"
曹家村幸福佳苑 高铁站 市立医院 储藏室 南北通透,曹家村幸福佳苑 -高铁新区,3室2厅 | 152平米 | 南 北 | 其他 | 低楼层(共22层)  | 板楼,0人关注 / 31天以前发布,110,"7,237元/平"
华龙家园 2室2厅 南 北,华龙家园 -国际会展中心,2室2厅 | 98平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 20天以前发布,120,"12,245元/平"
志高国际 精装两室 东岳大街 价格合适,志高国际 -宝龙城,2室1厅 | 93平米 | 南 | 其他 | 低楼层(共30层)  | 暂无数据,0人关注 / 19天以前发布,92,"9,893元/平"
环山路南，2楼东户，全明户型，集中供暖，好房,景区工商局宿舍 -红门,3室2厅 | 130平米 | 南 北 | 其他 | 中楼层(共4层)  | 塔楼,0人关注 / 19天以前发布,290,"22,308元/平"
采光好，，环境优美，绿化完善，，小区居民素质高，，,新兴御蓝山 -宝龙城,3室2厅 | 107.7平米 | 南 北 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 18天以前发布,128,"11,885元/平"
高铁新区 全明户型  好楼层 免大税  配套全 拎包入住,绿地公馆雅园 -高铁新区,4室1厅 | 136.01平米 | 南 | 其他 | 中楼层(共31层)  | 塔楼,0人关注 / 18天以前发布,122,"8,970元/平"
泰山御府苑 2室1厅 南,泰山御府苑 -高铁新区,2室1厅 | 96.15平米 | 南 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 26天以前发布,70,"7,281元/平"
泺亨国际 3室2厅 南 北,泺亨国际 -南开发区,3室2厅 | 141平米 | 南 北 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 21天以前发布,110,"7,802元/平"
华城丽景湾 南北通透 免大税 带大储藏室,华城·丽景湾 -宝龙城,3室2厅 | 92.38平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 28天以前发布,130,"14,073元/平"
中达 · 山城国际 3室2厅 北 南,中达 · 山城国际 -泮河景区,3室2厅 | 128平米 | 北 南 | 其他 | 中楼层(共14层)  | 板楼,0人关注 / 30天以前发布,150,"11,719元/平"
吾悦华府 有车位2个 16楼 房产证四月满两年,吾悦华府 -宝龙城,3室2厅 | 128平米 | 南 | 简装 | 中楼层(共29层)  | 平房,0人关注 / 27天以前发布,188,"14,688元/平"
丽景花园 上好楼层 精致装修 可观山 带车位,丽景花园 -岱庙,3室2厅 | 137平米 | 南 北 | 其他 | 高楼层(共17层)  | 板塔结合,0人关注 / 26天以前发布,320,"23,358元/平"
鲁商中心 别墅 带院子70平 地下60平  带两个车位,鲁商中心 -泮河景区,3室2厅 | 137平米 | 南 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 17天以前发布,360,"26,278元/平"
环山路南，小区外部环境优美，设计院宿舍,金山南小区 -红门,2室1厅 | 57.64平米 | 南 | 其他 | 低楼层(共4层)  | 板楼,0人关注 / 18天以前发布,139,"24,116元/平"
体育场西半山九里153平下叠带院153平急售450万,国悦半山九里 -体育中心,5室3厅 | 153平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,390,"25,491元/平"
城市桃花源 优质小区 环境优美 配套齐全,金科桃花源 -彩石溪,3室2厅 | 147平米 | 南 | 其他 | 上叠(共4层)  | 暂无数据 | 叠拼别墅 ,0人关注 / 4个月以前发布,270,"18,368元/平"
高铁西 西湖边 真正的电梯洋房 即买即住 大展麓山君,大展·麓山郡 -岱岳区,4室3厅 | 127.6平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,188,"14,734元/平"
高铁西，西湖边，立丰苑，澎湖湾 碧桂园，格林小镇,立丰苑 -岱岳区,3室2厅 | 106.8平米 | 南 北 | 其他 | 高楼层(共6层)  | 塔楼,0人关注 / 3个月以前发布,92,"8,615元/平"
桃花源双拼，证满两年，带两个车位，一百多平院子,金科桃花源 -彩石溪,5室2厅 | 215平米 | 南 北 | 其他 | 低楼层(共3层)  | 暂无数据,1人关注 / 5个月以前发布,490,"22,791元/平"
"小区交通方便,碧桂园开发.此房未住,看房方便,",碧桂园·黄金时代 -高铁新区,5室2厅 | 281平米 | 南 | 毛坯 | 中楼层(共31层)  | 暂无数据,1人关注 / 9个月以前发布,309,"10,997元/平"
复式 层高4.6米 精装修 恒大城 楼间距110米 爱琴海,恒大城 -高铁新区,4室2厅 | 143.96平米 | 南 北 | 其他 | 低楼层(共28层)  | 暂无数据,4人关注 / 8个月以前发布,136,"9,448元/平"
别墅 高铁站 拎包入住 精装修 车库,龙湾别墅 -高铁新区,5室2厅 | 240.51平米 | 南 北 | 其他 | 3层  | 暂无数据 | 联排别墅 ,4人关注 / 10个月以前发布,320,"13,306元/平"
立丰春天里 高铁站 市立医院 别墅 精装,立丰·春天里 -高铁新区,4室3厅 | 203平米 | 南 北 | 其他 | 低楼层(共2层)  | 暂无数据,4人关注 / 8个月以前发布,260,"12,808元/平"
泰安西湖 天平湖 精装修 好楼层 环境优美 配套齐全,天平湖壹号 -岱岳区区委,3室2厅 | 135平米 | 南 | 其他 | 高楼层(共11层)  | 暂无数据,4人关注 / 一年前发布,188,"13,926元/平"
山和院子 独栋别墅 120多平方的的大院子,山和院子 -彩石溪,6室5厅 | 354.45平米 | 南 北 | 其他 | 低楼层(共2层)  | 暂无数据,1人关注 / 5个月以前发布,1400,"39,498元/平"
龙湾别墅 沿湖一亩地 200万装修 满五唯一独栋,龙湾别墅 -高铁新区,5室3厅 | 371平米 | 南 北 | 其他 | 低楼层(共2层)  | 暂无数据,2人关注 / 4个月以前发布,890,"23,990元/平"
泰豪名城5-2-1-3 213.80m² 复式 房产证满2年,泰豪名城 -小井,5室2厅 | 213.8平米 | 南 | 精装 | 高楼层(共25层)  | 板塔结合,2人关注 / 10个月以前发布,239,"11,179元/平"
吾悦广场旁 拉菲公馆 精装新房 拎包入住 带车位配房,拉菲公馆 -小井,4室2厅 | 163平米 | 南 北 | 其他 | 高楼层(共32层)  | 板楼,0人关注 / 3个月以前发布,247,"15,154元/平"
和园叠拼别墅  带北院  车位   露台  正常层高阁楼,开元盛世和园B区 -泮河景区,7室4厅 | 269平米 | 南 | 其他 | 上叠(共4层)  | 暂无数据 | 叠拼别墅 ,3人关注 / 8个月以前发布,499.8,"18,580元/平"
双龙居 三室两厅 1楼 有配房 南北通透,双龙小区C区 -小井,3室2厅 | 136平米 | 南 北 | 其他 | 低楼层(共18层)  | 平房,0人关注 / 2个月以前发布,152,"11,177元/平"
环山路宝龙商圈嘉德现代城 顶楼复式 可贷款 免大税,嘉德现代城 -宝龙城,4室2厅 | 108.39平米 | 南 北 | 其他 | 高楼层(共5层)  | 板塔结合,2人关注 / 8个月以前发布,228,"21,036元/平"
龙泉花苑  环境优美 带800平大院子  交通便利 配套全,龙泉花苑 -高铁新区,7室3厅 | 365平米 | 南 北 | 其他 | 低楼层(共2层)  | 暂无数据,0人关注 / 3个月以前发布,790,"21,644元/平"
6楼带阁楼！视野宽阔，采光充足，新楼现浇房 集暖,东湖社区 -东湖公园,3室2厅 | 127平米 | 南 北 | 其他 | 高楼层(共7层)  | 板塔结合,5人关注 / 一年前发布,215,"16,930元/平"
高铁站 龙泉花苑 精装4楼带阁楼 户型好 公摊少,龙泉花苑 -高铁新区,2室2厅 | 93平米 | 南 北 | 精装 | 高楼层(共4层)  | 暂无数据,0人关注 / 5个月以前发布,76,"8,173元/平"
九州家园复式 上下一样大无斜顶 相当于两套房,九州家园 -南湖公园,3室2厅 | 135平米 | 北 南 | 其他 | 高楼层(共11层)  | 板楼,0人关注 / 一年前发布,230,"17,038元/平"
泰山院子合院园林设计环境好适合居住市立医院俩车位,泰山院子 -泮河景区,5室2厅 | 170平米 | 南 北 | 其他 | 低楼层(共3层)  | 暂无数据,1人关注 / 3个月以前发布,420,"24,706元/平"
高铁 复式 精装修  碧桂园  随时看房,立丰苑 -岱岳区,4室3厅 | 213平米 | 南 北 | 其他 | 中楼层(共5层)  | 塔楼,0人关注 / 1个月以前发布,150,"7,043元/平"
高铁 岱岳区政府大厅 好楼层 看房方便,泰山秀水湾 -岱岳区,3室2厅 | 149平米 | 南 北 | 其他 | 低楼层(共17层)  | 暂无数据,0人关注 / 2个月以前发布,82,"5,504元/平"
政务服务办公楼，卫校，阳光和墅，秀水湾,泰山秀水湾 -岱岳区,3室2厅 | 163平米 | 南 北 | 其他 | 低楼层(共17层)  | 暂无数据,0人关注 / 2个月以前发布,91,"5,583元/平"
免大税 四室 已铺地暖改水电 开元盛世和园 高铁,开元盛世和园B区 -泮河景区,4室2厅 | 147.61平米 | 南 北 | 其他 | 中楼层(共33层)  | 板楼,2人关注 / 3个月以前发布,117,"7,927元/平"
硕园四室好房，中等装修，好楼层，采光视野好,开元盛世硕园 -泮河景区,4室2厅 | 142平米 | 南 | 其他 | 低楼层(共33层)  | 板楼,0人关注 / 6个月以前发布,128,"9,015元/平"
房子为独栋，居住安静，自带车库、、、、,龙泉花苑 -高铁新区,6室2厅 | 357.77平米 | 南 北 | 其他 | 3层  | 暂无数据 | 双拼别墅 ,2人关注 / 一年前发布,668,"18,672元/平"
中医二院旁 此房产权清晰 好楼层，满二，环境优越,泰山区分局南关宿舍 -东湖公园,4室2厅 | 116平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,126.8,"10,932元/平"
双拼 院子300平，地上三层地下两层，两个车位 可更名,印象泰山 -岱岳区区委,5室3厅 | 244平米 | 南 北 | 其他 | 低楼层(共3层)  | 暂无数据,2人关注 / 一年前发布,750,"30,738元/平"
春风十里~三室两厅边户南北通透双阳台,春风十里 -南关,3室2厅 | 129平米 | 南 北 | 其他 | 中楼层(共31层)  | 板楼,0人关注 / 1个月以前发布,105,"8,140元/平"
此房满二年，带车位，装修好，南北通透，采光充足,丽景花园 -岱庙,4室2厅 | 168.11平米 | 南 北 | 其他 | 高楼层(共14层)  | 暂无数据,0人关注 / 7个月以前发布,420,"24,984元/平"
丽景花园 6层电梯洋房 顶楼复式 带车位配房,丽景花园 -岱庙,3室2厅 | 124平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 7个月以前发布,520,"41,936元/平"
花园洲 花园式 精装修 复式洋房,花园洲 -岱岳区区委,4室4厅 | 120平米 | 南 北 | 其他 | 高楼层(共5层)  | 暂无数据,4人关注 / 4个月以前发布,166,"13,834元/平"
宝盛广场 大平层4室满两年 精装修带车位 南北通透,宝盛广场上峰 · 七里御府 -万达广场,4室2厅 | 179.27平米 | 南 北 | 精装 | 低楼层(共28层)  | 板楼,4人关注 / 一年前发布,260,"14,504元/平"
一楼带50平院 五金站北实小擂鼓石大街,五金站宿舍 -红门,3室1厅 | 80平米 | 南 北 | 其他 | 低楼层(共3层)  | 板楼,0人关注 / 4个月以前发布,205,"25,625元/平"
乐活小镇 三室两厅两卫 房产证满两年 大储藏室 三楼,恒地乐活小镇 -方特大区,3室2厅 | 146.95平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,137.8,"9,378元/平"
红门路单位宿舍，3楼113平+90平4楼，精装修，露台,红门交警接待处宿舍 -红门,3室2厅 | 113.45平米 | 南 北 | 其他 | 低楼层(共3层)  | 暂无数据,10人关注 / 一年前发布,353,"31,116元/平"
万达 附属医院 泰山大街 松园小区 价格合适 采光好,松园小区 -万达广场,2室1厅 | 55.7平米 | 南 北 | 简装 | 高楼层(共5层)  | 暂无数据,1人关注 / 8个月以前发布,49.8,"8,941元/平"
绿化面积大，公交车便利，花园式小区,丽景花园 -岱庙,5室2厅 | 170平米 | 南 北 | 其他 | 高楼层(共11层)  | 暂无数据,1人关注 / 7个月以前发布,390,"22,942元/平"
四联排别墅 毛坯房可随意装修带小院菜地 适合养老休闲,蓝岸别墅 -南开发区,5室3厅 | 212.51平米 | 南 北 | 其他 | 2层  | 暂无数据,2人关注 / 4个月以前发布,190,"8,941元/平"
独栋别墅，一楼带院，享受安逸的生活。,龙湾别墅 -高铁新区,4室3厅 | 709平米 | 南 北 | 其他 | 低楼层(共2层)  | 暂无数据,0人关注 / 11个月以前发布,489,"6,898元/平"
金科桃花源 三期双拼别墅 环山路 环境好,金科桃花源 -彩石溪,5室2厅 | 268平米 | 南 北 | 其他 | 3层  | 暂无数据 | 双拼别墅 ,2人关注 / 一年前发布,830,"30,971元/平"
新元花园急售好停车天外村迎胜带储看房放方便,新元花园 -天外村,4室2厅 | 164平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,3人关注 / 一年前发布,420,"25,610元/平"
泰山院子，叠拼别墅，带院子，豪 华装修，带家具家电,泰山院子 -泮河景区,6室3厅 | 183平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,6人关注 / 一年前发布,485,"26,503元/平"
颐和名居 电梯洋房  三室两厅两卫 精装修 好楼层,颐和名居 -南关,3室2厅 | 145.88平米 | 南 北 | 精装 | 高楼层(共9层)  | 暂无数据,0人关注 / 3个月以前发布,137,"9,392元/平"
带车位 配房  学府春天 一期现房 可贷款 天竺佳苑,泰实·学府春天 -方特大区,4室2厅 | 139平米 | 南 北 | 毛坯 | 中楼层(共25层)  | 暂无数据,0人关注 / 3个月以前发布,169,"12,159元/平"
龙湾别墅 高铁站 精装 联排 拎包入住,龙湾别墅 -高铁新区,6室2厅 | 247.18平米 | 南 | 其他 | 低楼层(共3层)  | 暂无数据,1人关注 / 9个月以前发布,378,"15,293元/平"
此房精装修，楼层很好，东户 楼间距大，随时看房,皇冠河滨园 -南开发区,3室2厅 | 135平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,82,"6,075元/平"
泰山脚下半山九里山景房，叠拼别墅,国悦半山九里 -体育中心,4室2厅 | 173平米 | 南 | 其他 | 低楼层(共4层)  | 暂无数据,1人关注 / 6个月以前发布,450,"26,012元/平"
市委广场西邻龙泽御园一二楼复式有院有车库车位,龍澤御園 -泰安市委,5室2厅 | 258平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,9人关注 / 一年前发布,635,"24,613元/平"
此房精装修，楼层很好，东户 楼间距大，随时看房,皇冠河滨园 -南开发区,3室2厅 | 135平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,82,"6,075元/平"
泰山脚下半山九里山景房，叠拼别墅,国悦半山九里 -体育中心,4室2厅 | 173平米 | 南 | 其他 | 低楼层(共4层)  | 暂无数据,1人关注 / 6个月以前发布,450,"26,012元/平"
天外村 岱下华庭 四室两厅两卫 电梯洋房 停车方便,岱下华庭 -天外村,4室2厅 | 160平米 | 南 北 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 2个月以前发布,450,"28,125元/平"
鲁商国际社区红郡 前后院子别墅 房产证满两年,鲁商国际社区 -方特大区,5室3厅 | 234平米 | 南 北 | 其他 | 3层  | 塔楼 | 双拼别墅 ,2人关注 / 一年前发布,460,"19,659元/平"
东苑香墅，精装别墅，带家具家电，车库,東苑香墅 -方特大区,4室2厅 | 263平米 | 南 北 | 其他 | 低楼层(共4层)  | 暂无数据,0人关注 / 3个月以前发布,578,"21,978元/平"
泰安奥林匹克花园 5室2厅 南,泰安奥林匹克花园 -南开发区,5室2厅 | 183平米 | 南 | 其他 | 低楼层(共5层)  | 板塔结合,0人关注 / 一年前发布,248,"13,552元/平"
嘉和北区复式洋房，小区环境优美，出行交通便利,嘉和新城北区（河西多层） -南开发区,5室3厅 | 216平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,3人关注 / 一年前发布,248,"11,482元/平"
东湖公园 巨灵枫景苑6楼带阁楼 迎春 华伟 尚座国际,巨菱枫景园 -南湖公园,3室2厅 | 94平米 | 南 北 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,170,"18,086元/平"
高铁 复式碧桂园 精装修 随时看房,立丰苑 -岱岳区,4室2厅 | 210平米 | 南 北 | 其他 | 低楼层(共5层)  | 塔楼,0人关注 / 1个月以前发布,155,"7,381元/平"
紫郡山水逸景 精装修六楼带阁楼 带车位配房 观山露台,紫郡 -方特大区,5室3厅 | 135平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,338,"25,038元/平"
五矿精装别墅 70年大产权 免大税 双车库带家具家电,五矿·万境水岸 -南开发区,5室3厅 | 230平米 | 南 北 | 其他 | 3层  | 暂无数据 | 联排别墅 ,3人关注 / 一年前发布,560,"24,348元/平"
花园洲 一楼带院 精装修  双校,花园洲 -岱岳区区委,4室2厅 | 172平米 | 南 北 | 其他 | 低楼层(共5层)  | 暂无数据,7人关注 / 9个月以前发布,270,"15,698元/平"
鲁商国际社区别墅 70年产权 240㎡+ 满两年 看房方便,鲁商国际社区 -方特大区,5室2厅 | 238平米 | 南 北 | 其他 | 3层  | 暂无数据 | 双拼别墅 ,0人关注 / 一年前发布,630,"26,471元/平"
新儿童医院 奥林匹克花园，配房 免大税 低公摊,泰安奥林匹克花园 -南开发区,4室2厅 | 200平米 | 南 北 | 其他 | 低楼层(共5层)  | 板塔结合,1人关注 / 7个月以前发布,275,"13,750元/平"
四联排别墅 毛坯房可随意装修带小院菜地 适合养老休闲,蓝岸别墅 -南开发区,5室3厅 | 211.58平米 | 南 北 | 其他 | 3层  | 暂无数据 | 独栋别墅 ,1人关注 / 4个月以前发布,190,"8,981元/平"
碧桂园黄金时代现房 五室两厅两厨双阳台 大平墅,碧桂园·黄金时代 -高铁新区,5室2厅 | 281平米 | 南 北 | 其他 | 低楼层(共31层)  | 暂无数据,3人关注 / 6个月以前发布,270,"9,609元/平"
恒大城 二次精装两室 免大税 五岳风华 爱琴海老街,恒大城 -高铁新区,2室2厅 | 74平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,1人关注 / 8个月以前发布,64,"8,649元/平"
凤栖湾 长城路 带阁楼 车库车位配房 满五唯一,凤栖湾小区 -南开发区,3室2厅 | 130.37平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 8个月以前发布,135,"10,356元/平"
金科桃花源一期联排别墅 精装 满二年 带车位 上下四层,金科桃花源 -彩石溪,4室3厅 | 210平米 | 南 北 | 其他 | 3层  | 暂无数据 | 双拼别墅 ,0人关注 / 3个月以前发布,458,"21,810元/平"
联排电梯别野 有证 有钥匙 好户型 诚心出售,山和院子 -彩石溪,5室2厅 | 300.73平米 | 南 | 毛坯 | 低楼层(共4层)  | 暂无数据,0人关注 / 3个月以前发布,800,"26,602元/平"
牡丹花园 检察院的宿舍 住的都是卫生局和检察院的,牡丹花园 -国际会展中心,4室2厅 | 220.5平米 | 南 | 其他 | 中楼层(共5层)  | 暂无数据,4人关注 / 一年前发布,455,"20,635元/平"
泰山脚下 精装未住 带阁楼 车位，储藏室  观山三室,容郡国际 -体育中心,3室2厅 | 142平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,258,"18,170元/平"
麓秀易居 府前街北 东临泮河西路 西临府东路,麓秀易居 -岱岳区区委,4室3厅 | 103.8平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 4个月以前发布,167,"16,089元/平"
普照寺菜篮子宿舍，好楼层，有证，有集中供暖,菜篮子科技园宿舍 -红门,3室2厅 | 121.56平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 3个月以前发布,236,"19,415元/平"
鲁商国际社区 毛坯别墅 满两年 小区底价房 看房方便,鲁商国际社区 -方特大区,5室3厅 | 238平米 | 南 北 | 其他 | 3层  | 暂无数据 | 双拼别墅 ,2人关注 / 9个月以前发布,500,"21,009元/平"
普照嘉苑带阁楼电梯房 好停车北 实双带露台,普照嘉苑 -红门,3室2厅 | 99平米 | 南 北 | 其他 | 高楼层(共6层)  | 塔楼,0人关注 / 2个月以前发布,260,"26,263元/平"
底上三层，*大空间，依山傍水，稀有大院子,国悦府 -泰安市委,5室3厅 | 97平米 | 南 北 | 其他 | 低楼层(共5层)  | 暂无数据,8人关注 / 一年前发布,460,"47,423元/平"
和园 好楼层 复式 毛坯 满二 追求品质生活的看过来,开元盛世和园B区 -泮河景区,4室2厅 | 144平米 | 南 北 | 毛坯 | 中楼层(共23层)  | 板塔结合,0人关注 / 6个月以前发布,150,"10,417元/平"
近山板块环山路 六楼+阁楼，电梯洋房南北通透,慧源福地 -体育中心,3室2厅 | 138.44平米 | 北 南 | 毛坯 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,205,"14,808元/平"
金科桃花源 一楼带负一  院子130平 带车位 精装未住,金科桃花源 -彩石溪,2室2厅 | 88.58平米 | 南 北 | 其他 | 上叠(共2层)  | 暂无数据 | 叠拼别墅 ,4人关注 / 一年前发布,260,"29,352元/平"
金科桃花源 联排 免大税 院子90平 车位两个 上下四层,金科桃花源 -彩石溪,4室2厅 | 217平米 | 南 北 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 2个月以前发布,370,"17,051元/平"
此房产权清晰，毛坯，南北 通透，采光充足，配套齐全,山和院子 -彩石溪,5室6厅 | 359.12平米 | 南 北 | 精装 | 低楼层(共3层)  | 暂无数据,1人关注 / 5个月以前发布,1600,"44,554元/平"
和园 好楼层 复式 毛坯 满二 追求品质生活的看过来,开元盛世和园B区 -泮河景区,4室2厅 | 144平米 | 南 北 | 毛坯 | 中楼层(共23层)  | 板塔结合,0人关注 / 6个月以前发布,150,"10,417元/平"
普照嘉苑带阁楼电梯房 好停车北 实双带露台,普照嘉苑 -红门,3室2厅 | 99平米 | 南 北 | 其他 | 高楼层(共6层)  | 塔楼,0人关注 / 2个月以前发布,260,"26,263元/平"
