标题,开发商,房子信息,发布信息,售价/万,单价
青年路碱泉街兵二日月星光地暖电梯复式采光好人车分流,日光小区 -青年路,4室3厅 | 234.2平米 | 南 北 | 简装 | 高楼层(共13层)  | 板楼,12人关注 / 一年前发布,178,"7,601元/平"
精装三室 楼层好 房子可以拎包入住,幸福花园六期 -天山区,3室1厅 | 104.68平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,83.9,"8,015元/平"
新市区拎包入住采光充足，地理位置方便。,汇展花园小区 -医学院,3室2厅 | 91平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,72,"7,913元/平"
新疆大学北校区北院 2室1厅 西北 北,新疆大学北校区北院 -油运司,2室1厅 | 56平米 | 西北 北 | 简装 | 中楼层(共6层)  | 暂无数据,2人关注 / 11个月以前发布,41,"7,322元/平"
新疆大学北校区北院 2室1厅 西北 北,新疆大学北校区北院 -油运司,2室1厅 | 56平米 | 西北 北 | 简装 | 中楼层(共6层)  | 暂无数据,2人关注 / 11个月以前发布,41,"7,322元/平"
新天润 电梯大平层  空间大 精装修 三卫 无抵押,新天润三期蓝郡 -新天润,3室2厅 | 170.79平米 | 南 北 | 精装 | 中楼层(共11层)  | 暂无数据,0人关注 / 一年前发布,185,"10,833元/平"
晨光花园南区;复式楼6楼精装修三室两厅两卫带晒台,晨光花园南区 -大湾,3室2厅 | 119.25平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,87,"7,296元/平"
天山区   幸福路   百信幸福苑二期,百信幸福苑二期 -幸福路,3室2厅 | 106.74平米 | 东 西 | 简装 | 低楼层(共7层)  | 板楼,1人关注 / 8个月以前发布,158,"14,803元/平"
新市区 北京路 通嘉世纪城 南北通透,通嘉世纪城3期 -新天润,2室2厅 | 86.36平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,63,"7,296元/平"
房子标准户型  中间楼层 采光好,辰园小区 -新天润,2室2厅 | 106.66平米 | 东 西 | 精装 | 中楼层(共5层)  | 暂无数据,1人关注 / 一年前发布,78,"7,313元/平"
新市区北京路 地铁口 新天润五期澜岸 精装修 拎包入住,新天润五期澜岸 -新天润,3室2厅 | 119.52平米 | 南 北 | 精装 | 中楼层(共9层)  | 板楼,1人关注 / 11个月以前发布,125,"10,459元/平"
新市区 北京路 地铁口 新天润 电梯房 全明户型,洛林郡 -新天润,3室2厅 | 121.59平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,5人关注 / 一年前发布,120,"9,870元/平"
有色金鑫花园二期 2室1厅 南,有色金鑫花园二期 -喀什东路,2室1厅 | 98平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,6人关注 / 一年前发布,75,"7,654元/平"
北门文艺路 工会家属院 院内停车方便随时看房采光佳,文艺路工会家属院 -北门,2室1厅 | 75.03平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,1人关注 / 8个月以前发布,135,"17,993元/平"
电梯中层精装两室，带家具家电，可拎包入住,和兴嘉苑 -喀什东路,2室2厅 | 93.62平米 | 西 | 精装 | 中楼层(共18层)  | 板楼,34人关注 / 一年前发布,75,"8,012元/平"
特变水木尚城102㎡精装南北通透明厨明卫,特变水木尚城 -天汇汽车城,2室2厅 | 101.98平米 | 南 北 | 精装 | 中楼层(共12层)  | 板楼,1人关注 / 一年前发布,73.5,"7,208元/平"
友好 两室一厅 南北朝向 拎包入住,贸易公司家属院 -友好,2室1厅 | 60.44平米 | 南 北 | 简装 | 低楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,72,"11,913元/平"
蓝调B区朝南边户 精装两室 带家具家电 首付仅需15万,蓝调一品B区 -美居,2室1厅 | 45.15平米 | 南 | 精装 | 低楼层(共19层)  | 塔楼,1人关注 / 一年前发布,57,"12,625元/平"
两室，好户型，小区绿化好，交通便利，中式装修,中海云鼎大观一期 -红光山,2室2厅 | 92.34平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 4个月以前发布,105,"11,372元/平"
河北路创新广场旁精装两室，业主诚心出售。,呈信朗悦盛境小区 -创新广场,2室1厅 | 80.16平米 | 东 西 | 简装 | 低楼层(共6层)  | 暂无数据,3人关注 / 8个月以前发布,73,"9,107元/平"
赛博特旁万科金域华府2室精装带部分家具家电。,金域华府一期 -长春路,2室1厅 | 88.39平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 一年前发布,93.5,"10,579元/平"
三中家属院 2室1厅 东 西,三中家属院 -友好,2室1厅 | 70.19平米 | 东 西 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,73,"10,401元/平"
单价8300新市区鲤鱼山路与苏州路交汇处百商国际,百商国际 -美居,2室2厅 | 90.3平米 | 西 | 简装 | 中楼层(共25层)  | 板塔结合,0人关注 / 6个月以前发布,75,"8,306元/平"
博雅文轩 2室2厅 南 北,博雅文轩 -医学院,2室2厅 | 106.7平米 | 南 北 | 精装 | 中楼层(共11层)  | 暂无数据,1人关注 / 11个月以前发布,100.7,"9,438元/平"
兰乔圣菲联排别墅，前排无遮挡，视野开阔,兰乔圣菲 -西山,3室2厅 | 142.82平米 | 南 北 | 毛坯 | 3层  | 暂无数据 | 联排别墅 ,5人关注 / 一年前发布,240,"16,805元/平"
珠江路口百商百乐苑三期精装修标准户型 通透,百商百乐苑三期 -仓房沟,3室2厅 | 112.25平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,1人关注 / 8个月以前发布,79,"7,038元/平"
瑞祥花苑 2室2厅 南 北,瑞祥花苑 -喀什东路,2室2厅 | 77.94平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,50,"6,416元/平"
瑞祥花园一楼93平精装修大三室低价出售,瑞祥花苑 -喀什东路,3室2厅 | 93.9平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 一年前发布,77.5,"8,254元/平"
旁边就是独好游园生活娱乐一站到齐,轮胎厂小区 -喀什东路,2室1厅 | 60.69平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 一年前发布,40,"6,591元/平"
精装婚房，业主急售，配套齐全成熟小区,金鑫花园 -喀什东路,2室2厅 | 87.4平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,1人关注 / 一年前发布,73,"8,353元/平"
新市区喀什东路有色金鑫花园好房出售,有色金鑫花园二期 -喀什东路,2室2厅 | 94.34平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,1人关注 / 一年前发布,78,"8,268元/平"
房子格局好，位置好，业主急售！,新明小区北苑 -机场,1室1厅 | 56平米 | 南 | 简装 | 中楼层(共5层)  | 板塔结合,0人关注 / 一年前发布,38,"6,786元/平"
西岸雅轩北区 两室 楼层好 户型通透 拎包即住,西岸雅轩北区 -西山,2室1厅 | 67.74平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,53,"7,825元/平"
沙区BRT车站旁，怡和山庄精装两室，门口农贸市场,华美怡和山庄 -西山,2室2厅 | 75平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,52.1,"6,947元/平"
业主急售！2010地暖房  全屋朝南采光好 低楼层 0 公摊,和兴嘉苑 -喀什东路,2室1厅 | 73.91平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 一年前发布,61.5,"8,321元/平"
维斯特 东旭紫金苑 两室 户型方正 采光好,东洵紫金苑 -水磨沟区,2室2厅 | 81.46平米 | 南 | 简装 | 低楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,74,"9,085元/平"
瑞祥花苑，采光好，地段好，南北通透，出行便利,瑞祥花苑 -喀什东路,2室2厅 | 79.7平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,52,"6,525元/平"
瑞祥花苑 2室2厅 南 北,瑞祥花苑 -喀什东路,2室2厅 | 77.94平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,50,"6,416元/平"
南湖商圈 一室一厅 好房诚意出售！,恒翠花园 -南湖广场,1室1厅 | 48.52平米 | 西南 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,42,"8,657元/平"
电梯小洋房6层一梯两户南北通透有地下室挑高3米,彩云名邸 -商贸城,3室2厅 | 124.04平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,184.3,"14,859元/平"
此房满五，高楼层视野宽广，干净整洁,米东新城二期 -天汇汽车城,3室2厅 | 119.88平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,75,"6,257元/平"
精装.房子户型好. 交通方便.小区安静,华凌公寓 -南湖广场,2室2厅 | 101.1平米 | 西南 西 | 精装 | 中楼层(共32层)  | 暂无数据,1人关注 / 一年前发布,125,"12,364元/平"
乌市水磨沟区-昆仑东街-恒昌恒晟小区,恒昌恒晟小区 -南湖广场,2室2厅 | 88.32平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,9人关注 / 一年前发布,78,"8,832元/平"
荷兰小镇82平米两室 42万拎包入住,荷兰小镇二期 -天汇汽车城,2室1厅 | 82.27平米 | 南 | 简装 | 高楼层(共18层)  | 板楼,1人关注 / 3个月以前发布,42,"5,106元/平"
米东三期多层三楼，带地下室，产证在手,米东新城三期 -天汇汽车城,2室2厅 | 87.65平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,62,"7,074元/平"
新华凌旁，博格达城，精装大三居，格局鲜明,双宇博格达城 -天汇汽车城,3室2厅 | 146.69平米 | 南 | 精装 | 低楼层(共17层)  | 塔楼,1人关注 / 一年前发布,135,"9,204元/平"
实拍 可议价 高档小区 和枫雅居 南北通透三室全明户型,和枫雅居 -文化宫,3室2厅 | 120.02平米 | 南 北 | 精装 | 中楼层(共22层)  | 板塔结合,5人关注 / 一年前发布,144.8,"12,065元/平"
荷兰小镇二期电梯小高层中装两室卫生间带窗户,荷兰小镇二期 -天汇汽车城,2室2厅 | 83.65平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 一年前发布,46,"5,500元/平"
水木多层5楼131平3室精装产证在手拎包住报98万,特变水木尚城 -天汇汽车城,3室2厅 | 131.4平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,98,"7,459元/平"
米东三期，多层一楼带花园，两室两厅一卫,米东新城三期 -天汇汽车城,2室2厅 | 91.19平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 一年前发布,62,"6,799元/平"
南湖广场 映象南湖一楼 精装修 2室2厅户型好,映象南湖 -南湖广场,2室2厅 | 91.02平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,9人关注 / 10个月以前发布,88,"9,669元/平"
荷兰小镇二期两室精装房，可拎包入住,荷兰小镇二期 -天汇汽车城,2室2厅 | 78.45平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,2人关注 / 一年前发布,42,"5,354元/平"
友好 金马花园 小两室 闹中取静 精装 拎包住,金马花园 -友好,2室2厅 | 79.64平米 | 西南 | 简装 | 中楼层(共14层)  | 板楼,4人关注 / 一年前发布,105,"13,185元/平"
百商百乐苑小区位置优越的83平米优质房,百商百乐苑 -珠江路,2室2厅 | 83.15平米 | 南 | 简装 | 6层  | 暂无数据,0人关注 / 6个月以前发布,67,"8,058元/平"
农工商家属院，单位房，无公摊，简装，好房,农工商家属院 -友好,2室1厅 | 52.66平米 | 东 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,42,"7,976元/平"
电熔爆小区 2室1厅 南 北,电熔爆小区 -友好,2室1厅 | 70.85平米 | 南 北 | 精装 | 低楼层(共7层)  | 板塔结合,6人关注 / 一年前发布,90,"12,703元/平"
克西街府城精装修通透户型视野开阔采光良好可拎包入住,天恒基府城花苑 -友好,2室2厅 | 97.24平米 | 南 | 精装 | 低楼层(共24层)  | 板楼,0人关注 / 一年前发布,120,"12,341元/平"
西北路电信小区南北通透大两室看房方便,电信小区 -友好,2室2厅 | 74.26平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,53,"7,138元/平"
农机小区 中间楼层 精装修 带全套家具家电 拎包住,农机小区 -友好,2室1厅 | 69.28平米 | 东 北 西 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,88,"12,703元/平"
交通好，位置好，房子采光好，离友好商场,农机小区 -友好,2室2厅 | 61.64平米 | 东 西 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,73,"11,843元/平"
友好劝业市场旁，石家园子家属院好房出售,石家园子家属院 -友好,3室1厅 | 105.68平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,4人关注 / 一年前发布,76,"7,192元/平"
盛大花园 2室2厅 东 西,盛大花园 -儿童村,2室2厅 | 74平米 | 东 西 | 毛坯 | 中楼层(共6层)  | 板塔结合,4人关注 / 一年前发布,64,"8,649元/平"
房子东向，大两室，装修不错，可以拎包入住。,新疆公路规划勘察设计院 -商贸城,2室2厅 | 98.05平米 | 东 | 精装 | 中楼层(共24层)  | 板塔结合,3人关注 / 一年前发布,110,"11,219元/平"
业主诚意出售 看房方便  欢迎来电详询！,汇珉园 -友好,2室1厅 | 66.26平米 | 东 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,64.5,"9,735元/平"
农机小区 中间楼层 精装修 带全套家具家电 拎包住,农机小区 -友好,2室1厅 | 69.28平米 | 东 北 西 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,88,"12,703元/平"
业主诚意出售 看房方便  欢迎来电详询！,汇珉园 -友好,2室1厅 | 66.26平米 | 东 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,64.5,"9,735元/平"
房子东向，大两室，装修不错，可以拎包入住。,新疆公路规划勘察设计院 -商贸城,2室2厅 | 98.05平米 | 东 | 精装 | 中楼层(共24层)  | 板塔结合,3人关注 / 一年前发布,110,"11,219元/平"
彩云名邸精装修三室两厅一厨两卫拎包入住,彩云名邸 -商贸城,3室2厅 | 131.39平米 | 南 北 | 精装 | 低楼层(共17层)  | 暂无数据,2人关注 / 9个月以前发布,209,"15,907元/平"
北京南路跟前的多层两居室离地铁较近,中核二一六小区 -小西沟,2室2厅 | 72.55平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,73,"10,063元/平"
双宇博格达城两室拎包入住，产证在手,双宇博格达城 -天汇汽车城,2室2厅 | 79.12平米 | 南 北 | 简装 | 高楼层(共17层)  | 塔楼,1人关注 / 11个月以前发布,44.8,"5,663元/平"
水磨沟区 公元南湖 2楼精装 好房出售,公元南湖 -水磨沟区,2室2厅 | 103.4平米 | 南 北 | 精装 | 低楼层(共13层)  | 板楼,2人关注 / 一年前发布,85,"8,221元/平"
米东新城五楼、采光好。房主急售,米东新城 -天汇汽车城,3室1厅 | 103平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 9个月以前发布,58.9,"5,719元/平"
米东区电梯间装两室低层区单面朝南。,荷兰小镇二期 -天汇汽车城,2室2厅 | 78.59平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 一年前发布,42,"5,345元/平"
米东区荷兰小镇一期 2室简装 拎包入住,荷兰小镇一期 -天汇汽车城,2室2厅 | 65.22平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,8人关注 / 一年前发布,38.5,"5,904元/平"
房子精装修 南北通透  小区绿化好 公摊小,新天润四期香颂 -新天润,3室2厅 | 120.25平米 | 南 北 | 精装 | 低楼层(共11层)  | 板塔结合,0人关注 / 7个月以前发布,113,"9,398元/平"
特变水木电梯精装两室中间楼层拎包入住有证,特变水木尚城 -天汇汽车城,2室1厅 | 90.59平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 4个月以前发布,65,"7,176元/平"
呈信铂晶湾 2室1厅 南 北,呈信铂晶湾 -创新广场,2室1厅 | 93.9平米 | 南 北 | 简装 | 低楼层(共25层)  | 板楼,0人关注 / 一年前发布,103,"10,970元/平"
水磨沟区-南湖-恒昌恒晟小区环境好,恒昌恒晟小区 -南湖广场,2室2厅 | 102.19平米 | 东 西 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,75,"7,340元/平"
水区 南湖 公元南湖小区   出售,公元南湖 -水磨沟区,2室2厅 | 103.12平米 | 南 西 | 简装 | 低楼层(共13层)  | 板楼,0人关注 / 5个月以前发布,90,"8,728元/平"
新市区政府旁 三室两卫精装 人车分流 交通便利 品质好,金茂城市花园 -创新广场,3室2厅 | 143.04平米 | 南 北 | 精装 | 低楼层(共28层)  | 板楼,10人关注 / 一年前发布,135,"9,438元/平"
新兴街红山公园近华凌市场中间楼层好房出售,祥泰社区工商局家属院 -红山公园,2室2厅 | 94.18平米 | 东 西 | 简装 | 中楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,82,"8,707元/平"
水区 南湖广场 映象南湖小区2室2厅精装 2楼,映象南湖 -南湖广场,2室2厅 | 98.32平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,2人关注 / 7个月以前发布,107,"10,883元/平"
新天润三期蓝郡电梯房小高层 南北户型,新天润三期蓝郡 -新天润,3室2厅 | 130.93平米 | 南 北 | 简装 | 低楼层(共11层)  | 暂无数据,1人关注 / 一年前发布,103,"7,867元/平"
2006年 地暖房 南北通透 标准户型 采光无遮挡,同心小区 -水磨沟区,2室2厅 | 105平米 | 南 北 | 简装 | 低楼层(共5层)  | 板楼,0人关注 / 一年前发布,89,"8,477元/平"
迪苑小区 精装修！！采光没问题 拎包入住!,迪苑小区 -水磨沟区,2室1厅 | 68.71平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,1人关注 / 5个月以前发布,50,"7,277元/平"
赛博特 鲤鱼山路 56中旁 御园世家 精装修装修领包入住,御园世家 -美居,3室2厅 | 104.68平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,5人关注 / 一年前发布,115,"10,986元/平"
电熔爆小区    楼层好  友好商圈,电熔爆小区 -友好,2室1厅 | 70.85平米 | 南 北 | 简装 | 低楼层(共7层)  | 板塔结合,1人关注 / 一年前发布,85,"11,998元/平"
天山区青年路日月星光花园碱泉街电梯房 户型方正,天府花园 -碱泉街,2室2厅 | 88.4平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,9人关注 / 一年前发布,65,"7,353元/平"
新市区喀什东路金鑫花园小两室可按揭,金鑫花园 -喀什东路,2室2厅 | 88.92平米 | 南 | 精装 | 高楼层(共20层)  | 板楼,1人关注 / 一年前发布,76,"8,548元/平"
南湖 兽医站  精装 小两室 低楼层,动检所家属院 -未知商圈,2室1厅 | 64.7平米 | 南 北 | 精装 | 中楼层(共4层)  | 暂无数据,3人关注 / 8个月以前发布,58,"8,965元/平"
呈祥庭院 两室两厅 交通方便 南北,呈祥庭院 -小西沟,2室2厅 | 88.67平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,2人关注 / 一年前发布,87,"9,812元/平"
南湖广场华凌公馆精装电梯房拎包入住,华凌公馆 -南湖广场,3室1厅 | 101.38平米 | 南 北 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 3个月以前发布,130,"12,824元/平"
水木尚城130平，小高层，南北通透，拎包入住。,特变水木尚城 -天汇汽车城,3室2厅 | 130平米 | 南 北 | 精装 | 高楼层(共12层)  | 板楼,1人关注 / 一年前发布,89.8,"6,908元/平"
铁路局二宫体育馆旁奥林小区南北通透标户四楼两室,奥林匹克花园 -二宫,2室2厅 | 76.4平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,65,"8,508元/平"
安置小区81平米两室，南北通透，房主着急出手,安置小区 -德港万达,2室2厅 | 81.47平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,53,"6,506元/平"
党校家属院   出行便利   配套齐全,前进路251号自治区党校住宅 -北门,2室1厅 | 62.9平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,176,"27,981元/平"
操场巷小区 3室2厅 南 北,操场巷小区 -北门,3室2厅 | 112平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,2人关注 / 一年前发布,200,"17,858元/平"
房东诚心诚意出售迎宾路两室两厅精装房,钢化小区 -机场,2室2厅 | 90.06平米 | 东 西 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,67,"7,440元/平"
独门独院别墅带车库前后私家花园精装修新中式风格,歌林和院 -未知商圈,5室2厅 | 297.77平米 | 南 北 | 精装 | 低楼层(共2层)  | 暂无数据,3人关注 / 一年前发布,440,"14,777元/平"
喀什路精装低楼层宜居住，满五唯一,华美文轩家园 -喀什东路,3室2厅 | 117.54平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,95,"8,083元/平"
精装修南北通透 全明户型 标准户型带车位采光好,特变水木尚城 -天汇汽车城,3室2厅 | 104.77平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,1人关注 / 11个月以前发布,86.8,"8,285元/平"
银川路世界名筑两室两厅，精装修，好房推荐，欢迎咨询,世界名筑 -医学院,2室2厅 | 102.73平米 | 南 | 简装 | 高楼层(共32层)  | 板楼,1人关注 / 10个月以前发布,105,"10,221元/平"
铁路局县医院友好商场地铁三号四号出站口美特花园精品,美特花园 -美居,3室2厅 | 118.94平米 | 南 北 | 简装 | 中楼层(共6层)  | 塔楼,2人关注 / 一年前发布,105,"8,828元/平"
铁路局金耀辉两室两厅  4楼87平米地暖,金耀辉小区 -铁路局,2室2厅 | 87.1平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,2人关注 / 一年前发布,73,"8,382元/平"
铁路局吐哈大厦旁小两室低 价出售,锦江苑小区 -铁路局,2室2厅 | 64.9平米 | 北 东 | 简装 | 高楼层(共7层)  | 板楼,18人关注 / 一年前发布,42,"6,472元/平"
六建家属院 视野开阔采光充足 配套设施齐全 交通便利,六建家属院 -医学院,2室1厅 | 82.54平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,74,"8,966元/平"
开发区 中亚路 安置小区 精装两室 户型好 采光充足,安置小区 -德港万达,2室1厅 | 83.3平米 | 东 西 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,68,"8,164元/平"
位置楼层好，装修精致，小复式洋楼出售,天顺祥居 -德港万达,2室2厅 | 100平米 | 南 北 | 精装 | 中楼层(共4层)  | 板楼,1人关注 / 6个月以前发布,70,"7,000元/平"
阿勒泰路水泵厂两居 南北通透可按揭！采光好刚需必备,汇芙园 -油运司,2室1厅 | 71.5平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,52.5,"7,343元/平"
北京路地铁口北京城小区交通便利,北京城花园小区 -植物园,2室2厅 | 73.6平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,60,"8,153元/平"
锦绣家园，户型方正，小区配套丰富，出行方便,锦绣家园 -水磨沟公园,2室2厅 | 89平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,58,"6,517元/平"
北京路地铁口北京城花园小区交通便利,北京城花园小区 -植物园,2室1厅 | 64.04平米 | 东 西 | 简装 | 低楼层(共6层)  | 板塔结合,4人关注 / 一年前发布,55,"8,589元/平"
诚意出售铁路局小2居，南北通透，中间楼层,新疆财经大学职工住宅楼 -二宫,2室1厅 | 72.14平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,53,"7,347元/平"
山 水 兰 亭 小 区 房 主 诚 心 出 售 ！,山水兰亭小区 -天山区,2室1厅 | 51.24平米 | 西南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,34,"6,636元/平"
新市区迎宾路莱茵庄园复式楼，带三个晒台,莱茵庄园 -机场,4室2厅 | 155.76平米 | 东南 | 毛坯 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,122,"7,833元/平"
水磨沟区南湖广场 汇祥小区 大平层 房屋出售,汇祥大厦 -南湖广场,3室1厅 | 173.55平米 | 南 北 | 简装 | 高楼层(共14层)  | 板塔结合,0人关注 / 2个月以前发布,133,"7,664元/平"
水磨沟区 公元南湖 2室 好房出售,公元南湖 -水磨沟区,2室2厅 | 103.88平米 | 东 南 | 精装 | 中楼层(共13层)  | 板楼,1人关注 / 9个月以前发布,89.5,"8,616元/平"
水磨沟 公园南湖 2室好房出售,公元南湖 -水磨沟区,2室2厅 | 103.4平米 | 南 | 精装 | 低楼层(共13层)  | 板楼,2人关注 / 一年前发布,94,"9,091元/平"
水磨沟区南湖 恒晟小区 3楼 好房出售,恒昌恒晟小区 -南湖广场,2室2厅 | 101.63平米 | 东 西 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,81,"7,971元/平"
水磨沟区南湖 恒晟花园 67平 房屋出售,恒昌恒晟小区 -南湖广场,2室1厅 | 67.68平米 | 东 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 7个月以前发布,59.9,"8,851元/平"
水磨沟区 南湖 恒晟小区 96平米 房屋出售,恒昌恒晟小区 -南湖广场,2室2厅 | 96.9平米 | 东 西 | 简装 | 高楼层(共6层)  | 板楼,6人关注 / 一年前发布,75,"7,740元/平"
水磨沟区六道湾 公元南湖天境 两室 电梯公寓 出售,公元南湖天境 -水磨沟公园,2室2厅 | 94.57平米 | 南 北 | 简装 | 中楼层(共23层)  | 板楼,0人关注 / 一年前发布,86,"9,094元/平"
农大旁边 美和苑 高层3室 精装 南北 标户 拎包住,美和苑 -儿童村,2室2厅 | 110.67平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,2人关注 / 一年前发布,102,"9,217元/平"
地处繁华的二毛商圈，生活，交通便利。,博雅文轩 -医学院,2室2厅 | 87.16平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,1人关注 / 一年前发布,86,"9,867元/平"
双宇博格达城精装两室，拎包入住，产证齐全,双宇博格达城 -天汇汽车城,2室2厅 | 94.66平米 | 南 北 | 精装 | 高楼层(共17层)  | 塔楼,0人关注 / 8个月以前发布,55,"5,811元/平"
业主诚心诚意出售好楼层的房子。,祥通小区 -德港万达,2室1厅 | 75.17平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 7个月以前发布,56,"7,450元/平"
出售 新市区 鲤鱼山路花田小镇旁天悦龙庭精装修两室！,天悦龙庭 -美居,2室2厅 | 88.02平米 | 南 | 精装 | 高楼层(共20层)  | 塔楼,2人关注 / 7个月以前发布,78,"8,862元/平"
米东新城三期、小两室 南北通透 产证在手,米东新城三期 -天汇汽车城,2室1厅 | 74.63平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,53,"7,102元/平"
青年路，碱泉街，月光小区，南北通透，视野宽阔。,月光小区 -青年路,2室1厅 | 69.64平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 8个月以前发布,62,"8,903元/平"
天山区 北门 职业资深顾问，让您安家又放心。,发改委家属院 -人民广场,2室2厅 | 74.16平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,5人关注 / 一年前发布,90,"12,136元/平"
天山区北门健康路人民广场徕远花园电梯高层三室,徕远花园 -北门,3室2厅 | 154.26平米 | 东 | 精装 | 高楼层(共32层)  | 塔楼,1人关注 / 一年前发布,280,"18,152元/平"
