标题,开发商,房子信息,发布信息,售价/万,单价
精装修3房 视野开阔 南北通透 省心省力省时间,香榭丽舍 -风景城邦商圈,3室1厅 | 98.62平米 | 南 北 | 精装 | 14层  | 板塔结合,0人关注 / 6天以前发布,83,"8,417元/平"
南京东句容碧桂园凤凰城翰林湾92.47平3房2厅一厨一卫,碧桂园凤凰城翰林湾 -碧桂园凤凰城,3室2厅 | 92.47平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,1人关注 / 3个月以前发布,65,"7,030元/平"
南京东 近地铁 配套齐全 交通便利,黄梅新村西区 -碧桂园凤凰城,3室2厅 | 106.22平米 | 南 | 毛坯 | 低楼层(共7层)  | 塔楼,3人关注 / 一年前发布,55,"5,178元/平"
S6轻轨站口 凤凰城大3房精装交付 满二年急卖,碧桂园凤凰城 -碧桂园凤凰城,2室2厅 | 112.35平米 | 南 | 精装 | 中楼层(共29层)  | 塔楼,17人关注 / 一年前发布,71,"6,320元/平"
配套实施齐全，生活便利，交通方便，成熟小区。,朴园上观 -万达商圈,1室0厅 | 46平米 | 南 | 精装 | 中楼层(共27层)  | 塔楼,0人关注 / 6天以前发布,43,"9,348元/平"
此房证满税少，新装修，有阁楼，采光佳,港中新村三区 -大港新区,2室1厅 | 75平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,3人关注 / 5个月以前发布,27,"3,600元/平"
地铁口好房 三房两卫 双阳台 近菜市场,碧桂园凤凰城 -碧桂园凤凰城,3室2厅 | 108平米 | 东南 | 简装 | 低楼层(共26层)  | 暂无数据,0人关注 / 9天以前发布,100,"9,260元/平"
此房三室两厅两卫一厨   格局好  采光好  视野好,碧桂园凤凰城翰林湾 -碧桂园凤凰城,3室2厅 | 134平米 | 南 | 精装 | 低楼层(共30层)  | 塔楼,1人关注 / 9天以前发布,105,"7,836元/平"
万达茂交通方便  满2年 有钥匙,仙林首望城 -宝华商圈,3室2厅 | 89.39平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,6人关注 / 一年前发布,98,"10,964元/平"
碧桂园凤凰城翰林湾 3室2厅 南,碧桂园凤凰城翰林湾 -碧桂园凤凰城,3室2厅 | 123.27平米 | 南 | 简装 | 高楼层(共24层)  | 塔楼,1人关注 / 4个月以前发布,80,"6,490元/平"
汤山东黄梅新村106平三房含23平米朝南大车库 视野开阔,黄梅新村东区 -碧桂园凤凰城,3室2厅 | 106.22平米 | 南 | 毛坯 | 高楼层(共7层)  | 板塔结合,3人关注 / 一年前发布,48,"4,519元/平"
南京东 刚需必看 黄梅新村东区三房 近菜场,黄梅新村东区 -碧桂园凤凰城,3室1厅 | 107.51平米 | 南 北 | 简装 | 低楼层(共7层)  | 塔楼,0人关注 / 6个月以前发布,59,"5,488元/平"
精装婚房，高楼层采光无限，视野好，改善型大四房。,碧桂园凤凰城凤鸣苑 -碧桂园凤凰城,4室2厅 | 166.01平米 | 南 | 精装 | 高楼层(共29层)  | 塔楼,22人关注 / 一年前发布,116,"6,988元/平"
环境优美 交通便利 采光好 楼间距大 物业好,碧桂园仙林东郡 -宝华商圈,2室1厅 | 84.28平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,14人关注 / 一年前发布,77,"9,137元/平"
碧桂园凤凰城凤鸣苑268大平层，中间楼层采光辣眼,碧桂园凤凰城凤鸣苑 -碧桂园凤凰城,4室2厅 | 267.32平米 | 东南 南 | 精装 | 中楼层(共29层)  | 塔楼,35人关注 / 一年前发布,185,"6,921元/平"
仙林东   濠峰星钻  户型方正  交通便利   采光好,濠锋星钻 -宝华商圈,2室2厅 | 83.04平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,1人关注 / 5个月以前发布,69,"8,310元/平"
店长强烈推荐  大市口商圈  地段好 楼层好  捡漏价,九洲花园 -大市口商圈,4室2厅 | 155.69平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,12人关注 / 一年前发布,128,"8,222元/平"
南京东  近地铁  业主精装三房  满两年,黄梅新村中区 -碧桂园凤凰城,3室2厅 | 106.22平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,68,"6,402元/平"
小区北边就是江苏大学，地理位置较佳,学林雅郡 -学府路商圈,2室1厅 | 59.27平米 | 北 | 简装 | 低楼层(共15层)  | 塔楼,13人关注 / 一年前发布,38.5,"6,496元/平"
哇 碧桂园凤凰城居然有这样的房子,碧桂园凤凰城幸福里 -碧桂园凤凰城,3室2厅 | 88.83平米 | 南 | 精装 | 中楼层(共25层)  | 塔楼,0人关注 / 一年前发布,93.5,"10,526元/平"
城南新小区，近吾悦广场，交通好，吃喝玩乐购一体化,御东国际 -句容市区,3室1厅 | 88平米 | 北 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 8个月以前发布,81,"9,205元/平"
优质三房拎包入住，满二诚心出售,碧桂园凤凰城凤鸣苑 -碧桂园凤凰城,3室2厅 | 115.42平米 | 南 | 精装 | 高楼层(共28层)  | 塔楼,17人关注 / 10个月以前发布,66.7,"5,779元/平"
翰林距离地铁百米位置好，采光好，二次装修,碧桂园凤凰城翰林湾 -碧桂园凤凰城,3室2厅 | 133.71平米 | 南 北 | 精装 | 低楼层(共26层)  | 板楼,0人关注 / 2个月以前发布,92,"6,881元/平"
碧桂园凤凰城翰林湾 3室2厅 南,碧桂园凤凰城翰林湾 -碧桂园凤凰城,3室2厅 | 91.4平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,0人关注 / 13天以前发布,80,"8,753元/平"
满二，视野开阔，采光很好，产权清晰,碧桂园凤凰城翰林湾 -碧桂园凤凰城,3室1厅 | 91.4平米 | 南 北 | 精装 | 中楼层(共32层)  | 塔楼,1人关注 / 4个月以前发布,65,"7,112元/平"
小区环境好配套设施完善交通出行方便,泰达青筑 -宝华商圈,3室2厅 | 109.33平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,14人关注 / 一年前发布,96,"8,781元/平"
精装三房 交通便利 生活方便 随时看房,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,3室2厅 | 94.63平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 10个月以前发布,73,"7,715元/平"
视野开阔，采光充足，配套齐全，交通便利,碧桂园保利时代天汇 -句容市区,3室2厅 | 100.2平米 | 南 | 精装 | 低楼层(共32层)  | 暂无数据,0人关注 / 一年前发布,109.8,"10,959元/平"
碧桂园凤凰城星悦湾 4室2厅 南,碧桂园凤凰城星悦湾 -碧桂园凤凰城,4室2厅 | 127平米 | 南 | 其他 | 高楼层(共33层)  | 塔楼,0人关注 / 16天以前发布,110,"8,662元/平"
汤山东 碧桂园凤凰城凤雅苑 苏州园林风 绿化好,碧桂园凤凰城 -碧桂园凤凰城,3室2厅 | 112.38平米 | 南 北 | 精装 | 高楼层(共29层)  | 塔楼,13人关注 / 9个月以前发布,69,"6,140元/平"
二次精装修地铁口小区，三房设计可拎包入住,碧桂园凤凰城翰林湾 -碧桂园凤凰城,3室2厅 | 122.9平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,1人关注 / 一年前发布,119,"9,683元/平"
彩虹城 3室1厅 南,彩虹城 -宝华商圈,3室1厅 | 81.99平米 | 南 | 其他 | 高楼层(共33层)  | 板楼,0人关注 / 10天以前发布,85,"10,368元/平"
世茂香樟园大三房精装拎包入住89万诚意出售,世茂·香樟园 -句容市区,3室2厅 | 119.9平米 | 南 | 精装 | 低楼层(共16层)  | 板塔结合,1人关注 / 5个月以前发布,86,"7,173元/平"
精装修 有车库 户型方正 学  校  旁,金谷家园W区 -宝龙商圈,3室1厅 | 119.69平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,6人关注 / 8个月以前发布,88,"7,353元/平"
碧桂园凤凰城柏丽湾精装修3房南北通透,碧桂园凤凰城柏丽湾 -碧桂园凤凰城,3室2厅 | 96平米 | 南 北 | 精装 | 中楼层(共30层)  | 塔楼,1人关注 / 1个月以前发布,65,"6,771元/平"
交通便利环境优美，视野开阔前后无遮挡,碧桂园凤凰城 -碧桂园凤凰城,3室2厅 | 136.26平米 | 南 | 毛坯 | 低楼层(共29层)  | 塔楼,41人关注 / 一年前发布,70,"5,138元/平"
此房证满税少，新装修，有阁楼，采光佳,港中新村三区 -大港新区,2室1厅 | 75平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,3人关注 / 5个月以前发布,27,"3,600元/平"
大市口商圈 苏宁旁边 腰刀巷4楼精装好房,腰刀巷 -大市口商圈,3室1厅 | 73.4平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,2人关注 / 一年前发布,148,"20,164元/平"
户型好，采光佳，配套齐，交通便,边城悦都荟 -丁卯商圈,4室2厅 | 65平米 | 南 | 毛坯 | 中楼层(共19层)  | 塔楼,2人关注 / 一年前发布,49.5,"7,616元/平"
翡翠华府二期 精装四房 满2年 跨居大阳台 拎包入住,碧桂园翡翠华府二期 -宝华商圈,4室1厅 | 142.74平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 2个月以前发布,154,"10,789元/平"
汤山东黄梅新村大三房128平米户型方正，诚意出售,黄梅新村中区 -碧桂园凤凰城,2室1厅 | 128平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 暂无数据,0人关注 / 5天以前发布,58,"4,532元/平"
南山下 远洋二期 6层电梯洋房 精装三室 设施齐全,远洋香奈河畔二期 -官塘商圈,3室2厅 | 102.59平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,93.8,"9,144元/平"
天波城 精装修 两房 拎包入住 配套齐全,国骅天波 -丹阳开发区商圈,2室2厅 | 87.75平米 | 南 | 简装 | 低楼层(共9层)  | 塔楼,0人关注 / 1个月以前发布,96.8,"11,032元/平"
黄山花园西区 3室1厅 南,黄山花园西区 -万达商圈,3室1厅 | 135.7平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,124,"9,138元/平"
裕隆雅居精装修三室两厅，房东没怎么住，领包入住,裕隆雅居 -丁卯商圈,3室2厅 | 116.75平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,100,"8,566元/平"
华南 华都锦城 大两室 格局好 简单装修 只要103.8万,华都锦城 -丹阳华南商圈,2室2厅 | 97平米 | 南 | 简装 | 低楼层(共28层)  | 板楼,0人关注 / 1个月以前发布,103.8,"10,702元/平"
欧洲城，154平，4室2厅2卫，二胎家庭的选择,欧洲城 -丹阳华南商圈,4室2厅 | 154平米 | 南 | 毛坯 | 高楼层(共27层)  | 暂无数据,0人关注 / 31天以前发布,135.8,"8,819元/平"
优山美地精装修 小高层 全天采光 随时看房,优山美地花园北区 -象山街办,3室2厅 | 108.81平米 | 南 | 精装 | 18层  | 板塔结合,0人关注 / 1个月以前发布,94,"8,639元/平"
此房精装修，楼层好，采光好，交通便捷,永隆城市广场 -丁卯商圈,4室2厅 | 139平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,139.5,"10,036元/平"
雅居乐涟山 3室1厅 南,雅居乐涟山 -南徐商圈,3室1厅 | 117.73平米 | 南 | 精装 | 中楼层(共27层)  | 塔楼,0人关注 / 1个月以前发布,125,"10,618元/平"
吾悦广场吃喝玩乐购一站式楼下就是沃德市民广场公园,沃得花园一期 -丁卯商圈,3室2厅 | 125.77平米 | 南 | 简装 | 高楼层(共8层)  | 板塔结合,0人关注 / 1个月以前发布,115,"9,144元/平"
润州花园  精装 三房 有独库 随时看房,润州花园一区 -万达商圈,3室1厅 | 108平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,92,"8,519元/平"
万科翡翠对   御桥嘉园1楼  开店自住均可,御桥嘉园 -市政府商圈,2室1厅 | 74.44平米 | 西南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 24天以前发布,70,"9,404元/平"
通透户型 格局好，楼层好，采光足，视野开阔，朝南.,彩虹城 -宝华商圈,3室1厅 | 86.3平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 24天以前发布,102,"11,820元/平"
仙林东  仙林印象山景洋房  精装修的楼层也很好,仙林印象 -宝华商圈,3室2厅 | 89平米 | 南 北 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 1个月以前发布,95,"10,675元/平"
三室两厅 楼层佳 采光好 户型优,山泽园 -象山街办,3室2厅 | 99平米 | 南 | 精装 | 低楼层(共31层)  | 板塔结合,0人关注 / 25天以前发布,100,"10,102元/平"
房东急售！城西 黄金花园东区 3室 精装修 有附房,黄金花园东区 -句容市区,3室2厅 | 108平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,0人关注 / 26天以前发布,70,"6,482元/平"
格局好，采光充足，四开间朝南，山景一览无遗 ！,碧桂园大学印象 -宝华商圈,4室2厅 | 142.87平米 | 南 | 精装 | 低楼层(共17层)  | 暂无数据,0人关注 / 31天以前发布,150,"10,500元/平"
恒大名都3-2-1-2 141.00m² 145.8 万,恒大名都 -丹阳城区商圈,3室2厅 | 141平米 | 南 北 | 精装 | 高楼层(共29层)  | 板塔结合,1人关注 / 1个月以前发布,125.8,"8,922元/平"
交通便利 成熟小区，生活方便，吃喝玩乐为一体,尚海花园（尚海茗苑） -象山街办,2室2厅 | 89.2平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 24天以前发布,72,"8,072元/平"
万达茂 近地铁 一线山景房 精装修 采光充足 家具家电,碧桂园大学印象 -宝华商圈,4室2厅 | 178平米 | 南 | 精装 | 高楼层(共25层)  | 暂无数据,0人关注 / 21天以前发布,198,"11,124元/平"
路劲横山郡124平中高层电梯房85万各付,路劲·横山郡 -丁卯商圈,4室2厅 | 124平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板塔结合,1人关注 / 1个月以前发布,84,"6,775元/平"
臻美源 清爽通透 光线好全明户型 有车库,臻美源 -市政府商圈,3室2厅 | 115.64平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,104,"8,994元/平"
生活交通方便，环境优美，配套齐全！房间布局很好,优山美地花园北区 -象山街办,3室2厅 | 130.7平米 | 东南 | 精装 | 18层  | 板塔结合,0人关注 / 21天以前发布,125,"9,564元/平"
吾悦华府123平3房两厅两卫售价135万,吾悦华府 -丹阳开发区商圈,3室2厅 | 122.32平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 31天以前发布,135,"11,037元/平"
合山居大平层 楼层佳采光好户型通透 合同过户随时看房,中南颐居·合山居 -红豆购物广场商圈,3室2厅 | 157.84平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板楼,0人关注 / 29天以前发布,159.8,"10,125元/平"
四季金辉 精装四房 户型方正 随时可看,四季金辉 -宝华商圈,4室2厅 | 107平米 | 南 北 | 精装 | 高楼层(共34层)  | 塔楼,0人关注 / 1个月以前发布,118,"11,029元/平"
龙山庄园 精装大三房 多层好楼层 房东诚意出售,龙山庄园 -风景城邦商圈,3室2厅 | 118.96平米 | 东南 | 精装 | 中楼层(共5层)  | 板塔结合,0人关注 / 30天以前发布,92,"7,734元/平"
此房满2年，户型格局好，紧挨南京,仙林悦城 -宝华商圈,3室1厅 | 82.96平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 28天以前发布,85,"10,246元/平"
通透户型 格局好，楼层好，采光足，视野开阔，朝南.,彩虹城 -宝华商圈,3室2厅 | 86.32平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 24天以前发布,96,"11,122元/平"
象山花园四期 4室1厅 南,象山花园四期 -红豆购物广场商圈,4室1厅 | 140.5平米 | 南 | 精装 | 高楼层(共20层)  | 暂无数据,0人关注 / 19天以前发布,100,"7,118元/平"
学府路 3、4上叠 户型方正  全明 通透 无任何遮挡,山泽园 -象山街办,5室2厅 | 209.96平米 | 南 | 毛坯 | 低楼层(共3层)  | 暂无数据,0人关注 / 19天以前发布,182,"8,669元/平"
台北上上城，精装多层三房，采光充足，户型方正!,台北上上城 -句容市区,3室2厅 | 109平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 26天以前发布,80,"7,340元/平"
凌家湾雅居优质好房源楼层好采光通风好,凌家湾雅居 -象山街办,3室2厅 | 99.89平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,74,"7,409元/平"
此房小区地理位置好，物业好 环境好.交通便利,孟诚尚美苑 -学府路商圈,3室2厅 | 99.8平米 | 南 东南 | 毛坯 | 低楼层(共28层)  | 板楼,0人关注 / 26天以前发布,53,"5,311元/平"
全新精装，全屋定制家具，视野宽阔，采光充足,上善雅苑 -丹阳华南商圈,3室2厅 | 122平米 | 南 | 精装 | 高楼层(共29层)  | 暂无数据,1人关注 / 22天以前发布,118.6,"9,722元/平"
此房楼层好，户型房正，采光佳，无遮挡,香江花城金桂苑 -红豆购物广场商圈,4室2厅 | 134平米 | 南 | 精装 | 低楼层(共16层)  | 板塔结合,0人关注 / 20天以前发布,143.5,"10,709元/平"
新上双地铁口 天正理想城 精装三房 拎包即住,天正理想城 -宝华商圈,3室2厅 | 86平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 22天以前发布,95,"11,047元/平"
桃花山庄 3室2厅 南,桃花山庄 -梦溪商圈,3室2厅 | 126平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 20天以前发布,108,"8,572元/平"
全新精装，全屋定制家具，视野宽阔，采光充足,上善雅苑 -丹阳华南商圈,3室2厅 | 122平米 | 南 | 精装 | 高楼层(共29层)  | 暂无数据,1人关注 / 22天以前发布,118.6,"9,722元/平"
此房楼层好，户型房正，采光佳，无遮挡,香江花城金桂苑 -红豆购物广场商圈,4室2厅 | 134平米 | 南 | 精装 | 低楼层(共16层)  | 板塔结合,0人关注 / 20天以前发布,143.5,"10,709元/平"
房子户型通透  业主诚心 方便看房,中南公园物语 -红豆购物广场商圈,4室2厅 | 133平米 | 南 | 毛坯 | 低楼层(共23层)  | 暂无数据,0人关注 / 21天以前发布,159,"11,955元/平"
珑悦府前排电梯洋房 精装修拎包即住 地暖空调新风俱全,珑悦苑 -丁卯商圈,4室1厅 | 128.78平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 23天以前发布,190,"14,754元/平"
学林雅郡 3室1厅 南,学林雅郡 -学府路商圈,3室1厅 | 97平米 | 南 | 精装 | 中楼层(共6层)  | 塔楼,0人关注 / 17天以前发布,74,"7,629元/平"
新上双地铁口 天正理想城 精装三房 拎包即住,天正理想城 -宝华商圈,3室2厅 | 86平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,0人关注 / 22天以前发布,95,"11,047元/平"
家装 户型方正 宝龙商圈  看中议价,蘭天幸福城 -区政府商圈,3室2厅 | 113平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 26天以前发布,80,"7,080元/平"
桃花坞新村十区3-1-1-1 90.25m² 68 万,桃花坞新村十区 -梦溪商圈,3室1厅 | 90.02平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 18天以前发布,67,"7,443元/平"
精装三房，中间楼层，拎包入住，小王维护,远洋心里 -宝华商圈,3室1厅 | 88平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,0人关注 / 19天以前发布,85,"9,660元/平"
吾悦旁 永隆 楼层佳 格局好 满5 诚心出售,永隆城市广场 -丁卯商圈,2室1厅 | 97.95平米 | 南 | 简装 | 中楼层(共30层)  | 板塔结合,0人关注 / 25天以前发布,92.7,"9,465元/平"
一期精装自住，全屋地暖，四房两卫，翡翠华府,碧桂园翡翠华府 -宝华商圈,4室2厅 | 138平米 | 南 | 精装 | 中楼层(共11层)  | 暂无数据,0人关注 / 23天以前发布,168,"12,174元/平"
丁卯花园精装三房西边户全天采光,丁卯花园 -丁卯商圈,3室2厅 | 120.07平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,1人关注 / 8个月以前发布,80,"6,663元/平"
房东诚心出售紫竹苑3室1厅2卫精装修,紫竹苑小区 -大港新区,3室1厅 | 116平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,12人关注 / 一年前发布,56,"4,828元/平"
精装修，户型好，采光佳，业主急售,2077青年汇 -丁卯商圈,3室2厅 | 136.48平米 | 南 | 精装 | 高楼层(共30层)  | 暂无数据,0人关注 / 一年前发布,99.8,"7,313元/平"
楼层好 采光充足 配套设施齐全 交通便利 成熟小区,2077青年汇 -丁卯商圈,3室1厅 | 93.92平米 | 南 北 | 精装 | 低楼层(共11层)  | 暂无数据,1人关注 / 一年前发布,69.5,"7,400元/平"
此房满两年视野开阔采光充足配套设施齐配套齐全,京东紫晶 -宝华商圈,3室1厅 | 68.69平米 | 南 | 精装 | 高楼层(共35层)  | 塔楼,4人关注 / 8个月以前发布,80,"11,647元/平"
采光无遮挡，交通方便，靠欧尚，配套成熟。,京岘家园 -象山街办,2室1厅 | 83.51平米 | 东南 | 精装 | 中楼层(共28层)  | 板塔结合,1人关注 / 7个月以前发布,76.8,"9,197元/平"
此房全明 楼层好 采光好 交通便利,桃花坞十二区 -梦溪商圈,2室1厅 | 72.64平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 8个月以前发布,50,"6,884元/平"
江南人家3室2卫婚装独库设全采光佳户型好112.8万,江南人家 -丹阳城区商圈,3室2厅 | 120平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,2人关注 / 1个月以前发布,106.8,"8,900元/平"
此房证满，无增值税费，房东诚心出售，看房方便,海德公园 -大港新区,3室1厅 | 119.82平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板塔结合,0人关注 / 一年前发布,68,"5,676元/平"
视野宽阔 采光充足 交通便利 配套设施,名仕佳园 -丁卯商圈,3室2厅 | 132.4平米 | 南 北 | 精装 | 中楼层(共6层)  | 平房,1人关注 / 一年前发布,126,"9,517元/平"
小区新，电梯房年轻人老人都合适居住楼，配套齐全,万科金域蓝湾 -大港新区,3室2厅 | 108.86平米 | 南 | 精装 | 低楼层(共24层)  | 板塔结合,2人关注 / 11个月以前发布,85,"7,809元/平"
丁卯吾悦丁卯桥路，小区环境优美,丁卯桥路236号 -丁卯商圈,3室2厅 | 151.03平米 | 南 北 | 精装 | 中楼层(共5层)  | 板塔结合,6人关注 / 一年前发布,104,"6,887元/平"
：此房满2年，装修保养情况好，楼层好，采光好,恒大雅苑 -宝华商圈,3室2厅 | 111.02平米 | 南 北 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 8个月以前发布,110,"9,909元/平"
视野开阔，采光充足，配套设施相当完善，交通便利 。,常发广场住宅小区 -万达商圈,3室2厅 | 129.74平米 | 南 北 | 毛坯 | 中楼层(共29层)  | 暂无数据,6人关注 / 一年前发布,145,"11,177元/平"
翡翠华府 精装三房 好楼层 边户 诚心出售,碧桂园翡翠华府二期 -宝华商圈,3室2厅 | 115平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,8人关注 / 8个月以前发布,118,"10,261元/平"
新出仙林东郡户型方正三房 急卖,碧桂园仙林东郡 -宝华商圈,3室2厅 | 93.82平米 | 南 | 简装 | 中楼层(共32层)  | 板楼,0人关注 / 一年前发布,85,"9,060元/平"
城南地铁口，电梯洋房，业主精装带家具家电！,御东国际 -句容市区,3室1厅 | 88.9平米 | 南 北 | 精装 | 中楼层(共8层)  | 板塔结合,1人关注 / 5个月以前发布,85,"9,562元/平"
房已经满二，小区比较新，绿化高，人车分流安全,新城吾悦广场一期 -丁卯商圈,3室2厅 | 112.26平米 | 南 | 毛坯 | 低楼层(共34层)  | 板楼,0人关注 / 一年前发布,111,"9,888元/平"
：此房满2年，装修保养情况好，楼层好，采光好,恒大雅苑 -宝华商圈,3室2厅 | 111.02平米 | 南 北 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 8个月以前发布,110,"9,909元/平"
万达商圈，润洲花园一区，楼层好，采光充足，业主急售,润州花园一区 -万达商圈,2室2厅 | 107.12平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,98,"9,149元/平"
万达商圈 交通便利 视野开拓  精装修,万达广场公寓 -万达商圈,3室2厅 | 148.02平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,3人关注 / 一年前发布,152,"10,269元/平"
金山水城三区精装修3-1-1-2 130.00m² 89 万,金山水城三区 -创业园商圈,3室1厅 | 129.43平米 | 南 | 精装 | 中楼层(共25层)  | 板塔结合,0人关注 / 一年前发布,87,"6,722元/平"
城南地铁口，电梯洋房，业主精装带家具家电！,御东国际 -句容市区,3室1厅 | 88.9平米 | 南 北 | 精装 | 中楼层(共8层)  | 板塔结合,1人关注 / 5个月以前发布,85,"9,562元/平"
房已经满二，小区比较新，绿化高，人车分流安全,新城吾悦广场一期 -丁卯商圈,3室2厅 | 112.26平米 | 南 | 毛坯 | 低楼层(共34层)  | 板楼,0人关注 / 一年前发布,111,"9,888元/平"
底价好房，业主诚心出售，有意者联系,京岘山庄 -梦溪商圈,4室2厅 | 180平米 | 南 北 | 精装 | 高楼层(共5层)  | 板塔结合,0人关注 / 一年前发布,138.5,"7,695元/平"
视野开阔，采光充足，配套设施相当完善，交通便利 。,新城花园四区 -市政府商圈,3室2厅 | 129.93平米 | 南 | 毛坯 | 高楼层(共24层)  | 板塔结合,13人关注 / 一年前发布,108,"8,313元/平"
云开甲第中间楼层 3室2厅1厨1卫,云开甲第花园 -南徐商圈,3室2厅 | 102.63平米 | 南 | 精装 | 中楼层(共31层)  | 板塔结合,3人关注 / 一年前发布,115,"11,206元/平"
万科小高层3房2卫横厅东边户，户型视野采光好,万科沁园二期 -南徐商圈,3室2厅 | 124.92平米 | 南 东 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 一年前发布,136,"10,887元/平"
此房视野宽阔 采光充足 有电梯 空间大,沃得雅苑 -学府路商圈,3室2厅 | 134.2平米 | 南 | 精装 | 中楼层(共8层)  | 板塔结合,0人关注 / 1个月以前发布,113,"8,421元/平"
雅居乐涟山 123平130万 3室2厅2卫业主诚售！！,雅居乐涟山 -南徐商圈,3室2厅 | 123.02平米 | 南 北 | 毛坯 | 中楼层(共14层)  | 板塔结合,4人关注 / 一年前发布,118,"9,592元/平"
优山美地北区 精装三房 楼层好 采光全明 江苏大学旁,优山美地花园北区 -象山街办,3室2厅 | 118.12平米 | 南 | 精装 | 33层  | 板塔结合,6人关注 / 10个月以前发布,129.8,"10,989元/平"
美的城二区 毛胚房 100平 97.5万,美的城二区 -市政府商圈,3室2厅 | 99.24平米 | 南 | 毛坯 | 低楼层(共30层)  | 板楼,13人关注 / 一年前发布,91,"9,170元/平"
学府路上 生活方便 交通便利 成熟生活小区,世纪花园 -学府路商圈,3室2厅 | 120.19平米 | 南 | 简装 | 中楼层(共11层)  | 板塔结合,0人关注 / 8个月以前发布,81,"6,740元/平"
视野宽阔，采光充足，视野宽阔，采光充足,竹林山庄 -象山街办,3室2厅 | 114.82平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,80,"6,968元/平"
小区环境整洁，配套齐全，多路公交出行大润发实高江南,松盛花苑 -梦溪商圈,3室2厅 | 108.83平米 | 南 | 简装 | 高楼层(共7层)  | 板塔结合,0人关注 / 6个月以前发布,75,"6,892元/平"
中房光华雅居 三房两卫  有车库 有车位,中房光华雅居 -三茅宫商圈,3室2厅 | 129.33平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合,1人关注 / 一年前发布,117,"9,047元/平"
