标题,开发商,房子信息,发布信息,售价/万,单价
安德门商圈 银城物业 交通便利 楼层采光无遮挡,时光澔韵 -小行,3室2厅 | 113.54平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,5人关注 / 2个月以前发布,420,"36,992元/平"
瑞金北村 2室1厅 南,瑞金北村 -瑞金路,2室1厅 | 62.62平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,319,"50,943元/平"
3号线地铁100米 百家湖太阳城 金鹰 1912旁 看房有钥匙,百家湖西花园伦敦城 -百家湖,2室2厅 | 66.91平米 | 南 | 其他 | 中楼层(共18层)  | 板塔结合,6人关注 / 2个月以前发布,218,"32,582元/平"
长江隧道口 江北虹悦城旁 银城物业 采光好 视野宽阔,江佑铂庭 -江浦街道,2室2厅 | 83.32平米 | 南 | 简装 | 中楼层(共18层)  | 板楼,8人关注 / 3个月以前发布,230,"27,605元/平"
江北新区 低总价 环境好 年轻人居住 配套成熟 随时看,天润城第十四街区 -桥北,2室2厅 | 70.6平米 | 南 | 简装 | 中楼层(共18层)  | 板楼,21人关注 / 4个月以前发布,130,"18,414元/平"
五老村 大行宫 低总价非顶楼 两房,中山东路长白街小区 -五老村,2室1厅 | 65.64平米 | 西南 | 简装 | 高楼层(共7层)  | 板楼,25人关注 / 一年前发布,168,"25,595元/平"
双南户型  阳光无遮挡  精装修  二楼  有个露台,瑞金新村 -瑞金路,2室1厅 | 43.78平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,46人关注 / 11个月以前发布,205,"46,826元/平"
房子户型方正 采光充足 配套设施完善,威尼斯水城第十四街区 -桥北,2室2厅 | 88.15平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,160,"18,151元/平"
和昌湾景 3房 万科物业 中高层 采光视野好 不临街 急,和昌湾景 -板桥,3室2厅 | 88.18平米 | 南 | 毛坯 | 中楼层(共34层)  | 板楼,5人关注 / 7个月以前发布,179,"20,300元/平"
雨花新村二村 南北通透采光充足 装修好  楼层好,雨花新村二村 -雨花新村,2室1厅 | 46.15平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,60人关注 / 6个月以前发布,125,"27,086元/平"
毛坯可自己装修，好楼层。诚心卖。,华汇康城 -麒麟镇,2室2厅 | 83.75平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板塔结合,7人关注 / 5个月以前发布,149,"17,792元/平"
五老村，大行宫，新街口，低楼层总价低，朝南采光好,文昌巷 -五老村,2室1厅 | 37.83平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,16人关注 / 8个月以前发布,135,"35,686元/平"
户型方正，全明户型，采光好，总价低，90后房龄,瑞金北村 -瑞金路,2室1厅 | 47.9平米 | 东 | 简装 | 高楼层(共7层)  | 板楼,69人关注 / 一年前发布,180,"37,579元/平"
清河新寓唯一 双汇文 双南户型 东边户采光好,清河新寓二村 -凤凰西街,2室1厅 | 60.62平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,7人关注 / 5个月以前发布,420,"69,285元/平"
紫艺华府 暖气三房 环境优美 配套齐全,紫艺华府 -大厂,3室1厅 | 95平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,1人关注 / 6个月以前发布,148.5,"15,632元/平"
金象城 浦泰和天下一期 大两房 满五年唯一 诚售,浦泰和天下一期 -桥北,2室2厅 | 87.67平米 | 南 | 其他 | 中楼层(共20层)  | 塔楼,5人关注 / 8个月以前发布,155,"17,680元/平"
采光佳，简装，楼层位置好，业主诚心出售,奥克斯钟山府 -仙鹤门,3室2厅 | 88.49平米 | 南 北 | 简装 | 高楼层(共11层)  | 板楼,1人关注 / 2个月以前发布,330,"37,293元/平"
两房朝南全明户型，中间楼层户型方正采光好，居家装修,瑞金路二号四号小区 -瑞金路,2室1厅 | 57.26平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,13人关注 / 7个月以前发布,210,"36,675元/平"
摄山星城 2房好楼层 纯毛坯 户型全明 通风佳 诚售,摄山星城天佑苑 -栖霞其它,2室1厅 | 58.09平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,19人关注 / 3个月以前发布,79,"13,600元/平"
采光视野好， 一梯两户， 户型方正， 业主诚心出售,天润城第七街区 -桥北,2室2厅 | 86.42平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,7人关注 / 4个月以前发布,147,"17,010元/平"
香溢紫郡 精装修小三房，南北户型，业主诚意出售,新城香溢紫郡雅苑 -高新区,3室2厅 | 74.36平米 | 南 北 | 精装 | 低楼层(共34层)  | 板塔结合,6人关注 / 6个月以前发布,135,"18,155元/平"
精装两房 万科物业 人车分流 小区环境好,融侨观邸二期 -江浦街道,2室2厅 | 86.51平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,3人关注 / 7个月以前发布,215,"24,853元/平"
长虹路 双卧朝南 满五唯一 湖景房 诚心出售 带车棚,长虹路 -南湖,2室1厅 | 63.03平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,45人关注 / 8个月以前发布,180,"28,558元/平"
中间楼层 居家装修 有电梯 诚心出售,鸿意星城 -月牙湖,2室1厅 | 80.85平米 | 南 北 | 简装 | 中楼层(共10层)  | 板楼,19人关注 / 5个月以前发布,232,"28,696元/平"
三山街 中间楼层 居家装修 业主诚售 小区环境好,磨盘街 -来凤里,1室1厅 | 40.75平米 | 南 北 | 其他 | 中楼层(共5层)  | 板塔结合,13人关注 / 5个月以前发布,110,"26,994元/平"
S6旁 东郊小镇复式挑高 业主自住装修 通透,东郊小镇第八街区 -麒麟镇,2室1厅 | 51.23平米 | 东南 | 精装 | 高楼层(共9层)  | 板塔结合,13人关注 / 9个月以前发布,109,"21,277元/平"
南部新城 汇景和园 双南两居室 电梯房 中高层 视野好,汇景和园 -洪家园,2室1厅 | 61.95平米 | 南 | 毛坯 | 高楼层(共18层)  | 塔楼,19人关注 / 6个月以前发布,105,"16,950元/平"
满二毛坯，户型方正，中间楼层，业主诚心出售,朗诗青春街区 -禄口,3室2厅 | 75.77平米 | 南 北 | 毛坯 | 中楼层(共10层)  | 板塔结合,5人关注 / 一年前发布,96,"12,670元/平"
高楼层，开发商精装修，视野开阔，诚心卖！,雅居乐滨江国际三四期 -顶山街道,4室2厅 | 142.14平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,7人关注 / 一年前发布,540,"37,991元/平"
环境干净整洁 业主诚心出售 满五年,富康新村 -月牙湖,2室1厅 | 50.54平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合,11人关注 / 4个月以前发布,148,"29,284元/平"
一楼带院子 满五唯一 采光不挡 适合养花草宠物,东井村3号 -小市,2室1厅 | 68.02平米 | 南 | 精装 | 低楼层(共5层)  | 板塔结合,2人关注 / 2个月以前发布,220,"32,344元/平"
虎踞关  虎踞路 萍聚村 清凉山庄  大两房 双南,虎踞路86号 -宁海路,2室2厅 | 67.74平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,11人关注 / 2个月以前发布,385,"56,835元/平"
凤凰庄 1室1厅 南,凤凰庄 -汉中门大街,1室1厅 | 42.02平米 | 南 | 其他 | 中楼层(共5层)  | 板楼,2人关注 / 2个月以前发布,178,"42,361元/平"
地铁七号线 明尚西苑大两房 满五满二 首付三成公积金,明尚西苑 -岱山新城,2室1厅 | 76.14平米 | 南 北 | 简装 | 低楼层(共34层)  | 板楼,0人关注 / 1个月以前发布,132,"17,337元/平"
户型方正，采光好，近地铁，看房方便,明发滨江新城一期 -桥北,2室2厅 | 88.92平米 | 南 | 精装 | 中楼层(共12层)  | 板塔结合,7人关注 / 5个月以前发布,215,"24,180元/平"
西康路 北京西路 赤壁路 带有阁楼 独立小区 诚心出售,西康路 -宁海路,2室1厅 | 42.21平米 | 南 北 | 其他 | 高楼层(共5层)  | 板楼,28人关注 / 6个月以前发布,332,"78,655元/平"
满五年 两房户型，小区近定淮门公交站，定淮门菜市场,定淮门2号 -龙江,2室1厅 | 46.78平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,28人关注 / 5个月以前发布,112,"23,942元/平"
燕归园 中间楼层 南北户型 不临街 近地铁 靠菜场,燕归园 -金陵小区,2室1厅 | 51.16平米 | 南 | 其他 | 低楼层(共7层)  | 板楼,2人关注 / 5个月以前发布,133,"25,997元/平"
此房满五唯一 双南户型 采光无遮挡 三号线小市地铁口,小市街 -小市,2室1厅 | 64.03平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,9人关注 / 10个月以前发布,165,"25,770元/平"
此房满五唯一，南北通透格局，出新小区,康居里 -秦虹,2室1厅 | 62.73平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,163,"25,985元/平"
满五年 户型方正 南北通透 楼层好 采光充足 生活便利,天琪雅居 -百家湖,2室2厅 | 113.61平米 | 南 北 | 精装 | 中楼层(共12层)  | 板楼,35人关注 / 9个月以前发布,255,"22,446元/平"
不占 低楼层 双南一北经典三房 地铁口,百子亭 -玄武门,3室1厅 | 62.05平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,116人关注 / 10个月以前发布,340,"54,795元/平"
南京南站商圈精装修双龙嘉园小两室出售,双龙嘉园梅香路5号 -宁南,2室1厅 | 64.86平米 | 东南 | 其他 | 中楼层(共18层)  | 板楼,7人关注 / 7个月以前发布,198,"30,528元/平"
满五唯一 看房方便 业主诚心出售 付款方式没要求,天润城第十二街区 -桥北,2室1厅 | 70.59平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,1人关注 / 4个月以前发布,138,"19,550元/平"
小区环境好，不临街，楼层好，视野佳,东渡国际青年城 -东山镇,2室1厅 | 80.77平米 | 南 | 简装 | 高楼层(共25层)  | 板楼,64人关注 / 8个月以前发布,220,"27,238元/平"
金中 长江五桥 雨山路龙湖天街 小高层三房,金地格林格林 -江浦街道,3室2厅 | 85.83平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,71人关注 / 一年前发布,200,"23,302元/平"
小区环境好 一楼 不占用 封闭式小区 简单装修,淮海新村 -新街口,2室1厅 | 47.84平米 | 南 | 其他 | 低楼层(共7层)  | 板楼,1人关注 / 4个月以前发布,275,"57,484元/平"
2019年沪青装修 硬装27万 软装13万,亲水湾花园 -百家湖,2室1厅 | 54.49平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,98人关注 / 9个月以前发布,169,"31,015元/平"
广博苑 2室1厅 南,广博苑 -东山镇,2室1厅 | 95.55平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,213,"22,292元/平"
东边户 满五年 朝南楼层好采光好 业主诚心卖,市政天元城 -东山镇,2室1厅 | 64.24平米 | 南 | 简装 | 高楼层(共13层)  | 板塔结合,1人关注 / 11个月以前发布,169,"26,308元/平"
边户，全明户型，自住精装修 满两年,滨江嘉园 -江浦街道,2室1厅 | 61.34平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,9人关注 / 1个月以前发布,110,"17,933元/平"
满五年，南北通透，居家装修 拎包入住 业主急售,碧树园北片 -龙江,2室1厅 | 65.89平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,10人关注 / 一年前发布,430,"65,261元/平"
带露台，采光不错，南北通透明卫，拎包即可入住,大清河 -瑞金路,2室1厅 | 50.18平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 7个月以前发布,240,"47,828元/平"
精装修通透经典B户型改，干净清爽，电梯房 采光好,威尼斯水城第十五街区 -桥北,2室2厅 | 90.8平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,9人关注 / 8个月以前发布,180,"19,824元/平"
不占用 低总价两房 全明户型 楼层好阳光全天候,银城花园南片 -龙江,2室1厅 | 47.74平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,36人关注 / 10个月以前发布,369,"77,294元/平"
满五年 精装二房  楼栋好  视野棒  配套齐全 业主急售,金地自在城第二街区 -板桥,2室2厅 | 63.34平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,10人关注 / 3个月以前发布,110,"17,367元/平"
客厅朝东、楼栋位置好、采光充足、视野开阔,朗诗青春街区 -禄口,3室2厅 | 87.42平米 | 南 | 毛坯 | 低楼层(共11层)  | 板楼,5人关注 / 一年前发布,110,"12,583元/平"
证大大拇指广场 开发商精装修 鼓楼滨江 电梯房,证大大拇指广场 -建宁路,2室2厅 | 77.93平米 | 东北 | 精装 | 低楼层(共31层)  | 塔楼,4人关注 / 2个月以前发布,276,"35,417元/平"
通透 采光好仁恒建筑高层江景业主诚心出售,洲岛家园 -江心洲,2室1厅 | 64.99平米 | 南 北 | 其他 | 高楼层(共26层)  | 板塔结合,4人关注 / 2个月以前发布,208,"32,005元/平"
翠屏城  三开间朝南  中间楼层（店长五星推荐）,翠屏城 -禄口,3室2厅 | 84.93平米 | 南 | 毛坯 | 中楼层(共34层)  | 板塔结合,8人关注 / 5个月以前发布,84.3,"9,926元/平"
珠江路 玄武湖 鸡鸣寺环境好 近地铁,大石桥小区 -丹凤街,1室1厅 | 35.97平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 2个月以前发布,136,"37,810元/平"
双南大两房  采光好  南北通透  不占用,新河一村 -定淮门大街,2室1厅 | 57.83平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,14人关注 / 1个月以前发布,372,"64,327元/平"
此房满两年  户型方正  采光无任何遮挡  配套成熟。,盛江花苑石榴园 -江宁滨江,3室2厅 | 134.93平米 | 南 | 其他 | 高楼层(共11层)  | 板楼,3人关注 / 一年前发布,155,"11,488元/平"
麒麟紫荆城晨光苑 简装两房 满两年 诚心出售 看房方便,晨光苑 -麒麟镇,2室1厅 | 64.44平米 | 南 北 | 简装 | 高楼层(共34层)  | 板楼,1人关注 / 2个月以前发布,98,"15,208元/平"
月牙湖片区刚需小两房 交通方便离市区近 总价低,四方新村二村 -月牙湖,2室1厅 | 49.26平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,11人关注 / 8个月以前发布,128,"25,985元/平"
锁金村7号 双南两房 户型方正,锁金村7号 -锁金村,2室1厅 | 49.81平米 | 南 北 | 精装 | 中楼层(共4层)  | 板塔结合,38人关注 / 5个月以前发布,145,"29,111元/平"
地铁7号线 尧顺佳园 电梯房 精装修 有钥匙 随时看房,尧顺佳园 -尧化门,2室2厅 | 68.63平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,3人关注 / 2个月以前发布,159,"23,168元/平"
五塘三号线 五塘新村 中楼层 看房有钥匙 配套设施齐全,五塘新村 -五塘广场,2室1厅 | 57.57平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,10人关注 / 4个月以前发布,144.6,"25,118元/平"
地铁口 五桥口 配套齐全 生活便利 带装修,滨江嘉园 -江浦街道,2室1厅 | 64.7平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,25人关注 / 6个月以前发布,98,"15,147元/平"
此房满五唯一，南北通透格局，出新小区,康居里 -秦虹,2室1厅 | 62.73平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,163,"25,985元/平"
南北户型/光线无遮挡/满三年/视野开阔/房东诚意售,招商兰溪谷二期 -高新区,3室2厅 | 87.08平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,31人关注 / 一年前发布,195,"22,394元/平"
房龄新 30万婚装业主诚心出售 实地看房有看相,威尼斯水城第十四街区 -桥北,2室2厅 | 89.05平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,1人关注 / 1个月以前发布,161,"18,080元/平"
南部新城   双南户型  精装修  拎包入住,双桥新村 -洪家园,2室1厅 | 64.97平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,3人关注 / 2个月以前发布,179,"27,552元/平"
江核楼栋位置好 楼层佳 视野开阔 满两年 江北新区,正荣润锦城 -顶山街道,3室1厅 | 88.34平米 | 南 | 简装 | 中楼层(共33层)  | 板楼,13人关注 / 2个月以前发布,298,"33,734元/平"
满五年且唯一 毛坯房 总价单价低 好房出售,天润城第二街区 -桥北,2室2厅 | 96.96平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,7人关注 / 2个月以前发布,150,"15,471元/平"
北祖师庵 盐仓桥 五号线 采光好,北祖师庵 -建宁路,2室1厅 | 66.07平米 | 东 西 | 精装 | 中楼层(共7层)  | 板楼,15人关注 / 一年前发布,168,"25,428元/平"
房子采光好 房主诚售 湖南路商圈 地段好,渊声巷 -湖南路,3室0厅 | 57.93平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,7人关注 / 4个月以前发布,160,"27,620元/平"
此房刚需三房，中间楼层，全明、双南一北，南北通透,鼓楼四条巷 -湖南路,3室1厅 | 62.07平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,10人关注 / 4个月以前发布,206,"33,189元/平"
百子亭后 独立小区科利华满五年唯一双南采光佳,百子亭后 -玄武门,2室0厅 | 46.58平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 2个月以前发布,310,"66,553元/平"
新上朝南 满五唯一 精装2房 看房有钥匙 产权明晰,七彩星城 -铁心桥,2室2厅 | 43.77平米 | 南 | 精装 | 低楼层(共21层)  | 塔楼,9人关注 / 6个月以前发布,125,"28,559元/平"
七彩星城 2室2厅 南,七彩星城 -铁心桥,2室2厅 | 42.37平米 | 南 | 其他 | 中楼层(共21层)  | 塔楼,2人关注 / 3个月以前发布,124,"29,266元/平"
看房方便，户型好，楼层好，视野佳,中南麒麟锦城 -麒麟镇,2室2厅 | 84.27平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,6人关注 / 6个月以前发布,186,"22,072元/平"
保利西江月 研创园 青奥体育公园 业主精装 诚心出售,保利西江月 -顶山街道,3室1厅 | 87.39平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,26人关注 / 3个月以前发布,267,"30,553元/平"
户型方正，中间楼层，次新房 急售价格可谈,天润城第十六街区北区 -桥北,2室2厅 | 87.12平米 | 南 北 | 其他 | 中楼层(共32层)  | 板塔结合,7人关注 / 4个月以前发布,146,"16,759元/平"
百家湖 精装修两房 楼层好采光佳 看房方便 拎包入住,逸翠居 -百家湖,2室2厅 | 90.7平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,15人关注 / 2个月以前发布,251,"27,674元/平"
森林里小区 精装两室一厅 一南一北 小区中间 满五年,森林里 -夫子庙,2室1厅 | 45.53平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,16人关注 / 一年前发布,152,"33,385元/平"
南大旁一楼带院子，精装修，采光无遮挡,青岛路小区 -宁海路,2室1厅 | 56.56平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,6人关注 / 1个月以前发布,288,"50,920元/平"
此房楼层好 ，小区环境优越，出门30米到月牙湖公园。,紫金城西区 -月牙湖,2室2厅 | 90.91平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,37人关注 / 10个月以前发布,300,"33,000元/平"
新模范马路 工人新村旁 双南 中楼层 地铁口 总价低,新模范马路 -许府巷,2室1厅 | 48.14平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,56人关注 / 7个月以前发布,128,"26,590元/平"
：近地铁站，配套成熟，采光好，户型好,开源小区二村 -洪家园,2室1厅 | 50.49平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,14人关注 / 9个月以前发布,156,"30,898元/平"
三钢生活区 低楼层 诚心卖 双龙大道,三钢生活区 -岔路口,2室1厅 | 49.52平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,8人关注 / 10个月以前发布,112,"22,618元/平"
交通便利 配套设施齐全，楼层好,武夷绿洲观竹苑 -科学园,2室1厅 | 78.65平米 | 南 北 | 简装 | 低楼层(共16层)  | 板楼,7人关注 / 6个月以前发布,199,"25,302元/平"
新街口地铁口 金鹰大洋 俞家巷精装修2房 采光好有钥匙,俞家巷 -新街口,2室1厅 | 46.14平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,15人关注 / 5个月以前发布,168,"36,411元/平"
新上托乐嘉吉邻居 大2房  业主诚心出售,托乐嘉吉邻居 -将军大道,2室2厅 | 98.1平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,3人关注 / 2个月以前发布,299,"30,480元/平"
满五唯一 业主诚心出售交通方便，配套成熟,宁湖园岚岛别墅 -百家湖,3室2厅 | 86平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,79人关注 / 9个月以前发布,220,"25,582元/平"
一楼带院子 诚心出售 户型方正  紫金山南,江苏农科院住宅小区 -孝陵卫,2室1厅 | 57.76平米 | 南 北 | 其他 | 低楼层(共5层)  | 板楼,2人关注 / 1个月以前发布,260,"45,014元/平"
此房满两年  无增值税   业主诚心出售,文博苑 -江宁大学城,1室1厅 | 54.87平米 | 南 | 其他 | 低楼层(共11层)  | 板楼,9人关注 / 3个月以前发布,116,"21,141元/平"
中垠紫金观邸精装三房，采光好交通便利！,中垠紫金观邸 -马群,3室1厅 | 90.18平米 | 南 北 | 精装 | 高楼层(共14层)  | 板楼,54人关注 / 6个月以前发布,270,"29,941元/平"
满五年 户型方正 南北通透 楼层好 采光充足 生活便利,天琪雅居 -百家湖,2室2厅 | 113.61平米 | 南 北 | 精装 | 中楼层(共12层)  | 板楼,35人关注 / 9个月以前发布,255,"22,446元/平"
新街口 封闭小区 看房方便 观城 慧园街,王府园小区 -升州路,1室1厅 | 40.41平米 | 东 西 | 简装 | 中楼层(共7层)  | 板楼,23人关注 / 一年前发布,222,"54,937元/平"
涌泉里  楼层好 满5年 地铁口 生活配套齐全,莫愁新寓涌泉里 -汉中门大街,2室1厅 | 59.95平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,16人关注 / 7个月以前发布,218,"36,364元/平"
满五唯一，税费少，带车库车位，业主诚售,天地新城天心座 -岔路口,2室2厅 | 85.88平米 | 南 北 | 其他 | 中楼层(共6层)  | 板塔结合,7人关注 / 4个月以前发布,199,"23,172元/平"
业主换房，拎包入住满五唯一，有车位露台，诚意出售,丽景华庭 -洪家园,3室2厅 | 106.59平米 | 东南 北 西南 | 精装 | 高楼层(共12层)  | 板塔结合,104人关注 / 11个月以前发布,368,"34,525元/平"
钓鱼巷夫子庙三号线地铁口 白鹭洲公园 小两房,钓鱼巷小区 -建康路,2室1厅 | 44.59平米 | 西南 | 简装 | 中楼层(共7层)  | 板楼,6人关注 / 2个月以前发布,125,"28,034元/平"
近地铁临江一边 大开间两房 全南户型采光好 满五唯一,威尼斯水城第三街区 -桥北,2室2厅 | 99.69平米 | 南 | 简装 | 低楼层(共26层)  | 板楼,5人关注 / 1个月以前发布,145,"14,546元/平"
精装修.低楼层/低总价/新街口/张府园,石榴园 -新街口,1室1厅 | 40.27平米 | 南 | 精装 | 中楼层(共5层)  | 板塔结合,53人关注 / 一年前发布,125,"31,041元/平"
新街口俞家巷地铁口 石鼓路天堂街三茅宫 精装修两房,三茅宫 -新街口,2室1厅 | 40.89平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,86人关注 / 一年前发布,132,"32,282元/平"
夫子庙武定门地铁小西湖，精装修，采光好小区出新,转龙车小区 -长乐路,2室1厅 | 54.02平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,10人关注 / 8个月以前发布,163,"30,175元/平"
罗汉巷 满五年 位置安静 采光足 配套齐 交通便利,罗汉巷 -孝陵卫,2室1厅 | 59.32平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 4个月以前发布,182,"30,682元/平"
此房全明格局 中间楼层 总价低 配套齐全 交通便利,玉带园 -来凤里,2室1厅 | 52.65平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,40人关注 / 11个月以前发布,138,"26,211元/平"
小区环境好 一楼 不占用 封闭式小区 简单装修,淮海新村 -新街口,2室1厅 | 47.84平米 | 南 | 其他 | 低楼层(共7层)  | 板楼,1人关注 / 4个月以前发布,275,"57,484元/平"
紫杨佳园 满两年 毛坯房 户型方正,紫杨佳园 -月牙湖,2室1厅 | 83.29平米 | 南 北 | 其他 | 中楼层(共14层)  | 板塔结合,27人关注 / 一年前发布,180,"21,612元/平"
地铁口 ，厅室分离 ，万科物业，70年产权,托乐嘉单身公寓 -将军大道,1室1厅 | 60.94平米 | 东北 | 简装 | 低楼层(共11层)  | 塔楼,76人关注 / 11个月以前发布,119,"19,528元/平"
小区中间位置 精装修 拎包入住 看房方便有钥匙,梅花山庄丽景苑 -月牙湖,2室1厅 | 79.77平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,26人关注 / 3个月以前发布,309,"38,737元/平"
华汇康城 中间楼层精装修 有电梯 看房方便 位置好,华汇康城 -麒麟镇,2室1厅 | 85.09平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 1个月以前发布,159,"18,687元/平"
南京南站商圈精装修双龙嘉园小两室出售,双龙嘉园梅香路5号 -宁南,2室1厅 | 64.86平米 | 东南 | 其他 | 中楼层(共18层)  | 板楼,7人关注 / 7个月以前发布,198,"30,528元/平"
不占 低楼层 双南一北经典三房 地铁口,百子亭 -玄武门,3室1厅 | 62.05平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,116人关注 / 10个月以前发布,340,"54,795元/平"
满五唯一 看房方便 业主诚心出售 付款方式没要求,天润城第十二街区 -桥北,2室1厅 | 70.59平米 | 南 | 其他 | 高楼层(共18层)  | 板塔结合,1人关注 / 4个月以前发布,138,"19,550元/平"
此房满五年 户型方正 南北通透,湖滨公寓 -百家湖,3室2厅 | 95.6平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,74人关注 / 10个月以前发布,279,"29,185元/平"
满五唯一 楼层好 采光无遮挡 业主诚心卖,金东城雅居 -东山镇,2室1厅 | 79.71平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 11个月以前发布,175,"21,955元/平"
樱铁村 双南户型 中间楼层 精装修 两室一厅,樱铁村小区 -樱驼花园,2室1厅 | 54.36平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,73人关注 / 一年前发布,140,"25,755元/平"
户型方正 视野宽阔 采光充足 配套齐全 交通便利,康怡花园 -江东,2室1厅 | 65.4平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,43人关注 / 11个月以前发布,188,"28,747元/平"
河定桥欧尚旁，电梯大两房，房龄新，,同曦青春水岸 -百家湖,2室2厅 | 90.69平米 | 南 北 | 精装 | 高楼层(共16层)  | 板塔结合,2人关注 / 3个月以前发布,325,"35,837元/平"
三牌楼商圈 南北户型  前无遮挡 采光不受影响 环境好,校门口1号 -三牌楼,2室1厅 | 57.65平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,11人关注 / 5个月以前发布,162,"28,101元/平"
精装修通透经典B户型改，干净清爽，电梯房 采光好,威尼斯水城第十五街区 -桥北,2室2厅 | 90.8平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,9人关注 / 8个月以前发布,180,"19,824元/平"
天润城新上大两房 房主换房急卖 随时看房,天润城 -桥北,2室2厅 | 85.59平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,6人关注 / 11个月以前发布,143,"16,708元/平"
胜利新寓 带一个朝南储藏室 居家装,胜利新寓 -百家湖,2室1厅 | 63.17平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,13人关注 / 8个月以前发布,175,"27,704元/平"
金地名京园林式小区，低总价两房，看房方便。业主诚售,金地名京 -湖西街,2室1厅 | 74.24平米 | 东南 | 精装 | 高楼层(共17层)  | 板楼,17人关注 / 5个月以前发布,320,"43,104元/平"
得房率高，高楼层视野开阔采光好,万裕龙庭水岸 -江宁大学城,2室1厅 | 78.51平米 | 南 | 毛坯 | 高楼层(共24层)  | 板塔结合,8人关注 / 10个月以前发布,186,"23,692元/平"
