标题,开发商,房子信息,发布信息,售价/万,单价
开元上府高品质精装洋房 证过二 带产权子母车位带负一,开元上府 -新闻大厦,4室2厅 | 233.94平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 1个月以前发布,369,"15,774元/平"
好楼层、精装修、证过二、客厅南向通阳台,泉府公馆 -北城-鲁商中心,3室2厅 | 117.45平米 | 北 南 | 精装 | 中楼层(共32层)  | 板楼,12人关注 / 4个月以前发布,130,"11,069元/平"
新出！洋房！精装修！带车位！证过二！采光无遮挡！,舒格兰二期 -北城-鲁商中心,3室2厅 | 140.59平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,288,"20,486元/平"
五大道 证过二 配套齐全 交通便利，适合居住,五大道 -新闻大厦,3室1厅 | 97.05平米 | 东 | 精装 | 高楼层(共25层)  | 板塔结合,0人关注 / 2个月以前发布,86,"8,862元/平"
开发区正中位置，房子精装修，采光佳，楼层好，,中科印象 -沂河实验小学,1室1厅 | 44.94平米 | 北 | 精装 | 中楼层(共17层)  | 板楼,10人关注 / 一年前发布,25,"5,563元/平"
阔绰大三室全明户型俩卫生间好楼层带产权车位储藏室,皇山花园三期 -东夷文化园,3室2厅 | 150.79平米 | 南 | 毛坯 | 高楼层(共22层)  | 板塔结合,4人关注 / 一年前发布,128,"8,489元/平"
金泰华府南府 一楼带院 带负一 户型通透,金泰華府南区 -新闻大厦,3室2厅 | 259.18平米 | 南 | 毛坯 | 低楼层(共15层)  | 板楼,25人关注 / 一年前发布,423,"16,321元/平"
临沂大学 教授花园 经典叠墅两层带大露台， 证过二，,御景湾 -大学城,5室3厅 | 250.94平米 | 南 北 | 精装 | 中楼层(共4层)  | 暂无数据,4人关注 / 一年前发布,320,"12,753元/平"
小区前排证过二精装未住 诚意出售,中暨沂河英里 -东夷文化园,3室2厅 | 104.53平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 6个月以前发布,95.2,"9,108元/平"
慧园三室带车位证过二全天采光观河景好房等你浏览,沂龙湾慧园 -北城-实验中学,3室2厅 | 141.09平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,4人关注 / 5个月以前发布,205,"14,530元/平"
御山河证过二毛坯洋房双卧客厅向阳沿河住宅一房难求,御山河 -东夷文化园,3室2厅 | 119.88平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 板楼,4人关注 / 一年前发布,110,"9,176元/平"
幸福小镇 小三室 全明户型 总价低 压力小,农房·幸福小镇 -东方城,2室1厅 | 38.45平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,24,"6,242元/平"
精装四室二厅二卫  二梯二户 小高层 证过二,金阳花园 -十五中,4室2厅 | 126.67平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,0人关注 / 3个月以前发布,103,"8,132元/平"
香榭丽舍  多层低公摊，3室精装修，证过二 带地下车位,香榭丽舍 -新闻大厦,3室2厅 | 162.05平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,182,"11,232元/平"
全民小区  通透性好    全天无遮挡 楼下生活娱乐设施,联安现代城 -新闻大厦,3室2厅 | 131.95平米 | 南 北 | 简装 | 高楼层(共26层)  | 板楼,0人关注 / 3个月以前发布,155,"11,747元/平"
泉府公馆精装未住 证过2省税  中间楼层全天采光,泉府公馆 -北城-鲁商中心,3室2厅 | 119.26平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,0人关注 / 3个月以前发布,120,"10,063元/平"
江泉国际精装修 楼上70 楼下70平 三室两厅一厨两卫,江泉国际 -盛能游乐园,3室2厅 | 138.96平米 | 南 | 简装 | 中楼层(共17层)  | 塔楼,10人关注 / 9个月以前发布,90,"6,477元/平"
皇山华府，靠湖，户型好 楼层好，采光好，通透性好,皇山华府 -沂河实验小学,3室2厅 | 124.2平米 | 南 西南 | 精装 | 高楼层(共17层)  | 塔楼,13人关注 / 9个月以前发布,90,"7,247元/平"
前排 小高 三室 精装 看房方便 配套齐全,华强领秀城II期 -陶瓷批发市场,3室2厅 | 99.8平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,9人关注 / 一年前发布,125,"12,526元/平"
证过二 钻石楼层 皇山花园三期 双卧朝阳 随时看房,皇山花园三期 -东夷文化园,3室2厅 | 150.79平米 | 南 | 毛坯 | 高楼层(共22层)  | 板楼,2人关注 / 一年前发布,115,"7,627元/平"
好房必看 致远翡翠园优质三室，边户,致远翡翠园 -大学城,3室2厅 | 143.81平米 | 南 | 毛坯 | 中楼层(共8层)  | 板楼,13人关注 / 7个月以前发布,142,"9,875元/平"
玫瑰园 精装3室 中间楼层 证过二 总价低 诚心出售,玫瑰园 -长安路小学,3室2厅 | 118.76平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,12人关注 / 6个月以前发布,70,"5,895元/平"
满二  采光视野好，房子格局好,香榭丽舍 -新闻大厦,3室2厅 | 166.5平米 | 南 | 简装 | 中楼层(共14层)  | 板楼,11人关注 / 一年前发布,220,"13,214元/平"
出门就是沂河实验 区直实验 孩子上学太方便 价格低,中科印象 -沂河实验小学,1室1厅 | 44.05平米 | 北 | 精装 | 高楼层(共17层)  | 板楼,13人关注 / 一年前发布,27,"6,130元/平"
豪情花园精装3室有证可贷款采光好,豪情花园 -平安路,3室2厅 | 106.39平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,14人关注 / 一年前发布,79,"7,426元/平"
临沂日报社家属院  证过二 好楼层,临沂日报社家属院 -新闻大厦,3室2厅 | 85.12平米 | 南 | 精装 | 中楼层(共4层)  | 暂无数据,1人关注 / 5个月以前发布,79,"9,282元/平"
金城国际 毛坯现房 随意装修 证满二 费率少,金城国际 -莒南商圈,3室2厅 | 117.29平米 | 南 | 毛坯 | 低楼层(共17层)  | 暂无数据,1人关注 / 10个月以前发布,72,"6,139元/平"
证过二，省税。好楼层，视野开阔。,世纪花园(兰山区) -新闻大厦,3室2厅 | 109.06平米 | 南 北 | 精装 | 高楼层(共31层)  | 板楼,8人关注 / 9个月以前发布,102,"9,353元/平"
昆仑家园 三室低楼层储藏室 位置好 价格低 证过二,昆仑家园 -北城-北外环,3室2厅 | 108.75平米 | 南 | 简装 | 低楼层(共7层)  | 板塔结合,24人关注 / 一年前发布,76,"6,989元/平"
楼层好 全明户型  采光好  小区品质高,香榭丽都 -新闻大厦,3室2厅 | 135.41平米 | 南 | 精装 | 中楼层(共8层)  | 塔楼,9人关注 / 一年前发布,178,"13,146元/平"
电梯洋房次顶楼，全天无遮挡，全明户型证过二，,中暨沂河英里 -东夷文化园,3室2厅 | 117.31平米 | 东 | 毛坯 | 高楼层(共9层)  | 板楼,12人关注 / 一年前发布,88,"7,502元/平"
房子布局合理，户型经典，小区配套设施完善。,天元国际 -新闻大厦,3室2厅 | 141.4平米 | 南 | 毛坯 | 低楼层(共32层)  | 塔楼,28人关注 / 一年前发布,159,"11,245元/平"
都市阳光毛坯两室 证过二 随意装修 采光好视野开阔,都市阳光 -沂河实验小学,2室2厅 | 79.86平米 | 南 | 毛坯 | 高楼层(共5层)  | 暂无数据,0人关注 / 7个月以前发布,45,"5,635元/平"
开元上城，证过五，带车位，精装修，楼层好。交通方便,开元上城 -新闻大厦,3室2厅 | 190.23平米 | 南 北 | 精装 | 高楼层(共16层)  | 板楼,5人关注 / 一年前发布,247,"12,985元/平"
盛世花城经典三室刚需首 选有钥匙随时看,盛世花城 -东夷文化园,3室2厅 | 85.38平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼,1人关注 / 5个月以前发布,74,"8,668元/平"
华强领秀城二期 好楼层 采光好 带储藏室 随时看房,华强领秀城II期 -陶瓷批发市场,3室2厅 | 134.88平米 | 南 | 毛坯 | 中楼层(共31层)  | 板塔结合,0人关注 / 4个月以前发布,136,"10,084元/平"
急！皇山城电梯洋房四室，证过二！有车位储藏室+10万,皇山城 -东夷文化园,4室2厅 | 132.05平米 | 西南 | 毛坯 | 低楼层(共10层)  | 板楼,6人关注 / 一年前发布,115,"8,709元/平"
急售房源！都市阳光精装修两室证过二！随时看房！,都市阳光 -沂河实验小学,3室2厅 | 85.83平米 | 南 | 简装 | 高楼层(共5层)  | 板楼,15人关注 / 5个月以前发布,39.5,"4,603元/平"
证过二，环保材料精装，视野开阔，采光好,泉府公馆 -北城-鲁商中心,3室2厅 | 118.39平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,6人关注 / 3个月以前发布,115,"9,714元/平"
此房证过二带车位，是经开区品质小区公务员小区,皇山花园三期 -东夷文化园,3室2厅 | 146.77平米 | 南 北 | 毛坯 | 低楼层(共22层)  | 板楼,10人关注 / 5个月以前发布,104,"7,086元/平"
滨湖花园 精装修 证过二 交通便利,凯润滨湖花园 -河东汽车站,3室2厅 | 131.71平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,5人关注 / 9个月以前发布,122,"9,263元/平"
皇山华府电梯洋房，证过二！127平110万！急售！可议价,皇山华府 -沂河实验小学,3室2厅 | 127.41平米 | 南 | 毛坯 | 高楼层(共6层)  | 塔楼,2人关注 / 6个月以前发布,104,"8,163元/平"
伊丽莎白东岸西区 证过二 精装修 户型方正 随时可看房,伊丽莎白东岸 -东夷文化园,3室2厅 | 118.81平米 | 南 北 | 简装 | 低楼层(共22层)  | 板塔结合,0人关注 / 6个月以前发布,92,"7,744元/平"
都市阳光凤凰楼层 采光好 无遮挡 房东急售 价格可议,都市阳光 -沂河实验小学,3室2厅 | 84.3平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 2个月以前发布,57,"6,762元/平"
美景华庭 有前后露台复式4个卧室,贵和美景华庭 -盛能游乐园,2室2厅 | 83.43平米 | 南 北 | 简装 | 高楼层(共9层)  | 塔楼,8人关注 / 一年前发布,92,"11,028元/平"
通达路旁采光好 楼间距宽  绿化高 带车位 中间楼层,锦绣蓝山 -平安路,4室2厅 | 156.24平米 | 东南 | 精装 | 高楼层(共18层)  | 板楼,6人关注 / 一年前发布,173,"11,073元/平"
此房证过二，采光充足，看房提前联系维护人。,小市委家属院南区 -人民公园,3室2厅 | 120.05平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,7人关注 / 11个月以前发布,95,"7,914元/平"
临沂大学东校区 靠奥斯卡上品公馆 颐华苑,临沂大学东校区家属院 -人民广场,3室1厅 | 96.38平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,3人关注 / 5个月以前发布,99,"10,272元/平"
慧谷倾城 房主急卖  证过二 近九中  双气70年大产权,慧谷倾城 -人民公园,3室2厅 | 136.04平米 | 南 北 | 简装 | 低楼层(共30层)  | 板楼,6人关注 / 6个月以前发布,149,"10,953元/平"
金雀苑 大三室  精装修 水电暖全部整改 采光好,金雀苑 -新闻大厦,3室2厅 | 136.27平米 | 南 | 精装 | 高楼层(共5层)  | 暂无数据,10人关注 / 一年前发布,91,"6,678元/平"
水岸名城，精装修，证过二，诚心出售，随时可看,水岸名城(兰山区) -曹王庄,2室1厅 | 87.4平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,3人关注 / 一年前发布,86,"9,840元/平"
溪苑兰亭3室128平方毛坯带车位，证过二，南北通风,溪苑兰亭 -陶瓷批发市场,3室2厅 | 128.03平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 板塔结合,0人关注 / 3个月以前发布,138,"10,779元/平"
沂河郡府 顶楼复式 证过二 带地下产权车位 储藏室,荣盛沂河郡府 -锦绣外滩,3室2厅 | 109平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,3人关注 / 5个月以前发布,107,"9,817元/平"
证过二 沂河郡府 精装修 带储藏室 两室 好楼层 无遮挡,荣盛沂河郡府 -锦绣外滩,2室2厅 | 87平米 | 南 北 | 简装 | 高楼层(共16层)  | 板楼,6人关注 / 11个月以前发布,65,"7,472元/平"
大名城南区 楼层佳东户 毛坯三室 带车库,大名城南区 -沂水县,3室2厅 | 120平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,1人关注 / 10个月以前发布,96,"8,000元/平"
市府小区好房 房东急售   看房方便,市府小区 -新东关,2室1厅 | 78.04平米 | 南 | 简装 | 低楼层(共5层)  | 暂无数据,3人关注 / 10个月以前发布,73,"9,355元/平"
幸福花城 满两年省税 楼层好 带一个14平方的储藏室,幸福花城D区 -河东汽车站,3室2厅 | 96.3平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,2人关注 / 一年前发布,82,"8,516元/平"
天元名筑，证过五，大三室，采光充足，看房方便,天元名筑 -新闻大厦,3室2厅 | 177.79平米 | 南 北 | 精装 | 低楼层(共16层)  | 板楼,8人关注 / 一年前发布,185,"10,406元/平"
三和家园电梯洋房顶复公务员小区,三和家园 -沂河实验小学,5室3厅 | 253.38平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板楼,18人关注 / 一年前发布,165,"6,512元/平"
出门就是龙潭路，临墙就是八小，两室价格美丽,龙潭小区 -罗庄医院,2室1厅 | 75平米 | 南 北 | 简装 | 高楼层(共4层)  | 暂无数据,1人关注 / 5个月以前发布,29.8,"3,974元/平"
有钥匙泰鲁禧玥全明户型两室朝阳大阳台采光好,泰鲁禧玥 -东夷文化园,3室2厅 | 126平米 | 南 | 毛坯 | 低楼层(共10层)  | 暂无数据,1人关注 / 4个月以前发布,118,"9,366元/平"
泉府公馆顶复  双阳台   视野宽阔，采光好,泉府公馆 -北城-鲁商中心,3室2厅 | 194.32平米 | 南 | 毛坯 | 高楼层(共22层)  | 板楼,4人关注 / 一年前发布,190,"9,778元/平"
证过二，带个大露台 采光很好 拎包入住,泉府公馆 -北城-鲁商中心,2室1厅 | 100.12平米 | 南 | 简装 | 低楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,93,"9,289元/平"
精装修  采光好 动静分离 全明户型 双气入户,致远翡翠传奇 -双月湖公园,3室2厅 | 124.25平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,5人关注 / 9个月以前发布,73,"5,876元/平"
证过二、低首付！泉府Z ui优质大两室,泉府公馆 -北城-鲁商中心,2室2厅 | 93.04平米 | 南 | 简装 | 低楼层(共27层)  | 板楼,32人关注 / 8个月以前发布,82,"8,814元/平"
颐龙恒泰，证过二，好楼层，精装修。,颐龙恒泰 -新闻大厦,4室2厅 | 164.22平米 | 南 | 精装 | 中楼层(共29层)  | 板楼,8人关注 / 一年前发布,181,"11,022元/平"
御山河精装修未住 全部家具家电有钥匙随时可以看,御山河 -东夷文化园,3室2厅 | 99.98平米 | 东 | 精装 | 高楼层(共7层)  | 板楼,2人关注 / 5个月以前发布,103,"10,303元/平"
金泰华府 精装修 证过二 带储藏室 全明户型,金泰華府南区 -新闻大厦,3室1厅 | 118平米 | 南 | 精装 | 高楼层(共34层)  | 塔楼,0人关注 / 2个月以前发布,189,"16,017元/平"
泉府公馆精装未住 证过2省税  中间楼层全天采光,泉府公馆 -北城-鲁商中心,3室2厅 | 119.26平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,0人关注 / 3个月以前发布,120,"10,063元/平"
慧园三室带车位证过二全天采光观河景好房等你浏览,沂龙湾慧园 -北城-实验中学,3室2厅 | 141.09平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,4人关注 / 5个月以前发布,205,"14,530元/平"
全民小区  通透性好    全天无遮挡 楼下生活娱乐设施,联安现代城 -新闻大厦,3室2厅 | 131.95平米 | 南 北 | 简装 | 高楼层(共26层)  | 板楼,0人关注 / 3个月以前发布,155,"11,747元/平"
优质小区 中低楼层 证过二 精装修 随时可看,都市阳光 -沂河实验小学,3室1厅 | 84.14平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 一年前发布,60,"7,131元/平"
中科印象 70年产权 客卧分离 门口是沂河实验,中科印象 -沂河实验小学,1室1厅 | 41.41平米 | 北 | 精装 | 低楼层(共17层)  | 板楼,3人关注 / 一年前发布,28,"6,762元/平"
翡翠传奇 精装三室 未住 拎包入住  厨卫全明 干湿分离,致远翡翠传奇 -双月湖公园,3室2厅 | 109平米 | 南 | 精装 | 高楼层(共21层)  | 板塔结合,20人关注 / 一年前发布,80,"7,340元/平"
阔绰大三室全明户型俩卫生间好楼层带产权车位储藏室,皇山花园三期 -东夷文化园,3室2厅 | 150.79平米 | 南 | 毛坯 | 高楼层(共22层)  | 板塔结合,4人关注 / 一年前发布,128,"8,489元/平"
开发区正中位置，房子精装修，采光佳，楼层好，,中科印象 -沂河实验小学,1室1厅 | 44.94平米 | 北 | 精装 | 中楼层(共17层)  | 板楼,10人关注 / 一年前发布,25,"5,563元/平"
临沂大学 教授花园 经典叠墅两层带大露台， 证过二，,御景湾 -大学城,5室3厅 | 250.94平米 | 南 北 | 精装 | 中楼层(共4层)  | 暂无数据,4人关注 / 一年前发布,320,"12,753元/平"
金泰华府南府 一楼带院 带负一 户型通透,金泰華府南区 -新闻大厦,3室2厅 | 259.18平米 | 南 | 毛坯 | 低楼层(共15层)  | 板楼,25人关注 / 一年前发布,423,"16,321元/平"
小区前排证过二精装未住 诚意出售,中暨沂河英里 -东夷文化园,3室2厅 | 104.53平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 6个月以前发布,95.2,"9,108元/平"
御山河证过二毛坯洋房双卧客厅向阳沿河住宅一房难求,御山河 -东夷文化园,3室2厅 | 119.88平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 板楼,4人关注 / 一年前发布,110,"9,176元/平"
此房证过二带车位，是经开区品质小区公务员小区,皇山花园三期 -东夷文化园,3室2厅 | 146.77平米 | 南 北 | 毛坯 | 低楼层(共22层)  | 板楼,10人关注 / 5个月以前发布,104,"7,086元/平"
滨湖花园 精装修 证过二 交通便利,凯润滨湖花园 -河东汽车站,3室2厅 | 131.71平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,5人关注 / 9个月以前发布,122,"9,263元/平"
皇山华府电梯洋房，证过二！127平110万！急售！可议价,皇山华府 -沂河实验小学,3室2厅 | 127.41平米 | 南 | 毛坯 | 高楼层(共6层)  | 塔楼,2人关注 / 6个月以前发布,104,"8,163元/平"
都市阳光凤凰楼层 采光好 无遮挡 房东急售 价格可议,都市阳光 -沂河实验小学,3室2厅 | 84.3平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 2个月以前发布,57,"6,762元/平"
美景华庭 有前后露台复式4个卧室,贵和美景华庭 -盛能游乐园,2室2厅 | 83.43平米 | 南 北 | 简装 | 高楼层(共9层)  | 塔楼,8人关注 / 一年前发布,92,"11,028元/平"
伊丽莎白东岸西区 证过二 精装修 户型方正 随时可看房,伊丽莎白东岸 -东夷文化园,3室2厅 | 118.81平米 | 南 北 | 简装 | 低楼层(共22层)  | 板塔结合,0人关注 / 6个月以前发布,92,"7,744元/平"
清泉小区 三居室 新装修 证过二 有储藏室,清泉小区 -火车站,3室1厅 | 91.94平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,11人关注 / 6个月以前发布,61,"6,635元/平"
华前城市广场B区，可观河，精装两室，没有任何配套,华前城市广场富华小区 -隆达客运站,2室2厅 | 98.98平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,8人关注 / 一年前发布,105,"10,609元/平"
都市阳光东华二期中间楼层证过二南北通透,都市阳光 -沂河实验小学,3室2厅 | 98.38平米 | 南 北 | 简装 | 中楼层(共5层)  | 板塔结合,4人关注 / 9个月以前发布,64,"6,506元/平"
精装修，证过二了，顶层复式，带大露台,皇山花园三期 -东夷文化园,3室2厅 | 139.93平米 | 南 | 精装 | 高楼层(共22层)  | 板楼,2人关注 / 3个月以前发布,115,"8,219元/平"
皇山花园三期 好楼层 证过二 带简单装修 诚心出售,皇山花园三期 -东夷文化园,3室2厅 | 139.93平米 | 南 北 | 简装 | 中楼层(共22层)  | 板楼,7人关注 / 9个月以前发布,98,"7,004元/平"
东边户 好楼层 大三室 带车位,伊丽莎白东岸 -东夷文化园,3室2厅 | 144.81平米 | 南 | 毛坯 | 低楼层(共22层)  | 板楼,0人关注 / 1个月以前发布,99,"6,837元/平"
精装修，户型好，客厅两卧室朝阳，沂蒙路旁出行方便,银丰公馆 -火车站,3室2厅 | 110.26平米 | 南 北 | 精装 | 低楼层(共29层)  | 板楼,3人关注 / 11个月以前发布,104,"9,433元/平"
蓝湾国际三室带车位证过2好楼层位置好有钥匙,蓝湾国际A区 -隆达客运站,3室1厅 | 121.1平米 | 南 北 | 简装 | 中楼层(共30层)  | 塔楼,1人关注 / 5个月以前发布,160,"13,213元/平"
金坛小区  近沂州路 满五唯一,金坛小区(金坛路) -新闻大厦,3室2厅 | 86.59平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 3个月以前发布,80,"9,239元/平"
阳光新苑  高楼层   证过二  简单装修,陽光新苑 -双月湖公园,3室1厅 | 80平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,11人关注 / 一年前发布,31,"3,875元/平"
全明户型，格局好，好楼层，三卧朝阳,凯泰庄园 -高都,3室2厅 | 94.18平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,15人关注 / 一年前发布,31.8,"3,377元/平"
开元美郡 南向公寓 大阳台，住宅,开元美郡 -双月湖公园,1室1厅 | 51.29平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,0人关注 / 2个月以前发布,38.5,"7,507元/平"
盛世花城刚需小三室，证过二.总价低,盛世花城 -东夷文化园,3室1厅 | 85.3平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,5人关注 / 6个月以前发布,78,"9,145元/平"
好楼层大四室。价格美丽。带车位带院子。随时看,泰鲁禧玥 -东夷文化园,4室1厅 | 143.66平米 | 南 | 毛坯 | 中楼层(共10层)  | 暂无数据,0人关注 / 1个月以前发布,136,"9,467元/平"
：市中 心 采光佳娱乐一体化交通便利满二周圈配套全,银座中心 -和谐广场,2室1厅 | 71.11平米 | 西北 | 精装 | 高楼层(共27层)  | 塔楼,1人关注 / 8个月以前发布,73,"10,266元/平"
贵和花园二室 小高电梯房 证过二  采光好 无遮挡,贵和花园(河东区) -河东吾悦广场,2室2厅 | 99.33平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,2人关注 / 5个月以前发布,94,"9,464元/平"
慧谷领御，房子简单装修，布局合理，客厅通阳台,慧谷领御 -二十四中,2室1厅 | 72.84平米 | 南 | 精装 | 中楼层(共16层)  | 板楼,5人关注 / 一年前发布,83,"11,395元/平"
采光视野好，带产权车位储藏室，一楼带院子,皇山花园三期 -东夷文化园,3室2厅 | 120.9平米 | 南 | 精装 | 低楼层(共22层)  | 板楼,1人关注 / 3个月以前发布,105,"8,685元/平"
楼层好 精装修三室 全天采光 观河景,卧龙嘉苑 -北城-实验中学,3室2厅 | 186平米 | 南 | 简装 | 低楼层(共17层)  | 板楼,13人关注 / 一年前发布,290,"15,592元/平"
香榭丽都，精装证过二，好楼层 元宝户型，采光充足,香榭丽都 -新闻大厦,3室2厅 | 152.07平米 | 南 | 简装 | 中楼层(共5层)  | 塔楼,27人关注 / 5个月以前发布,156,"10,259元/平"
东来尚城 精装三室 证过二 省大税 好楼层  位置佳,中国铁建东来尚城 -东夷文化园,3室2厅 | 112.39平米 | 南 | 精装 | 低楼层(共28层)  | 板楼,10人关注 / 一年前发布,103,"9,165元/平"
兰山区 精装三室小高 证过二  好楼层 看房方便,锦绣御珑湾A区 -火车站,3室2厅 | 122平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,150,"12,296元/平"
品质小区房子位置好采光好 价格实惠看房方便,瀾泊灣B区 -北城-澜泊湾,3室2厅 | 123.08平米 | 南 北 | 精装 | 低楼层(共28层)  | 板塔结合,44人关注 / 一年前发布,170,"13,813元/平"
苹果园小区  房主急卖 近四小实验    有储藏室,苹果园小区 -启阳路,3室1厅 | 84.93平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,6人关注 / 7个月以前发布,56,"6,594元/平"
视野无遮挡精装三室  南北通 房产证过二,恒通佳园 -北城-北城人民医院,3室2厅 | 127.6平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,3人关注 / 3个月以前发布,148,"11,599元/平"
开元帕提欧，全明户型，精装修，业主诚心出售,开元帕缇欧 -新闻大厦,3室2厅 | 151平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,15人关注 / 11个月以前发布,235,"15,563元/平"
奥斯卡 144.81平 经典元宝户型  证过二  精装修,久隆奥斯卡 -人民广场,3室2厅 | 144.81平米 | 南 北 | 精装 | 中楼层(共32层)  | 暂无数据,3人关注 / 4个月以前发布,225,"15,538元/平"
运管处家属院 证过五唯一 停车方便近明德花园锦绣蓝山,临沂市运管处家属院 -平安路,3室2厅 | 110.88平米 | 南 北 | 简装 | 低楼层(共5层)  | 板塔结合,7人关注 / 10个月以前发布,70,"6,314元/平"
急售！！东皋小区 精装修 三居室 带储 有钥匙 随时看,东皋小区 -沂水县,3室2厅 | 97.13平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,3人关注 / 11个月以前发布,45,"4,633元/平"
证过二 致远翡翠园 一楼带院有车位,致远翡翠园 -大学城,3室2厅 | 144平米 | 南 | 毛坯 | 低楼层(共8层)  | 板楼,8人关注 / 5个月以前发布,219,"15,209元/平"
贵和花园二室 小高电梯房 证过二  采光好 无遮挡,贵和花园(河东区) -河东吾悦广场,2室2厅 | 99.33平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,2人关注 / 5个月以前发布,94,"9,464元/平"
东来尚城 精装三室 证过二 省大税 好楼层  位置佳,中国铁建东来尚城 -东夷文化园,3室2厅 | 112.39平米 | 南 | 精装 | 低楼层(共28层)  | 板楼,10人关注 / 一年前发布,103,"9,165元/平"
采光视野好，带产权车位储藏室，一楼带院子,皇山花园三期 -东夷文化园,3室2厅 | 120.9平米 | 南 | 精装 | 低楼层(共22层)  | 板楼,1人关注 / 3个月以前发布,105,"8,685元/平"
楼层好 精装修三室 全天采光 观河景,卧龙嘉苑 -北城-实验中学,3室2厅 | 186平米 | 南 | 简装 | 低楼层(共17层)  | 板楼,13人关注 / 一年前发布,290,"15,592元/平"
好楼层大四室。价格美丽。带车位带院子。随时看,泰鲁禧玥 -东夷文化园,4室1厅 | 143.66平米 | 南 | 毛坯 | 中楼层(共10层)  | 暂无数据,0人关注 / 1个月以前发布,136,"9,467元/平"
盛世花城刚需小三室，证过二.总价低,盛世花城 -东夷文化园,3室1厅 | 85.3平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,5人关注 / 6个月以前发布,78,"9,145元/平"
北园路好楼层通双气大产权，近三 小,农机公司小区 -东方不夜城,3室2厅 | 86.25平米 | 南 北 | 简装 | 低楼层(共2层)  | 板塔结合,1人关注 / 9个月以前发布,73,"8,464元/平"
精装两室 中间楼层 位置佳 采光好 证过二 省大税,怡海国际新城 -九曲街道,2室2厅 | 90.62平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,9人关注 / 一年前发布,76,"8,387元/平"
意林公馆 精装4室 产证过二 全天采光,意林公馆 -北城-沂龙湾大桥,4室2厅 | 131.5平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,3人关注 / 4个月以前发布,165,"12,548元/平"
带南向25平大车库，大产权，证过二，浇筑房，双气,兰福公寓 -人民广场,3室2厅 | 121.19平米 | 南 | 简装 | 中楼层(共7层)  | 塔楼,11人关注 / 8个月以前发布,139,"11,470元/平"
九曲花园 三室 好楼层 带储藏室 有证大产权,九曲花园 -河东汽车站,3室1厅 | 86.69平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,11人关注 / 8个月以前发布,48,"5,537元/平"
