标题,开发商,房子信息,发布信息,售价/万,单价
高新佳园三期丨中间楼层丨单价4000多丨本满二丨首付16,高新佳园三期 -高新区,3室2厅 | 126.71平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 5天以前发布,53,"4,183元/平"
大庆路经典三室，多层三楼，房间干净,团结花园D区 -大庆路,3室2厅 | 126.99平米 | 南 北 | 其他 | 中楼层(共7层)  | 板塔结合,7人关注 / 一年前发布,58.5,"4,607元/平"
南北通透，精装修，满五唯一，业主急售,方豪花园 -大庆路,2室2厅 | 105.32平米 | 北 南 | 其他 | 7层  | 板楼,11人关注 / 一年前发布,32,"3,039元/平"
宏文路多层两室 68.82平米  价格可小刀,中铁一局新运公司 -大庆路,2室2厅 | 68.82平米 | 南 北 | 其他 | 高楼层(共7层)  | 平房,0人关注 / 9个月以前发布,20,"2,907元/平"
陈仓园 简装2室 南北通透 满五无大税 可按揭,陈仓园 -陈仓园,2室2厅 | 91.4平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,11人关注 / 一年前发布,26,"2,845元/平"
大庆路团结花园经典户型南北通透38万低价出售,团结花园C区南区 -大庆路,2室2厅 | 104.53平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,2人关注 / 9个月以前发布,38,"3,636元/平"
低楼层 出行便利 小区环境好 安静舒适 配套设施完善,红光小区 -新福路,2室2厅 | 87.7平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,2人关注 / 8个月以前发布,28.5,"3,250元/平"
大庆路经典三室，多层三楼，房间干净,团结花园D区 -大庆路,3室2厅 | 126.99平米 | 南 北 | 其他 | 中楼层(共7层)  | 板塔结合,7人关注 / 一年前发布,58.5,"4,607元/平"
豪城天下精装小洋房，采光好充足，可按揭,豪城天下F区 -新福路,4室2厅 | 182.9平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,9人关注 / 一年前发布,108,"5,905元/平"
大庆路精装两室位置优越价位便宜,方豪花园 -大庆路,2室1厅 | 92.09平米 | 南 北 | 精装 | 7层  | 板塔结合,3人关注 / 一年前发布,29.8,"3,236元/平"
斗鸡宏文路精品2室精装可按揭急售,西建·康城 -大庆路,2室2厅 | 103.64平米 | 南 北 | 其他 | 6层  | 板楼,0人关注 / 4个月以前发布,46,"4,439元/平"
真实房源 业主诚心出售 户型方正 采光好,东岭新时代(金台区) -陈仓园,3室2厅 | 127.46平米 | 南 北 | 精装 | 中楼层(共16层)  | 板塔结合,2人关注 / 7个月以前发布,79.8,"6,261元/平"
宏文路49号院72平两室简装房子23万价位可谈,宏文路49号 -大庆路,2室1厅 | 72.2平米 | 东 西 | 其他 | 7层  | 板塔结合,2人关注 / 一年前发布,21,"2,909元/平"
业主急售，急售，房子3+1户型！妇幼保健院后面！,金陵新村小区 -火车站,3室2厅 | 94.94平米 | 南 北 | 其他 | 6层  | 板塔结合,20人关注 / 一年前发布,25,"2,634元/平"
急售 此房一楼 产权清晰 支持各种付款方式,蟠龙花园 -上马营,3室1厅 | 98.04平米 | 南 北 | 简装 | 7层  | 板塔结合,2人关注 / 5个月以前发布,32,"3,264元/平"
轩苑新上三室 中间楼层 有本可按揭，可随时看房,轩苑世家Ⅱ期 -陈仓园,3室2厅 | 131.64平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,6人关注 / 11个月以前发布,75,"5,698元/平"
急售 店子街，改造过小区 房子南北通透，采光好！,东站西区家属院 -上马营,2室1厅 | 48.35平米 | 南 北 | 其他 | 5层  | 板楼,11人关注 / 一年前发布,8.5,"1,759元/平"
急售店子街优质房源，南边大阳台，厨房卫生间带窗户！,桃园小区 -上马营,2室2厅 | 111.63平米 | 南 北 | 简装 | 7层  | 板楼,2人关注 / 一年前发布,30.6,"2,742元/平"
精装修拎包入住，楼龄新，旁边就是陈仓园市场,轩苑紫郡 -陈仓园,3室2厅 | 143.99平米 | 南 北 | 其他 | 16层  | 板塔结合,0人关注 / 3个月以前发布,120,"8,334元/平"
地段好，大庆路枫露兰湾小区，业主诚心出售！,枫露兰湾 -大庆路,2室2厅 | 75.48平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 8个月以前发布,30,"3,975元/平"
宏文路电梯大两室 111.74平米 交通便利,盛世花园 -大庆路,2室2厅 | 111.74平米 | 南 北 | 其他 | 低楼层(共24层)  | 板塔结合,2人关注 / 7个月以前发布,57,"5,102元/平"
大庆路 精装修 盛世花园 带家具家电 可按揭,盛世花园 -大庆路,3室2厅 | 142.62平米 | 南 北 | 其他 | 低楼层(共24层)  | 板塔结合,0人关注 / 2个月以前发布,86,"6,031元/平"
陈仓园大社区 环境好 人车分流  有本可按揭,軒苑世家一期 -陈仓园,2室2厅 | 90.03平米 | 南 | 其他 | 中楼层(共33层)  | 板塔结合,0人关注 / 4个月以前发布,61.5,"6,832元/平"
房子属于繁华地段，有需要的朋友可以多多带看,陈仓园铁路住宅A区 -陈仓园,2室1厅 | 67.72平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 7个月以前发布,25,"3,692元/平"
南北通透，采光好视野足 可按揭,豪城天下D区 -新福路,3室2厅 | 104.14平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,1人关注 / 7个月以前发布,49.5,"4,754元/平"
桥南|一城江山|两室毛坯|有钥匙|随时看房子,聚丰一城江山I期 -石坝河,2室2厅 | 88.33平米 | 南 | 其他 | 高楼层(共33层)  | 板楼,0人关注 / 4天以前发布,48,"5,435元/平"
高新四路 步梯4楼 两室诚心出售,左岸新城 -高新区,2室2厅 | 98.66平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 6个月以前发布,54,"5,474元/平"
此房满二，户型好，配套齐全，交通便利,渭水苑B区 -高新区,3室2厅 | 105.5平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,56,"5,309元/平"
地理位置好 出行方便 适合居住 配套比较完善,鹏博财富中心 -三迪,3室2厅 | 134.91平米 | 南 北 | 精装 | 中楼层(共16层)  | 板楼,4人关注 / 一年前发布,83,"6,153元/平"
三迪加州阳光 精装修 两室 家具家电 拎包入住 满二,三迪加州阳光小区 -三迪,2室2厅 | 77.11平米 | 南 | 精装 | 低楼层(共11层)  | 板塔结合,2人关注 / 4个月以前发布,52,"6,744元/平"
房子双阳台     光线比较好   交通便利,宏文路西社区 -大庆路,2室1厅 | 76.32平米 | 东 南 | 其他 | 高楼层(共7层)  | 板楼,1人关注 / 6个月以前发布,17.9,"2,346元/平"
高新十路 凌云现代城 121平三室 交通便利,凌云·现代城 -高新区,3室2厅 | 121平米 | 南 北 | 其他 | 高楼层(共27层)  | 板楼,0人关注 / 8天以前发布,76,"6,281元/平"
户型好， 视野开阔， 明厨明卫，小区环境好,盛和假日 -姜谭路,3室2厅 | 125.32平米 | 东 | 其他 | 中楼层(共5层)  | 板楼,0人关注 / 3个月以前发布,59.8,"4,772元/平"
金台区   大庆路   三室两厅一卫   简装    中间楼层,电力新苑 -大庆路,3室2厅 | 93平米 | 南 北 | 其他 | 高楼层(共6层)  | 塔楼,2人关注 / 8个月以前发布,28,"3,011元/平"
新秦花园住宅小区 2室1厅 南 北,新秦花园住宅小区 -大庆路,2室1厅 | 95.38平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 13天以前发布,29,"3,041元/平"
房子满两年无大税，南北通透，精装修,百翠园B区 -新福路,2室1厅 | 97.87平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,55,"5,620元/平"
姜谭路，精装三室，家具家电齐全，拎包入住！,残联家属院 -姜谭路,3室1厅 | 135.74平米 | 南 北 | 其他 | 高楼层(共17层)  | 板楼,0人关注 / 4个月以前发布,65,"4,789元/平"
轩苑新上三室 中间楼层 有本可按揭，可随时看房,轩苑世家Ⅱ期 -陈仓园,3室2厅 | 131.64平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,6人关注 / 11个月以前发布,75,"5,698元/平"
高新十二路 阳光上东 复式 带电梯 可按揭,阳光上东 -高新区,2室2厅 | 45.84平米 | 北 南 | 其他 | 高楼层(共16层)  | 板塔结合,2人关注 / 5个月以前发布,30,"6,545元/平"
高新二路宏运佳园，有优质房源，设施配套成熟。,宏运佳苑 -高新区,3室2厅 | 123.98平米 | 北 南 | 其他 | 低楼层(共7层)  | 板楼,2人关注 / 5个月以前发布,75,"6,050元/平"
斗鸡宏文路精品3室精装可按揭急售,西建·康城 -大庆路,3室2厅 | 104.11平米 | 南 北 | 精装 | 18层  | 板楼,6人关注 / 10个月以前发布,59,"5,668元/平"
急售，婚房装修，宝鸡市闹中取静！精装修两居室！,得力康小区 -上马营,2室2厅 | 110.37平米 | 南 北 | 精装 | 6层  | 板塔结合,3人关注 / 11个月以前发布,36,"3,262元/平"
此房南北通透，无遮挡，业主诚心出售。,新福园二区 -新福路,2室1厅 | 74.66平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,35,"4,688元/平"
陈仓园多层一楼养老房户型方正南北通透繁华路段,陈仓园 -陈仓园,2室2厅 | 91.4平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,4人关注 / 5个月以前发布,42,"4,596元/平"
南北通透，精装修，满五唯一，业主急售,方豪花园 -大庆路,2室2厅 | 105.32平米 | 北 南 | 其他 | 7层  | 板楼,11人关注 / 一年前发布,32,"3,039元/平"
恒源酒店南面，团结花园两室中间楼层业主诚意出售。,团结花园C区北区 -大庆路,2室2厅 | 97.95平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 7个月以前发布,44,"4,493元/平"
电镀厂低楼层低价位，大庆路繁华地段，出行方便,电镀厂 -大庆路,2室2厅 | 83.43平米 | 南 | 其他 | 高楼层(共4层)  | 板楼,0人关注 / 8个月以前发布,33,"3,956元/平"
宏文路多层两室 68.82平米  价格可小刀,中铁一局新运公司 -大庆路,2室2厅 | 68.82平米 | 南 北 | 其他 | 高楼层(共7层)  | 平房,0人关注 / 9个月以前发布,20,"2,907元/平"
小区环境优美，管理规范，业主急售！买了它拥有她/他,兰宝小区 -三迪,2室2厅 | 108.98平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,19人关注 / 一年前发布,44,"4,038元/平"
此房本满五！南北通透！电梯中间楼层！,恒源小区 -大庆路,2室2厅 | 117.21平米 | 南 北 | 简装 | 高楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,58.6,"5,000元/平"
大庆路精品3室精装电梯南北通透急售,恒源小区 -大庆路,3室2厅 | 116.71平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,2人关注 / 一年前发布,66,"5,656元/平"
大庆路东侧96平米2室精装电梯房可按揭,万祥尚锦 -大庆路,2室2厅 | 96.61平米 | 东 | 其他 | 高楼层(共28层)  | 板楼,1人关注 / 8个月以前发布,54.8,"5,673元/平"
大庆路繁华地段，配套齐全，交通便利，大型社区,宝鸡供电局东区家属院 -大庆路,2室2厅 | 90.09平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,3人关注 / 一年前发布,22,"2,443元/平"
大庆路两室两厅一卫    电梯房   中等装修可按揭,恒源小区 -大庆路,2室2厅 | 115.35平米 | 南 北 | 其他 | 中楼层(共18层)  | 板塔结合,0人关注 / 3个月以前发布,59.8,"5,185元/平"
明厨明卫全明采光，高档精装，高档家具，业主诚心出售,豪城天下D区 -新福路,5室3厅 | 189.02平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,6人关注 / 一年前发布,93.5,"4,947元/平"
陈仓园世纪荟萃  精准三室房子出售,世纪荟萃 -陈仓园,3室2厅 | 116.86平米 | 南 | 精装 | 中楼层(共23层)  | 暂无数据,5人关注 / 11个月以前发布,68,"5,819元/平"
小区环境好，安全措施完善，整个小区内干净整洁,豪城天下D区 -新福路,3室2厅 | 102.29平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,50,"4,889元/平"
金台大道繁华地段  品质好房  拎包入住,轩苑小区 -陈仓园,4室2厅 | 166.7平米 | 南 北 | 其他 | 高楼层(共18层)  | 板楼,1人关注 / 7个月以前发布,75,"4,500元/平"
业主急售 大庆路 两室精装房 看房方便,虢十路10号院 -大庆路,2室2厅 | 92.07平米 | 南 北 | 其他 | 中楼层(共6层)  | 板塔结合,1人关注 / 6个月以前发布,36.2,"3,932元/平"
陈仓园 简装2室 南北通透 满五无大税 可按揭,陈仓园 -陈仓园,2室2厅 | 91.4平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,11人关注 / 一年前发布,26,"2,845元/平"
"陈仓园轩苑小区，电梯房精装修,",轩苑小区 -陈仓园,2室2厅 | 96.1平米 | 南 北 | 其他 | 32层  | 板楼,3人关注 / 一年前发布,67.8,"7,056元/平"
此房满五年 房子是多次一楼 明厨明卫 户型方正 采光好,电力新苑 -大庆路,3室2厅 | 93.63平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,38,"4,059元/平"
大庆路团结花园经典户型南北通透38万低价出售,团结花园C区南区 -大庆路,2室2厅 | 104.53平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,2人关注 / 9个月以前发布,38,"3,636元/平"
低楼层 出行便利 小区环境好 安静舒适 配套设施完善,红光小区 -新福路,2室2厅 | 87.7平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,2人关注 / 8个月以前发布,28.5,"3,250元/平"
大庆路繁华地段市政府旁三室电梯好房,盛世观邸 -三迪,3室2厅 | 136.34平米 | 南 北 | 其他 | 33层  | 板塔结合,0人关注 / 6个月以前发布,82,"6,015元/平"
小区购物方便 多层房 南北通透 采光好 无浪费,叉车五厂家属院 -大庆路,2室1厅 | 72.77平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 8个月以前发布,28,"3,848元/平"
大庆路繁华地段三室两厅房子，2楼出行方便。,方豪花园 -大庆路,3室2厅 | 137.92平米 | 南 北 | 其他 | 7层  | 板楼,3人关注 / 11个月以前发布,61,"4,423元/平"
业主急售  大庆路繁华地段 看房方便,虢十路10号院 -大庆路,2室2厅 | 92.07平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 4个月以前发布,30,"3,259元/平"
精装三室  拎包入住  房本满二 无大税  可按揭,春天大道 -新福路,3室2厅 | 119.75平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,52人关注 / 一年前发布,48.5,"4,051元/平"
新福路  电梯   三室好房   中间楼层出售,秦佳西花园 -新福路,3室2厅 | 155.85平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,1人关注 / 3个月以前发布,103,"6,609元/平"
陈仓园  大两室 南北通透  小区正在加装电梯,陈仓园 -陈仓园,2室2厅 | 91.4平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,2人关注 / 7个月以前发布,30.8,"3,370元/平"
配套设施完善，交通便利，小孩上学方便。,陈仓园 -陈仓园,2室2厅 | 91.4平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 7个月以前发布,33.8,"3,699元/平"
大庆路繁华地段，交通便利，  配套齐全,宝鸡供电局东区家属院 -大庆路,3室1厅 | 92.83平米 | 南 北 | 其他 | 7层  | 板楼,5人关注 / 一年前发布,34.8,"3,749元/平"
大庆路 单位房 温馨三室中间楼层 看房提前联系！,宝鸡供电局东区家属院 -大庆路,3室2厅 | 126平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,10人关注 / 一年前发布,46,"3,651元/平"
三迪加州阳光  地理位置优  设施好   优选好房,三迪加州阳光小区 -三迪,3室2厅 | 127.43平米 | 南 北 | 其他 | 中楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,95,"7,456元/平"
急售宏文路西建领秀精装高层电梯房,西建领秀 -大庆路,3室2厅 | 101.82平米 | 南 西 | 精装 | 高楼层(共26层)  | 板楼,18人关注 / 一年前发布,57.8,"5,677元/平"
南北通透，采光好视野足 可按揭,豪城天下D区 -新福路,3室2厅 | 104.14平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,1人关注 / 7个月以前发布,49.5,"4,754元/平"
桥南|一城江山|两室毛坯|有钥匙|随时看房子,聚丰一城江山I期 -石坝河,2室2厅 | 88.33平米 | 南 | 其他 | 高楼层(共33层)  | 板楼,0人关注 / 4天以前发布,48,"5,435元/平"
大庆路通天河小区  101平 电梯房 53万 拎包入住,通天河小区 -大庆路,2室2厅 | 101.32平米 | 南 北 | 其他 | 高楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,53,"5,231元/平"
"全明户型,精装修,业主自住,家具家电齐全,直接入住",百翠园 -新福路,2室2厅 | 92.69平米 | 东 南 | 其他 | 高楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,60,"6,474元/平"
欧洲城电梯房，精装基本未入住，业主急售，看房方便,凯跃欧洲城 -桥南,3室2厅 | 56.25平米 | 南 北 | 其他 | 中楼层(共19层)  | 板塔结合,0人关注 / 1个月以前发布,39.8,"7,076元/平"
高新二路 高新二xiao 旁边 低楼层三居室,城市枫景 -高新区,3室2厅 | 104.25平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,10人关注 / 一年前发布,71,"6,811元/平"
高新四路繁华地段 产证满五唯一免个税免大税 产权清晰,水韵江南 -高新区,3室2厅 | 143.11平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,6人关注 / 一年前发布,85,"5,940元/平"
精装修，精心设计，楼层好，离植物园近,孔家大院 -姜谭路,3室2厅 | 128.45平米 | 东南 | 精装 | 中楼层(共27层)  | 板塔结合,2人关注 / 一年前发布,62,"4,827元/平"
高新四路 步梯4楼 两室诚心出售,左岸新城 -高新区,2室2厅 | 98.66平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 6个月以前发布,54,"5,474元/平"
三迪兰宝 随时过户 南北通透 中间楼层,兰宝小区 -三迪,2室2厅 | 102.57平米 | 南 北 | 其他 | 中楼层(共13层)  | 板塔结合,1人关注 / 5个月以前发布,57,"5,558元/平"
此房满二，户型好，配套齐全，交通便利,渭水苑B区 -高新区,3室2厅 | 105.5平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,56,"5,309元/平"
房子业主急售，房子在大庆路上，交通便利。,七一七总队南院 -大庆路,2室2厅 | 108.77平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,28,"2,575元/平"
本房户型方正，通透 ，有房本，可贷款，孩子上学方便,左岸新城 -高新区,2室1厅 | 74.82平米 | 南 | 简装 | 低楼层(共7层)  | 塔楼,49人关注 / 一年前发布,39.9,"5,333元/平"
高新四路，华厦.公园，准现房，中间楼层，大三室，,华厦·中央公园 -高新区,3室2厅 | 134平米 | 南 北 | 其他 | 中楼层(共31层)  | 板楼,0人关注 / 14天以前发布,91,"6,792元/平"
地理位置好 出行方便 适合居住 配套比较完善,鹏博财富中心 -三迪,3室2厅 | 134.91平米 | 南 北 | 精装 | 中楼层(共16层)  | 板楼,4人关注 / 一年前发布,83,"6,153元/平"
八方山铅锌矿业有限责任公司家属院 2室2厅 南 北,八方山铅锌矿业有限责任公司家属院 -桥南,2室2厅 | 85.74平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 9天以前发布,30,"3,499元/平"
户型方正，采光十足，全明户型。,南洋国际花园 -桥南,3室2厅 | 142.33平米 | 南 | 其他 | 中楼层(共25层)  | 板塔结合,1人关注 / 一年前发布,88,"6,183元/平"
桥南英达路世纪锦园精装大三室看房方便,世纪锦园 -桥南,3室2厅 | 129.78平米 | 南 北 | 其他 | 中楼层(共7层)  | 板塔结合,0人关注 / 3个月以前发布,45,"3,468元/平"
房开路精装修大两室南北通透领包入住,公园路154号大院 -桥南,2室2厅 | 99.27平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,1人关注 / 5个月以前发布,39.5,"3,980元/平"
优质房源，不容错过，错过了就没有了，还在犹豫吗？,凯跃欧洲城 -桥南,2室2厅 | 121平米 | 南 北 | 简装 | 高楼层(共19层)  | 板塔结合,40人关注 / 一年前发布,40.8,"3,372元/平"
桥南新上低楼层两室 地段好 出行方便,太白路5号院 -桥南,2室2厅 | 97.8平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 11个月以前发布,32,"3,272元/平"
八方山铅锌矿业有限责任公司家属院 2室2厅 南 北,八方山铅锌矿业有限责任公司家属院 -桥南,2室2厅 | 85.74平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 9天以前发布,30,"3,499元/平"
人民公园|桥南|电梯三室|精装修|,仁和公园华府 -桥南,3室2厅 | 138.88平米 | 南 北 | 其他 | 中楼层(共32层)  | 板塔结合,1人关注 / 8个月以前发布,91,"6,553元/平"
优质房源，不容错过，错过了就没有了，还在犹豫吗？,凯跃欧洲城 -桥南,2室2厅 | 121平米 | 南 北 | 简装 | 高楼层(共19层)  | 板塔结合,40人关注 / 一年前发布,40.8,"3,372元/平"
大三室装修保持良好 电梯中间楼层 无遮挡,萬祥花園 -桥南,3室2厅 | 142.33平米 | 东 西 | 其他 | 高楼层(共18层)  | 板塔结合,0人关注 / 6个月以前发布,55,"3,865元/平"
桥南英达路世纪锦园精装大三室看房方便,世纪锦园 -桥南,3室2厅 | 129.78平米 | 南 北 | 其他 | 中楼层(共7层)  | 板塔结合,0人关注 / 3个月以前发布,45,"3,468元/平"
房开路精装修大两室南北通透领包入住,公园路154号大院 -桥南,2室2厅 | 99.27平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,1人关注 / 5个月以前发布,39.5,"3,980元/平"
房子石油电梯房，电梯中间楼层 采光好 产权清晰满..,宝石东厂社区 -上马营,2室2厅 | 103平米 | 西南 | 其他 | 24层  | 板塔结合,0人关注 / 10天以前发布,49,"4,758元/平"
高新二路 万润花园 精装两室 低楼层   看房有钥匙,万润城市花园 -高新区,2室2厅 | 102.96平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,60,"5,828元/平"
方豪花园  中间楼层  大两室 南北通透 带地下室出售,方豪花园 -大庆路,2室2厅 | 107.48平米 | 南 北 | 简装 | 7层  | 板塔结合,5人关注 / 8个月以前发布,42,"3,908元/平"
房东急售经一路简装电梯房两室住宅楼一套,百富小区 -火车站,2室1厅 | 104.33平米 | 南 北 | 简装 | 中楼层(共13层)  | 塔楼,2人关注 / 一年前发布,34.5,"3,307元/平"
高新六路渭水苑B区 精装三室 东西齐全 拎包入住,渭水苑B区 -高新区,3室2厅 | 134.74平米 | 南 | 精装 | 高楼层(共12层)  | 板楼,0人关注 / 2个月以前发布,77,"5,715元/平"
一梯两户南北通透公摊小交通方便配套成熟,朝阳华城 -卧龙寺,2室2厅 | 91.33平米 | 南 北 | 其他 | 高楼层(共6层)  | 塔楼,2人关注 / 6个月以前发布,32.5,"3,559元/平"
此房南北通风、户型方正 采光好，精装修。,华辰凤凰城 -卧龙寺,3室2厅 | 125平米 | 北 南 | 其他 | 高楼层(共6层)  | 塔楼,2人关注 / 10个月以前发布,51,"4,080元/平"
水木电梯大三室，三开间朝南，全新精装修,水木清華 -高新区,3室2厅 | 137.65平米 | 南 | 其他 | 高楼层(共24层)  | 板塔结合,1人关注 / 5个月以前发布,92,"6,684元/平"
人民街市场跟前，三室精装修，拎包入住，急售。。。。,建华小区一号院 -群众路,3室1厅 | 88.38平米 | 东 西 | 精装 | 7层  | 板塔结合,20人关注 / 一年前发布,27.8,"3,146元/平"
高新一路 大三室 中间楼层 拎包入住 房本满二可按揭,在水一方 -高新区,3室1厅 | 140.6平米 | 南 北 | 精装 | 中楼层(共28层)  | 塔楼,0人关注 / 31天以前发布,86.6,"6,160元/平"
清姜两室 有房本可按揭 看房方便,长岭安居小区 -清姜,2室2厅 | 76.3平米 | 东 | 其他 | 高楼层(共7层)  | 板楼,1人关注 / 1个月以前发布,19,"2,491元/平"
大庆路旁102平米 三室精装修南北通透 拎包入住,西建领秀 -大庆路,3室2厅 | 101.82平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,8人关注 / 10个月以前发布,58,"5,697元/平"
恒源小区 2室1厅 北,恒源小区 -大庆路,2室1厅 | 102平米 | 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 10天以前发布,41,"4,020元/平"
桥南大型社区，房龄新，房子户型好  比较通透,玉泉花园南区 -桥南,3室2厅 | 126.26平米 | 南 北 | 其他 | 低楼层(共7层)  | 板楼,2人关注 / 一年前发布,52,"4,119元/平"
楼龄新，无大税，电梯三室，你值得拥有,百合都市 -桥南,3室2厅 | 107.51平米 | 南 北 | 简装 | 中楼层(共16层)  | 板楼,15人关注 / 一年前发布,49.5,"4,605元/平"
楼龄新，南北通透格局，全明户型，电梯房,凯旋城 -大庆路,3室2厅 | 142.72平米 | 南 北 | 其他 | 高楼层(共27层)  | 板塔结合,0人关注 / 1个月以前发布,70,"4,905元/平"
业主诚心出售此房，教育资源丰富。,高新佳园一期 -高新区,2室1厅 | 80.34平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,46人关注 / 一年前发布,37.8,"4,706元/平"
宝光路美伦小区  4楼中等装修  南北通透 全明户型,聚丰美伦小区 -石坝河,2室2厅 | 101.37平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,43,"4,242元/平"
精装四室房子，上下两层，带漏天阳台,中铁三局小区 -桥南,4室2厅 | 136平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,7人关注 / 11个月以前发布,62,"4,559元/平"
百合高尔夫印象小区 3室2厅 南 北,百合高尔夫印象小区 -高新区,3室2厅 | 143.83平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 板楼,0人关注 / 一年前发布,67.39,"4,686元/平"
开发商一手程序 首付22万 纯毛坯,百合高尔夫印象小区 -高新区,3室2厅 | 143.83平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板楼,3人关注 / 一年前发布,69.12,"4,806元/平"
新福路三室边户，可按揭，轩苑盛世3期毛坯,轩苑盛世三期B区 -新福路,3室2厅 | 126.3平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 3个月以前发布,65,"5,147元/平"
恒源公园时光，现房3室，户型方正,恒源公园时光 -火车站,3室2厅 | 124平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 暂无数据,0人关注 / 2个月以前发布,67,"5,404元/平"
宝隆御邸 上下两层 公园旁的房子有本可按揭,宝隆御邸 -火车站,4室2厅 | 120平米 | 东 西 | 精装 | 高楼层(共22层)  | 暂无数据,1人关注 / 6个月以前发布,135,"11,250元/平"
此房满二无大税带一个独立小院精装修未入住小区绿化高,三迪世纪新城金岸区 -三迪,6室4厅 | 148平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,47人关注 / 一年前发布,160,"10,811元/平"
新建路西段 中装两室 户型方正 结构合理 采光充足,渭滨区新建路西段13号院 -火车站,2室2厅 | 105平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 3个月以前发布,39,"3,715元/平"
红旗路北口2室 中装 可按揭 干净整洁 看房方便,中山西路2号 -群众路,2室2厅 | 100.8平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,32.9,"3,264元/平"
市政府 70年住宅  洋房 毛坯 大四室 好物业 有车位,鹏博财富中心 -三迪,4室2厅 | 145.07平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 板楼,4人关注 / 11个月以前发布,98,"6,756元/平"
