标题,开发商,房子信息,发布信息,售价/万,单价
金港静园，带20平大露台，精装2+1户型，业主诚心卖,金港静园 -路北区,2室1厅 | 97.52平米 | 南 北 | 精装 | 低楼层(共23层)  | 板楼,0人关注 / 29天以前发布,123,"12,613元/平"
祥丰里 南北通 有装修 明厅 看房方便,祥丰里小区 -路北区,2室1厅 | 75.22平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,3人关注 / 一年前发布,90,"11,965元/平"
南北通透，楼层好，视野开阔，全天采光,宏翔里香木林 -路北区,3室2厅 | 131平米 | 南 北 | 简装 | 高楼层(共10层)  | 板楼,7人关注 / 一年前发布,206,"15,726元/平"
满2不满5带装修，楼层采光视野好，南北通透,金域名邸 -丰润区,3室1厅 | 117.32平米 | 南 北 | 其他 | 高楼层(共18层)  | 塔楼,0人关注 / 一年前发布,125,"10,655元/平"
丰源南里裕丰楼 2室2厅 北 南,丰源南里裕丰楼 -路北区,2室2厅 | 82.41平米 | 北 南 | 其他 | 低楼层(共6层)  | 板楼,6人关注 / 一年前发布,128,"15,533元/平"
三室 非顶层 38中 可贷款 朝南大客厅,21小区 -丰润区,3室2厅 | 130平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,110,"8,462元/平"
丰润城西小区 3室1厅 南 北,丰润城西小区 -丰润区,3室1厅 | 81.49平米 | 南 北 | 其他 | 高楼层(共5层)  | 板楼,0人关注 / 一年前发布,61,"7,486元/平"
老本唯一 公摊小 小区环境优雅，大城山公园,草场社区 -路北区,3室1厅 | 68.9平米 | 南 北 | 简装 | 高楼层(共4层)  | 板楼,13人关注 / 一年前发布,51.5,"7,475元/平"
此房在唐丰路上。交通方便，免费停车,融侨半岛 -丰润区,3室2厅 | 128.03平米 | 南 北 | 其他 | 低楼层(共26层)  | 板楼,0人关注 / 一年前发布,100,"7,811元/平"
满5且唯一，精装修，有车位，有地下，户型方正,万科金域蓝湾二期 -路北区,3室2厅 | 133.84平米 | 南 北 | 其他 | 高楼层(共26层)  | 板楼,4人关注 / 8个月以前发布,200,"14,944元/平"
俯瞰别墅区  中间层  随时签约  老本,唐城·壹零壹 -路北区,3室2厅 | 152.52平米 | 南 北 | 其他 | 中楼层(共32层)  | 板楼,1人关注 / 5个月以前发布,390,"25,571元/平"
翰林雅居 3室2厅 南 北,翰林雅居 -高新区,3室2厅 | 137.59平米 | 南 北 | 简装 | 低楼层(共27层)  | 板楼,8人关注 / 8个月以前发布,260,"18,897元/平"
龙泉西里南北通透两居室，精装修，老本，框架结构,龙泉西里 -路北区,2室2厅 | 87.99平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,4人关注 / 8个月以前发布,85,"9,661元/平"
房主诚心出售  看房方便   位置佳,钓鱼台北楼 -路北区,3室1厅 | 70.58平米 | 北 南 | 其他 | 低楼层(共4层)  | 板楼,1人关注 / 7个月以前发布,78,"11,052元/平"
一层可做底商，产权清晰，有本可贷款，看房方便,正泰里惠民园 -路北区,3室1厅 | 111.38平米 | 南 北 | 其他 | 低楼层(共11层)  | 板楼,0人关注 / 10天以前发布,134,"12,031元/平"
精装修的房源，房主诚意出售，看房提前联系。,都市花园小区 -高新区,2室1厅 | 101.18平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 5个月以前发布,115,"11,366元/平"
小区环境优美交通便捷采光好看房方便,碧玉华府 -路北区,3室2厅 | 125平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 4个月以前发布,195,"15,600元/平"
老本可以办理贷款，精装修 两室两厅。,世纪龙庭C区 -高新区,2室2厅 | 96.45平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,17人关注 / 一年前发布,161,"16,693元/平"
湖岸新城   交通便利   生活方便........,湖岸新城 -丰南区,3室1厅 | 115平米 | 南 | 其他 | 中楼层(共17层)  | 板楼,0人关注 / 8天以前发布,75,"6,522元/平"
唐山北站商圈，精装三居，拎包入住,大悦福园小区 -丰润区,3室2厅 | 104.25平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,6人关注 / 一年前发布,80,"7,674元/平"
帝景豪庭 3室2厅 南 北,帝景豪庭 -丰润区,3室2厅 | 144.86平米 | 南 北 | 其他 | 高楼层(共17层)  | 板楼,1人关注 / 4个月以前发布,160,"11,046元/平"
房主急售  三居室带阁楼    户型好,东新苑 -开平区,3室2厅 | 157.32平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,10人关注 / 一年前发布,89,"5,658元/平"
23小区，全明南北通透户型，房龄新，位置好,23小区 -丰润区,2室2厅 | 101.36平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,78,"7,696元/平"
站西片区，精装修，大两室，带阳光房，全天无遮挡,骏安园北区 -路北区,2室2厅 | 91.06平米 | 南 | 其他 | 低楼层(共28层)  | 板楼,4人关注 / 9个月以前发布,95.5,"10,488元/平"
盛馨园 2室1厅  精装修 交通便利 老本可贷款,盛馨园 -路北区,2室1厅 | 87.74平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,20人关注 / 一年前发布,86,"9,802元/平"
有车位，有地下室 精装修 小区环境优美,绿锦园 -路北区,3室2厅 | 139.75平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,3人关注 / 10个月以前发布,165,"11,807元/平"
电建地产首郡，三阳户型，南北通透,电建地产首郡 -路北区,3室2厅 | 137.06平米 | 南 北 | 精装 | 中楼层(共25层)  | 板楼,7人关注 / 8个月以前发布,265,"19,335元/平"
此房南北通透格局，房子精装修的很漂亮现在简约风格,时代景苑 -路北区,3室1厅 | 94.98平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,1人关注 / 7个月以前发布,140,"14,740元/平"
电厂社区  两居室  中间楼层   可以公积金贷款,电厂社区 -路北区,2室2厅 | 87.84平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,1人关注 / 7个月以前发布,83,"9,449元/平"
南湖金地开发，新交的房子，嘎嘎新，小区环境好,仁泰里 -路北区,3室2厅 | 122.74平米 | 南 北 | 其他 | 高楼层(共27层)  | 板楼,0人关注 / 11天以前发布,148,"12,059元/平"
水电首郡 大院里的房子，小高层，带三个阳台，老本,电建地产首郡 -路北区,3室2厅 | 119.2平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,20人关注 / 一年前发布,230,"19,296元/平"
天元花园 3室2厅 北 南,天元花园 -路北区,3室2厅 | 145平米 | 北 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,205,"14,138元/平"
南北通透，环境优越，产权清晰.,电建地产首郡 -路北区,3室2厅 | 134.89平米 | 南 北 | 其他 | 高楼层(共26层)  | 板楼,2人关注 / 6个月以前发布,239,"17,719元/平"
交通便利，环境优雅，南北通透格局,红日楼 -丰南区,3室2厅 | 125.46平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,4人关注 / 一年前发布,78,"6,218元/平"
21小区 2室2厅 南 北,21小区 -丰润区,2室2厅 | 93平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 11天以前发布,71,"7,635元/平"
五金城东越河花苑+两室H户型+老本可贷款+精装拎包住,东越河花苑 -开平区,2室2厅 | 88.77平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,56,"6,309元/平"
采光忒别好的一套房源，三居室南北通透,新兴小区 -丰润区,3室1厅 | 69.86平米 | 南 北 | 简装 | 中楼层(共4层)  | 暂无数据,1人关注 / 一年前发布,50,"7,158元/平"
可过户贷款、步梯   简单装修 明厨明卫,古镇新城璞园 -开平区,2室2厅 | 81.2平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,60,"7,390元/平"
城西，南北通，拎包入住，可贷款，两室一厅,丰润城西小区 -丰润区,2室1厅 | 76.8平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,3人关注 / 一年前发布,60,"7,813元/平"
东城绿庭 2室2厅 南 北,东城绿庭 -开平区,2室2厅 | 100.12平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 4天以前发布,68,"6,792元/平"
51甲区3层南北通可以贷款产权清晰,光明西里甲区 -路北区,2室1厅 | 72.29平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,9人关注 / 一年前发布,125,"17,292元/平"
友谊里 2室1厅 南 北,友谊里 -路南区,2室1厅 | 82.95平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,95,"11,453元/平"
此房高楼层， 采光好 70年产权，民水民电，价格美丽,万达广场E区 -路南区,3室1厅 | 132.35平米 | 东 南 西 | 简装 | 高楼层(共34层)  | 板楼,2人关注 / 5个月以前发布,124,"9,370元/平"
天元3组团 大阳台 三层 带车位 带地下室,天元花园 -路北区,3室2厅 | 140.77平米 | 南 北 | 其他 | 中楼层(共5层)  | 板楼,6人关注 / 一年前发布,210,"14,918元/平"
金色和园精装全明户型 跃层 采光好,金色和园 -路南区,2室2厅 | 84.41平米 | 南 北 | 精装 | 高楼层(共15层)  | 板楼,15人关注 / 9个月以前发布,128,"15,165元/平"
唐山北站商圈，精装三居，拎包入住,大悦福园小区 -丰润区,3室2厅 | 104.25平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,6人关注 / 一年前发布,80,"7,674元/平"
采光忒别好的一套房源，三居室南北通透,新兴小区 -丰润区,3室1厅 | 69.86平米 | 南 北 | 简装 | 中楼层(共4层)  | 暂无数据,1人关注 / 一年前发布,50,"7,158元/平"
帝景豪庭 3室2厅 南 北,帝景豪庭 -丰润区,3室2厅 | 144.86平米 | 南 北 | 其他 | 高楼层(共17层)  | 板楼,1人关注 / 4个月以前发布,160,"11,046元/平"
远洋城南面小区，南北通，中层，三室，诚心出售,鹤祥园小区 -路北区,3室1厅 | 124.52平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,1人关注 / 4个月以前发布,170,"13,653元/平"
时代花园 两室南北通 精装修 中间楼层,时代花园 -路北区,2室2厅 | 91.77平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,5人关注 / 6个月以前发布,118,"12,859元/平"
富华东里惠丰楼 3室2厅 南 北,富华东里惠丰楼 -高新区,3室2厅 | 104.04平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,8人关注 / 10个月以前发布,89.5,"8,603元/平"
明珠大三室 步梯  中间楼层 精装修,明珠都市花園 -丰南区,3室2厅 | 120.46平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,6人关注 / 一年前发布,87,"7,223元/平"
凤凰北园，南北大阳台，三阳户型，满五唯一，诚心出售,凤凰园 -路北区,3室2厅 | 134.5平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,10人关注 / 7个月以前发布,145,"10,781元/平"
全天采光充足 物业配套设施齐全 小三居 满五,银隆花苑 -高新区,3室1厅 | 85.84平米 | 南 | 其他 | 高楼层(共4层)  | 暂无数据,3人关注 / 一年前发布,108,"12,582元/平"
中建城  现房随时看   支持贷款,中建城 -丰润区,3室1厅 | 130.69平米 | 南 北 | 其他 | 中楼层(共18层)  | 暂无数据,1人关注 / 一年前发布,126,"9,642元/平"
满五唯一南北通透采光充足 视野宽阔 配套齐全交通便利,瑞德花园泽兰苑 -路北区,4室3厅 | 325.53平米 | 南 北 | 其他 | 高楼层(共18层)  | 板楼,1人关注 / 一年前发布,560,"17,203元/平"
惠丰湖畔 改善型智能化小区 精装修 四室两厅两卫,碧桂园天悦湾一期 -丰南区,4室2厅 | 145平米 | 南 北 | 其他 | 低楼层(共17层)  | 板楼,4人关注 / 一年前发布,149,"10,276元/平"
碧桂园 天悦湾 南北通两居 现房 可随时入住,碧桂园天悦湾一期 -丰南区,6室2厅 | 262平米 | 南 北 | 其他 | 低楼层(共16层)  | 暂无数据,2人关注 / 一年前发布,305,"11,642元/平"
富力城小区 精装阳面一室 52平米 没有差额税,富力城小区 -遵化市,1室1厅 | 52平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 5个月以前发布,37,"7,116元/平"
碧桂园一期的小高，一梯两户，阳台已封，有装修。,碧桂园天悦湾一期 -丰南区,4室2厅 | 144.59平米 | 南 北 | 其他 | 中楼层(共14层)  | 暂无数据,0人关注 / 4个月以前发布,162,"11,205元/平"
国有手续三大三小民房 带院子  能过户   门口能停车,文翠路 -遵化市,4室2厅 | 139.38平米 | 南 北 | 其他 | 1层  | 暂无数据 | 联排别墅 ,0人关注 / 5个月以前发布,130,"9,328元/平"
东城绿庭 5室3厅 南 北,东城绿庭 -开平区,5室3厅 | 230平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,210,"9,131元/平"
格局好 采光好 中高层 俯瞰惠丰湖 尽享大美景色,君熙太和 -丰南区,4室2厅 | 177平米 | 南 北 | 其他 | 高楼层(共15层)  | 板楼,2人关注 / 一年前发布,210,"11,865元/平"
碧桂园天悦湾一期 4室2厅 南 北,碧桂园天悦湾一期 -丰南区,4室2厅 | 260平米 | 南 北 | 其他 | 中楼层(共16层)  | 暂无数据,3人关注 / 一年前发布,345,"13,270元/平"
碧桂园   143平  170万  Jing、装修,碧桂园天悦湾一期 -丰南区,4室2厅 | 143.37平米 | 南 北 | 精装 | 低楼层(共17层)  | 暂无数据,12人关注 / 一年前发布,142,"9,905元/平"
精装4室 公摊小  地理位置优越,碧桂园天悦湾二期 -丰南区,4室2厅 | 146平米 | 南 北 | 其他 | 高楼层(共14层)  | 塔楼,5人关注 / 一年前发布,160,"10,959元/平"
橡树湾 老本可贷款，毛坯随心装 业主诚心出售,华润▪橡树湾 -路北区,4室2厅 | 166平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,3人关注 / 一年前发布,450,"27,109元/平"
一层带下跃，有本可贷款。精装。3.5米挑高。,天源骏景 -路北区,5室2厅 | 510平米 | 南 北 | 其他 | 低楼层(共15层)  | 暂无数据,2人关注 / 8个月以前发布,1050,"20,589元/平"
浭阳诗苑  毛坯房 商品房 5室 大平米 好地段,浭阳诗苑 -丰润区,5室2厅 | 170平米 | 南 北 | 其他 | 低楼层(共27层)  | 板楼,7人关注 / 一年前发布,140,"8,236元/平"
鹭港五居室，好位置，全天采光，能贷款,鹭港小区 -路北区,5室2厅 | 184.15平米 | 南 北 | 其他 | 中楼层(共24层)  | 板塔结合,1人关注 / 4个月以前发布,325,"17,649元/平"
金岸红堡一期毛坯房 三阳户型  南北通透 二层带露台,金岸红堡 -路南区,4室2厅 | 151.9平米 | 南 北 | 毛坯 | 低楼层(共22层)  | 板楼,46人关注 / 一年前发布,185,"12,180元/平"
万润城 三室 东户 万科物业  本小区门口就是小 学,万润城 -丰润区,3室2厅 | 104.74平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 暂无数据,1人关注 / 5个月以前发布,91,"8,689元/平"
鼎旺大观 电梯房 户型方正 采光佳,鼎旺大观 -丰润区,4室2厅 | 178平米 | 南 北 | 其他 | 低楼层(共15层)  | 暂无数据,8人关注 / 一年前发布,150,"8,427元/平"
精装修四室，精装修，大开发商，小区环境好,恒大华府 -路北区,4室1厅 | 184平米 | 南 北 | 其他 | 低楼层(共31层)  | 板楼,3人关注 / 5个月以前发布,265,"14,403元/平"
光明西里丙区楼层好精装位置好可贷款交通发达配套齐全,光明西里丙区 -路北区,2室1厅 | 56平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 10天以前发布,104,"18,572元/平"
八方商圈金星里北区2室1厅1卫1厨 58.45平 98 万,金星里北区 -路北区,2室1厅 | 58.45平米 | 南 北 | 简装 | 低楼层(共4层)  | 板楼,0人关注 / 14天以前发布,98,"16,767元/平"
新世界水景花苑 2室2厅 南 北,新世界水景花苑 -丰南区,2室2厅 | 78.48平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 12天以前发布,51.8,"6,601元/平"
房子两室全阳，老本，精装修直接拎包入住。随时签约,凤凰世嘉 -路北区,2室1厅 | 76.59平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 14天以前发布,120,"15,668元/平"
北购商圈     一层     精装电暖密码锁，位置好！,纺织小区 -丰润区,1室1厅 | 42.27平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,1人关注 / 13天以前发布,42.8,"10,126元/平"
八方购物边上，东向大两室，无遮挡，家里坐着看日出,凯源花苑 -路北区,2室1厅 | 99.03平米 | 东 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 14天以前发布,85,"8,584元/平"
河北新人家 一层带小院 随时看房,河北新人家 -高新区,2室1厅 | 73.32平米 | 东南 | 简装 | 低楼层(共28层)  | 板楼,2人关注 / 11个月以前发布,77,"10,502元/平"
房子户型忒好，正经h户型。。。。。。,金都花园 -丰南区,2室2厅 | 87.29平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,56,"6,416元/平"
"房屋是老本,可直接拎包入住.交通方便,有菜市场.",银城花园金惠组团 -丰南区,1室1厅 | 59.39平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,33,"5,557元/平"
此房现在是老本，可以过户，房东同意贷款，首付少,金泰雅园 -丰南区,2室1厅 | 123平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,69,"5,610元/平"
煤医道外贸楼3室简装老本好房出售,煤医道外贸楼 -路北区,3室1厅 | 55.44平米 | 南 北 | 简装 | 高楼层(共4层)  | 板楼,0人关注 / 5个月以前发布,48,"8,659元/平"
精装修的房子 适合新婚的小两口,西北井 -路北区,1室1厅 | 35.16平米 | 南 | 精装 | 中楼层(共4层)  | 板楼,2人关注 / 一年前发布,50,"14,221元/平"
华岩南里 采光好 无遮挡 产权清晰,华岩南里社区 -路北区,1室1厅 | 35.23平米 | 南 | 其他 | 高楼层(共5层)  | 板楼,0人关注 / 一年前发布,40,"11,354元/平"
凤城国际 次顶层 满五唯一  68平精装修 拎包住,智源里凤城现代广场 -路北区,2室1厅 | 68.02平米 | 西南 | 简装 | 高楼层(共30层)  | 塔楼,0人关注 / 一年前发布,86,"12,644元/平"
凤城国际两室一厅小户型，适合居住，位置好,智源里凤城现代广场 -路北区,2室1厅 | 63.9平米 | 东 | 简装 | 中楼层(共30层)  | 塔楼,1人关注 / 一年前发布,83,"12,990元/平"
高各庄小区老本的房子业主诚心卖,高各庄社区 -路北区,2室1厅 | 50.1平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,1人关注 / 一年前发布,41,"8,184元/平"
老本唯一，税费少 ，采光好，出行方便。,昌隆大厦 -高新区,2室2厅 | 116.56平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 一年前发布,135,"11,583元/平"
煤医道，北滦楼小区，两室，全明户型，单价1万一平,北滦楼 -路北区,2室1厅 | 50.85平米 | 南 | 精装 | 高楼层(共5层)  | 板楼,2人关注 / 一年前发布,46,"9,047元/平"
远洋城商圈，老本省税，南北通透,裕华道邮电楼 -路北区,2室1厅 | 72.6平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,73,"10,056元/平"
两居 南北通透，全明户型 成型出售 看房提前预约,冯大里社区 -路北区,2室1厅 | 63.33平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,8人关注 / 一年前发布,75,"11,843元/平"
三小区 一室  看房方便。全天采光,唐车小区 -丰润区,1室1厅 | 38.74平米 | 北 南 | 简装 | 高楼层(共5层)  | 板楼,2人关注 / 一年前发布,31,"8,003元/平"
老本唯一的，阳面户型采光好，价格合适，随时看房。,高各庄社区 -路北区,1室1厅 | 50平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,2人关注 / 11个月以前发布,38.5,"7,700元/平"
此房老本，税低，爱琴海和八方，拎包入住,煤研里 -路北区,3室1厅 | 73.36平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,70,"9,542元/平"
瑞明楼 2室2厅 南 北,瑞明楼 -丰南区,2室2厅 | 83.1平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,1人关注 / 10个月以前发布,66,"7,943元/平"
此房为老本，带装修房，户型好，采光好，中间楼层,双湖锦苑二期 -丰南区,1室1厅 | 67.51平米 | 南 | 毛坯 | 中楼层(共26层)  | 板塔结合,0人关注 / 一年前发布,63,"9,332元/平"
诚售! 老本唯一  楼层好  采光充足,钓鱼台南楼 -路北区,2室1厅 | 57平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,3人关注 / 一年前发布,56,"9,825元/平"
青青家园2室 精装修 老本可贷款,青青家園 -丰南区,2室1厅 | 83.41平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,3人关注 / 一年前发布,61,"7,314元/平"
老本，南北通，采光好，户型好，社区成熟,钓鱼台南楼 -路北区,2室1厅 | 53.74平米 | 南 北 | 其他 | 高楼层(共5层)  | 板楼,0人关注 / 8个月以前发布,47,"8,746元/平"
许庄迎宾雅居 电梯次顶 精装自住 看房方便唐师付小54,许庄南里迎宾雅居 -路北区,2室2厅 | 84.63平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 一年前发布,150,"17,725元/平"
此房顶层带阁楼，已封好，老本不唯一，精装修,尚座花园 -路北区,2室1厅 | 90平米 | 南 北 | 精装 | 中楼层(共14层)  | 板楼,2人关注 / 一年前发布,160,"17,778元/平"
48号小区友谊北2室南北通透可贷款位置好配套齐全！,友谊北楼 -路北区,3室1厅 | 56.74平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,0人关注 / 9个月以前发布,78,"13,747元/平"
河茵北里 2室2厅 南 北,河茵北里 -高新区,2室2厅 | 62.66平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,4人关注 / 11个月以前发布,82,"13,087元/平"
远洋城商圈 边三室 业主诚心出售,中建二局四公司家属楼 -路北区,3室1厅 | 57.77平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,3人关注 / 一年前发布,45,"7,790元/平"
房源位置好 龙泽路小八方 房主诚心出售 价格可议,部东里 -路北区,2室1厅 | 58.35平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,14人关注 / 一年前发布,63,"10,797元/平"
祥富里 2室1厅 南 北,祥富里 -路北区,2室1厅 | 59.94平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,63,"10,511元/平"
兴盛楼可以贷款 房主诚心出售 户型好 价格可议,迎春里兴盛楼 -路北区,2室1厅 | 88.05平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,6人关注 / 一年前发布,129,"14,651元/平"
龙华里 两室一厅南北 老本可货款 采光好 诚心出售,龙华里 -高新区,2室1厅 | 57.96平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,7人关注 / 一年前发布,59,"10,180元/平"
此房可上龙泉，采光好，全天无遮挡,钢北里 -路北区,1室1厅 | 36平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 一年前发布,38.5,"10,695元/平"
站西片区 铁路楼 方正小两室 价格可商量,站前南铁路楼 -路北区,2室1厅 | 57.73平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,52,"9,008元/平"
燕山楼 2室1厅 南 北,燕山楼 -路北区,2室1厅 | 59.88平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,8人关注 / 一年前发布,75,"12,526元/平"
老本，采光好，南北通，无公摊，得房率高，带地下室,兴隆楼 -路北区,2室2厅 | 72平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,2人关注 / 一年前发布,92,"12,778元/平"
银丰家园永翠楼，老本可贷款，精装,银丰家园永翠楼 -丰南区,2室2厅 | 87.17平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,58,"6,654元/平"
凤东里 2室1厅 南,凤东里 -路北区,2室1厅 | 50.6平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,2人关注 / 一年前发布,55,"10,870元/平"
双湖地理位置好，新小区，电梯房，交通便利,双湖锦苑一期 -丰南区,2室2厅 | 86.75平米 | 南 | 精装 | 高楼层(共26层)  | 暂无数据,1人关注 / 一年前发布,65,"7,493元/平"
站西片 新河西楼 中间层 南北通 老本可贷款 房龄新,龙福里新河西楼 -路北区,2室1厅 | 71.75平米 | 南 北 | 简装 | 高楼层(共6层)  | 平房,3人关注 / 一年前发布,56,"7,805元/平"
东大里 一层 南向一室一厅 养老房 老本 可贷款,东大里 -路北区,1室1厅 | 36.23平米 | 南 | 精装 | 低楼层(共5层)  | 板楼,2人关注 / 5个月以前发布,53,"14,629元/平"
老本，南北通透格局，低层次方便，配套齐全,德源里 -路北区,1室1厅 | 46.32平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 一年前发布,67,"14,465元/平"
和平南楼 2室1厅 南 北,和平南楼 -路北区,2室1厅 | 52.77平米 | 南 北 | 其他 | 高楼层(共5层)  | 板楼,1人关注 / 一年前发布,59.5,"11,276元/平"
在这个房子是老本唯一，二层，小区里面有公园,翔云里 -路北区,2室1厅 | 69.9平米 | 东 西 | 简装 | 中楼层(共5层)  | 板塔结合,2人关注 / 一年前发布,86,"12,304元/平"
采光好两室阳面户型，教育，生活，出行都很方便,仁泰里 -路北区,2室1厅 | 64.67平米 | 南 | 简装 | 中楼层(共18层)  | 板楼,1人关注 / 9个月以前发布,60,"9,278元/平"
恒大学庭 1室1厅 南 恒大物业 楼层好 诚心出售,恒大学庭 -高新区,1室1厅 | 57.07平米 | 南 | 简装 | 中楼层(共24层)  | 板楼,0人关注 / 一年前发布,68,"11,916元/平"
双湖锦苑二期 2室2厅 南,双湖锦苑二期 -丰南区,2室2厅 | 79.22平米 | 南 | 简装 | 低楼层(共16层)  | 暂无数据,0人关注 / 6个月以前发布,73,"9,215元/平"
西北新楼；满五唯一，楼层好 税费很低、诚心卖、,西北新楼社区 -路北区,3室1厅 | 58.65平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 一年前发布,65,"11,083元/平"
站西片区大两室，中低楼层，采光好,骏安园北区 -路北区,2室2厅 | 90.58平米 | 南 | 简装 | 低楼层(共28层)  | 板楼,2人关注 / 11个月以前发布,90,"9,936元/平"
德源里急售 74万可谈 满五唯一 全天采光产权清晰,德源里 -路北区,2室1厅 | 51.7平米 | 北 南 | 简装 | 高楼层(共6层)  | 板楼,9人关注 / 一年前发布,74,"14,314元/平"
金都花园小区，南北通两室，有地下室，看房方便！！！,金都花园 -丰南区,1室1厅 | 78.27平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 11个月以前发布,50,"6,389元/平"
友谊片区 精装未住 房主急售 可贷款  南北通,友谊天地 -路南区,2室2厅 | 95.06平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,1人关注 / 一年前发布,139,"14,623元/平"
"格局好,南北通透,经典户型房主是本地人诚心卖",昌隆大厦 -高新区,2室2厅 | 115.49平米 | 南 北 | 简装 | 中楼层(共18层)  | 板楼,0人关注 / 一年前发布,130,"11,257元/平"
精装一室，采光好，有本能贷款，建设路边,水云间公寓 -高新区,1室1厅 | 68.71平米 | 南 | 精装 | 低楼层(共27层)  | 板楼,1人关注 / 一年前发布,85,"12,371元/平"
东大里；此房满二层次好价格可议配套齐全交通发达!,东大里 -路北区,2室1厅 | 48.1平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,2人关注 / 一年前发布,70,"14,554元/平"
仁泰里七区两室， 采光好， 老本 ， 配套设施齐全。,仁泰里 -路北区,1室1厅 | 68.38平米 | 南 | 简装 | 中楼层(共18层)  | 板楼,3人关注 / 一年前发布,63,"9,214元/平"
