标题,开发商,房子信息,发布信息,售价/万,单价
西部新城 园林小区 电梯房 装修保养好 关门卖拎包入住,阳光路苑三期 -城南片区,3室2厅 | 76.36平米 | 西 | 其他 | 低楼层(共18层)  | 塔楼,1人关注 / 7天以前发布,58.8,"7,701元/平"
中信国际花城小区 3室2厅 交通便利 小区环境干净舒适,中信国际花城 -长安片区,3室2厅 | 108.3平米 | 东 | 其他 | 低楼层(共19层)  | 塔楼,0人关注 / 3个月以前发布,75,"6,926元/平"
海河天街旁领地领地澜台府别墅区,领地·阑台府 -城南片区,4室2厅 | 180平米 | 东南 | 毛坯 | 低楼层(共3层)  | 暂无数据,22人关注 / 一年前发布,215,"11,945元/平"
长安菜市。精装修套三，随时看房,梨园巷凉山州金属材料公司宿舍 -市中心片区,3室2厅 | 74平米 | 东 | 其他 | 高楼层(共4层)  | 暂无数据,0人关注 / 3个月以前发布,65,"8,784元/平"
西部新城现房业主急卖。。。。。。。。。,正黄金色学府 -西部新城片区,3室2厅 | 81.6平米 | 北 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 5个月以前发布,90,"11,030元/平"
西部新城 金色学府 套四好户型 阳光充足 楼层适中,正黄金色学府 -西部新城片区,4室2厅 | 95平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,1人关注 / 5个月以前发布,110,"11,579元/平"
西部新城套三 户型方正 交通方便,攀西春天 -西部新城片区,3室2厅 | 89.3平米 | 南 | 其他 | 高楼层(共18层)  | 塔楼,0人关注 / 8个月以前发布,88.2,"9,877元/平"
树高 标准套三 楼层好 视野开阔,树高·翡丽庄园 -西部新城片区,3室2厅 | 87.38平米 | 西 | 其他 | 高楼层(共16层)  | 塔楼,0人关注 / 2个月以前发布,98.8,"11,307元/平"
西昌航天路网红街有房在找爱干净的新主人,阳光城市花园 -市中心片区,3室2厅 | 116.17平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,109,"9,383元/平"
北关三室两厅 安静舒适 适合居住,北关 -会理县,3室2厅 | 101.97平米 | 东 | 毛坯 | 低楼层(共4层)  | 平房,2人关注 / 一年前发布,52,"5,100元/平"
新城锦绣大套三，欢迎大家带看。。。。。,新城锦绣 -城南片区,3室2厅 | 131平米 | 东南 | 精装 | 高楼层(共15层)  | 塔楼,4人关注 / 一年前发布,146,"11,146元/平"
标准套三，户型方正，高品质小区,领地锦绣蘭台 -西部新城片区,3室2厅 | 95平米 | 南 | 其他 | 低楼层(共11层)  | 暂无数据,0人关注 / 2个月以前发布,96,"10,106元/平"
半山别墅区   一梯两户洋房套四   精装基本没有住过,南山国际社区御墅 -城南片区,4室2厅 | 119平米 | 南 | 其他 | 低楼层(共7层)  | 板楼,0人关注 / 一年前发布,149.8,"12,589元/平"
一梯两户中庭底跃，环境优美，居住宜人,南山国际社区 -城南片区,3室3厅 | 160.4平米 | 南 | 毛坯 | 低楼层(共7层)  | 板楼,8人关注 / 一年前发布,126.8,"7,906元/平"
此房是清水房；新房子跃层；看房子方便房东诚心出售,树高·翡丽庄园 -西部新城片区,3室2厅 | 77.05平米 | 东南 | 毛坯 | 高楼层(共16层)  | 塔楼,2人关注 / 一年前发布,122,"15,834元/平"
现房，户型方正，楼层好，小区中庭不临街,正黄金色学府 -西部新城片区,4室2厅 | 87平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,3人关注 / 一年前发布,95,"10,920元/平"
兰台府，三层小别墅。                   .,兰台府 -城南片区,4室2厅 | 223.99平米 | 南 | 其他 | 低楼层(共8层)  | 暂无数据,1人关注 / 11个月以前发布,349,"15,582元/平"
海河旁，精装跃层，俯瞰整个海河天街，拎包入住。,海河帝景B区 -城南片区,6室2厅 | 271.38平米 | 南 | 精装 | 中楼层(共6层)  | 塔楼,1人关注 / 7个月以前发布,267.8,"9,869元/平"
长安航天路旁金龙家园精装三室大户型关门卖,金龙家园 -市中心片区,3室2厅 | 124.69平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 8个月以前发布,102.98,"8,259元/平"
剪力墙 使用面积大 交通便利 配套齐全 繁华地段,星光苑A区 -市中心片区,3室2厅 | 117平米 | 南 北 | 其他 | 低楼层(共8层)  | 板楼,0人关注 / 6个月以前发布,105,"8,975元/平"
西部新城、中庭一梯两户的洋房！,树高·翡丽庄园 -西部新城片区,3室2厅 | 94平米 | 南 北 | 毛坯 | 低楼层(共12层)  | 塔楼,1人关注 / 一年前发布,120,"12,766元/平"
市      中      心         大    套    三,市工商局宿舍 -市中心片区,4室2厅 | 124.1平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 9个月以前发布,86,"6,930元/平"
海河壹号 4室2厅 交通便利 小区环境干净舒适 适合居住,海河壹号 -城南片区,4室2厅 | 144.54平米 | 东南 | 毛坯 | 中楼层(共16层)  | 塔楼,0人关注 / 一年前发布,160,"11,070元/平"
星光苑A区 配套成熟 停车方便 户型方正采光好,星光苑A区 -市中心片区,3室2厅 | 124.2平米 | 东 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 一年前发布,106,"8,535元/平"
新城锦绣2室2厅 交通便利 小区环境干净舒适 适合居住,新城锦绣 -城南片区,2室2厅 | 96.5平米 | 东南 | 其他 | 中楼层(共6层)  | 塔楼,0人关注 / 9个月以前发布,95.8,"9,928元/平"
西部新城商圈地段成熟次新房出售,正黄金色学府 -西部新城片区,3室2厅 | 72.58平米 | 东 南 | 其他 | 中楼层(共18层)  | 板塔结合,1人关注 / 4个月以前发布,75,"10,334元/平"
位于沃尔玛旁，小区绿化好出行方便，业主诚心出售,华电苑 -市中心片区,3室2厅 | 116平米 | 东南 | 其他 | 高楼层(共7层)  | 板楼,1人关注 / 8个月以前发布,86,"7,414元/平"
此房已满两年，房东安心出售，价格好谈,南郊村 -会理县,2室1厅 | 58平米 | 东 | 精装 | 低楼层(共5层)  | 暂无数据,4人关注 / 一年前发布,46,"7,932元/平"
精装修，套三，可拎包入住，价格面议,农行小区 -市中心片区,3室2厅 | 124.7平米 | 东南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,108,"8,661元/平"
出行方便 小区环境好 停车方便,二八一小区 -市中心片区,3室2厅 | 108平米 | 东 | 其他 | 高楼层(共11层)  | 板楼,0人关注 / 6个月以前发布,108,"10,000元/平"
半山别墅区   一梯两户洋房套四   精装基本没有住过,南山国际社区御墅 -城南片区,4室2厅 | 119平米 | 南 | 其他 | 低楼层(共7层)  | 板楼,0人关注 / 一年前发布,149.8,"12,589元/平"
此房是清水房；新房子跃层；看房子方便房东诚心出售,树高·翡丽庄园 -西部新城片区,3室2厅 | 77.05平米 | 东南 | 毛坯 | 高楼层(共16层)  | 塔楼,2人关注 / 一年前发布,122,"15,834元/平"
现房，户型方正，楼层好，小区中庭不临街,正黄金色学府 -西部新城片区,4室2厅 | 87平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,3人关注 / 一年前发布,95,"10,920元/平"
一梯两户中庭底跃，环境优美，居住宜人,南山国际社区 -城南片区,3室3厅 | 160.4平米 | 南 | 毛坯 | 低楼层(共7层)  | 板楼,8人关注 / 一年前发布,126.8,"7,906元/平"
海河天街兰台府带车位才地下室联排别墅诚心出售,领地·阑台府 -城南片区,5室2厅 | 170平米 | 南 | 毛坯 | 3层  | 板楼 | 联排别墅 ,1人关注 / 一年前发布,240,"14,118元/平"
领地澜台府，一楼带花园，带地下室,领地·阑台府 -城南片区,2室2厅 | 99平米 | 东 北 | 其他 | 低楼层(共9层)  | 板楼,0人关注 / 2个月以前发布,160,"16,162元/平"
市区位置，带30多平米露台，交通方便,长安中路52号 -市中心片区,2室1厅 | 80.06平米 | 南 | 其他 | 5层  | 板楼,0人关注 / 4个月以前发布,70,"8,744元/平"
小区环境好，户型方正，实得面积大，生活便利,合信邛海湾B区 -三岔口片区,3室1厅 | 77平米 | 南 | 其他 | 高楼层(共20层)  | 塔楼,0人关注 / 6个月以前发布,123.8,"16,078元/平"
西部新城标准三室两厅两卫清水房出售,桂苑 -西部新城片区,3室2厅 | 112.47平米 | 南 | 其他 | 中楼层(共18层)  | 塔楼,0人关注 / 5个月以前发布,90,"8,003元/平"
西部新城套三 户型方正 交通方便,攀西春天 -西部新城片区,3室2厅 | 89.3平米 | 南 | 其他 | 高楼层(共18层)  | 塔楼,0人关注 / 8个月以前发布,88.2,"9,877元/平"
西部新城 金色学府 套四好户型 阳光充足 楼层适中,正黄金色学府 -西部新城片区,4室2厅 | 95平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,1人关注 / 5个月以前发布,110,"11,579元/平"
树高 标准套三 楼层好 视野开阔,树高·翡丽庄园 -西部新城片区,3室2厅 | 87.38平米 | 西 | 其他 | 高楼层(共16层)  | 塔楼,0人关注 / 2个月以前发布,98.8,"11,307元/平"
精装套三  户型方正 关门卖 采光 通风好,西河东路中110号 -老城片区,3室2厅 | 122.87平米 | 西南 | 其他 | 高楼层(共15层)  | 暂无数据,0人关注 / 5个月以前发布,108,"8,790元/平"
中信国际花城小区 3室2厅 交通便利 小区环境干净舒适,中信国际花城 -长安片区,3室2厅 | 108.3平米 | 东 | 其他 | 低楼层(共19层)  | 塔楼,0人关注 / 3个月以前发布,75,"6,926元/平"
带车位，坐北朝南，横厅设计，套四双卫,阳光城文澜府 -西部新城片区,4室2厅 | 109.75平米 | 南 | 其他 | 低楼层(共19层)  | 暂无数据,1人关注 / 1个月以前发布,89.9,"8,192元/平"
天骄金色学府 顶跃带花园好房出售！,金色学府天骄 -西部新城片区,4室2厅 | 104.64平米 | 东南 | 毛坯 | 高楼层(共17层)  | 暂无数据,0人关注 / 一年前发布,115,"10,991元/平"
西部新城 金色学府 套四好户型 阳光充足 楼层适中,正黄金色学府 -西部新城片区,4室2厅 | 95平米 | 南 | 其他 | 高楼层(共18层)  | 板楼,1人关注 / 5个月以前发布,110,"11,579元/平"
树高 标准套三 楼层好 视野开阔,树高·翡丽庄园 -西部新城片区,3室2厅 | 87.38平米 | 西 | 其他 | 高楼层(共16层)  | 塔楼,0人关注 / 2个月以前发布,98.8,"11,307元/平"
政务大厅隔壁电梯好楼层，标准套三双卫，带个标准车位,雅乐苑 -长安片区,3室2厅 | 117.4平米 | 东南 | 毛坯 | 中楼层(共16层)  | 塔楼,1人关注 / 3个月以前发布,79.8,"6,798元/平"
长安菜市。精装修套三，随时看房,梨园巷凉山州金属材料公司宿舍 -市中心片区,3室2厅 | 74平米 | 东 | 其他 | 高楼层(共4层)  | 暂无数据,0人关注 / 3个月以前发布,65,"8,784元/平"
西部新城现房业主急卖。。。。。。。。。,正黄金色学府 -西部新城片区,3室2厅 | 81.6平米 | 北 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 5个月以前发布,90,"11,030元/平"
海河天街旁领地领地澜台府别墅区,领地·阑台府 -城南片区,4室2厅 | 180平米 | 东南 | 毛坯 | 低楼层(共3层)  | 暂无数据,22人关注 / 一年前发布,215,"11,945元/平"
城南片区兰台府清水跃层5室出售,兰台府 -城南片区,5室2厅 | 101平米 | 东南 | 其他 | 高楼层(共7层)  | 暂无数据,1人关注 / 8个月以前发布,242.8,"24,040元/平"
火把广场，带40㎡阳光花园，采光好大户型，环境好,城南印象 -城南片区,4室3厅 | 162平米 | 南 北 | 精装 | 低楼层(共6层)  | 平房,4人关注 / 一年前发布,150.6,"9,297元/平"
枫丹丽舍，套三双卫，地段好，小区环境安静,悦城枫丹丽舍一期 -长安片区,3室2厅 | 108平米 | 西南 | 毛坯 | 中楼层(共18层)  | 板楼,3人关注 / 一年前发布,97.2,"9,000元/平"
长安国际 3室2厅 北 东北,长安国际 -市中心片区,3室2厅 | 138平米 | 北 东北 | 简装 | 高楼层(共16层)  | 塔楼,0人关注 / 2个月以前发布,108,"7,827元/平"
金色学府三室两厅一厨一卫，采光好户型方正,正黄金色学府 -西部新城片区,3室2厅 | 82.93平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,3人关注 / 一年前发布,91.8,"11,070元/平"
西昌市人民检察院 3室1厅 西南,西昌市人民检察院 -老城片区,3室1厅 | 74.54平米 | 西南 | 其他 | 中楼层(共4层)  | 板楼,5人关注 / 7个月以前发布,63.8,"8,560元/平"
西部园林小区，洋房，电梯入户，物业管理水平高,邦泰花园城 -西部新城片区,3室2厅 | 72平米 | 北 | 其他 | 中楼层(共9层)  | 暂无数据,0人关注 / 2个月以前发布,89,"12,362元/平"
西部新城蜀鑫海河上院底跃出售。,蜀鑫·海河上院 -西部新城片区,4室2厅 | 145.69平米 | 南 | 毛坯 | 低楼层(共9层)  | 塔楼,9人关注 / 一年前发布,148,"10,159元/平"
西客站 雅乐苑 可贷款 装修花了三十多 方正 带车位,雅乐苑 -长安片区,3室2厅 | 120.6平米 | 东 西 | 其他 | 中楼层(共16层)  | 塔楼,0人关注 / 2个月以前发布,109,"9,039元/平"
三岔口西巷50号，大套三双卫，不临主干道,三岔口西巷50号 -三岔口片区,3室2厅 | 151.39平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 一年前发布,118,"7,795元/平"
万达旁边朝南套三双卫，出售，地段好交通便捷,铁投·邛海壹号 -三岔口片区,3室2厅 | 96平米 | 南 | 其他 | 高楼层(共20层)  | 塔楼,2人关注 / 5个月以前发布,113,"11,771元/平"
西部新城现房位置好房出售户型方正无浪费,金色学府天骄 -西部新城片区,3室2厅 | 87.17平米 | 南 | 其他 | 高楼层(共19层)  | 塔楼,0人关注 / 一年前发布,98.8,"11,335元/平"
朝南，朝中庭，户型方正 小区环境优美,邦泰花园城三期 -西部新城片区,4室2厅 | 85.36平米 | 南 | 其他 | 低楼层(共15层)  | 板楼,0人关注 / 3个月以前发布,105,"12,301元/平"
万达广场 可以看邛海 改善型小区,乐荟城 -三岔口片区,3室2厅 | 124平米 | 东南 南 | 其他 | 中楼层(共20层)  | 板楼,1人关注 / 6个月以前发布,165,"13,307元/平"
中信国际花城 3室2厅 西南,中信国际花城 -长安片区,3室2厅 | 118.88平米 | 西南 | 其他 | 高楼层(共18层)  | 板塔结合,0人关注 / 3个月以前发布,94.8,"7,975元/平"
小区是西部准现房，房东诚心出售，,阳光城文澜府 -西部新城片区,3室2厅 | 97平米 | 南 | 其他 | 高楼层(共19层)  | 暂无数据,0人关注 / 10个月以前发布,98,"10,104元/平"
市 中  心      精装      套三,胜利北路181号 -老城片区,3室2厅 | 120.11平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,6人关注 / 一年前发布,86.8,"7,227元/平"
邦泰，电梯入户，私家入户大堂，带平台品质采光好。,邦泰花园城三期 -西部新城片区,3室2厅 | 74.24平米 | 东南 | 其他 | 低楼层(共10层)  | 板塔结合,0人关注 / 3个月以前发布,130,"17,511元/平"
市区大平层，前后通透，出行方便,邮政苑 -市中心片区,4室2厅 | 141.37平米 | 东南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,102,"7,216元/平"
房子满五，楼层好，精装修，户型方正，采光效果好,金龙家园 -市中心片区,3室2厅 | 113平米 | 东 西 | 简装 | 高楼层(共7层)  | 板楼,6人关注 / 一年前发布,79.8,"7,062元/平"
大成 名店街邮政局 套三改套四 环境优美 出行方便,名店街邮政局 -市中心片区,4室2厅 | 105平米 | 东南 | 其他 | 中楼层(共4层)  | 板塔结合,7人关注 / 一年前发布,74.8,"7,124元/平"
东部双花园洋房，视野很好，环境好，配套好,邛海湾·长岛 -三岔口片区,4室2厅 | 99.74平米 | 西南 东北 | 其他 | 中楼层(共11层)  | 暂无数据,1人关注 / 4个月以前发布,150,"15,040元/平"
菜市旁边，临河剪力墙小区房诚心出售,金龙家园 -市中心片区,3室2厅 | 123.17平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,97.8,"7,941元/平"
胜利南路剪力墙3楼套三，业主诚心出售,美林小区 -市中心片区,3室2厅 | 112.44平米 | 东南 | 其他 | 中楼层(共6层)  | 塔楼,0人关注 / 2个月以前发布,93.8,"8,343元/平"
大成 名店街邮政局 套三改套四 环境优美 出行方便,名店街邮政局 -市中心片区,4室2厅 | 105平米 | 东南 | 其他 | 中楼层(共4层)  | 板塔结合,7人关注 / 一年前发布,74.8,"7,124元/平"
东部双花园洋房，视野很好，环境好，配套好,邛海湾·长岛 -三岔口片区,4室2厅 | 99.74平米 | 西南 东北 | 其他 | 中楼层(共11层)  | 暂无数据,1人关注 / 4个月以前发布,150,"15,040元/平"
菜市旁边，临河剪力墙小区房诚心出售,金龙家园 -市中心片区,3室2厅 | 123.17平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,97.8,"7,941元/平"
胜利南路剪力墙3楼套三，业主诚心出售,美林小区 -市中心片区,3室2厅 | 112.44平米 | 东南 | 其他 | 中楼层(共6层)  | 塔楼,0人关注 / 2个月以前发布,93.8,"8,343元/平"
观南山l揽月亮湖外滩电梯套三好房出炉,外滩16区 -城南片区,3室2厅 | 112平米 | 东 | 其他 | 高楼层(共16层)  | 塔楼,5人关注 / 8个月以前发布,116,"10,358元/平"
南山大道 电梯 跃层 毛坯 洋房 三室诚心出售,南山国际社区 -城南片区,3室2厅 | 87.86平米 | 东 | 毛坯 | 高楼层(共7层)  | 板楼,8人关注 / 一年前发布,143,"16,276元/平"
交通便利。干净舒适。配套成熟。,南山印象 -德昌县,4室2厅 | 123平米 | 南 | 毛坯 | 低楼层(共24层)  | 暂无数据,1人关注 / 11个月以前发布,66.3,"5,391元/平"
新装修 朝向朝南  采光好 顶跃,景苑山水华庭 -会理县,3室2厅 | 153平米 | 南 | 其他 | 高楼层(共24层)  | 板楼,2人关注 / 11个月以前发布,130,"8,497元/平"
西部新城 现房 精装 套四 看房方便 诚心出售,碧桂园·天樾 -西部新城片区,4室2厅 | 124平米 | 东 | 其他 | 低楼层(共20层)  | 塔楼,0人关注 / 5个月以前发布,122,"9,839元/平"
西部新城 金色学府 电梯 精装 三室 关门卖,正黄金色学府 -西部新城片区,3室2厅 | 73.6平米 | 北 | 其他 | 高楼层(共18层)  | 板塔结合,2人关注 / 5个月以前发布,83.5,"11,346元/平"
育才路三段三室一厅一厨两卫103平方48万,育才路三段 -德昌县,3室1厅 | 103平米 | 北 | 简装 | 中楼层(共5层)  | 平房,1人关注 / 一年前发布,47.9,"4,651元/平"
万达春天阳光 交通便利 小区环境干净舒适 适合居住,春天阳光 -三岔口片区,3室2厅 | 105.22平米 | 东北 | 其他 | 中楼层(共17层)  | 暂无数据,2人关注 / 4个月以前发布,130,"12,356元/平"
时代广场旁，事业单小区，三室两厅双卫，户型方正,四川路径矿业咨询有限责任公司 -市中心片区,3室2厅 | 119.81平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 6个月以前发布,98.2,"8,197元/平"
交通便利，配套成熟，干净舒适，配套成熟，干净舒适,城市首座 -德昌县,4室2厅 | 131.5平米 | 东南 | 其他 | 高楼层(共11层)  | 暂无数据,0人关注 / 6个月以前发布,88,"6,693元/平"
南山印象小区4室2厅交通便利小区环境干净舒适,南山印象 -德昌县,4室2厅 | 120平米 | 南 | 其他 | 高楼层(共24层)  | 暂无数据,0人关注 / 1个月以前发布,63,"5,250元/平"
房子在万达广场 春城 启蒙 是沿线心脏位置,邛海湾·长岛 -三岔口片区,3室2厅 | 85平米 | 西南 | 其他 | 中楼层(共20层)  | 塔楼,2人关注 / 5个月以前发布,97,"11,412元/平"
精装套三诚心出售  家具家电齐全拎包入住,合信邛海湾B区 -三岔口片区,3室2厅 | 65.46平米 | 东南 | 其他 | 高楼层(共20层)  | 板塔结合,1人关注 / 3个月以前发布,108,"16,499元/平"
西部新城成熟商圈标准大套四出售,树高·翡丽庄园 -西部新城片区,4室2厅 | 95.5平米 | 东南 南 | 其他 | 高楼层(共12层)  | 塔楼,1人关注 / 6个月以前发布,119.8,"12,545元/平"
就读月城，电梯房，园林绿化小区，停车方便。,中信国际花城 -长安片区,3室2厅 | 107.45平米 | 东南 西南 西 | 毛坯 | 中楼层(共19层)  | 塔楼,1人关注 / 7个月以前发布,75,"6,980元/平"
邦泰花园城、带地下车位一起诚心出售、园林式小区环境,邦泰花园城 -西部新城片区,3室2厅 | 74.5平米 | 北 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,100,"13,423元/平"
万达旁边  国企开发小区 朝南 户型采光好  使用面积大,铁投·邛海壹号 -三岔口片区,3室2厅 | 105.19平米 | 南 | 其他 | 高楼层(共20层)  | 板楼,2人关注 / 8个月以前发布,118,"11,218元/平"
东部电梯套三！标准户型！配套成熟！,春天阳光 -三岔口片区,3室2厅 | 89.02平米 | 西南 | 其他 | 中楼层(共17层)  | 塔楼,1人关注 / 2个月以前发布,91,"10,223元/平"
海河旁边，离湿地近，邛海庐山近，小区环境好。,领地·阑台府 -城南片区,5室2厅 | 194.32平米 | 东南 | 毛坯 | 3层  | 板楼 | 联排别墅 ,0人关注 / 一年前发布,368,"18,938元/平"
西部新城金色学府，准现房，航天片区,正黄金色学府 -西部新城片区,3室2厅 | 81.96平米 | 东 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 一年前发布,110,"13,422元/平"
此房标准套四双卫，楼层好，朝向好，视野开阔。,望海16号 -三岔口片区,3室2厅 | 123平米 | 东南 | 毛坯 | 中楼层(共18层)  | 暂无数据,2人关注 / 4个月以前发布,142,"11,545元/平"
房子标准套三双卫，楼层好，朝向好,碧海蓝天农行家属区 -城南片区,3室2厅 | 109.4平米 | 南 北 | 简装 | 4层  | 板楼,1人关注 / 5个月以前发布,98,"8,958元/平"
邛海湾A区，标准套三双卫，户型方正，楼层好，朝向好,合信邛海湾A区 -三岔口片区,3室2厅 | 77.49平米 | 西 | 精装 | 高楼层(共17层)  | 塔楼,0人关注 / 3个月以前发布,121,"15,615元/平"
精装套三，电梯房，价格实惠，关门卖,中共西昌市委党校职工住宅楼 -老城片区,3室2厅 | 122.87平米 | 南 | 其他 | 高楼层(共15层)  | 塔楼,3人关注 / 6个月以前发布,103,"8,383元/平"
美姑教师安居小区，临河而建电梯房，适宜居住,美姑县教师安居小区 -老城片区,3室2厅 | 99.03平米 | 东 东南 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 3个月以前发布,69.8,"7,049元/平"
凉钢干休所，3室1厅，户型方正，房东紧急出售,凉钢干休所 -市中心片区,3室1厅 | 77平米 | 东南 | 简装 | 中楼层(共4层)  | 板楼,0人关注 / 一年前发布,68,"8,832元/平"
精装套三，电梯房，价格实惠，关门卖,中共西昌市委党校职工住宅楼 -老城片区,3室2厅 | 122.87平米 | 南 | 其他 | 高楼层(共15层)  | 塔楼,3人关注 / 6个月以前发布,103,"8,383元/平"
美姑教师安居小区，临河而建电梯房，适宜居住,美姑县教师安居小区 -老城片区,3室2厅 | 99.03平米 | 东 东南 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 3个月以前发布,69.8,"7,049元/平"
凉钢干休所，3室1厅，户型方正，房东紧急出售,凉钢干休所 -市中心片区,3室1厅 | 77平米 | 东南 | 简装 | 中楼层(共4层)  | 板楼,0人关注 / 一年前发布,68,"8,832元/平"
东关东路两室两厅一厨一卫，采光好,东关东路198号 -会理县,2室2厅 | 92.71平米 | 南 | 其他 | 高楼层(共5层)  | 暂无数据,0人关注 / 1个月以前发布,42,"4,531元/平"
西部新城 全新装修电梯房 小区环境优美,阳光城文澜府 -西部新城片区,3室2厅 | 97平米 | 南 | 精装 | 高楼层(共20层)  | 暂无数据,0人关注 / 一年前发布,114,"11,753元/平"
华源印象四室两厅一厨两卫 毛坯房 地段位置好,华源印象 -会理县,4室2厅 | 104.26平米 | 南 北 | 其他 | 高楼层(共16层)  | 板楼,0人关注 / 4个月以前发布,88,"8,441元/平"
城南优质小高层新交房电梯小区好房,金域香江 -会理县,4室2厅 | 122.41平米 | 南 北 | 其他 | 中楼层(共8层)  | 平房,1人关注 / 7个月以前发布,78.8,"6,438元/平"
公园路 2室2厅 东,公园路 -会理县,2室2厅 | 75.81平米 | 东 | 简装 | 中楼层(共4层)  | 平房,5人关注 / 一年前发布,32.8,"4,327元/平"
益馨家园好房出售，采光好，楼层佳。,益馨嘉园 -会理县,2室1厅 | 81.75平米 | 北 | 其他 | 低楼层(共16层)  | 暂无数据,0人关注 / 3个月以前发布,40.8,"4,991元/平"
房子标准套三双卫，楼层好，朝向好,碧海蓝天农行家属区 -城南片区,3室2厅 | 109.4平米 | 南 北 | 简装 | 4层  | 板楼,1人关注 / 5个月以前发布,98,"8,958元/平"
城东大套三，户型方正，采光通透,汇通苑 -三岔口片区,3室2厅 | 150平米 | 南 | 其他 | 高楼层(共16层)  | 板楼,0人关注 / 5个月以前发布,153.8,"10,254元/平"
名店街，大成地段，标准套三，地段好，小区环境好,凉山彝族自治州城乡规划建设和住房保障局 -市中心片区,3室2厅 | 127平米 | 东 东南 | 其他 | 中楼层(共4层)  | 板楼,0人关注 / 8个月以前发布,95,"7,481元/平"
澜台府别墅，带大花园，定制别墅,领地·阑台府 -城南片区,4室2厅 | 180平米 | 东南 | 毛坯 | 低楼层(共3层)  | 暂无数据,21人关注 / 一年前发布,215,"11,945元/平"
兰台府 3室2厅 东北,兰台府 -城南片区,3室2厅 | 99.76平米 | 东北 | 其他 | 低楼层(共9层)  | 塔楼,0人关注 / 2个月以前发布,155,"15,538元/平"
此房标准套三，户型方正，采光充足。,第一初级中学 -老城片区,3室1厅 | 66.11平米 | 东南 | 其他 | 低楼层(共3层)  | 暂无数据,1人关注 / 5个月以前发布,46,"6,959元/平"
标准套三精装出售          。,中共凉山州委党校 -市中心片区,3室2厅 | 81.67平米 | 南 | 精装 | 高楼层(共4层)  | 平房,3人关注 / 6个月以前发布,68,"8,327元/平"
象腿坝小区 3室2厅 南,象腿坝小区 -德昌县,3室2厅 | 108.9平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,49.8,"4,574元/平"
万达旁边 邛海壹号院 前后对中庭 使用面积大,铁投·邛海壹号 -三岔口片区,3室2厅 | 102.85平米 | 南 | 毛坯 | 低楼层(共20层)  | 塔楼,0人关注 / 1个月以前发布,109,"10,598元/平"
此房满五不唯一，户型方正，配套成熟，交通方便。,步行街经贸委 -市中心片区,3室2厅 | 126平米 | 南 | 其他 | 6层  | 板楼,0人关注 / 5个月以前发布,107,"8,493元/平"
此房出行方便，购物方便，户型方正，小区环境优美。,蜀鑫·海河上院 -西部新城片区,4室2厅 | 145平米 | 南 | 其他 | 低楼层(共9层)  | 塔楼,0人关注 / 4个月以前发布,145,"10,000元/平"
航天阳光，标准套三，拎包入住，,航天阳光 -长安片区,3室2厅 | 122.74平米 | 西南 | 简装 | 高楼层(共18层)  | 板楼,0人关注 / 一年前发布,112,"9,125元/平"
邦泰花熙府 东南朝向 套三双卫 视野开阔！！,邦泰花熙府 -西部新城片区,3室2厅 | 90平米 | 东南 | 毛坯 | 高楼层(共18层)  | 塔楼,0人关注 / 一年前发布,92,"10,223元/平"
户内楼梯，电梯入户，私家入户大堂，品质好，档次高！,邦泰花园城三期 -西部新城片区,4室2厅 | 74平米 | 南 | 毛坯 | 高楼层(共10层)  | 平房,1人关注 / 一年前发布,155,"20,946元/平"
火把广场旁 精装修电梯套三 拎包入住,航天商业广场 -城南片区,3室2厅 | 87平米 | 东南 | 其他 | 高楼层(共11层)  | 板塔结合,0人关注 / 2个月以前发布,81,"9,311元/平"
老城区读书方便房东诚心卖装修好,四川省彝文学校 -老城片区,2室2厅 | 79.96平米 | 南 | 其他 | 中楼层(共4层)  | 暂无数据,0人关注 / 7个月以前发布,68,"8,505元/平"
