标题,开发商,房子信息,发布信息,售价/万,单价
兰亭花园！四五楼复式！带倆露台！精装修！,蘭亭花園 -理想城,5室3厅 | 142.75平米 | 南 北 | 精装 | 高楼层(共4层)  | 暂无数据,29人关注 / 7个月以前发布,125,"8,757元/平"
2019年的新式装修 户型好  采光好 视野好,隆基新谊城 -光彩,3室2厅 | 143.45平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,125,"8,714元/平"
乐水公园旁经典3房，通透3房，老证可正常按揭，随时看,金色奥园 -洪门,3室2厅 | 130平米 | 南 西 北 | 毛坯 | 高楼层(共16层)  | 板塔结合,2人关注 / 一年前发布,110,"8,462元/平"
地理位置优越人民公园 体育近在咫尺单位家属院 安全,豫北家园 -汽车东站,2室2厅 | 87平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 8个月以前发布,49,"5,633元/平"
黄岗十字人合苑电梯三房，房东急售，相中房子价位可谈,人合苑 -新乡站,3室2厅 | 105.73平米 | 西南 | 简装 | 高楼层(共13层)  | 板塔结合,1人关注 / 8个月以前发布,67,"6,337元/平"
2019年的新式装修 户型好  采光好 视野好,隆基新谊城 -光彩,3室2厅 | 143.45平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,125,"8,714元/平"
乐水公园旁经典3房，通透3房，老证可正常按揭，随时看,金色奥园 -洪门,3室2厅 | 130平米 | 南 西 北 | 毛坯 | 高楼层(共16层)  | 板塔结合,2人关注 / 一年前发布,110,"8,462元/平"
拎包入住 双气入户 两卧朝南 10万装修！！！,太行电源集团生活区 -二中,2室1厅 | 58.69平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 4个月以前发布,26,"4,431元/平"
南区橡树湾，交通便利，小区环境优美,橡树湾 -新乡县,3室2厅 | 115平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,59,"5,131元/平"
地理位置优越人民公园 体育近在咫尺单位家属院 安全,豫北家园 -汽车东站,2室2厅 | 87平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 8个月以前发布,49,"5,633元/平"
房子满五唯一  户型方正 ，采光好价格便宜,气象局家属院 -汽车东站,3室1厅 | 99平米 | 东 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,51,"5,152元/平"
水木兰亭电梯中高层 满五唯一 支持贷款,水木兰亭 -胜利北街,3室2厅 | 104.5平米 | 东南 | 毛坯 | 高楼层(共29层)  | 板楼,1人关注 / 3个月以前发布,82,"7,847元/平"
毛坯房，四室双卫，全明户型，小区双气,绿都 · 塞纳春天 -二中,4室2厅 | 183平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板楼,0人关注 / 11个月以前发布,192,"10,492元/平"
"采光充足，业主诚心卖，装修比较干净,楼层好吗，",学府花园 -万达,3室2厅 | 143平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,1人关注 / 一年前发布,100,"6,994元/平"
楼下水系花园 上学工作一步之遥 东临国际商务,紫郡 -大学城,3室2厅 | 138.97平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,2人关注 / 一年前发布,154.5,"11,118元/平"
陵园+二中本部 满五唯一精装三室 电梯中层  采光好,朝阳轩 -万达,3室2厅 | 127平米 | 东 | 精装 | 高楼层(共12层)  | 板楼,2人关注 / 一年前发布,100,"7,875元/平"
低楼层，面积大，适合宜居，南北通透。,福華苑 -市中心医院,3室2厅 | 140平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,95.6,"6,829元/平"
老证支持公积金贷款 看房方便 户型采光好,牧野区市制药厂家属院 -牛村,3室1厅 | 69.59平米 | 东南 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,32.6,"4,685元/平"
楼层好，视野宽阔，采光充足，配套设施齐，交通便利,金谷东方广场 -汽车东站,2室2厅 | 97平米 | 南 | 精装 | 高楼层(共30层)  | 板塔结合,9人关注 / 一年前发布,72.8,"7,506元/平"
西大街胜利路口，小两室三楼中间楼层，适合全龄人群,环城2号院 -二中,2室1厅 | 71.57平米 | 西北 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,36,"5,031元/平"
户型方正，采光前后无遮挡，大三室,花园北街64号 -二中,3室1厅 | 120.84平米 | 东 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 5个月以前发布,62,"5,131元/平"
此房老证 户型方正 南北透 利用率高看房方便,红旗区新鑫小区 -二中,4室1厅 | 86.68平米 | 东 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,36,"4,154元/平"
此房楼层好格局好，视野开阔，采光充足,太阳城巴黎左岸 -二中,3室2厅 | 124平米 | 西北 | 简装 | 中楼层(共18层)  | 板塔结合,12人关注 / 一年前发布,95,"7,662元/平"
铁西康泰家苑，采光好，温馨大两房,康泰嘉苑 -八里营,2室1厅 | 95平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,5人关注 / 一年前发布,46.5,"4,895元/平"
小区位置好，出门就是大商新玛特，胖东来,文昌小区(红旗区) -二中,2室2厅 | 81.5平米 | 东 北 | 精装 | 中楼层(共6层)  | 板楼,5人关注 / 一年前发布,38.3,"4,700元/平"
二机床两居室业主诚心出售，支持商贷,二机床家属院 -万达,2室2厅 | 96.6平米 | 东 西 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 10个月以前发布,53,"5,487元/平"
一梯两户 老证 南北通透 方正全明,梦萦小区 -新悦城,2室2厅 | 98平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 8个月以前发布,58,"5,919元/平"
标准三室   老证  随时可看,豫北家园 -汽车东站,3室2厅 | 86.77平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 6个月以前发布,53,"6,109元/平"
广厦阳光苑，一室一厅，电梯中层，全明户型，看房方便,广厦阳光苑 -二十七中,1室1厅 | 71.1平米 | 东 | 精装 | 高楼层(共14层)  | 板楼,0人关注 / 一年前发布,36,"5,064元/平"
丝绸厂家属院、69平米 35万 、可按揭、带小车库,丝绸厂家属院 -汽车东站,2室1厅 | 69平米 | 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,35,"5,073元/平"
兰亭花园精装修 拎包入住  四开间朝南,蘭亭花園 -理想城,3室2厅 | 143.5平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 7个月以前发布,150,"10,453元/平"
满满的品质！好不好看房才知道！房东诚意出售,伟业中央公园 -伟业,2室2厅 | 83平米 | 南 | 精装 | 高楼层(共27层)  | 板塔结合,1人关注 / 10个月以前发布,90,"10,844元/平"
卖点，小区有物业，物业比较尽心，小区干净整洁,新东花园 -汽车东站,2室2厅 | 80.69平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,49,"6,073元/平"
老证 通风好 采光好  户型方正 公摊面积少,北关社区 -二中,3室2厅 | 114.16平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,6人关注 / 一年前发布,50,"4,380元/平"
三卧朝南，适合居住，采光好，视野宽阔！,鸿翔小区 -大学城,3室2厅 | 115平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,3人关注 / 一年前发布,70,"6,087元/平"
老证 通风好 采光好  户型方正 公摊面积少,北关社区 -二中,3室2厅 | 114.16平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,6人关注 / 一年前发布,50,"4,380元/平"
卖点，小区有物业，物业比较尽心，小区干净整洁,新东花园 -汽车东站,2室2厅 | 80.69平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,49,"6,073元/平"
广厦阳光苑，一室一厅，电梯中层，全明户型，看房方便,广厦阳光苑 -二十七中,1室1厅 | 71.1平米 | 东 | 精装 | 高楼层(共14层)  | 板楼,0人关注 / 一年前发布,36,"5,064元/平"
标准三室   老证  随时可看,豫北家园 -汽车东站,3室2厅 | 86.77平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 6个月以前发布,53,"6,109元/平"
兰亭花园精装修 拎包入住  四开间朝南,蘭亭花園 -理想城,3室2厅 | 143.5平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 7个月以前发布,150,"10,453元/平"
丝绸厂家属院、69平米 35万 、可按揭、带小车库,丝绸厂家属院 -汽车东站,2室1厅 | 69平米 | 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,35,"5,073元/平"
满满的品质！好不好看房才知道！房东诚意出售,伟业中央公园 -伟业,2室2厅 | 83平米 | 南 | 精装 | 高楼层(共27层)  | 板塔结合,1人关注 / 10个月以前发布,90,"10,844元/平"
郊委路正中位置，陵园三十米，品质单元社区,郊委路三号院 -二中,3室2厅 | 112.41平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 6个月以前发布,66,"5,872元/平"
户型方正，地理位置优越，学习养老都不错,五环家园 -二中,2室2厅 | 89.9平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,63,"7,008元/平"
毛坯随意装修，三室两厅两卫标准全明户型,金色森林 -新乡县,3室2厅 | 136平米 | 南 北 | 毛坯 | 高楼层(共4层)  | 暂无数据,0人关注 / 一年前发布,77,"5,662元/平"
此房老证，急售，户型好，采光充足,橡树湾 -新乡县,3室2厅 | 143.96平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,4人关注 / 一年前发布,89.8,"6,238元/平"
产权清晰 满五唯一省税费 楼间距大 视野无遮挡,馨华佳苑 -恒大,3室2厅 | 133.26平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 板楼,20人关注 / 一年前发布,105,"7,880元/平"
步梯三楼，劳动桥 北关社区 2室 拎包入住，胖东来,北关社区 -二中,2室2厅 | 95平米 | 南 西北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,68,"7,158元/平"
新闻小区  精装修两室 小高层 电梯房,新闻小区 -理想城,2室2厅 | 97平米 | 南 | 精装 | 中楼层(共12层)  | 板楼,1人关注 / 8个月以前发布,74,"7,629元/平"
豫新四号院+步梯中层+精装修大3室+采光好+三卧朝南,豫新四号院生活区 -二中,3室2厅 | 139.3平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,97,"6,964元/平"
此房屋 商品房老证 ，步梯三楼 ，精装修房子..,惠民馨苑 -新建街,3室2厅 | 122平米 | 东 | 精装 | 中楼层(共6层)  | 板楼,19人关注 / 一年前发布,77,"6,312元/平"
精装三室 可拎包入住家具家电齐全,太阳城心悦阳光一 期 -二中,3室2厅 | 93.37平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,1人关注 / 6个月以前发布,88,"9,425元/平"
尚 都 华 府 89平 温 馨 小 三 室,尚城华府 -新乡县,3室2厅 | 87.19平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 暂无数据,2人关注 / 一年前发布,47,"5,391元/平"
城市干道旁，老城区成熟配套，生活便利,中和小区 -二中,3室1厅 | 135平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,74.5,"5,519元/平"
平原路四中旁，三室一楼带40平院子，能商贷,油坊胡同 -二中,3室2厅 | 93.19平米 | 东 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,73.9,"7,931元/平"
卫河之阳|城中之心|水岸生活|100平大阳光房鸟语花香,钓鱼台观邸 -二中,3室2厅 | 105平米 | 南 北 | 其他 | 高楼层(共21层)  | 板楼,0人关注 / 2个月以前发布,118,"11,239元/平"
简装3房 南北通透 直接入住 电梯中间楼层,鼎佳学城 -二中,3室1厅 | 113平米 | 南 北 | 精装 | 中楼层(共24层)  | 板楼,9人关注 / 一年前发布,85,"7,523元/平"
二院旁！近塞纳春天！东西通双阳台！双气小区！,罗庄街三十八号院 -二中,3室2厅 | 113.13平米 | 东 西 | 简装 | 中楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,54.8,"4,844元/平"
尚城华府  电梯洋房  南北通透,尚城华府 -新乡县,3室2厅 | 87.19平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 暂无数据,0人关注 / 4个月以前发布,45,"5,162元/平"
宝 龙 商 圈 精 装 满 五 唯 一 赵 定 河 畔 观 景 房,华天公馆 -洪门,3室2厅 | 114平米 | 南 | 精装 | 低楼层(共27层)  | 板楼,0人关注 / 4个月以前发布,90,"7,895元/平"
万达附 近 牧南小区 步梯中层 随时看房,牧南小区 -万达,2室1厅 | 62.01平米 | 北 | 简装 | 中楼层(共6层)  | 暂无数据,6人关注 / 一年前发布,37.6,"6,064元/平"
工人街一楼·可做门面·双气，出门就是九中市场,工人街乙区 -二中,3室2厅 | 89.74平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,91,"10,141元/平"
老证业主急售，随时看房户型方正,豫新四号院生活区 -二中,3室2厅 | 94平米 | 西 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,46,"4,894元/平"
精装三房拎包入住，业主急售随时看房，价位可谈,太行电源集团生活区 -二中,3室1厅 | 84平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,52.8,"6,286元/平"
陵园+二中+楼龄新+东海市场+主干道,东村 -万达,3室2厅 | 121平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,16人关注 / 一年前发布,60,"4,959元/平"
满五唯一三室 正对九中 低市价6万 02年房子 老证双气,轻机后院 -二中,3室2厅 | 121.08平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,58,"4,791元/平"
房子是老证，南北通，中间楼层，,诚城三英里 -高铁东站,2室2厅 | 91平米 | 东 西 | 毛坯 | 低楼层(共30层)  | 板楼,1人关注 / 一年前发布,60,"6,594元/平"
新乡基地3室！单价5千！房本在手！看房方便！,新乡基地 -大学城,3室2厅 | 121平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,6人关注 / 一年前发布,57,"4,711元/平"
平原湖；绿化高；楼间距大‘别墅小高层都有,新城花园 -高铁东站,2室1厅 | 90.19平米 | 南 北 | 毛坯 | 中楼层(共24层)  | 板塔结合,1人关注 / 一年前发布,51.8,"5,744元/平"
品质好房，采光好，老牌开发商，位置优,伟业中央公园 -伟业,2室1厅 | 83.48平米 | 南 | 精装 | 低楼层(共25层)  | 板楼,0人关注 / 一年前发布,96,"11,500元/平"
繁华购物区 宁静三居室 楼下就是大商场 拎包入住,东方文化商业步行街 -新乡站,3室2厅 | 115.95平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 11个月以前发布,98,"8,452元/平"
大学源A区，房东诚心出售，降价了，,大学源A区 -洪门,3室2厅 | 153.51平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,89,"5,798元/平"
一楼·住宅征·目前做门面房适合做生意,工人街乙区 -二中,2室2厅 | 71.91平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 9个月以前发布,51,"7,093元/平"
户型方正 全明户型 南北通透  出行方便,鑫鑫小区 -光彩,3室1厅 | 85.27平米 | 南 北 | 简装 | 中楼层(共5层)  | 板塔结合,0人关注 / 一年前发布,60,"7,037元/平"
奥园康城，精装修，拎包入住，房东诚意出售。,奥园康城 -洪门,3室2厅 | 116平米 | 西南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,95,"8,190元/平"
出门定国湖！正商城四期！毛坯！中间楼层！随时看房！,正商城裕园 -定国湖,2室2厅 | 92平米 | 南 | 毛坯 | 低楼层(共30层)  | 板楼,0人关注 / 7个月以前发布,86,"9,348元/平"
绿都城领包入住看房业主诚心出售老证,绿都城 -柳青路,3室2厅 | 90平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,75.9,"8,434元/平"
师大家属院 步梯顶楼 简单装修 价格合适,河南师范大学家属区 -河师大,2室1厅 | 57.52平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,42,"7,302元/平"
工人北街一巷 中间楼层三居室 房东急售,工人北街一巷 -二中,3室2厅 | 124.01平米 | 东 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 9个月以前发布,68,"5,484元/平"
此房为70年产权住宅性质，钢混结构，户型，环境好。,建业壹号城邦 -宝龙,3室2厅 | 112平米 | 西 | 简装 | 高楼层(共34层)  | 板楼,19人关注 / 一年前发布,105,"9,375元/平"
温莎城堡精装三室，物业管理很好，很贴心,温莎城堡 -柳青路,3室2厅 | 104平米 | 东 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,108.6,"10,443元/平"
房子户型方正，通风好，楼间距大 绿化高 视野宽阔,师大嘉苑 -柳青路,3室2厅 | 128.95平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 一年前发布,111,"8,608元/平"
步梯中层，公摊小，可以领包入住。,金色奥园 -洪门,3室2厅 | 108平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,4人关注 / 7个月以前发布,88,"8,149元/平"
南区优质房房东诚心出售欢迎多多带看,新飛花園 -橄榄城,3室2厅 | 123平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,76.8,"6,244元/平"
此房通风好，楼层好，能贷款，大学城旁，环境好,新乡基地 -大学城,3室2厅 | 123平米 | 东 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,87,"7,074元/平"
公园旁，观景大三房，户型方正，双气入户,豫兴龙湾 -新乡站,3室2厅 | 143.97平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 塔楼,1人关注 / 8个月以前发布,97,"6,738元/平"
常青藤！精装未入住！四室两卫！临湖观景！25W精装！,诚城•常青藤 -大学城,4室2厅 | 128.2平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,7人关注 / 一年前发布,132,"10,297元/平"
明德，精装大三室 有证采光好 定国湖 高铁站 定国湖,盛大 · 凯旋城 -定国湖,3室2厅 | 141.83平米 | 南 北 | 精装 | 中楼层(共18层)  | 塔楼,3人关注 / 7个月以前发布,150,"10,577元/平"
市区两室两厅，出行方便，业主诚意出售,西圪垱 -二中,3室2厅 | 113平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,73,"6,461元/平"
华隆国际  精装南北 三阳开泰  全天采光 全明 宝龙旁,华隆国际 -大学城,3室2厅 | 148平米 | 南 北 | 精装 | 高楼层(共27层)  | 板楼,7人关注 / 一年前发布,136.5,"9,223元/平"
此房品牌装修公司精心打造，布局合理，人车分流,水木兰亭 -胜利北街,3室2厅 | 106.52平米 | 东南 | 精装 | 中楼层(共30层)  | 板楼,0人关注 / 2个月以前发布,86,"8,074元/平"
河师大旁 精装三室，中间楼层，全明户型，满五唯一,剑桥城 -河师大,3室1厅 | 97平米 | 南 北 | 简装 | 高楼层(共31层)  | 板塔结合,2人关注 / 9个月以前发布,108.8,"11,217元/平"
火电厂家属院 南北通 多层五楼 大两房,新乡火电厂家属院 -花卉市场,2室2厅 | 89.3平米 | 南 西 | 其他 | 高楼层(共5层)  | 板楼,3人关注 / 一年前发布,38,"4,256元/平"
房子 面积大 通风好 适合年轻人小孩居住,轻机后院 -二中,3室2厅 | 121.08平米 | 西 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 7个月以前发布,59.8,"4,939元/平"
此房业主诚心出售，小区已经整改，过境优美，居住舒适,启明小区 -花卉市场,3室1厅 | 90.5平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,50,"5,525元/平"
大两室，低楼层，户型方正采光好,红旗区红房小区 -二中,2室2厅 | 138平米 | 西南 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 一年前发布,71.8,"5,203元/平"
火电厂家属院 南北通 多层五楼 大两房,新乡火电厂家属院 -花卉市场,2室2厅 | 89.3平米 | 南 西 | 其他 | 高楼层(共5层)  | 板楼,3人关注 / 一年前发布,38,"4,256元/平"
房子 面积大 通风好 适合年轻人小孩居住,轻机后院 -二中,3室2厅 | 121.08平米 | 西 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 7个月以前发布,59.8,"4,939元/平"
满五不唯一，产权清晰，户型方正，业主诚心出售。,丰华路139号 -花卉市场,3室2厅 | 109平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,2人关注 / 3个月以前发布,62,"5,689元/平"
金谷华庭电梯2室2厅低层。陵园与二中。有钥匙。,金谷华庭 -二中,3室2厅 | 142.99平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 9个月以前发布,110,"7,693元/平"
华彬阳光广场115平大两室，精装修拎包入住。,华彬阳光广场 -二中,2室2厅 | 115平米 | 南 北 | 精装 | 中楼层(共31层)  | 板楼,0人关注 / 11个月以前发布,72,"6,261元/平"
精装两室，户型合理，视野宽阔，采光充足,天龙苑 -二中,2室2厅 | 103平米 | 东 | 精装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,48,"4,661元/平"
文昌小区    两室出售   采光充足,文昌小区(红旗区) -二中,2室1厅 | 74.3平米 | 西南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,35.8,"4,819元/平"
维多利亚城，临河大三室，中间楼层，视野开阔，老证,维多利亚城 -牧野公园,3室2厅 | 155.79平米 | 南 | 简装 | 中楼层(共23层)  | 板塔结合,4人关注 / 一年前发布,98,"6,291元/平"
步梯二楼，出行方便，南北通透，教育设施齐全,新钟小区 -新悦城,3室2厅 | 110平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,73,"6,637元/平"
此房老证 满五唯一免个税 精装修 户型方正 楼层好,蓝钻国际 -二中,3室2厅 | 138.99平米 | 南 北 | 精装 | 高楼层(共34层)  | 塔楼,0人关注 / 4个月以前发布,102,"7,339元/平"
中原路181号院，可以按揭，好楼层,中原路181号 -二中,3室1厅 | 99.03平米 | 东 西 | 简装 | 中楼层(共6层)  | 板楼,24人关注 / 一年前发布,45,"4,545元/平"
牧野区民政局家属院 3室2厅 南北,牧野区民政局家属院 -二中,3室2厅 | 96.35平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,48,"4,982元/平"
九中家属院+能按揭+中装3室+菜市场+双气,新乡市九中家属院 -二中,3室1厅 | 121.62平米 | 东 西 | 精装 | 高楼层(共6层)  | 板楼,3人关注 / 7个月以前发布,56,"4,605元/平"
新乡市奶业公司住宅楼2-2-1-1 93.42m² 63.5 万,新乡市奶业公司住宅楼 -光彩,2室2厅 | 93.42平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,4人关注 / 一年前发布,50,"5,353元/平"
启明小区花卉市场旁低楼层可按揭,启明小区辰区 -花卉市场,3室2厅 | 122.46平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,64.8,"5,292元/平"
劳动桥 北关社区 简装2室 拎包入住 可以按揭贷款,北关社区 -二中,3室1厅 | 97.8平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 11个月以前发布,47,"4,806元/平"
位置好 楼层好 小区安静适合居住,丰华路139号 -花卉市场,3室1厅 | 95平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 一年前发布,60,"6,316元/平"
满五唯一，户型方正，格局好，楼层好，视野宽阔。,东郡府苑西苑 -伟业,3室2厅 | 127.06平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,3人关注 / 9个月以前发布,102.8,"8,091元/平"
新飞花园房东急售老证.拎包入住看房方便,新飛花園 -橄榄城,3室2厅 | 128平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,2人关注 / 4个月以前发布,77,"6,016元/平"
此房品牌装修公司精心打造，布局合理，人车分流,水木兰亭 -胜利北街,3室2厅 | 106.52平米 | 东南 | 精装 | 中楼层(共30层)  | 板楼,0人关注 / 2个月以前发布,86,"8,074元/平"
隆盛华庭 电梯中层 一梯两户 三室两厅 世纪新城惠民,隆胜华庭 -恒大,3室2厅 | 140平米 | 南 北 | 其他 | 中楼层(共17层)  | 板楼,3人关注 / 一年前发布,88,"6,286元/平"
河师大旁 精装三室，中间楼层，全明户型，满五唯一,剑桥城 -河师大,3室1厅 | 97平米 | 南 北 | 简装 | 高楼层(共31层)  | 板塔结合,2人关注 / 9个月以前发布,108.8,"11,217元/平"
众里寻他千百度，公园旁双气入户，步梯二楼请留步。,城建局家属院 -二中,3室2厅 | 135.76平米 | 东 西 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 一年前发布,90.2,"6,645元/平"
此房南北通透，不是顶层，配套设施齐全，交通便利,二巷北段家属院 -二中,3室2厅 | 111平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,48,"4,325元/平"
陵园二中双气入户，有独立车库，诚心出售。,西村 -二中,2室2厅 | 76.12平米 | 东北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 8个月以前发布,47.5,"6,241元/平"
宝龙旁 金色奥园 诚心出售精装三室,金色奥园 -洪门,3室2厅 | 127.69平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,11人关注 / 10个月以前发布,108,"8,458元/平"
天隆城   拎包日主 精装  户型合理 出行方便,天隆小区 -新乡站,4室2厅 | 169.7平米 | 东 南 | 简装 | 高楼层(共17层)  | 板楼,2人关注 / 一年前发布,126.5,"7,455元/平"
房东诚意出售看房方便 价格可以商量,亿源·和谐城 -理想城,3室2厅 | 116.71平米 | 南 | 毛坯 | 高楼层(共31层)  | 板塔结合,19人关注 / 一年前发布,97,"8,312元/平"
中间楼层 楼下有小车库 光照充足,平原路281号 -二中,3室2厅 | 105平米 | 东南 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,88,"8,381元/平"
文渊花园精装三房给你一个温馨的家,文渊花园 -大学城,3室1厅 | 143平米 | 西 | 精装 | 高楼层(共18层)  | 板楼,4人关注 / 一年前发布,100,"6,994元/平"
诚意出售~经典两房~成熟社区~生活便利,利民西家属院 -新乡站,2室1厅 | 70平米 | 东北 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 8个月以前发布,22,"3,143元/平"
牛村水文队东院低价好房，适合年轻人买房过渡缓解压力,河南省地矿局水文一队家属院东院 -二十七中,2室1厅 | 46.95平米 | 东 | 简装 | 中楼层(共4层)  | 板楼,2人关注 / 一年前发布,16,"3,408元/平"
东区定国湖华恩城西区东边户全明户型,华恩城西区 -定国湖,3室2厅 | 128平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 3个月以前发布,97,"7,579元/平"
太阳城二期i巴黎左岸电梯中层 精准双气 拎包入住,太阳城巴黎左岸 -二中,3室2厅 | 103.36平米 | 东南 | 精装 | 中楼层(共18层)  | 板塔结合,3人关注 / 4个月以前发布,79.9,"7,731元/平"
开发商是本地开发商，小区比较新，环境比较好，,润华·翡翠国际 -理想城,3室2厅 | 133.4平米 | 南 北 | 毛坯 | 高楼层(共28层)  | 板塔结合,0人关注 / 10个月以前发布,148,"11,095元/平"
此房户型方正，布局合理，湖景尽收眼底！,金宸国际小区 -牧野公园,3室2厅 | 106.98平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,105.8,"9,890元/平"
户型方正，采光通风效果好，配套设施齐全，交通便利,碧桂园剑桥郡 -平原新区,3室2厅 | 103.55平米 | 南 | 精装 | 低楼层(共30层)  | 平房,2人关注 / 一年前发布,63,"6,085元/平"
