标题,开发商,房子信息,发布信息,售价/万,单价
嘉荟新城东区精装122平拎包入住,嘉荟新城东区 -丹阳开发区商圈,3室1厅 | 122平米 | 南 | 精装 | 低楼层(共18层)  | 平房,1人关注 / 31天以前发布,89.8,"7,361元/平"
美亚华悦 2室2厅 南,美亚华悦 -丹阳开发区商圈,2室2厅 | 86平米 | 南 | 精装 | 低楼层(共27层)  | 板楼,0人关注 / 1个月以前发布,96.8,"11,256元/平"
华南新村 2楼 3房1卫 有自行车车库10平方 双阳台,華南新村 -丹阳华南商圈,3室1厅 | 90平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,75.8,"8,423元/平"
精装.东边户.户型方正。3阳台.采光视野好。宽敞舒适,丹阳碧桂园 -丹阳华南商圈,4室2厅 | 180平米 | 南 | 精装 | 低楼层(共25层)  | 板楼,1人关注 / 3个月以前发布,175,"9,723元/平"
凤熹台 4室2厅 南 北,凤熹台 -丹阳华南商圈,4室2厅 | 153.27平米 | 南 北 | 其他 | 高楼层(共27层)  | 暂无数据,0人关注 / 2个月以前发布,133,"8,678元/平"
丹鳳國际2-2-1-1 90.00m² 102.8 万,丹鳳國际 -丹阳华南商圈,2室2厅 | 90平米 | 南 北 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 4个月以前发布,90.8,"10,089元/平"
满五唯一.4房.3房朝南.采光好.公园旁.配套全.环境优美,丹金家园 -丹阳华南商圈,3室2厅 | 117平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,81,"6,924元/平"
满五年楼层好采光好.方正.2卫.2房朝南.华南上学便利,新世纪花园 -丹阳华南商圈,3室2厅 | 130.8平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 6个月以前发布,115,"8,793元/平"
金鼎城市花园124平，精装113.8万！,金鼎城市花园 -丹阳开发区商圈,4室2厅 | 124平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,7人关注 / 一年前发布,109.8,"8,855元/平"
精装小高层复式御珑湾直接拎包入住,御珑湾 -丹阳开发区商圈,5室2厅 | 190.28平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,1人关注 / 3个月以前发布,199,"10,459元/平"
新家园6楼独户大平层，带前后大露台，精致装修,新家园(丹阳市) -丹阳城区商圈,3室2厅 | 158平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,96,"6,076元/平"
世纪豪都 5室2厅 南 北,世纪豪都 -丹阳城区商圈,5室2厅 | 193平米 | 南 北 | 毛坯 | 高楼层(共4层)  | 板楼,0人关注 / 4个月以前发布,169,"8,757元/平"
嘉源和谐里 3室2厅 南,嘉源和谐里 -丹阳华南商圈,3室2厅 | 110.17平米 | 南 | 毛坯 | 低楼层(共15层)  | 暂无数据,0人关注 / 5个月以前发布,88.8,"8,061元/平"
缇香花园小高层顶复3房3卫160平 大露台满五唯一房型佳,缇香花园 -丹阳城区商圈,3室2厅 | 160平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,7人关注 / 一年前发布,125,"7,813元/平"
天颐城和园 4室2厅 南,天颐城和园 -丹阳城区商圈,4室2厅 | 127平米 | 南 | 毛坯 | 高楼层(共11层)  | 暂无数据,0人关注 / 3个月以前发布,127,"10,000元/平"
恒大名都5-2-1-3 273.00m² 234 万,恒大名都 -丹阳城区商圈,5室2厅 | 273平米 | 南 北 | 精装 | 高楼层(共30层)  | 板楼,0人关注 / 8个月以前发布,232,"8,499元/平"
江南人家3-2-1-2 129.00m² 119.8 万,江南人家 -丹阳城区商圈,3室2厅 | 129平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,117.8,"9,132元/平"
2楼.3房.精装.物业好，采光好.户型方正，环境优美,江南人家 -丹阳城区商圈,3室2厅 | 122平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 8个月以前发布,107,"8,771元/平"
惠泽苑3-2-1-1，好房出售,惠泽苑 -丹阳城区商圈,3室2厅 | 100平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,72.8,"7,280元/平"
紫竹园 3室2厅 南,紫竹园 -丹阳华南商圈,3室2厅 | 103平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 4个月以前发布,112.8,"10,952元/平"
新家园5+6复式 房型好 采光佳 南北户型,新家园(丹阳市) -丹阳城区商圈,5室2厅 | 212平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,110,"5,189元/平"
新家园5+6复式 房型好 采光佳 南北户型,新家园(丹阳市) -丹阳城区商圈,5室2厅 | 212平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,110,"5,189元/平"
领秀花都 双华南 电梯毛坯洋房  4房1卫 南北双阳台,领秀花都 -丹阳华南商圈,4室2厅 | 127平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,1人关注 / 5个月以前发布,151.8,"11,953元/平"
嘉荟新城136平3室2卫毛胚·2房朝南大阳台,嘉荟新城东区 -丹阳开发区商圈,3室2厅 | 136.26平米 | 南 | 毛坯 | 低楼层(共18层)  | 平房,0人关注 / 2个月以前发布,83.8,"6,151元/平"
中南熙悦城100平 三房两厅一卫 户型好 看房方便,熙悦城 -丹阳华南商圈,3室2厅 | 100平米 | 南 | 毛坯 | 低楼层(共34层)  | 板楼,0人关注 / 1个月以前发布,115.8,"11,580元/平"
美亚华悦 109平 三室两厅 精装修 随时看房,美亚华悦 -丹阳开发区商圈,3室2厅 | 108.75平米 | 南 | 精装 | 低楼层(共27层)  | 板楼,1人关注 / 2个月以前发布,118.8,"10,925元/平"
开发区 恒大城312平 大平层 美式样板房式奢装,恒大城 -丹阳开发区商圈,5室3厅 | 312平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,16人关注 / 一年前发布,260,"8,334元/平"
嘉荟新城171平 随时可以看房 88.6万,嘉荟新城东区 -丹阳开发区商圈,4室2厅 | 171平米 | 南 | 毛坯 | 高楼层(共18层)  | 平房,0人关注 / 3个月以前发布,88.6,"5,182元/平"
恒大城 163.38平 四房两卫 精装 随时看房 122.8万,恒大城 -丹阳开发区商圈,4室2厅 | 163.38平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,1人关注 / 4个月以前发布,123.8,"7,578元/平"
滨河凤凰城 高层 108平 全新毛坯 三室两厅 阳光房满二,濱河鳳凰城 -丹阳华南商圈,3室2厅 | 108平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,0人关注 / 8个月以前发布,120.8,"11,186元/平"
天福花园3-2-1-2 140.03m² 96.8 万,天福花园 -丹阳开发区商圈,3室2厅 | 140.03平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 5个月以前发布,96.8,"6,913元/平"
信达香缇国际2-2-1-1 94.60,信达香堤国际 -丹阳开发区商圈,2室2厅 | 94.6平米 | 南 北 | 精装 | 高楼层(共32层)  | 塔楼,0人关注 / 5个月以前发布,100,"10,571元/平"
商业街中间楼层·3室一厅一卫拎包入住,商业街 -丹阳开发区商圈,3室1厅 | 120平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,93,"7,750元/平"
新新家园 顶复精装187平 5房2卫 三开间朝南 采光无忧,新新家園 -丹阳华南商圈,3室2厅 | 187平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,3人关注 / 5个月以前发布,90,"4,813元/平"
苏州购房 急售！！！华都锦城 西边户 20楼 河景房,华都锦城 -丹阳华南商圈,3室2厅 | 120平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 4个月以前发布,135.8,"11,317元/平"
金鼎城市花园 中间楼层 拎包入住 采光好视野开阔,金鼎城市花园 -丹阳开发区商圈,3室2厅 | 118平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,93.8,"7,950元/平"
迈村新城 3室2厅 南,迈村新城 -丹阳华南商圈,3室2厅 | 120平米 | 南 | 毛坯 | 高楼层(共6层)  | 板塔结合,0人关注 / 3个月以前发布,61,"5,084元/平"
满两年.精装修，3房1卫，视野好，采光好.,华南园中园 -丹阳华南商圈,3室1厅 | 90平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,73.8,"8,200元/平"
恒大名都 4室2厅 南,恒大名都 -丹阳城区商圈,4室2厅 | 160平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,1人关注 / 1个月以前发布,139.8,"8,738元/平"
新家园5楼 采光好空间大 双阳台 108平 68.8万,新家园(丹阳市) -丹阳城区商圈,3室2厅 | 108平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,68.8,"6,371元/平"
香草苑132.8平 房东诚售92.8w 户型方正 采光无遮挡,香草苑 -丹阳城区商圈,3室2厅 | 132.8平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,92.8,"6,988元/平"
香草新村 4室2厅 南 北,香草新村 -丹阳城区商圈,4室2厅 | 162平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,103.8,"6,408元/平"
爱家 二期 河边景观房 小高层 抢手楼层3房 106.8万,爱家尚城 -丹阳城区商圈,3室2厅 | 102平米 | 南 | 毛坯 | 高楼层(共22层)  | 暂无数据,0人关注 / 2个月以前发布,106.8,"10,471元/平"
嘉荟新城 大面积4房2卫 精装 拎包入住,嘉荟新城东区 -丹阳开发区商圈,4室2厅 | 142平米 | 南 | 精装 | 低楼层(共18层)  | 平房,0人关注 / 2个月以前发布,120,"8,451元/平"
4+5顶复式！！250平六室，两个露台,国骅天波 -丹阳开发区商圈,6室2厅 | 250平米 | 南 | 精装 | 高楼层(共4层)  | 板塔结合,4人关注 / 一年前发布,176.8,"7,072元/平"
金鼎城市花园 大面积 单价低 3房2卫 132平 108.8W,金鼎城市花园 -丹阳开发区商圈,3室2厅 | 132平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,108.8,"8,243元/平"
众悦华城 精装3房2卫业主自住 家具保养新 拎包入住,众悦华城 -丹阳开发区商圈,3室2厅 | 112平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 5个月以前发布,103.8,"9,268元/平"
凤翔花园  吾悦商圈  精装4房  拎包入住,鳯翔花園城 -丹阳开发区商圈,4室2厅 | 143平米 | 南 | 精装 | 中楼层(共15层)  | 板楼,0人关注 / 8个月以前发布,126.8,"8,868元/平"
市政府旁边 精装 108平 98.6万 实地看房效果更好,金鼎城市花园 -丹阳开发区商圈,2室2厅 | 108平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,98.6,"9,130元/平"
兰信公寓 3房1卫 精装 抢手楼层 拎包入住 ·85万,兰信公寓 -丹阳开发区商圈,3室2厅 | 120平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,85,"7,084元/平"
爱家尚城 4室2厅 南,爱家尚城 -丹阳城区商圈,4室2厅 | 140.66平米 | 南 | 毛坯 | 低楼层(共32层)  | 塔楼,0人关注 / 1个月以前发布,135,"9,598元/平"
市政府旁边 精装 108平 98.6万 实地看房效果更好,金鼎城市花园 -丹阳开发区商圈,2室2厅 | 108平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,98.6,"9,130元/平"
众悦华城 精装3房2卫业主自住 家具保养新 拎包入住,众悦华城 -丹阳开发区商圈,3室2厅 | 112平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 5个月以前发布,103.8,"9,268元/平"
新家园5楼 采光好空间大 双阳台 108平 68.8万,新家园(丹阳市) -丹阳城区商圈,3室2厅 | 108平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,68.8,"6,371元/平"
江南人家，飞机户型，11层电梯房，中间楼层,江南人家 -丹阳城区商圈,3室2厅 | 148平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 3个月以前发布,122.8,"8,298元/平"
华阳苑 2室2厅 南,华阳苑 -丹阳城区商圈,2室2厅 | 102平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 3个月以前发布,66,"6,471元/平"
香草新村 4室2厅 南 北,香草新村 -丹阳城区商圈,4室2厅 | 162平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,103.8,"6,408元/平"
宜和A区 3室2厅 南,宜和A区 -丹阳城区商圈,3室2厅 | 113平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,135,"11,947元/平"
市区好房文昌苑多层房中间楼层三房两厅一卫,文昌苑 -丹阳城区商圈,3室2厅 | 115平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,96.6,"8,400元/平"
恒大名都二期三房108平105.8万,恒大名都 -丹阳城区商圈,3室2厅 | 108平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 2个月以前发布,105.8,"9,797元/平"
江南人家 4室2厅 南,江南人家 -丹阳城区商圈,4室2厅 | 147.8平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,147,"9,946元/平"
楼栋位置佳 采光好 格局合理 精装修,恒大名都 -丹阳城区商圈,4室2厅 | 278平米 | 南 北 | 精装 | 低楼层(共30层)  | 板楼,1人关注 / 1个月以前发布,238,"8,562元/平"
水云东村1.5楼 四房两厅两卫 户型方正 报价88.8w,水雲東村 -丹阳城区商圈,4室2厅 | 132.85平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,83.8,"6,308元/平"
恒大名都3-2-1-2 125.00m² 112.8 万,恒大名都 -丹阳城区商圈,3室2厅 | 125平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,1人关注 / 3个月以前发布,112.8,"9,024元/平"
恒大名都精装湖景房135平116万,恒大名都 -丹阳城区商圈,3室2厅 | 135平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,18人关注 / 一年前发布,118,"8,741元/平"
上善雅苑3-2-1-1 127.00m² 112.8 万,上善雅苑 -丹阳华南商圈,3室2厅 | 127平米 | 南 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,112.8,"8,882元/平"
爱家尚城 市区大盘 抢手楼层4房2卫,爱家尚城 -丹阳城区商圈,4室2厅 | 141平米 | 南 | 毛坯 | 中楼层(共32层)  | 塔楼,0人关注 / 3个月以前发布,148,"10,497元/平"
信达香堤国际 两室 精装 随时看房 95平,信达香堤国际 -丹阳开发区商圈,2室1厅 | 94.38平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 2个月以前发布,96.8,"10,257元/平"
华南新村中间楼层 90平三房两厅 仅售67.8w,華南新村 -丹阳华南商圈,3室2厅 | 90平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,67.8,"7,534元/平"
吾悦华府 3房2卫毛坯 122平 135.8万,吾悦华府 -丹阳开发区商圈,3室2厅 | 122.32平米 | 南 | 毛坯 | 低楼层(共34层)  | 板楼,0人关注 / 2个月以前发布,135.8,"11,103元/平"
紫荆花园 楼层采光一级棒 101平 精装三居室 保养如新,紫荆花园(丹阳市) -丹阳开发区商圈,3室2厅 | 101平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,86.8,"8,595元/平"
恒大城279平 精装修 可直接拎包入住 楼层好 户型好,恒大城 -丹阳开发区商圈,4室2厅 | 279平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,3人关注 / 5个月以前发布,192.8,"6,911元/平"
欧洲城   6+7   3室2厅   新精装修,欧洲城 -丹阳华南商圈,3室2厅 | 161.89平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,98.8,"6,103元/平"
新世纪花园 精装好房出售6楼 空间大 136.8万,新世纪花园 -丹阳华南商圈,4室2厅 | 213平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,9人关注 / 一年前发布,136.8,"6,423元/平"
曲园小区3-1-1-1 86.00m² 69.8 万,曲园小区 -丹阳开发区商圈,3室1厅 | 86平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,69.8,"8,117元/平"
太阳城  精致三房  高楼层  南,太阳城小区 -丹阳华南商圈,3室2厅 | 110平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,1人关注 / 一年前发布,78.8,"7,164元/平"
御河熙岸·幸福家3-2-1-1 117.00m² 120 万,御河熙岸·幸福家 -丹阳开发区商圈,3室2厅 | 117平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 3个月以前发布,115,"9,830元/平"
金鼎城市花园 5房3卫 顶复宽景阳光房  视野开阔,金鼎城市花园 -丹阳开发区商圈,5室2厅 | 205平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,12人关注 / 11个月以前发布,80,"3,903元/平"
丹鳳國际 2室2厅 南,丹鳳國际 -丹阳华南商圈,2室2厅 | 90平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,94.8,"10,534元/平"
健康园 3室1厅 南 北,健康园 -丹阳城区商圈,3室1厅 | 83.5平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,62.8,"7,521元/平"
御珑湾3-2-1-2 精装满二毛坯价,御珑湾 -丹阳开发区商圈,3室2厅 | 133平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 12天以前发布,143.8,"10,813元/平"
丹凤公寓 四室两厅   实用面积大,丹凤公寓 -丹阳城区商圈,4室2厅 | 130.16平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,78,"5,993元/平"
海会新村2室小面积中间楼层 南北户型 采光好,海会新村 -丹阳城区商圈,2室1厅 | 50平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,43.9,"8,780元/平"
急售！碧桂园  三室一厅一卫精装修 房东诚意卖,丹阳碧桂园 -丹阳华南商圈,3室1厅 | 91平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,1人关注 / 1个月以前发布,98,"10,770元/平"
华都锦城幸福里 90平 两室两厅 毛坯房东诚心出售,华都锦城·幸福里 -丹阳华南商圈,2室2厅 | 90平米 | 南 | 毛坯 | 低楼层(共34层)  | 板楼,0人关注 / 2个月以前发布,103.8,"11,534元/平"
曲园小区 2室2厅 南 北,曲园小区 -丹阳开发区商圈,2室2厅 | 102平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 4个月以前发布,85.8,"8,412元/平"
2房朝南.双阳台.房东精装.户型方正.采光好视野开阔,華南新村 -丹阳华南商圈,2室2厅 | 80平米 | 南 | 精装 | 低楼层(共8层)  | 板楼,1人关注 / 4个月以前发布,62,"7,750元/平"
迎春小区  拎包入住  交通方便,迎春小区 -丹阳开发区商圈,3室1厅 | 117.62平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,3人关注 / 一年前发布,75.6,"6,428元/平"
华都幸福里 106平 三开间 朝南 满二 102.8万,华都锦城·幸福里 -丹阳华南商圈,3室2厅 | 106平米 | 南 | 毛坯 | 高楼层(共34层)  | 板楼,0人关注 / 2个月以前发布,100,"9,434元/平"
华都锦城103平 大两房 精装房东 诚心出售,华都锦城 -丹阳华南商圈,2室2厅 | 103平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,0人关注 / 2个月以前发布,113,"10,971元/平"
华都幸福里 中层 90平两室 精装满二 109.8万,华都锦城·幸福里 -丹阳华南商圈,2室2厅 | 90平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 2个月以前发布,109.3,"12,145元/平"
高楼层，采光充足，有车库，配套设施齐全，交通便利,万善园二村东区（万善园） -丹阳华南商圈,2室1厅 | 57.14平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,42.8,"7,491元/平"
楼层好，采光充足，配套设施齐全，交通便利,万善园二村东区（万善园） -丹阳华南商圈,2室2厅 | 89平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 11个月以前发布,78,"8,765元/平"
出售  华都锦城  三室两厅两卫  开放式厨房 客厅通透,华都锦城 -丹阳华南商圈,3室2厅 | 130平米 | 西 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,148,"11,385元/平"
华都锦城 22楼101平 精装2室 109.8万,华都锦城 -丹阳华南商圈,2室2厅 | 101平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 7个月以前发布,107.8,"10,674元/平"
锦绣江南147平 高楼层 采光好 户型好,锦绣江南 -丹阳华南商圈,4室2厅 | 147平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,79.8,"5,429元/平"
满2年嘉荟新城86平2室2厅1卫全新装修69.8万,嘉荟新城东区 -丹阳开发区商圈,2室1厅 | 86平米 | 南 | 毛坯 | 中楼层(共11层)  | 平房,0人关注 / 4个月以前发布,68.8,"8,000元/平"
此房布局好，安静干净，采光好，楼层好， 装修舒适,幸福小区 -丹阳开发区商圈,3室2厅 | 90平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,68,"7,556元/平"
嘉荟新城东区 2室2厅 南,嘉荟新城东区 -丹阳开发区商圈,2室2厅 | 88平米 | 南 | 精装 | 低楼层(共18层)  | 平房,0人关注 / 1个月以前发布,69.8,"7,932元/平"
中南君悦府 95平就婚装2室（3房改2房）124.8万,中南君悦府 -丹阳华南商圈,3室2厅 | 95平米 | 南 | 精装 | 高楼层(共34层)  | 暂无数据,0人关注 / 7个月以前发布,119.8,"12,611元/平"
丹桂园北区 高楼层精装2房有大露台和阁楼 使用面积多,丹桂园 -丹阳城区商圈,2室1厅 | 98.7平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,63.8,"6,465元/平"
爱家尚城 3房2卫 户型方正 110平 98W,爱家尚城 -丹阳城区商圈,3室2厅 | 110.66平米 | 南 | 毛坯 | 低楼层(共34层)  | 塔楼,1人关注 / 4个月以前发布,98,"8,856元/平"
水云东村此房周 边医院，学 校，菜场，商场,水雲東村 -丹阳城区商圈,3室1厅 | 105平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,55,"5,239元/平"
爱家二期现房，位置好，全天采光，低总价,爱家尚城 -丹阳城区商圈,3室1厅 | 101平米 | 南 | 毛坯 | 低楼层(共22层)  | 暂无数据,0人关注 / 2个月以前发布,95.8,"9,486元/平"
荣城国际 2室2厅 南 东南,荣城国际 -丹阳城区商圈,2室2厅 | 70平米 | 南 东南 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 2个月以前发布,96.8,"13,829元/平"
曲园小区3-2-1-1 94.00m² 78 万,曲园小区 -丹阳开发区商圈,3室2厅 | 94平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,78,"8,298元/平"
上善雅苑   2室2厅1厨1卫  毛坯,上善雅苑 -丹阳华南商圈,2室1厅 | 83平米 | 南 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,77.8,"9,374元/平"
天怡南方名居 4室2厅 南,天怡南方名居 -丹阳华南商圈,4室2厅 | 186平米 | 南 | 毛坯 | 高楼层(共16层)  | 板楼,0人关注 / 5个月以前发布,136.8,"7,355元/平"
众悦华城  两室两厅 91平 75.8万 精装随时看房,众悦华城 -丹阳开发区商圈,2室2厅 | 91平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 4个月以前发布,75.8,"8,330元/平"
紫荆花园 3房1卫 装修保养好 拎包入住 81.8万,紫荆花园(丹阳市) -丹阳开发区商圈,3室2厅 | 110.34平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,81.8,"7,414元/平"
中心嘉园 3室1厅 南 北,中心嘉园 -丹阳开发区商圈,3室1厅 | 126平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,99.8,"7,921元/平"
市区好房缇香花园精装修房两房两厅一卫,缇香花园 -丹阳城区商圈,2室2厅 | 90平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,89.8,"9,978元/平"
大亚·第一城 2室2厅 南,大亚·第一城 -丹阳开发区商圈,2室2厅 | 88平米 | 南 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 1个月以前发布,133.8,"15,205元/平"
万善上院 3室2厅 南,万善上院 -丹阳华南商圈,3室2厅 | 120平米 | 南 | 精装 | 高楼层(共31层)  | 暂无数据,0人关注 / 1个月以前发布,149.8,"12,484元/平"
华南新村高层 93平 3室1厅 精装设全 户型佳 55万满5年,華南新村 -丹阳华南商圈,3室1厅 | 93平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 26天以前发布,53.8,"5,785元/平"
华都锦城    2室2厅     精装修,华都锦城 -丹阳华南商圈,2室2厅 | 97.33平米 | 南 | 毛坯 | 高楼层(共28层)  | 板楼,0人关注 / 1个月以前发布,105.8,"10,871元/平"
华都锦城    102平   2室2厅   精装修,华都锦城 -丹阳华南商圈,2室2厅 | 102平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,115.8,"11,353元/平"
嘉荟新城东区88平 精装修 楼层好 户型好 采光好,嘉荟新城东区 -丹阳开发区商圈,2室2厅 | 88平米 | 南 | 精装 | 低楼层(共18层)  | 平房,0人关注 / 18天以前发布,69.8,"7,932元/平"
锦江花园(丹阳市) 2室2厅 南 北,锦江花园(丹阳市) -丹阳开发区商圈,2室2厅 | 89.8平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 17天以前发布,61.8,"6,882元/平"
恒大名都 3室2厅 南,恒大名都 -丹阳城区商圈,3室2厅 | 111平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,1人关注 / 6个月以前发布,105.8,"9,532元/平"
电梯小洋房  装修新  房东诚心出售,練湖新城 -丹阳城区商圈,3室2厅 | 128平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,2人关注 / 4个月以前发布,113.8,"8,891元/平"
大桥新村 3室2厅 南 北,大桥新村 -丹阳城区商圈,3室2厅 | 141平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 4个月以前发布,98.8,"7,008元/平"
此房南北通透   飞机户型   前后无遮挡,西苑公寓 -丹阳城区商圈,3室2厅 | 123.7平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,95.8,"7,745元/平"
练湖新城四室二厅一厨二卫现代装修好房出售,練湖新城 -丹阳城区商圈,4室2厅 | 125.41平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,103.8,"8,277元/平"
锦泰园3-2-1-2好房，房东诚意出售,锦泰园 -丹阳城区商圈,3室2厅 | 136平米 | 南 北 | 精装 | 高楼层(共5层)  | 暂无数据,0人关注 / 4个月以前发布,95.8,"7,045元/平"
锦绣熙城 3室2厅 南 北,锦绣熙城 -丹阳城区商圈,3室2厅 | 143.31平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,138,"9,630元/平"
华南新村6楼82平，简装，售价56万,華南新村 -丹阳华南商圈,2室2厅 | 82平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,51,"6,220元/平"
