标题,开发商,房子信息,发布信息,售价/万,单价
电梯大两室，户型方正税费少。。,康桥枫景一期 -汉台区,2室2厅 | 112.27平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 7天以前发布,56,"4,988元/平"
此房户型方正，采光好。楼间距大，视野开阔,明珠南苑二期 -汉台区,3室1厅 | 129.8平米 | 南 | 毛坯 | 高楼层(共31层)  | 板塔结合,2人关注 / 一年前发布,82,"6,318元/平"
户型方正，配套齐全，出行方便，,温莎国际 -汉台区,3室2厅 | 118.88平米 | 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,2人关注 / 7个月以前发布,81,"6,814元/平"
城东新小区，电视塔小三居，毛坯好楼层,广厦·东方明珠 -汉台区,3室2厅 | 117.1平米 | 南 北 | 毛坯 | 中楼层(共29层)  | 板楼,18人关注 / 9个月以前发布,64,"5,466元/平"
城西高品质小区，南北通透，户型方正，观江房,吾悦公馆 -汉台区,3室2厅 | 128平米 | 南 北 | 毛坯 | 高楼层(共28层)  | 板楼,3人关注 / 5个月以前发布,110,"8,594元/平"
城西品质小区，全明户型 复式两层 配套齐全,清水湾 -汉台区,4室2厅 | 235平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 板塔结合,9人关注 / 一年前发布,170,"7,235元/平"
城西体育场毛坯三室出售，地段好，配套成熟,温莎国际 -汉台区,3室2厅 | 116.5平米 | 北 | 毛坯 | 高楼层(共31层)  | 板塔结合,54人关注 / 一年前发布,78,"6,696元/平"
低楼层，南北通透，是您养老的选责，配套全，生活便利,明珠园小区 -汉台区,2室2厅 | 89平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,38,"4,270元/平"
此房为高层，精装复式带家电家具，拎包入住,晨晖帝景府 -汉台区,3室2厅 | 83.23平米 | 东南 | 精装 | 中楼层(共30层)  | 板塔结合,111人关注 / 一年前发布,61,"7,330元/平"
房子户型好，小区成熟，带花园。,建昌卡斯迪亚第壹大道 -汉台区,3室1厅 | 126.49平米 | 南 北 | 毛坯 | 低楼层(共30层)  | 板楼,7人关注 / 3个月以前发布,71,"5,614元/平"
省钱好房 精装 费用少 业主诚心出售 拎包入住,明珠小区 -汉台区,3室2厅 | 135.46平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,14人关注 / 一年前发布,53,"3,913元/平"
好楼层，市区经典三室，配套齐全，生活便利性好,明珠小区 -汉台区,3室2厅 | 134平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,7人关注 / 8个月以前发布,54.9,"4,098元/平"
好地段，好地段，好地段，好地段,西苑小区南院 -汉台区,2室2厅 | 78.65平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,30,"3,815元/平"
鼎鼎百货旁，交通便利，大三居，配套完善,万邦时代广场 -汉台区,3室1厅 | 176平米 | 南 北 | 简装 | 高楼层(共29层)  | 板塔结合,2人关注 / 3个月以前发布,106,"6,023元/平"
产证满五，户型方正，养老居住的好房子,怡馨园小区 -汉台区,2室1厅 | 81平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,38,"4,692元/平"
此房户型方正，南北通透，视野开阔，闹中取静 。,灯泡厂家属院 -汉台区,2室2厅 | 50.15平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,17,"3,390元/平"
城东新小区，花园洋房顶复，双露台。,雅居乐花园 -汉台区,4室2厅 | 179.75平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板塔结合,4人关注 / 6个月以前发布,149,"8,290元/平"
此房地段好，带电梯，毛坯两居，低价出售,金色家园 -汉台区,2室2厅 | 117.5平米 | 南 北 | 毛坯 | 高楼层(共13层)  | 平房,87人关注 / 一年前发布,46,"3,915元/平"
江边热点小区 竹园华府一期前排 配套齐全生活便利,竹园华府 -汉台区,3室2厅 | 157.78平米 | 南 北 | 毛坯 | 中楼层(共19层)  | 板塔结合,46人关注 / 一年前发布,120,"7,606元/平"
城西带露台高品质小区。手续齐全可盘。。,堂宏广场 -汉台区,4室2厅 | 163平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 板塔结合,0人关注 / 2个月以前发布,115,"7,056元/平"
公摊小，户型方正，全明户型，出门就是江边。,中青凯旋门 -汉台区,3室2厅 | 139.3平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,7人关注 / 一年前发布,97,"6,964元/平"
电梯房，毛坯，户型好，可以合同更名,金色家园 -汉台区,4室2厅 | 237.52平米 | 东 西 | 毛坯 | 高楼层(共13层)  | 平房,10人关注 / 一年前发布,98,"4,126元/平"
天汉公园旁碧桂园阅江府精装修好房,碧桂园·阅江府 -汉台区,4室1厅 | 151平米 | 南 | 其他 | 高楼层(共19层)  | 板塔结合,3人关注 / 3个月以前发布,149.5,"9,901元/平"
目前市场资源量少，朝南北户型，公摊面积小得房率高,明珠园小区 -汉台区,3室2厅 | 133.3平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,13人关注 / 4个月以前发布,45,"3,376元/平"
花园式小区，顶楼带露台。成熟商圈,汉水名城北区 -汉台区,3室2厅 | 146.88平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板塔结合,7人关注 / 7个月以前发布,74,"5,039元/平"
江边毛坯三室，可随意装修，我是房子维护人欢迎咨询,汉中世纪城 -汉台区,3室2厅 | 106.88平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,55人关注 / 一年前发布,62,"5,801元/平"
时代滨江洋房，大社区一手手续，可按揭,新天汉时代滨江 -汉台区,4室1厅 | 156.7平米 | 南 北 | 毛坯 | 6层  | 暂无数据,0人关注 / 1个月以前发布,206,"13,147元/平"
户型方正 全明户型房东诚心出售,雅居乐花园 -汉台区,3室2厅 | 111.05平米 | 南 | 其他 | 低楼层(共34层)  | 板楼,2人关注 / 一年前发布,72,"6,484元/平"
万邦时代广场 三室两厅 精装 看房方便,万邦时代广场 -汉台区,3室2厅 | 148平米 | 南 北 | 精装 | 中楼层(共29层)  | 板塔结合,7人关注 / 一年前发布,87,"5,879元/平"
此房位于城中，繁华地段，交通便利，，户型方正,财富立方 -汉台区,3室2厅 | 128.83平米 | 南 北 | 精装 | 高楼层(共26层)  | 板塔结合,0人关注 / 8个月以前发布,96,"7,452元/平"
此房位于城中，繁华地段，交通便利，，户型方正,财富立方 -汉台区,3室2厅 | 128.83平米 | 南 北 | 精装 | 高楼层(共26层)  | 板塔结合,0人关注 / 8个月以前发布,96,"7,452元/平"
城东新小区，花园洋房顶复，双露台。,雅居乐花园 -汉台区,4室2厅 | 179.75平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板塔结合,4人关注 / 6个月以前发布,149,"8,290元/平"
此房地段好，带电梯，毛坯两居，低价出售,金色家园 -汉台区,2室2厅 | 117.5平米 | 南 北 | 毛坯 | 高楼层(共13层)  | 平房,87人关注 / 一年前发布,46,"3,915元/平"
江边热点小区 竹园华府一期前排 配套齐全生活便利,竹园华府 -汉台区,3室2厅 | 157.78平米 | 南 北 | 毛坯 | 中楼层(共19层)  | 板塔结合,46人关注 / 一年前发布,120,"7,606元/平"
城西带露台高品质小区。手续齐全可盘。。,堂宏广场 -汉台区,4室2厅 | 163平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 板塔结合,0人关注 / 2个月以前发布,115,"7,056元/平"
公摊小，户型方正，全明户型，出门就是江边。,中青凯旋门 -汉台区,3室2厅 | 139.3平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,7人关注 / 一年前发布,97,"6,964元/平"
城中好房子，交通便利，离江边近,二期网师苑 -汉台区,3室2厅 | 102.41平米 | 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,5人关注 / 10个月以前发布,72,"7,031元/平"
"户型方正，南北通透。全明户型 ,可观江",中交滨江国际 -汉台区,3室2厅 | 131.66平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板楼,7人关注 / 9个月以前发布,105,"7,976元/平"
户型方正，整体布局合理，采.光好,明珠南苑二期 -汉台区,3室1厅 | 122.87平米 | 南 北 | 毛坯 | 低楼层(共31层)  | 板塔结合,11人关注 / 11个月以前发布,81,"6,593元/平"
广厦东方明珠 三室两厅两卫 南北通透 采光好,广厦·东方明珠 -汉台区,3室2厅 | 143平米 | 南 北 | 毛坯 | 高楼层(共29层)  | 塔楼,17人关注 / 一年前发布,77,"5,385元/平"
户型方正 全明户型房东诚心出售,雅居乐花园 -汉台区,3室2厅 | 111.05平米 | 南 | 其他 | 低楼层(共34层)  | 板楼,2人关注 / 一年前发布,72,"6,484元/平"
万邦时代广场 三室两厅 精装 看房方便,万邦时代广场 -汉台区,3室2厅 | 148平米 | 南 北 | 精装 | 中楼层(共29层)  | 板塔结合,7人关注 / 一年前发布,87,"5,879元/平"
城西体育场旁  精装大三室  拎包入住   业主诚心出售,锦都名居 -汉台区,3室2厅 | 147平米 | 南 北 | 简装 | 高楼层(共18层)  | 板塔结合,10人关注 / 一年前发布,74.5,"5,069元/平"
江边毛坯三室，可随意装修，我是房子维护人欢迎咨询,汉中世纪城 -汉台区,3室2厅 | 106.88平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,55人关注 / 一年前发布,62,"5,801元/平"
目前市场资源量少，朝南北户型，公摊面积小得房率高,明珠园小区 -汉台区,3室2厅 | 133.3平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,13人关注 / 4个月以前发布,45,"3,376元/平"
花园式小区，顶楼带露台。成熟商圈,汉水名城北区 -汉台区,3室2厅 | 146.88平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板塔结合,7人关注 / 7个月以前发布,74,"5,039元/平"
时代滨江洋房，大社区一手手续，可按揭,新天汉时代滨江 -汉台区,4室1厅 | 156.7平米 | 南 北 | 毛坯 | 6层  | 暂无数据,0人关注 / 1个月以前发布,206,"13,147元/平"
龙岗新区 精装三室 一楼带前后花园 带车位,圣桦龙湾半岛 -南郑区,3室2厅 | 115.43平米 | 南 北 | 精装 | 低楼层(共12层)  | 板楼,15人关注 / 一年前发布,115,"9,963元/平"
小高层 纯板式结构南北通透阔景阳台楼,圣桦龙湾半岛 -南郑区,4室2厅 | 130.56平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,103,"7,890元/平"
房子中间楼层，带两个大阳台，位置好，交通便利,蓝馨苑 -汉台区,4室2厅 | 161平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 5个月以前发布,56,"3,479元/平"
城西复式精装4室，有电梯临江边，成熟小区,民乐园小区 -汉台区,4室2厅 | 178平米 | 南 北 | 其他 | 高楼层(共6层)  | 塔楼,5人关注 / 一年前发布,95,"5,338元/平"
地理位置优越，出门配套齐全完善，出则繁华入则宁静,堂宏广场 -汉台区,3室2厅 | 104.45平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板塔结合,0人关注 / 4个月以前发布,82.5,"7,899元/平"
中悦国际旁大四居，三面采光格局好，带车位不临街,汉台区税务局家属院 -汉台区,4室2厅 | 156平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,4人关注 / 8个月以前发布,62,"3,975元/平"
江边江景房，毛坯三室，南北通透，采光好，全明户型,萃庭花园 -汉台区,3室2厅 | 142.99平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 板楼,15人关注 / 一年前发布,72,"5,036元/平"
城西精装四室、环境优雅、配套齐全！,恒大帝景 -汉台区,4室2厅 | 160平米 | 南 北 | 精装 | 中楼层(共32层)  | 板塔结合,3人关注 / 6个月以前发布,145,"9,063元/平"
满五唯一税费低。。。。。。。。,万邦普罗旺斯 -汉台区,4室2厅 | 136.54平米 | 北 南 | 精装 | 中楼层(共26层)  | 板塔结合,25人关注 / 一年前发布,90,"6,592元/平"
江边洋房社区，公摊面积小，户型方正，无浪费面积..,滨江公园壹号 -汉台区,3室2厅 | 106.93平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板楼,3人关注 / 一年前发布,88,"8,230元/平"
交通便利，南北通透，户型方正，配套完善。,明珠园小区 -汉台区,2室2厅 | 94平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 6个月以前发布,40,"4,256元/平"
房子没有装修，可按自己喜好装修,枫林绿洲 -南郑区,3室2厅 | 125.53平米 | 南 | 毛坯 | 高楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,60.5,"4,820元/平"
城西高品质小区，比邻天汉文化湿地公园，出行方便,恒大帝景 -汉台区,3室2厅 | 122.7平米 | 南 北 | 精装 | 中楼层(共23层)  | 板楼,4人关注 / 11个月以前发布,106,"8,639元/平"
江边江景房，毛坯三室，南北通透，采光好，全明户型,萃庭花园 -汉台区,3室2厅 | 142.99平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 板楼,15人关注 / 一年前发布,72,"5,036元/平"
城西高品质小区，繁华地段，比邻天汉长街,碧桂园·阅江府 -汉台区,4室2厅 | 142.01平米 | 南 北 | 精装 | 低楼层(共29层)  | 板塔结合,10人关注 / 一年前发布,118,"8,310元/平"
玫瑰庄园二期高层，位置楼层优越可观江,缙颐玫瑰庄园 -汉台区,3室2厅 | 130.94平米 | 南 北 | 精装 | 高楼层(共28层)  | 板塔结合,0人关注 / 一年前发布,160,"12,220元/平"
玫瑰庄园 联排别墅 大花园 可按揭 诚心出售,缙颐玫瑰庄园 -汉台区,5室3厅 | 193.2平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 板塔结合,18人关注 / 一年前发布,380,"19,669元/平"
花园式小区，物业做的好 .小区环境优美.离江边近..,缙颐玫瑰庄园 -汉台区,3室2厅 | 115.69平米 | 南 北 | 其他 | 中楼层(共28层)  | 板塔结合,13人关注 / 4个月以前发布,123,"10,632元/平"
城西高品质小区，比邻天汉长街，交通便利，一线江景房,吾悦公馆 -汉台区,3室2厅 | 131平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 板楼,3人关注 / 8个月以前发布,120,"9,161元/平"
地段优越  江边位置  小区环境好  南北通透,缙颐玫瑰庄园 -汉台区,4室2厅 | 144平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板塔结合,11人关注 / 一年前发布,132.7,"9,216元/平"
汉水名城阅府，电梯房大三室出售，户型方正无浪费,汉水名城阅府 -汉台区,3室2厅 | 132.5平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,92,"6,944元/平"
民乐花苑一期电梯房中间楼层，毛坯三室出售,民乐花苑一期 -汉台区,3室2厅 | 103平米 | 南 | 毛坯 | 中楼层(共28层)  | 板楼,0人关注 / 2个月以前发布,56.5,"5,486元/平"
大三居，好楼层，视野开阔，南北向 离学 校近,汉京国际 -汉台区,3室2厅 | 130平米 | 南 | 毛坯 | 高楼层(共24层)  | 板楼,189人关注 / 一年前发布,79,"6,077元/平"
小区地段好，离江边近，房子中间楼层，配套设施齐全,广厦明珠北苑 -汉台区,3室2厅 | 133.95平米 | 南 | 毛坯 | 高楼层(共23层)  | 板塔结合,8人关注 / 4个月以前发布,74.5,"5,562元/平"
城西高档洋房，大3室户型方正。。,金泰·滨江花城 -汉台区,3室2厅 | 130平米 | 南 北 | 毛坯 | 中楼层(共8层)  | 暂无数据,2人关注 / 7个月以前发布,125,"9,616元/平"
江边精装温馨小三居，刚交房未入住..,中青凯旋门 -汉台区,3室2厅 | 100.89平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,23人关注 / 一年前发布,72,"7,137元/平"
中交观江大三室  凤凰层 产证在手  业主诚心出售,中交滨江国际 -汉台区,3室2厅 | 131.77平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,8人关注 / 7个月以前发布,102,"7,741元/平"
中交滨江国际 大四室 带露台  适合喜欢养花的你,中交滨江国际 -汉台区,4室2厅 | 170平米 | 西 南 | 精装 | 低楼层(共33层)  | 板楼,10人关注 / 6个月以前发布,132,"7,765元/平"
精装修未入住，品牌家装，集成灶洗碗机统统在线,新天汉时代滨江 -汉台区,3室2厅 | 96平米 | 南 北 | 精装 | 33层  | 板楼,0人关注 / 2个月以前发布,129,"13,438元/平"
业主诚心出售 随时看房 江边小区环境好 出行方便,中青国际社区 -汉台区,3室2厅 | 125平米 | 南 | 毛坯 | 低楼层(共32层)  | 板塔结合,23人关注 / 11个月以前发布,72,"5,760元/平"
此房楼间距大  可以观江   方便交易,吾悦公馆 -汉台区,3室2厅 | 101平米 | 南 北 | 其他 | 高楼层(共30层)  | 板楼,0人关注 / 2个月以前发布,90,"8,911元/平"
江边三室南北双花园，户型方正名厨明卫,竹园圣江悦 -南郑区,3室2厅 | 140平米 | 南 北 | 毛坯 | 低楼层(共15层)  | 板楼,22人关注 / 一年前发布,86,"6,143元/平"
明珠南苑，产证在手，户型方正可随时看房,明珠南苑一期 -汉台区,3室2厅 | 128.1平米 | 南 | 毛坯 | 中楼层(共6层)  | 板塔结合,36人关注 / 一年前发布,85,"6,636元/平"
此房南北通透，户型方正，居中楼层，江边小区,银沟桥小区 -南郑区,5室2厅 | 151.65平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板楼,4人关注 / 4个月以前发布,45,"2,968元/平"
市区，上班，工作，上学，交通都比较方便，,益汉小区 -汉台区,4室2厅 | 150平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,5人关注 / 一年前发布,57,"3,800元/平"
国企重工 绿化优越 采光*好，南北通透,金泰·滨江花城 -汉台区,3室2厅 | 86.59平米 | 北 南 | 简装 | 高楼层(共27层)  | 板塔结合,51人关注 / 一年前发布,72,"8,316元/平"
户型方正，整体布局合理，采.光好,明珠南苑二期 -汉台区,3室2厅 | 121.3平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 板塔结合,10人关注 / 一年前发布,80.7,"6,653元/平"
品质小区，优质楼层，*大面积，户型方正。,锦江小区 -汉台区,3室2厅 | 141.74平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,13人关注 / 一年前发布,48,"3,387元/平"
江边成熟小区，集中供暖，三室变四室,竹园华府二期 -汉台区,3室2厅 | 125平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 板塔结合,44人关注 / 一年前发布,82,"6,560元/平"
汉宇领峰 三室两厅两卫 多层毛坯房出售,汉宇领峰 -汉台区,3室2厅 | 120.8平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,82人关注 / 一年前发布,49.8,"4,123元/平"
虎桥路大三室 电梯高层非顶楼 看房方便,锦都名居 -汉台区,3室2厅 | 146平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,6人关注 / 一年前发布,75,"5,137元/平"
城西桃源新城三室满五楼层好全明户型,桃源新城 -汉台区,3室2厅 | 102.81平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 板塔结合,6人关注 / 一年前发布,68,"6,615元/平"
南北通透，全明格局，户型方正，适合喜欢低楼层的人群,中青国际社区 -汉台区,4室2厅 | 149.1平米 | 南 北 | 毛坯 | 低楼层(共12层)  | 板塔结合,38人关注 / 一年前发布,85,"5,701元/平"
此小区位于城东，交通便利，户型方正，采光好,天泽小区 -汉台区,2室2厅 | 92.25平米 | 南 北 | 精装 | 低楼层(共6层)  | 平房,4人关注 / 7个月以前发布,32,"3,469元/平"
民乐花苑一期电梯房中间楼层，毛坯三室出售,民乐花苑一期 -汉台区,3室2厅 | 103平米 | 南 | 毛坯 | 中楼层(共28层)  | 板楼,0人关注 / 2个月以前发布,56.5,"5,486元/平"
大三居，好楼层，视野开阔，南北向 离学 校近,汉京国际 -汉台区,3室2厅 | 130平米 | 南 | 毛坯 | 高楼层(共24层)  | 板楼,189人关注 / 一年前发布,79,"6,077元/平"
汉水名城阅府，电梯房大三室出售，户型方正无浪费,汉水名城阅府 -汉台区,3室2厅 | 132.5平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,92,"6,944元/平"
公摊小，带花园，楼龄近养老刚需均可,汉水紫薇A区 -汉台区,3室2厅 | 127平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板塔结合,38人关注 / 一年前发布,47,"3,701元/平"
此房南北通透格局好，视野好，采光充足，交通便利,汉中市第四中学家属楼 -汉台区,2室2厅 | 74.49平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,35人关注 / 一年前发布,35,"4,699元/平"
吾悦品质小区 三室 视野采光好,吾悦公馆 -汉台区,3室2厅 | 126平米 | 南 北 | 毛坯 | 中楼层(共25层)  | 板楼,5人关注 / 11个月以前发布,120,"9,524元/平"
小区地段好，离江边近，房子中间楼层，配套设施齐全,广厦明珠北苑 -汉台区,3室2厅 | 133.95平米 | 南 | 毛坯 | 高楼层(共23层)  | 板塔结合,8人关注 / 4个月以前发布,74.5,"5,562元/平"
江边精装温馨小三居，刚交房未入住..,中青凯旋门 -汉台区,3室2厅 | 100.89平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,23人关注 / 一年前发布,72,"7,137元/平"
城西高档洋房，大3室户型方正。。,金泰·滨江花城 -汉台区,3室2厅 | 130平米 | 南 北 | 毛坯 | 中楼层(共8层)  | 暂无数据,2人关注 / 7个月以前发布,125,"9,616元/平"
业主诚心出售 随时看房 江边小区环境好 出行方便,中青国际社区 -汉台区,3室2厅 | 125平米 | 南 | 毛坯 | 低楼层(共32层)  | 板塔结合,23人关注 / 11个月以前发布,72,"5,760元/平"
中交观江大三室  凤凰层 产证在手  业主诚心出售,中交滨江国际 -汉台区,3室2厅 | 131.77平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,8人关注 / 7个月以前发布,102,"7,741元/平"
中交滨江国际 大四室 带露台  适合喜欢养花的你,中交滨江国际 -汉台区,4室2厅 | 170平米 | 西 南 | 精装 | 低楼层(共33层)  | 板楼,10人关注 / 6个月以前发布,132,"7,765元/平"
精装修未入住，品牌家装，集成灶洗碗机统统在线,新天汉时代滨江 -汉台区,3室2厅 | 96平米 | 南 北 | 精装 | 33层  | 板楼,0人关注 / 2个月以前发布,129,"13,438元/平"
明珠南苑，产证在手，户型方正可随时看房,明珠南苑一期 -汉台区,3室2厅 | 128.1平米 | 南 | 毛坯 | 中楼层(共6层)  | 板塔结合,36人关注 / 一年前发布,85,"6,636元/平"
江边三室南北双花园，户型方正名厨明卫,竹园圣江悦 -南郑区,3室2厅 | 140平米 | 南 北 | 毛坯 | 低楼层(共15层)  | 板楼,22人关注 / 一年前发布,86,"6,143元/平"
此房楼间距大  可以观江   方便交易,吾悦公馆 -汉台区,3室2厅 | 101平米 | 南 北 | 其他 | 高楼层(共30层)  | 板楼,0人关注 / 2个月以前发布,90,"8,911元/平"
江景复式新房，门口湿地公馆，可观江，带露台.,中青凯旋门 -汉台区,6室4厅 | 200.59平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板塔结合,1人关注 / 一年前发布,151,"7,528元/平"
城西精装，拎包入住，视野好，观景观江,缙颐玫瑰庄园 -汉台区,3室2厅 | 131.56平米 | 南 北 | 精装 | 中楼层(共16层)  | 板楼,9人关注 / 7个月以前发布,131,"9,958元/平"
电视塔旁，成熟地段，满五税费低，看房方便,前进东路商住楼 -汉台区,3室2厅 | 148.7平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,55,"3,699元/平"
南北通透，全明格局，户型方正，适合喜欢低楼层的人群,中青国际社区 -汉台区,4室2厅 | 149.1平米 | 南 北 | 毛坯 | 低楼层(共12层)  | 板塔结合,38人关注 / 一年前发布,85,"5,701元/平"
城西桃源新城三室满五楼层好全明户型,桃源新城 -汉台区,3室2厅 | 102.81平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 板塔结合,6人关注 / 一年前发布,68,"6,615元/平"
江边成熟小区，集中供暖，三室变四室,竹园华府二期 -汉台区,3室2厅 | 125平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 板塔结合,44人关注 / 一年前发布,82,"6,560元/平"
城区 中间楼层 交通便利 诚心出售,市人民医院家属院 -汉台区,2室2厅 | 56.22平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 11个月以前发布,29.6,"5,266元/平"
好地段，好楼层，好户型，生活方便,万邦时代广场 -汉台区,3室2厅 | 163.15平米 | 南 北 | 精装 | 中楼层(共29层)  | 板塔结合,0人关注 / 2个月以前发布,103,"6,314元/平"
汉宇领峰 三室两厅两卫 多层毛坯房出售,汉宇领峰 -汉台区,3室2厅 | 120.8平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,82人关注 / 一年前发布,49.8,"4,123元/平"
虎桥路大三室 电梯高层非顶楼 看房方便,锦都名居 -汉台区,3室2厅 | 146平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,6人关注 / 一年前发布,75,"5,137元/平"
户型方正，整体布局合理，采.光好,明珠南苑二期 -汉台区,3室2厅 | 121.3平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 板塔结合,10人关注 / 一年前发布,80.7,"6,653元/平"
品质小区，优质楼层，*大面积，户型方正。,锦江小区 -汉台区,3室2厅 | 141.74平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,13人关注 / 一年前发布,48,"3,387元/平"
就此一套！江边一楼底跃带花园 0入住精装样板间,中青凯旋门 -汉台区,4室1厅 | 157.46平米 | 南 北 | 精装 | 低楼层(共9层)  | 板塔结合,8人关注 / 7个月以前发布,149,"9,463元/平"
江边好房 三室横厅采光好 南北通透 随时看房 支持按揭,中青国际社区 -汉台区,3室2厅 | 125.45平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 板塔结合,8人关注 / 11个月以前发布,75,"5,979元/平"
龙惠春天优质精装两室好房可拎包入住,龙惠春天 -南郑区,2室2厅 | 94.15平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,46,"4,886元/平"
配套成熟，环境好，交通便捷，适宜居住！,明珠南苑一期 -汉台区,3室2厅 | 120.33平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 板塔结合,78人关注 / 一年前发布,49,"4,073元/平"
江边精装小高层，三室两厅两卫，视野开阔,滨江半岛 -汉台区,3室2厅 | 118.11平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,30人关注 / 一年前发布,91,"7,705元/平"
城东学院旁毛坯中间层大三室全明户型证在手随时交易,和谐家园 -汉台区,3室2厅 | 122.49平米 | 西南 | 毛坯 | 中楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,58,"4,736元/平"
江边品质小区，环境优美，人车分流，出行方便,缙颐玫瑰庄园 -汉台区,3室2厅 | 132平米 | 南 北 | 毛坯 | 低楼层(共16层)  | 板塔结合,0人关注 / 2个月以前发布,115,"8,713元/平"
城西高品质小区，比邻天汉湿地公园，购物方便,吾悦公馆 -汉台区,3室2厅 | 128.7平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 板楼,5人关注 / 一年前发布,105,"8,159元/平"
城西毛坯三室一手手续，欢迎多多带看,广厦明珠北苑 -汉台区,3室2厅 | 127.07平米 | 南 北 | 毛坯 | 高楼层(共19层)  | 板塔结合,15人关注 / 一年前发布,62.5,"4,919元/平"
此房大四室  南北通透，绿化好，品质奢华小区,新天汉时代滨江 -汉台区,4室2厅 | 126.56平米 | 南 北 | 毛坯 | 33层  | 板楼,7人关注 / 4个月以前发布,115.5,"9,127元/平"
城西毛坯大三居，业主诚心出售，看房方便,仕锦现代城 -汉台区,3室2厅 | 160.88平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 板塔结合,0人关注 / 1个月以前发布,98,"6,092元/平"
