标题,开发商,房子信息,发布信息,售价/万,单价
精装修 产证在手满二 户型方正 采光无遮挡,宝华花园 -宝华商圈,3室2厅 | 100.99平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 2天以前发布,60,"5,942元/平"
一梯一户的洋房，户型方正，三开间朝南。,碧桂园中天东方骏庭 -宝华商圈,3室2厅 | 113平米 | 南 | 精装 | 7层  | 板楼,21人关注 / 一年前发布,134,"11,859元/平"
简装满2年，视野开阔，楼层好，采光足,京东紫晶 -宝华商圈,2室2厅 | 68.69平米 | 南 | 简装 | 高楼层(共35层)  | 塔楼,0人关注 / 一年前发布,88.5,"12,884元/平"
南北格局好，楼层好，采光足，视野开阔，朝南户型方正,九曲花苑 -宝华商圈,3室2厅 | 83平米 | 南 | 毛坯 | 中楼层(共6层)  | 板塔结合,0人关注 / 7个月以前发布,118,"14,217元/平"
恒大雅苑旁 濠锋星钻精装大两房 经典户型 诚心出售,濠锋星钻 -宝华商圈,2室1厅 | 90平米 | 南 | 精装 | 中楼层(共31层)  | 板塔结合,0人关注 / 一年前发布,121,"13,445元/平"
环境好，小区绿化高，交通便利，采光好，看房方便,天正理想城 -宝华商圈,2室2厅 | 74平米 | 南 | 简装 | 高楼层(共34层)  | 板楼,0人关注 / 一年前发布,78,"10,541元/平"
此房满两年，纯东边户，没住过人,恒大雅苑 -宝华商圈,3室2厅 | 121.78平米 | 东南 | 精装 | 中楼层(共33层)  | 塔楼,3人关注 / 一年前发布,148,"12,154元/平"
房子格局好，主卧朝南，次卧有一个小露台，交通便利,同城世家 -宝华商圈,3室2厅 | 116平米 | 南 | 简装 | 10层  | 板楼,2人关注 / 一年前发布,175,"15,087元/平"
中间楼层，诚心出售，环境优美，交通便利,碧桂园仙林东郡 -宝华商圈,2室1厅 | 83.83平米 | 南 | 精装 | 中楼层(共23层)  | 板楼,0人关注 / 4个月以前发布,75,"8,947元/平"
离南京近的房子，一河之隔，交通便利,仙林首望城 -宝华商圈,3室2厅 | 88.5平米 | 南 | 毛坯 | 高楼层(共26层)  | 板楼,0人关注 / 一年前发布,126.9,"14,339元/平"
仙林东 宝华镇  招商国际小区   家具家电齐全,招商国际E城 -宝华商圈,3室2厅 | 95平米 | 南 | 毛坯 | 低楼层(共34层)  | 板塔结合,0人关注 / 一年前发布,95,"10,000元/平"
格局好，楼层好，采光足，视野开阔，朝南,碧桂园翡翠华府 -宝华商圈,3室2厅 | 115.32平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,15人关注 / 一年前发布,120,"10,406元/平"
三开间朝南  前后无遮挡   视野开阔  品质小区,碧桂园翡翠华府 -宝华商圈,3室2厅 | 96平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,1人关注 / 一年前发布,99,"10,313元/平"
此房精装带地暖，采光充足，视野开阔 低总价 业主诚售,碧桂园翡翠华府二期 -宝华商圈,3室2厅 | 95平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,0人关注 / 一年前发布,156,"16,422元/平"
楼层好，视野宽阔，采光充足，配套设施完整，交通便利,碧桂园翡翠华府 -宝华商圈,3室2厅 | 95平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 一年前发布,133,"14,000元/平"
双地铁 交通发达 离仙林校区一步之遥  环境好价格可谈,远洋心里 -宝华商圈,3室2厅 | 87.25平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,2人关注 / 一年前发布,93,"10,660元/平"
仙林东 纯毛坯 大三房 满两年 采光足,彩虹城 -宝华商圈,3室2厅 | 111平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,10人关注 / 一年前发布,105,"9,460元/平"
精装+地暖 楼层好，视野宽阔，采光充足，配套设施完整,碧桂园翡翠华府二期 -宝华商圈,3室2厅 | 117平米 | 南 北 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 一年前发布,190,"16,240元/平"
全新未入住 带车位 业主自己用心装修 店长强烈推荐,京东紫晶 -宝华商圈,2室2厅 | 64.39平米 | 南 | 精装 | 中楼层(共34层)  | 塔楼,1人关注 / 一年前发布,79,"12,269元/平"
仙林东 万达茂 仙林悦城 满二 采光无遮挡 配套齐全,仙林悦城 -宝华商圈,3室2厅 | 89平米 | 南 | 毛坯 | 低楼层(共29层)  | 塔楼,1人关注 / 9个月以前发布,89,"10,000元/平"
仙林东路  户型方正天正理想城,天正理想城 -宝华商圈,2室2厅 | 74.4平米 | 南 北 | 毛坯 | 低楼层(共34层)  | 板塔结合,0人关注 / 一年前发布,75,"10,081元/平"
朗诗精品三室洋房户型方正采光良好临地铁靠万达茂。,朗诗万都玲珑樾 -宝华商圈,3室2厅 | 115.65平米 | 南 | 精装 | 中楼层(共8层)  | 板塔结合,0人关注 / 一年前发布,188.7,"16,317元/平"
楼层好，采光充足，配套设施完整，交通便利,玉兰花园 -宝华商圈,3室2厅 | 100平米 | 南 | 毛坯 | 6层  | 板塔结合,12人关注 / 一年前发布,66,"6,600元/平"
南北格局好，采光好，视野开阔，朝南，户型方正,京东紫晶 -宝华商圈,3室2厅 | 108平米 | 南 北 | 毛坯 | 高楼层(共35层)  | 塔楼,6人关注 / 一年前发布,152,"14,075元/平"
紧靠南京仙林万达茂 仙林湖站 成熟小区 户型方正,彩虹城 -宝华商圈,2室2厅 | 79.5平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,1人关注 / 9个月以前发布,71,"8,931元/平"
彩虹城  精装三房  采光充足 视野开阔,彩虹城 -宝华商圈,3室2厅 | 83.86平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,3人关注 / 一年前发布,94,"11,210元/平"
万达旁  离南京一步之遥   满两年 生活交通便利,远洋心里 -宝华商圈,3室2厅 | 88平米 | 南 | 毛坯 | 低楼层(共33层)  | 塔楼,2人关注 / 一年前发布,90,"10,228元/平"
户型方正 采光好楼层好 视野好,朗诗万都玲珑樾 -宝华商圈,3室1厅 | 95平米 | 南 | 毛坯 | 中楼层(共19层)  | 板塔结合,0人关注 / 一年前发布,139,"14,632元/平"
低密度住宅，电梯洋房，环境好。,朗诗万都玲珑樾 -宝华商圈,3室2厅 | 92平米 | 南 | 毛坯 | 高楼层(共9层)  | 板塔结合,2人关注 / 一年前发布,125,"13,587元/平"
本小区格局好，采光足，视野开阔，朝南，户型方正。,朗诗万都玲珑樾 -宝华商圈,3室2厅 | 92.21平米 | 南 | 毛坯 | 中楼层(共8层)  | 板楼,0人关注 / 一年前发布,120,"13,014元/平"
朗诗物业 洋房社区 业主诚心出售 随时看房,朗诗万都玲珑樾 -宝华商圈,3室1厅 | 93平米 | 南 | 毛坯 | 低楼层(共19层)  | 板塔结合,0人关注 / 一年前发布,120,"12,904元/平"
小区绿化环境好 得房率高 人车分流 朗诗物业,朗诗万都玲珑樾 -宝华商圈,4室2厅 | 114.05平米 | 南 | 毛坯 | 低楼层(共9层)  | 板塔结合,4人关注 / 一年前发布,133,"11,662元/平"
宝华山下，边户洋房，房东诚心出售,朗诗万都玲珑樾 -宝华商圈,3室2厅 | 92平米 | 南 | 简装 | 低楼层(共8层)  | 板楼,0人关注 / 一年前发布,117,"12,718元/平"
仙林东 仙林印象越城楼，业主诚心出售 随时看房,仙林印象 -宝华商圈,4室2厅 | 120平米 | 南 | 毛坯 | 低楼层(共33层)  | 塔楼,2人关注 / 一年前发布,109,"9,084元/平"
朗诗万都玲珑樾 4室2厅 南,朗诗万都玲珑樾 -宝华商圈,4室2厅 | 116平米 | 南 | 毛坯 | 低楼层(共19层)  | 板塔结合,0人关注 / 一年前发布,150,"12,932元/平"
宝华山下玉兰花园电梯房 优质两房户型好 双地铁环境好,玉兰花园二期和园 -宝华商圈,2室2厅 | 96.6平米 | 南 | 毛坯 | 中楼层(共11层)  | 塔楼,1人关注 / 4个月以前发布,64,"6,626元/平"
位置好 出行方便 房东诚意出售 价格可谈,仙林首望城 -宝华商圈,3室2厅 | 90平米 | 南 | 毛坯 | 高楼层(共26层)  | 板楼,0人关注 / 一年前发布,139,"15,445元/平"
仙林东  招商依云尚城  经典三房  南北通透,招商国际E城 -宝华商圈,3室2厅 | 105平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 塔楼,0人关注 / 一年前发布,120,"11,429元/平"
万达茂仙林悦城两房南采光好诚心出售,仙林悦城 -宝华商圈,2室2厅 | 81.66平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,7人关注 / 一年前发布,80,"9,797元/平"
景观花园位置 招商国际E城  中间楼层 采光无遮挡,招商国际E城 -宝华商圈,3室2厅 | 95平米 | 南 | 毛坯 | 中楼层(共34层)  | 板塔结合,0人关注 / 一年前发布,134,"14,106元/平"
一梯一户的洋房，户型方正，地下室，三开间朝南。,碧桂园中天东方骏庭 -宝华商圈,4室2厅 | 114平米 | 南 | 精装 | 6层  | 板楼,4人关注 / 一年前发布,207,"18,158元/平"
一梯一户的洋房，户型方正，地下室，三开间朝南。,碧桂园中天东方骏庭 -宝华商圈,4室2厅 | 114平米 | 南 | 精装 | 6层  | 板楼,4人关注 / 一年前发布,207,"18,158元/平"
户型方正，布局合理，敞亮通透是城东小区的好选择,建中御东国际六期 -句容市区,4室2厅 | 99平米 | 南 | 毛坯 | 高楼层(共34层)  | 板楼,0人关注 / 6个月以前发布,90,"9,091元/平"
吾悦广场旁，新城旗下的吾悦广场三房两厅,金樾公馆 -句容市区,3室2厅 | 96.7平米 | 南 北 | 毛坯 | 中楼层(共24层)  | 板楼,0人关注 / 8个月以前发布,109,"11,272元/平"
建中御东国际六期 4室2厅 南,建中御东国际六期 -句容市区,4室2厅 | 89平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 一年前发布,105,"11,798元/平"
大学印象 位置好  中间楼层 采光好  双阳台,碧桂园大学印象 -宝华商圈,4室2厅 | 125平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 一年前发布,134,"10,720元/平"
碧桂园大学印象 3室2厅 南,碧桂园大学印象 -宝华商圈,3室2厅 | 98平米 | 南 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 7个月以前发布,106,"10,817元/平"
香山壹境小区，3房2厅  看房方便,香山壹境 -宝华商圈,3室2厅 | 106平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,8人关注 / 一年前发布,84,"7,925元/平"
仙林悦城仙林首站，银城物业，交通便利 大户型宜居,仙林悦城 -宝华商圈,3室2厅 | 120平米 | 南 东 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,136,"11,334元/平"
仙林东 万达茂 招商国际E城 央企物业 好楼层 诚心卖,招商国际E城 -宝华商圈,3室2厅 | 92平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板楼,0人关注 / 8个月以前发布,109,"11,848元/平"
金樾公馆大三房三开间朝南户型，紧靠吾悦地铁高铁口。,金樾公馆 -句容市区,3室2厅 | 131.26平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 暂无数据,2人关注 / 一年前发布,160,"12,190元/平"
地铁口舒适电梯，户型好，三面采光舒适性好,建中御东国际六期 -句容市区,4室2厅 | 122平米 | 南 北 | 精装 | 低楼层(共34层)  | 暂无数据,2人关注 / 一年前发布,140,"11,476元/平"
环境好，小区绿化高，交通便利，采光好，看房方便,天正理想城 -宝华商圈,2室2厅 | 74平米 | 南 | 简装 | 高楼层(共34层)  | 板楼,0人关注 / 一年前发布,78,"10,541元/平"
仙林东 恒大雅苑旁 天正理想城 满两年,天正理想城 -宝华商圈,3室2厅 | 88.15平米 | 南 | 简装 | 高楼层(共34层)  | 塔楼,1人关注 / 4个月以前发布,94,"10,664元/平"
房子格局好，户型方正，山景房，视野开阔,香山壹境 -宝华商圈,3室1厅 | 93.67平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,9人关注 / 一年前发布,95,"10,142元/平"
一梯一户的洋房，户型方正，三开间朝南。,碧桂园中天东方骏庭 -宝华商圈,3室2厅 | 113平米 | 南 | 精装 | 7层  | 板楼,21人关注 / 一年前发布,134,"11,859元/平"
房子格局好，楼层好，采光足，视野好，朝南面多,仙林印象 -宝华商圈,2室2厅 | 73.68平米 | 南 | 毛坯 | 高楼层(共30层)  | 板楼,0人关注 / 一年前发布,79,"10,723元/平"
南京桥头堡 户型方正 中间楼层 随时看房 交通便利完善,招商国际E城 -宝华商圈,2室2厅 | 78平米 | 南 | 毛坯 | 中楼层(共34层)  | 板楼,0人关注 / 8个月以前发布,95,"12,180元/平"
碧桂园翡翠华府 3室2厅 南,碧桂园翡翠华府 -宝华商圈,3室2厅 | 115.27平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,3人关注 / 一年前发布,123,"10,671元/平"
宝华山下 花园洋房 空气清新 采光充足,朗诗万都玲珑樾 -宝华商圈,4室2厅 | 115平米 | 南 | 毛坯 | 低楼层(共8层)  | 板楼,0人关注 / 一年前发布,188,"16,348元/平"
全新电梯洋房，两层有露台。采光充足，配套设施完整！,朗诗万都玲珑樾 -宝华商圈,4室2厅 | 116平米 | 南 | 毛坯 | 高楼层(共8层)  | 板塔结合,3人关注 / 一年前发布,273,"23,535元/平"
招商 央企品质小区 自持物业 户型方正 采光好,招商国际E城 -宝华商圈,3室2厅 | 91平米 | 南 | 毛坯 | 低楼层(共34层)  | 板楼,0人关注 / 4个月以前发布,105,"11,539元/平"
此房楼层好 小区环境好 满二  生活配套齐全.,恒大雅苑 -宝华商圈,3室2厅 | 132平米 | 南 北 | 简装 | 低楼层(共33层)  | 塔楼,1人关注 / 一年前发布,125,"9,470元/平"
户型方正 阳光充足 精装三房 金碧物业,恒大雅苑 -宝华商圈,4室2厅 | 158平米 | 南 北 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 一年前发布,174,"11,013元/平"
彩虹城近地铁，近距离接触南京大学城,彩虹城 -宝华商圈,3室2厅 | 111平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 一年前发布,96,"8,649元/平"
恒大雅苑旁泰达青筑精装四房诚心出售,泰达青筑 -宝华商圈,4室2厅 | 120平米 | 西 | 精装 | 高楼层(共18层)  | 板楼,31人关注 / 一年前发布,141,"11,750元/平"
大品牌，交通方便，生活便利，配套完善，空气好,碧桂园翡翠华府 -宝华商圈,3室2厅 | 115平米 | 南 | 精装 | 高楼层(共33层)  | 板楼,2人关注 / 一年前发布,130,"11,305元/平"
碧桂园翡翠华府  格局好，楼层好，采光足，精装交付,碧桂园翡翠华府 -宝华商圈,3室2厅 | 97平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,1人关注 / 一年前发布,100,"10,310元/平"
精装修带地暖 交通方便 小区环境好,碧桂园翡翠华府 -宝华商圈,3室2厅 | 95平米 | 南 | 精装 | 高楼层(共29层)  | 板楼,9人关注 / 一年前发布,110,"11,579元/平"
房东诚心卖，看中价格可谈，楼层好，采光好！,京东紫晶 -宝华商圈,3室2厅 | 79.96平米 | 南 | 毛坯 | 高楼层(共35层)  | 板楼,0人关注 / 一年前发布,86,"10,756元/平"
远洋心里 近地铁2号4号线 视野开阔  采光无遮挡,远洋心里 -宝华商圈,3室2厅 | 87.4平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,88,"10,069元/平"
九曲花苑 格局好，楼层好，采光足，视野开阔，朝南,九曲花苑 -宝华商圈,4室2厅 | 136平米 | 南 | 毛坯 | 低楼层(共8层)  | 板塔结合,2人关注 / 一年前发布,180,"13,236元/平"
主卧朝南，全天采光无遮挡，小区环境好，人车分流,仙林首望城 -宝华商圈,3室2厅 | 89平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,3人关注 / 一年前发布,115.5,"12,978元/平"
户型方正 阳光充足  交通方便 配套齐全,香山壹境 -宝华商圈,2室2厅 | 79.84平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,0人关注 / 一年前发布,75,"9,394元/平"
仙林东万达茂旁品质电梯好房采光好,香山壹境 -宝华商圈,3室2厅 | 93.78平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,81.5,"8,691元/平"
仙林东万达茂旁品质小区精装公寓拎包入住,京东紫晶 -宝华商圈,2室1厅 | 48.83平米 | 南 | 精装 | 中楼层(共35层)  | 板塔结合,6人关注 / 一年前发布,45,"9,216元/平"
楼层好 户型还 采光好 不沿街 不靠马路 总价低,和昌仙林国际 -宝华商圈,3室2厅 | 89.96平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 一年前发布,100,"11,117元/平"
万达茂旁，京东紫晶精装2房，门口就是菜场，生活方便,京东紫晶 -宝华商圈,2室1厅 | 68平米 | 南 | 简装 | 高楼层(共35层)  | 塔楼,0人关注 / 3个月以前发布,70,"10,295元/平"
楼层好·位置好·采光充足·视野开阔·配套设施齐全,恒大雅苑 -宝华商圈,2室1厅 | 89平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,0人关注 / 2个月以前发布,80,"8,989元/平"
此房满两年，精装全留，户型方正，全天候采光。,恒大雅苑 -宝华商圈,3室2厅 | 130.63平米 | 南 | 精装 | 中楼层(共26层)  | 塔楼,1人关注 / 一年前发布,138,"10,565元/平"
品质小区 品牌物业 户型方正 采光好,恒大雅苑 -宝华商圈,3室2厅 | 146平米 | 南 | 精装 | 中楼层(共31层)  | 塔楼,1人关注 / 一年前发布,150,"10,274元/平"
仙林万达茂东，恒大雅苑，精装出售,恒大雅苑 -宝华商圈,2室2厅 | 88.88平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,0人关注 / 9个月以前发布,86,"9,676元/平"
恒大雅苑 嘎嘎好的户型 楼层采光好,恒大雅苑 -宝华商圈,3室2厅 | 126平米 | 南 | 精装 | 低楼层(共31层)  | 板楼,4人关注 / 一年前发布,116,"9,207元/平"
楼层好，采光充足，精装修两房带地暖，地理位置优,濠锋星钻 -宝华商圈,2室2厅 | 90平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,110,"12,223元/平"
九曲花园电梯花园洋房 南北通风 坐落宝华山环境优美,九曲花苑 -宝华商圈,4室2厅 | 136平米 | 南 | 毛坯 | 中楼层(共8层)  | 板塔结合,1人关注 / 一年前发布,190,"13,971元/平"
仙林东 万达旁 一步仙林  户型好 南北通风,和昌仙林国际 -宝华商圈,3室2厅 | 90.02平米 | 南 | 简装 | 高楼层(共29层)  | 板塔结合,0人关注 / 一年前发布,128,"14,220元/平"
户型方正 视野开阔， 边户采光充足  已满两年,仙林悦城 -宝华商圈,3室2厅 | 83.19平米 | 南 | 简装 | 低楼层(共33层)  | 板楼,0人关注 / 一年前发布,92,"11,060元/平"
房子格局好，楼层好，采光足，视野好,碧桂园翡翠华府 -宝华商圈,3室2厅 | 96.19平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,1人关注 / 一年前发布,102,"10,605元/平"
视野开阔，采光充足，配套齐全.....,京东紫晶 -宝华商圈,2室2厅 | 68平米 | 南 | 毛坯 | 低楼层(共35层)  | 塔楼,0人关注 / 一年前发布,70,"10,295元/平"
全新装修现房，大三房拎包入住。环境好大氧吧。,碧桂园仙林东郡 -宝华商圈,3室2厅 | 111.45平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 一年前发布,105,"9,422元/平"
金樾公馆大三房三开间朝南户型，紧靠吾悦地铁高铁口。,金樾公馆 -句容市区,3室2厅 | 131.26平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 暂无数据,2人关注 / 一年前发布,160,"12,190元/平"
恒大雅苑 精装公寓现房在售 配套齐全,恒大雅苑 -宝华商圈,1室1厅 | 59平米 | 东 | 简装 | 中楼层(共26层)  | 塔楼,1人关注 / 一年前发布,39.9,"6,763元/平"
楼层好，视野宽阔，采光充足，配套设施完整，交通便利,恒大雅苑 -宝华商圈,2室2厅 | 90.88平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,0人关注 / 一年前发布,96,"10,564元/平"
香山壹境小区，3房2厅  看房方便,香山壹境 -宝华商圈,3室2厅 | 106平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,8人关注 / 一年前发布,84,"7,925元/平"
东郊奥莱旁 小区环境好 视野开阔 适合居住,碧桂园世纪城邦 -句容,3室2厅 | 99.37平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,3人关注 / 4个月以前发布,56,"5,636元/平"
仙林东 万达茂 招商国际E城 央企物业 好楼层 诚心卖,招商国际E城 -宝华商圈,3室2厅 | 92平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板楼,0人关注 / 8个月以前发布,109,"11,848元/平"
仙林悦城仙林首站，银城物业，交通便利 大户型宜居,仙林悦城 -宝华商圈,3室2厅 | 120平米 | 南 东 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,136,"11,334元/平"
层好，视野宽阔，采光充足，打开阳台窗舒适的绿化景观,仙林印象 -宝华商圈,2室1厅 | 74平米 | 南 | 毛坯 | 高楼层(共30层)  | 板楼,1人关注 / 一年前发布,59,"7,973元/平"
装修 地暖 空调   业主诚卖 楼层好,青筑伯爵台阅山花园 -宝华商圈,2室2厅 | 80平米 | 南 | 精装 | 中楼层(共24层)  | 板楼,0人关注 / 1个月以前发布,106,"13,250元/平"
大平层顶楼带露台，二次装修，楼栋位置好，视野开阔,碧桂园凤凰城水蓝湾 -碧桂园凤凰城,4室2厅 | 252.21平米 | 南 北 | 精装 | 高楼层(共31层)  | 塔楼,1人关注 / 2个月以前发布,228,"9,041元/平"
仙林东 宝华镇 彩虹城小区 看房方便,彩虹城 -宝华商圈,3室2厅 | 86平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 8个月以前发布,77,"8,954元/平"
仙林东  万达茂东 双地铁口  天正理想城,天正理想城 -宝华商圈,2室2厅 | 76.98平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板楼,0人关注 / 一年前发布,66,"8,574元/平"
层好，视野宽阔，采光充足，打开阳台窗舒适的绿化景观,仙林印象 -宝华商圈,2室1厅 | 74平米 | 南 | 毛坯 | 高楼层(共30层)  | 板楼,1人关注 / 一年前发布,59,"7,973元/平"
房子精装拎包入住 满两年通透户型 ，楼层好，采光足,招商国际E城 -宝华商圈,3室2厅 | 105平米 | 南 | 毛坯 | 高楼层(共34层)  | 板楼,1人关注 / 一年前发布,105,"10,000元/平"
楼层好，采光足，视野好， 户型方正,天正理想城 -宝华商圈,2室2厅 | 74.3平米 | 南 | 精装 | 低楼层(共34层)  | 板塔结合,1人关注 / 3个月以前发布,71.2,"9,583元/平"
万达茂旁宝华山下 品质花园洋房 环境优美 无增值税,朗诗万都玲珑樾 -宝华商圈,3室2厅 | 92平米 | 南 | 毛坯 | 中楼层(共8层)  | 板楼,0人关注 / 一年前发布,110,"11,957元/平"
此房满二，湖景，视野开阔，诚心出售,碧桂园凤凰城水蓝湾 -碧桂园凤凰城,3室1厅 | 130平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,0人关注 / 2个月以前发布,80,"6,154元/平"
泰达青筑 4房户型 房东诚心售房 有钥匙 随时看房,泰达青筑 -宝华商圈,4室2厅 | 117.36平米 | 东南 南 | 精装 | 低楼层(共18层)  | 板楼,10人关注 / 一年前发布,112,"9,544元/平"
楼层好·视野宽阔·采光充足，配套完整，交通便利,招商国际E城 -宝华商圈,3室2厅 | 93平米 | 南 | 毛坯 | 低楼层(共34层)  | 板楼,5人关注 / 一年前发布,97,"10,431元/平"
小区中间位置，视野开阔，楼间距大,碧桂园世纪城邦 -句容,3室2厅 | 118平米 | 南 | 精装 | 低楼层(共27层)  | 板楼,1人关注 / 一年前发布,67,"5,678元/平"
房子格局好，主卧朝南，楼层好，配套设施齐全,朗诗万都玲珑樾 -宝华商圈,3室2厅 | 112平米 | 南 | 毛坯 | 中楼层(共8层)  | 板塔结合,0人关注 / 一年前发布,150,"13,393元/平"
仙林东 恒大雅苑 精装两房 房东诚心急卖  随时看房,恒大雅苑 -宝华商圈,2室2厅 | 99平米 | 南 | 精装 | 低楼层(共31层)  | 塔楼,2人关注 / 一年前发布,88,"8,889元/平"
采光好  绿化好  视野好  湖景房,碧桂园凤凰城临湖苑 -碧桂园凤凰城,3室2厅 | 101平米 | 南 | 简装 | 高楼层(共33层)  | 塔楼,2人关注 / 一年前发布,65,"6,436元/平"
大平层顶楼带露台，二次装修，楼栋位置好，视野开阔,碧桂园凤凰城水蓝湾 -碧桂园凤凰城,4室2厅 | 252.21平米 | 南 北 | 精装 | 高楼层(共31层)  | 塔楼,1人关注 / 2个月以前发布,228,"9,041元/平"
装修 地暖 空调   业主诚卖 楼层好,青筑伯爵台阅山花园 -宝华商圈,2室2厅 | 80平米 | 南 | 精装 | 中楼层(共24层)  | 板楼,0人关注 / 1个月以前发布,106,"13,250元/平"
仙林东 宝华镇 彩虹城小区 看房方便,彩虹城 -宝华商圈,3室2厅 | 86平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 8个月以前发布,77,"8,954元/平"
恒大雅苑 两居室 居家装修 随时看房 业主急售,恒大雅苑 -宝华商圈,2室2厅 | 85.6平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 8个月以前发布,85,"9,930元/平"
新空毛坯 交通好 户型格局好 小区绿化好 银城物业,仙林悦城 -宝华商圈,3室2厅 | 115.45平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板塔结合,6人关注 / 一年前发布,97.5,"8,446元/平"
前方别墅区 采光辣眼睛  刚需小三房,碧桂园凤凰城芷兰湾 -碧桂园凤凰城,3室2厅 | 89.35平米 | 南 | 精装 | 低楼层(共30层)  | 塔楼,1人关注 / 一年前发布,68,"7,611元/平"
大复式 实用面积多 楼上大露台 地段位置繁华,天正理想城 -宝华商圈,3室2厅 | 118平米 | 南 | 简装 | 高楼层(共34层)  | 板楼,17人关注 / 8个月以前发布,99,"8,390元/平"
恒大雅苑 精装四房  户型方正 视野开阔,恒大雅苑 -宝华商圈,4室2厅 | 170.38平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,22人关注 / 一年前发布,141,"8,276元/平"
格局好，楼层好，采光足，视野开阔，朝南,泰达青筑 -宝华商圈,2室2厅 | 81平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,69,"8,519元/平"
仙林东 花山人家 高入住率 交通配套全,花山人家 -宝华商圈,2室2厅 | 60平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,18人关注 / 一年前发布,32,"5,334元/平"
精装 地暖  新风系统 拎包入住 外加车位,远洋心里 -宝华商圈,3室2厅 | 97.5平米 | 东南 | 精装 | 低楼层(共34层)  | 板塔结合,3人关注 / 一年前发布,133,"13,642元/平"
碧桂园翡翠华府 3室2厅 南,碧桂园翡翠华府 -宝华商圈,3室2厅 | 95.97平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,1人关注 / 一年前发布,120,"12,504元/平"
南北格局好，采光好，视野开阔，朝南，户型方正,京东紫晶 -宝华商圈,2室2厅 | 67.96平米 | 南 | 精装 | 中楼层(共35层)  | 塔楼,0人关注 / 一年前发布,75,"11,036元/平"
房子格局好，楼层好，采光足，视野好,碧桂园翡翠华府二期 -宝华商圈,3室2厅 | 115平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,16人关注 / 一年前发布,116,"10,087元/平"
同城世家 品质小区 素质住户 诚心出售,同城世家 -宝华商圈,2室2厅 | 92平米 | 南 | 毛坯 | 10层  | 板楼,3人关注 / 一年前发布,119,"12,935元/平"
仙林东 万达茂 花山人家两房 采光通透,花山人家 -宝华商圈,2室2厅 | 65平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,89人关注 / 10个月以前发布,29,"4,462元/平"
