标题,开发商,房子信息,发布信息,售价/万,单价
翠竹新村 未占用 随时看房 价格好谈,翠竹新村 -红梅,2室1厅 | 67.21平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,7人关注 / 3个月以前发布,76.8,"11,427元/平"
楼栋位置佳视野好，视野宽阔，通透格局,怀德苑 -南大街,7室3厅 | 168.78平米 | 南 | 精装 | 高楼层(共8层)  | 板塔结合,0人关注 / 2个月以前发布,288,"17,064元/平"
朝阳桥月馨苑旁兆丰花花苑小高层出售看房方便,兆丰花苑 -青龙,3室2厅 | 138.3平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,240,"17,354元/平"
龙湖天街旁精装三房，户型采光好，诚意出售,城置御水华庭 -五星,3室1厅 | 87.99平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,2人关注 / 一年前发布,160,"18,184元/平"
新桥 清水湾三期 大三房 房东 诚售,清水湾花园三期 -新桥,3室1厅 | 126.84平米 | 南 | 简装 | 中楼层(共34层)  | 板塔结合,0人关注 / 6个月以前发布,195,"15,374元/平"
急售！急售！小清新风格，楼层好，诚心出售,银河湾第一城一期 -三井,3室2厅 | 96.94平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,2人关注 / 4个月以前发布,159,"16,402元/平"
迎宾秀园三室 装修好 楼层好  拎包住,迎宾秀园 -兰陵街道,3室2厅 | 105.08平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 6个月以前发布,170,"16,179元/平"
泰盈八千里，精装修，房东诚意出售，看房方便！,泰盈八千里 -西林,2室2厅 | 90.22平米 | 南 | 精装 | 低楼层(共21层)  | 板塔结合,0人关注 / 4个月以前发布,140,"15,518元/平"
户型方正，楼层好，采光充足，宽敞舒适,迎宾秀园 -兰陵街道,3室2厅 | 101.92平米 | 南 | 精装 | 中楼层(共27层)  | 板塔结合,0人关注 / 7个月以前发布,160,"15,699元/平"
诚心出售！只要您们看中，别的都不是问题，小孩可使用,府西花园 -三井,2室2厅 | 83.31平米 | 南 | 精装 | 高楼层(共22层)  | 板塔结合,0人关注 / 3个月以前发布,218,"26,168元/平"
绿都万和城五区 3室2厅 南,绿都万和城五区 -三井,3室2厅 | 93平米 | 南 | 精装 | 高楼层(共25层)  | 板塔结合,0人关注 / 3个月以前发布,172,"18,495元/平"
绿都万和城，房东诚心出售，价格可谈,绿都万和城七区 -三井,3室2厅 | 110平米 | 南 | 简装 | 中楼层(共33层)  | 板塔结合,6人关注 / 4个月以前发布,178,"16,182元/平"
飞龙吾悦广场旁 绿都二区   房东诚心出售,绿都万和城2区 -三井,2室2厅 | 88平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 7个月以前发布,164.5,"18,694元/平"
经典两房 精装修 带一个阁楼 诚心卖！,泰山三村 -三井,2室2厅 | 81.22平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,4人关注 / 6个月以前发布,91,"11,205元/平"
青枫公园旁泰盈八千里，精装大三房，楼层好,泰盈八千里 -西林,3室2厅 | 139.06平米 | 南 | 精装 | 中楼层(共27层)  | 板塔结合,1人关注 / 3个月以前发布,220,"15,821元/平"
"新城都荟房型好,格局好,采光充足，交通便利",新城都荟 -南夏墅街道,4室2厅 | 129.37平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 4个月以前发布,177,"13,682元/平"
小区里好位置，采光通透好，业主诚心好看,泰盈八千里 -西林,3室2厅 | 111.31平米 | 南 | 精装 | 中楼层(共27层)  | 板塔结合,0人关注 / 3个月以前发布,165,"14,824元/平"
急售！急售！飞龙吾悦旁 精装两房 采光好,绿都万和城2区 -三井,2室2厅 | 87.71平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,13人关注 / 7个月以前发布,145,"16,532元/平"
金地集团大品牌。人车分流。环境好。配套齐全。物业好,金地格林郡 -三井,4室2厅 | 156.56平米 | 南 | 精装 | 低楼层(共26层)  | 板塔结合,4人关注 / 一年前发布,258,"16,480元/平"
康桥水郡，3室，看房方便，精装修,康桥水郡 -三井,3室1厅 | 127.63平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,1人关注 / 9个月以前发布,229.8,"18,006元/平"
银河湾第一城二期 3室2厅 南,银河湾第一城二期 -三井,3室2厅 | 123.24平米 | 南 | 精装 | 中楼层(共27层)  | 板塔结合,0人关注 / 2个月以前发布,209,"16,959元/平"
腾龙苑东区3-2-1-2 128.90m²,腾龙苑东区 -新桥,3室2厅 | 128.9平米 | 南 北 | 精装 | 中楼层(共5层)  | 板塔结合,9人关注 / 一年前发布,141,"10,939元/平"
户型周正，格局分布合理，空间感好，通透性强,府西花园 -三井,2室1厅 | 97.21平米 | 东南 | 精装 | 中楼层(共28层)  | 板塔结合,0人关注 / 6个月以前发布,225,"23,146元/平"
户型好，二房朝南，采光好，房东诚心出售,凯旋城 -红梅,3室2厅 | 113.79平米 | 南 北 | 精装 | 低楼层(共23层)  | 板塔结合,1人关注 / 5个月以前发布,198,"17,401元/平"
飞龙吾悦旁 满五唯一  精装 诚心出售,绿都万和城2区 -三井,2室2厅 | 92.04平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 6个月以前发布,158,"17,167元/平"
怀德苑  房东诚意出售  看房方便,怀德苑 -南大街,4室2厅 | 144.21平米 | 南 | 精装 | 低楼层(共8层)  | 板塔结合,0人关注 / 1个月以前发布,237.6,"16,476元/平"
白马公馆 三朝南 满5省税 随时看房,白马公馆 -薛家,3室2厅 | 88.28平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,1人关注 / 5个月以前发布,150,"16,992元/平"
急售！急售！小清新风格，楼层好，诚心出售,银河湾第一城一期 -三井,3室2厅 | 96.94平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,2人关注 / 4个月以前发布,159,"16,402元/平"
满五，户型方正，小区环境优美，全天采光,保利公园九里 -北港,3室2厅 | 104.27平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,215,"20,620元/平"
锦绣天地 3室2厅 南,锦绣天地 -河海,3室2厅 | 98平米 | 南 | 精装 | 低楼层(共34层)  | 板塔结合,0人关注 / 2个月以前发布,210,"21,429元/平"
店长推荐。价格美丽。楼层楼栋佳。交通便利。配套齐全,绿地世纪城A区 -新闸,3室2厅 | 123.62平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,168,"13,591元/平"
香溢紫郡 精装三房 中间楼层 采光没影响 随时看房,香溢紫郡 -青龙,3室2厅 | 95.76平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,0人关注 / 2个月以前发布,158,"16,500元/平"
九洲花园三期 3室2厅 南,九洲花园三期 -龙虎塘,3室2厅 | 105.82平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,3人关注 / 9个月以前发布,160,"15,121元/平"
小区环境好，楼层好，全天采光，居住舒适,河海二村 -河海,3室2厅 | 116.09平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,8人关注 / 一年前发布,148,"12,749元/平"
生活配套好 出行方便，价格实惠，装修清爽小三房,金地格林郡 -三井,3室1厅 | 95.77平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,2人关注 / 6个月以前发布,180,"18,796元/平"
天宁吾悦旁，香溢紫郡大3房，双阳台，看房方便,香溢紫郡 -青龙,3室1厅 | 133.56平米 | 南 | 精装 | 低楼层(共30层)  | 板塔结合,9人关注 / 6个月以前发布,231,"17,296元/平"
满五唯一 带两个车位 房东诚心出售,都市雅居 -河海,3室2厅 | 126.11平米 | 南 北 | 精装 | 高楼层(共11层)  | 板塔结合,6人关注 / 11个月以前发布,233,"18,476元/平"
高层采光好，楼下大润发，视野开阔，随时看房。,天隽峰 -湖塘镇,4室1厅 | 165平米 | 南 北 | 精装 | 高楼层(共34层)  | 板塔结合,5人关注 / 一年前发布,305,"18,485元/平"
高铁新城 水韵江南 别墅 毛坯 大花园 房东 急售,水韵江南 -新桥,6室3厅 | 296.39平米 | 南 北 | 毛坯 | 3层  | 暂无数据 | 联排别墅 ,0人关注 / 7个月以前发布,580,"19,569元/平"
精装保养好，三开间朝南，视野开阔，拎包住,西城格兰艺堡 -永红,3室2厅 | 136.7平米 | 南 | 精装 | 低楼层(共28层)  | 板塔结合,0人关注 / 2个月以前发布,225,"16,460元/平"
花园街大开间朝南，双阳台，地鉄房，采光好无遮挡。,莱蒙城睿景公寓 -湖塘镇,3室2厅 | 129.7平米 | 南 | 精装 | 高楼层(共28层)  | 板塔结合,1人关注 / 3个月以前发布,218,"16,809元/平"
绿地峰云汇西区4-2-1-2 144.00m² 270 万,绿地峰云汇西区 -湖塘镇,4室2厅 | 144平米 | 南 | 精装 | 低楼层(共31层)  | 板楼,1人关注 / 一年前发布,255,"17,709元/平"
铂郡美居，诚心卖，改善户型方便看房,城市中央美居 -永红,4室2厅 | 132.68平米 | 南 北 | 精装 | 低楼层(共25层)  | 板楼,0人关注 / 3个月以前发布,280,"21,104元/平"
花园街旁 地铁口 新城公馆 3房朝南 采光无忧,新城公馆尊域 -湖塘镇,3室2厅 | 150.18平米 | 南 | 精装 | 中楼层(共21层)  | 板塔结合,2人关注 / 8个月以前发布,320,"21,308元/平"
港龙新港城 精装 中高楼层 楼层好采光好房东诚心出售,港龙.新港城 -潞城,3室2厅 | 121平米 | 南 | 精装 | 高楼层(共34层)  | 板塔结合,1人关注 / 8个月以前发布,180,"14,877元/平"
新上香树湾福园小高层 中低楼层三房,香树湾福园 -三井,3室2厅 | 131.42平米 | 东南 南 | 精装 | 中楼层(共11层)  | 板塔结合,3人关注 / 10个月以前发布,238,"18,110元/平"
融创次新房 中间楼层采光佳 三开间朝南 满2采光足,融创常州御园三期 -湖塘镇,3室2厅 | 108.72平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,310,"28,514元/平"
南甸苑高层，边户，精装修三室，满5年，业主诚售,南甸苑 -湖塘镇,3室2厅 | 140.63平米 | 北 南 | 精装 | 高楼层(共26层)  | 板塔结合,0人关注 / 3个月以前发布,230,"16,355元/平"
绿地峰云汇四开间朝南户型采光好,绿地峰云汇西区 -湖塘镇,4室2厅 | 183.5平米 | 东南 南 | 精装 | 高楼层(共33层)  | 板楼,3人关注 / 11个月以前发布,370,"20,164元/平"
地铁口、满五唯一、精装修采光好，大润发旁。,莱蒙城美景公寓 -湖塘镇,4室2厅 | 141.05平米 | 北 南 | 精装 | 低楼层(共30层)  | 板楼,0人关注 / 3个月以前发布,230,"16,307元/平"
新城公馆荣域 配套成熟 装修好 品质高 业主诚心出售,新城公馆荣域 -湖塘镇,3室2厅 | 127平米 | 南 | 精装 | 低楼层(共32层)  | 暂无数据,0人关注 / 3个月以前发布,298,"23,465元/平"
交通便利 配套完善 满两年 吾悦万达商场 武宜路,建安家园 -湖塘镇,3室2厅 | 139.78平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,2人关注 / 9个月以前发布,165,"11,805元/平"
步步高广场小区 50万标准装修 很敞亮 户型好 诚心出售,步步高广场 -湖塘镇,3室2厅 | 123.65平米 | 南 北 | 精装 | 高楼层(共30层)  | 板塔结合,1人关注 / 7个月以前发布,212,"17,146元/平"
户型方正，通透性好，采光无遮挡。,融创常州御园三期 -湖塘镇,4室2厅 | 147平米 | 南 北 | 毛坯 | 低楼层(共28层)  | 暂无数据,0人关注 / 5个月以前发布,390,"26,531元/平"
此房满五唯一，格局好，采光好，户型方正,公路处宿舍一号楼 -兰陵街道,2室2厅 | 88.7平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,1人关注 / 7个月以前发布,108,"12,176元/平"
精装大三房 户型方正 采光好 业主诚售,莱蒙城美景公寓 -湖塘镇,3室2厅 | 149.22平米 | 南 西 北 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,249,"16,687元/平"
新上）婚装 远离高架 三朝南 品牌家具家电 看房方便,白马公馆 -薛家,2室2厅 | 94平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 1个月以前发布,140,"14,894元/平"
淹城旁丰乐公寓高档装修房东急卖,丰乐公寓北区 -湖塘镇,3室2厅 | 138.82平米 | 南 | 精装 | 高楼层(共9层)  | 板塔结合,2人关注 / 一年前发布,175,"12,607元/平"
弘建一品 低密度小区 小区绿化高 地铁近,弘建一品 -湖塘镇,2室2厅 | 89.88平米 | 南 北 | 精装 | 高楼层(共30层)  | 板塔结合,1人关注 / 8个月以前发布,178,"19,805元/平"
户型方正，阳光充足，房东诚心出售，产权清晰,港龙紫荆城 -潞城,3室2厅 | 103.83平米 | 南 | 精装 | 低楼层(共17层)  | 板塔结合,3人关注 / 8个月以前发布,155,"14,929元/平"
御园洋房3朝南户型边户精装修60万南面无遮挡全天采光,融创常州御园 -湖塘镇,3室2厅 | 114.49平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,1人关注 / 7个月以前发布,395,"34,501元/平"
四季新城旁上下两层复式，看房方便，诚意出售,江苏益联集团公寓 -湖塘镇,4室3厅 | 200平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,198,"9,900元/平"
天宁吾悦旁，毛坯3房，看房方便，诚心出售,金新御园 -青龙,3室2厅 | 118.07平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 板塔结合,0人关注 / 8个月以前发布,220,"18,634元/平"
此房户型周正，楼层好，采光充足,中天名园 -湖塘镇,3室2厅 | 118.78平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,3人关注 / 一年前发布,180,"15,155元/平"
户型好 采光好 品质高 精装修 诚心出售,新城公馆荣域 -湖塘镇,3室2厅 | 132.89平米 | 南 | 精装 | 低楼层(共34层)  | 板塔结合,0人关注 / 3个月以前发布,298,"22,425元/平"
楼层佳 采光无遮挡 房东诚售 装修保养好,翡翠锦园 -三井,4室2厅 | 124.81平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,0人关注 / 7个月以前发布,298,"23,877元/平"
新城公馆荣域 配套成熟 装修好 品质高 业主诚心出售,新城公馆荣域 -湖塘镇,3室2厅 | 127平米 | 南 | 精装 | 低楼层(共32层)  | 暂无数据,0人关注 / 3个月以前发布,298,"23,465元/平"
花园街大开间朝南，双阳台，地鉄房，采光好无遮挡。,莱蒙城睿景公寓 -湖塘镇,3室2厅 | 129.7平米 | 南 | 精装 | 高楼层(共28层)  | 板塔结合,1人关注 / 3个月以前发布,218,"16,809元/平"
精装保养好，三开间朝南，视野开阔，拎包住,西城格兰艺堡 -永红,3室2厅 | 136.7平米 | 南 | 精装 | 低楼层(共28层)  | 板塔结合,0人关注 / 2个月以前发布,225,"16,460元/平"
户型方正，阳光充足，房东诚心出售，产权清晰,港龙紫荆城 -潞城,3室2厅 | 103.83平米 | 南 | 精装 | 低楼层(共17层)  | 板塔结合,3人关注 / 8个月以前发布,155,"14,929元/平"
荷花池公寓电梯直达采光好东边户实用面积大有阁楼,荷花池公寓 -南大街,4室2厅 | 128.9平米 | 南 | 精装 | 高楼层(共8层)  | 板塔结合,0人关注 / 18天以前发布,398,"30,877元/平"
春天里洋房 满五唯一 精装修 中间楼层 价格可谈,新城春天里 -湖塘镇,3室2厅 | 85.4平米 | 南 | 精装 | 中楼层(共9层)  | 板塔结合,0人关注 / 1个月以前发布,167,"19,556元/平"
世佳紫缘公寓 3室1厅 南 北,世佳紫缘公寓 -湖塘镇,3室1厅 | 89.52平米 | 南 北 | 精装 | 低楼层(共15层)  | 板楼,0人关注 / 9个月以前发布,166,"18,544元/平"
精装修 户型通透 改善户型 商圈配套齐全,紫金城南区 -湖塘镇,3室2厅 | 182平米 | 南 北 | 精装 | 中楼层(共16层)  | 板楼,2人关注 / 8个月以前发布,358,"19,671元/平"
户型方正，格局好，采光好，业主诚心,路劲城三期 -湖塘镇,4室2厅 | 125.56平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,263,"20,947元/平"
万俊金域丹堤3-2-1-1 100.48m² 190 万,万俊金域丹堤 -湖塘镇,3室2厅 | 100.48平米 | 南 | 精装 | 中楼层(共25层)  | 板楼,1人关注 / 7个月以前发布,190,"18,910元/平"
金梅花园 精装修大三房 户型方正 诚心出售,金梅花园北区 -三井,3室2厅 | 144.73平米 | 南 | 精装 | 低楼层(共15层)  | 板塔结合,0人关注 / 7个月以前发布,192,"13,267元/平"
此房满二，精装修，房东很诚意出售,招商花园城 -湖塘镇,4室2厅 | 137.54平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,0人关注 / 8个月以前发布,206,"14,978元/平"
地铁口，大润发旁，精装三房，三开间朝南。,新城公馆-天域 -湖塘镇,3室2厅 | 131.73平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 6个月以前发布,270,"20,497元/平"
铂郡美居，诚心卖，改善户型方便看房,城市中央美居 -永红,4室2厅 | 132.68平米 | 南 北 | 精装 | 低楼层(共25层)  | 板楼,0人关注 / 3个月以前发布,280,"21,104元/平"
3室2厅  户型方正  位置好 视野好,翠园新村南区 -东城街道,3室2厅 | 111.95平米 | 南 | 精装 | 高楼层(共11层)  | 暂无数据,0人关注 / 3个月以前发布,116,"10,362元/平"
北边网红街，地铁口，纯毛坯原始户型。,新名园 -河海,3室2厅 | 103.3平米 | 南 北 | 毛坯 | 低楼层(共27层)  | 板塔结合,0人关注 / 5个月以前发布,231,"22,363元/平"
恐龙园旁，精装修，，业主诚心出售。,繁華里 -河海,3室2厅 | 136平米 | 南 | 精装 | 中楼层(共40层)  | 板楼,1人关注 / 6个月以前发布,310,"22,795元/平"
天润园三房两卫大平层中楼层诚心出售,天润园 -河海,3室2厅 | 117.45平米 | 南 | 精装 | 中楼层(共29层)  | 板塔结合,7人关注 / 6个月以前发布,205,"17,455元/平"
楼层好 出行方便 业主诚心出售 小区环境好,绿都万和城阳湖郡 -三井,3室2厅 | 124.54平米 | 南 | 精装 | 高楼层(共20层)  | 板塔结合,0人关注 / 7个月以前发布,295,"23,688元/平"
世茂香槟湖一期 3室1厅 南 北,世茂香槟湖一期 -三井,3室1厅 | 126平米 | 南 北 | 精装 | 高楼层(共31层)  | 板塔结合,0人关注 / 16天以前发布,235,"18,651元/平"
恐龙园旁 世茂香槟湖 户型方正 采光好,世茂香槟湖二期 -三井,3室2厅 | 139平米 | 南 北 | 精装 | 低楼层(共22层)  | 板楼,1人关注 / 4个月以前发布,240,"17,267元/平"
绿地香颂 欧式装修 保养新 无遮挡 采光好 大落地窗,绿地香颂花园 -湖塘镇,3室2厅 | 137.58平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,3人关注 / 5个月以前发布,235,"17,081元/平"
万骏金域丹迪 近万达吾悦 学堂旁 楼间距大 好楼层,万俊金域丹堤 -湖塘镇,3室2厅 | 125.43平米 | 南 北 | 精装 | 低楼层(共25层)  | 板楼,0人关注 / 4个月以前发布,214.3,"17,086元/平"
阳光龙庭精装二房，中上楼层，视野好，拎包即住。,阳光龙庭 -青龙,3室1厅 | 87.26平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,1人关注 / 6个月以前发布,160,"18,337元/平"
青龙板块。地理位置佳。教育成熟。户型好。诚心出售。,阳光龙庭 -青龙,5室2厅 | 162平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,359,"22,161元/平"
香溢紫郡 精装 大两房  拎包即住 随时看,香溢紫郡 -青龙,2室1厅 | 84.5平米 | 南 | 简装 | 低楼层(共34层)  | 板塔结合,1人关注 / 6个月以前发布,150,"17,752元/平"
飞龙公园在小区，公园里有水系、篮球场，足球场,银河湾第一城一期 -三井,2室2厅 | 88.04平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,5人关注 / 一年前发布,119.8,"13,608元/平"
恐龙园旁 九龙仓时代上院 114平 精装修 3房2卫,九龙仓时代上院 -三井,3室2厅 | 114.82平米 | 南 | 精装 | 低楼层(共26层)  | 板塔结合,1人关注 / 8个月以前发布,240,"20,903元/平"
大学城低密度洋房，楼层好，房东诚心出售,聚盛花园明日之星 -湖塘镇,3室2厅 | 101平米 | 南 | 简装 | 高楼层(共11层)  | 塔楼,7人关注 / 一年前发布,160,"15,842元/平"
飞龙吾悦广场旁大名城西区远离高架 纯毛坯 户型方正,大名城西区 -三井,3室2厅 | 143.28平米 | 东南 | 毛坯 | 高楼层(共30层)  | 板塔结合,4人关注 / 3个月以前发布,228,"15,913元/平"
房子通透全明 视野开阔 景观一览无遗 阳光充足,御翠园 -茶山,3室2厅 | 147.67平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,2人关注 / 11个月以前发布,456,"30,880元/平"
九洲花园 精装三朝南 不靠高铁 楼层好采光充足,九洲花园南区 -龙虎塘,3室2厅 | 100.36平米 | 南 | 精装 | 中楼层(共25层)  | 板塔结合,2人关注 / 9个月以前发布,155,"15,445元/平"
高铁新城  金科保利   楼层好  交通便利,金科·保利北郡花园 -新桥,4室2厅 | 141.2平米 | 南 | 简装 | 低楼层(共18层)  | 板楼,0人关注 / 一年前发布,318,"22,522元/平"
江阴产权，享受常州的配套，精装自己住三房，诚意出售,金美林花园 -璜土,3室2厅 | 115.2平米 | 南 | 精装 | 低楼层(共11层)  | 暂无数据,0人关注 / 5个月以前发布,109.5,"9,506元/平"
香缇湾花园，精装修2房 楼层佳 采光充足，拎包入住,香缇湾花园 -红梅,2室2厅 | 96平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,0人关注 / 7个月以前发布,158,"16,459元/平"
天润园 3室2厅 南,天润园 -河海,3室2厅 | 94.61平米 | 南 | 简装 | 低楼层(共30层)  | 板塔结合,19人关注 / 8个月以前发布,168,"17,758元/平"
优质楼好户型，单价低，通透格局，楼层好，视野宽..,陈渡新苑 -永红,3室2厅 | 139.63平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 10个月以前发布,210,"15,040元/平"
地铁口，精装保养好，采光充足，拎包入住,兰翔新村 -河海,2室1厅 | 62.64平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,89,"14,209元/平"
地铁口 凤凰名城 精装修 三房 房东 诚售,凤凰名城 -新桥,3室2厅 | 127.5平米 | 南 | 精装 | 低楼层(共22层)  | 塔楼,0人关注 / 1个月以前发布,185,"14,510元/平"
天禧星园 楼层好采光佳 交通便利,天禧星园 -南大街,3室1厅 | 130.24平米 | 南 | 简装 | 低楼层(共30层)  | 板塔结合,11人关注 / 11个月以前发布,360,"27,642元/平"
精装2房，拎包入住 ，采光佳，交通便利，价格美丽,香缇湾花园 -红梅,2室2厅 | 94.14平米 | 南 | 精装 | 高楼层(共29层)  | 板塔结合,0人关注 / 2个月以前发布,142,"15,084元/平"
中 央 花 园，位置好，楼层好，精装修随时看房,中央花园(天宁区) -红梅,3室2厅 | 136.75平米 | 南 | 精装 | 高楼层(共22层)  | 板塔结合,0人关注 / 2个月以前发布,395,"28,885元/平"
地铁口 凤凰名城 精装修 两房 满五唯一 房东 急售,凤凰名城 -新桥,2室2厅 | 87.37平米 | 南 | 精装 | 高楼层(共30层)  | 塔楼,1人关注 / 10个月以前发布,138,"15,795元/平"
飞龙吾悦旁绿都万和城毛坯三房  房东诚心出售,绿都万和城七区 -三井,3室2厅 | 115.25平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,3人关注 / 7个月以前发布,185,"16,053元/平"
金百花园 交通便利 龙城大道 视野开阔 采光充足,金百花园 -三井,2室2厅 | 97.06平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,4人关注 / 一年前发布,135,"13,909元/平"
户型方正，视野宽阔，采光充足，交通便利,江南春晓花园 -三井,4室1厅 | 164.28平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,4人关注 / 9个月以前发布,175,"10,653元/平"
弘阳上城前排无遮挡，视野采光好，房东诚心出售,弘阳上城二期 -兰陵街道,2室1厅 | 85.12平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,2人关注 / 3个月以前发布,159,"18,680元/平"
雅居乐星河湾 3室2厅 南,雅居乐星河湾 -三井,3室2厅 | 97.6平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,1人关注 / 14天以前发布,189,"19,365元/平"
青枫公园 宝龙广场旁 精装修 户型方正 业主诚心出售,宝龙国际花园 -北港,3室2厅 | 129.87平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 6个月以前发布,220,"16,941元/平"
典雅花园 3室2厅 南,典雅花园 -三井,3室2厅 | 115.39平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,2人关注 / 5个月以前发布,287,"24,873元/平"
绿地香颂花园 4室2厅 南 北,绿地香颂花园 -湖塘镇,4室2厅 | 138.44平米 | 南 北 | 精装 | 高楼层(共20层)  | 板塔结合,0人关注 / 16天以前发布,245,"17,698元/平"
通济新村一楼采光全天，院子建成大房间，开门，精装！,通济新村 -红梅,2室1厅 | 48.22平米 | 南 | 精装 | 低楼层(共4层)  | 板楼,3人关注 / 9个月以前发布,175,"36,292元/平"
新城府翰苑好房出售位置好采光好看房方便,新城府翰苑西区 -三井,3室2厅 | 125.66平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,1人关注 / 一年前发布,280,"22,283元/平"
聚湖雅苑 精装自住保养好 全天采光 随时看房,聚湖雅苑 -湖塘镇,3室2厅 | 128平米 | 南 北 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,185,"14,454元/平"
阳湖名城，楼层佳，采光好，大露台，配套好,阳湖名城 -湖塘镇,5室2厅 | 171平米 | 南 | 简装 | 高楼层(共6层)  | 塔楼,4人关注 / 8个月以前发布,180,"10,527元/平"
名仕佳园 武进大学城 精装修 楼层好,名仕佳园 -湖塘镇,4室2厅 | 140.37平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 8个月以前发布,193,"13,750元/平"
市府板块。中海龙城花园。满5唯一省税。价格可谈。,中海龙城花园南区 -三井,3室2厅 | 88平米 | 南 | 精装 | 高楼层(共28层)  | 板塔结合,1人关注 / 5个月以前发布,235,"26,705元/平"
好楼层！临靠校园！价格灰常给力！,四中教师楼 -西城街道,3室2厅 | 93.97平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 6个月以前发布,61,"6,492元/平"
大学城摩尔上品毛坯三房两卫装修有发展空间使用面积大,摩尔上品 -湖塘镇,3室1厅 | 120平米 | 南 北 | 简装 | 中楼层(共26层)  | 板楼,0人关注 / 14天以前发布,148,"12,334元/平"
装修精美花园公寓3室2厅武进购物广场,花园公寓 -湖塘镇,3室2厅 | 104.22平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 8个月以前发布,130,"12,474元/平"
金百花园 交通便利 龙城大道 视野开阔 采光充足,金百花园 -三井,2室2厅 | 97.06平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,4人关注 / 一年前发布,135,"13,909元/平"
户型方正，视野宽阔，采光充足，交通便利,江南春晓花园 -三井,4室1厅 | 164.28平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,4人关注 / 9个月以前发布,175,"10,653元/平"
世茂香槟湖一期 好楼层 采光无遮挡 视野通透,世茂香槟湖一期 -三井,2室1厅 | 85.55平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,2人关注 / 3个月以前发布,162,"18,937元/平"
满五唯一，好楼层，精装婚房，诚心出售,嘉禾尚郡花园 -三井,3室1厅 | 126.74平米 | 南 | 精装 | 中楼层(共27层)  | 板塔结合,1人关注 / 2个月以前发布,195,"15,386元/平"
