标题,开发商,房子信息,发布信息,售价/万,单价
户型方正   采光靓 此房满五唯一,保利·领秀前城青秀郡 -凤岭南,4室2厅 | 109.49平米 | 北 | 精装 | 高楼层(共32层)  | 板楼,2人关注 / 14天以前发布,139,"12,696元/平"
万科公园里 4室2厅 南,万科公园里 -五象文旅,4室2厅 | 146平米 | 南 | 其他 | 高楼层(共11层)  | 板塔结合,0人关注 / 23天以前发布,238,"16,302元/平"
凤岭南常青藤 3房中装修116平方卖105万,常青藤 -仙葫,3室2厅 | 116.31平米 | 南 | 其他 | 高楼层(共30层)  | 板塔结合,0人关注 / 25天以前发布,105,"9,028元/平"
仙葫大道阳光城半山5房精装去邕江边100百米,阳光城半山湾 -仙葫,5室2厅 | 125平米 | 南 北 | 其他 | 高楼层(共32层)  | 暂无数据,0人关注 / 21天以前发布,105,"8,400元/平"
嘉和城温莎北郡 5室2厅 南,嘉和城温莎北郡 -兴宁东,5室2厅 | 136平米 | 南 | 其他 | 低楼层(共32层)  | 板塔结合,0人关注 / 29天以前发布,160,"11,765元/平"
中空楼中楼视野好 无欠款 满五红本在手  业主急卖,阳光新城碧涛苑 -大沙田,5室2厅 | 188平米 | 南 北 | 其他 | 高楼层(共7层)  | 平房,0人关注 / 20天以前发布,108,"5,745元/平"
国宾4期一线江景，房子满二，业主重新装修保养好,华发国宾壹号 -柳沙,4室2厅 | 143平米 | 南 北 | 其他 | 中楼层(共26层)  | 暂无数据,0人关注 / 19天以前发布,329,"23,007元/平"
天池山  楼中楼 227平带2个产权车位卖268万 有个凉亭,天池山小区 -仙葫,6室2厅 | 227平米 | 南 | 精装 | 高楼层(共11层)  | 板塔结合,0人关注 / 17天以前发布,268,"11,807元/平"
青秀柳沙片区联排别墅 边套加大后花园,一品尊府 -柳沙,5室3厅 | 252平米 | 东北 | 毛坯 | 低楼层(共3层)  | 暂无数据,0人关注 / 22天以前发布,645,"25,596元/平"
小区中间位置，看青秀山和游泳池，诚心出售,保利21世家 -东盟商务区,5室2厅 | 165.68平米 | 南 | 其他 | 中楼层(共23层)  | 塔楼,1人关注 / 19天以前发布,385,"23,238元/平"
天池山  楼中楼 227平带2个产权车位卖268万 有个凉亭,天池山小区 -仙葫,6室2厅 | 227平米 | 南 | 精装 | 高楼层(共11层)  | 板塔结合,0人关注 / 17天以前发布,268,"11,807元/平"
融创九棠府 5室1厅 南 北,融创九棠府 -五象湖,5室1厅 | 143平米 | 南 北 | 其他 | 高楼层(共19层)  | 板塔结合,0人关注 / 22天以前发布,180,"12,588元/平"
滨江边套联排别墅 带前后花园 冰点价出,合景天峻广场别墅区 -龙岗,4室2厅 | 174平米 | 南 | 其他 | 低楼层(共3层)  | 暂无数据,0人关注 / 18天以前发布,320,"18,391元/平"
采光好，户型好，购物方便，，，,万达茂·江山云邸 -五象文旅,4室2厅 | 144平米 | 南 | 其他 | 中楼层(共54层)  | 板塔结合,0人关注 / 20天以前发布,172,"11,945元/平"
品牌华润开发，中间楼栋中层，业主诚心出售，看房联系,华润二十四城 -五象湖,5室2厅 | 166平米 | 南 北 | 其他 | 低楼层(共46层)  | 塔楼,0人关注 / 21天以前发布,300,"18,073元/平"
双地铁口 楼中楼180平 拥有两个大露台,南宁奥园洛杉矶组团 -经开区,4室3厅 | 180平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 28天以前发布,115,"6,389元/平"
全新交付 南北通透 中楼层采光视野好 环境优美大四房,檀府印象（檀玥） -五象文旅,4室2厅 | 131.61平米 | 南 北 | 其他 | 中楼层(共30层)  | 暂无数据,0人关注 / 22天以前发布,130,"9,878元/平"
融创大四房  南北通透 这个价格带车位 合适可谈,融创九棠府 -五象湖,4室2厅 | 142平米 | 南 北 | 其他 | 高楼层(共25层)  | 塔楼,0人关注 / 18天以前发布,180,"12,677元/平"
地铁2号线电梯三房出售 好楼层 生活配套齐全 交通便利,玫瑰园007号 -经开区,3室2厅 | 87平米 | 西南 | 其他 | 低楼层(共28层)  | 板塔结合,0人关注 / 18天以前发布,75,"8,621元/平"
那考河湿地公园，吾悦广场旁恒大华府，通透大社区,南宁恒大华府 -东沟岭,5室2厅 | 217平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 17天以前发布,440,"20,277元/平"
瀚林新城 3室1厅 东南,瀚林新城 -朝阳,3室1厅 | 94平米 | 东南 | 精装 | 中楼层(共31层)  | 板塔结合,0人关注 / 16天以前发布,105,"11,171元/平"
鑫金绿洲三错层 楼中楼 动静分离 4房 前后阳台,昌泰鑫金绿洲 -经开区,4室2厅 | 117.4平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 17天以前发布,130,"11,074元/平"
世茂茂御府 毛坯两房 看房方便,世茂茂御府 -龙岗,2室2厅 | 70平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,0人关注 / 16天以前发布,85,"12,143元/平"
龙域香醍半岛 3室2厅 东 南 北,龙域香醍半岛 -龙岗,3室2厅 | 88.6平米 | 东 南 北 | 毛坯 | 高楼层(共18层)  | 板塔结合,0人关注 / 7天以前发布,60,"6,773元/平"
总部基地旁 天誉花园精装3房  高楼层  交通便利  有证,天誉花园3组团 -五象文旅,3室2厅 | 89.93平米 | 南 | 简装 | 高楼层(共32层)  | 板塔结合,0人关注 / 14天以前发布,85,"9,452元/平"
联发尚筑 3室2厅 北 东北,联发尚筑 -东沟岭,3室2厅 | 105平米 | 北 东北 | 精装 | 中楼层(共32层)  | 板楼,0人关注 / 11天以前发布,131,"12,477元/平"
青秀山 半山丽园 地铁三号线 业主诚心出售,半山丽园北区 -柳沙,3室1厅 | 115平米 | 南 东南 | 其他 | 高楼层(共5层)  | 暂无数据,0人关注 / 13天以前发布,120,"10,435元/平"
盛湖悦景 4室2厅 南,盛湖悦景 -龙岗,4室2厅 | 108平米 | 南 | 精装 | 低楼层(共15层)  | 板塔结合,0人关注 / 13天以前发布,90,"8,334元/平"
绿地 · 国际花都 3室2厅 南 北,绿地 · 国际花都 -五象湖,3室2厅 | 92平米 | 南 北 | 精装 | 低楼层(共31层)  | 板塔结合,0人关注 / 15天以前发布,120,"13,044元/平"
不靠路边 位置安静 中间楼层 看房方便,龙光玖珑湖 -五象湖,4室2厅 | 132平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 塔楼,0人关注 / 14天以前发布,212,"16,061元/平"
瑞华·瑞和家園 4室2厅 南,瑞华·瑞和家園 -玉洞,4室2厅 | 142平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 10天以前发布,120,"8,451元/平"
产权清晰无抵押高楼层朝南向看花园通风采光好,凤岭山语城 -凤岭北,3室2厅 | 107.96平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 10天以前发布,158,"14,636元/平"
东盟商务区两梯两户板房 高楼层视野开阔看青秀山,海华·东盟公馆 -东盟商务区,3室2厅 | 140.9平米 | 南 | 精装 | 高楼层(共23层)  | 板楼,0人关注 / 10天以前发布,370,"26,260元/平"
凤岭北 霖峰壹號一组团 毛坯四房 三面采光 视野优质,霖峰壹號一组团 -凤岭北,4室2厅 | 128.39平米 | 南 | 毛坯 | 低楼层(共44层)  | 板塔结合,0人关注 / 9天以前发布,235,"18,304元/平"
嘉和城温莎北郡精装修，随时联系看房,嘉和城温莎北郡 -兴宁东,4室1厅 | 106平米 | 南 北 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 5天以前发布,90,"8,491元/平"
单位大院 大平层四房 业主诚心出售 带车位,自治区工商局宿舍 -金湖,4室2厅 | 176平米 | 北 南 | 精装 | 中楼层(共27层)  | 塔楼,0人关注 / 8天以前发布,380,"21,591元/平"
户型方正，大阳台，楼层好，价格实惠，视野开阔！,绿地新里•璞悦公馆 -沙井,4室2厅 | 113.86平米 | 南 | 精装 | 低楼层(共33层)  | 暂无数据,0人关注 / 9天以前发布,98,"8,608元/平"
龙岗 丽景湾 精装3房 有证 满2年 读书仅一路之隔,阳光城丽景湾 -龙岗,3室2厅 | 81.58平米 | 东 西 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 14天以前发布,82,"10,052元/平"
中南紫云集（北区）4-2-1-3 143.22m² 180 万,中南紫云集（北区） -玉洞,4室2厅 | 143.22平米 | 南 北 | 其他 | 中楼层(共33层)  | 塔楼,0人关注 / 9天以前发布,180,"12,569元/平"
凤岭北 霖峰壹號一组团 毛坯四房 三面采光 视野优质,霖峰壹號一组团 -凤岭北,4室2厅 | 128.39平米 | 南 | 毛坯 | 低楼层(共44层)  | 板塔结合,0人关注 / 9天以前发布,235,"18,304元/平"
凤岭北 长湖路凤景湾 精装四房 高楼层 视野优质,凤景湾 -凤岭北,4室2厅 | 153平米 | 南 北 | 精装 | 高楼层(共31层)  | 塔楼,0人关注 / 13天以前发布,304,"19,870元/平"
单位大院 大平层四房 业主诚心出售 带车位,自治区工商局宿舍 -金湖,4室2厅 | 176平米 | 北 南 | 精装 | 中楼层(共27层)  | 塔楼,0人关注 / 8天以前发布,380,"21,591元/平"
户型方正，大阳台，楼层好，价格实惠，视野开阔！,绿地新里•璞悦公馆 -沙井,4室2厅 | 113.86平米 | 南 | 精装 | 低楼层(共33层)  | 暂无数据,0人关注 / 9天以前发布,98,"8,608元/平"
此房是朝南户型，采光通风，证件齐全，红本在手,江南華府 -沙井,5室2厅 | 238平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 塔楼,0人关注 / 8天以前发布,168,"7,059元/平"
东盟商务区两梯两户板房 高楼层视野开阔看青秀山,海华·东盟公馆 -东盟商务区,3室2厅 | 140.9平米 | 南 | 精装 | 高楼层(共23层)  | 板楼,0人关注 / 10天以前发布,370,"26,260元/平"
龙岗 丽景湾 精装3房 有证 满2年 读书仅一路之隔,阳光城丽景湾 -龙岗,3室2厅 | 81.58平米 | 东 西 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 14天以前发布,82,"10,052元/平"
中海九玺 3室2厅 南 北,中海九玺 -东沟岭,3室2厅 | 87平米 | 南 北 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 11天以前发布,105,"12,069元/平"
荣和公园里 4房2厅114平 精装带 车位100万,荣和·公园里 -沙井,4室2厅 | 114.19平米 | 南 北 | 精装 | 低楼层(共25层)  | 暂无数据,0人关注 / 14天以前发布,99.8,"8,740元/平"
毛坯房任意装修  中铁地明珠   滨江公园,中铁交通天地明珠 -龙岗,3室2厅 | 96.33平米 | 南 | 毛坯 | 高楼层(共22层)  | 板塔结合,0人关注 / 12天以前发布,84,"8,721元/平"
小区绿化大，环境优美，配套成熟，精装修,翠湖名都 -五一路,3室2厅 | 100平米 | 南 | 精装 | 中楼层(共22层)  | 暂无数据,0人关注 / 12天以前发布,89,"8,900元/平"
MOCO荣和摩客社区 3室1厅 西南,MOCO荣和摩客社区 -北湖南,3室1厅 | 76平米 | 西南 | 精装 | 中楼层(共20层)  | 塔楼,0人关注 / 11天以前发布,90,"11,843元/平"
碧园南城故事，点进来 你我都有故事！,碧园南城故事 -经开区,3室2厅 | 88平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,0人关注 / 12天以前发布,64.5,"7,330元/平"
凤岭北荣和造  高楼层三面采光 业主诚心卖房,荣和·千千树 -凤岭北,4室2厅 | 108.66平米 | 南 | 精装 | 高楼层(共47层)  | 塔楼,0人关注 / 11天以前发布,175,"16,106元/平"
锦兰公馆  中楼层 精装修 50平1房 独立阳台,锦兰公馆 -经开区,1室1厅 | 50平米 | 北 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 1天以前发布,53,"10,600元/平"
此房楼层好，采光通风好，户型布局合理,合景·天峻广场 -龙岗,3室2厅 | 89平米 | 南 | 精装 | 高楼层(共26层)  | 塔楼,0人关注 / 一年前发布,118,"13,259元/平"
正江景宜兰湾精装3房看房方便近朝阳近江,台湾街宜兰湾 -西大,3室2厅 | 97平米 | 南 | 精装 | 高楼层(共31层)  | 塔楼,0人关注 / 6个月以前发布,123,"12,681元/平"
金湖广场商务区，适合办公人群，上下班距离近,金湖湾 -金湖,4室2厅 | 139.19平米 | 东南 | 简装 | 中楼层(共18层)  | 塔楼,0人关注 / 2个月以前发布,129,"9,268元/平"
民族大道东盟 两房 朝南 厅大有入户花园 满五年,财富国际广场C区 -凤岭北,2室2厅 | 97.25平米 | 南 | 精装 | 中楼层(共22层)  | 塔楼,1人关注 / 一年前发布,134,"13,779元/平"
此房源是 满五年不唯一 住宅性质 出租办公 均可,东盟财经中心 -东盟商务区,2室1厅 | 280.13平米 | 东北 | 简装 | 高楼层(共19层)  | 板塔结合,2人关注 / 一年前发布,500,"17,849元/平"
洋房，户型方正 通风采光良好 小区环境优美 适合居住,龙域香醍半岛 -龙岗,4室2厅 | 128.77平米 | 南 北 | 精装 | 低楼层(共9层)  | 板塔结合,1人关注 / 7个月以前发布,126,"9,785元/平"
央企物业，满二唯一，户型方正，四房两卫，动静分明,中铁江湾山语城 -龙岗,4室2厅 | 96平米 | 东南 | 精装 | 37层  | 塔楼,1人关注 / 10个月以前发布,130,"13,542元/平"
万科物业安全放心，小区环境好，房子精装修，近江边。,万科金域滨江 -龙岗,4室2厅 | 118.82平米 | 南 | 精装 | 高楼层(共28层)  | 板塔结合,2人关注 / 9个月以前发布,138,"11,615元/平"
民族大道财富国际广场 满五年唯一 朝南3房 精装保养好,财富国际广场C区 -凤岭北,3室2厅 | 134.32平米 | 南 | 精装 | 低楼层(共15层)  | 塔楼,1人关注 / 一年前发布,180,"13,401元/平"
业主诚心出售  满五唯一 户型方正 三面采光,宝能·城市广场 -龙岗,4室2厅 | 99.65平米 | 东南 | 精装 | 20层  | 板楼,1人关注 / 11个月以前发布,97,"9,735元/平"
青秀南湖边，精装复式大两房，挑高客厅,斯壮花园 -东葛路,2室2厅 | 109.53平米 | 东 | 精装 | 低楼层(共15层)  | 塔楼,3人关注 / 7个月以前发布,110,"10,043元/平"
大平层洋房看江，央企品质生活、带车位,中铁交通天地明珠 -龙岗,6室2厅 | 188.68平米 | 南 | 精装 | 低楼层(共24层)  | 板塔结合,2人关注 / 一年前发布,265,"14,045元/平"
民族大道财富广场 精装朝南2房 满五年唯一  保养好,财富国际广场C区 -凤岭北,2室2厅 | 97.25平米 | 南 | 精装 | 中楼层(共22层)  | 塔楼,16人关注 / 一年前发布,130,"13,368元/平"
凤岭名园 3室2厅 北,凤岭名园 -凤岭北,3室2厅 | 124.8平米 | 北 | 精装 | 低楼层(共11层)  | 板塔结合,1人关注 / 一年前发布,145,"11,619元/平"
民族大道地铁东盟站 财富国际广场 精装4房 有大阳台,财富国际广场C区 -凤岭北,4室2厅 | 156.51平米 | 南 | 精装 | 中楼层(共22层)  | 塔楼,1人关注 / 3个月以前发布,235,"15,016元/平"
江南万达商圈星光大道2楼两房出售,万力小区 -白沙星光,2室2厅 | 59.94平米 | 东南 | 简装 | 中楼层(共7层)  | 板塔结合,6人关注 / 一年前发布,66,"11,012元/平"
金湖地铁站，民歌湖旁需带一个车位出售，地理位置好,百色大厦 -金湖,2室2厅 | 109平米 | 南 | 精装 | 高楼层(共25层)  | 板塔结合,3人关注 / 一年前发布,140,"12,845元/平"
满二不唯一 房子南北对流采光好 配套完善 交通便利,天誉花园3组团 -五象文旅,4室2厅 | 121.77平米 | 南 | 毛坯 | 中楼层(共29层)  | 板塔结合,0人关注 / 一年前发布,136,"11,169元/平"
户型方正 配套齐全 离地铁口近 业主诚心出售,云星钱隆天下北区 -金湖,3室2厅 | 101.08平米 | 南 | 精装 | 中楼层(共28层)  | 塔楼,2人关注 / 一年前发布,140,"13,851元/平"
荣和新城D区 4室2厅 南,荣和新城D区 -白沙星光,4室2厅 | 135.22平米 | 南 | 精装 | 中楼层(共8层)  | 板塔结合,1人关注 / 8个月以前发布,99,"7,322元/平"
人民公园旁大四房急售！视野开阔无遮挡！,太阳广场 -朝阳,4室2厅 | 164.54平米 | 东南 | 其他 | 高楼层(共30层)  | 板塔结合,0人关注 / 1个月以前发布,165,"10,028元/平"
房子精装修，户型方正，小区独有户型。,天誉花园4组团 -五象文旅,3室2厅 | 70.11平米 | 东南 | 精装 | 中楼层(共32层)  | 板塔结合,6人关注 / 一年前发布,86,"12,267元/平"
汇东国际 3室2厅 南,汇东国际 -金湖,3室2厅 | 134.19平米 | 南 | 简装 | 中楼层(共30层)  | 板塔结合,1人关注 / 6个月以前发布,165,"12,296元/平"
天誉花园南北通透四房带装修业主诚心出售,天誉花园3组团 -五象文旅,3室2厅 | 106平米 | 南 北 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,115,"10,850元/平"
天誉花园中间楼层 满五年 安静不吵,天誉花园4组团 -五象文旅,3室1厅 | 68.75平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 3个月以前发布,95,"13,819元/平"
城市之光漂亮3房，户型方正，地铁3号线,城市之光小区 -金湖,3室2厅 | 131.76平米 | 南 | 简装 | 中楼层(共18层)  | 塔楼,5人关注 / 一年前发布,160,"12,144元/平"
近青秀万达 地铁3号线 园湖路+育才,东波苑小区 -东葛路,3室1厅 | 114.28平米 | 东南 | 精装 | 低楼层(共17层)  | 板塔结合,2人关注 / 6个月以前发布,125,"10,939元/平"
福建路4号 2室1厅 南,福建路4号 -白沙星光,2室1厅 | 44.1平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,58人关注 / 一年前发布,40,"9,071元/平"
永嘉大厦住宅小区  业主诚心出售  业主自住，保养好,永嘉大厦住宅小区 -星湖,2室1厅 | 66.94平米 | 南 北 | 精装 | 低楼层(共7层)  | 板塔结合,0人关注 / 3个月以前发布,120,"17,927元/平"
西大商圈1号地铁动物园站瑞士花园新房龄2房总仅5字头,瑞士花园 -心圩区,2室2厅 | 83.85平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,2人关注 / 5个月以前发布,58,"6,918元/平"
东盟商务区 万象城品质小区 装修保养漂亮  看房方便,幸福里 -东盟商务区,2室2厅 | 131.49平米 | 西南 | 精装 | 高楼层(共51层)  | 板楼,0人关注 / 2个月以前发布,460,"34,984元/平"
五象新区  良庆桥南  双阳台  3房2厅  低总价,天誉花园4组团 -五象文旅,3室2厅 | 70.4平米 | 西南 | 精装 | 中楼层(共32层)  | 板塔结合,2人关注 / 8个月以前发布,82,"11,648元/平"
嘉华绿洲105平大三房，90万总价，房子好,嘉华绿洲 -心圩区,3室2厅 | 105.68平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,4人关注 / 一年前发布,90,"8,517元/平"
东盟商务区 上东国际 大三房  一梯两户,阳光100上东国际 -琅东,3室2厅 | 128.4平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,2人关注 / 4个月以前发布,135,"10,515元/平"
百万豪气装修，全屋私人订制，业主搬迁外地，急售,碧水天和B区 -五象核心区,3室2厅 | 161.69平米 | 南 | 精装 | 低楼层(共31层)  | 塔楼,2人关注 / 一年前发布,230,"14,225元/平"
天誉花园四区精装两室，向东南，挨三校区，地铁口,天誉花园4组团 -五象文旅,2室1厅 | 53平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,12人关注 / 一年前发布,50,"9,434元/平"
阳光尚都 玉洞地铁口 菜市在小区门口 配套成熟,阳光尚都 -玉洞,3室1厅 | 71平米 | 南 北 | 精装 | 低楼层(共31层)  | 塔楼,2人关注 / 2个月以前发布,69,"9,719元/平"
中南紫云集3-2-1-2 95.00m² 120 万,中南紫云集（北区） -玉洞,3室2厅 | 95平米 | 东 南 | 精装 | 中楼层(共25层)  | 暂无数据,0人关注 / 5个月以前发布,120,"12,632元/平"
五象新区文旅板块温馨两房业主诚心出售，保养好,天誉花园4组团 -五象文旅,2室2厅 | 53.1平米 | 东南 | 精装 | 高楼层(共32层)  | 板塔结合,14人关注 / 一年前发布,65,"12,242元/平"
天筑米兰带露台 金象三区繁华地段 景华小到初,天筑米兰 -玉洞,3室1厅 | 76.43平米 | 南 北 | 精装 | 低楼层(共27层)  | 板塔结合,3人关注 / 6个月以前发布,61,"7,982元/平"
金地花园 地铁金象站出口 宽敞大三房两卫 小区安静,金地花园 -玉洞,3室2厅 | 110.79平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 9个月以前发布,85,"7,673元/平"
银海华庭 电梯  2房 现在是 急出售58万 看房方便,银海华廷 -玉洞,2室1厅 | 76.22平米 | 南 | 简装 | 低楼层(共17层)  | 塔楼,7人关注 / 8个月以前发布,58,"7,610元/平"
瑞和家园旁幸福华府2+1大三房 楼层好,幸福华府2+1 -玉洞,3室2厅 | 118.81平米 | 东南 | 精装 | 高楼层(共33层)  | 塔楼,1人关注 / 9个月以前发布,92,"7,744元/平"
大沙田  恒大名都  地铁口  视野好,恒大名都 -大沙田,3室2厅 | 119.77平米 | 南 | 精装 | 高楼层(共31层)  | 塔楼,4人关注 / 一年前发布,115,"9,602元/平"
高楼层精装大4房，双阳台，满五唯一,蓝山上城 -凤岭北,4室1厅 | 172.24平米 | 南 | 精装 | 高楼层(共22层)  | 板塔结合,2人关注 / 5个月以前发布,280,"16,257元/平"
房子满五不唯一，目前出租中，看房方便,塞纳维拉花园 -凤岭北,3室2厅 | 122.59平米 | 东 | 简装 | 高楼层(共8层)  | 塔楼,1人关注 / 一年前发布,160,"13,052元/平"
地铁口物业，采光通风好，交通便利，配套设施齐全,汇东国际 -金湖,2室2厅 | 103.38平米 | 东南 南 | 简装 | 中楼层(共30层)  | 板塔结合,6人关注 / 一年前发布,135,"13,059元/平"
天昌东盟中央城，客厅挑高大三房，南北对流,天昌东盟中央城 -东盟商务区,3室2厅 | 146.88平米 | 南 | 精装 | 低楼层(共8层)  | 板楼,3人关注 / 4个月以前发布,280,"19,064元/平"
琅东客运站旁，精装大三房，距离一号线地铁不到一公里,飞扬世代 -琅东,3室2厅 | 116.33平米 | 北 | 简装 | 中楼层(共28层)  | 塔楼,3人关注 / 5个月以前发布,85,"7,307元/平"
1号线站口500米，朝南向、东边户，精装大3房,蓝山上城 -凤岭北,3室2厅 | 109.63平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,22人关注 / 一年前发布,162,"14,777元/平"
马来西亚园 134平 大三房 小高层 视野靓,马来西亚城 -东盟商务区,3室2厅 | 134.28平米 | 南 | 精装 | 中楼层(共10层)  | 板楼,9人关注 / 10个月以前发布,220,"16,384元/平"
天昌 70平 2房 精装 价格实惠 方便看房,天昌东盟中央城 -东盟商务区,2室1厅 | 70.47平米 | 东南 | 精装 | 中楼层(共23层)  | 板塔结合,0人关注 / 2个月以前发布,154.5,"21,925元/平"
东盟商务区， 万象城邻居，临石门公园,天广和花园 -东盟商务区,5室2厅 | 216.21平米 | 东南 | 简装 | 高楼层(共10层)  | 板楼,33人关注 / 一年前发布,370,"17,113元/平"
蓝山上城 4室1厅 东南,蓝山上城 -凤岭北,4室1厅 | 130.45平米 | 东南 | 精装 | 中楼层(共17层)  | 塔楼,5人关注 / 5个月以前发布,218,"16,712元/平"
步梯2楼，看房方便，配套成熟交通便利,隆新花园 -大沙田,3室2厅 | 103.94平米 | 南 | 简装 | 低楼层(共8层)  | 板塔结合,7人关注 / 3个月以前发布,65,"6,254元/平"
一号线埌东站，交通便利，户型方正,金龙理想1号 -凤岭北,3室2厅 | 133.84平米 | 南 | 简装 | 高楼层(共11层)  | 板塔结合,0人关注 / 一年前发布,125,"9,340元/平"
朝南大三房 小区安静位置 采光通风好,恒大苹果园·金色阳光 -琅东,3室2厅 | 168.07平米 | 东南 | 精装 | 低楼层(共22层)  | 塔楼,0人关注 / 一年前发布,155,"9,223元/平"
天誉花园 业主诚心出售，看房方便仅需提前预约,天誉花园4组团 -五象文旅,2室2厅 | 55.79平米 | 西南 | 精装 | 低楼层(共31层)  | 板塔结合,1人关注 / 6个月以前发布,55.8,"10,002元/平"
邕江边 二中旁 万象汇 精品两房诚意出售,外滩新城 -星湖,2室1厅 | 81.89平米 | 西 | 简装 | 中楼层(共28层)  | 暂无数据,0人关注 / 5个月以前发布,122,"14,899元/平"
地铁3号线 青秀万达 嘉园小区 安静,嘉园小区 -东葛路,3室2厅 | 107.88平米 | 北 | 精装 | 中楼层(共12层)  | 板塔结合,0人关注 / 4个月以前发布,126,"11,680元/平"
一线江景，朝南向，采光视野好，儫华装修，房子保养好,半岛·半山 -柳沙,3室2厅 | 96.76平米 | 南 北 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 9个月以前发布,135,"13,953元/平"
五象西 合景香悦四季精装4房 户型方正 南北对流,合景香悦四季 -玉洞,4室2厅 | 120.2平米 | 南 北 | 精装 | 高楼层(共23层)  | 暂无数据,0人关注 / 3个月以前发布,105,"8,736元/平"
业主诚售，附产权车位。同户型推荐前三,半岛康城 -柳沙,4室2厅 | 143.55平米 | 东南 | 简装 | 中楼层(共18层)  | 板塔结合,2人关注 / 6个月以前发布,144,"10,032元/平"
满五唯一  4房2厅 三代同堂 采光好,中房翡翠园二期 -琅东,4室2厅 | 117.49平米 | 南 | 精装 | 高楼层(共12层)  | 板塔结合,7人关注 / 一年前发布,168,"14,300元/平"
西大醇熟片区五号线负一楼带车位3+1房保养好诚意卖,龙光·水悦龙湾 -西大,3室2厅 | 131.87平米 | 南 | 精装 | 低楼层(共34层)  | 塔楼,0人关注 / 2个月以前发布,131,"9,935元/平"
青山地铁口旁，空气新鲜，环境优美、电梯大两房,半山丽园北区 -柳沙,2室1厅 | 110.79平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,1人关注 / 2个月以前发布,110,"9,929元/平"
青秀山旁 竹溪新兴苑  医科大 看房方便,竹溪新兴苑 -柳沙,2室2厅 | 99.49平米 | 南 | 其他 | 高楼层(共8层)  | 板塔结合,2人关注 / 4个月以前发布,80,"8,042元/平"
凤岭北二中旁 大平层单位房 翠竹小区150平4房出售,翠竹小区 -凤岭北,4室2厅 | 150.63平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,193,"12,813元/平"
"小区居住环境好,绿化好 ，社区完善，花园，健身器材等",城光·俊景 -凤岭北,3室2厅 | 124.24平米 | 南 | 精装 | 低楼层(共7层)  | 暂无数据,2人关注 / 6个月以前发布,176,"14,167元/平"
盛天东郡三房首付二十万，月供4500，中间楼层急卖,盛天东郡 -兴宁东,3室2厅 | 100平米 | 南 | 精装 | 中楼层(共34层)  | 塔楼,3人关注 / 6个月以前发布,109,"10,900元/平"
江南万达 南城百货 大户型四房 精装,浩天花园 -白沙星光,4室2厅 | 141.74平米 | 南 北 | 精装 | 低楼层(共32层)  | 塔楼,0人关注 / 2个月以前发布,133,"9,384元/平"
儿童公园旁 四叶草户型 利用空间大,荣和公园大道 -凤岭北,4室2厅 | 141.22平米 | 南 | 精装 | 低楼层(共44层)  | 塔楼,0人关注 / 2个月以前发布,310,"21,952元/平"
北湖新小区，采光通风 佳！业主诚心出售！欢迎看房,隆源雅居 -北湖南,3室2厅 | 117.77平米 | 南 | 简装 | 32层  | 板楼,0人关注 / 4个月以前发布,129,"10,954元/平"
西乡塘区 万科悦湾142平精装4房 江景房,万科悦湾 -石埠,4室2厅 | 142.56平米 | 南 北 | 精装 | 低楼层(共20层)  | 板塔结合,1人关注 / 8个月以前发布,130,"9,119元/平"
民族大道一号线 满2年 精装楼中楼  朝南户 视野开阔,财富国际广场C区 -凤岭北,5室2厅 | 185.89平米 | 南 北 | 精装 | 高楼层(共23层)  | 塔楼,3人关注 / 一年前发布,285,"15,332元/平"
带三十万装修家电家具 保养好大三房 接地气生活便利,维也纳森林 -凤岭北,3室2厅 | 138.94平米 | 西 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 4个月以前发布,190,"13,675元/平"
