标题,开发商,房子信息,发布信息,售价/万,单价
视野好，采光好，户型方正，配套设施齐全，交通便利,东海岸 -河东北区,4室2厅 | 120.2平米 | 西南 | 精装 | 低楼层(共28层)  | 塔楼,10人关注 / 10个月以前发布,96,"7,987元/平"
小洋房，电梯入户，此价格带车位出售,金科美湖湾二期 -仁里场区,3室2厅 | 113平米 | 东南 | 其他 | 低楼层(共6层)  | 板楼,1人关注 / 一年前发布,115,"10,177元/平"
金科·集美天宸 3室2厅 东南,金科·集美天宸 -物流港区,3室2厅 | 97.55平米 | 东南 | 毛坯 | 低楼层(共11层)  | 暂无数据,0人关注 / 10个月以前发布,68,"6,971元/平"
七里桥 鹭栖湖 近 九樾府 碧桂园,七里桥小区 -物流港区,3室2厅 | 107平米 | 东 | 毛坯 | 高楼层(共24层)  | 暂无数据,0人关注 / 1个月以前发布,39.5,"3,692元/平"
精装三室 关门买，业主诚心出售，西南朝向,凯丽滨江南区 -北门区,3室1厅 | 79.33平米 | 西南 西 | 精装 | 低楼层(共32层)  | 塔楼,0人关注 / 1个月以前发布,65,"8,194元/平"
小区环境优美 套三 户型方正 视野开阔,悦城南区 -物流港区,3室2厅 | 92平米 | 东南 | 毛坯 | 低楼层(共20层)  | 暂无数据,4人关注 / 4个月以前发布,43.2,"4,696元/平"
欣泽国际花园，城南高品质花园小区，小区人文素质高。,欣泽国际花园 -射洪县,3室2厅 | 120平米 | 南 | 毛坯 | 低楼层(共31层)  | 塔楼,1人关注 / 5个月以前发布,75,"6,250元/平"
正黄·金域名邸 3室2厅 东南,正黄·金域名邸 -物流港区,3室2厅 | 91.5平米 | 东南 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 5个月以前发布,64,"6,995元/平"
此小区绿化苏州园林风格，安静舒适，户型方正无浪费,邦泰东湖上院 -河东北区,3室2厅 | 105.46平米 | 南 | 毛坯 | 高楼层(共9层)  | 暂无数据,0人关注 / 2个月以前发布,129,"12,233元/平"
银河路现浇三房 看房方便 户型方正,深南小区 -南门区,3室2厅 | 122.3平米 | 东 | 其他 | 中楼层(共7层)  | 板塔结合,0人关注 / 2个月以前发布,48.8,"3,991元/平"
南门中间地点，万人小区，出行方便,富源新村 -南门区,3室2厅 | 125.7平米 | 东 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,50,"3,978元/平"
一楼精装大花园     全屋品牌家具,荣兴学府嘉园 -仁里场区,3室2厅 | 114平米 | 东南 | 其他 | 低楼层(共6层)  | 暂无数据,11人关注 / 一年前发布,100,"8,772元/平"
金海国际3-2-1-2 121.85m² 105 万,金海国际 -北门区,3室2厅 | 121.85平米 | 东 | 精装 | 高楼层(共28层)  | 暂无数据,0人关注 / 1个月以前发布,105,"8,618元/平"
阳光丽城 3室2厅 东南,阳光丽城 -大英县,3室2厅 | 121平米 | 东南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,58.6,"4,843元/平"
君豪明月阳光 精装大四房 户型方正 业主诚售,君豪明月阳光 -北门区,4室2厅 | 124平米 | 东 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 5个月以前发布,60,"4,839元/平"
碧桂园三室两厅，交通便利小区环境干净舒适,碧桂园中环壹号 -物流港区,3室2厅 | 92平米 | 东南 | 毛坯 | 高楼层(共30层)  | 板楼,1人关注 / 一年前发布,60,"6,522元/平"
该房户型方正，江景三房，使用面积大,弗莱明戈 -河东北区,3室2厅 | 111.56平米 | 东南 | 毛坯 | 高楼层(共18层)  | 塔楼,1人关注 / 一年前发布,88.8,"7,960元/平"
四房双卫 港式横厅 配套设施齐全,正黄金域峰景 -河东北区,4室2厅 | 110平米 | 东南 | 毛坯 | 中楼层(共33层)  | 塔楼,15人关注 / 一年前发布,101.6,"9,237元/平"
此房满两年，户型方正，采光好，出行方便,工商银行宿舍 -北门区,4室2厅 | 169平米 | 南 北 | 精装 | 高楼层(共8层)  | 暂无数据,8人关注 / 一年前发布,59,"3,492元/平"
房子产权满了2年，税费低使用面积大，业主诚心出售,仁湖花园二期 -蓬溪县,3室2厅 | 95平米 | 北 | 毛坯 | 中楼层(共26层)  | 塔楼,1人关注 / 一年前发布,38,"4,000元/平"
天亿城市之星三室两厅双卫，适合居住。,天亿城市之星 -射洪县,3室2厅 | 108.82平米 | 西北 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 4个月以前发布,71.8,"6,599元/平"
城南电梯套三 带平台花园 业主诚心卖,中枢东方城 -射洪县,3室2厅 | 107平米 | 东南 | 毛坯 | 低楼层(共29层)  | 暂无数据,0人关注 / 6个月以前发布,57.8,"5,402元/平"
兴和小区   随时拎包入住    随时看房,兴和小区 -射洪县,3室2厅 | 143平米 | 北 | 简装 | 中楼层(共8层)  | 板楼,1人关注 / 3个月以前发布,54,"3,777元/平"
此房满两年，税费低，格局，楼层好，视野宽阔,明月星城 -北门区,3室2厅 | 119平米 | 东南 | 精装 | 中楼层(共17层)  | 塔楼,0人关注 / 6个月以前发布,70,"5,883元/平"
装修新色  拎包入住  环境好交通方便,君宏名家汇 -南门区,2室2厅 | 75.8平米 | 东南 | 其他 | 中楼层(共11层)  | 塔楼,1人关注 / 6个月以前发布,58.4,"7,705元/平"
融创出品必是精品一梯两户品质洋房,融创九樾府 -物流港区,4室2厅 | 126平米 | 东南 | 毛坯 | 中楼层(共10层)  | 板塔结合,0人关注 / 4个月以前发布,80.5,"6,389元/平"
世纪城电梯价格便宜出售，随时看房,世纪城 -北门区,4室2厅 | 139.5平米 | 东 | 其他 | 低楼层(共19层)  | 塔楼,0人关注 / 1个月以前发布,69.8,"5,004元/平"
天宏龙湾壹号 3室2厅 东,天宏龙湾壹号 -北门区,3室2厅 | 91平米 | 东 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 8个月以前发布,57.5,"6,319元/平"
洋房小区 标准3房 竖厅户型 带10年车位使用权,金科·集美天宸 -物流港区,3室2厅 | 103.16平米 | 东南 | 其他 | 高楼层(共11层)  | 暂无数据,0人关注 / 5个月以前发布,68,"6,592元/平"
出门就是各路公交车都可以到达，,金涪小区 -物流港区,3室2厅 | 110.3平米 | 南 | 精装 | 高楼层(共7层)  | 板塔结合,0人关注 / 3个月以前发布,42.8,"3,881元/平"
天鹅湖2期，清水4室2厅2卫，随时可以看房有钥匙,天鹅湖二期 -蓬溪县,4室2厅 | 110.5平米 | 东南 | 毛坯 | 中楼层(共34层)  | 塔楼,0人关注 / 一年前发布,36,"3,258元/平"
高新区 华翔城 户型方正采光好 证齐可以按揭看房方便,华翔城4期 -物流港区,3室2厅 | 89.5平米 | 西南 西北 | 毛坯 | 高楼层(共34层)  | 暂无数据,0人关注 / 10个月以前发布,56.5,"6,313元/平"
金梅安置小区，精装三室，户型方正，诚心卖,七里桥小区 -物流港区,3室2厅 | 112平米 | 东南 | 精装 | 低楼层(共18层)  | 暂无数据,8人关注 / 一年前发布,54.8,"4,893元/平"
金桥花园式小区 天鹅湖大4房 随时可看,天鹅湖二期 -蓬溪县,4室2厅 | 112平米 | 东南 | 其他 | 高楼层(共32层)  | 暂无数据,0人关注 / 8个月以前发布,38,"3,393元/平"
拉斐公馆，三房双卫，可按揭.............,拉斐公馆 -南门区,3室2厅 | 93平米 | 东南 | 毛坯 | 低楼层(共32层)  | 塔楼,2人关注 / 一年前发布,68,"7,312元/平"
房东急售，户型时尚，大私家花园,正黄·翡翠湾 -物流港区,3室2厅 | 105.89平米 | 东南 | 毛坯 | 低楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,88,"8,311元/平"
金科·集美天宸 3室2厅 南,金科·集美天宸 -物流港区,3室2厅 | 103.24平米 | 南 | 毛坯 | 高楼层(共11层)  | 暂无数据,1人关注 / 10个月以前发布,65,"6,297元/平"
三室两厅，户型方正，采光好，拎包入住。,金科集美嘉悦 -射洪县,3室2厅 | 79平米 | 南 | 精装 | 低楼层(共24层)  | 暂无数据,0人关注 / 7个月以前发布,73.8,"9,342元/平"
品质小区 管理成熟 基础配套成熟 户型方正 采光好,天鹅湖二期 -蓬溪县,3室2厅 | 92平米 | 东 | 毛坯 | 低楼层(共34层)  | 暂无数据,2人关注 / 6个月以前发布,28,"3,044元/平"
泰和美邸，三室二厅两卫，适合居住。,泰和美邸南区 -射洪县,3室2厅 | 108平米 | 南 | 毛坯 | 低楼层(共17层)  | 暂无数据,1人关注 / 9个月以前发布,71.8,"6,649元/平"
现浇房 配套齐全 拎包入住 精装修,盛世锦城 -南门区,3室2厅 | 108.1平米 | 东南 | 简装 | 低楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,58.8,"5,440元/平"
出行方便，户型方正，居住方便舒适。,南湖半岛 -物流港区,3室2厅 | 89平米 | 东南 | 其他 | 低楼层(共30层)  | 板塔结合,1人关注 / 一年前发布,49.5,"5,562元/平"
锦雅郦城 三室两厅 清水 宜装修,锦雅郦城 -射洪县,3室2厅 | 109平米 | 东南 | 毛坯 | 高楼层(共26层)  | 塔楼,0人关注 / 11个月以前发布,68.8,"6,312元/平"
华翔·望江山 3室2厅 东南,华翔·望江山 -物流港区,3室2厅 | 81.78平米 | 东南 | 其他 | 中楼层(共17层)  | 塔楼,1人关注 / 7个月以前发布,57,"6,970元/平"
中铁雅庭电梯中层，四房两厅双卫，低于市场价,尚城雅庭 -河东北区,4室2厅 | 114平米 | 东 | 毛坯 | 低楼层(共18层)  | 塔楼,37人关注 / 一年前发布,106.8,"9,369元/平"
带200平大平台，君悦尚都，三室两厅户型方正采光好,君悦尚都 -射洪县,3室2厅 | 110平米 | 东 | 毛坯 | 低楼层(共27层)  | 塔楼,0人关注 / 6个月以前发布,79.8,"7,255元/平"
该房屋为装修房，业主诚心出售，看房方便,龙腾青年公社 -河东南区,3室2厅 | 98平米 | 东南 | 简装 | 中楼层(共20层)  | 塔楼,0人关注 / 1个月以前发布,62.8,"6,409元/平"
此房视野开阔，户型方正，采光充足，业主诚心出售,尚城澜庭 -河东北区,3室2厅 | 90.2平米 | 东南 | 精装 | 中楼层(共29层)  | 塔楼,3人关注 / 8个月以前发布,103,"11,420元/平"
东城一品精装三室关门卖里面家具齐全,东城一品 -河东北区,3室2厅 | 110.39平米 | 南 | 精装 | 高楼层(共27层)  | 塔楼,0人关注 / 4个月以前发布,96,"8,697元/平"
河东金科二期跃层洋房清水4房带车位，业主诚心卖,金科美湖湾二期 -仁里场区,4室2厅 | 127平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,119.6,"9,418元/平"
正黄系列金域央墅   两梯三户   横厅四房,正黄金域央墅 -河东北区,4室2厅 | 129平米 | 西南 | 毛坯 | 中楼层(共14层)  | 塔楼,7人关注 / 6个月以前发布,124.8,"9,675元/平"
龙腾御景小区 3室2厅交通便利 干净舒适 适合居住,龙腾御锦 -河东南区,3室2厅 | 47平米 | 东 | 其他 | 高楼层(共14层)  | 塔楼,6人关注 / 一年前发布,49.8,"10,596元/平"
保利二期小高层三房  清水  产权清晰,联福家园二期 -河东北区,3室2厅 | 101.85平米 | 东南 | 精装 | 高楼层(共6层)  | 暂无数据,9人关注 / 一年前发布,67.4,"6,618元/平"
河东 保利三房 全江景 产权满2年,保利江语城 -河东北区,3室2厅 | 98平米 | 南 西南 | 精装 | 低楼层(共28层)  | 塔楼,9人关注 / 6个月以前发布,103.8,"10,592元/平"
河东卓同国际旁纯中庭的房子，产权即将满2年,御澜山 -河东北区,3室2厅 | 111.45平米 | 东南 | 毛坯 | 高楼层(共22层)  | 塔楼,2人关注 / 4个月以前发布,108,"9,691元/平"
东湖丽景 清水三房 带车位 产权在手 无抵押 业主急售,东湖丽景 -河东北区,3室2厅 | 108平米 | 东南 | 毛坯 | 中楼层(共26层)  | 塔楼,3人关注 / 一年前发布,105.6,"9,778元/平"
中铁郦苑，产权满两年，卧室看江，随时看房,中铁尚城二期郦苑 -河东北区,3室2厅 | 89平米 | 东 | 其他 | 中楼层(共26层)  | 暂无数据,9人关注 / 一年前发布,94.1,"10,574元/平"
此房满两年没抵押，出行方便，户型方正，居住方便舒适,东湖丽景 -河东北区,3室2厅 | 97.64平米 | 东南 | 毛坯 | 低楼层(共22层)  | 塔楼,3人关注 / 一年前发布,92,"9,423元/平"
东湖上院一梯四户  三房双卫  带人防车位,邦泰东湖上院 -河东北区,3室2厅 | 88.08平米 | 东南 | 其他 | 高楼层(共9层)  | 暂无数据,0人关注 / 1个月以前发布,88,"9,991元/平"
河东花间集清水大3房，户型方正,荣海花间集 -河东北区,3室2厅 | 118平米 | 西南 | 毛坯 | 中楼层(共18层)  | 塔楼,0人关注 / 10个月以前发布,66.8,"5,662元/平"
世纪锦江清水房，三室二厅二卫，业主诚心出售,世纪锦江 -河东南区,3室2厅 | 113.19平米 | 东南 南 | 毛坯 | 低楼层(共21层)  | 板塔结合,0人关注 / 10个月以前发布,105,"9,277元/平"
此房带产权车位，配套齐全，万达旁边 满2年 户型方正,东城绿洲B区 -河东北区,4室2厅 | 161.11平米 | 西南 | 毛坯 | 低楼层(共11层)  | 塔楼,5人关注 / 6个月以前发布,120,"7,449元/平"
清水\地理位置好\看房方便.！！！,帝一江岸 -河东北区,3室2厅 | 94平米 | 西北 | 毛坯 | 低楼层(共28层)  | 塔楼,6人关注 / 一年前发布,58.8,"6,256元/平"
此小区由百强企业邦泰开发，电梯洋房小区环境绿化好。,邦泰河东院子 -河东北区,4室2厅 | 134平米 | 东南 | 毛坯 | 高楼层(共10层)  | 暂无数据,3人关注 / 5个月以前发布,192,"14,329元/平"
桌同旁，联福家园三房，配套齐全,联福家园一期 -河东北区,3室2厅 | 112平米 | 东南 | 毛坯 | 高楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,61.1,"5,456元/平"
房子为精装修，两室两厅两卫。装修新色拎包入住。,龙腾御锦 -河东南区,2室2厅 | 50平米 | 东南 | 精装 | 中楼层(共14层)  | 塔楼,3人关注 / 8个月以前发布,53.8,"10,760元/平"
河东醉美小区，人居环境品质高，潜力发展区域。,邦泰河东院子 -河东北区,3室2厅 | 115.1平米 | 东 | 毛坯 | 高楼层(共12层)  | 暂无数据,0人关注 / 7个月以前发布,124,"10,774元/平"
业主诚心出售，看房方便，房屋在装修。,荣兴遂州新城 -河东南区,3室2厅 | 81.3平米 | 东 | 精装 | 低楼层(共28层)  | 板塔结合,5人关注 / 4个月以前发布,76.8,"9,447元/平"
翔宇桂苑，精装四房，未住人，业主诚心出售,翔宇桂苑 -河东南区,4室2厅 | 115平米 | 东南 西南 | 其他 | 低楼层(共19层)  | 塔楼,17人关注 / 一年前发布,89.8,"7,809元/平"
两梯四户 大户型 全中庭 主卧室带衣帽间,尚城澜庭 -河东北区,4室2厅 | 114平米 | 东北 | 毛坯 | 高楼层(共18层)  | 塔楼,3人关注 / 5个月以前发布,118,"10,351元/平"
此房为清水房，想怎么装就怎么装。,世纪锦江 -河东南区,3室2厅 | 122平米 | 西南 | 毛坯 | 中楼层(共27层)  | 暂无数据,0人关注 / 1个月以前发布,95.8,"7,853元/平"
商务区1楼 精装三室 有小区物管停车方便 图片真实,粮食局宿舍 -市中区,3室2厅 | 109.2平米 | 东南 | 精装 | 低楼层(共8层)  | 暂无数据,0人关注 / 2个月以前发布,56.8,"5,202元/平"
金帝花园C区 4室2厅 东南,金帝花园C区 -市中区,4室2厅 | 125.6平米 | 东南 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,66,"5,255元/平"
此房满五唯一，视野宽阔，采光充足，配套设施齐。,和平西路189号 -市中区,3室2厅 | 137平米 | 南 | 简装 | 低楼层(共4层)  | 暂无数据,0人关注 / 3个月以前发布,65,"4,745元/平"
此房为3室，户型方正，采光还是不错的,天宏水晶城 -西山路区,3室2厅 | 121.58平米 | 南 | 简装 | 低楼层(共27层)  | 暂无数据,0人关注 / 3个月以前发布,82,"6,745元/平"
南门三房首付低    拎包 包入住,阳春白雪综合楼 -南门区,3室2厅 | 110平米 | 东 | 简装 | 中楼层(共8层)  | 暂无数据,2人关注 / 9个月以前发布,36.6,"3,328元/平"
精装三房做四房 装修新色 采光好 房子保养的很好,荣兴遂州新城 -河东南区,3室2厅 | 69平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 31天以前发布,78,"11,305元/平"
河东新区中铁全中庭带车位的精品四房,中铁尚城麓苑 -河东北区,4室2厅 | 111.79平米 | 东 | 毛坯 | 中楼层(共18层)  | 塔楼,7人关注 / 7个月以前发布,115,"10,288元/平"
河东保利品质精装三房 带产权车位,保利江语城 -河东北区,3室2厅 | 102平米 | 东北 | 精装 | 高楼层(共32层)  | 塔楼,0人关注 / 1个月以前发布,112,"10,981元/平"
东海岸  精装2房 可做楼顶花园、产权满2，诚意出售！,东海岸 -河东北区,2室2厅 | 53.83平米 | 东 东南 | 精装 | 高楼层(共6层)  | 板楼,4人关注 / 11个月以前发布,43.8,"8,137元/平"
北门中间地段，电梯3室2厅2卫可看江,南瑞水都豪庭 -北门区,3室2厅 | 118平米 | 东南 | 精装 | 高楼层(共26层)  | 板塔结合,0人关注 / 1个月以前发布,83.8,"7,102元/平"
万达旁、东城绿洲精装3房、诚意出售,东城绿洲A区 -河东北区,3室2厅 | 109平米 | 西南 | 精装 | 高楼层(共32层)  | 塔楼,1人关注 / 6个月以前发布,87.8,"8,056元/平"
金科集美嘉悦翡翠组团 3室2厅 东南,金科集美嘉悦翡翠组团 -河东北区,3室2厅 | 98平米 | 东南 | 毛坯 | 低楼层(共23层)  | 暂无数据,3人关注 / 6个月以前发布,87,"8,878元/平"
河东新区 置信丽府B区 103.5平米  3房两厅双卫,置信丽府B区 -河东北区,3室2厅 | 103.5平米 | 东南 | 毛坯 | 中楼层(共18层)  | 暂无数据,2人关注 / 10个月以前发布,109.8,"10,609元/平"
全屋新装修带空调，五采之心旁边，出行方便，带车位,尚城雅庭 -河东北区,4室2厅 | 114平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,0人关注 / 1个月以前发布,132.8,"11,650元/平"
南门豪小区出门就是滨江路湿地公园，南门的天花板小区,南滨帝景B区 -南门区,3室2厅 | 91.8平米 | 南 | 精装 | 高楼层(共27层)  | 暂无数据,3人关注 / 9个月以前发布,88.3,"9,619元/平"
小区有前门，后门，前门出来是菜市场，100米是江边,鼎程锦绣兰庭 -南门区,2室2厅 | 80平米 | 东南 | 精装 | 低楼层(共6层)  | 暂无数据,1人关注 / 9个月以前发布,71.8,"8,975元/平"
真正好房子  值得购买 设施设备齐全,永明南湖逸景 -南门区,3室2厅 | 115平米 | 东南 | 毛坯 | 中楼层(共6层)  | 塔楼,4人关注 / 一年前发布,56.6,"4,922元/平"
福瑞花园三室两厅两卫，低于市场价！,福瑞花园 -南门区,3室2厅 | 129.5平米 | 东南 东北 | 其他 | 中楼层(共7层)  | 暂无数据,5人关注 / 一年前发布,54,"4,170元/平"
碧桂园天誉一期，二次装修方便。,碧桂园天誉 -河东北区,3室2厅 | 111.4平米 | 东南 | 简装 | 高楼层(共18层)  | 暂无数据,1人关注 / 4个月以前发布,128.6,"11,544元/平"
桃花山安置小区套二现在是经营中的,桃花山安置小区 -物流港区,2室2厅 | 78平米 | 东南 | 其他 | 低楼层(共25层)  | 暂无数据,0人关注 / 8天以前发布,53,"6,795元/平"
商务区低总价   新都旁   两室,小西街37号 -市中区,2室2厅 | 72平米 | 东南 | 其他 | 中楼层(共8层)  | 暂无数据,0人关注 / 8天以前发布,29.8,"4,139元/平"
西山路低楼层两房出售出门就是小雪,东坡小区 -西山路区,2室1厅 | 65平米 | 东 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 4天以前发布,38,"5,847元/平"
精装修两房，业主诚心出售，拎包入住,宏桥小区 -北门区,2室2厅 | 86.44平米 | 东南 | 其他 | 高楼层(共33层)  | 暂无数据,0人关注 / 6天以前发布,45,"5,206元/平"
30万加+花园小区+物业+2房+1楼居家,热电厂宿舍 -南门区,2室2厅 | 78平米 | 东南 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 8天以前发布,38,"4,872元/平"
小区配套成熟，带小花园，小户型3室，关门卖,南滨帝景一期 -南门区,3室2厅 | 88平米 | 东南 | 其他 | 低楼层(共24层)  | 暂无数据,0人关注 / 2天以前发布,71.5,"8,125元/平"
南方名都 2室2厅 南,南方名都 -射洪县,2室2厅 | 86.67平米 | 南 | 其他 | 低楼层(共7层)  | 塔楼,0人关注 / 1天以前发布,48.8,"5,631元/平"
锦晖新城 3室2厅 南 北,锦晖新城 -射洪县,3室2厅 | 98.04平米 | 南 北 | 其他 | 中楼层(共28层)  | 暂无数据,0人关注 / 7天以前发布,54,"5,508元/平"
顺南街教师公寓 2室2厅 东南,顺南街教师公寓 -市中区,2室2厅 | 70平米 | 东南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 4天以前发布,40,"5,715元/平"
书香美邸(大英县) 3室2厅 南,书香美邸(大英县) -大英县,3室2厅 | 99平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 6天以前发布,45.9,"4,637元/平"
品质小区，配套齐全，新区新楼，配套足球场.,悦城 -物流港区,2室2厅 | 75平米 | 南 | 其他 | 高楼层(共32层)  | 暂无数据,0人关注 / 4天以前发布,39.8,"5,307元/平"
华翔城4期2-2-1-1 69.66m²电梯中层9.999层新业主精装,华翔城4期 -物流港区,2室2厅 | 69.66平米 | 南 | 其他 | 中楼层(共34层)  | 暂无数据,0人关注 / 3天以前发布,63,"9,044元/平"
简装装修适合老年人养老和适合养人做,荣兴花园 -北门区,车位 | 34.23平米 | 东北  | 暂无数据,0人关注 / 1个月以前发布,20,"5,843元/平"
电梯房精装小三室，视野开阔采光好，房屋新色,港城浅水半岛 -大英县,3室2厅 | 81.3平米 | 南 北 | 精装 | 高楼层(共26层)  | 塔楼,0人关注 / 8天以前发布,56.8,"6,987元/平"
卫星桥小区 1室1厅 南,卫星桥小区 -市中区,1室1厅 | 33平米 | 南 | 精装 | 低楼层(共7层)  | 暂无数据,0人关注 / 12天以前发布,20.8,"6,304元/平"
城北 金海国际 电梯 精装修三房急售,金海国际 -北门区,3室2厅 | 122.39平米 | 东 南 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,91.8,"7,501元/平"
此房满两年，税费低，格局好.小区物管负责,蓝光香江国际一期 -北门区,3室2厅 | 91平米 | 东 | 其他 | 中楼层(共34层)  | 塔楼,0人关注 / 1个月以前发布,104,"11,429元/平"
欣泽秀水坊南区 4室2厅 南 北,欣泽秀水坊南区 -射洪县,4室2厅 | 120.51平米 | 南 北 | 其他 | 低楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,63.8,"5,295元/平"
东海岸 3室2厅 东南,东海岸 -河东北区,3室2厅 | 100.6平米 | 东南 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,83,"8,251元/平"
城北电梯四房带双卫生间还有楼顶花园,蚕司苑 -射洪县,4室2厅 | 165平米 | 东 | 其他 | 高楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,65,"3,940元/平"
准电梯房出售 拎包入住 套三 停车方便,海天公寓 -射洪县,3室2厅 | 138平米 | 西南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,49.8,"3,609元/平"
物价局宿舍3室2厅交通便利 小区环境干净舒适 适合居住,物价局宿舍 -射洪县,3室2厅 | 140平米 | 东 | 其他 | 中楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,55,"3,929元/平"
佳和北城一楼大户型3房出售。拎包入住,佳和北城 -北门区,3室2厅 | 107平米 | 南 | 其他 | 低楼层(共24层)  | 塔楼,0人关注 / 1个月以前发布,98,"9,159元/平"
真实出售，洋房带花园  产权在手 看房方便,金科美湖湾香山 -仁里场区,3室2厅 | 120平米 | 东南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,110,"9,167元/平"
世纪春天花园小区三室两厅一厨一卫,世纪春天 -南门区,3室2厅 | 89平米 | 东南 | 其他 | 中楼层(共15层)  | 暂无数据,0人关注 / 1个月以前发布,59.8,"6,720元/平"
佳和北城 2室2厅 东,佳和北城 -北门区,2室2厅 | 86.47平米 | 东 | 其他 | 高楼层(共28层)  | 塔楼,0人关注 / 1个月以前发布,71.8,"8,304元/平"
君豪东方阳光小区 2室2厅 交通便利 小区环境干净舒适,君豪东方阳光 -北门区,2室2厅 | 72.9平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 29天以前发布,36,"4,939元/平"
房子是玉竹小区，随时可以看房，房东诚心卖。,玉竹小区 -市中区,2室1厅 | 80平米 | 东南 | 其他 | 中楼层(共9层)  | 暂无数据,0人关注 / 28天以前发布,36.8,"4,600元/平"
紫君上城3室2厅1厨2卫，小区环境舒适干净，适合居住。,紫君上城 -射洪县,3室2厅 | 107.37平米 | 西 | 其他 | 低楼层(共27层)  | 暂无数据,0人关注 / 1个月以前发布,54,"5,030元/平"
交通便利，道路宽敞，户型采光通透 可拎包入住,广福公寓 -北门区,3室2厅 | 109平米 | 东 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 31天以前发布,59.8,"5,487元/平"
商务区 出行医疗都购物便利 。。。,凯旋中路80号 -市中区,4室2厅 | 150平米 | 南 | 其他 | 低楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,79.8,"5,320元/平"
德胜路二医院旁金港世家 精装2室关门卖 品牌家具,双发金港世家 -市中区,3室1厅 | 98平米 | 东南 | 其他 | 高楼层(共29层)  | 暂无数据,0人关注 / 1个月以前发布,85,"8,674元/平"
北门，北福苑步梯3房2厅1厨1卫,北福苑 -北门区,3室2厅 | 115平米 | 东南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,46,"4,000元/平"
北门北滨郡府正4室精装家具家电齐全拎包入住,北滨郡府 -北门区,4室2厅 | 106平米 | 东 | 精装 | 低楼层(共26层)  | 暂无数据,0人关注 / 1个月以前发布,96,"9,057元/平"
视野宽阔，采光充足，看江景，交通便利。,遂宁花园未来城 -北门区,3室2厅 | 105平米 | 东 | 其他 | 中楼层(共27层)  | 塔楼,0人关注 / 26天以前发布,88,"8,381元/平"
机场小区A区 3室2厅 东南,机场小区A区 -物流港区,3室2厅 | 118平米 | 东南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 27天以前发布,62.8,"5,323元/平"
房子正规3室，采光好 视野开阔 价格好谈,置信仁湖花园七期 -蓬溪县,3室2厅 | 100.47平米 | 东南 | 其他 | 高楼层(共32层)  | 暂无数据,0人关注 / 25天以前发布,29.8,"2,967元/平"
电梯安装好了 三室两厅  可随时入住 可按揭 虹桥路,虹桥电力公司宿舍 -射洪县,3室2厅 | 120平米 | 南 | 其他 | 高楼层(共8层)  | 暂无数据,0人关注 / 24天以前发布,42.8,"3,567元/平"
北门上江城3-2-1随时看房.,盛世上江城 -北门区,3室2厅 | 102.94平米 | 西北 | 其他 | 高楼层(共30层)  | 暂无数据,0人关注 / 25天以前发布,72.8,"7,073元/平"
荣海花间集 2室2厅 东南,荣海花间集 -河东北区,2室2厅 | 82平米 | 东南 | 其他 | 低楼层(共18层)  | 塔楼,0人关注 / 1个月以前发布,42,"5,122元/平"
中铁系列，小高层电梯，1梯4户，总高10层,尚城馨苑 -河东南区,2室2厅 | 74平米 | 东南 | 精装 | 中楼层(共11层)  | 塔楼,0人关注 / 1个月以前发布,77,"10,406元/平"
联福家园一期 3室2厅 东南,联福家园一期 -河东北区,3室2厅 | 85平米 | 东南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,55,"6,471元/平"
